[00:00.000 --> 00:22.000]  The
[04:21.000 --> 04:24.000]  major universities in Germany, in India
[04:24.000 --> 04:26.000]  and in the United States and others
[04:26.000 --> 04:28.000]  scan it when of course it's man-made
[04:28.000 --> 04:30.000]  never seen such a thing and again that
[04:30.000 --> 04:33.000]  doesn't mean that it's super deadly. It
[04:33.000 --> 04:36.000]  means it's owned by the globalist so
[04:36.000 --> 04:38.000]  they can patent and be ready and already
[04:38.000 --> 04:41.000]  have the cure for it you understand but
[04:41.000 --> 04:43.000]  the cure is the cover for what's being
[04:43.000 --> 04:45.000]  added to it the Trojan horse but they
[04:45.000 --> 04:47.000]  want everyone on Earth to be forced to
[04:47.000 --> 04:49.000]  take it and Bill Gates has already told
[04:49.000 --> 04:51.000]  you it's going to hurt and kill a lot of
[04:51.000 --> 04:53.000]  people so he's already getting you ready
[04:53.000 --> 04:55.000]  now that yeah you want to go outside you
[04:55.000 --> 04:57.000]  got to take this certain people are going
[04:57.000 --> 04:59.000]  to have convulsions and die but it's a good
[04:59.000 --> 05:02.000]  thing to do. It doesn't matter how hard
[05:02.000 --> 05:05.000]  I want to fight. If other human beings
[05:05.000 --> 05:07.000]  don't resonate with what I'm saying you
[05:07.000 --> 05:09.000]  don't spread the word if you don't buy
[05:09.000 --> 05:11.000]  the products to fund our operation the
[05:11.000 --> 05:13.000]  dog doesn't hunt but you get that you
[05:13.000 --> 05:15.000]  are patriots you are people that live
[05:15.000 --> 05:17.000]  and work in the real world of erase
[05:17.000 --> 05:19.000]  color and create and understand what's
[05:19.000 --> 05:21.000]  happening and that's why when you call in
[05:21.000 --> 05:23.000]  and thank me for what I've done it's really
[05:23.000 --> 05:25.000]  a sick joke thank you for what you've
[05:25.000 --> 05:27.000]  done we're all of this together we believe
[05:27.000 --> 05:29.000]  in the rights of the unborn we believe
[05:29.000 --> 05:31.000]  in families we believe in the right to
[05:31.000 --> 05:33.000]  self-defense we believe in capitalism
[05:33.000 --> 05:35.000]  rights number one and we believe in free
[05:35.000 --> 05:37.000]  speech and so the fact that you shop
[05:37.000 --> 05:39.000]  with us and the fact that you spread the
[05:39.000 --> 05:41.000]  word about what we're doing does
[05:41.000 --> 05:43.000]  everything in the world that's why I
[05:43.000 --> 05:45.000]  salute you and I thank you continually
[05:45.000 --> 05:47.000]  because the globalists thought they'd
[05:47.000 --> 05:49.000]  have this whole planet sewn up by now
[05:49.000 --> 05:51.000]  they thought they'd be in charge they
[05:51.000 --> 05:53.000]  thought that would have won but they
[05:53.000 --> 05:55.000]  didn't count on you and I and others
[05:55.000 --> 06:03.000]  together so God bless you all
[06:03.000 --> 06:07.000]  waging war on corruption it's Alex Jones
[06:07.000 --> 06:09.000]  coming to you live from the front lines
[06:09.000 --> 06:13.000]  of the info war
[06:13.000 --> 06:15.000]  the Rockefeller family with the Roth
[06:15.000 --> 06:17.000]  Childs on record donated the money for
[06:17.000 --> 06:19.000]  the United Nations to be first established
[06:19.000 --> 06:23.000]  in Presidio Naval facility in San Francisco
[06:23.000 --> 06:27.000]  in 1945 then it officially launched in
[06:27.000 --> 06:31.000]  1947 same year we got the Central
[06:31.000 --> 06:35.000]  Intelligence Agency
[06:35.000 --> 06:37.000]  their stated goal is to establish a
[06:37.000 --> 06:39.000]  planetary world government for the
[06:39.000 --> 06:41.000]  principles of depopulation
[06:41.000 --> 06:43.000]  the Billa Melinda Gates
[06:43.000 --> 06:47.000]  organizations official name is the
[06:47.000 --> 06:51.000]  Billa Melinda Gates Planetary Population
[06:51.000 --> 06:53.000]  Program
[06:53.000 --> 06:55.000]  or alternative to the United Nations
[06:55.000 --> 06:57.000]  world population program
[06:57.000 --> 06:59.000]  they both interface
[06:59.000 --> 07:01.000]  now in the program
[07:01.000 --> 07:03.000]  lockstep from 2010 and in the
[07:03.000 --> 07:07.000]  201 event in October
[07:07.000 --> 07:09.000]  in November the Billa Melinda Gates
[07:09.000 --> 07:11.000]  Foundation this is public on record
[07:11.000 --> 07:13.000]  along with John Hopkins University the
[07:13.000 --> 07:15.000]  United Nations
[07:15.000 --> 07:17.000]  Rockefeller Foundation
[07:17.000 --> 07:19.000]  had a month plus
[07:19.000 --> 07:21.000]  long global drill with leaders
[07:21.000 --> 07:25.000]  for a corona type SARS virus
[07:25.000 --> 07:29.000]  being released
[07:29.000 --> 07:31.000]  that would then cause 65
[07:31.000 --> 07:33.000]  million people to die but out of it
[07:33.000 --> 07:35.000]  would come world government
[07:35.000 --> 07:37.000]  contract tracing drones watching you
[07:37.000 --> 07:39.000]  boarding people up in their houses
[07:39.000 --> 07:41.000]  and they said the good thing is it would
[07:41.000 --> 07:43.000]  lower the carbon footprint
[07:43.000 --> 07:45.000]  this is the force the industrialization
[07:45.000 --> 07:47.000]  they couldn't get their carbon tax in
[07:47.000 --> 07:49.000]  here
[07:49.000 --> 07:51.000]  China would be exempt we would be under it
[07:51.000 --> 07:53.000]  so you're now just learning
[07:53.000 --> 07:55.000]  how to be poor
[07:55.000 --> 07:57.000]  and how to
[07:57.000 --> 07:59.000]  go outside and be tracked by a cell
[07:59.000 --> 08:01.000]  phone that totally controls you
[08:01.000 --> 08:03.000]  and it's all in there
[08:03.000 --> 08:05.000]  that's how dumb they think you are but
[08:05.000 --> 08:07.000]  when I talk about it they go oh
[08:07.000 --> 08:09.000]  that's that racist conspiracy theorist
[08:09.000 --> 08:11.000]  don't listen to him he says the
[08:11.000 --> 08:13.000]  chemicals are turning the frogs gay
[08:13.000 --> 08:15.000]  well I was reading major scientific
[08:15.000 --> 08:17.000]  reports that are public anybody can look
[08:17.000 --> 08:19.000]  it up that most frog species are almost
[08:19.000 --> 08:21.000]  died out or have died out because the chemical
[08:21.000 --> 08:23.000]  that's in the water atrazine alone
[08:23.000 --> 08:25.000]  makes the males become sterile
[08:25.000 --> 08:27.000]  they just so happen to also then
[08:27.000 --> 08:29.000]  try to with their sterile
[08:29.000 --> 08:31.000]  sperm
[08:31.000 --> 08:33.000]  send them a backs of males instead of females
[08:33.000 --> 08:35.000]  when they lay the eggs
[08:35.000 --> 08:37.000]  so they just lay them on a male
[08:37.000 --> 08:39.000]  instead I mean that's a fact but see
[08:39.000 --> 08:41.000]  they just
[08:41.000 --> 08:43.000]  make a joke out of it kind of like when we had
[08:43.000 --> 08:45.000]  Francis Boyle again
[08:45.000 --> 08:47.000]  who's prosecuted Slobodan Milošević at the
[08:47.000 --> 08:49.000]  Hague and
[08:49.000 --> 08:51.000]  represents world leaders at the UN
[08:51.000 --> 08:53.000]  who wrote the U.S. Biological Weapons Treaty
[08:53.000 --> 08:55.000]  U.S.
[08:55.000 --> 08:57.000]  Biological Weapons Law that then got adopted into World
[08:57.000 --> 08:59.000]  Treaty you know he came on and said from his
[08:59.000 --> 09:01.000]  sources in researching the papers
[09:01.000 --> 09:03.000]  Obama and Fauci had
[09:03.000 --> 09:05.000]  transferred it as a
[09:05.000 --> 09:07.000]  Kamirobio weapon in 2012
[09:07.000 --> 09:09.000]  1314-15 even showed the
[09:09.000 --> 09:11.000]  documents on here including major scandals
[09:11.000 --> 09:13.000]  about it so Fauci then in
[09:13.000 --> 09:15.000]  2017 with funding Obama put
[09:15.000 --> 09:17.000]  in place when he left in 2016
[09:17.000 --> 09:19.000]  moved it to Wuhan
[09:19.000 --> 09:21.000]  now we told you that exactly
[09:21.000 --> 09:23.000]  as it happened
[09:23.000 --> 09:25.000]  precisely as
[09:25.000 --> 09:27.000]  it happened
[09:27.000 --> 09:29.000]  not just oh I bet Fauci's involved
[09:29.000 --> 09:31.000]  we said the exact virus the Kamiro
[09:31.000 --> 09:33.000]  showed you the white papers
[09:33.000 --> 09:35.000]  did dozens of shows on it
[09:37.000 --> 09:39.000]  and it got the FBI following me around
[09:39.000 --> 09:41.000]  I mean that's that
[09:41.000 --> 09:43.000]  fine whatever I mean
[09:43.000 --> 09:45.000]  that's what goes on in this country
[09:45.000 --> 09:47.000]  so they're getting ready to general Flynn me
[09:47.000 --> 09:49.000]  that's fine you can't stop all Americans
[09:49.000 --> 09:51.000]  so let's continue
[09:51.000 --> 09:53.000]  coronavirus NSW
[09:53.000 --> 09:55.000]  dossier lays out case against
[09:55.000 --> 09:57.000]  China bat virus program
[09:57.000 --> 09:59.000]  the Daily Telegraph one of the biggest
[09:59.000 --> 10:01.000]  papers in the western world
[10:01.000 --> 10:03.000]  huge detailed report
[10:03.000 --> 10:05.000]  Boyle says this is the best report out there
[10:05.000 --> 10:07.000]  he's joining us next hour
[10:07.000 --> 10:09.000]  here are the articles from
[10:09.000 --> 10:11.000]  January of this year Chinese lab
[10:11.000 --> 10:13.000]  that studies world's most dangerous pathogens
[10:13.000 --> 10:15.000]  is based in Wuhan infowars.com
[10:15.000 --> 10:17.000]  the transcript from
[10:17.000 --> 10:19.000]  naturalnews.com of infowars.com
[10:19.000 --> 10:21.000]  Dr. Boyle in February 21st full transcript
[10:21.000 --> 10:23.000]  smoking gun
[10:23.000 --> 10:25.000]  bioweapons lab
[10:25.000 --> 10:27.000]  transferred by Fauci and Obama to
[10:27.000 --> 10:29.000]  Wuhan Francis Boyle
[10:29.000 --> 10:31.000]  Wuhan Coronaviruses Offensive Biological Warfare
[10:31.000 --> 10:33.000]  Weapon January 30th
[10:33.000 --> 10:35.000]  creator of US Bioweapons
[10:35.000 --> 10:37.000]  access coronaviruses biological
[10:37.000 --> 10:39.000]  warfare weapon
[10:39.000 --> 10:41.000]  and now today
[10:41.000 --> 10:43.000]  ABC News, Fox News
[10:43.000 --> 10:45.000]  everything five eyes
[10:45.000 --> 10:47.000]  conclusively here are
[10:47.000 --> 10:49.000]  the key findings from the bombshell
[10:49.000 --> 10:51.000]  government dossier on China's bat
[10:51.000 --> 10:53.000]  virus program
[10:53.000 --> 10:55.000]  University of Texas being
[10:55.000 --> 10:57.000]  investigated over ties to Wuhan
[10:57.000 --> 10:59.000]  Biolab oh told you
[10:59.000 --> 11:01.000]  UT is run by
[11:01.000 --> 11:03.000]  not the chai comms the globalist
[11:03.000 --> 11:05.000]  that use chai comm money to control it
[11:05.000 --> 11:07.000]  there will be a lot of
[11:07.000 --> 11:09.000]  a rest made if we win the war against China
[11:09.000 --> 11:11.000]  but right now there's a civil war over who controls
[11:11.000 --> 11:13.000]  the government and it looks like the chai comms
[11:13.000 --> 11:15.000]  are winning because the American people
[11:15.000 --> 11:17.000]  just love to nitty around
[11:17.000 --> 11:19.000]  and believe mainstream media a lot of folks
[11:19.000 --> 11:21.000]  aren't but I'm just telling you this is insane
[11:21.000 --> 11:23.000]  by the way top generals have now come out and said
[11:23.000 --> 11:25.000]  we're gonna get to that bottom of the hour that we are
[11:25.000 --> 11:27.000]  at war with China this is a Chinese globalist attack
[11:27.000 --> 11:29.000]  I don't just say that up here on air
[11:29.000 --> 11:31.000]  and risk my life for no reason
[11:31.000 --> 11:33.000]  I've had a lot of moral
[11:33.000 --> 11:35.000]  battles with myself about
[11:35.000 --> 11:37.000]  you know backing down a little bit so I don't get whacked
[11:37.000 --> 11:39.000]  or put in prison look I'm not gonna sit here
[11:39.000 --> 11:41.000]  and stay out of prison for a few years while the globalist
[11:41.000 --> 11:43.000]  totally take over and bankrupt the whole country
[11:43.000 --> 11:45.000]  put under martial law and all of you that go along
[11:45.000 --> 11:47.000]  with it are idiots
[11:49.000 --> 11:51.000]  continuing leaks
[11:51.000 --> 11:53.000]  leaks five eyes dossier
[11:53.000 --> 11:55.000]  on alleged Chinese coronavirus cover up
[11:55.000 --> 11:57.000]  consistent with US
[11:57.000 --> 11:59.000]  findings officials say that's why Trump said last week
[11:59.000 --> 12:01.000]  he's seeing the documents newsweek
[12:01.000 --> 12:03.000]  Dr. Fauci back controversial
[12:03.000 --> 12:05.000]  lab with millions of US
[12:05.000 --> 12:07.000]  dollars for risky coronavirus
[12:07.000 --> 12:09.000]  research
[12:09.000 --> 12:11.000]  and now the media is trying to desperately whitewash
[12:11.000 --> 12:13.000]  that but they just can't
[12:13.000 --> 12:15.000]  get the job done there's the Wall
[12:15.000 --> 12:17.000]  Street Journal US probes universities
[12:17.000 --> 12:19.000]  of Texas links
[12:19.000 --> 12:21.000]  to Chinese lab
[12:21.000 --> 12:23.000]  scrutinized over coronavirus
[12:25.000 --> 12:27.000]  now there's scrubbing the Wuhan website where it shows
[12:27.000 --> 12:29.000]  most of them wearing masks
[12:29.000 --> 12:31.000]  playing around with the entire
[12:31.000 --> 12:33.000]  species of coronaviruses
[12:35.000 --> 12:37.000]  so that's what's going on but mainstream media
[12:37.000 --> 12:39.000]  says anybody talking about it is a bad
[12:39.000 --> 12:41.000]  person
[12:41.000 --> 12:43.000]  here's yahoo a US researcher
[12:43.000 --> 12:45.000]  who worked with the Wuhan virology lab
[12:45.000 --> 12:47.000]  gives four reasons why a coronavirus leak would be extremely
[12:47.000 --> 12:49.000]  unlikely
[12:49.000 --> 12:51.000]  they don't challenge that it's man made
[12:51.000 --> 12:53.000]  the scientists the background the evidence
[12:53.000 --> 12:55.000]  all of it no they just go oh a guy that
[12:55.000 --> 12:57.000]  worked there
[12:57.000 --> 12:59.000]  he says everything's fine
[12:59.000 --> 13:01.000]  oh
[13:01.000 --> 13:03.000]  so let's go to the place
[13:03.000 --> 13:05.000]  that's being investigated and get somebody there to tell us everything's okay
[13:07.000 --> 13:09.000]  how about conflict of interest when the head fact checker
[13:09.000 --> 13:11.000]  for Facebook over all science
[13:11.000 --> 13:13.000]  stories is
[13:13.000 --> 13:15.000]  a woman
[13:15.000 --> 13:17.000]  who's involved
[13:17.000 --> 13:19.000]  in the entire area of
[13:19.000 --> 13:21.000]  testing this class
[13:21.000 --> 13:23.000]  of viruses but she doesn't tell you that but she says
[13:23.000 --> 13:25.000]  there are sensors people that say it came out of Wuhan
[13:27.000 --> 13:29.000]  but here's what it's really all about
[13:29.000 --> 13:31.000]  the CFR and others have come out
[13:31.000 --> 13:33.000]  it's on m4s.com the end of
[13:33.000 --> 13:35.000]  US global dominance
[13:35.000 --> 13:37.000]  predicted in wake of COVID-19 as
[13:37.000 --> 13:39.000]  world order is reinventing itself
[13:39.000 --> 13:41.000]  and it's the globalist celebrating
[13:41.000 --> 13:43.000]  that China's back up and going
[13:43.000 --> 13:45.000]  America's not up and going
[13:45.000 --> 13:47.000]  oh China did a good job countering it
[13:47.000 --> 13:49.000]  Trump didn't because China
[13:49.000 --> 13:51.000]  released it
[13:51.000 --> 13:53.000]  it wasn't an accident we know they're
[13:53.000 --> 13:55.000]  lied about it we know they told everybody everything was fine
[13:55.000 --> 13:57.000]  they hyped it up
[13:57.000 --> 13:59.000]  and then as soon as it came over here
[13:59.000 --> 14:01.000]  just a weaponized cold that they own and control
[14:03.000 --> 14:05.000]  then they said everything's fine turned their
[14:05.000 --> 14:07.000]  businesses back on said we're taking orders
[14:07.000 --> 14:09.000]  we're open for business but America isn't
[14:09.000 --> 14:11.000]  and every day we stay closed
[14:11.000 --> 14:13.000]  it's just complete devastation
[14:13.000 --> 14:15.000]  and this is how modern wars are fought and there's top generals
[14:15.000 --> 14:17.000]  coming out saying exactly this and laying out
[14:17.000 --> 14:19.000]  all the ways this is being done
[14:19.000 --> 14:21.000]  it's a fact but we have to admit
[14:21.000 --> 14:23.000]  that the NIH
[14:23.000 --> 14:25.000]  and the bureaucracies and these big tax free
[14:25.000 --> 14:27.000]  foundations that have hijacked this country
[14:27.000 --> 14:29.000]  since the days of the robber barons
[14:29.000 --> 14:31.000]  believe they own everything
[14:31.000 --> 14:33.000]  our big enemy in the times of Teddy Roosevelt
[14:33.000 --> 14:35.000]  was the big robber barons
[14:35.000 --> 14:37.000]  their authoritarian rich families it's the same
[14:37.000 --> 14:39.000]  rich money from those
[14:39.000 --> 14:41.000]  robber barons that funds the
[14:41.000 --> 14:43.000]  Bill Melinda Gates Foundation all of it
[14:43.000 --> 14:45.000]  research it and they want
[14:45.000 --> 14:47.000]  an end of American freedom
[14:47.000 --> 14:49.000]  for you living very poor under their control
[14:49.000 --> 14:51.000]  and they want medical tyranny
[14:51.000 --> 14:53.000]  they'll put the vaccines they want in your body
[14:53.000 --> 14:55.000]  and you have to carry a cell phone that tracks
[14:55.000 --> 14:57.000]  everywhere you go and decides when you can go out
[14:57.000 --> 14:59.000]  and when you can this is all the
[14:59.000 --> 15:01.000]  admitted agenda and plan
[15:01.000 --> 15:03.000]  and it's here and they're doing it
[15:03.000 --> 15:05.000]  then there's all the other areas
[15:05.000 --> 15:07.000]  they have been caught red handed
[15:07.000 --> 15:09.000]  triple confirmed every major blue state
[15:09.000 --> 15:11.000]  in the city is getting $39,000
[15:11.000 --> 15:13.000]  for saying someone's got COVID
[15:13.000 --> 15:15.000]  even if they've not been tested to have COVID
[15:15.000 --> 15:17.000]  anyone that dies
[15:17.000 --> 15:19.000]  they put it on the death certificate
[15:19.000 --> 15:21.000]  because the local officials tell them
[15:21.000 --> 15:23.000]  at the hospitals don't worry
[15:23.000 --> 15:25.000]  we're all doing this as a corruption together
[15:25.000 --> 15:27.000]  so it's Michigan with the corrupt Democrats
[15:27.000 --> 15:29.000]  it's New York
[15:29.000 --> 15:31.000]  it's California it's all the usual suspects
[15:31.000 --> 15:33.000]  is where all the deaths are
[15:33.000 --> 15:35.000]  because they are counting everyone that dies
[15:35.000 --> 15:37.000]  as a COVID-19
[15:37.000 --> 15:39.000]  and now we learn they test each person two to three times
[15:39.000 --> 15:41.000]  they come up positive they count each of those
[15:41.000 --> 15:43.000]  as a COVID case
[15:43.000 --> 15:45.000]  and the models that came out
[15:45.000 --> 15:47.000]  were funded by below Melinda Gates
[15:47.000 --> 15:49.000]  in the U.S. and England
[15:49.000 --> 15:51.000]  and that's why they were 50 to 40 times higher
[15:51.000 --> 15:53.000]  than we actually were
[15:53.000 --> 15:55.000]  it's all a giant martial law
[15:55.000 --> 15:57.000]  psi-op takeover with enemies
[15:57.000 --> 15:59.000]  in our own government working with China
[16:01.000 --> 16:03.000]  what are champions made of
[16:05.000 --> 16:07.000]  here's a man who can show you
[16:07.000 --> 16:09.000]  I
[16:09.000 --> 16:11.000]  I
[16:11.000 --> 16:13.000]  I
[16:13.000 --> 16:15.000]  I
[16:15.000 --> 16:17.000]  I
[16:17.000 --> 16:19.000]  I
[16:19.000 --> 16:21.000]  I
[16:21.000 --> 16:23.000]  I
[16:23.000 --> 16:25.000]  I
[16:25.000 --> 16:27.000]  I
[16:27.000 --> 16:29.000]  I
[16:29.000 --> 16:31.000]  I
[16:31.000 --> 16:35.000]  I
[16:35.000 --> 16:37.000]  I
[16:37.000 --> 16:39.000]  I
[16:39.000 --> 16:41.000]  I
[16:41.000 --> 16:43.000]  I
[16:43.000 --> 16:45.000]  I
[16:45.000 --> 16:47.000]  I
[16:47.000 --> 16:49.000]  I
[16:49.000 --> 16:51.000]  I
[16:51.000 --> 16:53.000]  I
[16:53.000 --> 16:55.000]  I
[16:55.000 --> 16:57.000]  I
[16:57.000 --> 16:59.000]  I
[16:59.000 --> 17:01.000]  I
[17:01.000 --> 17:07.000]  I
[17:07.000 --> 17:09.000]  I
[17:09.000 --> 17:11.000]  I
[17:11.000 --> 17:13.000]  I
[17:13.000 --> 17:15.000]  I
[17:15.000 --> 17:17.000]  I
[17:17.000 --> 17:19.000]  I
[17:19.000 --> 17:21.000]  I
[17:21.000 --> 17:23.000]  I
[17:23.000 --> 17:25.000]  I
[17:25.000 --> 17:27.000]  I
[17:27.000 --> 17:29.000]  I
[17:29.000 --> 17:31.000]  I
[17:31.000 --> 17:33.000]  I
[17:33.000 --> 17:35.000]  I
[17:35.000 --> 17:37.000]  I
[17:37.000 --> 17:39.000]  I
[17:39.000 --> 17:41.000]  I
[17:41.000 --> 17:43.000]  I
[17:43.000 --> 17:45.000]  I
[17:45.000 --> 17:47.000]  I
[17:47.000 --> 17:49.000]  I
[17:49.000 --> 17:51.000]  I
[17:51.000 --> 17:53.000]  I
[17:55.000 --> 17:57.000]  I
[17:57.000 --> 17:59.000]  I
[17:59.000 --> 18:01.000]  I
[18:01.000 --> 18:03.000]  I
[18:03.000 --> 18:05.000]  I
[18:05.000 --> 18:07.000]  I
[18:07.000 --> 18:09.000]  I
[18:09.000 --> 18:11.000]  I
[18:11.000 --> 18:13.000]  I
[18:13.000 --> 18:15.000]  I
[18:15.000 --> 18:17.000]  I
[18:17.000 --> 18:19.000]  I
[18:19.000 --> 18:21.000]  I
[18:21.000 --> 18:23.000]  I
[18:23.000 --> 18:25.000]  I
[18:25.000 --> 18:27.000]  I
[18:27.000 --> 18:29.000]  I
[18:29.000 --> 18:31.000]  I
[18:31.000 --> 18:33.000]  I
[18:33.000 --> 18:35.000]  I
[18:35.000 --> 18:37.000]  I
[18:37.000 --> 18:39.000]  I
[18:39.000 --> 18:41.000]  I
[18:41.000 --> 18:43.000]  I
[18:43.000 --> 18:45.000]  I
[18:45.000 --> 18:47.000]  I
[18:47.000 --> 18:49.000]  I
[18:49.000 --> 18:51.000]  I
[18:51.000 --> 18:53.000]  I
[18:53.000 --> 18:55.000]  I
[18:55.000 --> 18:57.000]  I
[18:57.000 --> 18:59.000]  I
[18:59.000 --> 19:01.000]  I
[19:01.000 --> 19:03.000]  I
[19:03.000 --> 19:05.000]  I
[19:05.000 --> 19:07.000]  I
[19:07.000 --> 19:09.000]  I
[19:09.000 --> 19:13.000]  I
[19:13.000 --> 19:15.000]  I
[19:15.000 --> 19:17.000]  I
[19:17.000 --> 19:19.000]  I
[19:19.000 --> 19:21.000]  I
[19:21.000 --> 19:23.000]  I
[19:23.000 --> 19:25.000]  I
[19:25.000 --> 19:27.000]  I
[19:27.000 --> 19:29.000]  I
[19:29.000 --> 19:31.000]  I
[19:31.000 --> 19:33.000]  I
[19:33.000 --> 19:35.000]  I
[19:35.000 --> 19:37.000]  I
[19:37.000 --> 19:41.000]  I
[19:41.000 --> 19:43.000]  I
[19:43.000 --> 19:45.000]  I
[19:45.000 --> 19:47.000]  I
[19:47.000 --> 19:49.000]  I
[19:49.000 --> 19:51.000]  I
[19:51.000 --> 19:53.000]  I
[19:53.000 --> 19:55.000]  I
[19:55.000 --> 19:57.000]  I
[19:57.000 --> 19:59.000]  I
[19:59.000 --> 20:01.000]  I
[20:03.000 --> 20:05.000]  I
[20:05.000 --> 20:07.000]  I
[20:07.000 --> 20:09.000]  I
[20:09.000 --> 20:11.000]  I
[20:11.000 --> 20:13.000]  I
[20:13.000 --> 20:15.000]  I
[20:15.000 --> 20:17.000]  I
[20:17.000 --> 20:19.000]  I
[20:19.000 --> 20:21.000]  I
[20:21.000 --> 20:23.000]  I
[20:23.000 --> 20:25.000]  I
