[00:00:11.113 --> 00:00:13.374]  He never gives up.
[00:10:08.249 --> 00:10:14.893]  Scientists have edited human embryos to quote safely remove disease for the first time.
[00:10:14.893 --> 00:10:15.914]  You mean remove
[00:10:17.079 --> 00:10:23.501]  Genetics that showed you were predisposed to, say, have lung cancer if you smoke cigarettes.
[00:10:23.501 --> 00:10:24.381]  See?
[00:10:24.381 --> 00:10:27.962]  But by removing that, what else are they removing?
[00:10:27.962 --> 00:10:30.642]  And again, they're backdooring the people.
[00:10:30.642 --> 00:10:32.843]  Many scientists agree these aren't really humans.
[00:10:32.843 --> 00:10:34.963]  These are humanoids.
[00:10:34.963 --> 00:10:38.044]  They're making it where the environment's so toxic we can't have children.
[00:10:38.044 --> 00:10:45.126]  But don't worry, you can go to the scientist and they'll make something that looks and acts like a human for you, but just like your cell phone,
[00:10:46.752 --> 00:10:50.397]  Or just like your smart TV, it's got a lot of back doors.
[00:10:50.397 --> 00:10:54.542]  It's got a lot of little Trojan horses in it.
[00:10:54.542 --> 00:10:56.965]  So that's coming up as well.
[00:10:56.965 --> 00:11:00.891]  And GOP congressman proposes pardon deal for Julian Assange.
[00:11:02.406 --> 00:11:05.108]  I'll say this, there's no evidence of Russian collusion.
[00:11:05.108 --> 00:11:08.310]  We know WikiLeaks got info from US folks and others.
[00:11:08.310 --> 00:11:12.133]  Everything WikiLeaks exposed about Hillary, thank God they deserve a medal.
[00:11:12.133 --> 00:11:17.176]  So if Trump doesn't pardon Assange, then Trump ought to call for his own indictment.
[00:11:17.176 --> 00:11:24.261]  Because WikiLeaks was part of the trifecta of individuals and groups that got Trump in.
[00:11:24.261 --> 00:11:24.882]  InfoWars?
[00:11:26.664 --> 00:11:35.107]  The American people waking up, taking action, the WikiLeaks, Benghazi, all of that is what defeated that arrogant, entitled witch.
[00:11:35.107 --> 00:11:45.130]  So, Trump's good on almost every other subject, but it's hypocritical when he talks about WikiLeaks, very evil, very bad what they did.
[00:11:45.130 --> 00:11:46.610]  What?
[00:11:46.610 --> 00:11:50.572]  If WikiLeaks has got the documents and WikiLeaks has got our emails, release it!
[00:11:50.572 --> 00:11:51.592]  Great job, WikiLeaks!
[00:11:53.951 --> 00:11:55.632]  You know, I like the President.
[00:11:55.632 --> 00:11:56.252]  He's a great guy.
[00:11:56.252 --> 00:11:57.253]  He's under globalist attack.
[00:11:57.253 --> 00:11:58.994]  But he's really wrong on that.
[00:11:58.994 --> 00:12:04.497]  Maybe we should put together his clips on WikiLeaks, praising it, and then saying they're criminal.
[00:12:04.497 --> 00:12:13.682]  I mean, I'm not trying to score points here against the President, but what's good for the goose is good for the gander.
[00:12:13.682 --> 00:12:19.365]  And I don't like seeing people that stick their necks out to try to restore this republic.
[00:12:20.725 --> 00:12:21.605]  I'm being backstabbed.
[00:12:21.605 --> 00:12:26.507]  I mean, somebody literally puts you over the top and you try to flush them down the toilet.
[00:12:26.507 --> 00:12:29.908]  Now, I know the word is that's rhetorical for cover.
[00:12:29.908 --> 00:12:39.591]  The president is looking at a pardon or ways to do this, but then that allows all the leaks they're using to destroy him, the criminal leaks.
[00:12:39.591 --> 00:12:41.791]  So then it's kind of a balancing act, isn't it?
[00:12:41.791 --> 00:12:45.593]  So I get where El Presidente is coming from.
[00:12:45.593 --> 00:12:49.754]  So I can say I see why he's doing what he's doing, but I can also see how it's not the right thing to do.
[00:12:51.015 --> 00:12:51.635]  That's what we do here.
[00:12:51.635 --> 00:12:57.998]  We don't just pick a political topic that we think sounds the best and makes the most people happy, but then not deliver on it.
[00:12:57.998 --> 00:13:00.679]  We go with what's right.
[00:13:00.679 --> 00:13:15.526]  Because compromising with what's right is what's turned us from the greatest, strongest, most focused, able, inventive, creative, tough, amazing, loving, dynamic nation in the world to turning us into a paradox.
[00:13:15.526 --> 00:13:19.668]  Where we still have that in us, and it still shines now and then,
[00:13:21.152 --> 00:13:22.976]  But we've also plumbed the depths.
[00:13:22.976 --> 00:13:26.104]  We've hit the heights, boy, we've gone to the depths.
[00:13:26.104 --> 00:13:28.270]  And let me tell you about the depths.
[00:13:28.270 --> 00:13:30.716]  The Deep State, run by the shadow government.
[00:13:32.079 --> 00:13:46.121]  Had the decision to have the strategy of tension and strategic patience and all this other baloney to give North Korea nuclear, fissile material and delivery systems, just like the same deep state gave the CHICOMS.
[00:13:46.121 --> 00:13:48.202]  And just like they gave it to the Russians.
[00:13:48.202 --> 00:13:54.723]  The Russians were able when it came to missile technology and rocket technology, but not to atomic weapons and H-bombs.
[00:13:54.723 --> 00:13:56.743]  The globalists gave that to them.
[00:13:56.743 --> 00:14:00.564]  That's part of the public record!
[00:14:00.564 --> 00:14:01.204]  And so now,
[00:14:02.648 --> 00:14:23.134]  Why on earth would we be critical of our president when North Korea is threatening to nuke South Korea, Seoul, and Tokyo, Japan, and running around thumbing at the mouth, and shot another missile over Japan, and is engaged in all this bizarre behavior?
[00:14:23.134 --> 00:14:29.516]  Why on earth would we sit here now and put up with this?
[00:14:29.516 --> 00:14:30.576]  And look, I don't want war.
[00:14:32.227 --> 00:14:35.611]  But they're the ones threatening preemptively to strike.
[00:14:35.611 --> 00:14:38.134]  So Nikki Haley has her issues.
[00:14:38.134 --> 00:14:50.227]  I've got her full transcript here where she says, in a diplomatic process when North Korea doesn't work, she said we'd be perfectly happy to send this over to Secretary Mattis since he has plenty of military options.
[00:14:50.227 --> 00:14:52.530]  You don't say you're happy to go to the military option.
[00:14:53.817 --> 00:15:13.091]  But she's accurate when she says if we hit North Korea, they'll be totally destroyed because you can't let them, if you just pinprick them, knock out their ICBMs, they're going to respond with conventional weapons against Japan and against Korea and you're into a major war, you've got to decapitate them fully if you decide to strike them and I've been saying that for years.
[00:15:13.091 --> 00:15:15.573]  So I agree with what she's saying there but she's getting briefed on that.
[00:15:15.573 --> 00:15:22.679]  Let's go to a clip of her on CNN today talking about totally destroying North Korea.
[00:15:22.679 --> 00:15:23.039]  Here it is.
[00:15:23.456 --> 00:15:28.162]  We wanted to be responsible and go through all diplomatic means to get their attention first.
[00:15:28.162 --> 00:15:31.146]  If that doesn't work, General Mattis will take care of it.
[00:15:31.146 --> 00:15:36.453]  Well, by saying General Mattis will take care of it, you're talking about the Pentagon and you're talking about a military option.
[00:15:36.453 --> 00:15:37.835]  Is that what fire and fury meant?
[00:15:38.676 --> 00:15:53.557]  You have to ask the president what fire and fury meant, but I think we all know that basically, if North Korea keeps on with this reckless behavior, if the United States has to defend itself or defend its allies in any way, North Korea will be destroyed.
[00:15:53.557 --> 00:15:55.220]  That's right, it's the only option.
[00:15:58.610 --> 00:16:05.093]  More than two years ago, InfoWars first told you about our research into what has been called the Iodine Conspiracy.
[00:16:05.093 --> 00:16:14.377]  I've told you about how scientists have known for decades that iodine deficiencies can devastate IQ, and how the government knowingly started taking iodine out of the food and
[00:16:14.417 --> 00:16:16.058]  You can pull these studies up for yourself.
[00:16:43.416 --> 00:16:49.823]  This is the real deal, folks, and the truth is that iodine is essential, in my view, to any optimum health regimen.
[00:16:49.823 --> 00:16:54.749]  Stock up on Survival Shield X2 today at Infowarslife.com or by calling 888-253-3139.
[00:16:58.493 --> 00:17:07.579]  Alex Jones here to tell you about how you can help spread liberty worldwide, also enjoying what I have found to be the best-tasting, 100% organic coffee on the planet.
[00:17:07.579 --> 00:17:15.985]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:17:15.985 --> 00:17:20.648]  We have now managed to secure these sought-after beans in a highly customized blend.
[00:17:20.868 --> 00:17:27.652]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at InfoWarsLife.com.
[00:17:27.652 --> 00:17:34.816]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:17:34.816 --> 00:17:41.860]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:17:41.860 --> 00:17:46.323]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:17:46.323 --> 00:17:49.525]  Available in original or with our immune support infusion blend.
[00:17:49.725 --> 00:17:56.021]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:17:56.021 --> 00:17:57.705]  Available at Infowarslife.com
[00:18:00.387 --> 00:18:05.628]  Protect your skin with SPF 30 Sunscreen Lotion by Emrix Essentials.
[00:18:05.628 --> 00:18:12.809]  Perfect for face and body, this natural unscented sunscreen can be worn at all times of the day, whenever you need sun protection.
[00:18:12.809 --> 00:18:18.670]  We source ingredients from nature, producing a product free of harmful chemicals and toxins.
[00:18:18.670 --> 00:18:26.492]  This natural lotion contains 21% zinc oxide, which is the largest particle size used, and we do not use nanoparticles.
[00:18:27.012 --> 00:18:30.533]  The larger the particle, the safer it is for your body.
[00:18:30.533 --> 00:18:34.634]  The organic oils help hydrate the skin, leaving it nice and smooth.
[00:18:34.634 --> 00:18:39.096]  The truly natural, fragrance-free sunscreen for the most sensitive skin.
[00:18:39.096 --> 00:18:45.298]  Emrix Essentials wants you to enjoy the sun and strives to bring you organic products to enhance your life.
[00:18:45.298 --> 00:18:50.459]  Naturally protect your skin with SPF 30 sunscreen lotion by Emrix Essentials.
[00:18:50.459 --> 00:18:53.440]  Stop exposing yourself and your family to toxic ingredients.
[00:18:53.740 --> 00:18:59.945]  Visit InfoWarsTore.com and learn more about the new SPF30 sunscreen lotion.
[00:18:59.945 --> 00:19:05.410]  After being sold out for months, our best-selling super blue fluoride toothpaste is now back in stock at InfoWarsTore.com.
[00:19:05.410 --> 00:19:07.512]  Research across the board is clear.
[00:19:07.512 --> 00:19:12.796]  When bacteria infects your gums, it can enter your bloodstream and even contribute to blood clots and heart attacks.
[00:19:12.796 --> 00:19:16.319]  That's why the last Surgeon General's report on oral health warrants.
[00:19:16.499 --> 00:19:16.999]  I don't know.
[00:19:39.889 --> 00:19:41.190]  You're listening to the Alex Jones Show!
[00:20:14.230 --> 00:20:18.331]  Resistance to tyrants is obedience to God.
[00:20:18.331 --> 00:20:21.152]  It's Alex Jones.
[00:20:21.152 --> 00:20:30.755]  Up until the 1960s, the CIA generally overthrew dictators.
[00:20:30.755 --> 00:20:36.316]  After that, they installed them.
[00:20:36.316 --> 00:20:38.917]  And they worked for private, corporate, special interests.
[00:20:40.163 --> 00:20:42.305]  The CIA is the National Security Act 1947.
[00:20:42.305 --> 00:20:44.667]  It's the dominant group.
[00:20:44.667 --> 00:20:48.369]  It's plugged into all the other 16 agencies.
[00:20:48.369 --> 00:20:52.613]  And if you want to know what the CIA wants, just turn on Hollywood.
[00:20:52.613 --> 00:20:54.454]  Just turn on MTV.
[00:20:54.454 --> 00:20:56.315]  Mothers and fathers are bad.
[00:20:56.315 --> 00:20:58.257]  Christians are bad.
[00:20:58.257 --> 00:20:59.658]  Radical Muslims are good.
[00:20:59.658 --> 00:21:01.599]  Gun owners are bad.
[00:21:01.599 --> 00:21:03.421]  Private property's bad.
[00:21:03.421 --> 00:21:04.802]  Freedom's bad.
[00:21:04.802 --> 00:21:05.863]  America's bad.
[00:21:07.904 --> 00:21:15.110]  Hollywood does exactly what the deep state, what the FBI and CIA tell them to do.
[00:21:15.110 --> 00:21:23.196]  Now by the way, some of the most awake people out there are in the CIA and the FBI because they go out and recruit the best and brightest because they want to control them.
[00:21:23.196 --> 00:21:27.920]  But it's the people at the top of those agencies that are establishing world government.
[00:21:27.920 --> 00:21:32.444]  Coming up, stories up on InfoWars.com with an hour plus video.
[00:21:33.499 --> 00:21:40.241]  I was talking to William Benny six months ago about this guy and how he's going to go public soon and I'm glad to see it's now happened.
[00:21:40.241 --> 00:21:47.183]  Kevin Schipp, high-level CIA, exposing the entire operation.
[00:21:47.183 --> 00:21:50.744]  We're getting into that coming up.
[00:21:50.744 --> 00:21:55.005]  And how the shadow government controls the deep state.
[00:21:55.005 --> 00:21:57.566]  And if you want to know their aims, just look at what they did.
[00:21:58.578 --> 00:22:01.219]  Cancer viruses and vaccines.
[00:22:01.219 --> 00:22:02.580]  Sterilizing vaccines.
[00:22:02.580 --> 00:22:03.741]  Vaccine protections.
[00:22:03.741 --> 00:22:05.282]  They can do it and get away with it.
[00:22:05.282 --> 00:22:05.722]  All of it.
[00:22:05.722 --> 00:22:10.985]  But they go out and get the best and brightest to compartmentalize them to control them.
[00:22:10.985 --> 00:22:17.248]  They go get the best with the best grades, the best, you know, the guy that's a valedictorian and the star quarterback.
[00:22:17.248 --> 00:22:18.329]  They want that guy.
[00:22:18.329 --> 00:22:23.491]  They can compartmentalize him and put him where they want him.
[00:22:23.491 --> 00:22:26.333]  To make sure he never ends up threatening their operations.
[00:22:29.076 --> 00:22:31.742]  Google, Facebook, Twitter, all CIA.
[00:22:31.742 --> 00:22:33.064]  He gets into that.
[00:22:33.064 --> 00:22:35.930]  But I don't need to read the transcript of his speech!
[00:22:38.030 --> 00:22:40.171]  Everything he said was already public knowledge.
[00:22:40.171 --> 00:22:40.751]  You know why?
[00:22:40.751 --> 00:22:44.712]  He didn't tell you anything secret in his speech or he'd get arrested or killed.
[00:22:44.712 --> 00:22:45.913]  He played the whole game.
[00:22:45.913 --> 00:22:50.094]  He told you everything that's public but that no one's paying attention to.
[00:22:50.094 --> 00:22:55.376]  It's a fact that in 1997 Google was founded by the CIA and DARPA.
[00:22:55.376 --> 00:22:58.017]  It's a fact Facebook is a CIA front.
[00:22:58.017 --> 00:22:59.937]  It's a fact Twitter is.
[00:22:59.937 --> 00:23:01.698]  It's a fact CNN is.
[00:23:01.698 --> 00:23:04.199]  It's a fact people say, well are you?
[00:23:04.199 --> 00:23:07.240]  Infowars is true and organic and proven.
[00:23:08.780 --> 00:23:10.582]  And that's why we're so successful.
[00:23:10.582 --> 00:23:15.750]  These groups are there to scoop up anything that's organic, but it's not worked.
[00:23:15.750 --> 00:23:21.778]  Instead, we're scooping up the country with the information, the truth about globalism.
[00:23:21.778 --> 00:23:23.500]  Decompartmentalizing the information.
[00:23:24.440 --> 00:23:27.463]  And our biggest audience is in the deep state.
[00:23:27.463 --> 00:23:29.464]  There's a civil war is in the deep state.
[00:23:29.464 --> 00:23:31.666]  The shadow government, it's blocking Trump.
[00:23:31.666 --> 00:23:32.487]  It's in control.
[00:23:32.487 --> 00:23:34.828]  It's run by foreign multinationals.
[00:23:34.828 --> 00:23:37.110]  It's run by the Saudis, the corrupt Vatican.
[00:23:37.110 --> 00:23:38.551]  It's anti-Catholic.
[00:23:38.551 --> 00:23:40.253]  It's run by the globalists.
[00:23:40.253 --> 00:23:43.596]  But their days are numbered.
[00:23:43.596 --> 00:23:48.259]  If you want to know the players.
[00:23:48.259 --> 00:23:51.562]  The truth is the globalists had to command their operations.
[00:23:51.562 --> 00:23:52.823]  So everything they do is public.
[00:23:52.823 --> 00:23:53.784]  It's all in textbooks.
[00:23:55.134 --> 00:24:00.920]  How they put 1.3 parts per million hydrofluorosilic acid into lower fertility and brain damage you.
[00:24:00.920 --> 00:24:05.425]  How they put cancer viruses in but at a level that only triggers 20-30 years later.
[00:24:05.425 --> 00:24:09.048]  How they run the whole operation to break up the family.
[00:24:09.048 --> 00:24:12.212]  It's all in white papers because they've got to communicate.
[00:24:12.212 --> 00:24:13.193]  They hide it in plain view.
[00:24:17.930 --> 00:24:20.431]  They've always got an excuse for the shadow government.
[00:24:20.431 --> 00:24:26.312]  Oh, we're going to put SAM missile bases in every city in case someone hijacks jets again.
[00:24:26.312 --> 00:24:29.913]  And they've got remote control already in all the jets before 9-11.
[00:24:29.913 --> 00:24:41.837]  Oh, and then once they put in a shadow substation, then you can remove who builds it originally and torture people or run drugs or make kiddie porn or whatever it is the people on top want to do.
[00:24:41.837 --> 00:24:44.398]  The good guys build it.
[00:24:44.398 --> 00:24:45.338]  The Satanists run it.
[00:24:46.957 --> 00:24:49.778]  Well, guess what?
[00:24:49.778 --> 00:24:53.859]  I'm the creature out of Texas, and I've come to destroy you.
[00:24:53.859 --> 00:24:56.059]  You can destroy me and only make me more powerful.
[00:24:56.059 --> 00:25:00.700]  I don't even actually want that to happen, but quite frankly, I'm not worried about it.
[00:25:00.700 --> 00:25:10.363]  Because I'm committed to not even bringing you down, just getting you out of the way.
