[00:00:00.710 --> 00:00:03.692]  Best-selling, written six best-sellers.
[00:02:26.362 --> 00:02:30.544]  And they're saying, OK, we'll keep you on, just give us your pension funds.
[00:02:30.544 --> 00:02:31.464]  That is huge.
[00:02:31.464 --> 00:02:32.384]  Go ahead.
[00:02:32.384 --> 00:02:35.265]  Yeah, $1.6 billion they want.
[00:02:35.265 --> 00:02:41.768]  American Airlines wants their employees to give up their pensions.
[00:02:43.154 --> 00:02:44.974]  Can you imagine?
[00:02:44.974 --> 00:02:54.637]  And they're saying basically it's sort of an axe over their heads on the chopping block and the axe is over their necks.
[00:02:54.637 --> 00:02:59.138]  And the airlines is now telling the employees, number one, the pensions aren't funded.
[00:02:59.138 --> 00:03:03.439]  There's no money in the pension fund for basically 90% of all corporate
[00:03:04.873 --> 00:03:08.036]  This is what you said last time, and they made it official.
[00:03:08.036 --> 00:03:10.679]  They said they're going to cash balance accounts, quote.
[00:03:10.679 --> 00:03:12.260]  This is what the White House said.
[00:03:12.260 --> 00:03:13.822]  You will no longer own your fund.
[00:03:13.822 --> 00:03:16.244]  There will be no liability for them to pay.
[00:03:16.244 --> 00:03:18.847]  And now we see the shift coming.
[00:03:18.847 --> 00:03:22.851]  And some people, Michael, are still in denial about this.
[00:03:22.851 --> 00:03:23.872]  Oh, yeah.
[00:03:23.872 --> 00:03:25.113]  It was interesting.
[00:03:27.171 --> 00:03:36.838]  My brother-in-law works for American Airlines in the Tulsa facility where they do maintenance on all the big jets.
[00:03:36.838 --> 00:03:46.785]  And we've gotten into arguments about this for years over whether the airline industry would become a casualty in this economy.
[00:03:46.785 --> 00:03:47.465]  And he laughed.
[00:03:47.465 --> 00:03:48.586]  Now he's not laughing.
[00:03:48.586 --> 00:03:49.146]  Scared to death.
[00:03:49.146 --> 00:03:50.147]  Doesn't know what he's going to do.
[00:03:51.845 --> 00:03:55.628]  I can't believe it's happening, but it's happening to everybody, Alex.
[00:03:55.628 --> 00:04:00.490]  So his brother's writing books about this, and he just laughed at Bubba, didn't he?
[00:04:00.490 --> 00:04:01.251]  Yeah.
[00:04:01.251 --> 00:04:01.691]  Oh, yeah.
[00:04:01.691 --> 00:04:05.834]  Yeah, I've been in a lot of many jokes, but now they're all asking, how did you know?
[00:04:07.239 --> 00:04:10.181]  You know, Alex, you're more radical, I think.
[00:04:10.181 --> 00:04:12.822]  That's a poor choice of terminology than I am.
[00:04:12.822 --> 00:04:16.304]  No, I mean Jews that fought back in Germany were radical.
[00:04:16.304 --> 00:04:17.204]  Yeah.
[00:04:17.204 --> 00:04:23.688]  Well, there are signs that things are perhaps... We've been set up and sold out in this country.
[00:04:23.688 --> 00:04:24.969]  We have.
[00:04:24.969 --> 00:04:29.331]  And if people... Have you ever talked about Carol Quigley's book, Tragedy and Hope?
[00:04:30.305 --> 00:04:32.127]  A history of the world in our time.
[00:04:32.127 --> 00:04:35.650]  Yes, 800 page book written where he says it's the new world order.
[00:04:35.650 --> 00:04:37.451]  We're going to rape you up one side and down the other.
[00:04:37.451 --> 00:04:38.292]  Ha ha ha.
[00:04:38.292 --> 00:04:41.214]  Yeah, and that was Dr. Carroll Quigley.
[00:04:41.214 --> 00:04:47.079]  He was, back when it first came out, he was professor of history at Foreign Service School of Georgetown University.
[00:04:47.079 --> 00:04:49.401]  Clinton's big mentor.
[00:04:49.401 --> 00:04:51.443]  Clinton thanked him in the first State of the Union.
[00:04:51.443 --> 00:04:54.165]  Yeah, but this whole thing, Alex,
[00:04:55.350 --> 00:05:04.493]  Look, the plan basically is to have all of us working once again for the general store, for the company store.
[00:05:04.493 --> 00:05:09.495]  And we're all going to have our little national ID card, totally surveilled, can be secretly arrested.
[00:05:09.495 --> 00:05:11.356]  This is a great new system.
[00:05:11.936 --> 00:05:13.759]  Well, you know, that's what's coming.
[00:05:13.759 --> 00:05:23.851]  People don't understand it, don't believe it, but the wealth of what was once the middle class is being eroded right before our eyes.
[00:05:23.851 --> 00:05:29.698]  We are becoming a nation of either extremely wealthy or super rich people.
[00:05:29.698 --> 00:05:31.040]  You're either in one class or the other.
[00:05:31.580 --> 00:05:34.183]  You're a have-not or you're super rich.
[00:05:34.183 --> 00:05:37.866]  The middle class is shrinking every year.
[00:05:37.866 --> 00:05:45.213]  They are slowly becoming part of the non-existent, what, serf class?
[00:05:45.213 --> 00:05:46.854]  Slave class?
[00:05:46.854 --> 00:05:48.536]  They're losing everything.
[00:05:48.536 --> 00:05:53.580]  And yet they still don't seem to understand what's happening to them.
[00:05:53.580 --> 00:05:56.203]  You know, if the great masses would ever wake up,
[00:05:57.393 --> 00:06:01.817]  And we'd get honest people in Congress by people voting.
[00:06:01.817 --> 00:06:05.601]  Maybe we'd have a chance, but I don't see it coming.
[00:06:05.601 --> 00:06:10.366]  People are too, what, dumbed down?
[00:06:10.366 --> 00:06:15.310]  Well, we see a federal move, too, to put in these touchscreen systems, which are guaranteed to be fraud.
[00:06:15.310 --> 00:06:15.691]  Yeah.
[00:06:15.691 --> 00:06:20.175]  When we've proven that in many states that have done it, federally funded, federally controlled, no record.
[00:06:21.225 --> 00:06:25.068]  They've got federal money to take over the churches.
[00:06:25.068 --> 00:06:27.910]  They're federalizing local police departments through control and regulation.
[00:06:27.910 --> 00:06:32.414]  I mean, they're going down the line of everything you do to set up a dictatorship.
[00:06:32.414 --> 00:06:32.834]  Oh, you bet.
[00:06:32.834 --> 00:06:33.895]  Well, look at this.
[00:06:33.895 --> 00:06:38.218]  We hear the argument over and over again about separation of church and state.
[00:06:38.218 --> 00:06:41.340]  No religious monuments in any public building.
[00:06:41.340 --> 00:06:45.783]  And yet, every church, well, I shouldn't say every church, but probably 99.9% of all churches are 501c3 corporations.
[00:06:49.924 --> 00:06:52.326]  They share their information.
[00:06:52.326 --> 00:07:02.132]  If you tithe to a 501c3 church, non-profit church, they share your tithing information with the IRS every year.
[00:07:02.132 --> 00:07:07.456]  So, talk about separation of church and state, they own the churches.
[00:07:07.456 --> 00:07:17.742]  And they did this just 50 years ago going, oh yeah, you get your tax exempt, just sign this little form, it's a formality, we're all trusting now that you can't say anything about the government, you work for us, by the way.
[00:07:17.742 --> 00:07:18.663]  And that's what's happened.
[00:07:19.082 --> 00:07:20.263]  No, it's just a process.
[00:07:20.263 --> 00:07:22.305]  We're being domesticated.
[00:07:22.305 --> 00:07:31.212]  We are being prepared to become a third world country in which we really have very few rights.
[00:07:31.212 --> 00:07:35.716]  And you see it through the economy, Alex.
[00:07:35.716 --> 00:07:41.421]  We were taught, our generation and the current generation, that is good.
[00:07:42.412 --> 00:07:43.693]  Go into debt.
[00:07:43.693 --> 00:07:49.356]  They push credit cards off on young kids and, you know, home mortgages.
[00:07:49.356 --> 00:07:53.798]  If you own something free and clear in America, it's anti-American.
[00:07:53.798 --> 00:07:55.299]  You should owe money on it.
[00:07:55.299 --> 00:07:59.701]  Also, the property tax is almost impossible to... You don't even really own it anyways.
[00:07:59.701 --> 00:08:00.321]  No, you don't.
[00:08:00.321 --> 00:08:03.543]  They can take it any time that you don't pay that tax.
[00:08:03.543 --> 00:08:12.047]  But we have been slowly dumbed down to accept all of these encroachments in our
[00:08:12.876 --> 00:08:15.677]  Personal freedoms and liberties.
[00:08:15.677 --> 00:08:17.678]  And Congress has done it.
[00:08:17.678 --> 00:08:26.523]  We've gotten the professionals in Congress that will strip our military bases and do whatever it takes.
[00:08:26.523 --> 00:08:28.964]  Like the war right now.
[00:08:28.964 --> 00:08:33.026]  We sent our troops in harm's way while we're cutting VA benefits.
[00:08:33.684 --> 00:08:41.229]  Yeah, and then I talk about how the federal court ruled they're taking all benefits of 65 and older, and people deny it when I'm reading the federal ruling.
[00:08:41.229 --> 00:08:41.809]  Stay there.
[00:08:41.809 --> 00:08:43.570]  I mean, folks, you're going to find out real soon.
[00:08:43.570 --> 00:08:44.371]  We're not making this up.
[00:08:55.407 --> 00:09:02.209]  Thanks for listening to the M2K Talk Archives, and we are listener-supported with the Honors System.
[00:09:02.209 --> 00:09:03.850]  We ask that you wait.
[00:09:03.850 --> 00:09:05.750]  Don't donate a dollar at a time.
[00:09:05.750 --> 00:09:10.832]  PayPal charges a 35-cent surcharge on anything of a dollar or less.
[00:09:13.494 --> 00:09:17.096]  Don't worry.
[00:09:17.096 --> 00:09:22.119]  This show is documented.
[00:09:22.119 --> 00:09:25.281]  Alex Jones on the GCN Radio Network.
[00:09:25.281 --> 00:09:27.802]  I fell into a burning river.
[00:09:27.802 --> 00:09:30.764]  My friends, we've read the globalist's own plans.
[00:09:30.764 --> 00:09:33.846]  We've seen him do it in hundreds of third world countries.
[00:09:33.846 --> 00:09:34.646]  And it burns.
[00:09:34.646 --> 00:09:38.709]  I mean, is it really any surprise that powerful people want total control?
[00:09:38.709 --> 00:09:40.090]  And more power and more control?
[00:09:41.266 --> 00:09:49.752]  But somehow they've engineered it into the average American's mind or psyche that, oh no, corruption in government doesn't exist, or you can't fight it, or oh, that's just the way it is.
[00:09:49.752 --> 00:09:56.156]  Folks, that's a recipe for it to go right to the bottom as quickly as possible, for tyranny to wax greater and greater.
[00:09:56.156 --> 00:10:06.002]  We've got to have a renaissance, or the globalists will take everything you've got, blame it on some foreign enemy, and then have you cheering them as they economically suck you dry.
[00:10:08.200 --> 00:10:10.401]  Michael Hageb, how do we stop this thing?
[00:10:10.401 --> 00:10:12.001]  How do we educate people?
[00:10:12.001 --> 00:10:18.222]  And more importantly, as importantly, who are the globalists and what are their main mechanisms?
[00:10:18.222 --> 00:10:22.163]  We know it's debt, but how does this whole scam work?
[00:10:22.163 --> 00:10:28.985]  Well, the whole scam, Alex, comes through the International Monetary Fund.
[00:10:28.985 --> 00:10:34.046]  And you've got world central bankers that belong to the fund that all create
[00:10:35.860 --> 00:10:37.841]  Wealth based on debt.
[00:10:37.841 --> 00:10:39.842]  And think about it.
[00:10:39.842 --> 00:10:50.207]  If you hawk your home to the bank, you're basically living in something that's owned by someone else.
[00:10:50.207 --> 00:10:54.588]  Right?
[00:10:54.588 --> 00:11:02.672]  We've been taught, and we're being taught worldwide, as globalism continues, in all of these countries,
[00:11:04.251 --> 00:11:09.756]  To take on debt, to get what you want now.
[00:11:09.756 --> 00:11:19.483]  But in the end, it comes back to bite you because by the time you realize you've been had, you're owned.
[00:11:19.483 --> 00:11:21.785]  You have no wiggle room.
[00:11:21.785 --> 00:11:23.747]  They tell you what to do.
[00:11:23.747 --> 00:11:28.691]  They being the powerful money people.
[00:11:29.928 --> 00:11:35.929]  And, you know, you can get into the Rockefellers and go, you know, the Goldmans and... Well, I just know this.
[00:11:35.929 --> 00:11:40.630]  While we're all busy debating Hillary and George Bush, I mean, these are puppets.
[00:11:40.630 --> 00:11:45.311]  The globalists own the economy, own the intelligence agencies, own the universities.
[00:11:45.311 --> 00:11:47.492]  They set up the system, and it's a joke.
[00:11:47.492 --> 00:11:54.293]  While we all debate mindless, petty issues, they're just setting up this new casual society slave pen for us.
[00:11:54.984 --> 00:12:01.171]  They are, and basically we complain about privacy and lack of privacy.
[00:12:01.171 --> 00:12:03.153]  Nothing's private anymore.
[00:12:03.153 --> 00:12:07.017]  If you've got the power, you can find out anything you want.
[00:12:07.017 --> 00:12:11.682]  Power today, information is power.
[00:12:11.682 --> 00:12:15.907]  And the wealthy people control the information, and they disperse it.
[00:12:16.587 --> 00:12:25.853]  Through media outlets, you know, like the Today Show and all these sitcoms that we're told what to think.
[00:12:46.927 --> 00:12:50.529]  We have a six-pack of beer and the TV and we're happy.
[00:12:50.529 --> 00:12:57.094]  That's what the wealthy refer to the working class in America as being.
[00:12:57.094 --> 00:13:04.178]  And unfortunately for the most part it's true because we're down in the trenches trying to make a living and
[00:13:05.006 --> 00:13:06.706]  Don't see the big picture above us.
[00:13:06.706 --> 00:13:09.727]  And it will incrementally let them tell us what to do.
[00:13:09.727 --> 00:13:11.648]  I mean, it's just going to get worse and worse.
[00:13:11.648 --> 00:13:14.329]  How many kids we can have, where we can live.
[00:13:14.329 --> 00:13:14.629]  Sure.
[00:13:14.629 --> 00:13:18.510]  No more Bill of Rights, because we were never taught what our Bill of Rights was.
[00:13:18.510 --> 00:13:22.791]  Well, we've got to get the guns away from them, though, to finally have the final takeover.
[00:13:23.431 --> 00:13:25.713]  And that's the whole Second Amendment battle.
[00:13:25.713 --> 00:13:29.036]  And I'm sure you heard Bush backs renewing ban on assault weapons.
[00:13:29.036 --> 00:13:29.656]  Oh yeah.
[00:13:29.656 --> 00:13:32.559]  But, but, oh, he's conservative!
[00:13:32.559 --> 00:13:42.567]  Actually, more inroads have been made into the loss of our rights through the conservative parties than the liberal party.
[00:13:42.567 --> 00:13:44.128]  Isn't that amazing?
[00:13:44.128 --> 00:13:50.093]  We always blame the liberals, but that the Republicans, and I've always been a conservative.
[00:13:50.093 --> 00:13:51.314]  I used to be a Republican.
[00:13:51.314 --> 00:13:52.195]  Now I'm independent.
[00:13:53.306 --> 00:14:00.009]  But they actually get through the legislation that takes our right many, many times more often.
[00:14:00.009 --> 00:14:02.910]  But then nothing's said about it, but then, well, it's like Bush.
[00:14:02.910 --> 00:14:05.411]  He took all controls off supercomputers in China.
[00:14:05.411 --> 00:14:06.932]  Ten times what Clinton did.
[00:14:06.932 --> 00:14:08.112]  And it's asked, so what?
[00:14:08.112 --> 00:14:10.093]  Clinton, it's incredible, it's evil.
[00:14:10.093 --> 00:14:13.955]  These neocons, they're really the commies, if you want to use that paradigm term.
[00:14:15.316 --> 00:14:17.538]  But, but, so, so, I mean, take Michael Savage.
[00:14:17.538 --> 00:14:20.682]  I mean, he's an admitted beatnik.
[00:14:20.682 --> 00:14:23.746]  He wants to put people in camps if they criticize the government.
[00:14:23.746 --> 00:14:25.048]  I got him on tape now saying it.
[00:14:25.048 --> 00:14:26.530]  And he calls that conservative.
[00:14:26.530 --> 00:14:27.771]  Yeah.
[00:14:27.771 --> 00:14:31.516]  Yeah, well, that's, unfortunately, if we don't wake up, Alex, that's what's coming.
[00:14:32.558 --> 00:14:34.258]  I mean, we're already in debt.
[00:14:34.258 --> 00:14:35.979]  We're owned right now.
[00:14:35.979 --> 00:14:48.581]  Our country, the wealthiest nation as far as resources in the history of mankind, has been auctioned off to the highest bidders, and that's everybody but Americans.
[00:14:48.581 --> 00:14:51.102]  All right, when we get back, let's talk about some of the numbers, the P.E.
[00:14:51.102 --> 00:14:55.562]  ratios, the debt, public-private, and real solutions, and then take some calls.
[00:14:55.562 --> 00:14:56.783]  Folks, you want to talk to Michael Hager?
[00:14:56.783 --> 00:14:58.263]  We'll take a lot of calls.
[00:14:59.243 --> 00:15:03.905]  Early in this next segment, 1-800-259-9231.
[00:15:03.905 --> 00:15:06.325]  Stay with me.
[00:15:06.325 --> 00:15:07.686]  We're on the march.
[00:15:07.686 --> 00:15:09.426]  The Empire's on the run.
[00:15:09.426 --> 00:15:16.109]  Alex Jones and the GCN Radio Network.
[00:15:16.109 --> 00:15:26.592]  Nuclear reactors provide... The Genesis Communications Radio Network proudly presents...
[00:15:29.738 --> 00:15:33.863]  There's a war on for your mind.
[00:15:33.863 --> 00:15:38.629]  All right, we're about to go to Fred, Mike, Marie, Casey and others.
[00:15:38.629 --> 00:15:40.752]  The number to join us on air, talk to Michael Hager, 1-800-259-9231.
[00:15:44.395 --> 00:15:49.000]  Michael, back in March of last year, I interviewed Greg Pallast, big BBC reporter.
[00:15:49.000 --> 00:15:50.682]  He talked about Lord Wakeham, the head of N.M.
[00:15:50.682 --> 00:15:54.786]  Rothschild, who regulates the media over there, trying to stop his reports on this.
[00:15:54.786 --> 00:15:59.571]  He's gotten calls from Henry Kissinger, trying to stop him being able to go on American television.
[00:15:59.571 --> 00:16:03.635]  I mean, you've got the big media guy talking about N.M.
[00:16:03.635 --> 00:16:06.458]  Rothschild heads trying to stop him, and it really is the players.
[00:16:07.262 --> 00:16:20.207]  And in that interview, which Lister transcribed, which subsequently was published in over 400 newspapers, that's what Greg even said here on the air in his best-selling book out, he was shocked because our listeners were so active and emailed that out and got folks involved.
[00:16:20.207 --> 00:16:22.848]  But the point is, the World Bank documents said
[00:16:23.767 --> 00:16:34.894]  And the head of it, the chief economist quit, Joseph Sickles, said, I'm going to be part of this, that they want to implode economies, they want to, quote, create riots, then use federalized riot police to crack down instead of a police state.
[00:16:34.894 --> 00:16:39.117]  It's really a recipe for total dehumanization and domination.
[00:16:39.117 --> 00:16:46.501]  And then we have these documents and the average American just has no idea they plan to do that to the American people and have been setting it up.
[00:16:46.501 --> 00:16:49.283]  Number one, did you hear about those World Bank documents?
[00:16:49.283 --> 00:16:52.325]  And number two, what would you do to try to stop this in solutions?
[00:16:53.533 --> 00:16:56.654]  Yeah, I've heard about the World Bank documents, and it's true.
[00:16:56.654 --> 00:17:00.416]  I mean, I can go through a whole history of the Federal Reserve System.
[00:17:00.416 --> 00:17:01.656]  It's not federal.
[00:17:01.656 --> 00:17:02.737]  It has no reserves.
[00:17:02.737 --> 00:17:04.578]  It's a private entity.
[00:17:04.578 --> 00:17:08.179]  It consists of 12 national banks.
[00:17:08.179 --> 00:17:17.003]  Now, this is just the American system, but the only one of any significance is the National Bank in New York, and that's the New York Bank.
[00:17:17.003 --> 00:17:21.865]  It's always been managed by somebody completely congenial to the interests of the international bankers.
[00:17:22.768 --> 00:17:31.813]  But it's important that folks understand in America that the Federal Reserve System is not a bona fide government agency.
[00:17:31.813 --> 00:17:38.137]  Technically, the stock is owned by 12 national banks, which received a dividend of 6% each year.
[00:17:38.137 --> 00:17:41.879]  Any profits from the system are supposed to be turned over to the U.S.
[00:17:41.879 --> 00:17:42.379]  Treasury.
[00:17:43.092 --> 00:17:51.633]  But in fact, the president appoints seven members of the board, of the Federal Reserve Board, for 14-year terms.
[00:17:51.633 --> 00:17:53.854]  Well, the shareholders are private.
[00:17:53.854 --> 00:17:54.534]  Yeah.
[00:17:54.534 --> 00:17:57.154]  So it's the money... It is.
[00:17:57.154 --> 00:18:02.175]  It's the Rothschilds, the Rockefellers, the Warbirds.
[00:18:02.175 --> 00:18:04.156]  You know, the list goes on and on.
[00:18:04.156 --> 00:18:12.097]  And these are the same folks, or the ancestors of the same folks, who had the secret meeting in 1910 on Jekyll Island, and then
[00:18:13.047 --> 00:18:17.715]  Got finally through Congress with the aid of, oh, who was that?
[00:18:18.897 --> 00:18:19.938]  Woodrow Wilson.
[00:18:19.938 --> 00:18:22.439]  Well, Wilson realized at the end he'd been had.
[00:18:22.439 --> 00:18:23.499]  He got killed, yeah.
[00:18:23.499 --> 00:18:25.900]  But it was Senator Aldrich.
[00:18:25.900 --> 00:18:27.021]  Yeah.
[00:18:27.021 --> 00:18:35.265]  But the stage was set, and so in December 22nd, 1913, the Federal Reserve Act was passed by the House of Representatives.
[00:18:35.265 --> 00:18:37.746]  And we got the income tax to pay into the private banks.
[00:18:37.746 --> 00:18:38.446]  Right.
[00:18:38.446 --> 00:18:43.129]  And so we got the tax and spend legislation, we got the control, we got everything.
[00:18:43.129 --> 00:18:47.971]  And Woodrow Wilson, it's amazing when you read his history,
[00:18:48.772 --> 00:18:58.891]  He said, in his memoirs, there's something phony about the smokescreen of opposition.
[00:18:58.891 --> 00:19:01.336]  The bankers appeared to be opposing the Federal Reserve.
[00:19:01.989 --> 00:19:07.132]  But he said, quote, these interviews with bankers led me to an interesting conclusion.
[00:19:07.132 --> 00:19:19.839]  I perceived gradually through the haze and smoke of controversy that the banking world was not really as much opposed to the bill as it pretended to be and in fact wanted it.
[00:19:21.400 --> 00:19:25.001]  See, that's what they're masters of, is Bush acts like, oh, the U.N.
[00:19:25.001 --> 00:19:26.642]  is not for our war, and the U.N.
[00:19:26.642 --> 00:19:30.203]  is going to get all the oil and run it and play the part of the good cop.
[00:19:30.203 --> 00:19:31.024]  It's the same thing.
[00:19:31.024 --> 00:19:32.204]  It's totally staged.
[00:19:32.204 --> 00:19:35.086]  This Republican-Democrat thing is totally staged.
[00:19:35.086 --> 00:19:37.947]  Yeah, there are no Republicans or Democrats.
[00:19:37.947 --> 00:19:39.968]  They're both working for the same cause.
[00:19:39.968 --> 00:19:41.628]  You have to understand that.
[00:19:41.628 --> 00:19:44.830]  And all of these guys in Congress, well, with the exception of a few,
[00:19:46.133 --> 00:19:51.919]  Have sold out and they sold out because there's so much money behind the scenes.
[00:19:51.919 --> 00:20:01.228]  Imagine, Alex, if you had suddenly access to indescribable wealth.
[00:20:01.228 --> 00:20:05.973]  What you would do if you would just simply sell out your people?
[00:20:05.973 --> 00:20:07.755]  Very few people would say no to that.
[00:20:08.294 --> 00:20:13.936]  And see, a lot of them see it as just a good ol' boy network, and oh, that's the way it's always been, might as well go along.
[00:20:13.936 --> 00:20:18.898]  The problem is, the real globalists are a bunch of eugenics, Nazi control freaks.
[00:20:18.898 --> 00:20:20.538]  They really want to dehumanize us.
[00:20:20.538 --> 00:20:22.979]  They say this in their policy papers.
[00:20:22.979 --> 00:20:26.320]  I wish the good ol' boys that are part of this would read what the globalists are really doing.
[00:20:26.320 --> 00:20:29.401]  I mean, it is... Michael Hager, it is scary.
[00:20:29.401 --> 00:20:30.362]  I've really looked at it.
[00:20:30.362 --> 00:20:31.462]  It is dehumanization.
[00:20:31.462 --> 00:20:33.163]  It is technocracy.
[00:20:33.163 --> 00:20:34.823]  It is enslavement.
[00:20:34.823 --> 00:20:36.264]  Well, look at SARS.
[00:20:36.264 --> 00:20:37.104]  Where did it come from?
[00:20:37.825 --> 00:20:41.669]  All of a sudden we have another, quote, virus appearing.
[00:20:41.669 --> 00:20:45.773]  It's like Communist China is the model for the UN and the world government.
[00:20:45.773 --> 00:20:46.053]  Sure.
[00:20:46.053 --> 00:20:54.342]  They have mobile death bans and the globalists give them all the awards and let them into the WTO and give them all the... That's what they want to set up, folks!
[00:20:54.342 --> 00:20:58.586]  In China, if you don't work, you don't eat.
[00:20:58.586 --> 00:21:00.568]  If you don't produce, you don't live.
[00:21:01.357 --> 00:21:02.798]  And that's what's coming.
[00:21:02.798 --> 00:21:10.602]  You know, we're looked upon as useless eaters, or the Chinese look upon their people... Well, Ted Turner called us that.
[00:21:10.602 --> 00:21:10.902]  Yeah.
[00:21:10.902 --> 00:21:20.407]  I mean, he can get away with Hitler quotes, and they call him a liberal, and then he's running this Armageddon show on PBS, and the answer is world government biometrics.
[00:21:20.407 --> 00:21:21.227]  That'll save us.
[00:21:21.227 --> 00:21:23.208]  Lots of police state and we'll be safe.
[00:21:23.208 --> 00:21:26.910]  Yeah, and think about control issues
[00:21:28.161 --> 00:21:35.365]  As the population expands, the globalists know that they have to keep the population in check.
[00:21:35.365 --> 00:21:43.510]  So we're going to be having some big plagues arise all over the world that'll kill off hundreds of millions of people, maybe a couple of billion.
[00:21:43.510 --> 00:21:46.331]  Of course, you'll have a big police state while that happens.
[00:21:46.331 --> 00:21:47.592]  Sure.
[00:21:47.592 --> 00:21:49.813]  Look at our prisons today.
[00:21:49.813 --> 00:21:56.677]  When we were locking people up, especially in the federal system, attached to each federal facility
[00:21:57.686 --> 00:22:18.035]  is a big building that really doesn't have any identifying marks, but inmates, or they call them residents now, I believe, they work for 20 cents on the dollar, an hour, maybe more, maybe less, but they manufacture things that compete with the private sector.
[00:22:18.035 --> 00:22:20.196]  They get government contracts.
[00:22:20.196 --> 00:22:24.258]  So we're paying to house the residents, the inmates.
[00:22:24.258 --> 00:22:25.778]  And so they can take our jobs.
[00:22:25.778 --> 00:22:26.939]  Yeah, and they're taking our jobs.
[00:22:28.078 --> 00:22:39.190]  So it's crazy, but we, the people, I don't know how you wake people up, Alex.
[00:22:39.190 --> 00:22:46.578]  I know so many people that are still in denial, but it's just, I suppose when it happens to you,
[00:22:48.638 --> 00:22:53.040]  Then you understand, but until that point people are just oblivious.
[00:22:53.040 --> 00:22:55.982]  And then by then it's too late because your neighbor's not going to listen either.
[00:22:55.982 --> 00:23:02.525]  Right, and that's what happened in Germany to the Jewish people.
[00:23:02.525 --> 00:23:02.985]  Right?
[00:23:02.985 --> 00:23:04.746]  Even the churches were silent.
[00:23:04.746 --> 00:23:10.429]  Today our churches are silent because they are corporations controlled
[00:23:11.408 --> 00:23:13.969]  By the Taxing Authority.
[00:23:13.969 --> 00:23:16.269]  And now that control's increasing with the Faith-Based Initiative.
[00:23:16.269 --> 00:23:16.809]  You bet.
[00:23:16.809 --> 00:23:17.750]  Let's take some calls.
[00:23:17.750 --> 00:23:22.271]  Fred in South Dakota, you're on with Alex Jones and our guest, Michael Hagan, best-selling author.
