[00:00.000 --> 00:06.000]  In this present crisis, government is not the solution to our problem.
[06:04.000 --> 06:07.000]  And in the last four or five years doing more and more research,
[06:07.000 --> 06:12.000]  I came across the fact that the elite establishment is fully aware of the fact
[06:12.000 --> 06:17.000]  that our ancient ancestors, in many cases, had much better nutrition than we do today.
[06:17.000 --> 06:21.000]  And our ancient ancestors sought out the bones of the animals
[06:21.000 --> 06:23.000]  that they were hunting, killing, and then processing.
[06:23.000 --> 06:26.000]  And so I set out to develop caveman,
[06:26.000 --> 06:29.000]  but to not just have concentrated bone broth from chicken,
[06:29.000 --> 06:37.000]  but seven other superfood ingredients known for cleansing and supercharging the body at the same time.
[06:37.000 --> 06:39.000]  Info wars isn't just fighting the globalist.
[06:39.000 --> 06:44.000]  We're getting results, and we're expanding in the face of the complete media assault
[06:44.000 --> 06:47.000]  and winning because of your support.
[06:47.000 --> 06:50.000]  Caveman is finally back at the info war store.
[06:50.000 --> 06:55.000]  You can get 25% off the regular price for a limited time only at infowarslife.com
[06:55.000 --> 06:59.000]  or by calling toll free triple a 253 3139.
[06:59.000 --> 07:05.000]  Protect your skin with SPF 30 sunscreen lotion by EmRick's Essentials.
[07:05.000 --> 07:07.000]  Perfect for face and body.
[07:07.000 --> 07:12.000]  This natural unscented sunscreen can be worn at all times of the day whenever you need sun protection.
[07:12.000 --> 07:18.000]  We source ingredients from nature, producing a product free of harmful chemicals and toxins.
[07:18.000 --> 07:24.000]  This natural lotion contains 21% zinc oxide, which is the largest particle size used,
[07:24.000 --> 07:26.000]  and we do not use nanoparticles.
[07:26.000 --> 07:30.000]  The larger the particle, the safer it is for your body.
[07:30.000 --> 07:34.000]  The organic oils help hydrate the skin, leaving it nice and smooth.
[07:34.000 --> 07:38.000]  The truly natural fragrance free sunscreen for the most sensitive skin.
[07:38.000 --> 07:44.000]  EmRick's Essentials wants you to enjoy the sun and strives to bring you organic products to enhance your life.
[07:44.000 --> 07:50.000]  Naturally protect your skin with SPF 30 sunscreen lotion by EmRick's Essentials.
[07:50.000 --> 07:53.000]  Stop exposing yourself and your family to toxic ingredients.
[07:53.000 --> 08:09.000]  Visit infowarrestore.com and learn more about the new SPF 30 sunscreen lotion.
[08:23.000 --> 08:43.000]  Ladies and gentlemen, it is Wednesday, the 16th day of August 2017.
[08:43.000 --> 08:45.000]  I'll be riding shotgun with Owen Schreuer.
[08:45.000 --> 08:48.000]  Today I'm on the ground in Seattle, Washington.
[08:48.000 --> 08:53.000]  We'll also have Dr. Steve Pacinic popping in to look at the SIOP.
[08:53.000 --> 08:56.000]  He was the former head of SIOP operations at the State Department and the CIA.
[08:56.000 --> 08:59.000]  The SIOP, the media is running off of these race riots.
[08:59.000 --> 09:01.000]  They're trying to start around the country.
[09:01.000 --> 09:10.000]  And the teardown of historical monuments, which again is just a trigger to get people fighting with each other.
[09:10.000 --> 09:11.000]  We're going to be looking at that.
[09:11.000 --> 09:19.000]  We have an ongoing live event, a vigil with Heather Hare's mother, Susan Bro, and her father.
[09:19.000 --> 09:21.000]  Very, very powerful.
[09:21.000 --> 09:25.000]  The things they're saying will play some clips of that and some live clips.
[09:25.000 --> 09:30.000]  But the big elephant in the room as usual is Donald Trump.
[09:30.000 --> 09:33.000]  And boy, what a magnificent elephant he is.
[09:33.000 --> 09:37.000]  I watched that 20-minute press conference yesterday and I watched it again this morning.
[09:37.000 --> 09:41.000]  We're going to play basically all of it today.
[09:41.000 --> 09:46.000]  But I'm going to start about five minutes in when he goes to questions.
[09:46.000 --> 09:49.000]  And then later we're going to look at what he actually tried to say.
[09:49.000 --> 09:52.000]  Because the media wants Trump to fail.
[09:52.000 --> 09:55.000]  Globalists want free market nations to fail.
[09:55.000 --> 10:01.000]  They want the social context and the social contract of a free market system to fail.
[10:01.000 --> 10:19.000]  Because globalism and technocracy and all forms of authoritarianism from crony capitalism to communism to socialism to oligarchies to, you name it, do not work one-one millionth as good as a free market system.
[10:19.000 --> 10:28.000]  We've only achieved maybe 20-30% true free market behavior at the U.S.'s peak that ended around 100 years ago.
[10:28.000 --> 10:34.000]  Where we had 10% growth rates from the time this country founded right through until the Civil War and then on after.
[10:34.000 --> 10:36.000]  Now they call 3% good.
[10:36.000 --> 10:38.000]  The globalists picked the winners and losers.
[10:38.000 --> 10:40.000]  They want a nation of renters.
[10:40.000 --> 10:41.000]  They want control.
[10:41.000 --> 10:43.000]  It's in their white papers.
[10:43.000 --> 10:49.000]  And here's Trump saying, 4 trillion stock market, 400 billion new jobs, million and a half new jobs, 3 million more.
[10:49.000 --> 10:51.000]  Over a thousand companies moved back.
[10:51.000 --> 10:53.000]  Border more secured than ever.
[10:53.000 --> 10:56.000]  Pulled you out of unelected TPP.
[10:56.000 --> 10:58.000]  Pulled you out of the carbon taxes.
[10:58.000 --> 11:00.000]  Got a good Supreme Court justice in.
[11:00.000 --> 11:02.000]  Got them off the back of the Second Amendment.
[11:02.000 --> 11:04.000]  On and on and on and on and on.
[11:04.000 --> 11:14.000]  And building, if anything is true affirmative action, they are directing through federal grants and federal tax credits over 100 factories, large ones.
[11:14.000 --> 11:21.000]  And then the president's put out a list of these on White House.gov that are being built in predominantly black areas.
[11:21.000 --> 11:27.000]  And we're talking starting $20 an hour, other jobs, $35, $40, $50 an hour.
[11:27.000 --> 11:32.000]  And then they're even setting up the skilled centers for the training for the entry level.
[11:32.000 --> 11:40.000]  And so you can talk about factories where they are in the neighborhood and where they predominantly hire people out of the neighborhood after they're given the skill set to get in there.
[11:40.000 --> 11:41.000]  That is empowerment.
[11:41.000 --> 11:43.000]  That is giving people what they really want.
[11:43.000 --> 11:48.000]  All the studies show to break the back of what you call classism or tribalism.
[11:48.000 --> 11:53.000]  You always have to have upward mobility and economy, and then that unifies the people around prosperity.
[11:53.000 --> 11:55.000]  The globalists don't want unity.
[11:55.000 --> 11:57.000]  They want divide and conquer that's admitted.
[11:57.000 --> 12:00.000]  So it's an incredible time to be alive.
[12:00.000 --> 12:05.000]  I want to play a few minutes of Heather Hare's mother, Susan Bro, who was just speaking.
[12:05.000 --> 12:06.000]  She's still speaking live.
[12:06.000 --> 12:08.000]  We have the streams on infowars.com.
[12:08.000 --> 12:17.000]  We're live in a play a few minutes of what she said a few minutes ago where she was talking about, you know, my daughter is not a victim because she wanted to go fight.
[12:17.000 --> 12:22.000]  Not violently, but fight for what she believed in.
[12:22.000 --> 12:24.000]  And so her mother is proud of her.
[12:24.000 --> 12:29.000]  This is really the essence of not being a victim.
[12:29.000 --> 12:34.000]  The globalists want to use her daughter for division, for ethnic conflict.
[12:34.000 --> 12:35.000]  The globalists want this.
[12:35.000 --> 12:36.000]  It's amazing.
[12:36.000 --> 12:41.000]  But you look at Trump's press conference and how he destroyed the fake news.
[12:41.000 --> 12:43.000]  It was so powerful.
[12:43.000 --> 12:45.000]  So that's coming up as well.
[12:45.000 --> 12:48.000]  They said, why are people leaving the manufacturing board?
[12:48.000 --> 12:51.000]  Because he can't get Merck under armor to move their factories back.
[12:51.000 --> 13:03.000]  He put them on the boards, hundreds of groups to give them good deals and to find out how they're getting screwed by China, India, Mexico and others to be able to have a two way street to come back.
[13:03.000 --> 13:05.000]  And then they didn't want to move back.
[13:05.000 --> 13:07.000]  He was even letting people move back 10%.
[13:07.000 --> 13:09.000]  Just he's telling Apple.
[13:09.000 --> 13:10.000]  Let me tell you something.
[13:10.000 --> 13:13.000]  You can keep your $400 billion or whatever it is you got overseas.
[13:13.000 --> 13:14.000]  You didn't pay taxes on.
[13:14.000 --> 13:16.000]  You're going to move that money back here.
[13:16.000 --> 13:17.000]  You're going to spend it here.
[13:17.000 --> 13:18.000]  And let me tell you something too.
[13:18.000 --> 13:21.000]  You can keep your factories in China, but you're going to build some new ones here.
[13:21.000 --> 13:23.000]  You're going to give us something.
[13:23.000 --> 13:33.000]  I mean, that's somebody literally that doesn't have a globalist, elitist, blue blood attitude of screwing you over and breaking your wills in America by breaking this economy.
[13:33.000 --> 13:34.000]  That's all coming up.
[13:34.000 --> 13:38.000]  But first, let's go to a mother who's stronger than I am.
[13:38.000 --> 13:41.000]  I don't know about four or five days later after this happened to my daughters or my son.
[13:41.000 --> 13:44.000]  I think this lady is a lot more tough than I am.
[13:44.000 --> 13:47.000]  And the way she said, we appreciate what President Trump said.
[13:47.000 --> 13:49.000]  We appreciate him talking about unity.
[13:49.000 --> 13:51.000]  She said his statement was not insensitive.
[13:51.000 --> 13:58.000]  The first statement or the second or the third, she's come out defending Trump because this lady's got a lot of class.
[13:58.000 --> 14:01.000]  And I want to hear, I haven't heard what the husband said yet or the father.
[14:01.000 --> 14:03.000]  I've heard it was powerful too, but that's coming up.
[14:03.000 --> 14:07.000]  Let's play a few minutes of her.
[14:07.000 --> 14:10.000]  We're going to carry Heather's spark through.
[14:10.000 --> 14:15.000]  So remember in your heart, if you're not outraged, you're not paying attention.
[14:15.000 --> 14:21.000]  And I want you to pay attention, find what's wrong, don't ignore it, don't look the other way.
[14:21.000 --> 14:28.000]  You make a point to look at it and say to yourself, what can I do to make a difference?
[14:28.000 --> 14:32.000]  And that's how you're going to make my child's death worthwhile.
[14:32.000 --> 14:37.000]  I'd rather have my child, but by golly, if I got to give her up, we're going to make it count.
[14:37.000 --> 14:41.000]  All right, that's powerful.
[14:41.000 --> 14:44.000]  We're going to play extensively around the game.
[14:44.000 --> 14:47.000]  And her father, because there's the more we haven't gotten to yet.
[14:47.000 --> 14:48.000]  And here's the deal.
[14:48.000 --> 14:56.000]  I don't know her daughter, Heather Hare, but there are a lot of people that go out to these anti-racism rallies who really have seen the KKK.
[14:56.000 --> 15:06.000]  They really have seen, you know, these unsavory groups do stuff, but they've also seen Hollywood that put out about, what, 150 movies the last three years about this to really make this painful.
[15:06.000 --> 15:08.000]  The people that have, you know, hearts.
[15:08.000 --> 15:14.000]  It's like the reports of little kids that see the modern environmental shows where the bunnies are dying, the polar bears are drowned.
[15:14.000 --> 15:17.000]  And then they see a condo being built and they cry.
[15:17.000 --> 15:22.000]  And I've talked to parents where, you know, they're six-year-old cries and falls out on their knees.
[15:22.000 --> 15:26.000]  One of my daughter's friends, when they were younger, she said, yeah, no, they cry.
[15:26.000 --> 15:29.000]  She cried and said, we're killing the bunnies.
[15:29.000 --> 15:32.000]  And basically, you know, said, I want to die for the bunnies.
[15:32.000 --> 15:36.000]  And in Australia, you can Google this, ABC News Australia.
[15:36.000 --> 15:42.000]  That's the Australian Broadcasting News, not our ABC, but it's international TV.
[15:42.000 --> 15:44.000]  It was eight years ago, Paul Watson wrote about it.
[15:44.000 --> 15:53.000]  They had a video game and a cartoon for kids where you have a carbon footprint and as you live and eat food and live, it chops the heads off of bunnies and puppies and kittens.
[15:53.000 --> 15:58.000]  And then in the game, though, you commit suicide and win the game and then all the bunnies can live.
[15:58.000 --> 16:02.000]  And you just quietly go into a little room.
[16:02.000 --> 16:04.000]  You agree to commit suicide at a euthanasia center.
[16:04.000 --> 16:06.000]  And how sick is that?
[16:06.000 --> 16:13.000]  Teaching you to kill yourself so David Rockefeller has more power, Lord Rothschild has more power.
[16:13.000 --> 16:20.000]  They're cutting off your life force and teaching you your evil so you get out of the way, but not before you're played off against each other.
[16:20.000 --> 16:22.000]  And I'm not saying that happened with Heather Hare.
[16:22.000 --> 16:27.000]  She was there believing she was standing up against something evil.
[16:27.000 --> 16:30.000]  And there was some evil she was standing up against.
[16:30.000 --> 16:37.000]  That's what Donald Trump said in his press conference that's coming up at the bottom of the hour that I'm going to analyze live here with Owen Schreuer,
[16:37.000 --> 16:43.000]  because he said there were good people on the side of the left and there were good people on the side of the right.
[16:43.000 --> 16:44.000]  There were reporters.
[16:44.000 --> 16:46.000]  There were people that are interested in history.
[16:46.000 --> 16:48.000]  There were people that just came out to see what was happening.
[16:48.000 --> 16:54.000]  Yeah, our reporters were there and got attacked and the police stood down and then you had bad groups on both sides.
[16:54.000 --> 17:00.000]  But it was the group on the left that came in there with clubs and things beating people against the group that had a permit.
[17:00.000 --> 17:04.000]  Is it okay to attack a group that has a permit and have it stand down?
[17:04.000 --> 17:08.000]  I don't care if you're the new Black Panther Party, basically a black KKK group.
[17:08.000 --> 17:10.000]  You have a right to your rally.
[17:10.000 --> 17:12.000]  You have a right to not be attacked.
[17:12.000 --> 17:14.000]  I don't care if you're an idiot KKK group.
[17:14.000 --> 17:16.000]  You have a right to your rally.
[17:16.000 --> 17:22.000]  The media is going to edit that all together and say that I love the KKK or I love this and that because they're liars.
[17:22.000 --> 17:26.000]  That's why MSNBC and CNN are so hated.
[17:26.000 --> 17:32.000]  I get up here to show you Washington Post where a Jewish reporter got caught staging attacks on Jewish centers and how Trump was right.
[17:32.000 --> 17:34.000]  And how we've caught other Jewish groups doing.
[17:34.000 --> 17:36.000]  I'm not bashing Jews when I do that.
[17:36.000 --> 17:37.000]  George Soros is a Nazi.
[17:37.000 --> 17:42.000]  He's funding groups to go out and do this to control Jews and get them under his control for his political agenda.
[17:42.000 --> 17:46.000]  Just like they're attacking other folks and other racial groups and other religious groups.
[17:46.000 --> 17:48.000]  And then the media says, oh, I'm anti-Semitic.
[17:48.000 --> 17:49.000]  That's a load of crap.
[17:49.000 --> 17:52.000]  George Soros is a listed enemy of Israel in the WikiLeaks.
[17:52.000 --> 17:53.000]  He wants its overthrow.
[17:53.000 --> 17:54.000]  I don't.
[17:54.000 --> 17:57.000]  I'm reporting the truth because they said Trump was anti-Semitic.
[17:57.000 --> 18:02.000]  When he said he thought leftists were staging attacks on Jews to say he was anti-Semitic.
[18:02.000 --> 18:11.000]  How did Trump in his first speech to Congress earlier this year have to quote address and say he's against the attacks on Jewish centers?
[18:11.000 --> 18:13.000]  Of course he's against the attacks on Jewish centers.
[18:13.000 --> 18:15.000]  It's like if women are getting raped.
[18:15.000 --> 18:19.000]  Do they call me up and say, Alex, to cry this woman that got raped in New York City?
[18:19.000 --> 18:21.000]  Well, of course I'm against rape.
[18:21.000 --> 18:22.000]  Well, it's the same thing.
[18:22.000 --> 18:31.000]  Oh, somebody's turning over Jewish headstones and putting pain on synagogues and death-threading them every day and with telephone calls.
[18:31.000 --> 18:33.000]  Is it your supporters, Trump?
[18:33.000 --> 18:34.000]  Say you're sorry.
[18:34.000 --> 18:36.000]  Trump says, I am sorry for that.
[18:36.000 --> 18:40.000]  I like Jews in Israel and I think leftists are doing this to make it look like I'm anti-Semitic.
[18:40.000 --> 18:43.000]  Oh, you're saying Jews do false flags.
[18:43.000 --> 18:48.000]  No, I'm saying leftists do it, who happen to be Jewish against other Jews to control them.
[18:48.000 --> 18:50.000]  Absolutely correct, Mr. President.
[18:50.000 --> 18:53.000]  You were proven correct yet again.
[18:53.000 --> 18:59.000]  But again, MSNBC and CNN and George Soros, the known Nazi collaborator,
[18:59.000 --> 19:05.000]  working to fund Palestinians to literally stab Jews to death in the streets and in their houses and our media.
[19:05.000 --> 19:10.000]  Then when a Palestinian kills three Jews in their own house a few weeks ago, it happens every day, every few days.
[19:10.000 --> 19:14.000]  They set on the news a Palestinian was shot in an apartment.
[19:14.000 --> 19:19.000]  Doesn't tell you there was pools of blood and three dead Jews or there's a suicide bombing.
[19:19.000 --> 19:28.000]  And then they, you know, shoot somebody who was with them and they go, oh, you know, they go, oh, three Israeli police shot somebody.
[19:28.000 --> 19:30.000]  They don't tell you that the guy had a suicide bomb.
[19:30.000 --> 19:39.000]  This is how it's crazy it is where the media and Soros and all this are clearly anti-state of Israel, anti-right wing state of Israel.
[19:39.000 --> 19:46.000]  But then meanwhile, they project on everybody else where we've got to bow down that we're against blacks and we're against women and we're against gays.
[19:46.000 --> 19:48.000]  And we're, well, none of it's even true.
[19:48.000 --> 19:54.000]  We're against globalism and ending our sovereignty and being poor and being enslaved and not having religious freedom and radical, unvetted,
[19:54.000 --> 19:57.000]  and muzzles being brought in by the millions.
[19:57.000 --> 20:10.000]  We'll be back with Elwin Shroyer, President Trump's presentation.
[20:28.000 --> 20:34.000]  Katie Armor has been on a mission to manufacture the most comfortable body armor on the market and we've succeeded.
[20:34.000 --> 20:41.000]  With the release of our CQB technology, we now offer the most comfortable, concealable rifle threat body armor available.
[20:41.000 --> 20:45.000]  Things may look good now, but what if you need added protection?
[20:45.000 --> 20:50.000]  Get your very own concealable rifle threat armor today at katiearmor.com.
[20:50.000 --> 20:57.000]  And for a limited time, get all plates at wholesale pricing only at katiearmor.com.
[20:57.000 --> 21:02.000]  As most of you already know, I am a voracious consumer of news and information.
[21:02.000 --> 21:10.000]  And in the last four or five years doing more and more research, I came across the fact that the elite establishment is fully aware of the fact
[21:10.000 --> 21:15.000]  that our ancient ancestors, in many cases, had much better nutrition than we do today.
[21:15.000 --> 21:22.000]  And our ancient ancestors sought out the bones of the animals that they were hunting, killing, and then processing.
[21:22.000 --> 21:28.000]  And so I set out to develop caveman, but to not just have concentrated bone broth from chicken,
[21:28.000 --> 21:35.000]  but seven other superfood ingredients known for cleansing and supercharging the body at the same time.
[21:35.000 --> 21:38.000]  Info wars isn't just fighting the globalist.
[21:38.000 --> 21:46.000]  We're getting results and we're expanding in the face of the complete media assault and winning because of your support.
[21:46.000 --> 21:49.000]  Caveman is back in stock. People absolutely love it.
[21:49.000 --> 22:08.000]  So please secure your caveman today at infowarslife.com or by calling toll free triple A 253 3139.
[22:19.000 --> 22:27.000]  Call 877-886-3653. 877-886-3653. Go Berkey.com.
[22:49.000 --> 23:00.000]  Are you one of the 15 million men who suffer from an enlarged prostate?
[23:00.000 --> 23:06.000]  If your life revolves around finding the closest bathroom, if you're tired of waking up many times a night to urinate,
[23:06.000 --> 23:09.000]  then you need to know about prostate miracle.
[23:09.000 --> 23:14.000]  Prostate miracle contains beta-cytosterone, which is 3,000 times stronger than salt bow metal.
[23:14.000 --> 23:23.000]  From your $10 Patriot discount, go to prostatemiracle.com and enter promo code PATRIOT or call 877-965-2140.
[23:23.000 --> 23:26.000]  That's 877-965-2140.
[23:26.000 --> 23:29.000]  At Humalife, we believe your health is your wealth.
[23:29.000 --> 23:36.000]  That's why we offer an exclusive potent and pure selection of Omri certified 100% organic humic and fulvic acid concentrates.
[23:36.000 --> 23:41.000]  These two acids stop viruses and harmful bacteria and increase frequency, vibration and vitality.
[23:41.000 --> 23:47.000]  In fact, they're called the missing link to your health. Pure liquid organic ATP energy rebuilds and regrows the immune system.
[23:47.000 --> 23:50.000]  You are the doctor at Humalife. You know best because you are the test.
[23:50.000 --> 23:58.000]  Find out more at HumalifeUSA.com. That's HumalifeUSA.com.
[23:58.000 --> 24:14.000]  We are live, my friends, on this global transmission, the Wednesday 16th of August 2017.
[24:14.000 --> 24:23.000]  We had Milo Unopolis in studio a few weeks ago, but we taped an exclusive interview that's the interview that Meg and Kelly should have done.
[24:23.000 --> 24:25.000]  We're actually asking a lot of hard questions.
[24:25.000 --> 24:28.000]  We're going to premiere that here on radio in the third hour.
[24:28.000 --> 24:33.000]  Oh, and Troy is going to be taking your phone calls in the second hour and fourth hour today.
[24:33.000 --> 24:37.000]  And Dr. Steve Pacinic is going to be popping in, but here's the bottom line.
[24:37.000 --> 24:47.000]  MSN is not real media. The very fake news of CNN and of MSNBC, and now Fox to a great extent, is globalist owned.
[24:47.000 --> 24:49.000]  They're the multinationals taking the country over.
[24:49.000 --> 24:51.000]  They're the ones exploiting our jobs.
[24:51.000 --> 24:54.000]  They're the ones that want a consolidated economy, not a growing economy.
[24:54.000 --> 24:59.000]  They're the ones that tell Africans they can't have cars and air conditioning, but it's okay because Obama's black.
[24:59.000 --> 25:02.000]  The greatest form of racism is classism.
[25:02.000 --> 25:08.000]  The greatest form of discrimination is systems that seek to make the general public poor to control them.
[25:08.000 --> 25:10.000]  It's called feudalism. It's called serfdom.
[25:10.000 --> 25:15.000]  It's been the most popular ongoing form of governance in world history.
[25:15.000 --> 25:23.000]  In fact, it was the only form of governance until about 2,200 years ago in Greece.
[25:23.000 --> 25:29.000]  And their pure democracy was a bucket of black rocks, a bucket of white rocks.
[25:29.000 --> 25:39.000]  And if the ruling class could vote, only men that were landed and titled, they would vote with the rocks on what they were going to do, a straight up vote.
[25:39.000 --> 25:41.000]  They also voted routinely to kill people.
[25:41.000 --> 25:45.000]  So they didn't like what you said. They'd have a vote and throw it off the cliff or make a drink, a hemlock.
[25:45.000 --> 25:47.000]  So these are cold-blooded globalists that are running things.
[25:47.000 --> 25:49.000]  They're psychopaths, they're sociopaths.
[25:49.000 --> 25:52.000]  They hate the American system. They hate the largesse of it.
[25:52.000 --> 25:56.000]  They hate the freedom of the Renaissance, the spoiledness of the public.
[25:56.000 --> 26:01.000]  Maybe we don't deserve it. Maybe we're not smart enough for what Trump's trying to open the door to.
[26:01.000 --> 26:03.000]  He didn't invent this. He's trying to bring it back.
[26:03.000 --> 26:13.000]  But there are losers in this video coming up in the next segment of his press conference when he's giving you all the evidence of the uphill delivery of victory
[26:13.000 --> 26:19.000]  and real economy for the average person and not letting rigged elites have crony capitalism and pick winners.
[26:19.000 --> 26:27.000]  And the media is just frothing like wild dogs on chains trying to get at the lion that's out there and just spewing everything.
[26:27.000 --> 26:33.000]  And he is so balanced. He's so accurate. He's so focused. He's so confident.
[26:33.000 --> 26:39.000]  It's incredible. So you ought to yourself to see what he actually said versus snippets edited together.
[26:39.000 --> 26:44.000]  Owen Troyer, you're going to be riding shotgun here today. Do you concur with my analysis or what's your break down?
[26:44.000 --> 26:49.000]  I thought that the press conference yesterday was one of the greatest press conferences I've ever heard.
[26:49.000 --> 27:01.000]  I think it's beyond pathetic, beyond words, beyond comprehension that we can tune into mainstream media over the course of the 18 hours or whatever it is since that press conference.
[27:01.000 --> 27:08.000]  And they still say Trump yet to denounce white supremacy, Trump yet to denounce the violence at the rallies.
[27:08.000 --> 27:14.000]  It's just cold, blooded lies, just straight up lies.
[27:14.000 --> 27:23.000]  And what I'm hoping, and it wasn't the case if you tuned into C-SPAN today, a bunch of callers fell for it, is that America can see through the mainstream media lies.
[27:23.000 --> 27:26.000]  You would think this is as basic as it gets.
[27:26.000 --> 27:33.000]  Oh, and I totally agree. Here's the problem with C-SPAN. They now scream the calls. They ask, do you think he's a racist or do you not think he's a racist?
[27:33.000 --> 27:39.000]  Or are you not sure? They do Republican, Democrat, independent, or they do think Trump's bad, think Trump's good, not sure.
[27:39.000 --> 27:43.000]  Okay, so you've got to basically lie on the call screen to get through.
[27:43.000 --> 27:52.000]  But absolutely, we need to get Darren McBreen or one of the people now, not tomorrow, not next week, because no one will care then, to show him denounce it on Saturday,
