[00:00:00.229 --> 00:00:02.930]  Shot one kill, a Marine Corps Sniper.
[00:16:52.563 --> 00:16:54.665]  I think I was the youngest guy there, 56.
[00:16:54.665 --> 00:17:02.737]  Well, we have meetings here in Austin and over half the folks are below 30, so we have thousands that show up and hundreds to any meeting we set, so...
[00:17:03.397 --> 00:17:04.997]  We need more young leaders.
[00:17:04.997 --> 00:17:06.018]  Here's an example, L.A.
[00:17:06.018 --> 00:17:06.398]  Times.
[00:17:06.398 --> 00:17:09.859]  Many school texts distort history, slamming the U.S.
[00:17:09.859 --> 00:17:11.859]  and glorifying despotic regimes.
[00:17:11.859 --> 00:17:14.440]  I have one they use in Texas, a world history book.
[00:17:14.440 --> 00:17:18.201]  It says Mao was good, helped the people, the Second Amendment is bad.
[00:17:18.201 --> 00:17:22.422]  Actually says that, and Josh Sugarman of Handgun Control Incorporated
[00:17:23.140 --> 00:17:30.364]  And the Violence Policy Center says, in our local paper, he said, we're going to get your guns, we've got your kids, so they know what they're doing, don't they?
[00:17:30.364 --> 00:17:34.586]  Oh, they're trying real hard, and they're trying to convince us they've already won, and it's hopeless to fight against them.
[00:17:34.586 --> 00:17:47.052]  But the thing is, they haven't won anything yet, as long as we can do several things right now, and that is get back in control of the situation by getting in control of our own school systems, getting control of our own state legislatures.
[00:17:47.052 --> 00:17:48.953]  We've got to start at the local level first.
[00:17:48.953 --> 00:17:49.413]  Absolutely.
[00:17:49.413 --> 00:17:50.334]  Listen to this headline.
[00:17:50.931 --> 00:17:53.638]  The American empire, like it or not, it's reality.
[00:17:53.638 --> 00:17:54.219]  Embrace it.
[00:17:54.219 --> 00:17:55.061]  Get used to it.
[00:17:55.061 --> 00:17:55.924]  Chicago Tribune.
[00:17:57.176 --> 00:17:59.138]  Well, I've got bad news for those guys.
[00:17:59.138 --> 00:18:05.442]  It may be that way in downtown Chicago, but it's not that way in downtown Oklahoma, Texas, and Kansas.
[00:18:05.442 --> 00:18:09.666]  The majority of America right now, a lot of them are waking up.
[00:18:09.666 --> 00:18:11.887]  We're out here where we don't have a microphone to talk to.
[00:18:11.887 --> 00:18:17.211]  We're out here where we don't have a TV camera to broadcast to everybody, but we're still out here.
[00:18:17.211 --> 00:18:18.973]  The thing about it is, the Army is huge.
[00:18:18.973 --> 00:18:23.416]  It's out here, but what we've got to do is we've got to start putting into motion
[00:18:26.919 --> 00:18:29.201]  We've also got to get focused on real issues.
[00:18:29.201 --> 00:18:32.944]  You know, on my show, in your presentations, we talk about real things.
[00:18:32.944 --> 00:18:40.150]  So many of the so-called patriots are off in la-la land with visions and flying saucers and that's also hurting us.
[00:18:40.550 --> 00:18:43.311]  Well, and all of that is diversifying the forces.
[00:18:43.311 --> 00:18:45.272]  That takes away from the main thrust of the thing.
[00:18:45.272 --> 00:18:53.335]  That's like, if we investigate the Oklahoma City bombing case, and all of a sudden we had all these different media guys launching us off into different directions.
[00:18:53.335 --> 00:19:03.759]  Investigate the militias, investigate the right ones, investigate Pat Robertson, investigate Elohim City, investigate, you know, and when you start splitting your forces up, you dilute the progress of the actual mission at hand.
[00:19:04.119 --> 00:19:05.100]  All right, stay there.
[00:19:05.100 --> 00:19:05.900]  Calls coming up.
[00:19:05.900 --> 00:19:08.322]  A bunch of other news items we haven't had on yet.
[00:19:08.322 --> 00:19:09.903]  We'll get Colonel Roberts' take.
[00:19:09.903 --> 00:19:13.625]  I'm Alex Jones, InfoWars.net, PrisonPlanet.com.
[00:19:13.625 --> 00:19:14.646]  We'll be back with your calls.
[00:19:14.646 --> 00:19:15.066]  Stay with me.
[00:19:23.602 --> 00:19:24.902]  Big Brother.
[00:19:24.902 --> 00:19:26.662]  Mainstream media.
[00:19:26.662 --> 00:19:27.883]  Government cover-ups.
[00:19:27.883 --> 00:19:30.023]  You want answers?
[00:19:30.023 --> 00:19:31.564]  Well, so does he.
[00:19:31.564 --> 00:19:35.765]  He's Alex Jones on the GCN Radio Network.
[00:19:35.765 --> 00:19:39.806]  And now, live from Austin, Texas, Alex Jones.
[00:19:41.992 --> 00:19:45.795]  Governments always get corrupt individuals in control of them.
[00:19:45.795 --> 00:19:48.617]  They always seek to maintain control and expand that control.
[00:19:48.617 --> 00:19:56.183]  They always flip out and get on power trips and start exterminating their populations for no reason other than the fact that they serve their father.
[00:19:56.183 --> 00:19:57.485]  We know who that is.
[00:19:57.485 --> 00:19:59.026]  We're joined by Colonel Craig Roberts.
[00:20:00.057 --> 00:20:05.040]  Best-selling author, Marine Corps Sniper, Army Intelligence Colonel, Police Officer, the list goes on and on.
[00:20:05.040 --> 00:20:08.142]  Your calls are coming up.
[00:20:08.142 --> 00:20:10.763]  1-800-259-9231.
[00:20:10.763 --> 00:20:12.184]  Operation Top-Off, Colonel.
[00:20:12.184 --> 00:20:13.165]  You saw the road to tyranny.
[00:20:13.165 --> 00:20:16.506]  You saw the fake nuclear spills, the fake bio-attacks here in Austin.
[00:20:16.506 --> 00:20:22.070]  It's come out that the White House, under Clinton and Bush, ordered fake terror alerts to quote, create hysteria.
[00:20:23.050 --> 00:20:25.014]  This is how they get us to get under their control.
[00:20:25.014 --> 00:20:27.840]  These are drills to practice federalizing everything.
[00:20:27.840 --> 00:20:30.525]  The lockdown, all the cities, the gun confiscation training.
[00:20:31.445 --> 00:20:38.529]  Now, officials prepare for a bioterrorism drill taking place from Chicago to Seattle right now with fake, dirty bombs and stuff.
[00:20:38.529 --> 00:20:45.613]  And locally, they announced this nationally, locally, they're saying it's real and hours later, after terrorizing, saying it was a drill.
[00:20:45.613 --> 00:20:47.634]  How important are these drills?
[00:20:47.634 --> 00:20:55.218]  How does it tie into the EAS system, known as Amber Alert, really a FEMA takeover system, and all radio and television stations?
[00:20:55.218 --> 00:20:58.020]  What do we see forming now under FEMA and Homeland Security?
[00:20:58.695 --> 00:21:08.998]  Well, I think what they've done, basically, is create a secondary form of government that physically takes over at the push of a button.
[00:21:08.998 --> 00:21:17.220]  And it circumvents the Constitution, circumvents all the laws, and they do whatever they want to do, and they declare it as necessary for your own protection under a national emergency.
[00:21:17.220 --> 00:21:19.641]  And now they're practicing the activation of this.
[00:21:19.921 --> 00:21:22.263]  Well, and they have been for a long time.
[00:21:22.263 --> 00:21:31.993]  They've had several different types of drills, but what they're doing is they're bringing it together into regional and national exercises to work the bugs out and find out what really works and to get us used to seeing it.
[00:21:31.993 --> 00:21:33.815]  I think that's the most important thing.
[00:21:33.815 --> 00:21:36.037]  So they're war-gaming for the takeover.
[00:21:36.037 --> 00:21:43.184]  Yeah, and at the same time, you've got to prepare the public to accept something as being something that's planned and it's for your own good and it's normal.
[00:21:43.584 --> 00:21:55.010]  You know, when you read the little bits and pieces and are able to put them together, and that's what I used to do in technical intelligence, was try to take the bits and pieces of the reconnaissance reports and satellite photos and all that and put it together and try to figure out what the bad guys were up to.
[00:21:55.010 --> 00:21:57.772]  It's not bits and pieces now, it's right out in the open.
[00:21:57.772 --> 00:22:00.353]  Well, it is, except it's not, because they don't make a big deal.
[00:22:00.353 --> 00:22:01.554]  You only see it for 30 seconds.
[00:22:01.554 --> 00:22:04.396]  Oh yeah, they calmly report it like it's no big deal, yeah.
[00:22:04.396 --> 00:22:08.358]  It's just like, you know, having a toothpick or a pothole, and by the way, we rounded up a thousand people today.
[00:22:09.583 --> 00:22:15.346]  It just passes in one ear and out the other, and it's mind-numbing because the people see this and they go on, but they're not thinking.
[00:22:15.346 --> 00:22:17.747]  It's almost subliminal.
[00:22:17.747 --> 00:22:19.348]  It is, except it's more out in the open.
[00:22:19.348 --> 00:22:19.828]  It's right there.
[00:22:19.828 --> 00:22:24.170]  They say, well, it was on the news, and no one seemed to mind, you know.
