[00:00:03.397 --> 00:00:05.258]  It's Sunday, April 25th.
[00:04:38.597 --> 00:04:40.158]  So Owen Schroeder is coming up live today.
[00:04:40.578 --> 00:04:43.060]  But as negative as stuff is, this is very, very positive.
[00:04:43.060 --> 00:04:48.085]  Now let's expose the whole race war hoax, divide and conquer, and the open border strategy they're pushing as well.
[00:04:48.085 --> 00:04:53.871]  And we can win this thing because Biden just announced an 800-fold increase of illegal aliens coming to the United States.
[00:04:53.871 --> 00:05:00.317]  So that's the next big fight to expose, secure our borders, secure the Republic, expose the Great Reset Replacement Migration Program.
[00:05:01.500 --> 00:05:04.561]  I one trillion percent believe what I'm saying.
[00:05:04.561 --> 00:05:06.261]  Hell, everybody knows that.
[00:05:06.261 --> 00:05:07.522]  I'll just tell you what I'm really thinking.
[00:05:07.522 --> 00:05:09.923]  People say, Jones, why the hell did you just say that on air?
[00:05:09.923 --> 00:05:10.963]  That's embarrassing.
[00:05:10.963 --> 00:05:14.384]  Well, I'm not going to stop with only the good stuff about me.
[00:05:14.384 --> 00:05:15.924]  But I'll tell you this right now.
[00:05:15.924 --> 00:05:18.405]  You're nuts if you don't get storable food.
[00:05:18.405 --> 00:05:23.407]  And I've got the biggest, best sponsor with the highest quality food at the lowest price you're going to find.
[00:05:23.407 --> 00:05:27.828]  Can you spend triple or four times it and get like gourmet stuff that tastes even better?
[00:05:27.828 --> 00:05:27.908]  Yeah.
[00:05:28.835 --> 00:05:30.276]  Most of this stuff tastes amazing.
[00:05:30.276 --> 00:05:31.397]  Some of it tastes okay.
[00:05:31.397 --> 00:05:34.959]  The point is it's high quality, it's nutritious, and it lasts a long time.
[00:05:34.959 --> 00:05:37.481]  And compared to other competitors, they can't even get close.
[00:05:38.385 --> 00:05:48.813]  We've got three months, six months, your supplies right now and I've twisted their arms so hard to give you 10% off again because you're so conditionally fine or super sale.
[00:05:48.813 --> 00:05:50.714]  We're doing it one more time.
[00:05:50.714 --> 00:05:52.936]  Infowarrestore.com.
[00:05:52.936 --> 00:05:55.078]  Infowarrestore.com.
[00:05:55.078 --> 00:05:58.460]  10% off the entire catalog of my favorite supply.
[00:05:58.460 --> 00:05:59.501]  Get ready while you still can.
[00:06:14.139 --> 00:06:19.063]  Defending the Republic from enemies, foreign and domestic.
[00:06:19.063 --> 00:06:21.145]  It's Alex Jones.
[00:06:21.145 --> 00:06:26.189]  And now, your host, Owen Troyer.
[00:06:26.189 --> 00:06:40.400]  Think about the epic times you're in, where the entire world and its governments are involved in the planning and the execution
[00:06:42.991 --> 00:06:46.052]  Of a pandemic.
[00:06:46.052 --> 00:06:51.235]  Some call it a scam-demic, a plannedemic, a fake pandemic, call it whatever you want.
[00:06:51.235 --> 00:07:09.803]  They pulled it off, they did it worldwide, and now they are forcing citizens, they are forcing humans to consume their big pharmaceutical product, their DNA therapy technology.
[00:07:11.543 --> 00:07:36.779]  Using the fear of their plannedemic to roll it out and then the holding you hostage with lockdowns and shutting down your businesses and churches and the threats if you don't comply, holding you hostage to the pandemic, forcing you to consume the big pharmaceutical product and
[00:07:38.886 --> 00:07:40.827]  It's hard to really wrap your mind around it.
[00:07:40.827 --> 00:07:45.350]  It's hard to accept that that's the reality.
[00:07:45.350 --> 00:08:03.080]  But once you can understand that and how diabolical it is, you begin to open your mind and your heart to many of the diabolical truths that we are experiencing, that people are in denial about.
[00:08:03.080 --> 00:08:07.883]  And so, when you have people getting the vaccine,
[00:08:09.068 --> 00:08:29.159]  And then dropping dead days later, whether it's famous American athletes like Hank Aaron, or it is the public health ambassador of India who promotes the vaccine, says it's great, then dies after getting it.
[00:08:29.159 --> 00:08:37.044]  That is not a coincidence.
[00:08:37.044 --> 00:08:38.565]  And you had panels of doctors
[00:08:39.449 --> 00:08:43.572]  Around the world that came out a year ago and said there's no need for these lockdowns.
[00:08:43.572 --> 00:08:45.793]  There's no need for these closures.
[00:08:45.793 --> 00:08:48.515]  There's no need for this response to a COVID virus.
[00:08:48.515 --> 00:08:50.216]  If anything, we should be getting outside more.
[00:08:50.216 --> 00:08:52.277]  We should continue to live our normal lives.
[00:08:52.277 --> 00:08:55.660]  We shouldn't be wearing masks.
[00:08:55.660 --> 00:09:05.206]  But no, the global health establishment, which is supposed to have your best interests in mind, supposed to care about your health, told you to wear a mask.
[00:09:07.595 --> 00:09:15.337]  After they told you not to wear a mask, then they told you to wear a mask, then they said wear two masks, wear three if you have them, four if you can afford it.
[00:09:15.337 --> 00:09:22.559]  Maybe not in a Biden economy, but you can afford five.
[00:09:22.559 --> 00:09:30.661]  And then you had high school athletes dropping from oxygen deprivation.
[00:09:30.661 --> 00:09:33.381]  That happened last summer too, the media didn't report it.
[00:09:33.381 --> 00:09:34.462]  Now it's happening again and
[00:09:36.269 --> 00:09:40.751]  The coaches and local media is actually a little more privy to what's going on.
[00:09:40.751 --> 00:09:42.031]  Oh, it's the mask?
[00:09:42.031 --> 00:09:43.832]  They can't get oxygen.
[00:09:43.832 --> 00:09:49.374]  Oh, that makes sense.
[00:09:49.374 --> 00:09:53.715]  And now you have a story up at InfoWars.com.
[00:09:53.715 --> 00:09:54.356]  Disturbing.
[00:09:54.356 --> 00:10:02.298]  Vaccines zoomed with microscope appears to show living cells and organisms mixed in.
[00:10:02.298 --> 00:10:03.799]  Soylent green is people.
[00:10:05.333 --> 00:10:21.605]  Laboratory footage of what is alleged to be Pfizer's COVID-19 vaccine shows puzzled German scientists debating what exactly they're looking at under the microscope, as apparently organisms separate from the viral particles are discovered.
[00:10:21.605 --> 00:10:24.827]  It's not quite clear to me what we have seen here, one scientist said.
[00:10:24.827 --> 00:10:28.770]  So, this is content from the Pfizer vaccine, a colleague said.
[00:10:28.770 --> 00:10:30.891]  This is from Pfizer, yes.
[00:10:30.891 --> 00:10:33.233]  Wow, but do you know what it is yet?
[00:10:33.233 --> 00:10:33.273]  No!
[00:10:35.834 --> 00:10:38.135]  It could be a more jellin.
[00:10:38.135 --> 00:10:48.140]  And it goes on from there.
[00:10:48.140 --> 00:10:59.786]  So imagine a super contagious, if you will, gain of function is the term they use.
[00:11:00.678 --> 00:11:13.601]  So a gain-of-function research virus, which is just one of the number one viruses, the flu virus, the COVID virus, gain-of-function research was to be shut down in a U.S.
[00:11:13.601 --> 00:11:14.041]  lab.
[00:11:14.041 --> 00:11:18.483]  It was then moved to a lab in Wuhan, China, where they continued the research.
[00:11:18.483 --> 00:11:21.163]  It then escaped from that lab.
[00:11:21.163 --> 00:11:23.884]  We had multiple drills and events and planning
[00:11:25.626 --> 00:11:37.471]  About a pandemic in 2020, even using the COVID virus as the pretext, and everything else that followed with the censorship and the shutdowns.
[00:11:37.471 --> 00:11:48.556]  And then on the back end, now billions, they say billions of vaccines have been administered worldwide.
[00:11:48.556 --> 00:11:51.637]  That's some freaky deaky stuff.
[00:11:53.388 --> 00:11:59.834]  And then they zoom in on the vaccine with a microscope and they say, what the hell is that?
[00:11:59.834 --> 00:12:11.605]  I've covered threads on Twitter where someone, a viral thread where someone has their vaccine card and say, oh, for the first time in my life, I'm glad I've had, I have asthma.
[00:12:11.605 --> 00:12:13.487]  Look, I got my vaccine first.
[00:12:13.487 --> 00:12:16.310]  I'm having awful, horrible side effects, but I'm still really glad.
[00:12:16.974 --> 00:12:29.145]  And then it's all these other people chiming in, hey I had this side effect, I had that side effect, but they're still celebrating that they've been vaccinated in the new religion where George Floyd is the saint.
[00:12:29.145 --> 00:12:30.906]  He sacrificed himself is what they say.
[00:12:30.906 --> 00:12:35.631]  So now they sacrifice themselves for what they believe is the greater good, getting vaccinated.
[00:12:35.631 --> 00:12:40.195]  And if that means becoming infertile, if that means
[00:12:41.508 --> 00:12:44.790]  Getting Guillain-Barré or Bell's Palsy or hell, dying.
[00:12:44.790 --> 00:12:46.171]  Well that's just the fight.
[00:12:46.171 --> 00:12:49.853]  That's just the good fight for the good lib.
[00:12:49.853 --> 00:12:54.755]  So now Jimmy Dore posts this.
[00:12:54.755 --> 00:12:56.836]  I had my second Moderna shot last Saturday.
[00:12:56.836 --> 00:13:03.160]  I'm still experiencing flu-like symptoms, body aches, mild headaches and waves of exhaustion that come out of nowhere.
[00:13:03.160 --> 00:13:06.562]  Should I be concerned that this is lasting for a week?
[00:13:06.562 --> 00:13:08.843]  Should he be concerned?
[00:13:08.843 --> 00:13:10.784]  Should you be concerned Jimmy?
[00:13:14.005 --> 00:13:16.586]  What do you think?
[00:13:16.586 --> 00:13:23.087]  Not to make light of your plight, but yeah, that vaccine poisoned you, bud.
[00:13:23.087 --> 00:13:25.147]  I know you don't like to admit it.
[00:13:25.147 --> 00:13:31.409]  I know it's a tough pill to swallow.
[00:13:31.409 --> 00:13:33.409]  Anyone else have similar experience, he asks?
[00:13:33.409 --> 00:13:40.731]  And then it's the same thing, and you can go down on the list, and everybody talks about the awful side effects.
[00:13:40.731 --> 00:13:41.571]  Shortness of breath,
[00:13:43.126 --> 00:13:45.847]  Fatigue.
[00:13:45.847 --> 00:13:49.208]  Somebody diagnosed with Bell's Palsy.
[00:13:49.208 --> 00:13:51.549]  My life has been miserable since the shot.
[00:13:51.549 --> 00:13:58.170]  And again, you can go down there and scroll through all of these things.
[00:13:58.170 --> 00:14:02.972]  And then you have people on there saying, don't worry, the side effects are better than getting the virus.
[00:14:02.972 --> 00:14:03.232]  What?
[00:14:03.232 --> 00:14:05.293]  Remember?
[00:14:05.293 --> 00:14:08.574]  It came out that most people that get the virus don't even ever know they had it.
[00:14:08.574 --> 00:14:09.874]  Remember that deal?
[00:14:12.210 --> 00:14:15.652]  COVID arm is the new trend after you get the vaccine.
[00:14:15.652 --> 00:14:17.053]  COVID arm!
[00:14:17.053 --> 00:14:19.575]  What to know after getting the Moderna Pfizer vaccine?
[00:14:19.575 --> 00:14:25.779]  Folks, they have waiting areas after you get the vaccine.
[00:14:25.779 --> 00:14:31.463]  They have waiting areas where they have people sit aside in case they have an adverse reaction.
[00:14:31.463 --> 00:14:35.005]  They have to sit there for 10-15 minutes and then they'll let you go.
[00:14:35.005 --> 00:14:38.047]  Most people begin to have severe reactions within 10-15 minutes.
[00:14:38.047 --> 00:14:38.808]  They may seize up
[00:14:40.091 --> 00:14:54.077]  They may collapse, they may faint, and so they have to wait in a waiting area to make sure that they don't faint or keel over and need emergency support right then and there on the scene from getting the vaccine.
[00:14:54.077 --> 00:14:58.619]  Yeah, this is diabolical.
[00:14:58.619 --> 00:15:05.502]  Yeah, this is a very corrupt planet.
[00:15:05.502 --> 00:15:08.443]  This is a very corrupt world government that we're just
[00:15:09.284 --> 00:15:14.987]  Starting to see into, that we're just starting to see work itself out.
[00:15:14.987 --> 00:15:17.028]  That we're just starting to see how it operates.
[00:15:17.028 --> 00:15:22.170]  That we're just starting to see its actual levers of power.
[00:15:22.170 --> 00:15:25.212]  And this is just the beginning.
[00:15:25.212 --> 00:15:28.013]  This is just the beginning.
[00:15:28.013 --> 00:15:31.335]  And they're sending SWAT teams to churches that won't shut down.
[00:15:31.335 --> 00:15:34.636]  They've arrested business owners that won't shut down.
[00:15:34.636 --> 00:15:37.698]  Most people are completely over the fake pandemic by now.
[00:15:40.467 --> 00:15:44.028]  But see, they still have to get you to take that jab.
[00:15:44.028 --> 00:15:47.329]  And so they pay social media influencers to promote it.
[00:15:47.329 --> 00:15:50.931]  They pay cable news networks to promote it.
[00:15:50.931 --> 00:15:53.231]  And the FDA doesn't even approve it.
[00:15:53.231 --> 00:15:55.432]  The side effects are worse than the virus.
[00:15:55.432 --> 00:15:57.173]  And this is the planet you're experiencing.
[00:15:57.173 --> 00:15:58.233]  This is life on Earth.
[00:15:59.825 --> 00:16:05.248]  It's time to show them what a real alpha male looks like with one of our most powerful products ever made.
[00:16:05.248 --> 00:16:06.449]  Alpha Power.
[00:16:06.449 --> 00:16:09.891]  As you age, your body can lose testosterone over time.
[00:16:09.891 --> 00:16:18.816]  With the incredible ingredients in this formula, we can help you beat the test of time and assist in restoring that lost energy and mood that comes with time and age.
[00:16:18.816 --> 00:16:26.961]  Alpha Power's incredible ingredients can help you boost your sports performance or enhance your day-to-day life with ease while encouraging hormonal balance.
[00:16:27.561 --> 00:16:33.004]  Perfect by itself or with super male vitality in the True Alpha Male Pack.
[00:16:33.004 --> 00:16:40.247]  Alpha Power can help boost performance, help maintain normal testosterone levels, support healthy cholesterol and more.
[00:16:40.247 --> 00:16:43.909]  Let Alpha Power help bring you to the peak of your optimal health.
[00:16:43.909 --> 00:16:46.951]  Don't fall short on energy in the fight against tyranny.
[00:16:46.951 --> 00:16:51.013]  Show the world what a True Alpha Male looks like today with Alpha Power.
[00:16:51.013 --> 00:16:53.514]  Head to InfoWarsStore.com today.
[00:17:00.300 --> 00:17:08.483]  As men age, they often experience a slowdown in vitality, energy, and overall wellness.
[00:17:09.767 --> 00:17:14.528]  And that's why we made one of our most popular formulas to date.
[00:17:14.528 --> 00:17:16.868]  Super Male Vitality!
[00:17:16.868 --> 00:17:25.710]  Specifically designed to assist the body in regulating proper balance to create superior vitality in males.
[00:17:25.710 --> 00:17:36.872]  Now look, this unique formula promotes your body's own natural responses and it contains no synthetic chemicals and no unwanted additives.
[00:17:36.872 --> 00:17:37.092]  Yes.
[00:17:37.532 --> 00:17:42.475]  We're talking about ancient wisdom combined with modern technology.
[00:17:42.475 --> 00:17:49.259]  Working together in perfect synchronicity to help you get the most out of this herb-packed formula.
[00:17:49.259 --> 00:17:50.420]  So what are you waiting for?
[00:17:50.420 --> 00:17:52.301]  Go to the InfoWars store.
[00:17:52.301 --> 00:17:55.103]  Never been a better time than right now.
[00:17:55.103 --> 00:18:00.166]  Super Male Vitality at InfoWarsStore.com.
[00:18:00.166 --> 00:18:03.908]  This entire new world order system is about making you dependent.
[00:18:04.654 --> 00:18:05.715]  Making you obsolete.
[00:18:05.715 --> 00:18:08.859]  Making you a domesticated animal they control.
[00:18:08.859 --> 00:18:10.081]  They want to censor you.
[00:18:10.081 --> 00:18:10.922]  They want to dumb you down.
[00:18:10.922 --> 00:18:12.023]  They want to poison you.
[00:18:12.023 --> 00:18:15.207]  And they want to control your ability to take care of yourself.
[00:18:16.306 --> 00:18:20.787]  Ladies and gentlemen, now is the time to fund the info war more than ever.
[00:18:20.787 --> 00:18:25.989]  And you can do it while at the same time protecting yourself and your family and your neighbors.
[00:18:25.989 --> 00:18:36.312]  We have the biggest, best, storable foods company in the world that has high quality food in huge warehouses across the U.S., five of them, ready to ship to you within 24 hours.
[00:18:37.638 --> 00:18:43.343]  And, when you go to InfoWareStore.com to get the MyPatriot Supply Food, you get an additional 10% off.
[00:18:43.343 --> 00:18:46.726]  That is the lowest price you're going to find anywhere on quality food.
[00:18:46.726 --> 00:18:47.887]  They're ready to ship to you right now.
[00:18:47.887 --> 00:18:49.549]  The packaging is amazing.
[00:18:49.549 --> 00:18:54.453]  Get prepared while you still can at InfoWareStore.com or PrepareWithAlex.com.
[00:18:54.453 --> 00:18:55.174]  Do not wait.
[00:18:55.174 --> 00:18:56.015]  Take action.
[00:18:56.015 --> 00:18:57.696]  PrepareWithAlex.com.
[00:18:57.696 --> 00:18:58.437]  Get your food now!
[00:19:01.992 --> 00:19:06.976]  One of the most popular memes on the internet in the last decade has been, Alex Jones was right.
[00:19:06.976 --> 00:19:15.864]  But it now routinely trends number one on platforms like Twitter and Facebook, making the globalists pull their hair out in anger.
[00:19:15.864 --> 00:19:18.226]  But let me tell you, we are tomorrow's news today.
[00:19:18.226 --> 00:19:23.490]  And thanks to your support, we're still on air at InfoWars.com and Bandai Video, radio stations and TV stations across the country.
[00:19:23.490 --> 00:19:23.991]  I think so.
[00:19:43.770 --> 00:19:45.131]  You're listening to the Alex Jones Show!
[00:20:12.930 --> 00:20:19.496]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[00:20:19.496 --> 00:20:28.885]  And now, your host, Owen Troyer.
[00:20:28.885 --> 00:20:36.652]  Much of the world is awakening to the global government conspiracy that was hiding in plain sight.
[00:20:40.906 --> 00:20:49.829]  And is against you, the individual being empowered, against you, the individual controlling your own fate.
[00:20:49.829 --> 00:21:05.653]  And there's been a lot of developments recently that have exposed this to people, whether it's the theft of our elections that are being investigated in Arizona, whether it's the COVID fake pandemic, scandemic that crushed the economy, made the richest people in the world richer.
[00:21:07.361 --> 00:21:10.063]  They had drills and somehow knew it was all coming.
[00:21:10.063 --> 00:21:11.484]  Came out of a lab in China.
[00:21:11.484 --> 00:21:15.947]  They covered it up.
[00:21:15.947 --> 00:21:23.252]  What you were seeing there was footage of a anti-lockdown march in Canada.
[00:21:23.252 --> 00:21:24.653]  The pushing of the vaccine.
[00:21:24.653 --> 00:21:29.577]  That was in UK.
[00:21:29.577 --> 00:21:29.877]  Thank you.
[00:21:33.354 --> 00:21:38.958]  So now that global government is out in the open, we have the chance to reject it.
[00:21:38.958 --> 00:21:49.266]  But we have to admit it, accept it, be truthful, be honest about how diabolical it is, and wholeheartedly reject it.
[00:21:49.266 --> 00:21:59.234]  And I don't know what to do with this mystery element of the factors, which is the insane, mentally ill, deranged, radical left that
[00:21:59.855 --> 00:22:01.996]  Seems to want global enslavement.
[00:22:01.996 --> 00:22:03.557]  Seems to want global government.
[00:22:03.557 --> 00:22:07.860]  Very odd, but that's the truth.
[00:22:07.860 --> 00:22:09.200]  They live the big lie.
[00:22:09.200 --> 00:22:12.242]  They love the big media lie.
[00:22:12.242 --> 00:22:14.423]  There's another element that's woken people up.
[00:22:14.423 --> 00:22:22.688]  They've seen the media just, the mainstream media, the television news just turn out to be complete outright frauds and liars.
[00:22:22.688 --> 00:22:23.789]  Tellers of tales.
[00:22:30.655 --> 00:22:38.140]  I want to finish up on this vaccine coverage here before we have Laura Loomer joining us with an exciting announcement coming up.
[00:22:38.140 --> 00:22:46.466]  Again, you can find these threads on Twitter where people just talk about their negative vaccine side effects.
[00:22:46.466 --> 00:22:50.749]  I prefer to be organic.
[00:22:50.749 --> 00:22:51.810]  I'm an organic human.
[00:22:51.810 --> 00:22:57.794]  I don't take mRNA gene therapy vaccines.
[00:22:59.173 --> 00:23:10.197]  Now, we know that, I believe the number was 78%, who knows, it's about three-quarters of the people hospitalized or died from COVID were obese.
[00:23:10.197 --> 00:23:16.660]  But CNN is celebrating this list of all the free stuff you can get if you get your vaccine.
[00:23:16.660 --> 00:23:19.141]  I don't have the whole list in front of me, but here's some short ones for you.
[00:23:19.141 --> 00:23:21.602]  Krispy Kreme Donuts!
[00:23:21.602 --> 00:23:23.922]  Get yourself a nice glaze.
[00:23:23.922 --> 00:23:25.263]  Junior's Cheesecake!
[00:23:26.147 --> 00:23:27.788]  Goes right to your behind.
[00:23:27.788 --> 00:23:30.889]  Nathan's Hot Dogs!
[00:23:30.889 --> 00:23:32.370]  What do you think's in those?
[00:23:32.370 --> 00:23:34.731]  White Castle!
[00:23:34.731 --> 00:23:37.072]  Yes, because skinny people are known to eat there.
[00:23:37.072 --> 00:23:43.335]  So, they know that being obese is one of the worst things for your health.
[00:23:43.335 --> 00:23:52.719]  They know that, in particular, being obese can heighten your risk for COVID or COVID complications.
[00:23:52.719 --> 00:23:54.140]  But hey, get that vaccine.
[00:23:55.060 --> 00:23:56.981]  And then go get yourself a Krispy Kreme.
[00:23:56.981 --> 00:23:57.702]  I mean, think about it.
[00:23:57.702 --> 00:23:58.663]  You could have a whole day.
[00:23:58.663 --> 00:24:01.324]  Go get yourself a vaccine.
[00:24:01.324 --> 00:24:04.026]  Get your Krispy Kreme donut for breakfast.
[00:24:04.026 --> 00:24:06.888]  Get your Nathan's hot dogs for lunch.
[00:24:06.888 --> 00:24:09.290]  Go to White Castle for dinner.
[00:24:09.290 --> 00:24:14.374]  And by the time you're crapping your pants, you'll be shoving a Junior's cheesecake down your throat.
[00:24:14.374 --> 00:24:17.876]  But hey, that free vaccine was worth it, baby.
[00:24:17.876 --> 00:24:23.460]  Yeah, you're a little numb in your left arm and you can't really walk straight anymore, but phew!
[00:24:24.532 --> 00:24:30.314]  Was that glazed donut great or what?
[00:24:30.314 --> 00:24:32.554]  And you continue to see the stories.
[00:24:32.554 --> 00:24:36.575]  India's public health ambassador dies day after taking COVID vaccine.
[00:24:36.575 --> 00:24:37.415]  He promotes it.
[00:24:37.415 --> 00:24:38.756]  He says it's great.
[00:24:38.756 --> 00:24:39.596]  He takes it.
[00:24:39.596 --> 00:24:41.236]  He dies.
[00:24:41.236 --> 00:24:49.138]  And they always want to cover this up, whether it's Hank Aaron or the health ambassador in India.
[00:24:49.138 --> 00:24:51.039]  Oh, I can get a free beer.
[00:24:51.039 --> 00:24:52.379]  I can get a free lap dance.
[00:24:53.343 --> 00:24:53.803]  Oh, yeah.
[00:24:53.803 --> 00:24:54.584]  All kinds of stuff.
[00:24:54.584 --> 00:24:55.865]  You get that vaccine.
[00:24:55.865 --> 00:24:56.585]  I mean, imagine.
[00:24:56.585 --> 00:24:58.286]  What happened to the basic instinct?
[00:24:58.286 --> 00:25:03.829]  You know, a guy comes to your neighborhood with a white van and says, Hey, kids.
[00:25:03.829 --> 00:25:08.512]  Want some candy?
[00:25:08.512 --> 00:25:10.173]  Pennywise the clown?
[00:25:10.173 --> 00:25:12.314]  There's popcorn down here.
[00:25:12.314 --> 00:25:14.575]  It's a circus.
[00:25:14.575 --> 00:25:19.738]  Don't you want some popcorn?
[00:25:19.738 --> 00:25:22.119]  That's the vaccine.
[00:25:22.119 --> 00:25:22.920]  Hey, look.
[00:25:23.749 --> 00:25:25.750]  I got a vaccine for ya.
[00:25:25.750 --> 00:25:27.831]  To jab.
[00:25:27.831 --> 00:25:30.673]  There's Krispy Kreme Donuts.
[00:25:30.673 --> 00:25:33.455]  There's Nathan's Hot Dogs.
[00:25:33.455 --> 00:25:36.196]  There's White Castles.
[00:25:36.196 --> 00:25:38.137]  There's Strip Clubs.
[00:25:38.137 --> 00:25:39.438]  Come on.
[00:25:39.438 --> 00:25:41.399]  Get your vaccine.
[00:25:41.399 --> 00:25:44.041]  Come down here with me.
[00:25:44.041 --> 00:25:46.842]  Don't you want to hang out with me?
[00:25:46.842 --> 00:25:49.864]  With all the donuts and strippers?
[00:25:49.864 --> 00:25:51.505]  And beers?
[00:25:51.505 --> 00:25:52.726]  We got cold beers.
[00:25:54.099 --> 00:25:55.700]  Come on down here.
