[00:00:06.084 --> 00:00:08.286]  Societies don't change.
[00:02:07.527 --> 00:02:13.412]  So if you want to know why your children have no future, if you want to know why you're bankrupt, if you want to know why you're in debt, if you want to know
[00:02:13.792 --> 00:02:17.956]  Why you have no future and have lost your job or getting your pay cut.
[00:02:17.956 --> 00:02:20.659]  It's because your priorities are wrong.
[00:02:20.659 --> 00:02:29.948]  It's because you let that idiot box, the television program you since the days that your mother and father set you in front of the TV for 12 hours a day in your crap filled diapers.
[00:02:30.709 --> 00:02:36.312]  It's not too late to admit we're a sick, decadent, degenerate society crumbling.
[00:02:36.312 --> 00:02:37.773]  We are Rome.
[00:02:37.773 --> 00:02:38.973]  It's 410.
[00:02:38.973 --> 00:02:41.115]  We're about to collapse, ladies and gentlemen.
[00:02:41.115 --> 00:02:41.895]  I know you won't know.
[00:02:41.895 --> 00:02:43.476]  You know about LeBron James.
[00:02:43.476 --> 00:02:47.098]  You don't know 410 is when Rome completely fell to Alaric, the Visigoth leader.
[00:02:47.098 --> 00:02:48.379]  You better learn history.
[00:02:48.379 --> 00:02:49.639]  This is dangerous.
[00:02:49.639 --> 00:02:51.080]  Don't say you weren't warned.
[00:02:51.080 --> 00:02:52.321]  The globalist engineers.
[00:02:53.041 --> 00:03:01.424]  The globalist social engineers look at you and how pathetic you are and how the whole world is waiting to see where LeBron James goes.
[00:03:01.424 --> 00:03:05.926]  The social controllers look at you and see how you're obsessed with LeBron James.
[00:03:05.926 --> 00:03:07.586]  And they decide, we've got a bunch of schmucks.
[00:03:07.586 --> 00:03:08.967]  We've got a bunch of idiots.
[00:03:08.967 --> 00:03:11.728]  We've got a bunch of morons right where we want them.
[00:03:11.728 --> 00:03:13.048]  Let's destroy their society.
[00:03:13.048 --> 00:03:13.749]  Let's loot it.
[00:03:13.749 --> 00:03:15.249]  Let's pass carbon taxes.
[00:03:15.249 --> 00:03:16.770]  Let's expand NAFTA and GATT.
[00:03:16.770 --> 00:03:19.671]  Let's announce an end to the dollar as the global reserve currency.
[00:03:19.671 --> 00:03:20.931]  Do you know what that means?
[00:03:20.931 --> 00:03:22.472]  We've already lost almost all our industry.
[00:03:22.932 --> 00:03:24.113]  We're already in a depression.
[00:03:24.113 --> 00:03:29.638]  When they get rid of the dollar as the world reserve currency, your life, as you know it, is officially over.
[00:03:29.638 --> 00:03:33.181]  You're going to be a third world slave like they are in Mexico or Nigeria.
[00:03:33.181 --> 00:03:34.062]  And you know what?
[00:03:34.062 --> 00:03:36.264]  Those people down there at least know why they're slaves.
[00:03:36.264 --> 00:03:43.451]  You are so stupid and so focused on crap, you'll probably still be talking about Lindsay Lohan when you're living as a homeless person on the street.
[00:03:44.051 --> 00:03:47.315]  My friends, we've got to set our priorities and set them now.
[00:03:47.315 --> 00:03:48.877]  Liberty or tyranny.
[00:03:48.877 --> 00:03:51.661]  You've got to wake up and decide what is important to you.
[00:03:51.661 --> 00:03:52.982]  Saving our republic?
[00:03:52.982 --> 00:03:54.785]  Stopping the globalist takeover?
[00:03:54.785 --> 00:03:58.629]  Or knowing all the mindless trivia about LeBron James and Lindsay Lohan?
[00:03:59.110 --> 00:04:01.971]  There isn't much more time.
[00:04:01.971 --> 00:04:07.472]  I'm begging you to ask yourselves to look in the mirror and really realize how sick this is.
[00:04:07.472 --> 00:04:21.195]  It's not bad like a basketball game, but it is mentally ill and sick to buy into this manufactured hype and to have government officials that should be working for the people, sitting there in these disgusting media spectacles, worshiping somebody.
[00:04:21.195 --> 00:04:25.596]  Our role models, our icons, the people that our children look up to,
[00:04:26.596 --> 00:04:27.036]  We're clowns!
[00:04:48.507 --> 00:04:50.911]  They've taken our heroes and our role models away.
[00:04:50.911 --> 00:04:57.262]  Ladies and gentlemen, you have been warned, and this whole LeBron James decision means absolutely nothing.
[00:04:57.262 --> 00:05:00.427]  This obsession with petty issues of little or no significance...
[00:05:02.335 --> 00:05:08.777]  The Fall of America and the Western World is an all-new 10-hour documentary and survival guide rolled into one.
[00:05:08.777 --> 00:05:14.019]  In this film, you will see the reasons why our government is failing and what you can do to prepare.
[00:05:14.019 --> 00:05:27.583]  Featuring Dr. Paul Craig Roberts, Joseph Farah, David Icke, Naomi Wolf, G. Edward Griffin, Doug McIntyre, Mark Crispin Miller, Mickey Z, Doug Casey, David McElhaney, and myself, Alex Jones.
[00:05:28.343 --> 00:05:33.385]  Protect yourself and get the tools you need to protect your family from these difficult times.
[00:05:33.385 --> 00:05:43.588]  The Fall of America and the Western World at www.thefallofamerica.net or click on the banners at infowars.com and prisonplanet.com.
[00:05:43.588 --> 00:05:48.750]  Again, that website's www.thefallofamerica.net or call 800-655-1577.
[00:05:48.750 --> 00:05:51.031]  Prepare yourself and the ones you love today.
[00:05:51.031 --> 00:05:51.891]  fallofamerica.net
[00:06:00.970 --> 00:06:05.074]  Let me tell you a little bit about one of our great sponsors, HomeGain.com.
[00:06:05.074 --> 00:06:11.059]  This is the place to get you started buying or selling a home, finding a realtor, and getting any real estate questions answered.
[00:06:11.059 --> 00:06:15.243]  Go to HomeGain.com and see what I'm talking about.
[00:06:15.243 --> 00:06:21.569]  All you need to do is type in your home address and you will get an instant free estimate of your home's value online.
[00:06:21.949 --> 00:06:25.271]  This is a great way to be able to monitor the value of your home.
[00:06:25.271 --> 00:06:27.371]  And again, it's absolutely free.
[00:06:27.371 --> 00:06:29.412]  There are tons of tools to help you.
[00:06:29.412 --> 00:06:33.194]  For instance, if you want to remodel your home, go to HomeGain.com.
[00:06:33.194 --> 00:06:39.997]  Use their Home Sale Maximizer to help you determine which home improvements can most increase your home's value before you put it on the market.
[00:06:39.997 --> 00:06:43.559]  For 10 years, these folks have been helping home sellers and buyers.
[00:06:43.559 --> 00:06:45.920]  Visit their link at InfoWars.com.
[00:06:45.920 --> 00:06:46.600]  Look for Max
[00:06:46.880 --> 00:06:51.303]  The Orange Home Gain Gorilla to help you with any real estate needs you might have.
[00:06:51.303 --> 00:06:52.543]  You'll love this site.
[00:06:52.543 --> 00:06:54.425]  It's HomeGain.com.
[00:06:54.425 --> 00:06:57.286]  H-O-M-E G-A-I-N.com.
[00:06:57.286 --> 00:06:58.047]  Check them out today.
[00:07:00.461 --> 00:07:02.824]  They helped to create a New World Order.
[00:07:02.824 --> 00:07:05.166]  We are part of a New World Order.
[00:07:05.166 --> 00:07:08.370]  A New World Order based upon collective action.
[00:07:08.370 --> 00:07:13.476]  Invisible Empire is a damning indictment of the globalists through their own words and documents.
[00:07:13.476 --> 00:07:17.681]  The New World Order really is a tool for addressing a new world of possibilities.
[00:07:17.981 --> 00:07:20.324]  It means all the world under their control.
[00:07:20.324 --> 00:07:23.208]  The United Nations would take over America.
[00:07:23.208 --> 00:07:26.132]  The Trilateral Commission would control the world.
[00:07:26.132 --> 00:07:33.742]  Invisible Empire chronicles how men of power and influence have worked in stealth for centuries to establish an oppressive world government.
[00:07:34.065 --> 00:07:39.447]  I believe first of all that we now need nothing short of a world constitution for the global financial system.
[00:07:39.447 --> 00:07:42.307]  Global governance with the establishment of the G20.
[00:07:42.307 --> 00:07:45.988]  So it's going to be an inner ruling elite and then everyone else.
[00:07:45.988 --> 00:07:47.069]  And I got news for you.
[00:07:47.069 --> 00:07:48.409]  You're everyone else.
[00:07:48.409 --> 00:07:49.890]  Invisible Empire.
[00:07:49.890 --> 00:07:57.672]  Secure your copy today at InfoWars.com or PrisonPlanet.com or watch it online in the highest quality at PrisonPlanet.tv.
[00:08:02.372 --> 00:08:09.594]  He's the T-Rex of political talk, Alex Jones, on the GCN Radio Network.
[00:08:09.594 --> 00:08:15.716]  We're live, my friends.
[00:08:15.716 --> 00:08:17.396]  It is Monday, July 12, 2010.
[00:08:17.396 --> 00:08:19.977]  Thank you so much for joining us.
[00:08:19.977 --> 00:08:31.140]  We're going to start simulcasting the radio broadcast coming up at the 33-minute mark today for PrisonPlanet.tv viewers.
[00:08:31.140 --> 00:08:31.440]  Okay.
[00:08:35.968 --> 00:08:56.318]  Every day we start the broadcast and I make the point that there is a quickening, there is an acceleration in tyranny worldwide, in oppression, in the private offshore banking cartels, bankrupting nations by design, preparing to launch new wars.
[00:08:56.318 --> 00:09:00.380]  We're going to be discussing it all today.
[00:09:00.380 --> 00:09:03.522]  But I just want to point out again at the start of the broadcast that
[00:09:05.384 --> 00:09:14.888]  What we discuss here is so real, so pertinent, so amazingly vital.
[00:09:14.888 --> 00:09:24.833]  Our world is being suffocated, is being enslaved, and we must speak out against it.
[00:09:24.833 --> 00:09:27.414]  We must all say no to the system.
[00:09:27.414 --> 00:09:29.075]  The good news is, the awakening
[00:09:30.020 --> 00:09:31.941]  He is turbocharged.
[00:09:31.941 --> 00:09:33.342]  People are concerned.
[00:09:33.342 --> 00:09:48.313]  They are beginning to basically engage in a crash course of research and discover how the world really works and who controls our planet and what this criminal power structure is up to.
[00:09:48.313 --> 00:09:54.958]  But this morning, I saw a story up on Infowars.com that completely blew me away.
[00:09:54.958 --> 00:09:56.219]  Now, I knew this was coming.
[00:09:59.005 --> 00:10:08.693]  But to know something is coming and then to actually see it unfold is another thing entirely.
[00:10:08.693 --> 00:10:22.263]  And to see the lies and manipulation and how they're rolling this program out against the public, well, that's the rest of the story.
[00:10:22.263 --> 00:10:23.224]  What am I talking about?
[00:10:26.667 --> 00:10:36.492]  Fighting gangsters, LA police teach Marines tactics to take down Taliban, train Afghan police, Fox News.
[00:10:36.492 --> 00:10:39.573]  Here's another one, MSNBC.
[00:10:39.573 --> 00:10:43.735]  Cops show Marines how to take on the Taliban.
[00:10:43.735 --> 00:10:49.337]  Camp Pendleton Marines went to one of LA's toughest neighborhoods.
[00:10:49.337 --> 00:10:52.099]  And they helped run checkpoints and pulled citizens over.
[00:10:53.168 --> 00:11:03.895]  Now when you read these articles, these are written to sell you on a Marine Corps, regular Marine Corps presence on your streets.
[00:11:03.895 --> 00:11:10.979]  When you've been following this for 13 years, I've been on air 15, but I really became aware of this about 13 years ago.
[00:11:14.881 --> 00:11:24.780]  I became aware of a secret, strategic, long-term program going on since at least the late 1980s with Marines, regular Marines.
[00:11:24.780 --> 00:11:26.002]  This is completely illegal.
[00:11:27.339 --> 00:11:34.742]  Secretly raiding gun dealers' shops and homes in Virginia and other areas.
[00:11:34.742 --> 00:11:43.785]  I then discovered secret programs of regular army training with emergency managers and county police for gun confiscation.
[00:11:43.785 --> 00:11:51.828]  I interviewed emergency managers, police chiefs, who discovered it when they were told this was happening.
[00:11:51.828 --> 00:11:54.529]  Al A. Philippus, the chief of police of San Antonio,
[00:11:55.595 --> 00:12:02.582]  Military veteran himself was approached by Delta Force for a secret martial law takeover plan.
[00:12:02.582 --> 00:12:10.689]  Thomas Sanchez, the head of emergency management, himself a highly decorated army officer in Vietnam.
[00:12:10.689 --> 00:12:20.379]  They approached him under PDD 25 and said these drills were going to conduct in the county of taking over the city council, the county courthouse,
[00:12:21.627 --> 00:12:23.871]  Of course, we have the congressional hearings from the 1980s, 1986.
[00:12:35.575 --> 00:12:41.139]  With RECS 84, a secret federal program to overthrow the states and take over local governments.
[00:12:41.139 --> 00:12:50.225]  This is on record that this has been going on, but they have exponentially expanded the training and the acclamation.
[00:12:50.225 --> 00:12:58.230]  In California, in Illinois, in Iowa, New York, Massachusetts, Florida, Arizona,
[00:13:00.632 --> 00:13:05.894]  We have sent cameramen to Maryland, Illinois, the list goes on and on.
[00:13:05.894 --> 00:13:09.035]  I have traveled to California.
[00:13:09.035 --> 00:13:24.881]  I have witnessed Marines training to take over our cities with role players playing the part of American gun owners being put into processing centers and being face scanned and thumb printed and then being divided up into different areas of the camps.
[00:13:24.881 --> 00:13:27.782]  We have documented that the federal government is training
[00:13:29.181 --> 00:13:46.428]  Now over 50,000 prominent preachers in at least a six-year-old program now called the Clergy Response Team to teach their flocks, their congregations, to accept martial law, forced inoculations, gun confiscations, and processing into camps.
[00:13:46.428 --> 00:13:47.208]  What are camps?
[00:13:47.208 --> 00:13:49.569]  Your local sports stadium and all the drills.
[00:13:49.569 --> 00:13:52.470]  They can turn it into a camp in one hour or less.
[00:13:54.619 --> 00:13:56.101]  This is all on record.
[00:13:56.101 --> 00:13:58.444]  This is not a conspiracy theory.
[00:13:58.444 --> 00:14:05.532]  And this is what I cover in my film, Police State 4, The Rise of FEMA.
[00:14:05.532 --> 00:14:10.058]  15 years of research, all condensed into 2 hours 24 minutes.
[00:14:10.058 --> 00:14:11.540]  The latest information.
[00:14:12.912 --> 00:14:19.974]  Whether it's the Super Bowl, the Kentucky Derby, you see National Guard out, armed with 45s, as security.
[00:14:19.974 --> 00:14:25.775]  Somebody runs out on the field after the race, they run out and beat them up in front of everyone.
[00:14:25.775 --> 00:14:28.016]  I go to New York.
[00:14:28.016 --> 00:14:29.296]  It's in my film, Endgame.
[00:14:29.296 --> 00:14:37.778]  Troops run across the street when I'm videotaping them, armed, and begin screaming and cussing at me in America, telling me not to tape them.
[00:14:40.182 --> 00:14:53.705]  This has nothing, zero, big zero, zip, nada, nil, nothing to do with turbaned men in Afghanistan on the CIA payroll.
[00:14:53.705 --> 00:14:54.106]  Zero.
[00:14:56.232 --> 00:15:01.878]  And now it's not once a month I read about a gun confiscation drill in Arcadia, Iowa.
[00:15:01.878 --> 00:15:10.308]  It's not once a month I see a governor or the legislature of Illinois calling for National Guard to take part in gun confiscation door-to-door sweeps.
[00:15:11.349 --> 00:15:21.216]  It's not once a month I get footage of National Guard in the middle of nowhere in Oregon in the middle of farmland searching people's cars at checkpoints.
[00:15:21.216 --> 00:15:24.479]  It is now every single day.
[00:15:24.479 --> 00:15:27.781]  They are massively increasing this and we have two years ago
[00:15:29.002 --> 00:15:42.791]  The Army Times reporting Brigade Homeland, 4,000 battle-hardened regular Army troops, the best troops they've got in their own words, training to quote, this is in the Army Times, pull triggers on Americans.
[00:15:42.791 --> 00:15:45.653]  They said, we don't like it, but we're training to pull triggers.
[00:15:45.653 --> 00:15:47.234]  That was a quote.
[00:15:47.234 --> 00:15:56.981]  Then after a month of me harping on it, the Army Times, but not before we saved it at InfoWars.com, that's why we do that on key articles, they took the part about pulling triggers out.
[00:15:58.188 --> 00:15:59.069]  They excised it.
[00:15:59.069 --> 00:16:00.370]  They didn't retract it.
[00:16:00.370 --> 00:16:02.211]  They didn't put a blurb and say we were mistaken.
[00:16:02.211 --> 00:16:04.953]  They removed those key areas.
[00:16:04.953 --> 00:16:10.958]  You read the John Warner Defense Authorization Act of 2007, concurrently passed the next three years.
[00:16:10.958 --> 00:16:18.344]  They say we're training the military to take on states, to take over governorships.
[00:16:18.344 --> 00:16:25.009]  Now they've set up the 10-member Governor's Council, appointed by the President, so they can claim, oh look, we still represent the states.
[00:16:25.009 --> 00:16:26.210]  It's the Governor's Council.
[00:16:28.857 --> 00:16:32.698]  Not your governor, not all 50 governors, but 10 hand-picked.
[00:16:32.698 --> 00:16:36.859]  And then you read the psyops all over the news today.
[00:16:36.859 --> 00:16:45.061]  Fox, MSNBC, NBC, AP, all going, oh, the Marines are out doing weapons sweeps.
[00:16:45.061 --> 00:16:48.522]  And yeah, they're stopping people at checkpoints, but it's only part of a drill.
[00:16:48.522 --> 00:16:52.883]  But remember, two years ago.
[00:16:52.883 --> 00:16:54.423]  This isn't just the local news.
[00:16:54.423 --> 00:16:56.804]  I actually have the chip news
[00:16:59.312 --> 00:17:06.374]  Basin Area Office, 29 Palms Highway, Joshua Tree, California.
[00:17:06.374 --> 00:17:09.275]  Contact Officer Rob McLeod, 760-358-3707 for immediate release December 10, 2008.
[00:17:09.275 --> 00:17:13.196]  Chipped to conduct sobriety driver license check point.
[00:17:21.621 --> 00:17:23.242]  With irregular U.S.
[00:17:23.242 --> 00:17:23.943]  Marines.
[00:17:23.943 --> 00:17:24.883]  And then it happened.
[00:17:24.883 --> 00:17:30.127]  Armed Marines went out all over the county, pulling citizens over at checkpoints.
[00:17:30.127 --> 00:17:32.569]  These are not drills.
[00:17:32.569 --> 00:17:47.440]  These are training exercises for full military occupation of the United States by the treacherous, treasonous federal government, now suing Arizona, trying to block the state from simply trying to conduct law and order.
[00:17:47.440 --> 00:17:50.382]  Oh, you can have a Marine Corps checkpoint to warrantly search citizens.
[00:17:51.257 --> 00:18:01.431]  But you don't have a first contact under law and probable cause when you pull an illegal over for speeding or drunk driving and they don't have an ID and they're an illegal alien.
[00:18:01.431 --> 00:18:02.793]  You're not to take them to jail.
[00:18:02.793 --> 00:18:03.955]  You are to let them go.
[00:18:04.980 --> 00:18:16.969]  But if you're a citizen, the book gets thrown at you, and the media and the federal government run these giant hoaxes, telling you they're going to round up anybody who's Hispanic in America, when that's complete balderdash.
[00:18:16.969 --> 00:18:23.634]  In these southwestern states, more than half the population is Hispanic, and more than half the cops are Hispanic.
[00:18:23.634 --> 00:18:27.517]  You think Hispanic Americans are going to arrest Hispanic Americans?
[00:18:27.517 --> 00:18:28.598]  No.
[00:18:28.598 --> 00:18:33.682]  No, they're going to arrest illegal aliens, ladies and gentlemen, when they pull them over for drunk driving.
[00:18:36.152 --> 00:18:42.175]  So we are witnessing high treason and now they're doing gun sweeps, you name it.
[00:18:42.175 --> 00:18:44.697]  And I never even got to this Friday.
[00:18:44.697 --> 00:18:51.620]  We have the article up on PrisonPlanet.com by Steve Watson.
[00:18:51.620 --> 00:18:58.004]  Two thousand plus arrests aided by the National Guard and that's in the local Fox News newscast in the part two.
[00:18:59.696 --> 00:18:59.916]  I think?
[00:19:25.196 --> 00:19:27.177]  We covered Part 1 on Thursday that aired Wednesday.
[00:19:27.177 --> 00:19:31.019]  We got to some of what happened with Part 2 on Friday that aired Thursday.
[00:19:31.019 --> 00:19:31.900]  I'm told a Part 3 aired.
[00:19:31.900 --> 00:19:33.141]  I haven't seen it yet.
[00:19:33.141 --> 00:19:36.322]  There's so much intel coming in, I can't even watch it all.
[00:19:36.322 --> 00:19:40.805]  But in Part 2, they said, oh, we helped arrest 2,000 people.
[00:19:40.805 --> 00:19:43.847]  National Guard arresting people with the police?
[00:19:43.847 --> 00:19:47.429]  This is the federal government engaged in high treason.
[00:19:47.429 --> 00:19:48.890]  This is completely illegal.
[00:19:48.890 --> 00:19:52.612]  Oh, they whittled down posse comitatus, but they didn't get rid of them.
[00:19:53.587 --> 00:19:55.388]  And so they're getting ready, ladies and gentlemen.
[00:19:55.388 --> 00:19:56.329]  This is really happening.
[00:19:56.329 --> 00:19:57.770]  And here's the worst part.
[00:19:57.770 --> 00:19:59.311]  They're openly trading with foreign troops.
[00:19:59.311 --> 00:20:00.172]  We'll cover that when we get back.
[00:20:02.102 --> 00:20:05.705]  It's the number one reason for slow and clogged bath drains.
[00:20:05.705 --> 00:20:07.366]  That's right, hair.
[00:20:07.366 --> 00:20:10.568]  And the number one way to open drains plugged with hair?
[00:20:10.568 --> 00:20:12.469]  The drain claw.
[00:20:12.469 --> 00:20:14.651]  Stop standing in dirty bath water.
[00:20:14.651 --> 00:20:16.552]  Stop using dangerous chemicals.
[00:20:16.552 --> 00:20:20.995]  Just push the drain claw past the pop-up in your sink or tub, twist, and pull.
[00:20:20.995 --> 00:20:24.678]  You'll be shocked at what this little tool can pull out of your drain.
[00:20:24.918 --> 00:20:32.221]  The Drain Claw has over 100 tiny hooks that claw through hair, toothpaste and shampoo that slows and clogs your drains.
[00:20:32.221 --> 00:20:36.043]  See how it works right now at TheDrainClaw.com.
[00:20:36.043 --> 00:20:43.606]  The Drain Claw is made in the USA and is the safest, easiest, most environmentally friendly solution to unclog bath drains.
[00:20:43.606 --> 00:20:47.027]  Get one for $6.99 or three for $15.
[00:20:47.027 --> 00:20:49.328]  The Drain Claw can be used over and over.
[00:20:49.628 --> 00:20:51.429]  Don't be fooled by substitutes.
[00:20:51.429 --> 00:20:52.610]  Buy the original.
[00:20:52.610 --> 00:20:54.071]  Buy the Drain Claw.
[00:20:54.071 --> 00:20:56.632]  Order now at TheDrainClaw.com.
[00:20:56.632 --> 00:21:03.676]  That's The Drain Claw at TheDrainClaw.com.
[00:21:03.676 --> 00:21:09.439]  The economy is crumbling, debt soaring, and the possibility of World War III is increasing.
[00:21:09.439 --> 00:21:19.325]  I started SurvivalistSeeds.com from my dining room table with a small bucket of seed and a single rotating banner ad on prison
[00:21:19.696 --> 00:21:20.197]  I think so.
[00:21:36.369 --> 00:21:50.502]  All organic garden varieties, 10,000 heirloom seeds, garden planner, and a CD teaching you how to save seeds so your children's children will always have healthy food.
[00:21:50.502 --> 00:21:53.225]  Don't wait until it's too late.
[00:21:53.225 --> 00:21:58.670]  I'm Big John Lipscomb and my company is survivalistseeds.com.
[00:22:02.182 --> 00:22:03.203]  Gold isn't for you?
[00:22:03.203 --> 00:22:08.730]  Ted Anderson, President of Midas Resources, one of the world's premier gold and precious metal investing firms.
[00:22:08.730 --> 00:22:09.291]  I get it.
[00:22:09.291 --> 00:22:18.903]  You wouldn't buy gold if you believed that the government is doing a great job, that the Fed will stop handing out trillions of dollars like bailout candy, that Social Security would be there for you.
[00:22:18.903 --> 00:22:20.085]  That's not what's happening.
[00:22:20.305 --> 00:22:28.771]  You might even pass on gold if the stimulus package wouldn't fuel inflation, or that the dollar wouldn't lose value, or that your retirement would be secure.
[00:22:28.771 --> 00:22:32.173]  If all looks rosy to you, then now is not the time to buy gold.
[00:22:32.173 --> 00:22:36.436]  For the realists, there have never been more sobering reasons to diversify with gold.
[00:22:36.436 --> 00:22:38.037]  Since 2001, the U.S.
[00:22:38.037 --> 00:22:42.000]  dollar index has tanked 30%, while gold has risen 300%.
[00:22:42.000 --> 00:22:45.602]  Right now, savvy investors are adding gold to their portfolios.
[00:22:45.802 --> 00:22:46.703]  You should too.
[00:22:46.703 --> 00:22:47.864]  Find out what they know.
[00:22:47.864 --> 00:22:50.786]  Call us and I'll send you 10 reasons why gold will do very well, free.
[00:22:50.786 --> 00:22:50.846]  800-686-2237.
[00:22:50.846 --> 00:22:50.906]  800-686-2237.
[00:22:50.906 --> 00:22:51.267]  That's 800-686-2237.
[00:23:01.525 --> 00:23:04.729]  If you suffer from poor sleep, you've gotta try MyPillow!
[00:23:04.729 --> 00:23:08.473]  Introducing the most revolutionary, most comfortable, and coolest pillow ever!
[00:23:08.473 --> 00:23:09.314]  MyPillow!
[00:23:09.314 --> 00:23:11.637]  Imagine your very own custom fit pillow!
[00:23:11.637 --> 00:23:15.581]  MyPillow is the only pillow of its kind on the market that uses a patented fill!
[00:23:15.581 --> 00:23:17.644]  Custom made to your exact individual needs!
[00:23:17.944 --> 00:23:23.909]  MyPillow is 100% made in the USA and has a natural built-in cooling effect that keeps your cervical nerves cool.
[00:23:23.909 --> 00:23:26.651]  And that helps you get the best REM sleep possible.
[00:23:26.651 --> 00:23:31.015]  MyPillow helps alleviate snoring, migraine, sleep apnea and other sleeping disorders.
[00:23:31.015 --> 00:23:38.301]  MyPillow is anti-microbial, non-allergenic, dust mite resistant, machine washable and dryable, comes in many sizes and will not go flat.
[00:23:38.301 --> 00:23:43.005]  And best of all, MyPillow comes with a 10-year warranty and a 60-day money-back guarantee.
[00:23:43.005 --> 00:23:45.067]  So what do you have to lose except poor sleep?
[00:23:45.447 --> 00:23:45.827]  Think about it.
[00:23:45.827 --> 00:23:47.948]  The Pentagon has taken over hundreds of countries.
[00:23:47.948 --> 00:23:49.789]  They have financed the overthrow of more than 50.
[00:24:15.262 --> 00:24:29.220]  Using dictators, rebel groups, bordering nations to go in and overthrow countries that they don't like, or countries whose resources they want to steal and give to globalist corporations.
[00:24:29.220 --> 00:24:33.325]  And we have fit the bill as the American people for all of this.
[00:24:35.160 --> 00:24:49.950]  I remember in 2001 seeing mainstream news reports in Reuters and the Toronto Star where agreements were signed as part of the SPP to use Canadian and Mexican troops, quote, to fight American terrorists.
[00:24:49.950 --> 00:24:50.971]  We witnessed U.S.
[00:24:50.971 --> 00:25:01.318]  troops being used in Canada to, quote, help with security at the Olympic Games just a few months ago.
[00:25:03.567 --> 00:25:09.170]  And you see the same thing in England, the same thing in Europe, the same thing in the United States.
[00:25:09.170 --> 00:25:21.838]  Everywhere, we see the same slow incremental conditioning of the police being federalized and of foreign troops being used in the United States.
[00:25:21.838 --> 00:25:28.442]  Then we had NLE09 last year with troops from 14 countries, quote, training to take on American terrorists.
[00:25:29.653 --> 00:25:37.099]  And also, quote, helping with digital surveillance of the American people, wiretapping.
[00:25:37.099 --> 00:25:40.921]  These are giant war games against us, but now it's not just war games.
[00:25:40.921 --> 00:25:51.909]  It's real army, real National Guard, real bonafide regular Marines, not Marine Reserves, out searching Americans armed.
[00:25:51.909 --> 00:25:53.511]  That came out in the California papers.
[00:25:54.773 --> 00:26:08.798]  We started reporting on it off the press release back in 2008, and then several local papers went out and confirmed armed Marines, in some cases by themselves, at checkpoints, searching citizens and arresting citizens.
[00:26:08.798 --> 00:26:18.202]  And then they add, of course, other PR releases in the Army Times and other publications saying, well, the Army's going to be out helping with care flight.
[00:26:18.202 --> 00:26:19.322]  You've had a bad car wreck.
[00:26:19.322 --> 00:26:21.023]  What's wrong with the Army?
[00:26:21.023 --> 00:26:23.384]  They're going to help fly you out to safety.
[00:26:25.077 --> 00:26:29.059]  We're going to have, you know, Army with Jaws of Life cutting you out of the vehicle.
[00:26:29.059 --> 00:26:32.000]  Oh!
[00:26:32.000 --> 00:26:39.263]  And now I've got reports, oh, the military is going to help do blood draws at DWI checkpoints.
[00:26:39.263 --> 00:26:41.144]  Now you have to ask yourself, why has there been a
[00:26:44.550 --> 00:26:51.415]  20 plus year secret program to have Marines raiding gun dealers' homes in almost every case.
