[00:00.000 --> 00:22.120]  information wars tomorrow's news today and at the moment in most parts of the
[03:45.400 --> 03:55.400]  We need to have safe blood. That is our right. But his parents don't want the blood of those who received a Covid vaccine to be used in his surgery.
[03:55.400 --> 04:03.400]  And while both vaccinated and unvaccinated people can donate to our blood bank, that blood isn't held separately.
[04:03.400 --> 04:13.400]  Wolverines!
[04:13.400 --> 04:22.400]  Excuse me. There is a lot of controversy around this network about Alex Jones for example. December 6th.
[04:22.400 --> 04:33.400]  Alex Jones. The far-right conspiracy theorist who was a parent.
[04:33.400 --> 04:37.400]  It's Alex Jones.
[04:37.400 --> 04:43.400]  Scott! Russian! Scott!
[04:43.400 --> 04:48.400]  Until war has come to mind.
[04:48.400 --> 04:56.400]  Reputation is amazing. I will not let you down. You will be very, very impressed I hope.
[04:56.400 --> 05:22.400]  Get ready folks. We launch the broadcast now.
[05:22.400 --> 05:29.400]  Free shipping at infowarstore.com on orders of $50 or more and big discounts on the regular shipping as well.
[05:29.400 --> 05:37.400]  Plus the book, The Great Reset in the World for the World, signed or unsigned. It's also available with free shipping at infowarstore.com.
[05:37.400 --> 05:44.400]  So again, that's free shipping on all orders $50 or more at infowarstore.com.
[05:44.400 --> 05:56.400]  50% off at checkout with promo code 1776 and we've got the signed and unsigned copies of The Great Reset, War for the World book as well, which make perfect stocking stuffers.
[05:56.400 --> 06:18.400]  Don't wait, take action at infowarstore.com today.
[06:26.400 --> 06:46.400]  Ladies and gentlemen, it's Tuesday, December 6th, 2022.
[06:46.400 --> 06:48.400]  I'm your host Alex Jones.
[06:48.400 --> 06:56.400]  We're going to open the phones up today to get your take on the incredible aftermath of the Yay interview last week and the attacks on the first member that came out of that.
[06:56.400 --> 07:01.400]  What you think is really behind it because I still haven't figured it out myself.
[07:01.400 --> 07:10.400]  And I want to look at more cruise missile attacks from Ukraine into Russia. The escalation just off the charts. More happened today.
[07:10.400 --> 07:22.400]  We have got all this mainstream news coming out now and even some mainstream news who I thought had no bottom is saying, man, Canada is really euthanizing people that don't want to be killed.
[07:22.400 --> 07:29.400]  They're like, hey, you got two out of medical bills or you don't have a job. We're going to kill you.
[07:29.400 --> 07:33.400]  Disturbing Canada's euthanasia slippery slope is real and horrifying.
[07:33.400 --> 07:42.400]  So we've got a lot of that to get into. And so you got Yay over here saying he loves Hitler to be the shock jock.
[07:42.400 --> 07:50.400]  But then at the same time, Hitler really did euthanasia and forced it on people, not just assisted but forced and called euthanasia.
[07:50.400 --> 08:00.400]  I mean, Hitler really did these things. These are some of the things I didn't like about Hitler and people that fetishize Hitler thinking, well, the opposite of Hollywood and the opposite of the New World Order is Hitler.
[08:00.400 --> 08:07.400]  No, it's not the opposite. It's another competing evil ideology.
[08:07.400 --> 08:12.400]  And I know a lot of innocent people have been called Nazis and so you start thinking, well, I am one.
[08:12.400 --> 08:18.400]  That's what you say I am. Ladies and gentlemen, don't let the ADL mind control you.
[08:18.400 --> 08:28.400]  Realize the ADL is an evil, anti-American organization that they just simply put on Nazi uniforms are almost indistinguishable.
[08:28.400 --> 08:32.400]  They create racial division. They want power. They want control.
[08:32.400 --> 08:39.400]  They're super bad news, but they do not represent the compendium of people that live here in America.
[08:39.400 --> 08:50.400]  And they are trying to foment attacks on Jews, in my view, with the rhetoric they put out so that they get more powerful and get more control over that extremely important, powerful community.
[08:50.400 --> 08:55.400]  And so that's where I stand on that. And they've singled me out as their number one enemy.
[08:55.400 --> 09:04.400]  Think about that for a good reason. I've got their number and I've got the Nazis number and I've got Jeezy Ping's number and I've got the Democratic Party's number.
[09:04.400 --> 09:10.400]  And they're all a bunch of authoritarian groups manipulating our minds for power.
[09:10.400 --> 09:19.400]  They don't believe anything they say. These are just ideologies that they deploy to manipulate us, period.
[09:19.400 --> 09:25.400]  All right, we've got some really, really, really, really good news here.
[09:25.400 --> 09:34.400]  And I look at Trump vs. DeSantis as a scale. Not their personalities, but the fruits, the tree bears.
[09:34.400 --> 09:38.400]  Trump has done so many amazing things. It would take an hour to list them all.
[09:38.400 --> 09:42.400]  And the system hates his guts and he really did get reelected.
[09:42.400 --> 09:47.400]  So even if he wasn't that good, he should be the president because he got reelected.
[09:47.400 --> 09:52.400]  So I really lean towards Trump because of that.
[09:52.400 --> 10:02.400]  But on the poison shots that we know he got manipulated into bringing forward, the head of the CDC and others admit they lied to him and said it was safe and effective and would fix the problems.
[10:02.400 --> 10:08.400]  Once he realized he's been conned, he won't reverse himself because he's so pigheaded.
[10:08.400 --> 10:17.400]  And so I've said DeSantis has progressively gotten more hardcore saying children shouldn't take the shots. The military shouldn't be mandated to take the shots.
[10:17.400 --> 10:26.400]  That's stuff Trump said too. But then he started going after the lies and blocking of alternative treatments and the attempts to forcibly inject people.
[10:26.400 --> 10:36.400]  And now he started coming out and saying we're going to investigate the vaccine makers because these aren't vaccines and these weren't approved right.
[10:36.400 --> 10:43.400]  And they've heard a bunch of people and we've got to punish them so they don't do it again.
[10:43.400 --> 10:48.400]  So DeSantis has pulled way ahead of Trump with this move.
[10:48.400 --> 10:52.400]  So that makes them basically dead even in my mind.
[10:52.400 --> 11:01.400]  Even though DeSantis has all of these different neocon and rhino elites, elites supporting him.
[11:01.400 --> 11:05.400]  But that's mainly because they're scared of Trump, which again makes me like Trump more.
[11:05.400 --> 11:10.400]  So I'm not into this for a popularity contest.
[11:10.400 --> 11:18.400]  I'm based on the policies and I'm based on what these people actually do and I'm issue driven. I know most of you are as well.
[11:18.400 --> 11:24.400]  But I want to open the phones up and say, are we missing the boat here?
[11:24.400 --> 11:31.400]  Because we've got somebody with a better voting record and a better history and we know where he came from and we know who he is.
[11:31.400 --> 11:36.400]  When he was out of college, just starting his family practice or I guess right still in college.
[11:36.400 --> 11:40.400]  When his dad was rerunning for Congress in 1995-96.
[11:40.400 --> 11:48.400]  One of my first big interviews and then the guy that got Ron Paul on the show in 96 after he got elected was Rand Paul.
[11:48.400 --> 11:57.400]  I've known Rand for 27 years and he is the real deal.
[11:57.400 --> 12:05.400]  Nobody's perfect but he's gotten a lot better as the years have gone on.
[12:05.400 --> 12:17.400]  And so we are entering the new big presidential drive here and I'm not being contrarian here in this big debate about who do you like more Trump or DeSantis.
[12:17.400 --> 12:21.400]  When I say, I think Rand Paul should be on the ticket.
[12:21.400 --> 12:30.400]  I think a Rand Paul DeSantis ticket would be unbeatable.
[12:30.400 --> 12:36.400]  I don't know if Rand Paul would run as Trump's VP, that would be unbeatable.
[12:36.400 --> 12:40.400]  I don't think Trump obviously would be VP, that's not going to happen.
[12:40.400 --> 12:48.400]  And I don't think DeSantis would probably take second share to Paul.
[12:48.400 --> 12:59.400]  But I really think if you get past personalities and who's got the most gravitas when it comes to charisma, then it's got to be Rand Paul.
[12:59.400 --> 13:05.400]  So let's put a poll on infowars.com today.
[13:05.400 --> 13:14.400]  Who would you support more or who would you vote for in the Republican, in the 2024 Republican primary, something like that.
[13:14.400 --> 13:19.400]  And it needs to be Rand Paul DeSantis Trump.
[13:19.400 --> 13:22.400]  And throw Tulsi Gabbers in there.
[13:22.400 --> 13:25.400]  Tulsi could run as a Republican, the word is she's going to switch over to him.
[13:25.400 --> 13:27.400]  What would that do?
[13:27.400 --> 13:28.400]  What would that do?
[13:28.400 --> 13:30.400]  So let's put those four names up there.
[13:30.400 --> 13:37.400]  And I really think our audience, if they use their brains, would probably go Rand Paul.
[13:37.400 --> 13:44.400]  Because we've known him longer, we know what he stands for, and he's come out and said the shots are dangerous and hurting kids.
[13:44.400 --> 13:50.400]  And he wants an investigation, he wants Fauci arrested, and that Fauci cooked this up, which is true.
[13:50.400 --> 13:53.400]  So that's where I stand right now.
[13:53.400 --> 14:08.400]  Toll free number to join us, 877-789-2539, 877-789-2539 on that subject, on the Yay interview, on whatever you want to discuss, 877-789-2539, 877-789 Alex.
[14:08.400 --> 14:12.400]  I'll play the DeSantis clips, his latest clips, on the poison shots that are so important and more.
[14:12.400 --> 14:15.400]  Because we bring down this poison shot agenda.
[14:15.400 --> 14:22.400]  We bring down the global ID passports, the medical ID, the social credit score, their whole next phase of their takeover plan.
[14:22.400 --> 14:29.400]  And the next pandemic that Fauci and Biden and all the rest of the globalists have been saying is around the corner.
[14:29.400 --> 14:32.400]  Because next time it's going to be a lot worse.
[14:32.400 --> 14:38.400]  Think Canada, Australia and China, think about what they're like.
[14:38.400 --> 14:44.400]  This is the end of a free society, it's the total new world order plan, it's operation lockstep, this is everything.
[14:44.400 --> 14:48.400]  That's why I keep hammering the shots, hammering the lockdowns, hammering the persecution.
[14:48.400 --> 14:53.400]  If we go to sleep for a while, we'll give them some time of political, cultural amnesty.
[14:53.400 --> 14:56.400]  And then we all just quietly go away. I mean, look at this footage.
[14:56.400 --> 14:59.400]  I'm going to cover this too coming up in the next segment.
[14:59.400 --> 15:02.400]  If you've ever seen a Pied Piper in the real world, that's it.
[15:02.400 --> 15:09.400]  One white clad Judas Goat in the paramilitary medical tyranny outfit,
[15:09.400 --> 15:16.400]  leading thousands and thousands and thousands of Chinese who all got told they were red-coated with no evidence and had to go to the camps.
[15:16.400 --> 15:21.400]  This is the social credit score. This is breaking you down, locking you up, training you to be a slave.
[15:21.400 --> 15:27.400]  Only let you out again later, as long as you follow all the orders they say, they get progressively more tyrannical.
[15:27.400 --> 15:31.400]  Where'd Bob go? I don't know. He went to a cupboard camp and never came back.
[15:31.400 --> 15:35.400]  They're just training you to get used to seeing people grab and rounded up all around you.
[15:35.400 --> 15:41.400]  Super hardcore tyranny, the model of the great reset and the new world order.
[15:41.400 --> 15:43.400]  And we're going to be here fighting it big time.
[15:43.400 --> 15:49.400]  All right. Your phone calls a ton more coming up today. Infowars.com.
[15:49.400 --> 15:51.400]  Tomorrow's news today.
[15:59.400 --> 16:08.400]  December 2022 is here, and we are proud and very excited to announce that free shipping is back at InfowarsStore.com.
[16:08.400 --> 16:16.400]  That's right. Free shipping on all orders of $50 or more. But we've signed a new deal with a big national shipping company,
[16:16.400 --> 16:21.400]  and they're able to cut our regular shipping cost by up to 50%.
[16:21.400 --> 16:27.400]  So that means even on orders that are below $50, you're going to be paying way lower than you were previously.
[16:27.400 --> 16:30.400]  This is a game changer. We're so excited about it.
[16:30.400 --> 16:34.400]  Our listeners had really asked for free shipping again. We couldn't afford it before.
[16:34.400 --> 16:40.400]  But by moving to a bigger national distributor, we're able to do it. So now, your orders will be shipped even faster.
[16:40.400 --> 16:43.400]  The same great customer service and more.
[16:43.400 --> 16:49.400]  So get huge discounts and free shipping on so many great items at InfowarsStore.com right now.
[16:49.400 --> 16:53.400]  I want to thank you all for your support, but now there's no excuse to boost your immune system,
[16:53.400 --> 17:05.400]  lead a healthier life, and keep Infowars on the air. InfowarsStore.com.
[17:23.400 --> 17:27.400]  And you can do that now at InfowarsStore.com.
[17:27.400 --> 17:33.400]  Help us clear out our stock of bodies, tumor, vitamin C with zinc and alpha power.
[17:33.400 --> 17:41.400]  Turn those shady Federal Reserve notes into the highest quality supplements available while they still last.
[17:41.400 --> 17:44.400]  Now with free shipping.
[17:44.400 --> 17:59.400]  We thank you for your support and we wish you a very peaceful, happy, and merry Christmas.
[17:59.400 --> 18:06.400]  The tip of the spear throughout this entire process, the only thing that made any Republican victories tonight possible.
[18:06.400 --> 18:10.400]  The only thing that made any resistance to the war machine possible.
[18:10.400 --> 18:16.400]  The only thing that made any opposition to the lockdowns and the mask mandates and the school shutdowns
[18:16.400 --> 18:22.400]  and the forced vaccines and the dangerous drugs possible, made any resistance to it possible,
[18:22.400 --> 18:29.400]  was people continuing to support Infowars, despite the massive lawfare being waged against Infowars,
[18:29.400 --> 18:33.400]  despite the media defamatory libelous campaign against Infowars,
[18:33.400 --> 18:40.400]  the ordinary people, the everyday people that buy products that make their own lives healthier, wealthier, and wiser,
[18:40.400 --> 18:42.400]  is what keeps Infowars on the air.
[18:42.400 --> 18:49.400]  And what that does is keep the populist message alive in an era and an age of totalitarian oppression.
[18:49.400 --> 18:52.400]  So continue to do it. Go to places like InfowarsStore.com.
[18:52.400 --> 18:54.400]  Go to places like Save Infowars.
[18:54.400 --> 19:00.400]  Continue to keep Infowars alive because in the process, you're keeping American liberty alive.
[19:00.400 --> 19:05.400]  So when I first started taking Survival Shield, basically I was 275 pounds. I was overweight.
[19:05.400 --> 19:09.400]  I had brain fog like you wouldn't believe. I was barely holding on to a job.
[19:09.400 --> 19:12.400]  And I heard Dr. Group on your show and I listened to it.
[19:12.400 --> 19:15.400]  So the first one I got was the original Survival Shield, the X1.
[19:15.400 --> 19:19.400]  And it worked pretty good. And then shortly thereafter, you came out with that stew.
[19:19.400 --> 19:23.400]  You had, you know, with a deep burn source, you know, and I got really excited about that so I took it.
[19:23.400 --> 19:29.400]  And man, in two weeks, I went from brain fog to like literally like my brain was enlightened, you know.
[19:29.400 --> 19:32.400]  I could think again. I could connect with people again.
[19:32.400 --> 19:36.400]  And over the course of the next couple of years, I got my health back.
[19:36.400 --> 19:41.400]  And I religiously take basically all of your supplements. They're all absolutely amazing supplements.
[19:41.400 --> 19:45.400]  The one I like recently is Knockout. It literally, like if you want to sleep, just take it.
[19:45.400 --> 19:46.400]  It's amazing. It works.
[19:46.400 --> 19:49.400]  But anyway, so the point is we have to get ourselves clean.
[19:49.400 --> 19:51.400]  We have to break free of the globalist system.
[19:51.400 --> 19:55.400]  And the only way to do that is to take our own health into our own hands.
[19:55.400 --> 19:59.400]  Beautifully said, brother. I thank you so much for your call and Godspeed.
[19:59.400 --> 20:25.400]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[20:25.400 --> 20:29.400]  Everything is stopping the central bank digital currencies.
[20:29.400 --> 20:33.400]  Everything is stopping the biomedical tyranny.
[20:33.400 --> 20:36.400]  The whole rest of your life is going to be dealing with this.
[20:36.400 --> 20:45.400]  And remember, complying with it leads to progressively intense levels of tyranny and death.
[20:45.400 --> 20:47.400]  This is global depopulation.
[20:47.400 --> 20:50.400]  And I'm really sorry I have to announce that to all of you,
[20:50.400 --> 20:55.400]  history is replete with elites and different ruling classes that try to kill off the underclass.
[20:55.400 --> 20:57.400]  This is happening again.
[20:57.400 --> 21:03.400]  And as this gets progressively worse, a lot of folks are going to try to join with the evil because they're scared.
[21:03.400 --> 21:10.400]  And that is what will grease the skids into hell, unimaginable, following orders.
[21:10.400 --> 21:12.400]  So it doesn't matter what happens to Alex Jones.
[21:12.400 --> 21:15.400]  I'm only worried about my family and my children and you should be too.
[21:15.400 --> 21:21.400]  And that's why I have a strength is that I'm resigned and I'm committed.
[21:21.400 --> 21:26.400]  And I know this is my job to warn as many people as I can and that God's going to do the rest, but understand something.
[21:26.400 --> 21:31.400]  You can see it now clear as day everywhere.
[21:31.400 --> 21:40.400]  Forced assistance, suicide, murder, transgenderism, mutilating children, fentanyl everywhere, open borders, devalued currencies,
[21:40.400 --> 21:43.400]  Satanism, openly promoted, pedophilia.
[21:43.400 --> 21:46.400]  This is just the beginning, people.
[21:46.400 --> 21:59.400]  Once they get their social credit score in place, they're going to have mobs of people coming and dragging you out of your 200 square foot coffin apartment to beat you to death on the street.
[21:59.400 --> 22:05.400]  It's all based on Mao and the struggle sessions and systems they set up there.
[22:05.400 --> 22:13.400]  The whole modern New World Order is a Maoist experiment that was run by the CIA with a high tech overlay.
[22:13.400 --> 22:23.400]  And so the sanity poking its head up above the tyranny of Senator Paul and Governor DeSantis and others saying these shots don't work.
[22:23.400 --> 22:26.400]  They were experimental. They lied to us.
[22:26.400 --> 22:28.400]  What did I ask Trump to do 100 times on air?
[22:28.400 --> 22:32.400]  What did I directly get him messages?
[22:32.400 --> 22:36.400]  The people I won't name who don't want their names named, you can guess who.
[22:36.400 --> 22:38.400]  Two people had meetings with Trump.
[22:38.400 --> 22:42.400]  He'd heard about it. He tried to call me. I missed the call a few months ago.
[22:42.400 --> 22:44.400]  I get a call about one of his components. Why are you doing this?
[22:44.400 --> 22:47.400]  And I said, I'll shoot reports to Trump explaining it.
[22:47.400 --> 22:53.400]  And I shot not one, but two reports begging him and explaining to him how they're going to set him up for this later.
[22:53.400 --> 23:01.400]  Now it's all going to come out and showing how the rats were already leaving the sinking ship with the head of the CDC and others saying they knew the shot wouldn't work.
[23:01.400 --> 23:03.400]  They told Trump it would have just got it done.
[23:03.400 --> 23:13.400]  And now Fauci last week on national TV says it's Trump's fault for the Wuhan lab and Operation Warp Speed.
[23:13.400 --> 23:16.400]  And still Trump picketedly marches into it.
[23:16.400 --> 23:26.400]  So it's so good to have DeSantis and Paul out doing this because it's real.
[23:26.400 --> 23:33.400]  They're killing us with these shots and they need to be punished for what they've done or they're going to get away with it and do it again.
[23:33.400 --> 23:38.400]  So we cover a thousand other issues that are interesting and informative, but this is everything.
[23:38.400 --> 23:41.400]  This is the big enchilada.
[23:41.400 --> 23:46.400]  The COVID tyranny and election fraud around the world keeping populist out.
[23:46.400 --> 23:50.400]  Like we see here in America, like we see in Brazil, clear evidence of fraud.
[23:50.400 --> 23:51.400]  Nobody's buying it.
[23:51.400 --> 23:54.400]  Only the Republican precincts failing.
[23:54.400 --> 24:10.400]  Now it's 44% of the machines, not 25% of the machines in America County, all in Republican districts, Republican primaries, Republican precincts.
[24:10.400 --> 24:15.400]  And then it just goes on and on and on and on and on and on and on.
[24:15.400 --> 24:16.400]  And then, oh, the power went out.
[24:16.400 --> 24:18.400]  Oh, there was a water main busted.
[24:18.400 --> 24:23.400]  Oh, and we found all these extra ballots while everybody was out of the building and the camera is malfunctioned too.
[24:23.400 --> 24:35.400]  So election fraud and our ability to say no by we the people in our Republic being taken away.
[24:35.400 --> 24:37.400]  This is the process being taken away.
[24:37.400 --> 24:45.400]  The censorship, the surveillance, the control, the bullying, and then trying to take our bodies over and put this garbage in us.
[24:45.400 --> 24:48.400]  This is something we cannot put up with.
[24:48.400 --> 25:10.400]  Oh, five white vans showed up for unloading ballots and then the cameras all failed in Nevada, in Arizona, in Michigan, in Georgia, in Pennsylvania.
[25:10.400 --> 25:18.400]  A postal worker opens up the back of the truck and there's all these boxes across state lines and they're all marked for Biden two years ago.
[25:18.400 --> 25:22.400]  And he goes to the media and he goes to the FBI comes and threatens him.
[25:22.400 --> 25:24.400]  What are you doing opening up boxes in a mail?
[25:24.400 --> 25:25.400]  Well, I'm a mail carrier.
[25:25.400 --> 25:26.400]  Some suspicions.
[25:26.400 --> 25:28.400]  I'm allowed to look at it.
[25:28.400 --> 25:30.400]  It's all marked for Biden.
[25:30.400 --> 25:32.400]  Shut up.
[25:32.400 --> 25:34.400]  They don't even care.
[25:34.400 --> 25:48.400]  You've got these fools working for the system that think they can like cheat and steal and rob and it's going to get them ahead when all it's going to do is bring the whole society down where your money won't be worth anything anywhere.
[25:48.400 --> 25:53.400]  We're seeing what immorality causes.
[25:53.400 --> 25:59.400]  And I don't think of immorality as cheating on your wife.
[25:59.400 --> 26:00.400]  I do think of it as that.
[26:00.400 --> 26:01.400]  I think of it as bad.
[26:01.400 --> 26:11.400]  But they act like in the controlled Christian church that that's the ultimate sin and that that's the worst thing or, you know, drinking a beer.
[26:11.400 --> 26:21.400]  But the real sin isn't going out and fighting pedophilia or collapsing borders or human smuggling or speaking out against evil and being a coward.
[26:21.400 --> 26:23.400]  Being a coward is what God really hates.
[26:23.400 --> 26:34.400]  King David got his best friend killed because he was lusting over his wife, but he truly repented and knew it was wrong and had incredible courage and went out to approve himself.
[26:34.400 --> 26:41.400]  And God said, you're a man after my own heart because God judges the heart folks.
[26:41.400 --> 26:43.400]  But the people have lost their soul.
[26:43.400 --> 26:44.400]  They've lost their heart.
[26:44.400 --> 26:46.400]  They've lost their spark.
[26:46.400 --> 26:52.400]  And you see people that are really awake and they have like electricity in their eyes.
[26:52.400 --> 26:59.400]  You see people who aren't awake and they look like they're dead because they are.
[26:59.400 --> 27:01.400]  They're not conscious.
[27:01.400 --> 27:10.400]  They're just going through life, cutting every corner, cheating everywhere they can, ankle biting, back stabbing, believing that that's going to get them ahead.
[27:10.400 --> 27:17.400]  And what all the studies in Europe, in the U.S. and Canada show, depending on the study, it runs seven to ten times.
[27:17.400 --> 27:21.400]  Democrats, liberals are seven to ten times more likely to steal.
[27:21.400 --> 27:27.400]  Something like six to nine times more likely to tell you they're giving a charity, but not to give a charity.
[27:27.400 --> 27:29.400]  Way more likely to cheat.
[27:29.400 --> 27:31.400]  Way lazier.
[27:31.400 --> 27:34.400]  And what they are is bandwagon followers.
[27:34.400 --> 27:36.400]  They jump on every bandwagon.
[27:36.400 --> 27:40.400]  They go along with every the new thing.
[27:40.400 --> 27:50.400]  And what's happening is the civilization is unraveling and the globalist want to make that move as fast as possible by defunding the police.
[27:50.400 --> 27:54.400]  And by trying to take our guns so we can't defend ourselves.
[27:54.400 --> 28:03.400]  So that we give up and then the whole system collapses and then they come in with hardcore authoritarianism as the answer.
[28:03.400 --> 28:15.400]  And then they're going to take all these people with criminal records and they're going to put them in forced labor camps.
[28:15.400 --> 28:24.400]  And at that point, they'll come pick me up on the highway when I'm driving someday or if we're trying to get on a train,
[28:24.400 --> 28:29.400]  all of the cars gone by then and take me into an office and some other globalist will walk in and say,
[28:29.400 --> 28:31.400]  this is your last chance, Jones.
[28:31.400 --> 28:34.400]  You can join us and work with us.
[28:34.400 --> 28:37.400]  You know you've lost or we're going to kill you.
[28:37.400 --> 28:40.400]  And I'll be in that room one day.
[28:40.400 --> 28:41.400]  Very good chance of that.
[28:41.400 --> 28:43.400]  That's how this works.
[28:43.400 --> 28:45.400]  Think about it.
[28:45.400 --> 28:49.400]  See, they're going to take all the people that brought them into power and kill them.
[28:49.400 --> 28:51.400]  They're going to try to hire me.
[28:51.400 --> 28:53.400]  That's how history works.
[28:53.400 --> 29:22.400]  They're right back. Stay with us.
[29:23.400 --> 29:26.400]  And I'm going to give it a five-year-old look at the book.
[29:26.400 --> 29:32.400]  It's called The Great Reset on orders of $50 or more and big discounts on the regular shipping as well.
[29:32.400 --> 29:36.400]  Plus the book, The Great Reset and the War for the World, signed or unsigned.
[29:36.400 --> 29:40.400]  It's also available with free shipping at infowarstore.com.
[29:40.400 --> 29:47.400]  So again, that's free shipping on all orders, $50 or more, at infowarstore.com.
[29:47.400 --> 29:52.400]  And we've got the signed and unsigned copies of the great reset War for the World book
[29:52.400 --> 29:55.680]  as well, which make perfect stocking stuffers.
[29:55.680 --> 30:00.240]  Don't wait, take action at infoorstore.com today.
[30:00.240 --> 30:07.200]  It's hard to believe sometimes that we are still live on air, broadcasting free worldwide.
[30:07.200 --> 30:12.520]  And it seems quite real that things can change in an instant.
[30:12.520 --> 30:18.160]  Things are getting very weird, and it's definitely more difficult than ever to even know what's
[30:18.160 --> 30:19.160]  going on.
[30:19.160 --> 30:22.920]  But we'll keep doing our best so long as you keep us on the air.
[30:22.920 --> 30:27.720]  And you can do that now at infoorstore.com.
[30:27.720 --> 30:34.200]  Help us clear out our stock of bodies tumored, vitamin C with zinc and alpha power.
[30:34.200 --> 30:39.320]  Turn those shady Federal Reserve notes into the highest quality supplements available
[30:39.320 --> 30:41.520]  while they still last.
[30:41.520 --> 30:44.720]  Now with free shipping.
[30:44.720 --> 30:51.520]  We thank you for your support, and we wish you a very peaceful, happy, and merry Christmas.
[30:59.520 --> 31:06.480]  Until about 150 years ago, cultures all over the world believe that people got sick and
[31:06.480 --> 31:11.080]  died in many cases in the winter because of something called vapors.
[31:11.080 --> 31:15.520]  They associated these poisonous vapors with cold weather.
[31:15.520 --> 31:20.360]  Of course it wasn't the cold weather or catching a chill that killed people, what was killing
[31:20.360 --> 31:23.920]  people was a lack of vitamin D3.
[31:23.920 --> 31:30.080]  You see the sun via your skin helps your body produce vitamin D3.
[31:30.080 --> 31:34.080]  But if you're not getting enough sun, you will not produce vitamin D3, and then it's
[31:34.080 --> 31:38.640]  very easy for viruses and other things to start replicating and taking your body over.
[31:38.640 --> 31:42.560]  So now it's more important than ever because the winter is here to take high quality vitamin
[31:42.560 --> 31:47.280]  D3 and we have the best with our vitamin D3 gummies with calcium for better upload
[31:47.280 --> 31:53.560]  into your body for 50% off at infoorstore.com with promo code 1776.
[31:53.560 --> 31:59.600]  Don't wait, support the info war and your immune system with vitamin D3 gummies at infoorstore.com.
[31:59.600 --> 32:04.960]  The tip of the spear throughout this entire process, the only thing that made any Republican
[32:04.960 --> 32:06.560]  victories tonight possible.
[32:06.560 --> 32:10.760]  The only thing that made any resistance to the war machine possible.
[32:10.760 --> 32:15.600]  The only thing that made any opposition to the lockdowns and the mask mandates and the
[32:15.600 --> 32:21.920]  school shutdowns and the forced vaccines and the dangerous drugs possible, made any resistance
[32:21.920 --> 32:27.880]  to it possible was people continuing to support info wars despite the massive law fair being
[32:27.880 --> 32:33.280]  waged against info wars, despite the media defamatory libelist campaign against info
[32:33.280 --> 32:38.680]  wars, the ordinary people, the everyday people that buy products that make their own lives
[32:38.680 --> 32:43.760]  healthier, wealthier and wiser is what keeps info wars on the air and what that does is
[32:43.760 --> 32:49.200]  keep the populist message alive in an era and an age of totalitarian oppression.
