[00:00.000 --> 00:10.000]  Live from Austin, Texas broadcasting worldwide it's Alex Jones
[05:32.000 --> 05:49.000]  this is the only system that in one unit helps reduce or remove pesticides herbicides chloramines ammonium and chlorine hydrofluorosalic acid the most common form of fluoride not covered by other fluoride filter brands and sodium hexafluorosilicate
[05:49.000 --> 06:05.000]  get your pro pure with a new pro one filters today at infowarstore.com or by calling 888-253-3139
[06:05.000 --> 06:27.000]  he aligns himself with the truth and it's time for you to choose a side you're listening to Alex Jones
[06:27.000 --> 06:40.000]  I'm going to be honest with people I have a love hate relationship with professional sports I grew up playing football myself and sitting there every Sunday and of course Monday nights with my parents growing up in Dallas Texas
[06:40.000 --> 07:01.000]  watching people like Roger Stalbach play and being coached by people like Tom Landry who my grandfather was really good friends with and also roommate did with at the University of Texas and then later at SMU as well but the whole point is that it has become a national sickness
[07:01.000 --> 07:11.000]  and in any decadent society that is degenerating sports is going to be central just like in North Korea, Communist China, Nazi Germany or Soviet Russia
[07:11.000 --> 07:27.000]  it is a fact that going back to the time of Rome and even before that with the original Olympics with the Greeks that it would become a substitute for normal human struggles normal human activities and really is the first false reality
[07:27.000 --> 07:40.000]  where people cease to be independent players in the game of life themselves and become spectators like in Plato's Cave watching an image projected on the wall not actually living themselves
[07:40.000 --> 08:00.000]  sports has become the proto matrix of human society and development and we've got fans collapsing waiting in New Jersey there in East Rutherford because they don't let cars approach the stadium because of the imaginary terrorist and the hero government though of course with gunships and checkpoints is going to keep us safe
[08:00.000 --> 08:17.000]  but we're going to have a Jacari Jackson reporting live via video and audio feeds for radio and TV viewers and listeners coming up in the next segment then I will continue with an analysis of sports and propaganda itself in the main state
[08:17.000 --> 08:38.000]  but before I do all of that and break this down let me just go to a little write up that I did before the show today dealing with the bad elements in my view of professional sports here and also in North Korea and now it's using Latin America to suppress the population as well
[08:38.000 --> 08:53.000]  and then we're going to get into the good aspects from my perspective and then we'll open the phones up in the last segment of this hour into the second hour on this live second day of February 2014 Super Bowl 48 extravaganza
[08:53.000 --> 09:15.000]  within FullWars.com and yours truly Alex Jones and we'll continue the discussion into the weekday show tomorrow 11am central to 2pm eastern or 11am central to 2pm central and occurs 12 and 3pm eastern and I'll be on two hours tonight on Coast to Coasting and with George Norrie discussing this topic and engineered economic collapse
[09:15.000 --> 09:38.000]  Agenda 21 and so much more on over 500 stations across the country as well so Peyton Manning works very hard to win at football I worked very hard at knowing how the world works and then I see other men knowing all about football, baseball, basketball scores they're not stupid they're just their minds are filled with stuff that doesn't matter
[09:38.000 --> 09:54.000]  unless they're professional gamblers I guess and then it's almost unmanly to know about geopolitics the stock market the way politicians operate to know how the world really works that's like weird and almost forgotten or unknown
[09:54.000 --> 10:09.000]  but to know all about sports and that being the only topic of conversation well that's seen as a virtue but let's go over these points here's what I see in the bad column for the worship of sports in places like North Korea, Mexico, the United States, ancient Rome
[10:09.000 --> 10:21.000]  you name it any declining society sports become more and more important no one can deny that it's a gladiatorial diversion piggy bank for the establishment to make unlimited cash and then of course their tax exempt
[10:21.000 --> 10:40.000]  and that's number one out of the 13 points there's many more that I say are negative it's parasitic you've got the NFL itself being tax exempt most of the owners profits being tax exempt the games security paid for by federal state and local tax money
[10:40.000 --> 10:56.000]  just the whole thing is a giant parasitic action and then even the tax exemption the owners becomes a tax write-off like billable and the gates are involved in as well they're not really why is it every billionaire is a philanthropist because when you get into that club you don't pay taxes anymore
[10:56.000 --> 11:11.000]  part of your earnings goes to so-called charities it's really social engineering so there you go it's very very parasitic the billion dollar billion and a half dollar stadiums people pay for you know all because the owners take out the local idiot city council
[11:11.000 --> 11:27.000]  just like formula one here in Austin Eccleston makes billions and billions a year and his tax exempt I mean it's a total sick joke false dreams there's only a few thousand slots in professional sports but most kids think they're going to be movie stars rock stars
[11:27.000 --> 11:44.000]  or sports stars I mean everyone I know thinks they're going to be a movie star a rock star a sports star and they just try their whole life and are completely unfulfilled and unhappy whereas they could have studied any engineering or business or mowing lawns for that matter and how to hire more
[11:44.000 --> 11:59.000]  crews under you I know a lot of guys own lawn trimming companies that make ten million dollars a year there's a lot of slots to do that around restaurants but there's there's not a lot of slots to be a sports star plus once you get into it you learn it's not fulfilling anyways on average
[11:59.000 --> 12:15.000]  one of the least fulfilling things out there continuing it's a police state promo this is a big chance for the government to pose as the savior and have you know defense forces to protect everyone from the imaginary threat and project the idea that Al Qaeda even exist
[12:15.000 --> 12:31.000]  outside of what the CIA is publicly funding aka look at Syria Libyan Egypt so makes the number four government heroes of the corruption the the child trafficking the prostitutes the drug dealing all the corruption that goes on with it just the
[12:31.000 --> 12:48.000]  spectacle of the diversion from reality all the real things that are going on in the world the fact that no one will talk about anything but sports with you shows they can talk about nothing but sports it's actually pretty pitiful again history already mentioned this gladiator is the fact that we're in decline
[12:48.000 --> 13:03.000]  you know we laugh at Dennis Rodman going over to North Korea basketball is king in North Korea so just like we can see from the outside what a joke it is well we're a joke here as well again bad role models all the pit bull fighting all the
[13:03.000 --> 13:18.000]  gangsterism of the NFL I mean it's it's it's it's pretty sick you know I'm glad Terry Bradshaw when his dad died is not going to be presenting the trophy and went to be with his dad people like well that's incredible he should he's been at every one of these games for decades
[13:18.000 --> 13:34.000]  his dad's important not the stinking game and again it gets into that whole sickness of where it comes number one and then you build your whole life around being a spectator you're not in the arena that's why authoritarian regimes push sports because it keeps you on your
[13:34.000 --> 13:50.000]  butt and worried about factoids about sports not about business not about the game of life that's a war ladies and gentlemen now again it's also a giant male soap opera again of arrested development no one can deny that
[13:50.000 --> 14:05.000]  that it's something kids are supposed to be obsessed with sports not men and that's been marveled at by many social engineers you've got the anti gun message that is in
[14:05.000 --> 14:23.000]  you've got the anti gun message that is being put into all the different sports and NFL you've got Obama and Monday night football replacing Hank Williams junior you've got the the pro Obama messages and Obama coming on the hour you know two hours before
[14:23.000 --> 14:36.000]  the Super Bowl for a full hour of Bill O'Reilly on the Fox affiliate stations force feeding someone no one wants to look at no one wants to hear from it's incredibly unpopular and trying to become a dictator other banning gun ads that
[14:36.000 --> 14:51.000]  don't even show guns that just promote the right to keep their arms and fatherhood like Daniel defense I mean it's disgusting what it's turned into and that's why record low viewers record low ticket sales because people are saying they're sick of it
[14:51.000 --> 15:01.000]  that'd be like having anti gun messages at NASCAR or pro Obama messages at NASCAR that would kill NASCAR stop it NFL I mean it's disgusting
[15:01.000 --> 15:15.000]  people again only talk about sports use to suppress real male activities like actually playing sports being involved in sports which is healthy and good takes over an area meant for planning and survival in the brain that's why you're into sports
[15:15.000 --> 15:30.000]  but it's simulated combat it's simulated war after we check in with Jacarie Jackson who's there at the Super Bowl are reported from the next segment we're going to come back recap the bad angle and then I'm going to give you what I think is good about the NFL
[15:30.000 --> 15:42.000]  and how the NFL could go back to being wholesome that's why it was so popular America's game I mean I like football but frankly I'm going to go to Super Bowl party after the show the whole issue is is that it's not my God and I don't
[15:42.000 --> 15:59.000]  worship it and I better not see some anti gun garbage or pro Obamacare garbage or Obama garbage when I'm watching I would be offended if they were pushing anything but pro liberty and Obama's the opposite of that we'll be right back with our reporter
[15:59.000 --> 16:13.000]  the facts are in the studies are legion sodium fluoride and other toxic members of the fluoride family are devastating the health and cognitive ability of the American people so why are the social engineers adding it to the water
[16:13.000 --> 16:30.000]  simple dumb down the host population that the parasitic technocracy is feeding on we may not have been able to get fluoride out of the water supply yet but we can help to get it out of our bodies I'm extremely excited to announce the exclusive info wars life fluoride shield formulation
[16:30.000 --> 16:44.000]  using six of the best documented ingredients from around the world to help the body remove not just toxic fluoride residues from the body but a whole host of toxic substances let's take a stand against the globalist by blocking their
[16:44.000 --> 17:00.000]  lives with fluoride shield I use fluoride shield every day secure your fluoride shield and other pioneering formulations at info wars life dot com today let's start cleansing our bodies now and support the info war at the same time that's info wars life dot com
[17:00.000 --> 17:16.000]  folks Alex Jones here with some important information I want to tell you about Matt Red Hawk and his team of patriots over at my patriot supply several years ago Matt was sitting in his two bedroom apartment frustrated with the direction this country was headed and the charlottes willing to sell us out for a quick buck
[17:16.000 --> 17:36.000]  fighting to take action a company run by patriots for patriots was born my patriot supply has never taken a loan or accepted outside funding they now operate two distribution facilities and employ over 50 hardworking American men and women it is rare to find companies who practice what they preach and that's why I stock my pantry with high quality
[17:36.000 --> 17:56.000]  storable foods for my patriot supply go to mypatriotsupply.com for slash Alex today for special offers on emergency food storage or call their preparedness specialist at 866-229-0927 that's 866-229-0927 do business with someone who shares your values
[17:56.000 --> 18:16.000]  my patriot supply dot com slash Alex why does the United States spend the largest percentage of GDP in the world on health care why do we have the highest cancer rates on the planet the highest rates of diabetes autism and every other major disease it all comes down to one thing we are what we eat
[18:16.000 --> 18:34.000]  our food is devoid of nutrition and processed with poisons and additives our water is filled with toxic poisons and big pharma runoff all of this has been engineered by design we can turn the tide against the eugenicist by giving ourselves the nutrients our body desperately needs
[18:34.000 --> 18:50.000]  to learn more visit info wars health dot com the site is literally packed with audio and video featuring top health professionals who don't bow down to big pharma the fight against the new world order starts with you and you can't stand against the machine of your sick tired and obese
[18:50.000 --> 18:59.000]  when you visit info wars health dot com be sure and check out the catalog with nearly 400 life changing products and get free shipping when you sign up for auto ship
[18:59.000 --> 19:12.000]  in the last 50 years iodine has been phased out of our staple foods and replaced with the halogen bromine a practice now banned in nations around the world guess what else is in the halogen family fluoride
[19:12.000 --> 19:29.000]  ladies and gentlemen alex jones here in 1924 the federal government did the right thing and encourage salt producers to add iodine it's the good halogen on the periodic table and the results are on record reports documented a 15 point IQ increase
[19:29.000 --> 19:46.000]  in areas that had previously been deficient in iodine bottom line iodine is important unbound clean in a glycerin base nascent iodine was the answer for myself and my family you will find survival shield nascent iodine exclusively at info wars life dot com
[19:46.000 --> 20:00.000]  info wars life survival shield nascent iodine isn't just for emergencies I take it every day that's info wars life dot com or call toll free 8882533139
[20:00.000 --> 20:17.000]  coast to coast direct from Austin you're listening to the alex jones broadcasting network network
[20:17.000 --> 20:37.000]  leading a frontal assault on the lives of the new world order it's alex jones on the GCN radio network
[20:37.000 --> 20:51.000]  well you've got all the people lined up for hours there at the trains because no one's allowed to even have taxi rides up to the Super Bowl because of the terrorist threat no it's all about training us to be slaves in the land of the free home of the brave
[20:51.000 --> 21:14.000]  you've got gunships in the air you've got sniper teams you've got armed TSA searching everyone groping their genitals they say have clear bags next will be clear clear clothes because we're all terrorist except the government funding Al Qaeda and the Taliban all over the world to attack Christians and blow up churches and take over Syria Libya and Egypt
[21:14.000 --> 21:33.000]  funded by Saudi Arabia but but forget reality doesn't matter Super Bowl 48 ladies and gentlemen I mean this is just the heights of manliness our nights out fighting the other nights in simulated war while the whole real world goes around us and as we lose our
[21:33.000 --> 21:45.000]  control of rights as we lose our constitution as we lose that battle as we lose our borders and our sovereignty as we lose our dollars value none of that matters because the only fight in the world
[21:45.000 --> 22:05.000]  for our morals isn't for our children it's for the ball game and jacari Jackson with Josh Owens on camera and again you can watch feeds of this and info wars dot com forward slash show folks or info wars news dot com but for radio listeners we are joined by jacari Jackson there at the site of Super God 48
[22:05.000 --> 22:20.000]  I mean this is our God our God is is is Peyton Manning who's totally focused on nothing but football that is so manly now if you're focused on your liberties that's kind of weird and creepy or if you're focused on sovereignty or the second amendment
[22:20.000 --> 22:36.000]  but if you're focused on slapping men on the hind end and throwing balls and all this stuff this is so manly right now and I'm just intimidated by it and that's why I'm talking about it right now you know forget troops that go into combat that's not manly right now the ultimate manliness
[22:36.000 --> 22:47.000]  is happening and to do it we all are trained to be terrorists and have our genitals grubbed jacari are you ready to get on the train and have your genitals grubbed are you ready to be grubbed at the Super Bowl itself jacari Jackson
[22:47.000 --> 23:02.000]  well you know Alex I feel so manly being around all these guys dressed up in a face paint I feel like I just slammed five or six bottles of super male vitality but Alex we're out here in Chicago it's New Jersey this is the site of a ticket pickup behind me these are the buses that are taking people to the Super Bowl
[23:02.000 --> 23:15.000]  now you touch on the good point that because of the heightened security here you cannot drive a personal vehicle without a permit you have to get a permit to drive to the Super Bowl you can't even be dropped off so for example if I want to be dropped off by a taxi I can't do that
[23:15.000 --> 23:25.000]  so they're funneling the majority of the people going to the Super Bowl into two modes of transportation you can take the train or you can take the bus and on every single local TV station we've been watching Alex
[23:25.000 --> 23:35.000]  they've been talking about the terrorist threat and where the terrorists are going to strike and all the every single channel talks about if the terrorists strike they're going to strike on the mass transit system which makes me think well why are you funneling
[23:35.000 --> 23:41.000]  every almost everybody who's going on a mass transit system if that's we think the terrorists are going to strike
[23:41.000 --> 23:47.000]  that's right and I mean aren't you lucky it's not just the heroes on the field homeland security
[23:47.000 --> 23:56.000]  yes we tweeted that out so if you guys pull up a real Alex Jones we snapped a picture of DHS they were here a little bit earlier today we tweeted that out so you guys can look at that
[23:56.000 --> 24:09.000]  so DHS is going to keep you safe and they'll talk about all the security measures they talk about the bear cage and how you can't drive and all these other things but nobody wants to talk about on these local networks nobody wants to talk about the snipers in the building they always gloss over that fact
[24:09.000 --> 24:18.000]  they'll tell you about oh we got 3000 plus special agents here from various agencies you got the state police you got this you got that but nobody wants to talk about the snipers in the building
[24:18.000 --> 24:34.000]  well let's be clear there are a lot of crazies in a country of 320 million people but they're claiming it's for Al Qaeda they're claiming that this is a real threat when on record our government in the 70s created the Taliban they created the Al Qaeda
[24:34.000 --> 24:46.000]  and is on record becoming Al Qaeda's air force all over the world to the point of they've now taken over areas of Iraq again so I am so sick of being chatted down by the TSA to see if I'm a terrorist
[24:46.000 --> 24:57.000]  when they know full well who you are with the NSA database on record that the TSA is dialed into and they now use it to harass movie stars members of Congress you name it
[24:57.000 --> 25:09.000]  I've had them say hi Alex Jones come over here we're going to screen you and laugh at me so it's all just about government power grabbing Jacari and again being our savior with gun boats and helicopters
[25:09.000 --> 25:22.000]  they're the heroes Obama you know before the Super Bowl in an hour long interview just forcing government why not just have Janet Napolitano out there play football against Janet Reno and Mr. Maddow and all of them
[25:22.000 --> 25:29.000]  why not just I mean there are heroes there are red carpet gods because politics is Hollywood for ugly people
[25:29.000 --> 25:47.000]  that's exactly right I was talking to Josh our camera guy it reminds me of that movie American gangster where Russell Crowell's characters like I'm going to the Ali fight hey man you want to go with me the guy says I don't like boxing and Russell Crowell says it's not boxing it's politics that's what the Super Bowl is it's not football it's politics it's not the NBA it's politics
[25:47.000 --> 25:57.000]  that's why you see all these big name movie stars and all these politicians and these other guys go to the advantage for publicity it's for politics that's right it's there where we pay for the money
[25:57.000 --> 26:12.000]  Jacari what do you make of these two teams being billion dollar plus teams and giving almost no money as the AP and show biz 411 and others are reporting and then meanwhile the owners paying no taxes and getting their stadiums paid for
[26:12.000 --> 26:19.000]  I mean this is the biggest scam job in the world but I guess I'm talking bad about our pastime
[26:19.000 --> 26:32.000]  yeah it is and you know we did that man on the street in Times Square where we asked people if they were aware of the NFL status how they give such a pitiful amount I think it's less than 3 million a year to charities and most of it goes to themselves being the hall of fame
[26:32.000 --> 26:45.000]  so you see all these commercials for NFL cares I'm sure there are good guys who go home at the end of the season and coach a football team for free and that's great but the NFL in large cares about the NFL that's where the money goes to and you talk about the teams being tax exempt
[26:45.000 --> 26:56.000]  when you go to the Super Bowl this year if you buy a parking permit yeah the NFL doesn't have to pay taxes on that when you buy your ticket the NFL doesn't have to pay taxes on that you do the taxpayer have to pay for that
[26:56.000 --> 27:11.000]  and that's because the NFL and other professional sports are partnered just like they've been throughout history with other authoritarian regimes with the state and with propaganda that's why we see Obama on Monday Night Football and before the Super Bowl
[27:11.000 --> 27:23.000]  force fed to us instead of Hank Williams Jr. who's actually popular and that's why you're seeing the tickets not being sold that's why you're seeing viewership go down people are really getting sick of this
[27:23.000 --> 27:33.000]  you're exactly right Alex because it was last week I'm not sure how many they sold but last week they had about 18,000 still up for Grouch we'll see we were watching the TV just a few minutes ago before our broadcast
[27:33.000 --> 27:42.000]  they say about 30,000 people have arrived at the Super Bowl so we'll see if the other 50,000 actually show up or even so the other 50,000 tickets
[27:42.000 --> 27:53.000]  and by the way so you can report on this tonight for infowars.com with the videos you're going to be filing I paid for two tickets and they were the cheapest tickets how much were these filthy tickets
[27:53.000 --> 27:57.000]  the cheapest tickets we got were $1,700
[27:57.000 --> 28:01.000]  $1,700 and where are you in the nosebleed seats
[28:01.000 --> 28:09.000]  we're probably five or six rows from the tip top of the stadium when you go down to the lower levels I think those are going for about 25,000
[28:09.000 --> 28:15.000]  well I mean I want you just to observe while you're there and just document the mind control
[28:15.000 --> 28:20.000]  when you think about government in the last century Jakari government killed non-military combatants
[28:20.000 --> 28:27.000]  262 million people according to the University of Hawaii called democide that's the term of death by government non-military deaths
[28:27.000 --> 28:32.000]  imagine how many stadiums of 100,000 people 262 million is
[28:32.000 --> 28:40.000]  but if you tell people in that group do I better go bankrupt and can't run their own lives and don't know why they're getting scammed about democide
[28:40.000 --> 28:46.000]  they'll think you're weird for knowing about a political sociological term
[28:46.000 --> 28:50.000]  but I bet they know the size of Peyton Manning's jockstrap
[28:50.000 --> 28:55.000]  because the truth is this is a mail sub opera and they're all there to see their boyfriend
[28:55.000 --> 28:59.000]  we'll be right back with Jakari Jackson stay there Jakari I have a few more questions for you
[28:59.000 --> 29:05.000]  introducing pro wine all of your filtration in one system portable on the go
[29:05.000 --> 29:10.000]  no more do you have two or three filters to just reduce sodium fluoride
[29:10.000 --> 29:16.000]  you have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosalic acid
[29:16.000 --> 29:23.000]  advanced manufacturing technology combines silver impregnated white ceramic with new aqua medics advanced media
[29:23.000 --> 29:27.000]  a removal of fluoride and other heavy metals all in one filter element
[29:27.000 --> 29:33.000]  this is the only one that does it and out of the gates we have it discounted at 10% off with promo code water
[29:33.000 --> 29:42.000]  this is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine
[29:42.000 --> 29:50.000]  hydrofluorosalic acid the most common form of fluoride not covered by other fluoride filter brands and sodium hexafluorosilicate
[29:50.000 --> 29:59.000]  get your pro pure with the new pro one filters today at infowarstore.com or by calling 888-253-33139
[29:59.000 --> 30:07.000]  Alex Jones here with a message to fellow freedom lovers the prognosis for the entire planetary economic system runs from bad to worse
[30:07.000 --> 30:14.000]  the globalist model is to shut down societies and starve patriots out until they acquiesce to the global takeover
[30:14.000 --> 30:20.000]  that's why we've assembled the most vital and important preparedness items at infowarshop.com
[30:20.000 --> 30:24.000]  these are items that I did research on that I personally use
[30:24.000 --> 30:29.000]  you've got the life straw so you can turn fetted water into safe water anywhere you go
[30:29.000 --> 30:34.000]  the Ktor hand crank generator to charge up key equipment during power outages or out in the field
[30:34.000 --> 30:37.000]  strategic relocation third edition by Joel Scousen
[30:37.000 --> 30:45.000]  when disaster strikes by Matthew Stein they're a safe use by homeland security to protect yourself during any radiological event
[30:45.000 --> 30:52.000]  hand crank shortwave AMFM radios everything that we've researched and found to be the best is available at infowarshop.com
[30:52.000 --> 30:59.000]  and your purchase makes our info war possible we're getting prepared are you infowarshop.com
[30:59.000 --> 31:03.000]  Alex Jones here to tell you about how you can help spread liberty worldwide
[31:03.000 --> 31:08.000]  while also enjoying what I have found to be the best tasting 100% organic coffee on the planet
[31:08.000 --> 31:13.000]  for more than a decade my favorite coffee has come from the high mountains of southern Mexico
[31:13.000 --> 31:17.000]  where the Chiapas farmers grow their unique shade grown Arabica beans
[31:17.000 --> 31:22.000]  we have now managed to secure the sought after beans in a highly customized blend
[31:22.000 --> 31:29.000]  discover and try a bag of the patriot blend 100% organic coffee at infowarshop.com
[31:29.000 --> 31:34.000]  it gives you a long smooth pick me up for hours without the headaches and heartburn
[31:34.000 --> 31:38.000]  that so many other coffees give me personally hands down this is my favorite coffee
[31:38.000 --> 31:43.000]  and it's taken us years to secure connections directly to the Chiapas Mexican farmers
[31:43.000 --> 31:47.000]  dropped by the site today order a bag or two and I don't think you're going to be disappointed
[31:47.000 --> 31:52.000]  available in original or with our immune support infusion blend you will be supporting a free press
[31:52.000 --> 31:57.000]  all the while enjoying a truly great tasting cup of my favorite coffee
[31:57.000 --> 31:59.000]  available at infowarslife.com
[31:59.000 --> 32:04.000]  in the last 50 years iodine has been phased out of our staple foods
[32:04.000 --> 32:10.000]  and replaced with the halogen bromine a practice now banned in nations around the world
[32:10.000 --> 32:13.000]  guess what else is in the halogen family fluoride
[32:13.000 --> 32:18.000]  ladies and gentlemen Alex Jones here in 1924 the federal government did the right thing
[32:18.000 --> 32:24.000]  and encouraged salt producers to add iodine it's the good halogen on the periodic table
[32:24.000 --> 32:29.000]  and the results are on record reports documented a 15-point IQ increase
[32:29.000 --> 32:34.000]  in areas that had previously been deficient in iodine bottom line iodine is important
[32:34.000 --> 32:41.000]  unbound clean in a glycerin base nascent iodine was the answer for myself and my family
[32:41.000 --> 32:46.000]  you will find survival shield nascent iodine exclusively at infowarslife.com
[32:46.000 --> 32:51.000]  info wars life survival shield nascent iodine isn't just for emergencies
[32:51.000 --> 33:00.000]  I take it every day that's infowarslife.com or call toll-free 888-253-3139
[33:00.000 --> 33:10.000]  coast to coast direct from Austin you're listening to the Alex Jones Broadcasting Network
[33:10.000 --> 33:20.000]  we are on the march the empire is on the run Alex Jones and the GCN radio network
[33:20.000 --> 33:36.000]  for the TSA to grope me between the legs because it doesn't matter that they openly run Al Qaeda
[33:36.000 --> 33:45.000]  that's the whole point that's how they take away my rights because it's five o'clock
[33:45.000 --> 33:56.000]  they will make Obama the dictator the sands of time for the republic
[33:56.000 --> 34:04.000]  the sands of time for me are running low
[34:04.000 --> 34:09.000]  only a virtuous people can be free and there are a lot of virtuous Americans I love this country
[34:09.000 --> 34:16.000]  but man I tell you just the mindlessness over sports and the fact that people know nothing but that
[34:16.000 --> 34:22.000]  while the country just burns in front of a some guy last week ran in his house over a burning Xbox and almost died
[34:22.000 --> 34:27.000]  I wish he'd run up to the city council and speak out about the globalist takeover
[34:27.000 --> 34:30.000]  and agenda 21 and the destruction of private property rights
[34:30.000 --> 34:35.000]  I wish people would take our schools back from Common Core and teaching kids 2 plus 2 equals 5
[34:35.000 --> 34:44.000]  you get upset about your team losing I get upset about Team America turning into a corrupt cesspit
[34:44.000 --> 34:51.000]  I don't want to live in Guatemala or North Korea and all the energies you've got that are meant to be obsessed with your freedom
[34:51.000 --> 34:58.000]  and being in charge of your life and being fiercely independent and a rugged individual are squandered on sports
[34:58.000 --> 35:02.000]  and that's why every authoritarian regime has promoted them
[35:02.000 --> 35:07.000]  Chakar you got to run in there with Josh and jump on the train and face the big terror threat
[35:07.000 --> 35:13.000]  thank goodness they've got attack dogs and machine guns though they'll keep us safe while New Jersey takes the citizens guns
[35:13.000 --> 35:20.000]  but then you'll be inside to watch Super Bowl 48 and Chakar closing comments before you jump on the train and drive down there
[35:20.000 --> 35:23.000]  and maybe give us one more report before you go into the stadium
[35:23.000 --> 35:29.000]  yeah Alex like I said we have to jump on the train because we can't drive because the security threat
[35:29.000 --> 35:35.000]  not sure if they raise the terror threat level but plenty of DHS plenty of state troopers they're going to be at least
[35:35.000 --> 35:42.000]  3,000 agents of various agencies and police there on the scene along with snipers aiming guns at your heads
[35:42.000 --> 35:49.000]  a nice open air stadium so the Blackhawks or the F-16s can take out your entire section if there is a single terrorist in your area
[35:49.000 --> 35:56.000]  absolutely insane Chakar well you've been braving the global warming up there
[35:56.000 --> 36:01.000]  braving it down here with more ice set to form tonight in the middle of central Texas so it's terrible
[36:01.000 --> 36:07.000]  it's not dripping down my nose yeah it's braving this global warming all this excessive heat out here
[36:07.000 --> 36:11.000]  alright Chakar get on that train I don't want you to miss it great job
[36:11.000 --> 36:12.000]  alright thanks Alex
[36:12.000 --> 36:18.000]  there are a ton of video reports archived at infoworksnews.com, infoworks.com, prisonplanet.com
[36:18.000 --> 36:23.000]  there's a bunch on YouTube as well on one of our official channels that has 350 million views
[36:23.000 --> 36:26.000]  there's a bunch of other channels as well but it's all up on infoworks.com
[36:26.000 --> 36:32.000]  if you go to the front of infoworks.com we have sports illustrated Super Bowl 48
[36:32.000 --> 36:41.000]  terrorists don't even think about it with a gunboat with a guy driving around with an M-60 machine gun
[36:41.000 --> 36:44.000]  and again folks I love our military got a lot of family in the military
[36:44.000 --> 36:50.000]  they face real jihadi threats overseas when they fight them in Iraq or Afghanistan
[36:50.000 --> 36:55.000]  I've had family wounded over and over again I've lost more distant family
