[00:00:03.860 --> 00:00:05.200]  We're live!
[00:09:00.374 --> 00:09:02.698]  They'll probably steal the next election and stall him again.
[00:09:04.246 --> 00:09:07.950]  Biden inspects busy port of entry along US-Mexico border.
[00:09:07.950 --> 00:09:10.472]  That's what AP calls the collapsed border.
[00:09:10.472 --> 00:09:13.395]  A busy port of entry.
[00:09:13.395 --> 00:09:24.145]  And here is the actual White House schedule where you can see where he landed here at 2 o'clock and is scheduled to take off anytime now.
[00:09:24.645 --> 00:09:29.950]  So basically a touch and go visit there while saying there wasn't a border crisis.
[00:09:29.950 --> 00:09:32.772]  Now he blames it on the Republicans.
[00:09:32.772 --> 00:09:37.236]  Joe Biden arrives and he'll pass over first border visit of his presidency.
[00:09:37.236 --> 00:09:41.840]  Texas governor says Biden team failed to communicate on border visit.
[00:09:41.840 --> 00:09:45.563]  But here's what's really important.
[00:09:45.563 --> 00:09:48.446]  Biden came out when he was the vice president.
[00:09:51.294 --> 00:09:53.696]  This particular clip's from nine years ago.
[00:09:53.696 --> 00:10:00.141]  And then there's another clip from two and a half, three years ago when he was running for office saying basically the same thing.
[00:10:00.141 --> 00:10:13.291]  So here are these clips from the past, back to back, where he is announcing the globalist plan for replacement migration and to bring in giant third world populations, permanent underclasses, the globalists can control.
[00:10:13.291 --> 00:10:13.611]  Here it is.
[00:10:14.932 --> 00:10:18.499]  I would argue it's unlike any other large country in the world.
[00:10:18.499 --> 00:10:21.104]  So there's a second thing in that black box.
[00:10:21.104 --> 00:10:24.351]  An unrelenting stream of immigration.
[00:10:24.351 --> 00:10:26.114]  Non-stop.
[00:10:26.114 --> 00:10:26.755]  Non-stop.
[00:10:28.271 --> 00:10:39.475]  Folks like me, who are Caucasian of European descent, for the first time in 2017, we'll be in an absolute minority in the United States of America.
[00:10:39.475 --> 00:10:41.415]  Absolute minority.
[00:10:41.415 --> 00:10:49.598]  Fewer than 50% of the people in America, from then and on, will be white European stock.
[00:10:49.598 --> 00:10:51.198]  That's not a bad thing.
[00:10:51.198 --> 00:10:52.839]  That's a source of our strength.
[00:10:53.846 --> 00:10:58.809]  And so, we have been, uh, we haven't always gotten it right.
[00:10:58.809 --> 00:11:04.132]  I don't wanna- What I would do as president is several more things, because things have changed.
[00:11:04.132 --> 00:11:09.156]  I would in fact make sure that there is- we immediately surge to the border.
[00:11:09.156 --> 00:11:11.057]  All those people are seeking asylum.
[00:11:11.057 --> 00:11:12.117]  They deserve to be heard.
[00:11:12.117 --> 00:11:13.238]  That's who we are.
[00:11:13.238 --> 00:11:17.941]  We're a nation that says if you wanna flee, and you're fleeing oppression, you should come.
[00:11:17.941 --> 00:11:20.863]  And of course, all the fake news, fact-check sites.
[00:11:23.583 --> 00:11:26.925]  Well, he said those things, but he didn't mean those things.
[00:11:26.925 --> 00:11:32.629]  Even though he's completely dissolved, the southern border, the northern border's been partially dissolved, unless you're a U.S.
[00:11:32.629 --> 00:11:33.690]  citizen trying to get in.
[00:11:33.690 --> 00:11:36.271]  It's absolutely insane.
[00:11:36.271 --> 00:11:49.840]  So, a lot of folks don't know what the term Potemkin Village means, but that basically goes back to examples of when the Tsars would visit a little village in poor areas of Russia, they would basically put up a whole fake
[00:11:52.512 --> 00:11:56.857]  Happy Pastoral View for them, so they wouldn't know how bad the situation really was.
[00:11:56.857 --> 00:12:03.084]  A more modern example would be the Truman Show, where it's basically a staged event, and boy do we have some examples of that.
[00:12:04.468 --> 00:12:06.109]  Coming up here in just a moment.
[00:12:06.109 --> 00:12:08.469]  But that's exactly what they did in El Paso.
[00:12:08.469 --> 00:12:09.510]  We showed you the videos.
[00:12:09.510 --> 00:12:11.310]  We've been down there this year.
[00:12:11.310 --> 00:12:14.992]  I mean, thousands a day, up to 14,000 a day coming across.
[00:12:14.992 --> 00:12:18.493]  Tens of thousands just sleeping on the streets of El Paso every day.
[00:12:18.493 --> 00:12:21.474]  Being loaded on buses, trains, and planes.
[00:12:21.474 --> 00:12:22.975]  Being flown all over the U.S.
[00:12:22.975 --> 00:12:24.115]  by Democrats.
[00:12:24.115 --> 00:12:26.136]  And signed up for welfare and signed up to vote.
[00:12:27.622 --> 00:12:30.644]  Many of the blue cities, they've legalized illegal aliens voting.
[00:12:30.644 --> 00:12:32.445]  That's just a footnote.
[00:12:32.445 --> 00:12:39.250]  But here it is, El Paso cleans up migrant camps before Joe Biden's border visit.
[00:12:39.250 --> 00:12:41.291]  And under the term migrant, you see the U.N.
[00:12:41.291 --> 00:12:44.273]  has world regulations saying they have a right to come here.
[00:12:44.273 --> 00:12:47.115]  If they're called an alien under international law, they can't.
[00:12:48.260 --> 00:13:03.358]  So they tell you, oh, be politically correct, don't call them illegal aliens, call them migrants, and now you've allowed them all to opt into this and allow the human smuggling and allow the fentanyl and allow all the crime by being politically correct and using the terms you are told to use.
[00:13:04.281 --> 00:13:05.342]  Greg Abbott tweeted about it.
[00:13:05.342 --> 00:13:13.168]  The governor of Texas saying, El Paso rushes to remove illegal immigrants from migrant camps that are crowding downtown before Biden arrives.
[00:13:13.168 --> 00:13:13.749]  Predictable.
[00:13:13.749 --> 00:13:17.472]  Biden doesn't want America to see the chaos that he has caused the border.
[00:13:17.472 --> 00:13:20.294]  This is just a photo op and a game of pretend.
[00:13:20.294 --> 00:13:21.675]  Yes, that's a good way of saying it.
[00:13:21.675 --> 00:13:23.957]  And the Mexican government did the same thing.
[00:13:23.957 --> 00:13:32.844]  Mexican officials sent special forces, in quotes, ahead of Biden border visit, only posed for photos, saying they weren't aware of the crisis.
[00:13:34.286 --> 00:13:35.288]  What can Governor Abbott do?
[00:13:35.288 --> 00:13:41.182]  He put the State Guard down there and the National Guard down there, but they just pick up the illegals and then the feds get them and release them.
[00:13:43.462 --> 00:13:47.225]  The governor has to admit that under the Constitution he's close to powerless.
[00:13:47.225 --> 00:13:48.726]  It's a federal crisis.
[00:13:48.726 --> 00:13:51.508]  It is a federal jurisdiction to control the border.
[00:13:51.508 --> 00:14:01.016]  But the state has ways with the UN NGOs giving them debit cards and giving them money and loading them with unaccompanied children on cars.
[00:14:01.016 --> 00:14:02.037]  That's human trafficking.
[00:14:02.037 --> 00:14:03.097]  That's smuggling.
[00:14:03.097 --> 00:14:04.699]  That is a state prerogative as well.
[00:14:05.319 --> 00:14:12.240]  And to have outside multinationals in command of federal officers outside of Congress is also a state issue.
[00:14:12.240 --> 00:14:17.501]  To have unauthorized, under state and federal law, foreign operatives running operations.
[00:14:17.501 --> 00:14:20.182]  And Abbott is open to criminal investigation into that.
[00:14:20.182 --> 00:14:25.483]  But I want to see some indictments now, because this is clear cut.
[00:14:25.483 --> 00:14:29.664]  Meanwhile in Florida, DeSantis calls on the National Guard to help watch the influx
[00:14:30.762 --> 00:14:34.024]  To help with the influx of illegal migrants.
[00:14:34.024 --> 00:14:37.087]  But all he can do is ship them somewhere else in the U.S.
[00:14:37.087 --> 00:14:42.871]  He cannot ship them out of the country because he does not control the national borders of the nation.
[00:14:42.871 --> 00:14:47.074]  It is not DeSantis' or Abbott's jurisdiction.
[00:14:47.074 --> 00:14:51.878]  So when Abbott puts some troops down there with machine guns, they're just watching the people go back and forth.
[00:14:51.878 --> 00:14:52.438]  It's a joke.
[00:14:52.438 --> 00:14:56.841]  It's like putting a Band-Aid on a bullet wound.
[00:14:56.841 --> 00:14:58.362]  It's completely cosmetic.
[00:14:58.362 --> 00:14:58.943]  Ceremonial.
[00:15:00.253 --> 00:15:02.095]  Ridiculous.
[00:15:02.095 --> 00:15:08.100]  But at least DeSantis is talking about the fact that this is a federal crisis.
[00:15:08.100 --> 00:15:13.786]  Biden administration spent over $300 million this year in taxpayer money to fund illegal migrants dental and health care.
[00:15:13.786 --> 00:15:15.187]  Don't you wish you got all that free stuff?
[00:15:16.818 --> 00:15:17.619]  Shock video!
[00:15:17.619 --> 00:15:20.140]  Let's play this out of Dublin, Ireland.
[00:15:20.140 --> 00:15:25.224]  Busloads of military-age male migrants invade Ireland.
[00:15:25.224 --> 00:15:33.229]  They arrive every day in Dublin by the hundreds from the Middle East and they're just dumped out with their Gucci bags and $500 pants and $1,000 cell phones.
[00:15:37.153 --> 00:15:43.917]  It's happening absolutely all over the world, all directed by the United Nations, all replaced with migration.
[00:15:43.917 --> 00:15:54.862]  These people are then signed up with the deep state, with the socialists, with the communists, and are now a new permanent underclass that'll burn down every city they live in when they're given the order by the deep state to do it.
[00:15:54.862 --> 00:15:56.483]  They're installing our kill switch.
[00:15:56.483 --> 00:16:00.105]  We'll be right back.
[00:16:00.105 --> 00:16:03.126]  Good news and some bad news on multiple fronts.
[00:16:03.126 --> 00:16:06.048]  The good news is vitamin and mineral fusion and DNA Force Plus
[00:16:06.730 --> 00:16:09.331]  Are still 50% off.
[00:16:09.331 --> 00:16:12.032]  The bad news is they're very close to selling out.
[00:16:12.032 --> 00:16:17.374]  And by Monday of next week, I'm cutting this ad on January 5th, 2023.
[00:16:17.374 --> 00:16:19.055]  We have to go back to full price.
[00:16:19.055 --> 00:16:21.476]  Then about a week after that, they'll be sold out.
[00:16:21.476 --> 00:16:22.256]  So that's good news.
[00:16:22.256 --> 00:16:23.417]  You can still get the products.
[00:16:23.417 --> 00:16:25.818]  It's bad news because they're about to be sold out.
[00:16:26.576 --> 00:16:28.877]  Because they're also some of our best-selling products.
[00:16:28.877 --> 00:16:31.678]  When we don't have them, we can't fund the operation.
[00:16:31.678 --> 00:16:34.679]  So it is a real conundrum, but that's just where we're at.
[00:16:34.679 --> 00:16:37.480]  I want to thank all the listeners for your ongoing support.
[00:16:37.480 --> 00:16:47.203]  But if you want Vitamineral Fusion, it's so incredible for your immune system, your whole body, and DNA Force Plus that helps your telomeres last longer and cleans out your mitochondria and so much more, you can get them both exclusively.
[00:16:47.623 --> 00:16:50.726]  Top of the line supplements at InfoWarStore.com.
[00:16:50.726 --> 00:16:53.688]  Still 50% off until this coming Monday.
[00:16:53.688 --> 00:16:55.810]  They're going to be sold out for months and months.
[00:16:55.810 --> 00:16:57.111]  Thanks for all your support.
[00:16:57.111 --> 00:16:59.012]  Now please visit InfoWarStore.com.
[00:17:00.580 --> 00:17:07.782]  Ladies and gentlemen, InfoWars Live products have always been the highest quality, triple tested, and you've seen the rave reviews.
[00:17:07.782 --> 00:17:18.804]  But doing deep research, we made contact with the top company in the United States, and it turned out they were supplying almost all the raw materials to the companies that we were already using.
[00:17:18.804 --> 00:17:27.366]  So we've gone directly to the source, and that means we can give you lower prices on the very same high quality supplements, and in some cases, even better.
[00:17:27.366 --> 00:17:27.926]  Introducing
[00:17:28.786 --> 00:17:33.350]  InfoWarsMD at InfoWarsStore.com.
[00:17:33.350 --> 00:17:38.634]  InfoWarsMD exclusively at InfoWarsStore.com has 10 new products.
[00:17:38.634 --> 00:17:46.840]  Turmeric 95, Lipido RX, Better Mood, Nitric Boost, Much Room Max, Atropin, Aethos Vitality Collagen,
[00:17:47.220 --> 00:17:49.143]  I want you to remember two words.
[00:17:49.143 --> 00:17:49.744]  InfoWars Platinum.
[00:18:05.698 --> 00:18:15.786]  In the history of InfoWare supplements, and they're amazing, this is hands down the most powerful, game-changing products we've ever offered to the public.
[00:18:15.786 --> 00:18:23.552]  Now, all three of these are private labels of three national bestsellers put out by a pharmaceutical company that also makes high-end supplements.
[00:18:23.552 --> 00:18:25.454]  And the owner's a listener and a supporter.
[00:18:25.454 --> 00:18:27.175]  So they're giving them to us at 40% off
[00:18:28.516 --> 00:18:35.917]  What they're sold on stores, over 20% off what they're sold online under the InfoWars Platinum brand name.
[00:18:35.917 --> 00:18:37.017]  These are incredible.
[00:18:37.017 --> 00:18:43.459]  Pain MD, HGH Max Boost, and of course, 1776 Testosterone Boost.
[00:18:43.459 --> 00:18:51.440]  Read about them at InfoWarsStore.com, learn about them, and then try them out for yourself, and I know you will be a repeat customer, which is awesome.
[00:18:51.440 --> 00:18:56.921]  It'll empower your life, make your life more amazing, and it will keep us on the air, a 360 win.
[00:18:56.921 --> 00:18:57.761]  InfoWars Platinum.
[00:18:58.041 --> 00:18:59.864]  Now available at InfoWarsTore.com.
[00:19:13.562 --> 00:19:20.148]  Governor DeSantis or Dr. Robert Malone, they're all using the terms that InfoWars has popularized.
[00:19:20.148 --> 00:19:23.811]  Because we understand the enemy's operations and we know how to beat them.
[00:19:23.811 --> 00:19:25.413]  But we can't do it without funding.
[00:19:25.413 --> 00:19:31.078]  And we make it easy to fund with great products that empower you and your immune system and your family as well.
[00:19:31.078 --> 00:19:35.021]  You can also make straight donations at InfoWarsTore.com clicking on the big red banner.
[00:19:35.021 --> 00:19:36.422]  A one-time, a recurring.
[00:19:36.422 --> 00:19:38.264]  But I'm asking you to take action.
[00:19:38.264 --> 00:19:39.065]  We're non-violent.
[00:19:39.485 --> 00:19:47.407]  But every time you donate money, every time you buy products, every time you keep us on air, you are literally, non-violently, politically, punching the New World Order in the nose.
[00:19:47.407 --> 00:19:49.727]  Punching their lies in the nose.
[00:19:49.727 --> 00:19:51.548]  We are going to defeat the New World Order.
[00:19:51.548 --> 00:19:52.688]  We're going over the top.
[00:19:52.688 --> 00:19:54.208]  But right now is the critical juncture.
[00:19:54.208 --> 00:19:57.309]  So please go to infowarestore.com and donate now!
[00:19:57.309 --> 00:19:57.889]  Donate now!
[00:19:57.889 --> 00:19:58.309]  Donate now!
[00:19:58.309 --> 00:19:58.849]  Donate now!
[00:19:58.849 --> 00:19:59.229]  Donate now!
[00:19:59.229 --> 00:20:01.830]  Donate now!
[00:20:01.830 --> 00:20:07.711]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:20:15.563 --> 00:20:17.448]  Thank you.
[00:20:42.361 --> 00:20:42.782]  I think so.
[00:20:55.658 --> 00:21:03.205]  On May 4th, 1970, hundreds of students were protesting the Vietnam War at Kent State University.
[00:21:03.205 --> 00:21:08.049]  The National Guard tried to disperse the crowd, but were met with resistance.
[00:21:08.049 --> 00:21:12.153]  Things escalated, and four students were shot and killed.
[00:21:12.153 --> 00:21:19.099]  This was rightfully memorialized as an overreach of power, but things have since changed in America.
[00:21:20.320 --> 00:21:30.069]  On January 6th, 2021, during perhaps the biggest peaceful protest of American history, the FBI instigated violence.
[00:21:30.069 --> 00:21:39.779]  Things escalated and four people died, including Ashley Babbitt, an unarmed Air Force veteran who was executed for climbing through a window.
[00:21:40.339 --> 00:21:45.183]  There were no rock anthems composed to memorialize her death.
[00:21:45.183 --> 00:21:48.987]  Instead, her killer was celebrated on TV.
[00:21:48.987 --> 00:21:53.811]  The almighty, self-righteous liberal now celebrates tyranny.
[00:21:53.811 --> 00:22:05.402]  And after pretending that violent mobs burning down cities for an entire summer is peaceful, they pretend that the American patriots at the Capitol on January 6th are terrorists.
[00:22:05.942 --> 00:22:11.167]  And they pretend that the violent masked group Antifa does not exist.
[00:22:11.167 --> 00:22:21.177]  Antifa has been used regularly to silence, intimidate, and violently attack peaceful protesters, including women, children, and the elderly.
[00:22:21.798 --> 00:22:40.756]  And because the police have proven to be nothing but tyrants allowing all this to happen, a group of patriotic Americans known as the Proud Boys did the right thing and attempted to protect and defend their fellow man from a criminal government, including Army veteran Joe Biggs.
[00:22:40.976 --> 00:22:43.057]  People always ask why we come.
[00:22:43.057 --> 00:22:45.998]  My question is, why don't more people come here?
[00:22:45.998 --> 00:22:54.521]  There's a lot of bad shit that's been going on for the 100 plus days of violence and riots, assaulting police officers, killing people, executing people.
[00:22:57.134 --> 00:22:59.418]  We don't like seeing that.
[00:22:59.418 --> 00:23:01.521]  I want everyone to learn how to get along.
[00:23:01.521 --> 00:23:06.549]  And today, as much as I do not like Antifa, I don't want any of those guys to get hurt.
[00:23:06.549 --> 00:23:08.451]  I want everyone to be able to go home.
[00:23:08.451 --> 00:23:12.618]  I disagree with them, but we should be able to disagree and keep our hands to ourselves.
[00:23:13.118 --> 00:23:29.132]  Because the police have done nothing, while innocent lives have been taken by government proxy groups Antifa and Black Lives Matter, the Proud Boys stood up to exercise our God-given right under natural law, self-defense.
[00:23:29.853 --> 00:23:45.605]  And because the brainwashed masses have fallen into complete submission to the corrupt system, a new precedent is now being set that will forever change this country, strip us of our First Amendment, and further enslave us all.
[00:23:45.605 --> 00:23:53.552]  Joe Biggs, along with four other members of the Proud Boys, are now being tried for sedition and face up to 20 years in prison.
[00:23:54.292 --> 00:24:01.938]  Court reporter Alicia Powell was there to witness the lead prosecutor accusing the defense of being racist.
[00:24:01.938 --> 00:24:08.643]  And nearly every potential jury member has rallied for Black Lives Matter and supports Antifa.
[00:24:08.643 --> 00:24:13.027]  A former CIA operative has also been qualified for the jury.
[00:24:13.667 --> 00:24:19.149]  These political prisoners have been rotting in an American gulag for a year.
[00:24:19.149 --> 00:24:21.911]  Some are being starved and drugged.
[00:24:21.911 --> 00:24:26.633]  And our so-called leadership does absolutely nothing.
[00:24:26.633 --> 00:24:29.054]  The trial is set for next week.
[00:24:29.054 --> 00:24:33.596]  The current state of justice in America is a complete abomination.
[00:24:33.596 --> 00:24:37.337]  A system comprised of criminals and whores.
[00:24:37.337 --> 00:24:40.819]  May God bless America, because we need a miracle.
[00:24:41.641 --> 00:24:49.485]  Reporting for InfoWars, this is Greg Reese.
[00:24:49.485 --> 00:24:54.328]  That's just one of the latest reports that just went live today at Band.Video.
[00:24:54.328 --> 00:24:55.349]  So incredibly important.
[00:24:55.349 --> 00:24:59.811]  I hope you'll go to Band.Video and share it because you are the power of resistance out there.
[00:24:59.811 --> 00:25:03.493]  You are everything that stands between us and the New World Order.
[00:25:03.493 --> 00:25:04.654]  All right.
[00:25:04.654 --> 00:25:07.776]  In the last segment, I got into Biden and his touch-and-go visit.
[00:25:08.700 --> 00:25:18.263]  For just a few hours in Air Force One before he flies on to Mexico, try to get them to sign on to the carbon taxes and the whole UN agenda 2030 plan.
[00:25:18.263 --> 00:25:24.085]  But let me tell you what else I'm going to be covering tonight right now, because this is all beyond critical.
[00:25:24.085 --> 00:25:31.868]  Every time I come on air, I say this is the biggest COVID news yet, because it all just comes out every day, even bigger revelations.
[00:25:31.868 --> 00:25:33.849]  Well, while I was out of town for five days,
[00:25:36.508 --> 00:25:48.618]  Beyond anything we've ever seen came out on so many fronts from governments and insurance companies and national statistics and coroners and anecdotal examples of record heart attacks.
[00:25:50.362 --> 00:26:05.034]  And that different think tanks and corporations and governments were also running, not just bots to surveil and put out propaganda, but with fake doctors on Facebook and Twitter and Instagram and YouTube.
[00:26:05.034 --> 00:26:11.620]  Fake doctors saying, oh the shots are safe, oh nobody's gotten sick, everything's fine.
[00:26:11.620 --> 00:26:16.184]  So we have all of that in that stack coming up that's so important next segment.
[00:26:17.290 --> 00:26:23.837]  Then, obviously, people want my take on the situation last week with Kevin McCarthy as the Speaker of the House and what happened there.
[00:26:23.837 --> 00:26:31.985]  Am I mad at MTG or now am I mad at Gates for going ahead and voting for McCarthy?
[00:26:31.985 --> 00:26:36.790]  I'm going to give you my take on that and really lay it all out in the last segment.
[00:26:38.283 --> 00:26:38.483]  I don't
[00:27:00.184 --> 00:27:01.005]  I don't
[00:27:21.604 --> 00:27:22.264]  We're good to go.
[00:27:51.295 --> 00:27:54.417]  That we're going to be covering as well.
[00:27:54.417 --> 00:27:58.259]  And huge governmental funding of the LGBTQ...
