[00:00:26.212 --> 00:00:27.513]  It's Sunday, August 25th.
[00:14:15.931 --> 00:14:16.671]  You just do it on air.
[00:14:16.671 --> 00:14:17.591]  No, no, no.
[00:14:17.591 --> 00:14:18.732]  I do this on air because
[00:14:20.283 --> 00:14:23.084]  I take the TurboForce when I need a hit of energy.
[00:14:23.084 --> 00:14:26.065]  So this is no joke.
[00:14:26.065 --> 00:14:36.129]  And anybody who uses it knows how powerful this formula is for a boost of energy that lasts hours.
[00:14:36.129 --> 00:14:39.911]  So I gotta take some TurboForce because I'm a little rusty.
[00:14:39.911 --> 00:14:43.392]  I need to get a little extra focus and a little extra energy here.
[00:14:43.392 --> 00:14:45.813]  So I'm gonna take some TurboForce from InfoWarsTore.com.
[00:14:45.813 --> 00:14:47.874]  And you know, I realize this.
[00:14:49.520 --> 00:14:50.862]  Today.
[00:14:50.862 --> 00:14:57.271]  Because we pretty much don't even play commercials anymore on our breaks at Infowars.com slash show.
[00:14:57.271 --> 00:15:01.016]  So it's like, instead of like saying, after these commercials, no, it's after these news reports.
[00:15:01.016 --> 00:15:03.520]  We're playing like bombshell news reports and during breaks.
[00:15:03.520 --> 00:15:05.262]  So this is the only time we really plug here.
[00:15:06.564 --> 00:15:09.286]  And we say, please support us at Infowarsstore.com.
[00:15:09.286 --> 00:15:10.547]  But you know, I realized something.
[00:15:10.547 --> 00:15:15.230]  Support yourself by going to Infowarsstore.com and getting some of the great supplements.
[00:15:15.230 --> 00:15:21.194]  Support your own DNA by going to Infowarsstore.com and getting the DNA Force Plus.
[00:15:21.194 --> 00:15:22.015]  Support your own...
[00:15:22.595 --> 00:15:32.682]  Energy and stamina by getting the TurboForce from Infowarsstore.com and not the sugary, loaded up with high fructose corn syrup that tastes like gasoline energy drinks.
[00:15:32.682 --> 00:15:33.743]  I can't stand those.
[00:15:33.743 --> 00:15:35.284]  I like the taste of TurboForce.
[00:15:35.284 --> 00:15:42.408]  In fact, it's so good, you drink one packet of TurboForce, you're like, want another and another, but you can't because then you're gonna be jumping off the walls.
[00:15:42.408 --> 00:15:43.969]  You already got enough energy from the one packet.
[00:15:43.969 --> 00:15:47.312]  So, I'm taking my TurboForce from Infowarsstore.com right now.
[00:15:48.032 --> 00:15:50.337]  During this break, go to Infowarsstore.com.
[00:15:50.337 --> 00:15:54.625]  Support yourself by getting the great supplements at Infowarsstore.com.
[00:15:58.735 --> 00:15:59.115]  Oh, thank you.
[00:16:29.035 --> 00:16:31.235]  Well, sir, let me break this down for you.
[00:16:31.235 --> 00:16:32.736]  I want high-quality stuff in there.
[00:16:32.736 --> 00:16:33.776]  I want a good price.
[00:16:33.776 --> 00:16:37.877]  But I've kind of habituated everybody to where everybody buys when it's 50% off.
[00:16:37.877 --> 00:16:40.137]  I'm making $2 on the toothpaste 50% off.
[00:16:40.137 --> 00:16:43.738]  And so it's the same thing with like the fish oil, or the turmeric, or the bone broth.
[00:16:43.738 --> 00:16:44.678]  Thank you so much for the plugs.
[00:16:44.678 --> 00:16:48.898]  But listen, when people get the Patriot points, a lot of times it makes things a loss later.
[00:16:48.898 --> 00:16:56.580]  Because if you're already getting 10% off because you're on auto ship, and then we're doing 50% off, and then you do something like that, where you have Patriot points, we lose money.
[00:16:56.580 --> 00:16:57.220]  But that's okay.
[00:16:57.220 --> 00:16:57.840]  Thanks for the support.
[00:17:01.351 --> 00:17:04.792]  It's just heavy, heavy, heavy.
[00:17:04.792 --> 00:17:07.973]  Make no mistake, it's... We're not in Kansas anymore.
[00:17:07.973 --> 00:17:09.853]  We're not in Kansas anymore.
[00:17:09.853 --> 00:17:17.555]  If you have a corrupt media, you don't have a democracy.
[00:17:17.555 --> 00:17:20.716]  I don't think we've seen division like this in America since Vietnam.
[00:17:20.716 --> 00:17:21.796]  It's a form of fascism.
[00:17:22.851 --> 00:17:26.432]  The High Court will examine free speech rights and social media.
[00:17:26.432 --> 00:17:37.754]  Multiple online platforms have now taken down content associated with Alex Jones and InfoWars.
[00:17:37.754 --> 00:17:49.376]  First they come for Alex Jones, everyone else like Domino's would fall.
[00:17:49.376 --> 00:17:50.596]  We're not in Kansas anymore.
[00:17:53.323 --> 00:17:54.667]  You can't watch this!
[00:17:54.667 --> 00:17:57.434]  The movie available now at InfoWarsStore.com
[00:17:59.326 --> 00:18:00.647]  Let's talk to Marcus in New York.
[00:18:00.647 --> 00:18:01.427]  Marcus, you're on the air.
[00:18:01.427 --> 00:18:02.008]  Thanks for holding.
[00:18:02.008 --> 00:18:02.528]  Hey, Alex.
[00:18:02.528 --> 00:18:05.350]  Yeah, I just want to say your show is a breath of fresh air.
[00:18:05.350 --> 00:18:11.454]  I talk to a lot of people here out in New York City, and one thing I can tell you is that almost nobody agrees with these wars.
[00:18:11.454 --> 00:18:20.200]  I think that the neocons are trying desperately to get Trump to go to a war because they know that that's the only way that they could defeat him in the eyes of the public, the approaching 2020.
[00:18:20.200 --> 00:18:21.240]  That's it.
[00:18:21.240 --> 00:18:24.082]  I mean, if Trump buys into this, it'll be the end of his presidency.
[00:18:24.082 --> 00:18:26.924]  It's the only way I think he can be defeated other than assassinating him.
[00:18:26.924 --> 00:18:28.205]  It's a time to be praying, my friend.
[00:18:28.385 --> 00:18:29.126]  I agree entirely.
[00:18:29.126 --> 00:18:34.569]  And the last thing I just want to say, Alex, is I know they're trying to shut you down, but the reinforcements have arrived, man.
[00:18:34.569 --> 00:18:37.350]  I would love to see you on air until you're 80 years old.
[00:18:37.350 --> 00:18:39.432]  I would love to see what you're talking about when you're 80.
[00:18:39.432 --> 00:18:48.677]  But if they do shut you down, know you've gone into this war, you've won a lot of battles, and there are a lot of people like myself and many others who are going to continue.
[00:18:48.677 --> 00:18:50.578]  We're going to keep fighting in the info war.
[00:18:50.578 --> 00:18:57.082]  And even if something does happen to you or your show, know for a fact that you've gotten a lot of people fired up for liberty.
[00:18:57.082 --> 00:18:58.003]  Thank you, sir, for calling.
[00:18:59.246 --> 00:19:12.439]  Thomas Jefferson predicted over 240 years ago that when our republic was in trouble in the future, it'd be the farmers that were close to the ground, close to reality, who actually worked for a living, that would end up saving the nation.
[00:19:12.439 --> 00:19:15.362]  And today, the communist Chinese have banned all U.S.
[00:19:15.362 --> 00:19:17.104]  farming goods a week ago.
[00:19:17.104 --> 00:19:20.767]  And we've seen massive increases in polls, support for the president.
[00:19:21.388 --> 00:19:25.953]  And what he's doing in this trade war wants China to put pressure on our farmers.
[00:19:25.953 --> 00:19:26.994]  That's beautiful.
[00:19:26.994 --> 00:19:28.895]  Americans aren't going to be bullied.
[00:19:28.895 --> 00:19:30.497]  And we aren't going to back down.
[00:19:30.497 --> 00:19:38.104]  So to the Joaquin Cruises and the Hillary Clintons of the world that want to intimidate people and tell us to back down, we're never going to give up.
[00:19:38.104 --> 00:19:40.426]  And all you've done is awaken the human spirit.
[00:19:40.426 --> 00:19:44.590]  And the human spirit lives at Infowars.com and Newswars.com.
[00:19:44.590 --> 00:19:45.531]  And I'm asking listeners,
[00:19:46.312 --> 00:19:50.414]  Whatever you do, spread those links because we are the light in the dark of the night.
[00:19:50.414 --> 00:19:51.514]  We are the resistance.
[00:19:51.514 --> 00:20:01.818]  We are 1776 worldwide.
[00:20:01.818 --> 00:20:04.439]  You're listening to the Alex Jones Show.
[00:20:14.133 --> 00:20:16.935]  The answer to 1984 is 1776.
[00:20:16.935 --> 00:20:22.859]  You're listening to the Alex Jones Show.
[00:20:22.859 --> 00:20:26.962]  And now, your host, Owen Troyer.
[00:20:26.962 --> 00:20:35.828]  Welcome back to the Alex Jones Show.
[00:20:38.789 --> 00:20:46.192]  I'm just peeling through all of the news right now, but it's really the same story.
[00:20:46.192 --> 00:20:52.976]  And that is, the world is changing.
[00:20:52.976 --> 00:20:57.398]  The New World Order has failed.
[00:20:57.398 --> 00:21:02.120]  So, really, it just comes down to where are the ships going to fall.
[00:21:03.504 --> 00:21:06.926]  At the end of all of this.
[00:21:06.926 --> 00:21:11.550]  President Trump has been meeting with world leaders today.
[00:21:11.550 --> 00:21:18.735]  He agreed to a trade deal with Prime Minister Abe of Japan.
[00:21:18.735 --> 00:21:25.299]  And I believe he was also talking to Emmanuel Macron about some trade deals as well.
[00:21:25.299 --> 00:21:27.261]  He's been hammering Fox News.
[00:21:27.261 --> 00:21:31.463]  Says, Donna Brazile gives Crooked Hillary the questions and now she's on Fox News.
[00:21:32.779 --> 00:21:41.082]  Hey, President Trump, let's not forget that Fox News was pretty much anti-Trump until the RNC.
[00:21:41.082 --> 00:21:45.343]  Fox News did not get you elected, President Trump.
[00:21:45.343 --> 00:21:49.604]  No, in fact, Fox News tried to keep you from being elected.
[00:21:49.604 --> 00:21:52.345]  I think maybe the President is remembering that.
[00:21:54.093 --> 00:21:55.373]  President also tweeted this out.
[00:21:55.373 --> 00:22:07.876]  The question I was asked most today by fellow world leaders who think the USA is doing so well and is stronger than ever before happens to be, Mr. President, why does the American media hate your country so much?
[00:22:07.876 --> 00:22:13.597]  Why are they rooting for it to fail?
[00:22:13.597 --> 00:22:18.278]  You know, it really is the fake news media, I think,
[00:22:21.215 --> 00:22:28.859]  It really is the fake news media, I think, that has most people just stunned and bewildered at what the hell is really going on.
[00:22:28.859 --> 00:22:35.182]  Because, unless you understand the backdrop, the fake news media doesn't really make any sense.
[00:22:35.182 --> 00:22:38.484]  You're saying, yeah, why are these people lying about you all day long?
[00:22:38.484 --> 00:22:40.985]  Why do these people want to see a civil war in this country?
[00:22:40.985 --> 00:22:42.205]  Why do they stage things?
[00:22:42.205 --> 00:22:43.426]  Why do they lie about things?
[00:22:43.426 --> 00:22:45.167]  Why do they attack people?
[00:22:49.489 --> 00:22:50.389]  Why do they do this?
[00:22:50.389 --> 00:22:52.670]  April Ryan is now going to get sued?
[00:22:52.670 --> 00:22:57.612]  Because she basically had a bodyguard take someone out?
[00:22:57.612 --> 00:23:06.575]  Physically?
[00:23:06.575 --> 00:23:08.275]  Well, yeah.
[00:23:08.275 --> 00:23:15.878]  The violence against Trump supporters is... There's going to be an exclusive story tomorrow, but this is what the media's done.
[00:23:17.162 --> 00:23:18.443]  You say, well, why?
[00:23:18.443 --> 00:23:19.323]  Who are these people?
[00:23:19.323 --> 00:23:22.324]  Why are they doing this?
[00:23:22.324 --> 00:23:26.866]  Yeah, there's something else going on and people are finally starting to see it.
[00:23:26.866 --> 00:23:36.410]  Like Jeffrey Epstein getting offed right in front of everybody's eyes and then we're just told, oh, it was suicide.
[00:23:36.410 --> 00:23:39.051]  Suicide, huh?
[00:23:39.051 --> 00:23:40.592]  Suicide.
[00:23:40.592 --> 00:23:43.053]  Nobody's buying it.
[00:23:43.053 --> 00:23:44.494]  Nobody's buying.
[00:23:44.494 --> 00:23:44.714]  You know,
[00:23:45.999 --> 00:23:50.484]  They do Women for Trump events across this country.
[00:23:50.484 --> 00:23:54.388]  They have Women for Trump events.
[00:23:54.388 --> 00:23:57.531]  All these different chapters, all these different cities.
[00:23:57.531 --> 00:23:59.813]  And they have speaking events.
[00:23:59.813 --> 00:24:02.095]  And they get more people.
[00:24:02.095 --> 00:24:03.116]  Trump doesn't even go.
[00:24:03.116 --> 00:24:06.520]  I mean, maybe he's been to one or two, but this isn't even... The Trumps aren't there.
[00:24:08.206 --> 00:24:10.808]  No one from the Trump administration is there.
[00:24:10.808 --> 00:24:14.870]  It's literally just Women for Trump independently organizing.
[00:24:14.870 --> 00:24:21.135]  They get more people to show up at a Women for Trump event than you have at a Biden rally.
[00:24:21.135 --> 00:24:23.296]  And he's apparently leading the polls.
[00:24:23.296 --> 00:24:24.937]  Nobody's buying it.
[00:24:24.937 --> 00:24:29.320]  Elizabeth Warren can't fill a high school gymnasium.
[00:24:29.320 --> 00:24:31.121]  Women for Trump can!
[00:24:31.121 --> 00:24:35.204]  And that's without any politicians being there for a speaking event.
[00:24:35.204 --> 00:24:36.365]  Kamala Harris?
[00:24:36.365 --> 00:24:37.706]  These people are total failures!
[00:24:41.357 --> 00:24:44.678]  Even Fox News poll says.
[00:24:44.678 --> 00:24:49.218]  Four Democrats beating Trump in New Hampshire.
[00:24:49.218 --> 00:24:53.579]  Where Joe Biden, what was he, in New Hampshire and thinks he's in Vermont?
[00:24:53.579 --> 00:24:55.380]  And this is the guy that's supposed to be running?
[00:24:55.380 --> 00:24:58.520]  Oh, oh, but see, remember what Alex Jones told you?
[00:24:58.520 --> 00:25:00.981]  He said something is wrong with Joe Biden.
[00:25:00.981 --> 00:25:03.301]  This was months before all of it came out.
[00:25:03.301 --> 00:25:04.541]  Now it's mainstream news.
[00:25:04.541 --> 00:25:06.642]  He doesn't know what city he's in.
[00:25:06.642 --> 00:25:08.662]  He can't even talk during a debate.
[00:25:10.336 --> 00:25:11.097]  He's out of control.
[00:25:11.097 --> 00:25:14.579]  Remember how you said, does Trump want to win?
[00:25:14.579 --> 00:25:15.780]  Does Biden want to win?
[00:25:15.780 --> 00:25:18.523]  I don't think Trump really wants to win.
[00:25:18.523 --> 00:25:21.665]  He's literally like losing billions of dollars.
[00:25:21.665 --> 00:25:22.806]  Yeah, Trump doesn't want to win.
[00:25:22.806 --> 00:25:25.128]  He's just like sacrificing it all, this guy.
[00:25:25.128 --> 00:25:25.688]  Ha!
[00:25:25.688 --> 00:25:26.749]  What a strategy!
[00:25:26.749 --> 00:25:28.250]  Let's see how it works out for him, Cotton!
[00:25:29.141 --> 00:25:37.986]  And then here's Biden, can't even finish a debate question, can't even know what city he's in, fumbling and bumbling and stammering and stuttering, he doesn't know what the heck's going on.
[00:25:37.986 --> 00:25:43.890]  Can't even keep his hands off the children, even after it goes viral, all these videos of him groping kids!
[00:25:43.890 --> 00:25:45.090]  Does Biden want to win?
[00:25:45.090 --> 00:25:49.193]  Uh-oh, but remember...
[00:25:51.101 --> 00:26:03.905]  Remember that old dog that they just won't... You know, or maybe it's like the old dog that you took out back to the woodshed and, you know, it's like, alright, you know, that's it.
[00:26:03.905 --> 00:26:06.685]  It's a tough life, and then the dog comes back!
[00:26:06.685 --> 00:26:08.406]  Except the dog's name is Hillary Clinton!
[00:26:10.342 --> 00:26:12.422]  And she's fundraising.
[00:26:12.422 --> 00:26:15.523]  And none of these Democrats are doing well in the polls.
[00:26:15.523 --> 00:26:16.303]  They know it's fake.
