[00:00.000 --> 00:08.680]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[03:48.880 --> 03:51.880]  I thought it was interesting and was sad that the show ended when I did an extra hour.
[03:51.880 --> 03:53.880]  We had four hours on Friday.
[03:53.880 --> 04:10.880]  What do you think some of the most important developments were not just stories, but developments in 2010 and what are your predictions for 2012, what 2011 and what are your resolutions for 2011.
[04:10.880 --> 04:12.880]  2010 is gone.
[04:12.880 --> 04:13.880]  It's now 2011.
[04:13.880 --> 04:17.880]  Here comes 2012 down the road.
[04:17.880 --> 04:28.880]  Later in the broadcast, I'm going to write a note so don't let me forget guys, I will also give you my take on what 2012 is going to bring and do I put any stock in the whole Mayan calendar and the rest of it.
[04:28.880 --> 04:31.880]  That is all coming up today.
[04:31.880 --> 04:41.880]  We also again have some of the announcements of the new Congress set to be going in in just a few weeks.
[04:41.880 --> 04:48.880]  So that is all coming up. Glad you joined us for the first live transmission of 2011.
[04:48.880 --> 04:50.880]  Not 2010, not 2012.
[04:50.880 --> 04:52.880]  I've got to get that straight.
[04:52.880 --> 05:15.880]  In 2011, stay with us. We'll be right back.
[05:22.880 --> 05:47.880]  We'll be right back.
[05:47.880 --> 05:59.880]  That's H-O-M-E-G-A-I-N-150.com.
[05:59.880 --> 06:10.880]  The Genesis Communications Radio Network proudly presents The Alex Jones Show because there's a war on for your mind.
[06:10.880 --> 06:17.880]  This is it, our inaugural maiden voyage in 2011.
[06:17.880 --> 06:21.880]  It is the second day of January, 2011.
[06:21.880 --> 06:23.880]  That's going to take some getting used to.
[06:23.880 --> 06:31.880]  And we're going to be live here for the next two hours and we're going to open the phones up with what you think was the most important developments in 2010.
[06:31.880 --> 06:43.880]  What your predictions are for 2011, what your personal societal or political or even personal resolutions are in this new year.
[06:43.880 --> 06:49.880]  And folks can say, well, it's just a date on a calendar, an arbitrary Gregorian calendar.
[06:49.880 --> 06:58.880]  2011 years since the death of Christ were the common era, as the historians now call it.
[06:58.880 --> 07:02.880]  But these are the signposts. These are the markers in our lives.
[07:02.880 --> 07:18.880]  And I have this vivid memory of being four years old sitting there in Dallas, Texas on San Fernando Way on that little quiet street, sitting there on the counter while my mother was mixing up a cake.
[07:18.880 --> 07:28.880]  And her being so young and I was looking up at her and waiting for her to give me some of the cake batter when she was done.
[07:28.880 --> 07:33.880]  As she was sitting there blending and mixing and her looking at me smiling with red lipstick on.
[07:33.880 --> 07:43.880]  I just have this image in my mind and saying, what's it going to be like in the year 2000, 2001, the new millennium, Alex?
[07:43.880 --> 07:48.880]  You're going to be big. You're going to be 26 years old.
[07:48.880 --> 07:58.880]  And now the year 2000, the year 2001, the real star of the new millennia is old news. Why? It's the past.
[07:58.880 --> 08:03.880]  And I know we've all had those similar experiences, but life is so short.
[08:03.880 --> 08:12.880]  And we're only here once and life is a test and it's about leaving the world a better place than when we first got here.
[08:12.880 --> 08:19.880]  And it's about caring about our species and our society and standing up for justice and the family and private property.
[08:19.880 --> 08:29.880]  Those things that are the true engines of a happy free society, the true engines of everything that is good.
[08:29.880 --> 08:37.880]  And the exciting news, as I said Friday and I'll say it again here live on our first broadcast of 2011.
[08:37.880 --> 08:45.880]  I've been fighting the globalist for now 16 years and I can tell you with pure confidence and Ron Paul agrees.
[08:45.880 --> 08:48.880]  Lou Rockwell agrees. Judge Andrew Napolitano agrees.
[08:48.880 --> 08:55.880]  Many other political analysts who have true gravitas and, you know, a handle on the societal developments.
[08:55.880 --> 09:02.880]  We all agree 2010 was the big year of awakening, political awakening.
[09:02.880 --> 09:10.880]  Hardly anybody laughs at you now when you talk about corruption and world government and the fact that this country is going in the wrong direction.
[09:10.880 --> 09:19.880]  And now because the majority of people will at least admit there's a problem, we can set about trying to fix that problem.
[09:19.880 --> 09:29.880]  We can set about now trying to reverse the global social engineering, the corporate fascism that uses socialism at the grassroots
[09:29.880 --> 09:39.880]  to make us domesticated and dependent on the mega corporations that are waging war against the true free market through the Republican and Democratic parties,
[09:39.880 --> 09:45.880]  through labor and the Tories in England and through all the other major political parties of the planet.
[09:45.880 --> 09:54.880]  That's why we see total continuity of agenda, the same land grabbing programs, the same environmental programs, the same police state programs.
[09:54.880 --> 10:02.880]  It's a continuity of agenda worldwide and the population of this planet is waking up big time to that.
[10:02.880 --> 10:12.880]  So 2010 was the year of big time awakening, but at the same time it was also a lot of that awakening happened
[10:12.880 --> 10:19.880]  because the globalists came right out in the open and announced world government, announced that they were planning to devalue the dollar,
[10:19.880 --> 10:25.880]  announced that the police state was here to stay and announced so many truly horrible things that it shook.
[10:25.880 --> 10:40.880]  A lot of people that were in kind of mind numb zombie days out of that mesmerized daydreaming morass that so many, that so many had been in.
[10:40.880 --> 10:45.880]  Let me just do this. Let me just give you the toll free number to join us on air today.
[10:45.880 --> 10:53.880]  888-201-2244, 888-201-2244, and we'll get you up and on the air.
[10:53.880 --> 11:00.880]  First time callers, long time callers, doesn't matter, but specifically I hope that you would, that's a wide field of topics there.
[11:00.880 --> 11:09.880]  We don't screen your calls, but I mean I can tell you I will get a bit irritated if you call up and ask me about Easter bunnies or something.
[11:09.880 --> 11:17.880]  I mean I really want to talk about all the serious things that happened last year and take stock of that and where we see this society going in the new year,
[11:17.880 --> 11:26.880]  namely the Republicans. Are they going to reverse that government takeover of healthcare with the government now announcing even the New York Times that,
[11:26.880 --> 11:32.880]  hey, death panels are real and they're good? People always say, well why are you covering mainstream media if they lie?
[11:32.880 --> 11:40.880]  They only lie part of the time. Most of the time they tell you that breaking up families is good and having abortions is great.
[11:40.880 --> 11:47.880]  They have a new show on MTV about how fun and stylish it is. Why? It's like getting a new hairstyle. Everybody's got to get one.
[11:47.880 --> 11:52.880]  How great warrantless checkpoints are with police taking your blood.
[11:52.880 --> 12:05.880]  I mean nine times out of ten the media tells the truth. They just put a spin on it of how great tyranny is, how great it is to have open borders with the lawlessness in Mexico collapsing into the U.S.
[12:05.880 --> 12:12.880]  How great it is to have sodium fluoride in your water when all the big studies admit it massively increases cancer.
[12:12.880 --> 12:21.880]  That's my perspective on it. If people think NAFTA and GATT have been great, if people think globalism has been wonderful, then more power to you.
[12:21.880 --> 12:34.880]  But again, the number 888-201-2244, if you missed it, and we will open the phone system up and take your phone calls coming up at the bottom of the hour.
[12:34.880 --> 12:43.880]  Okay, let me just read through some of the headlines here too that we'll be going into more detail as the hours elapse here.
[12:43.880 --> 12:59.880]  Big sis, photocopies credit cards. It's on video, Homeland Security, Renacops, the TSA are now copying your credit cards, downloading the contents of your laptop, demanding the code key to your cell phone,
[12:59.880 --> 13:06.880]  and they're slurping it all down onto their computers. No judge, no jury, no laws to allow them to do this.
[13:06.880 --> 13:15.880]  It's just all naked abuse of power in these little reservations they've carved out for themselves to engage in lawlessness to set the precedent.
[13:15.880 --> 13:22.880]  That's a Paul Joseph Watson article out Sunday, January 2nd. And we have links to the mainstream articles admitting they just download your laptops with no warrant.
[13:22.880 --> 13:31.880]  They just photocopy your credit cards. We have videos of flyers pulling out their own camera and videotaping. Why are you copying my credit cards?
[13:31.880 --> 13:37.880]  And they just say, we'll do what we want. That's the way it is. We're going to be breaking that down.
[13:37.880 --> 13:53.880]  And something big that ties into this that my mother witnessed with her good friend of many years, Catherine, tried to mail back a holiday calendar from Germany,
[13:53.880 --> 14:03.880]  one of the advent calendars that has little windows for kids with the chocolate candy inside and Homeland Security sent her a letter and said, no, you will not be getting that.
[14:03.880 --> 14:13.880]  We've confiscated it, and they went on to describe because some of the hundreds of calendars put out by this company have little toys, little wooden toys in the windows,
[14:13.880 --> 14:20.880]  and those might make a child choke. So again, it's all in the name of protecting the children.
[14:20.880 --> 14:27.880]  It has nothing to do with that. It's about seizing control of the infrastructure and architecture of this society.
[14:27.880 --> 14:34.880]  I thought TSA and Homeland Security was fighting al-Qaeda. Oh, now we have the AP headline.
[14:34.880 --> 14:43.880]  Fox News is well reported on it. $15 million fines for garage sales. Don't believe me. Just search that term. We'll get mainstream news.
[14:43.880 --> 14:51.880]  And they say, oh, there's tens of thousands of recalled toys. And if they catch you in your garage sale or your gun show or your flea market,
[14:51.880 --> 15:00.880]  selling one $15 million fine jail time when no one even knows what toys have been recalled. And where is the federal jurisdiction?
[15:00.880 --> 15:08.880]  But then meanwhile, all these Chinese toys with lead and mercury in them, those are fine shots for kids with mercury and all these other chemicals.
[15:08.880 --> 15:15.880]  That's fine. The drug insert admits it's causing tenfold increase in seizures in children, just the flu shots alone.
[15:15.880 --> 15:25.880]  But that doesn't matter. No, no, no. The feds have to take control of all commerce, read all your mail, tear through everything you're doing
[15:25.880 --> 15:30.880]  because they want to take care of you. They want to keep you safe.
[15:30.880 --> 15:38.880]  When we come back, this is the year where California completely outlaws the incandescent light bulbs.
[15:38.880 --> 15:45.880]  That pleasing light that mirrors the light of a fire or a candle. That great Thomas Edison invention.
[15:45.880 --> 15:50.880]  You must use mercury filled, deadly headache causing toxic light bulbs.
[15:50.880 --> 15:59.880]  Oh, and guess what? The governments announced they could get data down the power lines and surveil you in your house with the light bulbs.
[15:59.880 --> 16:04.880]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[16:04.880 --> 16:08.880]  Number one, new climate legislation could easily double or triple your electric bill.
[16:08.880 --> 16:15.880]  Number two, our new energy czar wants to control how much power your electric company allows you to have. It's true.
[16:15.880 --> 16:20.880]  Total government control of electricity in the name of smart grid technology is coming.
[16:20.880 --> 16:24.880]  Number three, in some areas of the country, the power grid is dangerously overloaded.
[16:24.880 --> 16:31.880]  And now new socialist legislation is only compounding the problem. Number four, dangerous weather is always a threat to local grids.
[16:31.880 --> 16:35.880]  Every year, thousands of families lose their power from weather related onages.
[16:35.880 --> 16:40.880]  Number five, a solar power generator provides powerful backup insurance and peace of mind.
[16:40.880 --> 16:45.880]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my old sponsors.
[16:45.880 --> 16:51.880]  You can get more information at www.mysolarbackup.com. That's mysolarbackup.com.
[16:51.880 --> 17:00.880]  Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-877-327-0365.
[17:00.880 --> 17:08.880]  Hundreds of nations have fallen to tyranny in the last century alone. This is our last chance to not relive history.
[17:08.880 --> 17:13.880]  As we're finishing off this agenda, they'll be pulling the rug from underneath the Americans at home.
[17:13.880 --> 17:19.880]  I've turned a tremendous influence on our president in Congress, and they really are calling the shots.
[17:19.880 --> 17:24.880]  I think it's incumbent upon all of us as American citizens to pay attention.
[17:24.880 --> 17:34.880]  For the Republic identifies the enemies of our nation, the criminal offshore cartel held bent on destroying sovereignty and on its ashes constructing world government.
[17:34.880 --> 17:41.880]  Tim Geithner, Bernanke, and Arsonists, they're asking for more matches, and the Congress is saying, who do we make the check out to?
[17:41.880 --> 17:48.880]  Today, it seems like nobody does care, and right now in Washington, D.C., we have seen a fall of the Republic.
[17:48.880 --> 17:59.880]  Get your copy of Fall of the Republic on DVD at infowars.com, or watch it online right now in super high quality at prisonplanet.tv.
[18:01.880 --> 18:05.880]  Hi folks, this is Alex Jones, and I want to tell you about the Silver Lungs Generator.
[18:05.880 --> 18:14.880]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[18:14.880 --> 18:18.880]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[18:18.880 --> 18:30.880]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[18:30.880 --> 18:39.880]  With continued legislation threatening the sale of nano-silver products, you can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[18:39.880 --> 18:45.880]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[18:45.880 --> 18:52.880]  Go to www.silverlungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[18:52.880 --> 19:10.880]  That's www.silverlungs.com.
[19:23.880 --> 19:30.880]  In fact, Barron's called his work a dire prophecy.
[19:30.880 --> 19:37.880]  Recently, he created a video which you can watch online for free, detailing his biggest and most important prediction yet, and it's a real eye-opener.
[19:37.880 --> 19:41.880]  I can't stress this enough. You should at least watch this free video online today.
[19:41.880 --> 19:45.880]  He explains everything you need to know, including simple steps you can take to protect yourself.
[19:45.880 --> 19:53.880]  You can find the video at www.endofamerica3.com. That's endofamerica. The number 3.com.
[19:53.880 --> 20:17.880]  Watch the free video at www.endofamerica3.com. That's endofamerica3.com.
[20:24.880 --> 20:31.880]  Rallying Patriots Worldwide.
[20:31.880 --> 20:38.880]  You're listening to the Alex Jones Show.
[20:38.880 --> 20:46.880]  Okay, we're back live and I'm going to go ahead and go to your calls early in this hour because you know I can talk for 2-3 hours and never get to your calls.
[20:46.880 --> 20:56.880]  And then I'm going to news blitz coming up at the start of the next hour and then we'll continue with calls, but I want to hear from folks here on our first live show of 2011.
[20:56.880 --> 20:58.880]  And that's going to take some getting used to.
[20:58.880 --> 21:08.880]  But you did hear me right and I'll cover this more later, fluorescent bulbs to be the only bulbs sold next year.
[21:08.880 --> 21:17.880]  And this is nationally starting in 2012. They're going to be phased out and completely banned by 2014.
[21:17.880 --> 21:24.880]  And guess what? Europe's banning them. Australia's already banned them. This is all under UN agreements.
[21:24.880 --> 21:29.880]  And what is in the Food Safety Act? What's been added to the bill that's passed the House?
[21:29.880 --> 21:39.880]  It says in the Senate version that's now passed the House, we read this on air with Mike Adams, the health ranger earlier this week, showed you the bill.
[21:39.880 --> 21:45.880]  In the Food Safety Act written by Big Agribusiness openly to shut down small farms and ranches.
[21:45.880 --> 21:56.880]  It says to comply with the United Nations Agreement Codex Alimentarius, which actually bans over the counter sale of Vitamin C, Vitamin B, and things like that.
[21:56.880 --> 22:04.880]  Just total control. Well, what do you think big industry does? They come lobby to make you buy their vaccines.
[22:04.880 --> 22:12.880]  They come in lobby to shut down their competition, small farms and ranches. This is called vertical integration.
[22:12.880 --> 22:19.880]  And you heard me right when I said, use the light bulbs to spy on you.
[22:19.880 --> 22:27.880]  Ceiling lights in Minnesota send code and internet data associated press December 27th.
[22:27.880 --> 22:32.880]  And I covered this a little bit last week, but since then I wanted to check if my memory served.
[22:32.880 --> 22:40.880]  Because you'll hear me cover a news article and then I'll add some things on top of it from past research.
[22:40.880 --> 22:48.880]  And I was indeed correct. And when I first saw this going back about 13 years ago, I didn't believe it.
[22:48.880 --> 22:55.880]  Then 10 years ago when the National Ham Radio Association out of Dallas, we had their director on.
[22:55.880 --> 23:01.880]  They complained about it. We had them on. Then I had other engineers on and it's actually true.
[23:01.880 --> 23:08.880]  Yes, we're living in 2011 and it is Buck Rogers, but most of the Buck Rogers stuff is being used for bad.
[23:08.880 --> 23:14.880]  I love technology, but this is being used for bad. Ceiling lights in Minnesota send code to internet data.
[23:14.880 --> 23:20.880]  I see a story like that. I said I'd cover this later. I'll just cover the light bulb stuff now and then get to your calls.
[23:20.880 --> 23:23.880]  And then the economy and the TSA and a bunch of other information.
[23:23.880 --> 23:28.880]  North Korea warns war would bring nuclear Holocaust. That's coming up next hour.
[23:28.880 --> 23:33.880]  Machete, the race war, Mexican supremacist film has been denied.
[23:33.880 --> 23:39.880]  State of Texas tax incentives, which I actually don't like.
[23:39.880 --> 23:45.880]  Rodriguez got more publicity out of us attacking it than he loses with the 1.7 million tax incentive.
[23:45.880 --> 23:52.880]  He's lost, but I was against the tax incentive because they've been denying other films like films about Waco,
[23:52.880 --> 23:55.880]  because the state said that it was critical of the Texas government.
[23:55.880 --> 24:01.880]  Well, how can you deny that film funding in Texas and other films, but then not deny Rodriguez?
[24:01.880 --> 24:07.880]  I said change the law where they do get the tax incentives, but where government can't control what you say and do.
[24:07.880 --> 24:11.880]  I don't like the discrimination and that it's unfair.
[24:11.880 --> 24:14.880]  But I'm going to talk more about that coming up the next hour.
[24:14.880 --> 24:20.880]  And Rodriguez and Danny Trejo and others have been attacking yours truly, and I don't like it.
[24:20.880 --> 24:26.880]  And I'm going to stand up for myself here and go over that coming up in the next hour.
[24:26.880 --> 24:31.880]  I might spend a segment on it or so. I don't have a lot of time to cover that, but I mean, come on.
[24:31.880 --> 24:36.880]  My issue with those guys is they got caught lying about what was in the film.
[24:36.880 --> 24:41.880]  We got the script and they told the Austin American statesman that I didn't have the script.
[24:41.880 --> 24:47.880]  The producer of the film said that when we did have the script and the film came out and it was what we said was in it.
[24:47.880 --> 24:53.880]  I got the script from insiders there who were Hispanic and were upset about the film.
[24:53.880 --> 24:57.880]  I mean, this is a film creating just, well, I'm going to cover it later.
[24:57.880 --> 25:01.880]  The problem is I start getting into one issue and then I start segueing off into it.
[25:01.880 --> 25:06.880]  That's coming up in the next hour as well.
[25:06.880 --> 25:10.880]  State offices face letter campaign over machete incentives.
[25:10.880 --> 25:14.880]  And I love this one line out of the statesman where they do get it right.
[25:14.880 --> 25:19.880]  In early May, Jones expressed outrage over a trailer for the movie that Rodriguez released on the Internet.
[25:19.880 --> 25:24.880]  The trailer, which came out just after the passage of the New Immigration Law in Arizona, featured one of the stars,
[25:24.880 --> 25:29.880]  Danny Trejo, saying that he had a special Cinco de Mayo message to Arizona.
[25:29.880 --> 25:32.880]  He used a variety of weapons against Americans.
[25:32.880 --> 25:35.880]  You mean against white people with cowboy hats.
[25:35.880 --> 25:40.880]  And the message is, you know, you're wearing a cowboy hat, you're a racist, you deserve to die.
[25:40.880 --> 25:48.880]  I mean, in this movie, the whites are literally crucifying Hispanics, murdering pregnant Hispanic women, and they all deserve to die.
[25:48.880 --> 25:53.880]  Hitler put out movies about how groups like communists and others deserve to die.
[25:53.880 --> 25:56.880]  And so the Germans felt good about killing them.
[25:56.880 --> 26:04.880]  They stand here and watch Birth of the Nation quote Mexican style and just roll over in some political correctness.
[26:04.880 --> 26:05.880]  I'm done.
[26:05.880 --> 26:09.880]  I protested the Ku Klux Klan and I protested Robert Rodriguez.
[26:09.880 --> 26:14.880]  And I happened to know years ago, because I've been in a few movies here in Austin, really never asked,
[26:14.880 --> 26:21.880]  but was honored to be in some of them, Waking Life and Scanner Darkly and others, Rick Linkletter films,
[26:21.880 --> 26:27.880]  that got a chance to meet Keanu Reeves and Woody Harrelson and so many others are known a writer.
[26:27.880 --> 26:28.880]  The list goes on.
[26:28.880 --> 26:33.880]  But, you know, I've been told by directors and other people like, hey, you woke up Bruce Willis.
[26:33.880 --> 26:36.880]  We gave him your films and now he knows about the New World Order.
[26:36.880 --> 26:39.880]  And then sure enough, he tells Vanity Fair that, you know, six months later.
[26:39.880 --> 26:41.880]  But I hear other stuff.
[26:41.880 --> 26:49.880]  And going back years ago, I have people on sets, you know, other movie people go, yeah, I gave your films to Robert Rodriguez and he said,
[26:49.880 --> 26:53.880]  I don't want to see those because Alex is against the LaRica on Keesta.
[26:53.880 --> 26:55.880]  Alex is against open borders.
[26:55.880 --> 26:57.880]  Well, Mexico is completely imploding.
[26:57.880 --> 26:59.880]  There have been 28,000 deaths.
[26:59.880 --> 27:01.880]  It's a hell hole.
[27:01.880 --> 27:03.880]  And yes, it's lost wars with the U.S.
[27:03.880 --> 27:05.880]  And yes, Mexico is nationalistic.
[27:05.880 --> 27:07.880]  And yes, Mexico is angry.
[27:07.880 --> 27:11.880]  And it is a very popular thing in the culture now.
[27:11.880 --> 27:17.880]  And Hollywood pushes it because they want to break down this country to try to make Hispanic Americans hate this country.
[27:17.880 --> 27:19.880]  And the United States isn't perfect.
[27:19.880 --> 27:21.880]  Don't get me wrong.
[27:21.880 --> 27:27.880]  But I'll take the United States and the private property and the second amendment over what goes on in Mexico where you criticize the government.
[27:27.880 --> 27:31.880]  They come and shoot you in the street or you criticize corrupt drug lords.
[27:31.880 --> 27:33.880]  They come and kill you.
[27:33.880 --> 27:35.880]  It's a culture of intimidation and threats.
[27:35.880 --> 27:45.880]  And they put out a political trailer with real scenes from the movie showing state senators and cowboy hats in front of the Texas Capitol being shot by snipers because they're white.
[27:45.880 --> 27:51.880]  And then Danny Trejo says, I got a message to Arizona in the ad.
[27:51.880 --> 27:57.880]  And then Rodriguez comes out and says that stuff hidden in the movie when it was.
[27:57.880 --> 28:03.880]  And now Trejo told the Hollywood Reporter repeatedly, you know, maybe machete ought to come kill Texas.
[28:03.880 --> 28:07.880]  Maybe machete ought to come kill the Texas Film Commission.
[28:07.880 --> 28:12.880]  Are we going to turn into Mexico where you criticize somebody and somebody comes and kills you?
[28:12.880 --> 28:14.880]  Is that what this is all about?
[28:14.880 --> 28:15.880]  Huh?
[28:15.880 --> 28:17.880]  I mean, why don't you live in Mexico, Robert Rodriguez?
[28:17.880 --> 28:19.880]  Because you'd be shaken down.
[28:19.880 --> 28:22.880]  You'd be robbed by the drug cartels overnight.
[28:22.880 --> 28:26.880]  And you know that you're too scared to go down and live in Mexico.
[28:26.880 --> 28:29.880]  But you think it's a superior culture to this Republic.
[28:29.880 --> 28:33.880]  And you try to intimidate good Hispanic Americans to join your race cult.
[28:33.880 --> 28:36.880]  I know all about it.
[28:36.880 --> 28:37.880]  Okay.
[28:37.880 --> 28:40.880]  I don't like the white supremacists and I don't like the Mexican supremacists.
[28:40.880 --> 28:44.880]  The thing is the Mexican supremacists dance around out in the open and think that, you know,
[28:44.880 --> 28:52.880]  and all these cowardly, cowed gringos lick boots and bow down and get off on all of it.
[28:52.880 --> 28:53.880]  And not me.
[28:53.880 --> 28:54.880]  Not me.
[28:54.880 --> 28:55.880]  I'm calling you out.
[28:55.880 --> 28:56.880]  Okay.
[28:56.880 --> 28:57.880]  What you gonna do?
[28:57.880 --> 28:58.880]  Come after me, Trejo.
[28:58.880 --> 28:59.880]  I'm right here.
[28:59.880 --> 29:03.880]  Hi, this is Alex Jones.
[29:03.880 --> 29:09.880]  You've heard me talk about the delicious, easy to fix and very storable foods from eFoodsDirect.com.
[29:09.880 --> 29:14.880]  I've told you for years that eFoodsDirect has the best storable food on the planet.
[29:14.880 --> 29:18.880]  Now it's that time of year again and their holiday special is here.
[29:18.880 --> 29:25.880]  They have two holiday price packs for you to put into your reserves for a secure future or to share with others.
[29:25.880 --> 29:29.880]  The first is a six month bulk supply and 10 cans.
[29:29.880 --> 29:34.880]  And the second is a five week supply of quick and easy to fix meals including delicious bakery items,
[29:34.880 --> 29:36.880]  shipped in heavy tote bags.
[29:36.880 --> 29:40.880]  Now for a limited time, when you order two or more of these special holiday packs,
[29:40.880 --> 29:43.880]  you'll get free shipping on your entire order.
[29:43.880 --> 29:50.880]  Call now 800-409-5633 or visit them at eFoodsDirect.com forward slash Alex.
[29:50.880 --> 30:17.880]  That's 800-409-5633 or eFoodsDirect.com forward slash Alex.
[30:21.880 --> 30:24.880]  In some areas of the country, the power grid is dangerously overloaded.
[30:24.880 --> 30:28.880]  And now, new socialist legislation is only compounding the problem.
[30:28.880 --> 30:31.880]  Number four, dangerous weather is always a threat to local grids.
[30:31.880 --> 30:35.880]  Every year, thousands of families lose their power from weather related onages.
[30:35.880 --> 30:40.880]  Number five, a solar power generator provides powerful backup insurance and peace of mind.
[30:40.880 --> 30:45.880]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my old sponsors.
[30:45.880 --> 30:51.880]  You can get more information at www.mysolarbackup.com. That's mysolarbackup.com.
[30:51.880 --> 30:59.880]  Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-877-327-0365.
[30:59.880 --> 31:01.880]  Hello friends, this is Alex Jones.
[31:01.880 --> 31:04.880]  You've heard me talk about Calvin five star soaps for years.
[31:04.880 --> 31:09.880]  This is an American made product of the highest quality and compares to nothing you will find in stores.
[31:09.880 --> 31:13.880]  You can buy factory direct, shipped via UPS right to your door.
[31:13.880 --> 31:19.880]  Check them out on the web at fivestarsoap.com or call 800-340-7091.
[31:19.880 --> 31:23.880]  Take my word for it. Once you've used pure soap, you won't buy anything else.
[31:23.880 --> 31:29.880]  Since 1947, Calvin's soap company has been showing consumers that soap can be tough on dirt and gentle on the environment.
[31:29.880 --> 31:31.880]  Buy American and stay clean.
[31:31.880 --> 31:37.880]  As well as support info wars, visit fivestarsoap.com today or call 1-800-340-7091.
[31:37.880 --> 31:39.880]  Well Marty, what do you have to say?
[31:39.880 --> 31:47.880]  As founder and owner for over 63 years, satisfaction is guaranteed or double your dirt back.
[31:47.880 --> 31:58.880]  Call us at 1-800-340-7091 for a free catalog or visit our website fivestarsoap.com. Thank you.
[31:58.880 --> 32:01.880]  Folks, you've heard us talk about home gain before.
[32:01.880 --> 32:07.880]  Home gain is now offering a special promo where you get up to $150 when you buy or sell a home
[32:07.880 --> 32:11.880]  with a home gain agent you find through their find a realtor program.
