[00:01.000 --> 00:05.000]  You're listening to the Alex Jones show.
[11:05.000 --> 11:12.000]  That's how I protect my family. I don't want to be the only guy out here knocking grand slams every day. Okay.
[11:12.000 --> 11:22.000]  I want everybody to wake up, people to understand the game, understand how the scam works and then it's game over. I want to win. I want to be made obsolete.
[11:22.000 --> 11:29.000]  Do you understand? I do not want to be the cutting edge tip of the spear. That's how we get killed is how we get shut down and they win.
[11:29.000 --> 11:38.000]  I must be made obsolete to win. I want to be obsolete. Now at this point, I'm not obsolete. I am the cutting edge as I've been for 20 years.
[11:38.000 --> 11:45.000]  Okay. We are and I've been learning for 20 years. Now we are cutting edge. We are very cutting edge and that's why they hate us.
[11:45.000 --> 11:52.000]  It's why they have a whole new Comedy Central show coming out where they say it's based on me just like Colbert was supposed to be Bill O'Reilly.
[11:52.000 --> 11:59.000]  Word for word, a show every night saying I'm Alex Jones and I hate this. I hate that total lies.
[11:59.000 --> 12:03.000]  I'm not going to say what they're going to say. We know what they're going to say. They'll take that out of context.
[12:03.000 --> 12:13.000]  This is what they're doing to lie to you and the lie to the American people. But let's play a short boil down in the last few months of folks talking about the coup, the coup plan.
[12:13.000 --> 12:23.000]  Now the former head of the CIA, the told Trump to watch his mouth two days before Trump inaugurated. He got shocked when three days after Trump was in office, he fired him.
[12:23.000 --> 12:36.000]  This guy worked to have the Arab Spring and turned the Middle East over to the Wahhabist. This guy lived in Saudi Arabia for 12 years. People thought it was some cover that he went and became a Muslim.
[12:36.000 --> 12:43.000]  He did go to the ceremonies. He did become a Muslim in the mosque of the Saudi royal family and folks said, oh, that's just a CIA guy doing that.
[12:43.000 --> 12:54.000]  No, he went native. They've got all the money. He is absolutely probably wipes his hand, wipes his butt with his left hand, something we're all big fans of around here.
[12:54.000 --> 13:03.000]  I'm serious. I mean, he probably has a Somali bride. The whole point is we love our Somalis. We love our Muslims too. Oh, they're so good. Oh, they're so sweet.
[13:03.000 --> 13:11.000]  And I'm not put up with it anymore. I hear there was this big double cross coming 20 years ago from the Muslims that the left was going to side with them.
[13:11.000 --> 13:20.000]  They said there's no way they throw gays off buildings. They they murder people. Women can't drive cars. And then the leftist media won't cover.
[13:20.000 --> 13:28.000]  I'm going to play this clip today. Women burning their jibs all over Iraq, all over the Middle East, and they're linking info or stories.
[13:28.000 --> 13:38.000]  They're saying we want feminists to stand up for us. We want women in America to stand up for us. They hear myself and Bill Maher to his credit and many others saying, look,
[13:38.000 --> 13:47.000]  you can't sit there and claim you're feminist or for women and then have USA Today say, wear a hijab for solidarity with women and have Linda Sorcerer,
[13:47.000 --> 13:55.000]  who's in a general mutilation and, you know, never criticizes the enslavement murder of women and gays and all the rest of it being the leader of the feminist movement.
[13:55.000 --> 14:07.000]  This is sick mental illness. And there's no feminist or no liberal groups going, oh, look, women are burning their birches and their hijabs in liberated areas of Iraq and Syria in areas where they never had to wear them before.
[14:07.000 --> 14:18.000]  They got overrun and enslaved and raped. No coverage of that on CNN by that little CIA twit, Anderson Cooper, or any of these people.
[14:18.000 --> 14:26.000]  And Anderson Cooper is a perfect example. They'll go, Jones is crazy and says he's CIA. He's admittedly CIA. He was in the CIA. He's always been in it.
[14:26.000 --> 14:37.000]  What do you think CNN is as much a leftist foundation people that have taken control of the CIA, basically, and they all want to be like tough guys and they all want their little CIA decoder ring or whatever.
[14:37.000 --> 14:44.000]  Most of them can't even literally, you know, tie their shoelaces. There's such inbred blue bloods and you've got all that happening.
[14:44.000 --> 14:51.000]  And they go, oh, he's not CIA. Like you're an idiot. You can't look it up. Or, oh, Jones is crazy. There's no coup plan.
[14:51.000 --> 14:57.000]  No, you just try to steal the nomination from Trump. Then you try to have faithless electors to steal the seating of him.
[14:57.000 --> 15:09.000]  Then you've been calling for his death, his murder, his overthrow and then have people shopping at former deputy defense secretaries are in foreign affairs shopping it at the Pentagon of how to overthrow Trump.
[15:09.000 --> 15:15.000]  They're walking around in offices saying we should have a military overthrow trying to legitimize it.
[15:15.000 --> 15:21.000]  I mean, that woman doing that should have been grabbed and tried immediately or at that level been given.
[15:21.000 --> 15:25.000]  I mean, quite, I'm just telling what happened in the other country. She gets seem at shoes.
[15:25.000 --> 15:33.000]  You know, walking around at the Pentagon saying we need to overthrow Trump in a violent operation.
[15:33.000 --> 15:40.000]  I mean, these people are, they want violence. They're openly saying they want to arrest everybody shot down the press.
[15:40.000 --> 15:47.000]  They want me dead. And then they're shocked when I'm up here saying, OK, well, we better have Trump get the public ready to arrest these people.
[15:47.000 --> 15:53.000]  It's only like a thousand of them. Give them trials and then put them in prison or teach people a lesson.
[15:53.000 --> 15:59.000]  I mean, I'm the opposite of a fascist, ladies and gentlemen. These are the fascist. They have to be dealt with just like Nuremberg.
[15:59.000 --> 16:07.000]  We don't have to go there and have a whole war with these people in a hot civil war via their coups or attempted coups to learn this.
[16:07.000 --> 16:14.000]  We're right. We've been proven right. Everybody needs to understand it. We know what we're talking about. Period.
[16:14.000 --> 16:25.000]  And the debate is over. You have this globalist weasel clapper, who is a literal Islamist turd.
[16:25.000 --> 16:32.000]  Who is a traitor against this country. So arrogant. He's running his mouth and his ally with the globalist to open the borders of Europe up,
[16:32.000 --> 16:40.000]  bringing 80 percent military aged men, 10 million to just piss on everybody and announce your homes are ours, your women are ours.
[16:40.000 --> 16:52.000]  And we've got Merkel and clapper and all these and another Muslim globalist Obama and his is his snap internal wife telling our kids what to eat in schools.
[16:52.000 --> 16:58.000]  I mean, we're in a giant cult here. And so we got clapper on CNN with Wolf Blitzer.
[16:58.000 --> 17:05.000]  So again, is it admitted Israeli intelligence operative and I'm not against Israel, but he's a big leftist known massage operative,
[17:05.000 --> 17:12.000]  formerly a section chief for Israeli intelligence. Yes, I'm telling you something's quasi classified,
[17:12.000 --> 17:17.000]  but it's known that he worked for Israeli intelligence. He didn't just work for the IDF's PR firm.
[17:17.000 --> 17:21.000]  Wolf Blitzer is a foreign agent up there with another Muslim agent.
[17:21.000 --> 17:29.000]  I'm going to throw up, man. All of them want to break America's back because they know they're foreign agents and I've had it with the Chinese foreign agents
[17:29.000 --> 17:36.000]  and the Islamist foreign agents and the EU foreign agents and the pedophile Pope and their foreign agents and the.
[17:36.000 --> 17:41.000]  Okay, I'm ranting. Let me just play clapper in the interest of time. We got no insurer here, right?
[17:41.000 --> 17:48.000]  The shotgun was today. We have the pastor coming on big national pastor, Mr. Brown, friends of Trump led the prayer meeting a few weeks ago with Trump,
[17:48.000 --> 17:53.000]  who met with the top congressman, Republican. He said, yeah, no, they've got the plan. They're getting it ready to have a coup.
[17:53.000 --> 18:01.000]  And in the next 30 days, they're planning to do it. And then notice clappers on CNN going, it's time to have a coup against Trump.
[18:01.000 --> 18:07.000]  I mean, he's telling you he is time to have a coup. Stop on info wars.com.
[18:07.000 --> 18:15.000]  Let's go ahead and play the one minute, 10 second clip of everything I told you coming out in the open and they come out in the open to normalize it.
[18:15.000 --> 18:22.000]  Well, they, well, they want surprise. No, they don't. They need to carry it out and have everyone go along with it.
[18:22.000 --> 18:29.000]  That means blow up Marine one when he's fine. That means having quote terrorist attack Air Force One on the tarmac.
[18:29.000 --> 18:37.000]  That means just swat teaming him, you know, just firing rockets into the White House. I mean, quite frankly, Trump shouldn't even be in the White House right now.
[18:37.000 --> 18:50.000]  He should go to Fort Mead, or he should go to Cheyenne Mountain, or he should get me an arm and point all this out and put, you know, tanks and helicopters around it and point out what they've done until they're all arrested.
[18:50.000 --> 19:01.000]  Shouldn't even come out of a bunker. I'm serious. They've got groups. That's what they keep selling this Russia thing because they want to get groups in the government to believe he's really a Russian agent.
[19:01.000 --> 19:10.000]  They can get enough idiots ready to actually try this mission. I mean, you imagine how dumb this mission is going to be because we're here exposing it from the very beginning.
[19:10.000 --> 19:18.000]  We're not just going to have them sell it to the American people and go try it, especially because I'm next in line downhill from this. OK, this is personal.
[19:18.000 --> 19:27.000]  And by the way, all of you that claim you want to fight the new world order, this is it. But you all just expect it was going to take over and you'd have a shootout with some UN troops or something.
[19:27.000 --> 19:40.000]  So this works. We started taking the government back. We're trying to save the country because we love our country, not because we're heroes, because we're not going to put up with a bunch of globalist turds like Madeleine Albright and Michael Moore ruling us.
[19:40.000 --> 19:43.000]  Let's skip this break. This is too important. Skip this one break.
[19:43.000 --> 19:57.000]  I don't think of the network hell about it, but you know what? If the network doesn't like it, I'm just going to have to move on because our stations were going to a new clock starting in like a month. The clock everybody wants.
[19:57.000 --> 20:07.000]  There's going to be less ads coming in six hours. I'm excited about all that. But right now, here it is. Here is Clapper. Hey, guess what? Radio Network, there won't be a show if they win and take over. See how that works?
[20:07.000 --> 20:16.000]  It's called life and death. I love G.C. and they're great folks. One mistake, one break today though. Let's go ahead and let's play the clip from L. Clapper.
[20:16.000 --> 20:26.000]  But this is where the work of Robert Mueller is critical to our future as a country because, you know, in some respects, we're a government and a nation in crisis right now.
[20:26.000 --> 20:29.000]  You have confidence in this special council?
[20:29.000 --> 20:30.000]  Absolutely.
[20:30.000 --> 20:32.000]  You both worked with him for a long time when he was head of the FBI?
[20:32.000 --> 20:35.000]  Absolutely. That was an inspired choice.
[20:35.000 --> 20:37.000]  How many better?
[20:37.000 --> 20:42.000]  Nobody better than Bob Mueller, who is a straight shooter and will not be intimidated by any.
[20:42.000 --> 20:51.000]  And if he's fired by Mr. Trump or is tempted to be fired by Mr. Trump, I hope, I really hope that our members of Congress or elected representatives are going to stand up and say enough is enough.
[20:51.000 --> 20:59.000]  And stop making apologies and excuses for things that are happening that really flout, I think, our system of laws and government here.
[20:59.000 --> 21:09.000]  If you say enough is enough, if he's fired and he's the president of the United States, he could tell Rosenstein to fire him if he wants.
[21:09.000 --> 21:12.000]  But if he's fired, what would you want Congress to do?
[21:12.000 --> 21:22.000]  Well, first of all, I think it's the obligation of some executive branch officials to refuse to carry out some of these orders that, again, are inconsistent with what this country is all about.
[21:22.000 --> 21:37.000]  But I would just hope that this is not going to be a partisan issue, that Republicans and Democrats are going to see that the future of this country is at stake, and there needs to be some things done for the good of the future.
[21:37.000 --> 21:46.000]  That's Brennan. He's also up there with Clapper, who told you there's no spy on the American people talking to conspiracy theory Berger himself in Congress.
[21:46.000 --> 21:53.000]  And they think these guys are the co-presidents along with Mueller, like even CNN and others have said, here's really who leads the country.
[21:53.000 --> 21:57.000]  It's Brennan, it's Clapper, and it's Mueller.
[21:57.000 --> 22:15.000]  And they're worshiping Comey, this Clinton appointee, this Obama appointee, this incredibly corrupt minion who 99.8% of their donations from Mueller's law firm go to the Democrats and go to Hillary.
[22:15.000 --> 22:25.000]  And everyone they've appointed on Mueller's team other than Mueller is Democrat, and two of them were fired by Trump.
[22:25.000 --> 22:30.000]  That'd be like if I was in a divorce proceeding or you weren't in a divorce proceeding.
[22:30.000 --> 22:42.000]  And, you know, let's say your husband was a judge, and then he's the family court judge and you've got to say five kids and you go in and then he's not going to recuse himself when it comes up that he's supposed to be the person hearing the case.
[22:42.000 --> 22:48.000]  Your husband hears his own divorce case.
[22:48.000 --> 22:50.000]  That's right. And that's what this is.
[22:50.000 --> 23:11.000]  And they openly have Mueller's people out there shooting their mouth off of the news and then using NSA data transcripts that they've had from the beginning of a few meetings when Russians are coming out of the woodwork where the Trumps are meeting with Russians to try to get dirt on Hillary, who's known to have the Russians all in her business.
[23:11.000 --> 23:16.000]  So think about that.
[23:16.000 --> 23:20.000]  They think you're so incredibly stupid.
[23:20.000 --> 23:22.000]  And then they say, oh, we never spied.
[23:22.000 --> 23:25.000]  Remember back in a few months ago, there was a big controversy.
[23:25.000 --> 23:26.000]  Trump's a liar.
[23:26.000 --> 23:27.000]  Trump's crazy.
[23:27.000 --> 23:29.000]  No one ever spied on him.
[23:29.000 --> 23:31.000]  The NSA never spied on him or anybody.
[23:31.000 --> 23:36.000]  When they've been in the news saying we have NSA transcripts proving all this, but wouldn't show them because they didn't really show what they said.
[23:36.000 --> 23:38.000]  Then they go, oh, no, we never did that.
[23:38.000 --> 23:45.000]  Now they're back again. Oh, we do have all the intercepts and we were spying on them, but it's no big deal.
[23:45.000 --> 23:49.000]  Just like they had the Comey memo showing the Comey had done all this.
[23:49.000 --> 23:50.000]  Oh, excuse me for the slip.
[23:50.000 --> 23:58.000]  They had the Comey memo where he illegally didn't give it to the attorney general at the time, Loretta Lynch.
[23:58.000 --> 24:04.000]  And then Jeff Sessions, where he held on to it, obviously for blackmail.
[24:04.000 --> 24:08.000]  It was a classified memo, obviously a conversation with the president and private.
[24:08.000 --> 24:14.000]  He said it wasn't classified and birdishers himself to Congress.
[24:14.000 --> 24:16.000]  Then he tried to hold it over the president's head.
[24:16.000 --> 24:18.000]  The president bluffed him and said, we may have recordings.
[24:18.000 --> 24:23.000]  So he changed the story over and over again.
[24:23.000 --> 24:33.000]  And then meanwhile, we know he was the main leaker and he admitted to being a leaker because he knew that Trump knew because now that he was the president, he was able to have people go in and look at the NSA
[24:33.000 --> 24:35.000]  and see what they were up to and what they were doing.
[24:35.000 --> 24:43.000]  But because it's classified, he won't talk about it and defend himself.
[24:43.000 --> 24:51.000]  So that's how this whole wicked web that they woven traverses the situation.
[24:51.000 --> 25:08.000]  And you have these arrogant, entitled, crazy people that are so arrogant that a newly elected president about to be sworn in in two days, you go on national TV and you say, you better watch your mouth.
[25:08.000 --> 25:22.000]  And then Schumer scrabbles on to CNN the day after the president sworn in and says, the president better watch out.
[25:22.000 --> 25:23.000]  The intelligence community has seven ways to Sunday to get even with you.
[25:23.000 --> 25:25.000]  But then they go, oh, we're not getting even.
[25:25.000 --> 25:27.000]  Intelligence agencies aren't doing anything.
[25:27.000 --> 25:29.000]  We just have all these intercepts.
[25:29.000 --> 25:32.000]  But just like Comey said, the memo had all this dirt.
[25:32.000 --> 25:42.000]  When he finally had to produce it to Congress in secret, it didn't have anything in it, and it was word for word what Trump had ever said.
[25:42.000 --> 25:44.000]  According to Congress, we don't know.
[25:44.000 --> 25:47.000]  It probably said that Trump, you know, was evil and tried to buy him off.
[25:47.000 --> 25:53.000]  But he'd already testified that that hadn't happened on February 3rd.
[25:53.000 --> 25:55.000]  So then he couldn't perjure himself.
[25:55.000 --> 26:02.000]  Trump's got him caught on so many fronts and they realized that and so here's the $64 trillion answer.
[26:02.000 --> 26:03.000]  They're desperate.
[26:03.000 --> 26:04.000]  They're losing.
[26:04.000 --> 26:08.000]  They've lost control of the legislative, the executive and the judicial.
[26:08.000 --> 26:11.000]  They've lost control of 30 plus state houses.
[26:11.000 --> 26:14.000]  They've lost control of close to a thousand state reps.
[26:14.000 --> 26:17.000]  They've lost control of many of the mayors.
[26:17.000 --> 26:24.000]  Right now, the country electorally is about 70% Republican.
[26:24.000 --> 26:26.000]  That's why you look at a map.
[26:26.000 --> 26:35.000]  Everything's blue, but a few red spots on the each and West Coast and a few areas in Minnesota and Wisconsin and Chicago.
[26:35.000 --> 26:37.000]  And all of those are the high crime areas.
[26:37.000 --> 26:41.000]  All of those are the globalist areas that are under their big city control.
[26:41.000 --> 26:42.000]  Very, very sad.
[26:42.000 --> 26:53.000]  And they understand that existentially there's an awakening and that they're losing control and they're not going to be able to teach your five year old, you know, how to be a training and they're not going to be able to have the military wear red high heels.
[26:53.000 --> 26:55.000]  I'm not going to be able to bring in 50 million Muslims.
[26:55.000 --> 26:59.000]  It'll be our bosses and be the CPS workers of the new police like they are in Germany.
[26:59.000 --> 27:07.000]  They understand their plan to kind of have their way with us because that's the big goal is to have this existential victory over everybody.
[27:07.000 --> 27:12.000]  This, this giant season of the cock, this giant beta orgy.
[27:12.000 --> 27:15.000]  That's what communism and these authoritarian things are.
[27:15.000 --> 27:27.000]  These people that don't want to build things or do things or create things or fight for things, they just get together in big swarms and then come in and try to pull everything down as some simulated victory.
[27:27.000 --> 27:29.000]  It's what's going on in Venezuela.
[27:29.000 --> 27:31.000]  It's what's happening in North Korea.
[27:31.000 --> 27:36.000]  It's what's happening in many, many areas of the world, but all over the planet.
[27:36.000 --> 27:47.000]  Countries are coming out of these cycles and experiencing these hells and because of travel and the Internet, the general public knows that globalism is a fraud.
[27:47.000 --> 27:49.000]  They know that globalism doesn't produce.
[27:49.000 --> 27:54.000]  They know it's designed to get people into poverty and they're rejecting it across the board.
[27:54.000 --> 28:06.000]  So when we come back, I'm going to play that boil down of other big TV hosts and analysts saying they want a coup, but see, oh, we don't need them anymore. Do we just say, oh, look, I'm right.
[28:06.000 --> 28:12.000]  We have Clapper, former head of all 17 agencies.
[28:12.000 --> 28:17.000]  And then you've got the former CIA director.
[28:17.000 --> 28:28.000]  Brennan running his mouth saying we need Republicans and Democrats to come together bipartisanly and just agree we need to remove Trump.
[28:28.000 --> 28:29.000]  That's the talking point.
[28:29.000 --> 28:44.000]  But they think Congress is so dumb and a lot of them are just lazy narcissists that got hired that they're not even reading foreign affairs, public affairs and Atlantic Monthly, which you really should read if you want to know because the criminals can't help the brag and they're in there going.
[28:44.000 --> 28:55.000]  We're going to have a whole new election run by Homeland Security already under an executive order by Obama, and we're going to oversee and make sure that nothing ever happens again.
[28:55.000 --> 28:57.000]  Like what just happened in 2016.
[28:57.000 --> 29:02.000]  And we're going to have new elections and remove all these people because they all got elected illegally.
[29:02.000 --> 29:18.000]  They're not going to just sit there and let you go. Oh, you're bipartisan and we all agree to say, oh, Trump's an evil Nixon and go along with it all have another, you know, phony consensus thing where we feel like we're part of the process, but we're really chump idiot morons.
[29:18.000 --> 29:25.000]  Leadership is doing the right thing when you see a wall telling you that you're wrong and a bunch of peer pressure telling you you're going to lose.
[29:25.000 --> 29:27.000]  I know we're going to win.
[29:27.000 --> 29:28.000]  We have the moral authority.
[29:28.000 --> 29:29.000]  We have history on our side.
[29:29.000 --> 29:30.000]  We have the facts.
[29:30.000 --> 29:31.000]  We have a strong president.
[29:31.000 --> 29:38.000]  We have histories tied on our side, but we've become so peer pressure driven and so delusional.
[29:38.000 --> 29:46.000]  America could snap back into that delusion and buy into the hype and say, well, I was for Trump, but you know, the Russia thing and go along with it.
[29:46.000 --> 29:49.000]  Especially if you see him get, you know, killed the middle of the night.
[29:49.000 --> 29:50.000]  Play along with that.
[29:50.000 --> 29:53.000]  If you do that, you deserve everything you get because it's not going to give us any quarter.
[29:53.000 --> 29:56.000]  Then they're going to come after everybody.
[29:56.000 --> 30:03.000]  We're on the march, the empires on the run, Alex Jones and the GCN radio network.
[30:26.000 --> 30:31.000]  Yet we have this consolation with us that the harder the conflict, the more glorious the triumph.
[30:31.000 --> 30:34.000]  What we obtain too cheap, we esteem too lightly.
[30:34.000 --> 30:37.000]  It is dearness only that gives everything its value.
[30:37.000 --> 30:46.000]  Heaven knows how to put a proper price on its goods, and it would be strange indeed if so celestial an article as freedom should not be highly rated.
[30:46.000 --> 30:54.000]  Britain, with an army to enforce her tyranny, has declared that she has a right not only to tax, but to bind us in all cases whatsoever.
[30:54.000 --> 30:59.000]  And if being bound in that matter is not slavery, then there is no such thing as slavery upon earth.
[30:59.000 --> 31:05.000]  Even the expression is impious, for so unlimited a power can only belong to God.
[31:05.000 --> 31:28.000]  Thomas Paine, The American Crisis.
[31:36.000 --> 31:38.000]  To the best job you can to purify your air.
[31:38.000 --> 31:46.000]  The elite are masters at poisoning our environment, while themselves doing things that mitigate or avoid most of the toxic effects for themselves.
[31:46.000 --> 31:48.000]  The general public doesn't.
[31:48.000 --> 31:52.000]  The Alexa Pure Breeze would be a steal at $300, $400, $500.
[31:52.000 --> 31:56.000]  One of these systems can keep 800 square feet incredibly clean.
