[00:00.000 --> 00:26.560]  Infowars, tomorrow's news, today.
[07:31.160 --> 07:36.440]  ridiculous they wouldn't really do that it's just a rumor well yeah okay well they are talking about
[07:36.440 --> 07:43.800]  the sending the fighter jets now oh oh yep fighter jets are sent oh and of course it was what eight
[07:43.800 --> 07:49.640]  months ago or so Joe Biden said there'll be no tanks there'll be no jets that would mean World War
[07:49.640 --> 07:56.920]  III oh now he's doing that as all of the crimes he and his family members have committed are starting
[07:56.920 --> 08:03.640]  to come to light that's you know potential World War III not even the biggest story today
[08:05.560 --> 08:10.680]  no it has to be because look if World War III happens and and it's bad what's going on in
[08:10.680 --> 08:15.000]  Ukraine and there are people dying I don't want to be involved with that I don't want to I don't
[08:15.000 --> 08:20.040]  want to be involved in the propaganda that'll make that worse so that that is a serious thing
[08:20.040 --> 08:27.880]  and and if if Biden continues to escalate that situation it will get worse but no right now
[08:27.880 --> 08:36.840]  the big story is these COVID vaccines killing people as the numbers just continue to go up
[08:36.840 --> 08:49.560]  up and the fact that YouTube is under orders right now to censor project Veritas videos
[08:49.560 --> 08:54.200]  exposing that Pfizer executive admitting all the things that we knew were true
[08:56.840 --> 09:02.200]  like COVID-19 came out of a lab in Wuhan where they were doing gain of function research
[09:02.200 --> 09:07.640]  and now Pfizer is considering doing gain of function research or potentially already doing it
[09:07.640 --> 09:15.080]  themselves so that they can have vaccines for the future now a lot of people won't understand
[09:17.000 --> 09:23.640]  why that is and what's actually going on including Jordan Tristan Walker who knows how
[09:23.640 --> 09:28.920]  qualified this guy really is and I'm not I'm not saying that as an insult I mean it I mean
[09:28.920 --> 09:34.600]  does that guy seem qualified based on what you've seen that guy seems like an unhinged lunatic
[09:35.640 --> 09:42.600]  I'm just a liar I'm just a liar literally I'm just a liar which is what he was coached to say
[09:42.600 --> 09:48.360]  by the way because of the timeline we have with the response and these videos
[09:49.560 --> 09:53.240]  Pfizer got clued in and and look I I'm not going to say all the stuff from behind the
[09:53.240 --> 09:58.840]  scenes with project Veritas and I don't want to tip any hands here but Pfizer obviously
[09:58.840 --> 10:06.520]  knew this was coming somehow some way and they told either Jordan specifically or just in a
[10:06.520 --> 10:10.680]  general sense they told their employees if you ever get in a moment like this just say you're a
[10:10.680 --> 10:16.120]  liar just boom so as soon as he realized what was going on you notice he went right into his
[10:16.120 --> 10:22.760]  conniption fits I'm a liar I'm a liar I'm a liar so hey you know what good for Pfizer they made
[10:22.760 --> 10:32.520]  a diversity hire oops how'd that one work for you e the Jordan Tristan Walker diversity hire
[10:37.560 --> 10:47.800]  nice way to go now I said this before Walker's only way out of this now is to come out as a
[10:47.800 --> 10:52.440]  whistleblower and he might not even be smart enough to do that that's why it's like dude if
[10:52.440 --> 10:56.440]  you're not smart enough to realize what situation you're in right now and come out as a whistleblower
[10:56.440 --> 11:00.840]  then then how are you even smart enough to even have that job to begin with and just based off of
[11:00.840 --> 11:07.560]  your needs your hysterical reactions my guess is you were never qualified for this job ever but
[11:07.560 --> 11:14.680]  you're a nice minion you're a nice lemming you're a nice stooge maybe even you know you're not really
[11:14.680 --> 11:23.640]  qualified so you took the job and you became a yes man and the rest of the story is history
[11:24.520 --> 11:31.240]  so one cable news show over the entire weekend covered this and that was Tucker Carlson one
[11:32.280 --> 11:41.160]  uno so you're talking about one percent of weekend cable news starting on Friday
[11:41.160 --> 11:46.280]  really starting on Thursday after the video first came out on Wednesday covering this
[11:47.960 --> 11:52.040]  of course you've got info wars of course you've got banned out video and all the great hosts there
[11:53.400 --> 11:57.160]  and commentators there and you've got twitter which is allowing project veritas to still
[11:57.160 --> 12:00.600]  operate and share its videos where it's been seen over 20 million times
[12:02.840 --> 12:09.000]  but now the frustration where are the investigations where are the congressional
[12:09.000 --> 12:15.000]  hearings where I mean of course why isn't the American media up in arms about this we know why
[12:15.000 --> 12:20.840]  Pfizer owns the mainstream media with their billion dollars in marketing why isn't our congress
[12:20.840 --> 12:25.400]  up in arms about this we know why because Pfizer owns our congress with billions of dollars of
[12:25.400 --> 12:34.040]  campaign donations the answers here are simple you just see the world for what it is you are
[12:34.040 --> 12:40.440]  just enlightened informed and curious enough to find this information and care about the planet you
[12:40.440 --> 12:47.880]  live on and the future unlike I suppose Jordan Tristan Walker who thinks it's funny to mutate
[12:47.880 --> 12:52.760]  viruses in a lab but but see let me get back to the point that I got off track on the layman
[12:52.760 --> 12:56.840]  wouldn't even understand this I only understand this because I talked to doctors like Dr Peter
[12:56.840 --> 13:01.240]  McCullough who's going to be in studio with us on Tuesday I only understand this because I talked to
[13:01.240 --> 13:05.880]  doctors and I hear other doctors on other talk shows and everything why would they
[13:06.600 --> 13:11.960]  mutate a virus in a lab to get a vaccine because folks if you understand this then the
[13:11.960 --> 13:18.760]  entire vaccine industry maybe not the entire vaccine industry but most of the vaccine industry
[13:18.760 --> 13:24.840]  is defunct you'll never get another flu vaccine you'll never get another COVID vaccine and you'll
[13:24.840 --> 13:31.640]  realize most of these vaccines are totally worthless why do they mutate a virus to get a
[13:31.640 --> 13:37.480]  future vaccine because by the time their flu vaccine use the flu vaccine as as the example
[13:37.480 --> 13:44.440]  might be the best example by the time their flu vaccine hits the market the flu virus that it's
[13:44.440 --> 13:50.280]  vaccinating you for has already mutated and the vaccine is totally defunct and they know that
[13:50.280 --> 13:59.160]  they know that and they still put it into your arms every year a vaccine that they know is defunct
[13:59.160 --> 14:04.920]  a vaccine that they know will not stop the flu as they say it will because the flu virus has
[14:04.920 --> 14:11.000]  already mutated past the evolutionary stage of the vaccine that they just put to market same thing
[14:11.000 --> 14:20.520]  with COVID whoa whoa how much money do these companies make off their flu vaccines or other
[14:20.520 --> 14:26.040]  other virus vaccines or vaccines like this where by the time the vaccine hits the market whatever
[14:26.040 --> 14:32.840]  it is is already mutated meaning they're selling you a vaccine they know doesn't work if I they
[14:32.840 --> 14:39.880]  don't even let Amish sell milk but if I sell you milk that is expired that's a crime if I if I sell
[14:39.880 --> 14:46.360]  you perishable food that's expired you can't do that that's illegal but big pharma can sell you
[14:46.360 --> 14:52.920]  what is essentially the equivalent of an expired vaccine and that's what they do so that's why
[14:52.920 --> 14:58.360]  this is another reason why this video is so huge so when you understand the context they admit they
[14:58.360 --> 15:03.480]  know the vaccines don't work when they sell them to you they know that the virus came out of the
[15:03.480 --> 15:10.760]  Wuhan lab from gain of function research that they're now doing in a Pfizer lab or potentially
[15:10.760 --> 15:16.520]  could be doing in a Pfizer lab right here in the United States of America now I'm going to connect
[15:16.520 --> 15:23.080]  all this when we come back to another story of other undercover video not from Project Veritas
[15:23.800 --> 15:31.960]  of leftist educators bragging about how they deceive parents and knowingly rename critical
[15:31.960 --> 15:39.240]  race theory to other different words phrases what have you so that the parents don't know
[15:39.240 --> 15:45.800]  we're still teaching it and they laugh and they yes they grit their teeth about how they're deceiving
[15:45.800 --> 15:52.040]  you folks this is the entire psychology of the left this is why it's so dangerous and it's the
[15:52.040 --> 15:57.400]  exact same thing you saw in that Pfizer video laughing about lying to you about gain of function
[15:57.400 --> 16:07.880]  research the cavalry has arrived ultimate bone broth is the strongest highest quality chicken
[16:07.880 --> 16:12.360]  based bone broth you're going to find with all of the effects for your joints your bones your
[16:12.360 --> 16:17.400]  muscles your heart but more importantly your immune system everybody knows about grandma
[16:17.400 --> 16:22.040]  and chicken broth well this is concentrated chicken broth the strongest out there with
[16:22.040 --> 16:27.480]  chock of mushroom and a whole bunch of other ingredients like turmeric the list goes on and on
[16:27.480 --> 16:34.200]  this is definitely the strongest best bone broth out there and your purchase supports the m4 a 360
[16:34.200 --> 16:39.720]  win if you've not experienced bone broth even the regular ones have great effects believe me you
[16:39.720 --> 16:45.480]  want to get m4's life ultimate bone broth at m4sore.com now take an hour to tell you all the great
[16:45.480 --> 16:51.000]  stuff about it just go to m4sore.com read the facts there and then order some and you can't lose it's
[16:51.000 --> 16:55.000]  nutritive it empowers your body it's great for your immune system bones and joints and it funds
[16:55.000 --> 17:01.320]  the m4 so ultimate bone broth now back at stock at m4sore.com for 25 percent off everyone watching
[17:01.320 --> 17:06.360]  should realize that this is an information war and it takes money to fund an information war
[17:06.360 --> 17:11.320]  and everyone should decide to take the fight to the next level and to take the fight to the very
[17:11.320 --> 17:16.040]  tip of the spear and ensure we stand the field in this war against the new order by visiting
[17:16.040 --> 17:21.160]  infowarstore.com right now and taking action i thank you for your past support and i asked you
[17:21.160 --> 17:26.600]  to out about the cost to realize that only your commitment to keep info wars on the air will
[17:26.600 --> 17:30.360]  ensure our victory against the new world order they're coming for you and your family they're
[17:30.360 --> 17:34.280]  coming for me they're coming for the children but to get to the children they've got to get
[17:34.280 --> 17:38.280]  through us first these monsters are all over television wanting to give these shots to newborn
[17:38.280 --> 17:42.840]  babies they're already given to pregnant women miscarriages are off the chart 80 plus percent
[17:42.840 --> 17:49.000]  increase of miscarriages in the first two prime ministers after these poison shots we can and will
[17:49.000 --> 17:54.200]  save the children and they are counting on us let's do it together and the fight starts at info
[17:54.200 --> 18:00.120]  wars.com and the fight continues with your financial support at infowarstore.com now take action now
[18:00.120 --> 18:05.960]  info wars has made history you have made history by supporting info wars the globalists are being
[18:05.960 --> 18:10.920]  defeated on every front and now is the time to not just sit on our laurels because we're winning
[18:10.920 --> 18:17.160]  battles let's win the war the information war there's nothing you can do more important than
[18:17.160 --> 18:21.960]  keeping info wars on air in the fight for liberty i don't think anybody denies that fact and i thank
[18:21.960 --> 18:27.800]  you for your past support but i'm encouraging you now to get one of the very last coins in a four
[18:27.800 --> 18:36.200]  coin series the teddy roosevelt man the arena coin exclusively at 1776 coin.com and you can get
[18:36.200 --> 18:46.360]  30 off this historic pure silver coin with promo code 1776 at 1776 coin.com no more of these will
[18:46.360 --> 18:52.840]  be made if you want the coin it's exclusively available right now for limited time at 1776
[18:52.840 --> 19:02.840]  coin.com 30 off use promo code 1776 thank you for your support in early 2022 info wars launched a
[19:02.840 --> 19:09.240]  very important fundraiser that kept us on air your support of that fundraiser is the reason we are
[19:09.240 --> 19:15.560]  still here today fighting the globalist and having incredibly successful results so i thank you for
[19:15.560 --> 19:21.960]  your past support now that was a three coin series the founding member coin the final coin that we're
[19:21.960 --> 19:32.600]  putting out for a long time is the teddy roosevelt man in the arena coin exclusively available at 1776
[19:32.600 --> 19:39.000]  coin.com there are only a few thousand of the coins left and yes there's a markup on the coins
[19:39.000 --> 19:44.360]  because that's why it's a fundraiser and the coin is a collector's item momento of your support
[19:44.360 --> 19:49.240]  during the second american revolution so if you want to get one of these coins they're going fast
[19:49.240 --> 19:59.000]  and you can get 30 off on the coin with promo code 1776 at 1776 coin.com thanks for keeping us on the
[19:59.000 --> 20:07.400]  air leading a frontal assault on the lies of the new world order it's alex jones
[20:29.320 --> 20:39.640]  headline info wars.com youtube banned this project veritas video that exposed
[20:39.640 --> 20:45.960]  visor's gain of function virus work watch the censored project veritas video visor does not
[20:45.960 --> 20:53.160]  want you to see and be sure to share it with friends and family and it's on twitter still
[20:53.160 --> 21:00.200]  available there we have uploaded it to band.video as well and of course the good folks at project
[21:00.200 --> 21:09.560]  veritas are like us in that we are free to air in fact james oakief came up with the word distribution
[21:09.560 --> 21:16.520]  by proxy which is what you are now you are now the proxies of truth you are now the proxies of
[21:16.520 --> 21:25.400]  information you are now the proxies of veritas so as this video was going massively viral it's
[21:26.680 --> 21:31.000]  easily been seen a hundred million times all things considered but the numbers on twitter
[21:31.000 --> 21:40.440]  alone have it at just shy of 30 million views last i checked but youtube of course now still run by
[21:40.440 --> 21:49.400]  the deep state swamp american left is censoring the video james oakief announces this breaking youtube
[21:49.400 --> 21:56.520]  has taken down our fiser directed evolution bombshell it had 800 000 views video still exists
[21:56.520 --> 22:03.080]  on twitter with since this post it's more i'm gonna say 30 million views fiser is scrambling today
[22:03.080 --> 22:12.680]  per sources inside how does youtube how much does youtube cost elon musk and so other big
[22:12.680 --> 22:19.320]  accounts on twitter like kim dot com sharing this story as well and guys just for curiosity's sake
[22:19.880 --> 22:29.080]  what is the current number on the project veritas video upload from january 25th on twitter this
[22:29.080 --> 22:36.120]  is the one with the fiser employee sitting at dinner on the grinder date and admitting the
[22:36.120 --> 22:43.880]  directed evolution concept that they may be doing or thinking about doing how they knew the virus
[22:43.880 --> 22:53.320]  came out of the wuhan lab from gain of function research amongst other things so the questions
[22:53.320 --> 23:01.880]  are obvious then who contacted youtube to take the video down is it fiser that has that poll over
[23:01.880 --> 23:11.160]  youtube or was it an agent of the u.s government whether it be fbi or directly from the white house
[23:12.120 --> 23:21.320]  who made the call who made the call and so i don't know if they could put it on the screen but
[23:21.320 --> 23:29.400]  the last i saw the video was at 25 million views on twitter alone and so yeah it's just it's just
[23:29.400 --> 23:39.960]  up over 25 million views and that's just on the one original post from project veritas but okay what
[23:39.960 --> 23:47.640]  is the real issue here that is that that we're facing right now and that's the covid vaccines
[23:47.640 --> 23:53.800]  and killing people and so really you just kind of get a little insight into the type of scum
[23:53.800 --> 24:00.920]  that gets decompartmentalized and works for fiser and again you know part of me kind of feels bad
[24:00.920 --> 24:08.200]  for jordan tristan walker because clearly the guy was in way over his head probably never even belonged
[24:08.200 --> 24:12.760]  in the position he in fact no he definitely didn't just you can tell from his morals alone either
[24:12.760 --> 24:18.920]  because he's literally a liar his own words or because he thinks the stuff that he does at work
[24:18.920 --> 24:23.720]  is funny even though he knows it's evil via his own admissions from the ever undercover videos
[24:23.720 --> 24:29.800]  so jordan walker's only path to redemption now is to come out as a whistleblower and and you
[24:29.800 --> 24:35.240]  know i hope he sees the light i hope he sees the light because you can see in these videos this
[24:35.240 --> 24:42.760]  is a very unhealthy spiritual spiritually this is a sick person morally this person is bankrupt and
[24:42.760 --> 24:46.360]  there is a path to redemption for him and it's right there in front of him maybe he's not even
[24:46.360 --> 24:53.560]  smart enough to take it but aside from the craziness and the full expose into fiser thanks
[24:53.560 --> 24:58.600]  for these videos what's the real story we're facing right now that the covid 19 vaccines
[24:58.600 --> 25:07.240]  have killed at least 50 000 americans that we know of that we know of other
[25:08.440 --> 25:13.880]  individuals that do data analytics and insurance numbers and death toll numbers and all of this
[25:13.880 --> 25:20.120]  other stuff they think the number is actually somewhere around 300 000 americans have died
[25:20.120 --> 25:25.400]  from the covid 19 vaccine now you hear about it when it's a football player or a famous soccer
[25:25.400 --> 25:32.520]  player or a young hockey player because there's a there's a system of record there where you can
[25:32.520 --> 25:37.320]  go find oh this high school hockey player died or oh this professional football player died but
[25:38.120 --> 25:45.400]  you know the the mom that that is a secretary at the school or the the man who works at them
[25:45.400 --> 25:49.080]  is a mechanic at the car shop you're not going to hear about these ones they're just going to be
[25:49.080 --> 25:57.720]  heart attacks they're just going to be aneurysms and my heart breaks vance murphy vance murphy is
[25:57.720 --> 26:07.080]  reporting quote just got my last booster f the haters and this is from a lindsey leno on her
[26:07.080 --> 26:16.040]  facebook account here on her social media account and now she has passed of a cardiac arrest
[26:16.040 --> 26:25.720]  so i i don't i don't really my heart breaks for lindsey leno lindsey leno didn't deserve to die
[26:26.680 --> 26:31.400]  lindsey leno didn't deserve to be lied to and told the vaccine was safe and effective but
[26:32.040 --> 26:37.720]  i guess i'm jumping the shark assuming that a 36 year old woman bragging about her covid 19
[26:37.720 --> 26:42.600]  booster vaccine and then having the number one side effect from the covid 19 booster vaccine
[26:42.600 --> 26:46.920]  taking her life i guess they wouldn't like me to jump to that conclusion would they
[26:51.080 --> 26:51.480]  but no
[26:54.360 --> 27:03.000]  lindsey leno didn't deserve to be lied to about the safety or efficacy of a covid 19 vaccine
[27:03.000 --> 27:14.520]  i feel abandoned service member carolina stanek speaks out about her vaccine injury
[27:15.480 --> 27:20.280]  live interview with the gateway pundit that aired earlier today you can find it on the
[27:20.280 --> 27:27.880]  gateway pundit dot com so many stories i hear every day just like this whether it's just people
[27:27.880 --> 27:35.960]  talking to me or you're watching the news or talk radio it's just everywhere football player
[27:35.960 --> 27:41.720]  collapses suddenly after suffering from cardiac arrest during by stolston cup in norway
[27:44.120 --> 27:51.720]  i would suggest i would suggest these individuals join some of these lawsuits first lawsuit filed
[27:51.720 --> 27:56.280]  against fda for withholding dreadful vaccine safety data that's going to be a big one many many
[27:56.280 --> 28:02.200]  such lawsuits are going on now fiser's responding to the video coming out fiser claims it never
[28:02.200 --> 28:07.000]  conducted gain of function research in response to project veritas bombshell x was a well okay
[28:07.000 --> 28:12.120]  of course they're going to deny it but but here's what they do and we know fouchy was part of this
[28:12.120 --> 28:18.040]  his signatures on all the gain of function but why do i bring up this story woke school officials
[28:18.040 --> 28:22.760]  boast about secretly teaching crt without parental consent and there's undercover videos of them
[28:22.760 --> 28:27.080]  laughing about this how they know what they're doing is wrong how they know they're still
[28:27.080 --> 28:31.000]  teaching critical race theory they just rename it why am i tying this in folks this is the left
[28:31.000 --> 28:36.440]  psychology this is the political americans left psychology just like you saw in the undercover
[28:36.440 --> 28:41.000]  video with the school board just like you saw in the undercover video with the fiser executive
[28:41.000 --> 28:47.800]  they will knowingly consciously deceive you and lie to you for their political agenda do you
[28:47.800 --> 28:53.560]  understand this now you have to understand this i know you have friends and family that might be
[28:53.560 --> 28:58.360]  on the american left but it's just true they will lie for their political agenda
[29:01.160 --> 29:07.000]  i talk a lot about the great successes info wars this had i don't think anybody can deny it and it
[29:07.000 --> 29:12.520]  is because of listeners and viewers supporting us when we talk about the crew at info wars people
[29:12.520 --> 29:18.760]  behind the scenes the researchers the writers they really have been the mvps in this fight
[29:19.400 --> 29:24.120]  and we look at harrison smith and oh and shroyer and the hard work they engage in every day
[29:24.120 --> 29:29.800]  five six seven days a week it's really just incredible so for myself the whole info wars
[29:29.800 --> 29:35.080]  crew i thank you for your past support i only encourage you now to realize that info wars
[29:35.080 --> 29:39.640]  can not stay on air if you do not support us i know you spread the word i know you pray for us
[29:39.640 --> 29:44.840]  that's wonderful keep doing it but most viewers and listeners never go to info wars store dot com
[29:44.840 --> 29:49.000]  and you never buy great products that enrich and empower your life all at the same time keep us on
[29:49.000 --> 29:52.920]  air i know that less than one percent of our listeners actually go buy products info wars
[29:52.920 --> 29:57.560]  store dot com if just one percent more of you took action and went to info wars store dot com
[29:57.560 --> 30:01.560]  our funding problems will be over please take action now they want the planet for themselves
[30:01.560 --> 30:11.000]  my friends if we're so stupid we let them kill us we deserve it except the children don't deserve
[30:11.000 --> 30:33.400]  it do they and i looked and behold a pale horse and he sat on the horse was named death another
[30:33.400 --> 30:41.800]  translation is i looked and behold a pale horse and his name that sat on him was death and hell
[30:41.800 --> 30:49.240]  followed with him a book of revelation very serious times to be alive folks they're not just doing
[30:49.240 --> 30:53.880]  this is one off this is the beginning of the rest of our lives this is our fight and i'm proud of
[30:53.880 --> 30:58.280]  humanity the globalists even admit it's leaked they're very upset that they're losing and and
[30:58.280 --> 31:04.040]  that this hasn't gone the way they thought it would in the year 2000 alex jones's film dark secrets
[31:04.040 --> 31:10.920]  inside bohemian grove showed the world how our so-called elite leaders practice mock ritual
[31:10.920 --> 31:20.760]  sacrifices in private in 2007 alex jones releases endgame exposing the world elites plans for
[31:20.760 --> 31:27.720]  covertly using biological weapons against all of mankind and by the time they launched their attack
[31:27.720 --> 31:35.800]  in 2020 alex jones's info wars and our audience were there to warn the people of the deadly vaccines
[31:35.800 --> 31:42.920]  that we knew were coming this is why they attack us this is why we need your support because we tell
[31:42.920 --> 31:51.400]  the truth alex jones was right join the resistance buy products donate to the cause share the links
[31:51.400 --> 31:59.320]  join us in the fight for freedom and help us defeat the new world order
[32:00.120 --> 32:04.520]  ladies and gentlemen info wars live products have always been the highest quality
[32:04.520 --> 32:10.440]  triple tested and you've seen the right reviews but doing deep research we made contact with the top
[32:10.440 --> 32:15.880]  company in the united states and it turned out they were supplying almost all the raw materials
[32:15.880 --> 32:20.680]  to the companies that we were already using so we've gone directly to the source and that
[32:20.680 --> 32:26.040]  means we can give you lower prices on the very same high quality supplements and in some cases
[32:26.040 --> 32:35.320]  even better introducing info wars md at info wars store dot com info wars md exclusively at info
[32:35.320 --> 32:44.280]  war store dot com has 10 new products tumoric 95 libido rx better mood nitric boost much room max
[32:44.280 --> 32:50.680]  and etropic angels fatality collagen superfood greens and more just taking superfood greens this
[32:50.680 --> 32:56.040]  is the highest quality greens out there and it's at a price way way lower than the same product on
