[00:00:03.752 --> 00:00:04.893]  He just signed it!
[00:06:43.698 --> 00:06:48.860]  And right now in Washington, D.C., we have seen a fall of the Republic.
[00:06:48.860 --> 00:06:57.964]  Get your copy of Fall of the Republic on DVD at InfoWars.com or watch it online right now in super high quality at PrisonPlanet.tv.
[00:07:02.102 --> 00:07:03.303]  This is not a drill.
[00:07:03.303 --> 00:07:05.825]  Repeat, this is not a drill.
[00:07:05.825 --> 00:07:07.726]  Gun sales are on a staggering pace.
[00:07:07.726 --> 00:07:14.931]  Gun prices are going through the roof and that means desperate, vicious criminals now want your guns and will do anything to get them.
[00:07:14.931 --> 00:07:19.334]  Now a new book reveals powerful secrets for hiding your guns from thieves and looters.
[00:07:19.334 --> 00:07:29.662]  You'll learn step-by-step, battle-hardened techniques, where to hide your guns so criminals will never find them, how to create the perfect hiding place, as well as the places you should never hide your guns.
[00:07:30.322 --> 00:07:31.463]  Any circumstance.
[00:07:31.463 --> 00:07:38.688]  These and other closely guarded gun caching secrets are guaranteed to keep your weapons safe and out of sight when the going gets tough.
[00:07:38.688 --> 00:07:39.368]  But listen up.
[00:07:39.368 --> 00:07:45.632]  For security reasons, the Hide Your Guns book and even the website may disappear without warning at any time.
[00:07:45.632 --> 00:07:47.474]  Go to hideyourguns.com.
[00:07:47.474 --> 00:07:49.635]  That's hideyourguns.com.
[00:07:49.635 --> 00:07:50.135]  Or call 877-327-0365.
[00:07:50.135 --> 00:07:52.017]  Before they come for your guns.
[00:07:52.017 --> 00:07:52.697]  Hideyourguns.com right now.
[00:08:01.992 --> 00:08:04.213]  He's the T-Rex of political talk.
[00:08:04.213 --> 00:08:11.515]  Alex Jones on the GCN Radio Network.
[00:08:11.515 --> 00:08:15.196]  Ten minutes ago, Barack H. Obama, a.k.a.
[00:08:15.196 --> 00:08:28.920]  Barry Sotero, that's his real name, and we got Attorney Phil Berg, father of the birthers, joining us in the last hour today, to break down the latest developments with Barry Sotero.
[00:08:30.626 --> 00:08:32.909]  Barry Sitaro signed the bill.
[00:08:32.909 --> 00:08:37.334]  It had already passed the Senate weeks ago.
[00:08:37.334 --> 00:08:42.119]  It passed the House, it went back to the Senate, and then to the President last night.
[00:08:42.119 --> 00:08:45.263]  He signed it about 11 minutes ago.
[00:08:45.263 --> 00:08:50.269]  A minute or so shy of noon Eastern Time.
[00:08:50.269 --> 00:08:51.210]  High noon.
[00:08:53.177 --> 00:09:01.421]  And those crooks were so satisfied and they chanted, yes we can, yes we did.
[00:09:01.421 --> 00:09:07.465]  And they're going to chant, yes we're going to shut down your factory, yes we're going to home inspect you under the greenhouse gas taxes.
[00:09:07.465 --> 00:09:10.246]  They're now back with that.
[00:09:10.246 --> 00:09:11.927]  Why not go for broke?
[00:09:11.927 --> 00:09:15.129]  And they're going to chant, yes we can, yes we did, ban your guns.
[00:09:16.448 --> 00:09:23.214]  And they're going to chant, yes we can, yes we did, staged terror attacks to blame it on the American people and use Northcom on us.
[00:09:23.214 --> 00:09:27.578]  These are hardcore criminals.
[00:09:27.578 --> 00:09:40.310]  And remember, the Republican Party, actually for the first six years of Bush's administration, had the House, the Senate, and the Executive.
[00:09:40.310 --> 00:09:42.251]  Did you see abortion get repealed?
[00:09:42.251 --> 00:09:42.432]  No.
[00:09:43.561 --> 00:09:45.703]  Did you see the government triple in size?
[00:09:45.703 --> 00:09:46.884]  Yes.
[00:09:46.884 --> 00:09:51.907]  Did you see the Democrats vote with the Republicans for the Patriot Act to be used against the American people?
[00:09:51.907 --> 00:09:55.050]  Did you see the banks line up to rob us?
[00:09:55.050 --> 00:10:05.198]  And did you see Obama, like a relay runner, grab the baton from Bush with perfect execution and run it across the finish line?
[00:10:05.198 --> 00:10:06.999]  Absolutely.
[00:10:06.999 --> 00:10:11.543]  So Republican, mainline Republican system are going to make hay out of this.
[00:10:13.356 --> 00:10:26.142]  And no doubt they're going to get control of the House this year, maybe even the Senate within the next two years, three years, and the presidency.
[00:10:26.142 --> 00:10:42.771]  But if we don't make this the number one issue to repeal the EPA's executive fiat, where they're coming out with all their new taxes and regulation on the greenhouse gas baloney, and if we don't move
[00:10:45.373 --> 00:10:55.597]  To fully dismantle this government takeover of health care, this country is done.
[00:10:55.597 --> 00:11:04.882]  Today I want to go over in more detail what's in the bill, but I also want to talk about solutions to defeat it.
[00:11:04.882 --> 00:11:09.744]  No longer the bill, what's in this law.
[00:11:09.744 --> 00:11:11.384]  Now law.
[00:11:11.384 --> 00:11:13.605]  Totally unconstitutional.
[00:11:13.605 --> 00:11:14.526]  Totally illegal.
[00:11:15.720 --> 00:11:26.609]  And look, having 38 states, 12 have already said they're going to file, so the media is saying it's only 12, but 38 states have said they're going to block it.
[00:11:26.609 --> 00:11:37.618]  It's not enough to have 38 states file lawsuits with the federal government in their federal whorehouse court that it's going to go to in D.C.
[00:11:37.618 --> 00:11:38.239]  That's not enough.
[00:11:42.025 --> 00:11:43.827]  In fact, that's not even the beginning.
[00:11:43.827 --> 00:11:47.691]  The states need to all be called into emergency session.
[00:11:47.691 --> 00:11:50.654]  Start calling your state if they're not in session right now.
[00:11:50.654 --> 00:12:02.206]  You tell them block whatever other garbage bills they're trying to pass to raise taxes or hire more cops or open the borders up or whatever treason they're engaged in.
[00:12:02.206 --> 00:12:04.649]  You tell them drop all that right now.
[00:12:07.617 --> 00:12:16.922]  And start state-level recalls of your Senators and House members.
[00:12:16.922 --> 00:12:28.187]  You call for your states to go into emergency session and pass very strong laws with great white shark teeth in their mouth.
[00:12:30.862 --> 00:12:35.584]  We've got the Bill of Rights, we've got the Constitution, we've got the state laws, we've got the 9th and 10th Amendment.
[00:12:35.584 --> 00:12:47.968]  You tell the states, you pass laws with serious teeth in them, that no federal agency will enforce any of this unconstitutional criminality.
[00:12:47.968 --> 00:12:53.069]  And look, if they want to try to march troops into the courthouses and statehouses, let them try.
[00:12:53.069 --> 00:12:57.671]  This isn't some moral issue where the feds could march in because they wouldn't let black kids into a school.
[00:12:58.729 --> 00:13:02.870]  CNN always plays clips of that and says, let the states try to block this.
[00:13:02.870 --> 00:13:11.973]  And sure, they'll rent a mob of illegal aliens and welfare people to stand and chant in front of the military to make it look like the people want this.
[00:13:11.973 --> 00:13:27.278]  But the real people of America, black, white, old, young, it doesn't matter, Hispanic, Asian, anybody who isn't a parasite and who's free market and believes in a free society, anyone who doesn't want to be slaves, and that's what this is, will be out there to meet them.
[00:13:27.278 --> 00:13:28.278]  And it's going to take a fight.
[00:13:29.753 --> 00:13:31.655]  But the feds will back off.
[00:13:31.655 --> 00:13:35.079]  They're not going to call the army out to do this.
[00:13:35.079 --> 00:13:37.001]  The feds aren't going to get away with this.
[00:13:37.001 --> 00:13:42.727]  You take your states back and you say, no, our state is a free state.
[00:13:42.727 --> 00:13:44.489]  This bill is discriminatory.
[00:13:44.489 --> 00:13:46.211]  This bill was passed illegally.
[00:13:46.211 --> 00:13:48.153]  It's openly unconstitutional.
[00:13:48.153 --> 00:13:50.435]  This is as bad as what Europe has.
[00:13:50.435 --> 00:13:51.777]  But it isn't socialism.
[00:13:55.003 --> 00:14:08.268]  In Europe, they take a big part of the working person's paycheck and give you supposed watered-down, cruddy health care where you wait 18 months for cancer surgery and die, or you go for a month without being given a bath.
[00:14:08.268 --> 00:14:09.629]  These are all confirmed cases.
[00:14:09.629 --> 00:14:11.329]  They just treat you like absolute garbage.
[00:14:11.329 --> 00:14:13.770]  The bureaucrats and big banks get all the money.
[00:14:13.770 --> 00:14:18.212]  The banks take your money for health care and give about 10% on average for actual health care.
[00:14:18.212 --> 00:14:18.993]  That's how this works.
[00:14:18.993 --> 00:14:19.893]  This is just a new tax.
[00:14:22.719 --> 00:14:32.734]  And federal regulatory control over all the states.
[00:14:32.734 --> 00:14:35.538]  And they're coming in at every level.
[00:14:35.538 --> 00:14:36.740]  And we're going to go over it today.
[00:14:40.762 --> 00:14:53.766]  But the solution is an aggressive campaign at the state level and you cannot let mainline Republicans who were bought and paid for by the very same insurance companies that wrote this legislation for the banking system that owns them.
[00:14:53.766 --> 00:14:58.487]  You have got to get people in like Rand Paul.
[00:14:58.487 --> 00:15:01.128]  You have got to run for Congress and Senate yourself.
[00:15:01.128 --> 00:15:02.548]  You've got to run for Statehouse.
[00:15:02.548 --> 00:15:05.689]  You've got to support people that are running who swear
[00:15:06.772 --> 00:15:13.939]  To stand in front of the government's tanks, this illegitimate criminal government's tanks, if need be.
[00:15:13.939 --> 00:15:21.847]  It is time to say no, this is the United States, this is not Soviet or Communist Russia.
[00:15:21.847 --> 00:15:23.728]  Or China.
[00:15:23.728 --> 00:15:25.010]  But this is even worse than that.
[00:15:26.198 --> 00:15:32.283]  Sure, the communists always kept most of the money and stole it for themselves and got everybody dependent and fighting over scarce resources.
[00:15:32.283 --> 00:15:41.990]  Government comes in, makes the resources more scarce so then they can dole them out to people to control everyone and become fabulously wealthy and powerful for themselves and special interest.
[00:15:41.990 --> 00:15:49.775]  But this is even worse because it doesn't even have any free health care.
[00:15:49.775 --> 00:15:51.517]  This was written by the insurance companies.
[00:15:52.094 --> 00:15:53.255]  On record!
[00:15:53.255 --> 00:16:00.878]  But they ran that little scam where the media kept saying, the insurance companies don't want this.
[00:16:00.878 --> 00:16:10.341]  Our job is to get the Wall Street Journal articles out, and the statements by the lobbyists, and the Businessweek articles.
[00:16:10.341 --> 00:16:13.062]  It's all out there, but they all spin it like it's a good thing.
[00:16:13.062 --> 00:16:14.523]  They report it dryly.
[00:16:14.523 --> 00:16:15.743]  That, hey, this bill isn't too bad.
[00:16:15.743 --> 00:16:16.804]  The insurance companies wrote it.
[00:16:17.731 --> 00:16:25.780]  We have to get that message out, because the Republicans are going to come out and say, Obama's a commie, and the Kremlin's running him.
[00:16:25.780 --> 00:16:28.302]  No, Goldman Sachs, JPMorgan Chase are.
[00:16:28.302 --> 00:16:30.545]  That's who pumped a billion bucks into this guy.
[00:16:32.244 --> 00:16:36.486]  They're going to pose like it's communism, which is bad enough, but it's not.
[00:16:36.486 --> 00:16:40.349]  And, oh, you know, we've got to go after the Democrats.
[00:16:40.349 --> 00:16:42.810]  You remove the Democrats, you're just going to have the Republicans.
[00:16:42.810 --> 00:16:46.952]  You have to remove the entire lot of establishment types.
[00:16:46.952 --> 00:16:57.258]  Because the Republicans are going to go in, they'll probably never even repeal it, because you've got to have 60 senators and a two-thirds majority in the House.
[00:16:57.258 --> 00:16:58.259]  A super majority.
[00:17:01.707 --> 00:17:07.391]  Oh, they put it in there where these shackles are bolted on and welded on.
[00:17:07.391 --> 00:17:13.395]  And Houdini's gonna have trouble getting out of this.
[00:17:13.395 --> 00:17:14.316]  At the federal level.
[00:17:14.316 --> 00:17:17.878]  You just have the states say no, and the states can do that!
[00:17:17.878 --> 00:17:18.619]  You know, the South...
[00:17:19.804 --> 00:17:23.305]  The Civil War was not about slavery, and Abraham Lincoln wrote about that and spoke about that.
[00:17:23.305 --> 00:17:31.668]  It was about... They almost had a war when Andrew Jackson was president, but because he was a Southerner, he could talk to the South and stop the war that the British were manipulating.
[00:17:31.668 --> 00:17:33.689]  But the South had real grievances.
[00:17:33.689 --> 00:17:44.032]  It was over higher taxes on tobacco and cotton and things like that, and corn and wheat, than on goods in the North.
[00:17:48.533 --> 00:17:52.414]  It was on the federal government telling the states what to do.
[00:17:52.414 --> 00:18:01.035]  They just lie to you in the history books that they teach the kids in school, any real, even mainline history book admits the truth, that it was about trade and about taxes.
[00:18:01.035 --> 00:18:09.737]  And the feds came in and they burned down every major city in the South and murdered hundreds of thousands.
[00:18:09.737 --> 00:18:16.138]  And since the 1860s, then they put troops in all the towns and then by 1878, the South had rebelled.
[00:18:19.761 --> 00:18:21.922]  And the feds have been thrown out.
[00:18:21.922 --> 00:18:29.106]  Two regional governors that were put in over Texas were kicked out at gunpoint.
[00:18:29.106 --> 00:18:31.488]  Down the street from where I sit.
[00:18:31.488 --> 00:18:36.731]  Oh, they don't put that in the kids textbooks, though it's in mainline history.
[00:18:36.731 --> 00:18:38.632]  And so that's what posse commentatus is.
[00:18:38.632 --> 00:18:42.254]  You don't have federalized federal police and troops running around here.
[00:18:44.448 --> 00:18:47.671]  But now they've overridden that, and we're right back in the same place.
[00:18:47.671 --> 00:18:49.172]  This is about domination.
[00:18:49.172 --> 00:18:52.415]  This has nothing to do with people wearing turbans that live in caves.
[00:18:52.415 --> 00:18:54.416]  And I think you're starting to figure that out.
[00:18:54.416 --> 00:19:00.582]  So, number one, we have to have the states nullify this and pass laws against it.
[00:19:00.582 --> 00:19:04.465]  Private lawsuits for discrimination need to be passed.
[00:19:04.465 --> 00:19:06.386]  People need to get those going.
[00:19:06.386 --> 00:19:08.108]  The states' lawsuits.
[00:19:08.108 --> 00:19:08.568]  All of it.
[00:19:08.568 --> 00:19:10.530]  Because this is illegal.
[00:19:10.530 --> 00:19:12.572]  And you've got to go after politically.
[00:19:13.444 --> 00:19:18.645]  Go to all the events they're at, scream them down, shout them down.
[00:19:18.645 --> 00:19:26.027]  Every event these Democrats go to, everywhere they go, church, it doesn't matter, you get in their face, you follow them everywhere.
[00:19:26.027 --> 00:19:29.867]  They are public servants, not authorities or officials, and you let them know.
[00:19:29.867 --> 00:19:35.848]  They were up there smiling, chanting, yes we can, yes we did, and smiling like they just robbed a bank.
[00:19:35.848 --> 00:19:38.269]  What a pack of dirty, low-down criminals.
[00:19:39.710 --> 00:19:47.075]  And again, all the real conservatives running as Republicans and starting to win are being targeted by the Republican Party.
[00:19:47.075 --> 00:19:50.957]  You've got to take the Republican Party back, and I know a lot of Democrats are mad.
[00:19:50.957 --> 00:19:53.559]  You've got to take your party back.
[00:19:53.559 --> 00:19:58.502]  Dennis Kucinich told the truth and said this was a giant robbery for insurance companies, but he got bought off.
[00:19:58.502 --> 00:20:00.943]  He needs to go!
[00:20:00.943 --> 00:20:07.708]  How would you like to own two of the best pair of gloves in the world for $19.95, shipping and handling, and get two pairs for free?
[00:20:14.964 --> 00:20:19.705]  For only $19.95, you can own four pairs of the famous Maxfit gloves.
[00:20:19.705 --> 00:20:21.706]  Call right now at 877-552-5206.
[00:20:21.706 --> 00:20:21.826]  Wow!
[00:20:21.826 --> 00:20:29.728]  Whether you're working in your garden, moving furniture, how would you like to improve that golf swing?
[00:20:29.728 --> 00:20:31.449]  Maxfit has thousands of uses.
[00:20:31.449 --> 00:20:33.389]  It helps to grip arthritic hands.
[00:20:33.389 --> 00:20:35.650]  It even helps me play my video games better.
[00:20:35.650 --> 00:20:35.810]  Wow!
[00:20:35.810 --> 00:20:42.652]  From the moment you slip your hand into a Maxfit glove, you'll experience the ultimate in grip, comfort, dexterity, and health.
[00:20:43.192 --> 00:20:50.596]  For more information on the next generation of FemGlove technology, go to MaxfitGloves.com and use the promo code RADIO.
[00:20:50.596 --> 00:20:52.297]  Call right now at 877-552-5206.
[00:20:52.297 --> 00:20:53.738]  Wow, Maxfit.
[00:20:53.738 --> 00:20:56.019]  Make sure.
[00:20:56.019 --> 00:20:59.081]  Hands go.
[00:20:59.081 --> 00:21:02.363]  Wow!
[00:21:02.363 --> 00:21:06.385]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:21:06.385 --> 00:21:09.647]  This is our last chance to not relive history.
[00:21:09.647 --> 00:21:11.048]  As we're finishing off this agenda,
[00:21:11.764 --> 00:21:14.445]  They'll be pulling the rug from underneath Americans at home.
[00:21:14.445 --> 00:21:20.806]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[00:21:20.806 --> 00:21:26.007]  I think it's incumbent upon all of us as American citizens to pay attention.
[00:21:26.007 --> 00:21:35.989]  Fall of the Republic identifies the enemies of our nation, the criminal offshore cartel, hell-bent on destroying sovereignty and on its ashes constructing world government.
[00:21:36.109 --> 00:21:38.451]  Tim Geithner, Bernanke, they're arsonists!
[00:21:38.451 --> 00:21:40.052]  They're asking for more matches!
[00:21:40.052 --> 00:21:42.514]  And the Congress is saying, who do we make the check out to?
[00:21:42.514 --> 00:21:44.635]  Today seems like nobody does care.
[00:21:44.635 --> 00:21:49.779]  And right now in Washington, D.C., we have seen a fall of the Republic.
[00:21:49.779 --> 00:21:54.783]  Get your copy of Fall of the Republic on DVD at InfoWars.com.
[00:21:54.783 --> 00:21:58.906]  Or watch it online right now in super high quality at PrisonPlanet.tv.
[00:22:00.876 --> 00:22:07.558]  On the average, Americans work between 45 to 50 years hoping to build up enough wealth to retire and live out their golden years.
[00:22:07.558 --> 00:22:15.661]  Unfortunately, with taxation, the rising cost of food, energy, housing, and medical, many retirees are forced to live below the poverty line.
[00:22:15.661 --> 00:22:21.243]  Is this a flaw-free enterprise, or is our monetary unit we call the Federal Reserve Note forcing us into perpetual debt
[00:22:21.583 --> 00:22:23.824]  Ensuring inflation and higher taxes.
[00:22:23.824 --> 00:22:28.925]  These questions and more can be answered by reading G. Edward Griffin's book, The Creature from Jekyll Island.
[00:22:28.925 --> 00:22:34.147]  Congressman Ron Paul states, it's what every American needs to know about central bank power.
[00:22:34.147 --> 00:22:38.488]  A gripping adventure into the secret world of international banking cartel.
[00:22:38.488 --> 00:22:39.588]  Hi, this is Ted Anderson.
[00:22:39.588 --> 00:22:44.090]  I will give a silver dollar from the early 1900s to anyone who purchases this book.
[00:22:44.090 --> 00:22:45.450]  Call 1-800-686-2237 and order a copy today.
[00:22:48.971 --> 00:22:51.977]  It's critical that the public be made aware of the system.
[00:22:51.977 --> 00:22:53.761]  Call and order your copy today at 1-800-686-2237.
[00:22:53.761 --> 00:22:53.982]  That's 1-800-686-2237.
[00:23:00.603 --> 00:23:00.943]  Fact.
[00:23:00.943 --> 00:23:02.525]  4 million people in the U.S.
[00:23:02.525 --> 00:23:04.668]  have hepatitis C due to liver damage.
[00:23:04.668 --> 00:23:05.188]  Fact.
[00:23:05.188 --> 00:23:08.872]  Cirrhosis of the liver is the 8th leading cause of death among Americans.
[00:23:08.872 --> 00:23:09.493]  Fact.
[00:23:09.493 --> 00:23:14.999]  Alcohol, many prescription drugs, food additives, pesticides and environmental toxins damage the liver.
[00:23:14.999 --> 00:23:15.700]  Fact.
[00:23:15.700 --> 00:23:19.464]  1 in 10 Americans is or has been affected by liver or gallbladder disease.
[00:23:19.684 --> 00:23:24.369]  In fact, anything that keeps the liver from doing its job can put your life in danger.
[00:23:24.369 --> 00:23:32.216]  Protect your liver by visiting researchedherbs.com and learning more about the world's number one selling all natural liver support formula, LIV52.
[00:23:32.216 --> 00:23:43.267]  It is the only herbal liver supplement that is backed by over 190 published clinical trials and endorsed by a quarter of a million healthcare professionals in 76 countries worldwide.
[00:23:43.547 --> 00:23:45.188]  Don't wait to protect your liver.
[00:23:45.188 --> 00:23:47.809]  Visit us at ResearchedHerbs.com or call 1-800-973-1486.
[00:23:47.809 --> 00:23:48.930]  That's 1-800-973-1486 or go to ResearchedHerbs.com.
[00:23:48.930 --> 00:23:51.231]  All the goodness with none of the side effects.
[00:24:11.994 --> 00:24:16.758]  The Democratic Party is so lawless, they tried to pass this bill without even voting on it.
[00:24:16.758 --> 00:24:20.501]  But they dropped that Saturday.
[00:24:20.501 --> 00:24:27.066]  Obama, about 30 minutes ago, or a little less, signed the bill into law.
[00:24:27.066 --> 00:24:27.907]  It is law.
[00:24:27.907 --> 00:24:31.910]  And it is criminal.
[00:24:31.910 --> 00:24:39.717]  So the bottom line here is, if we let the Republican Party manage the supposed reversal
[00:24:41.357 --> 00:24:57.192]  Of all of this, if we let them play the part of our saviors, they are going to keep most of this legislation in place because they work for the same banks that own the insurance companies that wrote this legislation.
[00:24:57.192 --> 00:25:04.879]  If we fight this as if we're against giving people free health care, the dumbed-down mass out there, a large percentage of people,
[00:25:06.343 --> 00:25:08.885]  We'll go along with this and not understand the debate.
[00:25:08.885 --> 00:25:26.142]  If we point out that both parties are involved, this is a giant hoax, a scam, and that the insurance companies wrote it, and if we quote to the Democrats what Howard Dean and what Dennis Kucinich and others said when they told the truth before they flip-flopped, we can defeat this.
[00:25:26.142 --> 00:25:31.227]  If we explain to people that all the new taxes, all the new regulations, all the new control,
[00:25:36.257 --> 00:25:42.704]  That is coming down on them is to pay the banks money that they've swindled, then we can defeat this.
