[00:00.000 --> 00:09.000]  media. Government cover-ups. You want answers? Well, so does he. He's Alex Jones on the GCN
[05:09.000 --> 05:22.000]  For thousands of years, their dark order grew. Now as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[05:22.000 --> 05:28.000]  For the first time in history, the elite's plan for world government is blown wide open.
[05:28.000 --> 05:32.000]  You will learn the secret that drives the entire New World Order agenda.
[05:32.000 --> 05:35.000]  Builder Bird is making great progress toward a world government.
[05:35.000 --> 05:39.000]  They have no idea, they're not after money, they have all the money they need, they're after power.
[05:39.000 --> 05:48.000]  Order in-game on DVD at prisonplanet.com or infowars.com, or watch it online right now at prisonplanet.tv.
[05:48.000 --> 06:06.000]  In-game, blueprint for global enslavement. You have been warned.
[06:23.000 --> 06:32.000]  We would like to help you understand how these things are coming to pass by offering you an absolutely free one-year subscription to NewsWatch Magazine.
[06:32.000 --> 06:53.000]  Just call our toll-free number 1-800-516-8736. That's 1-800-516-8736 to request your subscription. Call now, operators are standing by to receive your call.
[06:53.000 --> 07:03.000]  Are you fed up with all the side effects of chemicals in your shampoos and detergents? Even fragrances can signal some 4,000 separate ingredients, most of which are synthetic.
[07:03.000 --> 07:08.000]  Hi, folks, Alex Jones here. Why not go back to basics and be safe with Calbin Pure Soaps?
[07:08.000 --> 07:14.000]  They're all natural and you'll save some 85% the money you're spending for your cleaning products now.
[07:14.000 --> 07:20.000]  Marty Schachter founded Calbin Subcompany in 1947 and provided products for health institutions.
[07:20.000 --> 07:27.000]  Now, Calbin Soaps are available to you and me. Triple concentrated for all your cleaning needs, from bathing in laundry to dishes, hair and more.
[07:27.000 --> 07:34.000]  No harsh chemicals, no animal testing. I use them and love them, knowing they're all natural and safe and I save big time.
[07:34.000 --> 07:53.000]  Call Calbin Pure Soap at 1-800-340-7091. That's 1-800-340-7091 or log on to 5starsoap.com now for a free catalog. Again, that number, 1-800-340-7091 at 5starsoap.com for all your cleaning needs.
[07:53.000 --> 08:00.000]  He's the T-Rex of political talk. Alex Jones on the GCN Radio Network.
[08:00.000 --> 08:09.000]  Well, he needs no introduction. He's Jesse Ventura. He's going to be with us for most of this hour. Very thankful for that.
[08:09.000 --> 08:18.000]  And I was going to get into his book being on the New York Times bestselling list. And I was going to get into his run for the Senate.
[08:18.000 --> 08:25.000]  Is he really going to do it? We know he's looking at that when we get a final answer. And we will cover that in the second half of the interview after the bottom of the hour.
[08:25.000 --> 08:33.000]  But out of the gates, he brought up 9-11. Now, I have to say, Governor Ventura, I have never seen anyone. And I said this on air.
[08:33.000 --> 08:43.000]  My whole staff said this. All the emails we got said it. I've never seen anyone trounce Sean Hannity like that just from a position of strength, a position of knowledge.
[08:43.000 --> 08:50.000]  When he says, hey, we don't stage the news. We're not told what to say. And you said, oh, you really want to cover Ann and Nicole Smith for six months.
[08:50.000 --> 08:58.000]  And he just looked like a cat that had been caught eating the canary. He looked totally guilty and turned red faced and smiled like a Cheshire cat.
[08:58.000 --> 09:07.000]  I mean, it's asinine. It's come out of the Pentagon's planning propaganda. They have hundreds of people in the payroll claiming they're not putting out this info about the war.
[09:07.000 --> 09:14.000]  We know there's propaganda in media. We know they have talking points. They have talking points to attack 9-11 truthers.
[09:14.000 --> 09:23.000]  But I have to tell you, you absolutely kicked Hannity's butt. I've never seen anything like it. He was speechless.
[09:23.000 --> 09:33.000]  Well, you know, I'm going to give him his due. I actually found him on and off camera the day that I was there. Kind of enjoyable.
[09:33.000 --> 09:41.000]  And I know that seems weird to say. It's because I think that with me, he took a slightly different posture than he did with most people.
[09:41.000 --> 09:53.000]  Well, he knows. The thing is, they want me on later this month, but it won't be in the studio. I fully expect them to be far more aggressive with me when I'm not there in person.
[09:53.000 --> 10:03.000]  But it's not just that they weren't being aggressive. Everything he threw at you, you totally turned around on him. And I've told my listeners that is now the textbook example of how to deal with these people.
[10:03.000 --> 10:11.000]  Well, I deal with it the only way I know how, and that's kind of pulled the strap the years back and pulled the door ahead.
[10:11.000 --> 10:22.000]  I'm that way about things. And the truth of the matter was I worked in that business. I know what goes on because I thought it myself when I worked at MSNBC.
[10:22.000 --> 10:30.000]  Every day they would send me down the topics they wanted on the show after telling me that my show I could have complete control of.
[10:30.000 --> 10:40.000]  Well, there were topics that, yes, I remember distinctly the one was the murder in California of the pregnant girl.
[10:40.000 --> 10:41.000]  Yes.
[10:41.000 --> 10:53.000]  And I mean, that's important to California, but there's 10,000, 12,000 murders a year that take place. How is one more important than another in this country?
[10:53.000 --> 11:02.000]  And those are local stories that should be dealt with with local media. They are not national stories, nor should they be made national stories.
[11:02.000 --> 11:04.000]  They're national inquirer stories.
[11:04.000 --> 11:05.000]  Well, we know what they do.
[11:05.000 --> 11:07.000]  They do those strictly to get ratings.
[11:07.000 --> 11:13.000]  I was about to say, and it fills up the news time with these issues that don't affect the power brokers.
[11:13.000 --> 11:17.000]  Meanwhile, there's no time to talk about how three more US troops died today.
[11:17.000 --> 11:26.000]  Yeah, exactly. They fill it up with this God, God, Bologna. And the bad part is we as a culture are accepting it.
[11:26.000 --> 11:36.000]  But hopefully the listeners that listen to you and the internet are very dangerous to that because it's becoming more and more powerful all the time, as we know it.
[11:36.000 --> 11:41.000]  Rest assured, the internet will be the next thing the government will try to control.
[11:41.000 --> 11:47.000]  By the way, Joe Lieberman has called for federal control over the internet.
[11:47.000 --> 11:56.000]  He wrote a letter to Google's head and said that they need a self-censor and that the government would give them a list of things that weren't allowed to be covered.
[11:56.000 --> 12:05.000]  Thank God Google said no, but they're talking about taxing the web, regulating it, making you have a IP address that certified, making you thumb scan to get online.
[12:05.000 --> 12:07.000]  What's your view on that, Governor?
[12:07.000 --> 12:16.000]  I think that's horrible. You know, to me, we better wake up. You know, oh, guess what? I got a great story for you that'll tie right in.
[12:16.000 --> 12:21.000]  I just came across the Mexican border from Mexico to the US, right?
[12:21.000 --> 12:22.000]  Yes, sir.
[12:22.000 --> 12:29.000]  And this will tie into what you just talked about. All through Mexico, I was waved through every military stop.
[12:29.000 --> 12:39.000]  They have now down there what are called hassle-free zones, where US citizens can drive and you won't be hassled by the federalies or any of that stuff.
[12:39.000 --> 12:43.000]  Who want their little bite? They're Morditas.
[12:43.000 --> 12:53.000]  Well, but the point of the matter was I wasn't stopped until the US border, and they stopped me. I crossed at Megalus by below Tucson.
[12:53.000 --> 13:02.000]  And when they stopped me, they recognized who I was. I drive an RV. They sent me over to the inspection area.
[13:02.000 --> 13:13.000]  And I was inspected and he knew who I was. Guess what they confiscated from me?
[13:13.000 --> 13:14.000]  What?
[13:14.000 --> 13:20.000]  This is Homeland Security for you. My dog's dog food.
[13:20.000 --> 13:23.000]  Keeping it safe from al-Qaeda. Gotta stop that dog food.
[13:23.000 --> 13:28.000]  Now, here's the thing that troubled me. This was dog food. I have a very special dog.
[13:28.000 --> 13:33.000]  And I carry the dog food from Minnesota to Mexico and back and I bring enough.
[13:33.000 --> 13:41.000]  And so the dog food was purchased in the United States. It just was taken out of its original wrapper.
[13:41.000 --> 13:44.000]  Well, they had to have authority over it.
[13:44.000 --> 13:53.000]  If I word, Alex, when I said that to them and said, but this is United States dog food, it didn't matter that I vouched for it.
[13:53.000 --> 14:03.000]  And the fact that only my dog would be eating it. It wasn't like I was bringing in, you know, 30 cartons worth of Mexican dog food.
[14:03.000 --> 14:07.000]  I'm a private vehicle carrying dog food and they confiscated it.
[14:07.000 --> 14:15.000]  Well, the point is that criminals are running wild, murder and crime is way up and meanwhile Homeland Security is taking over almost every federal agency.
[14:15.000 --> 14:24.000]  And you have a former governor, you know, an individual who is well known to everybody and they had to have that little enforcement.
[14:24.000 --> 14:29.000]  That little, we're the boss. You did something wrong. They're training Americans how to be slaves.
[14:29.000 --> 14:39.000]  I don't know about that, but I thought it was utterly ridiculous that they confiscate dog food from you when you when you state that it originated here.
[14:39.000 --> 14:42.000]  What about your word? Doesn't that mean anything anymore today?
[14:42.000 --> 14:52.000]  No, it means nothing to them. Let's go back, Governor, to when out of the gates you talked about the media attacking you, but the media saying how dare you question the official 9-11 story.
[14:52.000 --> 15:02.000]  Never addressing any of the specific facts you listed. So we were talking during the break and you said you'd like to go through the scientific evidence from another perspective.
[15:02.000 --> 15:03.000]  Let's talk about 9-11.
[15:03.000 --> 15:11.000]  Well, OK, I'll come at it a little more from a professional standpoint and maybe I'll make it on a Riley again.
[15:11.000 --> 15:22.000]  I served three years with the Navy underwater demolition team 12 West Coast and our specialty and what I was trained in was blowing things up.
[15:22.000 --> 15:34.000]  And from a professional standpoint and watching how these three buildings fell, it sure looks like demolition to me and I believe I have an eye for it.
[15:34.000 --> 15:45.000]  Having been trained in it and trained by the best that our military has and especially building number seven, no doubt on that one.
[15:45.000 --> 15:51.000]  When you look at it from my viewpoint, that looks like demolition explosions bringing it down.
[15:51.000 --> 15:55.000]  And I view that as a member of the underwater demolition team.
[15:55.000 --> 16:05.000]  But then we have them staging the Gulf of Tonkin. We have our own government staging the attack on Iran.
[16:05.000 --> 16:15.000]  And now the White House admits they funded real Wahhabist al-Qaeda, number three in al-Qaeda, has been going on for four years to attack Iran and stage terror attacks there.
[16:15.000 --> 16:22.000]  A former general came out on Fox earlier this week and said that we need to, quote, have terror attacks inside Iran.
[16:22.000 --> 16:26.000]  But then the media turns around and says Iran is al-Qaeda when Iran is Shi'ite.
[16:26.000 --> 16:34.000]  I mean, that's incredible when our government's funding real al-Qaeda to attack Iran, but then saying Iran is also al-Qaeda.
[16:34.000 --> 16:39.000]  Well, I can't answer to that because I'm not as privy as you on that information.
[16:39.000 --> 16:45.000]  Remember, I just returned from Mexico and I don't get all the news that you get on that.
[16:45.000 --> 16:48.000]  So I can't really respond to that at all.
[16:48.000 --> 16:53.000]  I can only listen to what you have to say and be appalled over it if it's indeed true.
[16:53.000 --> 16:56.000]  Let's go back and look at 9-11 from this angle.
[16:56.000 --> 17:01.000]  Why did you decide? I mean, I interviewed you in June of 2006, almost two years ago.
[17:01.000 --> 17:09.000]  You said, I have questions, Operation Northwoods, I have questions, Gulf of Tonkin, other staged events, but you went that far.
[17:09.000 --> 17:14.000]  And then last time I didn't press you on 9-11, you brought it up during a break and said, I'd like to talk about it.
[17:14.000 --> 17:21.000]  Why did you decide to take that plunge and go ahead and write about it and question in your book and then go even further on my show?
[17:21.000 --> 17:25.000]  I mean, what spurred me to do it?
[17:25.000 --> 17:30.000]  First of all, I was like everyone. I couldn't comprehend or did I want to believe the worst.
[17:30.000 --> 17:33.000]  And we all know what the worst is.
[17:33.000 --> 17:40.000]  And when it happened, I also was embarrassed a little bit that when it happened, I went on full military mode.
[17:40.000 --> 17:44.000]  I didn't question anything because I was the governor at the time.
[17:44.000 --> 17:50.000]  And I feel bad about that now because I could have been even more powerful then in questioning it.
[17:50.000 --> 17:55.000]  But I didn't because, again, I kind of went on military mode. Our country's been attacked.
[17:55.000 --> 18:01.000]  I believed what I was told, believed it, and went accordingly.
[18:01.000 --> 18:13.000]  Well, then after I got out of office shortly thereafter, and of course the invasion of Iraq happened, which I opposed, I couldn't understand why if Al Qaeda, indeed, truly attacked us.
[18:13.000 --> 18:17.000]  Why would we not be fighting them in Afghanistan?
[18:17.000 --> 18:23.000]  Instead, we're focusing and going in this other direction to Iraq who had nothing to do with any of it.
[18:23.000 --> 18:29.000]  In fact, Saddam Hussein feared Al Qaeda as a problem for him.
[18:29.000 --> 18:32.000]  So it didn't make sense to me on that aspect.
[18:32.000 --> 18:39.000]  And so when we invaded Iraq was when I truly, truly started to question President Bush and his policies.
[18:39.000 --> 18:43.000]  Because I opposed that war before it even happened.
[18:43.000 --> 18:47.000]  And that's when I thought that my son kept on me.
[18:47.000 --> 18:54.000]  He kept telling me about this loose change that was on the internet, and I'm not very savvy to the internet, generally.
[18:54.000 --> 19:03.000]  And finally, he kept on me saying, you got to watch this, and I kept even fighting with him, saying, come on, Ty, you can't believe everything on the internet.
[19:03.000 --> 19:08.000]  You know, there's no way these guys had to have attacked us, blah, blah, blah, blah, blah, blah.
[19:08.000 --> 19:20.000]  Well, then we got home from Mexico a couple years ago, and one Sunday afternoon my wife and I both said, you know, let's watch that loose change thing that my son keeps telling you about.
[19:20.000 --> 19:25.000]  And so we had an hour or whatever it was, we went up to the computer room and we watched it.
[19:25.000 --> 19:32.000]  And when I watched it, it hit me like this punch in the stomach, the things that are brought up in it.
[19:32.000 --> 19:36.000]  So your instincts, your instincts then picked up the truth of it?
[19:36.000 --> 19:40.000]  Yeah. Well, I guess you'd call it my instincts.
[19:40.000 --> 19:49.000]  I just, as I watched it and started putting things together and the fact that why would George Bush drag his feet on any investigation?
[19:49.000 --> 19:54.000]  I put myself in that position as a governor or as a president.
[19:54.000 --> 19:57.000]  Do you know the truth about cancer treatments?
[19:57.000 --> 20:07.000]  Do you realize that with all presently accepted methods, you are not correctly attacking the cancer and you are mostly fighting to survive the treatment?
[20:07.000 --> 20:14.000]  Do you realize that mutilating surgery, burning, and the poisoning of your entire system are totally unnecessary?
[20:14.000 --> 20:20.000]  But now it's cancer's turn to die with laced med inks, patented methodology.
[20:20.000 --> 20:32.000]  Without cutting, bleeding, drugs, or damaging radiation, we can destroy skin cancer and breast tumors of any size without adverse side effects at our physician's office.
[20:32.000 --> 20:35.000]  Laser technology at its best.
[20:35.000 --> 20:49.000]  For more information, call 702-953-0267 or visit www.lasemedinc.com.
[20:49.000 --> 20:54.000]  Call 702-953-0267.
[20:54.000 --> 20:56.000]  Our beloved republic is on her knees.
[20:56.000 --> 21:02.000]  The forces of globalism are destroying national sovereignty worldwide, but in Liberty's darkest hour there is hope.
[21:02.000 --> 21:05.000]  For the first time in modern history, the people are beginning to wake up.
[21:05.000 --> 21:11.000]  It is essential that patriots worldwide accelerate their fellow man's understanding of the New World Order master plan.
[21:11.000 --> 21:15.000]  We have a short time frame to fully awaken and energize the people to meet this threat.
[21:15.000 --> 21:20.000]  In the Info War, PrisonPlanet.tv is a powerful weapon in the battle to regain our freedom.
[21:20.000 --> 21:23.000]  PrisonPlanet.tv is a vault of forbidden information.
[21:23.000 --> 21:30.000]  All 18 of my documentary films can be downloaded or stream in super high quality, directly to your computer or iPhone and shared with others.
[21:30.000 --> 21:36.000]  Thousands of special video reports from tainted vaccines to martial law can be found in this online video library.
[21:36.000 --> 21:41.000]  By weekly news television broadcast, thousands of exclusive audio interviews and so much more.
[21:41.000 --> 21:44.000]  The Info War is waiting for you to set it free.
[21:44.000 --> 21:46.000]  Join PrisonPlanet.tv.
[21:46.000 --> 21:48.000]  Burn the info bombs to disc.
[21:48.000 --> 21:50.000]  Put them on the file sharing networks.
[21:50.000 --> 21:52.000]  Bring down the New World Order.
[21:52.000 --> 21:54.000]  PrisonPlanet.tv.
[21:54.000 --> 22:03.000]  The United States seems to be celebrating over its triumph of reducing government debt, but the truth be told public and private debt increased to a record high in 1999,
[22:03.000 --> 22:11.000]  reaching a peak of $14.8 trillion, marking 10.57% annual increase outpacing its previous 10 years.
[22:11.000 --> 22:17.000]  The US economy receives its currency by taking on debt through private banking institution called the Federal Reserve System.
[22:17.000 --> 22:21.000]  In the year 2000, debt growth collapsed to only 4.5%.
[22:21.000 --> 22:25.000]  It's bad enough that the US citizens is bound by debt in order to have commerce.
[22:25.000 --> 22:32.000]  However, shocking the economy with the reduction of this magnitude could wipe out years of growth in a stock portfolio.
[22:32.000 --> 22:35.000]  Before you make your next investment decision, get the cold hard facts.
[22:35.000 --> 22:42.000]  Call 1-800-686-2237 for your free report on the outstanding level of public and private debt.
[22:42.000 --> 22:46.000]  You must understand how recession and depression are driven by outstanding debt.
[22:46.000 --> 22:49.000]  Call 1-800-686-2237.
[22:49.000 --> 22:52.000]  That's 1-800-686-2237.
[23:38.000 --> 23:43.000]  To place your order or to request a free catalog, call 888-257-2847.
[23:43.000 --> 23:53.000]  That's 888-257-2847 or visit us online at survival.com. That's survival.com, the world leader in survival instructional videos.
[23:53.000 --> 24:13.000]  Governor Jesse Ventura, author of the new book that's on the best seller list.
[24:13.000 --> 24:17.000]  A bunch of the different best seller lists. Don't start the revolution without me.
[24:17.000 --> 24:21.000]  We have links where you can get it at infowars.com, but it's in stores everywhere.
[24:21.000 --> 24:24.000]  I'm going to talk more about that before he leaves us.
[24:24.000 --> 24:29.000]  Governor Ventura, you were going over during that last segment that some stations didn't get.
[24:29.000 --> 24:37.000]  Why hasn't there been an investigation when there's an investigation of a cop having an auto accident and getting hurt?
[24:37.000 --> 24:42.000]  Or there's an investigation of a jumbo jet blowing up or an investigation of the bridge collapse.
[24:42.000 --> 24:50.000]  I mean, it's not just that. Then we have how they've used 9-11 to take our liberties and freedoms and how they directed us at the wrong country.
[24:50.000 --> 24:57.000]  You mentioned Iraq and Afghanistan and how Bush then said, I'm not looking for bin Laden. I don't care where he is.
[24:57.000 --> 25:03.000]  And now how they're using anti-terror laws against the American people and federalizing everything.
[25:03.000 --> 25:05.000]  Can you give me your take on that, Governor?
[25:05.000 --> 25:13.000]  Well, I certainly don't like it. We're called the United States of America, and that means states' rights.
[25:13.000 --> 25:22.000]  And for many things, I think states' rights should prevail. We always have a constant takeover by the federal government going on.
[25:22.000 --> 25:34.000]  And we have to stand up to it, and you have to find a way to do it, because we don't want to be the United States with no states.
[25:34.000 --> 25:37.000]  And that's the direction we seem to be going at.
[25:37.000 --> 25:47.000]  And that was one of my big disappointments in George Bush when he first took office. He said that he was going to be an old federal-style president powered by the states, which I agreed with.
[25:47.000 --> 25:51.000]  And every decision he's made has been just the opposite.
[25:51.000 --> 26:01.000]  And case in point, like, what is it now? 11 or 12 states have voted for medicinal use of marijuana, and yet the federal government won't allow it.
[26:01.000 --> 26:14.000]  Or again, I know twice as voted for dignity and death, that if you're not going to live and you're dying, you have the right to be in control of your life, and the federal government says no.
[26:14.000 --> 26:27.000]  And so things like that are very disturbing to me, because I like to have an option in this country that the state that I live in thinks a lot like me, and I have the option in which to live there.
[26:27.000 --> 26:33.000]  But more and more, I'm seeing that leave, so I tend to live in Mexico more today.
[26:33.000 --> 26:38.000]  Would you say that in any respects, a third-world country like Mexico has more freedoms than we have here?
[26:38.000 --> 26:45.000]  Well, I'll put it to you this way. I could still go in the bar and have a cigar at a sports event.
[26:45.000 --> 26:49.000]  Smoke a cigar in the bar, you can't hear.
[26:49.000 --> 26:53.000]  Well, that's the control freak nanny state, which is just...
[26:53.000 --> 27:00.000]  I mean, I say that laughingly. The other thing is too, I'm not saying Mexico has a great government, but at least you know they're corrupt.
[27:00.000 --> 27:01.000]  I agree.
[27:01.000 --> 27:13.000]  So you know that going in. But the thing that I find where I live, there's nobody of government anywhere around, so you just govern yourselves and we all get along great.
[27:13.000 --> 27:17.000]  It's like a libertarian paradise where I'm at.
[27:17.000 --> 27:20.000]  You're absolutely right. You're absolutely right.
[27:20.000 --> 27:24.000]  Well, I take care of myself, Alex, and my family, and we help each other.
[27:24.000 --> 27:34.000]  My neighbors help if they need help. You pull each other out of the ditch because I live in a pretty rugged area, and everyone pitches in, and it doesn't require government at all,
[27:34.000 --> 27:41.000]  even though there's all these laws and everything. Hey, if they're not around, they don't apply to anybody. Just take care of each other.
[27:41.000 --> 27:43.000]  What kind of dog you got, Governor?
[27:43.000 --> 27:45.000]  I have a Belgian Malinois.
[27:45.000 --> 27:47.000]  Oh, those are neat dogs.
[27:47.000 --> 27:54.000]  He's so smart when he arrived here. He was literate in three languages, which made him the smartest in the house.
[27:54.000 --> 27:56.000]  We're going to break him.
[27:56.000 --> 27:59.000]  He's soon learning Spanish, number four.
[27:59.000 --> 28:02.000]  Amazing. We're going to break and come back with our final segment with the governor.
[28:02.000 --> 28:05.000]  Unless I can twist his arm to stay even longer, maybe to the end of the hour.
[28:05.000 --> 28:10.000]  But I want to come back and talk some about the book. I want to talk about a Senate run.
[28:10.000 --> 28:14.000]  Let's go ahead and get into that now. I mean, are you going to run for the senator? How long until we know?
[28:14.000 --> 28:19.000]  Here's how I feel right now. I don't know yet, and I have till July to decide.
[28:19.000 --> 28:28.000]  I feel like this. I believe strongly that on every ballot, federal, local, or whatever, there should be none of the above.
[28:28.000 --> 28:34.000]  So you can vote a vote of no confidence in your government. With this deficit, we should have no confidence in them.
[28:34.000 --> 28:42.000]  And I may offer myself up as that because it doesn't officially, it isn't officially on the ballot, none of the above.
[28:42.000 --> 28:48.000]  But if I go file and put Jesse Ventura down, I then become none of the above.
[28:48.000 --> 28:55.000]  And so any disgruntled voter, and all I'll try to do at that point is run a very minimal campaign,
[28:55.000 --> 29:01.000]  and all I ask is to be allowed in the debates. Because if I can debate him, I can beat him.
[29:01.000 --> 29:06.000]  Well, no doubt we need your voice in the U.S. Senate because you are a maverick.
[29:06.000 --> 29:15.000]  You are a somewhat of a renegade. And you're only a renegade because you're what we'd call an old-fashioned American independence, liberty, freedom.
[29:15.000 --> 29:21.000]  And we need you. So I would certainly support you from Texas for a run for the Minnesota Senate,
[29:21.000 --> 29:27.000]  because you could certainly wreak havoc on their plans and use a bully pulpit up there to expose what they're doing.
[29:27.000 --> 29:33.000]  So Governor, we totally support you. We're going to be back in three minutes with Governor Jesse Ventura.
[29:33.000 --> 29:37.000]  And we'll also talk about his new book, Don't Start Revolution, without me.
[29:37.000 --> 30:03.000]  I'm drafting you, Governor. I think you need to go ahead and run for the Senate. We'll be right back. Stay with us.
[30:03.000 --> 30:09.000]  It's known as the Bilderberg. Is that their objective, the world domination?
[30:09.000 --> 30:15.000]  For thousands of years, their Dark Order grew. Now as they hail the birth of the New World Order,
[30:15.000 --> 30:22.000]  their great dream of exterminating 80% of humanity is at hand.
[30:22.000 --> 30:28.000]  For the first time in history, the elite's plan for world government is blown wide open.
[30:28.000 --> 30:32.000]  You will learn the secret that drives the entire New World Order agenda.
[30:32.000 --> 30:35.000]  Bilderberg is making great progress for the world government.
[30:35.000 --> 30:39.000]  Most people have no idea. They're not after money. They have all the money they need. They're after power.
[30:39.000 --> 30:40.000]  Yes, they're after music.
[30:40.000 --> 30:48.000]  Order in-game on DVD at prisonplanet.com or infowars.com, or watch it online right now at prisonplanet.tv.
[30:48.000 --> 30:53.000]  In-game, blueprint for global enslavement. You have been warned.
[30:53.000 --> 31:02.000]  The Federal Trade Commission estimates that 9 million Americans are victims of identity theft each year.
[31:02.000 --> 31:05.000]  The crime of identity theft occurs every 3.5 seconds, costing the victims an average of $8,000.
[31:05.000 --> 31:12.000]  If you own a PC, passwords are a common form of authentication and often the only protection between a hacker and your personal information.
[31:12.000 --> 31:21.000]  Passwords that are stored in a spreadsheet, text file, data file, or any other file that is not encrypted and password protected are vulnerable to malicious theft and misuse.
[31:21.000 --> 31:26.000]  Password safe pro, your passwords can be secured in an encrypted database within minutes.
[31:26.000 --> 31:33.000]  Password safe pro utilizes secure 160-bit encryption and comes complete with a strong password generation tool.
[31:33.000 --> 31:41.000]  For secure password protection and peace of mind, get your free password safe pro today at www.passwordsafepro.com.
[31:41.000 --> 31:53.000]  Secure password protection and peace of mind is one click away. Trust the pro, password safe pro.
[31:53.000 --> 31:59.000]  The ideology powering the Democrats and Republicans is not liberalism or conservatism, but globalism.
[31:59.000 --> 32:04.000]  Globalists are concerned with what's good for the American Empire instead of what's fair for the American people.
[32:04.000 --> 32:10.000]  The only antidote to the poison of globalism is nationalism, which is why you should be reading the Nationalist Times each month.
[32:10.000 --> 32:14.000]  We promote a common sense, intelligent, and passionate alternative to the reigning party line.
[32:14.000 --> 32:22.000]  Published monthly since 1985, The Nationalist Times features outstanding writers and columnists who don't believe in taboos or sacred cows.
[32:22.000 --> 32:26.000]  Find out why The Nationalist Times has many thousands of loyal readers across America.
[32:26.000 --> 32:32.000]  Subscribe now to The Nationalist Times, America's best patriotic newspaper for just $19 for one year.
[32:32.000 --> 32:34.000]  That's less than half the regular subscription price.
[32:34.000 --> 32:43.000]  Subscribe today by sending $19 to The Nationalist Times, 10161 Park Run Drive, Suite 150, Las Vegas, Nevada, 89145.
[32:43.000 --> 32:50.000]  That's The Nationalist Times, 10161 Park Run Drive, Suite 150, Las Vegas, Nevada, 89145.
[32:50.000 --> 33:17.000]  Or subscribe online at anu.org.
