[00:00:23.784 --> 00:00:25.925]  43 days left.
[00:02:32.639 --> 00:02:47.467]  that we are in this country and because of how dangerous things have gotten and because of the criminal elements that are operating as if Trump's illegitimate and as if they're their own government we have two parallel governments operating at the federal level and that is insanely dangerous.
[00:02:47.467 --> 00:03:00.574]  You have Obama and John Kerry following Trump around a day behind him around the world trying to derail the diplomacy and the detente and the
[00:03:02.516 --> 00:03:06.620]  ...actions of the United States because they're globalist working against this country.
[00:03:06.620 --> 00:03:17.389]  So what does the president do at the point that they're trying to organize the FBI, the Justice Department, the CIA, to overthrow the president and go after President Trump's supporters?
[00:03:17.389 --> 00:03:23.895]  What do you do when you're faced with a multinational, globalist, Chinese, communist-funded group of traitors?
[00:03:25.387 --> 00:03:32.235]  What would George Washington do with all of this ongoing treason that is unfolding?
[00:03:32.235 --> 00:03:36.119]  So I don't want to escalate this into open tanks on the streets.
[00:03:36.119 --> 00:03:37.701]  That's the most extreme form of martial law.
[00:03:39.073 --> 00:03:41.574]  We're under a civil emergency.
[00:03:41.574 --> 00:03:43.014]  Obama declared one.
[00:03:43.014 --> 00:03:46.096]  Trump never rescinded it, and I never thought of that.
[00:03:46.096 --> 00:03:54.979]  I knew about the emergency Obama put in, and we're the first to talk about it, and it's why they want us banned, because we're pointing out real politique, how things really work, the deep state.
[00:03:54.979 --> 00:04:00.721]  Now it's being picked up by Hannity and Limbaugh and, you know, obviously Tucker Carlson and others, because it's true.
[00:04:02.492 --> 00:04:05.274]  We cover the hard subjects that others are afraid to cover.
[00:04:05.274 --> 00:04:06.515]  We hit the barbed wire.
[00:04:06.515 --> 00:04:11.658]  And we're respected for that by the President and by others.
[00:04:11.658 --> 00:04:13.239]  And we've been thanked for that.
[00:04:13.239 --> 00:04:15.701]  And the globalists have my phones tapped.
[00:04:15.701 --> 00:04:16.521]  The deep state.
[00:04:16.521 --> 00:04:16.981]  They know.
[00:04:16.981 --> 00:04:18.743]  That's why they want me destroyed.
[00:04:18.743 --> 00:04:20.324]  They know I have the will
[00:04:21.621 --> 00:04:27.006]  To stand up and tell the truth, and I have the will to cover the things that have got to be done, even if it destroys me.
[00:04:27.006 --> 00:04:30.749]  Because in the long run, that will end up saving everybody else.
[00:04:30.749 --> 00:04:33.471]  I'll be destroyed anyways, if they win.
[00:04:33.471 --> 00:04:34.131]  So I'm doing that.
[00:04:34.131 --> 00:04:44.060]  That's why they have their disinfo operatives and mainstream media, and the corporate system, and the people posing as patriots, constantly lying about me, demonizing me, and then Google and YouTube promote all those lies.
[00:04:44.580 --> 00:04:52.132]  And then block all of our info because this is a exercise in shutting us down and then defaming us and destroying us.
[00:04:52.132 --> 00:04:53.314]  Try to undermine the president.
[00:04:53.314 --> 00:04:55.558]  I mean, that's the reality.
[00:04:55.558 --> 00:04:56.620]  That's the reality of what's happened.
[00:05:00.290 --> 00:05:07.776]  Whether you're looking to boost the benefits of our fish oil formula or just want an alternative, InfoWars Life has the formula for you.
[00:05:07.776 --> 00:05:17.024]  Ultimate Krill Oil is a powerhouse formula that takes advantages of the EPA, DHA, and Omega-3s found in our high-quality, ultra-pure krill oil concentrate.
[00:05:17.024 --> 00:05:26.091]  Containing powerful antioxidants such as astaxanthin and Omega-3s, Ultimate Krill Oil can help you experience the benefits of fish oil with less required DHA and EPA.
[00:05:27.032 --> 00:05:38.483]  This incredible formula can help your body in many ways, including supporting heart health, joint health, and cognitive health, aiding and regulating fat metabolism, helping to maintain cognitive function, and more.
[00:05:38.483 --> 00:05:47.632]  And while other krill oil formulas may chemically modify their formulas, we're giving you the benefits of a simple formula that contains unmodified, high-quality krill oil concentrate.
[00:05:48.052 --> 00:05:50.774]  Paired with our Ultimate Fish Oil, or used separately.
[00:05:50.774 --> 00:05:54.457]  It's time to see what Krill Oil can do for you with Ultimate Krill Oil.
[00:05:54.457 --> 00:06:03.124]  Now available at InfoWarsStore.com.
[00:06:03.124 --> 00:06:05.787]  Waging war on corruption.
[00:06:05.787 --> 00:06:10.931]  It's Alex Jones, coming to you live from the front lines of the Info War.
[00:06:28.488 --> 00:06:32.533]  Ladies and gentlemen, Barack Hussein Obama.
[00:06:34.770 --> 00:06:39.434]  Trump has been enjoying his third term in office, according to the Deep State.
[00:06:39.434 --> 00:06:53.364]  They've been ignoring everything Trump tries to do, but Trump has wrested control of much of the federal apparatus away from them, and so you see the country coming back from the dead, horrifying the globalists because they know they've been suppressing us by design.
[00:06:53.364 --> 00:06:56.086]  This just broke minutes ago.
[00:06:56.086 --> 00:07:03.072]  It's on Infowars.com and Newswars.com, and of course DrudgeReport.com as we speak.
[00:07:03.892 --> 00:07:09.956]  Rosenstein resigns, and we have him walking towards the White House literally just two minutes ago.
[00:07:09.956 --> 00:07:13.018]  We'll roll some of that here in just a moment.
[00:07:13.018 --> 00:07:17.581]  Rosenstein resigns after reports he considered taping Trump.
[00:07:17.581 --> 00:07:29.489]  Sources say that from Bloomberg, Deputy Attorney General Rod Rosenstein, the official in charge of Special Counsel Robert Mueller's Russia investigation, has verbally resigned to White House Chief of Staff John Kelly, according to one person familiar with the matter.
[00:07:30.247 --> 00:07:31.688]  And why are they in trouble?
[00:07:31.688 --> 00:07:44.533]  Trump has the notes, he has the documents, he has the emails, the text messages between this cabal, before he got into office, when he was the nominee, when he was president-elect, right through.
[00:07:44.533 --> 00:07:48.675]  He now has the entire spy grid apparatchik.
[00:07:48.675 --> 00:07:52.516]  And he is able to now know all the things they did.
[00:07:52.516 --> 00:07:55.898]  So they have been hoisted on their own spear.
[00:07:55.898 --> 00:07:58.139]  They've fallen into the pit of their own making.
[00:07:59.910 --> 00:08:08.993]  The resignation was delivered to Kelly late last week, but it's unclear whether Rosenstein is planning to follow through with a formal resignation.
[00:08:08.993 --> 00:08:10.034]  Ah, very deceptive.
[00:08:10.034 --> 00:08:11.454]  See how they operate?
[00:08:11.454 --> 00:08:14.395]  The person said they wanted to trick Trump into saying, fine, you're gone.
[00:08:14.395 --> 00:08:16.376]  Ah, very skillful.
[00:08:16.376 --> 00:08:17.716]  Very snake-like.
[00:08:17.716 --> 00:08:22.478]  A second person said that Rosenstein isn't expected to be in the job after Monday.
[00:08:22.478 --> 00:08:27.100]  Ladies and gentlemen, the move comes after reports that Rosenstein suggested to colleagues this year
[00:08:27.700 --> 00:08:31.581]  That he would secretly record conversations with President Donald Trump.
[00:08:31.581 --> 00:08:36.523]  Rosenstein was heading to the White House late Monday morning amid media reports that he is expected to be fired.
[00:08:36.523 --> 00:08:43.345]  And let's roll some of Fox News just minutes ago as he was walking to the White House to resign.
[00:08:43.345 --> 00:08:43.705]  Here it is.
[00:08:46.974 --> 00:08:48.915]  So again, ladies and gentlemen, what have I been saying since January 20th?
[00:09:21.023 --> 00:09:23.084]  2017, when the President was sworn in.
[00:09:23.084 --> 00:09:27.245]  And why did they get rid of our YouTube channel with billions of views, and millions of views that day?
[00:09:27.245 --> 00:09:40.910]  Because I laid out in a speech, surrounded by people after the inauguration, in the middle of the street, that the President must declassify the illegal spying on him and his campaign, and the RNC,
[00:09:42.421 --> 00:09:50.823]  And that he must remove the deep state operatives that were planning to try to sabotage his administration because they'd said they were spying on him illegally.
[00:09:50.823 --> 00:09:53.324]  They'd said they were going to undermine and block him.
[00:09:53.324 --> 00:10:00.846]  They said they were circulating COG plans when he was president-elect of how they were going to do it.
[00:10:00.846 --> 00:10:11.209]  And then I've studied how they've done this in other countries and how our own deep state works and I laid it out and that's why they want us off the air because we're on target.
[00:10:12.375 --> 00:10:21.600]  Not because we're fake news, but because when the globalists tune in, they go, my God, it's like this man shits in on our briefing rooms.
[00:10:21.600 --> 00:10:24.941]  How does he know all this?
[00:10:24.941 --> 00:10:34.806]  Well, has the average globalist even read Tragedy and Hope by Carl Quigley, one of your top operatives, or the four books by Zbigniew Brzezinski, where he talked about world government plan?
[00:10:34.806 --> 00:10:36.787]  He's one of the top advisors.
[00:10:36.787 --> 00:10:38.528]  Or Kissinger's books?
[00:10:38.528 --> 00:10:39.629]  They say it all!
[00:10:44.048 --> 00:10:47.189]  You're the reason your world government's in trouble!
[00:10:47.189 --> 00:10:51.912]  You're the reason it's falling apart, not me!
[00:10:51.912 --> 00:10:57.754]  You thought you'd set up a private, dictatorial world government?
[00:10:57.754 --> 00:11:06.418]  And that you would just deny it existed and then once it went totally operational with world armies and world taxes and world courts?
[00:11:06.418 --> 00:11:11.661]  And once you tried to dissolve western borders and collapse us into the third world, which is all part of the admitted plan?
[00:11:12.944 --> 00:11:15.665]  That people would put up with that?
[00:11:15.665 --> 00:11:19.226]  I believed in humanity.
[00:11:19.226 --> 00:11:24.107]  I believed that when people learned about this, they would get upset and say no.
[00:11:24.107 --> 00:11:26.648]  Now here's the stalemate.
[00:11:26.648 --> 00:11:28.408]  Here's the deadlock.
[00:11:28.408 --> 00:11:31.129]  Here's the Mexican standoff.
[00:11:31.129 --> 00:11:34.690]  Here is the catch-22 we're in.
[00:11:34.690 --> 00:11:41.312]  These globalists with fiat banking have stolen trillions and trillions of dollars for themselves and saddled us with fake fiat debt.
[00:11:42.329 --> 00:11:47.993]  They've got unlimited wealth, but they don't have political power anymore.
[00:11:47.993 --> 00:11:49.915]  As humanity awakens.
[00:11:49.915 --> 00:11:53.077]  And so, they're doubling down with censorship.
[00:11:53.077 --> 00:11:54.919]  And with social disorder.
[00:11:54.919 --> 00:11:57.421]  And with race war, in their own admissions.
[00:11:57.421 --> 00:11:58.001]  How do we know?
[00:11:58.001 --> 00:12:01.024]  It's in the WikiLeaks!
[00:12:01.024 --> 00:12:02.385]  But it's in the Ph.D.
[00:12:02.385 --> 00:12:03.666]  level.
[00:12:03.666 --> 00:12:06.448]  Social science is that you guys use class warfare.
[00:12:06.448 --> 00:12:07.789]  That's classic Marxism.
[00:12:09.987 --> 00:12:10.908]  You go, mega bankers?
[00:12:10.908 --> 00:12:11.428]  Marxism?
[00:12:11.428 --> 00:12:17.313]  Yes, that's... people 170 years ago were leaving the plantations.
[00:12:17.313 --> 00:12:25.060]  So the British crown funded communism, it's all on record, as a way to get serfs to go, go back to a commune!
[00:12:25.060 --> 00:12:28.523]  They'd already been on that, that sounded like where they were supposed to go back to!
[00:12:28.523 --> 00:12:31.506]  This time the politicians will run you!
[00:12:31.506 --> 00:12:33.327]  Everyone will share everything!
[00:12:33.327 --> 00:12:35.689]  Boulderdash!
[00:12:35.689 --> 00:12:36.390]  Poppycock!
[00:12:37.947 --> 00:12:38.807]  B.S.
[00:12:38.807 --> 00:12:45.589]  Rabo Sierra.
[00:12:45.589 --> 00:12:53.411]  So, we've got Elizabeth Warren saying time to use the 25th Amendment.
[00:12:53.411 --> 00:12:57.052]  We've got Al Green, Articles of Impeachment, 25th Amendment, everything else.
[00:12:57.052 --> 00:13:03.213]  And you've even got CNN saying, remember, the 25th Amendment requires political apocalypse.
[00:13:03.213 --> 00:13:06.614]  Apocalypse.
[00:13:06.614 --> 00:13:07.294]  Now what's that mean?
[00:13:10.742 --> 00:13:16.185]  Ladies and gentlemen, that's martial law.
[00:13:16.185 --> 00:13:19.126]  That's civil emergency.
[00:13:19.126 --> 00:13:33.293]  And I've talked hundreds of times about the executive orders Obama put into place before he left office, and how it was a deep state coup, and I laid out the entire blueprint, but it wasn't until I saw Mike Adams' article that it all clicked.
[00:13:34.557 --> 00:13:37.600]  When I first talked to him about it and I saw it, I thought it was extreme.
[00:13:37.600 --> 00:13:39.422]  And from a perspective, it is.
[00:13:39.422 --> 00:13:40.283]  Emergency report.
[00:13:40.283 --> 00:13:41.724]  Trump planning mass arrest.
[00:13:41.724 --> 00:13:43.486]  Military tribunals for deep state traitors.
[00:13:43.486 --> 00:13:44.627]  It's on Infowars.com.
[00:13:44.627 --> 00:13:45.268]  It's gone viral.
[00:13:45.268 --> 00:13:49.252]  Get it out there, buddy.
[00:13:49.252 --> 00:13:52.916]  But it's because they've already said they're going to counterman the president.
[00:13:52.916 --> 00:13:54.537]  They're already ignoring his orders.
[00:13:54.537 --> 00:13:55.719]  That is martial law.
[00:13:55.719 --> 00:13:57.581]  When regular rule of law is suspended,
[00:13:58.712 --> 00:14:01.314]  Even by the Congress and the President, it's martial law.
[00:14:01.314 --> 00:14:12.743]  What about when it's the deep state, rogue groups in the CIA and the Justice Department trying to normalize it on television, saying we're ignoring him, we're doing what we want, we're the resistance?
[00:14:12.743 --> 00:14:13.524]  What is that?
[00:14:13.524 --> 00:14:23.953]  That is martial law by a rogue group in the government, not even martial law during a meteor strike, or a super volcano, or a category 9.2 earthquake.
[00:14:26.786 --> 00:14:29.407]  And there's civil unrest, you declare martial law in those areas.
[00:14:29.407 --> 00:14:32.168]  This is political, bureaucratic martial law.
[00:14:32.168 --> 00:14:37.751]  And what did Lindsey Graham on Fox News and CNN, Sunday night, call it, we're going to play that clip coming up.
[00:14:37.751 --> 00:14:52.937]  He said, we have a political, bureaucratic coup, countermanding the rule of law, ruling over much of the federal government in the country, outside of law.
[00:14:54.977 --> 00:14:56.298]  That's a quote.
[00:14:56.298 --> 00:15:02.420]  That's martial law.
[00:15:02.420 --> 00:15:12.924]  These crazy people put us into a parallel martial law system and Obama is a mile from the White House running his own operation.
[00:15:12.924 --> 00:15:19.647]  They've got big tech taking all the orders to ban everybody from James Woods to Alex Jones.
[00:15:19.647 --> 00:15:22.008]  That's right, James Woods just got suspended.
[00:15:22.008 --> 00:15:22.468]  It's on!
[00:15:26.317 --> 00:15:36.393]  And I have specifically had the White House and the President thank me recently for the fact that I'm covering the hard topics no one else will to hit the bar bar.
[00:15:36.393 --> 00:15:39.318]  So to all the disinfo operatives and people out there that claim I'm...
[00:15:40.484 --> 00:15:42.066]  Somehow not with the President and all that.
[00:15:42.066 --> 00:15:46.152]  You see that disinfo pushed by YouTube and the big media.
[00:15:46.152 --> 00:15:47.974]  Everything else we say is shadow banned.
[00:15:47.974 --> 00:15:50.638]  It's because they don't want you to hear what the President wants you to hear.
[00:15:50.638 --> 00:15:52.841]  The President's been on my show.
[00:15:52.841 --> 00:15:54.082]  I talk to the President.
[00:15:54.082 --> 00:15:55.364]  I'm a real person.
[00:15:55.364 --> 00:15:57.126]  I'm not some anonymous person.
[00:15:57.126 --> 00:15:57.928]  You understand?
[00:15:59.309 --> 00:16:03.170]  Most of you know that heart disease is the number one silent killer in the U.S.
[00:16:03.170 --> 00:16:08.172]  What if I told you for just $54.95 a month you could fight against heart disease naturally?
[00:16:08.172 --> 00:16:12.994]  At Heart and Body Extract, we've been helping thousands of people get back to a healthier heart.
[00:16:12.994 --> 00:16:14.334]  Don't just take my word for it.
[00:16:14.334 --> 00:16:18.115]  Check out all of the success stories at HBExtract.com.
[00:16:18.115 --> 00:16:19.076]  Or to order, call 866-295-5305.
[00:16:19.076 --> 00:16:19.476]  That's 866-295-5305.
[00:16:19.476 --> 00:16:20.036]  HBExtract.com.
[00:16:20.036 --> 00:16:22.317]  Don't risk it when you can take charge of it.
[00:16:29.219 --> 00:16:31.100]  Healthcare reform is confusing.
[00:16:31.100 --> 00:16:39.702]  But whether it's finding an affordable insurance plan, keeping your doctor, or being able to afford needed prescriptions, navigating the healthcare system has become a challenge.
[00:16:39.702 --> 00:16:43.403]  Control your own healthcare costs and choices with Liberty HealthShare.
[00:16:43.403 --> 00:16:45.363]  Liberty HealthShare is not insurance.
[00:16:45.363 --> 00:16:51.405]  It is an association of self-paid patients who unite with like-minded people to share the cost of each other's medical needs.
[00:16:51.405 --> 00:16:52.906]  Neighbor helping neighbor.
[00:16:52.906 --> 00:16:55.466]  Learn more now by going to libertyoncall.org.
[00:16:55.466 --> 00:16:57.007]  That's libertyoncall.org.
[00:16:58.760 --> 00:17:05.463]  I'm David Hall, founder of Diamond Gusset, where we're proud of our 100% grown and sewn American-made jeans.
[00:17:05.463 --> 00:17:13.306]  Whether you're out for dinner, working on the farm, or on the road, Diamond Gusset Jeans offers a full spectrum of styles and sizes for any occasion.
[00:17:13.306 --> 00:17:15.947]  To find yours, visit gusset.com.
[00:17:15.947 --> 00:17:19.048]  That's G-U-S-S-E-T dot com.
[00:17:19.048 --> 00:17:24.911]  Our loyal customers enable us to continue sponsoring Liberty Media outlets like the one you're listening to.
[00:17:24.911 --> 00:17:28.072]  In Liberty, David Hall, Diamond Gusset Jeans Company.
[00:17:28.993 --> 00:17:34.437]  When you use public Wi-Fi, hackers and identity thieves can see anything you do online.
[00:17:34.437 --> 00:17:38.040]  Embarrassing photos, your web history, even your passwords.
[00:17:38.040 --> 00:17:43.925]  That's why I use Private Internet Access to encrypt my internet connection for less than 10 cents a day.
[00:17:43.925 --> 00:17:52.551]  Sign up now at PrivateInternetAccess.com and in just a few minutes, you'll be browsing anonymously and only sharing what you want to share.
[00:17:52.551 --> 00:17:54.833]  PrivateInternetAccess.com.
[00:17:54.833 --> 00:17:56.875]  It's time to protect your online privacy.
[00:18:00.245 --> 00:18:03.849]  InfoWars Life is bringing you a breakthrough in modern medicine.
[00:18:03.849 --> 00:18:05.611]  Introducing Pollen Block.
[00:18:05.611 --> 00:18:16.882]  We have found an extraordinary new, natural way to alleviate seasonal distress symptoms, including promoting clear nasal and sinus passageways, eye comfort, and respiratory function.
[00:18:17.663 --> 00:18:26.826]  In the 1960s, researchers in France noticed that people who ate certain quail eggs experienced less seasonal immune and inflammatory responses.
[00:18:26.826 --> 00:18:37.370]  They began studying this effect in published trials, and decades later, we now have the fruit of this research, a fast-acting, chewable tablet that helps alleviate seasonal distress symptoms.
[00:18:37.790 --> 00:18:37.810]  X2.
[00:19:01.618 --> 00:19:06.359]  We were selling it for about three years, and then they found out how big it was and how much we were buying.
[00:19:06.359 --> 00:19:09.440]  And they said, oh, we want more money, more money, and oh, this and that.
[00:19:09.440 --> 00:19:11.440]  And so I've broken my contract.
[00:19:11.440 --> 00:19:15.541]  And right now, we can't get more of this proprietary ingredient that goes in X2.
[00:19:15.541 --> 00:19:21.662]  It literally is so pure that if you put it in a peaker dish on top of a 90 degree hot plate, it gasses.
[00:19:21.662 --> 00:19:22.983]  Like I dream of Jeannie in this.
[00:19:22.983 --> 00:19:23.823]  It's purple gas.
[00:19:23.823 --> 00:19:27.143]  I mean, that is so pure, it just goes right into your body when you take it.
[00:19:27.143 --> 00:19:29.124]  We're working on trying to get other suppliers right now, but
[00:19:30.164 --> 00:19:32.546]  I bought a huge amount of it.
[00:19:32.546 --> 00:19:34.227]  Ordered it six months ago.
[00:19:34.227 --> 00:19:36.929]  So I get the price down and I said, if you don't lower it, I'm done.
[00:19:36.929 --> 00:19:38.150]  I'm breaking the contract.
[00:19:38.150 --> 00:19:40.071]  Well, I broke the contract last week.
[00:19:40.071 --> 00:19:42.412]  And so this is potentially the last run.
[00:19:42.412 --> 00:19:46.155]  In fact, right now it is the last run of Survival Shield X2.
[00:19:46.155 --> 00:19:49.297]  And we've got a good supply of it, but it'll be gone in a couple months.
[00:19:49.297 --> 00:19:52.219]  X2, if you haven't experienced it, InfoWarshore.com.
[00:19:52.219 --> 00:19:54.040]  If you have experienced it, you know how great it is.
[00:19:54.040 --> 00:19:55.441]  I suggest you stop up on it.
[00:19:55.441 --> 00:19:56.782]  It's available right now for a limited time.
[00:19:56.782 --> 00:19:58.163]  InfoWarshore.com.
[00:19:58.163 --> 00:19:59.544]  It's 25% off right now.
[00:20:03.757 --> 00:20:12.259]  You're listening to The Alex Jones Show.
[00:20:12.259 --> 00:20:31.384]  While you were sleeping They came and took it all away The lanes and the meadows The places where
[00:20:43.795 --> 00:20:47.877]  Ladies and gentlemen, Alex Jones here, worldwide.
[00:20:47.877 --> 00:20:50.738]  Broadcasting on hundreds of TV stations, radio stations across the country.
[00:20:53.445 --> 00:20:56.870]  And at InfoWars.com and NewsWars.com with our own audio and video feeds.
[00:20:56.870 --> 00:20:58.572]  But everywhere else we are being blocked.
[00:20:58.572 --> 00:21:01.736]  We are being completely banned, not just shadow banned.
[00:21:01.736 --> 00:21:03.979]  And now it's happening to James Woods.
[00:21:03.979 --> 00:21:08.686]  Now it's happening to every other prominent person you can imagine, only 43 days out from the election.
[00:21:08.686 --> 00:21:10.909]  The good news is Trump
[00:21:12.745 --> 00:21:18.850]  Pressuring Rosenstein to resign, because now Bloomberg's usually pretty accurate, even though they're globalists.
[00:21:18.850 --> 00:21:19.710]  They're business news.
[00:21:19.710 --> 00:21:26.716]  I found them to be a lot more accurate than, you know, kind of your mainstream ABC or CBS or NBC or CNN.
[00:21:26.716 --> 00:21:30.219]  And they're saying that he has already resigned verbally.
[00:21:30.219 --> 00:21:34.802]  But of course, they were trying to trick the president into announcing it early so he could then deny it.
[00:21:34.802 --> 00:21:37.024]  It's total rat-like behavior.
[00:21:37.024 --> 00:21:41.287]  And Trump has the Trump cards, pun intended,
[00:21:42.486 --> 00:21:49.729]  In that he has McCabe, he has Comey, he has all their text messages.
[00:21:49.729 --> 00:21:53.591]  These people are very, very arrogant.
[00:21:53.591 --> 00:21:59.053]  But now they're saying he expects to be fired.
[00:21:59.053 --> 00:22:06.737]  With that disgusting, again, possum-like smirk that he has that's so unbelievable.
[00:22:08.069 --> 00:22:25.345]  Remember, he changed the succession in the Justice Department from the Deputy Attorney General to the Inspector General, the watchdog, to just low-level political operatives of the Bushes and the Clintons.
[00:22:25.345 --> 00:22:27.467]  He is an arrogant little monster.
[00:22:28.766 --> 00:22:35.348]  And then they used the corporate media to bludgeon the president over the head to say, how dare you never remove him, never remove Mueller.
[00:22:35.348 --> 00:22:37.229]  Let him do giant fishing expeditions.
[00:22:37.229 --> 00:22:39.650]  Let him go after people's taxes 15 years ago.
[00:22:39.650 --> 00:22:44.751]  Let him go after girlfriends that you gave money to 15 years ago.
[00:22:44.751 --> 00:22:47.812]  Nothing to do with Russia.
[00:22:47.812 --> 00:22:49.373]  Let us raid your lawyers.
[00:22:49.373 --> 00:22:52.954]  Meanwhile, Hillary committed crimes that are mind boggling.
[00:22:52.954 --> 00:22:55.035]  This is the arrogant mental illness
[00:22:56.334 --> 00:23:07.479]  Of the Clinton-Bush dynasty and their little stay-behind operatives that they left behind inside the government via Obama's executive orders, believing that they were actually still in charge.
[00:23:07.479 --> 00:23:21.785]  So they all walked around cockily and they went on TV, Brennan and all the rest of them, and said, we're still in charge, the government's not going to do what this guy says, the government's going to kill the president, seven ways to Sunday to take him down, we're in charge.
[00:23:21.785 --> 00:23:25.147]  But the arrogance is now evaporating.
[00:23:25.147 --> 00:23:25.647]  But remember,
[00:23:27.353 --> 00:23:29.676]  Six presidents have been shot.
[00:23:29.676 --> 00:23:30.457]  I'm going from memory.
[00:23:30.457 --> 00:23:31.098]  We can look that up.
[00:23:31.098 --> 00:23:32.580]  How many presidents have been shot?
[00:23:32.580 --> 00:23:34.282]  Six.
[00:23:34.282 --> 00:23:36.245]  Six presidents have been shot.
[00:23:36.245 --> 00:23:37.627]  How many have been assassinated?
[00:23:37.627 --> 00:23:37.907]  Three?
[00:23:37.907 --> 00:23:41.892]  I'm going from memory.
[00:23:41.892 --> 00:23:43.895]  Woodrow Wilson probably got poisoned, but he'd be a fourth.
[00:23:45.060 --> 00:23:51.325]  There have been 30 attempts to kill an incumbent or former president or a president-elect have been made since the 1800s.
[00:23:51.325 --> 00:23:53.567]  Four sitting presidents have been killed.
[00:23:53.567 --> 00:23:54.688]  All of them by gunshot.
[00:23:54.688 --> 00:23:57.950]  Abraham Lincoln, James A. Garfield, William McKinley, and John F. Kennedy.
[00:23:57.950 --> 00:23:58.811]  So that's four.
[00:23:58.811 --> 00:24:01.133]  I'm going from memory.
[00:24:01.133 --> 00:24:01.433]  Four.
[00:24:01.433 --> 00:24:06.337]  I guess one of them died from an infection, that's right, from the bullet wound, so technically he died from it as well.
[00:24:06.337 --> 00:24:09.440]  So, their only option now
[00:24:10.492 --> 00:24:12.133]  Because the Senate gets it.
[00:24:12.133 --> 00:24:14.434]  Trump is now using his constitutional power.
[00:24:14.434 --> 00:24:16.475]  He's got all the emails, all the text.
[00:24:16.475 --> 00:24:22.078]  And suddenly the Senate goes, we know you got a whole bunch of other women lined up as political operatives.
[00:24:22.078 --> 00:24:24.480]  Every one of these stories has already fallen apart.
[00:24:24.480 --> 00:24:30.803]  We're going to go ahead with the vote on Friday.
[00:24:30.803 --> 00:24:39.348]  And so all the bluster, all the bravado, all the chutzpah, all of it is now beginning
[00:24:40.919 --> 00:24:45.321]  To completely evaporate.
[00:24:45.321 --> 00:24:47.521]  And they don't know what to do.
[00:24:47.521 --> 00:24:56.885]  All their smirking and all their con manning and all their arrogance, all their confidence games are evaporating right now.
[00:25:03.197 --> 00:25:08.360]  So very, very, very good things are taking place.
[00:25:08.360 --> 00:25:10.862]  But let's not think we're out of the woods yet.
[00:25:10.862 --> 00:25:13.523]  They're going to try to engage in massive election fraud.
[00:25:13.523 --> 00:25:18.767]  Undoubtedly, they are trying to kill Trump right now.
[00:25:18.767 --> 00:25:21.708]  There is no telling what these crooks are going to do.
[00:25:21.708 --> 00:25:24.890]  And they've gone to Google and Facebook and Twitter.
[00:25:24.890 --> 00:25:29.873]  All these things were set up in covert conjunction with In-Q-Tel and the CIA.
[00:25:29.873 --> 00:25:30.514]  That's on record.
[00:25:31.980 --> 00:25:44.724]  And that group believes they're all taking orders from Obama and Hillary, and as it becomes apparent that President Trump is about to become President for real, get ready.
[00:25:44.724 --> 00:25:49.146]  You know, the President, I told you a month ago, was going to have executive orders against big tech.
[00:25:49.146 --> 00:25:52.347]  I told you he was going to go after Facebook for discrimination.
[00:25:52.347 --> 00:25:54.107]  It happened a week after I told you.
