[00:15.000 --> 00:18.000]  Infowars. Tomorrow's news. Today.
[05:14.000 --> 05:19.000]  control what you think, what you do, what you read but you don't want that and
[05:19.000 --> 05:23.000]  Alex Jones doesn't want that and this book shows you what's happening and gives
[05:23.000 --> 05:28.000]  you the sort of playbook for how to fight against it and so by buying this book
[05:28.000 --> 05:32.000]  you're going to prove that censorship doesn't work, that freedom is alive in
[05:32.000 --> 05:37.000]  this country. This is a central reading and I would go right now and buy it
[05:37.000 --> 05:41.000]  before the censorship kicks in. It's not going to be available in bookstores.
[05:41.000 --> 05:45.000]  It's not going to be available in libraries. They're going to try to take it down
[05:45.000 --> 05:49.000]  from every platform that they can but they're not going to be able to do it.
[05:49.000 --> 05:53.000]  Prove that censorship doesn't work. Buy the great reset. Thank you Alex Jones.
[05:53.000 --> 05:57.000]  I really appreciate you having me on and I appreciate you writing this book
[05:57.000 --> 06:08.000]  and getting the information out there.
[06:43.000 --> 06:47.000]  I am very honored and blessed to be here with you today.
[06:47.000 --> 06:51.000]  Okay, there's always millions of folks that tune in. We're very
[06:51.000 --> 06:55.000]  blessed to the weekly show and the weekend shows both on radio and TV
[06:55.000 --> 06:58.000]  and of course over the Internet and the places you can find it where it's not
[06:58.000 --> 07:02.000]  being censored like infowars.com and Band-Aw video.
[07:02.000 --> 07:06.000]  And we have a big broadcast with a bunch of in-studio guests and more that I will
[07:06.000 --> 07:10.000]  tell you about coming up the start of the next segment and then I'll get into
[07:10.000 --> 07:15.000]  the huge China slash Ukraine Russian news, the massive
[07:15.000 --> 07:20.000]  COVID-19 new lockdown news, the huge
[07:20.000 --> 07:25.000]  green new deal admission of the planetary shutdown plan
[07:25.000 --> 07:29.000]  and so much more. The great work DeSantis is doing
[07:29.000 --> 07:33.000]  literally firing these deep state Soros operatives that violate
[07:33.000 --> 07:37.000]  their oaths of office and having the state police go into their offices
[07:37.000 --> 07:40.000]  to make sure they don't destroy any evidence of what they've been up to.
[07:40.000 --> 07:44.000]  He's got them under investigation. DeSantis just gets better and better
[07:44.000 --> 07:49.000]  because he's actually going after the deep state. Trump never really did that
[07:49.000 --> 07:52.000]  but DeSantis is doing it. Trump fought the deep state. Trump did a lot of things
[07:52.000 --> 07:56.000]  executively but never actually took Soros on head on.
[07:56.000 --> 08:00.000]  So we've got a special guest, Pastor Rodney Howard Brown,
[08:00.000 --> 08:04.000]  popping in at the bottom of the hour. This prosecutor is the one that had him
[08:04.000 --> 08:08.000]  arrested. Now he's been fired by the governor.
[08:08.000 --> 08:12.000]  So Rodney Howard Brown is just going to pop in for a segment or so.
[08:12.000 --> 08:15.000]  Then Mike Adams is going to have a big special guest when he's in here co-hosting
[08:15.000 --> 08:19.000]  who's one of the experts on why is the West committing suicide?
[08:19.000 --> 08:22.000]  What are some examples of it and how do we turn it around?
[08:22.000 --> 08:25.000]  And why do the globalists want the West to commit suicide?
[08:25.000 --> 08:29.000]  So that's another big guest as well here today.
[08:29.000 --> 08:36.000]  But let me do this now because a lot of people are tuning in to the show
[08:36.000 --> 08:41.000]  wanting to get my response to the $4.1 million judgment by an Austin jury
[08:41.000 --> 08:47.000]  yesterday. I shot a video last night that's at man.video where I lay out
[08:47.000 --> 08:52.000]  about five minutes, my stance on it and where I stand.
[08:52.000 --> 08:55.000]  But I'll do that again for everybody that's tuned in live because I know a lot of
[08:55.000 --> 08:59.000]  you are tuning in. There are new viewers wanting to get my view.
[08:59.000 --> 09:02.000]  But there's last night's announcement breaking exclusive. Alex Jones responds
[09:02.000 --> 09:06.000]  to $4.2 million Sandy Hook verdict, $628,000 views.
[09:06.000 --> 09:10.000]  You want to go see it. It's a very important video.
[09:10.000 --> 09:15.000]  But let me just briefly chronicle what's been happening in the last week and a
[09:15.000 --> 09:21.000]  half, now almost two weeks as of today in this kangaroo court and how it's the
[09:21.000 --> 09:25.000]  model for the rest of the country and the world and then how George Soros and
[09:25.000 --> 09:29.000]  the operatives are literally coordinating and running this.
[09:29.000 --> 09:32.000]  The corporate media that's in the courtroom are all coordinating.
[09:32.000 --> 09:35.000]  The judge is coordinating with the media.
[09:35.000 --> 09:39.000]  The judge is altering the record of the trial in my view and I'll explain that
[09:39.000 --> 09:44.000]  in a moment. She didn't just say I'm guilty until the jury
[09:44.000 --> 09:49.000]  or the 20 times I'm guilty and that they had to find me guilty.
[09:49.000 --> 09:53.000]  You're not allowed to find him innocent. I found him guilty, she said.
[09:53.000 --> 10:01.000]  She barred us from being able to respond in the punitive damages
[10:01.000 --> 10:08.000]  phase to our net worth. Now we turned over to them an accurate net
[10:08.000 --> 10:12.000]  worth at machine defaulted us. I spent days up here with lawyers.
[10:12.000 --> 10:15.000]  They got all the numbers. Looked at my personal money.
[10:15.000 --> 10:21.000]  Everything gave them a complete list under court order.
[10:21.000 --> 10:26.000]  And I knew it was all rigged but I wanted to show the world this and then
[10:26.000 --> 10:30.000]  instead they barred us from argument or calling any witnesses.
[10:30.000 --> 10:37.000]  We can only cross examine their expert who literally is some dandruff covered
[10:37.000 --> 10:41.000]  guy that looks like he has a gray wig on who stumbles around.
[10:41.000 --> 10:43.000]  He has a name like Thurston Howell, the seventh or something.
[10:43.000 --> 10:46.000]  I'm not joking. He has like five names.
[10:46.000 --> 10:48.000]  Wilford's nibble snubble of the gibble pibble.
[10:48.000 --> 10:50.000]  I mean, I've got to find his name in the news.
[10:50.000 --> 10:52.000]  That guy's print off articles about it.
[10:52.000 --> 10:56.000]  He's been testifying a few hours. I was just down there for 30 minutes.
[10:56.000 --> 11:00.000]  And I knew what they were going to say because the press kept asking me
[11:00.000 --> 11:05.000]  the New York Times, CBS News would say, you got $61 million last year
[11:05.000 --> 11:08.000]  and you're worth $300 million.
[11:08.000 --> 11:11.000]  And you're worth that worth as $170 million.
[11:11.000 --> 11:15.000]  And I would just hear these and I'd say, no, I don't have a million dollars
[11:15.000 --> 11:17.000]  in my bank account.
[11:17.000 --> 11:21.000]  I don't have all this stuff you're talking about.
[11:21.000 --> 11:23.000]  But they would always say the same stuff.
[11:23.000 --> 11:26.000]  So here's the big news first off.
[11:26.000 --> 11:28.000]  And people are live tweeting this and I've talked to my lawyers.
[11:28.000 --> 11:30.000]  This is indeed what they're saying.
[11:30.000 --> 11:31.000]  Overhead shop, please.
[11:31.000 --> 11:33.000]  A little bit of an overhead shop for me. Thanks.
[11:33.000 --> 11:38.000]  It says they just claimed Alex Jones personally pulled $61 million
[11:38.000 --> 11:40.000]  out of free speech last year.
[11:40.000 --> 11:44.000]  That is a completely insane made up number.
[11:44.000 --> 11:52.000]  Argued personal net worth of AJ 70 to 140 million.
[11:52.000 --> 11:56.000]  My net worth is below $5 million if you count everything I've got.
[11:56.000 --> 11:59.000]  It's because we had an official statement that we gave them.
[11:59.000 --> 12:02.000]  We had an updated statement where I have even less money now.
[12:02.000 --> 12:07.000]  And yesterday the judge said, oh, no, he can't testify and no one can talk on your side.
[12:07.000 --> 12:11.000]  We're just going to have this guy up there who literally looked at me
[12:11.000 --> 12:13.000]  like he wanted to kill me because I'm sitting there right in front of him.
[12:13.000 --> 12:19.000]  He's on the bench and our table is right in front of the testimony bench.
[12:19.000 --> 12:24.000]  And he just looked at me with just total hate.
[12:24.000 --> 12:28.000]  There is big brushy eyebrows, big bushy eyebrows.
[12:28.000 --> 12:30.000]  And I said, I know what this is going to be.
[12:30.000 --> 12:31.000]  I've already heard all the numbers.
[12:31.000 --> 12:33.000]  They're going to say, I have 61 million last year.
[12:33.000 --> 12:34.000]  And they're going to say, I have all this money.
[12:34.000 --> 12:35.000]  I mean, why not?
[12:35.000 --> 12:36.000]  They're closing statements.
[12:36.000 --> 12:39.000]  Yesterday they said he makes $300 million a year.
[12:39.000 --> 12:40.000]  It just keeps growing.
[12:40.000 --> 12:43.000]  Our biggest year ever gross was $70 million.
[12:43.000 --> 12:44.000]  That's gross.
[12:44.000 --> 12:47.000]  You know, when you're selling $30 million worth of food,
[12:47.000 --> 12:49.000]  but you make 30% on it on average.
[12:49.000 --> 12:53.000]  And they had some other doctored up stuff saying we make 70% on food.
[12:53.000 --> 12:55.000]  I assure you that's not the case.
[12:55.000 --> 12:59.000]  Strike me down by 50,000 trillion bolts of lightning if it's not true.
[12:59.000 --> 13:02.000]  Just really weird stuff going on in this trial.
[13:02.000 --> 13:04.000]  But it's not bad to make money.
[13:04.000 --> 13:05.000]  I wish we had a lot more money.
[13:05.000 --> 13:09.000]  We could do a lot more and not be so desperately trying to cling and stay on air.
[13:09.000 --> 13:11.000]  So all that happened.
[13:11.000 --> 13:15.000]  But really the big takeaway here is not that.
[13:15.000 --> 13:21.000]  I was here yesterday running around the office trying to watch the verdict.
[13:21.000 --> 13:25.000]  And she was killing the stream every five minutes or so.
[13:25.000 --> 13:27.000]  Because she said she would live stream it.
[13:27.000 --> 13:31.000]  But we kicked their butt so bad even though we had our hands tied behind our backs
[13:31.000 --> 13:34.000]  that they should kill the stream during most of my testimony.
[13:34.000 --> 13:39.000]  So that law and crime can only put out edited clips of me
[13:39.000 --> 13:41.000]  where I go, oh, that's a Perry Mason moment.
[13:41.000 --> 13:42.000]  Except it's not.
[13:42.000 --> 13:45.000]  Those text messages all come from me on my phone.
[13:45.000 --> 13:48.000]  I gave it to all the lawyers as I testified.
[13:48.000 --> 13:51.000]  And now you have it proving I told you the damn truth.
[13:51.000 --> 13:53.000]  And you guys just act like you didn't have it.
[13:53.000 --> 13:58.000]  And they go, oh, we got his phone. We got his phone. Who's given to him?
[13:58.000 --> 14:02.000]  So the level of this is really comical.
[14:02.000 --> 14:08.000]  In fact, at this point, I'm just like, I mean, I'm living in a crazy town here.
[14:08.000 --> 14:12.000]  It's like at the end of Cross of Iron where everything's collapsing.
[14:12.000 --> 14:16.000]  Everything's burning and blowing up as the Russians enter Berlin.
[14:16.000 --> 14:17.000]  Everybody's just laughing.
[14:17.000 --> 14:19.000]  I'm not comparing myself with the Germans in World War II.
[14:19.000 --> 14:23.000]  They're just saying, there just gets to be a point where it's so insane.
[14:23.000 --> 14:24.000]  You're just laughing at it.
[14:24.000 --> 14:27.000]  Because they sit there with the corporate media and the judge and their lawyers
[14:27.000 --> 14:30.000]  just saying all this stuff like parents, that is it true?
[14:30.000 --> 14:32.000]  Like everything else they do.
[14:32.000 --> 14:34.000]  So here's what I believe is illegal.
[14:34.000 --> 14:37.000]  If the judge is going to let something be televised, televised it.
[14:37.000 --> 14:44.000]  Real courts that they do it have a pool camera or two cameras that aim
[14:44.000 --> 14:47.000]  at whoever's speaking and when the judge speaks.
[14:47.000 --> 14:51.000]  Instead, there's just dozens of cameras, but they're all pet media
[14:51.000 --> 14:54.000]  and they all are on the same script and all put the same clips out basically.
[14:54.000 --> 14:57.000]  And the judge sits there while she controls the YouTube stream
[14:57.000 --> 15:01.000]  turning it on and turning it off and turning it on and turning it off.
[15:01.000 --> 15:03.000]  She doesn't even know how to mute the stream.
[15:03.000 --> 15:04.000]  She just kills the stream.
[15:04.000 --> 15:06.000]  She's up there like a DJ running it.
[15:06.000 --> 15:10.000]  So either you're going to show people the trial or don't.
[15:10.000 --> 15:13.000]  But I think it's illegal to claim something's televised
[15:13.000 --> 15:16.000]  and then only let out certain parts of the trial.
[15:16.000 --> 15:17.000]  You don't like happens.
[15:17.000 --> 15:20.000]  You kill the stream and then turn it back on the other side speaking.
[15:20.000 --> 15:23.000]  And then Bankston, their main lawyer gets up the plaintiff's lawyer,
[15:23.000 --> 15:26.000]  the ambulance chaser and goes, listen, judge,
[15:26.000 --> 15:29.000]  I want you to not kill the stream during this part because I'm going to expose
[15:29.000 --> 15:32.000]  that law enforcement wants Jones's phone and, you know,
[15:32.000 --> 15:35.000]  he's going down and it's January 6th and all this stuff.
[15:35.000 --> 15:36.000]  And none of that's even true.
[15:36.000 --> 15:38.000]  She's like, okay, I'll keep it streaming.
[15:38.000 --> 15:41.000]  But when my lawyer talks, she turns it off.
[15:41.000 --> 15:45.000]  I mean, this is beyond any kangaroo, rig,
[15:45.000 --> 15:46.000]  court ever.
[15:46.000 --> 15:49.000]  And this woman is literally a blue-haired SJW.
[15:49.000 --> 15:51.000]  We have photos of her on her own Facebook.
[15:51.000 --> 15:52.000]  She thinks it's all completely normal.
[15:52.000 --> 15:53.000]  They just think it's complete.
[15:53.000 --> 15:56.000]  She doesn't even understand how ridiculous she looks.
[15:56.000 --> 15:58.000]  We'll be right back. Stay with us.
[16:00.000 --> 16:01.000]  He was the Alex Jones crazy.
[16:01.000 --> 16:02.000]  He's a conspiracy theory guy.
[16:02.000 --> 16:03.000]  He's a nutcase.
[16:03.000 --> 16:06.000]  He got these rants and all that.
[16:06.000 --> 16:09.000]  What they miss is that this guy's ahead of the curve
[16:09.000 --> 16:13.000]  on so many different topics of signal, not noise.
[16:13.000 --> 16:18.000]  If you look at the signal and you compare that to PBS and NPR
[16:18.000 --> 16:22.000]  and BBC and we'll do what Alex Jones put out there versus
[16:22.000 --> 16:25.000]  what your collective body has put out there.
[16:25.000 --> 16:27.000]  And if you're a sent in a human being and just watching it,
[16:27.000 --> 16:29.000]  you say, well, God, Alex Jones is ahead of this.
[16:29.000 --> 16:31.000]  Not only that, he kind of explained it.
[16:31.000 --> 16:34.000]  You are one of the great thinkers of this.
[16:34.000 --> 16:35.000]  That is very rare.
[16:35.000 --> 16:38.000]  You got to go back almost to the revolutionary generation
[16:38.000 --> 16:40.000]  and see that in this new book.
[16:40.000 --> 16:42.000]  I got to tell you when Tony Lyons first approached me,
[16:42.000 --> 16:43.000]  I read this thing.
[16:43.000 --> 16:44.000]  I go, this is it.
[16:44.000 --> 16:46.000]  This is no beetry.
[16:46.000 --> 16:47.000]  You're not going to be flipping pages.
[16:47.000 --> 16:48.000]  You're going to be having a pin out.
[16:48.000 --> 16:50.000]  You're going to be underlying stuff.
[16:50.000 --> 16:53.000]  The Great Reset by Alex Jones.
[16:53.000 --> 16:58.000]  Order your copy now at Amazon or infowarstore.com.
[16:58.000 --> 17:01.000]  Sold out for seven months.
[17:01.000 --> 17:05.000]  Body's ultimate turmeric formula is back in stock.
[17:05.000 --> 17:08.000]  Turmeric's been known for thousands of years
[17:08.000 --> 17:12.000]  to do amazing things for your joints, your stamina,
[17:12.000 --> 17:14.000]  your immune system for your libido.
[17:14.000 --> 17:16.000]  And look, the average sum of the shelves
[17:16.000 --> 17:18.000]  is five, six, seven percent for your humanoid.
[17:18.000 --> 17:21.000]  We have the strongest brand on earth.
[17:21.000 --> 17:23.000]  Nobody else decided to do it.
[17:23.000 --> 17:27.000]  It's 95% of humanoid at infowarstore.com.
[17:27.000 --> 17:32.000]  Body's ultimate turmeric formula, 95% of humanoid.
[17:32.000 --> 17:36.000]  It is incredible and what's even more incredible is
[17:36.000 --> 17:38.000]  it funds the infowar.
[17:38.000 --> 17:41.000]  So the only way you fail is not taking action today
[17:41.000 --> 17:44.000]  and ordering Body's ultimate turmeric formula
[17:44.000 --> 17:46.000]  at infowarstore.com.
[17:46.000 --> 17:48.000]  It is simply amazing.
[17:48.000 --> 17:51.000]  Discover the power of humanoids at 95%
[17:51.000 --> 17:54.000]  at infowarstore.com today
[17:54.000 --> 17:59.000]  with Body's ultimate turmeric formula.
[17:59.000 --> 18:02.000]  We are now living in the void,
[18:02.000 --> 18:05.000]  sliding towards collapse in the strange space
[18:05.000 --> 18:08.000]  between what we've known and what's to come.
[18:08.000 --> 18:12.000]  And right now, the most important thing to remember is
[18:12.000 --> 18:14.000]  don't panic. Stay calm,
[18:14.000 --> 18:17.000]  because now is the time that we must get our bearings
[18:17.000 --> 18:21.000]  and steer the ship onto a safe sound course.
[18:21.000 --> 18:23.000]  There is nothing stopping we the people
[18:23.000 --> 18:25.000]  from making our own rules
[18:25.000 --> 18:27.000]  and building our own society.
[18:27.000 --> 18:30.000]  All we gotta do is survive the crash.
[18:30.000 --> 18:33.000]  And right now, we still have time to prepare.
[18:33.000 --> 18:37.000]  The world fiat currency system is racing towards zero.
[18:37.000 --> 18:40.000]  It's time to convert it into hard assets now,
[18:40.000 --> 18:43.000]  including food, water, and survival gear
[18:43.000 --> 18:46.000]  to keep us strong and at the ready.
[18:46.000 --> 18:50.000]  Go to preparedtoday.com for the essentials,
[18:50.000 --> 18:53.000]  storable foods, water filtration, first aid,
[18:53.000 --> 18:59.000]  power, and more at preparedtoday.com.
[18:59.000 --> 19:02.000]  Several years ago, I approached one of the top companies
[19:02.000 --> 19:05.000]  in the U.S. that supplies the highest quality
[19:05.000 --> 19:08.000]  signature-reducing Faraday cages, the Pentagon,
[19:08.000 --> 19:10.000]  and other U.S. government agencies.
[19:10.000 --> 19:13.000]  And now, they have produced specifically for us
[19:13.000 --> 19:18.000]  this Made in America onion line at a very affordable price.
[19:18.000 --> 19:21.000]  Whether it's small pouches that protect your cell phone,
[19:21.000 --> 19:24.000]  or big pouches that protect laptops and iPads,
[19:24.000 --> 19:27.000]  or big bags that promote whatever electronics
[19:27.000 --> 19:29.000]  you want to put in it, like desktop computers,
[19:29.000 --> 19:33.000]  it is all exclusively available at infowarstore.com
[19:33.000 --> 19:36.000]  under the Redux name.
[19:36.000 --> 19:39.000]  Redux is InfoWars, taking the highest quality products
[19:39.000 --> 19:42.000]  and bringing them directly to you at infowarstore.com.
[19:42.000 --> 19:45.000]  In this insane world, you are crazy
[19:45.000 --> 19:48.000]  if you don't protect your signature, your identity,
[19:48.000 --> 19:51.000]  from identity theft, hackers, criminals,
[19:51.000 --> 19:52.000]  corporations, governments.
[19:52.000 --> 19:55.000]  This is one of the hottest items out there today
[19:55.000 --> 19:59.000]  that's exclusively available at infowarstore.com
[20:01.000 --> 20:05.000]  Leading a frontal assault on the lies of the New World Order,
[20:05.000 --> 20:27.000]  it's Alex Jones.
[20:27.000 --> 20:29.000]  All right, guys.
[20:29.000 --> 20:31.000]  I promised you I'm gonna go into World News
[20:31.000 --> 20:32.000]  for the rest of this broadcast,
[20:32.000 --> 20:35.000]  and we got so many special guests in studio,
[20:35.000 --> 20:36.000]  but I gotta finish up,
[20:36.000 --> 20:38.000]  because they just gave me transcripts and tweets
[20:38.000 --> 20:41.000]  of what's going on down at the kangaroo courthouse there
[20:41.000 --> 20:48.000]  where I'm being railroaded in the second phase of the damages.
[20:48.000 --> 20:50.000]  And again, it's all ridiculous
[20:50.000 --> 20:54.000]  because I'll tell you the secret of it here in just a moment.
[20:54.000 --> 20:57.000]  But I told you the guy had a name like Thurston Howell III,
[20:57.000 --> 20:59.000]  but they didn't say his two middle names.
[20:59.000 --> 21:00.000]  He said it on the stand,
[21:00.000 --> 21:02.000]  because I was there this morning.
[21:02.000 --> 21:05.000]  It's Bernard Pettygill.
[21:05.000 --> 21:06.000]  And he goes like,
[21:06.000 --> 21:11.000]  Bernard Sinwapilis Guvattimandius Pettygillis.
[21:11.000 --> 21:13.000]  I mean, I couldn't believe when he said his name.
[21:13.000 --> 21:16.000]  And so he's sitting there staring at me,
[21:16.000 --> 21:19.000]  and I knew I had to come to the show, at least some of it.
[21:19.000 --> 21:21.000]  And I said, I know what he's gonna say,
[21:21.000 --> 21:24.000]  and I left to be here, because I mean, we need to be on air.
[21:24.000 --> 21:25.000]  Their whole mission is to get us off air.
[21:25.000 --> 21:27.000]  They made a huge issue of that.
[21:27.000 --> 21:29.000]  We've now learned.
[21:29.000 --> 21:33.000]  But that's not the issue.
[21:33.000 --> 21:36.000]  They are saying that I perjured myself saying,
[21:36.000 --> 21:38.000]  yeah, I gave you my text messages.
[21:38.000 --> 21:39.000]  I gave it to my lawyers.
[21:39.000 --> 21:43.000]  Aha, we have your text messages from your lawyers.
[21:43.000 --> 21:45.000]  Yeah, a bunch of raw ones they gave you on accident,
[21:45.000 --> 21:47.000]  not just the ones that you were ordered to turn over
[21:47.000 --> 21:49.000]  with search terms.
[21:49.000 --> 21:50.000]  That's the only issue.
[21:50.000 --> 21:51.000]  It's not my whole phone.
[21:51.000 --> 21:53.000]  It's, again, from late 2019, 2020,
[21:53.000 --> 21:54.000]  and there's nothing there.
[21:54.000 --> 21:55.000]  We've looked at it.
[21:55.000 --> 21:57.000]  We haven't done anything wrong.
[21:57.000 --> 21:59.000]  There's headlines everywhere.
[21:59.000 --> 22:00.000]  He's going down perjury.
[22:00.000 --> 22:01.000]  It's incredible.
[22:01.000 --> 22:04.000]  They're up there saying, this man has $300 million a year.
[22:04.000 --> 22:06.000]  This man is worth $107 million.
[22:06.000 --> 22:10.000]  This man was paid $61 million last year.
[22:10.000 --> 22:13.000]  You know what that $61 million number is?
[22:13.000 --> 22:15.000]  Because they sued my dad that I'm partners with
[22:15.000 --> 22:19.000]  in the supplement company that we set up 10 years ago?
[22:19.000 --> 22:25.000]  $61 million is like four years,
[22:25.000 --> 22:29.000]  of what the supplements cost.
[22:29.000 --> 22:31.000]  You can see these are quality.
[22:31.000 --> 22:33.000]  We can buy stuff for 10% of what we buy.
[22:33.000 --> 22:35.000]  We buy the highest quality we can get.
[22:35.000 --> 22:40.000]  The $61 million is money paid by free speech systems
[22:40.000 --> 22:43.000]  into that company to get the product.
[22:43.000 --> 22:46.000]  And that's they're suing my poor dad,
[22:46.000 --> 22:48.000]  saying we want the $61 million.
[22:48.000 --> 22:50.000]  If this guy was a real economist,
[22:50.000 --> 22:53.000]  we already explained to him, it bought the damn product.
[22:53.000 --> 22:55.000]  But they keep saying, where's,
[22:55.000 --> 22:57.000]  they don't even say four years,
[22:57.000 --> 23:02.000]  which it says that's the number in four years.
[23:02.000 --> 23:07.000]  They say that it's what I paid myself last year
[23:07.000 --> 23:10.000]  when on the sheet it says four years.
[23:10.000 --> 23:11.000]  Where's the missing?
[23:11.000 --> 23:13.000]  So I've been there for a week and a half,
[23:13.000 --> 23:15.000]  and reporters rocked by and go, we're going to get you.
[23:15.000 --> 23:17.000]  We know you made $61 million last year.
[23:17.000 --> 23:20.000]  And I go, oh, yeah, all right.
[23:20.000 --> 23:24.000]  So again, these people are out of control.
[23:24.000 --> 23:28.000]  And the judge told all the news cameras,
[23:28.000 --> 23:33.000]  I've authorized all of you to be here.
[23:33.000 --> 23:35.000]  But no one else is allowed to film.
[23:35.000 --> 23:38.000]  And if you do, I'll have you arrested and stuff like that.
[23:38.000 --> 23:39.000]  She's on tape.
[23:39.000 --> 23:42.000]  And then whenever we speak, she cuts us off on YouTube
[23:42.000 --> 23:45.000]  and then lets them speak.
[23:45.000 --> 23:48.000]  So they can then have the news crews edit down
[23:48.000 --> 23:50.000]  and they're coordinating because they put out
[23:50.000 --> 23:53.000]  different camera shots, but down to the same sections.
[23:53.000 --> 23:55.000]  So somebody picks the time.
[23:55.000 --> 23:57.000]  They've got these directors back there talking to all the cameras
[23:57.000 --> 23:59.000]  and then they put out what they want.
[23:59.000 --> 24:00.000]  Here's an example.
[24:00.000 --> 24:01.000]  Everybody's telling me about it.
[24:01.000 --> 24:05.000]  On YouTube, you'll have 10 to one comments for me.
[24:05.000 --> 24:07.000]  And all of a sudden, they all get pushed down and deleted
[24:07.000 --> 24:09.000]  and a bunch of hateful comments get put to the top.
[24:09.000 --> 24:11.000]  It'll have like five upvotes.
[24:11.000 --> 24:15.000]  One with a thousand upvotes is removed or pushed to the bottom.
[24:15.000 --> 24:19.000]  So they are, this is a war game of how to control the media,
[24:19.000 --> 24:24.000]  how to control the court and how to coordinate this scam.
[24:24.000 --> 24:26.000]  And this is huge, ladies and gentlemen.
[24:26.000 --> 24:31.000]  So the judge is in live time manipulating what the world can see
[24:31.000 --> 24:33.000]  so they can edit it to make me look bad.
[24:33.000 --> 24:35.000]  So I'm asking all the listeners.
[24:35.000 --> 24:38.000]  They don't want you to look at the last week and a half of the trial.
[24:38.000 --> 24:40.000]  They don't want you, but there's copies all over the internet.
[24:40.000 --> 24:44.000]  People are now figuring out she's doing this without us even ever asking.
