[00:00.000 --> 00:01.000]  We've got it.
[02:24.000 --> 02:32.000]  If it hits as a four or five or God forbid a six, it's like 14 Godzilla's came out of the ocean.
[02:32.000 --> 02:35.000]  The level of destruction we're about to see.
[02:35.000 --> 02:44.000]  So I'm getting chills personally and one of our crew members, Quentin Carter, his wife stays part time in Florida.
[02:44.000 --> 02:48.000]  They've got a house there and he's going there to take care of her and the dogs.
[02:48.000 --> 02:52.000]  And I tell you, when he lands, everything's already going to be sold out, but he's a smart guy.
[02:52.000 --> 02:55.000]  He's already got a generator and plywood and stuff ready.
[02:55.000 --> 02:59.000]  But he's going to be there reporting from us live.
[02:59.000 --> 03:05.000]  And he's where a lot of the storm tracks say it's going to be hitting down there on the east coast in southern Florida.
[03:05.000 --> 03:07.000]  So this is amazing.
[03:07.000 --> 03:08.000]  This is biblical.
[03:08.000 --> 03:16.000]  We just saw the giant storm Harvey and they're still finding dead bodies there and much of Houston's already underwater.
[03:16.000 --> 03:23.000]  And unfortunately, this is going to distract some from the aid effort there, but how could it not?
[03:23.000 --> 03:25.000]  Now Harvey brought us together.
[03:25.000 --> 03:30.000]  The Lord works in mysterious ways and a lot of times historically, you see this in the Bible as well.
[03:30.000 --> 03:37.000]  Great, great tragedies are visited upon people as a warning to wake up.
[03:37.000 --> 03:39.000]  The left is saying it's global warming.
[03:39.000 --> 03:40.000]  It's manmade.
[03:40.000 --> 03:42.000]  The left is saying pay carbon taxes to globalists.
[03:42.000 --> 03:45.000]  We've signed on to their carbon taxes two years ago.
[03:45.000 --> 03:49.000]  It would never do greenhouse gases if they say drive these storms.
[03:49.000 --> 03:52.000]  And we've seen record lows in hurricanes the last 20 years.
[03:52.000 --> 03:55.000]  That's the weather channel's own admission.
[03:55.000 --> 04:01.000]  But now it's heating back up and this is the biggest, most deadly hurricane ever recorded.
[04:01.000 --> 04:11.000]  Now, typhoons get up to 170, 180 miles an hour because the Pacific Ocean's bigger and they have storms like this routinely.
[04:11.000 --> 04:16.000]  So clearly, they've only been measuring these for 60 years accurately.
[04:16.000 --> 04:23.000]  You know there's been hurricanes reported by the Spanish galleons and by the British Navy and by the U.S. Navy.
[04:23.000 --> 04:33.000]  Back before they had all the fancy equipment that talked about not a tree left standing on an island or not a tree left standing on a coastline.
[04:33.000 --> 04:35.000]  But we never seen hurricanes were not a tree's left standing.
[04:35.000 --> 04:39.000]  So they've been hit by sixes and you know there's been sevens.
[04:39.000 --> 04:43.000]  We've only been recording things for a little bit of time.
[04:43.000 --> 04:52.000]  So when they say this is the most deadly storm in history, it's the most deadly storm ever measured in the Atlantic Ocean.
[04:52.000 --> 04:57.000]  And it is a nuclear storm, as public officials are calling it.
[05:04.000 --> 05:11.000]  We've got great air filters, great water filters, great non-GMO heirloom seeds, great books, great films, great patriot apparel to meet like-minded people.
[05:11.000 --> 05:17.000]  And we've got a new humongoid sale, not a number of things that are on massive sale, but on what's on sale.
[05:17.000 --> 05:19.000]  Out for months, not been on sale for months and months.
[05:19.000 --> 05:27.000]  We've never offered super male vitality, no concentrated herbs, cold pressed, super male vitality, 57% off.
[05:27.000 --> 05:35.000]  It's never been the price it is right now with 3,596 reviews, 4.6 reviews total by third party sites, unprecedented.
[05:35.000 --> 05:36.000]  And it's cold pressed.
[05:36.000 --> 05:38.000]  That's why super male is so different.
[05:38.000 --> 05:42.000]  People say, well, I know these compounds work because it's admitted to science and these are what you sell.
[05:42.000 --> 05:44.000]  Buzzfeed said it's like it's already best-selling stuff.
[05:44.000 --> 05:46.000]  It's been certified as healthy and good forever.
[05:46.000 --> 05:47.000]  Why these aren't anything new?
[05:47.000 --> 05:52.000]  Because why do something new when you can have the oldest and best, but cold pressed?
[05:52.000 --> 05:53.000]  Boo.
[05:53.000 --> 05:54.000]  Boo.
[05:59.000 --> 06:04.000]  After being sold out for months, our best-selling super blue fluoride toothpaste is now back in stock.
[06:04.000 --> 06:05.000]  Nymphoverstore.com.
[06:05.000 --> 06:07.000]  Research across the board is clear.
[06:07.000 --> 06:12.000]  When bacteria infects your gums, it can enter your bloodstream and even contribute to blood clots and heart attacks.
[06:12.000 --> 06:19.000]  That's why the last surgeon general's report on oral health warns that your oral health can have a serious impact on your entire body.
[06:19.000 --> 06:23.000]  Super blue fluoride free toothpaste is a groundbreaking new formula.
[06:23.000 --> 06:26.000]  It's loaded with good halogen iodide, so the bad halogen fluoride.
[06:26.000 --> 06:34.000]  Super blue contains natural oils and ingredients used since biblical times to help wipe out bad bacteria and eliminate bad breath.
[06:34.000 --> 06:42.000]  Just some of the ingredients in super blue chosen by our dental experts include xylitol, peppermint oil, iodide, nano silver and more.
[06:42.000 --> 06:46.000]  Due to requests from listeners who found that spearmint was a little bit too strong for some of their children,
[06:46.000 --> 06:50.000]  we have created the new bubble gum flavored super blue that is spearmint free.
[06:50.000 --> 06:55.000]  Learn more about the new bubble gum flavored super blue toothpaste and more at infowarslife.com
[06:55.000 --> 06:59.000]  and support the info war while you support healthy gums and teeth.
[06:59.000 --> 07:04.000]  You deserve a deep restful sleep with knockout by info wars life.
[07:04.000 --> 07:15.000]  Our organic formula is made from high quality natural ingredients such as valerian root extract, L tryptophan, lemon balm leaf extract and melatonin.
[07:15.000 --> 07:20.000]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[07:20.000 --> 07:26.000]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life,
[07:26.000 --> 07:29.000]  we need to be able to keep up the pace.
[07:29.000 --> 07:37.000]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[07:37.000 --> 07:39.000]  Wake up refreshed and take on the day.
[07:39.000 --> 07:47.000]  Info wars life wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[07:47.000 --> 07:51.000]  Get the sleep you deserve and experience the power of knockout.
[07:51.000 --> 07:55.000]  Head on over to infowarslife.com and say goodbye to fatigue.
[07:55.000 --> 07:58.000]  That's infowarslife.com.
[08:01.000 --> 08:07.000]  From his central Texas command center deep behind enemy lines, the information war continues.
[08:07.000 --> 08:11.000]  It's Alex Jones and the GCN radio network.
[08:13.000 --> 08:21.000]  We are going to have continued coverage of Hurricane Irma that is already flattened.
[08:21.000 --> 08:26.000]  More than five major Caribbean islands.
[08:26.000 --> 08:32.000]  It still hasn't hit the bigger islands of Cuba and of Hispaniola.
[08:32.000 --> 08:37.000]  Of course, it makes up Haiti and the Dominican Republic, but it's getting very, very close.
[08:37.000 --> 08:44.000]  It's moving slowly through the Atlantic Ocean into the eastern Caribbean.
[08:44.000 --> 09:01.000]  And Barbuda has been, quote, totally demolished after Hurricane Irma levels 90% of all dwellings, including steel reinforced concrete structures totally destroyed.
[09:01.000 --> 09:06.000]  They are now reporting that the island is uninhabitable.
[09:06.000 --> 09:15.000]  Across the board, flights to Caribbean destinations, period, are being canceled by all major airlines.
[09:15.000 --> 09:29.000]  Richard Branson's luxury Necker Island that Obama likes to hang out at, close to Jerry Epstein's private island, destroyed by Hurricane Irma, completely destroyed.
[09:29.000 --> 09:36.000]  Miami Beach Mayor urges residents to get out of town now. This is a nuclear hurricane.
[09:36.000 --> 09:44.000]  The problem is the gas is sold out in almost all areas of southern and particularly eastern Florida.
[09:44.000 --> 09:50.000]  The stores were sold out a day ago.
[09:50.000 --> 09:59.000]  The roads are clogged. A lot of people don't have gas. This is a mega disaster about to happen.
[09:59.000 --> 10:05.000]  If it hits Florida broadside and runs up the state as a category four or five, it will be biblical.
[10:05.000 --> 10:18.000]  It may just jump the state, leaving a limited trail of disaster and devastation and smack into the panhandle running up through Tennessee in many of the tracks.
[10:18.000 --> 10:23.000]  Or it may hit Texas and Louisiana again.
[10:23.000 --> 10:36.000]  There's a good chance in some models, they're just not trying to create panic, that if it does jump into the main gulf of Mexico, that it's going to come into Louisiana or Mississippi.
[10:36.000 --> 10:40.000]  That's where they normally go.
[10:40.000 --> 10:47.000]  And there's a good probability it's going to hit Texas again. So you think about that, ladies and gentlemen, this is incredible.
[10:47.000 --> 10:54.000]  Oh, and Limbaugh, who I'm not attacking, said the media is hyping this. They always overhype hurricanes.
[10:54.000 --> 11:01.000]  It's not going to be a strong one. It hits us. And I get he's trying to maintain calm and he's there on the east coast of Florida and he's been through many hurricanes.
[11:01.000 --> 11:05.000]  And a lot of times they hype up hurricanes and they're not bad.
[11:05.000 --> 11:13.000]  So I think it's fair to say what he said, but this is different. This hurricane is a category six.
[11:13.000 --> 11:22.000]  So to hype this and to say it's doomsday level for people on its path is not the normal exaggeration.
[11:22.000 --> 11:29.000]  Yes, the media has cried wolf. Folks know I don't cover a lot of hurricane news normally because usually it's hype.
[11:29.000 --> 11:41.000]  I'm covering Irma because we just got t-boned in Texas by Harvey and Harvey was a soaker and knocked some stuff down and turned over some buildings and things.
[11:41.000 --> 11:48.000]  But it's nothing in its power of Irma.
[11:48.000 --> 11:57.000]  We're going to know in the next 24 to 36 hours where it's going to hit and where it's going to go.
[11:57.000 --> 12:04.000]  And it's like watching a big monster just lumber towards the country. How could you even turn your eyes away from it?
[12:04.000 --> 12:12.000]  It's riveting in a sickening way.
[12:12.000 --> 12:17.000]  A lot of the past have it going up the east coast and then into Georgia, then into South Carolina.
[12:17.000 --> 12:21.000]  Two nuclear power plants in Florida are directly in the path of Hurricane Irma.
[12:21.000 --> 12:27.000]  Could it cause another meltdown like we saw with Fukushima?
[12:27.000 --> 12:30.000]  South Florida nuclear plants say they're ready.
[12:30.000 --> 12:35.000]  Irma will be devastating for U.S. emergency, says U.S. emergency chief.
[12:35.000 --> 12:38.000]  Yeah, it's very serious knocks the economy.
[12:38.000 --> 12:45.000]  U.S. military preparation for Hurricane Irma now include four Navy ships and thousands of troops.
[12:45.000 --> 12:49.000]  Dade residents find some pumps dry, water and short supply.
[12:49.000 --> 12:54.000]  That was just hours ago. Now they're saying most pumps dry.
[12:54.000 --> 12:58.000]  That was last night. Now most pumps are dry.
[12:58.000 --> 13:06.000]  Airlines scramble and roads fill as residents and visitors rush to get out of Florida ahead of Irma.
[13:06.000 --> 13:08.000]  Staring into oblivion.
[13:08.000 --> 13:20.000]  Bahamas, Dominican Republic, Turks and Caicos, brace for impact as Irma powers on after laying waste to multiple Caribbean islands,
[13:20.000 --> 13:24.000]  killing 10 islanders we know of in the deadly path.
[13:24.000 --> 13:31.000]  Protein surfer dies in Barbados, catching Irma wave.
[13:31.000 --> 13:38.000]  Home Depot customers attacked in plywood dispute during Hurricane Irma preparations.
[13:38.000 --> 13:44.000]  Irma made topple construction cranes in South Florida, residents warned to evacuate.
[13:44.000 --> 13:50.000]  Hurricane Irma, big retailers say more supplies are on the way as Amazon gouges customers.
[13:50.000 --> 13:54.000]  Well, they're liberal, so it's okay. Just like Apple and slave factories.
[13:54.000 --> 14:01.000]  Long as you're liberal, slave factories are cool. Suicide nets are neat.
[14:01.000 --> 14:08.000]  You'll float too, says Amazon Chiefs Jeff Bezos. You'll float too.
[14:08.000 --> 14:13.000]  Hurricane Irma has a potential of affecting every major city in Florida.
[14:13.000 --> 14:16.000]  USA Today reports from reports with NOAA.
[14:16.000 --> 14:19.000]  Hurricane Irma, Florida expected to get hit.
[14:19.000 --> 14:23.000]  But where unclear?
[14:23.000 --> 14:28.000]  So that's just some of the news we're going to be covering today.
[14:28.000 --> 14:37.000]  Meanwhile, they're turning churches and monasteries from Spain to Germany to France over to Islamist and even taking down the crosses
[14:37.000 --> 14:46.000]  and brands of food that have just crosses tiny in the distance on top of buildings are removing it not to be hurtful of the Muslims.
[14:46.000 --> 14:51.000]  And now another major French monastery turned into an asylum center.
[14:51.000 --> 14:58.000]  Hungarian Prime Minister warns the Islamification of Europe is real and another big report.
[14:58.000 --> 15:08.000]  Germany and Sweden announced expansion to not just give welfare and free housing to returning ISIS members.
[15:08.000 --> 15:18.000]  This is Derspiegel reporting it like it's a good thing, but they're going to give them the headline states preferential treatment at the head of the welfare line.
[15:18.000 --> 15:34.000]  As the red bloody carpet of Islam's victims is rolled out into the Middle East and North Africa and as 80 plus percent of the refugees, the invaders are military age men.
[15:34.000 --> 15:43.000]  You can rebuild from a hurricane. You can't rebuild from an Islamic takeover.
[15:43.000 --> 15:50.000]  There it is returning Islamic State fighters given protected identities to start new lives in Europe.
[15:50.000 --> 15:54.000]  I hadn't seen that one, that Breitbart article.
[15:54.000 --> 16:07.000]  I just had the article yesterday that I'd got to so I thought I'd mention it where ISIS fighters in Sweden given preferential treatment for housing and welfare.
[16:07.000 --> 16:15.000]  Now, a lot of people are criticizing Trump for raising the debt limit.
[16:15.000 --> 16:21.000]  They want to scuttle the US economy. They want to lower our bond ratings.
[16:21.000 --> 16:28.000]  Moonies and others, the big central banks have been trying to downgrade the US trying to kill the Trump recovery.
[16:28.000 --> 16:33.000]  They've been trying to and have raised interest rates what four times since he got in trying to put a damper on.
[16:33.000 --> 16:42.000]  They're putting out all this bad news to kill the recovery because they want to consolidate control and they know the recovery beginning will get Trump's agenda through.
[16:42.000 --> 16:49.000]  So when the Republicans that helped write Obamacare wouldn't repeal it, when they wouldn't give the tax cut, what is Trump supposed to do?
[16:49.000 --> 17:00.000]  He uses leverage, goes with the Democrats and gets the debt ceiling raised so they can't corner him while we've got major hurricanes and huge disasters
[17:00.000 --> 17:12.000]  and have standard and poors and Moody's and Barons and others lower our credit rating and plunge us into a depression that they hang around the neck of populist just like they did in 1929.
[17:12.000 --> 17:21.000]  Just like they blame protectionism for that when it was the whole globalist gear up. History's repeating. So Trump did what he was supposed to do.
[17:21.000 --> 17:31.000]  Getting the 8 billion in aid for Harvey. He's about to need probably 40 billion in aid for Florida alone. They're estimating. That's a conservative number.
[17:31.000 --> 17:38.000]  If we don't prop up the economy now, the globalists are going to implode it. I don't like fiat money. I don't like all this.
[17:38.000 --> 17:45.000]  But the globalists have been using it for 102 years to buy up the world using American money.
[17:45.000 --> 17:50.000]  Now Trump's trying to use it to get the economy going because we don't have that. We have nothing.
[17:50.000 --> 17:58.000]  For the first time in decades, the debt started going down this year. The trade deficit started going down this year.
[17:58.000 --> 18:08.000]  Trump was taking us in the right direction, but I see and culture and others going, you didn't do enough with DACA because you say you'll work with the Democrats and the Republicans if they reform it.
[18:08.000 --> 18:15.000]  You're breaking your promise to all these families that came to the White House and talked about how they were killed by illegal aliens. No, he's not.
[18:15.000 --> 18:23.000]  DACA was done illegally as an executive order by Obama. It's totally lawless. Most of the people are full grown adults who are lying about being here since they were little.
[18:23.000 --> 18:31.000]  And Trump wants a plan where you show you've been here, you've got a degree, you're out of high school, you don't have a criminal record, then you could become a citizen.
[18:31.000 --> 18:40.000]  But not a wide open to call anybody that gets here a dreamer with no evidence and have a fiat total legalization. That's a fraud.
[18:40.000 --> 18:50.000]  And the Republicans won't go in there and create a bill that's reasonable so Trump used executive power that Obama used to create it to kill it.
[18:50.000 --> 18:57.000]  If it was illegally born, then Trump can legally, with that same executive power, kill something.
[18:57.000 --> 19:09.000]  And he said, you fix it, I'll put it through. That's keeping the promise to not let people that have been deported 42 times, 26 times in many of these famous cases, rape, murder, arson,
[19:09.000 --> 19:13.000]  mainly against the Hispanic communities where these people live.
[19:13.000 --> 19:21.000]  But again, the media distorts what he said, just like he did when he said Antifa is bad too, they said, oh, he's endorsed white supremacists.
[19:21.000 --> 19:29.000]  Three weeks later, Antifa's running around beating prayer vigils and the Democrats turned their back on it, realizing the optics weren't working, America wasn't buying it.
[19:29.000 --> 19:33.000]  I'm not just defending Trump to defending. I'm not getting paid by Trump.
[19:33.000 --> 19:42.000]  I'm defending him because I study the real policies, not what we've been told he's supposedly doing.
[19:42.000 --> 19:45.000]  But we're about to get hit with another massive hurricane.
[19:45.000 --> 19:55.000]  We have to up the debt limit because they're trying to trick him into not doing it to devalue the entire country's rating right when Trump's trying to get our rating to the highest level.
[19:55.000 --> 20:16.000]  We'll be back.
[20:25.000 --> 20:38.000]  You want to save money in a place that gives you growth, control and certainty without stock market risk or tax risk, and you want guarantees and you want it all tax-free.
[20:38.000 --> 20:44.000]  That's a tall order, but you can get all of that with properly designed participating whole life insurance.
[20:44.000 --> 20:52.000]  Most people think life insurance pays after you're dead. That's true, but you can have tax-free access to use your life insurance while you're alive.
[20:52.000 --> 20:58.000]  Get the free book to find out how. Call 702-660-7000.
[21:23.000 --> 21:28.000]  But with the rapid speed of life, we need to be able to keep up the pace.
[21:28.000 --> 21:36.000]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[21:36.000 --> 21:46.000]  Wake up refreshed and take on the day. InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[21:46.000 --> 21:57.000]  Get the sleep you deserve and experience the power of knockout. Head on over to infowarslife.com and say goodbye to fatigue. That's infowarslife.com.
[22:16.000 --> 22:27.000]  Our power grid vulnerable to long-term allergies from a single cyber attack. When the chaos from any one of these threats arises, the government knows it can't provide during a widespread national emergency.
[22:27.000 --> 22:36.000]  That's why you need your own plan for self-reliance. That's where my Patriot supply comes in. Get a 4-week survival food supply for only $99.
[22:36.000 --> 22:48.000]  That includes breakfast, lunches and dinners. Order online at preparewithgcn.com. $99 for 4 weeks of survival food that tastes like homemade cooking and lasts up to 25 years.
[22:48.000 --> 22:57.000]  From my Patriot supply, get your kits today at preparewithgcn.com. Free shipping is included. Prepare with gcn.com.
[22:57.000 --> 23:08.000]  It's an o-brainer. A Big Berkey water filter is the one you need, period. You need a water filter that removes chlorine, fluoride, pharmaceuticals, BPA and other endocrine disruptors, pesticides, bacteria, viruses and much more, right?
[23:08.000 --> 23:14.000]  And does it all at only $0.02 per gallon. Get the original, most trusted name in gravity water filtration, Big Berkey.
[23:14.000 --> 23:27.000]  And now gcn listeners receive 5% off ceramic filter systems using code GCN. Call or click 1-877-99 Berkey or bigberkeywaterfilters.com. That's 1-877-99 BERKEY.
[23:27.000 --> 23:33.000]  If you had purchased $100 of Bitcoin in 2010, today you'd have $2,600,000.
[23:33.000 --> 23:49.000]  While that sinks in, you now have a huge cryptocurrency opportunity at below market price at a guaranteed $0.10 per coin. ProCoin. A coin publicly traded on the open market, easily converted to cash, available in 60 countries, and ProCoin is the only cryptocurrency offering coinback rewards for consumers and merchants.
[23:49.000 --> 23:56.000]  Take action by August 31st at ProCoinCurrency.net. That's ProCoinCurrency.net. Deadline for 10 cent guarantee is August 31st.
[24:19.000 --> 24:28.000]  Looking for adventure, and whatever comes our way, nothing's gonna make it happen.
[24:28.000 --> 24:39.000]  Exploding the space.
[24:39.000 --> 24:44.000]  Ladies and gentlemen,
[24:44.000 --> 24:57.000]  I get in here, and I read the news, and I go over the information, and it's so ultramassive and so important that it's like my head's going to explode.
[24:57.000 --> 25:07.000]  And people that know me say, you're so calm in your regular life around your family, around your wife at dinner. Why are you bouncing off the walls on air?
[25:07.000 --> 25:20.000]  Because I look at hundreds of articles before I get here, I watch dozens of video clips, I read sections of legislation, and then I watch mainstream news and see what they're saying about it.
[25:20.000 --> 25:23.000]  It's incredibly frustrating.
[25:23.000 --> 25:39.000]  Like, I actually watch what Trump says and what he puts out in a press release on DACA, and then I see the conservatives attacking, and then I see the liberals attacking when what he's doing is incredibly reasonable and is keeping his promises.
[25:39.000 --> 25:42.000]  That's what's frustrating. And it isn't about groveling to Trump.
[25:42.000 --> 25:55.000]  When he's wrong about WikiLeaks, that put him in office basically, saying it's bad, and when he's wrong about his marijuana war, and so many other issues, I talk about it.
[25:55.000 --> 26:08.000]  But as a person overall, he's in our corner trying to turn the country back on financially and culturally and militarily, and trying to transfer power back to the people.
[26:08.000 --> 26:25.000]  And then I look at something like Irma coming in. America should be coming together big time with this storm about to hit and praying for Florida and getting ready to support Florida and help them get people out of Florida and other states because this is an incredible time to be alive right now.
[26:25.000 --> 26:37.000]  But instead, particularly, I see the Democrats trying to get political points out of everything they can, and it's sickening they need to get in trouble politically and culturally for what they're doing.
[26:37.000 --> 26:46.000]  They're bad people. They're really bad, and I'm sick of them. I'm tired of their crap.
[26:46.000 --> 26:53.000]  And then I see something last night as I was going to bed about this, and I almost couldn't go to bed. It was so powerful.
[26:53.000 --> 27:01.000]  And then I got back up this morning and was at infowars.com and saw the report, and I thought, well, surely this is going to be big news all over the place.
[27:01.000 --> 27:10.000]  So I put it into a search engine at 6am this morning when I got up, and I saw in the news feed maybe five stories on it.
[27:10.000 --> 27:20.000]  Now, I want to post this in full infowars.com. I don't ever do that with other people's news, and I'm sure the Daily Caller is fine because this is so powerful.
[27:20.000 --> 27:35.000]  But the headline isn't one-tenth as strong as it should be, and when we come back, I'm going to give it that headline and post it to infowars.com.
[27:35.000 --> 27:45.000]  And news like this is so powerful that I don't even feel worthy to cover it because I don't feel like I'm going to build it up enough.
[27:45.000 --> 27:57.000]  I don't feel like I'm going to explain it properly and talk about how mega-ultramassive it is and how it connects to everything and how it totally illustrates exactly what we're facing.
[27:57.000 --> 28:01.000]  But I'm going to cover it when we come back.
[28:01.000 --> 28:03.000]  Wow.
[28:03.000 --> 28:10.000]  I mean, I'm like a racecar engine rev in too many thousand RPMs right now. This is just incredible.
[28:10.000 --> 28:16.000]  And it's amazing.
[28:16.000 --> 28:19.000]  I'm going to stop right there.
[28:19.000 --> 28:22.000]  Please financially support the broadcast. I want to thank you all for your support.
[28:22.000 --> 28:32.000]  We're making it so easy with the very best rated supplements, the very best high-quality water filtration, and storeable foods, the very best Patriot apparel to spread the word and meet like-minded people.
[28:32.000 --> 28:41.000]  If you're interested in venture to wear an infowars.com shirt or a Promise My President shirt out there and conservative areas to get your dinner bought for you and might meet your wife or your husband or your great friends.
[28:41.000 --> 28:46.000]  But you'll probably get physically attacked in the area that's falling to tearing.
[28:46.000 --> 28:54.000]  But we have 50% off all infowars select storeable food. When I say select, that's the name of our private label. It's their entire spectrum of my Patriot supply.
[28:54.000 --> 29:03.000]  If you're a promo code Irma at checkout, you are able to get 50% off. They've never offered it at this. No one else has ever been authorized to do it.
[29:03.000 --> 29:16.000]  This is not like raise the price and drop it 50%. This is 50% off the already incredibly low and competitive price on newly packaged 25-year shelf life high quality vacuum sealed amazing quality storeable foods.
[29:16.000 --> 29:24.000]  Infowarslife.com, Infowarsstore.com, water filtration is 30% off. Infowarsstore.com.
[29:24.000 --> 29:32.000]  We're not raising prices like that slime bag Jeff Bezos at Amazon raking people over the coals during a disaster.
[29:32.000 --> 29:38.000]  We lower the prices during the disaster because that's how we want to be treated too.
[29:38.000 --> 29:48.000]  And then we've got caveman 50% off and we've got X2 and Super Mail. That's got to end today because we're selling out. That's 57% off.
[29:48.000 --> 29:52.000]  We're on the march. I'm coming back. Get ready.
[29:52.000 --> 30:00.000]  Alex Jones and the GCN Radio Network.
[30:00.000 --> 30:07.000]  You know someone very profoundly once said many years ago that if fascism ever comes to America, it'll come in the name of liberalism.
[30:07.000 --> 30:13.000]  You're a white male. You're a white man.
[30:13.000 --> 30:19.000]  Welcome to The War Room, the latest expansion in Infowars live broadcasting.
[30:19.000 --> 30:28.000]  We are live weekdays from three to six p.m. central at Infowars.com slash show and this YouTube channel right here that you've landed on.
[30:28.000 --> 30:34.000]  Please subscribe to the channel for updates and notifications. You can follow us on Twitter at war room show.
[30:34.000 --> 30:42.000]  We are going to have the most powerful guest, the most powerful host. Will he be hearing from Alex Jones regularly as well as taking your phone calls.
[30:42.000 --> 31:00.000]  The liberal establishment media has controlled the narrative for too long. The silent majority is no longer silent. This is The War Room.
[31:00.000 --> 31:07.000]  It's not just our water we need to filter. It's not just our food that needs to be cleaned. It's the air we're breathing, especially for our children.
[31:07.000 --> 31:13.000]  The artificial particulates of the chemicals is absolutely weighing down our immune systems.
[31:13.000 --> 31:22.000]  The same team based right here in America that brought you the Alexa pure groundbreaking water filtration systems have now developed Alexa pure breeze.
[31:22.000 --> 31:29.000]  Whether it's your home or office, you owe it to yourself, your coworkers, your family, your children to the best job you can to purify your air.
[31:29.000 --> 31:37.000]  The elite are masters at poisoning our environment while themselves doing things that mitigate or avoid most toxic effects for themselves.
[31:37.000 --> 31:47.000]  The general public doesn't. The Alexa pure breeze will be a steal at $300, $400, $500. One of these systems can keep 800 square feet incredibly clean.
[31:47.000 --> 31:53.000]  This is a system I'm personally putting in throughout my house replacing older, more expensive filters that didn't do as good a job.
[31:53.000 --> 32:00.000]  Find out why this system is so revolutionary today at InfoWarsStore.com.
[32:00.000 --> 32:07.000]  I am very proud to announce the introduction of the highest quality InfoWars Biome Defense Probiotic.
[32:07.000 --> 32:21.000]  We wanted to come out with the largest spectrum of high quality known probiotics that have been proven to improve overall digestion and health and detoxification in the body.
[32:21.000 --> 32:33.000]  Biome Defense is an exclusive blend of 50 billion live and active cultures from over 23 different probiotic strains that are known to support digestion and intestinal function.
[32:33.000 --> 32:40.000]  Our researchers are confident that we have been able to develop what will be the leading probiotic on the market.
[32:40.000 --> 32:49.000]  Secure your Biome Defense in ultra strength or regular strength at InfoWarsLife.com today and get started supporting your digestive system naturally.
[32:49.000 --> 32:59.000]  We've been testing this formula for years, but this is the limited first round of the public, so please take advantage of it today, support your own health and support the InfoWars.
[33:19.000 --> 33:48.000]  This breaking news story, if we don't get it out to everyone, will simply become another footnote in the Legion of Crimes
[33:48.000 --> 33:52.000]  committed by the Clinton crime family and their adjuncts.
[33:52.000 --> 34:03.000]  Ladies and gentlemen, there's a story from the Daily Caller and it's also in several other major newspapers that is getting almost no attention today that broke last night.
[34:03.000 --> 34:12.000]  We've posted the story in full to InfoWars.com and NewsWars.com.
[34:12.000 --> 34:25.000]  One of the top Democrat IT operatives who later fled or was trying to flee the Pakistan and who had other members of his family who did flee,
[34:25.000 --> 34:37.000]  who were inside the Democratic Party servers and knew about all the information and crimes that were going on and knew that Homeland Security had tried to get into the computers 20 plus times,
[34:37.000 --> 34:43.000]  but the Democrats had refused to let them in.
