[00:00.000 --> 00:04.000]  President Bush is speaking today about the new financial rescue package.
[03:56.000 --> 04:03.000]  Meanwhile, Belgium and Iceland continue to wrestle with how to save their own overstretched banks.
[04:03.000 --> 04:11.000]  Hong Kong authorities say its tests have showed the amount of melamine and Britain's Cadbury chocolate and cookies exceed a safe level for human consumption.
[04:11.000 --> 04:16.000]  These Chinese products are among those being recalled from Asia and the Pacific.
[04:16.000 --> 04:18.000]  Russian troops have lowered the flag from a checkpoint.
[04:18.000 --> 04:23.000]  And Georgian territory and Georgian officials say another post has been dismantled.
[04:23.000 --> 04:28.000]  The move comes as Russia faces a front-aid deadline to pull its troops out of the so-called security zones
[04:28.000 --> 04:33.000]  and establish edges of Georgian separatist territories after August's five-day war.
[04:33.000 --> 04:39.000]  The pullback is mandated under terms of an agreement brokered by French President Nicolas Sarkozy.
[04:39.000 --> 04:43.000]  For its notes, Chicago Cubs haven't won the World Series since 1908.
[04:43.000 --> 04:45.000]  It won't happen this year either.
[04:45.000 --> 04:50.000]  They laid out their street one win over the Cubs, sweep Chicago right out of the National League Division Series.
[04:50.000 --> 04:54.000]  I'm Pete LaValle, IRNUSA Radio News.
[04:54.000 --> 04:56.000]  Heart disease is on the rise.
[04:56.000 --> 05:01.000]  Clogged arteries, high blood pressure and high cholesterol levels may not be fully detected by you.
[05:01.000 --> 05:03.000]  But the symptoms are there.
[05:03.000 --> 05:09.000]  Life energy, blood sugar, spikes and drops, poor circulation and irregular heartbeat are just a few of these
[05:09.000 --> 05:11.000]  that can alert you that something is wrong.
[05:11.000 --> 05:17.000]  Here how heart and body extract is making a difference in thousands of people's lives across America.
[05:17.000 --> 05:19.000]  My blood pressure has normalized.
[05:19.000 --> 05:21.000]  My diabetes has totally improved.
[05:21.000 --> 05:25.000]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[05:25.000 --> 05:28.000]  I recommend heart and body extract to everyone.
[05:28.000 --> 05:36.000]  Everybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[05:36.000 --> 05:41.000]  Order your two-month supply today by calling 866-295-5305.
[05:41.000 --> 05:44.000]  That's 866-295-5305.
[05:44.000 --> 05:47.000]  Or order online hbextract.com.
[05:47.000 --> 05:51.000]  Heart and body extract 866-295-5305.
[05:51.000 --> 05:53.000]  Or hbextract.com.
[05:53.000 --> 05:56.000] ...
[05:56.000 --> 06:01.000]  Prepare yourself for a top radio experience.
[06:01.000 --> 06:03.000]  Like no other.
[06:03.000 --> 06:05.000]  Wrap yourselves in and hold on.
[06:05.000 --> 06:08.000]  He stands for truth.
[06:08.000 --> 06:11.000]  He stands for justice.
[06:11.000 --> 06:14.000]  He stands for what's right.
[06:14.000 --> 06:17.000]  This is The Alex Jones Show.
[06:17.000 --> 06:22.000]  Call Alex now toll-free at 877-590-847-847.
[06:22.000 --> 06:29.000]  590-5525, now live from Austin, Texas.
[06:29.000 --> 06:38.000]  Here's Alex Jones.
[06:38.000 --> 06:43.000]  Thank you for joining us, my friends, on this abbreviated Sunday edition.
[06:43.000 --> 06:48.000]  I do a four-hour weekday show and, of course, come in every Sunday for two hours from four
[06:48.000 --> 06:57.000]  to six p.m. Central Standard Time, five to seven Eastern, two to four Pacific.
[06:57.000 --> 07:00.000]  I want to leave out Mountain, three to five Mountain.
[07:00.000 --> 07:06.000]  Okay, today, this evening, we're going to have wide open phones throughout the entire show
[07:06.000 --> 07:11.000]  to discuss the banker takeover.
[07:11.000 --> 07:18.000]  The private Federal Reserve, private New World Order takeover of the World Banking System,
[07:18.000 --> 07:22.000]  which they already directed and had almost total control over.
[07:22.000 --> 07:28.000]  But now, this is the private global banking cartel known as the New World Order by themselves,
[07:28.000 --> 07:31.000]  their self-announced New World Order World Government pushers,
[07:31.000 --> 07:38.000]  to implode every Western government's finances to bankrupt every state and subdivision of those nations,
[07:38.000 --> 07:43.000]  including the 50 states and territories here in the United States, the possessions,
[07:43.000 --> 07:50.000]  and to bring in a new world banking system where you will buy carbon credits from the
[07:50.000 --> 07:53.000]  private central banks, where you will pay international taxes.
[07:53.000 --> 07:55.000]  They stage the crisis.
[07:55.000 --> 08:00.000]  They engineer the implosion, and then they offer the solution greater control.
[08:00.000 --> 08:03.000]  Years ago, we told you how this would play out.
[08:03.000 --> 08:08.000]  We haven't told you what happened in 2008, 2009, because we have their own documents.
[08:08.000 --> 08:11.000]  IMF and World Bank documents and others.
[08:11.000 --> 08:14.000]  And we even broke down that they would then propose a world government,
[08:14.000 --> 08:21.000]  a New World Order run by the private banks where you pay your taxes directly to them.
[08:21.000 --> 08:25.000]  And exactly what I wrote in my book, 9-11, The Sentence to Terony,
[08:25.000 --> 08:30.000]  six years ago published in early 2002, the last chapter, about 30 pages.
[08:30.000 --> 08:33.000]  You can read it free online, by the way. It's almost out of print.
[08:33.000 --> 08:35.000]  You can still get the book at infowars.com.
[08:35.000 --> 08:40.000]  We've got about 300 copies of the original 15,000 printed left,
[08:40.000 --> 08:44.000]  and it's all right there in the final chapter.
[08:44.000 --> 08:50.000]  And because we've predicted all of this and done hundreds of radio shows on it and laid out all the facts,
[08:50.000 --> 08:55.000]  just like we predicted the 9-11 attacks against the World Trade Centers on record, on radio and TV,
[08:55.000 --> 09:00.000]  credibility continues to explode and to rise everywhere I go.
[09:00.000 --> 09:08.000]  And basically the majority of people I even talk to, it's becoming insane, are listeners to the radio show.
[09:08.000 --> 09:11.000]  I went to the gym today, a gym I've never had a membership at.
[09:11.000 --> 09:14.000]  My wife got me one, and I ran into about eight people.
[09:14.000 --> 09:21.000]  It was dead, and half of them said, hey, I listened to the radio show on the Internet or on a local affiliate.
[09:21.000 --> 09:25.000]  I had Chuck Norris on this week. We just, you know, call him up.
[09:25.000 --> 09:27.000]  They say, sure, we'd love to come on. Start talking to Chuck.
[09:27.000 --> 09:30.000]  He goes, I've been listening to the show for many, many years.
[09:30.000 --> 09:34.000]  We listen every week up in Dallas when I'm out of town.
[09:34.000 --> 09:39.000]  I listen on the Internet. I mean, it doesn't matter. Everybody I run into listens.
[09:39.000 --> 09:42.000]  This is insane. I mean, what's going on here?
[09:42.000 --> 09:50.000]  I'd better do a really good job because I tend to underestimate the amount of people we reach here.
[09:50.000 --> 09:58.000]  That's amazing. I mean, sure, I can make a documentary, and it conservatively will be watched by 10 million people in the first month that it comes out on the Internet,
[09:58.000 --> 10:01.000]  just from the different places we have to gauge.
[10:01.000 --> 10:05.000]  And then it's, you know, passed around endlessly on different file sharing networks,
[10:05.000 --> 10:11.000]  and the radio shows are put up on YouTube and Google. People put video to them, and millions watch those every week.
[10:11.000 --> 10:16.000]  We know that about 100,000 people a day now download the free podcast at the end of the show each day.
[10:16.000 --> 10:22.000]  We know that just with our affiliates out there, we have about 2 million listeners during the weekday show throughout the four hours,
[10:22.000 --> 10:27.000]  and about a million and a half on the weekend show as it grows, just on rated MNFM stations.
[10:27.000 --> 10:36.000]  And so it is an amazing responsibility that I have just to really come to grips with the fact that this show was already huge,
[10:36.000 --> 10:38.000]  but it is growing exponentially.
[10:38.000 --> 10:46.000]  And that is happening because you, the listeners, are spreading the word about infowars.com and prisonplanet.com,
[10:46.000 --> 10:51.000]  and that's why the federal government openly says they want to shut down the freedom of the Internet and restrict free speech
[10:51.000 --> 10:57.000]  and not allow you to have access to radio shows like this because the mainstream media is dying,
[10:57.000 --> 11:01.000]  the alternative media is exploding like a hydrogen bomb.
[11:01.000 --> 11:07.000]  And taking everything with it in its path, all the lies, the corruption, it's being completely discredited,
[11:07.000 --> 11:13.000]  and I'm only one small part of this, the thousands of pieces of the puzzle that make the alternative media,
[11:13.000 --> 11:20.000]  but we are the biggest piece out of those thousands of pieces and a key focal point, so it's a great responsibility.
[11:20.000 --> 11:22.000]  Enough about the show.
[11:22.000 --> 11:26.000]  You can listen to the Chuck Norris interview, by the way, up at infowars.com.
[11:26.000 --> 11:30.000]  It is posted there along with Governor Ventura was on for over an hour.
[11:30.000 --> 11:38.000]  This week he's going to be doing a big TV show on True Channel, True TV,
[11:38.000 --> 11:43.000]  and well, you'll see what develops out of that.
[11:43.000 --> 11:45.000]  I'm going to be a sidekick on that.
[11:45.000 --> 11:51.000]  The program was originally pitched with myself in the pilot,
[11:51.000 --> 11:56.000]  but I never really talked about that because the pilot was not put on True TV,
[11:56.000 --> 12:00.000]  but Jesse Ventura, it looks like, is going to get the show on True TV.
[12:00.000 --> 12:02.000]  So that is very exciting.
[12:02.000 --> 12:07.000]  And he is coming down to Austin on the 26th, invited down by Willie Nelson and myself
[12:07.000 --> 12:16.000]  to be speaking at an event Willie Nelson is having at the last backyard concert before they move.
[12:16.000 --> 12:21.000]  And so that event's already sold out, but I will be speaking at that event.
[12:21.000 --> 12:26.000]  And Willie wants me to put it free on the Internet for everybody. That will be at infowars.com,
[12:26.000 --> 12:30.000]  and I would guess WillieNelson.com as well.
[12:30.000 --> 12:35.000]  So that's coming up on the 26th of this month, now only 21 days away.
[12:35.000 --> 12:41.000]  Okay, that is enough about the radio show and what the forces of liberty are doing.
[12:41.000 --> 12:48.000]  Thought I would give all of you the good report on how we are certainly giving the New World Order
[12:48.000 --> 12:53.000]  a run for its money, as they say.
[12:53.000 --> 13:02.000]  But the financial end of things ties in with Northcom, with Marshall Lobb,
[13:02.000 --> 13:05.000]  and with the rest of it.
[13:05.000 --> 13:12.000]  When we come back, I want to start at the beginning with something I covered in detail Friday.
[13:12.000 --> 13:15.000]  Multiple members of Congress have told me off air,
[13:15.000 --> 13:21.000]  and multiple members of Congress have said on air, on C-SPAN, a Republican and a Democrat now,
[13:21.000 --> 13:26.000]  but several that are afraid to come on air have also told me privately,
[13:26.000 --> 13:33.000]  that they were told throughout the week Marshall Law would be declared nationally.
[13:33.000 --> 13:37.000]  Physical Marshall Law, you know, the third brigade is now active,
[13:37.000 --> 13:40.000]  and the Army is going to rotate more brigades in for,
[13:40.000 --> 13:46.000]  it's said civil unrest and for suppressing the American people that was in the Army times two weeks ago.
[13:46.000 --> 13:53.000]  Of all places, the Seattle Post Intelligence, sir, decried it this morning on the front page of their paper,
[13:53.000 --> 13:57.000]  saying it's horrible and that Marshall Law is being prepared.
[13:57.000 --> 14:02.000]  Does that mean they're going to activate it? I don't know, but this is no longer just Alex Jones talking about that.
[14:02.000 --> 14:04.000]  See, we told you for years they were setting up for that,
[14:04.000 --> 14:11.000]  and now it's in the Army times in the Seattle Post Intelligence, sir, and we'll tell you exactly what's happening
[14:11.000 --> 14:15.000]  with that and on being reported on C-SPAN.
[14:15.000 --> 14:22.000]  Believe me, I didn't wish things were this way, that's just what you find when you actually research.
[14:22.000 --> 14:27.000]  And you know, I have had a lot of unpopular points of view on air, but they're just facts.
[14:27.000 --> 14:29.000]  I don't come on air and try to be popular.
[14:29.000 --> 14:35.000]  I've always come on air and tried to warn the people about information that was going on.
[14:35.000 --> 14:43.000]  I mean, if I went to urban warfare drills in Texas and California and got footage from Hebron, Maryland and Swansboro,
[14:43.000 --> 14:51.000]  North Carolina and other places, we would bring you the video of the Marines and the Army training
[14:51.000 --> 14:56.000]  with role players that were playing the part of Americans to have our families broken up,
[14:56.000 --> 15:00.000]  to have our children taken, and to be put in FEMA camps.
[15:00.000 --> 15:05.000]  And we started covering this back in 1997 with my first film, and I made three more after that,
[15:05.000 --> 15:13.000]  Police State 2000, Police State II The Takeover, Police State III Total Enslavement in 2002.
[15:13.000 --> 15:19.000]  And now that's gone from, you know, the footage I shot.
[15:19.000 --> 15:23.000]  Back then, I would show people this footage and they would see it and they couldn't believe it.
[15:23.000 --> 15:27.000]  They thought it was fake. They thought we had aircraft carriers landing in Oakland.
[15:27.000 --> 15:33.000]  They thought we had tanks in Oakland and they thought that we hired thousands of Marines and foreign troops.
[15:33.000 --> 15:36.000]  That was a level of denial 10 years ago.
[15:36.000 --> 15:43.000]  Well, now it's in the Army Times telling you how great it is and saying the Army says they hope they don't have to shoot you.
[15:43.000 --> 15:46.000]  Just hand over the pension fund or things will get rough.
[15:46.000 --> 15:54.000]  Well, they ride back, stay with us.
[15:54.000 --> 15:58.000]  Would you walk around with your credit card number displayed on your back for anyone to read?
[15:58.000 --> 16:04.000]  Of course not. But if you have one of the 50 million new contactless credit and debit cards in circulation in your wallet,
[16:04.000 --> 16:06.000]  that's exactly what you're doing.
[16:06.000 --> 16:11.000]  I'm Wal Augustino, it's founder of Identity Stronghold, and we think this is information you need to know.
[16:11.000 --> 16:16.000]  You may not even realize you already have one of these cards because they look physically just like the old card.
[16:16.000 --> 16:21.000]  The difference is an RFID chip hidden inside the card that makes radio communication with the card possible,
[16:21.000 --> 16:26.000]  right through your wallet, purse, or pants pocket without you ever removing the card.
[16:26.000 --> 16:29.000]  Pickpockets no longer even have to touch you to get your information.
[16:29.000 --> 16:35.000]  Our company realizes the privacy danger this represents and that's why we manufacture the secure sleeve.
[16:35.000 --> 16:42.000]  The secure sleeve is a patent pending card sleeve that contains a radio frequency barrier preventing radio signals from reaching your card.
[16:42.000 --> 16:47.000]  You can get more information and purchase the secure sleeve online at idstronghold.com.
[16:47.000 --> 16:53.000]  That's idstronghold.com or call us at 800-610-2770.
[16:53.000 --> 16:57.000]  The United States seems to be celebrating over its triumph of reducing government debt,
[16:57.000 --> 17:10.000]  but the truth be told public and private debt increased to a record high in 1999 reaching a peak of $14.8 trillion marking 10.57% annual increase outpacing its previous 10 years.
[17:10.000 --> 17:16.000]  The U.S. economy receives its currency by taking on debt through private banking institution called the Federal Reserve System.
[17:16.000 --> 17:20.000]  In the year 2000, debt growth collapsed to only 4.5%.
[17:20.000 --> 17:30.000]  It's bad enough that the U.S. citizens is bound by debt in order to have commerce, however shocking the economy with the reduction of this magnitude could wipe out years of growth in a stock portfolio.
[17:30.000 --> 17:34.000]  Before you make your next investment decision, get the cold hard facts.
[17:34.000 --> 17:41.000]  Call 1-800-686-2237 for your free report on the outstanding level of public and private debt.
[17:41.000 --> 17:45.000]  You must understand how recession and depression are driven by outstanding debt.
[17:45.000 --> 17:51.000]  Call 1-800-686-2237. That's 1-800-686-2237.
[18:16.000 --> 18:18.000]  Don't continue to suffer from pain due to misdiagnosis.
[18:18.000 --> 18:29.000]  Now you can fight internal parasites, heavy metal poisoning and high cholesterol naturally and safely by mixing fossilized phytoplankton powder also known as FPP with your favorite beverage once a day.
[18:29.000 --> 18:36.000]  FPP is used around the world, has numerous uses and is now available to you from freshwater organics.
[18:36.000 --> 18:47.000]  FPP strengthens skin, hair and bones, lowers cholesterol and is an excellent source of natural plant-based silica with 14 trace minerals. Order some today at freshwaterorganics.com.
[18:47.000 --> 19:07.000]  Or call 888-949-3570.
[19:18.000 --> 19:24.000]  One can of photo blocker will pay for itself many times over, last forever and is completely undetectable.
[19:24.000 --> 19:28.000]  You cannot afford to not be protected with spray your plate photo blocker.
[19:28.000 --> 19:35.000]  Call 1-800-276-9601 or go to sprayyourplate.com. That's sprayyourplate.com.
[19:35.000 --> 19:41.000]  All orders are kept strictly confidential. You are no longer defenseless against big brother who is watching us all.
[19:41.000 --> 19:50.000]  Go to sprayyourplate.com or call 800-276-9601. That's 800-276-9601 today.
[19:50.000 --> 19:53.000]  Don't give your money to the state, spray your plate.
[19:55.000 --> 20:01.000]  Thank you for listening to GCN. Be sure to visit GCNLive.com today.
[20:01.000 --> 20:12.000]  All right. Thank you again for joining us on this Sunday edition.
[20:12.000 --> 20:23.000]  Before I get into Representative Brad Sherman, Congressman, Marshall Wall will be declared a banker bill not passed in the house.
[20:23.000 --> 20:31.000]  It was the headline Friday morning on infowars.com and prisonplanet.com. I'm going to read you a few headlines.
[20:31.000 --> 20:39.000]  Here's CNBC. Bailout doesn't resolve fearsome economy or credit. Stock market drops more than 150 points.
[20:39.000 --> 20:47.000]  Warren Buffett to CNBC. Rescue will help, but not a panacea for economy.
[20:47.000 --> 20:51.000]  I mean, you'll need to pay more to the private bankers as they become the government.
[20:51.000 --> 20:55.000]  No rescue in sight for what ails economy, Los Angeles Times.
[20:55.000 --> 21:01.000]  Bloomberg, banker, Tsar, Paulson hires firm to hand out money to his own company.
[21:01.000 --> 21:05.000]  That's how that works in America. They just hand the money right to themselves.
[21:05.000 --> 21:09.000]  And you can't even question or review it. Read the bill.
[21:09.000 --> 21:16.000]  Banker bailout bill contains IRS police state provision. Kurt Nemo only has the subsections there for you.
[21:16.000 --> 21:21.000]  It says the bailout bill also gives the internal revenue service new authority to conduct undercover operations.
[21:21.000 --> 21:26.000]  It would immunize, give them immunity from the IRS from a parcel of federal laws,
[21:26.000 --> 21:30.000]  including permitting IRS agents to run businesses for extended sting operation,
[21:30.000 --> 21:34.000]  to put their own personal bank accounts with U.S. tax dollars and so on.
[21:34.000 --> 21:39.000]  So you like all the spies for the phony drug war? Well, now you're going to have IRS spies.
[21:39.000 --> 21:44.000]  And by the way, they get to violate the Fourth Amendment just under the terrorism provision.
[21:44.000 --> 21:49.000]  Just goons everywhere, man. And they get to have all the money they want.
[21:49.000 --> 21:56.000]  When tyranny happens, the criminals get control and they just put the federal treasury into their own bank account.
[21:56.000 --> 22:03.000]  Banker bailout total financial dictatorship. This is from the LRC Libertarian Party website.
[22:03.000 --> 22:10.000]  Banksters are now demanding that Europe pay $440 billion to bail out the continent of Europe.
[22:10.000 --> 22:17.000]  This is out of Reuters and George Bush's legacy, a $10 trillion national debt and growing.
[22:17.000 --> 22:21.000]  Here's another one, Homeland Security, space-based spying goes live.
[22:21.000 --> 22:25.000]  All those NSA satellites supposedly fight the Russians and fight LCI ADA.
[22:25.000 --> 22:30.000]  Oh, they admit it's going to be watching you and your farmer ranch if you're building a shack and not allowed to.
[22:30.000 --> 22:33.000]  It's going to be used to spy on the public.
[22:33.000 --> 22:38.000]  And local police will be federalized under it, driving around with live satellite feeds in their cars.
[22:38.000 --> 22:41.000]  So we'll cover that from global research.
[22:41.000 --> 22:51.000]  Also, the U.K. to spend 12 billion pounds or 25 billion US dollars to spy on all internet and phone calls in live time.
[22:51.000 --> 22:58.000]  Now, they're already doing that, but now they're just letting the slaves know, hey, there's no privacy in the U.S. or England.
[22:58.000 --> 23:01.000]  Everything you're doing is being listened to. Okay, part of freedom.
[23:01.000 --> 23:03.000]  And the military will drop by if you don't like it.
[23:03.000 --> 23:08.000]  Also, things are breaking down even worse down in Mexico.
[23:08.000 --> 23:12.000]  2,000 deaths this year so far in 10 months along the Texas-Mexico border alone.
[23:12.000 --> 23:20.000]  And then another area of Mexico, 49 killed in one week of violence in one town in Tijuana alone.
[23:20.000 --> 23:23.000]  That's what happens when the government deals the drugs.
[23:23.000 --> 23:26.000]  Society just completely breaks down, so we'll be covering that.
[23:26.000 --> 23:32.000]  But for those that don't know, Northcom activated more than a decade ago.
[23:32.000 --> 23:38.000]  But Northcom publicly activated after the staged attacks of 9-11 in Northcom's base in Colorado, Springs, Colorado.
[23:38.000 --> 23:42.000]  That's the real U.S. capital for the executive branch.
[23:42.000 --> 23:48.000]  Congress has been told under PDD 51, presidential assistant director 51, that they can't even be involved in government, basically.
[23:48.000 --> 23:56.000]  And, well, now Congress has to see PDD 51, the entire document, and that's the government's, the executive, so you're not allowed to see that.
[23:56.000 --> 24:03.000]  You said you're not even really part of the continuity of government now, total violation of the Constitution of the right, so Congress is co-equal with the executive.
[24:03.000 --> 24:06.000]  The legislative is with the executive.
[24:06.000 --> 24:16.000]  But back on Monday, I interviewed Congressman Burgess from Fort Worth, Republican, and they were told martial law in the house,
[24:16.000 --> 24:23.000]  the leadership of the house will just pass it, and you're not allowed to be in meetings, anybody that's against it.
[24:23.000 --> 24:29.000]  But then physical martial law was threatened Thursday and Friday that the U.S. would go into martial law.
[24:29.000 --> 24:41.000]  And Congressman Brad Sherman, Democrat, who by the way holds a Harvard degree in this very area of corporations and banking,
[24:41.000 --> 24:50.000]  he's an expert on bailouts, he and others were told that martial law will be declared and then the president will just do this if you don't.
[24:50.000 --> 24:58.000]  Well, in just a few hours, my great producer, Traykin Cabe, was able to get him on the show Friday, and he said yes.
[24:58.000 --> 25:06.000]  Blood in the streets, U.S. Army running everything, you can go listen to it, it's up on infowars.com, about 10 minute interview we did with him.
[25:06.000 --> 25:13.000]  But he said under the house rules, I was told in confidence, and I can't tell you which Congressmen were told this or who told me this,
[25:13.000 --> 25:16.000]  but yes, we were threatened with physical martial law.
[25:16.000 --> 25:31.000]  So this is from C-SPAN. We're going to go ahead now. This is him Friday in the house in the morning during the debate being told martial law physically will be declared.
[25:31.000 --> 25:39.000]  Congress will be dissolved. I mean, in Star Wars, Emperor Palpatine didn't do that until Episode 4.
[25:39.000 --> 25:46.000]  You know, after he'd been in power 20 years. Of course, that's a fantasy, so it's okay. But here in America, Hitler kept the Reichstag going throughout the war.
[25:46.000 --> 25:56.000]  He never had to dissolve it. They were just puppets. Stalin at least kept the Duma and the Kremlin as puppets.
[25:56.000 --> 26:03.000]  So here in America, hey, you don't do what you're told. We'll just abolish you. So let's go ahead and play that right here.
[26:03.000 --> 26:13.000]  The only way they can pass this bill is by creating and sustaining a panic atmosphere. That atmosphere is not justified.
[26:13.000 --> 26:22.000]  Many of us were told in private conversations that if we voted against this bill on Monday that the sky would fall,
[26:22.000 --> 26:27.000]  the market would drop two or 3,000 points the first day, another couple of thousand the second day,
[26:27.000 --> 26:34.000]  and a few members were even told that there would be martial law in America if we voted no.
[26:34.000 --> 26:43.000]  That's what I call fear-mongering, unjustified, proven wrong. We've got a week. We've got two weeks to write a good bill.
[26:43.000 --> 26:51.000]  The only way to write to pass a bad bill, keep the panic pressure on. Now, what has the Senate done to this bill?
[26:51.000 --> 27:00.000]  Okay, now, I told you the military is gearing up for martial law. I told you years ago that when Bill Clinton first set it up secretly,
[27:00.000 --> 27:09.000]  that Northcom is a directorate, a military operation zone over the United States, like Centcom or Southcom.
[27:09.000 --> 27:16.000]  And in their own documents, they say they'll use foreign troops to suppress the American people. They'll also hire felons.
[27:16.000 --> 27:20.000]  Don't believe me. Just Google that. It's mainstream news. They come out and tell you it's good.
[27:20.000 --> 27:25.000]  Now, it's in Army Times. Now, it's in the Seattle Post-Intelligencer.
[27:25.000 --> 27:32.000]  The Army Times is saying it's wonderful, and Post-Intelligencer is saying it's horrible.
[27:32.000 --> 27:39.000]  The point is, is that the military does not like this, the low-level people, the higher-ups, they love it.
[27:39.000 --> 27:45.000]  And they're basically getting the good guys out of the military and hiring illegal aliens and felons.
[27:45.000 --> 27:49.000]  And if you don't know about that, just Google it. It's AP Reuters. Of course, they're telling you it's good, though.
[27:49.000 --> 27:54.000]  The whole aggravated felons, they're illegal aliens, make great troops. I'm not making that up.
[27:54.000 --> 28:01.000]  That's what Stalin did. He hired felons out of the jails. Hitler did that. His essay that took him to power were mainly criminals.
[28:01.000 --> 28:08.000]  You can't make this up. Now, the private bankers are taking over the society.
[28:08.000 --> 28:14.000]  This is a complete takeover. They engineered all of this, and the bailout is going to make things worse not better.
[28:14.000 --> 28:17.000]  I'm not the only one saying that. Hundreds of top economists are.
[28:17.000 --> 28:22.000]  In the show, next hour, call your friends, call your family, call your neighbors, tell them to tune in,
[28:22.000 --> 28:30.000]  whether you're listening on KCXL in Kansas City or News Radio 590KLBJ in Austin or KCAA in San Diego,
[28:30.000 --> 28:36.000]  affiliates all over the Sunshine Network in New York State, three stations there, stations in Florida,
[28:36.000 --> 28:44.000]  stations in Wyoming and Utah and Colorado.
[28:44.000 --> 28:48.000]  Call everybody you know, tell them to tune in. I'm going to take calls starting now and come back over to the news.
[28:48.000 --> 28:53.000]  Then I'm going to cover this all in detail at the start of the next hour. Stay with us.
[28:53.000 --> 28:57.000]  Alex Jones here with a question. What does humidity mean to you?
[28:57.000 --> 29:04.000]  Most people think of hot and sticky summer days, but many people are beginning to realize that humidity can be a valuable source of pure drinking water.
[29:04.000 --> 29:14.000]  That's why I'd like you to visit AkolaBlue.com. AkolaBlue is a state-of-the-art atmospheric water generator producing purified drinking water
