[00:00:25.865 --> 00:00:26.705]  The year is 2020.
[00:08:53.334 --> 00:09:01.780]  Folks, in the spirit of unity, I'd like to bring out my new friend, Alex Jones, is it?
[00:09:01.780 --> 00:09:03.642]  I think his name is Alex Jones.
[00:09:25.746 --> 00:09:36.375]  Not David Rockefeller, not Bill Gates, not Barack Obama, not Joe Biden, but Jesus Christ is King!
[00:09:36.375 --> 00:09:42.520]  And God gave us and rose up Donald Trump to stand against the enemy and draw out the enemy.
[00:09:42.520 --> 00:09:49.947]  So as dark as some of these days are, understand this is the beginning of the great revival before the Antichrist comes!
[00:09:52.888 --> 00:09:54.469]  World government!
[00:09:54.469 --> 00:09:56.311]  Implantable microchips!
[00:09:56.311 --> 00:09:57.111]  Satanism!
[00:09:57.111 --> 00:09:58.452]  It's out of the open!
[00:09:58.452 --> 00:10:00.674]  The Bible is fulfilled!
[00:10:00.674 --> 00:10:02.555]  Revelation is fulfilled!
[00:10:02.555 --> 00:10:04.656]  Jesus Christ is fulfilled!
[00:10:04.656 --> 00:10:07.158]  God Almighty is in charge!
[00:10:07.158 --> 00:10:12.842]  And we follow that mighty God!
[00:10:12.842 --> 00:10:15.524]  You look at the miserable globalists.
[00:10:15.524 --> 00:10:17.906]  You look at people like Bill Gates.
[00:10:17.906 --> 00:10:21.889]  And you look at people like Mark Zuckerberg and the rest of them.
[00:10:23.027 --> 00:10:35.255]  They are miserable slaves of Satan, and we pray for them and hope that the Holy Spirit can still touch their soul.
[00:10:35.255 --> 00:10:45.042]  But more importantly, we pray for President Donald John Trump in this incredibly serious moment.
[00:10:47.703 --> 00:10:59.747]  And we pray for all the women in America who the system's trying to lie to, to kill their babies, and we say, don't kill your babies!
[00:10:59.747 --> 00:11:02.727]  The enemy has been forced out in the open.
[00:11:02.727 --> 00:11:05.268]  World government is here.
[00:11:05.268 --> 00:11:13.170]  And the system is publicly stealing this election from the biggest landslide and the biggest political realignment since 1776!
[00:11:19.080 --> 00:11:21.761]  Our God is the God of the universe!
[00:11:21.761 --> 00:11:26.083]  Our God is the God of strength and honor and will!
[00:11:26.083 --> 00:11:28.464]  And God is in control!
[00:11:28.464 --> 00:11:35.087]  And God is on our side!
[00:11:35.087 --> 00:11:37.008]  So we praise God!
[00:11:37.008 --> 00:11:38.769]  And we thank God!
[00:11:38.769 --> 00:11:44.412]  And we know that it's all in God's plan and the Lord works in mysterious ways!
[00:11:46.656 --> 00:11:54.478]  Christ's crucifixion was not our defeat, it was our greatest victory!
[00:11:54.478 --> 00:12:02.560]  When he rose again on the third day, he broke the chains of hell and death!
[00:12:02.560 --> 00:12:05.561]  We have the deed to this planet!
[00:12:05.561 --> 00:12:08.222]  We have the deed to eternal life!
[00:12:08.222 --> 00:12:11.963]  And we praise Jesus Christ and the Father!
[00:12:15.768 --> 00:12:30.732]  The enemy wants to keep the whorehouses open, and the liquor stores open, and the Walmarts open, and the Targets, and the Amazons, while they tell you that churches are not essential!
[00:12:30.732 --> 00:12:37.334]  Congress shall make no law establishing the establishment of religion or prohibiting the free exercise thereof.
[00:12:39.386 --> 00:12:46.012]  Congress shall make no law respecting the establishment of religion or the free exercise thereof.
[00:12:46.012 --> 00:12:51.936]  Meaning, our forebears did not have separation of church and state as they spent it.
[00:12:51.936 --> 00:12:59.623]  It means the state has no jurisdiction over any of us.
[00:12:59.623 --> 00:13:03.146]  Our relationship with God is sacred and is eternal.
[00:13:04.421 --> 00:13:07.483]  So no, whatever happens, we will never give up.
[00:13:07.483 --> 00:13:08.824]  We will never surrender.
[00:13:08.824 --> 00:13:15.289]  We will never back down to the satanic, pedophile, globalist New World Order.
[00:13:15.289 --> 00:13:22.574]  And their walking dead, reanimated corpse, Joe Biden.
[00:13:22.574 --> 00:13:27.717]  And we will never recognize him.
[00:13:27.717 --> 00:13:30.499]  President Trump has zero connection to Russians.
[00:13:30.499 --> 00:13:31.360]  No proof.
[00:13:31.360 --> 00:13:32.481]  Four years of investigation.
[00:13:33.615 --> 00:13:36.656]  With the Biden's it's open and shut.
[00:13:36.656 --> 00:13:41.998]  So I don't know who's going to the White House in 38 days, but I sure know this.
[00:13:41.998 --> 00:13:54.103]  Joe Biden is a globalist and Joe Biden will be removed one way or another.
[00:13:54.103 --> 00:13:55.504]  Our great first president.
[00:13:56.556 --> 00:13:58.037]  We literally are here on his farm.
[00:13:58.037 --> 00:13:59.318]  That's where we're at.
[00:13:59.318 --> 00:14:02.080]  George Washington didn't want to be king.
[00:14:02.080 --> 00:14:06.363]  And after he served two terms and set that precedent, he left.
[00:14:06.363 --> 00:14:10.566]  He was a very quiet man and didn't talk about his beliefs, but he was a Christian.
[00:14:10.566 --> 00:14:15.150]  But those that knew him privately knew, he knew God controlled battlefields.
[00:14:15.150 --> 00:14:16.811]  God controlled governments.
[00:14:16.811 --> 00:14:18.712]  God controls the games.
[00:14:18.712 --> 00:14:23.156]  And all his success was because of his love of God.
[00:14:25.117 --> 00:14:28.218]  And being in line with God.
[00:14:28.218 --> 00:14:34.499]  So never forget, we worship the true God that created the universe and all of us.
[00:14:34.499 --> 00:14:45.982]  And the satanic globalists trying to take control of us and trying to play God are fallen and are failed and we need to just keep our eyes on Christ and never back down and never surrender.
[00:14:48.607 --> 00:14:52.508]  At four o'clock today, we're going to march back to the Supreme Court.
[00:14:52.508 --> 00:14:54.609]  You got some other great folks at Freedom Plaza.
[00:14:54.609 --> 00:14:56.829]  If some of you aren't here later, go get them.
[00:14:56.829 --> 00:14:59.870]  Lead them to the Supreme Court at four at this great event.
[00:14:59.870 --> 00:15:01.171]  But pray for America.
[00:15:01.171 --> 00:15:02.191]  Pray for the world.
[00:15:02.191 --> 00:15:03.111]  Pray for Trump.
[00:15:03.111 --> 00:15:05.692]  And realize you're not going to get instant gratification.
[00:15:05.692 --> 00:15:07.472]  But with Trump, it's as close as it got.
[00:15:07.472 --> 00:15:09.733]  Look how far we've come.
[00:15:09.733 --> 00:15:11.693]  Look at what we've been able to do.
[00:15:11.693 --> 00:15:13.274]  And this is just the beginning.
[00:15:13.954 --> 00:15:20.339]  I'm going to turn this over to my buddy for two minutes, my great co-host at InfoWars.com, Owens Dreuer.
[00:15:20.339 --> 00:15:24.022]  And then the next great guests are coming up here.
[00:15:24.022 --> 00:15:33.450]  But remember this, God ordained this republic to stand against the satanic empires, the Nazis and the communists and others.
[00:15:33.450 --> 00:15:38.054]  And so 1776 is God's number of victory over the satanic 1984.
[00:15:38.054 --> 00:15:39.235]  God bless you all.
[00:15:44.324 --> 00:15:45.245]  And I salute you!
[00:15:45.245 --> 00:15:53.734]  Thank you, Jesus!
[00:15:53.734 --> 00:15:56.797]  How do we feel about Alex Jones, ladies and gentlemen?
[00:15:59.924 --> 00:16:05.488]  It's time to show them what a real alpha male looks like with one of our most powerful products ever made.
[00:16:05.488 --> 00:16:06.529]  Alpha Power.
[00:16:06.529 --> 00:16:09.991]  As you age, your body can lose testosterone over time.
[00:16:09.991 --> 00:16:18.897]  With the incredible ingredients in this formula, we can help you beat the test of time and assist in restoring that lost energy and mood that comes with time and age.
[00:16:18.897 --> 00:16:27.063]  Alpha Power's incredible ingredients can help you boost your sports performance or enhance your day-to-day life with ease while encouraging hormonal balance.
[00:16:27.663 --> 00:16:33.085]  Perfect by itself or with super male vitality in the True Alpha Male Pack.
[00:16:33.085 --> 00:16:40.307]  Alpha Power can help boost performance, help maintain normal testosterone levels, support healthy cholesterol and more.
[00:16:40.307 --> 00:16:43.988]  Let Alpha Power help bring you to the peak of your optimal health.
[00:16:43.988 --> 00:16:47.049]  Don't fall short on energy in the fight against tyranny.
[00:16:47.049 --> 00:16:51.090]  Show the world what a True Alpha Male looks like today with Alpha Power.
[00:16:51.090 --> 00:16:53.591]  Head to infowarsstore.com today.
[00:16:59.868 --> 00:17:10.893]  The project for world government developed by the British Empire via Cecil Rhodes, then picked up by the Rockefeller family and the major robber barons of the planet by the 1920s, is all about corporate global governance.
[00:17:10.893 --> 00:17:12.273]  And now you're seeing it.
[00:17:12.273 --> 00:17:20.717]  It's not just the blue states, the blue cities, the communist and socialist nations all working in unison under UN control to establish a medical planetary dictatorship.
[00:17:21.417 --> 00:17:29.020]  At the core of it is the Fortune 100 corporations, themselves funded by a handful of private central banking families.
[00:17:29.020 --> 00:17:33.701]  The Rothschilds, the Rockefellers, the Dutch and British Royalty being at the very heart of that.
[00:17:33.701 --> 00:17:37.323]  Then you learn the Dutch and British Royalty aren't even Dutch or British at the same time.
[00:17:38.143 --> 00:17:45.245]  But they go back to the literal Count Dracula and the wars in between Christendom and Islam.
[00:17:45.245 --> 00:17:48.847]  Those that don't know history really are doomed to repeat it.
[00:17:48.847 --> 00:17:51.287]  They're involved in ploting the world economy.
[00:17:51.287 --> 00:17:53.228]  That's what the social distancing and the masks are all about.
[00:17:53.228 --> 00:17:55.689]  It's about bankrupting local small businesses.
[00:17:55.689 --> 00:17:58.370]  And those that comply are complying with your own destruction.
[00:17:58.370 --> 00:17:58.730]  Wake up!
[00:17:59.929 --> 00:18:05.012]  I've got some really exciting good news, and I've also got some bad news.
[00:18:05.012 --> 00:18:12.095]  InfoWars is getting the highest traffic we have ever gotten since the election in 2016.
[00:18:12.095 --> 00:18:24.941]  Despite all the bans, all of the system trying to censor us and suppress us, you with your word of mouth have overridden that, and they are so scared of InfoWars.com and Banned.Video, and they're so scared of you being able to communicate and share the truth.
[00:18:26.562 --> 00:18:30.105]  We're bringing in the same amount of money we brought in last December right now.
[00:18:30.105 --> 00:18:33.789]  This is our most important month to be able to fund ourselves into next year.
[00:18:33.789 --> 00:18:35.410]  And I understand the economy's shutting down.
[00:18:35.410 --> 00:18:37.192]  I understand there's not as much money as there used to be.
[00:18:37.192 --> 00:18:38.693]  They're trying to kill Trump's recovery.
[00:18:38.693 --> 00:18:40.875]  But InfoWars really needs your support.
[00:18:40.875 --> 00:18:52.466]  You just buy great items through your Christmas shopping at InfoWarsStore.com with huge sales, amazing products, and then you know you're funding the InfoWar and not funding Amazon and Jeff Bezos and the globalists that are openly trying to
[00:18:52.486 --> 00:18:52.847]  We're good to go.
[00:19:00.259 --> 00:19:03.942]  Three months ago we sold out of our privacy pouches.
[00:19:03.942 --> 00:19:14.909]  The reason we sold out is they are super high quality and it's all over the news that the UN and the Clintons and Microsoft and others and contact tracers are tracking everywhere you go and everything you do.
[00:19:14.909 --> 00:19:19.912]  They admit it's a cover for bringing in their cashless society AI system of total control.
[00:19:19.912 --> 00:19:25.036]  So to block the UN, to block the globalists, to get in the habit of realizing what a surveillance system phones are,
[00:19:25.516 --> 00:19:27.317]  Everybody needs a privacy pocket.
[00:19:27.317 --> 00:19:31.440]  They've got almost all sizes of droids and iPhones, from small to big.
[00:19:31.440 --> 00:19:35.443]  They also make a great gift to educate friends and family about what's going on.
[00:19:35.443 --> 00:19:38.425]  Now again, there's lots of privacy pocket type systems out there.
[00:19:38.425 --> 00:19:40.107]  Most of them are about 90% effective.
[00:19:40.107 --> 00:19:45.230]  We found a model that's actually pretty inexpensive and has around 99% effectiveness.
[00:19:45.230 --> 00:19:48.473]  If you're right under a cell tower, it'll still blast through the Faraday cage.
[00:19:49.073 --> 00:19:51.116]  They're at InfoWarsTore.com at $19.95.
[00:19:51.116 --> 00:19:54.541]  This exact same system is sold everywhere else for $29.
[00:19:54.541 --> 00:19:55.762]  That's still a great deal.
[00:19:55.762 --> 00:19:56.563]  We sell a lot of these.
[00:19:56.563 --> 00:19:57.565]  We have the best price.
[00:19:57.565 --> 00:20:03.833]  Give us a great Christmas gift at InfoWarsTore.com.
[00:20:03.833 --> 00:20:06.436]  You're listening to the Alex Jones Show!
[00:20:22.648 --> 00:20:23.369]  That's the uh...
[00:20:51.239 --> 00:20:55.300]  And you just heard some of the speech I gave at the Jericho Group and what Owen did.
[00:20:55.300 --> 00:20:58.561]  It was great being invited out there where those folks really enjoyed it.
[00:20:58.561 --> 00:21:00.701]  And this is a fight between good and evil.
[00:21:00.701 --> 00:21:09.783]  But during our shooting for this Sunday transmission, the live part of it's coming up with Harrison Smith here in about 15 minutes, a guy came over and started saying, F-U, F-U, F-U.
[00:21:09.783 --> 00:21:13.284]  So we said, hey, come on over here and talk to us.
[00:21:13.284 --> 00:21:13.964]  Come on air.
[00:21:13.964 --> 00:21:17.285]  Don't show us your one-point IQ when they flip us off.
[00:21:17.285 --> 00:21:18.806]  And he said, oh, you're intimidating me.
[00:21:18.806 --> 00:21:19.586]  You're threatening me.
[00:21:19.586 --> 00:21:20.126]  You're a bully.
[00:21:21.092 --> 00:21:24.577]  So it's Antifa that beats people up, shuts down people's speech.
[00:21:24.577 --> 00:21:28.041]  It's Antifa and the Democrats and big tech that are censoring everybody.
[00:21:28.041 --> 00:21:31.706]  They're the ones taking people's bank accounts that are nationalist or patriots or pro-Trump.
[00:21:31.706 --> 00:21:33.248]  They're the ones brainwashing our children.
[00:21:33.248 --> 00:21:35.351]  They're the ones funding authoritarian regimes.
[00:21:35.351 --> 00:21:37.093]  They're the ones that are engaged in all this, but then...
[00:21:38.370 --> 00:21:43.874]  When they see us out here and say, F you, we say, come on over, be on camera, tell us how we're bad.
[00:21:43.874 --> 00:21:45.335]  Oh no, you're threatening me.
[00:21:45.335 --> 00:21:46.956]  Oh, you're, you want to attack me.
[00:21:46.956 --> 00:21:48.657]  It's, it's crazy.
[00:21:48.657 --> 00:21:53.200]  Here we are at one of the very historic, also very haunting memorials.
[00:21:53.200 --> 00:21:56.402]  This is the Korean War or Korean Conflict Memorial.
[00:21:57.603 --> 00:21:57.843]  I think?
[00:22:15.552 --> 00:22:15.912]  I think?
[00:22:40.899 --> 00:22:45.700]  Then they turn around and say that we're anti-free speech by even talking back to them.
[00:22:45.700 --> 00:22:53.402]  That's how the left operates because they're communist and you've got big major corporations that are allied with the communists because they don't want free market.
[00:22:53.402 --> 00:22:56.363]  They don't want to have to deal with free people that have due process.
[00:22:56.363 --> 00:22:59.624]  They want to consolidate control and power.
[00:22:59.624 --> 00:23:03.605]  So that's why we're out here today again just to get a little bit of a tour around D.C.
[00:23:03.605 --> 00:23:08.226]  and I want to make one other point before we come back to the next segment and break down the latest news and huge developments.
[00:23:09.355 --> 00:23:11.877]  I love all the groups that were here in DC for Trump.
[00:23:11.877 --> 00:23:13.679]  And I don't normally come out to a lot of events.
[00:23:13.679 --> 00:23:15.400]  I don't normally come out and give big speeches.
[00:23:15.400 --> 00:23:16.962]  We do stuff digitally at InfoWars.
[00:23:16.962 --> 00:23:18.783]  We reach millions of people a day.
[00:23:18.783 --> 00:23:23.447]  And there have been a lot of different groups out here running demonstrations and having events.
[00:23:23.447 --> 00:23:30.393]  And anytime I show up at one of those events, it becomes a big disturbance because so many people come over and start trying to talk to us.
[00:23:30.393 --> 00:23:33.456]  And I was going to the Supreme Court building
[00:23:34.400 --> 00:23:36.601]  Yes, because I heard there was going to be a rally that I was invited to.
[00:23:36.601 --> 00:23:37.801]  Didn't even know who was really doing it.
[00:23:37.801 --> 00:23:42.983]  I told a big crowd of people, hey, when this is over at the Jericho March, let's go over at 4 o'clock to the Supreme Court.
[00:23:42.983 --> 00:23:45.364]  About an hour later, we get there.
[00:23:45.364 --> 00:23:46.024]  I'm walking up.
[00:23:46.024 --> 00:23:46.745]  There's a hill.
[00:23:46.745 --> 00:23:47.365]  People are standing there.
[00:23:47.365 --> 00:23:48.625]  I came to see what's happening.
[00:23:48.625 --> 00:23:54.208]  And a bunch of security guys kind of run into us and say, hey, you're not going to, quote, take over our stage.
[00:23:54.208 --> 00:23:55.328]  And so I said, that's fine.
[00:23:55.328 --> 00:23:56.228]  We're going to play that video in a moment.
[00:23:56.228 --> 00:23:56.969]  I said, hey, that's fine.
[00:23:56.969 --> 00:23:58.089]  Get your hands off me.
[00:23:58.089 --> 00:23:59.350]  We'll go over here.
[00:23:59.350 --> 00:24:03.051]  But then as soon as we walked away, everybody followed us away and went over there to hear me speak.
[00:24:03.511 --> 00:24:09.815]  And that's just because of the populism and how we helped launch the whole Trump phenomenon, that anywhere I show up at these events, that happens.
[00:24:09.815 --> 00:24:13.076]  It's not like I was trying to go to some event with a thousand people and take it over.
[00:24:13.076 --> 00:24:16.418]  Like last night, they came and woke me up at 10 o'clock at night and said, you got to come out.
[00:24:16.418 --> 00:24:19.080]  There's 2,000 people outside the hotel won't hear you speak.
[00:24:19.080 --> 00:24:20.921]  And that's not about how famous I am.
[00:24:20.921 --> 00:24:25.943]  It's how famous liberty and freedom are that anywhere I go now, that's what's happening.
[00:24:25.943 --> 00:24:27.264]  And it's happening for so many others.
[00:24:27.264 --> 00:24:28.185]  So it's another bellwether.
[00:24:29.045 --> 00:24:29.646]  We're good to go.
[00:24:42.150 --> 00:24:42.350]  I don't
[00:25:00.236 --> 00:25:04.117]  Little bit of footage that Elijah Schaefer, a funny guy, good guy with the place, put out.
[00:25:04.117 --> 00:25:05.898]  And they call it, oh, you know, Peak Alex Jones.
[00:25:05.898 --> 00:25:07.679]  Jones tries to charge a stage.
[00:25:07.679 --> 00:25:09.639]  He says, I need to charge a stage.
[00:25:09.639 --> 00:25:12.220]  I'm not going to speak at any of these stages I want to.
[00:25:12.220 --> 00:25:17.242]  But I'm the one that said, OK, finally won't go up this hill that you own, this grassy hill up here.
[00:25:17.242 --> 00:25:18.763]  We'll go over here and speak, which we did.
[00:25:19.423 --> 00:25:22.544]  And then they thought we were trying to take over their event because everybody came to listen to us.
[00:25:22.544 --> 00:25:23.064]  It doesn't matter.
[00:25:23.064 --> 00:25:24.585]  We're all on the same team.
[00:25:24.585 --> 00:25:25.685]  That's what Infowars is about.
[00:25:25.685 --> 00:25:29.366]  It's a platform to promote all these great guests, all these great people we have on.
[00:25:29.366 --> 00:25:31.547]  And I just love all the Trump folks.
[00:25:31.547 --> 00:25:32.687]  And some of us are libertarians.
[00:25:32.687 --> 00:25:34.508]  Some of us are more populist.
[00:25:34.508 --> 00:25:36.369]  Some of us are more super right-wing.
[00:25:36.369 --> 00:25:39.910]  Other people are kind of mainline liberals, but they're anti-war, so they like Trump.
[00:25:40.450 --> 00:25:41.951]  Some of us are for decriminalization of drugs.
[00:25:41.951 --> 00:25:42.712]  It doesn't matter.
