[00:00.000 --> 00:01.000]  I'm great.
[04:51.000 --> 04:58.360]  us can track or follow all the news, and you can bet your bottom dollar that when there
[04:58.360 --> 05:03.800]  is a mishap at a nuclear plant or at a nuclear weapons facility, it's going to be blamed
[05:03.800 --> 05:12.640]  on shadowy Al-Qaeda groups when it's an accident, that's a whole other level of tyranny.
[05:12.640 --> 05:19.840]  The Democrats are not really challenging Bush's expansion war plan, we'll break that down,
[05:19.840 --> 05:23.640]  it's a very important broadcast that we have lined up for you today, I really hope you'll
[05:23.640 --> 05:29.560]  stay with us, don't forget you can now subscribe daily to the free podcast of the entire show
[05:29.560 --> 05:33.920]  for free, just click subscribe at infowars.gov.
[05:33.920 --> 05:44.080]  It's here after a year in production and traveling the distant lands, mighty film terror storm
[05:44.080 --> 05:48.200]  is complete, shocking declassified government documents prove that western governments
[05:48.200 --> 05:53.680]  are orchestrating terror attacks against their own populations as a pretext to enslave them.
[05:53.680 --> 05:58.440]  Terror storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in
[05:58.440 --> 06:01.320]  London were carried out by British intelligence.
[06:01.320 --> 06:05.040]  Terror storm chronicles the lies that took us to war in Iran, the White House program
[06:05.040 --> 06:11.360]  to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information
[06:11.360 --> 06:12.840]  and much much more.
[06:12.840 --> 06:16.600]  Terror storm is the definitive guide to the history of government sponsored terror, it's
[06:16.600 --> 06:19.040]  an anthology of government crimes.
[06:19.040 --> 06:23.360]  Terror storm is a film that everyone who wants to be truly informed must see.
[06:23.360 --> 06:32.120]  Get your copy today at infowars.com or prisonplanet.com or by calling toll 3-1-888-2533139 or watch
[06:32.120 --> 06:36.480]  it right now online at prisonplanet.tv.
[06:36.480 --> 06:41.720]  Nuclear reactors provide economical energy, but would you be prepared during an accident?
[06:41.720 --> 06:47.160]  During nuclear disasters, great amounts of radioactive iodine are released into the atmosphere,
[06:47.160 --> 06:50.120]  which are then readily absorbed into the body.
[06:50.120 --> 06:54.680]  Medical course potassium iodate gives you virtually complete protection from the most
[06:54.680 --> 06:57.720]  feared consequence of a nuclear accident.
[06:57.720 --> 07:02.160]  Radioactive poisoning, potassium iodate can protect against radioactive poisoning by filling
[07:02.160 --> 07:04.680]  the thyroid with good iodine.
[07:04.680 --> 07:10.200]  This shields the thyroid and prevents it from absorbing the harmful radioactive iodine.
[07:10.200 --> 07:14.560]  Potassium iodate is better than the iodide form because it is not as likely to cause
[07:14.560 --> 07:19.040]  upset stomachs in children, the elderly, the sick, and pets.
[07:19.040 --> 07:25.760]  Order the official potassium iodate for only $24 and save $5 by calling new millennium at
[07:25.760 --> 07:29.320]  triple 8803438.
[07:29.320 --> 07:36.000]  Call now and get free shipping, that's triple 8803438.
[07:36.000 --> 07:40.160]  I found this company online and they had this really unique variety of spot wellness products
[07:40.160 --> 07:44.080]  I read some of the articles and ended up ordering this beautiful salt lamp.
[07:44.080 --> 07:48.360]  According to the company, they said that the salt crystal lamps gently purify indoor air.
[07:48.360 --> 07:52.960]  I was so amazed, I put it in the baby's room and it made a perfect night light, both my
[07:52.960 --> 07:55.120]  husband and I could tell the difference.
[07:55.120 --> 07:59.640]  Sole wellness dot com is a unique company that offers salt wellness products from around
[07:59.640 --> 08:00.640]  the world.
[08:00.640 --> 08:05.480]  So, I went back to the site and ordered their Soleil simple natural cleaning products, also
[08:05.480 --> 08:08.800]  made with Himalayan salt, I figured it would clean really well.
[08:08.800 --> 08:12.240]  The natural cleaning products worked wonderfully and there was no scent.
[08:12.240 --> 08:16.760]  This company has so many products my whole family can enjoy and feel better with, plus
[08:16.760 --> 08:18.200]  the service was great.
[08:18.200 --> 08:22.520]  If you're interested in natural homeopathic time-tested remedies, visit Soleil Wellness
[08:22.520 --> 08:37.600]  dot com, that's S-O-L-A-Y wellness dot com or call 312-224-2710, 312-224-2710.
[08:37.600 --> 08:44.160]  In his central Texas command center, deep behind enemy lines, the information war continues.
[08:44.160 --> 08:47.600]  It's Alex Jones and the GCN Radio Network.
[08:47.600 --> 08:54.520]  All right, we've got a big broadcast lined up for you today, now eight minutes into the
[08:54.520 --> 08:57.680]  second segment here.
[08:57.680 --> 09:04.720]  We have the father of the Hawaiian American who is refusing to be redeployed to Iraq because
[09:04.720 --> 09:06.720]  he believes it's an illegal war.
[09:06.720 --> 09:11.240]  I commend his stand, he's been court-martialed, his father will be joining us in the second
[09:11.240 --> 09:12.240]  hour.
[09:12.240 --> 09:18.920]  I also want to play a clip of O'Reilly grilling some poor lady who stands up to him and does
[09:18.920 --> 09:25.000]  an admirable job and I wanted to walk through the different propaganda tactics that are
[09:25.000 --> 09:28.280]  used by O'Reilly.
[09:28.280 --> 09:32.520]  And we have, as I mentioned earlier, an incredible clip coming up at the bottom of the hour from
[09:32.520 --> 09:38.840]  Lou Dobbs on fire, this tops all the previous reports about the North American slash Pan
[09:38.840 --> 09:45.760]  American Union, calling George Bush Sr. and Bush Jr. out and just point blank saying it's
[09:45.760 --> 09:53.160]  a New World Order plan, and even playing clips of Bush Sr. saying New World Order.
[09:53.160 --> 09:56.360]  And there's no doubt that Lou Dobbs people watch and listen to the show.
[09:56.360 --> 10:02.400]  I've talked to some of the biggest producers at CNN and they tell me, oh, we know it's
[10:02.400 --> 10:06.880]  a New World Order, oh, we know what's happening, but we're not allowed to have you on and we're
[10:06.880 --> 10:10.040]  not allowed to tell the truth, oh, we wish we could.
[10:10.040 --> 10:13.240]  And I've had Fox producers tell me that too.
[10:13.240 --> 10:18.000]  So understand, you got a lot of sociopaths who are egomaniacs who are the news anchors
[10:18.000 --> 10:22.960]  and the people that get on television who do what they do because they sold their soul
[10:22.960 --> 10:27.040]  to the New World Order, but a lot of people behind the scenes are literally just taking
[10:27.040 --> 10:31.640]  a paycheck as mercenaries and hate their jobs.
[10:31.640 --> 10:35.680]  People ask, how come Lou Dobbs is allowed to do what he's doing?
[10:35.680 --> 10:43.160]  Back in the late 1990s, he was not given control, editorial control, and before he started going
[10:43.160 --> 10:47.640]  public about World Government and doing an excellent show, I had already just picked
[10:47.640 --> 10:50.720]  up this factoid trivia.
[10:50.720 --> 10:57.640]  So I already knew this about Dobbs that in the late to mid-1990s was about 97 or so,
[10:57.640 --> 11:03.200]  he got into a contract negotiation with CNN and he wanted editorial control.
[11:03.200 --> 11:04.200]  Few have that.
[11:04.200 --> 11:08.480]  O'Reilly has that over his program and they wouldn't give it to him.
[11:08.480 --> 11:14.240]  Dobbs left and went and ran some internet company and then at the end of the dot-com
[11:14.240 --> 11:20.720]  bust, what, in 2001 or 2002, he came back to CNN but did get a contract where he controls
[11:20.720 --> 11:24.240]  his own show year to year.
[11:24.240 --> 11:30.520]  And so that's why you see him being able to talk about real issues.
[11:30.520 --> 11:36.280]  Of course, he now has the highest ratings on CNN, higher than Larry King Live.
[11:36.280 --> 11:40.680]  Same thing, highest ratings on MSNBC, Keith Oberman.
[11:40.680 --> 11:49.840]  Now I tend to think Dobbs is a better person just analyzing and assessing him than Oberman.
[11:49.840 --> 11:55.400]  Oberman's more of a democratic operative who I admire and they've got a lot of courage
[11:55.400 --> 11:59.360]  and has done a lot of good, but you notice he's kind of backed off now the Democrats
[11:59.360 --> 12:00.720]  in power.
[12:00.720 --> 12:06.000]  He's not illustrating how they're going right along with the expansion and escalation of
[12:06.000 --> 12:07.000]  the war.
[12:07.000 --> 12:14.440]  And you notice Oberman always acts like it's Bush running things and Bush is doing things.
[12:14.440 --> 12:18.360]  And to be fair, Dobbs does that to a certain extent in this piece that's coming up.
[12:18.360 --> 12:24.320]  He talks about, oh no, this is the elite's New World Order, but then he goes on to elaborate.
[12:24.320 --> 12:29.440]  This is George Bush Sr.'s New World Order that Junior's carrying out.
[12:29.440 --> 12:32.840]  Junior's carrying out Daddy's plan.
[12:32.840 --> 12:39.160]  George Herbert Walker Bush was, in his own words, a Rockefeller Republican.
[12:39.160 --> 12:45.880]  And that's the agenda that he's carrying out.
[12:45.880 --> 12:51.000]  And if you don't know what the Rockefeller agenda is, the stated agenda is to destroy
[12:51.000 --> 12:57.640]  the middle class, destroy our borders, destroy our sovereignty, disarm the American people
[12:57.640 --> 13:02.120]  and have a one-child policy just for starters.
[13:02.120 --> 13:06.040]  And again, the whole Rockefeller clan has written books.
[13:06.040 --> 13:12.320]  They fund hundreds of foundations in different front groups that push all of this.
[13:12.320 --> 13:14.240]  It's in triple kit.
[13:14.240 --> 13:15.640]  They're so arrogant, though.
[13:15.640 --> 13:20.160]  They know the average person doesn't spend their time reading Council on Foreign Relations
[13:20.160 --> 13:28.080]  policy papers or, you know, David Rockefeller's memoirs, 2003.
[13:28.080 --> 13:29.440]  But we do.
[13:29.440 --> 13:33.800]  And let me tell you, it is not pretty.
[13:33.800 --> 13:37.920]  Now we've evidence, and more and more evidence has come out since we started reporting this
[13:37.920 --> 13:45.480]  about 10 years ago, that Bill Clinton and the Bushes, Bill Clinton was recruited.
[13:45.480 --> 13:55.400]  In the late 60s into CIA, just like it's now come out in major British newspapers, admitted
[13:55.400 --> 14:02.480]  that Tony Blair, from the time he left high school, I mean, he was a freshman in college
[14:02.480 --> 14:10.680]  and he was already MI5, internal security.
[14:10.680 --> 14:14.080]  That's on record, just type Tony Blair MI5.
[14:14.080 --> 14:15.080]  Of course he was.
[14:15.080 --> 14:20.320]  I mean, they get these people out of high school, okay?
[14:20.320 --> 14:22.920]  And that's why George Bush Sr. met 11 times with Bill Clinton.
[14:22.920 --> 14:27.920]  That's why Bush Sr. didn't really campaign in the 1992 election.
[14:27.920 --> 14:33.080]  That's why Bush Sr., you know, now vacations with Clinton and all they do is worship each
[14:33.080 --> 14:39.560]  other and talk about how he's a member of the family because that guy is been handled
[14:39.560 --> 14:43.440]  by Bush Sr. and all the evidence we know Bush Sr. was CIA.
[14:43.440 --> 14:45.640]  We know Clinton's CIA.
[14:45.640 --> 14:53.000]  But all the evidence shows he was handling him from the early 1970s on.
[14:53.000 --> 14:56.000]  And it's perfect for them.
[14:56.000 --> 14:57.000]  It's absolutely perfect.
[14:57.000 --> 15:03.760]  I mean, they can't just stay in office forever, have eight years of Bush because that's really
[15:03.760 --> 15:11.360]  who was president with Ronald Reagan and mainstream historians and presidential, even Kitty Kelly's
[15:11.360 --> 15:12.360]  written that.
[15:12.360 --> 15:16.240]  And he says that after Reagan got shot, especially, I mean, he didn't run anything.
[15:16.240 --> 15:21.640]  And then you've got four more years of Bush, and then you've got eight years of Clinton,
[15:21.640 --> 15:24.240]  and now you've gotten six, seven more years.
[15:24.240 --> 15:26.760]  How many years is that, eight?
[15:26.760 --> 15:30.400]  And then four is 12.
[15:30.400 --> 15:34.400]  And then we get eight more, that's 20.
[15:34.400 --> 15:42.280]  And then we get six more, 26 years as president.
[15:42.280 --> 15:43.280]  George Herbert Walker Bush.
[15:43.280 --> 15:49.640]  I mean, if anybody is running things from 1980 until now, if anybody's got more influence
[15:49.640 --> 15:57.880]  over the puppet power seat, it is George Herbert Walker Bush, who is a total tool of the Rockefeller
[15:57.880 --> 15:58.880]  family.
[15:58.880 --> 16:06.000]  Braggs about it, says, I'm a Rockefeller Republican.
[16:06.000 --> 16:09.720]  And now they've got Jeb in the wings, they've got Hillary totally bought and paid for.
[16:09.720 --> 16:12.200]  I mean, just look at how they operate.
[16:12.200 --> 16:17.880]  And of course, remember, four and a half years ago, they set up the 9-11 Whitewash Commission.
[16:17.880 --> 16:20.920]  They were announcing, they were going to have it the next year, and they said, an independent
[16:20.920 --> 16:31.320]  voice, independent, it's Henry Kissinger, come on down, people went, whoa, wait a minute.
[16:31.320 --> 16:36.480]  This guy's the real power behind the throne, given the Bush's orders, Rothschild agent.
[16:36.480 --> 16:42.000]  Well, wait a minute, he's the big Harvard triple PhD, which he only gave to a few people
[16:42.000 --> 16:46.880]  who've been sitting that seat of power as a top level manager for the globalist.
[16:46.880 --> 16:54.960]  And it turns out that the Bush's entire administration, every week, whether it's the ranch or whether
[16:54.960 --> 16:59.720]  it's Washington or if the Kissinger has to fly to a foreign country, Bush is there, every
[16:59.720 --> 17:05.920]  week they go into a closed room for upwards of two hours.
[17:05.920 --> 17:14.080]  That just came out a few months ago, that they meet every week.
[17:14.080 --> 17:28.080]  And Henry Kissinger tells him exactly what to do, and boy, does he do it.
[17:28.080 --> 17:29.080]  It's amazing.
[17:29.080 --> 17:34.400]  And then a few months ago, a few weeks ago, about a month ago, we play a clip of Dick Cheney
[17:34.400 --> 17:45.520]  at the CFR saying that he was co-chairman in the past and that he kept it secret from
[17:45.520 --> 17:51.200]  his constituents, ha ha ha, and people email and they post to the message board under the
[17:51.200 --> 17:57.360]  video clip saying it's a fake video or saying, oh, he was joking, he hates David Rockefeller,
[17:57.360 --> 17:59.760]  he fights the new world order.
[17:59.760 --> 18:06.000]  I mean, you guys are delusional to the extreme that believe that, and that's the type of
[18:06.000 --> 18:07.800]  stuff we deal with.
[18:07.800 --> 18:12.520]  We've got David Rockefeller Dick Cheney, all these people openly destroying our country
[18:12.520 --> 18:17.360]  before our very eyes, and you tell somebody whose car is festooned with Bush stickers
[18:17.360 --> 18:26.600]  and Condio 8 stickers that, and they'll probably agree with us on most issues, but they just
[18:26.600 --> 18:28.520]  cannot compute it.
[18:28.520 --> 18:30.680]  They cannot get it.
[18:30.680 --> 18:35.760]  They will not get it.
[18:35.760 --> 18:39.360]  Controlling this government means you control tens of trillions of dollars a year.
[18:39.360 --> 18:44.480]  Now, do you think major global corporations are going to leave that type of wealth and
[18:44.480 --> 18:49.320]  power in the hands of the people, or are they going to attempt by hook or by crook with
[18:49.320 --> 18:52.320]  every energy they've got to get control of government?
[18:52.320 --> 18:53.320]  That's the biggest business.
[18:53.320 --> 18:58.480]  It isn't making computers, it isn't pharmaceuticals, it isn't making cars, it isn't making
[18:58.480 --> 19:01.360]  highways, it isn't education.
[19:01.360 --> 19:07.640]  The biggest industry is lobbying and getting corporate welfare, and now getting governmental
[19:07.640 --> 19:13.280]  power signed over to your corporation by the government.
[19:13.280 --> 19:14.280]  It's simple.
[19:14.280 --> 19:20.000]  The defense contractors owned by the central banks are simply making themselves our occupiers
[19:20.000 --> 19:26.720]  by law, and they got 20 TV shows that mimic torture and secret arrest and make the people
[19:26.720 --> 19:32.120]  doing it all heroes, and a weak mind in America watches it and is having their souls warped
[19:32.120 --> 19:38.880]  right now to accept all of this, and the minute they think they can green light and go with
[19:38.880 --> 19:42.400]  it, they are going to start going around and having gun fights with people and arresting
[19:42.400 --> 19:44.400]  people and rounding them up.
[19:44.400 --> 19:48.000]  That is, look, anywhere they're able to, they do it.
[19:48.000 --> 19:53.440]  Our government funded Mao to do it, and David Rockefeller in 76 ought to go pull that quote.
[19:53.440 --> 19:57.000]  It's in my book, The Sentinel Territory, I have the New York Times article.
[19:57.000 --> 20:02.000]  In fact, I've got to dig that out for the film I'm making.
[20:02.000 --> 20:04.280]  Just thought about it, there's so many points.
[20:04.280 --> 20:12.640]  Rockefeller, Mao, let me write that down, and he says, oh, we love Mao.
[20:12.640 --> 20:14.920]  We love everything Mao did.
[20:14.920 --> 20:21.840]  Mao had killed 60 million people by then, so if they can get away with it here, they'll
[20:21.840 --> 20:25.560]  do it, and you go, why?
[20:25.560 --> 20:29.880]  Why does Ted Bundy strangle women and bite big chunks out of them?
[20:29.880 --> 20:32.080]  Why does Jeffrey Dahmer filet people?
[20:32.080 --> 20:39.440]  I mean, it's a question you need to answer.
[20:39.440 --> 20:41.880]  Do you know the truth about breast cancer?
[20:41.880 --> 20:45.080]  Do you realize that the race for the cure is over?
[20:45.080 --> 20:49.520]  The best kept secret in the world today is that now it's possible to kill cancer without
[20:49.520 --> 20:54.480]  personal suffering, mutilation, and poisoning of your entire system.
[20:54.480 --> 21:00.240]  Now it's cancer's turn to die, with lasers that incorporate its patented methodology.
[21:00.240 --> 21:05.360]  Without cutting, bleeding, drugs, or damaging radiation, we can destroy skin cancer and
[21:05.360 --> 21:10.640]  breast tumors of any size, without adverse side effects at a physician's office, Star
[21:10.640 --> 21:13.640]  War technology at its best.
[21:13.640 --> 21:36.400]  For more information, call 702-953-0267, 702-953-0267, or visit www.LaysMedInc.com, that's www.LASEMEDINC.com.
[21:36.400 --> 21:39.920]  David J. Smith for NewsWatch Magazine.
[21:39.920 --> 21:44.160]  Did you know that one goal of international communism was to get our young people's mind
[21:44.160 --> 21:47.440]  off religion by getting on to sex?
[21:47.440 --> 21:52.120]  By destroying the morals of the younger generation, America will eventually become right for revolution
[21:52.120 --> 21:58.320]  without understanding why communism wanted to make young people soft and easily controlled.
[21:58.320 --> 22:02.600]  Have we witnessed this transformation of our young people away from God in the Bible to
[22:02.600 --> 22:03.600]  immorality?
[22:03.600 --> 22:08.080]  We'd like to help you understand how these things are coming to pass by offering you an
[22:08.080 --> 22:12.760]  absolutely free one-year subscription to NewsWatch Magazine.
[22:12.760 --> 22:27.840]  Just call our toll-free number, 1-800-516-8736, that's 1-800-516-8736 to request your subscription.
[22:27.840 --> 22:32.800]  Call now, operator, to standing by to receive your call.
[22:32.800 --> 22:36.160]  Dad, can we stop?
[22:36.160 --> 22:38.280]  We need to go to the bathroom.
[22:38.280 --> 22:39.280]  What?
[22:39.280 --> 22:40.280]  Again?
[22:40.280 --> 22:41.280]  We just stopped two hours ago.
[22:41.280 --> 22:45.880]  Honey, let's stop, because I gave the kids their spark-burking water bottles.
[22:45.880 --> 22:47.640]  Why did you do that?
[22:47.640 --> 22:51.120]  Because they can't drink and talk at the same time, and that way we don't have to listen
[22:51.120 --> 22:55.960]  to them singing, are we there yet, are we there yet, for the entire trip.
[22:55.960 --> 22:58.760]  Hmm, I didn't think about that.
[22:58.760 --> 22:59.760]  Great idea.
[22:59.760 --> 23:03.080]  Yeah, and it's cheap entertainment for the kids.
[23:03.080 --> 23:08.000]  Water costs around 75 cents a bottle, and using our Berkey Sport bottles, it costs us
[23:08.000 --> 23:10.360]  less than two and a half cents per refill.
[23:10.360 --> 23:12.000]  Honey, you're terrific.
[23:12.000 --> 23:14.600]  Oh, honey, so are you.
[23:14.600 --> 23:18.240]  You're the one that bought the family our Sport Berkey Water Bottles.
[23:18.240 --> 23:19.400]  Now can we stop?
[23:19.400 --> 23:20.600]  I need to go too.
[23:20.600 --> 23:27.800]  Get your Berkey Sport Purification bottle for only $39 by calling new millennium at 888-803-4438,
[23:27.800 --> 23:33.360]  or order on the web at BerkeyWater.com.
[23:33.360 --> 23:36.840]  Hi, this is Ted Anderson.
[23:36.840 --> 23:41.280]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold
[23:41.280 --> 23:42.280]  for your IRA?
[23:42.280 --> 23:48.240]  That's right, gold has been available to be placed in IRAs since 1986, yet still, the
[23:48.240 --> 23:53.960]  financial industry refuses to recognize the value of real hard assets for your retirement.
[23:53.960 --> 23:59.320]  The truth be told, gold and silver has outperformed paper investments, like stocks, bonds, and
[23:59.320 --> 24:02.120]  CDs, yet no word about IRAs.
[24:02.120 --> 24:06.240]  Perhaps the financial institutions want to maintain control of your assets by keeping
[24:06.240 --> 24:07.240]  you in paper.
[24:07.240 --> 24:13.480]  If you'd like to take a look at gold for your retirement, call 800-686-2237.
[24:13.480 --> 24:18.000]  Don't get left behind by rising inflation and low return on your paper investments.
[24:18.000 --> 24:20.840]  Call 800-686-2237.
[24:20.840 --> 24:23.360]  Make sure that you secure your future.
[24:23.360 --> 24:26.760]  Call 800-686-2237.
[24:26.760 --> 24:54.560]  That's 1-800-686-2237.
[24:57.760 --> 24:59.240]  Welcome back, ladies and gentlemen.
[24:59.240 --> 25:03.880]  Coming up at the bottom of the hour, that's just about eight minutes or so, and we come
[25:03.880 --> 25:04.880]  out of break.
[25:04.880 --> 25:12.480]  I'm going to play this incredible, old kudos go to Lou Dobbs, and I want to analyze that
[25:12.480 --> 25:18.080]  clip and then also want to break down the opposite of Lou Dobbs, a man of courage and
[25:18.080 --> 25:22.520]  integrity, so you can just look in his eyes and tell he's legitimate because he's feeling
[25:22.520 --> 25:24.400]  good what he's doing.
[25:24.400 --> 25:29.240]  These pundits, they're not actually in dual order, they're just whores, and so they're
[25:29.240 --> 25:32.440]  getting off on the power, but they hate what they're doing.
[25:32.440 --> 25:37.040]  You can look at the body language of Dobbs and tell he's a good old boy, he's an establishment
[25:37.040 --> 25:40.560]  business guy, but he loves America.
[25:40.560 --> 25:44.200]  He doesn't want to kill this country.
[25:44.200 --> 25:48.440]  Every time I think about what they're doing to this country, I get mad, and lately I've
[25:48.440 --> 25:50.480]  been having a lot of anger problems.
[25:50.480 --> 25:56.840]  For years I've been able to control it, but it destroys my thinking process.
[25:56.840 --> 26:02.440]  I'm getting so mad on air about what's happening to this country that I tend to then lash out
[26:02.440 --> 26:08.600]  at other things and people around me, and I'm not even talking about people that work
[26:08.600 --> 26:09.600]  for me.
[26:09.600 --> 26:10.600]  I'm a teddy bear.
[26:10.600 --> 26:18.400]  I mean, people I can't stand out in the community and just scum suckers, and we're in so much
[26:18.400 --> 26:21.000]  trouble.
[26:21.000 --> 26:24.320]  Do you know what it means to go into a North American union?
[26:24.320 --> 26:31.600]  It isn't just the end of the U.S., it's the end of your freedoms and your private property,
[26:31.600 --> 26:37.160]  and being completely overrun by third world populations.
[26:37.160 --> 26:41.760]  This is the jewel in the crown of the globalist operation, let me tell you something, overrunning
[26:41.760 --> 26:48.920]  our borders and destroying our sovereignty is light years bigger and more important to
[26:48.920 --> 26:54.920]  the New World Order crowd than even invading Iraq was to secure that oil and to use it
[26:54.920 --> 26:58.240]  as a military base.
[26:58.240 --> 27:05.280]  Deindustrializing this country is something they've done militarily.
[27:05.280 --> 27:15.440]  Global corporations will bring in food, stuffs, fruits from outside the country, Mexico, China,
[27:15.440 --> 27:22.440]  you name it, at higher prices to themselves than buying it domestically just so they can
[27:22.440 --> 27:28.480]  extinct the American farmer, and they write policy reports about it.
[27:28.480 --> 27:32.160]  That's the incredible thing, that stuff's public.
[27:32.160 --> 27:38.040]  It's just their business strategy, put people out of business, you go, well that's free
[27:38.040 --> 27:43.280]  market, no it's not when you're using slave goods, and you've got multinational corporations
[27:43.280 --> 27:48.080]  backed up by the big private central banks that control our central banks that literally
[27:48.080 --> 27:51.520]  issue the credit and literally print the money, you understand that?
[27:51.520 --> 27:55.880]  This is not free market, this is big private banks that paid off our politicians and took
[27:55.880 --> 28:01.440]  over our issuance of money, they then use the money they can create unlimited to go
[28:01.440 --> 28:07.160]  out and fund business operations to simply destroy their competition.
[28:07.160 --> 28:11.080]  It's like what Clear Channel does in radio, how they were able to buy, I don't know, 1600
[28:11.080 --> 28:12.080]  radio stations.
[28:12.080 --> 28:17.360]  They'd go into mid-sized towns and cities, and they admitted this, and they would for
[28:17.360 --> 28:25.280]  a year, two years, three years, whatever it took, sell local businesses, local dealerships,
[28:25.280 --> 28:32.560]  local restaurants, ads, it's sometimes $1 apiece.
[28:32.560 --> 28:38.720]  Now the other radio station had to charge $20, $25, $30, $40 apiece just to stay open.
[28:38.720 --> 28:45.820]  Well, after a year or two, they all went under and went dark, turned off, and then Clear
[28:45.820 --> 28:51.440]  Channel didn't even have to buy them out, and then what do you get, you lost that local
[28:51.440 --> 28:56.400]  radio station, and now Clear Channel can charge you $100 at hand when you weren't paying
[28:56.400 --> 28:59.040]  $20 at hand to that mom and pop.
[28:59.040 --> 29:05.360]  So you thought you were getting a real good deal up front early on, but you weren't getting
[29:05.360 --> 29:08.440]  a real good deal, were you?
[29:08.440 --> 29:13.440]  And it's like everything else they do.
[29:13.440 --> 29:17.520]  I mean, listen, when I go to the grocery store, my wife goes to the grocery store, there may
