[00:00.000 --> 00:30.000]  Infowars, the most band network in the world
[05:24.000 --> 05:42.000]  Most of their seniors are not fully vaccinated. The vaccines they are using are less than effective. And it seems that they it's been offered to them but they have not accepted to accept the mRNA vaccines from the West.
[05:42.000 --> 06:01.000]  Xi Jinping is very much invested in his zero COVID policy and doesn't want it seems to take vaccines from the West. They're going to have to do it or they're going to be millions of deaths and it's really going to put a big strain on their hospital system.
[06:01.000 --> 06:16.000]  Okay, so I confuse a bunch of other clips I've got from Senator Johnson's hearing with hearings in Canada, where they're pushing shots saying you've got to have them or you're not safe, even though they admit they want you to take six shots a year that erases your immune system and doesn't offer protection.
[06:16.000 --> 06:39.000]  But there she is saying China won't take the shots and Xi Jinping won't give the mRNA shots, which she's saying, well, their shots don't work. None of them work. It's a prion crystal growing in the body. And we see the footage we'll air this in a moment with audio of them dragging elderly people out of their houses to forcibly inject them and then many cases just take them away to camps. Here's a clip.
[06:46.000 --> 07:15.000]  Yeah, they're not stupid.
[07:15.000 --> 07:44.000]  Yeah, they're not stupid. They know what's going on. They're not dumb. They know what's happening. Remember Joe Biden telling us it's 100% effective and everybody should be forced to take it. He's getting tired of the unvaccinated. Everybody's sick. That's also what Rod Stewart said. Now his son got the shot. Well, we know what happened. Jill Biden, the most important thing you can do to prepare for the holidays is get your updated COVID vaccine. It's not a vaccine. Let's go and play that clip.
[07:44.000 --> 07:59.000]  The most important thing you can do to prepare for your holidays is to get your updated COVID vaccine. And if you get it now, you'll be protected in time for winter holiday gatherings.
[07:59.000 --> 08:15.000]  So we just showed you the vaccine police forcibly dragging people off to be injected in China. We know this is all you and run. They've tried this in Australia. They're trying in Canada. They're trying it here. But us pesky Americans didn't bend over as bad as everybody else and is in his
[08:16.000 --> 08:31.000]  living like and sheep like as we become in many respects, we're still the best house in a bad neighborhood, but here's a chilling mainstream media, ABC News report out of Chicago school calls police on boy with autism.
[08:32.000 --> 08:38.000]  For missing vaccine records. So they're implying it's the law to take shots, which is not in any state in the country.
[08:39.000 --> 08:48.000]  It's report ruins, but they act like not having the records can make you truant. So then they kick you out of school, but then they trigger truancy laws.
[08:48.000 --> 08:56.000]  So here they are bullying on autistic young man probably has it from previous shots. Evidence is overwhelming. That's the main cause of it.
[08:57.000 --> 09:09.000]  That a cocktail of pesticides and things in the food. And because of that, now they call the police to intimidate everybody. And I've seen them do this with mainly black communities in Maryland and in Illinois and places.
[09:10.000 --> 09:24.000]  In Baltimore and Chicago, we've had guests on over the years. You've seen the newscast that's everywhere, but they'll say at school opening today, the police were there to make sure people follow the law and give their children the shots because many of these parents didn't give the shots.
[09:25.000 --> 09:38.000]  They'd have police dogs there and scaring everyone and tell them it's the law, all color of law, criminal activity, and the health departments don't get their funding and the schools don't get their funding unless they're 97%.
[09:39.000 --> 09:47.000]  Poisoned. So they incentivize bounties on their heads. Just like if you intimate somebody with a respirator, which kills you when you have covered.
[09:48.000 --> 10:00.000]  Does it help you? Well, you get 50 plus thousand dollars as a bounty to kill. Well, thousands of dollars of federal funding to schools up to 3000 on average is directly tied to the quote immunization records.
[10:01.000 --> 10:14.000]  None of this has anything to do with infectious diseases. It's all about population control with the sperm counts plunging, the cancer rates exploding. And Bill Gates, who says he wants to depopulate us running the entire operation. Here's the Chicago news report.
[10:15.000 --> 10:30.000]  Carol Rob, the parents of the eight year old boy tell me their son has all of his shots and it was just a matter of getting the paperwork transferred over to the school nurse. But they say the school took an extreme measure calling the police on their son for not having his shot records.
[10:31.000 --> 10:41.000]  Shanita and Timothy Rhodes say they moved to Country Club Hills to give their children a good life and solid education, especially for their youngest son, Tamir, who has autism.
[10:42.000 --> 10:55.000]  Tamir was diagnosed with autism right before the pandemic started. He's very loving and kind and he makes a friend wherever he goes. I try to give him a better life, a normal life.
[10:56.000 --> 11:15.000]  But this couple says October 17th was anything but normal for Tamir at Meadowview Intermediate School. Mrs. Rhodes says she got a call from the school nurse requesting her son's vaccine records. She says she informed the nurse that her son's previous school was within the district and that they should have all of his shot records on file.
[11:16.000 --> 11:23.000]  Can you just call over there, call the nurse and obtain his records? And to my dismay, she said no, that's not my job.
[11:24.000 --> 11:38.000]  Mrs. Rhodes says she had planned to call her son's former school that day to get his medical records faxed over. But she said she had to step into a work meeting first. While she was in that meeting, she says she got a call from a Country Club Hills police officer who was at her home.
[11:39.000 --> 11:57.000]  He said to me that I was called here because of a case of neglect. And I said, neglect, you know, in awe. And he said, well, ma'am, I can see that it's not a case of neglect, so can you just call the school district and, you know, work out the matter? And I said, okay.
[11:57.000 --> 12:11.000]  Mrs. Rhodes says she called Tamir's former school and his pediatrician to have the records sent over. At that point, she says she thought the issue was resolved. But when their nanny arrived to pick up Tamir from school, he wasn't there.
[12:12.000 --> 12:20.000]  So I'm in disbelief because I'm like, he's not there. And so she says, well, they said something about the police picking him up. And I'm like, the police?
[12:21.000 --> 12:34.000]  Mrs. Rhodes says the school called Country Club Hills police to pick him up and send him home. The reason? Tamir was now considered a trespasser. Tamir was dropped off by police and retrieved by his older brother.
[12:35.000 --> 12:51.000]  This is the total weaponization of the bureaucracy, the breaking of the social contract against the people. And it's happening all over the world, color of law, no law to take the shot in the U.S., no law to take the shot in Australia, no law unless you're in the military. And that's been found to be unconstitutional. It's experimental.
[12:52.000 --> 13:06.000]  New Zealand government kidnaps the baby with bad heart to prove mRNA blood won't hurt him. We talked to the family today. They're going to be on Monday. They're exhausted. They kidnapped the baby, did the heart surgery that they found out was needed. The hospital didn't even know it. And then they supposedly gave him the tainted blood.
[13:07.000 --> 13:17.000]  But the family's got an idea. They actually gave him a safe blood because they know the world's watching this whole situation. They want control of our bodies. They want to dominate and run our lives.
[13:18.000 --> 13:36.000]  All right. Finally, let's talk about in this whole poison shot debate, because it's not vaccines, about the fact that in the U.K., in Europe, in the U.S., the numbers are very similar. Only around 10 percent of government bureaucrats have taken these shots.
[13:36.000 --> 13:47.000]  You saw that in the Japanese government hearings that we played last week, where the head of the science department at the Kyoto University is at the government meeting and says they have the vaccine program, national program.
[13:48.000 --> 13:58.000]  This is killing everybody. It's making them sick. Everybody's getting sick. We have the reports around the world. We have our scientific studies. And only 10 percent of the government's taking the shots, but you're trying to mandate them for us. It's the same thing.
[13:59.000 --> 14:21.000]  The government people aren't doing it except for the military. Or low-level people like custodians in the federal government are told they have to. But there's a list. Congress and its employees, the FBI, the Justice Department, all the major science research groups, they don't have to have shot records. They don't have to take shots because the shots are for us. The shots aren't for them.
[14:21.000 --> 14:40.000]  Yeah, it's poison shots, folks, and they're not taking it. And the 10 percent, roughly, worldwide, see, it's all the same. Same death numbers, same numbers taking it, same government actions where they're not taking it. They know, folks, not just all the actuaries and the death numbers and the confirm that it's not a vaccine and all that proven, they won't take it either.
[14:40.000 --> 15:03.000]  Oh, but Biden gets up there and takes it over and over and over again. If you think he's really taking it, I got a bridge in Arizona, I'm happy to sell you right now. In fact, I got a bridge in New York, I'm happy to sell you. I got some oceanfront property in Montana, I really want to sell you right now. So let's talk about the type of people that are exempt from this.
[15:04.000 --> 15:31.000]  Well, he's now been felony warrants been issued because now the serial reported luggage thief, Biden's nuclear official over the nuclear stockpile, said Sam Brinton is wanted on a felony warrant for stealing more luggage, this time in Las Vegas, weeks after being charged with the same crime at the Minneapolis airport, stealing expensive, multi-thousand dollar luggage and women's things inside.
[15:32.000 --> 15:48.000]  Imagine the type of freakazoids they put in because, yes, someone that wants to dress like a woman with a shaved head with bright lipstick who teaches bondage classes and all these other people are being put in, ladies and gentlemen, because they can be compromised and controlled by international and globalist assets.
[15:49.000 --> 15:51.000]  Let's play the clip.
[15:51.000 --> 15:56.000]  An Energy Department official is accused of stealing luggage from Harry Reid International.
[15:56.000 --> 16:04.000]  The News Now investigators learning a felony warrant has been issued for Sam Brinton, a deputy assistant secretary in the Biden administration.
[16:04.000 --> 16:07.000]  Sources tell us Britain is caught on video stealing the luggage.
[16:07.000 --> 16:12.000]  Britain is accused of similar crime in the Minneapolis St. Paul airport.
[16:12.000 --> 16:20.000]  This is a criminal group. And again, I told you a decade ago, these aren't even men like Bob Hope joke joking around, dressing up like a woman.
[16:20.000 --> 16:22.000]  That's hilarious for comedy.
[16:22.000 --> 16:30.000]  You know, police academy where the cops are dressed up, you know, on the stakeout with beards as women or somebody's a grown adult wants to stick their woman dressed like a woman.
[16:30.000 --> 16:31.000]  Do that. I don't hate you.
[16:31.000 --> 16:36.000]  I don't hate you. Stay away from kids and stop promoting pedophilia.
[16:36.000 --> 16:40.000]  But there is the folks with the shaved heads and the clown makeup.
[16:40.000 --> 16:44.000]  That is the uniform of the pedos. And they go to city council meetings.
[16:44.000 --> 16:46.000]  They go to school board meetings. We played it.
[16:46.000 --> 16:51.000]  And they say, guys that look just like that, they say we are going to groom your children.
[16:51.000 --> 17:06.000]  They're ours. And it's it's it's it's men stealing the identity of women saying a woman is a dude in a clown outfit or or that undersecretary of Health and Human Services.
[17:06.000 --> 17:15.000]  Levine saying he's an admiral and he wanted to have the federal government triple funding to sterilize little kids and he wants access to kids to sterilize them.
[17:15.000 --> 17:19.000]  He didn't want to just, you know, have sex with them. We don't know he wants to do that.
[17:19.000 --> 17:22.000]  But we know he certainly wants to chop their testicles off of their breast off.
[17:22.000 --> 17:29.000]  This is Hellraiser. It rubs the lotion on its skin. I mean, in Hollywood movies where they want to get kids and cut their genitals off.
[17:29.000 --> 17:32.000]  It's a horror movie. But when they do it, they're dressed up in an admiral outfit.
[17:32.000 --> 17:37.000]  Well, if you're in an admiral outfit or if you're in a clown outfit, it must be totally fine.
[17:37.000 --> 17:44.000]  Let's do that by all means right now. There's a lot of good news, though, compared to all this bad news.
[17:44.000 --> 17:50.000]  GOP Congressman calls for investigation into Facebook and Google's role in suppressing free speech because, you know, they're all doing it just like Twitter was.
[17:50.000 --> 17:57.000]  It's already documented. But we don't even need an investigation. We already know all of this.
[17:57.000 --> 18:02.000]  We already know it's about sucking the energy out of the children.
[18:02.000 --> 18:07.000]  We all know it's a form of psychic vampirism, ladies and gentlemen.
[18:08.000 --> 18:20.000]  And the sooner we begin to understand that, the sooner we're going to be able to turn things around and not be under the psychotic demons control.
[18:20.000 --> 18:28.000]  But it is just that simple. Wake up to the fact of what we're facing. Understand it. Deal with it.
[18:28.000 --> 18:35.000]  Look at this guy who is Jim Baker, former top FBI fired for after Elon Musk's Twitter files.
[18:35.000 --> 18:40.000]  Again, who is Jim Baker, former top FBI lawyer fired by Elon Musk over Twitter files?
[18:40.000 --> 18:48.000]  He was sent in there to liaison with the FBI Homeland Security to spy on people and censor them and control them to manipulate the election.
[18:48.000 --> 18:54.000]  We have a weaponized Justice Department against the American people, and it's all coming out.
[18:54.000 --> 18:57.000]  And as Tucker Carlson said last week, Alex Jones was right.
[18:57.000 --> 19:02.000]  Alex Jones was the first to expose this, and we really were amongst the first to expose it.
[19:02.000 --> 19:04.000]  That's why this broadcast is so valuable.
[19:04.000 --> 19:09.000]  It's what we do here is so important is because we understand the new world order works.
[19:09.000 --> 19:13.000]  We know how to stop them. We have the expert guest on. We have the callers.
[19:13.000 --> 19:19.000]  We have formed the main resistance intellectually worldwide, but we can't do it without your support.
[19:19.000 --> 19:27.000]  So understand this. I had said we were going to keep products on sale until Christmas and up to 60 percent off.
[19:27.000 --> 19:33.000]  But almost everything selling out and we did the numbers of not having enough money to operate the next year if we do that.
[19:33.000 --> 19:42.000]  So Monday morning, we're ending the up to 60 percent off the promo code 1776 on vitamin mineral fusion, DNA force plus.
[19:42.000 --> 19:49.000]  So many other products because the tumoric sold out the X to the X three sold out a bunch of half our stuff is sold out.
[19:49.000 --> 19:54.000]  And so we have the other great products like that as obese, so good for your heart and your cardiovascular system.
[19:54.000 --> 20:01.000]  Ultra 12, the highest quality organic B12 taken out of the tongue for all the great things it does for your stamina, libido, immune system, everything.
[20:01.000 --> 20:07.000]  It's all discounted info war store dot com or simply call toll free.
[20:07.000 --> 20:12.000]  Triple eight, two, five, three, three, one, three, nine. And what is left on the site?
[20:12.000 --> 20:16.000]  Busy magnesium with both the good types of magnesium. Nobody else has that.
[20:16.000 --> 20:25.000]  We know of the immune support, the ultimate fish oil, the ultimate krill, the highest grade supermole vitality, super female mentality, brain force, ultra brain force plus vitamin C with zinc.
[20:25.000 --> 20:31.000]  That's the super formula. Whole food, multivitamin, vitamin D, three gummies on and on and on is available.
[20:31.000 --> 20:36.000]  But I would really get ultra 12. That's something a lot of folks aren't getting enough of is the B12.
[20:36.000 --> 20:40.000]  It's all there at the lowest prices you're ever going to find. And it keeps us on air.
[20:40.000 --> 20:42.000]  We need the funding. So please take action now.
[20:42.000 --> 20:47.000]  Info war store dot com or call toll free. Triple eight, two, five, three, three, one, three, nine.
[20:47.000 --> 20:53.000]  Don't battle crowds. Don't blow a bunch of stuff at the mall. Don't brave the crime and the rest of it.
[20:53.000 --> 20:57.000]  Just go to info war store dot com. Free shipping, by the way, is back on order for dollars or more.
[20:57.000 --> 21:01.000]  No excuse not to take action. I want to thank you all for keeping us on air.
[21:02.000 --> 21:09.000]  But this sale will end in less than 48 hours. I had to twist their arm with my crew and folks doing the accounting on Friday.
[21:09.000 --> 21:14.000]  Actually, it was Thursday night. They told me they said, you got to you got to stop this by Monday morning because we need to sell stuff.
[21:14.000 --> 21:19.000]  Only 25 percent off going into next year because all these stable products are going to be sold out in like a week.
[21:19.000 --> 21:23.000]  If you keep them at this rate and they explain to me, we're making like 10 percent on average on these.
[21:23.000 --> 21:30.000]  The product price is so low. So we have a huge gross, but very little actual profit to keep the operation going.
[21:30.000 --> 21:36.000]  Or actual money to even buy products of the future. So give yourself the gift of health and a good immune system with all the craziness going on.
[21:36.000 --> 21:43.000]  Keep us on air and fight for liberty. The coordinates to do that is info war store dot com.
[21:43.000 --> 21:49.000]  All right. You can also do your Christmas shopping, get a copy of the great reset and the war for the world.
[21:49.000 --> 21:55.000]  Signed or unsigned copies exclusively for the signed copies at info war store dot com.
[21:56.000 --> 21:59.000]  And we're going to come back and cover the new book set to be a bestseller.
[21:59.000 --> 22:04.000]  The truth about Wuhan with Dr. Andrew G. Huff, the whistleblower of whistleblowers.
[22:04.000 --> 22:08.000]  This is so important to stop the New World Order's next phase.
[22:08.000 --> 22:14.000]  This is coffin nails their operation. Share this feed right now. Share the archive of this now.
[22:14.000 --> 22:20.000]  You are the resistance. It's all up to you. Just like if we stay on air, we go off air.
[22:20.000 --> 22:24.000]  The globalists can't take us off air without killing me or set me up with a fake charge, which we're trying.
[22:24.000 --> 22:27.000]  But you can take us off air if you don't buy the products. And I'm not bitching at you.
[22:27.000 --> 22:30.000]  I'm saying I know you don't want to take us off air. Plus, you want great products.
[22:30.000 --> 22:34.000]  So go to info war store dot com right now. Thank you so much.
[22:34.000 --> 22:38.000]  Humbly, I ask for your support. I thank the crew as well. Let's go to break.
[22:38.000 --> 22:43.000]  We'll be right back with our special guest. You do not want to miss this interview with Dr. Andrew G. Huff.
[22:43.000 --> 23:00.000]  Because you want it. Here's another one just for you, because without you, it would truly be a blue Christmas.
[23:00.000 --> 23:09.000]  But thank God that we have all of us awakening and vibrant souls all over the earth.
[23:09.000 --> 23:15.000]  It's your love, our love that makes all of this possible.
[23:15.000 --> 23:25.000]  And if you feel like showing us some love today and help keep us on the air, you can do so at info war store dot com.
[23:25.000 --> 23:33.000]  Products that will make your life better and allow us to keep broadcasting free worldwide.
[23:34.000 --> 23:39.000]  We are all in this together through thick and thin on behalf of the whole crew.
[23:39.000 --> 23:45.000]  We love you and we thank you for your support.
[23:55.000 --> 24:02.000]  Ladies and gentlemen, this story couldn't be bigger. Please take notes and share it.
[24:04.000 --> 24:11.000]  Infowars, the most band network in the world.
[24:14.000 --> 24:19.000]  This is a real emergency, as Dr. Paul in the Senate has said.
[24:19.000 --> 24:28.000]  Anthony Foushee has been on record for decades running U.S. biological weapon operations under the guise of vaccine development.
[24:28.000 --> 24:32.000]  It's all come out in the documents. It's all come out because of whistleblowers.
[24:32.000 --> 24:38.000]  And he's lied to Congress. And he's told them that he's never been involved in any of it, even though he's hosted gain of function conferences.
[24:38.000 --> 24:51.000]  And it just broke two months ago that Boston University, also under his direction, has developed a weaponized COVID-19 that kills 80 percent of the humanized mice that come in contact,
[24:51.000 --> 24:58.000]  showing would have a devastating effect on humans, being many, many times more dangerous for us than the first version.
[24:58.000 --> 25:01.000]  Now, obviously, it didn't escape from a lab very early on.
[25:01.000 --> 25:08.000]  Major universities scanned the virus. It could see how it had been combined and was artificial.
[25:08.000 --> 25:19.000]  And then we began to see information coming out from whistleblowers confirming that indeed Foushee, Daszak and others have been quarterbacking the operation.
[25:19.000 --> 25:25.000]  Well, now we have one of those whistleblowers, the main whistleblower on the broadcast.
[25:25.000 --> 25:32.000]  He has been through hell. And this information, again, could not be more important because as Senator Paul and many others have said,
[25:32.000 --> 25:45.000]  any time now, another one of these similar manmade viruses could get out by accident or on purpose and wreak havoc in our civilization again, as we've just seen.
[25:45.000 --> 25:54.000]  So we're going to walk through the history of it, what really happened, and then what our expert guest believes is really going on and why this happened.
[25:54.000 --> 25:58.000]  The truth about Wuhan, how I uncovered the biggest lie in history.
[25:58.000 --> 26:03.000]  Dr. Andrew G. Huff, former EcoHealth Alliance vice president and senior scientist.
[26:03.000 --> 26:12.000]  And that is the health alliance that was used as the front group by the Bill Gates money, by the Defense Department money.
[26:12.000 --> 26:19.000]  At Foushee's direction, and we've seen the emails come out, we've seen the evidence of this really the last two and a half years.
[26:19.000 --> 26:23.000]  And I would give about 90 percent of the credit. There's been some other major whistleblowers as well.
[26:23.000 --> 26:32.000]  But the real smoking guns from Dr. Andrew G. Huff, it's a whole nother part of the story, the harassment they put him under.
[26:32.000 --> 26:38.000]  So, again, he would sound crazy when he talked about the harassment, similar things that they did to Hemingway and others.
[26:38.000 --> 26:48.000]  But we now know, thanks to all these data dumps from Twitter, thanks to Elon Musk, that there's been massive censorship and harassment going on being coordinated by the Justice Department and the State Department.
[26:48.000 --> 26:53.000]  And that's who runs the CIA. Absolutely huge news.
[26:53.000 --> 26:59.000]  Congress has launched an investigation into the State Department funding of third parties to censor online speech and more.
[26:59.000 --> 27:04.000]  So when you hear State Department, that means the folks commanding the CIA.
[27:04.000 --> 27:11.000]  So he joins us to cover all of these issues. We had him on earlier in the week during the regular show, but we didn't have enough time with him.
[27:11.000 --> 27:17.000]  And I just want to impress upon listeners that you know most information you know about this, thanks to Dr. Huff.
[27:17.000 --> 27:26.000]  And now he's here to tell all at great risk to his life. He is a combat veteran and was trained at some of the top universities, including MIT.
[27:26.000 --> 27:34.000]  He went on again to be the senior scientist for this worldwide organization and worked in these labs around the world.
[27:34.000 --> 27:39.000]  So he is the insider, insider, the thing they fear the most coming forward.
[27:39.000 --> 27:42.000]  Because he said earlier in the week, he didn't do this to be evil.
[27:42.000 --> 27:44.000]  There's a lot of folks working the government that are great people.
[27:44.000 --> 27:47.000]  And as he saw corrupt bad things, he did what he was supposed to.
[27:47.000 --> 27:50.000]  He went to Congress, then they came after him.
[27:50.000 --> 27:52.000]  So now he's come to the public.
[27:52.000 --> 27:59.000]  Skyhorse, the great patriots that published my number one New York Times bestseller that they didn't give number one status to, but they admit was number one.
[27:59.000 --> 28:03.000]  The great reset in the world for the world have now published this book that should go to number one as well.
[28:03.000 --> 28:06.000]  The truth about Wuhan, how uncovered the biggest lie in history.
[28:06.000 --> 28:09.000]  So Dr. Andrew G. Huff, thank you so much for joining us the next 50 minutes.
[28:09.000 --> 28:13.000]  I'm going to try to give you the floor as much as possible to walk through all this.
[28:13.000 --> 28:22.000]  And then what you think should be done to stop them allowing a leak or causing a leak or releasing a virus in the future for more power and control.
[28:22.000 --> 28:29.000]  And what we should do in the future as well to safeguard against these bioweapon programs masquerading as vaccine programs.
[28:29.000 --> 28:31.000]  So again, we salute you and thank you.
[28:31.000 --> 28:33.000]  Well, thank you so much for having me.
[28:33.000 --> 28:39.000]  And Alex, I think due to appearing on your show, the first production run of the book sold out in three days.
[28:39.000 --> 28:42.000]  So thank you so much for helping me get the message out.
[28:42.000 --> 28:50.000]  Without platforms like yours and the other people that helped me over the past two years, I don't think the message would have ever gotten out.
[28:50.000 --> 28:52.000]  So my story is unique as a scientist.
[28:52.000 --> 28:55.000]  I began my career actually in the military.
[28:55.000 --> 29:03.000]  I served as an instrument in Operation Enduring Freedom in Central America and in Operation Iraqi Freedom during the height of the war in 2004 and 2005.
[29:03.000 --> 29:09.000]  I thought I was going to be a career officer and I really had a change of heart for my second combat deployment.
[29:09.000 --> 29:11.000]  So I decided to focus on science.
[29:11.000 --> 29:13.000]  I thought I was going to be a psychologist first.
[29:13.000 --> 29:14.000]  My first degree was in psychology.
[29:14.000 --> 29:19.000]  I started managing mental health outpatient clinics for the U.S. Department of Veterans Affairs.
[29:19.000 --> 29:23.000]  Decided that I had a terrible bedside manner and I hated counseling.
[29:23.000 --> 29:29.000]  Bought some time, so I got a master's degree in engineering and security technology and geographic information systems.
[29:29.000 --> 29:33.000]  And my master's degree was heavily national security focused.
[29:33.000 --> 29:37.000]  So at the end of that program, I finished top of my class.
[29:37.000 --> 29:45.000]  My advisors, who were all sort of tied to the deep state, the national security complex, really impressed upon me that I should go on and get a Ph.D.
[29:45.000 --> 29:50.000]  in public health, emerging infectious diseases, and specialize in bioterrorism and biowarfare.
[29:50.000 --> 29:55.000]  They said, go talk to this research center director, his name was Sean Kennedy, at the University of Minnesota.
[29:55.000 --> 30:00.000]  Working at the National Center for Food Protection Defense, which is a Department of Homeland Security Center of Excellence.
[30:00.000 --> 30:03.000]  I went over there and they basically gave me a dream offer.
[30:03.000 --> 30:06.000]  I spoke with Sean, I spoke with Dr. Jeff Bender, who was one of my advisors.
[30:06.000 --> 30:14.000]  And it was like a six figure salary plus full scholarship, plus having data handed me directly from the Department of Homeland Security.
[30:14.000 --> 30:21.000]  And because of my national security experience, my experience in the military, having a secret clearance, you know, not top secret yet,
[30:21.000 --> 30:29.000]  but that really made me uniquely positioned to move upward quickly as part of this new biomedical security state.
[30:29.000 --> 30:33.000]  I became an expert in poisoning people through the food supply.
[30:33.000 --> 30:42.000]  So how can we cause mass casualty events? How can we kill two hundred, three, four hundred thousand people in one event or one attack?
[30:42.000 --> 30:51.000]  So my research was really successful. I had all my research published within my first two years of my Ph.D., which is almost unheard of.
[30:51.000 --> 31:00.000]  And I went on to present this research at Alphabet Soup of government agencies, Department of Homeland Security, Department of Defense, FDA, HHS.
[31:00.000 --> 31:14.000]  And then I started becoming a regular meeting attendee of different what they're called government coordinating councils for national security in different domains or areas of national security.
[31:14.000 --> 31:17.000]  So mainly public health and food and egg.
[31:17.000 --> 31:22.000]  Well, I made a lot of friends. My research was pioneering.
[31:22.000 --> 31:31.000]  Nobody outside the government really understood it. But when I completed this program, it made me uniquely positioned to accept any position that I wanted.
[31:31.000 --> 31:35.000]  I was being recruited in the State Department, which could have been the CIA. I didn't really understand at the time.
[31:35.000 --> 31:43.000]  I call it naive for being a smart person. And my advisers came to me and they asked me, you know, where would you like to work?
[31:43.000 --> 31:48.000]  And Colonel John Hoffman, who wrote on the back of my book cover, he was my mentor.
[31:48.000 --> 31:54.000]  He actually helped stand up the U.S. Department of Homeland Security Bioterror Division with Dr. Tom McGinn.
[31:54.000 --> 32:04.000]  So these are some people who are really well connected. And I befriended two different scientists from the national laboratory, Sandia National Laboratories,
[32:04.000 --> 32:11.000]  where they primarily make nuclear weapons, but they're involved in a lot of other national security research by 80 percent nuclear weapons, 20 percent or other things.
[32:11.000 --> 32:17.000]  And I thought these guys were the coolest guys in the world. They basically had Dr. Strangelove type jobs.
[32:17.000 --> 32:29.000]  When there were national security emergencies or disasters, they would be called upon to help solve these catastrophic problems with science and engineering skills.
[32:29.000 --> 32:33.000]  Oftentimes, though, there's not disasters happening, so they're working on other things.
[32:33.000 --> 32:41.000]  So I asked to be placed essentially at this at this company or this national laboratory. They were quite receptive to me wanting to go there.
[32:41.000 --> 32:45.000]  I went down there, I interviewed. It was actually one of the most difficult interviews of my life.
[32:45.000 --> 32:49.000]  But shortly thereafter, I had a job offer and I was relocating down to New Mexico.
[32:49.000 --> 32:54.000]  I worked at this laboratory for just short of a year.
[32:54.000 --> 33:01.000]  So it was interesting. Really quickly, while I was working there rapidly, my work was being increasingly classified.
[33:01.000 --> 33:07.000]  And through that process, I was worried that I was going to be stuck at this national laboratory forever.
[33:07.000 --> 33:14.000]  So I had a top secret clearance. I was giving high level presentations to all the different government agencies on my areas of expertise.
[33:14.000 --> 33:22.000]  So pandemic preparedness, intentional contamination of the food supply and bioterror and biowarfare.
[33:22.000 --> 33:25.000]  So all my work is increasingly getting classified.
[33:25.000 --> 33:35.000]  And as a scientist, if you ever want to leave, you cannot do that because you can't communicate the results of your work outside of that body.
[33:35.000 --> 33:44.000]  So I started looking for other work. And it only took me probably three or four days when I made that decision to come across an organization called EcoHealth Alliance.
[33:44.000 --> 33:50.000]  So EcoHealth Alliance on this web page had this really neat or interesting mission.
[33:50.000 --> 34:03.000]  So the way that it was described is that by engaging in conservation activities, they could reduce the risk of emerging infectious diseases and thereby the epidemics and pandemics, which has some face validity to it.
