[00:00.000 --> 00:06.000]  Please welcome to the program, the always interesting dynamic, Donald Trump. Donald!
[05:42.000 --> 05:47.000]  I want to thank you all because you are the M-Full War, and you know that's not just words, that's reality.
[05:47.000 --> 05:51.000]  You have made history. We have made history together.
[05:51.000 --> 06:20.000]  M-Full Wars.com only has power because of you, and I suggest you use it.
[06:21.000 --> 06:32.000]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide its Alex Jones.
[06:32.000 --> 06:37.000]  Well, my friends, it's torch Washington's birthday, February 11th.
[06:37.000 --> 06:45.000]  The year is 2000. I am your host Alex Jones. We're going to be live here for the next four hours,
[06:45.000 --> 06:52.000]  and I do intend to open the phones up and take a ton of your calls. Paul Joseph Watson will be hosting the fourth hour.
[06:52.000 --> 06:57.000]  Always informative. Joe Scowzen is going to join us to talk about politics, the world,
[06:57.000 --> 07:02.000]  and all these even mainline analysts saying the cities are going to collapse.
[07:02.000 --> 07:05.000]  They're untenable, especially the blue cities.
[07:05.000 --> 07:11.000]  He is the leading expert when it comes to strategic relocation,
[07:11.000 --> 07:20.000]  and I've just been very honest with the audience that as soon as I can move the headquarters of M-Full Wars to some rural area
[07:20.000 --> 07:24.000]  that is safer, I'm going to do it, but certainly not for a few years.
[07:24.000 --> 07:27.000]  I don't have the capital to do it. I don't want to make the crew move,
[07:27.000 --> 07:31.000]  but I am ambibatting ship out of Austin, Texas.
[07:31.000 --> 07:35.000]  It has just been completely overrun by the Democrats with the needles, with the feces,
[07:35.000 --> 07:39.000]  with the devil worshipers, with all the stupid trendies everywhere.
[07:39.000 --> 07:46.000]  And I just do not want to live in San Francisco right in the middle of the heart of Texas.
[07:46.000 --> 07:48.000]  But that's a side issue.
[07:48.000 --> 07:56.000]  There is so much to get to here, obviously, with the Democrat primary starting to kick off
[07:56.000 --> 08:01.000]  with some of the first early voting happening there in New Hampshire, the Granite State,
[08:01.000 --> 08:06.000]  and already early signs of corruption, fraud, and fiasco behavior,
[08:06.000 --> 08:11.000]  just like we saw in Iowa last week, just total criminal activity.
[08:11.000 --> 08:14.000]  This is your electronic voting machines run by Democrats.
[08:14.000 --> 08:17.000]  This is what you get.
[08:17.000 --> 08:22.000]  It's just a free-for-all bunch of piranhas trying to cheat each other.
[08:22.000 --> 08:26.000]  And that's why Trump could easily lose the 2020 election in 265 days,
[08:26.000 --> 08:30.000]  because we don't have free and fair elections in this country.
[08:30.000 --> 08:36.000]  I've had all the top analysts, all the top experts on, I've done my own research.
[08:36.000 --> 08:41.000]  I know that you've witnessed it yourself down the streets, but at the grassroots level,
[08:41.000 --> 08:49.000]  a massive landslide can defeat Democrats, because they don't have every jurisdiction under their control.
[08:49.000 --> 08:55.000]  And the Republicans I know, and the conservatives I know, and the Christians I know,
[08:55.000 --> 09:03.000]  just won't even speed, won't do anything corrupt at any level,
[09:03.000 --> 09:05.000]  or neurotic about it.
[09:05.000 --> 09:13.000]  I know I am, except the speeding part, but you get my drift.
[09:13.000 --> 09:19.000]  And what do you do up against Democrats who are out competing each other
[09:19.000 --> 09:22.000]  to see who can be the most criminal?
[09:22.000 --> 09:29.000]  And by out competing, I mean, it's just reach cuckoo level situation.
[09:29.000 --> 09:33.000]  It's always some shadowy, weird, multinational company with Soros connections
[09:33.000 --> 09:38.000]  and Deep State connections, and weird apps that are hooked up to all the machines
[09:38.000 --> 09:41.000]  and then put out this info and they don't match the local numbers.
[09:41.000 --> 09:45.000]  And of course, it screws whoever the establishment doesn't want,
[09:45.000 --> 09:49.000]  Bernie Sanders, and promotes who they want,
[09:49.000 --> 09:52.000]  the judge of the booty.
[09:52.000 --> 09:54.000]  Booty judge.
[09:54.000 --> 09:56.000]  It's just unbelievable.
[09:56.000 --> 09:58.000]  So we're going to get into all of that.
[09:58.000 --> 10:00.000]  We're going to open the phones up.
[10:00.000 --> 10:03.000]  We've got huge developments on the coronavirus front.
[10:03.000 --> 10:08.000]  Senator Cotton has come out again at this time, been specific,
[10:08.000 --> 10:12.000]  and said Beijing needs to prove coronavirus isn't a man made by a weapon.
[10:12.000 --> 10:13.000]  Of course, it is.
[10:13.000 --> 10:15.000]  The question is, why did it get out?
[10:15.000 --> 10:17.000]  What were they doing making a vaccine?
[10:17.000 --> 10:18.000]  Who the hell knows?
[10:18.000 --> 10:19.000]  They're covering up.
[10:19.000 --> 10:21.000]  They're lying about the number of deaths, obviously.
[10:21.000 --> 10:23.000]  And a big story up on infowars.com.
[10:23.000 --> 10:28.000]  Department of Defense announces expansion of emergency quarantine centers
[10:28.000 --> 10:29.000]  across the United States.
[10:29.000 --> 10:32.000]  Coronavirus toll officially surpasses 1,000.
[10:32.000 --> 10:38.000]  China says it could be over 43,000 infected.
[10:38.000 --> 10:43.000]  A lot of folks are asking why in the world is Trump praising Xi Jinping?
[10:43.000 --> 10:47.000]  Some experts worry as a germphobic Trump confronts growing epidemic.
[10:47.000 --> 10:51.000]  They even criticize him when he didn't want Ebola patients in the U.S.
[10:51.000 --> 10:52.000]  when he wasn't president.
[10:52.000 --> 10:58.000]  Nobody takes Ebola patients into their country.
[10:58.000 --> 11:03.000]  But again, they make that xenophobic and mad and there's just no end to it.
[11:03.000 --> 11:10.000]  Also, there's a big article in AP about the hero citizen on the ground journalist
[11:10.000 --> 11:13.000]  who didn't want to be journalists but are that have proven the Chinese
[11:13.000 --> 11:16.000]  government's covering up just how bad it is and how they're heroes
[11:16.000 --> 11:18.000]  are questioning the official story.
[11:18.000 --> 11:24.000]  At the same time, if you question the official story here,
[11:24.000 --> 11:27.000]  you get banned on Facebook, Twitter, YouTube, Google.
[11:27.000 --> 11:30.000]  You get called horrible names even though info wars.
[11:30.000 --> 11:35.000]  And our guest has been the absolute vanguard the last three weeks
[11:35.000 --> 11:40.000]  on target with the projections right online.
[11:40.000 --> 11:44.000]  What is announced two, three weeks later that they've got secret quarantine centers
[11:44.000 --> 11:49.000]  ready, that it's man-made, that it's got the HIV delivery system.
[11:49.000 --> 11:52.000]  All of that has now been confirmed.
[11:52.000 --> 11:55.000]  But notice you don't see anybody celebrating in full wars.
[11:55.000 --> 11:56.000]  Oh, no.
[11:56.000 --> 12:00.000]  But they'll celebrate Chinese citizens that expose the fraud.
[12:00.000 --> 12:05.000]  But the very same corporate media then cheerleads to shut down anybody that asks questions.
[12:05.000 --> 12:09.000]  So they're just like the censors in Beijing.
[12:09.000 --> 12:10.000]  Simply amazing.
[12:10.000 --> 12:14.000]  We'll be getting into a lot of that today as well.
[12:14.000 --> 12:16.000]  Here's the good news.
[12:16.000 --> 12:19.000]  People see through this hypocrisy.
[12:19.000 --> 12:22.000]  And folks don't buy the official stories anymore.
[12:22.000 --> 12:27.000]  Sometimes the official story is true, but as your default, you have to question
[12:27.000 --> 12:31.000]  everything nowadays including info wars.
[12:31.000 --> 12:35.000]  In fact, a lot of times I question what I already am believing and thinking
[12:35.000 --> 12:38.000]  with the best knowledge I have, but then I get more knowledge and I go,
[12:38.000 --> 12:40.000]  that was probably wrong.
[12:40.000 --> 12:42.000]  And most of the time it turns out I was wrong.
[12:42.000 --> 12:43.000]  I was partially right.
[12:43.000 --> 12:44.000]  I was going in the right direction.
[12:44.000 --> 12:45.000]  I was learning more.
[12:45.000 --> 12:50.000]  But this idea of just having one set idea about something that you're told by
[12:50.000 --> 12:54.000]  somebody else and then you just defend that forever is stupid.
[12:54.000 --> 12:56.000]  But more importantly, it's dangerous.
[12:56.000 --> 12:59.000]  So we'll be looking at all of that today as well.
[12:59.000 --> 13:06.000]  And then mainline science, private institutes, private groups are confirming
[13:06.000 --> 13:16.000]  that there is a what looks like not naturally occurring transmission being sent.
[13:16.000 --> 13:18.000]  The earth is picking up.
[13:18.000 --> 13:19.000]  Could this be first contact?
[13:19.000 --> 13:21.000]  We'll look at that and so much more.
[13:21.000 --> 13:26.000]  Bloomberg's gotten a lot of trouble because old audio has surfaced of him
[13:26.000 --> 13:32.000]  defending his stop and frisk situation and then saying, hey, we profile some
[13:32.000 --> 13:35.000]  minorities because some groups have higher rates of crime.
[13:35.000 --> 13:38.000]  Well, that is the truth.
[13:38.000 --> 13:43.000]  I mean, we all know men commit about 95% of murders, right?
[13:43.000 --> 13:44.000]  Is that being mean to men?
[13:44.000 --> 13:50.000]  No, men commit most murders.
[13:50.000 --> 13:54.000]  There are some things that criminology women do more often, but men do that.
[13:54.000 --> 13:59.000]  And yes, black men out of all groups of men in the United States top the charts for
[13:59.000 --> 14:03.000]  that because of what's been set up in the culture and society and what's going on
[14:03.000 --> 14:04.000]  and what's happened.
[14:04.000 --> 14:08.000]  That's just a statistic and it's a very strong statistic.
[14:08.000 --> 14:13.000]  So I'm not defending Bloomberg, but watching Trump tweet against him on stop and frisk.
[14:13.000 --> 14:19.000]  You notice Trump had to withdraw that because Trump had defended it back when he was mayor.
[14:19.000 --> 14:21.000]  So we did catch Trump in a flip flop right there.
[14:21.000 --> 14:22.000]  I'm not a cult.
[14:22.000 --> 14:24.000]  I'll expose Trump when he does things that are wrong.
[14:24.000 --> 14:26.000]  I expose myself when I'm wrong.
[14:26.000 --> 14:32.000]  But I'll say this stop and frisk randomly when you don't have any evidence.
[14:32.000 --> 14:36.000]  It violates due process or probable cause and I don't support it.
[14:36.000 --> 14:44.000]  Now, if you're wearing a blood shirts flashing blood signs in a gang area and you just had
[14:44.000 --> 14:46.000]  somebody shot down the road.
[14:46.000 --> 14:47.000]  Yeah, pull over.
[14:47.000 --> 14:50.000]  You've got probable cause to ask questions is gang activity.
[14:50.000 --> 14:56.000]  But to just say you're black, so I'm going to pull up and I'm going to frisk you.
[14:56.000 --> 14:57.000]  That's wrong.
[14:57.000 --> 15:00.000]  And the Democrats have used that and exacerbated it.
[15:00.000 --> 15:03.000]  Cause a race war, try to say all police are bad.
[15:03.000 --> 15:08.000]  When it's Democrat cities that nine times out of 10 are violating African-Americans
[15:08.000 --> 15:11.000]  rights and what's happening in their communities.
[15:11.000 --> 15:14.000]  And then it just creates a downward spiral because the people don't call the police.
[15:14.000 --> 15:16.000]  There's not trust and things fall apart.
[15:16.000 --> 15:20.000]  Most of the police I know and what I've witnessed and I've gone out years ago on
[15:20.000 --> 15:24.000]  ride-alongs and I've done my own research and most police are care and they're
[15:24.000 --> 15:29.000]  working hard and they're exhausted and they don't want to go out and be mean to
[15:29.000 --> 15:31.000]  black people.
[15:31.000 --> 15:36.000]  I'm not just outrageous, but the media tries to seize on that and exacerbate it.
[15:36.000 --> 15:38.000]  And Bloomberg is a big Democrat now.
[15:38.000 --> 15:43.000]  He's been pushing race-based narrative crap when of course it's him that has that
[15:43.000 --> 15:45.000]  entire background.
[15:45.000 --> 15:50.000]  So we've got that audio as well, which on the crime statistics is true.
[15:50.000 --> 15:54.000]  I don't know why he's running from it, but now he's experiencing cancer culture.
[15:54.000 --> 15:57.000]  But stopping frisk is wrong.
[15:57.000 --> 16:00.000]  Attention GCN self-reliance listeners.
[16:00.000 --> 16:04.000]  If you've ever wanted an emergency solar survival backup system but were waiting
[16:04.000 --> 16:08.000]  for prices too crazy to pass up, this will be the most important message you'll
[16:08.000 --> 16:09.000]  ever hear.
[16:09.000 --> 16:10.000]  Bill Hyde here.
[16:10.000 --> 16:13.000]  I want to tell you about a huge sale with historically low prices on our PPX
[16:13.000 --> 16:17.000]  microgrid system that's going to let you produce an endless supply of electricity
[16:17.000 --> 16:18.000]  off the grid.
[16:18.000 --> 16:21.000]  The clearance price is a result of the historic flooding we're having here right
[16:21.000 --> 16:23.000]  on the east bank of the Mississippi.
[16:23.000 --> 16:27.000]  Because of the flooding, we've had to move a lot of our inventory to a temporary location
[16:27.000 --> 16:31.000]  and rather than move it back to the warehouse, we thought we'd offer the system at a price
[16:31.000 --> 16:35.000]  that might seem unbelievable if you didn't know the floodwater's backstory.
[16:35.000 --> 16:37.000]  So here's what you should do right now.
[16:37.000 --> 16:41.000]  Check out the PPX microgrid system at myownpowergrid.com.
[16:41.000 --> 16:43.000]  That's myownpowergrid.com.
[16:43.000 --> 16:47.000]  Over $1,000 in great off-the-grid gear and a ton of bonuses too.
[16:47.000 --> 16:53.000]  In the best part, you're not going to pay $750 or $500 or even $200.
[16:53.000 --> 16:55.000]  Go to myownpowergrid.com to learn more.
[16:55.000 --> 17:24.000]  This is myownpowergrid.com.
[17:24.000 --> 17:39.000]  This is myownpowergrid.com.
[17:39.000 --> 17:44.000]  Order your two months supply today by calling 866-295-5305.
[17:44.000 --> 17:58.000]  That's 866-295-5305 or order online, hbextract.com, heart and body extract 866-295-5305 or hbextract.com.
[17:58.000 --> 18:03.000]  If you understand why the globalist, why the servants of Satan hate infowars,
[18:03.000 --> 18:10.000]  it's because we're awake, we're alive, we're passionate, and we're not giving up.
[18:10.000 --> 18:15.000]  That's why it's critical for those of us that are aware of the New World Order's plans
[18:15.000 --> 18:20.000]  to not get down when they attack us and they persecute us and they lie about us.
[18:20.000 --> 18:24.000]  That's what we should expect because we are hurting these scumbags.
[18:24.000 --> 18:30.000]  The globalists have literally sold their souls to the dark side and they do what they do because they're slaves
[18:30.000 --> 18:36.000]  because they are eternally driven to try to suppress and dominate and destroy the innocent.
[18:36.000 --> 18:40.000]  It is up to us who are awake, not the sheep and not the wolves,
[18:40.000 --> 18:46.000]  but the sheepdogs to stand firm and resist these wicked tyrants.
[18:46.000 --> 18:51.000]  They fear the fact that we are awake, they fear the fact that we are alive,
[18:51.000 --> 18:58.000]  they fear the fact that we love God and that's all we ever have to know is that God is in charge.
[18:58.000 --> 19:02.000]  I've got to really hand it to the listeners and viewers from Infowars.
[19:02.000 --> 19:09.000]  Your support and your help in rebooting Americana is a challenge to the globalist system of corporate tyranny,
[19:09.000 --> 19:13.000]  has really caught hold, not just here in the U.S. but worldwide,
[19:13.000 --> 19:20.000]  and President Trump's fearlessness when it comes to promoting Americana and basic liberty is amazing as well.
[19:20.000 --> 19:25.000]  He's still lacking on the big tech censorship, taking action against that in some other areas,
[19:25.000 --> 19:30.000]  but trying to end the wars, boosting our economy, speaking out against communist China,
[19:30.000 --> 19:35.000]  Trump's been doing an amazing job, but now more than ever, we really have to realize that
[19:35.000 --> 19:44.000]  we're being targeted because we are effective and the globalists are beginning to lose their war against humanity in a big way,
[19:44.000 --> 19:46.000]  and so we're going to see some major fireworks out of them,
[19:46.000 --> 19:52.000]  but it's critical to not let ourselves get down when we see all the poison they spray at us.
[19:52.000 --> 20:01.000]  That's an attempt to demoralize us. We've got to remember that and stay focused and stay happy.
[20:23.000 --> 20:28.000]  Welcome back, ladies and gentlemen.
[20:28.000 --> 20:35.000]  So I mentioned a lot of the news we're going to be covering and breaking down here today,
[20:35.000 --> 20:49.000]  but the first thing I want to get into in depth is something I meant to get to yesterday after the Oscars Sunday evening.
[20:49.000 --> 20:53.000]  I remember growing up and the Oscars would come on, and my mom would watch it,
[20:53.000 --> 21:00.000]  and some of her lady friends would come over, and I just thought it was so disgusting and so boring and so stupid
[21:00.000 --> 21:11.000]  to watch a bunch of people in tuxedos and a bunch of women in sequined dresses preening like peacocks
[21:11.000 --> 21:21.000]  and praising themselves for what amazing actors they are. The pomposity was truly disgusting,
[21:21.000 --> 21:27.000]  but now you've seen Ricky Graves and so many others come out and say your pedophiles, your degenerates,
[21:27.000 --> 21:36.000]  you suck, and they get ten times the viewers conservatively for just that clip than the entire Golden Globes.
[21:36.000 --> 21:45.000]  Reruns of soap operas have more viewers than these shows do because no one's watching it, including old people.
[21:45.000 --> 21:53.000]  It's disgusting. Yeah, folks are watching more Hollywood garbage than ever, but Hollywood's making less money.
[21:53.000 --> 21:59.000]  So is the NFL. So we're all these leftist establishment institutions.
[21:59.000 --> 22:09.000]  And so their answer is to promote censorship of their competition, of free thought,
[22:09.000 --> 22:18.000]  while they use the free speech they have to spew pure venom at the American people and lecture the planet
[22:18.000 --> 22:23.000]  about how we shouldn't fly on jet airplanes, but nobody flies on them more than them.
[22:23.000 --> 22:34.000]  Everything they do is a sick joke because these are teleprompter readers. These are script readers.
[22:34.000 --> 22:45.000]  And America was founded, many a historian wrote accurately like Alexander de Tocqueville is the most often quoted,
[22:45.000 --> 22:52.000]  on hating the establishment and hating titles and hating royalty and hating people that were given everything
[22:52.000 --> 23:02.000]  they had. America was about inventors and it was about sharpshooters and it was about engineers
[23:02.000 --> 23:12.000]  and it was about Lewis and Clark and explorers and trailblazers and people admired reality and the genuine.
[23:12.000 --> 23:19.000]  They'd always admired that in other cultures, but here in America finally you had a chance at least to a certain extent.
[23:19.000 --> 23:27.000]  It wasn't perfect, but compared to any other nation to let your metal stand forth.
[23:27.000 --> 23:35.000]  And that's why people wanted to come here. And there is nothing better than reading these headlines that are dead on.
[23:35.000 --> 23:45.000]  The age of celebrity is dead. It really is. In fact, people just don't not care about celebrities.
[23:45.000 --> 23:56.000]  It's obnoxious. It's disgusting.
[23:56.000 --> 24:02.000]  Dressing up all fancy and stuffs about going to a dance and finding your mate.
[24:02.000 --> 24:11.000]  It's not about watching people on a screen and a bunch of weird directors and people worship themselves
[24:11.000 --> 24:27.000]  and tell us how great they are and tell us how good they are and just ooze and sticky sweet drool over the things they've done.
[24:27.000 --> 24:32.000]  People don't want artificial. They want real.
[24:32.000 --> 24:39.000]  And the rejection of Hollywood and the rejection of the leftist system is so healthy.
[24:39.000 --> 24:50.000]  It's like the rejection of AI, the rejection of virtual reality, the rejection of rubber blow-up dolls, the rejection of it all.
[24:50.000 --> 24:56.000]  This system is trying to seduce us because it doesn't have a soul.
[24:56.000 --> 25:01.000]  And it needs those of us that have a soul. It hopes to give it a soul.
[25:01.000 --> 25:09.000]  The answer is exodus out of the system and let it completely die. Do not be part of it.
[25:09.000 --> 25:15.000]  Come out of the leftist cities. Don't be bullied. Don't appease. Don't adopt their political correctness.
[25:15.000 --> 25:20.000]  Don't bow down to them. You don't even get rewarded for doing it.
[25:20.000 --> 25:26.000]  It's totally empty. The people that follow leftist ideology are slaves.
[25:26.000 --> 25:31.000]  If we come back, we're going to have some comic fun, but it's actually scary.
[25:31.000 --> 25:37.000]  The actual bat boy has been discovered.
[25:37.000 --> 25:43.000]  That's coming up next segment, but let's get serious right now.
[25:43.000 --> 25:52.000]  Brad Pitt getting up there and lecturing us.
[25:52.000 --> 26:01.000]  Walking Phoenix was smart enough to get up there and to say, we're all a bunch of parasites.
[26:01.000 --> 26:04.000]  Everybody hates us. Forgive me that I'm scum.
[26:04.000 --> 26:16.000]  He gets it. He didn't go as far as Ricky Graves, but that's the spirit.
[26:16.000 --> 26:25.000]  They know we hate them. They know they're not cool. They know they're not real.
[26:25.000 --> 26:28.000]  And everyone is sick and tired of them. And this is so good.
[26:28.000 --> 26:34.000]  This is the breaking of the power of the jewel on the crown of this satanic world government system
[26:34.000 --> 26:40.000]  that they thought, oh, thousands of channels and all this would put more of their crap out.
[26:40.000 --> 26:44.000]  And they thought, well, we'll censor our competition. That'll make people love us again.
[26:44.000 --> 26:48.000]  So everyone hates you.
[26:48.000 --> 26:54.000]  Almost no one I know is enamored with any of this crap anymore.
[26:54.000 --> 27:08.000]  The spell, the trance, the mesmer, the dream that's really a nightmare has been broken.
[27:08.000 --> 27:10.000]  And there's no coming back.
[27:10.000 --> 27:20.000]  That's a very, very healthy thing. Here's Joaquin Phoenix doing his delicate genius act, falling on the sword.
[27:20.000 --> 27:27.000]  We fear the idea of personal change because we think that we have to sacrifice something to give something up.
[27:27.000 --> 27:33.000]  But human beings at our best are so inventive and creative and ingenious.
[27:33.000 --> 27:40.000]  And I think that when we use love and compassion as our guiding principles,
[27:40.000 --> 27:48.000]  we can create, develop, and implement systems of change that are beneficial to all sentient beings and to the environment.
[27:48.000 --> 27:50.000]  Now, I've been...
[27:50.000 --> 27:53.000]  You have the Rothschilds controlled everything? Yes. Just let us run this.
[27:53.000 --> 28:01.000]  I've been a scoundrel in my life. I've been selfish. I've been cruel at times, hard to work with, and ungrateful.
[28:01.000 --> 28:06.000]  But so many of you in this room have given me a second chance.
[28:06.000 --> 28:11.000]  And I think that's when we're at our best when we support each other.
[28:11.000 --> 28:19.000]  Not when we cancel each other out for past mistakes, but when we help each other to grow, when we educate each other, when we guide each other towards redemption.
[28:19.000 --> 28:22.000]  Then he thrives out of cancel culture.
[28:22.000 --> 28:32.000]  So again, but isn't he disingenuous? I mean, the whole act he puts on, like he's hesitant and he's so real and everything.
[28:32.000 --> 28:37.000]  Give me a break, man. You're as funny as a bowl of plastic fruit. Everybody knows it.
[28:37.000 --> 28:43.000]  I'll tell you what's real. I'll tell you what's real, okay? There's this knife right here.
[28:43.000 --> 28:48.000]  Everyone watching knows I'm real walking. They know they're real and they don't like you.
[28:48.000 --> 28:53.000]  Mr. Scarey Joker.
[29:19.000 --> 29:24.000]  The money is in the mining equipment used to manufacture dozens of critical digital assets.
[29:24.000 --> 29:35.000]  Non-security IPO or note, lot chain data centers have a proven turnkey equipment sale leaseback program with a 27% annualized lease payment deposited into your bank account each month.
[29:35.000 --> 29:43.000]  Don't miss this one. Stake your claim today. Call 800-600-3388. That's 800-600-3388.
[29:43.000 --> 29:48.000]  These valuable lease contracts won't last long. Call now 800-600-3388.
[29:48.000 --> 29:50.000]  800-600-3388.
[29:50.000 --> 29:58.000]  Equipment offer poses a financial risk to owners consult with financial professionals before purchasing not an offer to buy or sell a security which requires an offering document.
[29:58.000 --> 30:04.000]  Don't be a victim. If you're worried about the coronavirus, exercise, but not too hard because that can lower your immune system.
[30:04.000 --> 30:14.000]  Drink extra purified clean water so that no toxins weigh you down. Get plenty of hydration. Prayer and meditation has been proven to make you healthier. Get plenty of vitamin C. Get plenty of vitamin D3, which is fish oil.
[30:14.000 --> 30:20.000]  Take your colloidal silver, all of it. That's what allows you to be healthier and get plenty of sleep.
[30:20.000 --> 30:29.000]  We have sold out of the 16-ounce immune gargle that has the nano-silver that Pat did and documented and even admitted and documents we've shown to go after this whole Corona SARS family.
[30:29.000 --> 30:37.000]  A virus. We're almost sold out of the 1-ounce spray bottles. That'll be sold out a couple days and we're in about a week and a half or so of the super-silver 3-ounce bottles.
[30:37.000 --> 30:40.000]  Great to have, period. Really good for your gums. Really great for your teeth.
[30:40.000 --> 30:47.000]  We also have the super-silver in our whitening toothpaste. Again, we're the only folks allowed to private label or make our own products with this top nanotech company based here in the U.S.
[30:47.000 --> 30:52.000]  That's in all these homeless security documents and everything because we get the best stuff. There's a lot of patriots.
[30:52.000 --> 30:58.000]  There's not just bad guys coming after us. There's the flip side of all the good guys and good gals. It's very exciting.
[30:58.000 --> 31:06.000]  I wanted to talk about super-silver whitening toothpaste because I hadn't tried it except for maybe the last week and a half and I told Alex.
[31:06.000 --> 31:12.000]  I said, man, this is the best toothpaste I've ever tried. He's like, well, what are you doing just sitting in here telling me? You got to get up there and tell people.
