whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
[00:02:44.000 --> 00:02:52.000]   And according to his Wikipedia page, Sean Parker was recruited by the CIA just before finishing high school.
[00:02:52.000 --> 00:02:59.000]   As president of Facebook, Sean Parker brought on their first big investor, Peter Thiel.
[00:02:59.000 --> 00:03:02.000]   Around the same time that LifeLog was created,
[00:03:02.000 --> 00:03:09.000]   CIA investment group In-Q-Tel helped Peter Thiel form Palantir Technologies,
[00:03:09.000 --> 00:03:14.000]   a company that analyzed massive databases of public information
[00:03:14.000 --> 00:03:19.000]   used by the CIA and other offices of the U.S. intelligence community.
[00:03:19.000 --> 00:03:23.000]   Peter Thiel brought in investor James Breyer,
[00:03:23.000 --> 00:03:29.000]   who at the same time was on the board of directors for military defense contractor BBN,
[00:03:29.000 --> 00:03:35.000]   along with CIA-run In-Q-Tel CEO Gilman Louie.
[00:03:35.000 --> 00:03:38.000]   With several close connections to the CIA,
[00:03:38.000 --> 00:03:43.000]   Facebook went on to accomplish everything that LifeLog hoped to execute,
[00:03:43.000 --> 00:03:50.000]   and all with the appearances of being a private company run by co-creator Mark Zuckerberg.
[00:03:50.000 --> 00:03:54.000]   Mark Zuckerberg testified before Congress last April
[00:03:54.000 --> 00:03:59.000]   in a grand spectacle that displayed him more like an alien robot
[00:03:59.000 --> 00:04:05.000]   than the shrewd business mogul of the world's biggest social media platform.
[00:04:05.000 --> 00:04:10.000]   And now, federal prosecutors are investigating deals that Facebook made
[00:04:10.000 --> 00:04:14.000]   with some of the world's largest tech companies.
[00:04:14.000 --> 00:04:18.000]   Top executives are leaving the company.
[00:04:18.000 --> 00:04:27.000]   Director Sheryl Sandberg has sold over $15 million in Facebook shares over the past few weeks.
[00:04:27.000 --> 00:04:34.000]   On Wednesday, March 13, Facebook and Instagram went down around the globe.
[00:04:34.000 --> 00:04:41.000]   The initial claim of an accidental traffic jam issue with a European Internet company
[00:04:41.000 --> 00:04:46.000]   was quickly refuted by third-party firm Thousand Eyes,
[00:04:46.000 --> 00:04:50.000]   who says the outage appears to be an internal problem.
[00:04:50.000 --> 00:04:55.000]   Facebook later claimed it was due to a server configuration change.
[00:04:55.000 --> 00:05:00.000]   The full report's up on InfoWars.com. Stay with us.
[00:05:00.000 --> 00:05:05.000]   Big Brother, mainstream media, government cover-ups.
[00:05:05.000 --> 00:05:08.000]   You want to stop tyranny? Well, so does he.
[00:05:08.000 --> 00:05:14.000]   Live from the InfoWars.com studios, it's Alex Jones.
[00:05:14.000 --> 00:05:29.000]   [Music]
[00:05:29.000 --> 00:05:33.000]   Ladies and gentlemen, a lot is happening in the world.
[00:05:33.000 --> 00:05:38.000]   And I've been giving my take on it Friday and also Saturday with a special report
[00:05:38.000 --> 00:05:42.000]   and yesterday with a Sunday show that I've been doing for 11 years.
[00:05:42.000 --> 00:05:47.000]   4 to 6 p.m. Central. I've been doing this broadcast, this time slot, for 22 years.
[00:05:47.000 --> 00:05:50.000]   Been on air almost 25.
[00:05:50.000 --> 00:05:56.000]   But you know, I want to hear from the listeners about what you think about New Zealand
[00:05:56.000 --> 00:06:01.000]   and the news reportage and the weird anomalies and the manifesto
[00:06:01.000 --> 00:06:07.000]   and John Podesta being in the area and then his strange comments.
[00:06:07.000 --> 00:06:12.000]   And then we're going to also look into Beto O'Rourke or Beto O'Reilly
[00:06:12.000 --> 00:06:20.000]   with his hit and run, his DWI's, his fantasy articles about raping women
[00:06:20.000 --> 00:06:23.000]   and the type of compromised individual he is.
[00:06:23.000 --> 00:06:28.000]   We're going to discuss all of that.
[00:06:28.000 --> 00:06:34.000]   There is so much to cover, so much to get into today.
[00:06:34.000 --> 00:06:37.000]   And then really the big takeaway.
[00:06:37.000 --> 00:06:43.000]   All the mainstream corporate press is interviewing survivors and family members of victims
[00:06:43.000 --> 00:06:53.000]   of the tragic Ides of March Facebook massacre, as it's being called.
[00:06:53.000 --> 00:06:58.000]   And they're humanizing the Muslims and they're getting ready for their funerals
[00:06:58.000 --> 00:07:03.000]   and they're talking about how terrible it was.
[00:07:03.000 --> 00:07:06.000]   Mainstream news can show blurred out images of the shooting.
[00:07:06.000 --> 00:07:07.000]   We've shown those as well.
[00:07:07.000 --> 00:07:12.000]   But, oh, if anybody else that's not mainstream news shows it, you'll have your website taken down
[00:07:12.000 --> 00:07:19.000]   or in New Zealand they're threatening 10 years in prison.
[00:07:19.000 --> 00:07:26.000]   So we're really seeing these incredible double standards.
[00:07:26.000 --> 00:07:34.000]   When you pull back from this, we certainly know they're using the tragic event to take guns,
[00:07:34.000 --> 00:07:39.000]   to call for Internet censorship and to demonize white males.
[00:07:39.000 --> 00:07:44.000]   When a Muslim runs over a couple hundred people with a car or shoots up a church
[00:07:44.000 --> 00:07:49.000]   or a bunch of Muslim men kidnap little girls and sell them into sex slavery in England
[00:07:49.000 --> 00:07:56.000]   where there's no go zones and hundreds of cars being burned tonight,
[00:07:56.000 --> 00:07:57.000]   it's not Islam doing that.
[00:07:57.000 --> 00:08:02.000]   It's not men with brown skin doing that.
[00:08:02.000 --> 00:08:08.000]   It's just random crazies and a couple hundred run over, a couple dozen run over,
[00:08:08.000 --> 00:08:10.000]   a couple dozen shot, a couple hundred bombed.
[00:08:10.000 --> 00:08:13.000]   It just comes into the news for a day.
[00:08:13.000 --> 00:08:18.000]   They kind of announce it as a footnote and you never hear about it again.
[00:08:18.000 --> 00:08:26.000]   But 50 people die and they just plaster it all over the front page of the news,
[00:08:26.000 --> 00:08:30.000]   the front page of every news site, the Internet,
[00:08:30.000 --> 00:08:34.000]   and all these radical Islamic members of Congress,
[00:08:34.000 --> 00:08:41.000]   they come slithering out from underneath their rocks and say that this is an attack on Islam.
[00:08:41.000 --> 00:08:42.000]   Well, you know what?
[00:08:42.000 --> 00:08:48.000]   Can I go to any Islamic country as a Christian and live in peace and be left alone?
[00:08:48.000 --> 00:08:50.000]   The answer is no.
[00:08:50.000 --> 00:08:55.000]   Even the more tolerant ones like Syria.
[00:08:55.000 --> 00:08:58.000]   Can I go to Saudi Arabia and preach the gospel?
[00:08:58.000 --> 00:08:59.000]   No.
[00:08:59.000 --> 00:09:01.000]   Can I go to Iraq and do it?
[00:09:01.000 --> 00:09:02.000]   No.
[00:09:02.000 --> 00:09:04.000]   Can I go to Sudan and do it?
[00:09:04.000 --> 00:09:07.000]   No.
[00:09:07.000 --> 00:09:09.000]   Can I go to Somalia and do it?
[00:09:09.000 --> 00:09:11.000]   No.
[00:09:11.000 --> 00:09:12.000]   Can I go to Indonesia and do it?
[00:09:12.000 --> 00:09:15.000]   No.
[00:09:15.000 --> 00:09:19.000]   Everywhere Islam comes in, it pushes everybody else out.
[00:09:19.000 --> 00:09:23.000]   And then when someone acts like Muslims act,
[00:09:23.000 --> 00:09:29.000]   when someone acts like radical Muslims act and goes into a place and kills a bunch of innocent people,
[00:09:29.000 --> 00:09:36.000]   it's the end of the world and white people are to blame and the president hasn't done enough and it's Trump's fault.
[00:09:36.000 --> 00:09:40.000]   And I've got all these news clips about how being white is inherently bad
[00:09:40.000 --> 00:09:44.000]   and the person that supposedly carried out these attacks, Brendan Tarrant,
[00:09:44.000 --> 00:09:50.000]   says he did it to cause a helter-skelter global race war to depopulate the planet.
[00:09:50.000 --> 00:09:53.000]   Same thing, word for word, Charlie Manson said.
[00:09:53.000 --> 00:09:57.000]   And I've been predicting you'll see Charlie Manson type crises.
[00:09:57.000 --> 00:10:03.000]   They were trying a global takeover in '69 and they're trying one in 2019.
[00:10:03.000 --> 00:10:09.000]   And yes, the man did it as a false flag.
[00:10:09.000 --> 00:10:14.000]   You do a false flag to get your enemies fighting with each other or to target your enemy or to blame your enemy.
[00:10:14.000 --> 00:10:19.000]   And he says in the manifesto, I did it to get my enemies fighting.
[00:10:19.000 --> 00:10:25.000]   Limbaugh has come out and said leftists who staged false flag attack to frame conservatives.
[00:10:25.000 --> 00:10:27.000]   It's hiding in plain view.
[00:10:27.000 --> 00:10:29.000]   I'm not saying the shooting didn't happen.
[00:10:29.000 --> 00:10:30.000]   My heart goes out to those that died.
[00:10:30.000 --> 00:10:33.000]   There are a lot of nice Muslims.
[00:10:33.000 --> 00:10:43.000]   The point is they always come in first and the radicals come in and take them over and then they kick you out if you don't convert.
[00:10:43.000 --> 00:10:49.000]   So when we come back, I'm going to get to a very powerful report John Bowne put together.
[00:10:49.000 --> 00:10:56.000]   Podesta labels New Zealand a big juicy target for weaponized propaganda.
[00:10:56.000 --> 00:10:57.000]   That ties into the manifesto.
[00:10:57.000 --> 00:11:01.000]   They don't want you to understand.
[00:11:01.000 --> 00:11:04.000]   We're going to look at that and then I'm going to give the number out.
[00:11:04.000 --> 00:11:06.000]   I'll do that right now.
[00:11:06.000 --> 00:11:12.000]   I'm going to give the number out.
[00:11:12.000 --> 00:11:21.000]   And I want to hear from you specifically on what you think is going on and what you think is happening and what you think is unfolding.
[00:11:21.000 --> 00:11:24.000]   With this clear global move, I watch CNN.
[00:11:24.000 --> 00:11:26.000]   I watch Fox News.
[00:11:26.000 --> 00:11:27.000]   I watched ABC News.
[00:11:27.000 --> 00:11:28.000]   I watched MSNBC.
[00:11:28.000 --> 00:11:32.000]   And they said there is an explosion of white supremacy globally.
[00:11:32.000 --> 00:11:33.000]   Not true.
[00:11:33.000 --> 00:11:37.000]   There's an explosion of radical Islam and attacking everybody around them.
[00:11:37.000 --> 00:11:42.000]   And we need to censor white males and we need to kick the right wing off the Internet.
[00:11:42.000 --> 00:11:44.000]   So they're going to their next phase.
[00:11:44.000 --> 00:11:54.000]   Of Brian Stelker on reliable sources saying we've got to get all these extremists off that say that, you know, that say that all this is going on.
[00:11:54.000 --> 00:11:58.000]   And we need to stop them because they're spreading white supremacy.
[00:11:58.000 --> 00:12:01.000]   People like Alex Jones are still on the Internet.
[00:12:01.000 --> 00:12:06.000]   That's what Oliver Darcy, his partner in crime, also said.
[00:12:06.000 --> 00:12:10.000]   Yeah, Alex Jones is still has info wars.
[00:12:10.000 --> 00:12:12.000]   Then he's doing bad things.
[00:12:12.000 --> 00:12:17.000]   We need them off the Internet right now.
[00:12:17.000 --> 00:12:22.000]   Meanwhile, they're giving themselves awards at CNN last week.
[00:12:22.000 --> 00:12:25.000]   They gave the head of CNN for defending free speech.
[00:12:25.000 --> 00:12:30.000]   He's like, we must stop those that try to silence voices asking questions.
[00:12:30.000 --> 00:12:36.000]   Meanwhile, his network's dedicated to savaging the First Amendment publicly.
[00:12:36.000 --> 00:12:38.000]   This is an incredible time to be alive.
[00:12:38.000 --> 00:12:46.000]   It's a total war for the future of this nation and every nation and the family.
[00:12:46.000 --> 00:12:47.000]   We're going to break it all down.
[00:12:47.000 --> 00:12:52.000]   The toll free number to join us is 877-789-2539.
[00:12:52.000 --> 00:12:55.000]   That's 877-789-ALEX.
[00:12:55.000 --> 00:12:58.000]   877-789-ALEX.
[00:12:58.000 --> 00:13:01.000]   And we're taking calls specifically on the attacks on free speech.
[00:13:01.000 --> 00:13:04.000]   What are the goals of the massacre?
[00:13:04.000 --> 00:13:20.000]   What he said in the manifesto was to bring in authoritarianism, to smash Christianity, to smash conservatives, to create a communist Chinese model.
[00:13:20.000 --> 00:13:22.000]   That's in his manifesto.
[00:13:22.000 --> 00:13:27.000]   Then he flashes what the left claim is a white power sign.
[00:13:27.000 --> 00:13:31.000]   Well, you better tell the old 7up commercials.
[00:13:31.000 --> 00:13:38.000]   You better tell the Italian food restaurant ads where you go bon appetit or oh, it's wonderful.
[00:13:38.000 --> 00:13:43.000]   Oh, wait till you wait till you taste the clams in the red sauce.
[00:13:43.000 --> 00:13:46.000]   I mean, everybody knows that means, oh, it's so good.
[00:13:46.000 --> 00:13:48.000]   It means a OK.
[00:13:48.000 --> 00:13:50.000]   You know, if you're underwater diving, what's this mean?
[00:13:50.000 --> 00:13:51.000]   I've got enough oxygen.
[00:13:51.000 --> 00:13:54.000]   I'm OK.
[00:13:54.000 --> 00:13:55.000]   What does it mean about food?
[00:13:55.000 --> 00:13:56.000]   Oh, how's that food?
[00:13:56.000 --> 00:13:59.000]   Oh, it's delicious.
[00:13:59.000 --> 00:14:04.000]   But see, now he flashes the sign.
[00:14:04.000 --> 00:14:07.000]   I guess it means the three fingers mean a W.
[00:14:07.000 --> 00:14:11.000]   Fitting into the perfect scripting of the false flag they need.
[00:14:11.000 --> 00:14:16.000]   Does it mean the shooting didn't happen?
[00:14:16.000 --> 00:14:18.000]   False flags, there's many different variants of them.
[00:14:18.000 --> 00:14:23.000]   It's where you provocateur someone, you let them do it, you protect them or the person doing it.
[00:14:23.000 --> 00:14:26.000]   It goes beyond Jesse Smollett, who just staged the event.
[00:14:26.000 --> 00:14:31.000]   You actually do a violent event to blame it on someone.
[00:14:31.000 --> 00:14:39.000]   That's how World War Two was launched in Operation Hemler when the Nazis staged attacks on themselves and killed real people to launch the war with Poland.
[00:14:39.000 --> 00:14:43.000]   That's how World War Two started.
[00:14:43.000 --> 00:14:45.000]   And now he says that's why he did it.
[00:14:45.000 --> 00:14:50.000]   Meanwhile, Obama's top professor says they think Trump's going to stage a false flag.
[00:14:50.000 --> 00:14:53.000]   So it's OK for them to talk about false flags, but not us.
[00:14:53.000 --> 00:14:56.000]   The truth is they're losing. We're winning.
[00:14:57.000 --> 00:15:22.000]   [Music]
[00:15:22.000 --> 00:15:29.000]   [Music]
[00:15:29.000 --> 00:15:32.000]   Your phone calls are coming up in the next segment.
[00:15:32.000 --> 00:15:38.000]   Your take, your view on this seminal event of the 50 dead Muslims.
[00:15:38.000 --> 00:15:47.000]   Remember, over 1,300 churches, according to the UN, have been blown up in just the last three years by Muslims.
[00:15:47.000 --> 00:15:57.000]   Over a million Christians are displaced every year just in Africa alone by Muslims invading from the north into the south.
[00:15:57.000 --> 00:16:02.000]   Millions of Christians have been killed in the last decade by Muslims.
[00:16:02.000 --> 00:16:08.000]   But you don't hear their names. You don't see their funerals. You don't learn their stories.
[00:16:08.000 --> 00:16:25.000]   But front of CNN since last Friday, the front of ABC, the front of MSNBC is the tragedy and the world faces the explosion of white supremacist terror, which is incredibly rare.
[00:16:25.000 --> 00:16:29.000]   And you look at McVeigh in Oklahoma City. We know the workers in the buildings.
[00:16:29.000 --> 00:16:32.000]   We know the federal court cases. We know who planted the bombs.
[00:16:32.000 --> 00:16:37.000]   That was 100 percent total stage false flag.
[00:16:37.000 --> 00:16:51.000]   But there are other false flags where the person themselves hires two actors to dump bleach on them and put a rope around their neck and slap them.
[00:16:51.000 --> 00:16:57.000]   That's a false flag where you don't actually have the crime of the person being hurt.
[00:16:57.000 --> 00:17:07.000]   Then you have other events where people go in and attack a group so that the group they want to blame gets in trouble.
[00:17:07.000 --> 00:17:22.000]   And the gentleman, the demon, the creature, Brenton Tarrant, says in the manifesto, I'm a leftist.
[00:17:22.000 --> 00:17:27.000]   I'm a fascist eco terrorist. I want to reduce world population. The earth's overpopulated.
[00:17:27.000 --> 00:17:32.000]   I want to make people clash to reduce the number of people. That's Charlie Manson.
[00:17:32.000 --> 00:17:37.000]   Where do you think Charlie Manson got it? Where do you think Theodore Kaczynski got it?
[00:17:37.000 --> 00:17:45.000]   I'm not just saying this. Look it up. Charlie Manson worked for the CIA in MK Ultra in San Francisco and Los Angeles.
[00:17:45.000 --> 00:17:52.000]   Charlie Manson, Theodore Kaczynski worked for the CIA at the exact same time.
[00:17:52.000 --> 00:18:01.000]   That's L.A. Times in MK Ultra. Sirhan Sirhan, MK Ultra.
[00:18:01.000 --> 00:18:07.000]   So I don't know if this guy had handlers, but he sure as hell is following the program.
[00:18:07.000 --> 00:18:11.000]   And Limbaugh's right. He's a leftist doing this critic class of civilizations.
[00:18:11.000 --> 00:18:18.000]   Here's Podesta labels New Zealand a big juicy target for weaponized propaganda by John Bowne.
[00:18:18.000 --> 00:18:25.000]   It is odd that just four days before the New Zealand massacre, John Podesta, former Hillary Clinton campaign chairman,
[00:18:25.000 --> 00:18:33.000]   former Bill Clinton White House chief of staff, former Obama administration counselor and chairman for the Center for American Progress,
[00:18:33.000 --> 00:18:41.000]   would be present to praise relatively unknown Prime Minister Jacinda Ardern as a superstar.
[00:18:41.000 --> 00:18:51.000]   The New Zealand Herald reported four days before the massacre that John Podesta told News Talk that Ardern had given hope to social democrats all around the world.
[00:18:51.000 --> 00:18:56.000]   She's made an impression on the world. She's somebody that people are paying attention to.
[00:18:56.000 --> 00:19:04.000]   Podesta had been overseeing a global progressives event titled The Path to Progress and had been interviewed by New Zealand's news hub,
[00:19:04.000 --> 00:19:08.000]   describing New Zealand as a big juicy target.
[00:19:08.000 --> 00:19:16.000]   New Zealand is a member of the Five Eyes spy network, a powerful intelligence club made up of the US, UK, Canada, Australia and us.
[00:19:16.000 --> 00:19:20.000]   And as being a member of the Five Eyes group, does that make New Zealand more vulnerable?
[00:19:20.000 --> 00:19:28.000]   I don't think it makes them more vulnerable. It probably makes them in some ways, they probably have tighter security, but makes them a juicier target.
[00:19:28.000 --> 00:19:29.000]   Let's put it that way.
[00:19:29.000 --> 00:19:38.000]   Add to Podesta's ominous appearance that the mainstream media was immediately and predictably silent on the shooters leftist leanings,
[00:19:38.000 --> 00:19:45.000]   instead opting to further their version of the shooters manifesto by linking the blame to President Trump
[00:19:45.000 --> 00:19:52.000]   and painting the president as a white nationalist sympathizer while casting a wide net over white America,
[00:19:52.000 --> 00:19:59.000]   suddenly propagandizing that all of white America is a racist nightmare that must be dealt with.
[00:19:59.000 --> 00:20:05.000]   I am Chris Cuomo, welcome to Primetime. 49 people massacred for being different than their murderer.
[00:20:05.000 --> 00:20:09.000]   And many more before them here at home.
[00:20:09.000 --> 00:20:15.000]   The time has come to stop ignoring an obvious problem abroad and here at home.
[00:20:15.000 --> 00:20:19.000]   White supremacism is on the rise and the president should know that.
[00:20:19.000 --> 00:20:26.000]   The killers manifesto, meantime, mentions President Trump, calling him "a symbol of renewed white identity and common purpose."
[00:20:26.000 --> 00:20:31.000]   Jim, has the White House said anything about the reference to the president in this so-called manifesto?
[00:20:31.000 --> 00:20:37.000]   Well, the president was asked about it, Anderson, and he said he hadn't read it, but the White House counselor, Kellyanne Conway,
[00:20:37.000 --> 00:20:42.000]   she was asked about this earlier in the day and she was urging reporters to read the entire manifesto
[00:20:42.000 --> 00:20:47.000]   and that there were parts of the manifesto that said that this killer was an eco-terrorist, she said, and so on.
[00:20:47.000 --> 00:20:54.000]   She was really looking past the language in this manifesto that was describing the president as sort of a hero
[00:20:54.000 --> 00:20:57.000]   to people who identify with their white heritage.
[00:20:57.000 --> 00:21:04.000]   And what was also striking, Anderson, in that manifesto was that the killer was using terms like "invaders" and "invasion."
[00:21:04.000 --> 00:21:08.000]   Do you think today white nationalism is a rising threat around the world?
[00:21:08.000 --> 00:21:14.000]   I don't really. I think it's a small group of people that have very, very serious problems.
[00:21:14.000 --> 00:21:18.000]   I guess if you look at what happened in New Zealand, perhaps that's the case.
[00:21:18.000 --> 00:21:24.000]   I don't know enough about it yet. They're just learning about the person and the people involved.
[00:21:24.000 --> 00:21:27.000]   But it's certainly a terrible thing, terrible thing.
[00:21:27.000 --> 00:21:32.000]   Sir, despite what the president says, how embedded is white supremacy in U.S. culture right now?
[00:21:32.000 --> 00:21:35.000]   Right now? I mean, I think it's been embedded for a very long time.
[00:21:35.000 --> 00:21:39.000]   I think we're seeing more instances of it, and it's more in your face.
[00:21:39.000 --> 00:21:42.000]   I went to a conference in Texas last year of Muslims.
[00:21:42.000 --> 00:21:45.000]   There were people with guns standing outside shouting "no" to Sharia law.
[00:21:45.000 --> 00:21:48.000]   I mean, that is what is going on in cities in the United States right now.
[00:21:48.000 --> 00:21:53.000]   You're a piece in The Atlantic. You argue that white nationalism has deep American roots.
[00:21:53.000 --> 00:21:56.000]   I mean, you hear it on Fox News. You hear it from the president.
[00:21:56.000 --> 00:22:04.000]   You hear it from the manifesto of the shooter in New Zealand who was motivated by fears of what he called white genocide,
[00:22:04.000 --> 00:22:12.000]   which is simply the loss of white political and cultural dominance in countries that he considers to belong to white people.
[00:22:12.000 --> 00:22:16.000]   The political discourse that we're having now and the administration in power now,
[00:22:16.000 --> 00:22:21.000]   Donald Trump himself has said so many things that match what white nationalists say.
[00:22:21.000 --> 00:22:23.000]   It matches their message.
[00:22:23.000 --> 00:22:27.000]   Think of how many efforts we make to stop jihadist terrorism, and that's appropriate.
[00:22:27.000 --> 00:22:36.000]   That is a real threat. But we don't have a comparable effort in this government to combat right-wing white supremacist terrorism.
[00:22:36.000 --> 00:22:38.000]   Clearly, the New Zealand shooter was a coward.
[00:22:38.000 --> 00:22:46.000]   And anyone supporting the madness that wipes out women and children in a blaze of supposed glory is a coward as well.
[00:22:46.000 --> 00:22:51.000]   Podesta and the Mockingbird media are only interested in weaponizing this cowardice,
[00:22:51.000 --> 00:23:00.000]   attempting to convince the American people that we should be stripped of our rights and downgraded to dirty cowards like themselves.
[00:23:00.000 --> 00:23:07.000]   Fortunately for the average American citizen, albeit temporarily if the Democrats have their way in future elections,
[00:23:07.000 --> 00:23:15.000]   the U.S. Constitution and the Bill of Rights say otherwise regarding the clandestine intentions of the New World Order.
[00:23:15.000 --> 00:23:17.000]   John Bowne reporting.
[00:23:20.000 --> 00:23:22.000]   It's simple. They're demoralizing you.
[00:23:22.000 --> 00:23:28.000]   They're making America be about hating the country and race-based, and then saying the president is a racist who's trying to unify us.
[00:23:28.000 --> 00:23:36.000]   This is a classic divide-and-conquer strategy, and this individual that said he wanted a race war and division is getting exactly what he wants.
[00:23:36.000 --> 00:23:41.000]   And the corporate media, led by John Podesta, is giving them exactly what they need.
[00:23:41.000 --> 00:23:44.000]   They're all working hand-in-glove with the red bug.
[00:23:46.000 --> 00:23:53.000]   Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:23:53.000 --> 00:24:01.000]   I need your help, Frank. They're trying to shut us down, Frank.
[00:24:01.000 --> 00:24:09.000]   The great Frank of North Carolina has called in. We're going to go to him first here in just a few minutes.
[00:24:09.000 --> 00:24:16.000]   We've got callers from Hawaii, callers from Illinois, callers from all over the country, and callers coming in from around the world.
[00:24:16.000 --> 00:24:21.000]   A toll-free number to join us. We'll flash up on screen for TV viewers.
[00:24:21.000 --> 00:24:25.000]   Let me get serious, though.
[00:24:25.000 --> 00:24:36.000]   The corporate media is working in concert all over the world to take this tragic event that just took place in New Zealand, 50 dead Muslims killed cold-bloodedly,
[00:24:38.000 --> 00:24:44.000]   something ISIS or Al-Qaeda would do, something our media would then cover up and not even talk about,
[00:24:44.000 --> 00:24:50.000]   and is projecting it onto President Trump, onto nationalists, onto gun owners, and onto white people in general.
[00:24:50.000 --> 00:24:59.000]   And so the entire corporate press is anti-white, anti-Christian, anti-Western, trying to get the whole world to then hate Americans that are white,
[00:24:59.000 --> 00:25:06.000]   hate Europeans that are white, to then have the UN bring in populations for a race-based system.
[00:25:07.000 --> 00:25:12.000]   It's actually very Hitlerian, but it's being engineered by the globalists against the West.
[00:25:12.000 --> 00:25:18.000]   We're supposedly going to respond by being racist and follow their paradigm.
[00:25:18.000 --> 00:25:28.000]   But it's amazing how they won't personalize anybody killed by Muslims, any church shot up, any 200-plus people run over by cars, including toddlers,
[00:25:28.000 --> 00:25:33.000]   won't show you their names, won't show their burials, but they will this mosque.
[00:25:33.000 --> 00:25:39.000]   And he said in his manifesto he wants a global race war to depopulate people. That's what Charlie Manson said.
[00:25:39.000 --> 00:25:46.000]   So the corporate press is aiding and abetting this individual, Brenton Tarrant.
[00:25:46.000 --> 00:25:52.000]   And old John Podesta was right there in New Zealand for the whole thing right on time.
[00:25:52.000 --> 00:25:59.000]   And Limbaugh's come out and said, "Looks like a leftist staging this as a false flag to blame conservatives."
[00:26:00.000 --> 00:26:06.000]   Well, that's who's got the motive, and the media's sure playing along with the whole thing.
[00:26:06.000 --> 00:26:11.000]   Now, let's shift gears.
[00:26:11.000 --> 00:26:24.000]   This isn't just about targeting white people and demonizing white people and demonizing the West and demonizing anybody that wants to have sovereignty or anybody who's a capitalist.
[00:26:24.000 --> 00:26:29.000]   It's about blaming Facebook and others who are going along with being blamed.
[00:26:30.000 --> 00:26:36.000]   As if humans being able to communicate spontaneously is bad because someone uses a platform for something that's evil.
[00:26:36.000 --> 00:26:43.000]   Because Brenton Tarrant did this, we now all have to lose our free speech.
[00:26:43.000 --> 00:26:51.000]   We have to be censored and watched and have the feature of live video feeds taken from us because we're more popular.
[00:26:51.000 --> 00:26:57.000]   We the people are more popular than mainstream corporate media, so they're going to protect us.
[00:26:59.000 --> 00:27:06.000]   And give us 10 years in prison if we supposedly show any of his statements or him invading the mosque.
