[00:00.000 --> 00:26.000]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[09:53.000 --> 09:58.000]  You have the lawsuits, you have the fake EOC stuff, you have all the rest of stuff going on.
[09:58.000 --> 10:06.000]  Oh, you have CNN organizing, trying to block the publishing of my book with Neil Strauss, The War for the Future.
[10:06.000 --> 10:17.000]  Don't forget that a month ago. Then you have CNN two weeks ago running the operation saying that they're contacting you two trying to get it shut down.
[10:17.000 --> 10:25.000]  Now you have CNN running a week-long campaign to have our sponsors pulled, but because they've already demonetized us on YouTube and taken our sponsors,
[10:25.000 --> 10:29.000]  we went and looked at the account over the weekend. We're going to do a story on this.
[10:29.000 --> 10:40.000]  Big advertisers like the UN and Nike, they went and bought $20 to $160, depending on the buy. That's nothing.
[10:40.000 --> 10:48.000]  On our account through YouTube, through the ad agency at YouTube, so they could pull it and say they pulled support to create this image that I'm losing,
[10:48.000 --> 10:53.000]  to create this consensus that I'm fake news, that I'm a criminal, that I'm bad.
[10:53.000 --> 11:01.000]  So all of this is negative PR ahead of, I believe, criminal charges, or they may try to assassinate me.
[11:01.000 --> 11:05.000]  That's what the top experts believe. That's what I believe. Clearly, this is how this program works.
[11:05.000 --> 11:10.000]  They demonize you, then they silence you, then they set you up. They imprison you or they kill you.
[11:10.000 --> 11:15.000]  And of course, media matters made a big joke about that, but they know George Soros and Austin collaborator funds them and runs them.
[11:15.000 --> 11:21.000]  They know this is serious. They know they're hashtag-hunt Republicans. They know they're trying to kill the president.
[11:21.000 --> 11:27.000]  They know, and when I say that, the Democratic Party, people like Phil Mudd on CNN saying we're going to kill this guy.
[11:27.000 --> 11:31.000]  They're trying to bully us into submission. Not that this whole thing is.
[11:31.000 --> 11:39.000]  So people see an example of info wars with all these anti-free speech people piling on, ensuing us, and attacking us, and attacking our sponsors,
[11:39.000 --> 11:47.000]  and attacking us publishing books. People hear this, and then they think, well, I better not stick my head up against globalism.
[11:47.000 --> 11:57.000]  They'll destroy me. Now enter the next lie. From the same folks that gave you the PPgate dossier and promoted it at BuzzFeed,
[11:57.000 --> 12:04.000]  they come out of the weekend and say, Jones made all this up. There were no YouTube strikes, basically.
[12:04.000 --> 12:09.000]  He was never going to be shut down. He doesn't have any contacts in YouTube. None of this happened.
[12:09.000 --> 12:15.000]  So you saw weeks of them trying to shut us down. Celebrations all over magazines and publications.
[12:15.000 --> 12:24.000]  Yay, Alex Jones is about to be shut down. And then BuzzFeed comes out with others and says, no, Jones made it up.
[12:24.000 --> 12:35.000]  The Washington Post today says Jones just made the Parkland shooting tragedy a week-long news cycle about him.
[12:35.000 --> 12:41.000]  Isn't that amazing? They lie about what we say about Parkland. They use that to say we should be silenced off the web.
[12:41.000 --> 12:47.000]  Incredible draconian control. They keep putting strikes on us for total.
[12:47.000 --> 12:55.000]  YouTube removes them three separate times and admits people hijacked their systems. That's in Bloomberg and the Verge.
[12:55.000 --> 13:01.000]  This is the epic stuff going on. YouTube backs off but leaves one strike on there where we can't live stream on the Alex Jones channel,
[13:01.000 --> 13:07.000]  removes three others. When you've got three strikes, you're looking on your account, that means you're shut down.
[13:07.000 --> 13:14.000]  And they had frozen our account where no uploads could happen. Then they removed it for a third time Saturday night.
[13:14.000 --> 13:20.000]  We started uploading on Sunday. And the Washington Post says, see, he's uploading. He's lying. It never happened.
[13:20.000 --> 13:26.000]  That's how stupid they think you are. That's how dumb they think everybody is.
[13:26.000 --> 13:34.000]  When we've all seen them pile on with everything they've got and when they fail, they then say it never happened
[13:34.000 --> 13:40.000]  because they think you don't have an attention span. Remember, they hinge everything on you having no attention span.
[13:40.000 --> 13:44.000]  But we're going to take this audio. We're going to put articles up over every piece of it.
[13:44.000 --> 13:49.000]  We're going to show people what I'm talking about step by step of what they've done.
[13:49.000 --> 13:55.000]  And then finally, when they do the third strike and do remove us, they say, Jones cried wolf a lot.
[13:55.000 --> 14:01.000]  But finally, for doing bad things, he was banned. Then the precedent is set for everyone.
[14:01.000 --> 14:08.000]  And that's why people took this so serious. They saw thousands of other conservative libertarian, centrist, liberal,
[14:08.000 --> 14:12.000]  veteran sites, gun sites removed in the last week as well.
[14:12.000 --> 14:16.000]  There was a huge purge on Facebook, Twitter and YouTube and other places.
[14:16.000 --> 14:19.000]  And lawsuits filed against the NRA and all this other crap.
[14:19.000 --> 14:22.000]  And then they sit there and say, none of this is happening.
[14:22.000 --> 14:29.000]  Think of their disrespect for the truth and their disrespect for you and their disrespect just for free speech
[14:29.000 --> 14:35.000]  because driving after I got off the plane yesterday where I took my children for a short vacation,
[14:35.000 --> 14:39.000]  driving for a few hours to the mountains, all we could get was NPR.
[14:39.000 --> 14:42.000]  And I listened to about two hours of it on two different NPR channels.
[14:42.000 --> 14:48.000]  And all they were covering was the left being censored around the world and how NPR is fighting censorship
[14:48.000 --> 14:51.000]  and how in other countries free speech gets suppressed.
[14:51.000 --> 14:56.000]  It was always Latin America or something, never China where it actually counts to cover it.
[14:56.000 --> 15:00.000]  China basically runs our country now to a great extent. Trump's trying to change that.
[15:00.000 --> 15:04.000]  But it was all about how much they and that fake NPR voice care about free speech
[15:04.000 --> 15:09.000]  when the left aren't the left here. They're a bunch of fascist controllers and a giant gang
[15:09.000 --> 15:11.000]  trying to shut everybody's free speech down.
[15:11.000 --> 15:15.000]  So that's what's happening. That's what's going on.
[15:15.000 --> 15:17.000]  That's the next level of this whole thing.
[15:17.000 --> 15:22.000]  And because you stood beside us and have prayed for us and spread the articles and videos
[15:22.000 --> 15:28.000]  and shared the links and financially supported us, we're stronger than ever.
[15:28.000 --> 15:32.000]  But if we fall, they know everybody else falls and a lot of folks are still banned.
[15:32.000 --> 15:35.000]  We're trying to give them attention and stand up for them as well.
[15:35.000 --> 15:39.000]  Mike Adams, and he's coming up, his channel's been banned.
[15:39.000 --> 15:44.000]  This is going on, folks, and we've got to get upset and get focused and speak out.
[15:44.000 --> 15:47.000]  Alright, back to the live transmission. I want to thank you all for your support.
[15:47.000 --> 16:03.000]  And thank you all for your prayers. If you're watching and listening to this transmission, you are the resistance.
[16:17.000 --> 16:23.000]  I wonder how heart and body extract is making a difference in thousands of people's lives across America.
[16:23.000 --> 16:27.000]  My blood pressure has normalized. My diabetes has totally improved.
[16:27.000 --> 16:31.000]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[16:31.000 --> 16:33.000]  I recommend heart and body extract to everyone.
[16:33.000 --> 16:39.000]  Anybody over 40 in the North American continent should be using this product as a preventative
[16:39.000 --> 16:41.000]  to keep their cardiovascular system healthy.
[16:41.000 --> 16:49.000]  Order your two-month supply today by calling 866-295-5305, that's 866-295-5305,
[16:49.000 --> 16:58.000]  or order online hbextract.com, heart and body extract 866-295-5305, or hbextract.com.
[16:58.000 --> 17:03.000]  The answer to being in control of your own health care is freedom from insurance.
[17:03.000 --> 17:09.000]  Become part of a group of self-pay patients that come together to share in each other's medical expenses.
[17:09.000 --> 17:14.000]  Individual share amounts begin at $107 a month and $347 for families.
[17:14.000 --> 17:16.000]  Choose from three health sharing programs.
[17:16.000 --> 17:18.000]  Holistic treatments may be eligible for sharing.
[17:18.000 --> 17:19.000]  See guidelines.
[17:19.000 --> 17:23.000]  Discount programs available for dental, vision, and pharmacy.
[17:23.000 --> 17:28.000]  Go to libertyoncall.org, that's libertyoncall.org.
[17:28.000 --> 17:35.000]  Hear that? That's the sound of a house being trashed while a gang of thieves ransacked the place.
[17:35.000 --> 17:38.000]  And what they don't steal will be destroyed.
[17:38.000 --> 17:42.000]  This year, resolve not to be the next victim of a break-in.
[17:42.000 --> 17:49.000]  Go to faketv.com and discover a device that creates the illusion someone inside is watching TV, even when you're miles away.
[17:49.000 --> 17:54.000]  Security is a mindset, and fake TV should be part of your security solution.
[17:54.000 --> 17:56.000]  Be vigilant, but not fearful.
[17:56.000 --> 18:08.000]  FakeTV.com
[18:27.000 --> 18:36.000]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[18:36.000 --> 18:43.000]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[18:43.000 --> 18:48.000]  Dropped by the site today, order a bag or two, and I don't think you're going to be disappointed.
[18:48.000 --> 18:53.000]  Available in original or with our immune support infusion blend, you will be supporting a free press.
[18:53.000 --> 18:57.000]  All the while enjoying a truly great tasting cup of my favorite coffee.
[18:57.000 --> 19:24.000]  Available at infowarslife.com
[19:27.000 --> 19:49.000]  Available at infowarslife.com
[19:58.000 --> 20:03.000]  Available at infowarslife.com
[20:03.000 --> 20:32.000]  Available at infowarslife.com
[20:33.000 --> 20:54.000]  Available at infowarslife.com
[20:54.000 --> 20:58.000]  And we're back. This is the Alex Jones show. Mike Adams, the health ranger of filling in today.
[20:58.000 --> 21:13.000]  For Alex, you just heard him in the last segment with an emergency audio broadcast talking about the extreme attacks on infowars, the extreme censorship, even the economic sabotage that is taking place today against the independent media.
[21:13.000 --> 21:24.000]  Now, one of the key narratives being pushed out there by the legacy media, CNN, Washington Post, and so on, is they're saying that this purge isn't happening.
[21:24.000 --> 21:34.000]  Well, I'm here to tell you, as an independent publisher, a scientist, someone who runs my own operation, National News, it is happening.
[21:34.000 --> 21:41.000]  In fact, on Saturday, my entire YouTube channel called The Health Ranger was terminated.
[21:41.000 --> 21:45.000]  And it is happening across the board. I heard from other people whose accounts were being terminated.
[21:45.000 --> 21:49.000]  And YouTube, by the way, they didn't even have the courtesy of giving me three strikes.
[21:49.000 --> 21:58.000]  They went from zero strikes for more than 10 years to two strikes virtually overnight to all of a sudden terminated.
[21:58.000 --> 22:03.000]  So they skipped three strikes. YouTube's new policy, I guess, is two strikes and you're out.
[22:03.000 --> 22:11.000]  And today, here on the Alex Jones show, we're going to have Jim Hoft from the Gateway Pundit joining us at the top of the next hour.
[22:11.000 --> 22:14.000]  He's also been censored and he's written about the censorship.
[22:14.000 --> 22:19.000]  He's compiled the top conservative websites that are being censored.
[22:19.000 --> 22:26.000]  We're also going to be joined briefly in the third hour by Gary Franchi from Next News Network, who's also being censored.
[22:26.000 --> 22:32.000]  The examples of this are all over. They're across the board. The purge is on.
[22:32.000 --> 22:41.000]  And what's crucial to understand about this is that this censorship from these tech giants comes from a place of not strength but weakness.
[22:41.000 --> 22:47.000]  They have to censor these independent voices because they know they are losing the info war.
[22:47.000 --> 22:52.000]  In other words, info wars is winning. The truth is winning. People want to be informed.
[22:52.000 --> 22:55.000]  People want to know the truth about what's really happening.
[22:55.000 --> 23:04.000]  And every time the establishment tries to censor voices of reason, voices of logic, they're trying to obliterate the idea that you can even think for yourself.
[23:04.000 --> 23:12.000]  They're trying to obliterate the whole idea that you even have the right to speak if you have a dissenting or maybe an unpopular point of view.
[23:12.000 --> 23:21.000]  But I'm here to tell you that liberty is popular and this censorship is an expression of weakness from those companies that are engaged in this censorship.
[23:21.000 --> 23:28.000]  And here's another piece of irony about all of that, that their censorship actually is a form of bullying.
[23:28.000 --> 23:33.000]  They are bullying the independent media. They are bullying info wars. CNN is bullying info wars.
[23:33.000 --> 23:39.000]  CNN is invoking now gang style tactics today on info wars.com.
[23:39.000 --> 23:44.000]  CNN turns to outright gangsterism to silence Alex Jones.
[23:44.000 --> 23:53.000]  Washington Post just published a story in the last hour talking about how Alex Jones turned the parkland shooting into a week long news cycle about himself.
[23:53.000 --> 23:59.000]  You know what the Washington Post is saying is how dare you complain that you're being targeted for censorship.
[23:59.000 --> 24:06.000]  How dare you complain that CNN is using gangster style tactics to try to commit economic sabotage against you.
[24:06.000 --> 24:11.000]  How dare you speak out. It's like they're standing over you with a baseball bat and saying, oh, you have free speech.
[24:11.000 --> 24:15.000]  Bam, they whack you in the face with a baseball bat. Why aren't you speaking?
[24:15.000 --> 24:20.000]  Wham, you have free speech. Wham, how dare you complain you're being hit with a baseball bat. That's what it's like.
[24:20.000 --> 24:27.000]  And I see this as an outside observer, as an independent publisher, completely separate from the info wars organization.
[24:27.000 --> 24:30.000]  You know, I'm not an employee here, but I see what's happening.
[24:30.000 --> 24:35.000]  And it's happening to me and it's happening to others. The purge is on. It's real.
[24:35.000 --> 24:49.000]  And it is an admission of weakness by the legacy media, by the establishment, by the tech giants who know they are going to lose everything if conservative voices and independent voices and pro-liberty voices are allowed to speak out.
[24:49.000 --> 24:55.000]  That's what it comes down to because, you know, these tech companies, they are saturated with weakness.
[24:55.000 --> 25:07.000]  They're saturated with these, these snowflake in a left wing, fragile, like neurologically house of cards people who are just they think words are weapons.
[25:07.000 --> 25:13.000]  So they can't stand words that disagree with them. So they have to silence the words.
[25:13.000 --> 25:23.000]  Remember in before the election in 2016, when some students would write Trump in chalk on the sidewalks of student campuses and other students would freak out and they would be traumatized.
[25:23.000 --> 25:27.000]  Trauma, trauma. We saw Trump on the sidewalk, written in chalk.
[25:27.000 --> 25:30.000]  It's going to wash off in the next rain. Don't worry, but it's still trauma.
[25:30.000 --> 25:34.000]  They had to go get counseling because they think words are weapons.
[25:34.000 --> 25:41.000]  Now these people are serving as the censors and the so-called trusted flaggers inside YouTube and inside, you know, Google and Facebook.
[25:41.000 --> 25:44.000]  And they are triggered by words that they don't agree with.
[25:44.000 --> 25:49.000]  They're triggered by the words that describe what they are. They're triggered by the word snowflake.
[25:49.000 --> 25:53.000]  That is a snowflake in trigger. The word snowflake triggers snowflakes.
[25:53.000 --> 26:08.000]  And so they become bullies to try to bully independent channels by claiming that they're bullying while CNN is stalking senior citizens in their own front yards and doxing them on live broadcasts and claiming that Alex Jones is bullying people.
[26:08.000 --> 26:13.000]  You know what? Alex Jones didn't stalk old ladies in their front yards and accuse them of being Russian trolls.
[26:13.000 --> 26:20.000]  Okay? Just for the record. It's insane. The stuff that is going on right now is absolutely insane.
[26:20.000 --> 26:24.000]  So we're going to play a clip here. You're going to love this clip.
[26:24.000 --> 26:35.000]  This is, as I understand it, Carl Rove appeared on air doing something insane with his nose and mouth.
[26:35.000 --> 26:38.000]  I don't know what's going on. Let's play the clip and then we'll respond to it. Go ahead.
[26:38.000 --> 26:45.000]  Similar jump in Dallas, which has one of the three seats that occupied by a Republican carried by Hillary Clinton.
[26:45.000 --> 26:54.000]  Not as big an increase in Fort Worth, Tarrant County. Another big increase in Barrick County, which has the part of the third seat that's occupied by a Republican won by Hillary Clinton.
[26:54.000 --> 26:57.000]  Oh my God. He has liquid coming out of his nostrils.
[26:57.000 --> 27:00.000]  Big red state where I'm coming from today.
[27:00.000 --> 27:01.000]  I'm not even kidding.
[27:01.000 --> 27:09.000]  Carl, dude.
[27:09.000 --> 27:12.000]  Okay, for those on the radio, they're zooming in.
[27:12.000 --> 27:22.000]  I don't know what Carl Rove is trying to say here, but his nostrils look like a scene out of the original Lord of the Rings orcs scene.
[27:22.000 --> 27:33.000]  I'm sorry. It's just slurping the liquid coming out of his nose. I don't get it. Carl, I hope.
[27:33.000 --> 27:42.000]  Clearly identifying there are some spots in the state that clearly could turn blue.
[27:42.000 --> 27:46.000]  Well, that's part of the, I guess, the Republican establishment there.
[27:46.000 --> 27:52.000]  Mr. Slurpee, slurping his own nostril juice. Very sad. I hope that never happens to me.
[27:52.000 --> 28:01.000]  I hope someone would alert me if something were going on with my nostrils here on the Alex Jones show.
[28:01.000 --> 28:05.000]  We got to keep a little bit lighthearted here because we are under extreme assault.
[28:05.000 --> 28:07.000]  Our liberties are under attack.
[28:07.000 --> 28:12.000]  Everything is at stake. The future of our country, our liberties are right to speak our minds.
[28:12.000 --> 28:19.000]  And just the fact that we ran that clip and that I was able to say, hey, look at this guy, he's doing something crazy.
[28:19.000 --> 28:23.000]  The reason I did that is because it's an expression of free speech.
[28:23.000 --> 28:32.000]  It may not be beautiful. It may not be even polite, but it is part of the conversation of our society.
[28:32.000 --> 28:35.000]  We have the right to comment on things. We have the right to ask questions.
[28:35.000 --> 28:41.000]  We have the right to dissent against tyrannical views being pushed by the establishment.
[28:41.000 --> 28:45.000]  A lot more yet to come here on the Alex Jones show. Mike Adams filling in for Alex.
[28:45.000 --> 29:12.000]  Stay with us. We'll be back with more interviews and an audio segment from Alex coming right up.
[29:15.000 --> 29:24.000]  For incredibly delicious water now and in an emergency, get to goberky.com or call 877-886-3653.
[29:24.000 --> 29:29.000]  877-886-3653, goberky.com.
[29:29.000 --> 29:34.000]  This is Dan Pilla. Do you owe the IRS money you can't pay? Are tax debts crippling you?
[29:34.000 --> 29:39.000]  I've defended people from the IRS for over 30 years. I've helped thousands and I can help you too.
[29:39.000 --> 29:43.000]  I wrote the book on IRS settlement and I'm telling you there's no such thing as a hopeless case.
[29:43.000 --> 29:47.000]  Call 800-34-NO-TAX to finally get free of IRS debt.
[29:47.000 --> 29:51.000]  With the IRS's new programs, there's never been a better time to solve your problem.
[29:51.000 --> 30:16.000]  Call 800-34-NO-TAX. That's 800-34-NO-TAX or my website, danpilla.com.
[30:16.000 --> 30:24.000]  Again, in every culture, this has been reported because it works and there's no way to quantify how strong this is.
[30:24.000 --> 30:33.000]  But the amount of bone protein and the amount of marrow and the amount of concentrated life force that is in this is incredible.
[30:33.000 --> 30:41.000]  Ladies and gentlemen, whether it's for your joints, whether it's for your arteries and your veins, whether it's for your brain, whether it's for energy,
[30:41.000 --> 30:49.000]  this, ladies and gentlemen, is the strongest, most concentrated bone broth formula out there and it's amazing.
[30:49.000 --> 30:54.000]  Find out for yourself today at infowarstore.com, what you can do for your family,
[30:54.000 --> 31:12.000]  and again, I want to thank you all for your support. You are funding the Information War in 2018.
[31:25.000 --> 31:42.000]  Now, we are introducing the fruit of the research of fast-acting chewable tablets, just two tablets at the first sign of seasonal distress,
[31:42.000 --> 31:48.000]  and fast-acting pollen block starts working in about 15 minutes to help alleviate seasonal distress.
[31:48.000 --> 31:56.000]  Enjoy the air you breathe naturally with fast-acting pollen block available now at infowarslife.com or by calling toll free.
[31:56.000 --> 32:21.000]  Triple eight, two, five, three, three, one, three, nine.
[32:21.000 --> 32:26.000]  The reality is, it's hard to take in the proper amount of vitamins we need each day with our modern diets.
[32:26.000 --> 32:34.000]  Seeker 12 by infowarslife is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[32:34.000 --> 32:39.000]  It pairs two forms of vitamin B12 into one explosive formula.
[32:39.000 --> 32:45.000]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes,
[32:45.000 --> 32:52.000]  but it also assists with many other functions of the body. Electrify your mind and body and take your health to the next level.
[32:52.000 --> 33:21.000]  Experience the power of Seeker 12 at infowarslife.com. That's infowarslife.com.
[33:21.000 --> 33:33.000]  Coming to you from the former United States of America, from deep in the heart of Texas, it's Alex Jones.
[33:33.000 --> 33:38.000]  We're back on the Alex Jones show. Mike Adams here, the health ranger filling in for Alex today.
[33:38.000 --> 33:42.000]  You may recall, last time I hosted this show was the year 2013.
[33:42.000 --> 33:49.000]  Before Trump won the election, before the censorship purge began for all independent media, including myself,
[33:49.000 --> 33:55.000]  I was targeted by YouTube on Saturday after I appeared as a guest on the Alex Jones show last week.
[33:55.000 --> 33:58.000]  So don't let anybody tell you that there isn't a purge going on.
[33:58.000 --> 34:05.000]  And later today at the second hour, we're going to be talking to Jim Hoft of the Gateway Pundit who has also documented the censorship that's going on.
[34:05.000 --> 34:14.000]  The extreme purge that is taking place right now across the independent media got a couple of important concepts to run by you here.
