[00:00.000 --> 00:28.800]  InfoWars, tomorrow's news today.
[09:22.080 --> 09:30.480]  anti-globalism, pro-free market, pro-God, pro-family information is paramount now all over
[09:30.480 --> 09:36.320]  the world. People really get there's a choice between nationalism and populism and freedom
[09:36.320 --> 09:40.480]  and the tyranny of the great reset of the new world order and the UN and all the rest of it.
[09:40.480 --> 09:46.240]  So simply incredible. I got a bunch of these clips. I already played these once when the first
[09:46.240 --> 09:49.920]  little segment, I'm going to air them again. I'm just going to air them again because they're
[09:49.920 --> 09:53.360]  powerful and I'll air the MTG clip and then the other Trump clip I didn't get to.
[09:54.320 --> 09:59.520]  But let's hear the MTG clip first. Then let's play Trump either the deep state destroys America,
[09:59.520 --> 10:04.320]  we destroy the deep state, which is true. Trump with the final battle and then Trump for the
[10:04.320 --> 10:08.160]  public schools and we'll come back from break and hit all the rest of the news and open the
[10:08.160 --> 10:12.720]  phones up and take your calls and so much more tonight. Stay with us. Biden and the Democrats
[10:12.720 --> 10:20.000]  have created one dumpster fire after another, but the most terrifying is the two tiered injustice
[10:20.000 --> 10:27.760]  system. Just yesterday, I led an oversight committee delegation into the DC jail.
[10:28.880 --> 10:35.600]  And again, I witnessed the devastating effects on the pre-trial January 6th detainees who were the
[10:35.600 --> 10:43.360]  true political prisoners and are at the mercy of the Biden regime. Meanwhile, Antifa and BLM
[10:43.360 --> 10:51.120]  domestic terrorists are still out free roaming the streets. Biden and Merrick Garland are even
[10:51.120 --> 10:58.400]  trying to throw a man in jail for making memes during the 2016 election. The case of Douglas
[10:58.400 --> 11:06.720]  Mackey should scare every single American. Without free speech, we can never win the information war.
[11:08.080 --> 11:13.600]  But the most terrifying thing of all is how the Democrats have weaponized the government
[11:13.600 --> 11:21.760]  against President Trump, all for the crime of beating Hillary Clinton and winning the 2016
[11:21.840 --> 11:26.160]  presidential election. We don't consider that a crime, do we?
[11:27.520 --> 11:33.600]  No, we elected him. We elected him in 2016 and we also elected him in 2020, didn't we?
[11:39.440 --> 11:42.560]  But now the radical New York district attorney Alvin
[11:42.560 --> 11:47.840]  Bragg has initiated yet another phony witch hunt against President Trump.
[11:49.520 --> 11:56.560]  That's right. Boo. This attack is an egregious weaponization of our justice system
[11:56.560 --> 12:04.480]  designed to influence the 2024 presidential race. Since before President Trump was sworn in,
[12:04.480 --> 12:08.480]  radical left Democrats, or should we say communist Democrats,
[12:10.160 --> 12:16.960]  have attacked him with Russia, Russia, Russia, the Mueller hoax, Ukraine, Ukraine, Ukraine,
[12:16.960 --> 12:23.920]  impeachment hoax number one, impeachment hoax number two, the illegal and unconstitutional
[12:23.920 --> 12:32.000]  Mar-a-Lago raid, and now this from the Manhattan D.A.? This is nothing but a witch hunt against
[12:32.000 --> 12:36.000]  President Trump and he is completely innocent.
[12:41.840 --> 12:48.000]  This is election interference and we refuse to look at it any other way.
[12:49.520 --> 12:56.000]  Radical left communist Democrats in the New York district attorney's office are politicizing our
[12:56.000 --> 13:04.800]  justice system to influence the 2024 presidential race, but they're really hijacking our freedoms
[13:04.800 --> 13:12.560]  and destroying what it means to be an American. This is unprecedented. Never before has a former
[13:12.560 --> 13:21.200]  president been charged a former innocent president. America's enemies are desperate to
[13:21.200 --> 13:29.680]  stop President Trump because he is the only one who can stop them. He is the only one who can
[13:29.680 --> 13:32.960]  defeat the radical communist Democrats.
[13:36.880 --> 13:40.800]  You know, I want you to know as hard as we work in the House of Representatives,
[13:40.800 --> 13:43.760]  where it's the only place we have Republican control,
[13:44.400 --> 13:50.240]  we cannot accomplish the America first agenda without President Trump in the White House.
[13:51.200 --> 13:54.160]  We have to take back the Department of Justice.
[13:56.400 --> 14:04.000]  You have to understand they're not just coming after President Trump. They're coming after you.
[14:05.440 --> 14:09.200]  And President Trump is just the only one standing in their way.
[14:12.080 --> 14:19.840]  Either the deep state destroys America or we destroy the deep state. That's the way it's got to be.
[14:21.600 --> 14:27.760]  You're at a very pivotal point in our country. Either we descend into a lawless abyss of open
[14:27.760 --> 14:34.720]  borders, rampant killings, super hyperinflation, which is what we have right now and not coming down
[14:35.440 --> 14:42.160]  and festering corruption, or we evict Joe Biden and the Democrats from the White House and we
[14:42.160 --> 14:47.280]  make America great again. Well, I've called for this for decades. The rest of the clips
[14:47.280 --> 14:53.040]  will come back after the break, but you cannot argue with the rhetoric. The rhetoric itself
[14:53.040 --> 14:57.360]  changes the playing field forever. It's the one thing the enemy can't stand is being identified,
[14:57.360 --> 15:04.480]  as I've told you 5,000 times. I'm getting chills right now. So when Trump came out against nuclear
[15:04.480 --> 15:07.760]  war, I still had issues with him, but I said he was better than the Santas. He just went
[15:08.560 --> 15:12.640]  way ahead of the Santas. And we'll open the phones up. I know a lot of you are pissed at Trump.
[15:12.640 --> 15:18.160]  I've been pissed as well, and I'm certainly not lackadaisical that he's going to save us,
[15:18.160 --> 15:25.680]  but you cannot lie that that type of rhetoric from the president, the former president,
[15:25.680 --> 15:29.920]  the Republican front runner in every poll, 25 to 30 points ahead of the Santas,
[15:30.480 --> 15:34.240]  30 points ahead of Biden right now, he would just destroy him completely.
[15:35.600 --> 15:40.960]  Yeah, they stole the election, but by a margin. Trump surged so much that they have no way of
[15:40.960 --> 15:45.040]  winning now. If they held the election next week, he won by 30 points. Everybody knows it.
[15:45.920 --> 15:51.280]  So, wow, this is quite the moment, ladies and gentlemen. The new world order is in deep crap.
[15:51.280 --> 15:55.760]  They can't survive talk like this from Trump. I mean, let me tell you, we'll be right back. Stay
[15:55.760 --> 16:07.040]  with us. If Alex Jones runs for president in the Republican Party, he has a chance of winning.
[16:07.840 --> 16:14.320]  If you just tuned in, you may be noticing I'm wearing an Alex Jones for president
[16:14.320 --> 16:20.560]  2024 shirt. I am not seriously planning to run for president. This is an idea the crew had,
[16:20.560 --> 16:25.440]  have a triggering shirt, kind of next level Alex Jones was right. There's infowars.com in the back.
[16:25.440 --> 16:30.240]  Alex Jones for president 2024 on the front. It's a fundraiser shirt. It's made out of really nice
[16:30.240 --> 16:36.160]  fabric. It's high quality, and it is a exclusive shirt to infowarstore.com. And when the shirts
[16:36.160 --> 16:43.440]  are gone, they're gone. We're doing one run of Alex Jones for president 2024 shirts, and we'll
[16:43.440 --> 16:47.920]  have a historic memento, be able to spread the word and meet a lot of like-minded people, and
[16:47.920 --> 16:53.360]  you'll be able to keep us on the air. No way. No way. That's a bridge too far. That's no,
[16:53.360 --> 16:59.760]  it can't be. And I said on national television that he was going to win. And infowarstore.com.
[16:59.760 --> 17:04.400]  Every time I talk to you, you're either like on the border exposing the cartels and like
[17:04.400 --> 17:07.920]  coming under fire or you're on the streets of some American city hanging out with
[17:07.920 --> 17:12.480]  drug addicts and criminals. And now you've gone to ground zero of a massive chemical spill.
[17:12.480 --> 17:16.400]  Are you addicted to the danger, Savannah? Have you ever considered that for a second?
[17:16.400 --> 17:21.280]  No, I'm addicted to helping my fellow Americans. I'm addicted to spreading the truth. And again,
[17:21.280 --> 17:26.160]  I have Infowars to thank for that. Looking back on the day, I was able to ask President Donald
[17:26.160 --> 17:32.160]  Trump two questions. I was so grateful because I truly was classically trained under Alex Jones
[17:32.160 --> 17:38.160]  and under the Infowars team. I really do credit that as to why I'm able to get these types of
[17:38.160 --> 17:44.560]  clips because Alex's whole mentality was go where the story is, go where the mainstream media refuses
[17:44.560 --> 17:49.520]  to. So it's not that I'm addicted to the insanity. I'm just addicted to telling the truth and helping
[17:49.520 --> 17:54.720]  the American people. And I really do credit Alex for really instilling that within me early on in
[17:54.720 --> 17:58.720]  my career.
[18:24.720 --> 18:44.080]  It's all available at InfowarsStore.com. Some of the very best products and a lot of you have
[18:44.080 --> 18:47.360]  never shopped at Infowars Store. You've been watching for years, you've been listening for
[18:47.360 --> 18:52.240]  years, but you've never taken the step to go to Infowars Store. These are great products that
[18:52.240 --> 18:56.560]  really work and are amazing. Plus they keep us on air. So again, please take action,
[18:56.560 --> 18:59.520]  go to InfowarsStore.com today and I thank you.
[19:01.600 --> 19:08.560]  Humanity is in a fight for its very life. And Infowars for decades has been at the very forefront
[19:08.560 --> 19:13.680]  of the fight for a pro-human future. We can't stay on air without your help. And I want to thank you
[19:13.680 --> 19:17.600]  all for your past support. And I want to encourage those of you that have never bought products at
[19:17.680 --> 19:22.400]  InfowarsStore.com to go there and experience how amazing these products really are.
[19:22.400 --> 19:28.240]  Ultimate Bone Broth, finally sold out for over two years back in stock. Real Red Pill Plus,
[19:28.240 --> 19:33.920]  simply amazing. Nitric Boost, what it does for your heart, cardiovascular, critical. All these
[19:33.920 --> 19:38.400]  products like Ultimate Krill Oil, Ultimate Fish Oil, Super Mel Vitality, they're all available
[19:38.400 --> 19:43.760]  and in stock, ready to ship to you right now at InfowarsStore.com. And the final 1200 signed
[19:43.760 --> 19:47.120]  copies of my book, The Great Reset, The War of the World, and I'm not going to sign any more
[19:47.120 --> 19:51.360]  after that, are exclusively available at InfowarsStore.com as well. In the last month,
[19:51.360 --> 19:54.000]  I got a little busy, so I didn't sign the books. We didn't have them for sale,
[19:54.000 --> 19:56.400]  but now I signed the last books. You can get them right now.
[20:00.480 --> 20:06.400]  Leading a frontal assault on the lies of the New World Order. It's Alex Jones.
[20:13.760 --> 20:21.600]  Welcome back to the live Sunday Night Edition of the Alex Jones Show. I'm your host, Alex Jones.
[20:21.600 --> 20:26.320]  We'll be here until 6 p.m. Central when Owen Schroeder takes over, 6 to 8 p.m. with Sunday
[20:26.320 --> 20:31.840]  Live. In the course weekdays, 8 a.m. Harrison Smith, myself, 11 a.m. to 3 p.m. Owen Schroeder,
[20:31.840 --> 20:37.280]  The War Room, 3 p.m. Central at Infowars.com, Ford Slash Show, and across wonderful stations,
[20:37.280 --> 20:43.040]  TV and radio across the country. So I want to give the number out. I have a ton of other important
[20:43.040 --> 20:50.160]  news and clubs will be interspersing between your phone calls, but seriously, I am a decisive person
[20:50.960 --> 20:57.840]  and I'm almost always cut and dry where I stand, and I couldn't support Obama or John McCain
[20:58.800 --> 21:02.560]  back in 2008. They were both globalists. I knew it was a rigged election,
[21:02.560 --> 21:06.640]  and Obama did win in a landslide because the whole media was behind him, but John McCain
[21:06.640 --> 21:11.520]  was just as bad in many ways worse, which is hard to be worse than Obama, but he's definitely right
[21:11.520 --> 21:17.120]  there with him. I mean, they're two peas in a pod, but with Trump, it's not a lesser of two evils.
[21:17.120 --> 21:22.320]  You know what you've got. He's got problems, but the deep state really hates him. He did a lot
[21:22.320 --> 21:27.280]  of good stuff. Do we just sit here and let them install somebody else or falsely put Trump in
[21:27.280 --> 21:34.160]  prison? So I've been drug kicking and screaming the last year back, very upset with Trump,
[21:34.880 --> 21:39.120]  for the fact that on so many issues, he's dead on, like not putting us under the UN
[21:39.120 --> 21:44.560]  treaty over our healthcare and controlling our borders and bringing jobs back to America and
[21:44.560 --> 21:49.200]  stopping the fentanyl and now going after the deep state. And I really do believe
[21:51.360 --> 21:56.800]  that if he wins, if he gets back in office, he will fire the FBI director. He will fire
[21:58.080 --> 22:04.560]  the head of the justice department day one. He will clean house and put his people in there.
[22:04.560 --> 22:10.880]  That's why I have to be really honest with you. I think Trump's for real. Doesn't mean he's perfect.
[22:10.880 --> 22:15.840]  Doesn't mean all his actions are what I would do, but I mean, he really means to be president.
[22:15.840 --> 22:21.200]  He's really fighting the deep state and they see him as a threat to their power. They see him as
[22:21.200 --> 22:25.840]  a rival. If it looks like he's about to win again, I think they're going to shoot him. I think they're
[22:25.840 --> 22:29.840]  going to blow his airplane up. And he even said that last week. He said, well, I'm going to go
[22:29.840 --> 22:33.840]  ahead and just walk right in front of everybody in Manhattan and handcuffs. If I get killed,
[22:33.840 --> 22:41.200]  so what? I'll be a martyr. So he is in that fully committed mode. I found Jared Kushner
[22:41.200 --> 22:46.240]  disgusting. I found people worshiping Trump disgusting. I found all the delusional stuff
[22:46.240 --> 22:53.120]  about how he's invincible and the Q stuff to do not be true. I've got a lot of problems, but
[22:55.600 --> 23:00.240]  comparing Trump to the Democrats is not a lesser of two evils. It's two different animals.
[23:00.240 --> 23:06.560]  It's two different things, but here's the deal. What do we do other than Trump? Because I don't
[23:06.560 --> 23:11.280]  think he'll save us. None of us can individually save ourselves. All of us working together and
[23:11.280 --> 23:15.920]  through God can, but I mean, really, obviously they're scared of and don't want him there. So
[23:16.800 --> 23:23.680]  do you want him back in or do you like DeSantis or am I wrong? Am I right? How do we put pressure
[23:23.680 --> 23:29.840]  on Trump to be more hardcore? Now it looks like he will be way more hardcore. That's basically
[23:29.920 --> 23:34.480]  the open discussion I'm having in my own brain that I'd like to share with you because I respect
[23:34.480 --> 23:38.320]  your views. I respect your ideas. I love the different angles and points you raise.
[23:38.320 --> 23:45.680]  So we're talking about one issue tonight, and that is President Trump as the Republican nominee
[23:45.680 --> 23:50.880]  because he's going to get it. They could indict him all day. That'll take a couple of years
[23:51.520 --> 23:56.640]  to get a conviction. They're having to back off right now because it made him explode the polls.
[23:56.640 --> 24:00.480]  I kind of told him that would have happened. I didn't know it would be 28, 30 points. I thought
[24:00.480 --> 24:06.320]  it'd be like 15, 20, as I said a few weeks ago, but what are they going to do? Because
[24:07.200 --> 24:10.560]  I want Bolsonaro back in. They stole the election from him. He isn't perfect either.
[24:11.360 --> 24:18.320]  I want to see more people like Orban in Europe. I'd like to see Nigel Farage run for parliament
[24:19.040 --> 24:24.560]  in the UK, not just run for parliament, ESPN parliament, run for prime minister.
[24:25.520 --> 24:30.480]  So none of these guys are going to save us individually, but remember the Japanese
[24:30.480 --> 24:33.040]  prime minister was really fighting the New World Order. He got assassinated,
[24:34.400 --> 24:39.200]  was getting ready to run again reportedly. So it's a very dangerous position. Trump said,
[24:39.200 --> 24:44.720]  make no mistake, the hatred the deep state has of him is very real. Just by being a supporter,
[24:44.720 --> 24:53.760]  I've experienced insane levels of attacks, but do not mix the two. Saying they hate his guts
[24:53.920 --> 24:59.360]  does not mean he's wonderful, does not mean he's infallible, does not mean he doesn't have issues
[24:59.360 --> 25:04.960]  like all of us do. He's got major blind spots. Man, we can talk all about those all day, but
[25:04.960 --> 25:10.720]  I'm asking you, what do you think? And then if you don't like Trump, what is your alternative?
[25:10.720 --> 25:16.240]  Or if you do like Trump, please just don't tell me everything's handled. It's wonderful. He's
[25:16.240 --> 25:20.080]  playing 10D chess. He knows all the answers. Just let me tell you something he doesn't.
[25:20.080 --> 25:26.960]  And it's a really a positive thing in a way that obviously he's a wild card. The system hates him,
[25:26.960 --> 25:32.240]  but it's also positive in that when I got up here and promoted to Santa's in the last six months,
[25:32.240 --> 25:36.640]  it was to make Trump get better on issues. I knew he'd be the nominee. I said that at the time,
[25:37.360 --> 25:42.480]  but I'm not some loyal opposition that just sits there and opposes things to look good.
[25:42.480 --> 25:47.520]  I do it to get people to be better because I'm not a person following different leaders. I'm
[25:47.520 --> 25:54.800]  trying to get issues and policies in. I'm a action person. I'm a policy person. I'm a
[25:55.360 --> 25:58.880]  judge of tree by its fruits person as Christ told us to be.
[26:00.720 --> 26:06.800]  But I have seen it many times, not all the time, like on the vaccine issue. I had two videos
[26:06.800 --> 26:11.440]  produced, got them to Trump, talked to the folks that watched it with Trump. Trump tried to call
[26:11.440 --> 26:15.200]  me. I missed the call. He said, I don't want to hear about this vaccine again. I think it's great.
[26:15.760 --> 26:20.880]  And if people don't like it, screw them. Okay, got it. But on the issue of
[26:23.360 --> 26:30.800]  death and destruction and baseball bats and all this garbage, kind of saber rattling,
[26:30.800 --> 26:36.240]  Trump came out and deleted his tweet or his social post Friday with all the death and destruction,
[26:36.240 --> 26:40.880]  baseball bat garbage, because we don't need that. That opens a major trap up for the globalist stage
[26:40.880 --> 26:43.840]  events or provocative term and blame us. I think everybody understands that. So
[26:45.120 --> 26:49.200]  that's where I'm at on this, but we do see that we're able to have an effect on Trump.
[26:49.200 --> 26:53.520]  It's a positive thing and he's way more hardcore than he used to be. And again,
[26:54.480 --> 26:59.440]  words aren't just words when it's somebody at his level, this will change the playing field forever.
[26:59.440 --> 27:04.080]  This will move the needle towards people exposing globalism as being the real enemy. And once their
[27:04.080 --> 27:10.880]  agenda is realized to be the bane of our existence, it's game over. So we're moving
[27:11.520 --> 27:19.120]  the ball down the field towards the touchdown in zone very fast. And I can tell you this is
[27:19.120 --> 27:24.480]  very positive from my perspective. Maybe you disagree. I'd like to hear from you.
[27:24.480 --> 27:35.600]  877-789-2539, 877-789-2539 or 877-789. Alex, if you agree, if you disagree,
[27:35.600 --> 27:38.800]  if you're a long time caller, a first time caller, I don't care whether you're black,
[27:38.800 --> 27:43.920]  white, gay, straight, tall, short. All I want is you to have a clean phone line
[27:44.640 --> 27:48.960]  and be ready to make your point because I'm going to hang up on you quick because I respect your
[27:48.960 --> 27:57.520]  time and I will get to the next person. 877-789-2539. Also remember, I'm not fun about the Republican
[27:57.520 --> 28:01.280]  party. I'm not fun about the Democratic party. I'm not fun about big money or George Soros or
[28:01.280 --> 28:06.880]  the Easter money. I am funded by your purchases of products at infoworkstore.com plus their
[28:06.880 --> 28:12.880]  amazing products. And I am very excited to see how popular Alex Jones for president t-shirt is
[28:12.880 --> 28:16.720]  that's meant to be a fun shirt to meet like-minded people, cause conversations
[28:16.720 --> 28:23.200]  and trigger leftist libtards, but it's a limited edition one month search shirt. That means it'll
[28:23.200 --> 28:27.360]  only be for sale another three and a half weeks. And when it's gone, it's gone. Every new shirt
[28:27.360 --> 28:31.920]  will be one month and that's it. And a lot of folks are getting it. I appreciate it because
[28:31.920 --> 28:37.120]  that helps on the operation. It's just a historic little memento. Get your Alex Jones for president
[28:37.120 --> 28:43.920]  on the front 2024 on the back info wars.com at info war store.com. It's a fundraiser shirt
[28:43.920 --> 28:47.680]  or call toll free triple eight, two, five, three, three, one, three, nine,
[28:47.680 --> 28:52.240]  because when this is gone, it's gone. All right, ladies and gentlemen, we'll be
[28:52.240 --> 28:57.120]  right back with your phone calls on the other side. Band dot video. Share that link.
[28:59.760 --> 29:04.400]  The fight against the new world order is now the top story in the world. The globalists are in deep
[29:04.400 --> 29:09.760]  trouble, but they're striking back with all their deep state operatives to shut down info wars and
[29:09.760 --> 29:14.960]  other truth tellers like James O'Keefe, Tucker Carlson, and countless others. So please pray
[29:14.960 --> 29:19.280]  for us now more than ever. Spread the word about the broadcast and get great products to keep us
[29:19.280 --> 29:23.760]  on air and fund our operation while at the same time enriching your life. Now we've got three new
[29:23.760 --> 29:28.960]  products available at info war store.com and a bestseller back at stock. We have the amazing
[29:28.960 --> 29:34.000]  Dr. Jones Naturals turmeric toothpaste. That's so much more. Find out more at info wars war.com.
[29:34.000 --> 29:38.480]  We have the Ashwagandha root pills with black powder extract to accelerate your libido,
[29:38.480 --> 29:43.680]  stamina, testosterone. We have pure Ashwagandha gummies at info war store.com as well. These are
[29:43.680 --> 29:48.160]  all the highest quality products. The prebiotic is now finally back in stock. They're all there
[29:48.160 --> 29:53.120]  at info war store.com. So please take action now. Enrich your life, empower your body,
[29:53.120 --> 29:57.280]  and keep us on air. Please take action now. Info war store.com.
[30:00.800 --> 30:05.600]  I talk a lot about the great successes info wars has had. I don't think anybody can deny it.
[30:06.240 --> 30:11.280]  And it is because of listeners and viewers supporting us. When we talk about the crew
[30:11.280 --> 30:16.720]  at info wars, people behind the scenes, the researchers, the writers, they really have
[30:16.720 --> 30:21.680]  been the MVPs in this fight. And we look at Harrison Smith and Owen Schroyer and the hard
[30:21.680 --> 30:28.320]  work they engage in every day, five, six, seven days a week. It's really just incredible. So for
[30:28.320 --> 30:32.640]  myself and the whole info wars crew, I thank you for your past support. I only encourage you now
[30:32.640 --> 30:38.320]  to realize that info wars cannot stay on air if you do not support us. I know you spread the word.
[30:38.320 --> 30:42.640]  I know you pray for us. That's wonderful. Keep doing it. But most viewers and listeners never
[30:42.640 --> 30:47.600]  go to info war store.com and you never buy great products that enrich and empower your life while
[30:47.600 --> 30:52.080]  at the same time, keep us on air. I know that less than 1% of our listeners actually go buy products
[30:52.080 --> 30:57.120]  at info wars store.com. If just 1% more of you took action and went to info wars store.com,
