[00:03.000 --> 00:10.800]  Crashing through the lies and disinformation it's Alex Jones on the GCN radio network
[04:20.400 --> 04:26.880]  Which is the acid that gives human vomit is distinct or smell but in concentrated forms. It's quite dangerous
[04:26.880 --> 04:32.680]  It's an acid. It can burn your skin. It can cause burning of your lungs that type of thing. So quite frankly folks
[04:32.680 --> 04:38.480]  This is a crime and they're conspiring to commit a crime that information has been turned over to law enforcement
[04:38.480 --> 04:40.000]  We're gonna have part two of that today
[04:40.000 --> 04:45.680]  We're going to talk to James O'Keefe and also Alex Jones is gonna have a major revelation about
[04:46.200 --> 04:48.520]  Attacks of a lethal nature stay with us to be right back
[04:48.520 --> 05:05.800]  Nobody loves Barack Obama more than Barack Obama in his speech during the Chicago Cubs World Series visit to the White House
[05:05.800 --> 05:10.640]  He referred to himself a humble 40 times in his farewell address one of his many farewells
[05:10.640 --> 05:15.760]  He referred to himself 75 times when campaigning for Hillary Clinton in Philadelphia last year
[05:15.760 --> 05:22.440]  He referred to himself 137 times after the police shooting in Dallas Obama delivered an address in which he referred to himself
[05:22.800 --> 05:28.600]  45 times not once referencing himself as one to blame after a mass shooting in Oregon in a 12 minute speech
[05:28.600 --> 05:35.320]  He referenced himself 28 times at the Democratic National Convention Obama referred to himself a whopping 119 times
[05:35.320 --> 05:39.480]  Some attendees were confused and thought he was running again when speaking in India last year
[05:39.480 --> 05:46.000]  He referred to himself 118 times. It's an international love fest in a speech on jobs in Ohio in 2010
[05:46.000 --> 05:53.280]  Barack referenced himself 132 times, but I want you to I want you to understand this is not about me
[05:53.280 --> 05:58.880]  And every morning he eats a bowl of barrios to start his day. This is Owen shroyer for info wars.com
[05:59.400 --> 06:02.680]  Ladies and gentlemen Alex Jones here with the inauguration special
[06:02.680 --> 06:06.200]  We've had some of the biggest sales in our history since Christmas into the new year
[06:06.200 --> 06:12.440]  I'm extending them as the inauguration specials right through this weekend and then it's over
[06:12.440 --> 06:15.040]  We have some new products coming out next week some other sales
[06:15.040 --> 06:20.800]  We're gonna be doing but many of these sales are going to have to come to an end if you want across the board
[06:21.120 --> 06:27.760]  Massive specials on hundreds and hundreds of items like brain force 30% off and there's 20% more in each bottle
[06:27.760 --> 06:32.280]  Supermodiality 30% off survival shield x2 30% off. Here's the bottom line
[06:32.280 --> 06:36.640]  These are great products that change my life and change so many other people's lives also
[06:36.640 --> 06:45.000]  It funds the operation this sale ends this weekend after the inauguration of Donald J. Trump as a 45th president info wars store.com
[06:45.000 --> 06:49.680]  We're info wars life.com are called till free triple eight two five three three one three nine
[06:49.680 --> 06:56.680]  You get great products help fund the info war and celebrate the election of a populist a champion against the New World Order
[06:56.680 --> 07:01.320]  I'm Alex Jones, and this is the info war for a limited time info wars
[07:01.320 --> 07:09.800]  Select storeable foods that are the highest quality longest lasting produce right here in the US foods are 30 to 40% off retail
[07:09.800 --> 07:11.240]  And let me tell you why that's so important
[07:11.240 --> 07:13.480]  we only do this special twice a year and
[07:13.800 --> 07:20.960]  We are contractually allowed to offer prices even lower than the prices that my patron supply offers and that super uses as food
[07:20.960 --> 07:24.280]  They're our sponsor. We sell their food info wars store.com
[07:24.480 --> 07:28.640]  It's incredibly good deal, but right next to it is our food the same food
[07:29.040 --> 07:30.280]  private labeled
[07:30.280 --> 07:36.200]  And it's a contract loophole where we can offer it lower than anyone else including their other distributors
[07:36.200 --> 07:43.760]  I did this because of info wars power in the market to leverage in free market to bring you the very best deals and
[07:43.920 --> 07:49.440]  Quite frankly that helps us then sell even more food and help fund this operation
[07:49.440 --> 07:55.320]  So for a limited time 40 to 30% off all the info wars select storeable food and info wars store.com
[07:55.320 --> 08:01.160]  Are they calling toll three eight eight eight two five three three one three nine?
[08:12.920 --> 08:14.920]  This is the heart of
[08:15.760 --> 08:17.760]  1776
[08:17.800 --> 08:22.400]  It's also what happens when you listen to the radio host Alex Jones
[08:22.400 --> 08:25.520]  Move it get out of the way
[08:27.200 --> 08:29.880]  We pledge allegiance to one flag
[08:30.560 --> 08:37.840]  And that flag is the American flag info wars helped you the rumor that President Obama is an ISIS supporter
[08:37.840 --> 08:42.800]  It's been a cozy relationship from the beginning. I will not let you down
[08:42.800 --> 08:49.800]  You'll be very very impressed. I hope and I think we'll be speaking of Donald Trump and Alex Jones
[08:49.800 --> 08:59.160]  This means that Donald Trump will be the 45th president of the United States waging war on corruption. It's Alex Jones
[09:01.840 --> 09:03.840]  This is my final
[09:04.880 --> 09:10.120]  Voice report before I return back to the studio in Austin later today. We're about to close the cabin door
[09:11.200 --> 09:15.080]  Coming up. I'm gonna break this down more in a longer report. I just filed but
[09:15.080 --> 09:21.040]  Oh, it just struck me that as libertarians as Americana promoters
[09:22.240 --> 09:28.360]  We are not drama queens like the control domesticated left. Can you imagine what would happen?
[09:29.080 --> 09:31.080]  if there was a video of
[09:32.480 --> 09:37.880]  Trump supporters or libertarians planning to attack a democratic ball
[09:38.600 --> 09:40.120]  with
[09:40.120 --> 09:47.280]  Chemical weapons. I mean, that's what this report is. It's a it's a deadly acid pumped into the pump into the ventilation system
[09:48.680 --> 09:51.440]  And of all places they're meeting at David Brock's
[09:53.440 --> 09:55.440]  Boyfriends pizza place
[09:57.160 --> 09:59.680]  I mean you just can't make this stuff up and
[10:00.200 --> 10:07.920]  Then you add to that all these other groups calling for violence and just the frothing hysteria these people where they've totally dehumanized us and
[10:07.920 --> 10:09.920]  And so
[10:09.920 --> 10:17.960]  Anything goes, you know, they've had these different leftist groups like the 80 all come out and say the Trump shouldn't compare the fig dossier
[10:17.960 --> 10:19.960]  It's been proven fig now
[10:20.760 --> 10:28.440]  To Hitler, I mean, what are you supposed to compare this level of fascism to now where they literally want to gas us?
[10:28.440 --> 10:33.560]  I mean, I'm going to speak at this event. I'm going to go there to spite the threats for the First Amendment and
[10:33.560 --> 10:39.240]  And stand up against this if you're just stepping on boy, we still have plenty of seats
[10:40.800 --> 10:42.800]  Finishing this report is are closed the cabin door
[10:44.880 --> 10:49.920]  I'll be back today more dwelling on our lives at 1.30 central to break down
[10:51.160 --> 10:57.520]  The greatest attack on the press we've seen in modern history. It's now reached lethal levels
[10:58.440 --> 11:00.440]  It's now reached
[11:00.440 --> 11:07.000]  attempted murder levels. How you doing, sir? And it is it is imperative that
[11:08.200 --> 11:12.600]  When we stand together and we stand against this intimidation, I mean notice
[11:12.600 --> 11:16.920]  I always say themes come out on each broadcast or or or or in each week or each month
[11:17.040 --> 11:24.680]  Not because I come up with themes but because the real events of the world do we've got people planning to release chemical weapons
[11:24.680 --> 11:32.520]  on peaceful people exercising their first amendment who've already been demonized and already called deplorable and already been
[11:33.160 --> 11:40.360]  Been turned into animals basically and that's exactly again what the Nazis did and they do this over and over and over again
[11:40.360 --> 11:46.480]  This is a very dangerous cult of people and the Democratic Party is facing their whole system around racial
[11:46.960 --> 11:52.920]  Racial systems of control. It's just so diabolical. It makes my head spin and it's time for Democrats
[11:52.920 --> 11:58.880]  To decry this garbage and it's time for Republicans to take their party back and the Democrats as well
[11:58.880 --> 12:03.560]  And realize the ruling classes are using divide and conquer on us and it's gotten extremely dangerous
[12:03.960 --> 12:06.920]  But all the thugs all the minions all the sorrows people
[12:07.680 --> 12:10.080]  your intimidation is only going to
[12:10.680 --> 12:15.720]  Make more people stand up and get right back in your face and if it's been your intimidation
[12:15.720 --> 12:17.720]  It's been your bullying. It's been your demonization
[12:18.160 --> 12:21.240]  That's cost so many people to take action and wake up
[12:21.240 --> 12:28.600]  And so just understand that that that you're making the same mistake the tyrants have made throughout history over and over again
[12:29.640 --> 12:31.800]  All right back to David Knight in Austin, Texas
[12:32.800 --> 12:35.520]  And again, I'm David Knight in the studio. You just heard Alex Jones
[12:35.520 --> 12:38.720]  He's gonna be joining us in the studio at 130 central
[12:38.720 --> 12:42.200]  That's the last half hour of this broadcast. He's gonna be having
[12:42.960 --> 12:47.840]  Announcement huge announcement concerning the attacks of a lethal nature. She just heard him talk about
[12:47.840 --> 12:51.680]  Now, of course, the thing that the media is trumpeting everywhere
[12:52.160 --> 12:57.320]  Saying that Trump's approval polls are the lowest that they've historically seen
[12:57.320 --> 13:01.040]  So that's the narrative that's coming out from the mainstream media the bottom of the hour
[13:01.040 --> 13:06.120]  Alex is going to talk about how the Democrats are constantly attacking Donald Trump and of course
[13:06.520 --> 13:12.880]  I'm sure that they've taken some off of his numbers, but of course, these are also the people as Donald Trump pointed out in his tweet
[13:12.880 --> 13:18.900]  He said the same people who did the phony election polls and we're so wrong are now doing approval rating polls
[13:19.120 --> 13:21.120]  They're rigged just like before
[13:21.960 --> 13:24.360]  And we've talked about this during the election during the
[13:24.800 --> 13:28.000]  Run up to the election during the primaries. They're called push polls
[13:28.400 --> 13:34.360]  You put these polls out there one of the reasons why these polls have been so so wrong in terms of the election
[13:34.360 --> 13:42.480]  Is because they were never designed to reflect public opinion. They were designed to influence public opinion
[13:42.800 --> 13:49.160]  This is a very old political tactic, but it's been used far more extensively during this campaign against Donald Trump
[13:49.160 --> 13:53.480]  than we've ever seen before and they're still using that campaign quite frankly and of course we had
[13:53.480 --> 13:59.120]  Sean Duffy vice chair of the Trump transition team said that he believed and he was on CNN
[13:59.120 --> 14:01.520]  He said yeah, they've taken a little bit of numbers off of it
[14:01.520 --> 14:04.080]  But it's not that bad and he's we're gonna see him bounce back
[14:04.960 --> 14:06.040]  once
[14:06.040 --> 14:09.080]  He takes office and that's the precise point
[14:09.120 --> 14:13.320]  That's one of the reasons why the media gatekeepers are being shown the door at the White House
[14:14.080 --> 14:17.120]  And you look at the headlines about that type of thing Trump team considers
[14:17.440 --> 14:20.840]  Evicting the press from the White House. That's the way the Hill reports it
[14:20.840 --> 14:24.680]  Then we've got New York Times saying Trump team considers moving the press corps
[14:24.680 --> 14:32.280]  Alarming reporters another salvo from the administration that has shown an unusual willingness to berate and belittle the news media
[14:32.280 --> 14:37.680]  That's what they're talking about an erosion of press freedoms that they ever complain about about Barack Obama
[14:38.280 --> 14:40.280]  locking up their own journalists
[14:41.080 --> 14:43.080]  locking up whistleblowers and
[14:43.480 --> 14:50.400]  An unprecedented amount more than all the other presidents under the 1917 the 100 year old act the espionage act
[14:50.400 --> 14:56.040]  In the last 100 years Barack Obama went after whistleblowers went after the press coming after members of the press
[14:56.400 --> 15:01.040]  In an unprecedented way doing it more than all the other presidents in the last 100 years combined
[15:01.040 --> 15:03.680]  Did they ever say anything about that? No, did they complain?
[15:04.680 --> 15:07.040]  when Barack Obama came out and
[15:07.560 --> 15:12.560]  Created the Ministry of Truth with the State Department signing yet another NDAA act
[15:13.360 --> 15:18.280]  Violating the Constitution we've seen Obama use the NDAA act as also the Republicans
[15:18.280 --> 15:22.360]  To push in things like indefinite detention without trial by the US military
[15:22.720 --> 15:29.840]  Being able to transport people out of this country so they can torture them without trial and now creating a Ministry of Truth funding it for
[15:30.560 --> 15:37.120]  $160 million for two years 80 million dollars a year to let the State Department of all places be the final arbiter of truth now
[15:37.400 --> 15:43.760]  Bloomberg to their credit finally got one of these right whoever wrote this article here Trump team may move West Wing briefings to expand
[15:44.480 --> 15:46.480]  capacity and of course that's what
[15:46.480 --> 15:51.120]  The headline on a drudge pointed out about that said we object stringlessly to any move
[15:51.120 --> 15:56.720]  They said that would shield the president and his advisers from the scrutiny and of course that is a quote from the White House
[15:56.840 --> 16:01.400]  Correspondence Association see the how to understand is this is truly kind of like a
[16:01.720 --> 16:07.400]  trade union like a guild trying to keep people out and the real issue is that they're going to be bringing in
[16:07.520 --> 16:10.920]  Talk radio hosts and bloggers. That's what Sean Spicer has said
[16:10.920 --> 16:14.320]  He said there's a lot of talk of radio and bloggers and people they can't fit in right now
[16:14.320 --> 16:19.200]  Because they don't have a permanency because they're not part of the Washington elite media
[16:19.640 --> 16:21.640]  And again, they have their own little guild
[16:21.960 --> 16:29.560]  That says we're going to side and only these 49 people who are entitled who are the elite entitled are going to have access to Donald
[16:29.560 --> 16:33.000]  Trump and then the rest of the people are going to be shut out what they're saying is we want to go to another
[16:33.800 --> 16:38.440]  Location that's adjacent to the White House so we can get up to 400 people in there
[16:38.440 --> 16:45.720]  They say the Brady press briefing room holds 49 seats for major media organizations, which are granted space by the White House
[16:46.560 --> 16:48.040]  Correspondence Association
[16:48.040 --> 16:55.440]  See it's a protectionist guild and these guys are using this to create a narrative that Donald Trump is the most unpopular president
[16:55.600 --> 17:01.640]  That we've had the most popular president elect that we've had in recent times now today. We're going to be talking to
[17:02.480 --> 17:06.240]  James O'Keefe with project Veritas yesterday. We played part one of his exposure
[17:06.240 --> 17:10.360]  Alex referenced that and that report you just heard where they're talking about they're going to
[17:10.800 --> 17:16.560]  Release butyric acid which in concentrations doesn't acid. It'll burn your skin will burn your lungs
[17:16.600 --> 17:20.480]  But the key thing about it they wanted to force evacuation in the entire building
[17:21.000 --> 17:23.640]  Because it's a very disgusting smell
[17:24.160 --> 17:29.760]  It is the ingredient in human vomit that gives human vomit its distinctive smell
[17:29.760 --> 17:32.320]  And so that's what they wanted to do to release this place
[17:32.320 --> 17:39.240]  But what they're talking about doing is a crime and so we've got James O'Keefe on is going to be talking to us about this
[17:39.440 --> 17:41.280]  Investigation as the second part comes out today
[17:41.280 --> 17:42.440]  We're going to play that for you as well
[17:42.440 --> 17:49.280]  And now we see that there are ads in dozens of cities offering protesters up to $2,500 to agitate
[17:49.480 --> 17:53.640]  At the Trump inaugural this is from the Washington Times. You can see this on the drudge report
[17:53.680 --> 17:59.720]  They say Donald Trump may have a point about paid protesters jobs running ads more than 20 cities more than 20 cities
[17:59.720 --> 18:06.560]  Offer $2,500 a month for agitators to demonstrate at inaugural events now the ad says
[18:07.400 --> 18:11.680]  We are the largest private grassroots support organization in the United States
[18:11.680 --> 18:14.920]  I would say if you're paying people that much money, it is astroturf
[18:15.440 --> 18:20.480]  By definition they say we're currently seeking operatives to help send a strong message at
[18:20.480 --> 18:29.240]  Upcoming inauguration protests. They say our standard per event pay is $50 an hour as long as you agree to participate in six events per year
[18:29.440 --> 18:32.840]  How's that instead of a fight for 15 you can get
[18:33.320 --> 18:35.080]  55 oh
[18:35.080 --> 18:37.080]  $50 an hour
[18:37.080 --> 18:43.240]  Absolutely amazing now as I said before Alex is going to have a report at the bottom of the hour about how the Democrats are fighting Trump
[18:43.240 --> 18:47.400]  And I want you to understand how the Washington establishment including
[18:47.400 --> 18:50.660]  Republicans are fighting against Donald Trump
[18:51.680 --> 18:54.880]  One of the things that the Washington Post points out and I think this is very clear
[18:55.200 --> 19:00.760]  We have become frustrated with Republican parties one of the reasons that Donald Trump succeeded because we voted for Paul Ryan
[19:00.760 --> 19:06.840]  We voted for Mitch McConnell and the rest of them. They promised us that they would follow certain policy proposals
[19:06.840 --> 19:08.280]  We said we want the borders patrolled
[19:08.280 --> 19:13.560]  We don't want Obamacare mandates and so forth and so on want you to cut taxes once you cut spending in
[19:13.560 --> 19:19.320]  Washington and they don't do it and the Washington Post admits that I think they say this very succinctly listen this
[19:19.840 --> 19:24.960]  Opening statement of this article. I say if Republicans appeal the Affordable Care Act. That's Obamacare
[19:25.440 --> 19:27.880]  They will have achieved something rare
[19:28.560 --> 19:35.280]  Even when conservative policymakers have complete control of government as Republicans will in Washington once Trump assumes a presidency
[19:35.280 --> 19:40.160]  They have generally failed to eliminate major social programs after these programs have been established
[19:40.160 --> 19:48.840]  Yeah, they fail to do what they said they're going to do and we're gonna take a look at Paul Ryan because he is exhibit a
[19:49.280 --> 19:55.200]  This is a guy who has opposed Trump on ethics. He has opposed him on borders
[19:55.200 --> 20:01.120]  He's opposed him on by American and we're also gonna take a look at how John Boehner left and immediately became a lobbyist
[20:01.120 --> 20:02.600]  Against our heads every day
[20:02.600 --> 20:08.080]  But now a landmark US government study confirms increased health risks from exposure to EMF radiation
[20:08.080 --> 20:15.040]  Emitted from these devices the time to protect yourself is now the solution is Defender Shield proudly made in the USA
[20:15.160 --> 20:22.600]  Defender Shield blocks virtually 100% of the EMF radiation emitted from cell phones tablets and laptops by now at Defender Shield comm
[20:22.600 --> 20:29.080]  Use discount code Defender for 10% off Defender Shield comm the worldwide leader in EMF radiation protection
[20:29.720 --> 20:36.480]  Fully cooked ready to eat bacon. I'm talking thick meaty center cut presidential bacon savory and delicious
[20:36.480 --> 20:42.960]  I buy some I use some I store some awesome. No refrigeration needed with a 10-year shelf life
[20:43.080 --> 20:49.440]  NASA pack technology bacon fully cooked fully hydrated ready to eat right from the pack bacon or
[20:49.840 --> 20:58.480]  Warm and serve life-saving ready to eat bacon 10-year shelf life bacon ships free at fully cooked bacon dot com fully cooked bacon
[20:58.960 --> 20:59.920]  dot com
[20:59.920 --> 21:07.320]  When pistol threat armor is just not enough Katie armor offers a rifle threat solution as thin as one-quarter inch
[21:07.600 --> 21:11.440]  Without proprietary armor that conforms to your torso
[21:11.840 --> 21:18.120]  This is the only concealable rifle threat armor on the market today. You can own it starting at
[21:19.120 --> 21:24.520]  $225 check out Katie armor on Facebook or at Katie armor dot com that
[21:25.040 --> 21:27.040]  Cati armor dot com
[21:27.040 --> 21:34.520]  And take it we're all looking for safe effective and all natural remedies for ourself and our family
[21:34.560 --> 21:40.600]  The solution is simplex simplex oils provide natural anti-inflammatory and pain relief
[21:41.520 --> 21:47.120]  Antioxidant and nerve protection and is an amazing topical acne removal and skincare supplement
[21:47.640 --> 21:50.000]  Natural healing at a very affordable price
[21:50.400 --> 21:56.320]  Find out more about our non-psychoactive CBD oil products go to simplex specials dot com
[21:56.320 --> 21:58.600]  That's simplex specials dot com
[21:59.160 --> 22:06.200]  Think about this your communities aging water infrastructure systems are very likely to be contaminated with heavy metals like lead
[22:06.600 --> 22:12.920]  Disinfection chemicals like ammonia chlorine and chloramines and pharmaceuticals like statins pain meds and antidepressants
[22:12.920 --> 22:20.000]  They know water treatment plants are not equipped to filter these pharmaceutical toxins out protect your family's water supply with a trusted big
[22:20.000 --> 22:26.840]  Berkey water filter new NSF EPA certified lab tests show big Berkey water filters remove chloramines pharmaceuticals
[22:27.000 --> 22:35.640]  BPA pesticides bacteria and viruses all forms of fluoride and much more big Berkey water filters are the original and most trusted on the market
[22:35.640 --> 22:42.120]  The gold standard in water purification and our filters last three years at less than two cents per gallon big Berkey
[22:42.120 --> 22:47.160]  The one powerful enough to purify stagnant pond water get your big Berkey today call
[22:47.160 --> 22:57.720]  1-877-99 Berkey or click big Berkey water filters.com. That's 1-877-99 BER KEY big Berkey water filters for the love of clean water
[22:58.800 --> 23:02.200]  The answer to being in control of your own health care is
[23:02.480 --> 23:09.680]  Freedom from insurance become part of a group of self-pay patients that come together to share in each other's medical expenses
[23:09.680 --> 23:16.840]  Individual share amounts begin at one hundred seven dollars a month and 347 for families choose from three health sharing programs
[23:17.040 --> 23:23.480]  Holistic treatments may be eligible for sharing see guidelines discount programs available for dental vision and pharmacy
[23:23.480 --> 23:27.960]  Go to liberty on call dot org. That's liberty on call dot org
[23:28.600 --> 23:35.560]  In these uncertain times it makes sense to have a sustainable backup method to cook food and boil water if your current plan includes using a
[23:35.560 --> 23:42.760]  Fuel-burning stove or cooking over an open fire then there's a much better way the Minuteman rocket stove is a biomass burning cooking stove
[23:42.760 --> 23:47.880]  That only requires small quantities of sticks and twigs for fuel the Minuteman stove is easy to use
[23:47.960 --> 23:54.680]  Smokeless portable powerful and sustainable for the finest in survival cooking stoves and fire starters made right here in the USA
[23:54.680 --> 24:12.360]  Go to Minuteman stove calm. That's Minuteman stove calm welcome back to the Alex Jones show on David night
[24:12.520 --> 24:15.720]  Alex is gonna be joining us in the next segment at the bottom of the hour
[24:15.720 --> 24:18.240]  He's gonna talk about the Democrat opposition to Trump
[24:18.440 --> 24:23.240]  I'm gonna talk in this segment about the Republican opposition and the leader of that Republican opposition
[24:23.240 --> 24:25.440]  Paul Ryan, but before I get to that
[24:25.440 --> 24:28.960]  I just want to remind you that our sale that began at the beginning of the year
[24:28.960 --> 24:32.720]  I make our bodies great again initiative is ending this week with the inauguration
[24:32.720 --> 24:38.840]  And of course you can still go to info wars life calm and find discounts of anywhere from 20 to 30% off
[24:39.080 --> 24:45.600]  We have brain force 30% off super male vitality 30% off survival shield x2 nascent iodine
[24:45.600 --> 24:52.240]  That's 30% off and then at 20% off. We have liver shield prostaguard knockout our natural sleep
[24:52.240 --> 24:57.880]  Aid and also secret 12 our vitamin b12 liquid formulation
[24:57.880 --> 25:03.200]  So you'll find all of that at info wars life calm that sale will be ending very soon
[25:03.200 --> 25:08.520]  Also, we do have back in stock DNA force and we have given you since it's been out of stock for a while
[25:08.520 --> 25:10.640]  We've given you a 10% out of the gate
[25:11.560 --> 25:15.280]  Discount to help you stock back up. This is an emergency shipment that we got back in
[25:15.320 --> 25:20.440]  It's not as big as we typically are able to get so it may sell out before too much longer
[25:20.440 --> 25:22.880]  And it will be months before we can get that back in stock again
[25:22.880 --> 25:30.200]  And one of the reasons why this happens is because it's so difficult to get bio PQQ and get it in the form that we want it
[25:30.240 --> 25:33.080]  It's very expensive very difficult to produce
[25:33.080 --> 25:38.280]  So a 10% discount is a big savings off of that get it while it's in stock right now as I point out
[25:38.280 --> 25:41.760]  It's been out of stock. It's going to be going out of stock again shortly
[25:42.280 --> 25:44.040]  Very very important
[25:44.040 --> 25:50.480]  Nutrient for you. And if you look at the studies there are 175 clinical studies that back up the importance of
[25:51.200 --> 25:55.240]  Bio PQQ just that one ingredient in there. And of course, it's not the only ingredient
[25:55.240 --> 26:00.600]  There's many other things that help your body to maintain a DNA that
[26:01.120 --> 26:03.520]  Well to put it simply just doesn't unravel
[26:03.520 --> 26:06.800]  You have these in caps of telomeres that have to be maintained
[26:06.800 --> 26:12.200]  And there's a lot of research that shows that your life expectancy can kind of be predicted by the length of those telomeres
[26:12.200 --> 26:15.080]  They gradually start to get shorter and shorter as we get older
[26:15.640 --> 26:19.240]  And if you think of your DNA strand as a twisted shoestring
[26:19.800 --> 26:24.720]  Once that telomere that cap on the end of your shoestring disappears the DNA strand start to
[26:25.360 --> 26:30.240]  Unravel and that's one of the things that is I guess the timer on our lives that are there
[26:30.240 --> 26:35.800]  But you can find all those at infowarslife.com now talked about Paul Ryan. I just mentioned this briefly
[26:35.800 --> 26:41.160]  In so many different ways we've seen articles coming out the end of the last week and through the weekend
[26:41.920 --> 26:47.040]  With Paul Ryan saying well, you know, I think this lobbying ban is a very dangerous proposal
[26:47.040 --> 26:52.080]  I and I really don't think that we can do this lobbying a ban that Donald Trump wants to what does he want to do?
[26:52.080 --> 26:54.080]  He wants to put a ban on
[26:54.120 --> 26:56.960]  people getting involved as lobbyists for
[26:57.760 --> 27:01.320]  Five years move it from one year to five years. I believe it's what it is
[27:01.320 --> 27:05.520]  he's going to lengthen it and he's going to put a lifetime ban on lobbying for foreign governments and
[27:07.200 --> 27:09.200]  now
[27:09.200 --> 27:14.480]  Paul Ryan is saying that's dangerous. Here's a good example of this. Okay, as they oppose Donald Trump
[27:14.480 --> 27:18.200]  It looks like they may oppose him on by American. That's been one of the focuses of
[27:18.960 --> 27:24.600]  the Trump campaign and as the Hill pointed out last year when they had a
[27:24.600 --> 27:32.280]  Water infrastructure bill come up. It had a by American clause in there and Paul Ryan led the opposition to get that stripped out
[27:32.280 --> 27:34.720]  Why was it stripped out? Well former Speaker?
[27:35.760 --> 27:43.200]  Boehner had left in October and this bill had come up five months later in March and what did Boehner do?
[27:43.960 --> 27:51.560]  They worked actually had foreign steel companies that tapped the lobbying firm that Boehner went to work for after he was speaker of the house
[27:51.560 --> 27:58.000]  so you got foreign steel companies going to a lobbying firm that employs John Boehner and
