[00:00:17.611 --> 00:00:21.974]  Hindsight is 2020, and the enemy is very cunning.
[00:04:15.069 --> 00:04:26.076]  The only route to victory is to win the election in the courts and go on a massive offensive against the Deep State establishment and the Mockingbird media.
[00:04:26.076 --> 00:04:30.980]  Those attempting to overthrow the United States need to be executed.
[00:04:30.980 --> 00:04:33.001]  The battle is just beginning.
[00:04:33.001 --> 00:04:35.402]  God bless America.
[00:04:35.402 --> 00:04:41.867]  For InfoWars.com, this is Greg Reese.
[00:04:41.867 --> 00:04:43.508]  Now listen to me very carefully.
[00:04:45.120 --> 00:04:48.303]  There is a narrow path for Trump to defeat these globalists.
[00:04:48.303 --> 00:04:51.406]  Roger Stone is going to be joining us, Paul Joseph Watson and others.
[00:04:51.406 --> 00:04:56.170]  And the globalists have put out some incredible new announcements that are shocking in how honest they're being.
[00:04:58.755 --> 00:05:03.019]  There are many references in the Holy Bible to the mustard seed.
[00:05:03.019 --> 00:05:04.220]  And why is that?
[00:05:04.220 --> 00:05:12.026]  It's one of the tiniest seeds out there, but a giant tree-like bush grows from it that produces more mustard seeds.
[00:05:12.026 --> 00:05:16.430]  Mustard was known by the ancients around the world to have amazing health effects.
[00:05:16.430 --> 00:05:17.791]  They didn't know why.
[00:05:17.791 --> 00:05:23.536]  Well, with modern science we know it's one of the purest, cleanest organic forms of selenium.
[00:05:24.136 --> 00:05:35.621]  We have BioTrue Selenium, sold out for months, back in stock at InfoWarsStore.com at 50% off, store-wide free shipping, and triple patriot points.
[00:05:35.621 --> 00:05:45.145]  BioTrue Selenium at InfoWarsStore.com is an amazing product, and it's even more amazing in that it funds our operation.
[00:05:45.145 --> 00:05:47.626]  But if you don't know about selenium, research it.
[00:05:47.626 --> 00:05:49.987]  It is an essential nutrient in the body
[00:05:50.327 --> 00:05:51.428]  You absolutely have to have.
[00:05:51.428 --> 00:05:53.149]  It's back in stock.
[00:05:53.149 --> 00:05:53.650]  50% off.
[00:05:53.650 --> 00:06:06.420]  Triple Patriot points at InfoWarshore.com and with free shipping.
[00:06:06.420 --> 00:06:12.005]  We now take you live to the Central Texas Command Center.
[00:06:12.005 --> 00:06:15.147]  In the heart of the resistance.
[00:06:15.147 --> 00:06:17.329]  Rallying Patriots worldwide.
[00:06:21.483 --> 00:06:27.568]  You're listening to the Alex Jones Show.
[00:06:27.568 --> 00:06:36.015]  Thank you so much, my friends, for joining us on this live November 10th, Tuesday broadcast.
[00:06:36.015 --> 00:06:41.139]  I want to thank the great crew for all the wonderful work they do and all of our affiliates across the country.
[00:06:45.982 --> 00:06:49.184]  Every day that I come on the air is more important than the last.
[00:06:49.184 --> 00:06:51.625]  I don't need to explain that to everybody.
[00:06:51.625 --> 00:06:55.306]  It's as clear as the nose on your face or my face.
[00:06:55.306 --> 00:07:08.632]  But now the globalists, the robber barons, the most rich people on Earth and their powerful planetary consortium are being very, very public about their plans.
[00:07:08.632 --> 00:07:11.634]  Even the London Telegraph has huge articles out
[00:07:13.792 --> 00:07:31.619]  Quoting the Davos group in the UN saying that they are implementing an artificial global depression to consolidate power and control to save us from carbon, but really these billionaires are just doubling their wealth now under COVID dictatorship.
[00:07:31.619 --> 00:07:40.582]  And top scientists are calling it a fear machine and a scientific medical dictatorship.
[00:07:42.722 --> 00:07:51.767]  But when you go to the Davos Group itself, which is a public spokes group of the Bilderberg Group, it's the same people, they admit all this word for word.
[00:07:51.767 --> 00:08:00.731]  Jay Dyer, earlier this year, had read the head of the Davos Group's new book when it came out.
[00:08:00.731 --> 00:08:01.312]  I didn't read it.
[00:08:02.369 --> 00:08:24.650]  And when he was on as a guest reading the quotes, it was just stunning to me because, again, I already know the enemy's agenda, and I research the latest developments every day, but to hear it out in the open and where he says COVID's not a threat, we're just using it to take over and consolidate power, and you're not going to have police anymore?
[00:08:24.650 --> 00:08:26.111]  You're not going to get meat anymore?
[00:08:27.282 --> 00:08:31.666]  And we're going to dictate to you that you be sterilized for you to even be able to live.
[00:08:31.666 --> 00:08:40.833]  And you're going to have a card with a guaranteed income, but you're going to live at a subsistence level in a 250 square foot apartment.
[00:08:40.833 --> 00:08:45.617]  Single family dwellings are being banned in Europe and now in the United States.
[00:08:45.617 --> 00:08:47.719]  This is a real cult, folks.
[00:08:47.719 --> 00:08:49.000]  The masks are never coming off.
[00:08:50.865 --> 00:08:59.768]  The forced inoculations are coming, but they want those to be their regime of forced inoculations where you accept an ID and a digital online passport.
[00:08:59.768 --> 00:09:08.811]  That's why Trump tried to accelerate the vaccine from another company, I'm not even defending that, but to take control of the agenda and end the lockdown.
[00:09:08.811 --> 00:09:18.855]  But as we told you last week, Biden has now announced yesterday he's posing as the president and is now already telling governors they better submit to him and start taking his orders.
[00:09:20.316 --> 00:09:29.378]  The media is spinning that and saying, well, President Trump was president-elect and he started talking to folks and they had conceded the election then.
[00:09:29.378 --> 00:09:32.399]  The day after.
[00:09:32.399 --> 00:09:33.719]  It's not been conceded.
[00:09:33.719 --> 00:09:38.760]  It's in the courts and the fraud is like a dam that's broken.
[00:09:38.760 --> 00:09:43.881]  It's like a fire hose of just eyewitnesses and proof and we've got
[00:09:45.544 --> 00:09:54.752]  Exclusive breaking news on that at InfoWars.com where a lady that we know moved here a few years ago from California.
[00:09:54.752 --> 00:10:07.843]  She'd lived with her mother for a while when she was there and got notice of this mail-in ballot and went and checked it out and found out that someone had voted in her name in California.
[00:10:09.011 --> 00:10:12.612]  For Joe Biden, even though she voted for Donald Trump in Texas.
[00:10:12.612 --> 00:10:16.013]  She got screenshots of all of this off the Secretary of State's website.
[00:10:16.013 --> 00:10:22.635]  That's an exclusive at Infowars.com right now, but there's thousands of stories like that.
[00:10:22.635 --> 00:10:36.139]  David Knight has family that went in to vote and they didn't want to see their ID, didn't want to see voter registration, didn't want to even know.
[00:10:38.086 --> 00:10:44.850]  And a lot of people try to go vote, and they find out that somebody's already voted their name.
[00:10:44.850 --> 00:10:47.492]  And it's because we put up with the corruption, there's no end to it.
[00:10:47.492 --> 00:10:50.434]  Thomas Jefferson was once asked, what is the level of corruption?
[00:10:53.021 --> 00:10:55.382]  And tyranny that we could face.
[00:10:55.382 --> 00:10:58.262]  And he said, whatever you will accept is the level of tyranny.
[00:10:58.262 --> 00:11:06.724]  There's always somebody ready to fill that vacuum when you're a sheep, when you're a chump, when you roll over, when you're ignorant, that'll take advantage of you.
[00:11:06.724 --> 00:11:08.904]  And now it's being scientifically done.
[00:11:08.904 --> 00:11:13.045]  This is really a story of people that are invincibly ignorant.
[00:11:13.045 --> 00:11:15.046]  This is a story of people that like to be abused.
[00:11:15.046 --> 00:11:20.307]  It's a story of people so coddled in the modern age and so ready for their free lunch
[00:11:21.448 --> 00:11:29.331]  And who have such short memories that they don't even know what's being prepared for them.
[00:11:29.331 --> 00:11:31.712]  And maybe the globalists are right at some levels.
[00:11:31.712 --> 00:11:37.694]  They say there's too many people, they have no vision, they have no spirit, they have no destiny, they don't want to do anything.
[00:11:37.694 --> 00:11:40.255]  Look at how we're allowed to manipulate them and control them.
[00:11:40.255 --> 00:11:46.857]  And so that's our right under social Darwinism to dumb them down, poison them, and then finally phase them out, kill them.
[00:11:50.911 --> 00:11:52.892]  Might makes right.
[00:11:52.892 --> 00:11:57.515]  The establishment says we're in control, the people don't stand up for themselves, they deserve what they get.
[00:11:57.515 --> 00:12:03.999]  Now I've been around some of the globalists and I know about their families and I know about how happy they are and the word is unhappy.
[00:12:03.999 --> 00:12:10.542]  That's satanic to be mean to people that aren't as smart as you and then dumb them down further and take advantage of them.
[00:12:10.542 --> 00:12:18.247]  Christ said it's better for you to kill yourself than to hurt the children and that's an allegory of people that aren't smart, people that are simple.
[00:12:20.623 --> 00:12:21.604]  But still there's another problem.
[00:12:21.604 --> 00:12:41.854]  The globalists are organizing the dumbed-down simple-minded into weapon systems against those of us that don't want to join Satan, don't want to join the New World Order, and we don't want to destroy the third world, and we don't want to destroy the dumbed-down, and we don't want to destroy the impoverished.
[00:12:41.854 --> 00:12:46.377]  And so they're going to be forged into weapons, and already are, that will destroy us.
[00:12:46.377 --> 00:12:47.297]  And that's the devil's trick.
[00:12:47.297 --> 00:12:48.138]  He's going to make us
[00:12:49.952 --> 00:12:53.833]  Make us join him.
[00:12:53.833 --> 00:12:56.134]  And that's really where this is.
[00:12:56.134 --> 00:13:05.797]  I have the head of the Davos Group saying, we're going to bring in a global depression for your own good and COVID's made up.
[00:13:05.797 --> 00:13:09.898]  And they publish excerpts of it in major newspapers and say it's a good thing with the Financial Times.
[00:13:09.898 --> 00:13:12.239]  A lot of telegraph says it's a bad idea.
[00:13:13.476 --> 00:13:17.479]  And I was just reminded, because now this is the big hot thing Paul Joseph Watson wrote about today.
[00:13:17.479 --> 00:13:18.440]  It's coming on the bottom of the hour.
[00:13:18.440 --> 00:13:21.822]  But this was published six months ago.
[00:13:21.822 --> 00:13:24.765]  We had Jay Dyer on three months ago about it, reading these quotes.
[00:13:24.765 --> 00:13:26.266]  And I'm reading them again, though.
[00:13:26.266 --> 00:13:33.832]  It's like, there's Jay Dyer reading out of the paper on Skype with us, reading out of The Great Reset book by Schwab.
[00:13:35.504 --> 00:13:36.465]  No one cares.
[00:13:36.465 --> 00:13:47.855]  But when it's in the Financial Times of London, he admits he's created a depression on purpose and the Financial Times is telling you it's a good thing.
[00:13:47.855 --> 00:13:58.505]  That's what's so crazy about this is they're openly saying that they're going to incrementally cut the resources off and social engineer everyone and when Bill Gates was on
[00:14:00.100 --> 00:14:06.806]  Japanese TV, about eight months ago, and they were saying, people are scared of your vaccines, they claim it's a depopulation weapon.
[00:14:06.806 --> 00:14:13.211]  And he looks at them and he says, well, you'll get different vaccines in places like Japan.
[00:14:13.211 --> 00:14:18.615]  Knowing the Japanese are smart, and they're also survival of the fittest, very brutal.
[00:14:18.615 --> 00:14:23.039]  Smart, nice people, very, you can leave your wallet on the table and a business to take it for a week.
[00:14:23.039 --> 00:14:27.763]  But if they think somebody's in charge, and they order that person in charge to say, kill all these children, they'll do it.
[00:14:29.346 --> 00:14:30.547]  And Bill Gates knows how to talk to him.
[00:14:30.547 --> 00:14:32.970]  He's like, it's not for you.
[00:14:32.970 --> 00:14:34.071]  It's for the third world.
[00:14:34.071 --> 00:14:41.298]  And the banker's like, I mean, and I have to sit here with the average leftist screaming, I'm Hitler.
[00:14:41.298 --> 00:14:48.585]  When I walked down the street, literally signed on to the stuff Hitler was trying to basically steal and do his own plan.
[00:14:50.987 --> 00:14:56.549]  And so Bill Gates is on TV saying the lockdown never ends, it's gonna hurt a lot of people, it's gonna lower the population.
[00:14:56.549 --> 00:15:00.331]  He does TED Talks saying, I'm gonna make you take a vaccine so there's less people.
[00:15:00.331 --> 00:15:04.852]  What the hell do you think that means?
[00:15:04.852 --> 00:15:06.193]  So it's very, very sad.
[00:15:06.193 --> 00:15:10.475]  And you look at the left, they don't have children, they're unhealthy, they're depressed, they commit suicide.
[00:15:10.475 --> 00:15:13.536]  They're just the losers that have been caught up in his net.
[00:15:15.165 --> 00:15:20.909]  And what's crazy is, is they're being scooped up and taken away culturally, societally, spiritually.
[00:15:20.909 --> 00:15:26.834]  They're in the nets, yelling and spitting at those of us that tried to cut them loose.
[00:15:26.834 --> 00:15:30.777]  You can say, well, we shouldn't cut them loose then.
[00:15:30.777 --> 00:15:35.440]  That's how the metaphysical devil operation takes place.
[00:15:35.440 --> 00:15:35.820]  Because yeah,
[00:15:37.902 --> 00:15:40.326]  Those leftists deserve all the hell they're under.
[00:15:40.326 --> 00:15:41.087]  It doesn't matter.
[00:15:41.087 --> 00:15:46.114]  You can't then take part in it with the psychopaths like Gates.
[00:15:46.114 --> 00:15:48.037]  I mean, I could have joined Gates and them like that.
[00:15:48.037 --> 00:15:51.742]  I didn't because you can feel the presence of God is not there.
[00:15:51.742 --> 00:15:52.723]  They're dead.
[00:15:52.723 --> 00:15:53.525]  That's why they want to kill us.
[00:16:07.745 --> 00:16:12.048]  Now it's easier than ever to have Band.Video on your iPhone.
[00:16:12.048 --> 00:16:15.530]  Simply go to Band.Video with your Safari browser.
[00:16:15.530 --> 00:16:18.813]  Then you click the Share button at the bottom of the screen.
[00:16:18.813 --> 00:16:22.355]  When the menu comes up, you simply click Add to Home Screen.
[00:16:22.355 --> 00:16:24.597]  It will then ask you to name the app.
[00:16:24.597 --> 00:16:25.998]  I suggest Band.Video.
[00:16:26.678 --> 00:16:32.141]  You will now have BAN.VIDEO app on your home screen, despite the fact that Tim Cook tried to stop it.
[00:16:32.141 --> 00:16:40.625]  The globalists think you're lazy, but by taking a little bit of action, you can override them, have the app, and then tell others about it so they can get the app.
[00:16:40.625 --> 00:16:47.328]  So it's up to you whether you want to defy big tech and click the share buttons below on your email, on Facebook, on Twitter, on YouTube.
[00:16:47.328 --> 00:16:50.150]  However you want, be sure and share BAN.VIDEO.
[00:16:56.792 --> 00:17:03.378]  We're only here on air facing the Globalist onslaught, the DMC-funded lawsuits, and everything that's happening because of you.
[00:17:03.378 --> 00:17:10.824]  We built the only truly multimedia independent radio, TV, print, film organization in the world that promotes the truth against the Globalists.
[00:17:10.824 --> 00:17:12.085]  We've had a devastating effect.
[00:17:12.085 --> 00:17:13.346]  We're a national treasure.
[00:17:13.346 --> 00:17:15.628]  You're a national treasure for supporting us.
[00:17:15.628 --> 00:17:16.949]  And so, go get a t-shirt.
[00:17:16.949 --> 00:17:18.310]  Go get a historic t-shirt.
[00:17:19.091 --> 00:17:22.012]  We've got a funny one that's the Biden groping a woman.
[00:17:22.012 --> 00:17:23.333]  It's a woman's design shirt.
[00:17:23.333 --> 00:17:24.293]  My wife really likes it.
[00:17:24.293 --> 00:17:25.214]  She sent me this gift.
[00:17:25.214 --> 00:17:25.894]  It's pretty cute.
[00:17:25.894 --> 00:17:26.354]  Here it is.
[00:17:26.354 --> 00:17:28.115]  And it just, you know, it's a little historic thing.
[00:17:28.115 --> 00:17:29.455]  I think Trump's gonna win.
[00:17:29.455 --> 00:17:32.296]  But if Biden's able to steal it, we'll be probably shut down pretty quick.
[00:17:32.296 --> 00:17:33.917]  So it'll be a historic thing to have.
[00:17:33.917 --> 00:17:48.543]  You'll only be able to fight them in the third dimension on the street with graffiti, with handbills you hand out, and with noncompliance, not paying taxes, and pulling your kids out of the schools, and just making it a full-time job to expose and fight and obstruct the criminal foreign takeover of America.
[00:17:48.823 --> 00:17:50.003]  We've gotten to that point.
[00:17:50.003 --> 00:17:51.104]  Biden for nursing home.
[00:17:51.104 --> 00:17:53.325]  I hope to retire Biden and that be a collector's item.
[00:17:53.325 --> 00:17:54.365]  Get it while you still can.
[00:17:54.365 --> 00:17:55.285]  We're not ordering more.
[00:17:55.285 --> 00:17:59.727]  Infowarstore.com.
[00:17:59.727 --> 00:18:13.812]  You're listening to the Alex Jones Show.
[00:18:13.812 --> 00:18:17.233]  So, General Nick Carter, the head of the UK military,
[00:18:18.396 --> 00:18:31.505]  Came out over the weekend, and he said the COVID-19 shutdown, not COVID-19, is already triggering mass starvation, huge conflicts, and regional wars that threaten to start a new world war.
[00:18:33.697 --> 00:18:44.503]  The United Nations has come out in the last eight months and said, oh, the COVID lockdown caused by COVID, no, it's caused by their lockdown, is already going to starve hundreds of millions if the chain reaction continues.
[00:18:44.503 --> 00:18:46.144]  But this goes on for a year.
[00:18:46.144 --> 00:18:50.286]  Well, it's already killed millions and now it's getting a lot worse.
[00:18:50.286 --> 00:18:51.767]  That's all part of the Great Reset.
[00:18:51.767 --> 00:18:54.468]  It's the cover for that.
[00:18:54.468 --> 00:19:00.772]  And now, Klaus Schwab, the head of the Davos Group, has come out and admitted this is to save the Earth.
[00:19:02.153 --> 00:19:09.017]  And in the middle class and in Western overconsumption and implode the third world.
[00:19:09.017 --> 00:19:12.539]  This is the population weapon.
[00:19:12.539 --> 00:19:16.961]  PSYOP, that's how I made the film Endgame 13 years ago.
[00:19:16.961 --> 00:19:19.382]  People ask, Alex Jones, how do you know all this?
[00:19:19.382 --> 00:19:20.843]  They tell you.
[00:19:20.843 --> 00:19:24.325]  We're going to cover this with Paul Joseph Watson and read the quotes next segment.
[00:19:25.404 --> 00:19:34.330]  And they've got the Major Archbishop coming out and explaining this is a health dictatorship and the cover for eugenics because that's what it is!
[00:19:34.330 --> 00:19:37.152]  Both articles are... absolutely go together.
[00:19:37.152 --> 00:19:38.753]  I sent both to Joe Rogan this morning.
[00:19:38.753 --> 00:19:41.275]  I sent both to Tucker Carlson this morning.
[00:19:41.275 --> 00:19:44.757]  And I just said, please, for my family and yours, cover this.
[00:19:44.757 --> 00:19:45.518]  Please.
[00:19:45.518 --> 00:19:46.198]  Please.
[00:19:46.198 --> 00:19:47.619]  Please.
[00:19:47.619 --> 00:19:53.964]  Sure, we can argue how COVID's exaggerated and overblown all day and how it's being used for big tech to consolidate power and how they've doubled their profits.
[00:19:56.292 --> 00:19:59.874]  That's the side issue, that's the gravy for these people.
[00:19:59.874 --> 00:20:11.242]  It's an admitted planetary bankruptcy plan to, quote, reset you where you are under their debt and where they control all private property that goes into a consortium.
[00:20:11.242 --> 00:20:17.666]  And those that don't submit to a forced inoculation and other social score rules will have your property taken and will be put in emergency centers.
[00:20:17.666 --> 00:20:22.689]  That's what the Archbishop's saying, not Alex Jones, because they're saying it.
[00:20:22.689 --> 00:20:23.750]  The UN's saying it.
[00:20:25.111 --> 00:20:28.093]  And it's already been beta tested, and you're like, well, that'll never happen in America.
[00:20:28.093 --> 00:20:33.897]  Once the left figures out they're in a depression, they're going to blame Trump and his COVID response, not the lockdown.
[00:20:33.897 --> 00:20:35.378]  The left will do anything.
[00:20:35.378 --> 00:20:39.320]  The worse off they get, the more they grovel, the more they beg.
[00:20:39.320 --> 00:20:44.603]  The more it's taken away from them with Stockholm Syndrome, the more they don't think about who did it to them.
[00:20:44.603 --> 00:20:47.825]  They listen to the biggest, meanest abuser and say, what do I do to get out of this?
[00:20:47.825 --> 00:20:48.386]  And they're going to say,
[00:20:51.260 --> 00:20:53.843]  Follow our total social edicts.
[00:20:53.843 --> 00:20:56.365]  Do whatever we say.
[00:20:56.365 --> 00:20:57.866]  Send your children for re-education.
[00:20:58.871 --> 00:21:00.211]  White people are bad.
[00:21:00.211 --> 00:21:01.672]  Turn your boys into girls.
[00:21:01.672 --> 00:21:03.892]  This is the plan for depopulation.
[00:21:03.892 --> 00:21:04.652]  The takeover.
[00:21:04.652 --> 00:21:18.176]  All these guys live on mountaintops like literal Mount Olympus and Davos mountaintops and fly around in the jets above us and never talk to us in that huge 100,000 acre, 50,000 acre estates like Ted Turner.
[00:21:18.176 --> 00:21:22.717]  He has five kids, but you can't have any kids and you can't have a small house.
[00:21:22.717 --> 00:21:24.497]  It's sick.
[00:21:24.497 --> 00:21:27.558]  But it's what every culture ran on before Magna Carta.
[00:21:28.797 --> 00:21:29.938]  Feudalism.
[00:21:29.938 --> 00:21:31.199]  Serfdom.
[00:21:31.199 --> 00:21:32.300]  That's what we're going back into.
[00:21:32.300 --> 00:21:32.980]  And the U.N.
[00:21:32.980 --> 00:21:37.744]  says they want neo-feudalism to save the Earth in documents from the 60s.
[00:21:37.744 --> 00:21:40.005]  That's in my film, America Destroyed by Design.
[00:21:40.005 --> 00:21:41.967]  But now we're not telling you what's coming.
[00:21:41.967 --> 00:21:43.508]  Everything's been prepared for this.
[00:21:43.508 --> 00:21:49.012]  Because now they have the A.I., now we've all got the phones, now we're all tracked, now we're domesticated.
[00:21:49.012 --> 00:21:52.395]  Now we watch 10 hours of Netflix every day.
[00:21:52.395 --> 00:21:53.916]  And so they're making their move.
[00:21:53.916 --> 00:21:57.258]  But the Archbishop and others, I agree, say that we don't have a choice.
[00:21:57.258 --> 00:21:57.879]  We must fight back.
[00:21:58.834 --> 00:22:00.915]  The more you give in, the worse it gets.
[00:22:00.915 --> 00:22:02.875]  Resistance is victory.
[00:22:02.875 --> 00:22:07.457]  Here is the top head of the UK military talking about this.
[00:22:07.457 --> 00:22:10.337]  The full interview is at Infowars.com.
[00:22:10.337 --> 00:22:17.860]  The global economic crisis brought on by coronavirus could lead to new security threats, potentially even war.
[00:22:18.991 --> 00:22:25.596]  Yes, I mean, I think, you know, we're living at a moment in time where the world is a very uncertain and anxious place.
[00:22:25.596 --> 00:22:31.181]  And, of course, the dynamic of global competition is a feature of our lives as well.
[00:22:31.181 --> 00:22:39.047]  And I think the real risk we have with quite a lot of the regional conflicts that are going on at the moment is you could see escalation lead to miscalculation.
[00:22:39.047 --> 00:22:40.608]  And that's the thing I think we have to guard against.
[00:22:40.990 --> 00:22:42.011]  Miscalculation.
[00:22:42.011 --> 00:22:44.173]  Can you just spell that out in easy language?
[00:22:44.173 --> 00:22:45.274]  What does that mean?
[00:22:45.274 --> 00:23:02.468]  So what that means is that the protagonists, either because they don't realise the implications of their actions, lead to an escalation, which means that more people perhaps get involved, more weaponry gets involved, and before you can contain it, it leads to the sides ending up in a full-blown war.
[00:23:02.468 --> 00:23:07.912]  And if that happens, as we saw in the last century, I mean, we have to remember, history might not repeat itself, but it has a rhythm.
[00:23:07.912 --> 00:23:09.434]  And if you look back at the last century,
[00:23:10.054 --> 00:23:19.282]  Before both world wars, I think it was unarguable that there was escalation that led to the miscalculation, which ultimately led to war at a scale we would hopefully never see again.
[00:23:19.282 --> 00:23:22.925]  Global starvation, war, all of it.
[00:23:22.925 --> 00:23:26.988]  Oh, but guess who's going to head up Biden's new coronavirus task force?
[00:23:26.988 --> 00:23:38.377]  Ezekiel Emanuel, who went on Fox News and said he helped write Obamacare to bankrupt the US system and force us onto a single-payer socialist system.
[00:23:38.377 --> 00:23:38.758]  That's right.
[00:23:39.858 --> 00:23:40.238]  There it is.
[00:23:40.238 --> 00:23:40.799]  Flashback.
[00:23:40.799 --> 00:23:43.161]  Obamacare architect.
[00:23:43.161 --> 00:23:47.764]  ACA designed to implode, destroy insurance companies.
[00:23:47.764 --> 00:23:52.148]  And now, the very same guy believes in eugenics and euthanizing old people.
[00:23:52.148 --> 00:23:55.390]  Wrote an article in 2014 with The Atlantic.
[00:23:55.390 --> 00:23:56.932]  Ezekiel Emanuel.
[00:23:56.932 --> 00:24:00.695]  Why I hope to die at 75.
[00:24:00.695 --> 00:24:03.577]  What he means is we're going to kill old people at 75.
[00:24:03.577 --> 00:24:04.438]  That's the eugenics plan.
[00:24:05.731 --> 00:24:12.473]  That's who's going to be now over the COVID thing, because, oh, like Bill Gates wants to depopulate you, but he has a shot to make you live longer.
[00:24:12.473 --> 00:24:21.477]  And Ezekiel wants to bankrupt the country, and now he's over COVID, which is designed to keep us locked down and imploded.
[00:24:21.477 --> 00:24:26.298]  The cult's making their move, but everybody likes to wear the mask and be heroes.
[00:24:26.298 --> 00:24:27.899]  That's your first sign that you're in the cult.
[00:24:28.903 --> 00:24:31.486]  First sign of total subservience.
[00:24:31.486 --> 00:24:37.373]  Coming up, globalist Klaus Schwab, world will quote never return to normal after COVID.
[00:24:37.373 --> 00:24:40.296]  No more police, no more meat, no more travel.
[00:24:40.296 --> 00:24:41.518]  You'll be lucky if you're alive.
[00:24:41.518 --> 00:24:42.699]  Wait till I read it.
[00:24:42.699 --> 00:24:43.440]  And you're going to enjoy it.
[00:24:43.440 --> 00:24:44.021]  You're going to bow down.
[00:24:44.021 --> 00:24:44.781]  You love it.
[00:24:44.781 --> 00:24:48.386]  Archbishop writes open letter to Trump warning of COVID health dictatorship.
[00:24:48.826 --> 00:25:01.055]  Top doctors in UK, hundreds write letter wearing a fear machine, dictatorial takeover, on and on and on because, oh but they're the professionals, but Biden says he'll only listen to medical experts.
[00:25:01.055 --> 00:25:03.616]  You mean the ones that come like Ezekiel Emanuel?
[00:25:03.616 --> 00:25:06.659]  Dr. Ezekiel Emanuel?
[00:25:06.659 --> 00:25:08.380]  Our new Dr. Deaths here!
[00:25:12.543 --> 00:25:18.345]  It's all, oh, but look, American billionaires got $434 billion richer during the pandemic.
[00:25:18.345 --> 00:25:20.186]  Yes, it's that great reset.
[00:25:20.186 --> 00:25:28.309]  And, you know, they've got giant super yachts and jumbo jets, but you get nothing.
[00:25:28.309 --> 00:25:29.650]  And it's for the earth, so it's better.
[00:25:29.650 --> 00:25:30.690]  It's their earth now.
[00:25:30.690 --> 00:25:32.091]  They're going to clean you off.
[00:25:32.091 --> 00:25:37.493]  They took it over through fraud and scams, and now they've got election fraud, and you're not going to do anything, so they're just going to brush you off.
