[00:00.000 --> 00:18.000]  Waging war on corruption, it's Alex Jones coming to you live from the front lines of the info war.
[06:23.000 --> 06:52.000]  It's Monday, July 15, 2019. I'm your host, Alex Jones, and we are living in incredible times.
[06:52.000 --> 07:04.000]  A man, as you know, Saturday, firebombed an ice facility in Tacoma, Washington and tried to shoot the police, tried to blow up a giant propane tank,
[07:04.000 --> 07:13.000]  but if it would have detonated, it could have killed hundreds of people right through the wall on the other side. A huge tank. He was killed.
[07:13.000 --> 07:22.000]  Antifa is having celebrations all over Twitter and public demonstrations from Austin, Texas to Tacoma, Washington to New York City,
[07:22.000 --> 07:31.000]  calling him a soldier and a hero and saying, it's time to start killing. In his manifesto, he said, it's time to stop thinking.
[07:31.000 --> 07:36.000]  It's time to get your weapons and to start killing police and ice.
[07:36.000 --> 07:48.000]  I've got his manifesto, I've got his quotes, I've got an inch of tweets by official Twitter accounts and Facebook accounts saying now start killing law enforcement.
[07:48.000 --> 07:55.000]  Walk up to police, shoot them in the back of the head, kill ice. We went out to demonstrations for illegal aliens.
[07:55.000 --> 08:08.000]  This weekend in Austin, they were wearing shirts showing the physical attack and killing of ice. This is very serious situation.
[08:08.000 --> 08:22.000]  And it turns out CNN actually did a fundraiser on national TV for the John Brown Gun Club, the militarized arm of Antifa and openly funded it.
[08:22.000 --> 08:36.000]  You cannot make this up. Here's the CNN show that specifically did it and did a fundraiser. W. Camus Bell, United Shades of America,
[08:36.000 --> 08:45.000]  fundraised one month ago for the group.
[08:45.000 --> 08:55.000]  We're going to be breaking it all down today. I was removed off of Twitter when they said that I said get battle rifles and attack the media.
[08:55.000 --> 08:59.000]  They never showed a clip. They never showed a quote. They just said that.
[08:59.000 --> 09:08.000]  They took out of a 38 minute live feed I did an emergency message to the president where I showed Antifa saying, we're going to come to congressman's houses.
[09:08.000 --> 09:16.000]  The life they did to the baseball field was a police. We're going to shoot Republicans. We're going to kill Republican police chiefs.
[09:16.000 --> 09:27.000]  We're going to come to members of the media's houses and kill them in actions way more violent than we did at Tucker Carlson's house.
[09:27.000 --> 09:30.000]  That was the week they did that.
[09:30.000 --> 09:38.000]  Lester Holt, everyone went on TV and said, Alex Jones just said in a shocking video, get battle rifles, kill the media.
[09:38.000 --> 09:49.000]  Statue of limitations is not up on that. And I can tell you that's one of the five suits we're set to file in the next month is against Lester Holt and NBC.
[09:49.000 --> 09:51.000]  These criminals know what they're doing.
[09:51.000 --> 10:02.000]  But you see, when I said have your battle rifles ready in place, Antifa comes to your house. If you're a conservative member of Congress, if you're a conservative governor, if you're in ICE, if you're in federal law enforcement,
[10:02.000 --> 10:11.000]  you should have your battle rifle ready because I have mine ready and we've had specific threats by Antifa that I haven't gotten to on air.
[10:11.000 --> 10:16.000]  And I've had around the clock former Blackwater folks at my house.
[10:16.000 --> 10:25.000]  It's been expensive. It's been fairly priced. But when I made those statements, it was because I'm actually dealing with this.
[10:25.000 --> 10:32.000]  I'm going to stop there. I've actually moved because of it. And I'm going to stop there.
[10:32.000 --> 10:42.000]  But when I said that it was because these bastards, and they know full well who they are, they've got people inside the police departments, inside the FBI, you name it, they can dox anybody.
[10:42.000 --> 10:47.000]  Where I lived was not under my name.
[10:47.000 --> 10:51.000]  So when I said that, it was warning everyone to be prepared to defend yourselves.
[10:51.000 --> 10:58.000]  And these monsters saw that as a threat because they're planning to come to your house. They've got a battle plan.
[10:58.000 --> 11:06.000]  Now, that's since come out mainstream news. Remember a month ago, ICE put out a intelligence report to the FBI saying we have confirmed and infiltrated Antifa groups.
[11:06.000 --> 11:16.000]  They are doxing ICE commanders homes and planning to come there and kill them.
[11:16.000 --> 11:33.000]  I told you all this because I'm experiencing it and I'm not a victim. I'm a target because I'm effective and I am a loyal American who loves my country and believes in a good open free society.
[11:33.000 --> 11:41.000]  And the globalists and the Chai comms are funding our collapse. They have funded thousands of caravans, tens of millions of people, hundreds of thousands a month they're catching.
[11:41.000 --> 11:48.000]  The border patrol is totally overwhelmed. It's an incredible job providing amazing security and care for these people.
[11:48.000 --> 11:52.000]  And the laws are wrong. So they're releasing 90% of these people.
[11:52.000 --> 12:05.000]  Then Ann Coulter gets in cheap shots about how they're not, you know, doing enough. Trump passed for 12 plus billion. He got a billion three. He just got four more billion. That's only half of what we need.
[12:05.000 --> 12:11.000]  It's a 635% increase in three years. We're under attack.
[12:11.000 --> 12:25.000]  And then you get people coming into this country like Ilhan Omar, bred and trained to hate this country, coming into conquer it from the most failed state in the world, Somalia, who believes it has a divine right to rule the world.
[12:25.000 --> 12:32.000]  By Somalia can't ever get its act together because everybody's a king. Everybody's royal. Everyone's a noble. Everyone has a right to rule.
[12:32.000 --> 12:36.000]  That's what I'm trying to take over Ethiopia and Sudan.
[12:36.000 --> 12:41.000]  Nobody wants to work. They don't want to just run around and be the boss.
[12:41.000 --> 12:50.000]  The genetics is pure arrogance, just like the Palestinians.
[12:50.000 --> 13:01.000]  And their sickening entitlement works with the leftist mindset perfectly. And she's here. I've got countless clips saying America's not good. It's terrible. She'll teach us how to be great.
[13:01.000 --> 13:07.000]  I mean, these are some sickening clips, how it's concentration camp guards and they've got to be dealt with. They've got to be eliminated.
[13:07.000 --> 13:18.000]  And then it starts happening. You start trying to kill the border patrol as the nation's under attack, the most open border in the world.
[13:18.000 --> 13:33.000]  And Trump wades in perfectly knowing that there's already a fissure in the Democratic Party between Nancy Pelosi and the leftist. There was a perfect cartoon last week I meant to show you. See if you guys can pull it up.
[13:33.000 --> 13:38.000]  I think Adon Salazar tweeted it. Salazar was on Adon's tweet, one of our writers. Yeah, it was Adon's.
[13:38.000 --> 13:54.000]  Where it shows Pelosi's paving this road to globalism, communism, world government. But the cement isn't dry yet. And here's Ilhan Omar and Tlaib and AOC, like little kids racing across the wet concrete, messing up the road.
[13:54.000 --> 14:07.000]  That's exactly, that's the perfect allegory, the perfect analogy. In fact, I even said last week that she's paving the road to the New World Order and then they're pissed at her, who's actually paving the road for them.
[14:07.000 --> 14:22.000]  So Trump sees this division, Trump sees this fissure, Trump sees what's happening, and he sees how America hating all these people are. So he comes out and he attacks Ilhan Omar and says you ought to go back to the country you came from in singular.
[14:22.000 --> 14:42.000]  And CNN, of course, to make a deception, said he called all four women foreigners, and so they should all four go back when he said you Congresswoman need to go back to the hellhole country, the worst in the world you came from, which is true.
[14:42.000 --> 14:47.000]  Unbelievable, ladies and gentlemen.
[14:47.000 --> 14:53.000]  So Trump has made the right move and he's way ahead. Trump's 20 points ahead of everybody.
[14:53.000 --> 15:14.000]  Just as I told you three years ago on the election and they've got new polls. Trump trails Biden Warren Sanders in new NBC News, Wall Street Journal poll. So the weak minded still believe they're the majority and think, oh, he's losing. We're winning. Let's stay on the bandwagon.
[15:14.000 --> 15:27.000]  And you go to a Democrat event, an anti event. It looks like people that escaped from mental institution. You were driving down the road and you see somebody at a four way stop or at a street light and they're talking themselves looking crazy.
[15:27.000 --> 15:40.000]  They got the look. But all these people have the look of mental patients, but that's who they are. The truth is the Democrats engage in election fraud in every area they control their criminal group.
[15:40.000 --> 15:50.000]  The truth is the Democrats have about 30% support in voters. It's not 50. It's all rigged for them. No one likes them. Everyone hates them.
[15:50.000 --> 15:59.000]  Maybe 20% of the population nationally likes them and they're the biggest losers there are for their parasite controllers.
[15:59.000 --> 16:10.000]  Most of you know that heart disease is the number one silent killer in the U.S. What if I told you for just 54.95 a month you could fight against heart disease naturally at heart and body extract.
[16:10.000 --> 16:22.000]  We've been helping thousands of people get back to a healthier heart. Don't just take my word for it. Check out all of the success stories at HBXTrack.com or to order call 866-295-5305.
[16:22.000 --> 16:29.000]  866-295-5305. HBXTrack.com. Don't risk it when you can take charge of it.
[16:52.000 --> 17:10.000]  Attention GCN self-reliance listeners. If you've ever wanted an emergency solar survival backup system that we're waiting for prices too crazy to pass up, this will be the most important message you'll ever hear.
[17:10.000 --> 17:24.000]  Bill Hyde here and I want to tell you about a huge sale with historically low prices on our PPX microgrid system that's going to let you produce an endless supply of electricity off the grid. The clearance price is a result of the historic flooding we're having here right on the east bank of the Mississippi.
[17:24.000 --> 17:36.000]  Because of the flooding, we've had to move a lot of our inventory to a temporary location and rather than move it back to the warehouse, we thought we'd offer the system at a price that might seem unbelievable if you didn't know the floodwater's backstory.
[17:36.000 --> 17:48.000]  So here's what you should do right now. Check out the PPX microgrid system at myownpowergrid.com. That's myownpowergrid.com. Over $1,000 in great off the grid gear and a ton of bonuses too.
[17:48.000 --> 18:08.000]  In the best part, you're not going to pay $750 or $500 or even $200. Go to myownpowergrid.com to learn more. That's myownpowergrid.com.
[18:18.000 --> 18:22.000]  That's the only way that they could defeat him in the eyes of the public approaching 2020.
[18:22.000 --> 18:28.000]  That's it. I mean, if Trump buys into this, it'll be the end of his presidency. It's the only way I think he can be defeated other than assassinating him.
[18:28.000 --> 18:30.000]  It's a time to be praying, my friend.
[18:30.000 --> 18:36.000]  I agree entirely. And the last thing I just want to say, Alex, is I know they're trying to shut you down, but the reinforcements have arrived, man.
[18:36.000 --> 18:41.000]  I would love to see you on air until you're 80 years old. I would love to see what you're talking about when you're 80.
[18:41.000 --> 18:50.000]  If they do shut you down, no, you've gone into this war, you've won a lot of battles, and there are a lot of people like myself and many others who are going to continue.
[18:50.000 --> 18:58.000]  We're going to keep fighting in the Info War, and even if something does happen to you or your show, know for a fact that you've gotten a lot of people fired up for liberty.
[18:58.000 --> 19:00.000]  Thank you, sir, for calling.
[19:00.000 --> 19:15.000]  The globalists are hyper-competitive, scientific dictators. They are technocrats. They are control freaks in their own words, and they believe allowing you to live your own life and make your own decisions gets to the way of their great destiny to merge with AI gods.
[19:15.000 --> 19:19.000]  Now, we're fighting them hard in cyberspace. We're fighting them hard right here in the third dimension.
[19:19.000 --> 19:31.000]  But one of the biggest places that we neglect to forget that we've really got a lot of control in our lives is our bodies. If I wasn't taking the highest quality supplements from ForrestLive.com, I couldn't do it.
[19:31.000 --> 19:41.000]  That's why we decided to take our original Secret 12 that was incredibly high quality medical bottleman and double the strength of it in a new formula, Ultra 12.
[19:41.000 --> 20:00.000]  Ultra 12 is undoubtedly the strongest, highest quality B12 over the counter that you're going to find anywhere. It is amazing. Experience pure medical bottleman B12 for yourself and fund the Second American Revolution against the tyrants at InfoWarsStore.com, InfoWarsLive.com, or AAA-253-3139.
[20:12.000 --> 20:36.000]  Welcome back. I'm Alex Jones, your host on this very important Monday, July 15, 2019, global broadcast. I am your host, Alex Jones.
[20:36.000 --> 20:48.000]  Now, coming up, we have a gentleman from the three percenters out in Washington who has actually been around and been confronted by the firebombing terrorist that attacked the ICE facility.
[20:48.000 --> 21:00.000]  He'll be joining us. Stuart Rhodes will be in studio, founder of Oath Keepers, breaking all this down. They actually had the manifesto before Jack Pasobic did. That's how on the job they are will be going over the manifesto.
[21:00.000 --> 21:10.000]  And I'm going to get back into Ilhan Omar and how smart it is, and how it's the right thing to do, to call the bluff of the left. Ilhan Omar is talking about how much America sucks, show her other cohorts.
[21:10.000 --> 21:19.000]  She came here fraudulently, married her brother, was on welfare the whole time, then engaged in tax fraud, which she admitted to and paid a fine for.
[21:19.000 --> 21:33.000]  The woman is a slug. She comes from a failed state. If you come here from Somalia and you embrace America, great, I embrace you. But I statistically have seen the numbers on many Somalis, and they say they want to go back to Somalia.
[21:33.000 --> 21:45.000]  America sucks. There's a lot of violence against other fellow Americans because they don't see this as their Islamic wonderland. They believe they are the superior master group to rule the earth.
[21:45.000 --> 21:58.000]  Well, go back and rule Somalia where you're constantly killing each other over control. Two types of civilization. Those that exist and those don't. One is based on Renaissance. The other is based on conquest.
[21:58.000 --> 22:05.000]  Now, let's get right into it.
[22:05.000 --> 22:34.000]  Again, Info Wars is next year's news today. I was completely banned off of the major platforms a year ago, August 6th. I was 86th on 86th by all the big tech platforms because I was on air calling for criminal investigations of Google and Apple specifically for international spying, espionage and treason.
[22:34.000 --> 22:52.000]  In fact, there is the August 7th article in Real Clear Politics. Alex Jones and Donald Trump, you need to blow the whistle on Chinese Communist infiltration of Silicon Valley Democratic Party. In fact, let's grab that video.
[22:52.000 --> 23:03.000]  And I was on air for one month solid saying I don't care what happens to me. They're on the Chinese payroll, red alert, maximum alert.
[23:03.000 --> 23:10.000]  That is what we issued was a red alert pointing out that we exposed treasons. We were under attack.
[23:10.000 --> 23:22.000]  Peter Thiel spoke to a group of conservatives yesterday closed or transcript is available. It's at Fox News and Bloomberg and Axios.
[23:22.000 --> 23:35.000]  He said Peter Thiel says FBI CIA should probe Google. He goes on to say they shouldn't do it gently that they are under CHICOM control and that it's a well-known fact in Silicon Valley.
[23:35.000 --> 23:46.000]  They're actively working to bring down the U.S. Obama and Hillary authorized the deal eight years ago.
[23:46.000 --> 23:55.000]  Peter Thiel investigated Google for treason, aiding Chinese military, spies infiltrated. Now, that's a fact, by the way.
[23:55.000 --> 24:07.000]  And I've laid all the evidence out at Nausiems. You want to know why I got smashed first? It's called leadership, leadership.
[24:07.000 --> 24:17.000]  Everyone that we talked to that attended the conference on censorship in the White House Thursday said in full wars raise the alarm first.
[24:17.000 --> 24:30.000]  And that was the leadership. Well, the truth is that's not accurate. Matt Drudge raised the alarm first a decade ago and then four years ago in this studio standing right there off camera.
[24:30.000 --> 24:41.000]  And it is about credit because we need to give people credit that are trailblazers and have the will to hit the bar bar first and take the attacks that you see above ground and below ground.
[24:41.000 --> 24:51.000]  Because believe me, for any attack you see on the surface, it's real fun behind the scenes. But you know what? It is fun because we're going to expose the globalists trying to bring in authoritarianism.
[24:51.000 --> 24:58.000]  It always looks like evil is going to win until good people stand up and then it reverses. And we're in that reversal period right now.
[24:58.000 --> 25:14.000]  But I specifically, in the weeks leading up every day, hammered Google and Apple. And I laid out how they moved to China, how they gave all their codes to it, how they officially put their main servers there and the Apple code keys.
[25:14.000 --> 25:22.000]  So of course, Tim Cook at Apple and the heads of Google all got together and said, we got to shut this son of a bitch up. Guess what?
[25:22.000 --> 25:40.000]  I sat in my living room with my father a month before and I said, father, I have had a vision and my vision and mathematical and key algorithm Schumann system where I said, I'm going to press the attack and call for their arrest.
[25:40.000 --> 25:51.000]  And they're going to ban me. And out of that, we will be at the fulcrum point to have even more influence with real thinkers as we go into this because I envision total bannings within a year of everybody else.
[25:51.000 --> 26:00.000]  Why shouldn't I just be first up front? He said, if you think you know what you're doing, execute. And I executed. And it's all unfolding as we have foreseen it.
[26:00.000 --> 26:11.000]  Now, I say that not as some weird metaphysical thing. Our brains are powerful. And when you've built systems and worked hard, and at the heart of the resistance, you're able to then understand the future.
[26:11.000 --> 26:21.000]  And if you become a history's actor and you get involved and engaged, nothing can stop you. This Republic is back from the dead on its feet in a fight for its life.
[26:21.000 --> 26:34.000]  Now, here we are confronting the puppet head of Google under alphabet Sundar. Just what six, seven, eight months ago, letting him know he bet on the wrong country.
[26:34.000 --> 26:41.000]  And now his arrogance is drained away to fear.
[27:05.000 --> 27:12.000]  And again, a horse, a horse, a kingdom for my horse. We kind of went through this eight, nine months ago, and it all happened. It was like five different camera angles.
[27:12.000 --> 27:27.000]  Way down the hall, he comes in. And as he comes down the hall, I say, you bet on the wrong country, Sundar, and you're going down for your treason with the dragonfly project.
[27:27.000 --> 27:40.000]  And by the end of the day, I'm going to have that full clip for you. It was shot from five different cameras. It's very powerful. And we're going to have that. In fact, here's a clip from an earlier piece we have where I point out the treason.
[27:40.000 --> 27:50.000]  We're aware of his lying to Congress. We're aware of him in the dragonfly project that's already been operational for years inside the Chinese government. Now it's just being rolled out to general public.
[27:50.000 --> 27:58.000]  There is an absolute all out war on conservative free speech.
[28:20.000 --> 28:28.000]  This guy is a threat to the Republic.
[28:28.000 --> 28:36.000]  British anti-Islamization activist Tommy Robinson has had his Twitter account suspended again after he tweeted that Islam promotes killing.
[28:36.000 --> 28:47.000]  Also Twitter purged various libertarian accounts. Instagram temporarily banned Tommy Robinson. Facebook took down a GOP candidates ads for allegedly being offensive.
[28:47.000 --> 28:51.000]  The FCC is cracking down on conspiracy theorist Alex Jones.
[28:51.000 --> 28:54.000]  They're coming for everyone's speech. It's criminal.
[28:54.000 --> 29:20.000]  Social media accounts are being banned, blocked and canceled on Twitter.
[29:20.000 --> 29:41.000]  10,000s of people's lives across America.
[29:41.000 --> 30:00.000]  Order your two month supply today by calling 866-295-5305. That's 866-295-5305 or order online hbextract.com, heart and body extract 866-295-5305 or hbextract.com.
[30:00.000 --> 30:11.000]  As we witness the most disastrous geological activity in recorded history, the globalists are backed into a corner and the leftists are pushing for civil war.
[30:11.000 --> 30:18.000]  Borders are being broken and sovereignty is being challenged. The world is going to change.
[30:18.000 --> 30:25.000]  And how it changes will likely be decided by those who are prepared to stay strong when the system fails.
[30:25.000 --> 30:34.000]  The system is vulnerable. Electricity could be gone in an instant and grocery stores could be empty in three days.
[30:34.000 --> 30:41.000]  Having storable foods and the ability to purify water will give you a fighting chance in the next level.
[30:41.000 --> 30:47.000]  And being without puts you at the mercy of others or makes you a slave to a dying system.
[30:47.000 --> 30:55.000]  Buy storable foods and an Alexa pure gravity water filter today. Support mankind by being prepared.
[30:55.000 --> 31:01.000]  And support freedom by buying from infowarsstore.com.
[31:01.000 --> 31:06.000]  It's never been easy to figure out the essentials of a new supplement routine.
[31:06.000 --> 31:14.000]  That's why we created the 8 pack power stack. Your go to option for the building blocks of a successful approach to supplementation.
[31:14.000 --> 31:22.000]  This one stop shop for those looking to simplify or adjust their routine is perfect for new and old info warriors alike.
[31:22.000 --> 31:29.000]  With the 8 pack power stack, there's no trial and error, messy bottles laying across the counter or 20 minute morning habits.
[31:29.000 --> 31:43.000]  Just take the wake up and work or rest and recover packs each day for quick, easy to use and conveniently accessible formulas to help you reach your peak without the deep supplement knowledge, stacks of bottles and complicated routine.
[31:43.000 --> 31:47.000]  Featuring 8 different formulas for a total take on your health and wellness.
[31:47.000 --> 31:52.000]  You can find what you like and get even more powerful versions in the store.
[31:52.000 --> 32:00.000]  Head to infowarsstore.com and check out 8 pack power stack today and jumpstart your supplement routine.
[32:00.000 --> 32:02.000]  Robert Barnes, what does Big Tech become?
[32:02.000 --> 32:11.000]  Big Tech are big babies that have become big bullies and the way they did so is because they face no consequence of social, economic, political or legal for their illicit activities over two decades.
[32:11.000 --> 32:19.000]  And because of that, that's why the courts, the judges, the juries, the members of the independent free press that care about this, the ordinary members of the public and the audience that care about this
[32:19.000 --> 32:24.000]  have to bring real social, political, economic consequence to their course of conduct, otherwise they will never change.
[32:24.000 --> 32:34.000]  And they will become the big tech oligarchs, the equivalent to the big trust of the 19th century who ran American politics and ran American economy almost into the ground until we were able to recover after the Great Depression.
[32:34.000 --> 32:44.000]  The infowars audience is the fuel that flames the light of liberty across the world to make real the actions of independent free speech, to make real the original promise of an independent free press.
[32:44.000 --> 32:51.000]  Real collusion is Big Tech and Big Media manipulating and working with each other to try to meddle with elections, to try to shake people's thoughts.
[32:51.000 --> 32:54.000]  And then the whopper of telling us the whole time it's not happening.
[32:54.000 --> 33:00.000]  It's the ultimate form of gaslighting. What you just saw isn't what you just saw. Even it is what you just saw.
[33:00.000 --> 33:06.000]  You're listening to the Alex Jones show.
[33:14.000 --> 33:19.000]  You are listening to an infowars.com frontline report.
[33:19.000 --> 33:32.000]  If you are receiving this transmission, you are the resistance.
[33:32.000 --> 33:43.000]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[33:43.000 --> 33:49.000]  All right, ladies and gentlemen, we have the raw clip. I was just mentioning of where I confronted the head of Google in Congress.
[33:49.000 --> 33:54.000]  Then we're going to go to our guest with breaking news on the firebombing attack.
[33:54.000 --> 34:03.000]  We also have a real clear politics video from a year ago where I said that Google and Apple should be investigated for espionage for the Communist Chinese.
[34:03.000 --> 34:14.000]  Now, Peter Thiel says FBI CIA should probe Google. They basically already have moved to China and worked for China and were involved in election meddling inside the United States.
[34:14.000 --> 34:19.000]  Now, the Democrats can say they can violate free speech. Okay, can they work for the Communist Chinese?
[34:19.000 --> 34:23.000]  How about coming illegally spy on the American people?
[34:23.000 --> 34:30.000]  So, again, I didn't just make this stuff up. They've moved to China. They've given them your Apple code keys.
[34:30.000 --> 34:37.000]  They've given them the keys to the cloud. This country was signed over by Obama to the Chicoms, but it's all coming to a head.
[34:37.000 --> 34:43.000]  Here I am confronting the head of Google, telling him he bet on the wrong country and is a traitor.
[34:43.000 --> 35:03.000]  Sundar, you know Google is helping China with dragon flying. You know that they're helping censor and you know who told this country out.
[35:03.000 --> 35:11.000]  Sundar, you're engaged in treason. You've had Google executives lie to Congress that you're not censoring conservatives. Sundar, you will not silence the people.
[35:11.000 --> 35:21.000]  Your censorship will not work anymore, Sundar. We're aware of your activities trying to muzzle the American people and gaming your search results.
[35:21.000 --> 35:34.000]  Google is evil. Google is evil. Google is evil. Google is evil. Google is evil. Google is evil. Google is evil.
[35:34.000 --> 35:49.000]  Google is going to lie again and violate the law and violate the law.
[35:49.000 --> 35:55.000]  You're in a public hallway. You're going to be arrested. That's enough. You're making too much noise.
[35:55.000 --> 35:57.000]  So Google's not evil, though, officer?
[35:57.000 --> 35:59.000]  I'm not saying that. Just control yourself.
[35:59.000 --> 36:00.000]  Okay.
[36:00.000 --> 36:01.000]  Get under control now.
[36:01.000 --> 36:02.000]  I'm under control, officer. Thank you.
[36:02.000 --> 36:06.000]  He's taking my free speech away and lied about me, so I need to stand up now.
[36:06.000 --> 36:07.000]  I'm not worried about that right now.
[36:07.000 --> 36:11.000]  They're going to talk about me in this committee. They're going to talk about me in this committee. I will be talked about.
[36:11.000 --> 36:14.000]  So what am I supposed to do? I don't get a day in court.
[36:14.000 --> 36:21.000]  And I was talked about. Okay. Let's go to the real clear politics clip from the day after I was banned off the Internet.
[36:21.000 --> 36:26.000]  Last year where I said it's China controlling Google and Apple, they must be criminally investigated.
[36:26.000 --> 36:33.000]  Now they talked about the highest level national conservative conference with Peter Thiel and Trump and everybody else.
[36:33.000 --> 36:42.000]  Here it is, ladies and gentlemen, you know about it when I'm getting banned or shadow banned because I'll make a big deal about it.
[36:42.000 --> 36:50.000]  Matt Gates was shadow banned and we told him two weeks before Roger Stone told him on the phone and in text messages.
[36:50.000 --> 36:52.000]  We've run you through their system.
[36:52.000 --> 36:57.000]  We have sites that look at this. We're sending links. You're already 90% banned on Twitter.
[36:57.000 --> 37:03.000]  Gates went up during the committee hearing and said, you're a private company. You can do whatever you want, not even getting it.
[37:03.000 --> 37:07.000]  So the next day they shadow banned him 99%.
[37:07.000 --> 37:12.000]  They go, this guy's an idiot. We all just lied to him and said, we don't censor any conservatives.
[37:12.000 --> 37:16.000]  He said, that's fine. Just don't talk about killing congressmen.
[37:16.000 --> 37:22.000]  And the next day they banned him down to nothing. Then he said he felt victimized and I'm not trying to put Matt Gates down.
[37:22.000 --> 37:26.000]  Just come on, man. Get it together. Figure out what's going on.
[37:26.000 --> 37:31.000]  Mainstream corporate media is fake news. They're the enemy of the American people, like the president said.
[37:31.000 --> 37:34.000]  And now they're coming after everybody.
[37:34.000 --> 37:40.000]  Now, if you want to get into the real reason all this is happening, I know it's demoralizing.
[37:40.000 --> 37:45.000]  I don't want to demoralize people, but facts are facts like having cancer. It's operable. We can fix it, Mr. President.
[37:45.000 --> 37:50.000]  You know the Office of Personnel Management was done by insiders. That's even come out in intelligence reports.
