[00:00:08.604 --> 00:00:10.165]  It's all a PSYOP.
[00:03:26.716 --> 00:03:33.820]  So tonight, I am addressing the general enlisted, the non-commissioned, and the commissioned officers.
[00:03:34.639 --> 00:03:38.640]  Now, high-level commissioned officers pretty much have the whole picture.
[00:03:38.640 --> 00:03:40.480]  They're not compartmentalized.
[00:03:40.480 --> 00:03:57.924]  That's why you've seen a major purge of hundreds of generals and thousands of other officers, the biggest in modern history, because they wouldn't go along with the litmus test of accepting what the globalists wanted to do with our military, turning it into a domestic control force over the people.
[00:03:59.110 --> 00:04:09.742]  The reason I'm addressing the Southern Command and others directly tonight is because Joe Biggs and others in our office have been contacted and basically told to back off and shut up.
[00:04:09.742 --> 00:04:17.211]  Military.com, Stars and Stripes, foreign newspapers, you name it, have all come out in the last 24 hours and attacked us.
[00:04:18.212 --> 00:04:30.145]  Bloomberg has attacked us by name, the Daily Beast, you name it, and even then linked to other people's news reports that are discredited in an attempt to make us look like liars.
[00:04:30.145 --> 00:04:33.048]  So there's a major psy-op going on.
[00:04:33.048 --> 00:04:36.231]  They just legalized last year domestic psy-ops to be carried out.
[00:04:36.271 --> 00:04:38.312]  That is a 15-minute special report.
[00:04:38.312 --> 00:04:40.133]  We just aired four and a half minutes of it.
[00:04:40.133 --> 00:04:55.163]  The full report that you need to send directly to military personnel so they're decompartmentalized is posted in the featured news section of InfoWars.com titled, Pentagon Army Engage in PSYOP Against American People.
[00:04:55.163 --> 00:04:57.824]  We've now had the Army Times come out and name us.
[00:04:57.824 --> 00:04:58.565]  It's all coming up.
[00:05:00.185 --> 00:05:03.848]  The government's Department of Homeland Security is buying up loads of ammo.
[00:05:03.848 --> 00:05:08.132]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[00:05:08.132 --> 00:05:09.893]  Can you put two and two together?
[00:05:09.893 --> 00:05:15.238]  Infidel Body Armor can stop every round, including hollow points and .308 sniper rounds.
[00:05:15.238 --> 00:05:17.760]  It's reasonably priced and fully legal.
[00:05:17.760 --> 00:05:18.901]  But for how long?
[00:05:18.901 --> 00:05:21.123]  Go to InfidelBodyArmor.com.
[00:05:21.123 --> 00:05:25.546]  Spelled I-N-F-I-D-E-L BodyArmor.com.
[00:05:25.546 --> 00:05:27.408]  Infidel Body Armor.
[00:05:27.408 --> 00:05:28.369]  Just won't quit.
[00:05:29.741 --> 00:05:33.242]  When cells become toxic, they die early and aging sets in.
[00:05:33.242 --> 00:05:41.504]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:05:41.504 --> 00:05:46.925]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[00:05:46.925 --> 00:05:49.446]  You want the best that's out there at the lowest price anywhere?
[00:05:49.446 --> 00:05:51.546]  We now have the synergistic solution.
[00:05:51.546 --> 00:05:55.747]  Secure your DNA force today at InfoWarsLife.com or call toll-free 888-253-3139.
[00:06:00.146 --> 00:06:01.046]  Alex Jones here.
[00:06:01.046 --> 00:06:10.290]  For the last two years, I've been working with top doctors, nutritionists, and chemists to design a nutraceutical formulation that has truly life-changing health benefits.
[00:06:10.290 --> 00:06:15.872]  So many other formulations out there contain toxic ingredients, synthetic additives, and even GMOs.
[00:06:15.872 --> 00:06:24.576]  Introducing the all-new Ancient Defense Herbal Immunity Blend, crafted with over 14 key ancient herbs and extracts to supercharge and
[00:06:24.636 --> 00:06:29.139]  Prepare your body for what experts admit is the most dangerous season of the year.
[00:06:29.139 --> 00:06:40.546]  We have rejected hundreds of other formulations in our quest to bring you what is simply the most powerful and comprehensive proprietary formula that we have ever created in the realm of herbal immunity.
[00:06:40.546 --> 00:06:48.891]  Experience the benefits of combining over 14 ancient herbs and extracts with exciting new advances in nutraceutical science.
[00:06:48.891 --> 00:06:52.153]  Now is the time to secure ancient defense for you and your family.
[00:06:52.293 --> 00:06:54.895]  Visit Infowarslife.com or call 1-888-253-3139.
[00:06:54.895 --> 00:06:56.857]  That's Infowarslife.com.
[00:06:56.857 --> 00:06:58.698]  Hey, how you doing, Al?
[00:06:58.698 --> 00:07:01.080]  Good, brother.
[00:07:01.080 --> 00:07:03.042]  Just recently started using your products.
[00:07:03.042 --> 00:07:04.763]  Everything you said about them is correct.
[00:07:04.763 --> 00:07:08.786]  Me and my wife both use a lot of them, and I've made a lot of changes in our lives here.
[00:07:08.786 --> 00:07:11.409]  Well, thank you, brother, because it also funds our operation.
[00:07:11.409 --> 00:07:13.831]  But doing that, I know I've got to have the highest quality.
[00:07:13.831 --> 00:07:21.717]  Super Mill Vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[00:07:21.857 --> 00:07:25.121]  We do the super male and the super female vitality.
[00:07:25.121 --> 00:07:26.783]  Big changes, a lot of energy.
[00:07:26.783 --> 00:07:29.666]  We've gotten off the cheap energy drinks, energy shots.
[00:07:29.666 --> 00:07:31.468]  Saving a ton of money there.
[00:07:31.468 --> 00:07:34.211]  Sourced from powerful organic herbs.
[00:07:34.211 --> 00:07:37.275]  Harvested around the planet and then concentrated.
[00:07:37.535 --> 00:07:39.316]  Or maximum potency.
[00:07:39.316 --> 00:07:45.780]  They want to stun and dumb down and energy drinks and stuff just cover that up for a while but then burn you out in my experience.
[00:07:45.780 --> 00:07:49.522]  Whereas stuff that gets your glands naturally going goes right to the source.
[00:07:49.522 --> 00:07:51.323]  So it's pretty exciting and I love it.
[00:07:51.323 --> 00:07:58.267]  Visit Infowarslife.com today to secure your super male vitality and other powerful products from Infowarslife.
[00:08:09.887 --> 00:08:16.290]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[00:08:16.290 --> 00:08:22.213]  It's Alex Jones.
[00:08:22.213 --> 00:08:32.798]  Thank you so much for joining us, my friends, on this live, worldwide, Tuesday edition, the 24th day of March, 2015.
[00:08:32.798 --> 00:08:34.339]  I am your host, Alex Jones.
[00:08:36.072 --> 00:09:02.634]  Former Staff Sergeant Joe Biggs will be joining us at the bottom of the hour because of the fact that he and I are both being attacked now by name by the Army Times and scores of other publications and they are engaging in classic disinformation ops against the American people.
[00:09:02.634 --> 00:09:04.916]  You can see the tactics of
[00:09:07.458 --> 00:09:12.582]  Deception that are here.
[00:09:12.582 --> 00:09:26.392]  And there is a 15-minute video that I shot for the Nightly News last night that's red-linked on Infowars.com titled, Army and MSM Launch Disinfo Psyops Against the American People.
[00:09:26.392 --> 00:09:29.975]  Special Operations Leadership Attempts to Downplay Military Drills.
[00:09:29.975 --> 00:09:33.818]  Listing Texas as Hostile.
[00:09:33.818 --> 00:09:35.760]  And what they go on to deny
[00:09:37.978 --> 00:10:00.413]  is that there's basically any plan for the military to be used in domestic disturbances or for gun confiscation or for martial law when in the last twenty years we've seen it grow into a giant official main mission of NorthCom and SouthCom to suppress the American people.
[00:10:00.413 --> 00:10:00.894]  They try to
[00:10:01.980 --> 00:10:11.524]  Deceive the military and deceive the public and deceive law enforcement by saying, oh, there's anti-military groups that are claiming all these lies.
[00:10:11.524 --> 00:10:29.593]  No, in our report we shot last night, we show more than 40 mainstream news articles and official government documents stating the plan to have a national police force under the president commanded by the U.S.
[00:10:29.593 --> 00:10:30.113]  military.
[00:10:32.549 --> 00:10:40.612]  It has nothing to do with the troops on the ground who are being basically put into these positions.
[00:10:40.612 --> 00:10:57.598]  And the fact that they would deny for decades that they were militarizing or federalizing police, that they would deny that they were moving towards the North American Union, that they would deny that they were moving towards a plan to dissolve the borders that was in the SPP, the Security Prosperity Partnership, that they would deny that there was even an Asia
[00:10:58.820 --> 00:11:05.442]  Pacific Partnership that's now being ratified secretly and Congress can't even get a copy of it.
[00:11:05.442 --> 00:11:12.304]  That was in Bloomberg and The Guardian and CNBC Sunday.
[00:11:12.304 --> 00:11:14.044]  All of this is real.
[00:11:14.044 --> 00:11:15.745]  All of this is happening.
[00:11:15.745 --> 00:11:23.367]  And they don't want to ever admit any of it's happening, even though it's happening in plain view, so that we can never have a debate about it.
[00:11:26.957 --> 00:11:32.138]  The military is being also replaced with autonomous robots.
[00:11:32.138 --> 00:11:37.539]  Land, sea, and air.
[00:11:37.539 --> 00:11:45.401]  That was announced a decade ago that by 2025, basically the entire fighting force would be robotic.
[00:11:45.401 --> 00:11:50.522]  Look at the Brisbane Times today.
[00:11:50.522 --> 00:11:54.083]  Robots to replace almost half of jobs over the next 20 years, expert.
[00:11:57.907 --> 00:12:08.415]  Steve Wozniak, one of the founders of Apple, the future of AI is scary and very bad for people.
[00:12:08.415 --> 00:12:12.017]  They're all warning us, Bill Joy, you name it, the ones that have a conscience.
[00:12:12.017 --> 00:12:14.439]  And you ask, why does this tie into the military?
[00:12:14.439 --> 00:12:19.663]  Because the globalists are publicly building a world not for people.
[00:12:20.981 --> 00:12:23.921]  We're having a debate about loving our military?
[00:12:23.921 --> 00:12:26.982]  Who doesn't archetypally love their warriors?
[00:12:26.982 --> 00:12:31.023]  If a civilization doesn't respect their warriors, they die.
[00:12:31.023 --> 00:12:32.923]  If you don't respect your women, you fall apart.
[00:12:32.923 --> 00:12:37.204]  If you don't respect children and the family, you're dying.
[00:12:37.204 --> 00:12:50.026]  And all of that's being dismantled, and the very globalists that have seized the country, that have the borders wide open, that are moving against our Second Amendment, are in Newsweek, Bloomberg, Daily Beast,
[00:12:51.460 --> 00:13:01.026]  New York Magazine, I mean I'm not exaggerating, hundreds of publications in the last week, not just on this military story but others, have opened fire on us.
[00:13:01.026 --> 00:13:03.608]  And I say praise the Lord.
[00:13:03.608 --> 00:13:04.889]  Literally.
[00:13:04.889 --> 00:13:05.709]  I love it.
[00:13:05.709 --> 00:13:08.251]  When I get attacked, I know I'm over the target.
[00:13:08.251 --> 00:13:11.493]  That's my radar to go right in like a radar guided missile.
[00:13:11.493 --> 00:13:13.414]  Right into the enemy.
[00:13:13.414 --> 00:13:17.016]  They turn on their radar to try to scan us, try to attack us.
[00:13:17.016 --> 00:13:19.478]  All that is is a homing beacon for me to go right in on the enemy.
[00:13:20.734 --> 00:13:28.999]  I point my nose right at the heaviest fire I can get and go straight in.
[00:13:28.999 --> 00:13:31.021]  And it's really intensifying and I love it.
[00:13:31.775 --> 00:13:33.776]  So bring it, whatever it is.
[00:13:33.776 --> 00:13:37.817]  And I'm not looking for a fight, I'm not looking for trouble, I'm not looking to be set up or killed.
[00:13:37.817 --> 00:13:41.559]  But hey, if that comes with it, praise the Lord, it's part of God's plan.
[00:13:41.559 --> 00:13:55.864]  I'm gonna tell the truth, and I'm gonna expose abortion, and I'm gonna expose gun control, and open borders, and planetary tyranny, until I am six feet under, pushing daisies, until I'm on the black side, not the green side.
[00:13:55.864 --> 00:13:56.784]  You got it?
[00:13:56.784 --> 00:13:57.645]  That's what's gonna happen.
[00:13:58.425 --> 00:14:02.428]  It feels good in my soul, in my heart, in my intellect.
[00:14:02.428 --> 00:14:04.290]  My morale's never been higher.
[00:14:04.290 --> 00:14:06.111]  My crew's morale's never been higher.
[00:14:06.111 --> 00:14:08.753]  And the Liberty Movement's morale's never been higher.
[00:14:08.753 --> 00:14:12.656]  We are firing up to defeat the globalists.
[00:14:12.656 --> 00:14:14.858]  End of story.
[00:14:14.858 --> 00:14:20.983]  And folks can crawl in a ditch and submit to all this or live in denial about it and take their real coward's way out.
[00:14:20.983 --> 00:14:23.025]  Or you can decide to do something about it!
[00:14:24.138 --> 00:14:29.421]  But if you want to do something about it, you've got to first admit to yourself, this war is going on and this war is real.
[00:14:29.421 --> 00:14:38.205]  This republic is in a death battle right now with globalist forces that have seized control of the District of Criminals.
[00:14:38.205 --> 00:14:39.045]  Remember this article?
[00:14:39.045 --> 00:14:43.427]  Out of Foreign Policy, Washington Post last year, the U.S.
[00:14:43.427 --> 00:14:47.029]  repeals propaganda ban, spreads government-made news to Americans.
[00:14:49.537 --> 00:14:51.378]  And here's the latest articles today.
[00:14:51.378 --> 00:14:57.302]  Conspiracy groups question USA South Com mission in Texas.
[00:14:57.302 --> 00:15:00.564]  And they go into attacking Joe Biggs and myself.
[00:15:00.564 --> 00:15:03.946]  A direct shake and bake.
[00:15:03.946 --> 00:15:07.008]  This is a direct psyop, classic lies.
[00:15:07.008 --> 00:15:09.990]  I knew what they would write before they wrote it.
[00:15:09.990 --> 00:15:11.971]  And they've done it exactly as we knew they would.
[00:15:11.971 --> 00:15:12.752]  What a joke.
[00:15:13.735 --> 00:15:23.199]  What a sick joke to try to make everything we say sound like a lie without ever actually linking to our claims.
[00:15:23.199 --> 00:15:27.821]  That's what they always do.
[00:15:27.821 --> 00:15:30.582]  And this is meant to manipulate the military more than anybody else.
[00:15:32.452 --> 00:15:38.335]  I remember when they came out for two weeks after Katrina, when we were reporting they were gun confiscating, and they said, no, no one's doing that.
[00:15:38.335 --> 00:15:45.978]  And then they decided to flip back, go, okay, we'll just show the video on TV, try to sell to the public on ABC, NBC, CBS.
[00:15:45.978 --> 00:15:52.861]  Remember Obama said, I'm not coming after any of your guns, not your rifles, not your shotguns, not your semi-autos, not your handguns.
[00:15:52.861 --> 00:15:57.183]  He had Joe Biden say it over and over again in the first campaign.
[00:16:00.336 --> 00:16:01.797]  2008.
[00:16:01.797 --> 00:16:02.958]  Over and over again.
[00:16:02.958 --> 00:16:06.620]  And then, when he came after your guns, he said, we're not coming after your guns.
[00:16:06.620 --> 00:16:15.125]  And Bloomberg was in the news, funding tens of millions of dollars a month to get our guns, and to finance state elections and city elections all over the country.
[00:16:15.125 --> 00:16:20.628]  He had an article, well he gave a speech saying, I'm the most pro-Second Amendment person there is.
[00:16:20.628 --> 00:16:23.190]  I believe in the right to keep and bear arms.
[00:16:23.190 --> 00:16:28.613]  While he was pushing the total abolition of civilian ownership of firearms and the UN Unitary Treaty.
[00:16:29.568 --> 00:16:31.929]  There is no attempt to put military on the streets.
[00:16:31.929 --> 00:16:33.670]  There is no attempt to take your guns.
[00:16:33.670 --> 00:16:35.191]  You can keep your doctor.
[00:16:35.191 --> 00:16:40.914]  It'll cut your health bill in half to the cost of a phone bill or cable bill.
[00:16:40.914 --> 00:16:43.315]  Raising the debt limit doesn't raise the debt limit.
[00:16:43.315 --> 00:16:45.556]  You didn't build your business.
[00:16:45.556 --> 00:16:50.819]  I'm not going to open up the borders.
[00:16:50.819 --> 00:16:53.881]  I mean, do people recognize ball-faced lies when they're in our face?
[00:16:55.646 --> 00:16:58.567]  I mean, I'm not even that smart.
[00:16:58.567 --> 00:17:07.808]  I just got common sense when people are sitting there shoveling lies and setting up classical tyrannies here in this republic.
[00:17:07.808 --> 00:17:16.710]  They announced two weeks ago they're going to start executive action taking private IRAs and education funds.
[00:17:16.710 --> 00:17:20.851]  They announced that they're going to start arresting anybody who keeps cash even though there's no law.
[00:17:22.061 --> 00:17:28.703]  They are announcing all of this across the board right now.
[00:17:28.703 --> 00:17:32.744]  It all goes together like a horse and carriage.
[00:17:32.744 --> 00:17:35.925]  Look at this article, New York Times mentioned this.
[00:17:35.925 --> 00:17:39.446]  Law lets IRS seize accounts on suspicion, no crime required.
[00:17:39.446 --> 00:17:47.088]  And it talks about 40 years Carol Henders dished out Mexican specialties at her Modest Cash Only restaurant.
[00:17:47.088 --> 00:17:49.789]  Had like eight seats at the diner.
[00:17:51.667 --> 00:17:59.090]  For just as long, she deposited the earnings in a small bank branch a block away.
[00:17:59.090 --> 00:18:10.235]  And it goes through in the lengthy article that it was all had taxes paid on it and everything, and that they still basically took everything out of her bank account and moved to start indicting her, and then they admitted this happens to tens of thousands of people.
[00:18:10.235 --> 00:18:13.357]  There isn't even a law.
[00:18:13.357 --> 00:18:18.559]  They say law, they interpret a law, kind of like the ATF says they're interpreting this 223 situation.
[00:18:22.560 --> 00:18:24.961]  So that headline is not even accurate.
[00:18:24.961 --> 00:18:25.981]  But this is what's going on.
[00:18:25.981 --> 00:18:32.722]  Now that dovetails with our article that's linked on DrugsReport.com right now to talk about tyranny.
[00:18:32.722 --> 00:18:41.244]  Feds urge banks to call cops on customers who withdraw $5,000 or more.
[00:18:41.244 --> 00:18:49.606]  When I take a crew of five or six reporters to Europe, I give them all $2,000 and they give me receipts, but in case the cards quit working, which happens all the time.
[00:18:53.186 --> 00:18:53.886]  We've got money.
[00:18:53.886 --> 00:18:56.107]  That's not... We're carrying $10,000 cash on us.
[00:18:56.107 --> 00:18:56.747]  We're not criminals.
[00:18:56.747 --> 00:18:58.627]  Cash isn't illegal.
[00:18:58.627 --> 00:19:09.610]  This whole phony drug war, the banks launder the drug money publicly, and then they act like we're criminal, taking company money or after-tax money out of the bank.
[00:19:09.610 --> 00:19:21.394]  And then they've got kangaroo juries on these federal juries, who a lot of times are government agents, and the judge will order them to convict you, even though there's no statute there.
[00:19:21.394 --> 00:19:22.334]  Or the statute says,
[00:19:24.841 --> 00:19:34.145]  Tens of thousands of dollars over and over again that wasn't after tax that you're then keeping and not paying tax on, but they just apply it to something else.
[00:19:34.145 --> 00:19:36.566]  Just like the IRS is going after the Tea Party right now.
[00:19:36.566 --> 00:19:38.287]  This is persecution.
[00:19:38.287 --> 00:19:40.588]  We'll tell you about this when we come back.
[00:19:40.588 --> 00:19:42.649]  But it all ties in together
[00:19:44.156 --> 00:19:46.798]  On every front, we're going into a tyranny.
[00:19:46.798 --> 00:19:49.499]  And a lot of people say, well, I'll just bend over and do whatever I'm told.
[00:19:49.499 --> 00:19:53.681]  That will ensure total destruction of our freedoms.
[00:19:53.681 --> 00:19:57.003]  Do you understand they're announcing they're going to take your pension funds?
[00:19:57.003 --> 00:19:58.124]  That's why they're getting the army ready.
[00:20:00.046 --> 00:20:07.031]  By now you know that wireless technology like cell phones do in fact pose dangers to the health and privacy of everyone.
[00:20:07.031 --> 00:20:12.075]  Block It Pocket's wide range of products are unmatched in providing the protection you deserve.
[00:20:12.075 --> 00:20:14.317]  No scare tactics, just common sense.
[00:20:14.317 --> 00:20:21.002]  BlockItPocket.com offers quality American-made options to alleviate and eliminate these invisible dangers.
[00:20:21.002 --> 00:20:23.584]  Learn more at BlockItPocket.com or call 888-315-9618.
[00:20:23.584 --> 00:20:25.925]  BlockItPocket.com, enhancing health and privacy.
[00:20:29.628 --> 00:20:33.090]  The clean and green sale continues at Guns80.com.
[00:20:33.090 --> 00:20:38.013]  My buddy Mark is rolling in clover since Guns80.com announced its clean and green sale.
[00:20:38.013 --> 00:20:44.637]  He used his leprechaun-like magical powers to get Guns80.com to offer us a pot of gold at the end of the rainbow.
[00:20:44.637 --> 00:20:53.322]  Now, for a limited time, when you order an AR-15 rifle kit, Guns80.com will toss in a cleaning kit and a tactical bipod pistol grip free!
[00:20:53.322 --> 00:20:54.522]  All for the low, low price of $449.95.
[00:20:54.522 --> 00:20:56.223]  Go to Guns80.com or call 844-2-GUNS80.
[00:20:59.614 --> 00:21:09.100]  InfoWarsLife and InfoWarsLife.com is extremely excited to announce our latest release, Winter Sun, a revolutionary type of vitamin D3.
[00:21:09.100 --> 00:21:13.803]  Winter Sun is a premium quality vitamin D3 nutritional supplement.
[00:21:13.803 --> 00:21:18.586]  It is produced by extracting oil from healthy nutrient-dense plants known as lichens.
[00:21:18.586 --> 00:21:21.627]  Every batch is analyzed for purity and D3 content.
[00:21:21.627 --> 00:21:24.049]  It's completely free of toxins and allergens.
[00:21:24.049 --> 00:21:27.431]  Simply put, if you want the best at an extremely low price, this is it.
[00:21:27.591 --> 00:21:31.493]  Winter Sun is the result of our pursuit of the best source of vitamin D3.
[00:21:31.493 --> 00:21:40.538]  The research and development took over two years, but the result, as verified by independent laboratories, is the best vegan vitamin D3 product in the world.
[00:21:40.538 --> 00:21:45.560]  Read the facts at InfoWarsLife.com about Winter Sun vitamin D3.
[00:21:45.560 --> 00:21:51.123]  Not only does vitamin D3 promote a healthy mood, but vitamin D supports our memory and brain function.
[00:21:51.483 --> 00:21:53.625]  Something the globalists are targeting.
[00:21:53.625 --> 00:21:56.247]  Visit InfoWars.com today or call 888-253-3139.
[00:22:00.091 --> 00:22:01.292]  Hear that?
[00:22:01.292 --> 00:22:06.677]  That's the sound of a house being trashed while a gang of thieves ransack the place.
[00:22:06.677 --> 00:22:09.619]  And what they don't steal will be destroyed.
[00:22:09.619 --> 00:22:13.162]  You can prevent being the next victim of a break-in.
[00:22:13.162 --> 00:22:20.728]  Go to Faketv.com and discover a device that creates the illusion someone inside is watching TV, even when you're miles away.
[00:22:20.728 --> 00:22:25.332]  Security is a mindset, and Faketv should be part of your security solution.
[00:22:25.332 --> 00:22:27.754]  Be vigilant, but not fearful.
[00:22:27.754 --> 00:22:28.915]  Faketv.com
[00:22:30.151 --> 00:22:30.971]  This is Dan Pilla.
[00:22:30.971 --> 00:22:32.752]  Do you owe the IRS money you can't pay?
[00:22:32.752 --> 00:22:34.393]  Are tax debts crippling you?
[00:22:34.393 --> 00:22:37.234]  I've defended people from the IRS for over 30 years.
[00:22:37.234 --> 00:22:39.514]  I've helped thousands and I can help you too.
[00:22:39.514 --> 00:22:44.016]  I wrote the book on IRS settlement and I'm telling you, there's no such thing as a hopeless case.
[00:22:44.016 --> 00:22:47.977]  Call 800-34-NO-TAX to finally get free of IRS debt.
[00:22:47.977 --> 00:22:51.739]  With the IRS's new programs, there's never been a better time to solve your problem.
[00:22:51.739 --> 00:22:52.179]  Call 800-34-NO-TAX.
[00:22:52.179 --> 00:22:53.799]  That's 800-34-NO-TAX or my website, danpilla.com.
[00:22:59.736 --> 00:23:09.342]  As the New World Order continues to tighten its grip on every facet of our lives, we're all asking ourselves, how can we maintain our independence?
[00:23:09.342 --> 00:23:10.903]  The answer is clear.
[00:23:10.903 --> 00:23:13.484]  Get prepared and you get prepared now.
[00:23:13.484 --> 00:23:16.046]  Now the only question left is where do we begin?
[00:23:16.946 --> 00:23:19.188]  MyPatriotSupply is here to help.
[00:23:19.188 --> 00:23:26.073]  Call 800-247-3070 to get started with your 72-hour emergency food supply for only $10.
[00:23:26.073 --> 00:23:29.535]  We're even covering the cost of shipping.
[00:23:29.535 --> 00:23:33.758]  Are you willing to rely on the government and FEMA in the event of an emergency?
[00:23:34.719 --> 00:23:42.667]  Call 800-274-3070 to get started with your 72-hour emergency food supply for only $10.
[00:23:42.667 --> 00:23:48.333]  You won't be able to find this deal online, and there is a strict limit of 4 per caller, so don't wait!
[00:23:48.333 --> 00:23:49.053]  Call now!
[00:23:49.053 --> 00:23:49.274]  800-274-3070.
[00:23:49.274 --> 00:23:49.474]  That's 800-274-3070.
[00:23:49.474 --> 00:23:49.834]  Call right now!
[00:24:05.971 --> 00:24:06.612]  I think so.
[00:24:49.264 --> 00:24:55.549]  Ladies and gentlemen, we are back live and we've got the Foo Fighters bringing us in asking, who are you?
[00:24:55.549 --> 00:24:57.851]  Which side are you on?
[00:24:57.851 --> 00:25:06.639]  The choice has never been clearer that our republic is in the grip of a global corporate conspiracy calling itself the New World Order.
[00:25:08.027 --> 00:25:14.693]  Establishing a new form of dictatorship known as technocracy over the planet.
[00:25:14.693 --> 00:25:18.696]  This has been announced at Davos this year, last year, and the year before.
[00:25:18.696 --> 00:25:23.680]  It's been announced by Zbigniew Brzezinski all over the news and in three different, four different books.
[00:25:23.680 --> 00:25:28.684]  It's been announced on CNBC over and over and over again.
[00:25:28.684 --> 00:25:29.926]  It's been announced in the
[00:25:31.434 --> 00:25:42.677]  Financial Times of London, by their foreign editor, who attacked us a few years ago, and said, and now for world government, was the headline.
[00:25:42.677 --> 00:25:53.761]  And then after we read his article on air, he wrote another article attacking us by name, and said, world government doesn't exist, and that we were insane.
[00:25:53.761 --> 00:25:55.601]  This is the mind game they play.
[00:25:55.601 --> 00:25:58.922]  No one's coming after your guns, we just want you to turn them in.
[00:25:58.922 --> 00:26:00.923]  And we got a bunch of bills to do it.
[00:26:02.532 --> 00:26:06.074]  Obamacare cuts your prices in half, even though it doubles or triples them.
[00:26:06.074 --> 00:26:16.218]  It's classic gaslighting, which is a psychological term known since the 30s, where you walk up and say, punch your wife in the nose, and then she gets knocked out.
[00:26:16.218 --> 00:26:19.300]  When she gets up, you go, baby, I didn't punch you in the nose.
[00:26:19.300 --> 00:26:23.442]  She's like, I saw you, and you know, you fell and hit your nose.
[00:26:23.442 --> 00:26:28.184]  And if you say it with enough confidence to a weak-minded person, they will actually believe it.
[00:26:30.848 --> 00:26:37.152]  And that's what's happening is we're being gaslighted.
[00:26:37.152 --> 00:26:38.833]  And gaslighting is a natural thing.
[00:26:38.833 --> 00:26:44.577]  I'm sure you've all experienced a loved one or someone be really rude or mean to you and say something really horrible.
[00:26:44.577 --> 00:26:47.579]  And you say, you just said this to me.
[00:26:47.579 --> 00:26:50.301]  And they'll go, no, I didn't.
