[00:00:00.109 --> 00:00:00.329]  Hey!
[00:07:32.500 --> 00:07:33.961]  And that's Terry's work there.
[00:07:34.562 --> 00:07:37.604]  Terry had several times gone up to cover
[00:07:38.496 --> 00:07:42.379]  The Brown situation in New Hampshire right outside Plainfield.
[00:07:42.399 --> 00:07:43.480]  I'm sure you've heard about it.
[00:07:43.500 --> 00:07:47.303]  It's made national headlines on Fox and CNN and of course Coast to Coast AM has covered it.
[00:07:47.643 --> 00:07:48.304]  We've covered it here.
[00:07:48.324 --> 00:07:49.825]  We've had the Browns on several times.
[00:07:50.846 --> 00:07:55.049]  The Fed said they haven't paid their income tax and so they're going to come in and arrest them.
[00:07:55.389 --> 00:08:02.775]  The Browns are saying they're not going to go without a fight and it's escalated to Homeland Security helicopters flying over the property.
[00:08:03.678 --> 00:08:06.159]  The press has been stopped from going in there now this weekend.
[00:08:06.199 --> 00:08:06.999]  That's been in the news.
[00:08:07.480 --> 00:08:17.624]  Four men who were accused of aiding and abetting the Browns, who'd been on the property and done some shopping and things for them, were arrested last Wednesday afternoon.
[00:08:18.320 --> 00:08:19.841]  And amongst them was Terry Milton.
[00:08:19.861 --> 00:08:20.801]  Now, he wasn't indicted.
[00:08:21.161 --> 00:08:22.702]  It was four men arrested and indicted.
[00:08:22.742 --> 00:08:37.186]  Terry was visiting with one of the men, Danny Riley, who we've interviewed here as well, and was making a documentary film about the Browns, and was in New York about to go with Danny out of the property, when they got raided.
[00:08:37.326 --> 00:08:41.648]  And the story is what the Marshal said to him, what they did to him,
[00:08:42.248 --> 00:08:49.154]  You would expect this out of the Sopranos, you would expect this out of Scarface, but you would not expect this out of the good old U.S.
[00:08:49.174 --> 00:08:54.137]  of A. So it's a nice window into the secret police here in the U.S.
[00:08:54.177 --> 00:09:03.865]  And I would add, in the past amnesty bill and the new one, I'm looking at the subsection right here, the illegal aliens are given total tax amnesty.
[00:09:04.589 --> 00:09:09.614]  And a felony of aggravated assault, arson, and child molestation.
[00:09:09.854 --> 00:09:10.975]  It's actually all in here.
[00:09:11.275 --> 00:09:14.318]  They're given total blank... Amnesty isn't even a word.
[00:09:14.358 --> 00:09:15.859]  This is a presidential pardon.
[00:09:16.279 --> 00:09:17.600]  Congressional pardon.
[00:09:18.461 --> 00:09:18.982]  Not U.S.
[00:09:19.002 --> 00:09:19.782]  citizens, though.
[00:09:21.163 --> 00:09:22.044]  Where are the cattle?
[00:09:22.084 --> 00:09:23.025]  Where are the hogs?
[00:09:23.065 --> 00:09:25.067]  The Christmas hogs to be hung up and bled.
[00:09:25.865 --> 00:09:30.528]  We've been bred and trained to be slaves that think we're free, and we've got to be taught who the boss is.
[00:09:30.588 --> 00:09:33.430]  So we'll get into that for about 30 minutes in the next hour as well.
[00:09:33.750 --> 00:09:35.871]  It's absolutely, totally jam-packed.
[00:09:36.312 --> 00:09:43.876]  We'll cover the high treason, the attempt to legalize 30-plus million illegal aliens, and their entire families.
[00:09:44.237 --> 00:09:47.159]  They're back again when we return.
[00:09:47.519 --> 00:09:48.679]  PrisonPlanet.com!
[00:09:53.633 --> 00:10:09.284]  It's here, after a year in production and traveling to distant lands, my new film Terror Storm is complete.
[00:10:09.684 --> 00:10:17.309]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:10:18.007 --> 00:10:25.073]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:10:25.473 --> 00:10:36.882]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:10:37.203 --> 00:10:40.766]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:10:41.166 --> 00:10:43.107]  It's an anthology of government crimes.
[00:10:43.448 --> 00:10:47.271]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:10:47.871 --> 00:10:59.800]  Get your copy today on InfoWars.com or PrisonPlanet.com or by calling toll-free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv.
[00:11:00.260 --> 00:11:01.321]  Ted Anderson from Ritus.
[00:11:01.401 --> 00:11:01.782]  September 14, 2007.
[00:11:01.842 --> 00:11:04.083]  Gold 711, 70 ounce gold coins can be purchased for $7.3409, $3.6205 for half, $1.8103 per quarter.
[00:11:04.103 --> 00:11:04.604]  That's $7.3409, $3.6205 for half, $1.8103.
[00:11:04.664 --> 00:11:06.065]  The dollar has fallen to 65% of the year
[00:11:17.373 --> 00:11:18.394]  Erosion accelerates.
[00:11:18.494 --> 00:11:25.883]  Mainline talk show hosts are trying to hold on to the support of the conservative movement, keeping focus on the Republican agenda and playing into the hand of the globalists.
[00:11:26.003 --> 00:11:29.426]  Dr. Corsi interviewed Robert Pastor of the American University.
[00:11:29.567 --> 00:11:36.154]  With the sleight of hand and incremental implementation, Pastor admits to the North American Union is being forced upon us.
[00:11:36.594 --> 00:11:41.235]  Corsi uncovers the CFR's plan to build a North American community similar to the EU.
[00:11:41.595 --> 00:11:46.776]  In his report, the North American Union isn't going away, Corsi exposes the deception and trickery.
[00:11:46.916 --> 00:11:50.617]  Call for your report today, 800-686-2237.
[00:11:50.717 --> 00:11:53.978]  The value of your hard-earned money is being lost in a global game of chess.
[00:11:54.098 --> 00:11:54.358]  Call 800-686-2237.
[00:11:54.378 --> 00:11:54.558]  That's 800-686-2237.
[00:12:02.296 --> 00:12:02.557]  Hare Krsna!
[00:12:17.176 --> 00:12:23.439]  Some companies sell concentrated versions of this kind of water, making you spend up to $70 per month to treat your water.
[00:12:23.839 --> 00:12:31.123]  Or you can purchase the MRET Activator from Cocoon Nutrition and have the ability to treat your water at a fraction of the price.
[00:12:31.323 --> 00:12:33.444]  Drink less water and become more hydrated.
[00:12:33.604 --> 00:12:44.770]  Hydrated cells will result in beautiful skin, no more chapped lips, less frequent urination, cleaner cells, healthier liver, kidney, heart and organs, more energy and protection from all diseases.
[00:12:44.770 --> 00:12:45.651]  I think so.
[00:13:04.531 --> 00:13:06.375]  Hi, Steve Shank, Fearless Task Force.
[00:13:06.855 --> 00:13:08.639]  Sure, you've got a mortgage and credit cards.
[00:13:08.939 --> 00:13:12.085]  Your debt creation is probably the smartest thing you've ever done.
[00:13:12.105 --> 00:13:14.169]  How would it be to find $75,000, $150,000, $200,000 or more you never knew you had?
[00:13:17.503 --> 00:13:21.946]  Now the task force has strategies to make these debts into virtual savings accounts.
[00:13:22.486 --> 00:13:24.828]  Ben Franklin said, a penny saved is a penny earned.
[00:13:25.468 --> 00:13:33.914]  By doing nothing more than you're doing right now, because you've used your credit, the right strategies can make the debt part of your financial life the smartest thing you've ever done.
[00:13:34.454 --> 00:13:37.156]  Oh, by the way, your strategies cost you nothing out of pocket.
[00:13:37.797 --> 00:13:40.599]  Go ahead and check out the debt elimination scams if you'd like to.
[00:13:41.119 --> 00:13:45.582]  You wouldn't take money from a loan shark, so you may not want to give your money to a debt shark.
[00:13:46.317 --> 00:13:49.838]  For an understanding of what a financial genius you truly are, call 800-409-5633.
[00:13:49.858 --> 00:13:50.718]  On the web, MyDebtFreePath.com.
[00:13:50.738 --> 00:13:50.798]  800-409-5633.
[00:13:50.818 --> 00:13:51.839]  Thank you for listening to GCN.
[00:13:51.859 --> 00:13:52.839]  Visit GCNlive.com today.
[00:13:52.859 --> 00:13:53.919]  Raging for the truth.
[00:13:53.959 --> 00:13:54.900]  Exposing corruption.
[00:14:14.642 --> 00:14:18.223]  Dismantling a false left-right paradigm.
[00:14:18.523 --> 00:14:19.904]  He's Alex Jones.
[00:14:22.224 --> 00:14:22.884]  Welcome back.
[00:14:23.985 --> 00:14:35.568]  Well, last week, 100, and that's just a start in the first six months and it's unlimited, Mexican trucking firms are allowed to drive unhindered anywhere in the lower 48.
[00:14:35.768 --> 00:14:37.509]  And on top of that,
[00:14:39.514 --> 00:14:44.490]  They're given, each time they come in, a six-month unlimited visa.
[00:14:46.717 --> 00:15:00.124]  And on top of that, they're under Homeland Security and the NAFTA agreement, and so they don't have to pull off to the scales where the state police, and everybody knows this, feeds on them and gives them massive tickets and fines.
[00:15:00.624 --> 00:15:11.970]  I know truck drivers right here in Austin, Texas, some of them I've known 12-plus years, who have brand new, nice trucks, and the police will stop them, they will literally wipe their finger on the tailgate, and they call that leakage or spillage.
[00:15:12.450 --> 00:15:14.072]  And give them huge tickets.
[00:15:14.392 --> 00:15:17.075]  Not if you are from Mexico, baby.
[00:15:17.516 --> 00:15:18.657]  This is the New World Order.
[00:15:18.677 --> 00:15:21.079]  It's all about unfair trade practices.
[00:15:21.400 --> 00:15:22.301]  But that's only the beginning.
[00:15:22.321 --> 00:15:23.262]  They're building a port.
[00:15:23.988 --> 00:15:28.031]  That is almost twice the size of the port of Houston, the biggest port in the U.S.
[00:15:28.412 --> 00:15:29.472]  right now on the Pacific side.
[00:15:29.492 --> 00:15:30.353]  They want to use U.S.
[00:15:30.373 --> 00:15:34.857]  taxpayer funds, this is all public, to build the Napa Superhighways, to bring all these goods in.
[00:15:35.137 --> 00:15:38.399]  They're going to fund it with tolls on existing roads.
[00:15:38.419 --> 00:15:39.220]  This is all public!
[00:15:39.520 --> 00:15:41.602]  That we're going to pay for our own destruction.
[00:15:41.662 --> 00:15:47.707]  Now, I thought I'd just add that little caveat to what North American Union living is all about.
[00:15:47.727 --> 00:15:49.308]  This is from Free Market News.
[00:15:50.823 --> 00:16:03.892]  I also have JBS, I also have Associated Press, and I have the Heritage Foundation, as well as Wikipedia, and this time their entry on this is accurate.
[00:16:04.132 --> 00:16:06.554]  And I've gone and read the bill for myself.
[00:16:07.955 --> 00:16:08.996]  This is high treason.
[00:16:09.096 --> 00:16:16.561]  Now, the census six years ago said that there were 14 million illegal aliens.
[00:16:16.621 --> 00:16:17.642]  Excuse me, seven years ago, in 2000.
[00:16:18.897 --> 00:16:21.999]  Now, that's just who they were able to get to answer the census.
[00:16:22.540 --> 00:16:30.746]  The federal government and other agencies have said they believe it's more close to 25 to 30 million, and that number's two years old.
[00:16:31.787 --> 00:16:39.933]  If 3 million illegal aliens get in illegally each year, according to Homeland Security, another 900 plus thousand are brought in legally.
[00:16:39.973 --> 00:16:40.813]  That's 3.9 million a year.
[00:16:43.906 --> 00:16:51.131]  And so yes, in the last six plus years, we're talking well over 30 million illegal aliens in the country.
[00:16:51.431 --> 00:16:58.536]  Under this bill, Senate Amendment 2237 to the Defense Authorization Act of 2008.
[00:16:58.677 --> 00:17:02.339]  They fund it in 2007 for 2008.
[00:17:02.819 --> 00:17:07.503]  Last year, they funded the end of the Republic, the end of states' rights.
[00:17:08.243 --> 00:17:12.887]  It openly says for revolts, for martial law, that the President is above
[00:17:14.345 --> 00:17:16.866]  The Governors, it preemptively made him dictator.
[00:17:17.146 --> 00:17:28.709]  Then earlier this year, May 9th, Presidential Decision Directive 51, the President came out and said that Congress isn't involved in Continuity of Government now.
[00:17:28.809 --> 00:17:29.769]  He is above them.
[00:17:30.109 --> 00:17:37.351]  And then, three weeks ago, or was it four weeks ago now, at the Security and Prosperity Partnership Third Summit up in
[00:17:38.234 --> 00:17:44.938]  Canada and Montebello, and this is public, they released this, the United Nations is over Homeland Security!
[00:17:45.218 --> 00:17:54.343]  And so first the President, unlawfully, treasonously, takes the authority away from Congress during continuity of government, a power he doesn't have, but they're following orders, they did it.
[00:17:54.623 --> 00:17:57.504]  Just like Hitler didn't have the power to announce himself dictator, but it happened.
[00:17:58.945 --> 00:18:04.348]  And now it's not just the President is above the law, now he's given it over to United Nations control.
[00:18:05.655 --> 00:18:06.956]  So the treason just continues.
[00:18:07.516 --> 00:18:12.899]  Now, for the last six-plus years, President Bush, every year, has brought in legislation for total amnesty.
[00:18:13.159 --> 00:18:18.141]  Now, three months ago, they lied and said it's not amnesty, but for the first time in U.S.
[00:18:18.161 --> 00:18:21.063]  history, a mainline bill is secret.
[00:18:21.603 --> 00:18:23.304]  No one can see the Senate bill.
[00:18:24.085 --> 00:18:32.309]  Then, Senator Sessions and one other Republican senator did the right thing and released the bill, and they got in trouble for it.
[00:18:33.009 --> 00:18:34.550]  But they said, look, I'm releasing the bill.
[00:18:35.245 --> 00:18:39.287]  We got the bill and it was worse than any amnesty previously seen.
[00:18:40.067 --> 00:18:45.669]  Anyone who had ever been here, even if they were a convicted, aggravated felon.
[00:18:46.369 --> 00:18:48.090]  We don't mean some non-violent white collar.
[00:18:48.390 --> 00:18:56.273]  I mean, it listed child molestation, arson, armed robbery, assault with a deadly weapon.
[00:18:56.353 --> 00:18:58.634]  I challenge police listening who don't believe this to go read the bill.
[00:18:59.705 --> 00:19:00.305]  I challenge you.
[00:19:00.345 --> 00:19:01.186]  It was all over the news.
[00:19:01.406 --> 00:19:02.627]  You cannot make this up.
[00:19:03.087 --> 00:19:09.031]  There were, what, the 20 smoking guns, is what Senator Sessions called it, of the bill.
[00:19:09.431 --> 00:19:16.695]  Just type in Senator Sessions 20, 20, no, 20 loopholes, in the letter he said smoking guns, in the article he wrote, and he gave each subsection.
[00:19:17.156 --> 00:19:18.256]  That's the best road map.
[00:19:18.496 --> 00:19:22.179]  And then I found stuff that he didn't even find, and other people found stuff I didn't find.
[00:19:22.199 --> 00:19:23.600]  I mean, it was hundreds of pages long.
[00:19:24.140 --> 00:19:27.522]  You cannot, it's so bad, you cannot even believe it.
[00:19:28.560 --> 00:19:30.281]  Reality is much worse than fiction.
[00:19:31.262 --> 00:19:33.543]  So first they say it's not amnesty, and then it's true!
[00:19:33.643 --> 00:19:37.325]  It wasn't just amnesty, it was total, complete capitulation.
[00:19:37.645 --> 00:19:40.466]  It allowed them to bring in twelve family members.
[00:19:40.886 --> 00:19:46.209]  Their first visit, they were given social security cards under the bill, and completely legalized.
[00:19:48.430 --> 00:19:49.131]  Well, guess what?
[00:19:49.251 --> 00:19:51.392]  That was narrowly defeated.
[00:19:52.092 --> 00:19:52.973]  And what have they done?
[00:19:53.893 --> 00:19:55.614]  They quietly, last week,
[00:19:56.900 --> 00:19:59.162]  And I would have been on this earlier in the week, but I was in New York until Wednesday.
[00:19:59.582 --> 00:20:00.924]  So I just learned about this on Friday.
[00:20:02.185 --> 00:20:18.779]  They introduced 2237, Senate Amendment 2237, to the bill sponsored by Senator Dick Durbin, Democrat, Illinois, a treasonous traitor, into the quote, Dream Act, which would grant amnesty to illegal aliens.
[00:20:18.879 --> 00:20:19.800]  And then they go through
[00:20:21.861 --> 00:20:32.567]  I spent two hours Friday, another hour today, reading and checking the claims of this Free Market News article, Free Market News Network, and it's actually worse than what they say.
[00:20:33.127 --> 00:20:36.609]  And it is the same thing, but with one little added.
[00:20:37.410 --> 00:20:42.673]  In the earlier bill, they said, well if you're an aggravated felon, just sign a pledge promising you won't do it again.
[00:20:44.814 --> 00:20:47.735]  Or, sign a pledge you've been here for five years and you can stay.
[00:20:47.755 --> 00:20:49.735]  But everybody knows the illegals have already lied to get here.
[00:20:49.955 --> 00:20:51.016]  They're already criminals.
[00:20:51.576 --> 00:20:54.217]  And so, and there's no vetting or checking on this.
[00:20:54.897 --> 00:21:13.602]  Now they claim, claiming it's educational, oh, if you claim you were here since you were 15, you could be 45, 56, it doesn't matter, then you're instantly legalized and it says you can bring 12 family members within one year to the United States.
[00:21:15.453 --> 00:21:22.978]  So, they have also added a similar bill to the Farm Bill, H.R.
[00:21:22.998 --> 00:21:22.978]  2419.
[00:21:23.558 --> 00:21:27.081]  See, what they're doing now is just hitting us with a bunch of torpedoes, hoping one of them hits.
[00:21:29.623 --> 00:21:31.364]  This is unbelievable, ladies and gentlemen.
[00:21:31.624 --> 00:21:36.147]  Senate Amendment 2237 to the bill, sponsored by Senator Dick Durbin.
[00:21:36.187 --> 00:21:37.068]  Bush says he'll sign it.
[00:21:37.388 --> 00:21:39.009]  In the DREAM Act, and talk about a
[00:21:40.332 --> 00:21:52.781]  It's a nightmare act for the American people, which would grant amnesty to illegal aliens that have maintained continuous presence in the United States for five years, and was not yet 16 years old upon entry.
[00:21:53.281 --> 00:21:57.904]  And it just says that they signed a pledge saying that was the case.
[00:21:58.385 --> 00:22:01.447]  No proof, no nothing, there you have it.
[00:22:02.167 --> 00:22:08.512]  And if you just type into Google, there's literally hundreds of articles on this, if you just type into Google the DREAM Act,
[00:22:09.341 --> 00:22:10.602]  Uh, it will, uh, pop up.
[00:22:10.642 --> 00:22:14.105]  You can click on News, or click on Web, and you get different results for each one.
[00:22:14.185 --> 00:22:17.607]  I've got eight different stories here, and the bill.
[00:22:19.089 --> 00:22:20.309]  The end of this republic.
[00:22:20.430 --> 00:22:26.094]  Meanwhile, they said we've got to go have war with Iran to save America, but the borders are more open than ever.
[00:22:26.883 --> 00:22:33.789]  The same people destroying our sovereignty are the very ones launching these wars that destroy our good name and bankrupt our treasury.
[00:22:34.210 --> 00:22:37.152]  When we get back, I'm going to cover the unbelievable war news.
[00:22:37.473 --> 00:22:42.918]  We're on the very edge of war with Iran, and Greenspan now trying to demonize Bush.
[00:22:43.518 --> 00:22:45.580]  Talk about Satan calling me Elsie Bob Evil.
[00:22:46.241 --> 00:22:48.102]  And your calls, I'm Alex Jones.
[00:22:48.162 --> 00:22:48.583]  Stay with me.
[00:23:01.331 --> 00:23:09.676]  Hello folks, Alex Jones here introducing Prudent Places USA, an interactive CD book that is your premier resource for hard-to-find information.
[00:23:09.836 --> 00:23:19.903]  Find out about everything from job migration to evacuation information, such as major bridges in disrepair and FEMA evacuation time studies for coastal cities.
[00:23:20.383 --> 00:23:26.226]  Zero in on man-made disaster zones, environmental areas of concern, and natural disaster zones.
[00:23:26.446 --> 00:23:30.868]  Find out everything from where to get water in an emergency to geographic income levels.
[00:23:31.108 --> 00:23:37.171]  Housing prices, complete with over 3 gigabytes of detailed information on the 3,000 plus counties in the U.S.
[00:23:37.351 --> 00:23:43.814]  Full-color photographs, 550 high-resolution full-color maps, and detailed information and analysis that you need.
[00:23:44.094 --> 00:23:49.437]  Order Prudent Places USA now for only $29, plus shipping by calling New Millennium at
[00:23:50.279 --> 00:23:53.627]  Call us at 888-803-4438 and tell them Alex Jones sent you.
[00:23:53.748 --> 00:23:55.572]  That's 888-803-4438 or order online at Berkeywater.com.
[00:24:01.209 --> 00:24:05.473]  Are you fed up with all the side effects of chemicals in your shampoos and detergents?
[00:24:05.713 --> 00:24:10.618]  Even fragrances can signal some 4,000 separate ingredients, most of which are synthetic.
[00:24:10.838 --> 00:24:12.179]  Hi folks, Alex Jones here.
[00:24:12.339 --> 00:24:15.883]  Why not go back to basics and be safe with Calbin Pure Soaps?
[00:24:15.943 --> 00:24:21.107]  They're all natural and you'll save some 85% the money you're spending for your cleaning products now.
[00:24:21.368 --> 00:24:27.133]  Marty Schachter founded Calbin Soap Company in 1947 and provided products for health institutions.
[00:24:27.453 --> 00:24:29.935]  Now, Calvin Soaps are available to you and me.
[00:24:29.975 --> 00:24:32.317]  Triple concentrated for all your cleaning needs.
[00:24:32.497 --> 00:24:34.638]  From bathing and laundry to dishes, hair and more.
[00:24:34.918 --> 00:24:35.899]  No harsh chemicals.
[00:24:36.119 --> 00:24:37.040]  No animal testing.
[00:24:37.320 --> 00:24:38.621]  I use them and love them.
[00:24:38.641 --> 00:24:40.262]  Knowing they're all natural and safe.
[00:24:40.522 --> 00:24:41.603]  And I say big time.
