[00:00:00.169 --> 00:00:06.674]  Communications Radio Network.
[00:05:18.263 --> 00:05:19.724]  Now is the time to fight back.
[00:05:19.884 --> 00:05:22.546]  You can completely wipe out your credit card debt fast.
[00:05:22.666 --> 00:05:26.069]  The procedure is easy and everything is done legally and within the law.
[00:05:26.249 --> 00:05:28.331]  We have better than a 90% success rate.
[00:05:28.411 --> 00:05:29.432]  Check out 1-2-3 Nodet.com.
[00:05:29.452 --> 00:05:30.112]  The process is simple.
[00:05:32.554 --> 00:05:33.355]  I don't know.
[00:05:51.537 --> 00:05:53.559]  Learn the truth.
[00:05:53.579 --> 00:05:55.100]  1-2-3 Nodet.com.
[00:05:55.260 --> 00:05:59.403]  Come over and get our rock solid technology that wipes out debt without bankruptcy.
[00:05:59.583 --> 00:06:00.543]  It's really quite easy.
[00:06:00.784 --> 00:06:03.826]  Go to 1-2-3 Nodet.com.
[00:06:03.986 --> 00:06:05.027]  Live debt free now.
[00:06:05.287 --> 00:06:06.868]  You lose nothing but the debt.
[00:06:07.572 --> 00:06:15.922]  Hello folks, Alex Jones here introducing Prudent Places USA, an interactive CD book that is your premier resource for hard-to-find information.
[00:06:16.102 --> 00:06:26.134]  Find out about everything from job migration to evacuation information, such as major bridges in disrepair and FEMA evacuation time studies for coastal cities.
[00:06:26.634 --> 00:06:32.458]  Zero in on man-made disaster zones, environmental areas of concern, and natural disaster zones.
[00:06:32.679 --> 00:06:43.426]  Find out everything from where to get water in an emergency, the geographic income levels, housing prices, complete with over 3 gigabytes of detailed information on the 3,000 plus counties in the U.S.
[00:06:43.586 --> 00:06:44.647]  Full color photographs.
[00:06:44.847 --> 00:06:45.128]  We're good.
[00:07:06.864 --> 00:07:12.895]  The ideology powering the Democrats and Republicans is not liberalism or conservatism, but globalism.
[00:07:12.915 --> 00:07:15.640]  Globalists are concerned with what's good for big business.
[00:07:23.660 --> 00:07:24.000]  We're good to go.
[00:07:40.263 --> 00:07:40.503]  We're good.
[00:08:06.859 --> 00:08:07.499]  Big Brother.
[00:08:08.179 --> 00:08:09.239]  Mainstream media.
[00:08:09.939 --> 00:08:11.060]  Government cover-ups.
[00:08:11.700 --> 00:08:12.520]  You want answers?
[00:08:13.280 --> 00:08:14.141]  Well, so does he.
[00:08:14.841 --> 00:08:18.802]  He's Alex Jones on the GCN Radio Network.
[00:08:19.022 --> 00:08:23.143]  And now, live from Austin, Texas, Alex Jones.
[00:08:31.563 --> 00:08:33.924]  He really is founding father material.
[00:08:33.944 --> 00:08:42.388]  I know this interview will have its own life on the internet, so for new listeners, you can visit Infowars.com or PrisonPlanet.com and read his bio.
[00:08:42.408 --> 00:08:46.450]  We have banners up there that link over to his presidential run website.
[00:08:46.470 --> 00:08:47.110]  It's RonPaul2008.com.
[00:08:47.170 --> 00:08:47.891]  RonPaul2008.com.
[00:08:53.693 --> 00:09:09.987]  And Congressman, it's probably best to really start the interview officially for this full hour we've got with you, with Ron Paul in his own words, who you are, what your awakening was like, what formed your ideals, and why you're running for the presidency, and then I want to run through the economy.
[00:09:10.627 --> 00:09:17.693]  The war, open borders, the North American Union, and some of the things that you and most Americans who are informed think are most important.
[00:09:17.713 --> 00:09:22.157]  And then your strategies, if elected president, of what you would do to fight that.
[00:09:22.217 --> 00:09:28.443]  But first off, in a nutshell, who is Congressman, doctor, father, grandfather, Ron Paul?
[00:09:29.372 --> 00:09:35.995]  I was born and raised in Pittsburgh, Pennsylvania, and my goal was to become a physician, which I was able to achieve.
[00:09:36.055 --> 00:09:37.315]  I went to Duke Medical School.
[00:09:37.896 --> 00:09:44.178]  But as I was finishing medical school and getting into my training, I became fascinated with also reading about economic policy.
[00:09:44.238 --> 00:09:50.181]  I came across Hayek's book, The Road to Serfdom, and he represented the Austrian School of Economics.
[00:09:50.721 --> 00:10:08.037]  And that fascinated me because I believe they were on the right track in explaining why you had to have sound money, why you didn't need a central bank, and why you didn't need government to regulate the economy, and central economic planning always failed, and years and years ago they predicted that communism couldn't work and socialism always fails.
[00:10:08.417 --> 00:10:20.801]  So that fascinated me, and when the Bretton Woods system of money that was started right after World War II broke down in 1971, I thought, I need to talk about this because it fascinated me.
[00:10:21.322 --> 00:10:27.084]  And I was busy in a medical practice, but I just sort of on a lark ran for a congressional seat in the early 70s.
[00:10:28.184 --> 00:10:33.287]  And though I didn't win the first time, the second go-around I did and I won a congressional seat in 1976.
[00:10:33.487 --> 00:10:36.969]  But I've been back and forth in politics and medicine.
[00:10:37.029 --> 00:10:37.889]  I love medicine.
[00:10:37.909 --> 00:10:55.198]  I've delivered about 4,000 babies and I'm still fascinated with medicine, but right now I'm 100% involved in this political activity, maintaining my congressional seat as well as running for the nomination in the Republican primary for the presidency.
[00:10:55.638 --> 00:11:09.715]  So the issue that drove me the most to run probably was the economic issues, the fascination with how the monetary policy in the Federal Reserve was so damaging to our economy, and yet over the years,
[00:11:11.224 --> 00:11:35.343]  That interest in economic policy also transferred an interest into foreign policy because I saw the connection that our efforts to police the world and spend money and maintain an empire was dangerous, hurt our national security, was very damaging to our financial health, and it was connected in that if you have
[00:11:36.136 --> 00:11:48.284]  If you have military spending out of control as well as domestic entitlement spending out of control, the only way you can maintain it is through a central bank that creates money out of thin air, and they all came together.
[00:11:48.324 --> 00:12:00.832]  So I work very hard on foreign policy as well as monetary and economic policy, and serve on the banking committee, which is the financial services committee, as well as the joint economic committee, and also foreign affairs.
[00:12:03.130 --> 00:12:08.891]  If you were elected President, what would be the first actions that you would take?
[00:12:10.432 --> 00:12:13.572]  You know, there are so many things that can and should be done.
[00:12:14.032 --> 00:12:23.074]  There's a limit to what you can do without, you know, trying to follow best you can the rules, and that is getting Congress to go along.
[00:12:23.094 --> 00:12:24.434]  But there's still a lot you could do.
[00:12:24.894 --> 00:12:28.555]  As a Commander-in-Chief, you certainly could handle the troops around the world.
[00:12:29.091 --> 00:12:29.711]  I would not.
[00:12:30.671 --> 00:12:36.293]  I would start talking to all our allies, tell them what the plans were, and start coming home.
[00:12:37.133 --> 00:12:42.214]  And we are now spending close to a trillion dollars maintaining our foreign policy.
[00:12:42.814 --> 00:12:53.456]  And it's a lot bigger than most people realize, but if you add up the DOD, the supplementals, the interest on the money we spend in taking care of our veterans, and by the way, sometimes very poorly.
[00:12:53.776 --> 00:12:57.957]  It's also a foreign policy that has taken us from the most loved to the most hated.
[00:12:58.537 --> 00:12:59.477]  That is true.
[00:12:59.517 --> 00:13:06.659]  You know, they accuse us, who believe in the Constitution, in minding our own business, yet trading with people they call us isolationists.
[00:13:07.099 --> 00:13:09.000]  And yet, what have they done to us?
[00:13:09.080 --> 00:13:14.521]  They have made us, we've turned our country into isolationists.
[00:13:14.561 --> 00:13:16.121]  Diplomatically, we don't talk to anybody.
[00:13:16.141 --> 00:13:19.202]  We have more enemies than we've ever had before and fewer allies.
[00:13:19.722 --> 00:13:24.826]  And at the same time, our ability to defend this country is being diminished on a daily basis.
[00:13:25.386 --> 00:13:28.148]  And we worry about borders all around the world.
[00:13:28.248 --> 00:13:29.969]  We worry about borders in Korea.
[00:13:30.009 --> 00:13:32.731]  We worry about borders around Iraq.
[00:13:33.011 --> 00:13:34.892]  And what do we do with our own borders?
[00:13:34.992 --> 00:13:40.296]  They built a fence over two-thirds of Afghanistan that cost, what was it, $4 billion.
[00:13:40.776 --> 00:13:42.858]  And here, we don't do anything.
[00:13:42.978 --> 00:13:45.960]  We have behind the scenes the plan for a North American Union.
[00:13:46.642 --> 00:13:54.390]  And, you know, that's the part that the American people are starting to wake up to, although we have a long way to go to wake up Washington.
[00:13:54.450 --> 00:14:01.657]  It's amazing to me how many people outside of Washington are very much aware of some of these plans with this North American Union.
[00:14:02.017 --> 00:14:10.045]  At the same time, they're in total denial in Washington, except for the few who, behind the scenes, are laying the plans and providing the finances.
[00:14:10.946 --> 00:14:15.330]  Congressman, let's... I've got a whole gamut of questions I want to walk through with you.
[00:14:15.370 --> 00:14:17.192]  We're honored you're spending a full hour with us today.
[00:14:17.212 --> 00:14:18.873]  Our calls are coming up in 15 minutes, folks.
[00:14:19.454 --> 00:14:28.862]  But let's just right now, because I'm getting calls every day, emails every hour, calls every... I mean, it's wild the amount of support you've got, because we're being inundated.
[00:14:29.163 --> 00:14:30.464]  How do we help the Congressman?
[00:14:30.504 --> 00:14:31.665]  How do we help the Congressman?
[00:14:31.685 --> 00:14:32.766]  How do we help the Congressman?
[00:14:34.427 --> 00:14:36.991]  So, without giving away too much, what is your strategy?
[00:14:37.051 --> 00:14:39.433]  How do people in the 50 states support you?
[00:14:39.474 --> 00:14:41.356]  Number one, monetary right now, folks.
[00:14:41.416 --> 00:14:44.219]  I'm going to write a check today and mail it to the Congressman.
[00:14:44.580 --> 00:14:46.302]  You can also donate there on the website.
[00:14:47.383 --> 00:14:52.649]  Obviously, you haven't raised $23 million like Hillary, but you've raised, as you told me off air, $600,000 plus.
[00:14:54.211 --> 00:14:55.912]  How do people support you?
[00:14:55.932 --> 00:14:58.234]  I mean, I guess, number one, they've got to believe you can win.
[00:14:58.254 --> 00:14:59.715]  They've got to know you can win.
[00:15:00.135 --> 00:15:05.319]  And on top of that, regardless, you're going to interject some real sanity into the presidential debate.
[00:15:06.259 --> 00:15:08.161]  Well, let's hope so.
[00:15:08.361 --> 00:15:11.643]  And the competition isn't all that great, so I hope we do well.
[00:15:11.683 --> 00:15:13.784]  And that'll be coming up pretty soon.
[00:15:13.804 --> 00:15:18.448]  The first debate will be at the beginning of May in California.
[00:15:18.948 --> 00:15:20.309]  And I will be in that.
[00:15:20.749 --> 00:15:26.073]  But the most important thing, especially for us, is to raise the money so that we can hire the staff.
[00:15:26.453 --> 00:15:31.637]  But we also have a strategy that we have to be proportionate to what we have.
[00:15:32.177 --> 00:15:35.319]  We can't plan for television in California at this moment.
[00:15:35.339 --> 00:15:37.261]  That wouldn't be a wise decision.
[00:15:37.681 --> 00:15:40.783]  But we can work very hard in New Hampshire, very hard in Iowa.
[00:15:40.823 --> 00:15:41.484]  I will be leaving
[00:15:41.824 --> 00:15:46.766]  Within an hour or so after we finish this program, I'll be leaving for Iowa and I'll spend three days there.
[00:15:47.726 --> 00:15:55.269]  And that's my first trip there and we'll probably get a pretty good feel for how things are going and how the grassroots are responding in that state.
[00:15:55.730 --> 00:15:57.730]  But another early state is Nevada.
[00:15:57.770 --> 00:15:59.051]  That's a good state for us.
[00:15:59.071 --> 00:16:02.332]  I've been to Arizona and the reception there was exceptionally good.
[00:16:02.792 --> 00:16:09.495]  So the strategy will be to go into these five or six early primaries, the states that it's easier to reach.
[00:16:09.915 --> 00:16:10.135]  Thank you.
[00:16:16.738 --> 00:16:19.000]  Obviously, money is essential.
[00:16:19.681 --> 00:16:22.583]  You've got the policies, you've got the brain, you've got the crew.
[00:16:22.663 --> 00:16:23.464]  You need money.
[00:16:24.285 --> 00:16:28.248]  Specifically, Congressman, how do people support financially your presidential run?
[00:16:28.969 --> 00:16:37.536]  Well, the best way is to get hold of our website, RonPaul2008, and you can donate over the website.
[00:16:37.976 --> 00:16:43.441]  People who are not anxious to use the website and their credit cards over the internet,
[00:16:43.840 --> 00:16:46.542]  They should call 800-RON-PAUL.
[00:16:47.523 --> 00:16:56.869]  That's an 800 number we have and you can get details about the address to send the check and find out more about the campaign that way.
[00:16:57.389 --> 00:16:58.890]  That's 1-800-RON-PAUL.
[00:16:58.910 --> 00:17:04.314]  Ladies and gentlemen, I'm going to give $1,000 today to the campaign.
[00:17:04.334 --> 00:17:05.955]  These laws get so confusing.
[00:17:05.975 --> 00:17:07.736]  Can I give that much, Congressman, as an individual?
[00:17:08.156 --> 00:17:10.318]  Yes, matter of fact, I think it's now $2,300.
[00:17:12.995 --> 00:17:13.555]  Okay.
[00:17:13.575 --> 00:17:14.836]  Per person, per campaign.
[00:17:14.996 --> 00:17:17.417]  Well, right now, and I'm not a wealthy person, I'm going to give $1,000.
[00:17:17.877 --> 00:17:24.639]  And the reason I'm doing this is I don't want to hear this talk of he can't win, they're too big, the election machines, it's a fraud.
[00:17:25.059 --> 00:17:34.062]  Regardless, we've got a chance here with somebody who's got a perfect voting record, who has tried to abolish the Federal Reserve, who stands up to the Fed Chairman when he comes into the Banking Committee.
[00:17:34.082 --> 00:17:35.323]  We're going to play a clip later in the hour.
[00:17:35.783 --> 00:17:42.367]  We've got somebody who will bring the troops home, not like these fake Democrats who put on smoke-and-mirror, dog-and-pony, carnival-barking shows.
[00:17:42.808 --> 00:17:49.212]  We've got somebody who is dead-on on every single issue and who is popular in every single group.
[00:17:49.352 --> 00:17:52.734]  The liberals, the conservatives, the libertarians, the constitutionalists.
[00:17:53.035 --> 00:17:54.976]  We've got to get behind Congress from Ron Paul.
[00:17:54.996 --> 00:17:57.077]  This country is in dire straits.
[00:17:57.678 --> 00:17:59.299]  The economy is unraveling.
[00:17:59.519 --> 00:18:04.983]  There are so many problems and we cannot have a Hillary Clinton or a Mitt Romney or one of these
[00:18:05.643 --> 00:18:06.224]  That's exciting.
[00:18:20.419 --> 00:18:23.482]  Ross Perot with government contracts and spook behavior.
[00:18:23.502 --> 00:18:24.382]  I'm not going to attack him.
[00:18:24.442 --> 00:18:25.503]  I supported him at the time.
[00:18:25.803 --> 00:18:28.866]  It's just that Congressman Ron Paul doesn't have those skeletons.
[00:18:28.926 --> 00:18:29.586]  I know him well.
[00:18:29.846 --> 00:18:30.867]  I've looked at him carefully.
[00:18:31.127 --> 00:18:32.489]  And I'm telling you, get behind him.
[00:18:32.509 --> 00:18:35.491]  He can become a phenomenon like we saw with Ross Perot.
[00:18:35.531 --> 00:18:37.813]  And he can win, ladies and gentlemen.
[00:18:38.013 --> 00:18:39.974]  Now, this is a chance to be part of history.
[00:18:40.154 --> 00:18:42.156]  You go to Ron Paul's website.
[00:18:42.296 --> 00:18:43.997]  You go to ronpaul2008.com and you donate.
[00:18:44.017 --> 00:18:45.479]  Or you call 1-800-RON-PAUL and you donate.
[00:18:48.721 --> 00:18:50.001]  Right now.
[00:18:50.021 --> 00:18:50.822]  1-800-RonPaul.
[00:18:51.022 --> 00:18:52.282]  It's time to stop the talk.
[00:18:52.482 --> 00:18:53.563]  It's time to take action.
[00:18:53.583 --> 00:18:55.223]  Now, there are other strategies.
[00:18:55.603 --> 00:19:00.985]  Wherever the Congressman's going, you watch his website, where he's going to be, and if you live in that area, you come out and support him.
[00:19:01.005 --> 00:19:02.225]  You call the newspapers.
[00:19:02.445 --> 00:19:03.265]  You call the TV.
[00:19:03.325 --> 00:19:05.586]  Fox News had him on and said, man, you've got a lot of supporters.
[00:19:06.266 --> 00:19:12.968]  You have already been knocking down the doors at Fox, CNN, Bill Maher, to keep the buzz going, to demand they stop ignoring him.
[00:19:13.248 --> 00:19:14.749]  Every time the Congressman wins,
[00:19:15.669 --> 00:19:16.129]  A poll?
[00:19:16.469 --> 00:19:23.712]  They then pull him out and say, oh, his people are cheating, you know, there's no way he could be winning by 65-70% in a five-way poll.
[00:19:24.072 --> 00:19:24.312]  No!
[00:19:24.532 --> 00:19:25.712]  That is the will of the people.
[00:19:25.952 --> 00:19:34.315]  I'm here to tell you, ladies and gentlemen, people are anti-New World Order, they're pro-Constitution, and Ron Paul needs to be the next President of the United States!
[00:19:34.575 --> 00:19:37.916]  So right now, I want you to go to RonPaul2008.com, RonPaul2008.com,
[00:19:42.097 --> 00:19:50.529]  Or 1-800-RON-PAUL and I want you to donate and I want you to be extremely generous because this country and our children and our grandchildren depend on it.
[00:19:51.089 --> 00:19:55.595]  Listen, in a few years we may have to start evacuating the country, ladies and gentlemen, and there's nowhere to run.
[00:19:55.856 --> 00:19:58.279]  If we don't turn this around now, this is a real avenue.
[00:20:03.519 --> 00:20:09.106]  This is Jack Blood with the Genesis Radio Network, and I have an urgent message for our listeners.
[00:20:09.126 --> 00:20:14.092]  The mass media keeps telling us that we are the richest, most powerful economy in the world.
[00:20:14.512 --> 00:20:17.095]  If this is true, why can't we pay our bills?
[00:20:17.636 --> 00:20:20.980]  Why is the United States the world's largest debtor nation?
[00:20:21.796 --> 00:20:26.118]  The truth is that we are in the worst debt bubble in our nation's history.
[00:20:26.558 --> 00:20:29.740]  When the bubble bursts, will you be able to feed your family?
[00:20:30.360 --> 00:20:33.262]  When the inevitable crash occurs, will you be ready?
[00:20:33.982 --> 00:20:36.123]  Call Whitehurst International at 1-888-892-6238.
[00:20:36.163 --> 00:20:37.684]  That's 1-888-892-6238 for the following two free reports.
[00:20:46.748 --> 00:20:47.029]  U.S.
[00:20:47.109 --> 00:20:50.312]  debt bubble red alert and real estate crash.
[00:20:50.652 --> 00:20:51.653]  Call 888-8XANADU.
[00:20:51.893 --> 00:20:53.314]  That's 1-888-8XANADU.
[00:20:53.334 --> 00:20:53.935]  Ask for George.
[00:21:01.841 --> 00:21:05.483]  Have you ever felt like the United States government knows way too much about your financial affairs?
[00:21:05.903 --> 00:21:11.327]  I continue to hear stories about property seizures, frozen bank accounts, confiscation of stocks and bonds.
[00:21:11.787 --> 00:21:12.868]  It makes me wonder if a U.S.
[00:21:12.908 --> 00:21:16.970]  citizen will ever again have the right to life, liberty, and the pursuit of happiness.
[00:21:17.590 --> 00:21:30.838]  Unfortunately, with the Drug and Money Laundering Act, the IRS Revenue Ruling 6045 of 1984, and the Trading with the Enemy Act in Franklin D. Roosevelt's Executive Order of 1933, some precious metal holdings are subject to government intervention.
[00:21:31.418 --> 00:21:36.741]  For this reason, Midas Resources has prepared a report explaining the boundaries of trading precious metals privately.
[00:21:37.001 --> 00:21:43.564]  Whether if you have any intention of trading with Midas Resources or not, I have instructed my representatives to give this report out free.
[00:21:43.664 --> 00:21:44.904]  Call for your free copy at 1-800-686-2237.
[00:21:44.924 --> 00:21:46.005]  When investing, always proceed with caution.
[00:21:46.025 --> 00:21:46.525]  Again, call 1-800-686-2237.
[00:21:46.565 --> 00:21:48.286]  Exercise your legal right to trade metals privately.
[00:21:48.306 --> 00:21:48.366]  1-800-686-2237.
[00:22:01.355 --> 00:22:06.318]  Now you can bring Berkey Purification Power anywhere with the Sport Berkey Filtration Bottle.
[00:22:06.618 --> 00:22:12.060]  Ideal for sporting games, camping or boating, or Sport Berkey is small enough to store in your glove box.
[00:22:12.100 --> 00:22:16.382]  So it's ideal backup for unexpected emergencies like blackouts, floods or earthquakes.
[00:22:16.723 --> 00:22:19.744]  It's simply the best personal water filtration system available.
[00:22:20.064 --> 00:22:23.486]  So effective you can drink raw, untreated water from lakes, rivers and streams.
[00:22:23.826 --> 00:22:33.169]  Unlike other sport bottles, the Sport Berkey's patented filter formulation is so powerful it removes cysts, parasites, harmful bacteria, and chemicals like herbicides and pesticides.
[00:22:33.429 --> 00:22:36.930]  It even reduces radon-222, lead, and other heavy metals.
[00:22:37.170 --> 00:22:44.292]  This lightweight, rugged 22-ounce filter is small enough to go everywhere, so take one to work and keep another in your glove box for emergencies.
[00:22:44.532 --> 00:22:45.892]  Get the Berkey Sport for only $39.
[00:22:45.952 --> 00:22:47.693]  Get two for $70 by calling New Millennium at 888-803-4438.
[00:22:52.694 --> 00:22:54.055]  Order your Berkey Sport today!
[00:22:54.295 --> 00:22:56.897]  That's toll free, 888-803-4438 or order on the web at berkeywater.com.
[00:23:00.620 --> 00:23:02.361]  Hello friends, Alex Jones here.
[00:23:02.581 --> 00:23:06.283]  I want you to imagine waking up one morning to find out you've been burglarized.
[00:23:06.603 --> 00:23:08.805]  An intruder has taken your personal possessions.
[00:23:09.325 --> 00:23:15.549]  Credit card numbers, social security cards, banking information, and more, all in the hands of a total stranger.
[00:23:15.689 --> 00:23:20.592]  What's worse is, you realize he got it through your front door, because you left it unlocked.
[00:23:20.792 --> 00:23:29.757]  Every time you walk away from your computer, leaving your internet connection on, you are virtually inviting hackers, criminals, and Big Brother to access your personal information.
[00:23:30.137 --> 00:23:36.139]  Put a stop to this right now with the Net7 Network Security Switch from Net7 Technologies.
[00:23:36.399 --> 00:23:39.480]  Turn your internet on and off with one simple switch.
[00:23:39.580 --> 00:23:42.661]  There's no software to load, and it's so easy to install.
[00:23:43.021 --> 00:23:48.102]  Right now, you can order your Net7 Security Switch from Net7 Technologies for only $39.95.
[00:23:48.923 --> 00:23:52.024]  For a limited time, receive free shipping with your order.
[00:23:52.444 --> 00:23:54.404]  Visit net7tech.com.
[00:23:54.564 --> 00:23:59.626]  That's Net, the number 7, tech.com, and start protecting yourself today.
[00:24:12.046 --> 00:24:16.208]  I've been watching politics since I was a little bitty kid.
[00:24:16.448 --> 00:24:17.088]  Checking out the
[00:24:21.013 --> 00:24:34.137]  There's stuff going on with Watergate, and I've been doing talk radio for quite a while and covering this, so I know a little bit about politics, and I've talked to a lot of experts and strategists and people in both parties, and believe me, they're scared of Congressman Ron Paul.
[00:24:34.537 --> 00:24:39.018]  He's got a real chance to win, because you don't have election fraud machines in place everywhere.
[00:24:39.598 --> 00:24:41.279]  You've got massive grassroots support.
[00:24:41.339 --> 00:24:42.499]  People want a change.
[00:24:42.519 --> 00:24:45.260]  They want a true populist with constitutional principles.
[00:24:45.700 --> 00:24:49.401]  Congressman, you wanted to add one more point about the campaign, and then we would get into the questions.
[00:24:49.981 --> 00:24:52.942]  Right, you emphasize the need for money and that certainly is the case.
[00:24:53.483 --> 00:24:58.065]  But you know there are other things that can help a candidate like myself and that is the internet.
[00:24:58.085 --> 00:25:06.369]  The internet already has been very helpful and I think it's going to be more helpful as time goes on and that's something that is becoming more so every day.
[00:25:06.609 --> 00:25:09.610]  You know 10, 15 years ago it wasn't even significant.
[00:25:10.110 --> 00:25:15.873]  The other thing is that radio talk shows like what you have, they're very important.
[00:25:16.534 --> 00:25:22.322]  Almost every place I go somebody will come up to me and ask, ìHow did you get involved in this?î And it's through your show.
[00:25:22.462 --> 00:25:29.231]  So there's a lot of people who have joined our campaign and who have already started to show up at our events because of your encouragement.
[00:25:31.614 --> 00:25:32.335]  We're good to go.
[00:25:53.989 --> 00:25:58.991]  As important today to run a campaign that way as it used to be in the past.
[00:25:59.011 --> 00:26:06.273]  So, there's a lot of other reasons for us to be hopeful that this thing will take off and that we'll do much, much better than anybody ever dreamed we would.
[00:26:07.234 --> 00:26:08.394]  Well, I'm already seeing that.
[00:26:08.434 --> 00:26:13.516]  In fact, when you decided to run, you said you were, you know, testing the waters in your exploratory committee.
[00:26:13.796 --> 00:26:18.058]  And then you said, if memory serves, that it was a bigger response than you were even hoping for.
[00:26:18.078 --> 00:26:21.719]  Yeah, it wasn't a surprise to me, you know.
