[00:00:08.599 --> 00:00:09.860]  Monday through Friday from 11 a.m.
[00:13:29.128 --> 00:13:45.884]  I want to be super clear about this, but I just got off an interview where for the first time I also said in public, you know, that citizens should be able to ask any questions they want about 9-11 and that it's not a good sign in a democracy when there are some questions that are off limits.
[00:13:46.324 --> 00:13:57.350]  And I made it super clear that I'm not drawing any kind of conclusions, but that in a strong democracy, if citizens call for more investigation of a major crime, there's more investigation.
[00:13:57.350 --> 00:14:03.293]  Well, did you know that Glenn Beck and Bill O'Reilly have said that Ron Paul supporters are working for Al-Qaeda?
[00:14:03.293 --> 00:14:07.415]  And Glenn Beck called for the military to be used against citizens last week?
[00:14:07.415 --> 00:14:07.916]  Oh my God.
[00:14:07.916 --> 00:14:08.876]  No, I did not know that.
[00:14:08.876 --> 00:14:09.977]  You can actually watch the video.
[00:14:11.610 --> 00:14:12.070]  Why?
[00:14:12.070 --> 00:14:15.893]  Now Ron Paul supports it because they're for the Constitution?
[00:14:15.893 --> 00:14:18.374]  They're calling us domestic enemies.
[00:14:18.374 --> 00:14:19.995]  I had the Congresswoman on last week about it.
[00:14:19.995 --> 00:14:23.857]  In fact, we can even play the clips, but we're running out of time.
[00:14:23.857 --> 00:14:24.998]  But yes, they're now saying this.
[00:14:26.266 --> 00:14:28.988]  That's really scary, and they called out the military against them?
[00:14:28.988 --> 00:14:50.987]  Well, they said, we need to consider using the military, and then if you read, yes, against citizens, and then if you read, saying we're a domestic threat, and then if you read the John Warner Defense Authorization Act, it says for, it funds martial law for domestic insurrection by the citizenry, and then in PDD 51, Bush says that he's above continuity of government, not Congress.
[00:14:50.987 --> 00:14:51.668]  Yes, that's right.
[00:14:52.388 --> 00:15:02.472]  Well, that is super scary because I know that they're training FBI agents right now to identify people who are critical of the administration as terrorists, which is something right out of the Stalinist playbook.
[00:15:02.472 --> 00:15:08.495]  And, in fact, Norman Podhortz's new book identifies people like me and you, obviously, as quote-unquote domestic insurgents.
[00:15:08.968 --> 00:15:17.731]  And, you know, in a fascist shift, what I call a fascist shift, that's step eight and nine, which is to start identifying critics of the regime, or critics of the cadre in power.
[00:15:17.731 --> 00:15:19.212]  But here's the good news, Naomi.
[00:15:19.212 --> 00:15:20.292]  Yes, sir.
[00:15:20.292 --> 00:15:21.773]  Here's the good news.
[00:15:21.773 --> 00:15:23.253]  Hitler did it and was popular.
[00:15:23.253 --> 00:15:26.095]  They're doing it and totally blowing their cover.
[00:15:26.095 --> 00:15:27.155]  That, I think, is the good news.
[00:15:28.033 --> 00:15:45.223]  That is good news, but until there's a revolution, like starting yesterday, of American patriots across the political spectrum to investigate, identify these crimes, prosecute and put these people in jail, because impeachment, the historical record shows, is not safe enough for people who are this kind of violent criminals.
[00:15:45.223 --> 00:15:45.523]  I agree.
[00:15:45.523 --> 00:15:47.004]  No, no, this is life and death.
[00:15:47.004 --> 00:15:50.686]  Invoke the terrifying internal or external enemy in 9-11.
[00:15:50.686 --> 00:15:51.446]  Let's go through them.
[00:15:53.207 --> 00:15:59.713]  All would-be dictators, left or right, invoke a terrifying internal and external enemy, often a real one, that they will hype and manipulate.
[00:15:59.713 --> 00:16:10.002]  The second thing they always do is create a secret prison system that is outside the rule of law, by secret I mean unaccountable, where torture takes place, and they often create military commissions.
[00:16:10.002 --> 00:16:18.509]  There's always a blurring of the line, where they start by torturing people seen as at the margins of society, and then inevitably move into directing state abuse against
[00:16:19.116 --> 00:16:25.181]  Uh, people at the heart of civil society, journalists, editors, opposition leaders, outspoken clergy, and labor leaders.
[00:16:25.181 --> 00:16:27.503]  At that point, people start to self-censor.
[00:16:27.503 --> 00:16:29.584]  And that's why the enemy combatant thing scares me to death.
[00:16:29.584 --> 00:16:33.327]  The president can say, Naomi Wolf, you're an enemy combatant.
[00:16:33.327 --> 00:16:34.888]  Uh, Joe Blow, you're an enemy combatant.
[00:16:34.888 --> 00:16:42.594]  And innocent American citizens, once he says this, can be put in a 10 by 12 foot cell in a Navy brig and kept there in isolation for three years.
[00:16:42.654 --> 00:16:53.427]  And they're now trying to introduce that idea as a White House talking point we got that anti-war libertarians, liberals are aiding terrorists and should be banned.
[00:16:54.213 --> 00:16:54.714]  Lovely.
[00:16:54.714 --> 00:16:55.935]  I mean, this is just predictable.
[00:16:55.935 --> 00:16:57.456]  The blueprint is predictable.
[00:16:57.456 --> 00:16:59.978]  You could tell six months ago that this was ahead.
[00:16:59.978 --> 00:17:07.646]  And what's interesting to me, also historically predictable, is as people start to wake up, the regime is starting to ramp down.
[00:17:07.646 --> 00:17:08.887]  Because it is a race against time.
[00:17:08.887 --> 00:17:09.928]  Like, who's going to win?
[00:17:09.928 --> 00:17:12.130]  Are we going to wake up in time and put them in prison?
[00:17:12.130 --> 00:17:15.673]  Or are they going to get us, you know, and push us past the point of no return?
[00:17:15.673 --> 00:17:16.894]  Which is very quick.
[00:17:16.894 --> 00:17:19.476]  Boy, you are certainly on the same page as I am.
[00:17:19.476 --> 00:17:20.578]  Oh, my goodness.
[00:17:20.578 --> 00:17:20.878]  Yeah.
[00:17:21.378 --> 00:17:22.938]  All right, well, let's hope we win.
[00:17:22.938 --> 00:17:28.140]  The third thing they always do is create a paramilitary force that is not answerable to the citizens.
[00:17:28.140 --> 00:17:28.720]  Blackwater.
[00:17:28.720 --> 00:17:30.160]  Blackwater, exactly.
[00:17:30.160 --> 00:17:33.101]  And they are operating in the United States right now.
[00:17:33.101 --> 00:17:43.063]  They're hand-selected torturers and murderers, regimes like Chile, Pinochet's guys, El Salvador, Nigeria, where they torture their own citizens.
[00:17:43.063 --> 00:17:45.064]  And they're opening training grounds in
[00:17:45.844 --> 00:17:46.345]  It is a big idea.
[00:17:46.345 --> 00:17:47.125]  A new world order.
[00:17:47.125 --> 00:17:49.107]  In the near future, Earth is dominated by a powerful new government.
[00:17:49.107 --> 00:17:50.108]  It's known as the Builder Bird.
[00:17:50.108 --> 00:17:51.449]  Could their objective be world domination?
[00:18:14.992 --> 00:18:18.175]  For thousands of years, their dark order grew.
[00:18:18.175 --> 00:18:28.525]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:18:28.525 --> 00:18:33.430]  For the first time in history, the elite's plan for world government is blown wide open.
[00:18:33.965 --> 00:18:37.846]  You will learn the secret that drives the entire New World Order agenda.
[00:18:37.846 --> 00:18:40.387]  Bill of Rights is making great progress toward a world government.
[00:18:40.387 --> 00:18:41.428]  Most people have no idea.
[00:18:41.428 --> 00:18:42.328]  They're not after money.
[00:18:42.328 --> 00:18:43.629]  They have all the money they need.
[00:18:43.629 --> 00:18:44.609]  They're after power.
[00:18:44.609 --> 00:18:45.769]  That's what they're after.
[00:18:45.769 --> 00:18:50.511]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com.
[00:18:50.511 --> 00:18:54.072]  Or watch it online right now at PrisonPlanet.tv.
[00:18:54.072 --> 00:18:57.273]  Endgame, blueprint for global enslavement.
[00:18:57.273 --> 00:18:58.434]  You have been warned.
[00:18:59.441 --> 00:19:04.823]  Nuclear reactors provide economical energy, but would you be prepared during an accident?
[00:19:04.823 --> 00:19:13.165]  During nuclear disasters, great amounts of radioactive iodine are released into the atmosphere, which are then readily absorbed into the body.
[00:19:13.165 --> 00:19:20.207]  Medical course potassium iodate gives you virtually complete protection from the most feared consequence of a nuclear accident.
[00:19:20.407 --> 00:19:21.748]  Radioactive poisoning.
[00:19:21.748 --> 00:19:27.831]  Potassium iodate can protect against radioactive poisoning by filling the thyroid with good iodine.
[00:19:27.831 --> 00:19:33.054]  This shields the thyroid and prevents it from absorbing the harmful radioactive iodine.
[00:19:33.054 --> 00:19:42.178]  Potassium iodate is better than the iodide form because it is not as likely to cause upset stomachs in children, the elderly, the sick, and pets.
[00:19:42.178 --> 00:19:46.961]  Order the official potassium iodate for only $24 and save $5 by calling New Millennium
[00:19:50.759 --> 00:19:51.922]  We're good to go.
[00:19:59.122 --> 00:20:06.928]  Hi, I'm Lynette Brooks, founder of MediCleanse, the original colon cleanse combining the healing power of flaxseed with the detoxification of bentonite clay.
[00:20:06.928 --> 00:20:13.373]  In a perfect world, we would eat natural healthy foods, but the foods we eat today are not the foods nature intended for us.
[00:20:13.373 --> 00:20:15.435]  Fast food is toxic food.
[00:20:15.435 --> 00:20:19.097]  I've been producing MediCleanse for over 20 years, and customers from across the U.S.
[00:20:19.097 --> 00:20:27.784]  say that MediCleanse helps your body detoxify from fast foods as well as other environmental poisons, such as heavy metals and pesticides in the intestinal tract.
[00:20:27.784 --> 00:20:28.985]  For centuries, flax has been known
[00:20:28.985 --> 00:20:30.847]  Radiant health has never been easier.
[00:21:04.295 --> 00:21:05.697]  Alex Jones here, back live.
[00:21:05.697 --> 00:21:07.219]  Don't forget my new film, Endgame.
[00:21:07.219 --> 00:21:09.903]  Blueprint for Global Enslavement is out on DVD.
[00:21:09.903 --> 00:21:14.569]  It's gone as high as, what, 18 on the Amazon video charts.
[00:21:14.569 --> 00:21:17.493]  Number one documentary for a week straight.
[00:21:17.493 --> 00:21:21.919]  And Loose Change Final Cut, which I'm the executive producer of,
[00:21:22.774 --> 00:21:24.175]  Totally new film, ladies and gentlemen.
[00:21:24.175 --> 00:21:25.295]  Just been out for two weeks.
[00:21:25.295 --> 00:21:28.337]  Available on DVD at PrisonPlanet.com as well.
[00:21:28.337 --> 00:21:29.557]  Not on Amazon.
[00:21:29.557 --> 00:21:30.618]  One place to get it.
[00:21:30.618 --> 00:21:33.479]  PrisonPlanet.com or by calling 888-253-3139.
[00:21:33.479 --> 00:21:41.143]  Well, I mean, she's an amazing lady and just very well versed in so many subjects.
[00:21:41.143 --> 00:21:43.044]  We're going to have her for five minutes into the next hour.
[00:21:43.044 --> 00:21:48.687]  It's clear I'm going to have to get her back up for a full hour if she'll grace us with that much time in the near future.
[00:21:48.687 --> 00:21:50.988]  Naomi, continuing with the steps.
[00:21:51.903 --> 00:21:56.005]  Sure, so paramilitary force outside the rule of law of Blackwater.
[00:21:56.005 --> 00:22:11.253]  They can show up tomorrow outside our doors to crack down on civil society with, as you mentioned, the Defense Authorization Act of 2007, which gives the President the power to declare a public emergency, federalize the National Guard over the objections of governors.
[00:22:11.253 --> 00:22:13.394]  And it says for insurrection.
[00:22:13.394 --> 00:22:15.695]  It says for the American people.
[00:22:15.695 --> 00:22:15.855]  Yep.
[00:22:16.676 --> 00:22:19.419]  Yeah, he can do that tomorrow because he says so.
[00:22:19.419 --> 00:22:26.686]  The fourth thing you need to close down an open society is to direct a surveillance apparatus at ordinary citizens.
[00:22:26.686 --> 00:22:29.829]  And by the way, there's a huge profit incentive because in the wake of the
[00:22:30.308 --> 00:22:39.610]  Cold War, the third of the economy that was making Cold War weapons, like Boeing and Raytheon, needed to, you know, they were looking at declining market share unless they could find a new enemy.
[00:22:39.610 --> 00:22:40.010]  That's right.
[00:22:40.010 --> 00:22:43.631]  First they had the Soviets, now they have the Arabs, now it's going to be us.
[00:22:43.631 --> 00:22:56.394]  Rand and others have said this, and then it integrates it, just like many of your new student packages that the students get, scholarships, are for this whole apparatus.
[00:22:57.054 --> 00:23:18.404]  Exactly, and they've got, so now there's billions of profits to be made if we hype a global enemy, if we turn the quote-unquote war on terror into something much bigger than it really is, and if we turn the enemy into us, because then they're creating the surveillance and security technologies now, they have lobbyists who sit down with Homeland Security and write the laws and the policies.
[00:23:18.404 --> 00:23:22.986]  So, you know, that's why when our organization tried, the American Freedom Campaign, tried to get
[00:23:23.450 --> 00:23:24.251]  We're good to go.
[00:23:49.788 --> 00:23:55.894]  And by the way, this only accelerates once you go into this paradigm of the predatory economy, it only gets bigger.
[00:23:55.894 --> 00:23:57.255]  Yeah, that's really scary.
[00:23:57.255 --> 00:24:10.747]  I mean, what we saw the model in Italy and Germany, someone just pointed out in their right, that now there are technologies that can amplify control and terror of civilians massively, or that can be used to liberate.
[00:24:12.155 --> 00:24:19.383]  Have you heard they're now putting in cameras all over, first in England, that shout orders at you, and they have police cars that scan everyone's plates?
[00:24:19.383 --> 00:24:20.023]  Oh my lord.
[00:24:20.023 --> 00:24:22.826]  I knew about the scanning of the plates, I didn't know about the shouting orders.
[00:24:22.826 --> 00:24:24.248]  That's very disturbing.
[00:24:24.248 --> 00:24:29.754]  Number five, because I know you want me to get through these quickly if I can, is infiltrate citizens' groups.
[00:24:30.454 --> 00:24:37.059]  Oh, by the way, the surveillance, the TSA watch list and the no-fly list started out 45,000 US citizens.
[00:24:37.059 --> 00:24:38.200]  I'm one of them.
[00:24:38.200 --> 00:24:49.088]  Many critics of the administration are on the watch list, but it's gone up to 775,000 American citizens, 20,000 names added every month.
[00:24:49.088 --> 00:24:52.611]  And these are people who are environmental activists, anti-war activists.
[00:24:53.035 --> 00:24:53.335]  Unbelievable!
[00:24:53.335 --> 00:24:53.756]  Unbelievable!
[00:25:09.287 --> 00:25:11.928]  Now again, folks, if we give... and this is admitted.
[00:25:11.928 --> 00:25:13.708]  We always knew they had lists.
[00:25:13.708 --> 00:25:14.728]  Now they're public.
[00:25:14.728 --> 00:25:16.029]  This is the intimidation.
[00:25:16.029 --> 00:25:18.809]  If we give in, they win.
[00:25:18.809 --> 00:25:25.551]  The only problem is they put so many people on it now, they're letting you fly most of the time, so they put too many on it.
[00:25:25.551 --> 00:25:26.531]  Stay there, Naomi Wolf.
[00:25:26.531 --> 00:25:27.451]  Oh, I wish we had you longer.
[00:25:27.451 --> 00:25:29.932]  Five more minutes after this 60-second break.
[00:25:29.932 --> 00:25:32.033]  We'll get into the other four points.
[00:25:32.033 --> 00:25:34.073]  Her new book is The End of America.
[00:25:34.073 --> 00:25:35.133]  Folks, this is it.
[00:25:35.133 --> 00:25:36.154]  They're making their move.
[00:25:36.154 --> 00:25:36.934]  It's not a joke.
[00:25:36.934 --> 00:25:37.514]  It's not a game.
[00:25:41.525 --> 00:25:44.786]  Thank you for listening to GCN.
[00:25:44.786 --> 00:25:51.829]  Visit GCNlive.com today.
[00:25:51.829 --> 00:25:53.210]  The War on Terrorism.
[00:25:53.210 --> 00:25:56.251]  Will it be fought overseas, or will it affect us here at home?
[00:25:56.251 --> 00:26:00.833]  If you are like most folks, you want to be prepared, but can't afford an underground shelter.
[00:26:00.833 --> 00:26:01.974]  So what do you do?
[00:26:01.974 --> 00:26:07.036]  Did you know that you can use your home as a shelter against fallout and biological or chemical attacks?
[00:26:07.036 --> 00:26:09.137]  With a little know-how, it's not that difficult.
[00:26:09.637 --> 00:26:14.984]  Sheltering in Place, surviving acts of terrorism from biological, chemical and radioactive fallout.
[00:26:14.984 --> 00:26:24.396]  Developed by Wayne LeBaron, a health physicist who has served as a specialist in environmental health, communicable diseases and has worked as a nuclear specialist for the U.S.
[00:26:24.396 --> 00:26:24.777]  government.
[00:26:24.957 --> 00:26:31.800]  It gives you easy-to-follow video instructions and walks you step-by-step through the process of preparing your home as a shelter.
[00:26:31.800 --> 00:26:36.642]  Get this critical video every American needs for only $29 plus shipping.
[00:26:36.642 --> 00:26:38.442]  Order by calling New Millennium today at 888-803-4438.
[00:26:38.442 --> 00:26:38.742]  That's 888-803-4438.
[00:26:38.742 --> 00:26:40.223]  Or order on the web at berkeywater.com.
[00:26:52.762 --> 00:26:55.164]  Waging war on corruption.
[00:26:55.164 --> 00:27:04.490]  Alex Jones on the GCN Radio Network.
[00:27:04.490 --> 00:27:05.811]  Big Brother.
[00:27:05.811 --> 00:27:07.572]  Mainstream media.
[00:27:07.572 --> 00:27:09.333]  Government cover-ups.
[00:27:09.333 --> 00:27:10.894]  You want answers?
[00:27:10.894 --> 00:27:12.475]  Well, so does he.
[00:27:12.475 --> 00:27:16.658]  He's Alex Jones on the GCN Radio Network.
[00:27:16.658 --> 00:27:20.721]  And now, live from Austin, Texas, Alex Jones.
[00:27:29.379 --> 00:27:35.284]  Well, we're clearly going to get her back up for a full hour in the next few weeks.
[00:27:35.284 --> 00:27:36.825]  She is hot on the trail.
[00:27:36.825 --> 00:27:38.706]  She's learned a lot of stuff I didn't know.
[00:27:38.706 --> 00:27:39.967]  I've got a lot of stuff she didn't know.
[00:27:39.967 --> 00:27:42.530]  Because it's so big, no one person can know it all.
[00:27:42.530 --> 00:27:45.012]  She's a great person and put out a great book.
