[00:00:00.349 --> 00:00:01.370]  I'm great.
[00:08:37.450 --> 00:08:43.475]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:08:44.096 --> 00:08:47.058]  It's Alex Jones and the GCN Radio Network.
[00:08:50.487 --> 00:08:55.889]  Alright, we've got a big broadcast lined up for you today, now eight minutes into the second segment here.
[00:08:57.630 --> 00:09:06.174]  We have the father of the Hawaiian-American who is refusing to be redeployed to Iraq because he believes it's an illegal war.
[00:09:06.194 --> 00:09:07.794]  I commend his stand.
[00:09:07.815 --> 00:09:08.875]  He's being court-martialed.
[00:09:09.315 --> 00:09:11.656]  His father will be joining us in the second hour.
[00:09:11.676 --> 00:09:15.718]  I also want to play a clip of a Riley grilling
[00:09:16.942 --> 00:09:20.264]  Some poor lady who stands up to him and does an admirable job.
[00:09:20.304 --> 00:09:27.387]  And I wanted to walk through the different propaganda tactics that are used by O'Reilly.
[00:09:28.128 --> 00:09:34.051]  And we have, as I mentioned earlier, an incredible clip coming up at the bottom of the hour from Lou Dobbs on fire.
[00:09:34.451 --> 00:09:36.452]  This tops all the previous reports.
[00:09:37.205 --> 00:09:47.273]  About the North American slash Pan-American Union calling George Bush Senior and Bush Junior out and just point blank saying it's a New World Order plan.
[00:09:48.914 --> 00:09:52.156]  Even playing clips of Bush Senior saying New World Order.
[00:09:53.097 --> 00:09:56.179]  And there's no doubt that Lou Dobbs people watch and listen to the show.
[00:09:56.219 --> 00:10:05.366]  You know I've talked to some of the biggest producers at CNN and they tell me, oh we know it's a New World Order, oh we know what's happening but we're not allowed to
[00:10:06.053 --> 00:10:08.113]  Have you on and we're not allowed to tell the truth?
[00:10:08.233 --> 00:10:09.154]  Oh, we wish we could.
[00:10:09.974 --> 00:10:12.354]  And I've had Fox producers tell me that too.
[00:10:13.154 --> 00:10:23.936]  So understand, you got a lot of sociopaths or egomaniacs who are the news anchors and the people that get on television, who do what they do because they've sold their soul to the New World Order.
[00:10:24.396 --> 00:10:31.097]  But a lot of people behind the scenes are literally just taking a paycheck as mercenaries and hate their jobs.
[00:10:31.477 --> 00:10:34.538]  People ask, why, how come Lou Dobbs is allowed to do what he's doing?
[00:10:35.525 --> 00:10:49.317]  Back in the late 1990s, he was not given control, editorial control, and before he started going public about world government and doing an excellent show, I had already just picked up this factoid trivia.
[00:10:50.639 --> 00:10:59.707]  So I already knew this about Dobbs, that in the late to mid 1990s, it was about 97 or so, he got into a contract negotiation with CNN,
[00:11:01.056 --> 00:11:02.437]  And he wanted editorial control.
[00:11:03.037 --> 00:11:03.918]  Few have that.
[00:11:03.998 --> 00:11:05.659]  O'Reilly has that over his program.
[00:11:06.660 --> 00:11:08.081]  And they wouldn't give it to him.
[00:11:08.161 --> 00:11:11.103]  Dobbs left and went and ran some internet company.
[00:11:12.104 --> 00:11:23.011]  And then at the end of the dot-com bust, what, in 2001 or 2002, he came back to CNN, but did get a contract where he controls his own show year to year.
[00:11:24.152 --> 00:11:28.875]  And so that's why you see him being able to talk about real issues.
[00:11:30.476 --> 00:11:35.038]  Of course, he now has the highest ratings on CNN, higher than Larry King Live.
[00:11:36.079 --> 00:11:39.440]  Same thing, highest ratings on MSNBC, Keith Olbermann.
[00:11:40.601 --> 00:11:49.805]  Now, I tend to think Dobbs is a better person, just analyzing him, assessing him, than Olbermann.
[00:11:49.885 --> 00:11:59.909]  Olbermann's more of a Democratic operative who I admire and I think has a lot of courage and has done a lot of good, but you notice he's kind of backed off now that Democrats are in power.
[00:12:00.658 --> 00:12:06.362]  He's not illustrating how they're going right along with the expansion and escalation of the war.
[00:12:07.783 --> 00:12:12.786]  And you notice Oberman always acts like it's Bush running things and Bush is doing things.
[00:12:14.279 --> 00:12:18.001]  And to be fair, Dobbs does that to a certain extent in this piece that's coming up.
[00:12:18.321 --> 00:12:23.004]  He talks about, oh no, this is the elite's New World Order.
[00:12:23.024 --> 00:12:28.607]  But then he goes on to elaborate, this is George Bush Senior's New World Order that Junior's carrying out.
[00:12:29.067 --> 00:12:31.308]  Junior's carrying out Daddy's plan.
[00:12:32.789 --> 00:12:37.912]  George Herbert Walker Bush was, in his own words, a Rockefeller Republican.
[00:12:38.952 --> 00:12:43.555]  And that's the agenda that he's carrying out.
[00:12:45.760 --> 00:13:00.872]  And if you don't know what the Rockefeller agenda is, the stated agenda is to destroy the middle class, destroy our borders, destroy our sovereignty, disarm the American people, and have a one-child policy, just for starters.
[00:13:01.993 --> 00:13:11.481]  And again, the whole Rockefeller clan has written books, they fund hundreds of foundations and different front groups that push all of this.
[00:13:12.241 --> 00:13:13.182]  It's in triplicate.
[00:13:14.119 --> 00:13:21.220]  They're so arrogant, though, they know the average person doesn't spend their time reading Council on Foreign Relations policy papers.
[00:13:22.921 --> 00:13:26.321]  Or, you know, David Rockefeller's memoirs, 2003.
[00:13:27.901 --> 00:13:28.762]  But we do.
[00:13:29.322 --> 00:13:32.082]  And let me tell you, it is not pretty.
[00:13:33.742 --> 00:13:41.824]  Now, we've evidence, and more and more evidence has come out since we started reporting this about ten years ago, that Bill Clinton and the Bushes
[00:13:43.949 --> 00:14:06.759]  Bill Clinton was recruited in the late sixties in the CIA, just like it's now come out, in major British newspapers, admitted that Tony Blair, from the time he left high school, I mean, he was a freshman in college, and he was already M.I.5.
[00:14:07.940 --> 00:14:09.300]  Internal Security.
[00:14:10.561 --> 00:14:11.261]  That's on record.
[00:14:11.281 --> 00:14:12.202]  Just type Tony Blair M.I.5.
[00:14:14.042 --> 00:14:14.982]  Of course he was!
[00:14:15.122 --> 00:14:18.384]  I mean, they get these people out of high school!
[00:14:19.444 --> 00:14:19.844]  Okay?
[00:14:20.224 --> 00:14:21.545]  And that's why George Bush Sr.
[00:14:21.585 --> 00:14:22.905]  met 11 times with Bill Clinton.
[00:14:23.205 --> 00:14:24.006]  That's why Bush Sr.
[00:14:24.026 --> 00:14:25.967]  didn't really campaign in the 1992 election.
[00:14:27.757 --> 00:14:28.897]  That's why Bush Sr.
[00:14:30.778 --> 00:14:35.239]  now vacations with Clinton and all they do is worship each other and talk about how he's a member of the family.
[00:14:35.619 --> 00:14:40.820]  Because that guy has been handled by Bush Sr.
[00:14:41.140 --> 00:14:42.740]  and all the evidence, we know Bush Sr.
[00:14:42.780 --> 00:14:51.362]  was CIA, we know Clinton's CIA, but all the evidence shows he was handling him from the early 1970s on.
[00:14:52.863 --> 00:14:54.863]  And it's perfect for them.
[00:14:55.879 --> 00:14:57.199]  It's absolutely perfect.
[00:14:57.239 --> 00:15:11.904]  I mean, they can't just stay in office forever, have eight years of Bush, because that's really who was president with Ronald Reagan, and mainstream historians, and presidential, you know, even Kitty Kelly's written that.
[00:15:11.984 --> 00:15:16.006]  I mean, this is, that after Reagan got shot, especially, I mean, he didn't run anything.
[00:15:16.486 --> 00:15:23.548]  And then you got four more years of Bush, and then you got eight years of Clinton, and now you've gotten six, seven more years.
[00:15:24.209 --> 00:15:25.029]  How many years is that?
[00:15:25.169 --> 00:15:25.309]  Eight?
[00:15:26.664 --> 00:15:28.367]  And then four is twelve.
[00:15:28.387 --> 00:15:32.855]  And then we get eight more, that's twenty.
[00:15:32.875 --> 00:15:35.619]  And then we get six more.
[00:15:36.060 --> 00:15:40.568]  Twenty-six years as president.
[00:15:42.188 --> 00:15:43.488]  George Herbert Walker Bush.
[00:15:43.548 --> 00:15:58.331]  I mean, if anybody is running things from 1980 until now, if anybody's got more influence over the puppet power seat, it is George Herbert Walker Bush, who is a total tool of the Rockefeller family.
[00:15:59.671 --> 00:16:00.411]  Brags about it.
[00:16:00.971 --> 00:16:03.112]  Says, I'm a Rockefeller Republican.
[00:16:05.932 --> 00:16:09.493]  And now they've got Jeb on the wings, they've got Hillary totally bought and paid for.
[00:16:10.299 --> 00:16:11.700]  I mean, just look at how they operate.
[00:16:12.081 --> 00:16:16.945]  And of course, remember, four and a half years ago, they set up the 9-11 whitewash commission?
[00:16:16.965 --> 00:16:21.309]  You know, they were announcing they were going to have it the next year, and they said, an independent voice!
[00:16:21.689 --> 00:16:22.270]  Independent!
[00:16:22.930 --> 00:16:24.752]  It's Henry Kissinger!
[00:16:24.872 --> 00:16:25.733]  Come on down!
[00:16:25.813 --> 00:16:28.295]  People went, wait a minute.
[00:16:31.218 --> 00:16:34.501]  This guy's the real power behind the throne, given the Bush's orders.
[00:16:34.901 --> 00:16:35.762]  Rothschild agent.
[00:16:37.515 --> 00:16:46.579]  Well, wait a minute, he's the big Harvard triple PhD, which he only gave to a few people who then sit in that seat of power as a top-level manager for the globalists.
[00:16:47.679 --> 00:17:03.806]  And it turns out that Bush's entire administration, every week, whether it's the ranch, or whether it's Washington, or if history has to fly to a foreign country, if Bush is there, every week they go into a closed room for upwards of two hours.
[00:17:05.828 --> 00:17:07.089]  That just came out a few months ago.
[00:17:07.329 --> 00:17:09.670]  That they meet every week!
[00:17:13.871 --> 00:17:18.533]  And Henry Kissinger tells him exactly what to do.
[00:17:21.614 --> 00:17:23.535]  And boy, does he do it.
[00:17:27.517 --> 00:17:28.717]  It's amazing.
[00:17:29.177 --> 00:17:31.818]  And then a few months ago, a few weeks ago, was that a month ago?
[00:17:32.099 --> 00:17:35.360]  We play a clip of Dick Cheney at the CFR.
[00:17:37.484 --> 00:17:59.380]  Saying that he was co-chairman in the past, and that he kept it secret from his constituents, ha ha ha, and people email and they post to the message board under the video clip saying it's a fake video, or saying, oh, he was joking, he hates David Rockefeller, he fights the New World Order.
[00:17:59.881 --> 00:18:06.786]  I mean, you guys are delusional to the extreme that believe that, and that's the type of stuff we deal with.
[00:18:07.654 --> 00:18:27.962]  We've got David Rockefeller, Dick Cheney, all these people openly destroying our country before our very eyes, and you tell somebody whose car is festooned with Bush stickers and Condio 8 stickers, that, and they'll probably agree with us on most issues, but they just cannot compute it.
[00:18:28.442 --> 00:18:29.922]  They cannot get it.
[00:18:30.603 --> 00:18:31.763]  They will not get it.
[00:18:35.214 --> 00:18:38.936]  Controlling this government means you control tens of trillions of dollars a year.
[00:18:39.896 --> 00:18:51.961]  Now, do you think major global corporations are going to leave that type of wealth and power in the hands of the people, or are they going to attempt by hook or by crook, with every energy they've got, to get control of government?
[00:18:52.161 --> 00:18:53.202]  That's the biggest business!
[00:18:53.222 --> 00:19:00.605]  It isn't making computers, it isn't pharmaceuticals, it isn't making cars, it isn't making highways, it isn't education,
[00:19:01.463 --> 00:19:11.788]  The biggest industry is lobbying and getting corporate welfare and now getting governmental power signed over to your corporation by the government.
[00:19:13.429 --> 00:19:13.889]  It's simple.
[00:19:14.450 --> 00:19:20.733]  The defense contractors owned by the central banks are simply making themselves our occupiers by law.
[00:19:22.521 --> 00:19:36.029]  And they got 20 TV shows that mimic torture and secret arrest and make the people doing it all heroes and weak-minded America watches it and is having their souls warped right now to accept all of this.
[00:19:36.409 --> 00:19:43.553]  And the minute they think they can greenlight and go with it, they are going to start going around and having gunfights with people and arresting people and rounding them up.
[00:19:43.613 --> 00:19:47.395]  I mean, that is... Look, anywhere they're able to, they do it.
[00:19:47.616 --> 00:19:47.876]  Okay?
[00:19:47.936 --> 00:19:49.997]  Our government funded MAL to do it.
[00:19:50.763 --> 00:19:52.063]  David Rockefeller in 76.
[00:19:52.183 --> 00:19:53.344]  I ought to go pull that quote.
[00:19:53.384 --> 00:19:55.164]  It's in my book, Descent into Tyranny.
[00:19:55.244 --> 00:19:56.645]  I have the New York Times article.
[00:19:56.665 --> 00:20:00.046]  In fact, I've got to dig that out for the film I'm making.
[00:20:01.806 --> 00:20:02.406]  Just thought of that.
[00:20:02.426 --> 00:20:03.567]  There's so many points.
[00:20:04.327 --> 00:20:05.087]  Rockefeller, Mao.
[00:20:05.187 --> 00:20:06.108]  Let me write that down.
[00:20:09.489 --> 00:20:12.569]  And he says, oh, we love Mao.
[00:20:12.589 --> 00:20:13.710]  We love everything Mao did.
[00:20:14.770 --> 00:20:17.491]  Mao had killed 60 million people by then.
[00:20:19.225 --> 00:20:22.208]  So, if they can get away with it here, they'll do it.
[00:20:23.709 --> 00:20:24.550]  And you go, why?
[00:20:25.431 --> 00:20:28.754]  Why does Ted Bundy strangle women and bite big chunks out of them?
[00:20:29.795 --> 00:20:31.556]  Why does Jeffrey Dahmer fillet people?
[00:20:33.098 --> 00:20:34.939]  I mean, it's a question you need to answer.
[00:20:39.403 --> 00:20:41.345]  Do you know the truth about breast cancer?
[00:20:41.846 --> 00:20:44.228]  Do you realize that the race for the cure is over?
[00:20:45.043 --> 00:20:53.465]  The best-kept secret in the world today is that now it's possible to kill cancer without personal suffering, mutilation, and poisoning of your entire system.
[00:20:54.425 --> 00:20:59.327]  Now it's cancer's turn to die with LaysMed Incorporated's patented methodology.
[00:20:59.967 --> 00:21:09.949]  Without cutting, bleeding, drugs, or damaging radiation, we can destroy skin cancer and breast tumors of any size without adverse side effects at a physician's office.
[00:21:10.429 --> 00:21:12.690]  Star War technology at its best.
[00:21:13.524 --> 00:21:14.865]  For more information, call 702-953-0267.
[00:21:14.885 --> 00:21:14.925]  702-953-0267.
[00:21:14.965 --> 00:21:15.945]  Or visit www.laysmedinc.com.
[00:21:15.985 --> 00:21:17.266]  That's www.lasemedinc.com.
[00:21:17.306 --> 00:21:19.106]  David J. Smith for NewsWatch Magazine.
[00:21:39.830 --> 00:21:46.536]  Did you know that one goal of international communism was to get our young people's mind off religion by getting along to sex?
[00:21:47.376 --> 00:21:57.125]  By destroying the morals of the younger generation, America would eventually become ripe for revolution without understanding why communism wanted to make young people soft and easily controlled.
[00:21:58.274 --> 00:22:03.338]  Have we witnessed this transformation of our young people away from God and the Bible to immorality?
[00:22:04.019 --> 00:22:11.905]  We'd like to help you understand how these things are coming to pass by offering you an absolutely free one-year subscription to Newswatch Magazine.
[00:22:12.706 --> 00:22:14.167]  Just call our toll-free number 1-800-516-8736.
[00:22:14.187 --> 00:22:14.527]  That's 1-800-516-8736.
[00:22:22.554 --> 00:22:27.020]  516-8736 to request your subscription.
[00:22:27.681 --> 00:22:28.241]  Call now.
[00:22:28.262 --> 00:22:31.125]  Operators are standing by to receive your call.
[00:22:33.937 --> 00:22:35.778]  Dad, can we stop?
[00:22:36.098 --> 00:22:37.638]  We need to go to the bathroom.
[00:22:38.038 --> 00:22:38.298]  What?
[00:22:38.659 --> 00:22:39.019]  Again?
[00:22:39.439 --> 00:22:41.059]  We just stopped two hours ago.
[00:22:41.119 --> 00:22:45.561]  Honey, let's stop, because I gave the kids their Spark Berkey water bottles.
[00:22:45.781 --> 00:22:47.081]  Why did you do that?
[00:22:47.281 --> 00:22:53.083]  Because they can't drink and talk at the same time, and that way we don't have to listen to them singing, Are we there yet?
[00:22:53.363 --> 00:22:54.404]  Are we there yet?
[00:22:54.504 --> 00:22:55.564]  for the entire trip.
[00:22:55.824 --> 00:22:57.985]  Hmm, I didn't think about that.
[00:22:58.505 --> 00:22:59.527]  Great idea!
[00:22:59.788 --> 00:23:02.412]  Yeah, and it's cheap entertainment for the kids!
[00:23:02.753 --> 00:23:05.237]  Bottled water costs around 75 cents a bottle.
[00:23:05.417 --> 00:23:09.805]  And using our Berkey Sport Bottles, it costs us less than two and a half cents per refill.
[00:23:10.105 --> 00:23:10.426]  Honey!
[00:23:11.215 --> 00:23:12.456]  You're terrific!
[00:23:12.856 --> 00:23:14.337]  Oh, honey, so are you!
[00:23:14.457 --> 00:23:17.858]  You're the one that bought the family our Sport Berkey Water Bottles!
[00:23:18.138 --> 00:23:18.919]  Now can we stop?
[00:23:19.439 --> 00:23:20.160]  I need to go, too.
[00:23:20.460 --> 00:23:24.902]  Get your Berkey Sport Purification Bottle for only $39 by calling New Millennium at 888-803-4438.
[00:23:25.022 --> 00:23:25.322]  That's 888-803-4438.
[00:23:25.342 --> 00:23:26.883]  Or order on the web at berkeywater.com.
[00:23:35.300 --> 00:23:36.340]  Hi, this is Ted Anderson.
[00:23:36.741 --> 00:23:42.222]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold for your IRA?
[00:23:42.802 --> 00:23:43.303]  That's right.
[00:23:43.623 --> 00:23:45.903]  Gold has been available to be placed in IRAs since 1986.
[00:23:47.304 --> 00:23:53.386]  Yet still, the financial industry refuses to recognize the value of real hard assets for your retirement.
[00:23:53.946 --> 00:24:01.634]  The truth be told, gold and silver has outperformed paper investments like stocks, bonds and CDs, yet no word about IRAs.
[00:24:02.075 --> 00:24:06.940]  Perhaps the financial institutions want to maintain control of your assets by keeping you in paper.
[00:24:07.580 --> 00:24:10.583]  If you'd like to take a look at gold for your retirement, call 800-686-2237.
[00:24:13.366 --> 00:24:17.488]  Don't get left behind by rising inflation and low return on your paper investments.
[00:24:17.888 --> 00:24:18.128]  Call 800-686-2237.
[00:24:18.148 --> 00:24:19.969]  Make sure that you secure your future.
[00:24:19.989 --> 00:24:20.249]  Call 800-686-2237.
[00:24:20.289 --> 00:24:20.809]  That's 1-800-686-2237.
[00:24:20.849 --> 00:24:21.850]  He's the T-Rex of political talk.
[00:24:21.870 --> 00:24:23.251]  Alex Jones on the GCN Radio Network.
[00:24:57.756 --> 00:24:59.317]  Welcome back, ladies and gentlemen.
[00:24:59.357 --> 00:25:11.424]  Coming up at the bottom of the hour, that's just in about eight minutes or so, when we come out of break, I'm going to play this incredible, all kudos go to Lou Dobbs.
[00:25:11.504 --> 00:25:18.668]  And I want to analyze that clip and then also want to break down the opposite of Lou Dobbs, a man of courage and integrity.
[00:25:19.628 --> 00:25:23.490]  So you can just look at his eyes and tell he's legitimate, because he's feeling good what he's doing.
[00:25:24.251 --> 00:25:28.233]  Most of these pundits are just, they're not actually New World Order, they're just whores.
[00:25:28.833 --> 00:25:31.675]  And so they're getting off on the power, but they hate what they're doing.
[00:25:32.255 --> 00:25:39.179]  And you can look at the body language of Dobbs and tell, he's a good old boy, he's an establishment business guy, but he loves America!
[00:25:40.499 --> 00:25:42.320]  He doesn't want to kill this country!
[00:25:44.061 --> 00:25:47.183]  Every time I think about what they're doing to this country, I get mad, and I've got to
[00:25:48.052 --> 00:25:51.893]  Lately I've been having a lot of anger problems and for years I've not been able to control it.
[00:25:52.894 --> 00:25:56.835]  But it destroys my thinking process.
[00:25:57.215 --> 00:26:08.980]  I'm getting so mad on air about what's happening in this country that I tend to then lash out at other things and people around me and I'm not even talking about people that work for me.
[00:26:09.540 --> 00:26:10.280]  I'm a teddy bear.
[00:26:10.320 --> 00:26:15.542]  I mean people I can't stand out in the community and just scum suckers and
[00:26:16.802 --> 00:26:19.124]  I just, we're in so much trouble.
[00:26:20.705 --> 00:26:23.947]  I mean, do you know what it means to go into a North American Union?
[00:26:24.307 --> 00:26:26.589]  It isn't just the end of the U.S.
[00:26:26.949 --> 00:26:29.330]  It's the end of your freedoms and your private property!
[00:26:31.532 --> 00:26:34.614]  And being completely overrun by third world populations.
[00:26:37.035 --> 00:26:40.518]  This is the jewel in the crown of the globalist operation.
[00:26:40.538 --> 00:26:41.318]  Let me tell you something.
[00:26:41.338 --> 00:26:42.439]  Overrunning our borders.
[00:26:44.432 --> 00:26:55.819]  And destroying our sovereignty is light years bigger and more important to the New World Order crowd than even invading Iraq was to secure that oil and to use it as a military base.
[00:26:58.161 --> 00:27:02.923]  Deindustrializing this country is something they've done militarily.
[00:27:04.685 --> 00:27:11.469]  Multinational corporations will bring in foodstuffs, fruits,
[00:27:12.782 --> 00:27:24.745]  From outside the country, Mexico, China, you name it, at higher prices to themselves than buying it domestically, just so they can extinct the American farmer.
[00:27:25.565 --> 00:27:27.585]  And they write policy reports about it!
[00:27:28.285 --> 00:27:29.446]  That's the incredible thing!
[00:27:29.486 --> 00:27:30.506]  That stuff's public!
[00:27:32.066 --> 00:27:33.746]  It's just their business strategy!
[00:27:35.047 --> 00:27:36.327]  Put people out of business!
[00:27:37.242 --> 00:27:38.542]  You go, well that's free market.
[00:27:38.983 --> 00:27:41.103]  No it's not when you're using slave goods.
