[00:00:00.750 --> 00:00:04.333]  WCAX-TV.
[00:06:57.581 --> 00:06:58.481]  It happened repeatedly.
[00:07:10.106 --> 00:07:11.667]  Tried to claim they had weapons.
[00:07:11.667 --> 00:07:13.528]  Tried to claim they were a threat.
[00:07:13.528 --> 00:07:14.708]  Beat them up in the courtroom.
[00:07:14.708 --> 00:07:16.909]  Just all, you know, the normal stuff they do.
[00:07:16.909 --> 00:07:17.489]  But criminals!
[00:07:17.489 --> 00:07:21.691]  Criminals run the country, and they... Most of them are so psychopathic, they don't even know they're criminals.
[00:07:21.691 --> 00:07:24.573]  I think it's just their right to feed on us.
[00:07:24.573 --> 00:07:29.775]  And, uh... They just got sick of it, and he said, you know what?
[00:07:29.775 --> 00:07:32.156]  I'm just gonna sit here in my house.
[00:07:32.156 --> 00:07:35.798]  And, uh, he said, I'm not gonna pay all the money you claim I owe, even though they had it to pay.
[00:07:35.798 --> 00:07:37.519]  They just said, come kill us.
[00:07:37.519 --> 00:07:38.159]  We're gonna fight you.
[00:07:39.648 --> 00:07:41.009]  Just come on!
[00:07:41.009 --> 00:07:46.831]  And then the Feds did what they always did with the Indianapolis Baptist Temple, and they stole that and took that church and all the other things they've done.
[00:07:46.831 --> 00:07:48.972]  They wait six months, a year.
[00:07:48.972 --> 00:07:50.532]  They wait until everybody forgets about it.
[00:07:50.532 --> 00:07:52.213]  They wait until the crowds leave.
[00:07:52.213 --> 00:07:55.894]  They wait until everybody backs off, and then they come in.
[00:07:55.894 --> 00:07:58.855]  This may even be SWAT team training in the neighborhood.
[00:07:58.855 --> 00:08:05.818]  This may even be them as a probing move to test the response of the American people.
[00:08:06.491 --> 00:08:07.852]  Or it may already be over.
[00:08:07.852 --> 00:08:09.014]  We don't know.
[00:08:09.014 --> 00:08:30.093]  Anyone that is in Plainfield, New Hampshire, the Live Free or Die State, where they now arrest reporters for asking questions, that's why that story is so important, because it just shows the police state we're living in, and what Matt and Luke and others went through.
[00:08:30.093 --> 00:08:32.235]  The Live Free or Die, the Patrick Henry State,
[00:08:33.602 --> 00:08:46.048]  Swat teams armored vehicle seen near brown compound and it says brown told a blog interviewer this morning he'd been getting calls okay blog interviewer whoever you are you know the mainstream media will never source
[00:08:46.798 --> 00:08:47.819]  The alternative media.
[00:08:47.819 --> 00:08:57.005]  They'll tell you what they said and use their reporting, but never, because they're in competition with us, they realize we're destroying them, they'll never give you a link so you can actually find out what really happened.
[00:08:57.005 --> 00:09:16.299]  So, I'm getting all these calls at the office, I don't know who's who, we're overwhelmed here, just call in, not on any other issue right now, not on immigration, not on Ron Paul debate being rigged, we've got that news confirmed, not on Luke and Matt being grabbed by the state police in New Hampshire,
[00:09:17.111 --> 00:09:19.752]  That's all coming up later.
[00:09:19.752 --> 00:09:24.993]  Not on the CPS grabbing a 9-11 truther's child.
[00:09:24.993 --> 00:09:25.913]  That's coming up.
[00:09:25.913 --> 00:09:28.414]  Right now, it's Ed Brown.
[00:09:28.414 --> 00:09:33.755]  And I'm asking you, the listeners, specifically if you know, specifically if you talk to Ed Brown.
[00:09:33.755 --> 00:09:35.936]  I know a lot of you talk to him.
[00:09:35.936 --> 00:09:37.116]  Specifically the blogs.
[00:09:37.116 --> 00:09:41.457]  I know Luke and others, if they had time in New Hampshire, were going to interview Ed Brown.
[00:09:41.457 --> 00:09:42.517]  I don't know if they did that.
[00:09:42.517 --> 00:09:43.237]  I never asked.
[00:09:43.237 --> 00:09:45.358]  Maybe we need to get Luke on the line.
[00:09:47.051 --> 00:09:47.772]  My poor producer.
[00:09:47.772 --> 00:09:50.174]  I mean, they're shouting 15 orders at him during the break.
[00:09:50.174 --> 00:09:51.434]  Because it's just too much going on.
[00:09:51.434 --> 00:09:52.475]  I'm trying to make phone calls.
[00:09:52.475 --> 00:09:54.517]  I'm just letting you know where we're at right now.
[00:09:54.517 --> 00:09:55.057]  Help us.
[00:09:55.057 --> 00:09:55.678]  Find out.
[00:09:55.678 --> 00:09:56.579]  Do you live in New Hampshire?
[00:09:56.579 --> 00:09:57.379]  Do you live nearby?
[00:09:57.379 --> 00:09:58.580]  Get on your cell phone.
[00:09:58.580 --> 00:10:00.181]  Drive by Ed's house.
[00:10:00.181 --> 00:10:01.202]  You're an hour away.
[00:10:01.202 --> 00:10:02.083]  Don't wait.
[00:10:02.083 --> 00:10:02.964]  Get in your car.
[00:10:02.964 --> 00:10:05.405]  Start driving over there right now.
[00:10:05.405 --> 00:10:07.547]  And the feds may be doing this on purpose.
[00:10:07.547 --> 00:10:09.409]  To cry wolf a couple times.
[00:10:09.409 --> 00:10:11.250]  To do these drills a couple times.
[00:10:11.250 --> 00:10:16.174]  And so, the third time, just like with Indianapolis Temple, the fourth time, they'll go ahead and move in.
[00:10:17.634 --> 00:10:19.898]  They may have cut his line and cut his power.
[00:10:19.898 --> 00:10:21.640]  That's what this sounds like is a PSYOP.
[00:10:21.640 --> 00:10:24.244]  They cut his power twice, cut his phone line.
[00:10:24.244 --> 00:10:25.747]  They've done this in land grabs too.
[00:10:26.805 --> 00:10:31.647]  Uh... messing with him so he'll put out the alarm so when he finally does put it out you don't respond.
[00:10:31.647 --> 00:10:38.849]  That could be what's happening or Ed and Elaine Brown could have already been SWAT teamed and Lor- I mean that's- it runs the gamut.
[00:10:38.849 --> 00:10:49.013]  It runs the gamut from the SWAT team was doing drills you know a mile from his house and people saw it and it's the local college or the local city or county.
[00:10:49.013 --> 00:10:49.893]  Or it could be
[00:10:52.061 --> 00:10:56.563]  That it's the Feds getting ready to move in, or they've already moved in and there's already been a firefight.
[00:10:56.563 --> 00:10:58.404]  We don't know!
[00:10:58.404 --> 00:11:02.746]  That's why, and I don't live in New Hampshire.
[00:11:02.746 --> 00:11:05.868]  If I'd have known, you know, a day before, a week before, I'd have got on a plane and gone up there.
[00:11:05.868 --> 00:11:07.408]  I know many of you have.
[00:11:07.408 --> 00:11:10.030]  And we've sent InfoWars.com reporters there before.
[00:11:10.030 --> 00:11:11.831]  We've interviewed Ed.
[00:11:11.831 --> 00:11:13.791]  Back when all this started breaking, what, a year ago.
[00:11:13.791 --> 00:11:14.652]  But the point is,
[00:11:15.607 --> 00:11:30.495]  Ed Brown, Elaine Brown, making a stand for the American people, saying, this far and no further, gimme liberty or gimme death in the gimme liberty or gimme death state, New Hampshire.
[00:11:30.495 --> 00:11:32.736]  This is huge!
[00:11:32.736 --> 00:11:37.179]  This is history happening, if this indeed is taking place.
[00:11:37.179 --> 00:11:41.281]  Now, again, my enemies are going to take the last five minutes and edit it.
[00:11:41.281 --> 00:11:43.642]  I'm reading this, I'm covering this from WC
[00:11:45.775 --> 00:11:48.637]  AXTV News 3.
[00:11:48.637 --> 00:11:50.357]  We knew about this before Showtime.
[00:11:50.357 --> 00:11:51.978]  I started getting calls this morning.
[00:11:51.978 --> 00:11:52.999]  I tried to confirm it.
[00:11:52.999 --> 00:11:53.839]  I couldn't.
[00:11:53.839 --> 00:11:55.740]  I didn't know the people that were calling me.
[00:11:55.740 --> 00:11:58.942]  I tried to call Ed.
[00:11:58.942 --> 00:12:00.602]  I'd heard false alarms before.
[00:12:00.602 --> 00:12:02.563]  Then Burmese called me.
[00:12:02.563 --> 00:12:07.546]  I don't know what's going on.
[00:12:07.546 --> 00:12:11.928]  I just know that this is in the news and this looks like something could be happening.
[00:12:13.200 --> 00:12:13.640]  1-800-259-9231.
[00:12:13.640 --> 00:12:14.260]  1-800-259-9231.
[00:12:14.260 --> 00:12:26.223]  John Harmon up in Minnesota running things, answering the phones, literally like an octopus doing the job of three people.
[00:12:26.223 --> 00:12:31.845]  Now, have you gotten any calls yet, people specifically, who talked to Ed today or yesterday, or who are in the nearby area?
[00:12:38.172 --> 00:12:39.372]  Okay, Fred Smart.
[00:12:39.372 --> 00:12:42.193]  Yes, I've heard Fred on the air, I believe.
[00:12:42.193 --> 00:12:43.194]  Fred Smart.
[00:12:43.194 --> 00:12:45.715]  Call Fred Smart right now, please.
[00:12:45.715 --> 00:12:46.975]  Let's get him on the line.
[00:12:46.975 --> 00:12:56.479]  I may have to push back the father who's had his son kidnapped because he dared have a 9-11 truth sign.
[00:12:56.479 --> 00:13:00.400]  I'm telling you folks, it's like I'm in a lifeboat with millions of hands reaching up.
[00:13:02.864 --> 00:13:05.865]  Just walk a mile in our shoes, and that's what makes me so angry.
[00:13:05.865 --> 00:13:07.946]  That's what makes me so aggressive.
[00:13:07.946 --> 00:13:10.086]  And people don't understand it.
[00:13:10.086 --> 00:13:12.467]  You know, they hear the passion and they get confused.
[00:13:12.467 --> 00:13:15.549]  They think I'm either nuts or I'm an egomaniac.
[00:13:15.549 --> 00:13:17.850]  No, it's because I'm in life and death mode here, folks.
[00:13:17.850 --> 00:13:20.130]  I know the cost, okay?
[00:13:20.130 --> 00:13:21.771]  I'm fired up.
[00:13:21.771 --> 00:13:22.932]  Let's go to Fred Smart.
[00:13:22.932 --> 00:13:25.132]  Fred Smart, where are you today?
[00:13:25.132 --> 00:13:26.393]  Hey Alex, I'm here in Chicago.
[00:13:27.179 --> 00:13:30.881]  Okay, you know Ed Brown well.
[00:13:30.881 --> 00:13:35.463]  Tell us basically about yourself real quick, so we know who you are, and then give us the latest.
[00:13:35.463 --> 00:13:50.590]  Well, real quick, you know, we have, myself and a bunch of people, once we heard about Ed and Elaine early January, got the word out, email, blogs, whatever, and we've been doing a daily show on Republic, getting their voice out.
[00:13:50.590 --> 00:13:53.792]  Got a call early this morning from Elaine.
[00:13:53.792 --> 00:13:56.373]  She had left a message as early as 6 o'clock my time.
[00:13:57.428 --> 00:14:04.272]  Reno, who is a decorated Desert Storm veteran, was just staying with them while his belongings were at the house.
[00:14:04.272 --> 00:14:05.652]  Went to walk the dog early.
[00:14:05.652 --> 00:14:08.374]  45 minutes later, the dog came back.
[00:14:08.374 --> 00:14:10.735]  Reno never came back.
[00:14:10.735 --> 00:14:21.660]  Within the same half hour, Ed got a call and some friends in South Lebanon along the road had noticed several armed personnel carriers were heading south toward Plainfield.
[00:14:23.715 --> 00:14:26.116]  So, they still had communications.
[00:14:26.116 --> 00:14:36.399]  We got a couple of audio blogs going, an hour conference call, a few people called in, sent out some emails, tried to encourage other people to send out emails.
[00:14:36.399 --> 00:14:41.321]  I just tried calling their line, their line has been disconnected now officially.
[00:14:41.321 --> 00:14:52.044]  So, we have no communication with them, other than if they were on the internet, I would presume they have a satellite connection, but I'm sure they're not staring at their computer right now.
[00:14:53.150 --> 00:14:57.026]  So we have a couple of people driving there and hopefully...
[00:14:58.499 --> 00:15:01.000]  There's going to be more intelligence on what's really happening.
[00:15:01.000 --> 00:15:06.922]  Okay, I want you to, again, repeat everything you just said with any other details that you left out.
[00:15:06.922 --> 00:15:08.403]  Take your time.
[00:15:08.403 --> 00:15:16.706]  Fred Smart, who, again, has been co-hosting a show on the Republic Network with Ed Brown the last four or five months.
[00:15:16.706 --> 00:15:18.347]  I guess it was six months.
[00:15:18.347 --> 00:15:24.269]  Tell us exactly, slowly, when you first got the call, what Ed said, word for word.
[00:15:24.269 --> 00:15:26.790]  Go back and just flesh it out.
[00:15:27.330 --> 00:15:34.792]  As we debrief you here, just really think about exactly what Ed said, because every piece of intel, as you know, is very important.
[00:15:34.792 --> 00:15:44.235]  Well, I was on my way to drive my son to school, and I gave Elaine a call just out of the blue.
[00:15:44.235 --> 00:15:45.795]  Something told me to call.
[00:15:45.795 --> 00:15:48.716]  And I got up strangely early this morning.
[00:15:48.716 --> 00:15:52.457]  I felt something was up, and I wasn't even thinking about Elaine.
[00:15:52.457 --> 00:15:55.998]  But then I got in the car, and Elaine said, Fred, I've been trying to call you, trying to call you.
[00:15:56.761 --> 00:15:59.964]  Yeah, we got a high alert situation and I said, what's going on?
[00:15:59.964 --> 00:16:06.991]  She said, well, Reno left to walk the dog 45 minutes later, the dog came back and Reno didn't come back.
[00:16:06.991 --> 00:16:18.902]  And we've since gotten word that some friends have spotted several armed personnel carriers with troops heading on the main highway toward Plainfield.
[00:16:21.053 --> 00:16:29.119]  By troops, I mean they look like regular Army or Marines, or they're just dressed up in the regular terrorist enforcer outfits.
[00:16:29.119 --> 00:16:37.425]  All I know is he used some terminology, FTVs or AF, it was just, I don't know the lingo.
[00:16:37.425 --> 00:16:40.427]  APCs, Armored Personnel Carrier.
[00:16:40.427 --> 00:16:43.549]  And there's LAVs, Light Armored Vehicles.
[00:16:43.549 --> 00:16:44.450]  Okay.
[00:16:44.450 --> 00:16:45.490]  It wasn't an LAV.
[00:16:48.627 --> 00:17:10.102]  And on top of that, Ed said that yesterday a Cessna did a couple of flybys mid-afternoon, and then at night, around 8.30, 9 o'clock their time, a completely silent drone with a very high-beam light circled their property.
[00:17:11.291 --> 00:17:13.512]  Uh, at that time.
[00:17:13.512 --> 00:17:14.872]  And it's fun for these guys.
[00:17:14.872 --> 00:17:18.073]  Most of these guys are into hunting, which I'm not saying is a bad thing.
[00:17:18.073 --> 00:17:22.354]  But to them, I mean, I've seen videos of the cops behind the scenes, especially with patriots.
[00:17:22.354 --> 00:17:24.495]  They love killing us.
[00:17:24.495 --> 00:17:26.575]  And especially children at Waco.
[00:17:26.575 --> 00:17:29.316]  Literally, they celebrate, hold up skulls of dead babies.
[00:17:29.316 --> 00:17:29.936]  It's real fun.
[00:17:30.676 --> 00:17:32.677]  And it's a big hunting trip.
[00:17:32.677 --> 00:17:37.879]  They're chewing tobacco and they go to the topless bar the night before and it's high fives and all their gear.
[00:17:37.879 --> 00:17:39.280]  It's hunting humans.
[00:17:39.280 --> 00:17:40.220]  It's a lot of fun.
[00:17:40.220 --> 00:17:41.981]  This is so sick.
[00:17:41.981 --> 00:17:51.045]  And I want them all to know it's the Alamo and every one of them that takes part in this criminal raid is going to be known as a traitor forever.
[00:17:51.045 --> 00:17:52.805]  But you don't have to worry about the American people.
[00:17:52.805 --> 00:17:53.786]  You've got God.
[00:17:54.466 --> 00:17:58.687]  Just guaranteed to curse you for what you're doing, but this is the Alamo.
[00:17:58.687 --> 00:17:59.587]  This is happening.
[00:17:59.587 --> 00:18:01.468]  Please could you tell us about this?
[00:18:01.468 --> 00:18:03.749]  Now what Ed said about this this drone?
[00:18:03.749 --> 00:18:07.510]  Okay, Ed just said it was it was strange.
[00:18:07.510 --> 00:18:09.350]  It was completely silent.
[00:18:09.350 --> 00:18:10.551]  This is at night.
[00:18:10.551 --> 00:18:11.951]  It was at night.
[00:18:11.951 --> 00:18:17.092]  It cruised in the air overhead with a bright bright beaming light.
[00:18:17.092 --> 00:18:18.413]  Can't put it on the border.
[00:18:18.413 --> 00:18:22.774]  By the way, they're going to give all the illegal aliens, and this is in the bill, total tax
[00:18:24.349 --> 00:18:31.354]  Amnesty, literal, literal pardons on all their back taxes, but not Ed and Elaine Brown.
[00:18:31.354 --> 00:18:33.615]  Boy, they've got to be taken out.
[00:18:33.615 --> 00:18:36.136]  What time did this happen?
[00:18:36.136 --> 00:18:41.920]  The drone was spotted 8.30, 9 o'clock their time.
[00:18:41.920 --> 00:18:47.503]  It was toward the dusk side, and there were a lot of trees around the area.
[00:18:47.503 --> 00:18:48.444]  They had open space.
[00:18:51.656 --> 00:18:53.078]  It was really strange yesterday.
[00:18:53.078 --> 00:19:02.788]  My phone has gone out several times in the last 24 hours, which has never ever happened with that frequency.
[00:19:02.788 --> 00:19:09.514]  Another gentleman was on the show with Ed and Elaine yesterday.
[00:19:09.514 --> 00:19:11.356]  Obviously, they will not be on the show today.
[00:19:12.706 --> 00:19:13.267]  I think so.
[00:19:31.648 --> 00:19:32.148]  We're good to go.
[00:19:56.183 --> 00:19:58.644]  You know, bloody inventions out there.
[00:19:58.644 --> 00:20:04.106]  The main thing is, who do you have in contact locally, liaisons locally, that can drive by the house?
[00:20:04.106 --> 00:20:06.147]  That's the key.
[00:20:06.147 --> 00:20:11.608]  Well, I've put in a couple phone calls, and some other people have put in phone calls.
[00:20:11.608 --> 00:20:13.709]  I've talked with two people.
[00:20:13.709 --> 00:20:25.013]  There's a volunteer, a gentleman from Missouri, and myself, and a guy from Vermont, who is driving on his way, about an hour's drive, 45 minutes to an hour's drive, another gentleman in New Hampshire.
[00:20:25.600 --> 00:20:25.900]  We're good.
[00:20:48.789 --> 00:20:53.373]  And some people can, I don't know if they're cordoned off the highways and the roads around the house?
[00:20:53.373 --> 00:20:56.475]  Well, I know people have pledged to always keep certain numbers there.
[00:20:56.475 --> 00:20:57.817]  Well, that'll confirm it right there.
[00:20:57.817 --> 00:21:09.046]  If you try to get within a half mile of the house and there's some goons out there, waddling around with an armored vehicle or an armored truck, you know that they're there and you know it's going down.
[00:21:09.753 --> 00:21:10.053]  Yeah.
[00:21:10.053 --> 00:21:12.555]  If he does, I don't know if they've been jammed yet.
[00:21:12.555 --> 00:21:14.037]  I don't have any other number to call.
[00:21:32.467 --> 00:21:35.891]  Fred, give us your blog or give us any other good blogs.
[00:21:35.891 --> 00:21:40.536]  Are you the blogger that the Plainfield Associated Press talk to?
[00:21:43.042 --> 00:21:46.045]  Well, we've had several people maintain the blog.
[00:21:46.045 --> 00:21:47.226]  I'm one of them.
[00:21:47.226 --> 00:21:48.988]  I started it with another gentleman.
[00:21:48.988 --> 00:21:56.855]  I'm just trying to find out who the AP is, because this is unjournalistic to cite a blog and then not show the blog.
[00:21:56.855 --> 00:22:00.299]  And again, I'm not mad about the AP being a bunch of scumbags and mainstream.
[00:22:00.299 --> 00:22:04.783]  I just want to know who it was, because they're not engaged in journalistic activity here.
[00:22:06.004 --> 00:22:07.584]  I'm trying to find out, yeah.
[00:22:07.584 --> 00:22:09.525]  Well, we need to find out who this local blog is.
[00:22:09.525 --> 00:22:11.705]  We need to find out who these eyewitnesses are.
[00:22:11.705 --> 00:22:13.066]  We need them to call in right now.
[00:22:13.066 --> 00:22:24.808]  John, have we had anybody else call in on the 1-800-259-9231 number who's nearby or is in New Hampshire or in Plainfield?
[00:22:24.808 --> 00:22:26.328]  Just unbelievable.
[00:22:26.328 --> 00:22:28.529]  You know, Alex, it's interesting.
[00:22:28.529 --> 00:22:31.149]  You know what today's date is?
[00:22:31.149 --> 00:22:32.990]  Is it in history?
[00:22:32.990 --> 00:22:33.230]  No. 1967.
[00:22:38.391 --> 00:22:41.234]  Okay, just to refresh my memory, what happened in 1967?
[00:22:41.234 --> 00:22:44.517]  This is when the Six Day War began.
[00:22:44.517 --> 00:22:45.198]  Oh, it is!
[00:22:45.198 --> 00:22:50.263]  And then the 40th anniversary of the Liberty is coming up in just a few days.
[00:22:50.263 --> 00:22:51.724]  Yep.
[00:22:51.724 --> 00:22:53.967]  So this is all, you know, it's 40 years later.
[00:22:53.967 --> 00:22:58.111]  It's just kind of interesting.
[00:22:59.421 --> 00:23:00.362]  Amazing.
[00:23:00.362 --> 00:23:03.844]  Ed and Elaine are just wonderful people.
[00:23:03.844 --> 00:23:06.046]  They're peaceful, they're civil.
[00:23:06.046 --> 00:23:12.050]  Yes, Ed has a rough edge to him, but by God, they are true blue American patriots.
[00:23:13.379 --> 00:23:14.779]  Well, this is horrible news.
[00:23:14.779 --> 00:23:18.121]  I mean, it's in the Associated Press that people are saying this.
[00:23:18.121 --> 00:23:23.602]  Why doesn't the lazy AP, this is huge news, get in their vehicles and drive over there?
[00:23:23.602 --> 00:23:25.283]  This is what we need to do.
[00:23:25.283 --> 00:23:27.143]  Everybody needs to do this for me, because we don't have the staff.
[00:23:27.143 --> 00:23:28.044]  We're going to try to.
[00:23:28.044 --> 00:23:31.425]  Call the plane-filled TV stations, plane-filled radio stations.
[00:23:31.425 --> 00:23:33.125]  Get the radio to go out there.
[00:23:33.125 --> 00:23:35.466]  In fact, let me tell my producer, please get
[00:23:36.494 --> 00:23:39.457]  Go Google the Plainfield AM talk station.
[00:23:39.457 --> 00:23:43.961]  Call them and say, are you going down there to cover what could be one of the biggest stories of the year?
[00:23:43.961 --> 00:23:45.343]  Get over there and cover this.
[00:23:45.343 --> 00:23:46.884]  People's lives are in the balance.
[00:23:46.884 --> 00:23:50.488]  This could be a new Waco we're talking about.
[00:23:50.488 --> 00:23:53.150]  Who knows what could have already happened, or it could just be a drill.
[00:23:53.150 --> 00:23:58.756]  You know, the feds do try to test things and see who's in the woodwork, see who may be in that area.
[00:24:00.160 --> 00:24:01.121]  What do you think is going on?
[00:24:01.121 --> 00:24:11.546]  I mean, bottom line... Cameras and video cameras and just the biggest thing is to provide transparency and accountability in the form of recording what they witness, what they see.
[00:24:11.546 --> 00:24:12.766]  Fred Smart, stay there.
[00:24:12.766 --> 00:24:15.508]  I want to come back and ask you where you think all this is going.
[00:24:15.508 --> 00:24:16.488]  What's your gut is?
