[00:00:00.029 --> 00:00:01.170]  He doesn't even get a lunch anymore.
[00:04:50.474 --> 00:05:02.017]  So, when you take a look at these people who are head of these various organizations and see what they're doing in other ways, you know, then that makes them a suspect in my eyes.
[00:05:02.017 --> 00:05:18.122]  I mean, everyone has to have their own favorite candidate, and I have no problem with that, but once you learn who their favorite candidate is or who they're supporting actively when they're not in the duties of the particular position of their jobs for these groups, then that tells you something.
[00:05:19.139 --> 00:05:33.765]  Well, all of them, even mainline Republicans, Bennett and Buchanan, and just literally all of them I've seen on television, are saying this could actually break the Republican Party, this open border, U.S.
[00:05:33.765 --> 00:05:44.890]  ending, total legalization of all these hardcore felons, and the rest of it, instant Social Security cards, instant welfare, TIP being provided.
[00:05:46.011 --> 00:05:47.092]  And it doesn't matter.
[00:05:47.092 --> 00:05:51.116]  Bush doesn't care if 91% in Gallup polls don't want this.
[00:05:51.116 --> 00:06:05.312]  I mean, what does this mean for America that the Republicans and Democrats have circled the wagons against the American people and so-called Christian and so-called taxpayer groups are pro-Giuliani who makes Hillary look conservative?
[00:06:05.965 --> 00:06:08.087]  Well, I'm perplexed by it too.
[00:06:08.087 --> 00:06:14.334]  I'm a lifelong Republican from Kansas and was active in the party when I was starting in junior high school.
[00:06:14.334 --> 00:06:18.839]  And it really angers me when I see this happening because it shouldn't.
[00:06:18.839 --> 00:06:22.243]  I just feel like anymore that the Republican hierarchy, the elites,
[00:06:22.803 --> 00:06:28.128]  I mean, I don't know of any other way of saying it.
[00:06:28.128 --> 00:06:29.690]  I mean, you're absolutely right.
[00:06:29.690 --> 00:06:40.840]  When Bush and the other elites in Congress and around the country are going against exactly what most every American is against, whether it's the amnesty program or what have you... And the Constitution!
[00:06:40.840 --> 00:06:43.503]  And the Constitution in general, and a lot of other things.
[00:06:43.914 --> 00:06:47.815]  And of course, as you know, the amnesty bill is being revived.
[00:06:47.815 --> 00:06:52.617]  I mean, Bush has gone to Capitol Hill a couple of times now on that, which is an unusual move.
[00:06:52.617 --> 00:06:54.017]  He talks about it.
[00:06:54.017 --> 00:07:03.640]  And I really am just ready for him, Bush and others, other Republican elites, to look at Americans through the camera lens and say, you know,
[00:07:04.096 --> 00:07:05.497]  We really don't care.
[00:07:05.497 --> 00:07:06.657]  We admit it openly.
[00:07:06.657 --> 00:07:08.938]  We don't care what you want.
[00:07:08.938 --> 00:07:10.519]  We are doing this anyway.
[00:07:10.519 --> 00:07:19.022]  Well, Ken Snyder, I know you've seen the amazing spin they've been parroting on every TV show and national radio show that the American people want us to do something.
[00:07:19.022 --> 00:07:22.424]  They want this bill when it's the exact opposite.
[00:07:22.424 --> 00:07:28.346]  I mean, they treat us... I mean, I really think that they're still playing the game of 10, 20 years ago where their lies were still working.
[00:07:28.346 --> 00:07:30.227]  Do you think they know the jig is now up?
[00:07:30.931 --> 00:07:31.991]  Well, I don't know.
[00:07:31.991 --> 00:07:34.513]  I mean, these people consider themselves smart.
[00:07:34.513 --> 00:07:36.914]  Most of them are, but they're certainly not perfect.
[00:07:36.914 --> 00:07:40.075]  And a lot of times they just talk amongst themselves inside the Beltway.
[00:07:40.075 --> 00:07:41.135]  They have dinner parties.
[00:07:41.135 --> 00:07:43.016]  They go out to the same restaurants.
[00:07:43.016 --> 00:07:44.337]  They socialize.
[00:07:44.337 --> 00:07:45.297]  They date.
[00:07:45.297 --> 00:07:47.038]  Their kids date each other, etc.
[00:07:47.038 --> 00:07:50.079]  It's a bit of an incestuous relationship as far as I'm concerned.
[00:07:50.459 --> 00:07:54.982]  So sometimes, or often, they do lose sight of what's going on outside of the beltway.
[00:07:54.982 --> 00:08:03.127]  And again, that's why I'm saying I consider Washington to be the twilight zone, because as you say, they say one thing and mean the exact opposite.
[00:08:03.127 --> 00:08:04.628]  I don't know how else to describe it.
[00:08:04.628 --> 00:08:06.489]  Ken Schnatter, I've only got you a few more minutes.
[00:08:06.489 --> 00:08:08.491]  I want to get into the strategy.
[00:08:08.491 --> 00:08:10.452]  How's the campaign doing?
[00:08:10.452 --> 00:08:13.614]  Obviously, you guys have raised quite a bit of money, but not enough.
[00:08:13.614 --> 00:08:15.896]  What is the TV strategy?
[00:08:15.896 --> 00:08:17.837]  What can the listeners do to support
[00:08:21.279 --> 00:08:28.404]  Well, first of all, I want to share with everybody that the campaign is going much better than we ever anticipated.
[00:08:28.404 --> 00:08:30.285]  Dr. Paul is enthused by the day.
[00:08:30.285 --> 00:08:31.946]  I'm enthused by the day.
[00:08:31.946 --> 00:08:34.728]  We're getting ready to move into new office space.
[00:08:34.728 --> 00:08:36.249]  More and more people are joining us.
[00:08:36.249 --> 00:08:37.410]  Emails are pouring in.
[00:08:37.410 --> 00:08:38.551]  Phone calls are pouring in.
[00:08:39.091 --> 00:08:39.592]  I think so.
[00:08:57.829 --> 00:09:06.556]  I agree with him, but also he's a big part of it, as you know, because he does embody and personify this sort of message over a long period of time.
[00:09:06.556 --> 00:09:09.218]  I simply would encourage people to keep doing what they're doing.
[00:09:09.218 --> 00:09:13.040]  Our media groups around the country are literally exploding.
[00:09:13.040 --> 00:09:15.142]  Our email list is building by the day.
[00:09:15.142 --> 00:09:17.604]  Just ask people to spread the word.
[00:09:17.604 --> 00:09:21.707]  Ask people to go to our website, RonPaul2008.com.
[00:09:21.707 --> 00:09:24.869]  There's enough material on there to probably interest most folks.
[00:09:25.432 --> 00:09:27.729]  Join a meetup group, make a contribution if you can.
[00:09:28.348 --> 00:09:30.729]  Just keep doing what you're doing now.
[00:09:30.729 --> 00:09:31.710]  We've got a long way to go.
[00:09:31.710 --> 00:09:33.311]  We've got a lot of money to raise.
[00:09:33.311 --> 00:09:36.433]  We're going to be using the Internet as strategically as we possibly can.
[00:09:36.433 --> 00:09:43.556]  We've been getting some good reviews by various technical publications, giving us high marks for doing that.
[00:09:43.556 --> 00:09:45.918]  We're just going to work as hard as we can.
[00:09:45.918 --> 00:09:47.919]  The message is clear.
[00:09:47.919 --> 00:09:50.880]  The need is absolutely essential that we get it out there.
[00:09:50.880 --> 00:09:57.024]  And the good news is people are responding, and I'm beginning to find it interesting to watch and listen to some of the pundits
[00:09:57.364 --> 00:10:08.453]  Who are now kind of scratching their head, kind of getting a little bit uncomfortable because now they realize that the cat's out of the bag and they don't really know what to do with it.
[00:10:08.453 --> 00:10:24.627]  Well I do Kent Snyder, again the campaign manager for Congressman Ron Paul, I do agree with you the cat's out of the bag and I see a lot of the hubris and the arrogance draining out of the eyes of Anderson Cooper and the Fox News crew and the people at MSNBC and CNBC but expanding on that
[00:10:25.365 --> 00:10:31.986]  The old World War II saying of B-17 pilots was that when you're over the target, you're going to be getting the flack.
[00:10:31.986 --> 00:10:38.167]  And I see it as a really good sign that they're finally starting national demonization campaigns.
[00:10:38.167 --> 00:10:46.709]  They're finally starting to try to manufacture dirt and manufacture skeletons and claim a lot of bull that I've looked into.
[00:10:46.709 --> 00:10:48.969]  It's all turned out, of course, to be complete bull.
[00:10:48.969 --> 00:10:54.470]  And the good news is, secondarily, that not only are they attacking, which shows they now see him as a real contender,
[00:10:55.350 --> 00:11:02.053]  But secondarily, then the attacks are bouncing off, and it seems only encouraging people to check out the congressman.
[00:11:02.053 --> 00:11:03.953]  Your take on that?
[00:11:03.953 --> 00:11:06.814]  I agree with what you just said.
[00:11:06.814 --> 00:11:14.677]  Len Noffinger, who passed away about a year or so ago, he was one of the brains behind Reagan back when he was governor and all the way through the White House.
[00:11:15.297 --> 00:11:15.658]  I think so.
[00:11:32.891 --> 00:11:33.511]  We're good to go.
[00:12:00.638 --> 00:12:07.480]  is the best candidate, the best Republican candidate to have a chance to beat whoever the Democrat is.
[00:12:07.480 --> 00:12:13.062]  And there are now people in Washington who actually are saying those words.
[00:12:13.062 --> 00:12:18.444]  And that, when you really think about it, that is very exciting.
[00:12:18.444 --> 00:12:25.426]  Well, it is because if there's, for the body of the Republican Party, you know, the good people, you know, who are not these elites,
[00:12:26.565 --> 00:12:29.566]  As well as grassroots anti-war, you know, true liberals.
[00:12:29.566 --> 00:12:31.866]  They love Ron Paul because they know he's credible.
[00:12:31.866 --> 00:12:36.587]  They don't agree with him on every issue, but they know at least what you hear from Ron Paul is what you get.
[00:12:36.587 --> 00:12:40.328]  And they know the Democratic elites are just as corrupt as the Republican elites.
[00:12:40.328 --> 00:12:50.689]  And they realize, and they see, I hear a lot of liberals calling into talk shows, noticing how Bush is actually doing everything he can to run the Republican Party in the ground.
[00:12:50.689 --> 00:12:52.130]  And we know they pass the batons.
[00:12:52.130 --> 00:12:53.110]  It's like when Bush got in
[00:12:53.750 --> 00:12:58.132]  And told Congressman Dan Burton's committee to leave Bill Clinton alone for Pardongate.
[00:12:58.132 --> 00:13:02.753]  We know Hillary's gonna do that, or Barack Obama, probably Hillary, folks.
[00:13:02.753 --> 00:13:18.679]  We know that that is now happening, and so the Republicans are power-sharing with the Democrats, and they are intending to run all these dead horses with all these skeletons like Giuliani and, you know, we've got the other guy, you know, who's got really bad cancer.
[00:13:19.588 --> 00:13:25.210]  That's totally staged with Thompson, who the Bush family, by the way, it's now turned out is behind him.
[00:13:25.210 --> 00:13:28.131]  It's just like when they ran Bob Dole against Bill Clinton in 96.
[00:13:28.131 --> 00:13:30.111]  They are not running a real viable candidate.
[00:13:30.111 --> 00:13:34.232]  The real contenders are holding back for the next election or the four years after that.
[00:13:34.232 --> 00:13:39.114]  Folks, if you don't want Hillary Clinton in, a warmongering socialist,
[00:13:39.994 --> 00:13:46.236]  Who was openly calling for the, you know, last week that they denied Fairness Doctrine, now this week they admit they want to start banning talk radio.
[00:13:46.236 --> 00:13:48.976]  I mean, they're making their move, Kent Schneider.
[00:13:48.976 --> 00:13:50.637]  This is it, isn't it?
[00:13:50.637 --> 00:13:51.937]  Oh, there's no doubt.
[00:13:51.937 --> 00:13:58.899]  And people who don't understand that or accept that are either, well, just ignorant or they've got their head in the sand or both or something.
[00:13:58.899 --> 00:14:05.361]  I mean, these things, as people like us have talked about for years, these things are now in the open.
[00:14:05.361 --> 00:14:06.341]  There's no conspiracy.
[00:14:06.761 --> 00:14:08.042]  These people are being very open.
[00:14:08.042 --> 00:14:09.744]  They're being very blatant about it.
[00:14:09.744 --> 00:14:18.253]  I know a lot of people say it's unbelievable, which of course is one of the tactics that propagandists use to say something so outrageous that it is unbelievable.
[00:14:18.253 --> 00:14:20.215]  But these sorts of things are in the works.
[00:14:20.215 --> 00:14:21.616]  They've been in the works for a long time.
[00:14:21.616 --> 00:14:23.478]  They talk about them.
[00:14:23.478 --> 00:14:24.359]  They're there.
[00:14:24.359 --> 00:14:28.503]  The information that you bring up is there for people to simply accept.
[00:14:28.943 --> 00:14:35.791]  And it is a very crucial time, and I know people probably don't like to hear that, but that's just the state of affairs.
[00:14:35.791 --> 00:14:44.481]  And, you know, sometimes, one of these times in our country's future, it's going to be a turning point, and my intellect and instincts tell me that the time is now.
[00:14:45.320 --> 00:14:48.082]  It's certainly ripe and if not, now when.
[00:14:48.082 --> 00:14:52.866]  Kent Schneider, Ron Paul, 2008.com, 1-800-RON-PAUL.
[00:14:52.866 --> 00:14:56.369]  Folks, call, donate, volunteer, get yard signs.
[00:14:56.369 --> 00:15:00.613]  Listen, I know people who aren't even into the freedom movement or into America.
[00:15:01.093 --> 00:15:04.997]  Who are apolitical, who are calling me, going, how do I get Ron Paul signs?
[00:15:04.997 --> 00:15:07.699]  I mean, calling me at my home, friends of mine, you know, from college.
[00:15:07.699 --> 00:15:09.381]  And I go, go to Ron Paul 2008.
[00:15:09.381 --> 00:15:11.603]  I mean, type Ron Paul into Google.
[00:15:11.603 --> 00:15:12.464]  It isn't hard.
[00:15:12.464 --> 00:15:14.185]  Call, get the yard signs.
[00:15:14.185 --> 00:15:15.467]  Or they say, can you give me one?
[00:15:15.467 --> 00:15:16.928]  And I go, these things aren't free.
[00:15:16.928 --> 00:15:17.909]  Call, buy some.
[00:15:18.149 --> 00:15:19.791]  That's how you support Ron Paul.
[00:15:19.791 --> 00:15:23.414]  So again, everybody, we need the yard signs now.
[00:15:23.414 --> 00:15:25.436]  We need them nationwide.
[00:15:25.436 --> 00:15:28.178]  1-800-RonPaul or RonPaul2008.com.
[00:15:28.178 --> 00:15:30.801]  Ken Schneider, thank you for all the time.
[00:15:30.801 --> 00:15:36.626]  And just in closing, in the 30 seconds we've got, how do you attend the thing in Iowa?
[00:15:37.486 --> 00:15:45.768]  Uh, well, the easiest thing to do is go to RonPaul2008.com, uh, check the eventful calendar, the details are there, that'd be the easiest thing for people to do.
[00:15:45.768 --> 00:15:52.270]  Alright, thank you for the time, and I, uh, again, I'm grabbing you by the hand and lobbying you, we need the congressman, the listeners want him.
[00:15:52.270 --> 00:15:54.150]  I understand, we'll make that happen.
[00:15:54.150 --> 00:15:55.831]  Thank you, sir.
[00:15:55.831 --> 00:15:58.251]  Alright, there goes Kent Snyder, ladies and gentlemen.
[00:15:58.251 --> 00:16:00.892]  I'm Alex Jones, we'll be right back, stay with us.
