[00:00:00.109 --> 00:00:04.853]  Kidding, talk radio.
[00:05:19.909 --> 00:05:26.353]  The revolutionary Berkey Light removes pathogenic bacteria, cysts, parasites, and harmful or unwanted chemicals.
[00:05:26.493 --> 00:05:26.953]  We're good to go!
[00:05:47.910 --> 00:05:48.310]  We're good to go.
[00:06:06.741 --> 00:06:10.265]  Hello, I'm Dr. Bill Deagle of the Nutri-Medical Report here on Genesis.
[00:06:10.425 --> 00:06:24.399]  If you want to slow the clock of aging, stimulate your own stem cells to heal, or improve your athletic performance, or just recover quickly from the weekend warrior syndromes, this is the most powerful anti-aging stem cell research therapy.
[00:06:24.759 --> 00:06:30.065]  It's natural and safe and effective that you can get Mountain Red Deer Velvet from New Zealand.
[00:06:30.655 --> 00:06:40.438]  If you're run down, tired, exhausted, or lacking energy, want to restore your joint mobility, immune system, and literally regenerate your organ function, Mountain Red Deer Velvet.
[00:06:40.779 --> 00:06:42.399]  Totally organic, totally safe.
[00:06:42.759 --> 00:06:48.741]  Whether you're an elite athlete, or a senior citizen, or in your middle years just trying to stay active in golf or other sports.
[00:06:48.901 --> 00:06:49.642]  Call us at 888-212-8871.
[00:06:49.702 --> 00:06:50.002]  That's 888-212-8871.
[00:06:50.022 --> 00:06:51.722]  Or order online at Nutrimedical, N-U-T-R-I,
[00:07:00.066 --> 00:07:00.969]  Medical dot com.
[00:07:01.430 --> 00:07:05.261]  Take care and reverse the clock of aging with Mountain Red Deer Velvet.
[00:07:06.227 --> 00:07:10.510]  Are you fed up with all the side effects of chemicals in your shampoos and detergents?
[00:07:10.751 --> 00:07:15.634]  Even fragrances can signal some 4,000 separate ingredients, most of which are synthetic.
[00:07:15.854 --> 00:07:17.196]  Hi folks, Alex Jones here.
[00:07:17.356 --> 00:07:20.718]  Why not go back to basics and be safe with Calbin Pure Soaps?
[00:07:20.978 --> 00:07:26.122]  They're all natural and you'll save some 85% the money you're spending for your cleaning products now.
[00:07:26.383 --> 00:07:32.147]  Marty Schachter founded Calbin Soap Company in 1947 and provided products for health institutions.
[00:07:32.487 --> 00:07:34.908]  Now, Calvin Soaps are available to you and me.
[00:07:34.988 --> 00:07:37.329]  Triple concentrated for all your cleaning needs.
[00:07:37.529 --> 00:07:39.670]  From bathing and laundry to dishes, hair and more.
[00:07:39.950 --> 00:07:40.930]  No harsh chemicals.
[00:07:41.150 --> 00:07:42.091]  No animal testing.
[00:07:42.331 --> 00:07:43.411]  I use them and love them.
[00:07:43.671 --> 00:07:45.272]  Knowing they're all natural and safe.
[00:07:45.572 --> 00:07:46.673]  And I say it big time.
[00:07:46.973 --> 00:07:48.413]  Call Calvin Pure Soap at 1-800-340-7091.
[00:07:48.433 --> 00:07:48.713]  That's 1-800-340-7091.
[00:07:48.793 --> 00:07:50.694]  Or log on to 5starsoap.com now for a free catalog.
[00:07:50.754 --> 00:07:51.634]  Again, that number, 1-800-340-7091.
[00:08:01.318 --> 00:08:06.361]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:08:06.701 --> 00:08:09.042]  Because there's a war on for your mind.
[00:08:09.383 --> 00:08:17.327]  Alright, we got SWAT teams raiding the Amish.
[00:08:17.587 --> 00:08:19.068]  Terrorizing children.
[00:08:22.090 --> 00:08:27.633]  We've got the police out trying to tell people they've got to give blood and saliva checkpoints, randomly.
[00:08:28.273 --> 00:08:29.754]  This has been going on a long time.
[00:08:31.346 --> 00:08:32.326]  It's back in the news.
[00:08:33.307 --> 00:08:38.589]  Ah, they admit that the pneumonia vaccine has spurred a superbug that's killing children.
[00:08:39.149 --> 00:08:41.970]  That's Fox News, but hey, just keep taking the injections, you know.
[00:08:43.071 --> 00:08:45.852]  Ah, Wired News, a wired Russian mind.
[00:08:46.812 --> 00:08:51.434]  Says, ah, control research behind Department of Homeland Security contract and mind control.
[00:08:51.874 --> 00:08:56.736]  It says in a dungeon-like psychological research institute in Moscow.
[00:08:56.756 --> 00:08:59.717]  I mean, it's hardcore, folks.
[00:09:00.815 --> 00:09:03.858]  And we've got autistic teen tasered.
[00:09:05.159 --> 00:09:08.141]  They love going after folks that can't really respond.
[00:09:09.582 --> 00:09:13.306]  It just goes on and on and on and on and on and on here.
[00:09:13.386 --> 00:09:19.310]  German government publication promotes pedophilia as health, as healthy and sex ed.
[00:09:19.371 --> 00:09:20.572]  That sounds like the U.S.
[00:09:25.315 --> 00:09:29.359]  Unbelievable here, ladies and gentlemen, the news that I've got in front of me.
[00:09:31.101 --> 00:09:33.762]  Congress investigating the corruption of the State Department.
[00:09:34.222 --> 00:09:35.882]  That's just some of what's in that stack.
[00:09:36.362 --> 00:09:41.323]  Then I've got the financial news and so much more.
[00:09:41.343 --> 00:09:47.464]  I do want to go over a lot of the great questions too that have been posed to me on the PrisonPlanet.com forum.
[00:09:52.826 --> 00:09:55.546]  But right now, let's just go ahead and get into checkpoints.
[00:09:57.707 --> 00:09:58.527]  I couldn't believe it in 1999.
[00:10:01.087 --> 00:10:13.156]  When I saw the Tucson Star at first, it said the police would randomly pull people over at checkpoints and then they would say that we're going to take blood from you on the side of the road.
[00:10:14.057 --> 00:10:18.620]  And it got in the news because somebody refused and they beat him up.
[00:10:18.680 --> 00:10:22.904]  Now mind you, this isn't they're taking to jail and they're demanding blood.
[00:10:23.924 --> 00:10:26.086]  This is blood on the side of the street.
[00:10:28.923 --> 00:10:31.984]  And the cops were in the article going, hey, it's just blood out of your finger.
[00:10:32.564 --> 00:10:33.944]  It's just a small little needle.
[00:10:34.004 --> 00:10:35.705]  It isn't into a vein or artery.
[00:10:36.885 --> 00:10:39.246]  Can you imagine pulling up and there's cops with needles?
[00:10:40.286 --> 00:10:41.866]  In this one case, it was in the dark.
[00:10:41.886 --> 00:10:46.507]  They had flashlights, and they just beat the daylights out of him, charged him with resisting, and that was the end of it.
[00:10:48.668 --> 00:10:49.668]  And people couldn't believe it.
[00:10:50.188 --> 00:10:56.430]  Then, I started talking to Mike Hanson and others, when he was driving in from Gonzales, where he lives, back to Austin, where he also has a home.
[00:10:58.522 --> 00:11:08.246]  And how, and I talked to other people I know, how they just set up checkpoints down that major highway, and now it's happening all around Austin, and they have text out there, and the cops say, you will answer the questions.
[00:11:09.086 --> 00:11:15.348]  And then they block a couple of lanes of traffic, and then back it up for miles to do questionnaires, and they order you to answer it.
[00:11:16.008 --> 00:11:18.189]  People say, well there's no law, I got a Fifth Amendment.
[00:11:18.229 --> 00:11:21.950]  You know, there's a few Americans, maybe out of a hundred, that know about the Fifth Amendment.
[00:11:21.970 --> 00:11:23.871]  You don't have to answer questions of some bureaucrat.
[00:11:24.131 --> 00:11:25.972]  This isn't Soviet Russia or Nazi Germany.
[00:11:26.903 --> 00:11:28.704]  Or Chinese, Communist China?
[00:11:29.825 --> 00:11:30.945]  Communist Chinese system?
[00:11:32.886 --> 00:11:34.747]  But they don't care, they just order it.
[00:11:36.828 --> 00:11:40.490]  Now, before I get into this article, what do you think they do with the vaccines?
[00:11:42.431 --> 00:11:47.933]  Every year, in August, starting around August 1st, it is in every newspaper in the country.
[00:11:48.274 --> 00:11:51.155]  I mean, I've randomly checked newspapers, it's everywhere.
[00:11:51.235 --> 00:11:54.857]  It's on every TV station, in every town, every city.
[00:11:56.300 --> 00:12:16.570]  Thousands and thousands of reports, almost every day, saying, report to Zilker Park if you're in Austin, report to this gymnasium, report to the DC Community Center, report to the... And they'll announce on the news, it's the law, you've got to get your shots or no school, and you're arrested if you don't.
[00:12:17.651 --> 00:12:20.292]  There is no law, you've got to take any vaccines.
[00:12:21.861 --> 00:12:26.163]  But they get up on TV and they announce, it is the law, you will be arrested.
[00:12:27.344 --> 00:12:35.208]  We've played 30, 40, I don't know, of different TV reports here on air where they say, it's the law, it's the law, it's the law.
[00:12:36.028 --> 00:12:43.592]  And I've actually called up Austin news stations and I've said, let me guess, is that package news that was sent down by ABC or CBS, NBC, whatever station I've called?
[00:12:43.932 --> 00:12:44.593]  I've called them all.
[00:12:45.053 --> 00:12:46.233]  And they'll go, yeah, yeah.
[00:12:46.694 --> 00:12:47.594]  Hey Alex, how you doing?
[00:12:47.614 --> 00:12:49.115]  Oh, you were talking to the news director at the time.
[00:12:49.821 --> 00:12:51.322]  And they'll say, yeah, Alex, how you doing?
[00:12:51.342 --> 00:12:51.943]  I like the show.
[00:12:51.963 --> 00:12:53.024]  And I go, oh, you like the show?
[00:12:53.444 --> 00:12:55.205]  What are you doing running those news packages?
[00:12:55.285 --> 00:12:56.967]  Well, you know, they're news packages.
[00:12:57.007 --> 00:13:03.492]  They come in with the video and the text, and with downsizing, we just read off what they say, and I go, but you know there's no law to take shots.
[00:13:04.313 --> 00:13:06.234]  And they'll usually say, well, I'm just doing my job.
[00:13:06.254 --> 00:13:07.555]  I'm not going to debate that with you.
[00:13:07.575 --> 00:13:11.178]  Or they'll say, well, don't you think shots are good?
[00:13:11.218 --> 00:13:12.580]  Shouldn't we try to get people to take them?
[00:13:12.880 --> 00:13:16.543]  Yeah, let's lie to people, because it's for their best interest.
[00:13:20.507 --> 00:13:22.048]  You see, where is it going to end?
[00:13:22.148 --> 00:13:27.991]  I mean, if they get on the news and say, we're going to take your children, and at some hospitals, they do take them.
[00:13:28.051 --> 00:13:28.771]  There's no law.
[00:13:29.451 --> 00:13:33.173]  But the hospital just says, that's neglect, not giving a shot, and they take your children.
[00:13:35.875 --> 00:13:46.360]  Now, at wealthy hospitals and upper middle class hospitals, they don't, because around 40%, I've talked to the doctors here locally, wealthy people in the upper middle class are educated and they don't.
[00:13:46.860 --> 00:13:48.901]  Janie McCarthy, the Hollywood star,
[00:13:50.200 --> 00:13:55.084]  She's got a book out right now about how her third child, you know, got autism from the shots.
[00:13:59.248 --> 00:14:01.109]  I mean, you're not going to cover this stuff up.
[00:14:04.012 --> 00:14:06.114]  You're not going to be able to cover it up forever.
[00:14:08.095 --> 00:14:10.037]  When we go from 1 in 25,000 people having it, to 1 in 75.
[00:14:10.217 --> 00:14:11.979]  Again, last year it was 1 in 168.
[00:14:17.466 --> 00:14:20.968]  And I make this point because it's such an important public service announcement.
[00:14:22.249 --> 00:14:27.312]  When you go see Ratatouille at the movie theater with your children, my children have been to, I think, two movies.
[00:14:28.233 --> 00:14:32.635]  They've been to, because I don't want to totally not let them have any experience, you know, of cinema.
[00:14:32.955 --> 00:14:36.237]  We don't let them watch television, except maybe once every two weeks or so now.
[00:14:37.238 --> 00:14:47.024]  But usually it's some documentary about whales or monkeys or wolves, but... To make a long story short, I'm digressing, you go to Ratatouille, and I'm not kidding, folks,
[00:14:47.737 --> 00:14:51.559]  There were probably 30 autistic children in there of a theater of about 250.
[00:14:51.739 --> 00:14:54.301]  I mean, they were everywhere.
[00:14:55.482 --> 00:14:56.502]  Lines of them.
[00:14:57.203 --> 00:14:58.924]  The whole front row in their wheelchairs.
[00:14:59.424 --> 00:15:02.886]  And then the lesser brain damaged as you went back.
[00:15:02.986 --> 00:15:08.169]  And I sat there while my wife had the children in the bathroom after the showing and I was watching them come out.
[00:15:08.689 --> 00:15:12.251]  And yeah, it was more than one in 75.
[00:15:13.352 --> 00:15:15.193]  I mean, when there's half of us can't talk?
[00:15:16.030 --> 00:15:17.471]  Are we going to say there's a problem?
[00:15:17.491 --> 00:15:26.179]  20 years ago, there might be one autistic child in a big high school.
[00:15:26.199 --> 00:15:30.923]  Now they'll have 3, 4, 5 rooms full of them at medium sized schools.
[00:15:31.303 --> 00:15:34.546]  They'll have 30, 40, 50 at a school of a thousand.
[00:15:37.409 --> 00:15:40.151]  Just since I was in high school, 16 years ago,
[00:15:43.593 --> 00:15:50.717]  You go to high school events, you go see some family member graduate, there's autistic children wall to wall.
[00:15:51.798 --> 00:15:53.379]  You know, you're out there, you see it.
[00:15:55.260 --> 00:15:59.782]  Now, there's no law you gotta take those mercury-filled shots, but they'll tell you all day there is.
[00:16:00.002 --> 00:16:05.465]  There's no law you gotta answer questions at checkpoints, but they'll, you get up and they're gonna taser ya!
[00:16:06.126 --> 00:16:07.146]  And they're gonna charge ya!
[00:16:07.987 --> 00:16:11.589]  After you flop around on the side of the brush, a fire ant's biting your body.
[00:16:12.273 --> 00:16:14.355]  They're going to go ahead and put a resisting arrest on you.
[00:16:16.496 --> 00:16:17.257]  If you're lucky.
[00:16:20.139 --> 00:16:21.220]  And those cops, they don't care.
[00:16:21.260 --> 00:16:22.621]  They give their children the injections.
[00:16:22.882 --> 00:16:24.243]  They'd buy into the whole thing.
[00:16:25.864 --> 00:16:31.328]  Highway Checkpoint asks drivers for blood, saliva, travelers outraged by private research group's request.
[00:16:31.348 --> 00:16:32.309]  This is World Net Daily.
[00:16:32.629 --> 00:16:35.892]  Motorists in Colorado are expressing outrage over a weekend stunt.
[00:16:36.872 --> 00:16:38.212]  Notice how it's always a stunt.
[00:16:38.573 --> 00:16:43.134]  Every time there was a Delta Force drill taking over a city, it was always the first time it had happened.
[00:16:43.434 --> 00:16:44.254]  They always told the locals.
[00:16:44.294 --> 00:16:45.575]  It was always an accident.
[00:16:45.595 --> 00:16:46.895]  It was always a stunt.
[00:16:47.776 --> 00:16:49.976]  And if you've studied it, there have been thousands of such drills.
[00:16:50.356 --> 00:16:51.517]  Thousands that I know of.
[00:16:53.478 --> 00:16:58.379]  Literally 30, 40, 50, sometimes 100 a month, and that's going back 10 years.
[00:17:01.040 --> 00:17:04.041]  Every town, medium size and up in the country.
[00:17:09.631 --> 00:17:11.794]  You know, what does it have to do with blood checkpoints?
[00:17:12.594 --> 00:17:15.718]  See, just, once you learn the propaganda, you see it everywhere.
[00:17:16.819 --> 00:17:21.865]  And I'm not saying World Daily's involved in it, they're regurgitating what the authorities told them.
[00:17:23.050 --> 00:17:27.974]  See, they all have psychological handbooks on how to handle you, what to say, how to phrase it all.
[00:17:28.575 --> 00:17:40.165]  Motorists in Colorado are expressing outrage over a weekend stunt in Gilpin County, about an hour's drive west of Denver, where highway checkpoints were set up so a private organization could ask for samples of blood and saliva.
[00:17:40.705 --> 00:17:42.907]  I don't think they're authorized to do what they're doing.
[00:17:42.947 --> 00:17:48.932]  No, they stop you where you're going, they block you with the police, you are under arrest, you are detained.
[00:17:49.133 --> 00:17:50.714]  That's what state law says, in federal.
[00:17:51.843 --> 00:17:53.324]  When the lights go on, you're under arrest.
[00:17:53.364 --> 00:17:56.006]  Folks, they arrest you, and then make you talk to a bureaucrat.
[00:17:56.667 --> 00:17:58.408]  I don't think they're authorized to do what they're doing.
[00:17:58.709 --> 00:18:01.931]  Well, if you knew your rights, Roberto Sequeira, you would.
[00:18:01.971 --> 00:18:05.474]  And he obviously does, to some extent, more than most Americans, because he understands that.
[00:18:05.674 --> 00:18:06.795]  He doesn't know exactly why, though.
[00:18:07.215 --> 00:18:10.298]  And I view it as a gross violation of law enforcement protocol,
[00:18:11.889 --> 00:18:15.272]  No, see, they can change protocol any day, but the Bill of Rights, they can't, Roberto.
[00:18:15.292 --> 00:18:17.574]  51 told reporters for the Denver Post.
[00:18:18.015 --> 00:18:26.482]  He said he and his wife were detained for about 15 minutes, even after they protested they wanted to get home because of a sleepy child in their car.
[00:18:27.083 --> 00:18:28.024]  You're not leaving!
[00:18:28.084 --> 00:18:29.725]  You're under arrest!
[00:18:30.626 --> 00:18:36.271]  Just like those cops in Indiana beat up that city councilman and the news claimed the councilman started a fight.
[00:18:37.393 --> 00:18:40.255]  After the Councilman got in a fight, cops took him down.
[00:18:40.576 --> 00:18:43.098]  When the fight was the cops attacking him from behind.
[00:18:43.858 --> 00:18:45.740]  See the mind control spin there?
[00:18:45.760 --> 00:18:52.345]  They don't even call this an arrest in the Denver Post or World Net Daily.
[00:18:52.365 --> 00:18:56.148]  They just say, oh well, they got stopped for 15 minutes, wouldn't let them go.
[00:18:58.130 --> 00:19:01.413]  Sheriff's officials, see how every word is propaganda.
[00:19:01.973 --> 00:19:04.095]  They're not officials, they're servants.
[00:19:04.904 --> 00:19:06.446]  They're public servants.
[00:19:06.766 --> 00:19:07.988]  But see, they removed that term.
[00:19:08.669 --> 00:19:14.515]  Sheriff's officials were apologizing after they helped set up and run five separate checkpoints over the weekend.
[00:19:14.756 --> 00:19:17.439]  They said drivers for the Institute for Research and Evaluation
[00:19:18.740 --> 00:19:25.584]  That workers from the Institute for Research and Evaluation were overly persistent in their demands of innocent travelers.
[00:19:25.644 --> 00:19:26.765]  Of innocent travelers.
[00:19:27.025 --> 00:19:28.105]  There were cops there.
[00:19:28.165 --> 00:19:29.026]  It's the same thing.
[00:19:29.046 --> 00:19:30.987]  This has been going on for eight years, I know of.
[00:19:31.247 --> 00:19:32.608]  And the cops will say, what's wrong?
[00:19:32.648 --> 00:19:33.168]  Get the blood.
[00:19:33.428 --> 00:19:34.269]  Oh, you're hiding something.
[00:19:34.289 --> 00:19:34.869]  Let me search.
[00:19:35.449 --> 00:19:36.610]  And it goes on into all that.
[00:19:38.871 --> 00:19:40.332]  This is how they operate.
[00:19:41.253 --> 00:19:42.413]  This is what they do.
[00:19:42.513 --> 00:19:43.654]  This is who they are.
[00:19:45.905 --> 00:19:50.031]  Look, they're telling you it's the law to take shots and they'll take your kids when there's no law?
[00:19:50.652 --> 00:19:53.796]  Of course they're gonna be out there trying to literally suck your blood!
[00:20:01.435 --> 00:20:05.017]  Do you know where the 78 potentially active volcanoes in the U.S.
[00:20:05.057 --> 00:20:05.557]  are located?
[00:20:05.777 --> 00:20:09.158]  And do you know the locations of the top 300 prime terrorist targets?
[00:20:09.378 --> 00:20:14.080]  You can find these answers and more in the new interactive CD book, Prudent Places USA.
[00:20:14.360 --> 00:20:21.303]  With the more than 50 interactive parameters, you can pinpoint natural and man-made disaster areas, brewing environmental catastrophes,
[00:20:21.523 --> 00:20:21.824]  I think so.
[00:20:39.224 --> 00:20:39.604]  I think so.
[00:21:00.778 --> 00:21:04.421]  When making important financial decisions, you should always know the facts.
[00:21:04.441 --> 00:21:08.243]  That's why Midas Resources is willing to pay you to read the facts.
[00:21:08.503 --> 00:21:17.369]  Midas Resources, a team of hand-picked financial specialists with decades of financial experience who are ready to provide you with state-of-the-art, up-to-date financial services.
[00:21:17.709 --> 00:21:21.632]  Midas Resources offers a host of services and stands behind their products.
[00:21:21.932 --> 00:21:26.155]  In fact, if you call and order their free Midas Report, Midas Resources will pay you.
[00:21:30.658 --> 00:21:31.639]  We're good to go.
[00:22:00.635 --> 00:22:00.915]  Hemp.
[00:22:01.155 --> 00:22:03.196]  The superfood for you and your family.
[00:22:03.596 --> 00:22:06.857]  Hemp has nutritional values that far exceed any known plant.
[00:22:07.338 --> 00:22:07.598]  Hemp.
[00:22:07.998 --> 00:22:10.779]  Used for food, clothing, and shelter since time began.
[00:22:11.119 --> 00:22:11.419]  Hemp.
[00:22:11.759 --> 00:22:18.202]  This God-given food source is controlled by your government, making it not legal to grow for American people and farmers, but legal to import.
[00:22:18.562 --> 00:22:21.806]  Our founding fathers grew hemp because they knew of the benefits it offered.
[00:22:22.087 --> 00:22:25.952]  The protein powder, seeds, and oil are available through hempusa.org.
[00:22:26.272 --> 00:22:30.617]  Recommended daily intake of this food source will allow the body to heal itself from many ailments.
[00:22:30.978 --> 00:22:37.386]  Loaded with potassium, magnesium, calcium, essential fatty acids, amino acids, and nutrients not available in other plants.
[00:22:37.686 --> 00:22:42.008]  Hemp can be stored with a long shelf life as a life-sustaining food source for you and your family.
[00:22:42.208 --> 00:22:44.069]  Could this be the government's best-kept secret?
[00:22:44.329 --> 00:22:50.552]  Call today at 908-691-2608 and see what the powder, seeds, and oil can do for you.
[00:22:50.932 --> 00:22:54.213]  Learn, help, shop at hempusa.org.
[00:22:54.413 --> 00:22:55.474]  We do not charge for shipping.
[00:22:55.534 --> 00:22:56.734]  That's 908-691-2608 or go to hempusa.org today.
[00:23:00.576 --> 00:23:02.118]  Hi, this is Brother Michael Dimon.
[00:23:02.398 --> 00:23:07.925]  You can now get the most important package ever on what has happened to the Catholic Church in the last 50 years.
[00:23:08.386 --> 00:23:16.355]  Find out how this massive crisis concerning the Catholic Church happened, what happened, and how the Bible predicted it would take place in the last days.
[00:23:16.836 --> 00:23:20.460]  The package contains six DVDs that contain ten different programs.
[00:23:20.780 --> 00:23:24.421]  Two books that combined are over a thousand pages and other information.
[00:23:24.681 --> 00:23:27.842]  Order now at our website, mostholyfamilymonastery.com.
[00:23:28.042 --> 00:23:32.003]  That's mostholyfamilymonastery.com.
[00:23:32.264 --> 00:23:36.185]  The last word monastery spelled M-O-N-A-S-T-E-R-Y.
[00:23:36.485 --> 00:23:36.965]  Or call us at 1-800-275-1126.
[00:23:36.985 --> 00:23:37.185]  That's 1-800-275-1126.
[00:23:37.205 --> 00:23:39.346]  Or mail in your order to us at 4425 Schneider Road, Fillmore, New York 14735.
[00:23:50.669 --> 00:23:54.372]  The total cost for this massive package of information is only $10.
[00:23:54.412 --> 00:23:56.033]  $15 for UPS ground or $30 outside the U.S.
[00:24:20.758 --> 00:24:21.378]  Welcome back.
[00:24:22.359 --> 00:24:33.444]  The bigger story here isn't just that they're out there at a checkpoint holding families for over 15 minutes demanding they get blood and breathalyzer samples.
[00:24:34.604 --> 00:24:39.786]  It's that they then try to spin it and say, well, our officers were out there, but we weren't really stopping people.
[00:24:39.986 --> 00:24:40.487]  Oh, come on.
[00:24:40.527 --> 00:24:42.387]  You beat people up when they don't do it.
[00:24:42.447 --> 00:24:43.728]  I mean, it's been in the news before.
[00:24:46.670 --> 00:24:54.774]  And it goes on here to describe it, uh, the group doing the testing said, uh, peer officials, they're officials, C2.
[00:24:55.074 --> 00:24:57.715]  The people just from the survey group are officials now.
[00:24:58.176 --> 00:24:59.736]  They're always officials.
[00:24:59.836 --> 00:25:01.897]  You're a civilian.
[00:25:03.198 --> 00:25:05.399]  They all call themselves military now.
[00:25:06.519 --> 00:25:07.840]  And you're a civilian.
