[00:00:04.182 --> 00:00:07.665]  Prepare yourself for a talk radio interview.
[00:04:19.470 --> 00:04:26.395]  Now, he wrote, Texas A&M fails to report stricken student in bioweapons lab mishap.
[00:04:26.515 --> 00:04:36.722]  Oh, they were infected for 14 months, but it did quietly get reported here in our news by the Sunshine Project of Austin, Texas.
[00:04:37.481 --> 00:04:41.283]  So, that's some of the news we'll be going over first, after the break.
[00:04:41.903 --> 00:04:53.448]  Also, tooting our own horn, the London Telegraph has called me the loudest and, I guess, most popular alternative documentary filmmaker.
[00:04:53.848 --> 00:04:54.649]  That was interesting.
[00:04:54.709 --> 00:04:56.750]  It was, I guess, kind of a positive article.
[00:04:56.810 --> 00:05:00.151]  It said at the end that there's a danger of watching these alternative films.
[00:05:00.191 --> 00:05:01.612]  We may convince you
[00:05:02.498 --> 00:05:15.123]  And there was another report out of the register where we've been complaining about the censorship of our videos online and some of the other issues, and that was a pretty fair article as well.
[00:05:15.143 --> 00:05:23.986]  In fact, that was conspiracy theorists, feds, web hosts conspire against us, and the other is London Telegraph saying that I'm the loudest documentary filmmaker.
[00:05:24.226 --> 00:05:31.129]  But I'm sorry, we're not going to really have time today, unless maybe a little bit in the last hour for a few minutes to get into the press that we're generating.
[00:05:31.967 --> 00:05:35.408]  This week, I'd like to pop in and let you know what's happened each week.
[00:05:36.289 --> 00:05:38.210]  I could spend an hour on this little tidbit, too.
[00:05:38.270 --> 00:05:40.671]  Later, I will get into this in a 9-11 segment.
[00:05:40.951 --> 00:05:42.431]  There's going to be a demonstration.
[00:05:42.471 --> 00:05:47.653]  They're wrapping up a student organization that sent me out to a meeting that had about a thousand people at it.
[00:05:47.673 --> 00:05:50.054]  This one, I'd say, had about 500 over the weekend.
[00:05:50.094 --> 00:05:52.195]  No more than about 300 at any one time, but it was a great meeting.
[00:05:52.615 --> 00:05:57.877]  And they had Webster Tarpley and Bob Bowman, the former head of the Star Wars program there, and a lot of other great people.
[00:05:57.897 --> 00:05:59.458]  Professor Stephen Jones of physics.
[00:06:00.098 --> 00:06:02.761]  I'm now retired, going over how it's an inside job.
[00:06:02.801 --> 00:06:12.632]  I want to get Steven Jones and others on in the last 30 minutes, right outside the UT Tower, where at 5, they're going to leave, and they're going to march out there to the tower.
[00:06:12.692 --> 00:06:17.517]  Folks, wherever you live in Austin, Texas, or surrounding areas, or even if you live in Waco, you probably jump in the car and get there.
[00:06:17.537 --> 00:06:18.178]  It's going to go past 6.
[00:06:19.079 --> 00:06:20.861]  Wherever you live, get down to the tower at 5, 530.
[00:06:22.542 --> 00:06:26.984]  Because we want to have a big showing down there for 9-11 Truth, exposing that inside.
[00:06:27.024 --> 00:06:28.064]  Jobs will be popping in.
[00:06:28.604 --> 00:06:33.786]  I could have spoken about this as well during my presentation yesterday and today, but again, there's so much.
[00:06:33.826 --> 00:06:34.507]  How can you cover it all?
[00:06:35.147 --> 00:06:35.587]  I did.
[00:06:35.607 --> 00:06:37.108]  I was in contact with Kurt Vonnegut.
[00:06:37.188 --> 00:06:37.988]  It was private.
[00:06:38.048 --> 00:06:39.408]  I'm going to leave it at that.
[00:06:40.329 --> 00:06:46.051]  But Kurt Vonnegut, I was contacted, and he had seen some of my earlier 9-11 films about a year ago.
[00:06:46.678 --> 00:07:01.241]  It was right around the time he gave his last speech to a university, and he did send me one of his lithographs of an open birdcage, I guess symbolizing freedom of the soul, or freedom of expression, hand-signed for me.
[00:07:01.881 --> 00:07:03.982]  And I know that he was questioning 9-11.
[00:07:04.042 --> 00:07:07.242]  I know that he was asking questions about that.
[00:07:07.302 --> 00:07:07.842]  And you know what?
[00:07:08.122 --> 00:07:09.143]  They wanted privacy then.
[00:07:09.163 --> 00:07:12.203]  It's just he died now, and how do you keep quiet about that?
[00:07:12.783 --> 00:07:15.084]  I've got the Kurt Vonnegut picture hanging on my wall.
[00:07:15.900 --> 00:07:17.041]  I mean, how do you not talk about it?
[00:07:17.362 --> 00:07:26.829]  Also, tomorrow I will have big Rosie O'Donnell developments on why she went public, what she knows about 9-11, and more.
[00:07:26.949 --> 00:07:28.331]  I'm 95% authorized to talk about it.
[00:07:28.371 --> 00:07:29.411]  They said, wait until tomorrow.
[00:07:29.452 --> 00:07:32.474]  I'm supposed to get a call tonight or tomorrow, whether I can talk about it or not.
[00:07:32.514 --> 00:07:37.078]  But they said, pretty much, in case something happens, I can talk about it tomorrow.
[00:07:38.268 --> 00:07:39.849]  So that should be interesting as well.
[00:07:39.869 --> 00:07:45.092]  Look for that to develop up on InfoWars.com and PrisonPlanet.com as well.
[00:07:45.332 --> 00:07:49.735]  Also on the 9-11 front, former Bush speechwriter, close Bush family.
[00:07:50.997 --> 00:07:53.938]  A friend hints at 9-11 inside job.
[00:07:54.558 --> 00:08:00.619]  A big Canadian newspaper that's conservative, their editor came out and started saying 9-11 could be an inside job.
[00:08:00.679 --> 00:08:05.340]  I mean, this is just getting wilder and wilder and wilder by the minutes.
[00:08:05.400 --> 00:08:16.003]  And I really gotta give kudos to the people that really deserve the kudos, and that's Paul Watson and Steve Watson, the British brothers over in England that power up PrisonPlanet.com and PrisonPlanet.tv.
[00:08:16.043 --> 00:08:16.663]  Those guys.
[00:08:17.466 --> 00:08:25.152]  I've got so many people I've worked with and been around who just crave attention and crave, you know, oh, you did the good job, you did it all.
[00:08:25.572 --> 00:08:28.374]  Well, let me just tell you right now, that isn't what matters.
[00:08:28.394 --> 00:08:33.258]  We're trying to save this country, but it is important to single people out occasionally, and I'm telling you the Watson brothers.
[00:08:33.998 --> 00:08:40.383]  Just, I mean, this week they broke, and I worked on the stories as well, the synergy between the radio show and the websites.
[00:08:41.295 --> 00:08:47.520]  They were writing like two articles a day, breaking major news, and it's all up there on PrisonPlanet.com and PrisonPlanet.tv.
[00:08:47.800 --> 00:08:54.105]  We also have InfoWars.com and Aaron Dyche does a great job over at JonesReport.com, but I do want to thank those guys for their great work.
[00:08:55.266 --> 00:08:58.308]  Alright, we're going to break when we get back.
[00:08:58.348 --> 00:09:06.455]  We're going to get into Texas A&M fails to report stricken student in bio-weapons lab for 14 months.
[00:09:07.015 --> 00:09:09.337]  Was Pat Tillman murdered to conceal the truth?
[00:09:09.986 --> 00:09:11.307]  Presidential Candidate, U.S.
[00:09:11.347 --> 00:09:12.667]  in Danger of Dictatorship.
[00:09:13.228 --> 00:09:16.829]  We will be going over all three of those stories and then to some of your calls.
[00:09:17.210 --> 00:09:23.973]  And then I'm going to leap back into the Iraq War.
[00:09:23.993 --> 00:09:26.654]  It's not just the Lansink Medical Journal.
[00:09:26.734 --> 00:09:33.618]  Now John Hopkins looked at their numbers and looked at Iraqi numbers and said, yeah, it's 600 plus thousand dead in the first three years.
[00:09:33.678 --> 00:09:34.738]  Another year's gone by.
[00:09:34.758 --> 00:09:36.779]  It's being estimated at over a million.
[00:09:37.159 --> 00:09:38.460]  That's quite a liberation.
[00:09:39.224 --> 00:09:40.765]  Hitlerian in scope.
[00:09:40.805 --> 00:09:41.446]  We'll go over that.
[00:09:42.247 --> 00:09:44.028]  And how they're criminalizing everything.
[00:09:45.129 --> 00:09:46.530]  I mean, your toddler throws a fit.
[00:09:46.871 --> 00:09:47.231]  Prison!
[00:09:47.972 --> 00:09:49.293]  Okay, we'll be right back.
[00:09:49.353 --> 00:09:49.773]  Stay with us.
[00:10:00.974 --> 00:10:05.037]  People who use Cardivite know about the pollutants in our body and want them out.
[00:10:05.237 --> 00:10:08.680]  For over five years, Cardivite has proven itself time-tested.
[00:10:08.820 --> 00:10:12.323]  Here's Dr. Mattson, a naturopathic doctor's thoughts on Cardivite.
[00:10:12.543 --> 00:10:15.806]  In our mind, there isn't such a great big mystery to disease anymore.
[00:10:15.826 --> 00:10:21.291]  The basic tenet of yeast in the gut and metals in the liver covers at least 70-80% of the disease that we see.
[00:10:21.331 --> 00:10:30.960]  When we do our program, you know, herbal formulas like cardivite and you see someone who could barely walk up a hill now going for regular jobs a few months later, we know we're doing something right.
[00:10:31.100 --> 00:10:32.381]  It's a well thought out formula.
[00:10:32.421 --> 00:10:37.886]  I mean, the idea of it working on yeast and metals both at the same time and liver function is dead on.
[00:10:38.366 --> 00:10:42.810]  You'll find I think that it'll work more than just on heart problems and circulation problems.
[00:10:42.891 --> 00:10:44.252]  It'll work on other problems as well.
[00:10:44.412 --> 00:10:48.296]  For more information call 1-877-928-8822 or visit our website at www.heartdrop.com.
[00:10:48.356 --> 00:10:49.156]  That toll free number again 1-877-928-8822.
[00:11:01.360 --> 00:11:03.302]  Hi, John Heumann from Midas Resources.
[00:11:03.582 --> 00:11:06.204]  Are you tired of watching your hard-earned assets dwindle away?
[00:11:06.504 --> 00:11:14.831]  As government spending is out of hand and the Federal Reserve is creating in excess of $20 billion a week, are you tired of stockbrokers gambling away your hard-earned money?
[00:11:15.132 --> 00:11:17.934]  Is this market a setup for a crash greater than 1987?
[00:11:18.795 --> 00:11:22.017]  Too many of today's policies resemble those that led to the collapse of 1929.
[00:11:23.319 --> 00:11:24.880]  How much are you willing to lose?
[00:11:25.300 --> 00:11:26.220]  Take action now!
[00:11:26.360 --> 00:11:30.262]  Call me at 1-800-686-2237, extension 129.
[00:11:31.162 --> 00:11:34.943]  I believe that we are facing a financial catastrophe of biblical proportion.
[00:11:35.143 --> 00:11:38.364]  Over recent decades, numerous economic systems have failed.
[00:11:38.484 --> 00:11:44.926]  Current Federal Reserve policy and uncontrolled government spending have set the stage for the United States to be the next target.
[00:11:45.206 --> 00:11:47.448]  Secure your assets today by calling 1-800-686-2237 extension 129.
[00:11:47.488 --> 00:11:48.568]  Do this so a paper can still buy gold.
[00:11:48.588 --> 00:11:50.209]  Call me, John Huebner, at 1-800-686-2237 extension 129.
[00:12:02.288 --> 00:12:04.089]  Hi, Steve Shank, Fearless Task Force.
[00:12:04.389 --> 00:12:07.210]  The J. Michael Stevens Group is shipping a lot of storable food.
[00:12:07.711 --> 00:12:09.932]  It's smart that you're getting going at your food supplies.
[00:12:10.552 --> 00:12:18.836]  One week after the report came out that the world had eaten more food than it produced last year, the country turned into a deep freeze, wiping out a huge part of the new crop.
[00:12:19.316 --> 00:12:19.877]  An example?
[00:12:20.417 --> 00:12:23.238]  In 24 hours, clementine oranges doubled in price.
[00:12:24.119 --> 00:12:26.900]  If you intend to start or finish your supply, call immediately.
[00:12:27.260 --> 00:12:30.542]  When you call, tell them how many adults and how many years of food you need.
[00:12:31.300 --> 00:12:36.502]  When there are shortages, missing items will be substituted, maintaining the quantity of food necessary.
[00:12:37.123 --> 00:12:38.603]  Money is not the problem.
[00:12:38.823 --> 00:12:39.824]  Availability is.
[00:12:40.344 --> 00:12:42.205]  Be careful when food supplies get short.
[00:12:42.445 --> 00:12:46.127]  With no future, many retailers ship real trash to supply you.
[00:12:46.747 --> 00:12:48.828]  For safe food you can trust, call 800-409-5633.
[00:12:48.848 --> 00:12:49.909]  On the web, efoodsdirect.com.
[00:12:49.929 --> 00:12:49.969]  800-409-5633.
[00:13:03.792 --> 00:13:09.254]  It's here, after a year in production and traveling to distant lands, my new film Terror Storm is complete.
[00:13:09.615 --> 00:13:17.258]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:13:17.938 --> 00:13:24.999]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:13:25.399 --> 00:13:36.801]  Terror Storm chronicles the lies that took us to war in Iraq, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:13:37.121 --> 00:13:41.042]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:13:41.082 --> 00:13:43.022]  It's an anthology of government crimes.
[00:13:43.342 --> 00:13:47.183]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:13:47.803 --> 00:13:59.168]  Get your copy today on InfoWars.com or PrisonPlanet.com or by calling toll-free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv.
[00:13:59.328 --> 00:14:07.092]  News, politics, sports, cars, home improvement, health, and everything in between, we've got you covered.
[00:14:07.152 --> 00:14:09.313]  You're listening to the GCN Radio Network.
[00:14:11.807 --> 00:14:20.780]  Coming to you from the capital of Texas, broadcasting the truth coast to coast and worldwide, this is the Alex Jones Show!
[00:14:27.233 --> 00:14:29.855]  Your calls are coming up toll-free at 877-590-5525.
[00:14:29.875 --> 00:14:30.115]  877-590-5525.
[00:14:30.235 --> 00:14:35.398]  Or locally, we're listening to The Mothership.
[00:14:35.418 --> 00:14:36.139]  836-0590.
[00:14:36.759 --> 00:14:39.961]  Right here in Central Texas.
[00:14:40.361 --> 00:14:48.586]  By the way, I forgot to mention, we've got our own message boards, but you can go to the KelbyJay 590 message board and I'll read some of your comments later as well.
[00:14:48.866 --> 00:14:51.468]  That's 590KelbyJay.com.
[00:14:51.668 --> 00:14:56.171]  We've had message boards in the past on InfoWars and Prison Planet, but we're trying to develop some new, really
[00:14:56.798 --> 00:14:59.179]  You know, easy ones to use.
[00:14:59.239 --> 00:15:01.319]  But the one I've got up on the KLBJ site is pretty good.
[00:15:01.339 --> 00:15:05.420]  So I'll be pulling that up and taking some questions or comments off of there on air.
[00:15:05.440 --> 00:15:07.281]  The problem is that there's so many every time I plug it.
[00:15:07.601 --> 00:15:10.382]  Literally, you know, because the page holds like 20 and it scrolls up.
[00:15:10.742 --> 00:15:13.783]  By the time I look at one, I usually can't even read it by the time it scrolls up.
[00:15:14.403 --> 00:15:18.584]  So I almost need to just hit print so I can print that page and get it on air.
[00:15:18.624 --> 00:15:20.325]  It's crazy how many of you get in there.
[00:15:23.065 --> 00:15:24.366]  Again, this is the problem every week.
[00:15:25.982 --> 00:15:35.267]  I'm here with, no exaggeration, it's got to be 60-70 stories that I want to cover, each one of these, but we're going to try to go through them as quickly as we can.
[00:15:36.887 --> 00:15:38.588]  Here's an Associated Press article.
[00:15:38.768 --> 00:15:42.850]  Panel will look into claims about Lynch and Tillman, Associated Press, House panel.
[00:15:42.870 --> 00:15:44.011]  That'll be a complete whitewash.
[00:15:45.232 --> 00:15:49.854]  Now for those that don't know, these were classic Pentagon domestic propaganda.
[00:15:50.689 --> 00:16:05.979]  And when Private Lynch, when it came out that she really had hidden and cowered in fear, and that it was actually men in the unit that had fought to the death, and that the military had knowingly given her credit for what they did, people that rescued her and a few of the survivors started mysteriously dying.
[00:16:06.039 --> 00:16:11.442]  I mean, we're talking about, they're cooking hamburgers in their backyard in Phoenix, somebody in a black uniform pops up and double taps the head.
[00:16:12.303 --> 00:16:14.164]  We're talking about people being pulled out of cars and drowned.
[00:16:15.025 --> 00:16:17.186]  And I mean, this is, I'm sure it's all accidental.
[00:16:17.945 --> 00:16:23.809]  It probably was just a vapor that shot those bullets into their heads, or probably, you know, an Easter Bunny that pulled them out of the car and drowned them.
[00:16:24.610 --> 00:16:30.113]  But it was four or five people that died in a week, and then Lynch went public and said, it's all a fable, it's all a fable, as she would have.
[00:16:30.273 --> 00:16:33.055]  The young lady died in a car wreck today, but she'll still be our hero.
[00:16:33.275 --> 00:16:34.516]  Let's put women in the military.
[00:16:34.716 --> 00:16:36.237]  That's how important these myths are to them.
[00:16:37.538 --> 00:16:41.240]  My office has talked to Kevin Tillman, Pat Tillman, who's a brother, about six months ago.
[00:16:41.260 --> 00:16:42.061]  He wasn't ready to go on air.
[00:16:42.668 --> 00:16:43.868]  And then since then, we called.
[00:16:43.889 --> 00:16:45.709]  We didn't bug him after that for six months.
[00:16:45.749 --> 00:16:46.530]  We probably should have.
[00:16:46.570 --> 00:16:50.151]  But he's not doing interviews.
[00:16:51.071 --> 00:16:53.412]  And the numbers changed.
[00:16:53.672 --> 00:16:55.733]  So that happened.
[00:16:56.473 --> 00:17:01.355]  But talking to him, it was, well, look, there's more.
[00:17:01.375 --> 00:17:01.835]  There's more.
[00:17:03.176 --> 00:17:08.818]  They're admitting now that your brother was killed in a friendly fire and they covered it up and lied.
[00:17:08.898 --> 00:17:10.439]  Well, they lied about more.
[00:17:10.479 --> 00:17:11.219]  They lied about more.
[00:17:11.952 --> 00:17:16.995]  And finally, in the last few weeks, a couple of mainstream articles and some big blogs started saying, was he killed?
[00:17:17.515 --> 00:17:26.100]  Because they started looking at what the Army Colonel, before the whitewash started, said in the first report that this was high negligence or maybe even manslaughter.
[00:17:26.981 --> 00:17:27.921]  Was it a fragging?
[00:17:27.961 --> 00:17:28.742]  Was it something else?
[00:17:28.782 --> 00:17:32.724]  We know that happens where people kill those above them, but he wasn't that high up in the military.
[00:17:33.719 --> 00:17:45.910]  I mean, if you know the circumstances now that are emerging of what happened, we know that Pat, the big NFL star, who quit and left millions a year to go do this, and watch folks, this is going to come out.
[00:17:46.411 --> 00:17:48.753]  We've hinted at this in the last six months, but it's starting to come out.
[00:17:49.274 --> 00:17:53.998]  And this is all in a big article we put together off of mainstream articles and admissions and what's been said.
[00:17:55.207 --> 00:18:10.894]  That there's a good chance Pat Tillman was murdered by the Pentagon because Pat Tillman had written letters to family and was getting madder and madder about being in Iraq, about being in Afghanistan, saying it was a lie, it was a fraud, it was abhorrent.
[00:18:11.314 --> 00:18:15.216]  These are the type of... We've got his quotes here and what he told his family.
[00:18:15.676 --> 00:18:21.859]  They weren't about to let that guy get out of the military and go bad mouth the war as so many conservative troops have done.
[00:18:22.746 --> 00:18:31.332]  So, Pat Tillman, shot repeatedly in the body armor and then waving, you know, coming to them, hey, don't shoot, walked right out in front of everybody.
[00:18:31.352 --> 00:18:32.553]  It was like something out of Platoon.
[00:18:33.674 --> 00:18:42.139]  Which is, you know, kind of a composite of true stories where the one guy wants to kill his commanding officer and he's like, they're walking through the mist there at the end of the movie and he's like, hey, how you doing?
[00:18:42.199 --> 00:18:44.561]  And he just sees him look at him and take aim and blast him.
[00:18:45.613 --> 00:19:09.934]  But regardless, we know with Lynch, Jerry Bruckheimer was involved, producing and advising the special forces how to go in and say, go, go, go, and how to kick down doors, and that whole story is the Iraqis had been, you know, for three days going, come get her, come get her, we got your people, and we got the bodies of the dead, you know, our Republican guards pulled out, and then the troops had taken the whole area days before, they knew that, but they just waited, and then just staged a raid,
[00:19:10.660 --> 00:19:14.944]  And then when the story started unraveling, people had to die to keep that story going.
[00:19:15.424 --> 00:19:17.866]  And let me explain how the higher-ups of the military do this.
[00:19:18.907 --> 00:19:21.089]  It's the military culture at the highest levels.
[00:19:21.890 --> 00:19:35.522]  There were cases in Vietnam where they'd have over a thousand troops in a gorge, several famous cases, where our military would put them out there as bait to draw in an overwhelming attack, and they knew it would get most of those troops killed, but then to draw the VC into an attack and then come in and destroy them.
[00:19:35.542 --> 00:19:38.304]  I mean, that's just, let them take our pond, we'll get their rook.
[00:19:38.897 --> 00:19:40.418]  We'll get their knife.
[00:19:40.518 --> 00:19:44.101]  That's basic chess that the Persians developed 3,000 years ago.
[00:19:44.501 --> 00:19:45.042]  That's sacrifice.
[00:19:48.679 --> 00:19:54.221]  And they'll do that to troops, ladies and gentlemen, and they'll do that to keep war propaganda going.
[00:19:54.261 --> 00:19:55.662]  Let me give you an example of this project.
[00:19:56.102 --> 00:20:00.903]  Shad, the thousands of different tests they did upon tens of thousands of troops.
[00:20:01.123 --> 00:20:01.904]  They did it to U.S.
[00:20:02.004 --> 00:20:02.644]  and British troops.
[00:20:02.704 --> 00:20:04.385]  I've interviewed people involved in the experiments.
[00:20:04.525 --> 00:20:06.905]  This is now BBC and Associated Press admitted.
[00:20:07.366 --> 00:20:09.386]  And this went right up into 1986.
[00:20:09.666 --> 00:20:14.068]  They wouldn't tell somebody, you're going in to have flu tested on you, you get three days leave after you're sick.
[00:20:15.088 --> 00:20:15.669]  Sign a form.
[00:20:15.709 --> 00:20:19.170]  They'd walk them in, hit them with VX or sarin nerve gas, they'd flop around, vomit, die.
[00:20:19.370 --> 00:20:22.752]  They'd dissect their body and tell mama they died of the flu.
[00:20:22.872 --> 00:20:36.938]  And see, the argument is, once you have this Malthusian argument, or once you have this social-Darwinistic model, or once you decide it justifies the means, well, by doing this, we'll learn what sarin gas does and we can protect our troops from a really hit.
[00:20:37.418 --> 00:20:38.699]  Let's kill these young men.
[00:20:39.819 --> 00:20:43.261]  Well, the attack on the towers is needed to mobilize against the radical Muslims.
[00:20:43.846 --> 00:20:48.711]  I've even had good old boys come up to me, it's always the well-to-do type, and go, alright, maybe something happened.
[00:20:49.071 --> 00:20:50.012]  That's how we get things done.
[00:20:50.032 --> 00:20:51.333]  That's why America wins.
[00:20:52.054 --> 00:20:54.837]  No, that's not why America wins.
[00:20:55.578 --> 00:20:56.238]  That's not why.
[00:20:56.278 --> 00:20:58.520]  See, I've just covered one article, ladies and gentlemen.
[00:20:58.621 --> 00:21:00.342]  I have 50, 60, I don't know, articles.
[00:21:00.763 --> 00:21:02.104]  I just, stacks of them in here.
[00:21:03.245 --> 00:21:04.166]  There's no way to cover it all.
[00:21:05.210 --> 00:21:06.652]  I could go through all the evidence of Tillman.
[00:21:06.932 --> 00:21:10.836]  Just go to PrisonPlanet.com and Infowars.com and read it for yourself.
[00:21:10.896 --> 00:21:14.199]  Was Pat Tillman murdered to conceal the truth by Steve Watson?
[00:21:14.399 --> 00:21:15.721]  It's taken from Wire Reports.
[00:21:16.682 --> 00:21:17.202]  Here's another one.
[00:21:17.222 --> 00:21:19.264]  A great writer we've got at PrisonPlanet.com.
[00:21:20.285 --> 00:21:22.207]  Also written for Associated Press and Reuters.
[00:21:22.327 --> 00:21:25.030]  Sherwood Ross filed this with us on Friday.
[00:21:25.831 --> 00:21:33.125]  It says, Student, Texas A&M fails to report stricken students in Bioweapons Lab for 14 months.
[00:21:33.525 --> 00:21:35.329]  Now let me just stop you there.
[00:21:37.719 --> 00:21:45.465]  They have three dozen level four bioweapons labs they opened in the last four years since Bush got that Bioshield program passed.
[00:21:45.685 --> 00:21:46.386]  I said opened.
[00:21:46.486 --> 00:21:48.447]  They didn't build new facilities in most cases.
[00:21:48.808 --> 00:21:57.694]  They took University of Texas down at Galveston and many other facilities, 36 of them around the country, one of them is A&M, and they took level one or level two and just said it was level four.
[00:21:58.435 --> 00:22:07.402]  Now level four really should be underground, at least three stories, with special its own ventilation sealed, with three rings of barbed wire, machine gun nest, and minefields.
[00:22:08.394 --> 00:22:09.975]  And they're designed to burn up.
[00:22:10.436 --> 00:22:16.901]  If the pathogen gets out, the staff is given a few minutes if they were in the safe areas to evacuate.
[00:22:17.161 --> 00:22:18.022]  After that, it's detonated.
[00:22:18.042 --> 00:22:19.003]  Everyone's burned alive.
[00:22:19.663 --> 00:22:25.788]  This is stuff that, you know, mega super weapons, mega bio weapons, super bio weapons.
[00:22:26.989 --> 00:22:28.911]  Not in America now.
[00:22:29.751 --> 00:22:34.755]  Remember a couple years ago when they mailed the 10,000 samples of superflu around through FedEx?
[00:22:35.836 --> 00:22:37.758]  And then they had a wreck and they stepped all over the highway?
[00:22:39.701 --> 00:22:40.782]  Why are they doing this?
[00:22:41.543 --> 00:22:42.383]  We'll tell you about it.
