[00:00:02.891 --> 00:00:07.133]  It is Friday, the 21st day of December, 2007.
[00:03:33.306 --> 00:03:41.672]  To paraphrase Lennon, you know, he said there were times in history when more happens in a month or a week than happened in the previous hundred years on the geopolitical scene.
[00:03:42.671 --> 00:03:43.272]  Well, exactly.
[00:03:43.272 --> 00:03:49.377]  I mean, Len is not exactly my favorite character, but you do have to agree that there's just so much stuff going on.
[00:03:49.377 --> 00:03:51.439]  You're just talking about the Indians as heating.
[00:03:51.439 --> 00:03:53.861]  The whole Kosovo thing is a can of worms in Europe.
[00:03:53.861 --> 00:04:00.847]  And again, in Spain you have nationalists, Basque nationalists in the North and Catalan nationalists.
[00:04:01.227 --> 00:04:07.709]  Now, a lot of people are asking me, well, how does this work if the Bilderbergers are anti-nationalism?
[00:04:07.709 --> 00:04:09.469]  Why would they be supporting these movements?
[00:04:09.469 --> 00:04:22.693]  Because, again, if you think about it, it takes hundreds of millions of dollars to actually have an organized nationalist movement, being even in a small area of about 10 million people in northern Spain.
[00:04:22.693 --> 00:04:25.554]  Where are these people getting that money from?
[00:04:25.554 --> 00:04:26.834]  Explain that when we get back.
[00:04:26.834 --> 00:04:28.055]  Daniel Eskildon is our guest.
[00:04:29.506 --> 00:04:34.369]  The establishment discussing what would happen if they killed Ron Paul, any new developments there as well.
[00:04:34.369 --> 00:04:38.871]  We'll be right back with the author of the Bilderberg Group.
[00:04:38.871 --> 00:04:40.312]  It is a big idea.
[00:04:40.312 --> 00:04:43.113]  A new world order.
[00:04:43.113 --> 00:04:47.956]  In the near future, Earth is dominated by a powerful new government.
[00:04:47.956 --> 00:04:50.857]  It's known as the Bilderberg Group.
[00:04:50.857 --> 00:04:53.619]  Could their objective be world domination?
[00:04:53.619 --> 00:04:56.040]  For thousands of years, their dark order grew.
[00:04:56.802 --> 00:05:04.138]  Now as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:05:07.156 --> 00:05:12.598]  For the first time in history, the elite's plan for world government is blown wide open.
[00:05:12.598 --> 00:05:16.479]  You will learn the secret that drives the entire New World Order agenda.
[00:05:16.479 --> 00:05:19.020]  Bill of Rights is making great progress toward a world government.
[00:05:19.020 --> 00:05:20.200]  Most people have no idea.
[00:05:20.200 --> 00:05:20.980]  They're not after money.
[00:05:20.980 --> 00:05:22.261]  They have all the money they need.
[00:05:22.261 --> 00:05:23.241]  They're after power.
[00:05:23.241 --> 00:05:24.381]  That's their aphrodisiac.
[00:05:24.381 --> 00:05:29.143]  Order In Game on DVD at PrisonPlanet.com or InfoWars.com.
[00:05:29.143 --> 00:05:32.724]  Or watch it online right now at PrisonPlanet.tv.
[00:05:32.724 --> 00:05:35.665]  In Game, blueprint for global enslavement.
[00:05:35.885 --> 00:05:37.846]  You have been warned.
[00:05:37.846 --> 00:05:43.770]  Hey ladies, if you love to shop, then visit HerbalHealer.com to browse through their online catalog.
[00:05:43.770 --> 00:05:49.393]  You'll find thousands of effective, alternative, and natural products for you and the whole family.
[00:05:49.393 --> 00:05:57.017]  Besides the amazing products you'll find, this shopping is guilt-free because you're investing in your health, and your health is priceless.
[00:05:57.017 --> 00:06:04.101]  While online, sign up to receive the Herbal Healer newsletter, which will keep you informed on the latest and greatest products and education.
[00:06:04.361 --> 00:06:16.504]  Did you know that Herbal Healer offers not only natural medicine, but also tension-relieving herbal teas, cookbooks, aromatherapy, products for pampering, and more great products to help you soothe and relax after a long day.
[00:06:16.504 --> 00:06:19.845]  Want to learn more for yourself and to help others in the future?
[00:06:19.845 --> 00:06:22.345]  Join the Herbal Healer Correspondence Program.
[00:06:22.345 --> 00:06:25.406]  You can work at your own pace from the comfort of your own home.
[00:06:25.406 --> 00:06:29.547]  This accredited, exciting program can help you gain skills and knowledge.
[00:06:29.547 --> 00:06:32.088]  Can you believe you can find all this at one stop?
[00:06:32.088 --> 00:06:32.908]  HerbalHealer.com.
[00:06:33.948 --> 00:06:38.129]  Celebrating 18 years of dedication.
[00:06:38.129 --> 00:06:40.110]  Heart disease is on the rise.
[00:06:40.110 --> 00:06:45.471]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[00:06:45.471 --> 00:06:47.071]  But the symptoms are there.
[00:06:47.071 --> 00:06:55.474]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:06:55.474 --> 00:07:01.135]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:07:02.176 --> 00:07:02.497]  I think so.
[00:07:20.097 --> 00:07:24.279]  Order your two-month supply today by calling 866-295-5305.
[00:07:24.279 --> 00:07:28.182]  That's 866-295-5305.
[00:07:28.182 --> 00:07:31.203]  Or order online at HBextract.com.
[00:07:31.203 --> 00:07:33.465]  Heart and Body Extract, 866-295-5305.
[00:07:33.465 --> 00:07:39.328]  Or HBextract.com.
[00:07:39.328 --> 00:07:44.931]  He's the T-Rex of political talk, Alex Jones, on the GCN Radio Network.
[00:08:01.373 --> 00:08:08.760]  I promise we're gonna get to Alan, Adam, Kevin, Gordon, Chris, Lucas, all your calls coming up early in the shower.
[00:08:08.760 --> 00:08:12.443]  That's why Daniel agreed to come back on even during the holidays from Spain.
[00:08:12.443 --> 00:08:14.305]  He's a best-selling author, investigative journalist,
[00:08:15.672 --> 00:08:17.895]  Host of the National Radio Show in Spain as well.
[00:08:17.895 --> 00:08:18.996]  Good friend of mine.
[00:08:18.996 --> 00:08:21.940]  He's one of the big contributors to the film.
[00:08:21.940 --> 00:08:23.021]  Wouldn't call him a star.
[00:08:23.021 --> 00:08:23.902]  None of us are stars.
[00:08:23.902 --> 00:08:25.144]  We're in an info war.
[00:08:25.144 --> 00:08:30.430]  One of the big contributors to my new film, Endgame, Blueprint for Global Enslavement.
[00:08:30.430 --> 00:08:36.077]  You were just now speaking, Daniel, about how the internationalists
[00:08:37.777 --> 00:08:50.159]  Why they will also fund and support and be behind a subgroup breakaway nationalist within a nation, how that actually hurts national sovereignty.
[00:08:51.263 --> 00:08:58.611]  Well, again, Alex, let's talk about the North American Free Trade Agreement.
[00:08:58.611 --> 00:09:04.197]  To put the whole thing in perspective, and then we'll go back to Europe, I think people will be able to understand it much better.
[00:09:04.197 --> 00:09:09.763]  Now, think of Canada as the attic, the warehouse where the raw materials are based.
[00:09:09.763 --> 00:09:12.326]  Mexico is the boiler room where all the dirty work is done.
[00:09:12.774 --> 00:09:18.397]  And the United States is a spacious living room with breathtaking views, a dining room and a balcony.
[00:09:18.397 --> 00:09:20.078]  Oh, of course, and the water supply.
[00:09:20.078 --> 00:09:23.700]  Now, it won't do if a million-dollar home has clogged pipes.
[00:09:23.700 --> 00:09:25.081]  Basically, that's the plan.
[00:09:25.081 --> 00:09:29.123]  See, it's a stepping stone towards building a New World Order.
[00:09:29.123 --> 00:09:34.926]  Now, the whole thing about free trade, again, is to make sure that nobody can strike out on their own.
[00:09:34.926 --> 00:09:39.409]  See, before, Germany was able to build their own cars, as were the United States.
[00:09:39.409 --> 00:09:41.330]  Now you have the engine built in Detroit,
[00:09:41.710 --> 00:09:46.913]  The doors are built in Canada, and then the tires and the hubcaps are put together in Mexico.
[00:09:46.913 --> 00:09:53.317]  This way, you can assure that nobody can strike out on their own, and if they do... And that's neo-mercantilism.
[00:09:53.317 --> 00:09:59.161]  Only the globalists control the different sectors, so that gives them monopoly of the power of construction.
[00:09:59.481 --> 00:10:09.844]  Exactly, and if you try to strike out on your own, it's the international community which will be coming and calling on your doorstep actually to get these rights back.
[00:10:09.844 --> 00:10:18.047]  And this is exactly what they've done in Europe and what a lot of people thought before that the whole thing of the European Union was for everybody's benefit.
[00:10:18.047 --> 00:10:23.529]  Now a lot of them are realizing, especially in poorer countries such as Spain, Portugal,
[00:10:24.128 --> 00:10:31.315]  Uh, as well as wealthy nations such as France and Germany, that they're not actually getting such a good deal after all.
[00:10:31.315 --> 00:10:34.698]  And now the European Union is beginning to realize people within it.
[00:10:34.698 --> 00:10:39.022]  Uh, now that they've woken up, they're not allowed to vote their way out of it.
[00:10:39.022 --> 00:10:42.405]  They were never even allowed to vote themselves into it.
[00:10:43.055 --> 00:10:51.238]  And expanding on that, they admit in their own documents, Daniel, speak to your expertise on this, because I know you've done even more research than I have, but I run into it time and time again.
[00:10:51.238 --> 00:10:55.679]  They admit the global carbon tax is to shut down small manufacturers.
[00:10:55.679 --> 00:10:58.480]  It will totally make whatever's left in Europe and the U.S.
[00:10:58.480 --> 00:11:05.222]  lead to the third world, where there's no emissions controls, where it'll actually boost emissions overall globally.
[00:11:05.222 --> 00:11:07.023]  I mean, on its face, even if you
[00:11:08.072 --> 00:11:15.598]  Believe the man-made global warming story, their solution will actually increase carbon emissions and is a global tax.
[00:11:15.598 --> 00:11:28.989]  Well, you know, it's amazing that you actually bring this up because a few days ago, I received a document from last year's Davos Economic Forum in Switzerland, 2007, where one of the characters, I can't remember his name because I have it in my other home,
[00:11:29.389 --> 00:11:39.492]  He was actually talking about the attempts, and quote-unquote, slowing down the rates of economic and scientific progress, especially economic progress.
[00:11:39.492 --> 00:11:43.194]  And again, these are the words of the people at the Davos Economic Forum in 2007.
[00:11:43.194 --> 00:11:46.495]  Now, most of Davos is public.
[00:11:46.495 --> 00:11:48.195]  Is this a secret document?
[00:11:48.195 --> 00:11:51.036]  Well, not all of it is public.
[00:11:51.036 --> 00:11:57.759]  Again, for you actually to be able to get into it, you really have to jump through quite a few holes.
[00:12:00.466 --> 00:12:01.667]  Of course, it's an elitist forum.
[00:12:01.667 --> 00:12:03.609]  A lot of the press obviously get in.
[00:12:03.609 --> 00:12:05.371]  Not all of the discussions are public.
[00:12:05.371 --> 00:12:07.414]  Some of them are closed-door discussions.
[00:12:07.414 --> 00:12:09.616]  But again, you have the Davos in the end of January.
[00:12:09.616 --> 00:12:12.479]  You have the Trilaterals and the CFR.
[00:12:12.479 --> 00:12:18.446]  Specifically, get into that document, because I interrupted, and really scan your brain, Daniel, and think of the name.
[00:12:19.349 --> 00:12:23.491]  I can't remember the name because I got it a few days ago with Christmas around the corner and shopping.
[00:12:23.491 --> 00:12:31.936]  I just can't remember the name, but next time I come on your show, if I'm invited back, I will bring the document with me and I can read some of the things, some of the extracts from it.
[00:12:31.936 --> 00:12:34.618]  Of course you'll be invited, but give us the basic flavor of the document.
[00:12:35.158 --> 00:12:41.183]  Basic Flavor was basically the need to slow the economy, the economic development down now, as soon as possible.
[00:12:41.183 --> 00:12:58.677]  Again, you're talking about the creation of the slave society, and one of the ways to do this is to destroy the idea, as we talk so often on your show, the idea and the ideal of what the nation states represent, making sure that people are poor, not wealthier, because wealthy people, people who have power, people who have
[00:12:59.586 --> 00:13:19.445]  Uh, empowerment, they can actually put together things that the world government, new world order can't have, such as freedom, such as thinking people, and obviously the whole idea of dumbing down societies and bringing it down to the level of slaves has a lot to do with destroying the progress and, uh, economic progress and scientific development.
[00:13:20.956 --> 00:13:26.241]  And that keeps any new competition politically, economically, technologically from rising.
[00:13:26.241 --> 00:13:27.842]  They openly say this.
[00:13:27.842 --> 00:13:34.408]  They're obsessed with this, to have a corner on the market, a corner on the future.
[00:13:34.408 --> 00:13:37.431]  Do they feel like they're losing control right now, or are they happy?
[00:13:37.971 --> 00:13:38.952]  Well, let me give you an idea.
[00:13:38.952 --> 00:13:40.972]  We talked about Putin a little bit earlier on.
[00:13:40.972 --> 00:13:44.734]  We also talked about Kosovo and the whole idea behind all of these nations.
[00:13:44.734 --> 00:13:54.638]  And again, going back to Russia in the 1990s, it's incredible that the Bilderberg-led organizations and the corporate media are actually so upset at the Russian president.
[00:13:54.638 --> 00:13:56.899]  Now, again, I'm not a fan of the Russian president.
[00:13:57.239 --> 00:14:01.300]  Just because I was born in the Soviet Union, I'm not a fan of Putin.
[00:14:01.300 --> 00:14:02.501]  But you have to give him his due.
[00:14:02.501 --> 00:14:19.466]  He was able to pull by the bootstraps the country out of utter misery, what at the time of Yeltsin's so-called reforms, led by such people as Jeffrey Sachs and Andrus Avland, who needless to say are Bilderbergers, 40% of the population was starving to death and penniless.
[00:14:19.466 --> 00:14:25.648]  Now what he was able to do is actually bring the country out of that quagmire and put it back on the playing field.
[00:14:26.837 --> 00:14:34.423]  And if you think about it, that's one of the key reasons why the New World Order, why the Bilderbergers are so upset.
[00:14:34.423 --> 00:14:38.286]  Because, again, what you had in Russia, such thing as called the market reforms.
[00:14:38.286 --> 00:14:55.099]  Now, market reforms in an unconsolidated and sluggishly developing proto-democracy inevitably created the collapse of the entire Russian economy, its population, as I said before, rendered desperate, and its ability to support a world-class military establishment smashed.
[00:14:55.583 --> 00:14:56.083]  We're good to go.
[00:15:10.461 --> 00:15:10.862]  We're good.
[00:15:30.783 --> 00:15:31.504]  On the planet.
[00:15:31.504 --> 00:15:36.587]  Now, they weren't able to do this in Russia because of so many different conditions, such as oil.
[00:15:36.587 --> 00:15:36.968]  Really?
[00:15:36.968 --> 00:15:43.232]  Aren't they just a 21st century model of the British East India Company?
[00:15:43.232 --> 00:15:46.354]  Well, they are, but we can go even further back.
[00:15:46.354 --> 00:15:52.158]  Again, the base of all of that is the Venetian oligarchy.
[00:15:52.158 --> 00:15:53.119]  Now, the idea is, again,
[00:15:54.290 --> 00:16:06.390]  If you are able to do what the Russians have done, and one of the reasons, again I think one of the reasons that there's just so many personal attacks on Putin and so much hatred towards the Russian state,
[00:16:07.731 --> 00:16:21.455]  Is that what they have done is they've shown the way to get out of the slavery, because again, if they are able to do this, it would signify the death of oligarchism, of the whole idea of nation-state.
[00:16:21.455 --> 00:16:30.918]  Nations which foster this creative mental development of their populations produce a people which will not tolerate oligarchical forms of rule indefinitely.
[00:16:31.454 --> 00:16:36.876]  Which is why illiterate, technologically backward populations, they will tolerate it.
[00:16:36.876 --> 00:16:43.059]  And this is why technological backwardness is contributing cause for the emergence of oligarchical rule.
[00:16:43.059 --> 00:16:52.642]  Now, the very existence of the young United States, long, long time ago, as a federal republic, is a demonstration of this point, Alex.
[00:16:52.642 --> 00:16:58.845]  And again, I always come back to the idea of the American Republic and the Revolution and what it did for the entire world.
[00:16:59.318 --> 00:17:07.449]  The average American then was culturally and economically far more superior to the average Briton of the 18th century.
[00:17:07.449 --> 00:17:14.898]  Now over 90%, and I looked all of this up, over 90% of the US citizens were literate as contrasted with the poor 40% of the Britons.
[00:17:16.600 --> 00:17:40.494]  Moreover, since nations which did not compete technologically would be strategically inferior, even the states committed to oligarchism, such as 18th century Britain, were compelled to adapt these new measures of the then period and actually to be able to keep up in the economic development, which only goes to show you that what Russians have done in the past 10 years literally get back on their feet
[00:17:40.854 --> 00:17:48.415]  He's showing away to so many other countries of what they should do to be able to get rid once and for all of the yoke of the New World Order.
[00:17:50.174 --> 00:17:54.676]  When we get back, I want to get into new threats to Ron Paul, any new information you've learned.
[00:17:54.676 --> 00:18:15.608]  We talked during the break, you've just got one little tidbit, but I'd also like you to elaborate on your sourcing, which you have impeccable sourcing and have really been accurate in the past because there were some questions out there on the web about that and I wanted you to answer those because the story was one of the biggest on the internet this last week, literally on tens of thousands
[00:18:16.875 --> 00:18:17.475]  We're good to go.
[00:18:40.226 --> 00:18:48.033]  And when you see the media now coming out against him, you've then got to say, well, he's certainly not playing ball with them.
[00:18:48.033 --> 00:18:55.199]  I mean, any more than I like Ahmadinejad, but when the media attacks him, he must be doing something they don't like.
[00:18:55.199 --> 00:19:01.063]  And it is true that the Bilderberg Group was running policies in Russia from 1991 until the late 90s, where the Russian population
[00:19:05.083 --> 00:19:09.644]  Went down below 200 million or 40 million less than had been there.
[00:19:09.644 --> 00:19:12.725]  Average man living to 45-50 years of age.
[00:19:12.725 --> 00:19:14.285]  They were a dying culture.
[00:19:14.285 --> 00:19:20.247]  I know that the world has criticized Putin for paying women to have children.
[00:19:20.247 --> 00:19:24.928]  That's the opposite of the culture of death we have instituted here.
[00:19:24.928 --> 00:19:31.970]  Russia did institute the policy of death and it did kill close to a third of their population.
[00:19:31.970 --> 00:19:33.210]  Now they're trying to reverse that.
[00:19:34.452 --> 00:19:38.614]  We'll be right back and hear from Daniel Estillon on the other side.
[00:19:38.614 --> 00:19:40.534]  Ted Anders from Midas, December 20th, 2007.
[00:19:40.534 --> 00:19:43.216]  Gold 797 10 ounce gold coins can be purchased for $821.20, $404.75 for half, $202.38 for quarter.
[00:19:43.216 --> 00:19:43.636]  That's $821.20, $404.75, and $202.38.
[00:19:52.569 --> 00:19:56.152]  For years, Ron Paul has taken the position to uphold constitutional rights.
[00:19:56.152 --> 00:20:00.735]  He's been branded by special interest groups as Dr. No, refusing to bend his values.
[00:20:00.735 --> 00:20:05.098]  I can only imagine the pressure applied by Congress as he stands alone for these principles.
[00:20:05.098 --> 00:20:07.420]  He has given up a medical career for this.
[00:20:07.420 --> 00:20:09.101]  Ron Paul is running for president.
[00:20:09.381 --> 00:20:15.644]  The ideas of strong currency ending the war, defending the Constitution, and protecting civil liberties are catching on.
[00:20:15.644 --> 00:20:22.768]  As a thank you, GCNlive.com, Midas Resources, and I would like to send you a free copy of the Ron Paul Family Cookbook.
[00:20:22.768 --> 00:20:26.669]  Call 800-686-2237 for your free copy.
[00:20:26.669 --> 00:20:30.111]  Again, that's 800-686-2237.
[00:20:30.111 --> 00:20:33.333]  I hope his values are touching your heart as deep as they are mine.
[00:20:33.333 --> 00:20:33.713]  That's 800-686-2237.
[00:20:33.713 --> 00:20:35.314]  Thanks again for supporting Ron Paul.
[00:20:38.448 --> 00:20:41.791]  Spyville.com is your choice for everything spy related.
[00:20:41.791 --> 00:20:50.458]  Stealth cameras cleverly disguised as items commonly found around the home, night vision cameras, covert phone and voice recorders, powerful binoculars, security systems and more.
[00:20:50.458 --> 00:20:57.203]  Find hidden cameras wherever you go with the small handheld spy finder and locate hidden transmitters with one of our bug detectors.
[00:20:57.203 --> 00:21:00.606]  Spyville.com also carries a wide variety of night vision scopes of
[00:21:00.766 --> 00:21:01.167]  We're good to go.
[00:21:15.723 --> 00:21:16.123]  I think so.
[00:21:38.550 --> 00:21:43.352]  The Berkey Security Pack is your one-stop solution for unexpected emergencies.
[00:21:43.352 --> 00:21:47.994]  It provides you with purified water, light, power, and communications ability.
[00:21:47.994 --> 00:22:01.999]  The Security Pack includes a Berkey Light Water Purifier, an LED Base, two Berkey Sport Filtration Bottles, the Berkey Battery Adapter, the Berkey MP Solar Charger, as well as a backup set of two Black Berkey Purification Elements.
[00:22:02.239 --> 00:22:25.409]  The Berkey Security Pack is important every day and a must during emergencies because it provides purified water, long-term low-energy lighting, backup battery power for your Berkey LEDs, free long-term solar power for communications devices such as radios, walkie-talkies, and cell phones, as well as power for small applications, yet the one-stop solution for your emergency and everyday needs.
[00:22:25.409 --> 00:22:28.110]  The Berkey Security Pack, a retail value of $518 for only $399.
[00:22:30.911 --> 00:22:35.254]  By calling New Millennium at 888-803-4438.
[00:22:35.254 --> 00:22:39.136]  Not yet available in Iowa.
[00:22:39.136 --> 00:22:42.078]  This is Jack Blood with the Genesis Radio Network.
[00:22:42.078 --> 00:22:45.760]  Let's ask the question that the Bush regime hopes you will never ask.
[00:22:45.760 --> 00:22:48.982]  That is, is the USA already bankrupt?
[00:22:48.982 --> 00:22:55.426]  As the world's biggest debtor nation, we are borrowing in excess of 80% of the world's net savings.
[00:22:55.426 --> 00:22:59.829]  That's $2 billion per day to finance the biggest deficit in history.
[00:23:00.049 --> 00:23:04.571]  Our creditors are becoming increasingly concerned that the debt can never be repaid.
[00:23:04.571 --> 00:23:07.212]  Japan and China, two of the largest holders of U.S.
[00:23:07.212 --> 00:23:10.434]  debt, are looking to greatly reduce their exposure to dollars.
[00:23:10.434 --> 00:23:13.015]  In fact, China has privately hinted that a U.S.
[00:23:13.015 --> 00:23:17.337]  attack on Iran could result in China's dumping massive amounts of U.S.
[00:23:17.337 --> 00:23:18.458]  Treasury bonds.
[00:23:18.458 --> 00:23:23.260]  To find out more about this, call for a free report on the coming dollar collapse.
[00:23:23.260 --> 00:23:25.121]  Call Whitehurst International at 1-888-424-9000.
[00:23:26.101 --> 00:23:28.102]  Your call is coming up in the next segment.
[00:23:28.102 --> 00:23:30.424]  Daniel Estelin, author of The Bilderberg Group.
[00:23:30.424 --> 00:23:31.825]  Best-selling author.
[00:23:31.825 --> 00:23:33.246]  Just published in the U.S.
[00:23:55.740 --> 00:23:57.642]  The second printing already sold out.
[00:23:57.642 --> 00:24:01.525]  We've got some, though, at InfoWars.com.
[00:24:01.525 --> 00:24:07.570]  Daniel, you know, you get contacted by these sources.
[00:24:07.570 --> 00:24:11.753]  Last week we talked about how accurate you've been in the past with your predictions.
[00:24:11.753 --> 00:24:15.656]  Jim, similarly, has been very accurate with these sources.
[00:24:15.656 --> 00:24:20.480]  Maybe we can talk about how you vet sources, the types of sources you have, without getting too specific.
[00:24:21.138 --> 00:24:32.306]  And then squeezing out any other info you didn't cover from your last discussion, and then you do have one more little tidbit just from the angle of the secret service, but that's not from one of these vetted sources.
[00:24:32.306 --> 00:24:34.187]  Go ahead and break it down for us.
[00:24:34.187 --> 00:24:41.532]  Well, first of all, I'm not really all that surprised by the amount of publicity, at least that the story has received on the Internet.
[00:24:41.532 --> 00:24:49.318]  I've seen some, again, I don't have a television set, I've never had a TV set in my life, so I'm not sure if any of this has been covered on mainstream
[00:24:50.180 --> 00:24:50.460]  Yes I have.
[00:24:50.460 --> 00:24:54.043]  Well, you know, this is just a message to all these folks out there who I'm sure mean well
[00:25:16.974 --> 00:25:23.183]  First of all, I didn't realize that Obi-Wan Kenobi was an American citizen and could actually run in the presidential elections.
[00:25:23.183 --> 00:25:24.785]  If he can, my mistake.
[00:25:24.785 --> 00:25:27.669]  Second of all, we've got to stick to the facts.
[00:25:27.669 --> 00:25:31.154]  If we actually go into the parallel universe of Disneyland,
[00:25:31.596 --> 00:25:37.179]  Then before Obi-Wan Kenobi, we're going to have Paddington Bear and Winnie the Pooh running in the presidential election.
[00:25:37.179 --> 00:25:45.744]  We can't do that because the mainstream press... Well, I think the analogy is that they struck Obi-Wan Kenobi down, he became more powerful.
[00:25:45.744 --> 00:25:49.967]  Well, I think we should just stick to Ron Paul and stick to the facts because, again,
[00:25:51.688 --> 00:26:00.291]  If we give these people and the mainstream press too much slack, they will hang us, because they'll make us look foolish, and we can't afford to do that.
[00:26:00.291 --> 00:26:15.076]  One of the reasons that they have never, ever been able to do anything with me and to me, and my book has been published again in 49 countries, there has not been one lawsuit, not one negative commentary from anybody of interest or value, is because everything I say affects
[00:26:15.598 --> 00:26:17.639]  Easily verifiable fact.
[00:26:17.639 --> 00:26:20.340]  And again, I don't think we should be talking about Obi-Wan.
[00:26:20.340 --> 00:26:21.540]  We should be talking about facts.
[00:26:21.540 --> 00:26:24.381]  Ron Paul is a presidential candidate.
[00:26:24.381 --> 00:26:25.602]  He's a legitimate candidate.
[00:26:25.602 --> 00:26:26.782]  I'm not sure if he can win.
[00:26:26.782 --> 00:26:27.883]  I hope he can.
[00:26:27.883 --> 00:26:35.106]  But again, as far as what my sources are basically telling me and how I vet my sources, I've been doing this for a long time.
[00:26:35.106 --> 00:26:42.549]  And again, Alex, as you well know, a lot of the people who join the Secret Service community, they're out, you know, these are your real patriots.
[00:26:42.549 --> 00:26:43.569]  They love your country.
[00:26:43.976 --> 00:26:49.981]  Be it the United States, Canada, or Spain, and they want to do whatever they can to actually be on the right side of the law.
[00:26:49.981 --> 00:27:00.530]  Once they're in, a lot of them realize what actually goes on, and they're the first ones who are actually looking on the outside for anybody who can get this information out.
[00:27:00.530 --> 00:27:12.019]  Now, I know they can't do it themselves, so when they can actually find people they can trust, and I've been very fortunate to actually have so many of these people around the world, not only in the United States and Canada,
[00:27:13.121 --> 00:27:17.803]  All of this information gets out, but again, I don't take anybody's word at face value.
