[00:00:01.751 --> 00:00:02.471]  Free.
[00:05:26.507 --> 00:05:28.248]  We'll tell you about that, too.
[00:05:28.248 --> 00:05:30.931]  It's a big January 2nd edition, 2007.
[00:05:30.931 --> 00:05:31.352]  InfoWars.gov.
[00:05:39.247 --> 00:05:42.751]  It's here, after a year in production and traveling to distant lands.
[00:05:42.751 --> 00:05:45.054]  My new film Terror Storm is complete.
[00:05:45.054 --> 00:05:52.702]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:05:53.402 --> 00:06:00.845]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:06:00.845 --> 00:06:12.569]  Terror Storm chronicles the lies that took us to war in Iran, the White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:06:12.569 --> 00:06:16.550]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:06:16.550 --> 00:06:18.811]  It's an anthology of government crimes.
[00:06:18.811 --> 00:06:22.652]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:06:23.252 --> 00:06:30.240]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[00:06:36.184 --> 00:06:41.447]  Now, you can bring Berkey Purification Power anywhere with the Sport Berkey Filtration Bottle.
[00:06:41.447 --> 00:06:43.769]  Ideal for sporting games, camping, or boating.
[00:06:43.769 --> 00:06:51.574]  Our Sport Berkey is small enough to store in your glove box, so it's ideal backup for unexpected emergencies like blackouts, floods, or earthquakes.
[00:06:51.574 --> 00:06:54.896]  It's simply the best personal water filtration system available.
[00:06:54.896 --> 00:06:58.318]  So effective, you can drink raw, untreated water from lakes, rivers, and streams.
[00:06:58.658 --> 00:07:08.260]  Unlike other sport bottles, the Sport Berkey's patented filter formulation is so powerful it removes cysts, parasites, harmful bacteria, and chemicals like herbicides and pesticides.
[00:07:08.260 --> 00:07:12.000]  It even reduces radon-222, lead, and other heavy metals.
[00:07:12.000 --> 00:07:19.362]  This lightweight, rugged 22-ounce filter is small enough to go everywhere, so take one to work and keep another in your glove box for emergencies.
[00:07:19.362 --> 00:07:20.782]  Get the Berkey Sport for only $39.
[00:07:20.782 --> 00:07:22.522]  Get two for $70 by calling New Millennium at 888-803-4438.
[00:07:27.523 --> 00:07:29.125]  Order your Berkey Spork today!
[00:07:29.125 --> 00:07:31.728]  That's toll free, 888-803-4438 or order on the web at Berkeywater.com
[00:07:35.462 --> 00:07:37.742]  Attention, attention everyone!
[00:07:37.742 --> 00:07:40.223]  A brand new invention just released.
[00:07:40.223 --> 00:07:45.324]  It's called Wrist Ease, the new patented portable ergonomic wrist support.
[00:07:45.324 --> 00:07:52.325]  Wrist Ease comforts your wrists from the sometimes painful tasks of typing, writing, using a mouse or adding machine.
[00:07:52.325 --> 00:08:04.427]  Unlike most conventional wrist pads that are either attached to a mouse pad or lay flat in front of your keyboard, Wrist Ease is totally portable and ideal for laptop users and technicians who are constantly on the go.
[00:08:04.967 --> 00:08:09.208]  Wristease is perfect for children doing homework or playing video games.
[00:08:09.208 --> 00:08:15.710]  Wristease provides the proper comfort and support for all ages and makes a great stocking stuffer.
[00:08:15.710 --> 00:08:16.490]  Honest.
[00:08:16.490 --> 00:08:22.071]  Wristease provides comfort for victims of carpal tunnel syndrome and other repetitive injuries.
[00:08:22.071 --> 00:08:25.312]  You can order Wristease now at Wristease.com.
[00:08:25.312 --> 00:08:26.892]  That's Wristease.
[00:08:26.892 --> 00:08:31.733]  W-R-I-S-T-E-A-S-E Wristease.com.
[00:08:31.733 --> 00:08:34.234]  Once again, Wristease.com.
[00:08:37.384 --> 00:08:44.009]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:08:44.009 --> 00:08:54.516]  It's Alex Jones and the GCN Radio Network.
[00:08:54.516 --> 00:09:01.961]  FEMA camp, admittedly a FEMA camp, for families in North Austin, in a suburb, Taylor,
[00:09:03.482 --> 00:09:19.437]  Our guys are on the ground right there, right now shooting a video, and I want them to call in at the bottom of the hour with a report on what's happening up there, and we'll give you the details of exactly what we're discussing.
[00:09:19.437 --> 00:09:29.726]  Don't have to go too far afield these days to find a FEMA camp, it's just right here in my beloved Austin, in a satellite of the city, a bedroom community.
[00:09:31.443 --> 00:09:40.131]  And we do have Michael Rivero for his once-a-month visit, his analysis that he always graces us with, coming up in the second hour.
[00:09:40.131 --> 00:09:54.204]  In the third hour, I'm going to air most of, not the entire, 24-minute, well, my favorite Twilight Zone episode, The Obsolete Man.
[00:09:54.204 --> 00:09:56.606]  Here's just the intro to that, coming up in the third hour.
[00:10:06.329 --> 00:10:08.651]  You're traveling through another dimension.
[00:10:08.651 --> 00:10:11.933]  A dimension not only of sight and sound, but of mind.
[00:10:11.933 --> 00:10:15.556]  A journey into a wondrous land whose boundaries are that of imagination.
[00:10:15.556 --> 00:10:16.797]  That's the signpost up ahead.
[00:10:16.797 --> 00:10:23.542]  Your next stop, the Twilight Zone.
[00:10:23.542 --> 00:10:29.967]  Wordsworth Romney obsolescence.
[00:10:29.967 --> 00:10:31.468]  He's waiting, Chancellor.
[00:10:31.468 --> 00:10:31.969]  Oh, let him in.
[00:10:42.727 --> 00:10:44.888]  Alright.
[00:10:44.888 --> 00:10:50.811]  Coming up in the third hour on this second transmission of 2007.
[00:10:50.811 --> 00:10:52.432]  2007 has a wicked ring to it.
[00:10:52.432 --> 00:10:56.714]  It's no doubt going to be a wicked year.
[00:11:02.117 --> 00:11:15.760]  But before I get into all the news here that is leviathan in front of me, let me just talk about what happened last year and what is coming up in the new year.
[00:11:15.760 --> 00:11:23.322]  2006 was the year that the United States died.
[00:11:23.322 --> 00:11:27.263]  Now you know I've said this several times the last few months and I want to make it clear.
[00:11:27.263 --> 00:11:28.543]  I want to add some evidence today.
[00:11:31.622 --> 00:11:40.385]  That in the scale of a year, that's only a few seconds in the life of a country, of a people, of a civilization, of a way of life.
[00:11:40.385 --> 00:11:51.588]  And so, it is a premature death, and if we defibrillate, if we admit the hardest stop beating of the country is dead, by every yardstick, by every measurement, the U.S.
[00:11:51.588 --> 00:11:53.889]  is dead.
[00:11:53.889 --> 00:11:59.251]  It's cannons, it's basic tenets, it's underpinnings,
[00:12:00.905 --> 00:12:04.146]  It's physical, borders, all of it.
[00:12:04.146 --> 00:12:10.627]  If we admit how bad it is... See, that's the problem, is the denial.
[00:12:10.627 --> 00:12:13.388]  Then we can set about fixing it.
[00:12:13.388 --> 00:12:17.909]  It's like when Stalin was conservatively killing 30 million himself.
[00:12:17.909 --> 00:12:21.150]  There were denials that he was doing it.
[00:12:21.150 --> 00:12:25.431]  And he went right on doing it, and our government funded him to help him do it.
[00:12:25.431 --> 00:12:28.612]  Now it's admitted history, and even the Soviet archives admit it.
[00:12:32.131 --> 00:12:34.413]  It's time to stop living in denial, number one.
[00:12:34.413 --> 00:12:37.555]  The country is gone.
[00:12:37.555 --> 00:12:53.888]  New World Order has won a major victory, but because this country, the country itself is dead, but because the country is made up of living tissue, that is each and every one of us out there, every man, woman, and child, black, white, Hispanic, old, young, it doesn't matter.
[00:12:53.888 --> 00:13:01.614]  We can, with God's help, rise the country from the dead by passing electricity through its heart
[00:13:03.374 --> 00:13:13.141]  But if we haven't turned it around in the next few years, you can stick a fork in us, and we're done.
[00:13:13.141 --> 00:13:21.948]  Now, Europe was deep in the EU, and now when the final steps were being laid to reduce it to absolute despotism, the people pulled back
[00:13:23.010 --> 00:13:28.014]  The first time they were ever able to have a vote, by the way, on EU expansion and voted it down in every major country.
[00:13:28.014 --> 00:13:29.395]  Same thing happened in Latin America.
[00:13:29.395 --> 00:13:36.701]  So we see whole regions, whole countries, whole areas rising from the dead.
[00:13:36.701 --> 00:13:51.332]  But still around our necks are these ravenous New World Order goblins still feeding in a bloody froth at our necks, whispering in our ear
[00:13:52.105 --> 00:13:58.128]  While they do it, while they chew our feet off that they're our friends keeping us safe from terrorists, just look at them!
[00:13:58.128 --> 00:13:59.229]  Look at their fruits!
[00:13:59.229 --> 00:14:03.111]  No, they're a wicked lot!
[00:14:03.111 --> 00:14:08.273]  They are our enemies!
[00:14:08.273 --> 00:14:13.716]  They have used the good name of this country for their global empire and turned us from the most loved to the most hated!
[00:14:17.364 --> 00:14:24.807]  So when I say 2006 is the year the United States died, I mean it.
[00:14:24.807 --> 00:14:39.112]  It is the year that the agreement signed in March of the previous year went into effect, and according to Council on Foreign Relations news releases and SPP.gov governmental releases, it is on track or ahead of schedule, depending on the two releases.
[00:14:39.112 --> 00:14:42.213]  On track, ahead of schedule.
[00:14:42.213 --> 00:14:44.533]  Robert Pasteur and others have said.
[00:14:44.533 --> 00:14:46.114]  Co-chairman, Council on Foreign Relations.
[00:14:47.526 --> 00:14:50.192]  On the SPP Advisory Board.
[00:14:50.192 --> 00:14:53.799]  Run by Chertoff and the other real heads of the three governments.
[00:14:53.799 --> 00:14:55.021]  Canada, Mexico, US.
[00:14:59.326 --> 00:15:15.917]  And so they are merging our Social Security, they are merging our roads, they are merging our military, they are merging our intelligence gathering, they are merging our regulations, they are merging the 25 big federal agencies under Homeland Security with the respective agencies in Mexico and Canada.
[00:15:15.917 --> 00:15:27.544]  Through the last hundred years of financing and the corporations writing legislation, the three governments fit together like three Legos.
[00:15:27.544 --> 00:15:28.565]  Like snap tools.
[00:15:30.660 --> 00:15:34.423]  Like a jigsaw puzzle?
[00:15:34.423 --> 00:15:39.566]  It just goes together like a hand and glove, like a horse and carriage.
[00:15:39.566 --> 00:15:43.749]  All crafted, all machined, plop into place.
[00:15:43.749 --> 00:15:45.330]  And why do they want a new government?
[00:15:45.330 --> 00:15:55.176]  To erase the Bill of Rights and Constitution and any vestiges of common law in our body of law.
[00:15:56.531 --> 00:15:59.712]  They are replacing what we were with the new.
[00:15:59.712 --> 00:16:14.358]  No due process, no liberty, no freedom, no families, forced drugging, total control, no jobs of any significance, no control of your destiny, a nightmare.
[00:16:14.358 --> 00:16:15.839]  Guess what they got?
[00:16:15.839 --> 00:16:18.020]  Freedom of Information Act yesterday.
[00:16:18.020 --> 00:16:19.260]  This is Yahoo News.
[00:16:19.260 --> 00:16:26.043]  Social Security agreement with Mexico released after three and a half year Freedom of Information Act battle.
[00:16:27.771 --> 00:16:38.299]  PR Newswire, after numerous refusals over the three-and-a-half years, the Social Security Administration, SSA, has released the first known public copy of the U.S.
[00:16:38.299 --> 00:16:41.502]  Social Security Totalization.
[00:16:41.502 --> 00:16:44.684]  That's like saying, we're not for global government, we're for global governance.
[00:16:44.684 --> 00:16:45.665]  Totalization.
[00:16:45.665 --> 00:16:46.926]  Merger.
[00:16:46.926 --> 00:16:51.389]  U.S.-Mexico Social Security Totalization Agreement.
[00:16:51.389 --> 00:16:53.471]  That's merger.
[00:16:53.471 --> 00:16:55.353]  Totalization means merging all the numbers.
[00:16:55.353 --> 00:16:55.533]  The total.
[00:16:56.661 --> 00:17:11.680]  The government was forced to make the disclosure in response to lawsuits filed under Freedom of Information Act by the TREA Senior Citizens League, the second largest senior citizens organization in the U.S.
[00:17:11.680 --> 00:17:15.145]  Dwarfed by AARP, which is totally bought and paid for by the globalists.
[00:17:15.919 --> 00:17:22.301]  The totalization agreement could allow millions of illegal Mexican workers to draw billions of dollars from the U.S.
[00:17:22.301 --> 00:17:24.522]  Social Security Trust Fund.
[00:17:24.522 --> 00:17:25.843]  The agreement between the U.S.
[00:17:25.843 --> 00:17:31.865]  and Mexico was signed in June of 2004 and is awaiting President Bush's signature.
[00:17:31.865 --> 00:17:45.210]  Once President Bush approves the agreement, which could be done without Congress's vote, either house of Congress, neither house, would have 60 days to disapprove the agreement by voting to reject it.
[00:17:47.313 --> 00:17:52.257]  The Social Security Administration itself warns that Social Security is within decades of bankruptcy.
[00:17:52.257 --> 00:17:53.438]  It's already bankrupt.
[00:17:53.438 --> 00:18:06.590]  Yet they seem to have no problem making arrangements and agreements that hasten its demise, said Ralph McCutcheon, Chairman of the TREA Senior Citizens League.
[00:18:06.590 --> 00:18:10.513]  Okay.
[00:18:10.513 --> 00:18:13.296]  They're merging every department, every agency.
[00:18:15.780 --> 00:18:17.561]  I mean, look at this story right here.
[00:18:17.561 --> 00:18:38.651]  They're not just in name merging the agencies and the laws and the regulations that this North American SPP group just writes up and then the heads of the agencies just implement without Congress even knowing what's going on or having any oversight.
[00:18:39.784 --> 00:18:41.904]  They're physically getting rid of the border.
[00:18:41.904 --> 00:18:58.248]  They're physically coming in and lobbying and buying up the politicians at the state level who then hand the roads over to these international bodies and their subsidiary companies and governmental organizations both, public-private partnership.
[00:18:58.248 --> 00:19:04.669]  We also have the taxation systems being equalized and being merged.
[00:19:06.815 --> 00:19:09.117]  And we have our military.
[00:19:09.117 --> 00:19:17.682]  20% of the ground troops in Iraq are non-citizens.
[00:19:17.682 --> 00:19:34.373]  And if you go read the actual text of testimony before Congress last year, they're saying that by 2010, half of ground forces, infantry forces, in the Marine Corps and the Army are projected to be
[00:19:35.823 --> 00:19:42.045]  Non-citizen.
[00:19:42.045 --> 00:19:50.049]  And the Boston Globe reports they're, quote, considering expanding the number of non-citizens in the ranks and expanding recruiting stations overseas.
[00:19:50.049 --> 00:19:59.092]  The average American has no idea there's recruiting stations overseas in the Philippines and Mexico City, from Manila to Mexico City, and in Eastern Europe.
[00:19:59.989 --> 00:20:04.172]  They have no idea they're recruiting convicted felons, aggravated felons.
[00:20:04.172 --> 00:20:05.834]  That's been, though, in the news.
[00:20:05.834 --> 00:20:08.315]  But back of the paper?
[00:20:08.315 --> 00:20:11.818]  I mean, you can't get any more New World Order than that.
[00:20:11.818 --> 00:20:17.102]  When we come back, I'll continue with the evidence of the death of the United States in 2006.
[00:20:17.102 --> 00:20:19.324]  And then we'll look forward into 2007.
[00:20:19.324 --> 00:20:27.050]  The year of the primacy of the American Union.
[00:20:27.728 --> 00:20:31.569]  And all this data I'm putting out fits into both these columns.
[00:20:31.569 --> 00:20:32.250]  We'll be right back.
[00:20:32.250 --> 00:20:32.830]  Stay with me.
[00:20:32.830 --> 00:20:37.892]  Infowars.com.
[00:20:37.892 --> 00:20:40.232]  Hi folks, Jack Browner here from Midas Resources.
[00:20:40.232 --> 00:20:44.834]  The real money folks.
[00:20:44.834 --> 00:20:47.255]  Let's review a few things from the past year.
[00:20:47.255 --> 00:20:48.175]  November 2003 to November 2004.
[00:20:50.760 --> 00:20:53.161]  The Dow has ranged from 9,800 to 10,300.
[00:20:53.161 --> 00:20:56.082]  A 5% increase.
[00:20:56.082 --> 00:21:02.124]  The dollar's value has dropped from 96 cents to 70 cents against the Euro.
[00:21:02.124 --> 00:21:06.086]  A 24% decrease in spending power against the gold-backed Euro.
[00:21:06.086 --> 00:21:07.266]  Gold has gone from the 390s to the 440s.
[00:21:07.266 --> 00:21:08.187]  A 16% increase in real money.
[00:21:12.310 --> 00:21:15.914]  Precious metals are the safe haven in today's hectic marketplace.
[00:21:15.914 --> 00:21:22.360]  To learn how to protect your shrinking dollar, call Midas Resources today at 1-800-686-2237.
[00:21:22.360 --> 00:21:26.964]  Remember, gold is liquid, private, and portable.
[00:21:26.964 --> 00:21:30.347]  Call now before your buying power shrinks even more dramatically.
[00:21:30.347 --> 00:21:31.748]  That's Midas Resources at 800-686-2237.
[00:21:36.553 --> 00:21:41.355]  The Berkey Security Pack is your one-stop solution for unexpected emergencies.
[00:21:41.355 --> 00:21:45.977]  It provides you with purified water, light, power, and communications ability.
[00:21:45.977 --> 00:21:59.983]  The Security Pack includes a Berkey Light Water Purifier, an LED Base, two Berkey Sport Filtration Bottles, the Berkey Battery Adapter, the Berkey MP Solar Charger, as well as a backup set of two Black Berkey Purification Elements.
[00:22:00.223 --> 00:22:19.626]  The Berkey Security Pack is important every day and a must during emergencies because it provides purified water, long-term low-energy lighting, backup battery power for your Berkey LEDs, free long-term solar power for communications devices such as radios, walkie-talkies, and cell phones, as well as power for small applications.
[00:22:19.626 --> 00:22:23.407]  Get the one-stop solution for your emergency and everyday needs.
[00:22:23.407 --> 00:22:26.088]  The Berkey Security Pack, a retail value of $518 for only $399.
[00:22:28.908 --> 00:22:33.250]  By calling New Millennium at 888-803-4438.
[00:22:33.250 --> 00:22:36.772]  Not yet available in Iowa.
[00:22:36.772 --> 00:22:40.034]  David J. Smith for Newswatch Magazine.
[00:22:40.034 --> 00:22:43.416]  Patrick Henry said, give me liberty or give me death.
[00:22:43.416 --> 00:22:54.342]  Did you know that he also forced the adoption of the Bill of Rights as a part of the Constitution of 1787 to guarantee your unalienable or unchangeable rights of freedom of speech?
[00:22:55.109 --> 00:23:00.512]  Freedom of religion and freedom to own a gun to protect our nation from tyranny.
[00:23:00.512 --> 00:23:06.555]  There is now an assault upon the unalienable, unchangeable rights to deprive you of them.
[00:23:06.555 --> 00:23:14.439]  We'd like to help you understand why these things are happening by offering you an absolutely free one-year subscription to Newswatch Magazine.
[00:23:15.521 --> 00:23:16.381]  Just call 1-800-516-8736.
[00:23:16.381 --> 00:23:22.103]  That's 1-800-516-8736.
[00:23:22.103 --> 00:23:28.485]  The call is free.
[00:23:28.485 --> 00:23:39.288]  Our operators are standing by to take your order for a year's subscription to Newswatch Magazine.
[00:23:39.288 --> 00:23:41.728]  Do you know the truth about breast cancer?
[00:23:41.728 --> 00:23:44.109]  Do you realize that the race for the cure is over?
[00:23:44.924 --> 00:23:54.308]  The best-kept secret in the world today is that now it's possible to kill cancer without personal suffering, mutilation, and poisoning of your entire system.
[00:23:54.308 --> 00:23:59.850]  Now it's cancer's turn to die, with LaysMed Incorporated's patented methodology.
[00:23:59.850 --> 00:24:10.335]  Without cutting, bleeding, drugs, or damaging radiation, we can destroy skin cancer and breast tumors of any size, without adverse side effects at a physician's office.
[00:24:10.335 --> 00:24:12.576]  Star War technology at its best.
[00:24:13.402 --> 00:24:14.642]  For more information call 702-953-0267.
[00:24:14.642 --> 00:24:14.702]  702-953-0267.
[00:24:14.702 --> 00:24:15.863]  Or visit www.laysmedinc.com.
[00:24:15.863 --> 00:24:16.983]  That's www.lasemedinc.com.
[00:24:36.291 --> 00:24:38.251]  Welcome back.
[00:24:38.251 --> 00:24:41.972]  So, 2006 is the year America died.
[00:24:41.972 --> 00:24:48.954]  It's been a long, laborious program to do it, but they officially
[00:25:05.186 --> 00:25:19.698]  After carrying out the terror attacks that took all the bureaucracies under the control of Homeland Security, that Homeland Security could implement the merger without Congress's oversight with Mexico and Canada.
[00:25:19.698 --> 00:25:23.301]  And then now they're advertising the North American Union as a way to keep us all safe.
[00:25:23.301 --> 00:25:24.262]  I'll never forget U.N.
[00:25:24.262 --> 00:25:34.670]  General McKenzie the Wednesday after, a week after 9-11, I guess eight days after 9-11, saying that we're going to have a continental security perimeter.
[00:25:36.222 --> 00:25:38.064]  uh... with with mexican u.s.
[00:25:38.064 --> 00:26:02.025]  and canadian troops patrolling the physical border of north america down from the uh... from alaska down to the border of mexico and guatemala and then now i'll robert pastor and others have been in the men in the press and on cnn saying the exact same thing the only thing that'll keep you safe from terrorist is a north american union and that uh... these guys are incredible
[00:26:03.210 --> 00:26:10.093]  And, of course, I was watching an old C-SPAN CFR meeting last night, getting clips out of it for a film I'm making, and there they were there!
[00:26:10.093 --> 00:26:19.617]  It was the Gary Hart-Rudman-Warren-Rudman Commission, which every one of their recommendations, all 50 of them, got implemented to the letter.
[00:26:19.617 --> 00:26:27.681]  Department of Homeland Security, Patriot Act, just every one of the things had already been written and packaged and was prepared.
[00:26:29.964 --> 00:26:34.169]  And so we do not have a border.
[00:26:34.169 --> 00:26:44.820]  They are with the new blanket amnesty program that they're set to reintroduce in the next few days as Congress prepares to reconvene this week.
[00:26:44.820 --> 00:26:49.145]  The Democrats' first order of business is a hate crimes law to restrict free speech.
[00:26:50.390 --> 00:26:54.391]  And, of course, a guest worker blanket amnesty program.
[00:26:54.391 --> 00:26:58.612]  They, again, are merging our social security systems.
[00:26:58.612 --> 00:27:02.753]  They are recruiting heavily out of the third world to make up our military.
[00:27:02.753 --> 00:27:04.354]  Of course, non-U.S.
[00:27:04.354 --> 00:27:06.274]  citizens are more likely to fire on U.S.
[00:27:06.274 --> 00:27:08.775]  citizens and to follow orders.
[00:27:08.775 --> 00:27:14.676]  Every empire, when it oppresses its own people, brings in foreign troops to do the job.
[00:27:14.676 --> 00:27:17.397]  Of course, these will be foreign troops in our uniforms.
[00:27:18.520 --> 00:27:19.701]  As we told you they would.
[00:27:19.701 --> 00:27:26.626]  We went to Urban Warfare Drills from Louisiana to California and showed you the footage of it.
[00:27:26.626 --> 00:27:36.613]  This has been a long, long program now coming to fruition.
[00:27:36.613 --> 00:27:43.278]  So 2007 was the year, will be the year, of the American Union really standing on its own two feet.
[00:27:43.278 --> 00:27:45.699]  And this will be the test of it.
[00:27:45.699 --> 00:27:47.721]  Will the American people wake up to it?
[00:27:48.843 --> 00:27:51.004]  And it's different programs.
[00:27:51.004 --> 00:27:57.227]  Will they realize how dire the situation is, or will they capitulate and accept it?
[00:27:57.227 --> 00:28:12.194]  Simultaneously, in 2007, they're announcing from Indiana to Texas, from Oregon to New York, that foreign companies are being given, if you really look at the deals, they're being given at fire sale prices.
[00:28:13.854 --> 00:28:21.979]  The infrastructure, the ports, the roads, to be used as taxing mechanisms to fund the North American Union.
[00:28:21.979 --> 00:28:29.163]  When they seize a major interstate highway or a farm to market road, say in Texas, and place toll roads on existing roads,
[00:28:29.981 --> 00:28:48.314]  It is apportioned out to the city, the county, the state, the federal government, and then a large portion to be rolled into an SPP, Security and Prosperity Partnership, funding mechanism, this has all been announced, to even quote, build roads in Mexico!
[00:28:48.314 --> 00:28:51.717]  This is a signed agreement, Congress isn't involved.
[00:28:51.717 --> 00:28:54.499]  A signed agreement between the bureaucracies of our government
[00:28:55.550 --> 00:29:11.453]  And the Mexican and Canadian governments to take our tax money and build the superhighway that goes south out of Texas down to the west coast of Mexico where the Chinese goods will flow in.
[00:29:11.453 --> 00:29:19.035]  And again, everybody gets focused on the NAFTA superhighway I-35, which I am literally three miles from right where I sit.
[00:29:19.941 --> 00:29:22.483]  That is only one major artery.
[00:29:22.483 --> 00:29:32.309]  They are grabbing 82, this is in the SPP documents, 82 existing, and if you count them, there's only 85 interstate highways.
[00:29:32.309 --> 00:29:40.135]  So there's 82 others plus I-35, that's 83 of the 85.
[00:29:40.135 --> 00:29:44.658]  Already slated to go under this, and they're throwing toll roads down on them right now.
[00:29:46.167 --> 00:29:51.310]  And that money's going to be taken and put into the bureaucracy to fund the further dismantling.
[00:29:51.310 --> 00:29:57.053]  I mean, if they grab the infrastructure of any country, especially its roads, the heart of an infrastructure, in the U.S.
[00:29:57.053 --> 00:30:01.175]  it's even worse because we're totally dependent on roads.
[00:30:01.175 --> 00:30:07.939]  And we are a sprawling civilization compared to Europe or Japan.
[00:30:07.939 --> 00:30:09.360]  So it is a bloodless coup.
