[00:00:00.069 --> 00:00:00.309]  Hey!
[00:04:53.067 --> 00:04:56.550]  And we're trying to avert this and stop this from happening.
[00:04:56.890 --> 00:05:02.175]  When we break here in a few minutes, we're going to get Ed and Elaine Brown on about what happened at their home last night.
[00:05:02.195 --> 00:05:04.156]  I'm going to tell you about that in just a moment.
[00:05:04.597 --> 00:05:05.397]  Shots were fired.
[00:05:05.437 --> 00:05:07.059]  I'll just tell you that happened.
[00:05:08.027 --> 00:05:29.722]  But before we go there, stocks continue their massive slide Thursday and Friday, a 500 point drop on news of a weakening dollar and stocks dropping close to 20% in June and that is stocks on building stocks and then of course over a 20% drop with housing sales nationwide in June.
[00:05:29.762 --> 00:05:33.904]  We're just now getting the numbers for June, generally about a month after when you get those.
[00:05:34.265 --> 00:05:37.627]  It looks like the numbers may even be worse once July
[00:05:39.051 --> 00:05:43.612]  elapses in the middle of next month when we actually get those housing numbers.
[00:05:43.932 --> 00:05:46.733]  So we'll talk about what's really happening with the economy a little bit later.
[00:05:47.073 --> 00:05:48.413]  Also a free speech issue.
[00:05:49.473 --> 00:05:52.154]  This happened to a fella about a month ago.
[00:05:53.674 --> 00:05:54.894]  And I tried to get him on the show.
[00:05:54.934 --> 00:05:56.815]  It was all over the newspapers where it happened to him.
[00:05:57.655 --> 00:06:00.115]  But his lawyer basically told him not to.
[00:06:03.796 --> 00:06:05.116]  And now it's happened again.
[00:06:05.136 --> 00:06:07.057]  This is out of the Asheville Citizen Times.
[00:06:07.137 --> 00:06:08.017]  Couple arrested
[00:06:08.823 --> 00:06:11.003]  for flying upside down U.S.
[00:06:11.223 --> 00:06:11.664]  flag.
[00:06:12.664 --> 00:06:19.405]  And of course that was just, they were Ron Paul supporters and they had signs up saying America's in distress, North American Union's taking over.
[00:06:19.985 --> 00:06:22.366]  The signs even said this is not a sign of disrespect.
[00:06:22.926 --> 00:06:24.166]  Trying to explain to the idiots.
[00:06:25.106 --> 00:06:29.247]  You gotta love these folks that want to ban any type of quote desecration of the flag.
[00:06:29.547 --> 00:06:31.468]  They don't care if it's made by Chinese slaves.
[00:06:31.868 --> 00:06:32.428]  They love that.
[00:06:33.088 --> 00:06:33.648]  Desecrated.
[00:06:34.108 --> 00:06:34.488]  Totally.
[00:06:35.628 --> 00:06:38.549]  They don't care if places fly until they fall apart.
[00:06:39.935 --> 00:06:45.958]  What they care about, and they don't care about the country that the flag symbolizes in the Bill of Rights, are literally ending right now.
[00:06:47.419 --> 00:06:50.681]  What they care about is just the symbol, and it says it right here in the paper.
[00:06:50.961 --> 00:06:54.423]  The cop came to their house, beat both of them up, and took them to jail.
[00:06:54.443 --> 00:06:57.685]  I mean, he knocked on their door, beat them up, and took them to jail.
[00:06:58.165 --> 00:07:05.349]  And you're going to see more and more of this, as ignorant Americans, very low-grade morons, wonder why the economy is getting bad, why things are falling apart.
[00:07:05.669 --> 00:07:07.830]  The mainline media is going to say, well, it's these people.
[00:07:08.502 --> 00:07:09.983]  It's those that don't go along with the homeland.
[00:07:10.023 --> 00:07:10.863]  It's all their fault.
[00:07:12.645 --> 00:07:15.186]  So I'm going to be interviewing them coming up Monday or Tuesday.
[00:07:15.226 --> 00:07:16.067]  We're working on that.
[00:07:16.227 --> 00:07:17.427]  But we'll tell you about that report.
[00:07:17.488 --> 00:07:20.009]  Also, scientists breed the world's first mentally ill mouse.
[00:07:20.469 --> 00:07:21.150]  Times of London.
[00:07:21.170 --> 00:07:22.811]  We'll tell you why that's so important.
[00:07:24.552 --> 00:07:32.857]  But the really big news of the day is what's happening with the Browns because of what that could turn into and how that could widen.
[00:07:34.173 --> 00:07:41.399]  And then after we talk to Edna Lane Brown coming up in the next segment, new evidence clearly indicates Pat Tillman was executed.
[00:07:42.620 --> 00:07:45.342]  Now, this is old news for our listeners, that he was murdered.
[00:07:46.022 --> 00:07:49.545]  The question, we know he was murdered now, and we've known this since they killed him.
[00:07:50.126 --> 00:07:53.248]  The question is, was this ordered up on high by the brass?
[00:07:54.729 --> 00:07:56.871]  Or was this just a fragging?
[00:07:59.409 --> 00:08:03.113]  Now, we knew day one that the colonel who investigated said it looks like foul play and murder.
[00:08:03.153 --> 00:08:03.973]  He was told to shut up.
[00:08:04.073 --> 00:08:08.938]  The higher level general, three-star general, has now been demoted for covering that up.
[00:08:09.439 --> 00:08:18.247]  The army coroner said that he had three M16 bullet holes, 223 bullet holes, roughly an inch and a half apart.
[00:08:19.296 --> 00:08:21.237]  He was triple-tapped at a three-burst.
[00:08:22.017 --> 00:08:29.059]  After being shot repeatedly and begging them and screaming, I'm Pat Tillman, the executioners came right up on him and shot him directly in the head.
[00:08:29.620 --> 00:08:31.660]  Then members of his unit were told to shut up about it.
[00:08:31.820 --> 00:08:34.361]  Others mysteriously, of course, had accidents.
[00:08:35.121 --> 00:08:48.386]  And we do know from letters he wrote and things his brother, who was in the same country with him, said, and letters he wrote to Noam Chomsky and others, he was going to come back and be an anti-war leader, and my gut and all the evidence in past
[00:08:49.396 --> 00:08:52.978]  Operations They've Run shows me that they fragged him from on high.
[00:08:53.358 --> 00:08:57.781]  Probably came directly out of the Joint Chiefs of Staff office, Pentagon war planning.
[00:08:58.681 --> 00:09:03.764]  And if you think they won't kill a soldier to keep PR down, then you're living on another planet.
[00:09:04.764 --> 00:09:07.326]  But regardless, he was fragged and it was covered up.
[00:09:07.866 --> 00:09:10.788]  So we'll go over what really happened with Pat Tillman.
[00:09:10.808 --> 00:09:14.330]  And then WorldNetDaily attacked me with a cover story.
[00:09:14.690 --> 00:09:18.472]  Their top story, Friday and all of yesterday,
[00:09:19.258 --> 00:09:23.240]  Was that, uh... This could have something to do with the hacking, I don't know.
[00:09:23.280 --> 00:09:25.821]  I did get some threats over this story about Pat Tillman.
[00:09:25.841 --> 00:09:31.084]  They're very upset right now that we're defending the Republic and that we will never stop.
[00:09:31.704 --> 00:09:32.985]  See, we're the actual patriots, folks.
[00:09:33.005 --> 00:09:34.286]  We're the actual good guys.
[00:09:34.306 --> 00:09:37.447]  We're actually trying to stop the country going to the North American Union.
[00:09:37.688 --> 00:09:38.368]  So that's coming up.
[00:09:38.408 --> 00:09:44.051]  Oh, and speaking of the North American Union, new documents released about how the government's trying to keep it secret from the public.
[00:09:44.591 --> 00:09:46.352]  That's right, we have the actual letter.
[00:09:46.972 --> 00:09:48.153]  Now mainstream news.
[00:09:49.071 --> 00:09:54.752]  Heh, but they're telling us the new order doesn't exist and the NAU doesn't exist and the EU doesn't exist.
[00:09:55.432 --> 00:09:56.392]  The defense of liberty!
[00:09:57.513 --> 00:09:59.153]  Let me get back.
[00:10:00.513 --> 00:10:06.794]  It's here, after a year in production and traveling to distant lands.
[00:10:07.114 --> 00:10:09.075]  My new film Terror Storm is complete.
[00:10:09.435 --> 00:10:17.056]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:10:17.768 --> 00:10:24.852]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:10:25.213 --> 00:10:36.640]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:10:36.960 --> 00:10:40.482]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:10:40.922 --> 00:10:42.863]  It's an anthology of government crimes.
[00:10:43.183 --> 00:10:47.026]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:10:47.627 --> 00:10:54.960]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[00:11:00.029 --> 00:11:00.489]  Gold.
[00:11:00.809 --> 00:11:02.090]  It's like nothing else on Earth.
[00:11:02.350 --> 00:11:08.454]  From the Romans through the Renaissance, from the Industrial Age to the Space Age, gold has weathered the test of time.
[00:11:08.634 --> 00:11:12.456]  For 6,000 years, gold has remained the ultimate store of wealth.
[00:11:12.816 --> 00:11:14.697]  According to the World Gold Council and the U.S.
[00:11:14.737 --> 00:11:17.038]  Mint, demand is at an all-time high.
[00:11:17.178 --> 00:11:23.702]  The stage is being set for the reemergence of gold as the common-sense alternative to a fiat paper currency that gets weaker
[00:11:24.042 --> 00:11:25.523]  We're good to go.
[00:11:41.118 --> 00:11:41.578]  I don't know.
[00:12:02.009 --> 00:12:03.770]  Hi, Steve Shank, Fearless Task Force.
[00:12:04.070 --> 00:12:06.911]  The J. Michael Stevens Group is shipping a lot of storable food.
[00:12:07.411 --> 00:12:09.611]  It's smart that you're getting going at your food supplies.
[00:12:10.232 --> 00:12:18.514]  One week after the report came out that the world had eaten more food than it produced last year, the country turned into a deep freeze, wiping out a huge part of the new crop.
[00:12:19.014 --> 00:12:19.555]  An example?
[00:12:20.095 --> 00:12:22.936]  In 24 hours, clementine oranges doubled in price.
[00:12:23.816 --> 00:12:26.577]  If you intend to start or finish your supply, call immediately.
[00:12:26.957 --> 00:12:30.218]  When you call, tell them how many adults and how many years of food you need.
[00:12:30.996 --> 00:12:36.178]  When there are shortages, missing items will be substituted, maintaining the quantity of food necessary.
[00:12:36.819 --> 00:12:38.299]  Money is not the problem.
[00:12:38.519 --> 00:12:39.520]  Availability is.
[00:12:40.040 --> 00:12:41.901]  Be careful when food supplies get short.
[00:12:42.141 --> 00:12:45.823]  With no future, many retailers ship real trash to supply you.
[00:12:46.423 --> 00:12:48.524]  For safe food you can trust, call 800-409-5633.
[00:12:48.544 --> 00:12:49.585]  On the web, efoodsdirect.com.
[00:12:49.605 --> 00:12:49.645]  800-409-5633.
[00:13:00.478 --> 00:13:03.221]  We would all love to live in a world with clean air and water.
[00:13:03.661 --> 00:13:05.964]  A world in which our produce is grown naturally.
[00:13:06.244 --> 00:13:09.327]  Without the use of pesticides and other harmful chemicals.
[00:13:09.808 --> 00:13:11.970]  But the truth is, we don't live in such a world.
[00:13:12.130 --> 00:13:13.531]  These toxins enter our bodies.
[00:13:13.772 --> 00:13:17.916]  And the organ in our body that works hard to eliminate these toxins is the liver.
[00:13:18.236 --> 00:13:21.359]  Which is one of the most complex and important organs in the human body.
[00:13:21.640 --> 00:13:22.881]  With more than 500 vital functions.
[00:13:24.102 --> 00:13:32.370]  Give your liver the helping hand it needs with Live52, the world's best-selling all-natural liver support formula in over 76 countries.
[00:13:32.730 --> 00:13:35.433]  And it's backed by over 300 clinical trials and studies.
[00:13:35.793 --> 00:13:43.100]  Live52 is the most researched herbal formula that helps neutralize toxins from food, water, air, alcohol, and prescription medications.
[00:13:43.460 --> 00:13:45.101]  Are you tired of searching for great talk radio?
[00:13:45.121 --> 00:13:45.942]  Well, search no more!
[00:13:45.982 --> 00:13:46.682]  We are the GCN Radio Network!
[00:14:12.316 --> 00:14:25.943]  Coming to you from the capital of Texas, broadcasting the truth coast to coast and worldwide, this is the Alex Jones Show!
[00:14:25.963 --> 00:14:36.088]  Alright, I do want to thank News Radio 590 KLVJ, where we syndicate this broadcast out of, and the GCN Radio Network that does the actual syndication in association with EMIS.
[00:14:37.452 --> 00:14:42.035]  By the way, I have a great cover story on Ron Paul this month's Texas Monthly.
[00:14:42.415 --> 00:14:43.456]  Pretty much endorsing him.
[00:14:44.096 --> 00:14:45.577]  Ron Paul is gaining steam.
[00:14:45.617 --> 00:14:47.738]  I know Craig Kincaid and they're running the show.
[00:14:48.318 --> 00:14:50.420]  Certainly he's constantly wearing Ron Paul gear.
[00:14:52.921 --> 00:15:01.746]  Alright, we're about to go to the Browns and we've got the economy really teetering on the edge of going thermonuclear.
[00:15:02.066 --> 00:15:03.927]  It isn't just a collapse, it will explode.
[00:15:03.947 --> 00:15:04.968]  This will make the Depression
[00:15:05.980 --> 00:15:07.721]  Look like a tea party.
[00:15:07.821 --> 00:15:09.002]  Everybody feels the tension.
[00:15:09.022 --> 00:15:15.085]  Even people who aren't politically abreast of the situation, who aren't cued in, go, man, I'm feeling something.
[00:15:15.125 --> 00:15:18.007]  I've had like neighbors just walk up and go, aren't you feeling something?
[00:15:18.407 --> 00:15:23.730]  Trey, have you seen folks that are out there saying that they're feeling something?
[00:15:23.770 --> 00:15:31.674]  Because, I mean, everywhere I go, people feel the tension and they don't know why, but it's kind of like my snow when a tornado is coming today before it even hits.
[00:15:32.615 --> 00:15:37.039]  Or, you know, snakes know, or groundhogs know and take shelter.
[00:15:37.219 --> 00:15:41.543]  We've got that same innate understanding deep in us that all is not going well.
[00:15:42.364 --> 00:15:49.811]  When my dad votes Libertarian after voting Republican for like 30 something years, I tend to notice a change in the air.
[00:15:50.211 --> 00:15:50.772]  Absolutely.
[00:15:51.052 --> 00:15:53.054]  Well, I mean, there's those manifestations as well.
[00:15:53.792 --> 00:15:55.412]  But then what's happening with the economy?
[00:15:55.572 --> 00:15:56.993]  We're going to go to the Browns here in just a moment.
[00:15:57.013 --> 00:15:58.333]  I'll hold them over to the next segment.
[00:15:59.013 --> 00:16:02.394]  Let me just read this article put out by Paul Watson at PrisonPlanet.com.
[00:16:04.055 --> 00:16:11.577]  People were up all night long getting the sites back up to the little hackers who went in and expertly did a whole bunch of mischief.
[00:16:12.457 --> 00:16:14.057]  Shots fired at Browns.
[00:16:14.817 --> 00:16:16.658]  Probable attempt at provocation.
[00:16:16.718 --> 00:16:19.399]  Now, 11 o'clock at night, roughly, Eastern.
[00:16:21.858 --> 00:16:26.199]  Off working on my film, Endgame, and I missed the phone calls from folks there at the property.
[00:16:27.100 --> 00:16:28.980]  But I did get them after I got an affair.
[00:16:29.020 --> 00:16:30.421]  But all of that's a side issue.
[00:16:30.441 --> 00:16:34.042]  I have a problem going over my news show when I tell a story because I start imaging everything.
[00:16:34.702 --> 00:16:42.164]  But I heard more than 30 shots fired down in what they call the Beaver Dam, or the little swamp right behind their house.
[00:16:43.505 --> 00:16:44.905]  I talked to Danny Riley.
[00:16:46.531 --> 00:16:48.573]  Who's out on the property, who was already grabbed once.
[00:16:48.613 --> 00:16:49.814]  This was in the news, this was admitted.
[00:16:50.234 --> 00:16:54.338]  Tasered, shot at, just for walking a dog on the property.
[00:16:54.658 --> 00:16:58.021]  Then they kidnapped him, then they claimed they hadn't, then they admitted they'd lied.
[00:16:58.041 --> 00:16:59.322]  I mean, this came out in the news.
[00:16:59.362 --> 00:17:00.643]  This was national news.
[00:17:00.743 --> 00:17:02.004]  I mean, this is what the feds are doing.
[00:17:03.385 --> 00:17:13.333]  And he pulled up at the property yesterday afternoon, and the police chief of the town was parked there, staring at him, crosswise, blocking the driveway to their rural home, off the main road.
[00:17:14.258 --> 00:17:20.081]  And then he just floored it and fishtailed, spraying gravel and driving through the grass, leaving huge black street marks.
[00:17:20.121 --> 00:17:20.942]  They called the police department.
[00:17:20.962 --> 00:17:24.684]  They said, yeah, the chief was doing that so he could tell when people were driving across the property.
[00:17:24.924 --> 00:17:27.526]  The screech marks are his new tire marking system.
[00:17:27.846 --> 00:17:32.889]  He's mad that somebody stole his car numbering system.
[00:17:32.909 --> 00:17:41.474]  Somebody, you know, put those cables across the road the cops had with the boxes and some video crews had actually gotten tape of that, what local film crew headed up by
[00:17:43.274 --> 00:17:45.116]  Some great folks had gone and done that.
[00:17:45.156 --> 00:17:45.716]  Terry Melton.
[00:17:47.237 --> 00:17:49.879]  And so we shot video of that weeks ago.
[00:17:50.239 --> 00:18:00.567]  And a few weeks ago they had this concert, you could call it, to draw attention to the Browns and the private nature of the IRS as a collection agency of the private Federal Reserve.
[00:18:00.607 --> 00:18:03.109]  And now juries are actually ruling over and over again.
[00:18:03.129 --> 00:18:06.332]  The IRS is now losing in court over and over again as this comes out.
[00:18:06.352 --> 00:18:09.014]  In fact, that's mainstream news just today.
[00:18:09.054 --> 00:18:10.014]  I wanted to go over later.
[00:18:10.415 --> 00:18:11.936]  So all of this is happening.
[00:18:13.337 --> 00:18:14.718]  And all of this is developing.
[00:18:15.298 --> 00:18:20.740]  And while they're having this day-long party with about 300 people there, and by the way, I was here in Austin.
[00:18:21.100 --> 00:18:27.323]  I happened to tune in on a video feed via cell phone, great technology, and watching crisp video quality.
[00:18:27.663 --> 00:18:30.484]  I'm going, oh look, there's a rock band playing, Poker Face.
[00:18:30.964 --> 00:18:37.267]  And then all of a sudden, from behind the trees, a Homeland Security helicopter rises up like a movie.
[00:18:37.307 --> 00:18:39.648]  This was all photographed and videoed all over the web.
[00:18:39.668 --> 00:18:42.209]  You can go to PrisonPlanet.com and link through the stories that have it.
[00:18:42.950 --> 00:18:45.272]  Uh, the, you know, still photos of it and video clips.
[00:18:45.733 --> 00:18:47.794]  And so, this goes on for like an hour.
[00:18:47.834 --> 00:18:50.036]  I'm at my office eating dinner on a Saturday night.
[00:18:50.076 --> 00:18:51.037]  We're working on Endgame.
[00:18:51.537 --> 00:18:54.540]  We're all basically speechless watching this helicopter.
[00:18:54.800 --> 00:18:57.483]  Then it starts flying like 30 feet over the party.
[00:18:57.943 --> 00:18:59.304]  With flashing lights on.
[00:19:00.885 --> 00:19:02.467]  Wanting somebody to shoot at them.
[00:19:02.607 --> 00:19:04.809]  Wanting to provocateur something, okay?
[00:19:05.783 --> 00:19:08.884]  Wanting the Feds, you know, to go in, I guess.
[00:19:10.804 --> 00:19:19.926]  The Feds want someone to shoot at them so that then they can come in and have some conflagration, I guess, with 300 people that were there.
[00:19:21.146 --> 00:19:22.966]  So, clear intimidation.
[00:19:23.506 --> 00:19:25.267]  Clear provocateuring.
[00:19:25.327 --> 00:19:26.567]  Very provocative action.
[00:19:26.767 --> 00:19:28.087]  There's no other way to see this.
[00:19:28.427 --> 00:19:31.248]  And it was in the local news that, yeah, the Feds were flying over with helicopters.
[00:19:31.812 --> 00:19:32.592]  This was crazy!
[00:19:33.192 --> 00:19:54.598]  Now, they're blocking the street, they screech out in front of people, they've already tasered Danny and then kidnapped him and told him he was going to be an informant for him, or he'd go to prison, then he said no, then they released him, now they screech out, now they fire 30-something shots, and then Jim, who's pulled his trailer onto the property, he just goes by Jim, after this happens, somebody runs up and bangs on the side and then runs off.
[00:19:55.018 --> 00:19:57.378]  I mean, folks, let me tell you why the feds are doing this.
[00:19:58.218 --> 00:20:00.699]  They're doing this to try to provocateur somebody to shoot back at them.
[00:20:01.522 --> 00:20:05.624]  But in their cost-benefit analysis, so they can then move in and claim, you know, they're a bunch of nuts.
[00:20:06.145 --> 00:20:15.269]  But in the cost-benefit analysis, because I've studied past actions of the FBI at Waco and Ribi Ridge and countless other... Wounded Knee 2 and, you know, the modern Wounded Knee, all these other examples.
[00:20:16.490 --> 00:20:29.357]  They're doing this up in New Hampshire and Plainfield so that people put out headlines, and I'm not blaming them, but this is the type of headlines that were out on the web last night.
[00:20:30.198 --> 00:20:30.918]  Where is my stack?
[00:20:32.870 --> 00:20:33.590]  No, it doesn't matter.
[00:20:33.610 --> 00:20:35.411]  I've got so many articles here, I can't even find it.
[00:20:36.031 --> 00:20:36.652]  Oh, here it is!
[00:20:36.732 --> 00:20:37.332]  Red alert!
[00:20:37.392 --> 00:20:38.353]  Shots fired!
[00:20:39.173 --> 00:20:40.754]  Brown's under attack!
[00:20:42.214 --> 00:20:44.455]  And, you know, everybody just goes crazy.
[00:20:44.916 --> 00:20:48.237]  But see, you've only got so many cylinders in that InfoWar guide.
[00:20:48.857 --> 00:20:58.762]  If it continues to do that over and over again, see, when it finally really happens, when it finally really happens, people won't respond as much as they would have.
[00:21:00.089 --> 00:21:01.150]  And this is probing.
[00:21:01.190 --> 00:21:06.553]  Here's an example, then we'll go to Ed and Elaine Brown, who I really appreciate being on hold, waiting to come on, because this is very important to hear directly from them.
[00:21:08.815 --> 00:21:10.656]  I studied the invasion of Panama in 89.
[00:21:10.796 --> 00:21:15.159]  And I even saw this on the History Channel, but I'd already studied it in Army manuals that they put out at West Point.
[00:21:15.479 --> 00:21:17.881]  For six months before they invaded, the U.S.
[00:21:17.941 --> 00:21:26.926]  landed helicopters, took them off, flew over them, did troop insertions, took them out, until finally the Panamanian Defense Forces just stood down when the real attack came.
[00:21:26.986 --> 00:21:27.767]  Oh, that's another drill.
[00:21:28.757 --> 00:21:32.999]  And the drills got more and more hectic, more and more abusive, more and more out of control.
[00:21:33.859 --> 00:21:36.900]  So this is before the Germans started the war with the Poles.
[00:21:37.421 --> 00:21:46.685]  They would march up and down and fire their guns in the air and have cross-border skirmishes and provocations before World War II started.
[00:21:47.225 --> 00:21:48.505]  It's the same thing.
[00:21:49.226 --> 00:21:55.228]  And so that's why we've got to be very careful that we report the facts as they come out.
[00:21:55.668 --> 00:21:57.149]  We have to be very careful that
[00:21:57.890 --> 00:21:59.592]  That we also have not called for violence.
[00:22:00.313 --> 00:22:11.024]  Because that's what the New World Order wants, to then neutralize a political discussion and a political movement that is winning.
[00:22:12.025 --> 00:22:17.270]  When Congress now has 12% approval ratings and Dick Cheney has a 10% approval rating, the New World Order is in trouble.
[00:22:18.832 --> 00:22:19.152]  Okay?
[00:22:20.513 --> 00:22:20.774]  When
[00:22:23.172 --> 00:22:26.733]  The North American Union has a 1% approval rating in major polls.
[00:22:27.033 --> 00:22:28.413]  They're in trouble.
[00:22:29.034 --> 00:22:32.214]  The CFR put out a report two days ago on their website.
[00:22:32.254 --> 00:22:34.435]  This is the group that openly swears to destroy the U.S.
[00:22:34.615 --> 00:22:36.976]  They openly say it, but they run the government.
[00:22:36.996 --> 00:22:38.176]  They want to destroy our sovereignty.
[00:22:38.756 --> 00:22:42.917]  They say that globalism is imploding and everyone now is waking up to them and hating them.
[00:22:43.277 --> 00:22:46.378]  I meant to talk about that today, but now all this other news is taking place.
[00:22:46.438 --> 00:22:48.178]  So, we're having victories.
[00:22:48.198 --> 00:22:49.739]  We'll be right back with Ed and Elaine Brown.
[00:22:49.759 --> 00:22:50.079]  Stay with us.
[00:23:00.464 --> 00:23:03.207]  Are you concerned about the high cost of prescription drugs?
[00:23:03.548 --> 00:23:10.056]  Since January of 2006, RxDrugCard.com members have saved an average of $33 per prescription filled.
[00:23:10.076 --> 00:23:12.038]  That's over 46% savings!
[00:23:12.418 --> 00:23:14.701]  The average savings for generic drugs was over 71%.
[00:23:16.483 --> 00:23:24.988]  RxDrugCard.com is the only major discount prescription drug plan that offers a price lookup page, so you can get an idea of your discounted price before you enroll.
[00:23:25.288 --> 00:23:28.570]  RxDrugCard.com is for anyone who pays for their own prescriptions.
[00:23:28.770 --> 00:23:33.552]  There are no age restrictions, all prescriptions are covered, and 95% of all pharmacies in the U.S.
[00:23:33.592 --> 00:23:37.694]  participate, including Walmart, Walgreens, CVS Pharmacy, and many more.
[00:23:37.995 --> 00:23:42.457]  With RxDrugCard.com, you will save immediately with no messy forms or paperwork.
[00:23:42.797 --> 00:23:48.921]  Membership fees start at only $4.50 per month and include a 30-day unconditional money-back guarantee.
[00:23:49.021 --> 00:23:53.203]  Visit us at www.rxdrugcard.com or call us at 888-216-2461.
[00:23:53.263 --> 00:23:53.463]  That's 888-216-2461.
[00:23:53.483 --> 00:23:54.124]  Do it today!
