[00:00:00.109 --> 00:00:01.590]  A really good idea.
[00:02:36.210 --> 00:02:40.334]  But I would have to say that someone poisoned the pigeons.
[00:02:41.943 --> 00:02:47.326]  Or there was some big vat of water on a rooftop they've been drinking out of and somebody poisoned the pigeons.
[00:02:47.326 --> 00:02:53.989]  Or a chemical leached on a building on a rooftop into a big vat of water and killed the pigeons.
[00:02:53.989 --> 00:03:02.514]  Something like that, but I really wasn't even going to cover it today until I noticed that Drudge was reporting on it and there was national news reports.
[00:03:02.514 --> 00:03:06.796]  Had Al-Qaeda struck?
[00:03:06.796 --> 00:03:08.977]  Hmm, was it all over for us?
[00:03:11.016 --> 00:03:21.124]  So we'll be going over just the hysteria in society.
[00:03:21.124 --> 00:03:27.089]  Meanwhile, Michael Chertoff is saying he's worried about homegrown terrorists killing us any minute.
[00:03:27.089 --> 00:03:28.710]  We'll be going over that report.
[00:03:28.710 --> 00:03:36.416]  They're talking about a curfew in the Big Easy after eight slayings in less than a week.
[00:03:36.416 --> 00:03:38.738]  And miscommunication is cited in Port Alert.
[00:03:38.738 --> 00:03:39.058]  Remember,
[00:03:39.776 --> 00:03:43.599]  In Miami they were all freaking out.
[00:03:43.599 --> 00:04:03.894]  Yesterday evening they had caught Muslims in containers and it was people sneaking into the facility and then it turns out it was just some port guard flipping out on a truck driving in that had some Muslims in it.
[00:04:03.894 --> 00:04:06.996]  Not even Muslims, it was just that one was an Iraqi and
[00:04:07.825 --> 00:04:11.926]  Tour from somewhere else in the Middle East.
[00:04:11.926 --> 00:04:14.787]  Put the southern borders wide open.
[00:04:14.787 --> 00:04:20.489]  It's just any way to create total hysteria and fear.
[00:04:20.489 --> 00:04:32.473]  So we'll dovetail that with New York gas smell, shuts down trains, forces evacuations, shuts down schools in much of Manhattan because someone's smelling gas.
[00:04:34.053 --> 00:04:37.334]  And of course they think it's gas, it must be Al-Qaeda.
[00:04:37.334 --> 00:04:43.375]  Not a gas main link that happens all the time in every major city and even small towns.
[00:04:43.375 --> 00:04:47.376]  No, if you smell natural gas, it must be an Al-Qaeda strike.
[00:04:47.376 --> 00:04:54.278]  But the government said, we're checking into it, and a few hours later said, don't worry, it's not Al-Qaeda.
[00:04:54.278 --> 00:04:57.919]  I mean, just a nation of people that jump at their shadows.
[00:05:01.070 --> 00:05:03.692]  Now, now, I would be worried about a gas explosion.
[00:05:03.692 --> 00:05:07.695]  I mean, gas is serious.
[00:05:07.695 --> 00:05:11.979]  One time I had an office right next to a big gas distribution facility.
[00:05:11.979 --> 00:05:15.642]  One day I really smelled it and I called them and said, everything all right over there?
[00:05:15.642 --> 00:05:20.265]  Yeah, we had a leak when we were filling up a truck, but it's okay now.
[00:05:20.265 --> 00:05:25.209]  And I was like, well, I keep smelling it another hour from now, I'm gonna call the fire department.
[00:05:25.209 --> 00:05:26.290]  But they got it under control.
[00:05:27.290 --> 00:05:27.890]  All right.
[00:05:27.890 --> 00:05:28.831]  Big show today.
[00:05:28.831 --> 00:05:30.712]  A lot of news to cover.
[00:05:30.712 --> 00:05:31.532]  I'm Alex Jones.
[00:05:31.532 --> 00:05:36.175]  Stay with me.
[00:05:36.175 --> 00:05:39.797]  Do you know where the 78 potentially active volcanoes in the U.S.
[00:05:39.797 --> 00:05:40.497]  are located?
[00:05:40.497 --> 00:05:44.119]  And do you know the locations of the top 300 prime terrorist targets?
[00:05:44.119 --> 00:05:49.101]  You can find these answers and more in the new interactive CD book, Prudent Places USA.
[00:05:49.101 --> 00:05:54.104]  With the more than 50 interactive parameters, you can pinpoint natural and man-made disaster areas.
[00:05:54.364 --> 00:06:00.667]  Brewing environmental catastrophes, the safest cities, the best places for solar and wind energy, and much, much more.
[00:06:00.667 --> 00:06:15.073]  Complete with three gigabytes of detailed information on each of 3,000-plus counties in the U.S., including 550 high-resolution full-color maps and full-color photographs, as well as detailed information and analysis to help you zero in on the best places to live.
[00:06:15.333 --> 00:06:20.257]  The ideal location for cabins and vacation homes, as well as safe and unsafe areas.
[00:06:20.257 --> 00:06:25.782]  Get Prudent Places USA for only $29 plus shipping by calling New Millennium at 888-803-4438.
[00:06:25.782 --> 00:06:26.162]  That's 888-803-4438.
[00:06:26.162 --> 00:06:27.723]  To order on the web or at berkeywater.com.
[00:06:38.633 --> 00:06:42.136]  It's here, after a year in production and traveling to distant lands.
[00:06:42.136 --> 00:06:44.458]  My new film Terror Storm is complete.
[00:06:44.458 --> 00:06:52.105]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:06:52.785 --> 00:07:00.249]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:07:00.249 --> 00:07:11.975]  Terror Storm chronicles the lies that took us to war in Iraq, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:07:11.975 --> 00:07:15.958]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:07:15.958 --> 00:07:18.199]  It's an anthology of government crimes.
[00:07:18.199 --> 00:07:22.041]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:07:22.641 --> 00:07:35.431]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll-free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv.
[00:07:35.431 --> 00:07:37.913]  Attention, attention everyone!
[00:07:37.913 --> 00:07:40.455]  A brand new invention just released.
[00:07:40.455 --> 00:07:45.139]  It's called Wristease, the new patented portable ergonomic wrist support.
[00:07:45.814 --> 00:07:53.177]  Wristease comforts your wrists from the sometimes painful tasks of typing, writing, using a mouse or adding machine.
[00:07:53.177 --> 00:08:06.483]  Unlike most conventional wrist pads that are either attached to a mouse pad or lay flat in front of your keyboard, Wristease is totally portable and ideal for laptop users and technicians who are constantly on the go.
[00:08:06.483 --> 00:08:07.343]  Wristease is perfect
[00:08:07.363 --> 00:08:07.623]  I think so.
[00:08:35.160 --> 00:08:40.585]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:08:40.585 --> 00:08:57.839]  Because there's a war on for your mind.
[00:08:57.839 --> 00:09:00.261]  Everyone I know.
[00:09:00.261 --> 00:09:00.742]  Everyone.
[00:09:02.393 --> 00:09:15.662]  Every person in my office, one, two, three, four, five, a sixth person is out today, Jeremy, everyone is sick with allergies.
[00:09:15.662 --> 00:09:30.192]  And I mean allergies so bad they will give you fevers, they will give you ear aches, they will, and I talked to my grandmother who grew up here in Austin, my mother grew up here in Austin, none of them had allergies, no one they knew had allergies,
[00:09:31.306 --> 00:09:35.350]  And I was thinking, well, you know, maybe they just didn't know what to call it then.
[00:09:35.350 --> 00:09:37.692]  And I said, did people get headaches all the time?
[00:09:37.692 --> 00:09:39.994]  Did they have runny noses all the time?
[00:09:39.994 --> 00:09:42.396]  When the Cedar got going, did everybody get sick?
[00:09:42.396 --> 00:09:43.176]  And they said, no.
[00:09:43.176 --> 00:09:44.537]  Very few people.
[00:09:44.537 --> 00:09:45.779]  It was very rare.
[00:09:45.779 --> 00:09:54.206]  Now, everyone, I'm seriously, everyone is sick in the city of Austin.
[00:09:54.206 --> 00:09:58.730]  We are the supposed capital of allergies.
[00:10:00.265 --> 00:10:04.888]  I mean, I'm somebody who, growing up, might have gotten sick maybe once a year.
[00:10:04.888 --> 00:10:08.911]  Sometimes I might go a year and a half without getting sick.
[00:10:08.911 --> 00:10:14.574]  And I remember I had a neighbor who we'd ride dirt bikes together when we were like 12 years old.
[00:10:14.574 --> 00:10:15.675]  And mopeds and stuff.
[00:10:15.675 --> 00:10:18.977]  Just insane that we were allowed to go out and do that.
[00:10:18.977 --> 00:10:20.998]  And I'd go over and bang, bang, bang.
[00:10:20.998 --> 00:10:21.799]  And I'd like, come out!
[00:10:21.799 --> 00:10:22.859]  Come on, let's go!
[00:10:22.859 --> 00:10:24.540]  Let's go play!
[00:10:24.540 --> 00:10:26.662]  And no, no, I've got allergies.
[00:10:26.662 --> 00:10:28.503]  He'd be sneezing, eyes running.
[00:10:29.580 --> 00:10:30.940]  You know, nose running.
[00:10:30.940 --> 00:10:31.801]  Come outside!
[00:10:31.801 --> 00:10:33.161]  No, I can't come outside.
[00:10:33.161 --> 00:10:35.361]  I'd go, you're a wimp!
[00:10:35.361 --> 00:10:44.144]  Because, you know, I was convinced that allergies was something that wimps had, and that it didn't exist.
[00:10:44.144 --> 00:10:48.705]  And then I moved to Austin when I was, I don't know, 17?
[00:10:48.705 --> 00:10:51.685]  And a couple years later, I was like, man, I've been sick for like a week.
[00:10:51.685 --> 00:10:52.926]  What is this?
[00:10:52.926 --> 00:10:54.846]  Every time I go outside, it gets worse.
[00:10:54.846 --> 00:10:56.467]  Cedar fever.
[00:10:56.467 --> 00:10:57.627]  But the question is,
[00:10:58.667 --> 00:11:03.350]  Why is... I mean, even my children get sick from it.
[00:11:03.350 --> 00:11:11.314]  Why is it, and I'm born here, why is it that people in the past didn't have allergies but now they do?
[00:11:11.314 --> 00:11:18.678]  It's a very important question that everybody needs to be asking.
[00:11:18.678 --> 00:11:23.000]  And I'm just throwing it out there today because it's a mystery to me.
[00:11:23.000 --> 00:11:25.482]  I mean, this is going on a week that I've been sick from this.
[00:11:26.323 --> 00:11:39.955]  And then by last Thursday you heard me, it was like Toad Man Radio, because I guess it had caused an infection and I'd actually gotten a fever and an earache and a sore throat and I could barely talk.
[00:11:39.955 --> 00:11:47.642]  And I still feel like, I went to Houston this weekend for a day and a half and by the second day in Houston felt fine.
[00:11:48.826 --> 00:11:53.670]  Got the window down, driving back into Austin, kind of forgotten about it, all of a sudden, UGH!
[00:11:53.670 --> 00:12:05.259]  I mean, it's like I'm about to be the bubble boy or something a few months out of the year when this stuff's going crazy here in Austin.
[00:12:05.259 --> 00:12:07.401]  I tell you, it's enough to make me move out of this town.
[00:12:07.401 --> 00:12:10.623]  It's enough to make me leave this town.
[00:12:10.623 --> 00:12:12.685]  But I'm told it's bad in other parts of the country.
[00:12:12.685 --> 00:12:14.927]  Why is everybody getting allergies?
[00:12:16.829 --> 00:12:17.870]  From Minneapolis-St.
[00:12:17.870 --> 00:12:25.455]  Paul, to Chicago, to Austin, to New York, to San Francisco, to LA, to Kansas City.
[00:12:25.455 --> 00:12:33.160]  All over the country allergy problems are getting worse and worse and worse and worse.
[00:12:33.160 --> 00:12:35.262]  Something is connected to this.
[00:12:35.262 --> 00:12:45.349]  I don't think it's... Well they've got all these different scientific reports that genetically modified crops have now gotten into other plants and that once you've been eating genetically modified crops
[00:12:46.524 --> 00:12:55.630]  That it heightens autoimmune responses in your body, because your body has an allergic reaction to the food you're eating, and then that compounds with what's in the air.
[00:12:55.630 --> 00:12:58.992]  I tend to think that makes sense.
[00:12:58.992 --> 00:13:01.774]  You know, I say it's a mystery, it really isn't.
[00:13:01.774 --> 00:13:10.639]  There's all these hormones in our food, there's all these toxins in our water, and your body's fighting all that with its autoimmune system.
[00:13:11.167 --> 00:13:22.289]  And so if you've got a good autoimmune system, I guess it gets jacked up real high, and then it's fighting with everything that comes into your body.
[00:13:22.289 --> 00:13:24.970]  So I think I've just answered the question there.
[00:13:24.970 --> 00:13:31.551]  Of course, it's a cocktail of reasons, but I don't enjoy this.
[00:13:31.551 --> 00:13:33.872]  I don't feel like... I mean, yesterday,
[00:13:35.783 --> 00:13:38.925]  I went in and did the Sunday show I do from 4 to 6 p.m.
[00:13:38.925 --> 00:13:50.831]  of the News Radio 590 KLBJ studios, and I shouldn't even have been doing the show because what it does is when I've got an allergy and I'm tired already, I just get mad.
[00:13:50.831 --> 00:14:02.377]  I don't even want to engage in the brain power it takes to analyze and lay something out, so I just started screaming at the New World Order and being sarcastic and acting like I was pro-world government.
[00:14:02.377 --> 00:14:03.157]  People loved it.
[00:14:04.386 --> 00:14:12.230]  We had like, you know, the local public radio station calling up with people who work there going, yeah, we're fans, we want a tape of this, this is the best ever!
[00:14:12.230 --> 00:14:14.491]  The callers were all loving it.
[00:14:14.491 --> 00:14:23.675]  See, I mean, there's no judging the public's taste out there, but I kind of feel like that today.
[00:14:23.675 --> 00:14:29.638]  And I kind of feel like just talking about myself when I'm in low-grade moron mode.
[00:14:31.480 --> 00:14:36.362]  And I guess I started losing some of my judgment, too.
[00:14:36.362 --> 00:14:42.625]  Because I was on my Myspace account this morning.
[00:14:42.625 --> 00:14:46.327]  It says people give us good news tips there.
[00:14:46.327 --> 00:14:47.447]  Sometimes.
[00:14:47.447 --> 00:14:51.609]  The email's a hundred times better, because there's a hundred times more.
[00:14:51.609 --> 00:14:55.711]  And there's this guy on there posting.
[00:14:56.974 --> 00:15:05.000]  I think he's the same guy I saw yesterday going, Alex Jones has an Order of Death flag in his office!
[00:15:05.000 --> 00:15:08.924]  Proof that he's Illuminati!
[00:15:08.924 --> 00:15:11.926]  No, it's not an Order of Death flag in my office.
[00:15:11.926 --> 00:15:13.888]  It says Liberty or Death.
[00:15:13.888 --> 00:15:18.852]  It's a Culpeper Minute Men Militia flag.
[00:15:18.852 --> 00:15:22.995]  And by the way, I didn't even hang it there.
[00:15:22.995 --> 00:15:26.418]  It was hanging out on the wall in the main office.
[00:15:27.398 --> 00:15:30.981]  And somebody stuck it up in here thinking it'd be a better backdrop.
[00:15:30.981 --> 00:15:37.185]  I ought to ask who did that, because I guess we should actually try to decorate this set.
[00:15:37.185 --> 00:15:40.687]  We videotape it, and we never really put any thought into how it looks.
[00:15:40.687 --> 00:15:42.729]  That's about how I operate.
[00:15:42.729 --> 00:15:46.031]  But I mean, that's the type of stuff I deal with.
[00:15:46.031 --> 00:15:54.277]  You know, I do not have an Illuminati flag hanging up on my wall, and anybody could see that it's a snake on the ground, and it says, liberty or death.
[00:15:55.999 --> 00:15:59.140]  That's the kind of stuff I have to put up with.
[00:15:59.140 --> 00:16:06.562]  And the reason that type of criticism gets me mad is not that you're criticizing me.
[00:16:06.562 --> 00:16:10.063]  I have weird psychology.
[00:16:10.063 --> 00:16:16.625]  It's that you are obsessing on things that do not matter.
[00:16:16.625 --> 00:16:22.307]  I mean, that's what most people do is they spend their time ninnying and obsessing over minutiae.
[00:16:22.307 --> 00:16:24.128]  Is this person a good leader?
[00:16:24.128 --> 00:16:25.408]  Is that person legitimate?
[00:16:26.031 --> 00:16:29.914]  Who's your favorite person in the anti-New World Order movement?
[00:16:29.914 --> 00:16:32.156]  When it doesn't matter!
[00:16:32.156 --> 00:16:46.608]  They're not debating the fact that we've got a North American Union, they're not debating the fact that we're getting rid of our borders, and Mexican troops shoot at and overrun our police and military on a monthly basis, and are kidnapping US citizens, and nothing's being done!
[00:16:46.608 --> 00:16:48.970]  And the fact that they're about to surge 20,000 to 40,000
[00:16:51.636 --> 00:16:57.017]  More troops into Iraq when the American people want the opposite.
[00:16:57.017 --> 00:17:00.178]  I mean, can't you deal with issues?
[00:17:00.178 --> 00:17:06.820]  Can't you get focused in on anything real?
[00:17:06.820 --> 00:17:13.001]  I mean, is it possible for you to do that?
[00:17:13.001 --> 00:17:18.842]  Instead of talking about what other people need to be doing.
[00:17:18.842 --> 00:17:21.023]  Well, I think Alex needs to do it like that.
[00:17:22.094 --> 00:17:49.570]  And I actually printed it off here, and now that I want it, I don't see it in my huge stacks, but the same guy, now that I'm just spontaneously talking about this and trying to find the printout of it, the same guy criticized me today and said, you know, I just noticed he gets real angry on the show, and there could be a better way to get people to fight the New World Order.
[00:17:50.582 --> 00:17:57.026]  And he says things are really bad, and it's just all dire this, dire that.
[00:17:57.026 --> 00:18:02.790]  It's a bunch of hype, and he... You know, we're onto you!
[00:18:02.790 --> 00:18:04.011]  We're watching you!
[00:18:04.011 --> 00:18:05.332]  Well, good.
[00:18:05.332 --> 00:18:06.213]  Let's just say you're right.
[00:18:06.213 --> 00:18:07.814]  You're onto me now.
[00:18:07.814 --> 00:18:11.216]  Okay, can you now go get onto the New World Order?
[00:18:11.216 --> 00:18:13.317]  Can you now go wake somebody up about them?
[00:18:13.317 --> 00:18:15.138]  But no, no, no.
[00:18:15.138 --> 00:18:17.160]  It's the psychology of losers.
[00:18:17.995 --> 00:18:23.579]  To pick at the people that are in the arena trying to do something.
[00:18:23.579 --> 00:18:26.460]  Of course I'm mad.
[00:18:26.460 --> 00:18:30.563]  That's why I'm motivated to do this.
[00:18:30.563 --> 00:18:31.023]  Alright?
[00:18:31.023 --> 00:18:35.446]  That's why I put in long hours.
[00:18:35.446 --> 00:18:37.407]  Of course I'm angry.
[00:18:37.407 --> 00:18:43.711]  And if you don't think things are dire, I mean, just from a financial point of view,
[00:18:44.790 --> 00:18:50.814]  The money you have in the bank has been devalued by almost half.
[00:18:50.814 --> 00:18:53.036]  It's 49% today.
[00:18:53.036 --> 00:18:58.099]  It fluctuates back and forth between about 49 and 47 the last six months.
[00:18:58.099 --> 00:19:01.861]  The money you've got in the bank has been devalued.
[00:19:01.861 --> 00:19:05.704]  And they're talking about devaluing it again by another half.
[00:19:05.704 --> 00:19:10.487]  Now, if that isn't sensational, baby, I don't know what is.
[00:19:10.487 --> 00:19:14.570]  I mean, that is hitting you directly in the pocketbook.
[00:19:15.763 --> 00:19:20.886]  And I'm not even somebody who's that big into money, but I know you need it to pay for things and to live and to operate.
[00:19:20.886 --> 00:19:22.027]  So it upsets me.
[00:19:22.027 --> 00:19:24.689]  Yeah, I mean, it really does.
[00:19:24.689 --> 00:19:28.091]  But what upsets me more is how the government scams us.
[00:19:28.091 --> 00:19:38.698]  They give you some little 6-7% tax cut and you feel good about it, but then they rob the value of your currency by 40 plus percent.
[00:19:38.698 --> 00:19:40.539]  I mean, that's a smoke and mirrors scam.
[00:19:42.054 --> 00:19:43.214]  It's a fraud!
[00:19:43.214 --> 00:19:44.455]  It makes me mad!
[00:19:44.455 --> 00:19:50.897]  It makes me want to punch people in the nose!
[00:19:50.897 --> 00:20:04.521]  And absolutely, I sit there when I'm reading an SPP.gov website, government documents saying that they're going to merge and unify and standardize all of our bureaucracies.
[00:20:06.855 --> 00:20:08.516]  And we're going into North American Union.
[00:20:08.516 --> 00:20:08.837]  I do.
[00:20:08.837 --> 00:20:12.499]  I sit there and I go, what is a headline that will get people's attention?
[00:20:12.499 --> 00:20:13.160]  Absolutely.
[00:20:13.160 --> 00:20:15.402]  Guilty as charged.
[00:20:15.402 --> 00:20:22.727]  I mean, I tell you, I can't give you words to describe how bad this is.
[00:20:22.727 --> 00:20:27.971]  So, there's people out there, number one, that say it isn't as bad as I say it is.
[00:20:27.971 --> 00:20:29.272]  No, no, no.
[00:20:29.272 --> 00:20:29.672]  You're right.
[00:20:29.672 --> 00:20:31.434]  It's worse.
[00:20:31.434 --> 00:20:32.715]  And then they're mad that I'm angry.
[00:20:32.715 --> 00:20:34.416]  We need to get angry.
[00:20:34.416 --> 00:20:35.417]  Shake it off, folks.
[00:20:37.606 --> 00:20:38.947]  The War on Terrorism.
[00:20:38.947 --> 00:20:42.008]  Will it be fought overseas, or will it affect us here at home?
[00:20:42.008 --> 00:20:46.591]  If you are like most folks, you want to be prepared, but can't afford an underground shelter.
[00:20:46.591 --> 00:20:47.751]  So what do you do?
[00:20:47.751 --> 00:20:52.314]  Did you know that you can use your home as a shelter against fallout and biological or chemical attacks?
[00:20:52.794 --> 00:20:55.417]  With a little know-how, it's not that difficult.
[00:20:55.417 --> 00:20:56.698]  Sheltering in Place!
[00:20:56.698 --> 00:21:10.151]  Surviving acts of terrorism from biological, chemical, and radioactive fallout, developed by Wayne LeBaron, a health physicist who has served as a specialist in environmental health, communicable diseases, and has worked as a nuclear specialist for the U.S.
[00:21:10.151 --> 00:21:17.218]  government, gives you easy-to-follow video instructions, and walks you step-by-step through the process of preparing your home as a shelter.
[00:21:17.558 --> 00:21:22.401]  Get this critical video every American needs for only $29 plus shipping.
[00:21:22.401 --> 00:21:26.743]  Order by calling New Millennium today at 888-803-4438.
[00:21:26.743 --> 00:21:29.765]  That's 888-803-4438.
[00:21:29.765 --> 00:21:36.289]  Or order on the web at Berkeywater.com.
[00:21:36.289 --> 00:21:39.530]  David J. Smith for Newswatch Magazine.
[00:21:39.530 --> 00:21:42.172]  Patrick Henry said, give me liberty or give me death.
[00:21:42.910 --> 00:22:00.024]  Did you know that he also forced the adoption of the Bill of Rights as a part of the Constitution of 1787 to guarantee your unalienable or unchangeable rights of freedom of speech, freedom of religion, and freedom to own a gun to protect our nation from tyranny?
[00:22:00.024 --> 00:22:05.229]  There is now an assault upon the unalienable, unchangeable rights to deprive you of them.
[00:22:06.053 --> 00:22:14.999]  We'd like to help you understand why these things are happening by offering you an absolutely free one-year subscription to NewsWatch Magazine.
[00:22:14.999 --> 00:22:15.540]  Just call 1-800-516-8736.
[00:22:15.540 --> 00:22:15.840]  That's 1-800-516-8736.
[00:22:15.840 --> 00:22:16.260]  The call is free.
[00:22:16.260 --> 00:22:21.644]  Our operators are standing by to take your order for a year subscription to NewsWatch Magazine.
[00:22:38.780 --> 00:22:41.223]  Do you know the truth about breast cancer?
[00:22:41.223 --> 00:22:44.446]  Do you realize that the race for the cure is over?
[00:22:44.446 --> 00:22:53.837]  The best-kept secret in the world today is that now it's possible to kill cancer without personal suffering, mutilation, and poisoning of your entire system.
[00:22:53.837 --> 00:22:58.682]  Now it's cancer's turn to die, with LaysMed Incorporated's patented methodology.
[00:22:59.341 --> 00:23:09.830]  Without cutting, bleeding, drugs, or damaging radiation, we can destroy skin cancer and breast tumors of any size without adverse side effects at a physician's office.
[00:23:09.830 --> 00:23:12.913]  Star War technology at its best.
[00:23:12.913 --> 00:23:14.194]  For more information call 702-953-0267.
[00:23:14.194 --> 00:23:14.234]  702-953-0267.
[00:23:22.899 --> 00:23:26.882]  Or visit www.laysmedinc.com.
[00:23:26.882 --> 00:23:30.364]  That's www.lasemedinc.com.
[00:23:35.436 --> 00:23:37.737]  Gold is like nothing else on Earth.
[00:23:37.737 --> 00:23:44.019]  From the Romans through the Renaissance, from the Industrial Age to the Space Age, gold has weathered the test of time.
[00:23:44.019 --> 00:23:48.201]  For 6,000 years, gold has remained the ultimate store of wealth.
[00:23:48.201 --> 00:23:50.142]  According to the World Gold Council and the U.S.
[00:23:50.142 --> 00:23:52.582]  Mint, demand is at an all-time high.
[00:23:52.582 --> 00:23:59.465]  The stage is being set for the reemergence of gold as a common-sense alternative to a fiat paper currency that gets weaker and
[00:23:59.665 --> 00:24:00.565]  We're good to go.
[00:24:23.613 --> 00:24:24.595]  We're good to go.
[00:24:57.256 --> 00:24:59.437]  Welcome back, ladies and gentlemen.
[00:24:59.437 --> 00:25:02.137]  All right, let me get into the news here.
[00:25:28.161 --> 00:25:33.005]  Later I am going to read some mean posts and things about myself that people said.
[00:25:33.005 --> 00:25:46.377]  I just want to illustrate the absurdity, the mass mental illness of individuals who will attack a messenger rather than ever actually get involved and fight the New World Order.
[00:25:46.377 --> 00:25:55.125]  You notice the people that do their critiquing of the Patriot Movement, the Truth Movement, you notice they don't do hardly anything exposing the globalists or any of the crime syndicates operations.
[00:25:55.740 --> 00:26:00.484]  They just expose everyone that's exposing it and tell you how they're bad.
[00:26:00.484 --> 00:26:07.290]  And these little copycats go out and regurgitate and repeat it over and over again.
[00:26:07.290 --> 00:26:10.212]  So maybe I'll talk a little bit about that mentality later.
[00:26:10.212 --> 00:26:12.314]  But it is what keeps populations enslaved.
[00:26:12.314 --> 00:26:14.896]  One of the key reasons that happens.
[00:26:17.626 --> 00:26:23.468]  Microsoft unveils an in-car computer system, and of course, it tracks everything you do.
[00:26:23.468 --> 00:26:25.268]  The new smart cars are here, as we told you.
[00:26:25.268 --> 00:26:26.668]  Cameras will watch you.
[00:26:26.668 --> 00:26:28.609]  Sensors will track everything you do.
[00:26:28.609 --> 00:26:31.110]  But they're selling it to you as luxury.
[00:26:31.110 --> 00:26:39.172]  I see all these people, you know, I'll see them outside an IHOP or at the mall, and they'll have their $100,000 Mercedes, and with pleasure, they thumb-scan.
[00:26:39.172 --> 00:26:40.132]  Ooh!
[00:26:40.132 --> 00:26:41.012]  Oh, that's so powerful!
[00:26:41.012 --> 00:26:42.193]  Ooh!
[00:26:42.193 --> 00:26:43.253]  Oh, I get it!
[00:26:43.253 --> 00:26:44.753]  It's just, it's a joke!
[00:26:44.753 --> 00:26:46.754]  The elite knows how to sell slavery, folks.
[00:26:48.579 --> 00:26:53.060]  I call it the Chinese Princess Syndrome.
[00:26:53.060 --> 00:27:11.503]  They would, different guilds, going back three, four, five thousand years ago, would figure out how to enslave the higher caste and then basically make themselves the higher level servant class, the true behind the throne power.
[00:27:11.503 --> 00:27:13.563]  I might as well just talk about this now.
[00:27:13.563 --> 00:27:17.724]  They'd tell them, oh, you're so beautiful when your feet look this certain way.
[00:27:20.070 --> 00:27:26.274]  And over just a few generations, they'd get it to where the women couldn't even walk.
[00:27:26.274 --> 00:27:28.775]  Because their feet had been bound so tightly.
[00:27:28.775 --> 00:27:34.659]  Their toes under their feet.
[00:27:34.659 --> 00:27:38.761]  And it was the same thing with their fingernails.
[00:27:38.761 --> 00:27:40.802]  Oh, you know, no one can talk to you.
[00:27:40.802 --> 00:27:42.523]  You're the male emperor.
[00:27:42.523 --> 00:27:45.005]  You're so powerful, only the priests can go out and
[00:27:46.517 --> 00:27:48.759]  Intercede with the people.
[00:27:48.759 --> 00:27:52.242]  No one can even look at you because you're a god emperor.
[00:27:52.242 --> 00:27:53.944]  Really, they were in prison.
