[00:00:00.049 --> 00:00:00.329]  Hello Alex.
[00:02:49.349 --> 00:02:52.110]  They can manipulate it on a whim.
[00:02:52.110 --> 00:02:58.853]  But they had scientists, professors, climatologists, weather experts, space experts,
[00:02:59.904 --> 00:03:09.689]  And it was basically a 90-minute rebuttal of the proposition that global warming is caused by CO2 emissions.
[00:03:09.689 --> 00:03:17.053]  One of the other comments on that board was, you know, how can you deny that the Earth got warmer since the Industrial Revolution?
[00:03:17.053 --> 00:03:23.357]  Well, in actual fact, the Earth's temperature from the 1940s until the 1980s, which was when the major wave of
[00:03:28.123 --> 00:03:32.507]  You know, the Industrial Revolution really kicked on after the war.
[00:03:32.507 --> 00:03:35.609]  The Earth's temperature got cooler.
[00:03:35.609 --> 00:03:41.894]  So much so that by the 1970s, there was political and media scaremongering.
[00:03:41.894 --> 00:03:56.306]  It was quite funny how they played a BBC documentary that was made in the mid-70s, which basically said that the new threat was global cooling, and that if we didn't take drastic steps to offset this
[00:03:57.478 --> 00:04:05.201]  Coming Ice Age, then, you know, we were facing a basic meteorological apocalypse, and that was in the mid-70s.
[00:04:05.201 --> 00:04:21.168]  It was all about global cooling, because the Earth was coming to the end of this cycle of cooling, and then after that, it picked up again after the 80s, because sun activity, sun radiation, sunspot activity increased, which is what they also proved in the program, that
[00:04:21.826 --> 00:04:30.470]  Global temperatures match almost precisely sunspot activity, and they've traced it back hundreds of years.
[00:04:30.470 --> 00:04:45.737]  And they also took on, um, Al Gore, who in his film, uh, Inconvenient Truth, and remember Al Gore is not a scientist and neither am I, so if Al Gore can comment on this subject, then so can anyone else.
[00:04:45.737 --> 00:04:49.058]  He's a politician, he's a professional liar.
[00:04:49.058 --> 00:04:50.739]  He did not invent the internet.
[00:04:52.561 --> 00:05:06.268]  And he takes these Antarctic ice core samples and says that they show that carbon dioxide leads temperature rates.
[00:05:06.268 --> 00:05:09.730]  As carbon dioxide goes up, so do temperature rates.
[00:05:09.730 --> 00:05:13.252]  In actual fact, he reversed the data.
[00:05:13.252 --> 00:05:16.274]  It's the opposite way around, and that's shown in the documentary.
[00:05:16.767 --> 00:05:24.331]  The carbon dioxide levels lag behind temperature rise by 800 years.
[00:05:24.331 --> 00:05:29.874]  But it's the temperature rise that causes the carbon dioxide, not the other way around, as Al Gore claims.
[00:05:29.874 --> 00:05:34.477]  Paul Watson, thank you for joining us and giving us that basic thumbnail sketch.
[00:05:34.477 --> 00:05:37.098]  We're going to play some of these clips when we get back.
[00:05:37.098 --> 00:05:38.439]  And get well, my friend.
[00:05:38.439 --> 00:05:39.660]  Continue your hard work.
[00:05:39.660 --> 00:05:40.400]  We appreciate it.
[00:05:40.945 --> 00:05:41.989]  Alright, thanks Alex.
[00:05:41.989 --> 00:05:42.851]  You bet.
[00:05:42.851 --> 00:05:46.884]  We'll be right back and start playing the first of three clips, then your calls.
[00:05:50.288 --> 00:05:53.509]  Are terrorist cells or prime terror targets located near you?
[00:05:53.509 --> 00:05:56.609]  Where are military bases and hazardous waste sites located?
[00:05:56.609 --> 00:06:03.191]  How do you find the best area for solar, average rainfalls, fish contamination advisories, and major transportation routes?
[00:06:03.191 --> 00:06:10.692]  In the new interactive CD book, Prudent Places USA, you will find the information you want with over 50 interactive parameters that you control.
[00:06:10.692 --> 00:06:14.693]  Find everything from housing prices and taxes to brewing environmental catastrophe.
[00:06:14.793 --> 00:06:15.533]  We're good to go!
[00:06:46.322 --> 00:06:50.766]  Hello, Ted Anderson.
[00:06:50.766 --> 00:06:55.710]  Listeners of the network are familiar with the Federal Reserve Note and understand the risks of deficit spending.
[00:06:55.710 --> 00:07:03.776]  Therefore, with catastrophic events, it comes as no surprise that some banks have currently placed limits on the amount of cash depositors can remove from their accounts.
[00:07:03.776 --> 00:07:09.121]  A fractional reserve system means only a small portion of your deposit is held in reserve for immediate withdrawal.
[00:07:09.341 --> 00:07:16.624]  Deficit spending will skyrocket through FDIC if the government is forced to insure deposits during a bank run followed by a depressed economy.
[00:07:16.624 --> 00:07:22.206]  A current effort is underway by the Fed along with other central banks to increase liquidity for depositors.
[00:07:22.206 --> 00:07:27.288]  However, an increase in money supply without equal expansion in productivity can cause inflation.
[00:07:27.288 --> 00:07:34.871]  In order to achieve strength and stability, I recommend a conservative portion of all investments to be calmly repositioned into gold and silver.
[00:07:35.211 --> 00:07:41.775]  While paper investments currently have been driven by debt, gold on its own has held value for over 6,000 years.
[00:07:41.775 --> 00:07:43.036]  For more information, call 1-800-686-2237.
[00:07:43.036 --> 00:07:43.236]  That's 1-800-686-2237.
[00:07:49.585 --> 00:07:52.608]  David J. Smith for Newswatch Magazine.
[00:07:52.608 --> 00:08:00.555]  Did you know that Bible prophecy talks about the United States, British Commonwealth, Russia, China, and the communist world in the last days?
[00:08:00.555 --> 00:08:06.201]  Did you know that it predicts a confrontation between atheistic communism and the western world of Christianity?
[00:08:06.881 --> 00:08:11.024]  The plans have already been laid and they conform to Bible prophecy.
[00:08:11.024 --> 00:08:20.551]  We'd like to help you understand why these things are happening and more about Bible prophecy by offering you an absolutely free one-year subscription to Newswatch Magazine.
[00:08:21.463 --> 00:08:22.985]  Just call our toll-free number 1-800-516-8736.
[00:08:22.985 --> 00:08:23.345]  That's 1-800-516-8736.
[00:08:23.345 --> 00:08:26.368]  Call for a one-year free subscription to NewsWatch Magazine.
[00:08:26.368 --> 00:08:26.888]  It's free.
[00:08:26.888 --> 00:08:30.612]  Call now while our operators are standing by to take your call.
[00:08:48.999 --> 00:08:49.780]  It's a fact.
[00:08:49.780 --> 00:08:54.545]  You can legally eliminate credit card debt, which has been fraudulently created by the banks.
[00:08:54.545 --> 00:09:00.031]  Since its creation in 1913, the Federal Reserve has not been held responsible for its own debt.
[00:09:00.031 --> 00:09:03.494]  So why should you, the hard-working American, be harassed for yours?
[00:09:03.494 --> 00:09:10.602]  There's a double standard when it comes to being responsible for debt, and unlike the Federal Reserve, the people of this country can't print more money when needed.
[00:09:10.942 --> 00:09:18.384]  Day of Jubilee has created a successful program designed for people that want to stop harassing calls and threatening letters from bill collectors.
[00:09:18.384 --> 00:09:20.885]  This is not a debt consolidation company.
[00:09:20.885 --> 00:09:27.447]  Join the thousands of Americans who now breathe a sigh of relief because they have legally eliminated their credit card debt.
[00:09:27.447 --> 00:09:31.188]  Instead of living each day in fear, it's time to turn your life around.
[00:09:31.588 --> 00:09:34.190]  Call Day of Jubilee open 9 a.m.
[00:09:34.190 --> 00:09:35.071]  to 5 p.m.
[00:09:35.071 --> 00:09:38.594]  Central Standard Time at 920-293-8024.
[00:09:38.594 --> 00:09:43.718]  That's 920-293-8024.
[00:09:43.718 --> 00:09:44.979]  And ask for Robert.
[00:09:44.979 --> 00:09:54.727]  Don't wait any longer to get your life back in order.
[00:09:54.727 --> 00:09:57.129]  Waging war on corruption.
[00:09:57.129 --> 00:09:59.871]  Alex Jones on the GCN Radio Network.
[00:10:01.352 --> 00:10:07.398]  Alright, now these clips are even more powerful than the graphs, but listen carefully.
[00:10:07.398 --> 00:10:13.705]  Go to PrisonPlanet.com and watch the clips for yourself after the show or whenever you'd like.
[00:10:13.705 --> 00:10:18.249]  Here is a little clip, the first clip from the great global warming swindle.
[00:10:18.249 --> 00:10:19.210]  Here it is.
[00:10:19.210 --> 00:10:21.012]  Imagine that we live in an age of reason.
[00:10:22.341 --> 00:10:26.282]  And the global warming alarm is dressed up as science.
[00:10:26.282 --> 00:10:27.863]  But it's not science.
[00:10:27.863 --> 00:10:28.983]  It's propaganda.
[00:10:28.983 --> 00:10:35.405]  There's no direct evidence which links 20th century global warming to anthropogenic greenhouse gases.
[00:10:35.405 --> 00:10:37.085]  We're just being told lies.
[00:10:37.085 --> 00:10:38.665]  That's what it comes down to.
[00:10:38.665 --> 00:10:41.266]  You can't say that CO2 will drive climate.
[00:10:41.266 --> 00:10:43.127]  It certainly never did in the past.
[00:10:43.127 --> 00:10:49.288]  If the CO2 increases in the atmosphere as a greenhouse gas, then the temperature will go up.
[00:10:49.288 --> 00:10:51.589]  But the ice core record shows exactly the opposite.
[00:10:52.165 --> 00:11:01.869]  So the fundamental assumption, the most fundamental assumption of the whole theory of climate change, due to humans, is shown to be wrong.
[00:11:01.869 --> 00:11:04.410]  The whole thing stinks.
[00:11:04.410 --> 00:11:08.712]  Man-made global warming is no longer just a theory about climate.
[00:11:08.712 --> 00:11:11.833]  It is the defining moral and political cause of our age.
[00:11:15.876 --> 00:11:18.678]  Campaigners say the time for debate is over.
[00:11:18.678 --> 00:11:28.124]  Any criticism, no matter how scientifically rigorous, is illegitimate, even worse, dangerous.
[00:11:28.124 --> 00:11:33.928]  But in this film, it will be shown that the Earth's climate is always changing.
[00:11:33.928 --> 00:11:43.855]  That there is nothing unusual about the current temperature, and that the scientific evidence does not support the notion that climate is driven by carbon dioxide, man-made or otherwise.
[00:11:45.877 --> 00:11:51.939]  Everywhere you are told that man-made climate change is proved beyond doubt.
[00:11:51.939 --> 00:11:54.180]  But you are being told lies.
[00:11:54.180 --> 00:12:01.643]  All right, that's the first clip.
[00:12:01.643 --> 00:12:03.664]  Let's go ahead and try to jam in the second clip.
[00:12:03.664 --> 00:12:05.565]  Here it is.
[00:12:05.565 --> 00:12:09.126]  Warming of the Earth happened in the wrong place and at the wrong time.
[00:12:10.183 --> 00:12:15.527]  Most of the warming took place in the early part of the 20th century and occurred mostly at the Earth's surface.
[00:12:15.527 --> 00:12:20.370]  The very opposite of what should have happened according to the theory of man-made global warming.
[00:12:20.370 --> 00:12:23.793]  I am Al Gore.
[00:12:23.793 --> 00:12:28.556]  I used to be the next president of the United States.
[00:12:28.556 --> 00:12:38.063]  Former Vice President Al Gore's emotional film, An Inconvenient Truth, is regarded by many as the definitive popular presentation of the theory of man-made global warming.
[00:12:39.585 --> 00:12:52.777]  His argument rests on one all-important piece of evidence taken from ice core surveys in which scientists drilled deep into the ice to look back into Earth's climate history hundreds of thousands of years.
[00:12:52.777 --> 00:12:56.920]  The first ice core survey took place in Vostok in the Antarctic.
[00:12:56.920 --> 00:13:03.486]  What it found, as Al Gore correctly points out, was a clear correlation between carbon dioxide and temperature.
[00:13:05.481 --> 00:13:08.163]  We're going back in time now, 650,000 years.
[00:13:08.163 --> 00:13:13.647]  Here's what the temperature has been on our Earth.
[00:13:13.647 --> 00:13:19.892]  Now one thing that kind of jumps out at you is, did they ever fit together?
[00:13:19.892 --> 00:13:22.193]  Most ridiculous thing I've ever heard.
[00:13:22.193 --> 00:13:30.600]  The relationship is actually very complicated, but there is one relationship that is far more powerful than all the others, and it is this.
[00:13:30.600 --> 00:13:34.483]  When there is more carbon dioxide, the temperature gets warmer.
[00:13:35.652 --> 00:13:40.356]  Al Gore says the relationship between temperature and CO2 is complicated.
[00:13:40.356 --> 00:13:43.338]  But he doesn't say what those complications are.
[00:13:43.338 --> 00:13:48.763]  In fact, there was something very important in the ice core data that he failed to mention.
[00:13:48.763 --> 00:13:56.469]  Professor Ian Clarke is a leading Arctic paleoclimatologist who looks back into the Earth's temperature record tens of millions of years.
[00:13:57.614 --> 00:14:03.917]  When we look at climate on long scales, we're looking for geological material that actually records climate.
[00:14:03.917 --> 00:14:15.441]  If we're to take an ice sample, for example, we use isotopes to reconstruct temperature, but the atmosphere that's imprisoned in that ice, we liberate, and then we look at the CO2 content.
[00:14:15.441 --> 00:14:23.144]  Professor Clark and others have indeed discovered, as Al Gore says, a link between carbon dioxide and temperature.
[00:14:23.144 --> 00:14:27.126]  But what Al Gore doesn't say is that the link is the wrong way round.
[00:14:28.132 --> 00:14:40.020]  So here we're looking at the ice core record from Vostok, and in the red we see temperature going up early time, key interval, when we came out of a glaciation.
[00:14:40.020 --> 00:14:45.843]  And we see the temperature going up, and then we see the CO2 coming up.
[00:14:45.843 --> 00:14:48.485]  CO2 lags behind that increase.
[00:14:48.485 --> 00:14:51.967]  It's got an eighth year lag, so you're eluding CO2 by
[00:14:54.781 --> 00:14:58.024]  There have now been several major ice core surveys.
[00:14:58.024 --> 00:15:00.727]  Every one of them shows the same thing.
[00:15:00.727 --> 00:15:07.494]  The temperature rises or falls, and then, after a few hundred years, carbon dioxide follows.
[00:15:07.494 --> 00:15:12.859]  So obviously, carbon dioxide is not the cause of that warming.
[00:15:12.859 --> 00:15:17.724]  In fact, we can say that the warming produced the increase in carbon dioxide.
[00:15:21.135 --> 00:15:23.396]  We'll come back, play the third clip.
[00:15:23.396 --> 00:15:30.260]  It's really very simple science, and then they have hundreds of I-square samples that show the exact same thing.
[00:15:30.260 --> 00:15:40.365]  As usual, what the government and Al Gore are saying is a complete and total hoax.
[00:15:40.365 --> 00:15:41.746]  We're on the march.
[00:15:41.746 --> 00:15:44.287]  The Empire's on the run.
[00:15:44.287 --> 00:15:46.969]  Alex Jones and the GCN Radio Network.
[00:15:50.555 --> 00:15:52.416]  Government is best, which governs least.
[00:15:52.416 --> 00:15:53.896]  Wake up and smell the fascism.
[00:15:53.896 --> 00:15:57.097]  Being in government means never having to say you're sorry.
[00:15:57.097 --> 00:16:00.398]  What part of unconstitutional do you not understand, George?
[00:16:00.398 --> 00:16:07.681]  In today's world full of tyranny and injustice, sometimes it seems the only thing we still have is our freedom of speech.
[00:16:07.681 --> 00:16:15.344]  Exercise your freedom of speech by purchasing your choice of hundreds of different Liberty Stickers, from humorous to serious, at LibertyStickers.com.
[00:16:16.304 --> 00:16:20.149]  LibertyStickers.com can even customize your own bumper stickers.
[00:16:20.149 --> 00:16:22.651]  It's time to stand up for what you believe.
[00:16:22.651 --> 00:16:23.973]  Invest in your freedom.
[00:16:23.973 --> 00:16:29.079]  Get your stickers at LibertyStickers.com for your family, friends, and community.
[00:16:29.079 --> 00:16:31.041]  Go to LibertyStickers.com or call 877-873-9626.
[00:16:34.725 --> 00:16:36.368]  That's 877-873-9626 and express your freedom of speech today.
[00:16:36.368 --> 00:16:36.588]  Call 877-873-9626.
[00:16:36.588 --> 00:16:36.969]  That's 877-873-9626.
[00:16:49.545 --> 00:16:50.386]  Hey, Emily.
[00:16:50.386 --> 00:16:51.466]  Wow, you look great.
[00:16:51.466 --> 00:16:52.667]  I feel great.
[00:16:52.667 --> 00:16:54.828]  I've been using MediCleanse Colon Cleanse.
[00:16:54.828 --> 00:16:55.409]  Really?
[00:16:55.409 --> 00:16:55.989]  What is it?
[00:16:55.989 --> 00:16:56.710]  How does it work?
[00:16:56.710 --> 00:17:03.314]  MediCleanse is a natural fiber therapy with ground flaxseed, psyllium, and bentonite clay that eliminates toxins from your body.
[00:17:03.314 --> 00:17:05.775]  MediCleanse is easy to use without being intrusive.
[00:17:05.775 --> 00:17:11.479]  You take two tablespoons of MediCleanse powder, mix with water or juice, drink, and it does all the work for you.
[00:17:11.479 --> 00:17:11.859]  That's it?
[00:17:12.239 --> 00:17:14.101]  Well, it sounds so easy and convenient.
[00:17:14.101 --> 00:17:15.202]  It is easy.
[00:17:15.202 --> 00:17:21.768]  Plus, the FDA says flaxseed works to prevent cancer and helps with menopause, weight loss, irritable bowel syndrome, and constipation.
[00:17:21.768 --> 00:17:23.510]  It helps with all of those ailments?
[00:17:23.510 --> 00:17:24.551]  That's amazing!
[00:17:24.551 --> 00:17:29.396]  And, the bentonite clay and medicalins eliminates viruses and pesticides in the intestinal tract.
[00:17:29.816 --> 00:17:30.396]  Wow!
[00:17:30.396 --> 00:17:31.637]  Where can I buy MediCleanse?
[00:17:31.637 --> 00:17:34.457]  A one-month supply is available online at MediCleanse.com.
[00:17:34.457 --> 00:17:38.358]  That's M-E-T-A-C-L-E-A-N-S-E dot com.
[00:17:38.358 --> 00:17:41.959]  For only $26.90, MediCleanse is shipped directly to you.
[00:17:41.959 --> 00:17:42.339]  Or call 1-800-317-9547.
[00:17:42.339 --> 00:17:42.540]  That's 800-317-9547.
[00:17:48.401 --> 00:17:49.422]  9-5-4-7.
[00:17:49.422 --> 00:17:54.405]  We at The Bible Says want to alert the world to the topic of the Mark of the Beast.
[00:17:54.405 --> 00:17:57.647]  Soon it will be upon us as an overwhelming surprise.
[00:17:57.647 --> 00:18:00.589]  The world is pressing toward a forced one-world religion.
[00:18:00.589 --> 00:18:05.792]  The real issue behind this is the union of church and state nullifying our First Amendment.
[00:18:05.792 --> 00:18:11.455]  Americans will have to give up their peculiar beliefs and accept what the new world religious leaders prescribe.
[00:18:11.455 --> 00:18:14.417]  In 2005, President Bush signed the Real ID Act.
[00:18:14.617 --> 00:18:17.259]  Which goes into effect May 11, 2008.
[00:18:17.259 --> 00:18:22.181]  Many people believe that this will be the Mark of the Beast because of the restrictive measures included.
[00:18:22.181 --> 00:18:26.604]  Which seems to parallel the no buying and selling of Revelations 13-17.
[00:18:26.604 --> 00:18:33.227]  In Revelations 14-9, speaking of the Mark of the Beast, it says, If any man worship the beast, take notice.
[00:18:33.227 --> 00:18:35.128]  It says, worship the beast.
[00:18:35.128 --> 00:18:37.750]  This issue is about worship, not economics.
[00:18:38.070 --> 00:18:40.692]  Alright, let's go ahead and get into the third clip of the Great Global Warming Swindle.
[00:19:07.742 --> 00:19:12.926]  And it just covers basic, concrete, hard facts about the planet.
[00:19:12.926 --> 00:19:14.087]  Here it is.
[00:19:14.087 --> 00:19:24.394]  Senior scientists of the Danish Meteorological Institute decided to compile a record of sunspots in the 20th century and compare it with the temperature record.
[00:19:24.394 --> 00:19:31.219]  What they found was an incredibly close correlation between what the sun was doing and changes in temperature on Earth.
[00:19:33.260 --> 00:19:46.965]  Solar activity, they found, rose sharply to 1940, fell back for four decades until the 1970s, and then what was after that?
[00:19:46.965 --> 00:19:58.689]  When we saw this correlation between the temperature and solar activity, or sunspot cycle lengths, then people said to us, OK, it can be just a coincidence.
[00:19:58.689 --> 00:19:59.589]  So how can we
[00:20:00.507 --> 00:20:02.968]  Prove that it's not just a coincidence.
[00:20:02.968 --> 00:20:07.569]  Well, one obvious thing is to have a longer time series or different time series.
[00:20:07.569 --> 00:20:10.449]  Then we went back in time.
[00:20:10.449 --> 00:20:21.132]  So Professor Friis Christensen and his colleagues examined 400 years of astronomical records to compare sunspot activity against temperature variation.
[00:20:21.132 --> 00:20:27.333]  Once again, they found that variations in solar activity were intimately linked to temperature variation.
[00:20:28.999 --> 00:20:30.920]  ...was the sun, it seemed.
[00:20:30.920 --> 00:20:36.883]  Not carbon dioxide or anything else that was driving changes in the climate.
[00:20:36.883 --> 00:20:38.684]  In a way, it's not surprising.
[00:20:38.684 --> 00:20:43.186]  The sun affects us directly, of course, when it sends down its heat.
[00:20:43.186 --> 00:20:49.669]  But we now know the sun also affects us indirectly through clouds.
[00:20:49.669 --> 00:20:49.889]  Clouds!
[00:20:50.549 --> 00:20:52.130]  Powerful cooling effect.
[00:20:52.130 --> 00:20:53.851]  But how are they formed?
[00:20:53.851 --> 00:21:01.435]  In the early 20th century, scientists discovered that the Earth was constantly being bombarded by subatomic particles.
[00:21:01.435 --> 00:21:11.180]  These particles, which they called cosmic rays, originated, it was believed, from exploding supernovae far beyond our solar system.
[00:21:11.180 --> 00:21:18.104]  When the particles coming down meet water vapor rising up from the sea, they form water droplets and make clouds.
[00:21:19.770 --> 00:21:30.976]  But when the Sun is more active, and the solar wind is strong, fewer particles get through, and fewer clouds are formed.
[00:21:30.976 --> 00:21:47.083]  Just how powerful this effect was became clear only recently, when an astrophysicist, Professor Neer Shaviv, decided to compare his own record of cloud-forming cosmic rays with the temperature record created by a geologist, Professor Jan Weitzer, going back 600 million years.
[00:21:49.511 --> 00:21:54.554]  What they found was that when cosmic rays went up, the temperature went down.
[00:21:54.554 --> 00:21:57.997]  When cosmic rays went down, the temperature went up.
[00:21:57.997 --> 00:22:01.999]  Clouds and the Earth's climate were very closely linked.
[00:22:01.999 --> 00:22:05.461]  To see how close, you just flip the lines.
[00:22:05.461 --> 00:22:10.545]  We just compared the graphs, just put them one upon the other, and it was just amazing.
[00:22:10.545 --> 00:22:12.026]  Jan Weiser looked at me and says, you know,
[00:22:13.075 --> 00:22:15.296]  We have very exclusive data here.
[00:22:15.296 --> 00:22:26.098]  I've never seen such vastly different records coming together so beautifully to show really what was happening over that long period of time.
[00:22:26.098 --> 00:22:28.199]  All right, and that's the three clips I've been able to see.
[00:22:28.199 --> 00:22:31.340]  I'm told now the whole film is floating around on Google.
[00:22:31.340 --> 00:22:32.860]  But again, I've already read all these reports.
[00:22:32.860 --> 00:22:34.340]  I've interviewed many of these individuals.
[00:22:34.340 --> 00:22:40.002]  We're going to be getting them on the show again and some of the other folks on the TV show that you were just hearing the program.
[00:22:41.827 --> 00:22:51.136]  Bottom line, the sun, ladies and gentlemen, is a giant ball of gas, and it's the main heating mechanism of the earth.
[00:22:51.136 --> 00:22:53.839]  That's not debatable.
[00:22:53.839 --> 00:23:04.310]  At night, it cools down and gets dark, and during the day, that's when the plants grow through photosynthesis, and it's the sun that heats up the oceans and heats up your body.
[00:23:04.310 --> 00:23:05.691]  You get a suntan under it.
[00:23:06.460 --> 00:23:14.362]  And I know most of you know this, but the people that believe in man-made global warming just can't understand this.
[00:23:14.362 --> 00:23:35.587]  And they can correlate the sun's brightness with the Earth heating up, but what this is saying is that more importantly than that is the nuclei of the different particles coming in to the atmosphere help water vapor condense and form clouds.
[00:23:37.887 --> 00:23:41.410]  And then that leads us into chemtrails.
[00:23:41.410 --> 00:23:50.116]  How has our atmosphere changed that until 1996, condensation trails disappeared in a maximum of about two minutes?
[00:23:50.116 --> 00:23:54.460]  And now our skies are completely different and these things stay up there for hours.
[00:23:54.460 --> 00:23:58.463]  We're going to be getting some experts on to discuss this next week, but that's a separate area.
[00:23:59.358 --> 00:24:08.023]  But now government textbooks, we just talked to a meteorologist, he said, well, yes, there is some things being sprayed, but that's the sunscreen for the Earth.
[00:24:08.023 --> 00:24:10.024]  That federally written textbook says that.
[00:24:10.024 --> 00:24:12.065]  Discovery Channel basically said that.
[00:24:12.065 --> 00:24:16.268]  It's a secret program, but it's all for our own good.
[00:24:16.268 --> 00:24:23.852]  And it is true that these type of nuclei being put into the atmosphere artificially would cause a cooling.
[00:24:23.852 --> 00:24:25.593]  Heaven knows what's really going on.
[00:24:25.593 --> 00:24:27.374]  I mean, frankly, we don't.
[00:24:28.243 --> 00:24:34.648]  There's a lot of weird behavior happening and a lot of strange behavior going on.
[00:24:34.648 --> 00:24:49.880]  And I do not believe that most of the spraying that we see is bioweapons or chemical weapons or radiological weapons being directed or mass inoculations of some have said on the benevolent side.
[00:24:49.880 --> 00:24:54.843]  But that's mainly because something sprayed at 30,000 feet is not going to hit you where you're at.
[00:24:54.843 --> 00:24:56.825]  It's going to hit somewhere thousands if not tens of thousands
[00:24:57.586 --> 00:25:07.995]  Now, there are thousands of publicly-admitted examples of helicopters and fixed-wing aircraft spraying at a thousand feet or lower near cities with chemical, biologicals, radiologicals.
[00:25:07.995 --> 00:25:09.616]  I mean, that's on the record.
[00:25:09.616 --> 00:25:13.119]  But the people that cover chemtrails never want to talk about that.
[00:25:13.119 --> 00:25:14.320]  It's kind of like a religion.
[00:25:14.320 --> 00:25:22.226]  They just want to talk about the big planes up in the sky, which the evidence points towards weather modification.
[00:25:22.226 --> 00:25:26.470]  Now, the barium salts and aluminum oxides they're using are not good for you.
[00:25:28.223 --> 00:25:32.104]  And it's a huge secret program, and it's certainly going on.
[00:25:32.104 --> 00:25:34.804]  But I don't subscribe to the orthodoxy.
[00:25:34.804 --> 00:25:42.846]  This is some type of chemical or biological attack from 35,000 to 25,000 feet.
[00:25:42.846 --> 00:25:49.527]  So that's where I stand on that, just trying to study this, racking my brain, looking at it.
[00:25:49.527 --> 00:25:53.968]  I am not debating the fact that the sun is going wild.
[00:25:53.968 --> 00:25:56.649]  I am not debating the fact that the earth has not heated up some.
[00:25:57.350 --> 00:26:05.554]  But that heating has radically decreased in its acceleration since the 40s.
[00:26:05.554 --> 00:26:10.856]  But the sun now is heating up again to a record level, and so who knows what's going to happen?
[00:26:10.856 --> 00:26:18.960]  But the point is, you read Roman history, Greek history, Babylonian, Sanskrit, I mean, there's climate change happening.
[00:26:18.960 --> 00:26:24.262]  Volcanoes exploding, huge earthquakes, islands disappearing, islands being formed overnight.
[00:26:26.167 --> 00:26:33.190]  All sorts of earth changes happening, and the major body of science is moving now towards a younger earth.
[00:26:33.190 --> 00:26:36.111]  And I'm not debating how old the earth is.
[00:26:36.111 --> 00:26:43.194]  I think there's been a false debate between Christianity and science, where they've set the two sides against each other as a distraction.
[00:26:43.194 --> 00:26:47.616]  But the scientists are saying things are looking like they happened quicker than they thought.
[00:26:47.616 --> 00:26:55.059]  And you can debate that all day, whether it's hundreds of millions, billions, or what others say that's really pulled out of nowhere.
[00:26:55.794 --> 00:26:57.434]  It's just mind boggling that you have this new religion
[00:27:19.267 --> 00:27:21.088]  In fact, here's the UK Daily Mail.
[00:27:21.088 --> 00:27:30.270]  Global warming, the bogus religion of our age, the world is heading for environmental catastrophe, or so we are constantly being told by politicians and self-appointed experts.
[00:27:30.270 --> 00:27:36.532]  They warn us that unless we take drastic action, the earth will soon be devastated by climate change and global warming.
