[00:00:00.069 --> 00:00:00.429]  Five.
[00:03:36.766 --> 00:03:38.307]  Everybody knows it's broken!
[00:03:39.122 --> 00:03:41.263]  His answer would be like if you had a leg chopped off.
[00:03:41.723 --> 00:03:42.484]  You're bleeding to death.
[00:03:42.524 --> 00:03:43.985]  His answer is not put a tourniquet on it.
[00:03:44.045 --> 00:03:46.926]  It's chop the other leg off and cut your head off while it's at it.
[00:03:47.206 --> 00:03:49.648]  But again, they have the general public completely dumbed down.
[00:03:49.748 --> 00:03:51.909]  Just here's the slogans and the terms.
[00:03:51.969 --> 00:03:52.709]  Total deception.
[00:03:53.870 --> 00:03:56.611]  But we'll go over what's really happening with that.
[00:03:57.312 --> 00:04:00.093]  The euro rises to record high versus the dollar.
[00:04:00.193 --> 00:04:06.737]  It's never, no currency has never been in the last hundred years this strong against the dollar.
[00:04:07.429 --> 00:04:08.650]  The dollar is tanking.
[00:04:08.830 --> 00:04:12.033]  Last week it went down a cent a day.
[00:04:13.074 --> 00:04:15.536]  That is massive, ladies and gentlemen.
[00:04:15.896 --> 00:04:23.343]  The slide is now straight down, and we will break down exactly what that means and how it dovetails with economic growth.
[00:04:23.943 --> 00:04:25.765]  In the first quarter, it slows to 1.3%.
[00:04:25.985 --> 00:04:31.269]  If you understand that inflation is actually at over 10% right now.
[00:04:31.329 --> 00:04:32.470]  I know the official number says 4.5%, but
[00:04:34.384 --> 00:04:36.325]  The official number also says unemployment is at 3%.
[00:04:36.585 --> 00:04:41.328]  Because they don't count you once you've been off the rolls for six months.
[00:04:41.809 --> 00:04:44.811]  So we'll talk about some of the real economic information.
[00:04:45.171 --> 00:04:50.135]  Also big-time war propaganda right now to keep the Iraq war going.
[00:04:50.455 --> 00:05:00.182]  The Democrats are involved in ultra-massive dog and pony shows right now convincing the public and the planet
[00:05:01.667 --> 00:05:01.967]  I think so.
[00:05:21.897 --> 00:05:24.859]  Let me tell you the other bit of news I have for you.
[00:05:24.940 --> 00:05:26.561]  It's a large stack.
[00:05:26.961 --> 00:05:29.503]  This is just stuff that happened in the last week.
[00:05:29.543 --> 00:05:31.865]  In fact, some of it just came out in the last two days.
[00:05:32.846 --> 00:05:36.729]  And we'll be covering this pretty much exclusively, that and 9-11.
[00:05:37.250 --> 00:05:49.139]  In the second hour today, about two weeks ago, almost two weeks ago, Luke Radowski, who is a reporter for PrisonPlanet.com and PrisonPlanet.tv,
[00:05:50.672 --> 00:05:57.598]  He called into the end of the show, but was unable to get on air, my weekday show that I did a syndicated show with him for 10 years now, or 9 years.
[00:05:58.538 --> 00:06:06.725]  And he called in and he said that he had been detained for an hour and had his camera and phone taken, but they called him a terrorist.
[00:06:06.845 --> 00:06:12.850]  And then I was busy with other projects, didn't get to watching the video, once he uploaded it a few days later to YouTube.
[00:06:13.410 --> 00:06:16.993]  And then I went out of town and into business in Los Angeles.
[00:06:18.032 --> 00:06:21.993]  And I just got back the other night and saw this and it completely freaked me out.
[00:06:22.433 --> 00:06:30.434]  I've never seen anything this bad dealing with the police state in America and the total Sovietization of our society.
[00:06:30.834 --> 00:06:34.235]  And that video is up on PrisonPlanet.com and JonesReport.com.
[00:06:34.575 --> 00:06:36.535]  Easiest place to find it is JonesReport.com.
[00:06:36.575 --> 00:06:40.316]  It's been up now for about three days and still up on the main page.
[00:06:40.556 --> 00:06:41.856]  Front and center, you can't miss it.
[00:06:42.356 --> 00:06:44.397]  That headline, and it's all on video.
[00:06:44.597 --> 00:06:46.057]  Now see what's scary about this is
[00:06:46.736 --> 00:06:51.680]  The cops, we know mafia type police in major cities have been doing this for a long time.
[00:06:52.400 --> 00:06:53.321]  Seventy, eighty years.
[00:06:53.521 --> 00:06:55.763]  But they never did it on video before.
[00:06:56.243 --> 00:06:57.204]  It's kind of like FEMA.
[00:06:57.244 --> 00:07:01.407]  I have FEMA on tape saying all Christians are terrorists, gun owners are terrorists.
[00:07:02.032 --> 00:07:04.012]  Anyone who's for private property or terrorists.
[00:07:04.052 --> 00:07:05.353]  This is all intensified under Bush.
[00:07:05.393 --> 00:07:07.093]  You'd think it's under Hillary and Bill.
[00:07:07.133 --> 00:07:09.453]  And it was badder to them, but it's gotten far worse.
[00:07:09.493 --> 00:07:13.014]  It's all part of... It's just lip service when they tell you they're Christian, folks.
[00:07:13.034 --> 00:07:17.695]  The real enemy, though, is Christians because they know you won't play ball with their New World Order.
[00:07:18.555 --> 00:07:21.916]  We're trying to pacify you just long enough until you find out about it.
[00:07:22.576 --> 00:07:27.077]  But this new video I have... Now, understand, I have video in Philadelphia in 2004
[00:07:29.131 --> 00:07:41.519]  Of Christians at an outfest, a public event in the city, praying on a street corner and being arrested by Homeland Security and charged with 47 years in prison apiece, that got national attention and they were acquitted.
[00:07:41.739 --> 00:07:42.519]  But it went to trial.
[00:07:42.879 --> 00:07:45.801]  Praying now, like China, gets you 47 years.
[00:07:45.821 --> 00:07:46.862]  So they tried 47 years.
[00:07:47.482 --> 00:07:51.825]  But at least the police were solemn and businesslike in their criminal activities.
[00:07:52.518 --> 00:07:57.399]  This new one, everyone who sees it, I just showed it to my wife the other day and I said, tell me what you think of this.
[00:07:57.439 --> 00:08:00.300]  She goes, oh my god, they're like mafia out of a movie.
[00:08:01.120 --> 00:08:05.842]  I show it to everybody before they've ever heard my comments and they say, oh my god, it's like the Sopranos.
[00:08:06.582 --> 00:08:10.963]  You've got five or six 9-11 troopers standing in front of Ground Zero.
[00:08:11.443 --> 00:08:13.083]  It's Silverstein Properties, the new Building 7.
[00:08:14.244 --> 00:08:18.525]  And up walks, well you see on camera three different cops, but really six
[00:08:19.733 --> 00:08:23.996]  Plainclothes, in suits, in black trench coats, men announcing themselves as police officers.
[00:08:24.336 --> 00:08:27.298]  And they were commanding plainclothes officers later, so they must be officers.
[00:08:28.158 --> 00:08:31.981]  And they say, we know you're not terrorists, but we're going to say you are and put you in jail.
[00:08:33.021 --> 00:08:35.403]  I mean, this is on video, with their faces up close.
[00:08:35.923 --> 00:08:39.686]  I mean, this is hardcore federal and state crimes being committed on video.
[00:08:39.746 --> 00:08:41.547]  In fact, we have links to federal and state law.
[00:08:41.847 --> 00:08:43.128]  New York law, I went and pulled it up.
[00:08:44.229 --> 00:08:46.370]  I contributed to this article as we were writing it Friday night.
[00:08:47.435 --> 00:08:47.896]  At midnight.
[00:08:47.936 --> 00:08:49.137]  We posted it at about midnight.
[00:08:49.237 --> 00:08:50.839]  I'm just proud of the fact that we do work hard.
[00:08:51.219 --> 00:08:55.123]  There's all these other truthers and other people out there that wonder why we're so successful in fighting the globalists.
[00:08:55.443 --> 00:08:59.988]  It's because we don't go to a lot of movies and a lot of bars and sit around and suck our thumbs all day.
[00:09:00.368 --> 00:09:03.912]  We're actually working all the time because we know how serious the new world order is.
[00:09:05.173 --> 00:09:10.816]  If other people want to help defeat the New World Order and take down the New World Order, you'll start getting involved and working hard, ladies and gentlemen.
[00:09:11.077 --> 00:09:11.897]  That's what it's going to take.
[00:09:11.937 --> 00:09:13.658]  But here's the headline.
[00:09:13.718 --> 00:09:18.402]  New York Police Report Bomb to Frame Activist as a Terrorist.
[00:09:19.983 --> 00:09:20.683]  Let me say that again.
[00:09:21.183 --> 00:09:24.726]  New York City Police on videotape report bomb.
[00:09:24.746 --> 00:09:28.388]  I mean, they call in a bomb to frame activists as terrorists.
[00:09:29.529 --> 00:09:33.032]  By the time the government finds out, you'll be in the hole 30 days.
[00:09:34.292 --> 00:09:34.992]  That's what the cop said.
[00:09:35.012 --> 00:09:39.733]  9-11 Truthers told by officer admits the false accusation of having a bomb.
[00:09:40.473 --> 00:09:42.814]  That's coming up in the second hour.
[00:09:43.894 --> 00:09:50.475]  But first we'll go through the economy, the war, chemtrails, weather modification, Wall Street Journal.
[00:09:50.935 --> 00:09:51.835]  It's all coming up.
[00:09:52.175 --> 00:09:52.955]  Keep it locked in.
[00:10:04.082 --> 00:10:07.326]  It's here, after a year in production and traveling to distant lands.
[00:10:07.627 --> 00:10:09.569]  My new film Terror Storm is complete.
[00:10:09.950 --> 00:10:17.599]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:10:18.283 --> 00:10:25.345]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:10:25.745 --> 00:10:37.149]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:10:37.469 --> 00:10:40.990]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:10:41.410 --> 00:10:43.371]  It's an anthology of government crimes.
[00:10:43.691 --> 00:10:47.532]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:10:48.132 --> 00:10:55.595]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[00:11:01.389 --> 00:11:03.331]  Hi, John Huebner from Midas Resources.
[00:11:03.611 --> 00:11:06.234]  Are you tired of watching your hard-earned assets dwindle away?
[00:11:06.554 --> 00:11:14.862]  As government spending is out of hand and the Federal Reserve is creating in excess of $20 billion a week, are you tired of stockbrokers gambling away your hard-earned money?
[00:11:15.162 --> 00:11:17.984]  Is this market a setup for a crash greater than 1987?
[00:11:18.825 --> 00:11:22.048]  Too many of today's policies resemble those that led to the collapse of 1929.
[00:11:23.369 --> 00:11:24.931]  How much are you willing to lose?
[00:11:25.331 --> 00:11:26.252]  Take action now!
[00:11:26.392 --> 00:11:30.855]  Call me at 1-800-686-2237, extension 129.
[00:11:31.196 --> 00:11:34.978]  I believe that we are facing a financial catastrophe of biblical proportion.
[00:11:35.179 --> 00:11:38.401]  Over recent decades, numerous economic systems have failed.
[00:11:38.521 --> 00:11:44.946]  Current Federal Reserve policy and uncontrolled government spending have set the stage for the United States to be the next target.
[00:11:45.246 --> 00:11:50.252]  Secure your assets today by calling 1-800-686-2237 extension 129.
[00:11:51.193 --> 00:11:53.336]  Do this while paper can still buy gold.
[00:11:53.536 --> 00:11:55.238]  Call me, John Huebner, at 1-800-686-2237 extension 129.
[00:12:02.546 --> 00:12:04.347]  Hi, Steve Shank, Fearless Task Force.
[00:12:04.647 --> 00:12:07.488]  The J. Michael Stevens Group is shipping a lot of storable food.
[00:12:07.988 --> 00:12:10.189]  It's smart that you're getting going at your food supplies.
[00:12:10.810 --> 00:12:19.113]  One week after the report came out that the world had eaten more food than it produced last year, the country turned into a deep freeze, wiping out a huge part of the new crop.
[00:12:19.593 --> 00:12:20.133]  An example?
[00:12:20.674 --> 00:12:23.515]  In 24 hours, clementine oranges doubled in price.
[00:12:24.395 --> 00:12:27.156]  If you intend to start or finish your supply, call immediately.
[00:12:27.537 --> 00:12:30.798]  When you call, tell them how many adults and how many years of food you need.
[00:12:31.576 --> 00:12:36.760]  When there are shortages, missing items will be substituted, maintaining the quantity of food necessary.
[00:12:37.401 --> 00:12:38.862]  Money is not the problem.
[00:12:39.102 --> 00:12:40.083]  Availability is.
[00:12:40.623 --> 00:12:43.506]  Be careful when food supplies get short, with no future.
[00:12:44.006 --> 00:12:46.408]  Many retailers ship real trash to supply you.
[00:12:47.008 --> 00:12:49.110]  For safe food you can trust, call 800-409-5633.
[00:12:49.130 --> 00:12:50.171]  On the web, efoodsdirect.com.
[00:12:50.191 --> 00:12:50.231]  800-409-5633.
[00:13:01.684 --> 00:13:04.807]  We understand that decisions related to health can be overwhelming.
[00:13:05.067 --> 00:13:11.872]  That is why at ResearchedHerbs.com we take pride in offering you herbs whose safety and effectiveness have been proven time and time again.
[00:13:12.312 --> 00:13:25.683]  For example, did you know that LIV52, the top-selling natural herbal supplement for liver diseases since 1930, is backed by over 300 research studies and clinical trials and prescribed by more than 200,000 health professionals worldwide?
[00:13:26.003 --> 00:13:29.726]  In fact, the effectiveness of all the herbs featured on ResearchedHerbs.com
[00:13:30.146 --> 00:13:38.271]  Including those for cholesterol, blood pressure, diabetes, arthritis, cirrhosis, and hepatitis, among others, is extremely well documented.
[00:13:38.732 --> 00:13:45.576]  Our website, ResearchedHerbs.com, was created to empower you with the information and answers you need to make the right health decisions.
[00:13:45.977 --> 00:13:48.318]  Researched and proven herbs at great prices.
[00:13:48.498 --> 00:13:51.900]  Visit us online at ResearchedHerbs.com or call 1-800-845-3841 for more information.
[00:13:51.940 --> 00:13:52.141]  That's 1-800-845-3841.
[00:14:01.199 --> 00:14:04.703]  Thank you for listening to GCN.
[00:14:04.743 --> 00:14:10.788]  Be sure to visit GCNlive.com today.
[00:14:11.229 --> 00:14:12.970]  Raging for the truth.
[00:14:13.110 --> 00:14:15.152]  Exposing corruption.
[00:14:15.192 --> 00:14:18.615]  Dismantling a false left-right paradigm.
[00:14:18.675 --> 00:14:21.758]  He's Alex Jones.
[00:14:21.858 --> 00:14:22.519]  Welcome back.
[00:14:22.599 --> 00:14:24.080]  It is Sunday, the 29th of April, 2007.
[00:14:27.535 --> 00:14:30.937]  Can you believe that we are already about to enter the midway point of 2007?
[00:14:31.537 --> 00:14:35.279]  I mean, my God!
[00:14:35.379 --> 00:14:39.301]  It seems like I'm just 15 years old yesterday, and I'm this old man.
[00:14:41.663 --> 00:14:44.564]  All right, your calls are coming up in the next segment at 877-590-5525.
[00:14:44.744 --> 00:14:52.028]  Let me just get into this first, because on Thursday and Friday I mentioned it on my weekday show.
[00:14:52.068 --> 00:14:55.190]  I never even covered it, and it is really, really important.
[00:14:55.982 --> 00:15:08.867]  This is the Wall Street Journal that I hold here in my hand, and the headline is, Global Warming, Could Global Warming be Halted by Controlling the Weather?
[00:15:10.268 --> 00:15:19.891]  And it says, Frustrated with the limits of public policy to tackle global warming, some scientists say the time has come to engineer a way to control the weather.
[00:15:20.312 --> 00:15:23.973]  The idea might seem appealing, says a science scholar.
[00:15:25.248 --> 00:15:39.780]  And it goes on, one idea put forth by a physicist involved in climate control discussions would involve bombarding the Arctic atmosphere with specially engineered particles to deflect the sun's rays, thereby lowering temperatures.
[00:15:40.240 --> 00:15:45.124]  Alternatively, a fleet of crop-dusting airplanes could deliver the particles by
[00:15:45.928 --> 00:15:48.309]  Flying continuously around the Arctic Circle.
[00:15:48.709 --> 00:15:54.110]  An astronomer suggested placing a huge fleet of mirrors in orbit to divert solar radiation.
[00:15:54.510 --> 00:16:01.951]  Some of these ideas, say Mr. Fleming, are reminiscent of the optimism that framed the first attempts at climate control.
[00:16:02.471 --> 00:16:03.332]  And then it goes on.
[00:16:04.452 --> 00:16:05.872]  Okay, let's just stop right there.
[00:16:06.032 --> 00:16:11.293]  Number one, they talk about frustration with the limits of public policy to tackle global warming.
[00:16:12.114 --> 00:16:14.214]  The Earth is always heating up and cooling down.
[00:16:15.361 --> 00:16:27.686]  All of the major studies show that a heating factor would actually increase the green belts across the planet, the growth belts, and create more oxygen and carbon dioxide for plankton in the oceans.
[00:16:28.607 --> 00:16:34.869]  A higher carbon dioxide atmosphere increases the amount of oxygen in a symbiotic relationship between plant and animal.
[00:16:35.370 --> 00:16:38.611]  I mean, I'm actually weird enough that I stood around reading long
[00:16:39.251 --> 00:16:46.577]  You know, climate studies and studies on plant growth with higher carbon dioxide and things of this nature.
[00:16:47.158 --> 00:16:53.463]  And I actually read what the real scientists and real institutions are saying and they're saying man-made global warming is a complete and total hoax.
[00:16:54.315 --> 00:17:09.566]  In fact, we have scientists unified on this, almost completely unified, but then on the other side, you hear the media, the UN, the federal government, European government saying, every scientist agrees, massive man-made global warming, the end is near.
[00:17:11.167 --> 00:17:17.411]  Then they show polar bears and saying, look at them, they can't swim, their ice cap is melting, they're going to die.
[00:17:17.431 --> 00:17:21.874]  I mean, I've seen national newscasts saying, look at these polar bears, they're going to die.
[00:17:22.566 --> 00:17:25.388]  They don't tell you the polar bear can swim several hundred miles in a day.
[00:17:25.868 --> 00:17:30.752]  They literally can kill whales, medium-sized whales themselves, haul them up.
[00:17:30.872 --> 00:17:34.454]  They swim from ice flow to ice flow in the ice packs.
[00:17:34.494 --> 00:17:35.615]  That's what they do.
[00:17:36.115 --> 00:17:38.837]  In fact, there's a 20-year study out just last month.
[00:17:39.077 --> 00:17:45.762]  Polar bear populations have exploded and they're now moving south because humans aren't hunting them anymore.
[00:17:46.519 --> 00:17:46.939]  That's right.
[00:17:46.960 --> 00:17:51.004]  They used to be several hundred miles further south, but humans started shooting them because they're quite dangerous.
[00:17:51.364 --> 00:17:51.965]  Now they aren't.
[00:17:51.985 --> 00:17:54.347]  They're running around in limp-wristed fashion, groveling.
[00:17:54.807 --> 00:18:05.438]  And now, again, grizzlies are killing people again, mountain lions are, polar bears are, rattlesnakes are exploding in numbers, and everyone's ninnying and dying, and that's just how it works.
[00:18:05.478 --> 00:18:06.239]  So enjoy yourselves.
[00:18:07.060 --> 00:18:09.863]  But the point is, this is a fraud.
[00:18:11.258 --> 00:18:14.085]  Man-made global warming is a lie, is a fraud.
[00:18:14.325 --> 00:18:15.388]  Now, don't get me wrong.
[00:18:15.448 --> 00:18:20.059]  It's either you don't care about the environment or you think the sky is falling and only world government can save us.
[00:18:21.164 --> 00:18:31.787]  No, there are real environmental crises, hundreds of them, but none of those are addressed because the only thing the big corporations are pushing for is feel-good programs like a global tax.
[00:18:32.067 --> 00:18:38.609]  You see, all the environmentalists aren't out dealing with genetic engineering, toxic waste dumping, really serious issues.
[00:18:39.090 --> 00:18:43.831]  No, instead the general public is running around pulling their hair out, freaking out,
[00:18:44.458 --> 00:19:04.879]  uh... giving money to groups that are quote gonna fight global warming and now they're trying to pass laws to ban what cows can be fed because their flatulence their methane gas yes ladies and gentlemen uh... flatulence for those are public school educated their farts and i'm sorry to have to talk like that in a second grade level but that's what flatulence is the methane gas
[00:19:05.626 --> 00:19:07.968]  And we must have a global tax now on beef.
[00:19:08.469 --> 00:19:10.670]  Of course, you can do major studies.
[00:19:10.690 --> 00:19:21.360]  You can look at the major studies showing that there were actually more bovine running around on free range just 150 years ago globally than there are in domestication today.
[00:19:21.840 --> 00:19:22.841]  But that doesn't matter.
[00:19:22.921 --> 00:19:32.329]  It's all about taxing, regulating, controlling, and Big Ag was behind it all to consolidate and knock out the small farms and ranches, just like they're behind the Real ID Act
[00:19:33.379 --> 00:19:38.865]  The Animal ID Act, the Premises ID Act, it's all about controlling humans and animals as cattle to be tracked.
[00:19:40.026 --> 00:19:49.757]  So setting the table with that, I remember a decade plus ago interviewing experts on weather control and being called a kook.
[00:19:50.700 --> 00:20:19.048]  but then about what five years ago there was a weather channel special called atmospheres weather control where they show the classified documents where they in Vietnam during the dry season could make it rain ten feet and kill a bunch of people and then suddenly it was declassified three years ago completely and I was able to then learn who the head of the program was that was Ben Livingston a meteorologist this guy in the fifties flew into typhoons that were 260 miles an hour
[00:20:20.487 --> 00:20:23.728]  He flew into hurricanes that were 175 miles an hour off our coast.
[00:20:24.528 --> 00:20:29.610]  And he attacked the Vietnamese leading squadrons himself while they were under sham missile attack.
[00:20:29.690 --> 00:20:33.531]  Either they can create hurricanes, they can stop hurricanes, they can knock out typhoons.
[00:20:33.571 --> 00:20:35.471]  That's just a Pacific hurricane.
[00:20:35.491 --> 00:20:38.772]  It's generally about 30-40% faster, more destructive.
[00:20:39.172 --> 00:20:41.453]  Those can get up to a recorded 280 miles an hour.
[00:20:41.993 --> 00:20:45.614]  Hurricanes only 175 is about as high as they've ever gotten.
[00:20:46.992 --> 00:20:48.473]  But, again, I'm digressing here.
[00:20:48.573 --> 00:20:49.653]  Very brave individual.
[00:20:50.114 --> 00:20:52.475]  And he's credited as the father of weather weapons.
[00:20:52.535 --> 00:20:53.155]  Still alive.
[00:20:53.175 --> 00:20:53.995]  Lives out in Midland.
[00:20:54.676 --> 00:20:56.056]  And so I flew him here.
[00:20:56.276 --> 00:20:56.476]  You know?
[00:20:57.077 --> 00:20:58.918]  Put him on an airplane, flew him here, and interviewed him.
[00:20:58.938 --> 00:21:00.738]  That's up on PrisonPlanet.TV.
[00:21:01.039 --> 00:21:04.440]  Ben Livingston for members that are members of PrisonPlanet.TV.
[00:21:04.460 --> 00:21:05.341]  It's 15 cents a day.
[00:21:05.381 --> 00:21:06.161]  Why not go join?
[00:21:06.481 --> 00:21:07.442]  All 15 of my films.
[00:21:07.502 --> 00:21:08.542]  Hundreds of special reports.
[00:21:08.962 --> 00:21:10.103]  Hundreds of my weekly TV shows.
[00:21:10.223 --> 00:21:11.183]  The point is, it's a good place.
[00:21:11.543 --> 00:21:12.144]  PrisonPlanet.TV.
[00:21:13.815 --> 00:21:36.447]  And I interviewed him, he brought out all these documents, all these declassified documents, and oopsie, I might have seen some things that were still classified, but to make a long story short, then it got picked up by a bunch of newspapers, a bunch of national radio shows interviewed him, and in the mid-1960s, the Stanford Research Institute and the Naval Weapons Laboratory certified that he could knock out hurricanes with seven aircraft.
[00:21:36.987 --> 00:21:39.388]  That's because they have power cells that generate
[00:21:41.198 --> 00:21:47.881]  And they can fly in with the ions and disperse them, the nuclei, with the aircraft and knock them out.
[00:21:47.961 --> 00:21:49.702]  And they can build them and they can knock them out.
[00:21:50.422 --> 00:21:52.503]  Now that's 1960s technology.
[00:21:53.244 --> 00:22:00.107]  I have interviewed General Benton K. Parton, not just the former head of Air Force Weapons Development, he also headed up the Over Horizon Radar System, known as HARP.
[00:22:00.487 --> 00:22:02.228]  I've interviewed other experts on the subject.
[00:22:02.668 --> 00:22:06.310]  And there are weather control systems with antennae
[00:22:07.010 --> 00:22:13.153]  And that's why the Russians, you can hire their company for 1.2 million to clear any sky and guarantee any event will be clear.
[00:22:13.533 --> 00:22:17.536]  The Chinese have an even bigger system using antennas, which they clear things.
[00:22:17.556 --> 00:22:18.876]  In fact, that's Associated Press.
[00:22:19.236 --> 00:22:22.318]  China to force rain ahead of Olympics, the reverse, a few years ago.
[00:22:22.358 --> 00:22:25.359]  But the point is, they talk about spraying.
[00:22:25.419 --> 00:22:26.320]  It's already going on.
[00:22:26.700 --> 00:22:31.022]  Remember up until 96, the condensation trails behind jets disappeared in minutes.
[00:22:31.062 --> 00:22:32.183]  Now they're up there for five hours.
[00:22:33.266 --> 00:22:35.889]  We're already under a weather modification program.
[00:22:36.110 --> 00:22:37.531]  It's being added to the jet fuel.
[00:22:37.731 --> 00:22:39.594]  They're even putting it in federal textbooks now.
[00:22:39.914 --> 00:22:42.197]  If you tell the public about it, they say it doesn't exist.
[00:22:42.397 --> 00:22:43.398]  But then it's in textbooks.
[00:22:43.598 --> 00:22:47.362]  It's like world governments in textbooks, but then the general public doesn't know.
[00:22:47.383 --> 00:22:49.265]  If you tell them, they say it doesn't exist.
[00:22:49.845 --> 00:22:52.468]  We'll come back, take your calls, get into the war news.
[00:22:52.488 --> 00:22:52.869]  Stay with us.
[00:23:02.739 --> 00:23:06.721]  Hi, I'm Joyce Riley and many of you know that for years I was a cardiovascular heart transplant nurse.
[00:23:07.081 --> 00:23:10.043]  Since that time, I've educated myself on the importance of preventative care.
[00:23:10.443 --> 00:23:14.305]  It all begins with providing your heart and vascular system with building blocks for good health.
[00:23:14.745 --> 00:23:18.767]  Strauss Heart Drops is the original formula that was copied by others but never duplicated.
[00:23:19.407 --> 00:23:23.911]  Strauss Heart Drops were developed by a master herbalist, Jim Strauss, after he suffered a heart attack in 1979.
[00:23:24.992 --> 00:23:27.774]  His doctor said he would only survive if he had heart bypass surgery.
[00:23:28.135 --> 00:23:28.955]  Then Jim said no.
[00:23:29.436 --> 00:23:33.719]  He developed Strauss Heart Drops, the formula that has been copied by others, but never been surpassed.
[00:23:34.160 --> 00:23:36.662]  Get the original Strauss Heart Drops, 4-ounce bottle, for only $79.99.
[00:23:38.263 --> 00:23:40.264]  Call the Power Hour at 877-817-9829.
[00:23:40.284 --> 00:23:40.584]  877-817-9829.
[00:23:41.084 --> 00:23:48.148]  You've probably heard about the other products that have tried to copy the Strauss formula?
[00:23:48.408 --> 00:23:50.629]  Well, get the original Strauss Heart Drops by calling 877-817-9829.
[00:23:50.649 --> 00:23:50.929]  That's 877-817-9829.
[00:23:50.949 --> 00:23:53.690]  Now you can really do your heart right with Strauss Heart Drops.
