[00:00:00.229 --> 00:00:00.670]  Oh, what?
[00:10:16.150 --> 00:10:23.575]  Now as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:10:26.497 --> 00:10:31.461]  For the first time in history, the elite's plan for world government is blown wide open.
[00:10:31.961 --> 00:10:35.383]  You will learn the secret that drives the entire New World Order agenda.
[00:10:35.823 --> 00:10:38.324]  Bill of Rights is making great progress in the New World Order.
[00:10:38.384 --> 00:10:39.524]  Most people have no idea.
[00:10:39.544 --> 00:10:40.325]  They're not after money.
[00:10:40.345 --> 00:10:41.405]  They have all the money they need.
[00:10:41.605 --> 00:10:42.346]  They're after power.
[00:10:42.586 --> 00:10:43.726]  That's what they're after, you see.
[00:10:43.746 --> 00:10:51.930]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com or watch it online right now at PrisonPlanet.tv.
[00:10:52.070 --> 00:10:54.871]  Endgame, blueprint for global enslavement.
[00:10:55.271 --> 00:10:56.412]  You have been warned.
[00:10:57.046 --> 00:10:58.588]  Ted Anderson for Midas, December 21st, 2007.
[00:10:58.649 --> 00:10:58.869]  Gold 809.90.
[00:10:58.909 --> 00:11:01.412]  Old school coins can be purchased for $834.26, $411.15 for half, $205.58 per quarter.
[00:11:01.432 --> 00:11:01.893]  That's $834.26, $411.15, and $205.58.
[00:11:10.842 --> 00:11:14.123]  For years, Ron Paul has taken the position to uphold constitutional rights.
[00:11:14.443 --> 00:11:18.645]  He's been branded by special interest groups as doctrinal, refusing to bend his values.
[00:11:19.005 --> 00:11:22.986]  I can only imagine the pressure applied by Congress as he stands alone for these principles.
[00:11:23.367 --> 00:11:25.187]  He has given up a medical career for this.
[00:11:25.687 --> 00:11:27.388]  Ron Paul is running for president.
[00:11:27.668 --> 00:11:33.653]  The ideas of strong currency ending the war, defending the Constitution, and protecting civil liberties are catching on.
[00:11:33.933 --> 00:11:40.719]  As a thank you, GCNlive.com, Midas Resources, and I would like to send you a free copy of the Ron Paul Family Cookbook.
[00:11:41.039 --> 00:11:44.401]  Call 800-686-2237 for your free copy.
[00:11:44.962 --> 00:11:45.843]  Again, that's 800-686-2237.
[00:11:48.405 --> 00:11:51.487]  I hope his values are touching your heart as deep as they are mine.
[00:11:51.627 --> 00:11:51.948]  That's 800-686-2237.
[00:11:52.008 --> 00:11:53.409]  Thanks again for supporting Ron Paul.
[00:11:58.152 --> 00:11:58.693]  Hi, neighbor.
[00:11:59.033 --> 00:12:04.542]  No matter when the time comes to survive on our food supply, every single one of us who have prepared will have two regrets.
[00:12:05.163 --> 00:12:10.892]  Even those who haven't wasted a single penny on Christmas, birthdays, and vacations in order to store all the food possible.
[00:12:11.642 --> 00:12:14.903]  Even those who have sold stuff and taken on part-time jobs to buy food.
[00:12:15.543 --> 00:12:18.824]  Even those who have traded their gold while it will still buy food.
[00:12:19.444 --> 00:12:22.825]  Yes, we will have been called stupid, crazy, and foolish.
[00:12:23.426 --> 00:12:27.927]  When folks won't be able to afford food and there won't be any food for any amount of money.
[00:12:28.667 --> 00:12:30.628]  We will still have two regrets.
[00:12:31.288 --> 00:12:34.629]  We will regret that we didn't get more serious about more food sooner.
[00:12:35.289 --> 00:12:38.150]  We will deeply regret that we didn't get enough food.
[00:12:38.945 --> 00:12:45.814]  Putting off emergency food preparations to celebrate the holidays will be the most dangerous decision that some of us will ever make.
[00:12:45.834 --> 00:12:46.835]  Call 800-409-5633.
[00:12:46.876 --> 00:12:47.977]  On the web, efoodsdirect.com.
[00:12:47.997 --> 00:12:48.037]  800-409-5633.
[00:12:57.336 --> 00:12:57.977]  It's a fact.
[00:12:58.217 --> 00:13:05.683]  Since the creation of the Federal Reserve in 1913, all banks in these United States create money out of thin air for every single loan they issue.
[00:13:05.803 --> 00:13:14.670]  With never-ending late fees, over-the-limit fees, and higher and higher interest rates, it has become mathematically impossible to repay all debt, making all of us slaves to our creditors.
[00:13:14.950 --> 00:13:25.478]  The Federal Debt Relief System has created a successful, attorney-backed program to legally eliminate credit card debt, personal loans, lines of credit, and other unsecure debts which have been fraudulently created by the banks.
[00:13:25.738 --> 00:13:31.800]  We can terminate your unsecured debt within 18 months with a much lower monthly payment, ending with nothing on your credit report.
[00:13:32.020 --> 00:13:37.042]  Join the thousands of Americans who now breathe with a sigh of relief because they have legally eliminated their debt.
[00:13:37.222 --> 00:13:41.703]  Instead of living each day in fear and frustration, it's time to take action and turn your life around.
[00:13:41.863 --> 00:13:43.664]  Call the Federal Debt Relief System at 877-943-8600.
[00:13:43.724 --> 00:13:43.984]  That's 877-943-8600.
[00:13:44.004 --> 00:13:44.584]  Or visit FDRS.org.
[00:13:44.624 --> 00:13:46.345]  Find out how you can break the cycle of debt slavery.
[00:13:53.607 --> 00:13:56.109]  We're back live.
[00:13:56.209 --> 00:14:00.312]  Thank you again for joining us.
[00:14:00.512 --> 00:14:02.713]  I hope you had a great holiday.
[00:14:20.265 --> 00:14:22.547]  Extended weekend with Thanksgiving.
[00:14:22.787 --> 00:14:27.310]  Hope you're driving safely out there across much of the nation.
[00:14:27.790 --> 00:14:29.571]  And your flights are going well for you.
[00:14:30.111 --> 00:14:36.015]  Thanks to our gracious emperor that opened up a lot of controlled airspace for our aircraft to maneuver through.
[00:14:37.576 --> 00:14:38.437]  All right.
[00:14:38.797 --> 00:14:41.919]  Really, most people have been robbed of history.
[00:14:41.979 --> 00:14:43.580]  It's not really taught in schools anymore.
[00:14:44.432 --> 00:15:01.443]  But throughout history, tyrants and despots and corrupt establishments have come into power and they've had lots of different sales policies and propaganda packages to sell the public on giving up their liberties and freedoms so the elite can expand their power and control.
[00:15:02.843 --> 00:15:11.729]  And can, more often than not, mobilize those captured populations to go out and wage wars across the planet or against their neighbors for them.
[00:15:12.600 --> 00:15:19.023]  And throughout history, when corrupt governments start hiring mercenaries, even in foreign wars, it's bad enough.
[00:15:19.063 --> 00:15:28.867]  But the big no-no, even inside the corrupt Roman Empire, you were not allowed to use the mercenaries inside Rome or inside Italy.
[00:15:30.128 --> 00:15:38.892]  Hitler didn't dare bring in foreign mercenaries or domestic mercenaries against his domestic population, but now in the US we do.
[00:15:39.577 --> 00:15:53.866]  And there's so many thousands of examples of how we're going down this road, how first they claim that they're not going to have warrants to listen to Al-Qaeda, and then, oh by the way, we're going to use it for all crimes against all citizens, no more Fourth Amendment.
[00:15:54.226 --> 00:15:55.887]  You see, who watches the watchers?
[00:15:57.028 --> 00:15:58.389]  You're going to have a free society.
[00:15:58.409 --> 00:15:59.930]  You've got to have a law and order.
[00:16:00.330 --> 00:16:02.251]  You've got to have due process of law.
[00:16:02.291 --> 00:16:04.593]  You've got to be innocent until proven guilty.
[00:16:05.971 --> 00:16:09.494]  And all of those basic canons are being removed.
[00:16:09.554 --> 00:16:12.237]  They're being dismantled.
[00:16:13.037 --> 00:16:32.655]  But here's one example of literally thousands of just textbook examples of not just our Bill of Rights and Constitution, one of the strongest, if not the strongest, systems of government that was pro-liberty and pro-freedom and pro-individual and pro-justice.
[00:16:34.082 --> 00:16:45.753]  But even in Pinochet's Chile, or Hitler's Germany, or Mao Zedong's China, we did not see these classical expressions of hardcore tyranny.
[00:16:47.355 --> 00:16:48.296]  Let me give you just one.
[00:16:50.649 --> 00:16:59.997]  Pocket Army, Smedley Butler, Brigadier Marine Corps General, in line to be the Commandant of the Marine Corps, and then the Prescott Bush, grandfather of the President, and others.
[00:17:00.017 --> 00:17:04.241]  This was in the McCormick-Dickstein Committee hearings back in the 40s.
[00:17:04.781 --> 00:17:07.984]  They approached them and said, listen, we don't want to go to war with Germany.
[00:17:08.424 --> 00:17:15.551]  We're going to overthrow the government and set up a fascist dictatorship, and we want the Marine Corps to be the front of the spear.
[00:17:15.831 --> 00:17:17.492]  Butler had overthrown more than 15 countries.
[00:17:18.573 --> 00:17:20.774]  For the U.S., Guatemala, and countless others.
[00:17:21.575 --> 00:17:24.256]  And they came to him and said, we want you to overthrow America now.
[00:17:25.057 --> 00:17:28.599]  And the Marine Corps Commandant has now retired.
[00:17:28.639 --> 00:17:29.799]  You're next in line for that.
[00:17:30.720 --> 00:17:31.200]  On the list.
[00:17:31.680 --> 00:17:41.646]  And we want you to become the Commandant and we're going to have the Marine Corps leading 500,000 veterans that we're going to pay mercenary funds to lead a coup d'etat in the United States.
[00:17:43.903 --> 00:17:48.387]  And then we're going to dominate the world and we're going to work with Adolf Hitler and take over the planet.
[00:17:49.388 --> 00:17:49.929]  With England.
[00:17:49.989 --> 00:17:58.718]  By the way, England then, of course, had the King of England at the time was a pro-Nazi and had to advocate because that happened and that came out.
[00:17:59.038 --> 00:18:00.299]  Edward VIII, King of England.
[00:18:02.801 --> 00:18:06.285]  And that's all in the encyclopedia if you'd like to go look into it.
[00:18:07.570 --> 00:18:13.255]  So, that happened, and Butler said, listen, I might have overthrown all these other countries, but I'm not going to do that here.
[00:18:13.836 --> 00:18:15.978]  I thought I would just bring up again one little example of that.
[00:18:17.356 --> 00:18:24.382]  Now, there are 180,000 contractors in Iraq, but there are over 150,000 subcontractors.
[00:18:24.402 --> 00:18:27.625]  So that's 300 plus thousand mercenaries.
[00:18:28.285 --> 00:18:31.128]  On average paid about $150,000 apiece.
[00:18:31.468 --> 00:18:40.715]  When the average military man or woman over there is getting paid about $30,000 apiece and gets about one month off a year and is forced to serve on average more than three tours.
[00:18:41.096 --> 00:18:46.020]  Halliburton also has some of these forces, but they're mainly just in the technical realm.
[00:18:46.767 --> 00:18:53.452]  They're the largest group of contractors, but the largest group of armed contingent is, of course, Blackwater.
[00:18:54.493 --> 00:18:59.257]  And so you have 320,000 plus contractors over there.
[00:19:00.198 --> 00:19:10.145]  And we had, of course, from the start, warned you about Rand Corporation documents and public statements that they wanted to later, and they did use them in New Orleans, use Blackwater, Halliburton, and others.
[00:19:10.626 --> 00:19:14.309]  Now, by the way, Halliburton is in Basin, Dubai, no longer a U.S.
[00:19:14.329 --> 00:19:15.810]  corporation, but I guess that's okay with people.
[00:19:17.050 --> 00:19:38.217]  to run domestic operations, and they've said now, oh, Blackwater's going to fight the drug war in your cities and on the border, just like they watered down the 1878 law barring the military from domestic operations, the Posse Comitatus Act, which they haven't fully overturned, but in the John Warner Defense Authorization Act, they've basically cut it back to near nothing.
[00:19:38.498 --> 00:19:42.579]  So there's a shadow left of it, and on paper they act like it's still there.
[00:19:43.752 --> 00:19:47.895]  So it's bad enough to have the military operating domestically in the country against the people.
[00:19:48.475 --> 00:19:49.536]  Hitler did do that.
[00:19:49.976 --> 00:19:54.439]  But what Hitler didn't do was hire foreigners to come in.
[00:19:54.519 --> 00:20:03.665]  Now 20% plus of the army is war illegal aliens from Czech Republic, Mexico is the biggest group, Guatemala, El Salvador, Nicaragua.
[00:20:04.525 --> 00:20:09.709]  They of course have hired former death squad commanders to be part of this in Iraq and now they're coming home.
[00:20:10.289 --> 00:20:24.859]  And of course, I told you this eight years ago, now it's mainstream news, and we told you it wasn't in the news, we had this from good sources, that they were actually hiring aggravated felons, also, who were illegal aliens on top of it, out of the federal and state prisons to join the military.
[00:20:24.899 --> 00:20:33.085]  And Hitler did take prisoners out of the prisons to be his SA and then his SS, so he did do that, but they weren't foreigner felons, they were domestic.
[00:20:35.547 --> 00:20:41.213]  That is, nationals who were from Germany or Austria or what was left of the Austrian-Hungarian Empire.
[00:20:42.395 --> 00:20:46.339]  So as long as you'd formally been in the Austrian-Hungarian Empire, would it be... But I'm getting a little too technical here.
[00:20:46.380 --> 00:20:49.123]  The point is, let's see how this process works.
[00:20:49.657 --> 00:21:02.380]  In the 80s, in the name of fighting the drug war, the military starts, illegally, they hadn't overturned the law yet, working with police secretly, running drones, busting into gun dealers, raiding drug dealers.
[00:21:02.960 --> 00:21:10.142]  In my film, Road to Tyranny, I interview a Marine Corps commander who had then gotten out and started a computer company in Austin.
[00:21:10.162 --> 00:21:11.462]  I went to his mansion to interview him.
[00:21:11.662 --> 00:21:15.824]  He showed me all the documents and things, but I'd already seen congressional reports on it, but here he was.
[00:21:16.184 --> 00:21:17.584]  He got stopped and kiled
[00:21:18.044 --> 00:21:21.106]  At an army checkpoint, and he said, my God, this is true what you said.
[00:21:21.506 --> 00:21:23.348]  I was in a secret operation in the late 80s.
[00:21:23.868 --> 00:21:26.530]  We were robbing gun shops and other people.
[00:21:26.550 --> 00:21:30.172]  We would dress in police uniforms and aid them.
[00:21:30.192 --> 00:21:32.334]  And I knew it was illegal then, but I thought it was okay.
[00:21:32.674 --> 00:21:33.594]  Now it's happened to me.
[00:21:33.674 --> 00:21:35.195]  Now I'm older and more successful.
[00:21:35.596 --> 00:21:38.117]  I realize that this is a major problem.
[00:21:38.958 --> 00:21:46.623]  But if that's bad enough to have secret military operations all over the country that they're now announcing more and more of after they've been in place for decades,
[00:21:47.725 --> 00:21:53.009]  Now they're saying Blackwater is going to be involved domestically here in the U.S.
[00:21:53.129 --> 00:22:08.099]  And then even when the Army General says they committed 14 murders in that shootout and should be charged, and when the FBI said they should be charged, the White House and State Department said, no, they have total immunity.
[00:22:08.139 --> 00:22:10.740]  And now they're going to have immunity, a domestic force.
[00:22:11.641 --> 00:22:13.062]  See, they're coming home now, folks.
[00:22:14.864 --> 00:22:20.267]  Here in the United States, Caesar took over Rome with just a few thousand cohorts from the 13th.
[00:22:20.327 --> 00:22:25.409]  Can you imagine with hundreds of thousands of mercs what they'll do here domestically?
[00:22:26.109 --> 00:22:36.594]  So see, you get rid of habeas corpus, you get rid of due process, you get rid of posse commentatus, you get rid of all these things, then they're just incrementally phasing in martial law.
[00:22:37.336 --> 00:22:39.078]  This is all happening right now.
[00:22:39.599 --> 00:22:40.860]  And it's not to target Al-Qaeda.
[00:22:41.301 --> 00:22:42.803]  It's to target you, ladies and gentlemen.
[00:22:43.183 --> 00:22:43.884]  We'll be right back.
[00:22:43.924 --> 00:22:44.284]  Stay with us.
[00:22:56.750 --> 00:23:00.913]  Now, you can enjoy the more than 700 chemicals that have been found in our drinking water.
[00:23:01.234 --> 00:23:06.157]  And did you know that you can have greater exposure to these chemicals by taking hot showers than when you drink the water?
[00:23:06.398 --> 00:23:10.761]  That's because many chemicals are inhaled when they evaporate, and others are absorbed through the skin.
[00:23:11.061 --> 00:23:19.968]  The KDF shower filter is designed to reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold, algae, and fungus in your shower.
[00:23:20.188 --> 00:23:23.791]  The media is non-toxic, environmentally sound, and is recyclable.
[00:23:24.071 --> 00:23:29.095]  The KDF shower filter will typically last 10,000 gallons or one year, whichever comes first.
[00:23:29.395 --> 00:23:36.100]  Hospitals, restaurants, and water treatment facilities use this media to reduce chlorine, iron, heavy metals, and bacteria.
[00:23:36.607 --> 00:23:37.288]  What about you?
[00:23:37.928 --> 00:23:43.273]  Order your KDF shower filter, normally $49, for our special price of only $35, a $14 savings.
[00:23:43.333 --> 00:23:44.494]  Call now to order at 1-888-803-4438.
[00:23:44.514 --> 00:23:46.396]  Order today and save $14 by calling 1-888-803-4438.
[00:23:58.334 --> 00:23:58.835]  Hi, neighbor.
[00:23:59.335 --> 00:24:01.316]  The nation is taking a Christmas break.
[00:24:01.777 --> 00:24:07.761]  But will the events attacking our liberty and survival call a holiday truce and stop marching forward while we celebrate?
[00:24:08.401 --> 00:24:12.564]  The ethanol plants will continue to create food shortages by turning our food into fuel.
[00:24:13.124 --> 00:24:19.168]  Huge percentages of our food will continue to be imported from China, Mexico, and other countries shipping us dangerous food.
[00:24:19.888 --> 00:24:23.030]  We can't stop from entering the third year of a worldwide famine.
[00:24:23.591 --> 00:24:26.853]  How long until genetically poisoned food is all that's left?
[00:24:27.848 --> 00:24:41.631]  So if we're foolish enough to procrastinate our preparation, hiding from reality and the feel-good of the holidays, the events threatening our lives will keep relentlessly rolling forward until we're crushed by what we couldn't believe possible in America.
[00:24:42.071 --> 00:24:46.773]  Call the J. Michael Stevens Group to get the food for your future while you still have a choice.
[00:24:46.793 --> 00:24:47.493]  800-409-5633.
[00:24:47.513 --> 00:24:48.553]  On the web, efoodsdirect.com.
[00:24:48.573 --> 00:24:48.713]  Call 800-409-5633.
[00:24:57.913 --> 00:25:01.496]  Want to know the secret to finding a shop that can keep your car running like new?
[00:25:01.696 --> 00:25:05.599]  Find the cleanest shop in town, where cleaning is top priority.
[00:25:05.759 --> 00:25:09.262]  Not talking about clean floors, but better shops have those too.
[00:25:09.642 --> 00:25:17.248]  I mean shops that have the best training, equipment, and chemistry to clean every air, fuel, and fluid system in your vehicle.
[00:25:17.488 --> 00:25:20.770]  Keep it clean, and you don't have to keep replacing parts.
[00:25:21.210 --> 00:25:24.833]  Find your clean shop at bgfindashop.com.
[00:25:25.093 --> 00:25:26.835]  That's bgfindashop.com.
[00:25:27.913 --> 00:25:30.834]  What's better than a tiny tiger in your tank?
[00:25:30.854 --> 00:25:32.375]  A tornado under your hood!
[00:25:32.475 --> 00:25:38.358]  A tornado is an easy-to-install, maintenance-free air twister designed to increase gas mileage.
[00:25:38.698 --> 00:25:45.842]  I personally commissioned independent tests to verify results in six vehicles, and all of them gained MPG with Tornado.
[00:25:45.982 --> 00:25:50.804]  With today's gas prices, it makes sense to cage the gas-saving power of a tornado.
[00:25:50.984 --> 00:25:56.187]  Visit tornadoair.com or go to Pep Boys, Napa, or AutoZone today.
[00:25:58.419 --> 00:26:00.821]  This is Jack Blood with the Genesis Radio Network.
[00:26:01.341 --> 00:26:04.623]  Let's ask the question that the Bush regime hopes you will never ask.
[00:26:05.023 --> 00:26:07.945]  That is, is the USA already bankrupt?
