[00:00:00.129 --> 00:00:05.450]  Television, but I had once or twice actually seen the television show because it's very popular.
[00:04:21.137 --> 00:04:26.640]  You know, it's almost like I'm watching this huge dam that seems like it should have broken about three, four months ago.
[00:04:26.640 --> 00:04:35.764]  And maybe when loose change hits theaters this summer, maybe if we can finally get a very public platform for people like Professor Stephen Jones.
[00:04:36.665 --> 00:04:42.691]  Uh, yourself, other people who have come out publicly, Rosie, Charlie, to actually talk about these issues.
[00:04:42.691 --> 00:04:53.243]  Maybe then, maybe then it'll, the dam will completely break and it'll become, we'll have an opportunity to really debate the actual facts of and points of contention in a public arena.
[00:04:53.243 --> 00:04:54.584]  That's what I'm really hoping for.
[00:04:54.584 --> 00:04:56.146]  In terms of my background,
[00:04:57.387 --> 00:04:59.508]  You know, I'm just, again, I'm a small fish in the pond.
[00:04:59.508 --> 00:05:01.649]  I'm just, I'm a working actor in New York City.
[00:05:01.649 --> 00:05:18.036]  The only reason why I felt like me speaking out may possibly be important in any way is because I happen to be representing, me and the other guys on the show, we're representing these heroes, these men and women who died that day and who risk their lives daily doing a job that most of us do not have the courage to do.
[00:05:19.318 --> 00:05:27.514]  And my moral conscience just wouldn't let me, would not let me remain silent considering the grave importance of this particular issue.
[00:05:28.277 --> 00:05:31.400]  Well, I wouldn't call you a small fish, but I would say this.
[00:05:31.400 --> 00:05:35.483]  I mean, I'm a nobody, but we're all a somebody at the same time.
[00:05:35.483 --> 00:05:46.994]  And it is courage for a school teacher that goes public, or a professor, or a police officer, or a fighter pilot, or somebody with one of the most highly rated TV shows on cable.
[00:05:46.994 --> 00:05:48.395]  I mean, you're not a small fish.
[00:05:48.395 --> 00:05:49.956]  It does take courage.
[00:05:49.956 --> 00:05:53.159]  And you're right that it's getting a little bit safer for people to go public.
[00:05:53.159 --> 00:05:55.161]  I just wish that some of the really huge names
[00:05:56.207 --> 00:05:56.367]  Yeah.
[00:06:12.455 --> 00:06:14.596]  I mean, there's just so much going on.
[00:06:14.596 --> 00:06:15.817]  This is do or die.
[00:06:15.817 --> 00:06:18.739]  I mean, these globalists, I mean, they may set off a nuke.
[00:06:18.739 --> 00:06:19.760]  They could start a new war.
[00:06:19.760 --> 00:06:21.200]  They could release bird flu.
[00:06:21.200 --> 00:06:23.902]  I mean, you can't put anything past them.
[00:06:23.902 --> 00:06:27.905]  Give me your response or your angle on what I just said there.
[00:06:27.905 --> 00:06:28.585]  Absolutely.
[00:06:28.585 --> 00:06:32.948]  I mean, I really do think that it's crucial, especially before the 2008 elections.
[00:06:32.948 --> 00:06:38.372]  I mean, I've heard your predictions and I've heard predictions from other pretty credible experts who are very good at kind of analyzing the
[00:06:39.256 --> 00:06:42.039]  The weather patterns, so to speak.
[00:06:42.039 --> 00:06:45.181]  You predicted 9-11.
[00:06:45.181 --> 00:06:52.628]  Other people are now saying that we're militarizing the area right around the borders of Iran.
[00:06:52.628 --> 00:06:59.954]  All of the same indicators are present that were present before 9-11 for some kind of terrible, terrible event.
[00:06:59.954 --> 00:07:04.137]  I agree with you that unless we call enough attention to 9-11,
[00:07:05.074 --> 00:07:25.049]  Unless we're able to bring this out into a public form of debate, it's very possible that we could see another false flag event, or any excuse that would give Bush and his administration a reason to declare a national state of emergency, would then plunge us into a horrible, horrible time in human history.
[00:07:25.049 --> 00:07:26.991]  And I think it's still possible to stop it.
[00:07:26.991 --> 00:07:27.811]  I want to believe that.
[00:07:27.811 --> 00:07:28.412]  I'm an optimist.
[00:07:29.077 --> 00:07:30.799]  Um, I would like to believe so anyway.
[00:07:30.799 --> 00:07:36.626]  Now talking to Christine Ebersole, uh, who's also television movies as one of the number one shows on Broadway right now.
[00:07:36.626 --> 00:07:44.655]  She went public saying it's a total inside job giving the evidence, uh, on her blog here on the Genesis Network with John Connor and other places.
[00:07:44.655 --> 00:07:49.220]  And she got heat from her manager and other people, but really got support from the crowd and people in the street.
[00:07:49.878 --> 00:07:59.166]  What response have you gotten from people, A, in the whole Hollywood slash New York, Chicago scene?
[00:07:59.166 --> 00:08:04.671]  What response have you gotten from just the general public?
[00:08:04.671 --> 00:08:13.098]  And then, when you're talking to people, and I would imagine you warn them and make the same points you just made here.
[00:08:13.098 --> 00:08:14.639]  Hey, we've got to get the word out now.
[00:08:14.639 --> 00:08:16.360]  Hey, do you know about false flag terror?
[00:08:16.360 --> 00:08:18.342]  What do your colleagues say when you talk to them?
[00:08:19.014 --> 00:08:20.216]  Well, you know, it's interesting.
[00:08:20.216 --> 00:08:26.362]  There are a couple of my colleagues, people that I've actually worked with on Rescue Me, who at first were, you know, they...
[00:08:27.595 --> 00:08:29.236]  Listened to some of the information.
[00:08:29.236 --> 00:08:33.319]  They tried to, you know, their knee-jerk response was to start offering some excuses.
[00:08:33.319 --> 00:08:34.319]  Well, couldn't it have been that?
[00:08:34.319 --> 00:08:35.200]  And maybe it was this?
[00:08:35.200 --> 00:08:36.921]  And wouldn't everybody have had to have been in on it?
[00:08:36.921 --> 00:08:37.521]  What are you telling me?
[00:08:37.521 --> 00:08:41.023]  The whole government is in on this conspiracy?
[00:08:41.023 --> 00:08:51.890]  But after looking at the information a little bit more carefully, soberly kind of comparing the inconsistencies that are being highlighted by very credible experts,
[00:08:53.150 --> 00:08:56.331]  To the official story and what we have been told.
[00:08:56.331 --> 00:09:04.673]  Now there are a number of them who are starting to, who have come to me privately and are voicing their very deep concerns about 9-11.
[00:09:04.673 --> 00:09:08.174]  Some of these people are firefighters who work with us every day on the show.
[00:09:08.174 --> 00:09:12.255]  A couple of these people are actors who work with us on the show.
[00:09:12.255 --> 00:09:21.538]  But in my personal life, you know, some of the stuff that I've been doing aside from going on Lone Lantern and Resistance Radio and now coming on your show has been just hitting the streets.
[00:09:21.898 --> 00:09:31.645]  Just hitting the streets with leaflets, with DVDs, copies of Loose Change, or 9-11 Mysteries, or Terror Storm, and just, you know, passing out the information.
[00:09:31.645 --> 00:09:41.051]  Sometimes, you know, here in New York City, it's almost like a lot of times you feel like you're preaching to the choir when you're expressing these kind of views.
[00:09:41.051 --> 00:09:44.854]  Not necessarily about 9-11, but you know, it is a very blue state.
[00:09:44.854 --> 00:09:48.957]  But moving past the left-right paradigm, I think that a lot of people are
[00:09:49.915 --> 00:09:50.376]  I think so.
[00:10:13.630 --> 00:10:17.954]  And then in my personal personal life, like with my friends and family... Stay there!
[00:10:17.954 --> 00:10:19.535]  Stay there, Daniel!
[00:10:19.535 --> 00:10:21.157]  Daniel Sanjata is our guest.
[00:10:21.157 --> 00:10:22.558]  We're honored to have him.
[00:10:22.558 --> 00:10:26.261]  Just an amazing person, whether he wants you to know that or not, it's true.
[00:10:26.261 --> 00:10:28.303]  A lot of courage.
[00:10:28.303 --> 00:10:37.831]  One more individual charging the machine gun nest to try to stop these monsters, ladies and gentlemen, who are absolutely bloodthirsty and completely ruthless.
[00:10:37.831 --> 00:10:40.513]  They must be met with force of information.
[00:10:40.513 --> 00:10:41.114]  We'll be right back.
[00:10:44.162 --> 00:10:49.526]  Nuclear reactors provide economical energy, but would you be prepared during an accident?
[00:10:49.526 --> 00:10:57.872]  During nuclear disasters, great amounts of radioactive iodine are released into the atmosphere, which are then readily absorbed into the body.
[00:10:57.872 --> 00:11:04.937]  Medical course potassium iodate gives you virtually complete protection from the most feared consequence of a nuclear accident.
[00:11:05.877 --> 00:11:12.561]  Potassium iodate can protect against radioactive poisoning by filling the thyroid with good iodine.
[00:11:12.561 --> 00:11:17.764]  This shields the thyroid and prevents it from absorbing the harmful radioactive iodine.
[00:11:17.764 --> 00:11:26.908]  Potassium iodate is better than the iodide form because it is not as likely to cause upset stomachs in children, the elderly, the sick, and pets.
[00:11:26.908 --> 00:11:31.671]  Order the official potassium iodate for only $24 and save $5 by calling New Millennium
[00:11:35.513 --> 00:11:37.154]  888-803-4438.
[00:11:37.154 --> 00:11:38.955]  Call now and get free shipping.
[00:11:38.955 --> 00:11:43.659]  That's 888-803-4438.
[00:11:43.659 --> 00:11:44.439]  Gold.
[00:11:44.439 --> 00:11:45.980]  It's like nothing else on Earth.
[00:11:45.980 --> 00:11:52.245]  From the Romans through the Renaissance, from the Industrial Age to the Space Age, gold has weathered the test of time.
[00:11:52.245 --> 00:11:56.428]  For 6,000 years, gold has remained the ultimate store of wealth.
[00:11:56.428 --> 00:11:58.369]  According to the World Gold Council and the U.S.
[00:11:58.369 --> 00:12:00.611]  Mint, demand is at an all-time high.
[00:12:00.811 --> 00:12:01.492]  We're good to go.
[00:12:23.991 --> 00:12:24.331]  We're good to go.
[00:12:43.707 --> 00:12:50.449]  I love the new sandal styles, but before I discovered Non-X Nail Gel, I was too embarrassed about my toenails to wear them.
[00:12:50.449 --> 00:12:54.710]  If your nails look dark or discolored, now there's a solution besides hiding them.
[00:12:54.710 --> 00:12:57.231]  It's a patented nail gel called Non-X.
[00:12:57.231 --> 00:13:04.573]  All natural Non-X clears out the source of the problem, the dark or yellow material that builds up under nails called keratin debris.
[00:13:04.573 --> 00:13:07.454]  Non-X Nail Gel is absolutely amazing.
[00:13:07.454 --> 00:13:10.915]  My toenails now look clear and I'm not embarrassed to wear sandals anymore.
[00:13:11.215 --> 00:13:19.478]  Nonex Nail Gel removes yellowing keratin debris, is podiatrist recommended, and has been clinically shown to improve nail clarity.
[00:13:19.478 --> 00:13:21.259]  It's also money-back guaranteed.
[00:13:21.259 --> 00:13:33.164]  You'll find Nonex Gel, spelled N-O-N-Y-X, in the foot care section at Rite Aid, Walgreens, Long's, Brooks, Duane Reade, and independent pharmacies nationwide.
[00:13:33.665 --> 00:13:36.371]  Or online at drugstore.com.
[00:13:36.371 --> 00:13:41.744]  Non-X nail gel for clearer nails and feet that look great in sandals.
[00:13:45.259 --> 00:13:49.623]  Did you ever wonder how an opera singer that hits a high note is able to shatter a wine glass?
[00:13:49.623 --> 00:13:51.645]  Well, the glass has a natural resonance.
[00:13:51.645 --> 00:13:58.232]  If the resonant frequency force making the glass vibrate is big enough, the size of the vibration will become so large that the glass shatters.
[00:13:58.232 --> 00:14:04.598]  Using this similar principle, Royal Raymond Rife discovered that disease organisms can be destroyed using different resonant frequencies.
[00:14:04.598 --> 00:14:06.340]  The BioSolutions Frequency Instrument
[00:14:06.340 --> 00:14:06.640]  We're good.
[00:14:29.207 --> 00:14:30.388]  Eliminate the cause.
[00:14:30.388 --> 00:14:32.889]  For more information, call BioSolutions toll-free 1-866-885-6625.
[00:14:32.889 --> 00:14:33.289]  That's 1-866-885-6625.
[00:14:33.289 --> 00:14:33.349]  1-866-885-6625.
[00:14:59.008 --> 00:15:01.049]  Welcome back, ladies and gentlemen.
[00:15:01.049 --> 00:15:05.952]  It is Friday the 13th, but that's a lucky day for 9-11 Truth.
[00:15:05.952 --> 00:15:14.697]  Daniel Sanjata is our guest, and of course he is the main star, the big star on the FX hit program, Rescue Me.
[00:15:14.697 --> 00:15:19.200]  Continuing, talking to your friends, what's the response that you're getting?
[00:15:20.494 --> 00:15:26.758]  I've been getting more candid responses from people, you know, that I'm not approaching, let's say, at work, or strangers that I'm approaching on the street.
[00:15:26.758 --> 00:15:33.402]  You know, from friends and family, the response has been less self-censored, shall we say.
[00:15:33.402 --> 00:15:42.569]  Definitely, you know, most of them are completely on board once I actually point out the inconsistencies with the official story, or at least the ones that I've been able to memorize so far.
[00:15:42.569 --> 00:15:44.630]  I mean, there's so many thousands of them.
[00:15:46.363 --> 00:15:55.967]  You know, I also wanted to say, Alex, that I think it is actually perfect for people who happen to have a lot of baggage, let's just say, or maybe the way that they've lived their lives.
[00:15:55.967 --> 00:16:01.989]  It might be preventing them from actually coming out publicly about 9-11 because they're worried about ad hominem attempts at character assassination.
[00:16:02.569 --> 00:16:11.113]  I mean, one of the reasons, for instance, and you pointed this out maybe a week or two ago when Rosie first came out, it's perfect, it's absolutely perfect that she came out.
[00:16:11.113 --> 00:16:28.761]  Because they're going to, obviously, their MO is instead of addressing the actual points that she is trying to, that she's addressing, they will attack you on your past, on the fact that you happen to be maybe a celebrity and therefore why should you even open your mouth about anything of consequence.
[00:16:29.661 --> 00:16:52.948]  That is actually a perfect entree for us to redirect and to say, well, why is it every time we say something about partially evaporated steel columns in the wreckage of Building 7 or, you know, the law of falling bodies and how can buildings collapse at free-fall speed, why every time we bring up some piece of credible science, why do you say something about the fact that, you know, so-and-so happens to be, you know,
[00:16:54.346 --> 00:16:54.866]  We're good to go.
[00:17:08.306 --> 00:17:12.768]  So, you know, it really just makes them look complicit in an obvious cover-up.
[00:17:12.768 --> 00:17:15.309]  It doesn't lend any credibility to their denial.
[00:17:15.309 --> 00:17:15.889]  No, you're right.
[00:17:15.889 --> 00:17:20.090]  I mean, they can't help it, and it blows up completely in their face.
[00:17:20.090 --> 00:17:22.951]  But first off, I'm really honored to find out you're a listener.
[00:17:22.951 --> 00:17:23.852]  I didn't do any pre-interview.
[00:17:23.852 --> 00:17:26.233]  I've never talked to you before until you came on, Daniel.
[00:17:26.233 --> 00:17:28.113]  Alex, I'm a huge fan.
[00:17:28.113 --> 00:17:29.374]  I'm a huge fan of yours.
[00:17:29.374 --> 00:17:29.874]  Absolutely.
[00:17:30.774 --> 00:17:39.400]  Well, that just humbles me because it always shocks me how many people tune into this show to hear me bumble around in my redneck fashion, but thank you so much, my friend.
[00:17:39.400 --> 00:17:41.822]  But no, I mean, you're absolutely right that
[00:17:42.860 --> 00:17:54.364]  They ignore it when physicists and scientists and underwriting laboratory engineers who underwrote the buildings come out and say it's a fraud and impossible and a hoax, because they have to.
[00:17:54.364 --> 00:17:58.326]  But still, they take the bait on celebrities because they can't ignore it.
[00:17:58.326 --> 00:17:59.506]  They blow it up.
[00:17:59.506 --> 00:18:03.067]  They try to chill free speech, and then that blows up in their face.
[00:18:03.067 --> 00:18:07.369]  I mean, just at certain levels, this New World Order is really incompetent.
[00:18:08.075 --> 00:18:08.596]  Yeah.
[00:18:08.596 --> 00:18:09.477]  Yeah, they really are.
[00:18:09.477 --> 00:18:09.977]  They really are.
[00:18:09.977 --> 00:18:14.903]  And I think it's that they're operating just on, you know, a really, really old paradigm.
[00:18:14.903 --> 00:18:15.524]  That's it.
[00:18:15.524 --> 00:18:15.904]  That's it.
[00:18:15.904 --> 00:18:18.347]  In terms of, you know, in terms of controlling the public mind.
[00:18:18.347 --> 00:18:27.058]  These are tactics that used to work, but they're not taking into account the telescoping of evolution and the fact that the human species is now beyond the point of their old methods of control.
[00:18:27.278 --> 00:18:28.699]  Wow, you just said that in a great way.
[00:18:28.699 --> 00:18:31.061]  The evolution of technology alone doubling every two years or even faster.
[00:18:45.431 --> 00:18:47.153]  And it's really just gotten away from them.
[00:18:47.153 --> 00:18:55.423]  I mean, they've got a lot of geniuses and high-tech people in their technocracy that I know are giving them new ways to control us, but these old elites are still making the decisions.
[00:18:55.423 --> 00:18:57.225]  I mean, literally, folks, and I'm not knocking old people.
[00:18:57.225 --> 00:18:58.066]  Old people are great.
[00:18:58.066 --> 00:19:02.251]  But it's like 85-year-olds, and I mean, Prince Bernhardt was running most of this.
[00:19:02.831 --> 00:19:04.071]  I'm sorry folks, we're going to kick their butt!
[00:19:21.946 --> 00:19:23.086]  That's the truth.
[00:19:23.086 --> 00:19:25.307]  I mean, Alex, how are they marginalizing?
[00:19:25.307 --> 00:19:33.008]  How is it that they're able to prevent the opinions of people like Robert Bowman, Ray McGovern, Kevin Ryan, David Shaler, Stephen Jones?
[00:19:33.008 --> 00:19:38.429]  How are they able to keep such credible expert opinions completely marginalized?
[00:19:38.429 --> 00:19:39.769]  It's something that's hard.
[00:19:39.769 --> 00:19:45.390]  I work in the media, and it's hard for me to fathom how they can ignore what these people are saying.
[00:19:45.390 --> 00:19:47.010]  I can understand them ignoring me.
[00:19:47.010 --> 00:19:49.871]  I can understand them ignoring maybe even Rosie or Charlie or whoever.
[00:19:50.325 --> 00:20:07.288]  But when you have people who are obviously in the know, you have retired Air Force pilots, people who train the top guns, who are coming out and saying 9-11 was an inside job, and CNN, BBC, none of the major media news outlets are even giving this, you know, giving it even a moment of attention.
[00:20:07.288 --> 00:20:07.849]  How is that possible?
[00:20:08.743 --> 00:20:13.126]  You know what, when we get back, I'll try to give you my take on it, and I'll get your take, and we'll also take some calls.
[00:20:13.126 --> 00:20:13.646]  1-800-259-9231.
[00:20:13.646 --> 00:20:13.727]  1-800-259-9231.
[00:20:13.727 --> 00:20:14.727]  And Daniel Sanjata is our guest.
[00:20:14.727 --> 00:20:16.689]  He is the star of the hit TV show on FX, Rescue Me.
[00:20:16.689 --> 00:20:19.010]  I'm Alex Jones, your host, and this is the GCN Radio Network.
[00:20:19.010 --> 00:20:20.411]  We're on the march.
[00:20:20.411 --> 00:20:21.532]  The Empire's on the run.
[00:20:38.179 --> 00:20:40.866]  Alex Jones and the GCN Radio Network.
[00:20:44.591 --> 00:20:47.652]  Automakers in the oil industry are in a fuel fight.
[00:20:47.652 --> 00:20:50.952]  Automakers claim gasoline quality doesn't measure up.
[00:20:50.952 --> 00:20:53.333]  Is your vehicle performing like it should?
[00:20:53.333 --> 00:20:57.994]  Now there's SFR Green, performance technologies for a clean planet.
[00:20:57.994 --> 00:21:04.035]  SFR Green's Protector reduces emissions and improves fuel economy, meeting automakers' new standards.
[00:21:04.035 --> 00:21:05.555]  So do something green.
[00:21:05.555 --> 00:21:09.956]  For a special offer with free shipping, go to GreenGasAdditive.com.
[00:21:09.956 --> 00:21:13.077]  Or to locate a retailer, go to GreenGasAdditive.com.
[00:21:15.077 --> 00:21:18.019]  Are your Federal Reserve notes looking for a safe haven?
[00:21:18.019 --> 00:21:20.642]  Mine found it in precious metals.
[00:21:20.642 --> 00:21:24.465]  Not paper promises, but actual gold in my possession.
[00:21:24.465 --> 00:21:31.711]  It is liquid, it is private, it owes no one, it cannot go bankrupt, and it maintains its purchasing power.
[00:21:31.711 --> 00:21:34.293]  Find your answer at Midas Resources.
[00:21:34.293 --> 00:21:34.553]  That's 1-800-686-2237.
[00:21:34.553 --> 00:21:35.013]  The answer is at 1-800-686-2237.
[00:21:44.085 --> 00:21:49.351]  The disciples asked Jesus in Matthew 24, What shall be the signs of thy coming and the end of the world?
[00:21:49.351 --> 00:21:51.413]  You shall hear of wars and rumors of wars.
[00:21:51.413 --> 00:21:54.657]  For nation shall rise against nation, and kingdom against kingdom.
[00:21:54.657 --> 00:21:58.101]  And there shall be famines, disease, and earthquakes in many places.
[00:21:58.101 --> 00:21:59.943]  We are living in this time of Earth's history.
[00:22:00.203 --> 00:22:04.185]  Many people are trying to understand the climactic world events in light of human wisdom.
[00:22:04.185 --> 00:22:07.467]  But without the wisdom of God, this is impossible.
[00:22:07.467 --> 00:22:11.969]  2 Peter says, We have a more sure word of prophecy, and you do well if you take heed.
[00:22:11.969 --> 00:22:16.211]  But first know this, that no prophecy of the scripture is of any private interpretation.
[00:22:16.651 --> 00:22:21.294]  The Bible says, we'd like you to receive this new offer, Packet B, The Unholy Alliance.
[00:22:21.294 --> 00:22:25.877]  These materials document the global leaders, political and religious, behind the scenes.
[00:22:25.877 --> 00:22:32.081]  You will receive information regarding America in prophecy, tyrants and wars, the new world order, and much more.
[00:22:32.081 --> 00:22:34.703]  As always, these materials are shipped to you at no charge.
[00:22:34.703 --> 00:22:35.543]  Please call 1-888-211-1715.
[00:22:35.543 --> 00:22:36.884]  That's 1-888-211-1715, and ask for Packet B.
[00:22:44.167 --> 00:22:48.430]  People who use Cardivite know about the pollutants in our body and want them out.
[00:22:48.430 --> 00:22:52.013]  For over five years, Cardivite has proven itself time-tested.
[00:22:52.013 --> 00:22:55.756]  Here's Dr. Mattson, a naturopathic doctor's thoughts on Cardivite.
[00:22:55.756 --> 00:22:59.038]  In our mind, there isn't such a great big mystery to disease anymore.
[00:22:59.038 --> 00:23:04.543]  This basic tenet of yeast in the gut and metals in the liver covers at least 70-80% of the disease that we see.
[00:23:04.543 --> 00:23:05.023]  When we do our
[00:23:05.123 --> 00:23:05.763]  We're good to go.
[00:23:21.571 --> 00:23:26.073]  You'll find I think that it'll work more than just on heart problems and circulation problems.
[00:23:26.073 --> 00:23:27.614]  It'll work on other problems as well.
[00:23:27.614 --> 00:23:31.496]  For more information call 1-877-928-8822 or visit our website at www.heartdrop.com.
[00:23:31.496 --> 00:23:32.356]  That toll free number again 1-877-928-8822.
[00:23:46.667 --> 00:23:53.290]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:23:53.290 --> 00:24:01.213]  It's Alex Jones and the GCN Radio Network.
[00:24:01.213 --> 00:24:04.494]  Wow, this is a really great interview.
[00:24:04.494 --> 00:24:12.837]  I enjoyed getting the perspectives and talking to Daniel Sanjata, who again has the hit TV show,
[00:24:13.613 --> 00:24:23.196]  One of the stars, one of the most popular stars out there on the hit TV show that's on FX, Rescue Me, where he plays the part of a firefighter.
[00:24:23.196 --> 00:24:25.857]  And they're in New York, I guess, producing the TV show.
[00:24:25.857 --> 00:24:29.558]  They have a chance to talk to a lot of the firefighters in New York.
[00:24:29.558 --> 00:24:40.642]  And I had this experience when I was in New York at several different memorial services over several different anniversaries, and I've been there to cover the RNC as well.
[00:24:41.340 --> 00:24:41.721]  Yes, we are.
[00:24:55.544 --> 00:24:59.845]  Literally, we're going, oh yeah, we know, and telling us all these facts and statistics and numbers.
[00:24:59.845 --> 00:25:01.365]  Most of the cops knew my name.
[00:25:01.365 --> 00:25:03.145]  Hey, Alex, how you doing?
[00:25:03.145 --> 00:25:03.806]  Keep it up.
[00:25:03.806 --> 00:25:06.106]  And then they'd turn away and smile at us.
[00:25:06.106 --> 00:25:07.766]  I mean, it was amazing.
[00:25:07.766 --> 00:25:10.587]  That's why I'm going to go back this sixth anniversary on 9-11.
[00:25:10.587 --> 00:25:14.368]  We're just going to have spontaneous demonstrations there on the morning of 9-11.
[00:25:14.368 --> 00:25:18.448]  Hope to see you all there, and I'm sure there'll be more events as well as that develops.
[00:25:18.448 --> 00:25:20.269]  Daniel, what were we talking about before we went to break?
[00:25:20.269 --> 00:25:22.309]  There was some point, and then you got cut off by the break.
[00:25:22.867 --> 00:25:39.310]  Yeah, I was just wondering, Alex, I mean, with your intimate knowledge of the way that the media works, and the way that they try to manufacture consent-bound debate, etc., etc., how is it possible that they're marginalizing the opinions of such credible experts as, you know, Robert Bauman, Ray McGovern, and the list goes on?
[00:25:39.310 --> 00:25:43.431]  I mean, people who actually are in the know, and whose opinions should be listened to.
[00:25:43.431 --> 00:25:51.993]  Again, I said before we went to the break, I can understand them ignoring somebody like me, or marginalizing somebody like Rosie O'Donnell or Charlie Sheen, even though they shouldn't.
