[00:00:00.169 --> 00:00:02.090]  ...until 45 after.
[00:05:23.211 --> 00:05:25.474]  It's the front page of the Dallas Morning News.
[00:05:26.215 --> 00:05:29.020]  Uh, that, uh, he is going to Bilderberg.
[00:05:29.020 --> 00:05:31.945]  I wanna give you this information on the other side of your take on it.
[00:05:31.945 --> 00:05:36.013]  Looks like we've identified it as the Ritz-Carlton, ladies and gentlemen, in Istanbul.
[00:05:36.013 --> 00:05:37.135]  Jim Tucker, straight ahead.
[00:05:38.846 --> 00:05:41.527]  Do you know the truth about cancer treatments?
[00:05:41.527 --> 00:05:50.969]  Do you realize that with all presently accepted methods, you are not correctly attacking the cancer, and you are mostly fighting to survive the treatment?
[00:05:50.969 --> 00:05:58.071]  Do you realize that mutilating surgery, burning, and the poisoning of your entire system are totally unnecessary?
[00:05:58.797 --> 00:06:04.782]  But now, it's cancer's turn to die with LaceMedInc's patented methodology.
[00:06:04.782 --> 00:06:16.371]  Without cutting, bleeding, drugs, or damaging radiation, we can destroy skin cancer and breast tumors of any size without adverse side effects at our physician's office.
[00:06:16.371 --> 00:06:18.953]  Laser technology at its best.
[00:06:18.953 --> 00:06:20.574]  For more information, call 702-953-LACE.
[00:06:22.856 --> 00:06:25.139]  0267 or visit www.lasemedinc.com call 702 953 0267
[00:06:37.691 --> 00:06:41.614]  When making important financial decisions, you should always know the facts.
[00:06:41.614 --> 00:06:45.416]  That's why Midas Resources is willing to pay you to read the facts.
[00:06:45.416 --> 00:06:54.602]  Midas Resources, a team of hand-picked financial specialists with decades of financial experience who are ready to provide you with state-of-the-art, up-to-date financial services.
[00:06:54.602 --> 00:06:58.844]  Midas Resources offers a host of services and stands behind their products.
[00:06:58.844 --> 00:07:01.766]  In fact, if you call and order their free Midas Report, Midas
[00:07:01.886 --> 00:07:02.907]  We're good to go.
[00:07:37.893 --> 00:07:38.813]  Terrorism.
[00:07:38.813 --> 00:07:39.653]  Terrorism.
[00:07:39.653 --> 00:07:45.975]  Chemical attacks, dirty bombs, fallout, biological attack, anthrax, and to top it all off, duct tape and plastic.
[00:07:45.975 --> 00:07:47.815]  Alarming words for our time.
[00:07:47.815 --> 00:07:50.676]  But how do you protect your family during such a crisis?
[00:07:50.676 --> 00:08:05.279]  The video sheltering in place surviving acts of terrorism from biological, chemical, and radioactive fallout was developed by Wayne LeBaron, a health physicist who has served as a specialist in environmental health, communicable diseases, and has worked as a nuclear specialist for the U.S.
[00:08:05.279 --> 00:08:05.779]  government.
[00:08:05.779 --> 00:08:07.499]  Anyone can follow the simple instructions.
[00:08:07.739 --> 00:08:14.004]  Yes, it's presented by a housewife as they walk you step-by-step through the process of preparing your home as a shelter.
[00:08:14.004 --> 00:08:18.767]  If you're not the type who waits till it's too late, then you need the video Sheltering in Place.
[00:08:18.767 --> 00:08:24.431]  Get the critical information you need now for only $29 plus shipping by calling New Millennium at 888-803-4438.
[00:08:24.431 --> 00:08:26.233]  And tell them Alex Jones sent you.
[00:08:26.233 --> 00:08:26.513]  That's 888-803-4438.
[00:08:26.513 --> 00:08:28.174]  Or order on the web at murkywater.com.
[00:08:37.961 --> 00:08:39.241]  I'm Dr. Bill Deagle, M.D.
[00:08:39.241 --> 00:08:41.662]  of the Nutramedical Report here on Genesis.
[00:08:41.662 --> 00:08:44.683]  Allicin, a natural antibiotic from Allomax Nutraceuticals U.S.
[00:08:44.683 --> 00:08:45.464]  is a real thing.
[00:08:45.464 --> 00:08:52.446]  This amazing molecule is a stabilized antimicrobial antipathogenic killer from fresh, never before available garlic.
[00:08:52.446 --> 00:09:03.350]  Allicin molecule is biologically active against all bacterial pathogens, viruses, fungi, parasites, TB, and it kills fleshy bacteria, MRSA, acinetobacter infections that ravage our everyday health.
[00:09:03.490 --> 00:09:03.971]  We're good to go.
[00:09:24.713 --> 00:09:28.076]  Secure online ordering is available at Nutramedical.com or call 888-212-8871.
[00:09:28.076 --> 00:09:31.579]  That number again, 888-212-8871 for the most powerful natural antimicrobial available.
[00:09:55.337 --> 00:09:59.020]  Alright, we go to the once Christian city of Constantinople.
[00:09:59.020 --> 00:10:00.982]  Now, the Vanta to Istanbul, right there in Turkey.
[00:10:00.982 --> 00:10:01.942]  He is high atop.
[00:10:13.835 --> 00:10:20.257]  The Orient Hotel, and in the distance is the hotel where I was just talking to Jim during the break, there's no doubt.
[00:10:20.257 --> 00:10:24.498]  It is the Ritz-Carlton, not the Classis, outside the city.
[00:10:24.498 --> 00:10:30.399]  He said that there's phalanxes of troops and police and the black sedans pouring in, his words, trundling in.
[00:10:30.399 --> 00:10:36.100]  Jim, continue to tell us what you saw today when you were out at the Ritz Hotel.
[00:10:36.100 --> 00:10:40.561]  Well, that was about two o'clock this morning.
[00:10:40.561 --> 00:10:42.122]  We were there for about two or three hours.
[00:10:44.747 --> 00:10:51.752]  Cops every 30 feet all the way around the little mountain that the Ritz sits upon.
[00:10:51.752 --> 00:10:57.537]  And then at the main gate, there are two large platoons of armed cops.
[00:10:57.537 --> 00:11:04.522]  And we teased them a little bit, you know, take good care of those Bilderberg boys.
[00:11:04.522 --> 00:11:06.224]  They think they're important.
[00:11:06.224 --> 00:11:08.205]  And you give that a funny little grin.
[00:11:08.205 --> 00:11:13.589]  Then the TV crew identified my two cops.
[00:11:15.539 --> 00:11:29.665]  Uh, the ones who had been following us from the, uh, uh, this hotel to the scene of the crime, and then followed us later to the, some kind of a rally, the anti-Bilderberg rally they had at the downtown square.
[00:11:29.665 --> 00:11:33.446]  Well, those two cops are probably just good guys doing their job.
[00:11:33.446 --> 00:11:37.408]  They probably, uh, married the girl and feed their children.
[00:11:37.408 --> 00:11:39.748]  Uh, so they're just doing their job.
[00:11:39.748 --> 00:11:40.969]  I'm not mad at those kids at all.
[00:11:42.080 --> 00:11:44.863]  Uh, but it helps identify the scene of the crime.
[00:11:44.863 --> 00:11:50.107]  What happened when you went over to the car with the goons that were following you?
[00:11:50.107 --> 00:11:53.130]  Oh, uh, we talked to them on the, uh, sidewalk.
[00:11:53.130 --> 00:11:58.554]  I just, uh, told them that they'd be going to the rally after this and they're welcome to join us.
[00:11:58.554 --> 00:12:01.317]  And he got that little silly grin.
[00:12:01.317 --> 00:12:07.482]  Uh, then, uh, some of the other guys we met back here in the Orient about four o'clock
[00:12:08.514 --> 00:12:09.054]  I don't know.
[00:12:09.054 --> 00:12:09.315]  I don't know.
[00:12:37.097 --> 00:12:44.021]  Rockin' Germany, the Dorit Hotel was sealed off because they were having a meeting of physicians.
[00:12:44.021 --> 00:12:45.642]  It was a medical conference.
[00:12:45.642 --> 00:12:53.126]  They even had a funny photograph of alleged physicians meeting.
[00:12:53.126 --> 00:12:54.626]  The whole thing was a lie.
[00:12:54.626 --> 00:13:04.712]  We explained it to the girl from the local newspaper the next day, gently as possible, pointing out that we know that she was being honest, and they told her that
[00:13:05.533 --> 00:13:07.816]  She was too intimidated to correct the story.
[00:13:25.056 --> 00:13:30.023]  Now Jim, my governor, Rick Perry, it's in the front of the Dallas Morning News.
[00:13:30.023 --> 00:13:32.206]  I've never seen it in the Dallas Morning News.
[00:13:32.206 --> 00:13:37.974]  It is really starting to become more public thanks to you and many other tireless fighters and journalists.
[00:13:38.746 --> 00:13:54.689]  That have been exposing this, but the headline reads, Texas Governor Rick Perry to attend Bilderberg, and his gubernatorial spokesman said that he is paying for it out of campaign funds from Texans for Rick Perry Committee.
[00:13:54.689 --> 00:14:00.510]  This is the guy handing our state roads over to foreign Spanish-owned companies.
[00:14:00.510 --> 00:14:07.732]  This is the guy pushing for blanket open borders and total amnesty, which we know is a key part of the North American Union, which is the big project right
[00:14:07.912 --> 00:14:09.052]  Right now the Bilderberg Group.
[00:14:09.052 --> 00:14:14.895]  What does it mean to have the governor of Texas in the Dallas Morning News just admitting he's going to Bilderberg Group?
[00:14:14.895 --> 00:14:17.196]  And that's a violation of the Logan Act.
[00:14:17.196 --> 00:14:19.397]  Can you tell folks about that?
[00:14:19.397 --> 00:14:25.079]  Well, yes, it means he's a potential president.
[00:14:25.079 --> 00:14:35.784]  Even as the obscure governor of Arkansas, Bill Clinton, lost his virginity at the Bilderberg meeting in Baden-Baden, Germany in 1991, and he's elected president the following year.
[00:14:36.713 --> 00:14:42.936]  Now, if he goes nowhere in the run for the White House in the years ahead, they'll drop him like an old shoe.
[00:14:42.936 --> 00:14:45.278]  They do that often.
[00:14:45.278 --> 00:14:53.602]  But, uh, officially, uh, Bildenberg considers Governor Rick Perry a potential President of the United States.
[00:14:53.602 --> 00:15:02.027]  Uh, yes, there's a, uh, violation of the Logan Act, uh, for which, uh, the White- Bill Clinton's White House was fined $300,000, which means the taxpayers paid it.
[00:15:04.873 --> 00:15:17.465]  But Judge Royce Lambert chewed out First Lady Hillary Clinton and in very angry tones pointed out it's illegal for federal officials to meet private citizens behind closed and locked doors.
[00:15:17.465 --> 00:15:20.067]  And by the way, we gotta break, Jim.
[00:15:20.067 --> 00:15:21.648]  Final segment with you on the other side.
[00:15:21.648 --> 00:15:23.550]  Let's come back with the Logan Act.
[00:15:23.550 --> 00:15:28.054]  Stay with us.
[00:15:28.054 --> 00:15:29.455]  We're on the march.
[00:15:29.455 --> 00:15:30.937]  The empire's on the run.
[00:15:31.966 --> 00:15:38.529]  Alex Jones and the GCN Radio Network.
[00:15:38.529 --> 00:15:41.811]  Hi, this is Brother Michael Diamond from Most Holy Family Monastery.
[00:15:41.811 --> 00:15:44.712]  We are now offering a critically important $10 package.
[00:15:44.712 --> 00:15:57.338]  The package contains 3 DVDs with 10 different programs, our new 658-page book called The Truth About What Really Happened to the Catholic Church After Vatican II, which is the most comprehensive book ever produced on what has happened to the Catholic Church in the last 50 years.
[00:15:57.998 --> 00:16:01.599]  You also get another 335 page book and other material.
[00:16:01.599 --> 00:16:04.560]  Order now at our website mostholyfamilymonastery.com.
[00:16:04.560 --> 00:16:08.121]  The last word monastery spelled m-o-n-a-s-t-e-r-y.
[00:16:08.121 --> 00:16:10.661]  At the website you can watch all of our videos for free.
[00:16:10.661 --> 00:16:14.883]  Read sample chapters of the new book and other articles or call us 24 hours a day at 1-800-275-1126.
[00:16:14.883 --> 00:16:15.143]  That's 1-800-275-1126.
[00:16:20.064 --> 00:16:26.271]  Well, you can mail in your order to us at Most Holy Family Monastery, 4425 Schneider Road, Fillmore, New York, 14735.
[00:16:26.271 --> 00:16:34.099]  The price of the whole package is $10, which includes media mail shipping, $15 for UPS ground or $30 outside the U.S.
[00:16:34.099 --> 00:16:36.222]  Mostholyfamilymonastery.com.
[00:16:37.822 --> 00:16:41.663]  Are you looking for a one-stop shop to find all your favorite books and videos?
[00:16:41.663 --> 00:16:42.824]  Look no further!
[00:16:42.824 --> 00:16:45.825]  Northern Voice Bookstore has everything you need.
[00:16:45.825 --> 00:16:54.268]  Hundreds of titles, from self-defense, survival, and financial freedom, to history, politics, conspiracy, and everything you need to know about the New World Order.
[00:16:54.488 --> 00:17:08.822]  You can order everything you need on the web 24 hours a day at NorthernVoiceBookstore.com or send $2 for our latest catalog to Northern Voice Bookstore, Post Office Box 281, Wildwood, PA 15091.
[00:17:08.822 --> 00:17:11.905]  Northern Voice Bookstore offers a broad range of different perspectives
[00:17:12.085 --> 00:17:18.830]  And believe strongly that the American people need alternative sources of information in order to understand the society they live in today.
[00:17:18.830 --> 00:17:22.072]  You won't find a better selection of books or videos anywhere.
[00:17:22.072 --> 00:17:25.194]  So make Northern Voice Bookstore your bookstore!
[00:17:25.194 --> 00:17:32.779]  Visit us online at northernvoicebookstore.com or send two dollars for our latest catalog to Northern Voice Bookstore P.O.
[00:17:32.779 --> 00:17:33.380]  Box 281 Wildwood PA 15091.
[00:17:38.616 --> 00:17:40.397]  This is Elizabeth Border.
[00:17:40.397 --> 00:17:41.557]  News alert!
[00:17:41.557 --> 00:17:46.219]  Twice a month you can now get the Divided Kingdom's brand new newsletter.
[00:17:46.219 --> 00:17:47.079]  Concise?
[00:17:47.079 --> 00:17:48.059]  Hard-hitting?
[00:17:48.059 --> 00:17:51.341]  The first issue discusses two vital questions.
[00:17:51.341 --> 00:17:53.061]  War in Iran?
[00:17:53.061 --> 00:17:54.702]  A coming One World Church?
[00:17:55.482 --> 00:18:01.287]  In the first issue is included a pungent discussion of NWO numerology.
[00:18:01.287 --> 00:18:11.056]  For a free sample copy of the Divided Kingdom dossier, write to Post Office Box 8, Bethlehem, Maryland, 21609.
[00:18:11.056 --> 00:18:17.302]  A yearly subscription is only $50 for a newsletter that comes not once, but twice every month.
[00:18:17.842 --> 00:18:23.444]  Get the spiritual support you need right now for your free sample copy to P.O.
[00:18:23.444 --> 00:18:27.246]  Box 8, Bethlehem, Maryland, 21609.
[00:18:27.246 --> 00:18:32.848]  Once again, for your free copy of the Divided Kingdom Dossier newsletter, write to P.O.
[00:18:32.848 --> 00:18:34.548]  Box 8, Bethlehem, Maryland, 21609.
[00:18:52.663 --> 00:19:01.452]  Ladies and gentlemen, from Istanbul, high atop the Orient Hotel, in the distance, the
[00:19:02.936 --> 00:19:06.398]  Rich Carlton, clearly where Bilderberg is being held.
[00:19:06.398 --> 00:19:10.240]  Jim is always very conservative because of the disinfo he's seen him put out in the past.
[00:19:10.240 --> 00:19:16.843]  But there are the phalanxes of military, police, guards, and black sedans going in and out.
[00:19:16.843 --> 00:19:20.445]  And I have never seen them just openly seeking out press.
[00:19:20.445 --> 00:19:24.547]  Rick Perry people contacted the Dallas Morning News.
[00:19:24.547 --> 00:19:26.328]  They sought out the interview.
[00:19:26.328 --> 00:19:27.769]  They released the press release.
[00:19:28.189 --> 00:19:29.130]  Okay, the Logan Act makes it
[00:19:57.074 --> 00:19:59.636]  Federal crime for any U.S.
[00:19:59.636 --> 00:20:06.241]  official to hold a secret meeting with private citizens to make public policy.
[00:20:06.241 --> 00:20:13.766]  Now, obviously, the federal officials can have a private meeting when they're planning a war.
[00:20:13.766 --> 00:20:15.107]  Some things do have to be secret.
[00:20:15.107 --> 00:20:16.508]  We understand that.
[00:20:16.508 --> 00:20:22.152]  But you cannot meet behind closed and locked doors with private citizens to make policies for crime.
[00:20:23.010 --> 00:20:36.060]  And Hillary Clinton did exactly that when she was first lady, or first alleged lady, and was solving all the health care problems, the universal health care plan and all that.
[00:20:36.060 --> 00:20:39.422]  She met so-called experts behind closed doors.
[00:20:39.422 --> 00:20:45.707]  The White House was fined $300,000 for that crime.
[00:20:45.707 --> 00:20:52.252]  Taxpayers paid it, of course, but Judge Royce Lambert was very strong in his denunciation
[00:20:53.090 --> 00:20:57.491]  of Hillary Clinton violating the Logan Act.
[00:20:57.491 --> 00:21:08.975]  I stress that it was a criminal act and, well, just chewed the White House out just wonderfully, which stresses the fact that the U.S.
[00:21:08.975 --> 00:21:17.637]  officials, I don't know about the laws of other countries in Europe, but the officials of the U.S.
[00:21:17.637 --> 00:21:22.159]  government attending this meeting are committing a crime and they have
[00:21:23.146 --> 00:21:27.387]  Fifty years for these meetings.
[00:21:27.387 --> 00:21:37.148]  Now, Jim Tucker, what does it mean then to have Governor Rick Perry openly announcing that he's going to the Bilderberg Group?
[00:21:37.148 --> 00:21:41.069]  He's also claiming that they're not going to be setting policy in there preemptively.
[00:21:41.069 --> 00:21:52.351]  It looks like he's trying to claim it's not a violation of the Logan Act, but we have Bilderberg Minutes, we have Bilderberg Diaries, we have memoirs written by Bilderberg members that they are indeed
[00:21:53.211 --> 00:21:58.213]  Literally founding the brainchild of the EU was there.
[00:21:58.213 --> 00:22:03.895]  We know that they made the decision to attack Iraq in 2003, not 2002.
[00:22:03.895 --> 00:22:05.995]  We know they made the decision to drop the Berlin Wall.
[00:22:05.995 --> 00:22:07.476]  You learned of that a year before.
[00:22:07.476 --> 00:22:10.137]  We know they're setting policies so.
[00:22:10.137 --> 00:22:16.379]  Is Governor Rick Perry of Texas, Bush's minion, his aide-de-camp, is he violating the Logan Act?
[00:22:18.323 --> 00:22:23.667]  Well, he's a state official, and a little bit actually applies to federal officials.
[00:22:23.667 --> 00:22:34.674]  Nevertheless, it's most unbecoming, and I suspect the gray-haired old boys, the longtime Bilderberg luminaries, will chew him out for getting excited and telling the newspapers.
[00:22:34.674 --> 00:22:38.437]  Maybe they should stress to him more and more how secret it's supposed to be.
[00:22:38.437 --> 00:22:41.779]  You're not supposed to admit that you're going.
[00:22:41.779 --> 00:22:47.803]  You're not supposed to tell anybody what happened, what transpired behind those locked and guarded doors.
[00:22:52.663 --> 00:23:03.651]  Well, Jim, not to correct you, but I'm actually putting the Logan Act in my new film, Endgame, that you, of course, feature in.
[00:23:03.651 --> 00:23:07.894]  I'm told they're making another film about Bilderberg right now, and they're videotaping this.
[00:23:07.894 --> 00:23:10.576]  But in Endgame, we actually have the new Logan Act.
[00:23:10.576 --> 00:23:12.277]  I'm going to pull it up in just a minute here.
[00:23:12.657 --> 00:23:13.478]  I'm glad to hear that.
[00:23:13.478 --> 00:23:14.238]  I didn't know.
[00:23:14.238 --> 00:23:17.880]  They made the Logan Act apply to state level and local levels, which is good.
[00:23:41.741 --> 00:23:54.168]  The original Logan Act applied only to federal officials, but now they've extended it to include state and county and city officials, I suppose.
[00:23:54.168 --> 00:23:56.790]  So I'm glad to learn that.
[00:23:56.790 --> 00:23:58.951]  Young kids like me learn things every day.
[00:23:58.951 --> 00:24:00.412]  Hey, I learn stuff every day.
[00:24:00.412 --> 00:24:01.333]  Here it is.
[00:24:01.333 --> 00:24:03.454]  This is Order Code RL33265.
[00:24:03.454 --> 00:24:04.334]  This is from Cornell Law.
[00:24:07.589 --> 00:24:14.351]  Conducting foreign relations without authority.
[00:24:14.351 --> 00:24:16.232]  The Logan Act.
[00:24:16.232 --> 00:24:17.852]  February 1st, 2006.
[00:24:17.852 --> 00:24:19.433]  It was expanded.
[00:24:19.433 --> 00:24:24.194]  And let me go ahead now and read Logan Act summary.
[00:24:24.194 --> 00:24:25.855]  Any citizen of the United States
[00:24:26.508 --> 00:24:49.789]  Whether he may be who without authority of the United States directly or indirectly commences or carries out any correspondence or intercourse with any foreign government or any officer of agent thereof in relation to any disputes or controversies within the United States or to defeat measures of the United States shall be fined under this title or imprisoned not more than three years or both
[00:24:50.129 --> 00:25:03.900]  The section shall not abridge the right of free citizen to apply himself or his agent to any foreign government or agents thereof for redress of any injury which he may have sustained from such government or any of its agents or subjects.
[00:25:03.900 --> 00:25:12.547]  The Logan Act was intended to prohibit United States citizens without authority from interfering in relations between the United States and foreign governments.
[00:25:12.547 --> 00:25:16.610]  And it goes on to say they appear to have been and then it expands on from there.
[00:25:16.610 --> 00:25:17.391]  Go ahead, Jim.
[00:25:18.436 --> 00:25:20.557]  Well, that's very good education.
[00:25:20.557 --> 00:25:21.718]  I'm glad they did expand.
[00:25:21.718 --> 00:25:30.283]  You say that in 2006, a year ago, they did that update just before the Democrats got in Congress.
[00:25:30.283 --> 00:25:43.772]  Incidentally, as you know, the congressional leaders in the House were on something of a European tour, and one of the local newspapers said that
[00:25:46.211 --> 00:25:57.476]  From Ankara, they're coming to this city to meet with economic leaders from Western Europe.
[00:25:57.476 --> 00:26:10.762]  It could only mean Bilderberg, which means Nancy Pelosi and the others who are Democratic leaders in the House who are taking this tour are also at Bilderberg this year.
[00:26:10.762 --> 00:26:11.163]  Amazing!
[00:26:11.163 --> 00:26:13.904]  There's no other such meeting in Istanbul except for Bilderberg.
[00:26:16.073 --> 00:26:21.876]  Now, Jim, on other facets, any other key points, anything else we need to know?
[00:26:21.876 --> 00:26:23.878]  Were you harassed at the airport?
[00:26:23.878 --> 00:26:25.078]  Did anything else happen to you?
[00:26:25.078 --> 00:26:37.045]  The airport guys made me get a visa, which took a while, kind of irritated me, because once I get off the airplane, I'm ready for a cigarette.
[00:26:39.700 --> 00:26:43.983]  And, uh, they took me down some other window and said it cost, uh, $20.
[00:26:43.983 --> 00:26:48.086]  I started giving them leave notes and they wanted $20 American dollars instead.
[00:26:48.086 --> 00:26:51.148]  Uh, that was, I felt harassed.
[00:26:51.148 --> 00:26:56.132]  I suppose that may be routine, uh, except for the cops following.
[00:26:56.132 --> 00:26:57.413]  That was not harassment.
[00:26:57.413 --> 00:26:59.715]  They have as much right to be on the same sidewalk as I do.
[00:26:59.715 --> 00:27:03.818]  Uh, they were not threatening in any way physically or otherwise.
[00:27:03.818 --> 00:27:05.539]  What do these chaps look like?
[00:27:07.650 --> 00:27:18.912]  A middle-aged woman, sort of reddish-haired, wearing a sports shirt, not looking like a conspicuous black cop, but more like any man on the street.
[00:27:18.912 --> 00:27:21.513]  So they're in plain clothes?
[00:27:21.513 --> 00:27:27.454]  Plain clothes, but a black sports shirt and slacks, not bin-stripe suits.
[00:27:27.454 --> 00:27:31.274]  And it was the camera crew you're with that noticed this?
[00:27:31.274 --> 00:27:35.115]  Yes, because they keep the microphone under my chin.
[00:27:35.899 --> 00:27:39.982]  And keep me staring into the camera so they can look around.
[00:27:39.982 --> 00:27:40.523]  I can't.
[00:27:40.523 --> 00:27:48.309]  But they were right when they said that car, they're getting in that car and they're going to follow us to the scene of the crime, which they did.
[00:27:48.309 --> 00:27:54.914]  And that's when we had our pleasant little chat on the sidewalk.
[00:27:54.914 --> 00:28:00.859]  Now, Jim Tucker, generally, I guess they start arriving today and tomorrow.
[00:28:00.859 --> 00:28:02.240]  When does it officially begin?
[00:28:02.240 --> 00:28:03.361]  Has it already officially begun?
[00:28:05.091 --> 00:28:07.132]  They'll get to work at 8 o'clock tomorrow morning.
[00:28:07.132 --> 00:28:10.373]  They'll have a communal breakfast at about 7.
[00:28:10.373 --> 00:28:11.533]  Those kids do work hard.
[00:28:11.533 --> 00:28:21.616]  They'll start their first meeting at 8 o'clock if they follow the normal pattern and work at it until noon, lunch break, and then a drink break, and then back in the afternoon.
[00:28:21.616 --> 00:28:25.417]  Typically, Saturday mornings are reserved for golf.
[00:28:25.417 --> 00:28:29.619]  I understand they don't have a golf course at the Carlton, I was told.
[00:28:29.619 --> 00:28:31.799]  But those old fools don't really play golf anymore.
[00:28:31.799 --> 00:28:34.220]  Not many of them because they'd have to walk five steps.
[00:28:34.947 --> 00:28:36.948]  Well, we're developing sources and I'm quite hopeful.
[00:29:01.494 --> 00:29:08.278]  The new type of source appeared about a first time a couple years ago in last year in Ottawa when you were with me.
[00:29:08.278 --> 00:29:12.520]  This MiracleAgent website and all that jazz.
[00:29:12.520 --> 00:29:24.167]  I get a call at the hotel asking if they'll help me and could we name a site where we could meet alone and that gives me a fill-in.
[00:29:26.189 --> 00:29:28.150]  And of course, we don't identify them.
[00:29:28.150 --> 00:29:30.912]  I always say, don't tell me your name, because they put me on the rack.
[00:29:30.912 --> 00:29:34.594]  I keep telling them, well, at least I can't use your name.
[00:29:34.594 --> 00:29:44.541]  And those sources, like the other sources from earlier years, history is always confirmed by what they told us and what we reported.
[00:29:45.229 --> 00:29:57.079]  So, your sources inside, time and time again, that have gotten you documents, minutes, that have gotten you the agenda, so many times that Bilderberg later has admitted is accurate, it's turned out to be good info.
