[00:00:00.289 --> 00:00:01.570]  GCN Radio Network.
[00:02:26.190 --> 00:02:28.272]  That's from Bloomberg Financial.
[00:02:28.372 --> 00:02:30.953]  Also, world stocks slide on fresh U.S.
[00:02:31.534 --> 00:02:32.514]  credit concerns.
[00:02:32.534 --> 00:02:37.357]  Another headline, stocks plunge on rising credit anxiety.
[00:02:37.397 --> 00:02:39.058]  Really two ways for saying the same thing.
[00:02:40.413 --> 00:02:43.476]  Modern living to blame for cancer epidemic.
[00:02:43.796 --> 00:02:45.918]  Also all the loving mercury in your shots.
[00:02:46.598 --> 00:02:50.882]  And all those delicious little cancer viruses they lovingly dole out.
[00:02:50.902 --> 00:02:52.143]  I'm sure that has nothing to do with it.
[00:02:54.885 --> 00:02:59.689]  Also, potential flaw is found in design of fallen bridge.
[00:03:01.550 --> 00:03:05.373]  Now I thought it was because we didn't hand all of our roads over to foreign corporations.
[00:03:05.894 --> 00:03:07.295]  Because I've been hearing since Saturday.
[00:03:08.081 --> 00:03:15.506]  We predicted, it wasn't hard to predict, they'd be saying it was because we hadn't handed them all over to foreign multinationals, but they're still telling us that's the answer.
[00:03:16.927 --> 00:03:27.175]  If your child has a cold, just mail some money to the Bank of England or maybe hand over your backyard to a foreign company and it'll fix the cold.
[00:03:28.395 --> 00:03:33.279]  Same thing with the bridge, but a lot of evidence and even some local witnesses said they saw a big plume of smoke and
[00:03:33.991 --> 00:03:34.732]  An explosion.
[00:03:34.752 --> 00:03:39.075]  Our witness is saying, and I haven't seen video of it actually happening, seen video of it collapsing.
[00:03:42.318 --> 00:03:44.099]  But some are saying that the bridge was blown up.
[00:03:44.159 --> 00:03:44.860]  I mean, I don't know.
[00:03:45.501 --> 00:03:50.325]  They were doing work on it and they were saying the bridge was already in danger.
[00:03:50.425 --> 00:03:51.886]  So I just don't know.
[00:03:51.926 --> 00:03:57.430]  But what we do know is they're using it to push for handing it over to foreign corporations and foreign companies.
[00:03:58.071 --> 00:04:01.694]  But now it turns out potential flaw is found in the design of fallen bridge.
[00:04:03.032 --> 00:04:08.735]  Well, they're saying 70,000 plus bridges and trestles are on the verge of collapsing.
[00:04:08.755 --> 00:04:10.956]  And I've told you, every week we see something collapse.
[00:04:10.996 --> 00:04:18.039]  I mean, it's just usually not some gigantic six-lane highway bridge over the Mississippi River with a bunch of commuters on it.
[00:04:19.059 --> 00:04:20.000]  So we'll lug over that.
[00:04:20.060 --> 00:04:25.762]  Also, homeowner arrested after the burglar he confronted falls 30 feet.
[00:04:26.683 --> 00:04:28.884]  Now, again, I've become desensitized to this.
[00:04:30.007 --> 00:04:32.388]  Every few weeks I see an article in England.
[00:04:32.808 --> 00:04:34.269]  Now they're starting this year though, too.
[00:04:35.610 --> 00:04:40.132]  Where somebody can come in and be raping your wife and you stab them with a butcher knife.
[00:04:41.252 --> 00:04:44.613]  They get your house and you go to prison.
[00:04:45.434 --> 00:04:46.174]  Well, it doesn't matter.
[00:04:46.734 --> 00:04:50.396]  Even if I live in England, you come in my house, I'm going to kill you with my bare hands.
[00:04:50.416 --> 00:04:53.517]  You can't have guns over there, but I will kill you with my bare hands.
[00:04:53.577 --> 00:04:54.598]  I will tear your head off.
[00:04:55.458 --> 00:04:56.879]  We'll be right back and talk about that, too.
[00:05:06.175 --> 00:05:07.996]  It's here, after a year in production.
[00:05:08.336 --> 00:05:12.499]  Hi, my name's Don Whiskin, and for over seven years I've been telling people about Cardivite.
[00:05:12.799 --> 00:05:16.361]  Here's Dr. John Mattson, a naturopathic doctor, and his views on Cardivite.
[00:05:16.801 --> 00:05:21.845]  I would like to thank you, Don, for making my job so much easier, because your products just make it so simple, right?
[00:05:21.865 --> 00:05:27.408]  To fool around with a lot of exotic things that don't work, we can just put them on Cardivite and things start to work almost right away.
[00:05:27.668 --> 00:05:35.853]  I've had dozens and dozens of patients with heart problems who have corrected them, and what it's doing, there's so much garlic in there that has a yeast-killing effect.
[00:05:36.033 --> 00:05:36.413]  Thank you!
[00:05:55.307 --> 00:05:56.248]  What more can you ask for?
[00:06:07.686 --> 00:06:12.289]  The Berkey Security Pack is your one-stop solution for unexpected emergencies.
[00:06:12.490 --> 00:06:16.933]  It provides you with purified water, light, power, and communications ability.
[00:06:17.113 --> 00:06:31.143]  The Security Pack includes a Berkey Light Water Purifier, an LED Base, two Berkey Sport Filtration Bottles, the Berkey Battery Adapter, the Berkey MP Solar Charger, as well as a backup set of two Black Berkey Purification Elements.
[00:06:31.363 --> 00:06:50.570]  The Berkey Security Pack is important every day and a must during emergencies because it provides purified water, long-term low-energy lighting, backup battery power for your Berkey LEDs, free long-term solar power for communications devices such as radios, walkie-talkies, and cell phones, as well as power for small applications.
[00:06:50.770 --> 00:06:54.392]  Get the one-stop solution for your emergency and everyday needs.
[00:06:54.532 --> 00:06:57.213]  The Berkey Security Pack, a retail value of $518 for only $399.
[00:07:00.054 --> 00:07:03.755]  By calling New Millennium at 888-803-4438.
[00:07:04.396 --> 00:07:05.856]  Not yet available in Iowa.
[00:07:07.117 --> 00:07:15.600]  Did you know that we ingest toxins and harsh chemicals every day from the foods and alcohol we consume, the water we drink, and the OTCs and prescription medications we take?
[00:07:15.860 --> 00:07:22.042]  Thankfully, our liver neutralizes the effects of these toxins and eliminates them from our bodies before they can do too much damage.
[00:07:22.342 --> 00:07:30.024]  The fact is the liver performs over 500 vital functions in the body, from aiding digestion to removing toxins and maintaining good health.
[00:07:30.304 --> 00:07:40.546]  So why not give your liver the help it needs with LIV52, the world's best-selling all-natural liver support formula prescribed by more than 200,000 doctors in over 76 countries.
[00:07:40.926 --> 00:07:43.727]  It's backed by more than 300 clinical trials and studies.
[00:07:43.947 --> 00:07:46.687]  LIV52 is the most researched herbal formula for the liver.
[00:07:46.907 --> 00:07:49.248]  So if you want to detoxify and protect the liver,
[00:07:49.628 --> 00:07:50.869]  Live52 is for you.
[00:07:51.069 --> 00:07:54.610]  Live52 delivers a broad range of health benefits for everyone.
[00:07:54.690 --> 00:07:57.231]  To order Live52, visit researchcurves.com or call 1-800-973-1482.
[00:07:57.251 --> 00:07:57.951]  That's researchcurves.com.
[00:08:07.282 --> 00:08:11.485]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:08:12.146 --> 00:08:12.947]  You want answers?
[00:08:13.707 --> 00:08:15.609]  Well, so does he.
[00:08:15.629 --> 00:08:18.911]  He's Alex Jones on the GCN Radio Network.
[00:08:19.452 --> 00:08:23.555]  And now, live from Austin, Texas, Alex Jones.
[00:08:34.843 --> 00:08:39.807]  We are now into this first hour of transmission, 9th day of August, 2007.
[00:08:40.567 --> 00:09:00.904]  You know, before I get into the slow but deliberate slide of the world economy into the jaws of the international banking cartel and the fact that, what, in now at least 15 states, whites are the minority but will still be called the majority and treated as such.
[00:09:02.555 --> 00:09:04.937]  Foreigners are now the majority in at least six states.
[00:09:06.258 --> 00:09:07.579]  All part of the globalist plan.
[00:09:08.940 --> 00:09:14.003]  Before I get into all of that, let's just have some fun.
[00:09:16.045 --> 00:09:21.208]  The video of this is up on prisonplanet.com and it's interesting for several different reasons.
[00:09:21.248 --> 00:09:29.134]  A, video technology has gotten so inexpensive, computing power has gotten so
[00:09:30.479 --> 00:09:46.563]  Inexpensive and there's such a large cadre of people who are self-taught now and there's so many programs available that photoshopping and faking video and manipulating video to where it's very hard to tell it's fake is becoming more and more commonplace.
[00:09:49.023 --> 00:09:52.104]  For those that have seen The Running Man back in the mid-80s,
[00:09:54.258 --> 00:09:59.539]  Based on a science fiction novel written in the 60s, you have fake newscasts, fake video.
[00:09:59.579 --> 00:10:09.821]  Well, by the time that film was made, they indeed had that technology where it was almost indistinguishable to the human eye, and now it is indistinguishable to the human eye.
[00:10:10.601 --> 00:10:12.761]  And the government is creating fake newscasts.
[00:10:12.781 --> 00:10:15.002]  They are creating fake video.
[00:10:16.742 --> 00:10:19.982]  Now, they always do it under the auspices of a test or a drill.
[00:10:22.163 --> 00:10:23.043]  A test or a drill.
[00:10:24.714 --> 00:10:49.095]  I remember during the Kosovo attack that I was watching CNN, I'll never forget, and I saw this two separate times when I watched more TV back then, and they said simulation, computer simulation, was very small in the corner of the screen, and it showed a computer-generated Abrams tank driving around in villagers, and it was so crisp
[00:10:49.870 --> 00:10:57.432]  That I couldn't tell the difference, though I then saw them air it again an hour later and noticed that the mud coming out from the treads looked a little pixelated.
[00:10:58.072 --> 00:11:03.193]  I called CNN because back then they had their newsroom number public, and I said, so what is that?
[00:11:03.213 --> 00:11:04.733]  And they said, let me pass you on to somebody.
[00:11:05.393 --> 00:11:06.674]  CNN Center in Atlanta.
[00:11:08.534 --> 00:11:13.155]  And they admitted that, oh yeah, we're running some video simulations.
[00:11:16.154 --> 00:11:24.513]  Now they show simulations all the time where on purpose it looks computer generated and boxy and looks like some type of three dimensional model.
[00:11:27.401 --> 00:11:36.305]  Now, you know about the, I kept saying 1.6, that was one purchase done in 2003-2004, so I just tend to rattle off that number.
[00:11:36.925 --> 00:11:49.050]  Actually, that year it was over $2 billion, and total, from the numbers we were able to get publicly, and most of this is still secret, it's over $6 billion domestically in fake news.
[00:11:49.330 --> 00:11:50.491]  And I don't just mean the fake
[00:11:51.093 --> 00:11:55.915]  News packages where they didn't say it was government produced, that they actually paid local TV stations to air.
[00:11:56.415 --> 00:11:58.476]  The disinfo is that the stations didn't know.
[00:11:58.496 --> 00:12:01.197]  And they just took money to air something they thought was real.
[00:12:01.317 --> 00:12:01.957]  No, they knew.
[00:12:03.038 --> 00:12:05.278]  But it was also thousands of reporters.
[00:12:05.298 --> 00:12:09.680]  You hear about Tommy Franks being on the payroll, you hear about Armstrong Williams, different programs.
[00:12:11.361 --> 00:12:14.462]  And you can really learn a lot from this because once they're exposed as government
[00:12:15.558 --> 00:12:24.086]  Prevails agents of influence then you can hear exactly what the government script is and martial law is coming after the next attack.
[00:12:24.166 --> 00:12:31.293]  It's good We need to have the feds take over education You know just basically federal takeover.
[00:12:31.353 --> 00:12:36.018]  That's what the parrots say now as if we didn't already know that they weren't on the payroll
[00:12:37.839 --> 00:12:42.121]  I mean, I've been on Armstrong Williams' show many times as he attacked me and tried to play games and mess with me.
[00:12:42.541 --> 00:12:43.881]  I can tell you it was a show right there.
[00:12:44.462 --> 00:12:49.864]  I didn't come out on air and say it because, not that I couldn't prove it, but people couldn't handle the truth yet.
[00:12:50.344 --> 00:12:52.585]  So I just stuck to what was publicly already admitted.
[00:12:56.408 --> 00:13:10.212]  Now, you don't have to buy off your local TV reporter because they've just got a head full of hairspray and they're trying to figure out how many people are going to have sex with tonight and how far they're going to jog so they look good for their neighbors and so they can go to cocktail parties and feel powerful.
[00:13:11.013 --> 00:13:13.834]  And they'll just read whatever's off the teleprompter and never ask a question.
[00:13:14.194 --> 00:13:15.834]  And then the news is packaged in D.C.
[00:13:15.894 --> 00:13:17.955]  or New York or Chicago or L.A.
[00:13:18.335 --> 00:13:21.496]  from their head offices and then pumped back to them and they just regurgitate it.
[00:13:22.836 --> 00:13:24.397]  I said I was going to have some fun and air a clip.
[00:13:25.146 --> 00:13:41.276]  It just made me think this morning, watching this clip, how easy it is for the government to fool people, because this is just some little website superimposed a reporter on the White House Rose Garden lawn asking President Bush about zombies attacking.
[00:13:42.897 --> 00:13:44.858]  Of course, it's pure fiction, ladies and gentlemen.
[00:13:44.878 --> 00:13:47.219]  We're not saying zombies are really attacking.
[00:13:48.760 --> 00:13:54.664]  We're playing a parody here, but they edited Bush in with a video where it looks like it's real.
[00:13:57.445 --> 00:14:05.952]  And the reason we haven't done a lot of this ourselves, though we could, is because then it adds to a climate of pretty soon people don't know what's real anymore.
[00:14:06.312 --> 00:14:10.116]  Where, even though it's fiction, it kind of runs together with reality.
[00:14:11.557 --> 00:14:15.660]  And the same thing is with 24 and all these CSI, all these other shows.
[00:14:16.141 --> 00:14:23.967]  You go into suspended disbelief and your brain, after just a few minutes, is accepting this and acquiescing and taking it in as if it's reality.
[00:14:24.565 --> 00:14:29.689]  And you're rooting for the hero who cheats and tortures and kills, and even tortures children.
[00:14:30.329 --> 00:14:36.814]  And now they're saying Jack Bauer is going to fight global warming this year and get a global carbon tax to save the children.
[00:14:37.694 --> 00:14:40.616]  I mean, this is pure propaganda arm.
[00:14:42.237 --> 00:14:47.021]  And for any liberals out there who are still supporting man-made global warming and their quote, solution of global tax,
[00:14:48.283 --> 00:14:55.145]  While every manner of environmental degradation goes on pell-mell, Fox News, Fox TV is now... I've seen Fox News say it's real.
[00:14:56.945 --> 00:14:59.646]  And again, it's the cartoon network version of propaganda.
[00:14:59.706 --> 00:15:01.586]  It's meant for the brain dead.
[00:15:01.947 --> 00:15:04.887]  CNN's meant for a little bit more high-grade, but it's just as bad or worse.
[00:15:05.407 --> 00:15:07.188]  MSNBC, CNBC.
[00:15:10.077 --> 00:15:18.703]  And I know that the people know it's a lie and a fraud, but even though you consciously know it, you're still not fully grasping and then finding out what the truth is.
[00:15:19.044 --> 00:15:21.265]  You know you're being lied to, but you don't know what the truth is.
[00:15:21.325 --> 00:15:27.650]  See, just to know something's a lie, to know that that's a fog bank in front of you, doesn't still tell you what's behind the fog.
[00:15:28.150 --> 00:15:31.172]  See, that's what we're trying to get you to look for and look at.
[00:15:31.572 --> 00:15:37.937]  Because from my limited intellect and perspective, I can't tell you exactly what's behind the fog everywhere planetary-wide.
[00:15:38.257 --> 00:15:39.138]  I'm not omniscient.
[00:15:40.402 --> 00:15:46.106]  But together, together, we can wherever we're at on the planet find out what's behind the fog.
[00:15:46.527 --> 00:16:01.298]  And we can go in mercilessly, without any even prime directive from some central source, and go in and move forward with the liberty revolution of freedom and the dynamic human spirit that refuses to submit to dehumanization.
[00:16:01.318 --> 00:16:04.220]  So here's a three minute little zombie clip
[00:16:04.964 --> 00:16:06.826]  On a spoof on Bush's fear-mongering.
[00:16:07.086 --> 00:16:14.913]  But this is just from a few weeks ago, folks, where he said, he did say August could be the big month of terror, and we pray that this month elapses without that happening.
[00:16:15.693 --> 00:16:16.834]  But here it is.
[00:16:18.015 --> 00:16:28.705]  Mr. President, in your recent budget, just to make sure I understand, you're asking for a $50 billion emergency defense supplemental to protect America from zombies.
[00:16:30.242 --> 00:16:34.004]  I believe this is the great challenge of the beginning of the 21st century.
[00:16:34.244 --> 00:16:34.744]  Zombies.
[00:16:35.465 --> 00:16:36.225]  Who eat brains.
[00:16:36.385 --> 00:16:38.146]  Just so I know we're on the same page here.
[00:16:39.747 --> 00:16:40.467]  That's what they do.
[00:16:40.527 --> 00:16:41.748]  That's what they've said they want to do.
[00:16:41.768 --> 00:16:42.668]  They have objectives.
[00:16:44.029 --> 00:16:48.491]  With all due respect, Mr. President, are you sure this wasn't a movie you saw?
[00:16:48.711 --> 00:16:49.712]  I mean, why... Because they're real.
[00:16:50.972 --> 00:16:53.214]  Yeah, but why is that a danger to the American people?
[00:16:53.314 --> 00:16:54.794]  It's a danger to your children, Jim.
[00:16:55.835 --> 00:16:56.795]  Sorry, my name is Barry.
[00:16:57.136 --> 00:16:57.536]  Uh, Chen.
[00:16:58.516 --> 00:16:59.397]  No, Barry.
[00:16:59.817 --> 00:16:59.917]  Ed.
[00:17:01.158 --> 00:17:01.638]  It's Barry.
[00:17:01.879 --> 00:17:04.800]  Just think of blueberry or strawberry, that way you'll always remember it.
[00:17:04.820 --> 00:17:10.084]  Like I said, they are a direct threat to the United States, and I'm going to keep talking about it.
[00:17:10.104 --> 00:17:10.744]  The zombies.
[00:17:11.505 --> 00:17:13.446]  You say they're eating our brains.
[00:17:13.586 --> 00:17:14.787]  They need to be eating US beef.
[00:17:16.148 --> 00:17:16.748]  It's good for them.
[00:17:18.609 --> 00:17:19.150]  They'll like it.
[00:17:19.470 --> 00:17:25.033]  For the sake of argument, even in the movies, zombies seem to move really, really slowly.
[00:17:25.714 --> 00:17:27.195]  Why couldn't we just outrun them?
[00:17:28.035 --> 00:17:29.416]  If we leave, they follow us.
[00:17:30.177 --> 00:17:30.477]  Right.
[00:17:31.275 --> 00:17:32.775]  But really slowly.
[00:17:33.515 --> 00:17:36.536]  I mean, shouldn't we be focusing more on Bin Laden?
[00:17:36.556 --> 00:17:37.196]  They're dangerous.
[00:17:37.736 --> 00:17:39.917]  And I can't put it any more plainly, they're dangerous.
[00:17:41.617 --> 00:17:41.917]  Right.
[00:17:42.837 --> 00:17:48.639]  Does this explain reports that you attacked people who were on the White House tour?
[00:17:48.659 --> 00:17:50.479]  I knew this was going to be an explosive issue.
[00:17:50.799 --> 00:17:52.659]  Yeah, you removed their heads.
[00:17:53.120 --> 00:17:54.360]  I wanted to remove even more.
[00:17:56.363 --> 00:17:59.585]  Over the months, you've decapitated 11 tourists.
[00:17:59.805 --> 00:18:01.727]  You now say we're all zombies.
[00:18:01.827 --> 00:18:03.628]  I thought it was interesting how you started your question.
[00:18:04.408 --> 00:18:05.789]  Over the months, I think you said.
[00:18:05.989 --> 00:18:06.930]  Over the last months.
[00:18:07.350 --> 00:18:08.231]  Forget the time period.
[00:18:08.291 --> 00:18:09.752]  It's not the time span the concern was.
[00:18:09.772 --> 00:18:11.053]  Let me finish, please, sir.
[00:18:11.073 --> 00:18:11.613]  And I'll roll here.
[00:18:12.294 --> 00:18:15.596]  And, uh, they have made it abundantly clear what they want.
[00:18:16.076 --> 00:18:16.816]  Human brains.
[00:18:16.836 --> 00:18:17.377]  Because you see,
[00:18:18.141 --> 00:18:21.282]  What they're going to try to do is kill as many innocent people as they can.
[00:18:21.362 --> 00:18:27.543]  You're claiming the heat of the moon causes the dead to rise from their graves and walk among us?
[00:18:28.124 --> 00:18:32.845]  And so, yeah, it could be a bloody, it could be a very difficult August, and I fully understand.
[00:18:32.985 --> 00:18:42.707]  Is there any proof, any scientific evidence of an actual biological difference between these zombies and, say, just slow-moving tourists?
[00:18:45.488 --> 00:18:45.648]  Sir?
[00:18:46.664 --> 00:18:48.206]  They cut to Dick Cheney, Mr. President.
[00:18:49.447 --> 00:18:51.429]  They are a threat to your children, David.
[00:18:53.651 --> 00:18:57.095]  How exactly can we recognize one of these zombies?
[00:18:57.515 --> 00:18:59.818]  Is it their... their pallid complexion?
[00:19:01.039 --> 00:19:02.560]  The lizard-like stare?
[00:19:02.580 --> 00:19:06.624]  How about their general overall creepiness?
[00:19:08.466 --> 00:19:08.927]  Ha ha ha!
[00:19:09.805 --> 00:19:15.449]  And it cuts to Dick Cheney there, literally at the Rose Garden, standing off in the distance, watching Bush give the speech.
[00:19:16.090 --> 00:19:17.191]  Lizard-like stare.
[00:19:18.391 --> 00:19:19.072]  Heaven help us.
[00:19:21.033 --> 00:19:27.738]  But the reason we played that is that the mainstream news, a lot of what they're reporting is just as legitimate.
[00:19:28.559 --> 00:19:31.601]  The Shiites are not backing Al-Qaeda in Iraq.
[00:19:32.342 --> 00:19:33.422]  That's the opposite group.
[00:19:34.543 --> 00:19:36.705]  And it's just as ridiculous as zombies.
[00:19:38.078 --> 00:19:43.183]  I mean, I go on the message board and I see the people on Dig and stuff attacking us, and they gotta be sent, Tom.
[00:19:44.264 --> 00:19:45.905]  I mean, it's just the same thing.
[00:19:45.965 --> 00:19:49.749]  Tinfoil hat, you wanna be a Muslim and worship the Muslims.
[00:19:50.449 --> 00:19:51.530]  And let the Muslims get us.
[00:19:52.611 --> 00:19:55.253]  Then you say, well, why is Bush bringing so many Muslims in?
[00:19:55.273 --> 00:19:58.797]  And they just keep saying, tinfoil hat, tinfoil hat, tinfoil hat.
[00:19:59.257 --> 00:19:59.838]  We'll be right back.
[00:20:02.302 --> 00:20:06.585]  Are you fed up with all the side effects of chemicals in your shampoos and detergents?
[00:20:06.826 --> 00:20:11.669]  Even fragrances can signal some 4,000 separate ingredients, most of which are synthetic.
[00:20:11.929 --> 00:20:13.271]  Hi folks, Alex Jones here.
[00:20:13.431 --> 00:20:16.793]  Why not go back to basics and be safe with CalBin Pure Soaps?
[00:20:17.033 --> 00:20:22.217]  They're all natural and you'll save some 85% the money you're spending for your cleaning products now.
[00:20:22.458 --> 00:20:28.222]  Marty Schachter founded CalBin Soap Company in 1947 and provided products for health institutions.
[00:20:28.562 --> 00:20:31.004]  Now, Calvin Soaps are available to you and me.
[00:20:31.065 --> 00:20:33.387]  Triple concentrated for all your cleaning needs.
[00:20:33.607 --> 00:20:35.749]  From bathing and laundry to dishes, hair and more.
[00:20:36.029 --> 00:20:37.010]  No harsh chemicals.
[00:20:37.210 --> 00:20:38.151]  No animal testing.
[00:20:38.411 --> 00:20:39.472]  I use them and love them.
[00:20:39.733 --> 00:20:41.354]  Knowing they're all natural and safe.
[00:20:41.634 --> 00:20:42.755]  And I say big time.
[00:20:43.036 --> 00:20:44.557]  Call Calvin Pure Soap at 1-800-340-7091.
[00:20:44.617 --> 00:20:44.877]  That's 1-800-340-7091.
[00:20:44.937 --> 00:20:47.640]  Or log on to 5starsoap.com now for a free catalog.
[00:20:54.506 --> 00:20:57.529]  Again, that number, 1-800-340-7091 or 5starsoap.com for all your cleaning needs.
[00:20:57.569 --> 00:20:58.610]  Ted Anderson for Midas.
[00:20:58.730 --> 00:20:58.890]  August 9, 2007.
[00:20:58.950 --> 00:20:59.191]  Gold 660.
[00:20:59.231 --> 00:21:02.494]  50 ounce gold coins can be purchased for $681.87, $336.45 for half, $168.23 per quarter.
[00:21:02.514 --> 00:21:03.114]  That's $681.87, $336.45, and $168.23.
[00:21:16.687 --> 00:21:18.908]  The dollar has fallen to 65% of the euro.
[00:21:18.988 --> 00:21:20.028]  Erosion accelerates.
[00:21:20.108 --> 00:21:27.511]  Mainline talk show hosts are trying to hold on to the support of the conservative movement, keeping focus on the Republican agenda and playing into the hand of the globalists.
[00:21:27.631 --> 00:21:31.032]  Dr. Corsi interviewed Robert Pastor of the American University.
[00:21:31.192 --> 00:21:37.755]  With the sleight of hand and incremental implementation, Pastor admits to the North American Union is being forced upon us.
[00:21:38.235 --> 00:21:42.879]  Corsi uncovers the CFR's plan to build a North American community similar to the EU.
[00:21:43.219 --> 00:21:48.424]  In his report, the North American Union isn't going away, Corsi exposes the deception and trickery.
[00:21:48.544 --> 00:21:52.247]  Call for your report today, 800-686-2237.
[00:21:52.367 --> 00:21:55.609]  The value of your hard-earned money is being lost in a global game of chess.
[00:21:55.729 --> 00:21:55.990]  Call 800-686-2237.
[00:21:56.030 --> 00:21:56.210]  That's 800-686-2237.
[00:22:01.741 --> 00:22:06.705]  Now, you can bring Berkey Purification Power anywhere with the Sport Berkey Filtration Bottle.
[00:22:07.025 --> 00:22:12.470]  Ideal for sporting games, camping or boating, or Sport Berkey is small enough to store in your glove box.
[00:22:12.490 --> 00:22:16.793]  So it's ideal backup for unexpected emergencies like blackouts, floods or earthquakes.
[00:22:17.133 --> 00:22:20.136]  It's simply the best personal water filtration system available.
[00:22:20.456 --> 00:22:23.899]  So effective you can drink raw, untreated water from lakes, rivers and streams.
[00:22:24.219 --> 00:22:33.565]  Unlike other sport bottles, the Sport Berkey's patented filter formulation is so powerful it removes cysts, parasites, harmful bacteria, and chemicals like herbicides and pesticides.
[00:22:33.826 --> 00:22:37.328]  It even reduces radon-222, lead, and other heavy metals.
[00:22:37.568 --> 00:22:44.673]  This lightweight, rugged 22-ounce filter is small enough to go everywhere, so take one to work and keep another in your glove box for emergencies.
[00:22:44.933 --> 00:22:46.814]  Get the Berkey Sport for only $39.
[00:22:47.375 --> 00:22:50.216]  Get two for $70 by calling New Millennium at 888-803-4438.
[00:22:54.379 --> 00:22:57.121]  Morning, neighbor!
[00:22:57.161 --> 00:23:04.187]  Hey, shouldn't you be at work?
[00:23:04.647 --> 00:23:04.948]  I am.
[00:23:05.208 --> 00:23:07.209]  As a matter of fact, I pulled another all-nighter.
[00:23:07.429 --> 00:23:08.090]  What do you mean?
[00:23:08.110 --> 00:23:11.152]  Well, I'm working 24 hours a day, 7 days a week.
[00:23:11.413 --> 00:23:13.554]  Well, at least I'm making money 24-7.
[00:23:13.694 --> 00:23:14.855]  But I never have to go to work.
[00:23:15.136 --> 00:23:16.096]  So, what do you do?
[00:23:16.376 --> 00:23:17.477]  Not very much at all now.
[00:23:17.758 --> 00:23:19.599]  About a month ago, I heard about this website.
[00:23:19.619 --> 00:23:20.480]  It's got a funny name.
[00:23:20.520 --> 00:23:22.842]  It's DidYouRobBillGates.com.
[00:23:23.582 --> 00:23:24.442]  That is funny.
[00:23:24.482 --> 00:23:29.443]  Yeah, you can earn $1,200 to $12,000 a week starting the very first week.
[00:23:29.923 --> 00:23:32.104]  Oh, is that how you bought that new mower?
[00:23:32.224 --> 00:23:34.964]  Yeah, and the motorcycle I've always wanted, too.
[00:23:35.144 --> 00:23:35.825]  You should log on.
[00:23:35.965 --> 00:23:37.845]  Find out how you can become financially free.
[00:23:38.025 --> 00:23:39.485]  So, what was that website?
[00:23:39.565 --> 00:23:44.967]  It's www.DidYouRobBillGates.com Just wait.
[00:23:45.007 --> 00:23:46.747]  I'll go get a pen so I can write that down.
[00:23:46.927 --> 00:23:47.947]  You don't need to write it down.
[00:23:48.007 --> 00:23:48.847]  It's easy to remember.
[00:23:49.127 --> 00:23:51.808]  DidYouRobBillGates.com
[00:23:52.108 --> 00:23:52.508]  Yeah!
[00:23:52.829 --> 00:23:56.472]  DidYouRobBillGates.com That is easy!
[00:23:56.812 --> 00:23:59.514]  It's easy and the money is awesome!
[00:24:13.006 --> 00:24:17.490]  All I'm asking you to do is start looking twice.
[00:24:18.337 --> 00:24:19.318]  Then maybe a third time.
[00:24:19.758 --> 00:24:22.000]  Start questioning why you're being told what you're being told.
