[00:00:00.149 --> 00:00:00.429]  EANS.
[00:03:14.009 --> 00:03:15.210]  Zero allergies.
[00:03:15.470 --> 00:03:16.371]  My brain worked.
[00:03:16.471 --> 00:03:18.112]  My photographic memory came back.
[00:03:18.513 --> 00:03:20.254]  I felt absolutely wonderful.
[00:03:21.195 --> 00:03:23.937]  I felt like I could work 20 hours a day again.
[00:03:24.498 --> 00:03:32.724]  And then being back, I got back Saturday, being back one day, one day the allergies returned.
[00:03:32.804 --> 00:03:36.667]  So we'll be doing shows on allergies and getting guests on about the subject.
[00:03:36.727 --> 00:03:41.231]  And I'm going to have to, I've never been a person who, I mean, I go to the doctor maybe every five years or something.
[00:03:42.157 --> 00:03:47.918]  I'm somebody who hardly ever gets sick, and we're going to be talking about this phenomenon of people who never had them, now have them.
[00:03:47.938 --> 00:03:52.039]  The entire city, I'd say 95% of people have them, and it's the same around the country.
[00:03:52.899 --> 00:03:55.860]  Massive increase in allergies, and it's just incredible.
[00:03:56.580 --> 00:04:03.541]  Of course it's cedar fever, mountain cedars, what they call it, is prime from December through February in Austin.
[00:04:04.201 --> 00:04:08.262]  And I don't mean to start the show with that, it's just an interesting phenomenon.
[00:04:09.173 --> 00:04:17.438]  To literally be robbed of much of your intellect, to be robbed of much of your self-control, to be robbed of... Frankly, I'm not an irritable person.
[00:04:18.498 --> 00:04:21.660]  But when these stupid allergies hit me, I become angry.
[00:04:22.841 --> 00:04:28.084]  And because it causes inflammation in the sinus and then inflammation in the brain, and it is not fun.
[00:04:28.624 --> 00:04:29.445]  So enough whining.
[00:04:29.465 --> 00:04:33.887]  Please don't call with your cures and, you know, telling me how to get better.
[00:04:34.228 --> 00:04:36.289]  You're very sweet, and I appreciate that.
[00:04:36.309 --> 00:04:38.190]  I'm not here talking about myself.
[00:04:38.900 --> 00:04:41.202]  I'm just talking about this bizarre phenomenon.
[00:04:42.383 --> 00:04:44.004]  And why is it getting worse and worse?
[00:04:44.064 --> 00:04:45.685]  What's really behind it?
[00:04:46.506 --> 00:04:46.886]  All right.
[00:04:47.607 --> 00:04:51.490]  Huge transmission lined up for you today.
[00:04:53.591 --> 00:04:58.375]  I always say I'm going to do this, and then I never really spend enough time on it, but I will today.
[00:04:59.636 --> 00:05:00.517]  I will today.
[00:05:01.958 --> 00:05:04.480]  And that is the Globalist Master Plan.
[00:05:04.560 --> 00:05:07.382]  But this may take a couple shows to do.
[00:05:08.573 --> 00:05:13.897]  So when we get back, I'm going to break down at the middle of the next hour what I'm going to be covering.
[00:05:13.917 --> 00:05:15.898]  I'm going to cover news until then and take your calls.
[00:05:16.438 --> 00:05:21.061]  But I want to cover the history of the Globalist and the Illuminati.
[00:05:21.262 --> 00:05:22.062]  Just the basics.
[00:05:23.083 --> 00:05:24.424]  And then bring it up to about 1940.
[00:05:25.084 --> 00:05:28.907]  And then later this week I'll go from 1940 up to 2007.
[00:05:38.749 --> 00:05:44.213]  It's here, after a year in production and traveling to distant lands, my new film Terror Storm is complete.
[00:05:44.573 --> 00:05:52.218]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:05:52.907 --> 00:05:59.950]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:06:00.350 --> 00:06:11.774]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:06:12.094 --> 00:06:15.595]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:06:16.056 --> 00:06:17.976]  It's an anthology of government crimes.
[00:06:18.316 --> 00:06:22.158]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:06:22.758 --> 00:06:29.745]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[00:06:35.592 --> 00:06:36.372]  Terrorism.
[00:06:36.512 --> 00:06:37.253]  Terrorism.
[00:06:37.373 --> 00:06:43.434]  Chemical attacks, dirty bombs, fallout, biological attack, anthrax, and to top it all off, duct tape and plastic.
[00:06:43.694 --> 00:06:45.275]  Alarming words for our time.
[00:06:45.515 --> 00:06:47.996]  But how do you protect your family during such a crisis?
[00:06:48.396 --> 00:07:02.960]  The video sheltering in place surviving acts of terrorism from biological, chemical, and radioactive fallout was developed by Wayne LeBaron, a health physicist who has served as a specialist in environmental health, communicable diseases, and has worked as a nuclear specialist for the U.S.
[00:07:03.000 --> 00:07:03.380]  government.
[00:07:03.480 --> 00:07:05.281]  Anyone can follow the simple instructions.
[00:07:05.661 --> 00:07:11.583]  It's presented by a housewife as they walk you step-by-step through the process of preparing your home as a shelter.
[00:07:11.703 --> 00:07:16.205]  If you're not the type who waits till it's too late, then you need the video Sheltering in Place.
[00:07:16.465 --> 00:07:22.086]  Get the critical information you need now for only $29 plus shipping by calling New Millennium at 888-803-4438.
[00:07:22.186 --> 00:07:23.767]  And tell them Alex Jones sent you at 888-803-4438.
[00:07:23.827 --> 00:07:25.868]  Or order on the web at murkywater.com.
[00:07:35.470 --> 00:07:39.431]  I found this company online and they have this really unique variety of salt wellness products.
[00:07:39.671 --> 00:07:43.173]  I read some of the articles and ended up ordering this beautiful salt lamp.
[00:07:43.473 --> 00:07:47.554]  According to the company, they said that the salt crystal lamps gently purify indoor air.
[00:07:47.854 --> 00:07:48.794]  I was so amazed.
[00:07:49.014 --> 00:07:51.915]  I put it in the baby's room and it made a perfect nightlight.
[00:07:52.055 --> 00:07:53.916]  Both my husband and I could tell the difference.
[00:07:54.316 --> 00:07:59.559]  SoleilWellness.com is a unique company that offers salt wellness products from around the world.
[00:07:59.979 --> 00:08:05.903]  So, I went back to the site and ordered their Soleil Simple Natural Cleaning Products, also made with Himalayan salt.
[00:08:06.163 --> 00:08:07.904]  I figured it would clean really well.
[00:08:08.144 --> 00:08:11.346]  The natural cleaning products worked wonderfully and there was no scent.
[00:08:11.526 --> 00:08:15.448]  This company has so many products my whole family can enjoy and feel better with.
[00:08:15.688 --> 00:08:17.149]  Plus, the service was great.
[00:08:17.489 --> 00:08:22.612]  If you're interested in natural homeopathic time-tested remedies, visit SoleilWellness.com.
[00:08:22.672 --> 00:08:25.814]  That's S-O-L-A-Y Wellness dot com.
[00:08:25.974 --> 00:08:26.454]  Or call 312-224-2710.
[00:08:26.474 --> 00:08:26.514]  312-224-2710.
[00:08:39.907 --> 00:08:44.108]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:08:44.748 --> 00:08:45.568]  You want answers?
[00:08:46.328 --> 00:08:47.829]  Well, so does he.
[00:08:47.889 --> 00:08:51.509]  He's Alex Jones on the GCN Radio Network.
[00:08:52.070 --> 00:08:56.190]  And now, live from Austin, Texas, Alex Jones.
[00:09:10.223 --> 00:09:14.705]  It is great to be back after a well-deserved week-long vacation with my family.
[00:09:15.945 --> 00:09:16.405]  I'm here.
[00:09:16.545 --> 00:09:19.886]  It is the 22nd day of January 2007.
[00:09:20.006 --> 00:09:25.368]  I did my syndicated show that I now do on Sunday nights as well from 4 to 6 p.m.
[00:09:25.888 --> 00:09:29.490]  So we are back in the saddle, and it is good to be here with you.
[00:09:30.170 --> 00:09:36.592]  Just a side note, the Motor City madman Ted Nugent just said, if you don't speak English, you need to get out of America.
[00:09:38.257 --> 00:09:41.640]  And now they're trying to call him a Nazi and a demon and go after him.
[00:09:41.660 --> 00:09:47.505]  There's also a report where the ADL is calling basically all traditional Catholics Nazis.
[00:09:48.766 --> 00:09:51.529]  And it looks like we're going to have Ted Nugent on sometime this week.
[00:09:51.549 --> 00:09:53.130]  We've interviewed him several times in the past.
[00:09:53.491 --> 00:09:58.275]  This just illustrates the new political correctness where
[00:09:59.332 --> 00:10:03.836]  The most mild of pro-U.S.
[00:10:05.197 --> 00:10:10.161]  sovereignty statements are construed as Nazi.
[00:10:11.690 --> 00:10:15.932]  Meanwhile, these so-called minority groups can say and do whatever they want.
[00:10:16.372 --> 00:10:18.833]  Black professors saying all whites should be killed.
[00:10:19.433 --> 00:10:22.375]  White professors saying 90% of everybody should die.
[00:10:23.255 --> 00:10:30.318]  Hispanic Chicanos, you know, head at UT Arlington saying all whites need to die and we have a tape of it.
[00:10:30.618 --> 00:10:31.759]  Oh, that's okay!
[00:10:32.539 --> 00:10:34.340]  But Ted Nugent
[00:10:35.197 --> 00:10:38.798]  Gets up and says, this is America, you should speak English or get out.
[00:10:39.138 --> 00:10:41.379]  They'll tell you the same thing in Germany or Mexico.
[00:10:41.779 --> 00:10:43.839]  Speak Deutsch, speak Spanish or get out.
[00:10:44.260 --> 00:10:46.600]  And oh my gosh, it's just terrible and it's horrible.
[00:10:47.200 --> 00:10:53.142]  I'm kind of digressing here at the start of the show, but that's something I was working on during the last three-minute break.
[00:10:53.422 --> 00:10:55.863]  We multitask here, so it was on my mind.
[00:10:55.923 --> 00:10:57.543]  I thought I would share it with you again.
[00:10:57.803 --> 00:11:00.324]  Hutton Gibson hadn't been on the radio in about two and a half years.
[00:11:00.704 --> 00:11:03.085]  He'll be coming back
[00:11:03.485 --> 00:11:10.372]  Tomorrow, here in the second hour, we'll talk about a bunch of really important and incendiary issues.
[00:11:10.412 --> 00:11:11.673]  We really look forward to it.
[00:11:11.753 --> 00:11:14.836]  Very thankful he chose this broadcast to go public again.
[00:11:16.117 --> 00:11:19.160]  That is, of course, the father of Mel Gibson.
[00:11:20.502 --> 00:11:25.086]  In the meantime, let me give you some of the news that's here on the plate in front of me today.
[00:11:27.635 --> 00:11:27.976]  U.S.
[00:11:28.076 --> 00:11:30.019]  death toll is 27 over the weekend.
[00:11:30.039 --> 00:11:33.423]  24 died on Saturday, and another 3 died on Sunday.
[00:11:39.324 --> 00:11:42.645]  But of course, that's troops that died there on the spot or in Iraq.
[00:11:43.005 --> 00:11:49.906]  If you die in a C-130 being flown to Rammstein Air Base, a medical center in Germany, it is not counted.
[00:11:50.386 --> 00:11:53.687]  Or if you die a month later in the U.S., it is not counted.
[00:11:54.107 --> 00:12:00.488]  Or if you die two months later in Germany with your arms and legs blown off of a deadly staph infection, it is not counted.
[00:12:00.608 --> 00:12:04.089]  Doesn't go on your tombstone that you died from injuries suffered in combat.
[00:12:05.658 --> 00:12:08.619]  The real number is close to 11,000 U.S.
[00:12:09.180 --> 00:12:12.861]  troops that have died in Afghanistan and Iraq since 2001.
[00:12:12.901 --> 00:12:16.923]  11,000 and rapidly climbing, the media will tell you 3,100.
[00:12:24.941 --> 00:12:27.382]  So we'll go over that report for you.
[00:12:28.062 --> 00:12:31.724]  Also, speaking of the troops, Wired Magazine set to report U.S.
[00:12:31.804 --> 00:12:39.107]  unwittingly evolved super pathogen in Iraq in combat hospitals now spreading into Europe.
[00:12:39.827 --> 00:12:50.031]  Because they've been using experimental drugs on the troops, and lo and behold, super staff flesh-eating bacteria spreading rapidly.
[00:12:51.235 --> 00:12:53.997]  They first tried to say it was indigenous to Iraq.
[00:12:54.017 --> 00:12:55.378]  That's now been proven to be a fraud.
[00:12:55.679 --> 00:12:57.700]  Another report here out of the Courier Mail.
[00:12:58.461 --> 00:13:01.784]  Cell phones as harmful as cigarettes.
[00:13:02.464 --> 00:13:12.492]  But just keep on using and keep on drinking your fluoride water, your fluoride toothpaste, and keep taking your mercury-laced vaccines, because, you know, the news says it's good for you.
[00:13:12.512 --> 00:13:14.294]  They really do say it's good for you.
[00:13:14.534 --> 00:13:20.699]  You know, I would tell you in the scientific reports say it's deadly, but, you know, I'm an extremist saying mercury's bad.
[00:13:21.710 --> 00:13:23.291]  Hillary's running for the White House.
[00:13:23.311 --> 00:13:26.032]  She's got Rupert Murdoch and Fox News full support.
[00:13:26.092 --> 00:13:29.074]  And conservatives, I'm sure, will be voting for her en masse, loving her.
[00:13:29.814 --> 00:13:32.876]  Handing their guns in with wanton abandon.
[00:13:33.656 --> 00:13:35.257]  Calling me a liberal because I'm against it.
[00:13:36.057 --> 00:13:38.999]  New Mexico governor enters White House race.
[00:13:39.499 --> 00:13:43.501]  Governor Bill Richardson is being hailed as the first Hispanic to run for president.
[00:13:44.001 --> 00:13:45.062]  Total smoke and mirrors.
[00:13:45.862 --> 00:13:47.103]  Again, everything's a gimmick.
[00:13:47.143 --> 00:13:48.784]  Nancy Pelosi, Hillary Richardson.
[00:13:48.904 --> 00:13:51.085]  I don't care if our next president was Mexican.
[00:13:52.060 --> 00:13:58.063]  I'd love it if they were pro-gun, pro-U.S., pro-sovereignty, pro-family, anti-New World Order.
[00:13:58.083 --> 00:13:59.023]  I'd be out campaigning.
[00:13:59.643 --> 00:14:03.845]  I wouldn't care if they were a Newit, a Native American from Alaska.
[00:14:04.646 --> 00:14:06.146]  I wouldn't care if they were black.
[00:14:06.506 --> 00:14:08.667]  You know, black is Stygian night.
[00:14:09.728 --> 00:14:11.949]  I'd go campaign for them in ten seconds!
[00:14:13.149 --> 00:14:13.829]  Give me a break.
[00:14:13.849 --> 00:14:15.430]  I'm going to talk about that later.
[00:14:15.450 --> 00:14:15.510]  3,200 U.S.
[00:14:15.570 --> 00:14:18.092]  troops arrive in Baghdad as violence rages on.
[00:14:33.869 --> 00:14:37.010]  Bloggers who criticize government may face prison time.
[00:14:37.030 --> 00:14:37.851]  This is real.
[00:14:38.171 --> 00:14:40.992]  We have the bill here in front of me, S-1.
[00:14:41.072 --> 00:14:42.733]  This is deadly serious.
[00:14:42.813 --> 00:14:50.676]  Also, the Associated Press reporting, New York Court, FBI might have violated First Amendment in an effort to take down conspiracy film.
[00:14:51.297 --> 00:15:03.302]  I remember in 2000, the report in the New York Daily News, and I remember seeing the clip online, but they kept taking it down wherever it was at.
[00:15:04.506 --> 00:15:13.651]  And it was this narrator who was posing as a special forces commander, showing different sites in New York, talking about plans for martial law.
[00:15:14.431 --> 00:15:20.355]  Now I've been to real urban warfare drills, I've covered real US government documents that were declassified, saying just that.
[00:15:20.995 --> 00:15:22.436]  Preparations for martial law.
[00:15:22.456 --> 00:15:24.417]  I mean, that's been declassified a long time ago.
[00:15:24.797 --> 00:15:25.597]  That came out in 86.
[00:15:26.638 --> 00:15:31.761]  And then they admitted that the tape was just a fictional, you know, kind of science fiction piece.
[00:15:32.441 --> 00:15:33.762]  FBI went and shut down
[00:15:34.514 --> 00:15:36.575]  The individual intimidated him into shutting down.
[00:15:37.335 --> 00:15:39.376]  I mean, that's how they operate.
[00:15:40.357 --> 00:15:43.078]  And now, of course, the courts are ruling that you can't do that.
[00:15:43.919 --> 00:15:45.800]  You can't go around shutting things like that down.
[00:15:46.880 --> 00:15:52.043]  Coming up at the bottom of the next hour, I'll probably spend an hour on it.
[00:15:52.063 --> 00:15:54.624]  I've got a bunch of notes here I wrote over the weekend.
[00:15:55.944 --> 00:16:03.128]  I always say that I'm going to go on air and discuss the New World Order Master Plan.
[00:16:04.432 --> 00:16:10.353]  And I always am discussing bits and pieces of it, but it's such a big thing, as George Bush Jr.
[00:16:10.413 --> 00:16:17.134]  said, such a big idea, that it's hard to properly address it.
[00:16:18.714 --> 00:16:23.155]  It's hard to spend the time to go over all the nuances.
[00:16:23.195 --> 00:16:28.116]  It's hard for me to even grasp all of it myself, much less articulate it.
[00:16:29.916 --> 00:16:33.537]  And all its different programs that nexus in and tie in together.
[00:16:34.611 --> 00:16:38.532]  In this tapestry of dehumanization and control.
[00:16:39.632 --> 00:16:41.553]  A control freak wonderland.
[00:16:41.593 --> 00:16:46.234]  But I'm going to attempt to do that, at least the first part of it.
[00:16:46.974 --> 00:16:52.335]  I want to go over some basics of the globalist history, where they spring from, how they operate.
[00:16:53.356 --> 00:16:54.316]  Then I want to lead it up to
[00:16:55.871 --> 00:17:10.937]  The last big wave of New World Order futurists, or projectors, people that projected forward and tried to come up with strategia of the next phase of globalist consolidation and expansion.
[00:17:15.159 --> 00:17:17.060]  And that will lead us up to World War II.
[00:17:17.680 --> 00:17:23.082]  So I'm going to attempt to spend an hour, starting at the bottom of the next hour,
[00:17:24.033 --> 00:17:25.454]  Please get your recorders ready.
[00:17:25.534 --> 00:17:28.396]  Please tune in.
[00:17:28.656 --> 00:17:30.077]  Please email your email groups.
[00:17:30.437 --> 00:17:31.438]  Go on your MySpace.
[00:17:31.518 --> 00:17:34.800]  Go on your message boards because I want people to hear this.
[00:17:36.320 --> 00:17:44.966]  Again, my frustration is there's so many areas I want to cover and so many proofs that I want to detail and I kind of go down rabbit trails.
[00:17:44.986 --> 00:17:53.571]  I'm going to try to just give it to you in general basic terms and focus in on a few key individuals in programs and movements.
[00:17:54.660 --> 00:17:56.382]  So, that is coming up.
[00:17:56.422 --> 00:17:57.102]  Of course, H.G.
[00:17:57.142 --> 00:18:00.104]  Wells is central to a lot of this.
[00:18:00.165 --> 00:18:07.991]  We have a clip we're going to be playing from a film, Things to Come, that I had seen many years ago and forgotten about.
[00:18:08.011 --> 00:18:21.842]  And then this weekend, I got back Saturday, I was perusing YouTube and came across it, a clip from it, and it just spurred me to remember a lot of lines of thinking and analysis I'd done
[00:18:22.603 --> 00:18:34.532]  Just in private reflections that I had not properly articulated here to the mass and so that'll be coming up in one hour and 15 minutes roughly.
[00:18:37.454 --> 00:18:43.579]  The toll-free number to join us, we'll have open phones in this first hour and to the bottom of the next hour 1-800-259-9231 1-800-259-9231 will get you up and on the air
[00:18:52.026 --> 00:19:06.903]  The websites are www.infowars.com, www.prisonplanet.com, www.prisonplanet.tv, www.jonesreport.com, www.infowars.net, and of course www.martiallaw911.info.
[00:19:09.814 --> 00:19:11.295]  And several others.
[00:19:11.355 --> 00:19:17.820]  And each site has its own independent original information and shares a lot of other information with the other sites.
[00:19:17.880 --> 00:19:34.814]  That is our program of redundancy and also diversity in our information warfare capacity that we have been attempting to machine and improve and expand and learn as we go.
[00:19:35.935 --> 00:19:37.937]  We believe in small and fast
[00:19:39.128 --> 00:19:51.859]  And focused while at the same time wide spectrum info war using our most powerful weapon the truth to target enemy false information basically matrix
[00:19:52.907 --> 00:20:00.978]  False reality programs interlaid by the media, regurgitated by the general public, and giving their false reality an air of reality.
[00:20:01.359 --> 00:20:09.269]  When every basic economic premise you've been taught is a complete fraud, most of the basic spiritual premises you've been taught are complete frauds,
[00:20:10.784 --> 00:20:13.306]  Just everything is a war against individuality.
[00:20:13.426 --> 00:20:16.729]  Everything is pumping us into a mass hive mind.
[00:20:17.090 --> 00:20:22.975]  All right, I'll get into Hillary, get into the war on the other side, then we'll go to your calls and a lot more.
[00:20:23.556 --> 00:20:25.718]  I'm Alex Jones, your host.
[00:20:26.118 --> 00:20:28.760]  Back in the saddle, back in the cockpit.
[00:20:29.361 --> 00:20:30.442]  Strap yourselves in.
[00:20:30.622 --> 00:20:31.823]  I am fired up.
[00:20:32.244 --> 00:20:34.566]  We're going in, through, and beyond.
[00:20:36.184 --> 00:20:39.725]  Do you know where the 78 potentially active volcanoes in the U.S.
[00:20:39.785 --> 00:20:40.306]  are located?
[00:20:40.506 --> 00:20:43.887]  And do you know the locations of the top 300 prime terrorist targets?
[00:20:44.127 --> 00:20:48.829]  You can find these answers and more in the new interactive CD book, Fruitin' Places USA.
[00:20:49.109 --> 00:20:56.012]  With the more than 50 interactive parameters, you can pinpoint natural and man-made disaster areas, brewing environmental catastrophes.
[00:20:56.292 --> 00:21:00.394]  The safest cities, the best places for solar and wind energy, and much, much more.
[00:21:00.674 --> 00:21:15.102]  Complete with 3 gigabytes of detailed information on each of 3,000 plus counties in the U.S., including 550 high-resolution full-color maps and full-color photographs, as well as detailed information and analysis to help you zero in on the best places to live.
[00:21:15.342 --> 00:21:19.984]  The ideal location for cabins and vacation homes, as well as safe and unsafe areas.
[00:21:20.284 --> 00:21:25.247]  Get Prudent Places USA for only $49 plus shipping by calling New Millennium
[00:21:25.507 --> 00:21:29.628]  One of America's greatest patriots, Patrick Henry, said, give me liberty or give me death.
[00:21:47.842 --> 00:21:51.925]  It was Patrick Henry who forced the Bill of Rights to be added to the Constitution.
[00:21:52.386 --> 00:22:01.072]  Your unalienable or unchangeable right to religious freedom, freedom of the press, freedom of speech, or the right to own a gun.
[00:22:01.873 --> 00:22:07.197]  There are certain movements underway to strip you of these unalienable, unchangeable rights today.
[00:22:07.217 --> 00:22:15.323]  To help you grasp the loss of these freedoms, we'll send you absolutely free a one-year subscription to Newswatch Magazine.
[00:22:16.104 --> 00:22:16.644]  Just call 1-800
[00:22:18.148 --> 00:22:18.569]  516-8736.
[00:22:18.629 --> 00:22:18.969]  That's 1-800-516-8736.
[00:22:19.009 --> 00:22:20.291]  It's absolutely free.
[00:22:20.311 --> 00:22:22.734]  Operators are standing by to assist you.
[00:22:22.774 --> 00:22:23.375]  Just call right now.
[00:22:36.630 --> 00:22:38.672]  Do you know the truth about cancer treatments?
[00:22:39.293 --> 00:22:48.241]  Do you realize that with all presently accepted methods, you are not correctly attacking the cancer, and you are mostly fighting to survive the treatment?
[00:22:48.682 --> 00:22:55.869]  Do you realize that mutilating surgery, burning, and the poisoning of your entire system are totally unnecessary?
[00:22:56.599 --> 00:23:02.084]  But now, it's cancer's turn to die with LaceMedInc's patented methodology.
[00:23:02.584 --> 00:23:13.393]  Without cutting, bleeding, drugs, or damaging radiation, we can destroy skin cancer and breast tumors of any size without adverse side effects at our physician's office.
[00:23:14.174 --> 00:23:16.216]  Laser technology at its best.
[00:23:16.736 --> 00:23:18.158]  For more information, call 702-953-0267.
[00:23:22.701 --> 00:23:25.203]  Or, visit www.lasemedinc.com.
[00:23:25.423 --> 00:23:25.744]  Call 702-953-0267.
[00:23:35.640 --> 00:23:39.542]  The United States seems to be celebrating over its triumph of reducing government debt.
[00:23:39.762 --> 00:23:52.027]  But the truth be told, public and private debt increased to a record high in 1999, reaching a peak of $14.8 trillion, marking 10.57% annual increase, outpacing its previous 10 years.
[00:23:52.447 --> 00:23:52.847]  The U.S.
[00:23:52.907 --> 00:23:58.469]  economy receives its currency by taking on debt through a private banking institution called the Federal Reserve System.
[00:23:58.889 --> 00:24:01.090]  In the year 2000, debt growth collapsed to only 4.5%.
[00:24:02.951 --> 00:24:04.012]  It's bad enough that the U.S.
[00:24:04.052 --> 00:24:06.894]  citizens is bound by debt in order to have commerce.
[00:24:07.014 --> 00:24:13.039]  However, shocking the economy with the reduction of this magnitude could wipe out years of growth in a stock portfolio.
[00:24:13.459 --> 00:24:16.822]  Before you make your next investment decision, get the cold hard facts.
[00:24:16.902 --> 00:24:23.227]  Call 1-800-686-2237 for your free report on the outstanding level of public and private debt.
[00:24:23.787 --> 00:24:27.728]  You must understand how recession and depression are driven by outstanding debt.
[00:24:27.748 --> 00:24:27.909]  Call 1-800-686-2237.
[00:24:27.929 --> 00:24:28.169]  That's 1-800-686-2237.
[00:24:51.414 --> 00:24:51.715]  Yes.
[00:25:21.591 --> 00:25:24.893]  That's right.
[00:25:27.794 --> 00:25:45.862]  The New World Order thinks they're going to defeat humanity.
[00:25:45.902 --> 00:25:47.723]  They think they control us.
[00:25:47.763 --> 00:25:48.964]  They think they can engineer us.
[00:25:51.312 --> 00:25:52.933]  We've got them in a stranglehold.
[00:25:53.093 --> 00:25:55.454]  We've got a tiger by the tail.
[00:25:58.215 --> 00:25:58.775]  Welcome back.
[00:25:59.875 --> 00:26:00.216]  Okay.
[00:26:01.796 --> 00:26:09.299]  You know, if I just got up here and bashed Hillary Clinton as nothing but a sniveling pawn, a minion, a puppet, a marionette, it would be a diversion.
[00:26:09.339 --> 00:26:16.302]  But if we break down how she's a puppet, it becomes extremely informative and educational as we chart the Global Crime Syndicate's activities.
[00:26:18.783 --> 00:26:20.824]  Hillary Clinton is a New World Order minion.
[00:26:22.825 --> 00:26:25.046]  She's never really even been married to Bill Clinton.
[00:26:25.066 --> 00:26:26.467]  It was a political marriage.
[00:26:26.507 --> 00:26:28.308]  They've both been intelligence officers.
[00:26:28.448 --> 00:26:33.050]  They've both been involved in so many crimes, it's hard to even chronicle them all.
[00:26:33.150 --> 00:26:47.638]  You as listeners to talk radio and alternative talk radio certainly know her crimes are legion against the Republic, against the country, and the many petty crimes like being paid off with cattle futures and Rose Law Firm scams and Vince Foster killings.
[00:26:48.358 --> 00:26:51.840]  It literally goes on for hours, if we tried to cover it all.
[00:26:52.757 --> 00:27:04.944]  But the key is, four years ago we began reporting that she was having weekly meetings with Rupert Murdoch, and that Rupert Murdoch was even behind her senatorial run and one of her biggest supporters.
[00:27:05.425 --> 00:27:12.769]  And I noticed Fox News started positioning itself a few years ago in a neutral posture concerning Hillary Clinton with its viewers.
