[00:00:00.741 --> 00:00:02.162]  News on the hour.
[00:02:26.990 --> 00:02:27.910]  I get real cynical.
[00:02:27.970 --> 00:02:29.030]  I'm really upset, actually.
[00:02:29.931 --> 00:02:34.072]  Dallas-based food chain to accept Mexican pesos right here in Austin.
[00:02:34.112 --> 00:02:34.772]  That's good!
[00:02:35.332 --> 00:02:35.552]  Good.
[00:02:35.572 --> 00:02:37.413]  Let's just admit the end of the country publicly.
[00:02:38.213 --> 00:02:40.494]  CFR member, recruit foreigners to the military.
[00:02:40.514 --> 00:02:41.895]  Already been going on for six years.
[00:02:42.235 --> 00:02:48.757]  Another big national news story about how the majority of our ground forces within just three years will be foreigners.
[00:02:48.817 --> 00:02:49.337]  That's right.
[00:02:50.787 --> 00:02:51.949]  Of course, I'm sure.
[00:02:51.969 --> 00:02:57.594]  I'll have to hail all the foreign illegal aliens made legal, or I won't be a good patriot.
[00:02:58.094 --> 00:03:00.056]  You see, that's how the sickness works.
[00:03:00.996 --> 00:03:05.257]  Alright, I'm going to try not to have a meltdown here earlier in the broadcast today.
[00:03:05.677 --> 00:03:08.597]  Also, I thought I'd go over some World Almanac numbers for you.
[00:03:09.638 --> 00:03:14.458]  Lightning strikes and grounding are many times more dangerous than terrorism, but the government doesn't care.
[00:03:14.478 --> 00:03:22.260]  They want to hype that up until we're all looking under our tables and beds at night and begging the government to take all of our freedoms while leaving the borders wide open.
[00:03:22.280 --> 00:03:24.600]  Of course, we conveniently ignore that.
[00:03:24.620 --> 00:03:27.941]  Anything to destroy the country, good neocons do.
[00:03:29.046 --> 00:03:31.448]  It's all part of the delusional talk radio world.
[00:03:32.489 --> 00:03:35.692]  And also, terror is trivial when it's not Muslims.
[00:03:35.832 --> 00:03:41.897]  Giant terror attack last weekend, and I didn't even learn of it until Wednesday of last week.
[00:03:41.917 --> 00:03:45.640]  I bet you didn't hear about the big bombing attack at the Madrid airport.
[00:03:46.141 --> 00:03:54.748]  But because, admittedly, Muslims couldn't even be framed in connection with it, you're not going to be hearing about it except here during this transmission.
[00:03:55.168 --> 00:03:56.810]  But let's get serious here.
[00:03:58.480 --> 00:04:03.543]  I listened to the fake conservatives there to neutralize conservatives.
[00:04:03.583 --> 00:04:11.768]  Their number one job is to keep you in the dark just long enough to have blanket amnesty, to bring in the North American Union, to sack the dollar.
[00:04:12.368 --> 00:04:14.109]  And it looks like they're coming in for the big win.
[00:04:14.858 --> 00:04:25.324]  Okay, and then after that happens, it won't matter if you wake up as thumb-sucking conservatives out there, that you really weren't conservatives, that you were totally scammed, it won't matter then.
[00:04:25.344 --> 00:04:27.085]  They've almost got you.
[00:04:27.445 --> 00:04:33.509]  There's still a chance to save the country, but darn it, you're going to make sure that doesn't happen, I'm sure, many of you out there.
[00:04:35.180 --> 00:04:38.201]  And let's just take one area we've been lied to in.
[00:04:38.221 --> 00:04:48.904]  I mean, we know, at least if you've got any education or if you're informed, that private global corporations are now 46 of the 100 biggest economies, and they've combined forces together.
[00:04:49.064 --> 00:05:01.327]  They're not for free market, they're monopoly men, to come in and buy up our government and other governments, and then seize control of our governments, and use them as engines of global domination for those corporations, not for the American people.
[00:05:01.747 --> 00:05:10.171]  I mean, it'd be one thing if we really had a government that was giving us some of the spoils of going in and sacking Iraq, or giving us some of the spoils of all this.
[00:05:10.491 --> 00:05:17.035]  But the very people doing all of this are the ones dismantling the country itself, as fast as they can.
[00:05:17.275 --> 00:05:23.118]  They are the ones destroying the sovereignty, killing the Bill of Rights that is the heart and soul of the nation.
[00:05:24.324 --> 00:05:33.113]  Regardless, I want the people out there who are for the Iraq War, because from a young age they were brought up that war is manly and war is tough.
[00:05:33.474 --> 00:05:39.320]  And it's patriotic to be for a war, any war, even if you can't find the country you're attacking, on a map.
[00:05:39.800 --> 00:05:41.242]  And they're wedded to it.
[00:05:41.262 --> 00:05:44.425]  I want them to know that it doesn't matter if you're for the war.
[00:05:44.645 --> 00:05:47.068]  You see, they think they're making Americans go to war.
[00:05:47.248 --> 00:05:58.079]  This is the average good old boy out there, and that they're all part of the power system, and they've got all this personal power, and it's George Bush and them together, you know, making the American people do this because they know best.
[00:05:58.699 --> 00:05:59.840]  You don't run anything.
[00:06:00.141 --> 00:06:01.802]  George Bush doesn't run anything.
[00:06:02.103 --> 00:06:03.104]  They're total puppets.
[00:06:03.504 --> 00:06:22.309]  Okay, because if you say this is a free society, which it isn't in many respects, if 78% of Americans in major scientific polls, that number has come up several times, but high 70s, won us out, and 70% of the troops in Gallup polls won out, why hasn't it happened if the people's will is what happens in this country?
[00:06:23.050 --> 00:06:23.410]  Okay?
[00:06:23.631 --> 00:06:29.515]  And it isn't just that they lied about WMDs, like, oh, they thought they were there.
[00:06:29.615 --> 00:06:37.921]  We have the White House memo, published public, from six months before the war, with Tony Blair and Bush, where they're saying we can stage WMD fines.
[00:06:37.961 --> 00:06:39.922]  That's a big crime, staging weapons.
[00:06:40.803 --> 00:06:42.584]  Oh, it's there, the exact minutes of it.
[00:06:43.025 --> 00:06:47.168]  And they say that we can sell the public with fake defectors, we can fly U.S.
[00:06:47.208 --> 00:06:48.369]  planes, paint it up like the U.N.
[00:06:48.409 --> 00:06:52.512]  load, try to get Saddam to shoot them down, like we did with Tonkin and everything else.
[00:06:53.881 --> 00:07:01.392]  Or they go further and talk about how they're going to claim that they know he has WMDs even though they don't.
[00:07:02.193 --> 00:07:08.060]  You see, they premeditatedly, knowingly lied to us.
[00:07:08.781 --> 00:07:09.723]  Knowingly!
[00:07:10.638 --> 00:07:15.041]  And then they'll try to say, well, the Democrat evil commies, they're not for the war!
[00:07:15.862 --> 00:07:17.523]  Hillary wants to attack Iran.
[00:07:17.543 --> 00:07:19.044]  Chuckie Schumer wants to attack Iran.
[00:07:19.464 --> 00:07:21.406]  Lieberman wants to attack Iran.
[00:07:21.886 --> 00:07:28.951]  Democrats, in some cases, are outvoting Republicans with Bush to push the whole police state.
[00:07:29.171 --> 00:07:30.512]  They're voting for the Patriot Act.
[00:07:30.532 --> 00:07:31.653]  They're voting for open borders.
[00:07:31.673 --> 00:07:33.354]  They're voting for assault weapons ban.
[00:07:33.775 --> 00:07:35.015]  Everything Bush wants.
[00:07:35.916 --> 00:07:38.398]  And, you know, it's phony conservatives out there listening.
[00:07:39.125 --> 00:07:41.827]  You saying Bush is pro-Second Amendment doesn't make it so.
[00:07:42.148 --> 00:07:47.072]  You lying to yourself and saying he didn't lobby and didn't push the assault weapons ban didn't make it so.
[00:07:48.126 --> 00:07:49.587]  You know, he did push for that.
[00:07:50.087 --> 00:07:50.507]  You see?
[00:07:51.548 --> 00:08:04.996]  And so you need to understand that you need to get off your little power trip, because I know that's what it's all about when you swagger and stumble around with plastic desecrated American flags made by Chinese slaves, all over your car, and your cult members, your Kool-Aid drinkers.
[00:08:05.476 --> 00:08:09.979]  I want you to understand, okay, that 78% of the American people don't want the war.
[00:08:10.419 --> 00:08:11.880]  The generals don't want the war.
[00:08:12.300 --> 00:08:14.962]  Every statistician has said that it is a disaster.
[00:08:15.592 --> 00:08:22.537]  But because defense contractors are making a hundred plus billion dollars a year, it's going to go on and on and on and on.
[00:08:22.557 --> 00:08:34.884]  So don't worry, your junior's got a chance to tromp off and breathe some depleted uranium and be given some experimental shots and get shot up so you can feel like you're a man and your son's a man and you can feel like you're a bunch of tough heroes.
[00:08:35.285 --> 00:08:40.588]  While the borders are wide open, the country's totally imploding, the dollar's imploding, and then now companies all over the U.S.
[00:08:40.608 --> 00:08:43.310]  are going to start trading in pesos and we'll be using pesos.
[00:08:44.083 --> 00:08:48.675]  And they're going to make Texas school children speak in Spanish in one of their primary courses.
[00:08:49.520 --> 00:08:57.226]  Okay, so I just want you to understand that 97% of Texans don't want toll roads on existing roads.
[00:08:57.246 --> 00:08:58.146]  They're going to do it anyways.
[00:08:58.687 --> 00:09:02.449]  And I want you to know that 90% of Americans want the borders shut and controlled.
[00:09:02.670 --> 00:09:03.490]  It isn't going to happen.
[00:09:03.770 --> 00:09:06.412]  And I want you to know 78% don't want this war.
[00:09:06.693 --> 00:09:07.833]  It's going to keep happening.
[00:09:08.234 --> 00:09:15.939]  And I want you to know that 97% of Americans don't want a national ID card, but they put it in as the state ID standardized.
[00:09:16.240 --> 00:09:16.840]  It's happening.
[00:09:17.541 --> 00:09:34.709]  Okay, so just get off your power trip that it's you and the fake conservatives winning, because you know best, and we've got to fight them over there instead of over here, and you're running something, and you're part of the system, because you drive a big truck, and you know how to stick your belly out like it's a weapon at people.
[00:09:35.309 --> 00:09:38.311]  I want you to know you don't run anything!
[00:09:39.331 --> 00:09:39.692]  Okay?
[00:09:39.772 --> 00:09:42.533]  I want you to know you're a slave, just like I am!
[00:09:43.647 --> 00:09:52.657]  And then maybe you can start getting your little brain cells rubbed together and figure out if you really want to defend this country, you better find out you've been scammed and conned.
[00:09:52.997 --> 00:09:54.498]  But a lot of you don't want to admit that.
[00:09:54.939 --> 00:09:55.760]  I'm Alex Jones.
[00:09:55.820 --> 00:09:57.402]  PrisonPointed.com is the website.
[00:09:57.662 --> 00:09:58.623]  We'll be right back!
[00:10:10.299 --> 00:10:12.441]  You know what I'm really mad about?
[00:10:12.461 --> 00:10:14.002]  What's got me the most angry?
[00:10:35.211 --> 00:10:41.837]  Is that I didn't think fake conservative talk radio to get any more traitorous or disgusting.
[00:10:42.257 --> 00:10:43.838]  And lose, of course, most of our audience.
[00:10:44.499 --> 00:10:46.801]  As many of the national hosts are doing right now.
[00:10:46.841 --> 00:10:48.442]  They're plunging us.
[00:10:49.403 --> 00:10:52.806]  Websites like PrisonPlanet.com and InfoWars.com are rising.
[00:10:53.387 --> 00:10:55.488]  Just like the fake liberal sites are all imploding.
[00:10:55.508 --> 00:10:56.769]  You know, that's the good news.
[00:10:56.809 --> 00:10:58.611]  The elites getting what they wanted.
[00:10:58.631 --> 00:10:59.772]  Their world government
[00:11:00.609 --> 00:11:04.174]  But in the process they're waking a lot of people up.
[00:11:04.515 --> 00:11:06.958]  The establishment isn't fooling everybody anymore.
[00:11:07.039 --> 00:11:09.823]  They're fooling less and less people every single day.
[00:11:11.855 --> 00:11:16.417]  And I listen to national talk show hosts, and I also read what they write and the things they say and do.
[00:11:16.477 --> 00:11:17.778]  Take Michael Medved.
[00:11:18.038 --> 00:11:21.099]  He's attacked me and said I should be arrested on air for the things I say.
[00:11:21.139 --> 00:11:26.722]  And Newt Gingrich is out giving speeches now saying we should have banned the First Amendment and arrest people that criticize the government.
[00:11:26.742 --> 00:11:29.063]  I mean, I've got transcripts of it, I've played audio of it.
[00:11:29.403 --> 00:11:31.023]  Oh yeah, land of the free, home of the brave!
[00:11:31.424 --> 00:11:34.305]  Let's just ban free speech, you know, because they can't beat us!
[00:11:34.785 --> 00:11:35.906]  We're going to beat them!
[00:11:35.966 --> 00:11:37.386]  And please try to ban it!
[00:11:37.606 --> 00:11:38.407]  Please arrest me!
[00:11:38.467 --> 00:11:38.887]  Please!
[00:11:38.947 --> 00:11:39.827]  Do whatever you're going to do to me!
[00:11:40.048 --> 00:11:41.368]  Just make me a big fat martyr!
[00:11:41.768 --> 00:11:44.290]  Because all I care about is this country and my family that lives in it.
[00:11:44.550 --> 00:11:45.950]  I'm actually red, white, and blue.
[00:11:46.150 --> 00:11:48.271]  I actually bleed red, white, and blue, ladies and gentlemen.
[00:11:48.452 --> 00:11:52.573]  That's why I'm so mad I could just grind my teeth off in absolute anger right now.
[00:11:53.994 --> 00:11:56.655]  I've been able to get through to a lot of people, but not everybody.
[00:11:57.296 --> 00:12:00.397]  I mean, I've been on national talk shows, like Lars Larson.
[00:12:03.172 --> 00:12:09.514]  Lars was sitting there admitting there was a North American Union, but saying I was a liberal because I was against it.
[00:12:10.174 --> 00:12:13.035]  I mean, pretty soon it'll be a you're a liberal if you're for the Second Amendment.
[00:12:13.416 --> 00:12:14.136]  There's nothing to do with it.
[00:12:14.156 --> 00:12:14.956]  It's just labels.
[00:12:15.196 --> 00:12:16.577]  They just throw around.
[00:12:16.597 --> 00:12:18.117]  That's all they do!
[00:12:18.137 --> 00:12:24.419]  And Michael Bedman, I have the transcript of what he said about Aaron Russo, who I was interviewing yesterday down in Houston.
[00:12:25.280 --> 00:12:26.620]  He's down there getting some medical treatments.
[00:12:27.380 --> 00:12:28.961]  Aaron Russo, famous Hollywood producer.
[00:12:30.464 --> 00:12:33.905]  Made a film about the fact that the private Federal Reserve runs our country.
[00:12:35.326 --> 00:12:37.967]  And Medved saying he's a traitor and needs to be arrested.
[00:12:38.867 --> 00:12:41.428]  Because he made a film saying the IRS is a scam.
[00:12:41.508 --> 00:12:43.048]  I mean, Ronald Reagan said that.
[00:12:43.368 --> 00:12:45.329]  They had a congressional commission that said that.
[00:12:45.769 --> 00:12:48.750]  And even if it wasn't true, Aaron Russo's got a right to say it.
[00:12:48.910 --> 00:12:50.671]  I mean, what's all this arrest talk?
[00:12:51.215 --> 00:12:51.976]  That's going on.
[00:12:53.278 --> 00:12:56.822]  And then he went on to attack, Medved went on to attack Jerome Corsi.
[00:12:57.382 --> 00:13:00.847]  Dr. Jerome Corsi is as Republican and right wing as you can get.
[00:13:00.867 --> 00:13:03.129]  I mean, he's the guy saying, nuke the Middle East.
[00:13:03.370 --> 00:13:05.472]  I don't agree with him on that, but I agree with him on a bunch of other stuff.
[00:13:05.492 --> 00:13:06.714]  I interview him all the time.
[00:13:06.734 --> 00:13:10.078]  You hear him all over national shows and all over CNN and Fox.
[00:13:10.758 --> 00:13:11.439]  Constantly.
[00:13:11.739 --> 00:13:15.161]  Jerome Corsi went and got all the official documents of the North American Union.
[00:13:15.622 --> 00:13:17.523]  Stuff we'd already had, but he got attention.
[00:13:18.123 --> 00:13:24.928]  And he writes for Human Events and WorldNetDaily, and Medved's doing the same thing, saying he's a traitor, he's a liar.
[00:13:25.509 --> 00:13:27.610]  Medved gives no facts.
[00:13:27.690 --> 00:13:28.991]  So this is what I'm seeing.
[00:13:29.031 --> 00:13:30.112]  I'm not going to mention all the names.
[00:13:30.132 --> 00:13:31.993]  You know who we're talking about.
[00:13:32.013 --> 00:13:36.376]  There is no CFR, there is no world government, there is no North American Union.
[00:13:36.837 --> 00:13:37.957]  It doesn't exist.
[00:13:38.438 --> 00:13:40.079]  And if you say it does, you're a traitor.
[00:13:41.232 --> 00:13:41.933]  You're a terrorist.
[00:13:42.013 --> 00:13:44.174]  I mean, this is bizarre.
[00:13:45.656 --> 00:13:46.556]  This is bizarre.
[00:13:47.517 --> 00:13:49.639]  But no wonder they're now losing their audiences.
[00:13:49.679 --> 00:13:50.720]  You can go look at the trends.
[00:13:51.380 --> 00:13:53.902]  In just the last year, of course they're losing their audiences.
[00:13:54.142 --> 00:13:59.627]  You can't fool... You know, the average person out there listening to conservative talk radio is not that stupid.
[00:14:00.467 --> 00:14:02.629]  And they're not buying into it anymore.
[00:14:03.289 --> 00:14:03.650]  Okay?
[00:14:04.410 --> 00:14:07.313]  And the fraud has been exposed.
[00:14:08.200 --> 00:14:18.688]  Just to have them denying that they signed the North American Union almost a year and a half ago, that we're in the North American Union, that they're merging the agencies.
[00:14:18.728 --> 00:14:20.449]  The Army Times is reporting that.
[00:14:23.051 --> 00:14:26.854]  And then they come out and say, well, 20% of our ground forces are now foreigners.
[00:14:27.195 --> 00:14:32.238]  We're going to have them be as many as half in a new expansion by late 2010, so four years from now.
[00:14:36.781 --> 00:14:39.023]  I mean, this is admitted!
[00:14:39.683 --> 00:14:42.125]  You can't make up this type of Twilight Zone stuff.
[00:14:42.305 --> 00:14:43.706]  We post it on the websites.
[00:14:43.926 --> 00:15:01.057]  All we do is go collect and collate, mainly mainstream news, where it's admitted, but we take all the stuff that's in the back of the paper, the stuff that's really important, and we ignore Jay-Z, and we ignore Paris Hilton not wearing underpants, and we ignore the things that don't matter, and we take all the stuff that does.
[00:15:01.637 --> 00:15:05.940]  Like, oh, here's the AP saying they quadrupled the level of mercury in the vaccines.
[00:15:06.693 --> 00:15:08.934]  We already knew that, but here's AP saying it.
[00:15:09.034 --> 00:15:10.554]  Why are they telling you they took it out?
[00:15:11.194 --> 00:15:13.214]  Oh, by the way, here they are admitting it causes autism.
[00:15:13.474 --> 00:15:19.556]  We're just mainstream people that don't buy the propaganda anymore and who are mad about it.
[00:15:19.756 --> 00:15:22.916]  I mean, I'm so mad about this, I can barely do this radio show today.
[00:15:23.357 --> 00:15:29.018]  I was driving up here in my car, not thinking about quitting, but just so disgusted.
[00:15:29.038 --> 00:15:30.398]  I have so much evidence.
[00:15:31.184 --> 00:15:33.685]  So many facts!
[00:15:34.265 --> 00:15:43.327]  Maybe I should just start taking one lie per show and then just slicing through it, dissecting it into thousands of little pieces for you.
[00:15:43.647 --> 00:15:49.648]  Because I know, for everything I say, you've been preconditioned with a comeback that's based on disinfo.
[00:15:50.868 --> 00:15:55.329]  I mean, it's just the psychological warfare the American people have been under.
[00:15:57.981 --> 00:16:01.425]  Back twelve years ago I talked about the North American Union and how it was coming.
[00:16:01.905 --> 00:16:04.107]  The people said it didn't exist, it was totally delusional.
[00:16:05.649 --> 00:16:09.412]  Now the North American's here, the North American Union's here, we're in it.
[00:16:10.173 --> 00:16:20.884]  The country is being dismantled, the dollar's being dismantled, companies are starting to trade in pesos on the streets of Texas, in businesses, and our military's going to be mainly foreigner.
[00:16:22.601 --> 00:16:28.707]  And now the neocons are on talk radio saying, okay, well it exists, but it's good.
[00:16:30.548 --> 00:16:45.501]  After all these years denying it, now it's good, but what we need to say, you know, open borders, total blanket amnesty is good, guest worker program is good, that's conservative, and then it's bad
[00:16:49.068 --> 00:16:50.028]  To have First Amendment.
[00:16:50.088 --> 00:16:52.549]  It's bad to not want to have your mail read without warrants.
[00:16:53.089 --> 00:16:55.170]  It's bad to not want to be tracked and traced.
[00:16:56.030 --> 00:16:58.431]  I mean, it's just, we're in a lot of trouble, folks.
[00:16:58.491 --> 00:17:02.092]  I mean, look at the stories I've got here in front of me today.
[00:17:02.392 --> 00:17:05.113]  This is the Associated Press, also of ABC News here.
[00:17:06.266 --> 00:17:07.107]  Two different articles.
[00:17:07.187 --> 00:17:07.527]  Bush!
[00:17:07.607 --> 00:17:13.752]  Government can open your mail, President Bush said, and the government can read American's mail without a judge's warrant.
[00:17:13.792 --> 00:17:18.856]  In a signing statement attached to a postal reform bill, critics say he's wrong.
[00:17:20.658 --> 00:17:24.041]  Because they've been reading our mail without warrants, U.S.
[00:17:24.081 --> 00:17:25.222]  citizens internally.
[00:17:25.542 --> 00:17:27.784]  I'm talking about mail going out of the country, or mail coming in.
[00:17:28.875 --> 00:17:33.440]  And then when they got caught doing it, now remember, this is the same guy who's a total puppet.
[00:17:33.460 --> 00:17:35.923]  Let's be clear, he runs nothing, Hillary runs nothing.
[00:17:36.083 --> 00:17:40.307]  That's why I don't care if it's Pelosi or Hillary or any of these people.
[00:17:40.327 --> 00:17:41.328]  It does not matter.
[00:17:42.049 --> 00:17:51.339]  Frankly, Democrats might be better in office because Republicans on the grassroots will wake up to the fact that they're evil and then maybe we can get something done here.
[00:17:52.262 --> 00:18:00.828]  I mean, when you put a Republican in, it's like some kind of sleeping gas and everybody goes to sleep for four or eight years and wakes up and the country's gone because a Republican wouldn't hurt us!
[00:18:01.568 --> 00:18:03.650]  Some big government Democrats!
[00:18:03.750 --> 00:18:04.570]  Big government!
[00:18:04.831 --> 00:18:06.672]  Government grows more when Republicans are in!
[00:18:06.812 --> 00:18:07.833]  Go look at the graphs!
[00:18:09.374 --> 00:18:09.654]  Folks...
[00:18:11.189 --> 00:18:13.269]  Getting your freedom isn't going to be simple sound bites.
[00:18:13.309 --> 00:18:18.871]  It isn't going to be just simple liberal conservative terminology and then you just go over the next hill and go to sleep forever.
[00:18:19.311 --> 00:18:23.952]  It's going to take you getting informed, getting involved, and learning what's happening in the world.
[00:18:25.232 --> 00:18:25.752]  But look at this.
[00:18:26.172 --> 00:18:30.473]  Dallas-based food chain, they're right here in Austin, to accept Mexican pesos.
[00:18:31.053 --> 00:18:34.734]  Starting Monday, Patrons of the Dallas-based pizza Patron chain, which
[00:18:36.108 --> 00:18:41.093]  Caterers, heavy to Latinos, will be able to purchase American pizzas with Mexican pesos.
[00:18:42.394 --> 00:18:48.319]  Our troops are going to be firing, our currency is firing, our currency is imploding, our sovereignty is disappearing.
[00:18:49.260 --> 00:18:50.381]  We'll come back and take calls.
[00:18:50.862 --> 00:18:52.263]  I've got so much news.
[00:18:53.064 --> 00:18:55.826]  We've got a much better chance of being struck by lightning and killed by terrorists.
[00:18:56.667 --> 00:18:59.110]  Why don't they have a show on 24 where he fights lightning bolts?
[00:18:59.430 --> 00:19:00.030]  We'll be right back.
[00:19:00.050 --> 00:19:00.431]  Stay with us.
[00:19:14.957 --> 00:19:16.598]  The odds of a child becoming a professional athlete are 1 in 16,000.
[00:19:16.638 --> 00:19:17.079]  Far-fetched?
[00:19:17.099 --> 00:19:17.259]  Maybe.
[00:19:17.439 --> 00:19:20.281]  But did you know the odds of a child being diagnosed with autism are 1 in 166?
[00:19:20.321 --> 00:19:21.883]  To learn the signs of autism, go to AutismSpeaks.org.
[00:19:21.903 --> 00:19:23.064]  Brought to you by Autism Speaks and the Ad Council.
[00:19:49.290 --> 00:19:50.473]  Rush Limbaugh.
[00:19:50.553 --> 00:19:51.254]  New rules.
[00:19:51.895 --> 00:19:54.741]  Make firms track emails and instant messages.
[00:19:55.450 --> 00:20:12.755]  As you're composing your emails and your chats, you're going back and forth with friends, even if it has nothing to do with business, just make sure that you never write anything that you wouldn't want read back to you while you sit on the stand in court in front of a jury.
[00:20:13.055 --> 00:20:14.335]  This is unbelievable.
[00:20:14.936 --> 00:20:19.217]  Rush is live weekdays from 11 to 2 on News Radio 590.
[00:20:24.122 --> 00:20:29.946]  The Mack Tribe's radio show, tonight, 9 to midnight, on News Radio 590 KLBJ.
[00:20:29.966 --> 00:20:33.148]  Raging for the truth.
[00:20:33.208 --> 00:20:34.629]  Exposing corruption.
[00:20:35.149 --> 00:20:38.431]  Dismantling a false left-right paradigm.
[00:20:38.852 --> 00:20:40.453]  He's Alex Jones.
[00:20:43.118 --> 00:20:46.219]  Alright, Jeffrey, Scott, Rudy, and many others that are patiently holding.
[00:20:46.239 --> 00:20:48.379]  We're going to be going to your calls here in just a few minutes.
[00:20:48.419 --> 00:20:56.881]  The toll free number is 877-590-5525 all over the country or 836-0590 here locally here in Texas if you're listening to the mothership.
[00:20:56.901 --> 00:21:02.922]  590 AM here at Kelby's J. Alright, just finishing up with the whole war thing.
[00:21:03.362 --> 00:21:10.964]  If this is a free country, if the people make the rules, if the people make the decisions, if what we want is what is carried out, and you've got 78%
[00:23:24.564 --> 00:23:25.285]  Don't believe me!
[00:23:26.405 --> 00:23:28.106]  Don't learn how you're getting scammed!
[00:23:28.346 --> 00:23:29.907]  Don't learn how you're getting lied to!
[00:23:30.107 --> 00:23:32.349]  Don't learn how so much in this world's a fraud!
[00:23:32.649 --> 00:23:36.251]  Don't check into Comprehensive Annual Financial Reports.
[00:23:37.391 --> 00:23:38.552]  C-A-F-R.
[00:23:38.972 --> 00:23:52.840]  Don't type C-A-F-R into Google, because you'll be at the state of Texas website, state of Kentucky website, state of California, the cities, the tens of thousands of school districts and water districts.
[00:23:53.576 --> 00:23:55.878]  And you'll learn they've got a double set of books.
[00:23:56.578 --> 00:23:58.460]  And you'll learn the government has plenty of money.
[00:23:58.680 --> 00:24:00.561]  And you'll find out how you've been scammed.
[00:24:01.001 --> 00:24:09.107]  And you'll find out the master plan to bankrupt the government and then have foreign corporations come in and buy up everything and become the government.
[00:24:10.308 --> 00:24:11.129]  Oh, no, no, no.
[00:24:11.169 --> 00:24:15.772]  Then you might have to do something like save your bank account and save your future.
[00:24:16.012 --> 00:24:17.594]  No, no, no, no, no, no, no, no.
[00:24:17.874 --> 00:24:18.995]  Just don't listen to me.
[00:24:19.115 --> 00:24:20.576]  Diamonds are really precious.
[00:24:21.588 --> 00:24:25.430]  Okay, and the Iraq War is really good, and amnesty isn't.
[00:24:25.451 --> 00:24:26.531]  I mean, excuse me.
[00:24:28.052 --> 00:24:28.993]  Sorry, Freudian slip there.
[00:24:29.693 --> 00:24:33.355]  The guest worker program is not an amnesty program.
[00:24:34.156 --> 00:24:36.037]  And Bush wasn't for the assault weapons ban.
[00:24:36.818 --> 00:24:39.519]  And they're not recruiting foreigners for our military.
[00:24:40.080 --> 00:24:41.741]  Everything's fine.
[00:24:42.401 --> 00:24:42.761]  Okay?
[00:24:43.001 --> 00:24:43.682]  There, there.
[00:24:43.982 --> 00:24:45.243]  That makes it a lot easier.
[00:24:46.320 --> 00:24:48.924]  I mean, I hear these people, the same old story.
[00:24:49.425 --> 00:24:52.088]  George Bush appointed the Iraq Study Group.
[00:24:52.449 --> 00:24:58.377]  The Iraq Study Group is run by all the big oil company executives, and they call it an independent group.
[00:24:58.658 --> 00:25:00.821]  They come out and recommend more troops.
