[00:00:00.409 --> 00:00:01.250]  Find out right now!
[00:02:38.656 --> 00:02:39.956]  I've had them detain me.
[00:02:40.016 --> 00:02:41.237]  I've seen them arrest many others.
[00:02:41.797 --> 00:02:43.238]  And I went and watched a little bit of the video.
[00:02:43.278 --> 00:02:44.238]  And it was like 15 minutes.
[00:02:44.258 --> 00:02:45.319]  I didn't watch it all.
[00:02:45.399 --> 00:02:47.479]  And I had Luke on about it, frankly.
[00:02:47.519 --> 00:02:48.680]  Not even watching all the video.
[00:02:48.700 --> 00:02:49.720]  Just going off his word.
[00:02:50.020 --> 00:02:51.021]  That's how busy I am.
[00:02:53.182 --> 00:02:55.003]  I got around last night.
[00:02:55.023 --> 00:02:56.363]  Because he was on a few days ago.
[00:02:57.544 --> 00:02:58.604]  And popped in.
[00:02:58.624 --> 00:03:00.945]  And he mentioned that.
[00:03:00.985 --> 00:03:02.106]  So I promised to watch it.
[00:03:02.146 --> 00:03:03.046]  So I did watch it.
[00:03:03.917 --> 00:03:04.617]  Blow me away!
[00:03:04.677 --> 00:03:13.502]  You have guys that look like they're out of central casting from the Godfather, or Goodfellas, or The Sopranos.
[00:03:13.622 --> 00:03:16.703]  I mean, they're more mafia than that.
[00:03:16.804 --> 00:03:30.170]  And it's Silverstein security guys, and they walk up to Luke and the 9-11 Truthers, the local 9-11 group there in New York, and said, uh, you are terrorists.
[00:03:30.330 --> 00:03:31.111]  That is a bomb.
[00:03:32.511 --> 00:03:33.612]  Turn your cameras off.
[00:03:34.916 --> 00:03:36.577]  And they call the police.
[00:03:37.837 --> 00:03:39.718]  They're on the city sidewalk.
[00:03:39.818 --> 00:03:41.559]  The police come and arrest him.
[00:03:43.279 --> 00:03:54.724]  And then to see the cops and the security people laughing with pleasure as they literally slit the throat of the country.
[00:03:54.804 --> 00:03:55.724]  I mean, they are
[00:03:57.071 --> 00:04:04.938]  You've seen the famous black and white footage of Nazis loading people on cattle cards or demanding a CID's and shaking people down, but at least they were serious about it.
[00:04:04.978 --> 00:04:10.023]  It was horrible what they were doing, but it was very mechanical, and I guess there was some professionalism to it.
[00:04:10.543 --> 00:04:11.144]  Very wicked.
[00:04:11.444 --> 00:04:14.326]  But did you just see frothing gangsterism?
[00:04:17.829 --> 00:04:19.311]  I mean, I've never seen anything like this.
[00:04:19.331 --> 00:04:23.835]  When the Communist Chinese arrest you for your speech and drag you off, they're very serious.
[00:04:25.097 --> 00:04:26.798]  We've hit a new low, ladies and gentlemen.
[00:04:26.818 --> 00:04:35.320]  I mean, they actually are like, you know, that 14-year-old punk kid who liked to beat up 10-year-olds and 9-year-olds.
[00:04:35.360 --> 00:04:37.280]  He'd go out to the playground at the neighborhood to do it.
[00:04:37.701 --> 00:04:38.921]  You know that type of person.
[00:04:39.381 --> 00:04:42.242]  Weak, soft, pathetic, trash of the earth.
[00:04:42.802 --> 00:04:47.063]  The most unmanly type of soft filth, but putting on a big act.
[00:04:47.103 --> 00:04:47.723]  You know the type.
[00:04:48.604 --> 00:04:49.604]  I just detest them.
[00:04:53.175 --> 00:04:56.518]  Just literal filth of earth, ladies and gentlemen.
[00:04:57.378 --> 00:05:09.168]  I was part of, of course, Mark Dice had a good idea, John Connor, formerly known as John Connor, to do a Truth Jam, where he put a $1000 reward out for people to put their best video together.
[00:05:09.208 --> 00:05:11.750]  I don't know if Luke won with this video, he should have.
[00:05:12.790 --> 00:05:14.772]  But that video is up on PrisonPlanet.com.
[00:05:14.832 --> 00:05:16.333]  I've told Paul Watson to repost it.
[00:05:16.593 --> 00:05:17.454]  We got it up a week ago.
[00:05:17.474 --> 00:05:17.634]  But, yeah.
[00:05:22.444 --> 00:05:31.950]  I mean, they walk right up and say, you're terrorists, you're going to jail for 30 days, and they go, we know you're not terrorists, but that's the fun thing about this, and they all start laughing.
[00:05:32.711 --> 00:05:34.412]  I mean, you're watching the death of America.
[00:05:38.474 --> 00:05:41.656]  It's here, after a year in production and traveling to distant lands.
[00:05:41.997 --> 00:05:43.938]  My new film, Terror Storm, is complete.
[00:05:44.318 --> 00:05:51.803]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:05:52.631 --> 00:05:59.696]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:06:00.097 --> 00:06:11.505]  Terror Storm chronicles the lies that took us to war in Iran, the White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:06:11.825 --> 00:06:15.348]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:06:15.808 --> 00:06:17.710]  It's an anthology of government crimes.
[00:06:18.050 --> 00:06:21.833]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:06:22.498 --> 00:06:29.946]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[00:06:35.006 --> 00:06:40.088]  Black Berkey purification elements are more powerful than any gravity filter element on the market.
[00:06:40.148 --> 00:06:47.450]  These awesome elements are used in Berkey purification systems, and they can also be used to upgrade most other gravity filtration systems.
[00:06:47.630 --> 00:06:58.233]  They can purify raw, untreated water by removing pathogenic bacteria, cysts, parasites, trihalomethanes, and chemicals such as chlorine, atrazine, styrene, and MTBE.
[00:06:58.454 --> 00:07:02.975]  These elements also reduce unwanted heavy metals such as lead, mercury, and aluminum.
[00:07:03.275 --> 00:07:08.257]  Unbelievably, they even remove small microparticulate from water like food coloring particles.
[00:07:08.477 --> 00:07:11.418]  Yeah, they leave in the nutritional minerals that your body needs.
[00:07:11.638 --> 00:07:21.502]  Moreover, because they are recleanable, black berkey elements are more economical than the standard disposable elements, providing fresh, pure water for less than two cents per gallon.
[00:07:21.522 --> 00:07:24.703]  Get a two-pack for only $99 or a four-pack for only $188 by calling
[00:07:25.503 --> 00:07:27.504]  Government is best, which governs least.
[00:07:27.564 --> 00:07:29.004]  Wake up and smell the fascism.
[00:07:29.044 --> 00:07:31.305]  Being in government means never having to say you're sorry.
[00:07:31.325 --> 00:07:33.906]  What part of unconstitutional do you not understand, George?
[00:07:45.097 --> 00:07:51.839]  In today's world full of tyranny and injustice, sometimes it seems the only thing we still have is our freedom of speech.
[00:07:52.399 --> 00:08:00.042]  Exercise your freedom of speech by purchasing your choice of hundreds of different Liberty Stickers from humorous to serious at LibertyStickers.com
[00:08:01.005 --> 00:08:04.667]  LibertyStickers.com can even customize your own bumper stickers.
[00:08:04.847 --> 00:08:07.008]  It's time to stand up for what you believe.
[00:08:07.349 --> 00:08:08.409]  Invest in your freedom.
[00:08:08.669 --> 00:08:13.372]  Get your stickers at LibertyStickers.com for your family, friends, and community.
[00:08:13.772 --> 00:08:15.733]  Go to LibertyStickers.com or call 877-873-9626.
[00:08:19.455 --> 00:08:19.695]  That's 877-873-9626.
[00:08:19.715 --> 00:08:21.016]  And express your freedom of speech today.
[00:08:21.076 --> 00:08:21.256]  Call 877-873-9626.
[00:08:21.296 --> 00:08:21.876]  That's 877-873-9626.
[00:08:21.996 --> 00:08:26.177]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:08:26.197 --> 00:08:27.798]  It's Alex Jones and the GCN Radio Network.
[00:08:48.215 --> 00:09:03.527]  Walter Heyfecker, if I'm pronouncing that right, is a German beekeeping expert, professor, a bunch of other things, but he recognizes the leading expert in Europe, or one of the leading experts in Europe, on bees.
[00:09:04.588 --> 00:09:15.876]  There's all these studies coming out about the GMO corn, one particular type, the Bt Monsanto corn, which has a pesticide that grows in the corn.
[00:09:15.936 --> 00:09:16.317]  It's a
[00:09:17.786 --> 00:09:39.095]  uh... biocrop a uh... pharmacological crop and it kills insects that eat it and yes it's approved for humans to eat because you're a lot bigger and it won't kill you right away this is the insanity ladies and gentlemen but don't worry about that just go join a local environmental group that steals farms and ranches and
[00:09:40.585 --> 00:09:48.252]  Go be part of smart growth to set up a North American Union and a carbon tax and feel real good while the elite flies around above us in their private jets.
[00:09:50.895 --> 00:09:57.901]  But meanwhile, we're eating pesticide in one of the most popular and most used types of corn.
[00:09:58.662 --> 00:10:00.984]  I'm already digressing and getting into the story.
[00:10:01.144 --> 00:10:03.046]  He'll be joining us in the second hour.
[00:10:03.066 --> 00:10:06.709]  We're going to have a quick one-segment update from Reverend Ted Pike.
[00:10:07.406 --> 00:10:14.932]  From Truthtellers.org about the serious First Amendment attacking legislation moving forward.
[00:10:15.072 --> 00:10:28.161]  I, late last night, finally watched the entire, I don't know, it must be 20 minutes, of Luke Radowsky and New York 9-11 Truth up in New York City.
[00:10:28.241 --> 00:10:32.705]  I've known Luke for a couple years, but I've never seen any footage like this.
[00:10:32.905 --> 00:10:34.186]  I've never seen anything like it.
[00:10:34.753 --> 00:10:35.814]  This is the worst.
[00:10:36.495 --> 00:10:41.579]  And again, I had cops laughing at me, snickering, screaming at me, threatening to arrest me for no reason.
[00:10:42.379 --> 00:10:45.702]  We had so many examples, we only put like three examples in martial law.
[00:10:45.842 --> 00:10:47.183]  We can't make the whole film that.
[00:10:49.045 --> 00:10:50.306]  Now, that was in 2004.
[00:10:50.566 --> 00:10:54.990]  And this dovetails in with what Ted Pike's talking about.
[00:10:55.770 --> 00:10:59.834]  I was there for the RNC, and when I went back to New York last year,
[00:11:00.692 --> 00:11:04.993]  I said about 65-70% of the cops were, hey Alex Jones, keep it up, we appreciate you.
[00:11:05.453 --> 00:11:08.994]  Cops and captains in their dress uniforms were saying, keep it up Alex.
[00:11:09.654 --> 00:11:11.135]  We had video cameras on them.
[00:11:12.175 --> 00:11:16.296]  Some cops would still stick their legs out in front of you when you were walking and try to trip you and then laugh.
[00:11:17.196 --> 00:11:18.697]  So you've got two kinds of cops in New York.
[00:11:18.737 --> 00:11:20.977]  You've got good, hard-working family men and women.
[00:11:21.737 --> 00:11:23.678]  And then you've got literal gangster types.
[00:11:24.478 --> 00:11:27.619]  And for those that don't know, there are a lot of New York cops who are in the mafia.
[00:11:28.542 --> 00:11:31.064]  And then you've got all the wannabes and the toadies.
[00:11:31.104 --> 00:11:35.208]  That's part of that whole culture.
[00:11:35.468 --> 00:11:38.871]  I've never seen footage like the footage I finally watched.
[00:11:39.092 --> 00:11:40.273]  It's been out for over a week.
[00:11:40.733 --> 00:11:42.014]  It happened back on April 11th.
[00:11:42.094 --> 00:11:44.416]  Luke called us the day it happened, but we'd already gone off air.
[00:11:44.436 --> 00:11:47.859]  I kind of just glaze over.
[00:11:48.120 --> 00:11:49.120]  So much is happening.
[00:11:51.872 --> 00:11:53.812]  They put some music behind it.
[00:11:54.093 --> 00:12:00.414]  It's kind of, I guess, hard to play it on air and hear all the audio of the cops snickering and laughing and get exactly what they said.
[00:12:00.594 --> 00:12:06.675]  Luke had offered a few weeks ago to send us the raw footage, and I was just so busy, I said, nah, I'd never even watch it.
[00:12:07.095 --> 00:12:08.295]  Literally, we're inundated here.
[00:12:08.675 --> 00:12:11.416]  But he is going to send me the raw footage, and we will play that on air.
[00:12:12.156 --> 00:12:15.716]  I may even try to play the other, but again, it's really hard to hear with the music.
[00:12:15.736 --> 00:12:19.937]  I mean, it's really good with the video, but I'm not knocking how they did it.
[00:12:21.030 --> 00:12:23.752]  But it's just not really suitable for radio.
[00:12:25.274 --> 00:12:27.535]  Especially AM stations and shortwave that pick this up.
[00:12:27.555 --> 00:12:29.217]  I guess FM stations you'd hear it pretty good.
[00:12:30.618 --> 00:12:34.201]  But we still may try in the third hour because we're going to get Luke on.
[00:12:36.142 --> 00:12:41.727]  But I mean, you've got to see the video to really pick up how amazing it is.
[00:12:41.747 --> 00:12:44.029]  I thought I had it here.
[00:12:44.049 --> 00:12:45.730]  I keep forgetting Luke's new website.
[00:12:45.770 --> 00:12:48.733]  I'm going to get that and plug that on there because it's on their main page.
[00:12:49.925 --> 00:12:54.289]  And we've also got it from last week on PrisonPlanet.com, and the features you can find it there.
[00:12:54.329 --> 00:13:02.355]  Again, I told Paul Watson to repost a few hours ago, I don't know if he's done that yet, on the main page of PrisonPlanet.com, so it's easy to find.
[00:13:02.395 --> 00:13:11.742]  But it reminds me of Philadelphia, and we have video of Philadelphia, but even in Philadelphia, what they did was horrible, wicked,
[00:13:13.849 --> 00:13:16.650]  I mean, literally, I get chills when I see this.
[00:13:16.710 --> 00:13:18.130]  This is Soviet Union.
[00:13:18.170 --> 00:13:20.051]  This is Communist China.
[00:13:20.091 --> 00:13:22.032]  This is Nazi Germany.
[00:13:22.772 --> 00:13:27.434]  But they were still, the cops weren't laughing and relishing and in pleasure.
[00:13:27.794 --> 00:13:33.377]  In fact, some of the police apologized to them once the Christians were in the paddy wagon, all facing 47 years of peace.
[00:13:35.161 --> 00:13:36.902]  That was in the major newspapers, by the way.
[00:13:36.922 --> 00:13:38.103]  47 years apiece.
[00:13:38.603 --> 00:13:40.984]  At least they didn't like it, but were following orders.
[00:13:41.265 --> 00:13:42.185]  And that's bad enough.
[00:13:42.625 --> 00:13:46.407]  You know, following orders to shoot little kids in the head in Nazi Germany doesn't cover it.
[00:13:46.687 --> 00:13:49.729]  Following orders in the Soviet Union, typical to gulags, doesn't cut it.
[00:13:50.029 --> 00:13:50.890]  You're still criminals.
[00:13:51.830 --> 00:13:53.171]  But at least they didn't relish it.
[00:13:54.772 --> 00:14:00.355]  In this New York footage, there is a relishing... By the way, I've got huge news on the economy, but I...
[00:14:01.204 --> 00:14:03.365]  Frankly, that pales in significance to this.
[00:14:03.606 --> 00:14:07.808]  We could always rebuild our economy if we had liberty, but if we don't have the liberty, we have nothing.
[00:14:09.829 --> 00:14:14.892]  So, I'm going to get Ted Pike before he talks about the new hate crimes legislation to recap what happened in Philadelphia.
[00:14:15.453 --> 00:14:20.896]  And then, the amazing thing was the newspapers were calling for them to serve the 47 years.
[00:14:21.716 --> 00:14:25.699]  The newspapers were saying, yes, we need, in Philadelphia,
[00:14:27.450 --> 00:14:30.014]  And in a few national publications said yes.
[00:14:30.514 --> 00:14:32.537]  So-called liberal publications said it was good.
[00:14:33.057 --> 00:14:36.161]  The ACLU said, well, was mute on it.
[00:14:36.181 --> 00:14:43.671]  I remember the ACLU when they'd be breaking pro-lifers arms for being a hundred feet away from the door of an abortion clinic.
[00:14:45.364 --> 00:14:47.146]  I mean, even if you're for abortion or against it.
[00:14:47.166 --> 00:14:49.087]  The point is, they were... I mean, I got video.
[00:14:49.147 --> 00:14:51.308]  It's in, by the way, Martial Law and the extras.
[00:14:51.909 --> 00:14:53.410]  Breaking women's arms.
[00:14:53.510 --> 00:14:54.510]  Breaking men's arms.
[00:14:54.611 --> 00:14:55.451]  I mean, on purpose.
[00:14:55.931 --> 00:14:58.053]  Twisting them and breaking and cops smiling.
[00:14:58.673 --> 00:15:00.795]  So I guess there is some pleasuring going on there.
[00:15:01.115 --> 00:15:04.117]  I guess it's not the first time I've seen it, but I've never seen anything like New York.
[00:15:04.157 --> 00:15:06.799]  The point is, there's celebrations of evil.
[00:15:07.179 --> 00:15:09.681]  There's giggling and smacking and laughing.
[00:15:10.061 --> 00:15:13.123]  And they're saying to Luke, you're going to go to jail as a terrorist.
[00:15:13.303 --> 00:15:14.584]  You are a terrorist.
[00:15:15.725 --> 00:15:19.488]  And, uh, they're saying, yeah, that backpack he's got, it's got a bomb.
[00:15:20.628 --> 00:15:23.451]  By the way, that is, uh, violates federal law.
[00:15:23.471 --> 00:15:24.912]  In fact, I can dig out the very laws.
[00:15:25.032 --> 00:15:28.094]  It's against the law to claim a bag has a bomb in it.
[00:15:28.114 --> 00:15:29.575]  And he says, it has a bomb.
[00:15:30.176 --> 00:15:31.697]  But, again, they're allowed to do that.
[00:15:31.737 --> 00:15:32.517]  It's totally different.
[00:15:33.138 --> 00:15:35.500]  He says, that bag's got a bomb, this guy's a terrorist.
[00:15:35.700 --> 00:15:37.181]  And he's saying it loud and public.
[00:15:38.018 --> 00:15:42.501]  It could have caused total panic in New York, just a few blocks from Ground Zero.
[00:15:43.381 --> 00:15:47.144]  You've got a Silverstein thug just announcing, he's got a bomb!
[00:15:47.624 --> 00:15:48.464]  He's a terrorist!
[00:15:48.504 --> 00:15:49.265]  Call the police!
[00:15:49.765 --> 00:15:54.208]  And Luke's going, excuse me, sir, that's slander.
[00:15:55.008 --> 00:15:57.710]  We're just here with a sign.
[00:15:59.231 --> 00:16:00.912]  Stadium at 9-11 is an inside job.
[00:16:02.743 --> 00:16:07.466]  And, uh, the cops come up and the guy says he's got a bomb, and the cops go, alright, we're taking you to jail.
[00:16:07.666 --> 00:16:10.768]  And they're laughing, going, it doesn't matter that you're not a terrorist.
[00:16:10.988 --> 00:16:12.309]  We love the new system.
[00:16:12.689 --> 00:16:13.350]  It's all on tape.
[00:16:13.590 --> 00:16:16.532]  We love the, we loves the new system there.
[00:16:16.672 --> 00:16:17.512]  It's all mafia.
[00:16:18.093 --> 00:16:18.973]  Total mafia talk.
[00:16:19.153 --> 00:16:20.874]  We love the new system.
[00:16:21.215 --> 00:16:24.797]  Yeah, we know you're not a terrorist, but you're going to jail now.
[00:16:25.637 --> 00:16:27.358]  We'll see if you ever get out of that hole.
[00:16:32.571 --> 00:16:33.952]  We've killed America!
[00:16:34.352 --> 00:16:35.592]  It's so much fun!
[00:16:36.293 --> 00:16:37.353]  It's so good!
[00:16:39.454 --> 00:16:40.334]  I've built this up enough.
[00:16:40.354 --> 00:16:43.556]  I think for those that don't have internet or don't have access to a computer, I better play it in the third hour.
[00:16:44.396 --> 00:16:47.477]  See what you can do with it, John Harmon up there at the network.
[00:16:48.338 --> 00:16:51.899]  Again, you can hear him and see it and it works with video if you can watch your lips move.
[00:16:51.919 --> 00:16:54.180]  It's just something about when you lose the lips,
[00:16:55.322 --> 00:16:57.483]  It's just, it's hard to pick up with music over it.
[00:16:57.543 --> 00:16:58.703]  But again, I like the music.
[00:16:58.743 --> 00:16:59.664]  Good music they chose.
[00:17:00.144 --> 00:17:05.046]  Just, I think Raw, it's going to be even more powerful, because you don't need to add scary music to this, folks.
[00:17:05.586 --> 00:17:08.808]  I mean, literally, few things scare me.
[00:17:08.828 --> 00:17:09.828]  It's not even more scared.
[00:17:09.848 --> 00:17:11.149]  It's more, I'm just freaked out.
[00:17:11.689 --> 00:17:14.750]  Watching this, I actually, my stomach was turning last night.
[00:17:16.111 --> 00:17:21.373]  And me and Rob Jacobson were up here at the office working until 2 in the morning, and we were watching it about 1.30 before we left.
[00:17:22.023 --> 00:17:23.524]  And we were just going, my God.
[00:17:23.544 --> 00:17:24.864]  My wife didn't even want to watch this morning.
[00:17:24.884 --> 00:17:26.045]  She goes, I know, I know.
[00:17:27.365 --> 00:17:28.766]  She's like, I know how bad it is.
[00:17:28.926 --> 00:17:36.849]  But the Christians, they had the outfest there in Philadelphia.
[00:17:37.509 --> 00:17:41.170]  And so the Christians went and they were praying on the street corner.
[00:17:41.590 --> 00:17:43.471]  There was a public open event in the city.
[00:17:44.631 --> 00:17:48.973]  And the police come up and say, we've been told you're not allowed to be here.
[00:17:50.140 --> 00:17:51.461]  And they said, it's First Amendment, we're allowed to.
[00:17:51.481 --> 00:17:53.402]  And the police said, okay, just go to this free speech zone.
[00:17:53.763 --> 00:17:54.803]  They go to the barricades.
[00:17:55.624 --> 00:17:57.305]  Another few minutes, there's video of all this.
[00:17:57.365 --> 00:17:58.226]  It's up on their website.
[00:17:58.246 --> 00:17:59.507]  It's on Truth Teller's website.
[00:17:59.547 --> 00:18:00.608]  It's on the Christian Group.
[00:18:00.788 --> 00:18:02.329]  We've had them many times out of Philadelphia.
[00:18:04.170 --> 00:18:06.832]  And they come up to them and they say, okay, come over here now.
[00:18:07.232 --> 00:18:12.616]  And they got paddy wagons and they go, you're being charged with inciting terrorism.
[00:18:12.676 --> 00:18:14.017]  And then they charge them.
[00:18:14.357 --> 00:18:16.579]  And they arrested like 15 people.
[00:18:16.619 --> 00:18:17.540]  Later they dropped it down to 8.
[00:18:18.487 --> 00:18:21.389]  They were facing 47 years a piece, and they went to trial!
[00:18:22.249 --> 00:18:26.412]  I mean, they impaneled the jury and everything, and it was in the newspaper.
[00:18:26.452 --> 00:18:27.753]  They need 47 years!
[00:18:28.053 --> 00:18:30.134]  And folks, it's video of them kneeling and praying.
[00:18:30.514 --> 00:18:32.276]  We are China!
[00:18:32.456 --> 00:18:35.037]  The last vestiges are going.
[00:18:35.117 --> 00:18:37.299]  Do you understand, America?
[00:18:38.259 --> 00:18:39.180]  I have video.
[00:18:39.980 --> 00:18:40.921]  It's up on the site.
[00:18:42.253 --> 00:18:43.834]  I've seen it with my own eyes.
[00:18:44.414 --> 00:18:48.876]  Them going, he's a terrorist, he's got a bomb, he just said it!
[00:18:49.216 --> 00:18:51.516]  And the cops are like, that's right, he does!
[00:18:51.797 --> 00:18:54.557]  Let's take him down!
[00:18:54.918 --> 00:18:58.679]  I mean, it's just, my God, what have we turned into?
[00:18:58.699 --> 00:19:01.380]  This is with cameras rolling!
[00:19:02.200 --> 00:19:19.792]  I told you folks, when we show you the federally written manuals for the state police and others, from Arizona to Virginia to Texas, where it says cell phones, people with babies, people who wear blue jeans, people who talk about the Constitution, our terrorists call the police.
[00:19:20.833 --> 00:19:22.014]  We don't just have those manuals.
[00:19:22.034 --> 00:19:25.736]  Then we show you Abby Newman in 2000, before 9-11, with state police.
[00:19:26.056 --> 00:19:26.757]  They pull her over.
[00:19:27.617 --> 00:19:28.718]  I mean, she's at a checkpoint.
[00:19:28.738 --> 00:19:29.458]  There's all these cars.
[00:19:29.498 --> 00:19:31.960]  And she goes, you can't search my car without a warrant.
[00:19:32.500 --> 00:19:33.441]  And they go, yes we can.
[00:19:33.481 --> 00:19:34.401]  And they get her out of the car.
[00:19:34.421 --> 00:19:35.142]  She doesn't resist.
[00:19:35.162 --> 00:19:36.182]  They charge her with resisting.
[00:19:36.202 --> 00:19:37.063]  She was found not guilty.
[00:19:37.323 --> 00:19:38.003]  It went to trial.
[00:19:38.043 --> 00:19:40.565]  She was going to go away for, like, at least three years per count.
[00:19:41.869 --> 00:19:42.770]  And they go, look!
[00:19:42.810 --> 00:19:45.051]  I mean, pull out a pocket constitution and it's on tape.
[00:19:45.071 --> 00:19:47.272]  They go, this may be illegal.
[00:19:47.632 --> 00:19:51.895]  Do you understand the brainwashing level?
[00:19:51.915 --> 00:19:53.416]  I ought to put all this together.
[00:19:53.436 --> 00:19:55.537]  The stuff with Luke and that Abbey Newman video.
[00:19:55.837 --> 00:19:57.078]  I bet listeners, you can do it.
[00:19:57.118 --> 00:19:58.939]  Just go slap it together, YouTube people.
[00:19:59.259 --> 00:19:59.879]  Get it out there.
[00:19:59.919 --> 00:20:00.560]  We'll link to it.
[00:20:02.041 --> 00:20:03.482]  I mean, just all the times.
[00:20:03.562 --> 00:20:04.842]  And that Christian video?
[00:20:05.703 --> 00:20:07.584]  Where they're taking them to jail for praying?
[00:20:08.866 --> 00:20:14.087]  And they're going, this may be illegal, and the one state police guy goes, no, she may be allowed to have that.
[00:20:14.848 --> 00:20:17.008]  And the other one goes, hmm, okay.
[00:20:18.649 --> 00:20:20.889]  May be allowed to have the Constitution?
[00:20:21.149 --> 00:20:21.690]  Maybe?
[00:20:21.990 --> 00:20:23.350]  Have a copy, huh?
[00:20:24.310 --> 00:20:24.650]  See?
[00:20:24.810 --> 00:20:30.252]  I mean, it's just... Oh my God, they're building FEMA camps, everything, and they will move against us.
[00:20:36.886 --> 00:20:38.928]  Do you know the truth about cancer treatments?
[00:20:39.569 --> 00:20:48.479]  Do you realize that with all presently accepted methods, you are not correctly attacking the cancer, and you are mostly fighting to survive the treatment?
[00:20:49.000 --> 00:20:56.128]  Do you realize that mutilating surgery, burning, and the poisoning of your entire system are totally unnecessary?
[00:20:56.852 --> 00:21:02.333]  But now, it's cancer's turn to die with LaceMedInc's patented methodology.
[00:21:02.833 --> 00:21:13.635]  Without cutting, bleeding, drugs or damaging radiation, we can destroy skin cancer and breast tumors of any size without adverse side effects at our physician's office.
[00:21:14.395 --> 00:21:16.476]  Laser technology at its best.
[00:21:16.976 --> 00:21:18.396]  For more information, call 702-953-0267.
[00:21:30.881 --> 00:21:41.425]  Hi, this is Ted Anderson, here for the 2007 Red Book.
[00:21:42.626 --> 00:21:47.428]  The commodity markets like gold, silver, copper, aluminum and oil have exploded over the last year.
[00:21:47.648 --> 00:21:50.389]  This is a glaring testimony of how quickly the U.S.
[00:21:50.429 --> 00:21:51.470]  dollar can be devalued.
[00:21:52.876 --> 00:21:57.457]  Many have turned to precious metals to provide a safe haven while increasing the potential profits.
[00:21:58.397 --> 00:22:05.659]  Though accumulating precious metals has been a proven method for the storage of wealth, it is important that you understand the market you are getting into.
[00:22:06.660 --> 00:22:09.720]  Midas Resources is offering the Red Book and Silver Dollar for only $27.95.
[00:22:09.960 --> 00:22:15.322]  The Red Book is the number one best-selling guide to gold and silver coins.
[00:22:16.322 --> 00:22:17.602]  Call for your copy today.
[00:22:17.642 --> 00:22:17.802]  It's 800-686-2237.
[00:22:21.090 --> 00:22:26.932]  If you've already accumulated or plan to get into the precious metals market, you simply must have the Red Book in your library.
[00:22:27.633 --> 00:22:27.933]  Call 800-686-2237.
[00:22:27.953 --> 00:22:28.253]  That's 1-800-686-2237.
[00:22:35.453 --> 00:22:38.475]  More than 700 chemicals have been found in our drinking water.
