[00:00:00.529 --> 00:00:06.872]  Listening to GCN.
[00:05:11.619 --> 00:05:14.420]  Being in government means never having to say you're sorry.
[00:05:14.800 --> 00:05:17.561]  What part of unconstitutional do you not understand, George?
[00:05:18.102 --> 00:05:24.845]  In today's world full of tyranny and injustice, sometimes it seems the only thing we still have is our freedom of speech.
[00:05:25.385 --> 00:05:33.109]  Exercise your freedom of speech by purchasing your choice of hundreds of different Liberty Stickers, from humorous to serious, at LibertyStickers.com
[00:05:33.989 --> 00:05:37.673]  LibertyStickers.com can even customize your own bumper stickers.
[00:05:37.853 --> 00:05:39.996]  It's time to stand up for what you believe.
[00:05:40.356 --> 00:05:41.397]  Invest in your freedom.
[00:05:41.678 --> 00:05:46.302]  Get your stickers at LibertyStickers.com for your family, friends, and community.
[00:05:48.740 --> 00:05:49.020]  Call 877-873-9626.
[00:05:49.080 --> 00:05:49.440]  That's 877-873-9626.
[00:05:49.520 --> 00:05:51.701]  And express your freedom of speech today.
[00:05:51.741 --> 00:05:52.422]  Call 877-873-9626.
[00:05:52.442 --> 00:05:52.682]  That's 877-873-9626.
[00:06:07.467 --> 00:06:12.430]  Now, you can bring Berkey Purification Power anywhere with the Sport Berkey Filtration Bottle.
[00:06:12.730 --> 00:06:14.972]  Ideal for sporting games, camping, or boating.
[00:06:15.032 --> 00:06:18.174]  Our Sport Berkey is small enough to store in your glove box.
[00:06:18.214 --> 00:06:22.497]  So it's ideal backup for unexpected emergencies like blackouts, floods, or earthquakes.
[00:06:22.837 --> 00:06:25.859]  It's simply the best personal water filtration system available.
[00:06:26.179 --> 00:06:29.601]  So effective, you can drink raw, untreated water from lakes, rivers, and streams.
[00:06:29.941 --> 00:06:39.286]  Unlike other sport bottles, the Sport Berkey's patented filter formulation is so powerful it removes cysts, parasites, harmful bacteria, and chemicals like herbicides and pesticides.
[00:06:39.546 --> 00:06:43.048]  It even reduces radon-222, lead, and other heavy metals.
[00:06:43.288 --> 00:06:50.412]  This lightweight, rugged 22-ounce filter is small enough to go everywhere, so take one to work and keep another in your glove box for emergencies.
[00:06:50.652 --> 00:06:52.013]  Get the Berkey Sport for only $39.
[00:06:52.073 --> 00:06:53.854]  Get two for $70 by calling New Millennium at 888-
[00:06:57.136 --> 00:06:57.216]  803-4438.
[00:06:57.937 --> 00:07:00.180]  Order your Berkey Sport today.
[00:07:00.420 --> 00:07:03.004]  That's toll-free, 888-803-4438, or order on the web at berkeywater.com.
[00:07:06.525 --> 00:07:10.586]  People who use Cardivite know about the pollutants in our body and want them out.
[00:07:10.786 --> 00:07:14.226]  For over five years, Cardivite has proven itself time-tested.
[00:07:14.366 --> 00:07:17.847]  Here's Dr. Mattson, a naturopathic doctor's thoughts on Cardivite.
[00:07:18.107 --> 00:07:21.428]  In our mind, there isn't such a great big mystery to disease anymore.
[00:07:21.508 --> 00:07:26.849]  This basic tenet of yeast in the gut and metals in the liver covers at least 70-80% of the disease that we think.
[00:07:26.889 --> 00:07:33.990]  When we do our program, you know, in herbal form it's like Cardivite and you see someone who could barely walk up a hill now going for regular jobs.
[00:07:34.110 --> 00:07:36.512]  A few months later, we know we're doing something right.
[00:07:36.632 --> 00:07:37.933]  It's a well thought out formula.
[00:07:37.973 --> 00:07:43.477]  I mean, the idea of it working on yeast and metals both at the same time and liver function is dead on.
[00:07:43.937 --> 00:07:48.380]  You'll find, I think, that it'll work more than just on heart problems and circulation problems.
[00:07:48.440 --> 00:07:49.801]  It'll work on other problems as well.
[00:07:49.981 --> 00:07:54.364]  For more information, call 1-877-928-8822 or visit our website at www.heartdrop.com.
[00:07:54.385 --> 00:07:55.866]  That toll free number again?
[00:08:03.625 --> 00:08:05.686]  Ease the T-Rex of political talk.
[00:08:06.286 --> 00:08:09.107]  Alex Jones on the GCN Radio Network.
[00:08:09.267 --> 00:08:27.694]  We're gonna break down surging oil prices, the gear up, the hype, the media hype for a war, an attack on Iran.
[00:08:29.635 --> 00:08:40.943]  The new developments there, and of course, Rosie O'Donnell yesterday went public on 9-11 and the evidence pointing towards an inside job to 30 million viewers of The View.
[00:08:42.504 --> 00:08:49.409]  And last night I was up here working on a new film, but in between we would go in and watch Hannity and Combs.
[00:08:50.449 --> 00:08:53.712]  We would go in and watch Scarborough Country, O'Reilly.
[00:08:54.752 --> 00:08:56.373]  And there were calls for her death.
[00:08:56.453 --> 00:08:58.375]  There were calls for her to be killed, of course.
[00:08:59.540 --> 00:09:02.761]  And there were calls that she, you know, basically worked for Al Qaeda.
[00:09:03.721 --> 00:09:06.922]  And there was just the regular, ban her speech, fire her.
[00:09:07.842 --> 00:09:12.083]  That's mainly what the Pentagon News Channel, Fox, was putting out.
[00:09:12.163 --> 00:09:16.524]  And of course, the CIA channel, MSNBC, was putting out.
[00:09:16.544 --> 00:09:20.045]  And when I say that, I'm not joking around, ladies and gentlemen.
[00:09:20.700 --> 00:09:24.723]  That they have operatives at the highest levels and they steer the organizations.
[00:09:25.363 --> 00:09:32.888]  Of course, probably only 5% of the organizations know that it's a black op, but those in command are black operators.
[00:09:33.288 --> 00:09:35.129]  And that's come out, that's been documented.
[00:09:35.930 --> 00:09:44.215]  It came out in 2000 that CNN had hundreds of members of the Army's Psychological Warfare Corps working there in plain clothes.
[00:09:44.335 --> 00:09:44.555]  Okay!
[00:09:45.583 --> 00:09:51.271]  People with top psychiatry degrees, sociology degrees, marketing degrees, working against you.
[00:09:52.233 --> 00:09:55.197]  Fake news, billions of dollars in fake reporters.
[00:09:55.638 --> 00:09:57.300]  Do you understand?
[00:09:57.580 --> 00:09:58.121]  Mayday!
[00:09:58.482 --> 00:09:59.042]  Mayday!
[00:09:59.383 --> 00:09:59.944]  Mayday!
[00:10:00.284 --> 00:10:00.745]  Red alert!
[00:10:02.193 --> 00:10:03.934]  And this is all base psychology.
[00:10:04.174 --> 00:10:05.774]  Oh, they've captured our sailors.
[00:10:06.615 --> 00:10:08.015]  Oh, it's so terrible.
[00:10:08.375 --> 00:10:10.156]  Oh, it's so horrible.
[00:10:11.777 --> 00:10:13.878]  It's primitive, and they show the woman.
[00:10:13.918 --> 00:10:16.138]  Oh, they've got our people.
[00:10:16.539 --> 00:10:17.919]  Remember how Panama started?
[00:10:19.100 --> 00:10:21.381]  And I've seen it in the Panama Deception and other films.
[00:10:21.521 --> 00:10:22.281]  Panama Deception.
[00:10:23.681 --> 00:10:24.702]  They claim that two
[00:10:25.778 --> 00:10:26.539]  We're good to go.
[00:10:35.936 --> 00:10:41.159]  And it came out on some local television stations in Miami and a few other areas, but never on the national news.
[00:10:41.580 --> 00:10:48.024]  The women going, well, we were in our dorm at the college and U.S.
[00:10:48.084 --> 00:10:53.627]  troops came in in plain clothes and told us they were there to protect us because there was about to be an invasion.
[00:10:54.067 --> 00:10:55.308]  We really want to thank the U.S.
[00:10:55.428 --> 00:10:56.629]  Army for protecting us.
[00:10:57.449 --> 00:10:58.410]  Never kidnapped.
[00:10:59.089 --> 00:11:00.011]  Never captured.
[00:11:00.051 --> 00:11:01.114]  We ought to find that clip.
[00:11:01.134 --> 00:11:03.761]  It's somewhere in my office and do a piece on that.
[00:11:03.781 --> 00:11:05.646]  And we want to thank them.
[00:11:05.686 --> 00:11:07.310]  They're very nice, the troops.
[00:11:08.408 --> 00:11:15.996]  And just everybody woke up on that morning in 1989 and the President has hit the evil dictator, Manuel Noriega.
[00:11:16.376 --> 00:11:17.137]  He's hit him!
[00:11:17.477 --> 00:11:18.818]  He stood up against him!
[00:11:19.259 --> 00:11:23.583]  That evil drug dealer, look at his Swiss and Spanish palaces.
[00:11:23.963 --> 00:11:29.709]  This palace was 55 million dollars and has 60 bedrooms in the Swiss Alps.
[00:11:30.249 --> 00:11:31.870]  He's a drug dealer.
[00:11:32.230 --> 00:11:32.710]  Look at him.
[00:11:32.750 --> 00:11:34.170]  He looks like a toad.
[00:11:34.590 --> 00:11:36.831]  He just is really bad.
[00:11:37.311 --> 00:11:38.451]  He's terrible.
[00:11:38.471 --> 00:11:41.792]  And there's all these photos of George Sr.
[00:11:41.832 --> 00:11:48.214]  with him and it's well known that he was a CIA front man and laundered all that drug money with him and stopped paying his cut.
[00:11:48.794 --> 00:11:51.315]  Got a little greedy, did you, Manuel?
[00:11:51.675 --> 00:11:57.417]  Well, overnight, there's a combined military strike on Panama City.
[00:11:58.524 --> 00:11:59.144]  Panama.
[00:11:59.645 --> 00:12:03.847]  And they tell everybody, because you kidnapped those women.
[00:12:04.907 --> 00:12:06.468]  And Saddam had to be attacked.
[00:12:06.508 --> 00:12:09.410]  He was throwing babies out of incubators.
[00:12:10.150 --> 00:12:13.872]  Then last year we learned Iran made Jews wear yellow stars.
[00:12:15.213 --> 00:12:17.534]  Of course, it turned out it was completely made up.
[00:12:17.874 --> 00:12:18.915]  Absolute lie.
[00:12:19.275 --> 00:12:20.555]  Total, complete fraud.
[00:12:20.956 --> 00:12:24.838]  The Iranian Jewish community, quite large, went public and said, this is total lies.
[00:12:25.478 --> 00:12:27.419]  And it turned out it was a complete fraud.
[00:12:28.485 --> 00:12:30.266]  Put out by our friends in the ADL.
[00:12:32.227 --> 00:12:37.509]  I say ADL, it was the International Congress up there in Canada at the command base.
[00:12:39.709 --> 00:12:43.111]  It doesn't matter, I still hear neocons on the air saying they're making more yellow stars.
[00:12:43.151 --> 00:12:44.351]  They're operatives, folks.
[00:12:44.851 --> 00:12:48.353]  They don't care one red cent.
[00:12:49.373 --> 00:12:51.194]  And it works, folks.
[00:12:52.921 --> 00:12:57.025]  The scary thing is, they may be planning to pull the rug out from the economy right now.
[00:12:57.566 --> 00:13:04.632]  You see, they had their stock market big dip of several thousand points, and then they carried out 9-11 a week later.
[00:13:05.994 --> 00:13:07.375]  And it's the same thing here.
[00:13:07.615 --> 00:13:11.319]  If they attack Iran, you're probably going to see a depression.
[00:13:12.820 --> 00:13:14.302]  They will call it a recession.
[00:13:15.760 --> 00:13:22.663]  We'll have lots of experts in fancy suits, looking straight at the camera, giving you all the answers that, of course, won't be the answers.
[00:13:22.943 --> 00:13:24.144]  We'll have a few scapegoats.
[00:13:25.204 --> 00:13:31.267]  It'll all be Ahmadinejad's problem, not the Federal Reserve devaluing the dollar, not the new world order running us.
[00:13:32.507 --> 00:13:38.870]  He's got dark skin, he's got dark hair, he's got a little mustache, so we can feel all tribal against him.
[00:13:40.283 --> 00:13:42.744]  And, uh, it'll feel good.
[00:13:42.825 --> 00:13:46.527]  Of course, he didn't do anything, but at least it'll feel good.
[00:13:47.367 --> 00:13:51.189]  It should be conned, as usual, and be scammed, and be fools.
[00:13:51.269 --> 00:13:52.710]  It's just, it's just fun.
[00:13:55.952 --> 00:13:56.852]  But, uh, Panama.
[00:13:57.833 --> 00:14:00.254]  They went in there and blew up about a third of the city.
[00:14:01.154 --> 00:14:09.419]  They had Puff the Magic Dragon, that's, uh, C-130s with howitzers and giant Vulcan gatling guns hanging out the sides and back.
[00:14:10.129 --> 00:14:12.710]  Pounding their bases to smithereens.
[00:14:13.411 --> 00:14:17.393]  There was a third world army with a giant sneak attack against them just out of the blue.
[00:14:17.413 --> 00:14:20.194]  Just massive, giant sneak attack.
[00:14:22.455 --> 00:14:30.679]  And we get to run around and again the flags all came out and everybody went out and got drunk and kind of stumbled around and went, Hell yeah, America!
[00:14:30.719 --> 00:14:31.919]  Yeah, alright!
[00:14:34.255 --> 00:14:35.456]  Meanwhile, you're a slave.
[00:14:35.837 --> 00:14:37.398]  Fences were going up around the schools.
[00:14:37.418 --> 00:14:38.579]  They were searching the children.
[00:14:38.820 --> 00:14:40.101]  They were militarizing the police.
[00:14:40.121 --> 00:14:41.462]  They were shipping in the narcotics.
[00:14:41.843 --> 00:14:43.484]  The CPS was grabbing your children.
[00:14:43.724 --> 00:14:48.449]  But you could stumble around sticking your belly out and feeling powerful and walking like a gorilla.
[00:14:48.749 --> 00:14:54.755]  You could just, I'm proud to be an American, where at least I know I'm free.
[00:14:56.161 --> 00:15:01.642]  And I'll gladly stand up next to you and defend her still today.
[00:15:02.082 --> 00:15:05.403]  But you don't actually defend her still today.
[00:15:05.803 --> 00:15:07.123]  The Bill of Rights, disappearing.
[00:15:07.403 --> 00:15:08.344]  Freedom, disappearing.
[00:15:08.644 --> 00:15:09.964]  The currency, disappearing.
[00:15:10.524 --> 00:15:11.644]  Everything, gone.
[00:15:11.844 --> 00:15:14.845]  The country, red-level attack, disappearing.
[00:15:15.105 --> 00:15:18.286]  North American Union, dying right now.
[00:15:18.706 --> 00:15:19.806]  And you've got a bunch of stuff
[00:15:20.306 --> 00:15:28.994]  Shirt traitors up on Fox and CNN and MSNBC acting like patriots, calling for the murder of Rosie O'Donnell.
[00:15:31.376 --> 00:15:35.019]  And again, she's silly and she's ignorant, but she's got guts and guts is enough.
[00:15:35.039 --> 00:15:36.880]  And I know she's woken up to the New World Order now.
[00:15:36.960 --> 00:15:45.768]  I have it confirmed from personal friends of hers, people that vacation with her, live next to her, that she knows all about the New World Order, knows all about the show.
[00:15:45.948 --> 00:15:48.170]  She quoted Terror Storm on her blog yesterday.
[00:15:50.305 --> 00:15:54.428]  She quoted the opening lines from Terror Storm.
[00:15:56.449 --> 00:15:57.509]  Nice nod, Rosie.
[00:15:57.529 --> 00:15:58.410]  We appreciate that.
[00:16:00.091 --> 00:16:01.292]  My voiceover from the film.
[00:16:01.612 --> 00:16:02.332]  Go up there and read it.
[00:16:06.194 --> 00:16:07.295]  And what do we have?
[00:16:07.395 --> 00:16:10.457]  Danny Bonaduce, an admitted drug head.
[00:16:11.237 --> 00:16:13.839]  Which I'm not knocking people that are on drugs, folks.
[00:16:14.019 --> 00:16:14.800]  It's addictive.
[00:16:14.840 --> 00:16:15.740]  It's designed that way.
[00:16:16.240 --> 00:16:18.642]  I'm just saying, he's a compromised individual.
[00:16:20.506 --> 00:16:25.030]  And he was a child actor and he talks like a toad.
[00:16:25.090 --> 00:16:26.551]  I guess I do too, so I should watch it.
[00:16:27.512 --> 00:16:30.775]  And he gets up on there and he says, she should be killed.
[00:16:32.236 --> 00:16:32.937]  She should be hung.
[00:16:32.977 --> 00:16:34.418]  And that's what they're all over the blogs.
[00:16:34.458 --> 00:16:36.560]  I'm getting all these emails going, you need to die.
[00:16:36.940 --> 00:16:38.421]  Look at the Enemy and Sedition Act.
[00:16:38.461 --> 00:16:39.642]  We're going to kill you.
[00:16:40.023 --> 00:16:40.944]  Ha ha ha.
[00:16:41.904 --> 00:16:42.365]  Okay.
[00:16:43.869 --> 00:16:44.530]  Don't worry.
[00:16:44.790 --> 00:16:46.993]  America's probably not going to make it back, guys.
[00:16:47.574 --> 00:16:49.356]  You get pretty arrogant.
[00:16:50.177 --> 00:16:57.266]  I know you think it's patriotic to destroy the nation and our name in the world and everything we are, and you may just succeed.
[00:16:58.143 --> 00:17:00.524]  But what you don't understand is you're in the same crosshairs.
[00:17:00.824 --> 00:17:05.025]  Here's part of the clip from Scarborough country, and folks, it just goes on and on.
[00:17:05.365 --> 00:17:10.086]  We've got like five different newscasts attacking her, calling her a traitor, saying she should be fired.
[00:17:10.686 --> 00:17:12.147]  This is what they do in America.
[00:17:12.367 --> 00:17:15.948]  And I predicted yesterday, on air, remember?
[00:17:16.928 --> 00:17:21.269]  I predicted in the third hour, I said, this is what you'll hear.
[00:17:22.409 --> 00:17:25.170]  It'll be this headline on every newscast.
[00:17:26.451 --> 00:17:29.032]  It will be, the traitor sides with Iran.
[00:17:30.873 --> 00:17:38.397]  The traitor says we should trust them, and that they're good, and she talks about 9-11 conspiracy theories, trying to nexus the two.
[00:17:38.897 --> 00:17:44.039]  And then they would throw in as a kind of reminder that, oh, and she's for Khalid Sheikh Mohammed.
[00:17:44.580 --> 00:17:53.364]  No, she said you cannot trust a confession from someone who's been admittedly tortured and secretly arrested for four years in a camp
[00:17:54.907 --> 00:17:58.209]  And whose sons were grabbed and threatened with torture, seven and ten.
[00:17:58.249 --> 00:17:59.649]  That was Associated Press.
[00:17:59.669 --> 00:18:00.970]  The government bragged about that.
[00:18:01.690 --> 00:18:03.051]  Again, trying to sell you on evil.
[00:18:03.391 --> 00:18:04.712]  We even got the little boys!
[00:18:05.012 --> 00:18:12.175]  Yeah, and the same people that run this government will try to get your little boys in the real world at these youth commissions.
[00:18:12.975 --> 00:18:14.976]  You understand who we're dealing with here?
[00:18:14.996 --> 00:18:20.659]  You've got a bunch of childish, good little boys who think everything's still Mayberry and we're just a bunch of crazies.
[00:18:22.276 --> 00:18:23.877]  You understand, thinking we're all traitors.
[00:18:23.917 --> 00:18:25.118]  You think we're like nuts.
[00:18:25.618 --> 00:18:26.899]  Because they're stupid.
[00:18:26.979 --> 00:18:28.059]  They're low-grade morons.
[00:18:28.440 --> 00:18:32.322]  And then you've got the controllers, who are a bunch of criminals, for whatever crime they're into.
[00:18:32.362 --> 00:18:37.785]  Whatever their, whether it's money, or pervertedness, or evil, or psychopathic behavior.
[00:18:37.825 --> 00:18:39.766]  They're in the power structure to exercise power.
[00:18:41.067 --> 00:18:44.869]  And they hear us get up here and say all this, and they just, I just don't believe it.
[00:18:44.929 --> 00:18:46.010]  I just can't believe it.
[00:18:46.030 --> 00:18:47.571]  Them peoples is nuts.
[00:18:52.561 --> 00:18:55.402]  And it's just so incredible.
[00:18:57.703 --> 00:19:00.125]  And they'll make excuses for anything the government does.
[00:19:00.165 --> 00:19:01.725]  They worship the state.
[00:19:02.566 --> 00:19:03.986]  That's America to them.
[00:19:04.427 --> 00:19:13.611]  This bloated, corrupt government with all of these preening, posing politicians just literally drunk on power.
[00:19:13.651 --> 00:19:14.411]  You watch them.
[00:19:15.332 --> 00:19:19.393]  And they've all got all these little power tics and these little isms they do.
[00:19:19.473 --> 00:19:20.434]  It's disgusting.
[00:19:20.999 --> 00:19:26.182]  They're not real, they're not simple, they're just... They're just disgusting evil.
[00:19:26.762 --> 00:19:27.983]  Giant cockroaches.
[00:19:28.423 --> 00:19:30.444]  We're ruled by a bunch of roach people.
[00:19:31.285 --> 00:19:35.727]  With a retarded mass that just sits there worshipping them.
[00:19:41.310 --> 00:19:41.911]  So fine!
[00:19:42.871 --> 00:19:48.014]  Let me tell you something, neocons and neocon followers and dumb liberals and all you establishment types.
[00:19:49.502 --> 00:19:51.726]  There is a price for everything we do.
[00:19:51.766 --> 00:19:53.569]  There's a price for every mistake you make.
[00:19:54.010 --> 00:19:55.874]  There's a price for being conned.
[00:19:56.716 --> 00:19:57.557]  There's a price.
[00:19:58.900 --> 00:20:00.924]  And we're all going to be paying it.
[00:20:02.924 --> 00:20:05.345]  This is Jack Blood with the Genesis Radio Network.
[00:20:05.865 --> 00:20:09.166]  Let's ask the question that the Bush regime hopes you will never ask.
[00:20:09.547 --> 00:20:12.488]  That is, is the USA already bankrupt?
[00:20:12.768 --> 00:20:19.130]  As the world's biggest debtor nation, we are borrowing in excess of 80% of the world's net savings.
[00:20:19.210 --> 00:20:23.612]  That's $2 billion per day to finance the biggest deficit in history.
[00:20:23.852 --> 00:20:28.216]  Our creditors are becoming increasingly concerned that the debt can never be repaid.
[00:20:28.376 --> 00:20:30.978]  Japan and China, two of the largest holders of U.S.
[00:20:31.018 --> 00:20:33.781]  debt, are looking to greatly reduce their exposure to dollars.
[00:20:34.241 --> 00:20:36.783]  In fact, China has privately hinted that a U.S.
[00:20:36.823 --> 00:20:41.087]  attack on Iran could result in China's dumping massive amounts of U.S.
[00:20:41.127 --> 00:20:41.988]  Treasury bonds.
[00:20:42.228 --> 00:20:46.891]  To find out more about this, call for a free report on the coming dollar collapse.
[00:20:47.051 --> 00:20:48.692]  Call Whitehurst International at 1-888-892-6238.
[00:20:48.712 --> 00:20:50.714]  That's 1-888-XANADU or 1-888-XANADU and ask for George.
[00:21:03.118 --> 00:21:04.359]  Hi, Ted Anderson for Midas.
[00:21:04.439 --> 00:21:04.940]  It's March 30th, 2007.
[00:21:04.980 --> 00:21:05.240]  Gold is at $664.
[00:21:05.360 --> 00:21:08.704]  One ounce gold coins can be purchased for $703.18, $345.78 for half, $173.25 for quarter ounce cards.
[00:21:08.724 --> 00:21:08.944]  That's $703.18, $345.78, $173.25.
[00:21:19.876 --> 00:21:23.500]  We've been hearing the USA has been spending money faster than tax collections.
[00:21:23.580 --> 00:21:26.624]  Now the government has published the document that sounds the alarm.
[00:21:26.704 --> 00:21:35.914]  That's right, the United States Government Accountability Office, the GAO, has published the Long-Term Fiscal Outlook document, clearly stating that the federal debt burden is spiraling out of control.
[00:21:36.234 --> 00:21:41.580]  This will directly affect programs like Social Security to FDIC's ability to insure bank deposits.
[00:21:42.060 --> 00:21:44.362]  Taxation and inflationary printing of the U.S.
[00:21:44.422 --> 00:21:46.883]  dollar are inevitable pressures facing the economy.
[00:21:47.303 --> 00:21:50.605]  Get this document free by calling 800-686-2237.
[00:21:50.665 --> 00:21:54.408]  The USGAO has spelled it out in black and white.
[00:21:54.468 --> 00:21:54.748]  Call 800-686-2237.
[00:21:54.768 --> 00:21:54.948]  That's 800-686-2237.
[00:22:01.509 --> 00:22:06.113]  The Berkey Security Pack is your one-stop solution for unexpected emergencies.
[00:22:06.313 --> 00:22:10.756]  It provides you with purified water, light, power, and communications ability.
[00:22:10.936 --> 00:22:24.946]  The Security Pack includes a Berkey Light Water Purifier, an LED Base, two Berkey Sport Filtration Bottles, the Berkey Battery Adapter, the Berkey MP Solar Charger, as well as a backup set of two Black Berkey Purification Elements.
[00:22:25.166 --> 00:22:44.381]  The Berkey Security Pack is important every day and a must during emergencies because it provides purified water, long-term low-energy lighting, backup battery power for your Berkey LEDs, free long-term solar power for communications devices such as radios, walkie-talkies, and cell phones, as well as power for small applications.
[00:22:44.601 --> 00:22:48.224]  Get the one-stop solution for your emergency and everyday needs.
[00:22:48.364 --> 00:22:49.485]  The Berkey Security Pack
[00:22:49.765 --> 00:22:52.408]  A retail value of $518 for only $3.99 by calling New Millennium at 888-803-4438.
[00:22:52.428 --> 00:22:53.229]  Not yet available in Iowa.
[00:23:01.019 --> 00:23:08.941]  For years you've been hearing about Herbal Healer Academy and how it's remained a leader in effective alternative and natural medicine and education.
[00:23:09.402 --> 00:23:12.583]  But how can they continue to hold that title for years on end?
[00:23:12.943 --> 00:23:16.004]  The answer is high quality and huge selection.
[00:23:16.404 --> 00:23:21.205]  Just visit HerbalHealer.com and shop online or request a free catalog.
[00:23:21.625 --> 00:23:23.966]  You're bound to find the alternative you're looking for.
[00:23:24.706 --> 00:23:29.887]  Did you know that Herbal Healer carries the latest, safest and effective weight loss products?
[00:23:29.907 --> 00:23:35.769]  You can also count on Herbal Healer for the largest selection of safe and natural supplements just for children.
[00:23:36.089 --> 00:23:37.249]  And don't forget your pets.
[00:23:37.709 --> 00:23:43.410]  Herbal Healer even has natural mineral supplements for all your animals, including horses, cows and birds.
[00:23:43.850 --> 00:23:50.232]  Take a peek at their online calendar and you're sure to find everything you need and maybe something you didn't realize you needed.
[00:23:50.752 --> 00:23:55.594]  Visit HerbalHealer.com and don't forget to sign up for the free Herbal Healer newsletter.
[00:23:56.094 --> 00:23:59.536]  HerbalHealer.com, working with the power of nature.
[00:24:02.657 --> 00:24:05.658]  Welcome back.
[00:24:13.906 --> 00:24:17.529]  This is revolutionary, what Rosie O'Donnell did.
[00:24:17.689 --> 00:24:26.997]  When do you see somebody with a number one morning show, 30 million viewers, get up on television and say, don't trust the mainstream media, tune out of it, get other views.
[00:24:27.958 --> 00:24:30.080]  Why do we automatically demonize Iran?
