[00:00:07.018 --> 00:00:08.759]  Welcome back, ladies and gentlemen.
[00:07:02.093 --> 00:07:03.173]  They say nothing.
[00:07:03.173 --> 00:07:08.034]  The Democrats get worse, and even our other Republicans are not saying that much.
[00:07:08.034 --> 00:07:09.654]  They're not fiscal conservatives.
[00:07:09.654 --> 00:07:14.695]  They don't want to talk about monetary policy, and there's so little said.
[00:07:14.695 --> 00:07:15.615]  So for that reason, I think
[00:07:16.055 --> 00:07:21.539]  The people get more disgusted, and those people who have finally figured it out, that we're going in the wrong direction.
[00:07:21.539 --> 00:07:23.661]  I think they're coming to our campaign.
[00:07:23.661 --> 00:07:32.468]  Congressman, I said this six, seven months ago when you first announced, and it was common sense to me, but now the odds makers have said it, a lot of political analysts have said it.
[00:07:33.112 --> 00:07:35.413]  The Republicans really aren't running against Hillary.
[00:07:35.413 --> 00:07:36.993]  They know the baton's being passed.
[00:07:36.993 --> 00:07:44.215]  We've never seen a discrepancy where we've got, in any election, where one campaign has got double what the other party does.
[00:07:44.215 --> 00:07:45.535]  Hillary's got that now.
[00:07:45.535 --> 00:07:55.478]  Clearly, the establishment's saying this is a non-campaign, but then all the odds makers and experts are saying, but Ron Paul, he could beat Hillary, and that's what Vegas is saying.
[00:07:55.478 --> 00:07:58.239]  They're saying that if you, and they've been always right in the past,
[00:07:58.619 --> 00:08:04.103]  You know, you wonder about that because now the move is, right now, is to try to close the primaries.
[00:08:21.556 --> 00:08:25.599]  Do you think they're sincere when they say they want to have a big tent and invite new people in?
[00:08:25.599 --> 00:08:32.904]  We can invite a lot of new people in, but they don't want constitutionalists evidently, because they want to make it tough to vote in a Republican primary.
[00:08:32.904 --> 00:08:34.546]  So that doesn't add up.
[00:08:34.546 --> 00:08:43.252]  It just sort of confirms the fact that, you know, the control of this whole system has been one party, so to speak.
[00:08:43.252 --> 00:08:45.554]  You know, it's one group of people who have controlled both parties.
[00:08:46.014 --> 00:08:49.917]  And right now I think the people are getting disgusted with it and they're starting to wake up.
[00:08:49.917 --> 00:08:52.218]  Congressman, do you think that they're accelerating?
[00:08:52.218 --> 00:09:03.105]  Again, we're talking to Congressman Ron Paul, running for president and gaining steam to get the win for the nomination as Republican here and defeat Hillary.
[00:09:03.105 --> 00:09:12.591]  Do you think that they're trying to speed up the primaries and bring them in earlier as an attempt to try to block you and other populist candidates?
[00:09:13.929 --> 00:09:23.696]  I don't think it's just me, because that has been started for a while, but I think, generally speaking, the two major parties, the leadership, do not want competition.
[00:09:23.696 --> 00:09:36.125]  This is the reason third parties have never survived very well, because it's hard to get on ballots, they won't let you in the debates, and now they're speeding this up, so if you're a grassroots-type candidate, they don't want to give you much time to get traction.
[00:09:37.084 --> 00:09:46.071]  But they didn't realize that you can get traction some other way, such as through the internet and grassroots campaigning.
[00:09:46.071 --> 00:09:50.995]  So I think that's been a secret weapon that's interfering with their plans.
[00:09:50.995 --> 00:09:54.577]  RonPaul2008.com or 1-800-RON-PAUL.
[00:09:54.577 --> 00:09:55.638]  Call and donate.
[00:09:55.638 --> 00:10:00.442]  Call and get yard signs and bumper stickers at the bare minimum, ladies and gentlemen.
[00:10:00.442 --> 00:10:03.244]  And have you already got yard signs like I do and my business does?
[00:10:03.964 --> 00:10:07.787]  You need to get them and give them to your neighbors or give them to that Ron Paul supporter.
[00:10:07.787 --> 00:10:11.069]  If they're lazy and haven't taken action, take the initiative for them.
[00:10:11.069 --> 00:10:15.992]  RonPaul2008.com or 1-800-RON-PAUL.
[00:10:15.992 --> 00:10:22.536]  Congressman, do you think the Republican Party is starting to panic because they have been intensifying their attacks on you?
[00:10:22.536 --> 00:10:24.457]  Do you think they're starting to get concerned?
[00:10:24.457 --> 00:10:31.382]  They're also trying to change their rhetoric a little bit more, it seems, towards a more constitutionalist, freedom-based
[00:10:32.501 --> 00:10:34.502]  Yeah, I think they've already adapted.
[00:10:34.502 --> 00:10:43.887]  I don't know whether they've panicked, but I think they're at least showing some concern, where at first, you know, it was totally ignoring what we were doing.
[00:10:43.887 --> 00:10:48.150]  And then, of course, they made fun of it.
[00:10:48.150 --> 00:10:55.454]  And now I think the challenges are much tougher, and I think we can expect it to get much rougher as time goes on.
[00:10:56.725 --> 00:11:06.333]  Only time is going to tell, but I think we should all be thankful that the ideas of liberty are alive and well in this country, much more so than I ever dreamed, so I'm very pleased.
[00:11:06.333 --> 00:11:13.920]  I want to spend the six minutes we've got left with you, and I want you to know, Congressman, I know how tiring it is to do five, six, seven, eight interviews a day.
[00:11:13.920 --> 00:11:18.625]  I have no idea how hard it is to do the things you're doing, and at 72, good thing you're in such good shape.
[00:11:19.225 --> 00:11:24.489]  So I appreciate the time, and I know the listeners do, and we thank you because we are your base here, as you know.
[00:11:24.489 --> 00:11:29.652]  The economy, I mean, it's like you're a prophet, but you've been saying this for 25 years.
[00:11:29.652 --> 00:11:32.234]  Now everything you've talked about is coming home to roost.
[00:11:32.234 --> 00:11:40.820]  The dollar plunging in value, the Federal Reserve making announcements that the dollar is going to go down, knowing it would drive it down further.
[00:11:40.820 --> 00:11:46.264]  A, does that help your campaign that everything you've talked about, the hidden inflation tax, is now becoming
[00:11:47.145 --> 00:11:49.727]  Yeah, I think it's going to help a whole lot.
[00:11:49.727 --> 00:11:54.171]  Like you say, I've been talking about that for a long time, and I think it's so important.
[00:12:06.061 --> 00:12:09.462]  Because the monetary issue is pervasive.
[00:12:09.462 --> 00:12:12.683]  It involves every single transaction we have.
[00:12:12.683 --> 00:12:18.125]  Whether it's pricing of labor or pricing of goods and services, that's how key it is.
[00:12:18.125 --> 00:12:24.026]  And when people understand how the Fed screws up the economy and causes all the bubbles and all the...
[00:12:29.092 --> 00:12:44.080]  I'm getting a lot more calls even on the business stations and that of course will be the most challenging because once they know the American people have awakened to the con game that's been going on
[00:12:44.600 --> 00:12:51.422]  I think those who run the banking and monetary system aren't going to be too happy, nor will the people who benefit.
[00:12:51.422 --> 00:12:58.383]  You know, the people in the military-industrial complex and now in the medical-industrial complex, they get to use that money first.
[00:12:58.383 --> 00:13:01.224]  They depend on this deficit financing.
[00:13:01.224 --> 00:13:07.365]  So I suspect that we're going to be talking a lot more about this, because although the dollar's down sharply right now,
[00:13:07.965 --> 00:13:08.605]  That was my next question.
[00:13:21.773 --> 00:13:31.199]  Most of the experts who are in the constitutional line of thinking, or the von Mises view, are saying middle of next year is when the really bad numbers and the debt really starts piling up.
[00:13:31.199 --> 00:13:31.899]  What do you see happening?
[00:13:31.899 --> 00:13:33.160]  You say 12 months?
[00:13:33.160 --> 00:13:41.865]  Well, and that's one thing that Austrian economics teaches that you shouldn't be so bold as to say in three months this is going to happen because I made a calculation.
[00:13:41.865 --> 00:13:44.006]  Because there's a human element involved.
[00:13:44.386 --> 00:13:53.094]  There are very many objective facts, like when you print money the value goes down, but that doesn't mean that exactly tomorrow the people will know the value of the money is down.
[00:13:53.094 --> 00:14:01.461]  It takes time, and people panic, and there's emotions involved, and we don't know what kind of international event that might precipitate a crisis.
[00:14:01.461 --> 00:14:09.468]  You know, if Bush is foolish enough to go and start bombing Iran, that might precipitate such a crisis as oil going to $200 a barrel.
[00:14:10.909 --> 00:14:13.571]  Well, we've already seen a massive decline in value.
[00:14:13.571 --> 00:14:15.072]  I mean, there is the prediction come true there.
[00:14:15.072 --> 00:14:17.394]  How far, just in general gauging, do you think it's going to go down?
[00:14:37.358 --> 00:14:41.941]  Well, that's hard to say, because it depends on what the reaction is.
[00:14:41.941 --> 00:14:44.902]  If they continue to do exactly what we're doing, it's going to go to zero.
[00:14:44.902 --> 00:14:46.764]  We're going to have runaway inflation.
[00:14:46.764 --> 00:14:50.326]  All paper currencies eventually self-destruct and they're ruined.
[00:14:50.326 --> 00:14:52.747]  And we're in uncharted waters right now.
[00:14:52.747 --> 00:15:01.692]  This is the first time in the history of man that you've had no solid currencies around the world, and this has been going on for 35 years.
[00:15:01.692 --> 00:15:04.374]  So, we don't know how this is going to play out.
[00:15:05.296 --> 00:15:15.852]  But in the past, most governments usually had to stop, start over again, develop a new currency, put some trust behind it, put some backing to the currency, and start over.
[00:15:16.994 --> 00:15:26.144]  In this case, it's going to be more difficult, because it's going to be a worldwide crisis, and that's why people who own things are going to be better off than those people who own dollars.
[00:15:26.144 --> 00:15:30.228]  Well, Joseph Stiglitz, Chief Economist, World Bank, said the same thing as you're saying last year.
[00:15:30.228 --> 00:15:33.471]  And he said, we're going to have a global depression unless they change things.
[00:15:33.471 --> 00:15:34.573]  And I said, well, are they changing?
[00:15:34.573 --> 00:15:36.735]  He said, no, they're accelerating.
[00:15:36.735 --> 00:15:38.657]  And that's what I see now.
[00:15:38.657 --> 00:15:39.478]  The establishment
[00:15:39.998 --> 00:15:48.242]  Willie seems to think they can just set up a police state, and then let everybody know they've been robbed, and then if anybody complains, they'll just shoot us in the streets.
[00:15:48.242 --> 00:15:51.984]  Well, hopefully it doesn't get that bad, but they're going to use the fear factor.
[00:15:51.984 --> 00:15:57.387]  You know, look at what they do about the fear of these third world nations going to bomb us, so we have to invade them.
[00:15:57.387 --> 00:16:01.369]  The fear of another 9-11 attack, so therefore you give up all your civil liberties.
[00:16:01.369 --> 00:16:03.210]  They do that in economics, too.
[00:16:03.210 --> 00:16:04.971]  There's this tremendous fear, and
[00:16:05.291 --> 00:16:07.012]  In a breakdown, they're not going to admit the truth.
[00:16:07.012 --> 00:16:08.933]  They're going to say, you know, markets don't work.
[00:16:08.933 --> 00:16:11.614]  What we need is somebody to take care of us.
[00:16:11.614 --> 00:16:16.216]  And what we have to fight for is to make sure that people won't give up their liberties.
[00:16:16.216 --> 00:16:16.876]  Exactly.
[00:16:16.876 --> 00:16:23.499]  So you're saying they could use the financial crisis, then pose as saviors, and give us even more government as a fix?
[00:16:23.499 --> 00:16:24.359]  Oh, I think they will.
[00:16:24.359 --> 00:16:24.840]  They've done that.
[00:16:24.840 --> 00:16:28.001]  Look at what, this really started wholesale, you know, in the Depression.
[00:16:28.001 --> 00:16:28.901]  That was the whole thing.
[00:16:28.901 --> 00:16:30.082]  You know, scare people to death.
[00:16:30.082 --> 00:16:32.163]  Instead of blaming the Federal Reserve for the Depression,
[00:16:33.063 --> 00:16:34.464]  And a financial bubble of the 20s.
[00:16:34.464 --> 00:16:37.967]  They said, well, capitalism failed.
[00:16:37.967 --> 00:16:39.428]  It was that stupid gold standard.
[00:16:39.428 --> 00:16:41.869]  Therefore, we have to have government welfare.
[00:16:41.869 --> 00:16:43.971]  Of course, everything they did prolonged the Depression.
[00:16:43.971 --> 00:16:46.492]  The Depression lasted 15 months.
[00:16:46.492 --> 00:16:47.053]  15 years.
[00:16:47.053 --> 00:16:47.493]  Exactly.
[00:16:47.493 --> 00:16:49.374]  We've only got 30 seconds left.
[00:16:49.374 --> 00:16:54.098]  You confronted Bernanke a few weeks ago and he had the nerve of saying that we had 2% inflation.
[00:16:54.098 --> 00:16:54.598]  Is that a lie?
[00:16:55.794 --> 00:17:05.017]  Well, according to him, it's not a lie, and according to the way they measure it, they don't think it's a lie, but according to the facts, it's a lie, because they're, of course, inflating the money supply.
[00:17:05.017 --> 00:17:14.060]  They won't even tell us they're inflating the currency by 13% if you look at M3, and even the price inflation, which is not the actual inflation.
[00:17:14.060 --> 00:17:19.882]  If you go by the old CPI, it's going up 8 or 10%, so he's certainly deceiving us.
[00:17:20.732 --> 00:17:22.196]  Congressman, we salute you.
[00:17:22.196 --> 00:17:24.341]  We pray for you and Carol and your whole family.
[00:17:24.341 --> 00:17:25.083]  God bless you.
[00:17:25.083 --> 00:17:25.985]  Go with God.
[00:17:25.985 --> 00:17:26.767]  Thanks a lot.
[00:17:26.767 --> 00:17:28.009]  Thank you.
[00:17:28.009 --> 00:17:28.471]  All right.
[00:17:28.471 --> 00:17:31.237]  We'll be right back, ladies and gentlemen.
