[00:00:00.169 --> 00:00:01.410]  Cover-ups.
[00:05:01.167 --> 00:05:08.794]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:05:09.508 --> 00:05:16.952]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:05:16.952 --> 00:05:28.697]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:05:28.697 --> 00:05:32.659]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:05:32.659 --> 00:05:34.920]  It's an anthology of government crimes.
[00:05:34.920 --> 00:05:38.782]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:05:39.362 --> 00:05:46.806]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[00:05:51.866 --> 00:05:57.010]  Black Berkey purification elements are more powerful than any gravity filter element on the market.
[00:05:57.010 --> 00:06:04.476]  These awesome elements are used in Berkey purification systems and they can also be used to upgrade most other gravity filtration systems.
[00:06:04.476 --> 00:06:15.305]  They can purify raw, untreated water by removing pathogenic bacteria, cysts, parasites, trihalomethanes, and chemicals such as chlorine, atrazine, styrene, and MTBE.
[00:06:15.305 --> 00:06:19.869]  These elements also reduce unwanted heavy metals such as lead, mercury, and aluminum.
[00:06:20.129 --> 00:06:25.332]  Unbelievably, they even remove small micro-particulate from water, like food coloring particles.
[00:06:25.332 --> 00:06:28.494]  Yet, they leave in the nutritional minerals that your body needs.
[00:06:28.494 --> 00:06:38.299]  Moreover, because they are recleanable, black Berkey elements are more economical than the standard disposable elements, providing fresh, pure water for less than two cents per gallon.
[00:06:38.379 --> 00:06:43.262]  Get a 2-pack for only $99 or a 4-pack for only $188 by calling New Millennium at 888-803-4438.
[00:06:43.262 --> 00:06:44.983]  That's 888-803-4438 or order on the web at berkeywater.com.
[00:06:51.815 --> 00:06:54.897]  Have you ever thought about what's in your shampoo, soap, or detergent?
[00:06:54.897 --> 00:07:00.419]  How about chlorides, dyes, ethanol, sulfates, sodium, formaldehydes, and more?
[00:07:00.419 --> 00:07:06.142]  Even fragrance can indicate the presence of some 4,000 separate ingredients, most of which are synthetic.
[00:07:06.142 --> 00:07:07.623]  Hi, this is Alex Jones.
[00:07:07.623 --> 00:07:16.527]  I was shocked when I discovered I could be inhaling these additives that can lead to coughing, wheezing, and shortness of breath, headaches, nausea, irritation of the skin, and mucous membranes.
[00:07:16.927 --> 00:07:18.769]  Now, compare a Calben Pure Soap.
[00:07:18.769 --> 00:07:22.994]  All natural, earth friendly, no harsh chemicals, no animal testing.
[00:07:22.994 --> 00:07:28.020]  They're safe and you save 85% of the money you're spending on cleaning products now.
[00:07:28.020 --> 00:07:30.102]  Start saving over $1,000 a year for your family of four.
[00:07:31.844 --> 00:07:32.924]  Keep it natural.
[00:07:32.924 --> 00:07:41.328]  Call Calvin Pure Soap for a free catalog at 1-800-340-7091 or log on to 5starsoap.com.
[00:07:41.328 --> 00:07:45.469]  Try Calvin Pure Soaps and I'll bet you'll never use any other cleaning products again.
[00:07:45.469 --> 00:07:46.569]  Call 1-800-340-7091 for all your cleaning needs.
[00:07:56.713 --> 00:07:58.034]  Big Brother.
[00:07:58.034 --> 00:07:59.795]  Mainstream media.
[00:07:59.795 --> 00:08:01.556]  Government cover-ups.
[00:08:01.556 --> 00:08:03.138]  You want answers?
[00:08:03.138 --> 00:08:04.699]  Well, so does he.
[00:08:04.699 --> 00:08:08.882]  He's Alex Jones on the GCN Radio Network.
[00:08:08.882 --> 00:08:12.965]  And now, live from Austin, Texas, Alex Jones.
[00:08:21.378 --> 00:08:23.826]  He really is founding father material.
[00:08:23.826 --> 00:08:27.600]  I know this interview will have its own life on the internet, so for new listeners...
[00:08:28.391 --> 00:08:32.254]  You can visit InfoWars.com or PrisonPlanet.com and read his bio.
[00:08:32.254 --> 00:08:37.719]  We have banners up there that link over to his presidential run website.
[00:08:37.719 --> 00:08:44.584]  It's RonPaul2008.com.
[00:08:44.584 --> 00:08:57.695]  Congressman, it's probably best to really start the interview officially for this full hour we've got with you with Ron Paul and his own words, who you are, what your awakening was like, what formed your ideals, and why you're running for the
[00:10:26.305 --> 00:10:29.326]  My goal was to become a physician, which I was able to achieve.
[00:10:29.326 --> 00:10:31.167]  I went to Duke Medical School.
[00:10:31.167 --> 00:10:37.529]  But as I was finishing medical school and getting into my training, I became fascinated with also reading about economic policy.
[00:10:37.529 --> 00:10:43.992]  I came across Hayek's book, Road to Serfdom, and he represented the Austrian School of Economics.
[00:10:43.992 --> 00:10:49.694]  And that fascinated me because I believe they were the most to run, probably, with the economic issues.
[00:10:49.694 --> 00:10:55.156]  The fascination with how the monetary policy in the Federal Reserve was so damaging to our economy.
[00:10:55.900 --> 00:11:22.735]  And yet, over the years, that interest in economic policy also transferred an interest into foreign policy, because I saw the connection that our efforts to police the world and spend money and maintain an empire was dangerous, hurt our national security, was very damaging to our financial health, and it was connected in that if you have
[00:11:23.542 --> 00:11:35.724]  If you have military spending out of control as well as domestic entitlement spending out of control, the only way you can maintain it is through a central bank that creates money out of thin air, and they all came together.
[00:11:35.724 --> 00:11:48.227]  So I work very hard on foreign policy as well as monetary and economic policy, and serve on the Banking Committee, which is the financial services committee, as well as the Joint Economic Committee, and also Foreign Affairs.
[00:11:50.527 --> 00:11:56.311]  If you were elected President, what would be the first actions that you would take?
[00:11:56.311 --> 00:12:01.433]  Well, you know, there are so many things that can and should be done.
[00:12:01.433 --> 00:12:10.518]  There's a limit to what you can do without, you know, trying to follow best you can the rules, and that is getting Congress to go along.
[00:12:10.518 --> 00:12:12.299]  But there's still a lot you could do.
[00:12:12.299 --> 00:12:15.961]  As a Commander-in-Chief, you certainly could handle the troops around the world.
[00:12:16.497 --> 00:12:18.077]  I would not.
[00:12:18.077 --> 00:12:24.539]  I would start talking to all our allies, tell them what the plans were, and start coming home.
[00:12:24.539 --> 00:12:30.220]  And we are now spending close to a trillion dollars maintaining our foreign policy.
[00:12:30.220 --> 00:12:41.182]  And it's a lot bigger than most people realize, but if you add up the DOD, the supplementals, the interest on the money we spend in taking care of our veterans, and by the way, sometimes very poorly.
[00:12:41.182 --> 00:12:45.343]  It's also a foreign policy that has taken us from the most loved to the most hated.
[00:12:45.936 --> 00:12:46.917]  That is true.
[00:12:46.917 --> 00:12:54.501]  You know, they accuse us, who believe in the Constitution and minding our own business, yet trading with people they call us isolationists.
[00:12:54.501 --> 00:12:56.482]  And yet, what have they done to us?
[00:12:56.482 --> 00:13:01.966]  They have made us, we've turned our country into isolationists.
[00:13:01.966 --> 00:13:03.547]  Diplomatically, we don't talk to anybody.
[00:13:03.547 --> 00:13:07.149]  We have more enemies than we've ever had before and fewer allies.
[00:13:07.149 --> 00:13:12.212]  And at the same time, our ability to defend this country is being diminished on a daily basis.
[00:13:12.802 --> 00:13:15.644]  And we worry about borders all around the world.
[00:13:15.644 --> 00:13:17.405]  We worry about borders in Korea.
[00:13:17.405 --> 00:13:20.387]  We worry about borders around Iraq.
[00:13:20.387 --> 00:13:22.408]  And what do we do with our own borders?
[00:13:22.408 --> 00:13:28.312]  They built a fence over two-thirds of Afghanistan that cost, what was it, $4 billion or something?
[00:13:28.312 --> 00:13:28.552]  Yeah.
[00:13:28.552 --> 00:13:30.353]  And here, we don't do anything.
[00:13:30.353 --> 00:13:34.036]  We have behind the scenes the plan for a North American Union.
[00:13:34.036 --> 00:13:37.778]  And that's the part that the American people are starting to wake up to.
[00:13:38.751 --> 00:13:41.853]  Although, we have a long way to go to wake up Washington.
[00:13:41.853 --> 00:13:49.417]  It's amazing to me how many people outside of Washington are very much aware of some of these plans with this North American Union.
[00:13:49.417 --> 00:13:57.401]  At the same time, they're in total denial in Washington, except for the few who, behind the scenes, are laying the plans and providing the finances.
[00:13:58.360 --> 00:14:02.864]  Congressman, let's... I've got a whole gamut of questions I want to walk through with you.
[00:14:02.864 --> 00:14:04.565]  We're honored you're spending a full hour with us today.
[00:14:04.565 --> 00:14:06.867]  Our calls are coming up in 15 minutes, folks.
[00:14:06.867 --> 00:14:16.575]  But let's just right now, because I'm getting calls every day, emails every hour, calls every... I mean, it's wild the amount of support you've got, because we're being inundated.
[00:14:16.575 --> 00:14:17.896]  How do we help the congressman?
[00:14:17.896 --> 00:14:19.077]  How do we help the congressman?
[00:14:19.077 --> 00:14:20.158]  How do we help the congressman?
[00:14:21.839 --> 00:14:24.442]  So, without giving away too much, what is your strategy?
[00:14:24.442 --> 00:14:26.864]  How do people in the 50 states support you?
[00:14:26.864 --> 00:14:28.826]  Number one, monetary right now, folks.
[00:14:28.826 --> 00:14:31.989]  I'm going to write a check today and mail it to the Congressman.
[00:14:31.989 --> 00:14:34.771]  You can also donate there on the website.
[00:14:34.771 --> 00:14:40.056]  Obviously, you haven't raised $23 million like Hillary, but you've raised, as you told me off-air, $600,000 plus.
[00:14:41.637 --> 00:14:43.339]  How do people support you?
[00:14:43.339 --> 00:14:45.661]  I mean, I guess, number one, they've got to believe you can win.
[00:14:45.661 --> 00:14:47.122]  They've got to know you can win.
[00:14:47.122 --> 00:14:53.667]  And on top of that, regardless, you're going to interject some real sanity into the presidential debate.
[00:14:53.667 --> 00:14:55.769]  Well, let's hope so.
[00:14:55.769 --> 00:14:59.092]  And the competition isn't all that great, so I hope we do well.
[00:14:59.092 --> 00:15:01.214]  And that'll be coming up pretty soon.
[00:15:01.214 --> 00:15:05.798]  The first debate will be at the beginning of May in California.
[00:15:06.369 --> 00:15:08.150]  And I will be in that.
[00:15:08.150 --> 00:15:13.871]  But the most important thing, especially for us, is to raise the money so that we can hire the staff.
[00:15:13.871 --> 00:15:18.893]  But we also have a strategy that we have to be proportionate to what we have.
[00:15:18.893 --> 00:15:22.814]  So we can't plan for television in California at this moment.
[00:15:22.814 --> 00:15:25.075]  I mean, that wouldn't be a wise decision.
[00:15:25.075 --> 00:15:28.236]  But we can work very hard in New Hampshire, very hard in Iowa.
[00:15:28.236 --> 00:15:31.737]  I will be leaving within an hour or so after we finish this program.
[00:15:31.737 --> 00:15:34.138]  I'll be leaving for Iowa, and I'll spend three days there.
[00:15:34.822 --> 00:15:43.129]  And that's my first trip there, and we'll probably get a pretty good feel for how things are going and how the grassroots are responding in that state.
[00:15:43.129 --> 00:15:45.190]  But another early state is Nevada.
[00:15:45.190 --> 00:15:46.511]  That's a good state for us.
[00:15:46.511 --> 00:15:50.194]  I've been to Arizona, and the reception there was exceptionally good.
[00:15:50.194 --> 00:16:02.664]  So the strategy will be to go into these five or six early primaries, the states that it's easier to reach, and raising the money in order to have the staff in order to do the organization that we need.
[00:16:04.131 --> 00:16:07.074]  Obviously, money is essential.
[00:16:07.074 --> 00:16:10.056]  You've got the policies, you've got the brain, you've got the crew.
[00:16:10.056 --> 00:16:11.697]  You need money.
[00:16:11.697 --> 00:16:15.641]  Specifically, Congressman, how do people support financially your presidential run?
[00:16:15.641 --> 00:16:25.368]  Well, the best way is to get hold of our website, Ron Paul 2008, and you can donate over the website.
[00:16:25.368 --> 00:16:30.813]  People who are not anxious to use the website and their credit cards over the internet,
[00:16:31.263 --> 00:16:34.924]  They should call 800-RON-PAUL.
[00:16:34.924 --> 00:16:44.785]  That's an 800 number we have and you can get details about the address to send the check and find out more about the campaign that way.
[00:16:44.785 --> 00:16:47.206]  That's 1-800-RON-PAUL.
[00:16:47.206 --> 00:16:51.747]  Ladies and gentlemen, I'm going to give $1,000 today to the campaign.
[00:16:51.747 --> 00:16:53.387]  These laws get so confusing.
[00:16:53.387 --> 00:16:55.527]  Can I give that much, Congressman, as an individual?
[00:16:55.527 --> 00:16:55.827]  Yes.
[00:16:55.827 --> 00:16:58.148]  As a matter of fact, I think it's now $2,300.
[00:17:00.402 --> 00:17:01.002]  Okay.
[00:17:01.002 --> 00:17:02.402]  Per person, per campaign.
[00:17:02.402 --> 00:17:05.743]  Well, right now, and I'm not a wealthy person, I'm going to give $1,000.
[00:17:05.743 --> 00:17:12.465]  And the reason I'm doing this is I don't want to hear this talk of, he can't win, they're too big, the election machines, it's a fraud.
[00:17:12.465 --> 00:17:21.487]  Regardless, we've got a chance here with somebody who's got a perfect voting record, who has tried to abolish the Federal Reserve, who stands up to the Fed Chairman when he comes into the Banking Committee.
[00:17:21.487 --> 00:17:23.187]  We're going to play a clip later in the hour.
[00:17:23.187 --> 00:17:29.729]  We've got somebody who will bring the troops home, not like these fake Democrats who put on smoke and mirror, dog and pony, carnival barking shows.
[00:17:30.209 --> 00:17:36.753]  We've got somebody who is dead-on on every single issue and who is popular in every single group.
[00:17:36.753 --> 00:17:40.435]  The liberals, the conservatives, the libertarians, the constitutionalists.
[00:17:40.435 --> 00:17:42.396]  We've got to get behind Congress from Ron Paul.
[00:17:42.396 --> 00:17:44.837]  This country is in dire straits.
[00:17:44.837 --> 00:17:46.918]  The economy is unraveling.
[00:17:46.918 --> 00:17:54.182]  There are so many problems and we cannot have a Hillary Clinton or a Mitt Romney or one of these establishment wonks
[00:17:54.922 --> 00:17:58.164]  He's a lot better than people who have some questioning, some history.
[00:18:07.819 --> 00:18:10.921]  Ross Perot with government contracts and spook behavior.
[00:18:10.921 --> 00:18:11.862]  I'm not going to attack him.
[00:18:11.862 --> 00:18:13.203]  I supported him at the time.
[00:18:13.203 --> 00:18:16.345]  It's just that Congressman Ron Paul doesn't have those skeletons.
[00:18:16.345 --> 00:18:17.245]  I know him well.
[00:18:17.245 --> 00:18:18.526]  I've looked at him carefully.
[00:18:18.526 --> 00:18:19.927]  And I'm telling you, get behind him.
[00:18:19.927 --> 00:18:22.949]  It can become a phenomenon like we saw with Ross Perot.
[00:18:22.949 --> 00:18:25.410]  And he can win, ladies and gentlemen.
[00:18:25.410 --> 00:18:27.572]  Now, this is a chance to be part of history.
[00:18:27.572 --> 00:18:29.713]  You go to Ron Paul's website.
[00:18:29.713 --> 00:18:31.394]  You go to ronpaul2008.com and you donate.
[00:18:33.175 --> 00:18:37.437]  Or you call 1-800-RON-PAUL and you donate right now.
[00:18:37.437 --> 00:18:38.418]  1-800-RON-PAUL.
[00:18:38.418 --> 00:18:39.898]  It's time to stop the talk.
[00:18:39.898 --> 00:18:40.999]  It's time to take action.
[00:18:40.999 --> 00:18:43.020]  Now, there are other strategies.
[00:18:43.020 --> 00:18:48.422]  Wherever the Congressman's going, you watch his website, where he's going to be, and if you live in that area, you come out and support him.
[00:18:48.422 --> 00:18:49.863]  You call the newspapers.
[00:18:49.863 --> 00:18:50.743]  You call the TV.
[00:18:50.743 --> 00:18:53.685]  Fox News had him on and said, man, you've got a lot of supporters.
[00:18:53.685 --> 00:18:57.587]  You have already been knocking down the doors at Fox, CNN, Bill Maher.
[00:18:57.587 --> 00:19:00.668]  Keep the buzz going to demand they stop ignoring him.
[00:19:00.668 --> 00:19:02.169]  Every time the Congressman wins,
[00:19:03.090 --> 00:19:03.891]  A poll?
[00:19:03.891 --> 00:19:11.498]  They then pull him out and say, oh, his people are cheating, you know, there's no way he could be winning by 65-70% in a five-way poll.
[00:19:11.498 --> 00:19:11.938]  No!
[00:19:11.938 --> 00:19:13.379]  That is the will of the people.
[00:19:13.379 --> 00:19:22.007]  I'm here to tell you, ladies and gentlemen, people are anti-New World Order, they're pro-Constitution, and Ron Paul needs to be the next President of the United States!
[00:19:22.007 --> 00:19:24.049]  So right now, I want you to go
[00:19:24.509 --> 00:19:31.135]  To ronpaul2008.com, ronpaul2008.com, or 1-800-RON-PAUL.
[00:19:31.135 --> 00:19:38.502]  And I want you to donate, and I want you to be extremely generous, because this country, and our children, and our grandchildren, depend on it.
[00:19:38.502 --> 00:19:43.266]  Listen, in a few years, we may have to start evacuating the country, ladies and gentlemen, and there's nowhere to run.
[00:19:43.266 --> 00:19:45.688]  If we don't turn this around now, this is a real avenue.
[00:19:49.924 --> 00:19:53.267]  More than 700 chemicals have been found in our drinking water.
[00:19:53.267 --> 00:19:58.452]  And did you know that you can have greater exposure to these chemicals by taking hot showers than when you drink the water?
[00:19:58.452 --> 00:20:03.096]  That's because many chemicals are inhaled when they evaporate, and others are absorbed through the skin.
[00:20:03.096 --> 00:20:12.224]  The KDF shower filter is designed to reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold, algae, and fungus in your shower.
[00:20:12.224 --> 00:20:15.827]  The media is non-toxic, environmentally sound, and is recyclable.
[00:20:16.107 --> 00:20:21.456]  The KDF shower filter will typically last 10,000 gallons or one year, whichever comes first.
[00:20:21.456 --> 00:20:28.168]  Hospitals, restaurants, and water treatment facilities use this media to reduce chlorine, iron, heavy metals, and bacteria.
[00:20:28.658 --> 00:20:29.960]  What about you?
[00:20:29.960 --> 00:20:34.905]  Order your KDF shower filter, normally $49, for our special price of only $35.
[00:20:34.905 --> 00:20:35.366]  A $14 savings.
[00:20:35.366 --> 00:20:36.547]  Call now to order at 1-888-803-4438.
[00:20:36.547 --> 00:20:38.429]  Order today and save $14 by calling 1-888-803-4438.
[00:20:49.927 --> 00:20:53.850]  When making important financial decisions, you should always know the facts.
[00:20:53.850 --> 00:20:57.653]  That's why Midas Resources is willing to pay you to read the facts.
[00:20:57.653 --> 00:21:06.840]  Midas Resources, a team of hand-picked financial specialists with decades of financial experience who are ready to provide you with state-of-the-art, up-to-date financial services.
[00:21:06.840 --> 00:21:11.083]  Midas Resources offers a host of services and stands behind their products.
[00:21:11.083 --> 00:21:15.286]  In fact, if you call and order their free Midas Report, Midas Resources will pay you.
[00:21:15.926 --> 00:21:21.567]  This detailed report will provide you with financial history on the safest and most profitable areas to invest in.
[00:21:21.567 --> 00:21:27.168]  If you read the report, Midas Resources will send you a free Walking Liberty Silver Half Dollar.
[00:21:27.168 --> 00:21:28.488]  So, what are you waiting for?
[00:21:28.488 --> 00:21:33.489]  Get the facts and call Midas Resources toll-free at 888-292-2709.
[00:21:33.489 --> 00:21:37.570]  That's 888-292-2709.
[00:21:37.570 --> 00:21:42.911]  And remember, if you read the Midas Report, you'll receive a free Walking Liberty Silver Half Dollar.
[00:21:51.135 --> 00:21:53.818]  Do you know the truth about cancer treatments?
[00:21:53.818 --> 00:22:03.269]  Do you realize that with all presently accepted methods, you are not correctly attacking the cancer, and you are mostly fighting to survive the treatment?
[00:22:03.269 --> 00:22:10.398]  Do you realize that mutilating surgery, burning, and the poisoning of your entire system are totally unnecessary?
[00:22:11.101 --> 00:22:17.083]  But now, it's cancer's turn to die with LaceMedInc's patented methodology.
[00:22:17.083 --> 00:22:28.665]  Without cutting, bleeding, drugs, or damaging radiation, we can destroy skin cancer and breast tumors of any size without adverse side effects at our physician's office.
[00:22:28.665 --> 00:22:31.226]  Laser technology at its best.
[00:22:31.226 --> 00:22:32.646]  For more information, call 702-953-0111.
[00:22:35.247 --> 00:22:35.767]  We're good to go.
[00:23:00.487 --> 00:23:03.892]  Just as prophesied, the judgments upon America have begun.
[00:23:03.892 --> 00:23:07.857]  Yes, the terror attacks of 9-11 opened Revelation's first seal.
[00:23:07.857 --> 00:23:15.727]  In the name of peace and safety, the Rider King has mounted his white horse, waging wars and rumors of war, conquering the Middle East for treasures of oil.
[00:23:16.167 --> 00:23:22.772]  Get Two Witness Ministries' next shocking revelation, The Rider of the White Horse, George W. Bush in Prophecy.
[00:23:22.772 --> 00:23:25.854]  Visit the website, twowitnessministries.com.
[00:23:25.854 --> 00:23:30.617]  King George II beats the war drums for his next invasion, Iran and Syria.
[00:23:30.617 --> 00:23:33.959]  More nations are to follow, including the draft of your children.
[00:23:33.959 --> 00:23:40.124]  With a $25 love offering to Two Witness Ministries, get the book, The Rider of the White Horse, at Box 2453, Abilene, Texas, 79604.
[00:23:43.946 --> 00:23:59.836]  Unless she repents, America will not survive the Red Horse of World War III.
[00:23:59.836 --> 00:24:04.939]  I've been watching politics since I was a little bitty kid.
[00:24:04.939 --> 00:24:10.463]  Checking out the stuff going on with Watergate.
[00:24:11.207 --> 00:24:16.448]  And I've been doing talk radio for quite a while and covering this, so I know a little bit about politics.
[00:24:16.448 --> 00:24:19.489]  And I've talked to a lot of experts and strategists and people in both parties.
[00:24:19.489 --> 00:24:21.930]  And believe me, they're scared of Congressman Ron Paul.
[00:24:21.930 --> 00:24:27.011]  He's got a real chance to win, because you don't have election fraud machines in place everywhere.
[00:24:27.011 --> 00:24:28.752]  You've got massive grassroots support.
[00:24:28.752 --> 00:24:29.932]  People want a change.
[00:24:29.932 --> 00:24:33.113]  They want a true populist with constitutional principles.
[00:24:33.113 --> 00:24:37.394]  Congressman, you wanted to add one more point about the campaign, and then we would get into the questions.
[00:24:37.394 --> 00:24:37.774]  Right.
[00:24:37.774 --> 00:24:40.315]  You emphasize the need for money, and that certainly is the case.
[00:24:40.902 --> 00:24:45.504]  But you know, there are other things that can help a candidate like myself, and that is the Internet.
[00:24:45.504 --> 00:24:50.647]  The Internet already has been very helpful, and I think it's going to be more helpful as time goes on.
[00:24:50.647 --> 00:24:54.029]  And that's something that is becoming more so every day.
[00:24:54.029 --> 00:24:57.510]  You know, 10, 15 years ago, it wasn't even significant.
[00:24:57.510 --> 00:25:03.974]  The other thing is that radio talk shows, like what you have, they're very important.
[00:25:03.974 --> 00:25:08.196]  Almost every place I go, somebody will come up to me and ask, well, how did you get involved in this?
[00:25:08.644 --> 00:25:09.865]  And it's through your show.
[00:25:09.865 --> 00:25:17.190]  So there's a lot of people who have joined our campaign and who have already started to show up at our events because of your encouragement.
[00:25:17.190 --> 00:25:30.820]  And the other point is, though we'll not match those individuals who are bought and paid for by the special interest where they can raise $100 million because they want access for their contracts, they waste a lot of that money.
[00:25:30.820 --> 00:25:37.525]  I mean, they have their private jets and they pay huge salaries and they spend a lot of money on advertisement.
[00:25:38.241 --> 00:25:46.368]  And it really is not as important today to run a campaign that way as it used to be in the past.
[00:25:46.368 --> 00:25:53.674]  So there's a lot of other reasons for us to be hopeful that this thing will take off and that we'll do much, much better than anybody ever dreamed we would.
[00:25:54.657 --> 00:25:55.858]  Well, I'm already seeing that.
[00:25:55.858 --> 00:26:05.903]  In fact, when you decided to run, you said you were testing the waters in your exploratory committee, and then you said, if memory serves, that it was a bigger response than you were even hoping for.
[00:26:05.903 --> 00:26:08.904]  Yeah, it wasn't a surprise to me.
[00:26:08.904 --> 00:26:12.786]  I'm usually the skeptical one because I don't want to
[00:26:13.476 --> 00:26:20.161]  Overstate a position and then not only disappoint my supporters, but also, you know, I don't want to fool myself either.
[00:26:20.161 --> 00:26:29.068]  So, you know, I'm rather conservative in my estimates, but each day we go on, I'm feeling better about it.
[00:26:29.068 --> 00:26:35.452]  Well, I mean, you know this better than I. You've lived longer and you've seen a lot more than I have, but I've learned this in life.
[00:26:35.452 --> 00:26:38.014]  If you don't get in the game, you have no chance of winning.
