[00:00:00.149 --> 00:00:01.009]  Dead on.
[00:04:25.471 --> 00:04:28.814]  Call Associated Tax Relief toll-free for a free consultation.
[00:04:28.814 --> 00:04:29.034]  888-209-5457.
[00:04:29.034 --> 00:04:29.314]  That's 888-209-5457.
[00:04:36.445 --> 00:04:40.207]  With increased terror threats come worries about the use of chemical weapons.
[00:04:40.207 --> 00:04:45.350]  So says Director General of the Organization for the Prohibition of Chemical Weapons, Rogelio Prutter.
[00:04:45.350 --> 00:04:57.077]  The ease of access to dual-use chemicals and the readily available knowledge of the technologies and processes required to manufacture chemical weapons make them a potential instrument of choice for terrorists.
[00:04:57.077 --> 00:05:01.880]  While the Chemical Weapons Convention, which calls for the elimination of chemical weapons, was enacted in 1997,
[00:05:03.221 --> 00:05:06.943]  Some experts worry about the re-emergence of the potentially lethal weapons.
[00:05:06.943 --> 00:05:13.045]  This fear was realized last week when terrorists in Iraq detonated two bombs laced with chlorine.
[00:05:13.045 --> 00:05:26.050]  And a Virginia Beach, Virginia Catholic school principal has organized sensitivity training for students who shouted, we love Jesus, during a basketball game against a school with a predominantly Jewish population.
[00:05:26.050 --> 00:05:28.471]  There's more news on usaradio.com.
[00:05:28.471 --> 00:05:29.672]  Richard Curtis reporting.
[00:05:30.453 --> 00:05:33.056]  USA Radio, Network News.
[00:05:33.056 --> 00:05:36.641]  Oh wait, why did you turn that down?
[00:05:36.641 --> 00:05:39.324]  I get so tired of that girl's squeaky voice.
[00:05:39.324 --> 00:05:42.528]  I'm sure the bed fan works, but that squeaky voice.
[00:05:42.528 --> 00:05:43.930]  Well what's the bed fan?
[00:05:43.930 --> 00:05:46.313]  It's a fan that helps hot sleepers stay cool at night.
[00:05:46.573 --> 00:05:47.754]  I could use something like that.
[00:05:47.754 --> 00:05:50.297]  This menopause thing is really getting to me at night.
[00:05:50.297 --> 00:05:53.219]  And you know how I am about doing that hormone therapy thing.
[00:05:53.219 --> 00:05:55.121]  Besides, you're a hot sleeper yourself.
[00:05:55.121 --> 00:05:57.703]  You're always throwing the covers off in the middle of the night.
[00:05:57.703 --> 00:05:58.704]  I guess you're right.
[00:05:58.704 --> 00:05:59.545]  Why don't we try it?
[00:05:59.545 --> 00:06:01.487]  Just think how nice it'll be to sleep through the night.
[00:06:01.907 --> 00:06:06.270]  Yeah, and just think how nice it'll be this summer and all the money we can save on air conditioning.
[00:06:06.270 --> 00:06:08.331]  I know where we can get some more information.
[00:06:08.331 --> 00:06:12.834]  Sleep Disorder Centers across the country recommend that you must stay cool to get a good night's sleep.
[00:06:12.834 --> 00:06:16.337]  The BedFan will keep you cool and give you the restful sleep you deserve.
[00:06:16.337 --> 00:06:19.819]  With our 30-day 100% guarantee, you risk nothing.
[00:06:19.819 --> 00:06:20.900]  Are you a hot sleeper?
[00:06:20.900 --> 00:06:22.321]  Is your partner a hot sleeper?
[00:06:22.321 --> 00:06:23.882]  The BedFan is the answer.
[00:06:23.882 --> 00:06:27.464]  Visit us today at www.bedfan.com.
[00:06:27.464 --> 00:06:30.066]  That's www.bedfan.com.
[00:06:31.987 --> 00:06:43.258]  Prepare yourself for a talk radio experience like no other.
[00:06:43.258 --> 00:06:46.021]  He stands for truth.
[00:06:46.021 --> 00:06:49.224]  He stands for justice.
[00:06:49.224 --> 00:06:51.686]  He stands for what's right.
[00:06:51.686 --> 00:06:54.969]  This is the Alex Jones Show.
[00:06:54.969 --> 00:06:56.731]  Call Alex now, toll free.
[00:06:58.149 --> 00:06:59.630]  At 877-590-5525.
[00:06:59.630 --> 00:07:11.662]  Now live from Austin, Texas, here's Alex Jones.
[00:07:11.662 --> 00:07:13.523]  Welcome ladies and gentlemen, welcome.
[00:07:13.523 --> 00:07:22.152]  Thank you so much for joining us on this Sunday afternoon, Sunday evening, depending on your time zone as we syndicate out across the United States.
[00:07:22.927 --> 00:07:23.287]  Okay.
[00:07:23.287 --> 00:07:25.808]  I'm not tooting my own horn.
[00:07:25.808 --> 00:07:27.928]  With great power comes great responsibility.
[00:07:27.928 --> 00:07:30.809]  But we break major news reports every single week, sometimes every single day.
[00:07:52.466 --> 00:07:59.472]  But it's been a year or so since we've really brought you something this big and broken something this big.
[00:07:59.472 --> 00:08:10.803]  If you type into Google News, the number one news service now in the world, number one for traffic, that's Google and click News and type in Oklahoma City bombing or Oklahoma bombing, the first four links, at least this morning,
[00:08:11.463 --> 00:08:17.412]  And last night are articles from PrisonPlanet.com and InfoWars.com.
[00:08:17.412 --> 00:08:26.124]  Under them are reports out of the Salt Lake City Tribune and out of the Desert News.
[00:08:26.124 --> 00:08:27.647]  Reports like this are scary.
[00:08:28.647 --> 00:08:48.791]  I don't like having to bring this information to you, but we're going to be pretty much exclusively in the first hour into the second hour talking about the Oklahoma City bombing, which was an inside job perpetrated by members of Bill Clinton's Justice Department to bring the United States closer to the New World Order police state.
[00:08:48.791 --> 00:08:51.631]  It's the baby brother to 9-11.
[00:08:51.631 --> 00:08:57.212]  Administrations change, but the people running the country, the New World Order, remain the same.
[00:08:58.061 --> 00:09:22.397]  The first film I made ten years ago, in 1997, that I was producing in 1996, America Destroyed by Design, is about Oklahoma City attack, and we lay out how the government did it, why they did it, in that film made about a year and a half after the attack on the Alfred P. Murrah building at 9.02 a.m.
[00:09:22.397 --> 00:09:22.837]  on April 19, 1995.
[00:09:25.570 --> 00:09:33.653]  And everything I put in that film, my first film, I've since made 14 others, 15 films total, the latest is Terror Storm.
[00:09:33.653 --> 00:09:38.675]  Going as high as number 8 on the Amazon.com charts, which shows we're having an effect.
[00:09:38.675 --> 00:09:42.436]  Everything we laid out there has unfortunately turned out to be accurate and true.
[00:09:42.436 --> 00:09:50.759]  I was going off the state police, off the FBI, off the grand juror, the head of the grand jury, the grand jury foreman, Hoppy Honelberg.
[00:09:50.759 --> 00:09:52.860]  I was going off the testimony of cop of the year.
[00:09:53.832 --> 00:10:02.579]  Terrence Yakey, who all the evidence shows, FBI tortured to death and killed because he wouldn't shut up about the government being involved.
[00:10:02.579 --> 00:10:10.766]  That's right, cop of the year, who saved all those people, saw a little bit too much, them removing the bombs and the rest of it, so they killed him in cold blood.
[00:10:10.766 --> 00:10:21.234]  And we'll go over some of the basics of this because I can't get into the new developments without giving you some of the things that happened previously.
[00:10:21.234 --> 00:10:23.156]  Before you call me or email me and say,
[00:10:25.467 --> 00:10:26.908]  Why would the government do that?
[00:10:26.908 --> 00:10:27.768]  Let's be clear.
[00:10:27.768 --> 00:10:33.071]  Small criminal elements of our government did this.
[00:10:33.071 --> 00:10:46.017]  And they did this to pass the Omnibus Crime Bill and get triple the funding for the BATF, double the funding for the FBI, and to increase the total anti-terror budget by over 100%.
[00:10:48.032 --> 00:10:59.594]  Bill Clinton on Air Force One in 1996, after he had a 32% approval rating when the bombing took place, he was elected with a 68% approval rating, riding high a month after the election.
[00:10:59.594 --> 00:11:06.375]  A reporter in the White House press pool on Air Force One said, what do you owe your re-election to?
[00:11:06.375 --> 00:11:15.457]  And he said, the Oklahoma City bombing, it brought the country together, just like Hitler firebombing his own Reichstag helped bring the country together under the Fuhrer.
[00:11:16.326 --> 00:11:19.527]  And there's so much evidence in this, it would make your head spin.
[00:11:19.527 --> 00:11:26.250]  I have done three-hour programs on Coast to Coast AM with reporters coming on covering it as well.
[00:11:26.250 --> 00:11:28.171]  I've done my own syndicated show weekdays.
[00:11:28.171 --> 00:11:32.733]  I've probably done conservatively 75, 80 programs.
[00:11:32.733 --> 00:11:34.074]  I looked it up.
[00:11:34.074 --> 00:11:37.775]  In 2006, I did no fewer than 15 alone on this.
[00:11:37.775 --> 00:11:43.218]  I've already done several this year, several segments of a broadcast on it.
[00:11:43.218 --> 00:11:43.898]  So literally,
[00:11:44.801 --> 00:11:51.764]  It'd be like if you came to an engineer who had an engineering degree and you said, teach me how to engineer.
[00:11:51.764 --> 00:12:03.109]  I have been studying this since it happened almost 12 years ago, and there's so much evidence I don't even claim to have all the answers or know every little detail.
[00:12:03.109 --> 00:12:06.931]  So it's hard to walk through this, but we're going to try to today.
[00:12:06.931 --> 00:12:08.491]  Again, there's too much evidence.
[00:12:08.491 --> 00:12:11.533]  We have smoking guns piled up to the sky.
[00:12:11.533 --> 00:12:14.234]  It is now obscuring the sun, my friends.
[00:12:16.258 --> 00:12:19.500]  Let's just read through the latest headlines.
[00:12:19.500 --> 00:12:21.881]  This is the Salt Lake City Tribune.
[00:12:21.881 --> 00:12:22.321]  Nichols.
[00:12:22.321 --> 00:12:25.003]  McVeigh had high-level FBI help.
[00:12:25.003 --> 00:12:26.023]  Desert News.
[00:12:26.023 --> 00:12:29.265]  Nichols says bombing was FBI up.
[00:12:29.265 --> 00:12:34.868]  Now here's the more detailed reports that literally are receiving millions of readers.
[00:12:34.868 --> 00:12:35.488]  Attorney.
[00:12:35.488 --> 00:12:40.571]  Ashcroft gagged Nichols from exposing McVeigh's OKC bombing conspirators.
[00:12:40.571 --> 00:12:43.292]  Trinidad drops new bombshell on Alex Jones Show.
[00:12:43.292 --> 00:12:44.713]  This was Thursday.
[00:12:44.713 --> 00:12:45.153]  Breaking.
[00:12:47.017 --> 00:12:50.720]  Attorney sealed documents indicate OKC inside job.
[00:12:50.720 --> 00:12:52.060]  Here's another one.
[00:12:52.060 --> 00:12:54.442]  FBI agent early arrival in Oklahoma City.
[00:12:54.442 --> 00:12:55.963]  Hotel receipt shows it.
[00:12:55.963 --> 00:12:57.984]  World Net Daily.
[00:12:57.984 --> 00:13:04.969]  McVeigh at a military base two years after he was supposedly out of the military at a demolitions compound.
[00:13:04.969 --> 00:13:05.930]  It goes on and on.
[00:13:05.930 --> 00:13:07.611]  We're going to go over all of it.
[00:13:07.611 --> 00:13:11.173]  New OKC revelations spotlight FBI involvement in bombing.
[00:13:11.173 --> 00:13:14.996]  But again, before I go through all the new evidence, let me give you the big news.
[00:13:16.750 --> 00:13:18.951]  The Salt Lake City Tribune doesn't have it.
[00:13:18.951 --> 00:13:20.412]  ABC News doesn't have it.
[00:13:20.412 --> 00:13:21.693]  Guess who has it?
[00:13:21.693 --> 00:13:22.534]  Right here.
[00:13:22.534 --> 00:13:24.455]  In my hands.
[00:13:24.455 --> 00:13:27.817]  Right here.
[00:13:27.817 --> 00:13:37.103]  This is the declaration of Terry Lynn Nichols, United States District Court for the District of Utah, Central Division.
[00:13:37.103 --> 00:13:44.308]  Interviewed and deposed in his jail cell for a day and a half by Jesse C. Trinidou, plaintiff, attorney at law.
[00:13:45.211 --> 00:13:49.974]  And again, Jesse C. Trinidou's brother was mistaken as one of the black operators.
[00:13:49.974 --> 00:13:51.275]  That doesn't mean a black person, folks.
[00:13:51.275 --> 00:13:55.457]  One of the black world operators, one of the special forces individuals involved in this.
[00:13:55.457 --> 00:13:58.299]  So they tortured him to death because he matched another individual.
[00:13:58.299 --> 00:14:02.062]  Once the feds got that other fellow, they tortured him to death and hung him in a cell as well.
[00:14:02.062 --> 00:14:06.144]  So this Jesse C. Trinidou just started investigating this years ago.
[00:14:06.144 --> 00:14:07.465]  I interviewed him three and a half years ago.
[00:14:08.214 --> 00:14:16.458]  That's why I was really proud and honored when he made the point that on my radio program we originally broke all this, and now the documents have come out.
[00:14:16.458 --> 00:14:18.719]  We have the sealed federal documents.
[00:14:18.719 --> 00:14:21.400]  Let me just go ahead and get to the meat of the matter.
[00:14:21.400 --> 00:14:25.783]  In my hand, I have the sealed federal documents.
[00:14:25.783 --> 00:14:30.565]  I have the sealed FBI documents in my hands right now.
[00:14:31.647 --> 00:14:41.815]  Trinidad, an accomplished lawyer, what, 25-30 years in practice, has never seen them seal something anywhere near this quick.
[00:14:41.815 --> 00:14:48.260]  Within a day of these being filed, they had already gotten a motion before the court to seal these.
[00:14:48.260 --> 00:14:54.265]  Now, not before we were able to see them, and not before
[00:14:55.279 --> 00:14:56.820]  And that's the only reason we can cover this.
[00:14:56.820 --> 00:15:03.023]  The Salt Lake City Tribune was able to see them and not before the Desert News was able to see them.
[00:15:03.023 --> 00:15:04.384]  So they were able to see them.
[00:15:04.384 --> 00:15:05.824]  We were able to see them.
[00:15:05.824 --> 00:15:06.865]  We have them right here.
[00:15:07.971 --> 00:15:30.727]  And yes, ladies and gentlemen, Trinidad wisely has not given to the media the most important sealed parts, and that is Exhibit A through G. The exhibits are the names, social security numbers of FBI agents, internal FBI documents that it turns out the defense had, that Stephen Jones reportedly had in the Denver trial.
[00:15:30.727 --> 00:15:35.630]  The federal judge would not allow them to put this evidence on for national security reasons.
[00:15:37.532 --> 00:15:41.133]  Now, you want to understand how they set patsies up and how they run black ops?
[00:15:41.133 --> 00:15:45.515]  Once you've studied a black op, you start learning there's two or three different types.
[00:15:45.515 --> 00:15:48.316]  There's really two main types, a couple of subgroups.
[00:15:48.316 --> 00:15:57.018]  We're going to walk through how they do this by first explaining what happened in Oklahoma City and then going through the evidence.
[00:15:57.018 --> 00:16:05.201]  But yes, ladies and gentlemen, if you go to PrisonPlanet.com and InfoWars.com and JonesReport.com right now, you can read
[00:16:06.016 --> 00:16:08.878]  The federal documents for yourself.
[00:16:08.878 --> 00:16:11.659]  You can see them for yourself.
[00:16:11.659 --> 00:16:14.381]  Sealed under national security.
[00:16:14.381 --> 00:16:15.741]  I'm Alex Jones.
[00:16:15.741 --> 00:16:16.522]  We'll be right back.
[00:16:16.522 --> 00:16:18.363]  Coast to coast and border to border.
[00:16:18.363 --> 00:16:19.623]  Exposing the terrorist.
[00:16:19.623 --> 00:16:20.764]  Defending the republic.
[00:16:34.798 --> 00:16:39.161]  Hi, I'm Joyce Riley and many of you know that for years I was a cardiovascular heart transplant nurse.
[00:16:39.161 --> 00:16:42.503]  Since that time I've educated myself on the importance of preventative care.
[00:16:42.503 --> 00:16:46.826]  It all begins with providing your heart and vascular system with the building blocks for good health.
[00:16:46.826 --> 00:16:50.849]  Strauss Heart Drops is the original formula that was copied by others but never duplicated.
[00:16:51.489 --> 00:16:57.056]  Strauss Heart Drops were developed by a master herbalist, Jim Strauss, after he suffered a heart attack in 1979.
[00:16:57.056 --> 00:17:01.501]  His doctor said he would only survive if he had heart bypass surgery, and Jim said no.
[00:17:01.501 --> 00:17:06.247]  He developed Strauss Heart Drops, the formula that has been copied by others, but never been surpassed.
[00:17:06.247 --> 00:17:08.749]  Get the original Strauss Heart Drops, 4-ounce bottle, for only $79.99.
[00:17:10.331 --> 00:17:12.353]  Call the Power Hour at 877-817-9829.
[00:17:12.353 --> 00:17:12.933]  877-817-9829.
[00:17:12.933 --> 00:17:20.479]  You've probably heard about the other products that have tried to copy the Strauss formula?
[00:17:20.479 --> 00:17:22.741]  Well, get the original Strauss Heart Drops by calling 877-817-9829.
[00:17:22.741 --> 00:17:23.021]  That's 877-817-9829.
[00:17:23.021 --> 00:17:25.784]  Now you could really do your heart right with Strauss Heart Drops.
[00:17:33.949 --> 00:17:38.071]  The United States seems to be celebrating over its triumph of reducing government debt.
[00:17:38.071 --> 00:17:50.777]  But the truth be told, public and private debt increased to a record high in 1999, reaching a peak of $14.8 trillion, marking 10.57% annual increase, outpacing its previous 10 years.
[00:17:50.777 --> 00:17:51.217]  The U.S.
[00:17:51.217 --> 00:17:57.199]  economy receives its currency by taking on debt through a private banking institution called the Federal Reserve System.
[00:17:57.199 --> 00:17:59.420]  In the year 2000, debt growth collapsed to only 4.5%.
[00:18:01.261 --> 00:18:02.362]  It's bad enough that the U.S.
[00:18:02.362 --> 00:18:05.343]  citizens is bound by debt in order to have commerce.
[00:18:05.343 --> 00:18:11.785]  However, shocking the economy with a reduction of this magnitude could wipe out years of growth in a stock portfolio.
[00:18:11.785 --> 00:18:15.206]  Before you make your next investment decision, get the cold hard facts.
[00:18:15.206 --> 00:18:21.549]  Call 1-800-686-2237 for your free report on the outstanding level of public and private debt.
[00:18:22.109 --> 00:18:26.231]  You must understand how recession and depression are driven by outstanding debt.
[00:18:26.231 --> 00:18:26.711]  Call 1-800-686-2237.
[00:18:26.711 --> 00:18:29.252]  That's 1-800-686-2237.
[00:18:29.252 --> 00:18:29.992]  It's here.
[00:18:29.992 --> 00:18:42.098]  After a year in production and traveling to distant lands, my new film Terror Storm is complete.
[00:18:42.098 --> 00:18:49.741]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:18:50.413 --> 00:18:57.878]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:18:57.878 --> 00:19:09.605]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:19:09.605 --> 00:19:13.568]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:19:13.568 --> 00:19:15.829]  It's an anthology of government crimes.
[00:19:15.829 --> 00:19:19.672]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:19:20.262 --> 00:19:27.714]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[00:19:33.889 --> 00:19:35.389]  Hey Jane, how's it going?
[00:19:35.389 --> 00:19:37.530]  Gosh, I'm not doing so well.
[00:19:37.530 --> 00:19:42.051]  Even though I'm doing everything I'm supposed to do, my blood sugar is way out of control.
[00:19:42.051 --> 00:19:43.952]  Oh Jane, I'm sorry to hear that.
[00:19:43.952 --> 00:19:46.272]  I have to monitor my blood sugar again.
[00:19:46.272 --> 00:19:51.674]  If there was only something natural I could take that would help control my blood sugar that really works.
[00:19:51.674 --> 00:19:53.034]  Have you tried Sucroblast?
[00:19:53.806 --> 00:19:59.468]  For millions of Americans who can't keep their high blood sugar levels off their minds, there's Sucroblast.
[00:19:59.468 --> 00:20:04.350]  Sucroblast is the all-natural way to help keep your high blood sugar levels under control.
[00:20:04.350 --> 00:20:08.892]  For a limited time, you can get a free consultation from a Sucroblast specialist.
[00:20:08.892 --> 00:20:11.673]  Call 1-800-99-HEALTHY.
[00:20:11.673 --> 00:20:14.454]  That's 1-800-99-HEALTHY.
[00:20:14.454 --> 00:20:18.636]  Or visit them on the web at MyBloodSugarBreakthrough.com.
[00:20:18.636 --> 00:20:20.357]  That's MyBloodSugarBreakthrough.com.
[00:20:22.122 --> 00:20:23.562]  So, Jane, what do you think?
[00:20:23.562 --> 00:20:27.743]  I'm going to call Sucroblast to set up a free consultation right now!
[00:20:27.743 --> 00:20:28.623]  Excellent, Jane.
[00:20:28.623 --> 00:20:29.804]  He'll be glad you did.
[00:20:29.804 --> 00:20:38.225]  You are listening to GCN.
[00:20:38.225 --> 00:20:44.327]  Visit GCNlive.com today.
[00:20:44.327 --> 00:20:48.187]  Corruption never had a worse enemy.
[00:20:48.187 --> 00:20:50.348]  You're locked into the Alex Jones Show.
[00:20:53.456 --> 00:20:56.120]  Okay, let's be clear.
[00:20:56.120 --> 00:21:02.207]  On February 16th, this filing was written up.
[00:21:02.207 --> 00:21:05.191]  It was filed several days later.
[00:21:05.191 --> 00:21:11.680]  Within a day, the federal government had sealed the filing and its exhibits.
[00:21:12.771 --> 00:21:21.339]  That was A through G. We're talking about the Oklahoma City bombing and the revelations by Terry Nichols that this was a government inside job, a black op.
[00:21:21.339 --> 00:21:23.161]  And we wouldn't just listen to Terry Nichols.
[00:21:23.161 --> 00:21:29.046]  We'll walk through his story and show how it fits in with all the pieces, the hundreds of pieces and smoking guns that we have.
[00:21:29.745 --> 00:21:40.354]  Since then, the federal judges said, since the media already had it, since it had already been reported on by major newspapers, that the filing can be public, just not the exhibits.
[00:21:40.354 --> 00:21:44.118]  And those are not public, and the government's fighting to keep those secret.
[00:21:44.118 --> 00:21:48.822]  In the filing, you learn that Nichols had been trying to
[00:21:49.965 --> 00:22:13.858]  He'd written a letter in 2004 to John Ashcroft, the then Attorney General, saying he wanted to go public about all this information, and then an order was put into effect over the Federal Bureau of Prisons in the Supermax he's in, there in the Rocky Mountains, and they wouldn't allow him to talk to any of the media, and the media could not get in to see him.
[00:22:13.858 --> 00:22:15.719]  I've talked to newspaper reporters, TV reporters,
[00:22:16.540 --> 00:22:18.483]  National reporters who weren't allowed to get in.
[00:22:18.483 --> 00:22:28.158]  In fact, there'd been a press report doing some research, I found, from 2004, where 60 Minutes tried to get in the scene, and the federal government said, no, no media.
[00:22:28.158 --> 00:22:30.782]  But, they couldn't keep a lawyer, and so...
[00:22:32.330 --> 00:22:44.680]  Because court proceedings had been started by Jesse Trinidou, and because Nichols could then say that he was having him in as his counsel, they couldn't stop Trinidou from getting in for a day and a half of interview time.
[00:22:44.680 --> 00:22:58.192]  Now, in this affidavit and in this request that's been filed as part of a lawsuit, they're asking that Jesse Trinidou, Attorney Trinidou, be able to go in and get a videotaped deposition of Terry Nichols.
[00:23:00.268 --> 00:23:04.729]  So there's some background about what's currently happening right now.
[00:23:04.729 --> 00:23:12.571]  Again, the headlines, Desert News, Nichols says bombing was FBI operation, Salt Lake City Tribune headline, Nichols McVeigh had high-level FBI help.
[00:23:12.571 --> 00:23:18.213]  Now, let's go back to what really happened in a nutshell in Oklahoma City.
[00:23:18.213 --> 00:23:19.353]  You'd have Ruby Ridge,
[00:23:20.074 --> 00:23:21.935]  Which had ended in a disaster.
[00:23:21.935 --> 00:23:26.537]  Larry Potts, the head of the operation, had gotten a reprimand letter.
[00:23:26.537 --> 00:23:31.599]  There was talk of the BATF being disbanded, the Bureau of Alcohol, Tobacco, and Firearms.
[00:23:31.599 --> 00:23:32.540]  Confiscation.
[00:23:32.540 --> 00:23:33.200]  Excuse me.
[00:23:33.200 --> 00:23:35.921]  The Bureau of Alcohol, Tobacco, and Firearms.
[00:23:35.921 --> 00:23:39.143]  Then we have the videotapes that was in wake of the rules of engagement.
[00:23:40.620 --> 00:23:48.848]  And in several other films where it shows the BATF loading their big Betamax cameras saying, oh, we're going to get lots of funding off this, this is going to make us look good.
[00:23:48.848 --> 00:23:52.471]  They picked a group they thought was kooky and weird, regardless of what they were.
[00:23:52.471 --> 00:23:55.534]  The point is they were set up, they were attacked, they were shot at by helicopters.
[00:23:56.274 --> 00:23:58.335]  51 days into the siege, they burned the place down.
[00:23:58.335 --> 00:24:03.138]  Later that came out in congressional testimony and Delta Force documents when they sent the Delta Force in.
[00:24:03.138 --> 00:24:08.260]  Again, you have the same FBI agents that were involved, Lon Horiucci and others, from Ruby Ridge are there.
[00:24:08.260 --> 00:24:12.642]  That happens in 1993, a few months after Ruby Ridge.
[00:24:12.642 --> 00:24:18.686]  Just a few months after the first World Trade Center attack, which I'll get to in a moment.
[00:24:18.686 --> 00:24:19.386]  Same thing there.
[00:24:19.386 --> 00:24:20.586]  Government op will walk you through it.
