[00:00:00.309 --> 00:00:02.631]  Find out right now.
[00:06:12.292 --> 00:06:16.273]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:06:16.273 --> 00:06:18.513]  It's an anthology of government crimes.
[00:06:18.513 --> 00:06:22.354]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:06:22.958 --> 00:06:37.465]  Get your copy today at Infowars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv.
[00:06:37.465 --> 00:06:38.826]  The War on Terrorism.
[00:06:38.826 --> 00:06:41.867]  Will it be fought overseas or will it affect us here at home?
[00:06:41.867 --> 00:06:46.449]  If you are like most folks, you want to be prepared but can't afford an underground shelter.
[00:06:46.449 --> 00:06:47.610]  So what do you do?
[00:06:47.610 --> 00:06:52.152]  Did you know that you can use your home as a shelter against fallout and biological or chemical attacks?
[00:06:52.652 --> 00:06:55.274]  With a little know-how, it's not that difficult.
[00:06:55.274 --> 00:07:10.003]  Sheltering in Place, Surviving Acts of Terrorism from Biological, Chemical, and Radioactive Fallout, developed by Wayne LeBaron, a health physicist who has served as a specialist in environmental health, communicable diseases, and has worked as a nuclear specialist for the U.S.
[00:07:10.003 --> 00:07:17.067]  government, gives you easy-to-follow video instructions, and walks you step-by-step through the process of preparing your home as a shelter.
[00:07:17.427 --> 00:07:22.272]  Get this critical video every American needs for only $29 plus shipping.
[00:07:22.272 --> 00:07:24.574]  Order by calling New Millennium today at 888-803-4438.
[00:07:24.574 --> 00:07:25.155]  That's 888-803-4438.
[00:07:25.155 --> 00:07:26.696]  Or order on the web at Berkeywater.com.
[00:07:35.791 --> 00:07:38.893]  Have you ever thought about what's in your shampoo, soap, or detergent?
[00:07:38.893 --> 00:07:44.415]  How about chlorides, dyes, ethanol, sulfates, sodium, formaldehydes, and more?
[00:07:44.415 --> 00:07:50.138]  Even fragrance can indicate the presence of some 4,000 separate ingredients, most of which are synthetic.
[00:07:50.138 --> 00:07:51.599]  Hi, this is Alex Jones.
[00:07:51.599 --> 00:08:00.483]  I was shocked when I discovered I could be inhaling these additives that can lead to coughing, wheezing, and shortness of breath, headaches, nausea, irritation of the skin, and mucous membrane.
[00:08:00.923 --> 00:08:02.765]  Now compare a Calvin Pure Soap.
[00:08:02.765 --> 00:08:06.970]  All natural, earth friendly, no harsh chemicals, no animal testing.
[00:08:06.970 --> 00:08:11.996]  They're safe and you save 85% of the money you're spending on cleaning products now.
[00:08:11.996 --> 00:08:13.658]  Start saving over $1,000 a year for your family of four.
[00:08:15.820 --> 00:08:16.901]  Keep it natural.
[00:08:16.901 --> 00:08:20.985]  Call Calvin Pure Soap for a free catalog at 1-800-340-7091.
[00:08:20.985 --> 00:08:25.328]  Or log on to 5starsoap.com.
[00:08:25.328 --> 00:08:29.892]  Try Calvin Pure Soaps, and I'll bet you'll never use any other cleaning products again.
[00:08:29.892 --> 00:08:36.078]  Call 1-800-340-7091 for all your cleaning needs.
[00:08:36.078 --> 00:08:38.880]  He's the T-Rex of political talk.
[00:08:38.880 --> 00:08:41.663]  Alex Jones on the GCN Radio Network.
[00:08:59.174 --> 00:09:08.242]  This could be the first time that Skull & Bones' John Kerry has been confronted on 9-11 Truth, issues of depleted uranium.
[00:09:08.242 --> 00:09:13.307]  Certainly, I don't think he's gotten a lot of information or rhetoric on chemtrails.
[00:09:14.071 --> 00:09:19.576]  You almost have to watch this video, and that is up at InfoWars.com right now, or PrisonPlanet.com.
[00:09:19.576 --> 00:09:22.058]  We're going to play some of it for you.
[00:09:22.058 --> 00:09:28.703]  There have been multiple interpretations of what Kerry said and responded to in this.
[00:09:28.703 --> 00:09:36.449]  We'll talk about this, but this was a result of a truth squad attending a Kerry speech, a Kerry stump speech.
[00:09:36.449 --> 00:09:40.713]  He claims he's not running for president, yet he's doing stump speeches around the country with his
[00:09:41.073 --> 00:09:44.675]  Prime financial backer, his wife, Teresa Hines Carey.
[00:09:44.675 --> 00:09:48.338]  And let's remind you, her husband was killed in a plane crash.
[00:09:48.338 --> 00:09:54.721]  He was a Skull and Bones schoolmate, a Yale schoolmate at Skull and Bones with John Carey and George W. Bush.
[00:09:54.721 --> 00:09:57.043]  The guy dies in a plane crash and the next thing you know, she's
[00:09:57.643 --> 00:10:18.362]  Hooking up with John Kerry, so there's a lot of background here to go into you We're gonna have Alex Jones come up here in just about 20 minutes to Kind of get into this and break this down more information about the VT shooting as well But the video in many ways speaks for itself and this really shows that you can speak truth to power you can stand up to these super global elitist and
[00:10:18.742 --> 00:10:32.897]  And, uh, shock them, make them squirm, make them nervous, and hopefully, which you might find in the case of this particular video, again, the picture's kind of worth a thousand words, but hopefully get them to say something on the record that they're not supposed to say.
[00:10:33.470 --> 00:10:41.094]  I think we give these people a little bit too much credit sometimes for being genius, when they're really not very smart at all.
[00:10:41.094 --> 00:10:54.420]  So, it's always good to try to push these people, try to get a, as Webster Tarpley likes to call it, a macaca moment, where you can embarrass and humiliate a politician and potentially end his career flat with a video camera and a tape recorder.
[00:10:54.420 --> 00:10:57.321]  That's what the people did at Austin 9-11 Truth.
[00:10:57.321 --> 00:10:58.042]  Now, good people.
[00:10:58.042 --> 00:10:58.882]  We know them down here.
[00:10:58.882 --> 00:11:00.583]  They worked very hard to get out 9-11 Truth.
[00:11:00.583 --> 00:11:02.184]  So, we're going to play this video for you.
[00:11:02.184 --> 00:11:02.644]  We'll come back.
[00:11:02.904 --> 00:11:03.806]  Give you some analysis.
[00:11:03.806 --> 00:11:04.527]  John, go ahead and roll that.
[00:11:41.713 --> 00:11:47.495]  I'm sure we have time for just a couple more questions, so we'll try to do them as quick as we can.
[00:11:47.495 --> 00:11:48.455]  We'll move as fast as we can.
[00:11:48.455 --> 00:11:49.235]  Yes ma'am?
[00:11:49.235 --> 00:11:50.175]  Hi, Senator Kerry.
[00:11:50.175 --> 00:12:02.679]  You bring up our sense of personal responsibility as citizens and to hold people responsible and accountable, and I was just wondering if you had ever heard of Dr. Stephen Jones.
[00:12:02.679 --> 00:12:06.380]  He is a professor and was a professor at Brigham Young University.
[00:12:07.156 --> 00:12:07.856]  We're good to go.
[00:12:21.843 --> 00:12:28.346]  That there were chemical compounds and the same chemical composition that made up ceramics.
[00:12:28.346 --> 00:12:31.547]  He believes that this is the result of a controlled demolition.
[00:12:31.547 --> 00:12:46.193]  And I was just wondering, since you are all for holding people accountable and being personally responsible as a citizen, if you were up to hearing witness and expert testimony as to how the World Trade Center was brought down by controlled demolition.
[00:12:48.579 --> 00:12:50.602]  Well, that's a new one to me.
[00:12:50.602 --> 00:12:58.753]  I'd have to... I mean, obviously, I'm open to anything that's based on fact and evidence, and if somebody has evidence, I'll take a look at it.
[00:12:58.753 --> 00:13:00.155]  I'd be happy to take a look at it.
[00:13:00.155 --> 00:13:02.598]  Also, a question I have for you.
[00:13:02.598 --> 00:13:05.262]  World Trade Center 7 was brought down
[00:13:07.476 --> 00:13:25.239]  On September 11th at 5.20 in the evening, the leaseholder of the World Trade Center complex, Larry Silverstein, gave a public interview on PBS in 2002, and he said that they pulled that building, which is a demolition term for intentionally bringing down a building.
[00:13:25.874 --> 00:13:30.556]  This man made over five billion dollars for those buildings' destruction.
[00:13:30.556 --> 00:13:41.460]  And I want to know if there was ever a formal investigation into Larry Silverstein, the leaseholder of the World Trade Center Complex, and his ties to this entire event.
[00:13:41.460 --> 00:13:43.301]  I don't believe there's been a formal investigation.
[00:13:43.301 --> 00:13:44.081]  I haven't heard that.
[00:13:44.081 --> 00:13:44.882]  I don't know that.
[00:13:44.882 --> 00:13:55.386]  I do know that that wall, I remember, was in danger, and I think that they made a decision based on the danger that it had of destroying other things, that they did it in a controlled fashion.
[00:13:56.575 --> 00:14:02.122]  Uh, you know, he's part of the construction, reconstruction effort for the memorial and the use of the land, etc.
[00:14:02.122 --> 00:14:05.385]  There's been a long tug-of-war going on in New York.
[00:14:05.385 --> 00:14:10.471]  I am not following every aspect of it because it's not in my jurisdiction, so to speak.
[00:14:10.471 --> 00:14:12.513]  But I'll check on what the story is.
[00:14:12.513 --> 00:14:15.176]  I'll take a look at it, based on what you've said.
[00:14:15.176 --> 00:14:16.137]  You're the first people.
[00:14:16.539 --> 00:14:18.520]  Anywhere in the country, it boggles my attention.
[00:14:18.520 --> 00:14:26.743]  Oh, interestingly enough, the 9-11 Commission report does not even address World Trade Center 7 and the fact that it fell the way that it did.
[00:14:26.743 --> 00:14:27.663]  Let me find out about it.
[00:14:27.663 --> 00:14:28.683]  I don't know enough about it.
[00:14:28.683 --> 00:14:30.884]  It's not in our book, etc.
[00:14:30.884 --> 00:14:32.244]  All right, there you heard it.
[00:14:32.244 --> 00:14:37.366]  These are the first people in the country, according to John Kerry, who have asked him these questions.
[00:14:37.366 --> 00:14:39.927]  He's promised to look into the first question.
[00:14:39.927 --> 00:14:42.368]  That is the research of Professor Stephen Jones.
[00:14:43.095 --> 00:14:45.377]  Which I think we should hold him to.
[00:14:45.377 --> 00:14:56.388]  Unfortunately, in that audio clip, and I'd like to find another audio clip and perhaps play this again if we can get Aaron Dooley on from Austin 9-11 Truth Now, because I like how he sets up his question.
[00:14:56.388 --> 00:14:59.011]  He starts off, you have to understand, this is a very
[00:14:59.931 --> 00:15:01.832]  Controlled situation here.
[00:15:01.832 --> 00:15:02.812]  They're in a bookstore.
[00:15:02.812 --> 00:15:03.792]  They need to be polite.
[00:15:03.792 --> 00:15:08.374]  You heard the rabid applause and clapping, so you're surrounded by the enemy.
[00:15:08.374 --> 00:15:14.115]  And I thought that the gentleman asking the second question did a great job kind of leading up to it.
[00:15:14.115 --> 00:15:22.678]  He gave a few compliments to Kerry about his book and segued right into, from environmentalism, right into genetically modified food.
[00:15:23.118 --> 00:15:28.560]  Chemtrails, depleted uranium, and then went right into the Building 7 information.
[00:15:28.560 --> 00:15:32.401]  So I really loved how he kind of worked up to that question.
[00:15:32.401 --> 00:15:38.583]  I can predict for you that John Kerry will no longer be taking any unscripted questions.
[00:15:38.583 --> 00:15:51.788]  This means that if we don't have the opportunity again to speak truth to power in a uniform or a professional manner as these people have done here in Austin, Texas over the weekend at this particular engagement by John Kerry,
[00:15:52.563 --> 00:15:54.806]  Uh, then we're going to have to be rude about it.
[00:15:54.806 --> 00:15:55.186]  All right?
[00:15:55.186 --> 00:16:02.395]  But it is always preferable to try to be as professional as possible when asking these questions to these criminals.
[00:16:02.395 --> 00:16:04.016]  And let's call John Kerry what he is.
[00:16:04.016 --> 00:16:04.877]  He's a criminal.
[00:16:04.877 --> 00:16:12.206]  He covered up for the BCCI banking scandal, covered up for Iran-Contra, and has been a cover-up artist now for, well, his whole life.
[00:16:13.002 --> 00:16:40.747]  uh... and controlled opposition in the vietnam war i mean we can go on and on and on about the uh... lists of high crimes and misdemeanors by john kerry say that this is in his jurisdiction i mean he is a u s senator i would assume that anything under the headline of nine eleven is in his jurisdiction especially when one of the alleged hijackers uh... took off from boston logan airport which happens to be his home state now let's get into the uh... the controversy here because i'm probably reading this a little bit different
[00:16:41.107 --> 00:16:44.929]  Then some of the other people who have done the analysis on this story.
[00:16:44.929 --> 00:16:50.311]  The headlines I received today in my mailbox were, John Kerry admits a controlled demolition.
[00:16:50.311 --> 00:16:59.496]  But if you listen very carefully, and I think this might have been one of the problems with follow-up questions in this particular instance.
[00:16:59.496 --> 00:17:02.477]  If you listen very carefully, he's deflecting the question.
[00:17:03.599 --> 00:17:08.602]  And equating controlled demolition, again, trying to deflect the question, change the subject.
[00:17:08.602 --> 00:17:12.045]  And this is really, I think, evident of somebody who does know what's going on.
[00:17:12.045 --> 00:17:14.947]  Otherwise, he's not going to be deflecting the question.
[00:17:14.947 --> 00:17:19.009]  He's going to be listening to the question, trying to address the question, and answer that question.
[00:17:19.009 --> 00:17:24.453]  Instead, he tried to twist it into talking about the remains of Building 7, the remains actually of
[00:17:24.973 --> 00:17:25.414]  We're good to go.
[00:17:41.898 --> 00:17:46.922]  You know, I guess debate the problem of how that memorial is going to go up.
[00:17:46.922 --> 00:17:49.164]  So he changed and twisted the question.
[00:17:49.164 --> 00:17:56.110]  I think we're really jumping to conclusions here if we think that John Kerry has just admitted that there was a controlled demolition.
[00:17:56.110 --> 00:18:00.793]  But there is some reading between the lines in this and it's an interesting topic.
[00:18:00.793 --> 00:18:06.318]  I do, you know, certainly want to get into this and I know Alex is going to come up here very shortly to try to help us dissect it.
[00:18:06.318 --> 00:18:07.999]  Also, somebody from Austin 9-11 Truth
[00:18:09.466 --> 00:18:11.108]  Uh, coming aboard on the program today.
[00:18:11.108 --> 00:18:14.051]  And I just can't be prouder of the people here in Austin, Texas.
[00:18:14.051 --> 00:18:16.054]  And not just Austin, because I know people up in Tulsa.
[00:18:16.054 --> 00:18:17.836]  Uh, we were just up in Dallas.
[00:18:17.836 --> 00:18:20.599]  Uh, the people that are brave enough to go up against
[00:18:25.119 --> 00:18:32.682]  I don't know if I'll get into it on the program today on Alex's show.
[00:18:32.682 --> 00:18:36.304]  I definitely will on my program following the show today.
[00:18:36.304 --> 00:18:37.925]  We did an event up in Dallas.
[00:18:40.306 --> 00:18:51.518]  Under about six to seven hours of police harassment and surveillance and I believe it's because I said 9-11 was an inside job and there were some people in Dallas that just frankly didn't want to hear that.
[00:18:51.518 --> 00:18:53.560]  I'll tell you the whole story on my program.
[00:18:53.560 --> 00:19:00.847]  I don't want to go into too much personal and private information here but it was quite an odyssey to say the least.
[00:19:00.847 --> 00:19:02.229]  Going back to this particular
[00:19:03.595 --> 00:19:13.319]  Again, I mean, it is just so important, and to raise the issue of Dr. Stephen Jones' scientific research, to put that in front of these people, to talk about accountability.
[00:19:13.319 --> 00:19:22.542]  And here is a good example of the first woman asking the question in this particular instance, using Carrie's words against him, if I may be so bold.
[00:19:23.371 --> 00:19:40.545]  And that is, he's talking about personal accountability, accountability of course of George W. Bush and the war in Iraq, and using that to say, since you're so interested in accountability, have you seen the research, have you seen the science as it pertains to the World Trade Center towers in 9-11?
[00:19:41.952 --> 00:19:51.060]  And I thought that she just did a great job in that and putting together some of the information that Steven Jones has put out and making him say on the record that he's going to be looking into this.
[00:19:51.060 --> 00:19:58.467]  Now of course we know this is what they always say to try to sidestep the issue and I think in some ways maybe we shouldn't fall for that.
[00:19:58.467 --> 00:20:02.750]  Getting them to say that is good but following up with more questions.
[00:20:02.750 --> 00:20:03.491]  Staying on the ball.
[00:20:03.491 --> 00:20:07.414]  Listening closely to the answers and if they skirt the answers to
[00:20:12.441 --> 00:20:17.226]  They skirt the answers to call them on that and to force them to be accountable.
[00:20:17.226 --> 00:20:18.667]  I believe we're going to break right now.
[00:20:18.667 --> 00:20:19.808]  This is the Alex Jones Show.
[00:20:19.808 --> 00:20:20.389]  I'm Jack Blood.
[00:20:20.389 --> 00:20:20.829]  Stay tuned.
[00:20:37.958 --> 00:20:42.803]  Through the years of providing water filters to America, you've come to us and we've listened.
[00:20:42.803 --> 00:20:47.187]  You asked us to make the water level visible to eliminate the guesswork when refilling the water.
[00:20:47.187 --> 00:20:48.048]  We listened.
[00:20:48.048 --> 00:20:53.313]  You asked for an elevated base so the system could be used in places beside on the edge of a counter.
[00:20:53.313 --> 00:20:54.194]  We listened.
[00:20:54.194 --> 00:20:57.638]  You asked us to develop a filter that was made in the USA.
[00:20:57.638 --> 00:20:58.659]  We listened.
[00:20:58.659 --> 00:21:01.922]  You asked us to include an emergency light for camping and during power
[00:21:02.042 --> 00:21:02.603]  We're good to go.
[00:21:19.065 --> 00:21:21.908]  Get the Berkey Lite at the American Water Purifier.
[00:21:21.908 --> 00:21:22.168]  Only $279.
[00:21:22.168 --> 00:21:23.329]  Call New Millennium at 888-803-4438.
[00:21:23.329 --> 00:21:23.649]  That's 888-803-4438.
[00:21:23.649 --> 00:21:25.110]  Or order on the web at berkeywater.com.
[00:21:25.110 --> 00:21:26.311]  Not yet available in Iowa.
[00:21:36.175 --> 00:21:38.098]  Hi, Ted Anderson from Midas Resources.
[00:21:38.098 --> 00:21:42.564]  On April 23, 2007, Gold Spot 691 one ounce gold coins can be purchased for $7.12, $3.58.53 for half, $1.79.26 for quarter ounce coins at $7.12.98, $3.58.53, and $1.79.26.
[00:21:52.876 --> 00:21:56.519]  We've been hearing the USA has been spending money faster than tax collections.
[00:21:56.519 --> 00:21:59.621]  Now the government has published the document that sounds the alarm.
[00:21:59.621 --> 00:22:09.027]  That's right, the United States Government Accountability Office, the GAO, has published the Long-Term Fiscal Outlook document, clearly stating that the federal debt burden is spiraling out of control.
[00:22:09.027 --> 00:22:14.311]  This will directly affect programs like Social Security to FDIC's ability to insure bank deposits.
[00:22:14.771 --> 00:22:17.114]  Taxation and inflationary printing of the U.S.
[00:22:17.114 --> 00:22:19.937]  dollar are inevitable pressures facing the economy.
[00:22:19.937 --> 00:22:23.281]  Get this document free by calling 800-686-2237.
[00:22:23.281 --> 00:22:27.025]  The USGAO has spelled it out in black and white.
[00:22:27.025 --> 00:22:27.325]  Call 800-686-2237.
[00:22:27.325 --> 00:22:27.505]  That's 800-686-2237.
[00:22:36.354 --> 00:22:39.035]  Do you know the truth about cancer treatments?
[00:22:39.035 --> 00:22:48.457]  Do you realize that with all presently accepted methods, you are not correctly attacking the cancer, and you are mostly fighting to survive the treatment?
[00:22:48.457 --> 00:22:55.579]  Do you realize that mutilating surgery, burning, and the poisoning of your entire system are totally unnecessary?
[00:22:56.306 --> 00:23:02.288]  But now, it's cancer's turn to die with LaceMedInc's patented methodology.
[00:23:02.288 --> 00:23:13.871]  Without cutting, bleeding, drugs, or damaging radiation, we can destroy skin cancer and breast tumors of any size without adverse side effects at our physician's office.
[00:23:13.871 --> 00:23:16.452]  Laser technology at its best.
[00:23:16.452 --> 00:23:17.872]  For more information, call 702-953-7000.
[00:23:20.353 --> 00:23:37.623]  Government is best, which governs least.
[00:23:37.623 --> 00:23:39.084]  Wake up and smell the fascism.
[00:23:39.084 --> 00:23:42.285]  Being in government means never having to say you're sorry.
[00:23:42.285 --> 00:23:45.007]  What part of unconstitutional do not understand, George?
[00:23:45.578 --> 00:23:52.866]  In today's world full of tyranny and injustice, sometimes it seems the only thing we still have is our freedom of speech.
[00:23:52.866 --> 00:24:00.533]  Exercise your freedom of speech by purchasing your choice of hundreds of different Liberty Stickers from humorous to serious at LibertyStickers.com
[00:24:01.494 --> 00:24:05.338]  LibertyStickers.com can even customize your own bumper stickers.
[00:24:05.338 --> 00:24:07.841]  It's time to stand up for what you believe.
[00:24:07.841 --> 00:24:09.142]  Invest in your freedom.
[00:24:09.142 --> 00:24:14.267]  Get your stickers at LibertyStickers.com for your family, friends, and community.
[00:24:14.267 --> 00:24:16.229]  Go to LibertyStickers.com or call 877-873-9626.
[00:24:19.913 --> 00:24:21.556]  That's 877-873-9626 and express your freedom of speech today.
[00:24:21.556 --> 00:24:21.776]  Call 877-873-9626.
[00:24:21.776 --> 00:24:22.177]  That's 877-873-9626.
[00:24:56.139 --> 00:24:59.031]  We're fucked down again.
[00:25:02.817 --> 00:25:09.742]  Thanks for tuning in to the Genesis Communications Network, the Alex Jones Show.
[00:25:09.742 --> 00:25:12.785]  I'm Jack Blood, your radio gun, sitting in for Alex Jones.
[00:25:12.785 --> 00:25:17.868]  He should be popping up with us here in about six minutes on the show today to help us cover some breaking news on the program.
[00:25:17.868 --> 00:25:27.395]  We'll be going to your calls shortly thereafter, and I'm told that Joseph Kilgus will be joining us from the 9-11 Truth Group that took on John Kerry here over the weekend.
[00:25:27.395 --> 00:25:28.056]  Great story.
[00:25:28.576 --> 00:25:30.677]  I love reporting these things from around the country.
[00:25:30.677 --> 00:25:32.857]  This is the difference that we really see.
[00:25:32.857 --> 00:25:40.100]  This is the difference between 2007 9-11 truth or truth in general and say 2005.
[00:25:40.100 --> 00:25:53.664]  People are really taking it to them and of course it couldn't have been more evident on the fifth anniversary of 9-11 at Ground Zero where roughly 2,000 people in identical Investigate 9-11 t-shirts were at Ground Zero.
[00:25:53.664 --> 00:25:54.344]  Alex Jones
[00:25:55.834 --> 00:25:58.396]  A great moment in his career, I think.
[00:25:58.396 --> 00:26:00.559]  As brave as you can possibly be.
[00:26:00.559 --> 00:26:08.968]  Bullhorned round zero with 9-11 as an inside job before he went on to bullhorn the CFR and Silverstein properties.
[00:26:10.357 --> 00:26:17.563]  This is really the difference now in 2007, and this is something that I don't think we'll be rolling back on.
[00:26:17.563 --> 00:26:19.705]  I think this is something that's going to gain momentum.
[00:26:19.705 --> 00:26:34.958]  The more of you out there who see that you can get away with these truth actions and do so with a modicum of publicity and a lot of support, the more people that are going to do it and the more scared the government is going to be of the people.
[00:26:34.958 --> 00:26:37.380]  Of course, you remember the old adage, the old quote,
[00:26:38.254 --> 00:26:45.936]  A people that are afraid of their government receive tyranny, and a government afraid of the people project liberty.
[00:26:45.936 --> 00:26:49.536]  And this is something always very important to remember.
[00:26:49.536 --> 00:26:50.436]  Don't be scared.
[00:26:50.436 --> 00:26:51.917]  Never back down.
