[00:00:00.983 --> 00:00:02.564]  You have the power.
[00:04:54.036 --> 00:04:58.996]  PrisonPlanet.tv, PrisonPlanet.com, JonesReport.com, InfoWars.net.
[00:04:59.257 --> 00:04:59.820]  We'll be right back.
[00:05:05.962 --> 00:05:11.047]  Now, you can bring Berkey purification power anywhere with the Sport Berkey filtration bottle.
[00:05:11.307 --> 00:05:14.870]  Do you know where the 78 potentially active volcanoes in the U.S.
[00:05:14.930 --> 00:05:15.431]  are located?
[00:05:15.631 --> 00:05:19.034]  And do you know the locations of the top 300 prime terrorist targets?
[00:05:19.254 --> 00:05:23.958]  You can find these answers and more in the new interactive CD book, Prudent Places USA.
[00:05:24.238 --> 00:05:29.243]  With the more than 50 interactive parameters, you can pinpoint natural and man-made disaster areas.
[00:05:29.503 --> 00:05:35.531]  Brewing environmental catastrophes, the safest cities, the best places for solar and wind energy, and much, much more.
[00:05:35.811 --> 00:05:47.826]  Complete with three gigabytes of detailed information on each of 3,000 plus counties in the U.S., including 550 high-resolution full-color maps and full-color photographs, as well as detailed information and analysis
[00:05:48.126 --> 00:05:48.647]  I think so.
[00:06:10.953 --> 00:06:14.474]  Hello, I'm Dr. Bill Deagle of the Nutri-Medical Report here on Genesis.
[00:06:14.654 --> 00:06:28.598]  If you want to slow the clock of aging, stimulate your own stem cells to heal, or improve your athletic performance, or just recover quickly from the weekend warrior syndromes, this is the most powerful anti-aging stem cell research therapy.
[00:06:28.978 --> 00:06:34.260]  It's natural and safe and effective that you can get Mountain Red Deer Velvet from New Zealand.
[00:06:34.890 --> 00:06:44.653]  If you're run down, tired, exhausted, or lacking energy, want to restore your joint mobility, immune system, and literally regenerate your organ function, Mountain Red Deer Velvet.
[00:06:44.994 --> 00:06:52.976]  Totally organic, totally safe, whether you're an elite athlete, or a senior citizen, or in your middle years, just trying to stay active in golf or other sports.
[00:06:53.116 --> 00:06:53.556]  Call us at 888-212-8871.
[00:06:53.576 --> 00:06:53.857]  That's 888-212-8871.
[00:06:53.877 --> 00:06:55.477]  Or order online at Nutri-Medical, N-U-T-R-I,
[00:07:04.278 --> 00:07:05.179]  Medical.com.
[00:07:05.640 --> 00:07:09.524]  Take care and reverse the clock of aging with Mountain Red Deer Velvet.
[00:07:10.365 --> 00:07:13.328]  Have you ever thought about what's in your shampoo, soap, or detergent?
[00:07:13.468 --> 00:07:18.754]  How about chlorides, dyes, ethanol, sulfates, sodium, formaldehydes, and more?
[00:07:19.014 --> 00:07:24.340]  Even fragrance can indicate the presence of some 4,000 separate ingredients, most of which are synthetic.
[00:07:24.721 --> 00:07:25.782]  Hi, this is Alex Jones.
[00:07:26.182 --> 00:07:35.010]  I was shocked when I discovered I could be inhaling these additives that can lead to coughing, wheezing, and shortness of breath, headaches, nausea, irritation of the skin, and mucous membranes.
[00:07:35.510 --> 00:07:46.179]  Now compare a Calben Pure So, all natural, earth friendly, no harsh chemicals, no animal testing, they're safe, and you save 85% of the money you're spending on cleaning products now.
[00:07:46.579 --> 00:07:48.240]  Start saving over $1,000 a year for your family of four.
[00:07:50.402 --> 00:07:51.163]  Keep it natural.
[00:07:51.483 --> 00:07:55.086]  Call Calvin Pure Soap for a free catalog at 1-800-340-7091.
[00:07:55.566 --> 00:07:59.609]  Or log on to 5starsoap.com.
[00:07:59.889 --> 00:08:04.092]  Try Calvin Pure Soaps and I'll bet you'll never use any other cleaning products again.
[00:08:04.473 --> 00:08:05.033]  Call 1-800-340-7091.
[00:08:05.894 --> 00:08:08.075]  He's the T-Rex of political talk.
[00:08:08.656 --> 00:08:11.458]  Alex Jones on the GCN Radio Network.
[00:08:33.852 --> 00:08:37.913]  Alright, Bush quietly advising Hillary Clinton and top Democrats.
[00:08:38.514 --> 00:08:39.494]  We're going to get into that.
[00:08:40.314 --> 00:08:43.935]  Also, Bush's homosexual allegations resurface in a new book.
[00:08:44.636 --> 00:08:49.257]  And I just thought we'd go over some of the other evidence of Bush's hypocritical activities.
[00:08:50.566 --> 00:08:53.148]  That are being alleged and evidenced by more and more.
[00:08:53.589 --> 00:08:56.632]  Certainly where there's this much smoke, you know there's fire.
[00:08:57.252 --> 00:08:58.854]  So we'll walk through that.
[00:09:00.735 --> 00:09:16.790]  But before I do, I want you to know that I've seen ploys by other filmmakers and by writers and by other websites that if they have a technical difficulty with their server
[00:09:17.635 --> 00:09:25.538]  Or they don't pay a bill or they've got some subdomain on some larger site and it gets suspended that they say they're being censored.
[00:09:29.899 --> 00:09:40.482]  And I would say about 70 plus percent of the time when I've researched what's actually happened to sites and different organizations that they're not being censored.
[00:09:41.923 --> 00:09:45.844]  But 25 or so percent of the time there is censorship going on.
[00:09:47.205 --> 00:09:51.566]  There certainly are sites that are being censored, and there's admissions of censorship.
[00:09:52.946 --> 00:09:59.628]  Digg, earlier this year in January, admitted that they banned all posts of PrisonPlanet.com news articles.
[00:10:00.528 --> 00:10:00.948]  Period.
[00:10:01.168 --> 00:10:11.031]  They admitted it, there was a huge protest, and they reversed it, but then began, when we did get on the main page, people weren't digging us down, they would just remove us.
[00:10:14.258 --> 00:10:14.759]  We're good to go.
[00:10:34.861 --> 00:10:41.987]  And we've been basically, I don't think we've had a front page dig, which was a major chink in their armor, in about a month.
[00:10:42.107 --> 00:10:44.149]  They've got air superiority on us now.
[00:10:44.209 --> 00:10:47.211]  They've had a victory there in the info war for now.
[00:10:47.812 --> 00:10:50.094]  Wikipedia is number 9 on the web.
[00:10:51.715 --> 00:10:57.800]  I'd have to say 98% of pages on the New World Order, global government, Kennedy assassination,
[00:10:59.258 --> 00:11:07.244]  Republican sex scandals, anti-war sites, anything about Fallujah massacres, it's just all gone.
[00:11:07.945 --> 00:11:20.214]  Not just us, it's just... Just the sites that the trolls brag they've deleted, and they're allowed to operate as moderators on Wikipedia, they list their victories, and they talk in slang and gutter.
[00:11:20.635 --> 00:11:26.299]  I mean, it's certainly not, you know, people editing it because they're encyclopedia analysts.
[00:11:26.790 --> 00:11:28.191]  I mean, it's just vitriolic.
[00:11:28.231 --> 00:11:29.832]  They go off military call signs.
[00:11:30.793 --> 00:11:33.034]  A lot of them, you go to their websites, personal pictures of them.
[00:11:33.074 --> 00:11:34.935]  Hey, I'm with CENTCOM in Florida.
[00:11:36.216 --> 00:11:37.677]  We're in the propaganda war.
[00:11:37.737 --> 00:11:39.518]  I mean, it's a great celebration of evil.
[00:11:40.859 --> 00:11:42.780]  They have devastated Wikipedia.
[00:11:43.800 --> 00:11:45.561]  And then they go out and post this info.
[00:11:46.122 --> 00:11:47.443]  We've cracked the very same people.
[00:11:47.663 --> 00:11:54.427]  We'll delete mainstream scholarly news pages that are well-documented and written in a neutral fashion.
[00:11:55.646 --> 00:11:58.968]  And then they'll go on Wikipedia and say I'm a cocaine addict.
[00:12:01.829 --> 00:12:03.851]  And just for the record, that's a complete and total lie.
[00:12:03.911 --> 00:12:06.192]  I've never used hard drugs.
[00:12:06.552 --> 00:12:08.293]  And I've smoked marijuana and don't like it.
[00:12:10.394 --> 00:12:13.636]  My friends here in Austin, where everybody's a pothead, certainly know that.
[00:12:13.656 --> 00:12:21.120]  It's just another irritating thing, but they just go and put that on there with no source, no nothing, because they're CENTCOM and CENTCOM's minions.
[00:12:25.240 --> 00:12:28.982]  So, we've been basically knocked off Wikipedia, but so has everybody else.
[00:12:31.404 --> 00:12:38.688]  And replacing it has been Fox News, the CIA, the Defense Department, and the WikiScanner documents this, but they don't care, they've just taken it over.
[00:12:42.415 --> 00:12:43.836]  We are being censored everywhere.
[00:12:43.896 --> 00:12:51.921]  Google admits that they have erased our page views many, many times when we get up into the millions of views for Terror Storm and Martial Law and other films I've made.
[00:12:52.181 --> 00:12:56.944]  Which again, puts us in the top 100, where then everybody can watch it and see it and know what we're doing.
[00:12:58.665 --> 00:13:04.268]  I mean, I put a lot of time and energy into this, and we try to use the internet to get the truth out about what's happening in this country.
[00:13:05.868 --> 00:13:16.313]  And if we write articles about the North American Union off their own SPP documents and their own admissions of integrating the continent and the three nations, it's deleted off Wikipedia.
[00:13:16.713 --> 00:13:18.034]  It's deleted off of Digg.
[00:13:19.074 --> 00:13:20.455]  It's deleted off of MySpace.
[00:13:21.615 --> 00:13:22.476]  Now MySpace
[00:13:23.659 --> 00:13:25.400]  Admits that we're censored.
[00:13:25.580 --> 00:13:27.301]  One of their top moderators admits it.
[00:13:27.601 --> 00:13:28.762]  It's official policy.
[00:13:29.262 --> 00:13:34.506]  They have not deleted our page yet that has 36,000 members and I really haven't promoted it.
[00:13:34.886 --> 00:13:37.007]  I think we let new members in like once a month or something.
[00:13:37.047 --> 00:13:40.989]  We don't do a lot of updating on our MySpace page other than the bulletins which are updated daily.
[00:13:41.069 --> 00:13:41.830]  So it's a good site.
[00:13:41.870 --> 00:13:42.650]  You can leave your members.
[00:13:42.971 --> 00:13:44.051]  You can go post in there.
[00:13:47.813 --> 00:13:50.315]  But MySpace admits that they censor us.
[00:13:51.331 --> 00:14:10.394]  And we have an article up on PrisonPlanet.com about this, and I want to ask you the question, do you want to let MySpace and Digg and Wikipedia and all these other major mega sites continue to pose and claim that they're free market and free speech and electronic democracies when they're not?
[00:14:10.414 --> 00:14:13.255]  I mean, they're scared.
[00:14:13.295 --> 00:14:16.155]  They're worried about PrisonPlanet.com and InfoWars.com.
[00:14:16.495 --> 00:14:18.296]  That's why they're censoring them across the board.
[00:14:19.236 --> 00:14:20.176]  And I want to ask you,
[00:14:21.451 --> 00:14:22.712]  Are we just going to give in to this?
[00:14:22.772 --> 00:14:25.535]  Because used to there'd be admissions of censorship and people got upset.
[00:14:25.975 --> 00:14:28.538]  Now we're getting to where we're just comfortable with it.
[00:14:28.578 --> 00:14:30.479]  Well, that's just how it goes.
[00:14:30.559 --> 00:14:37.265]  And hey, Sally Field, used to they could let the stars get up and make comments about how the government's corrupt if they wanted to.
[00:14:37.886 --> 00:14:39.047]  That was an American tradition.
[00:14:39.107 --> 00:14:40.268]  Now they just delay you out.
[00:14:41.289 --> 00:14:43.951]  I mean, are we going to accept this?
[00:14:44.071 --> 00:14:45.273]  Are we going to be silenced?
[00:14:45.753 --> 00:14:47.875]  I'm asking you, the info warriors out there.
[00:14:49.935 --> 00:14:57.880]  Only about half the truth sites actually spend time on news and information and warning people and getting the information out and trying to get people to take action.
[00:14:58.081 --> 00:15:03.104]  The rest are all COINTELPRO or influence COINTELPRO out ninnying, getting everybody to fight with each other.
[00:15:03.624 --> 00:15:07.027]  So we've only got half the sites to begin with and we're having major victories with those.
[00:15:07.367 --> 00:15:10.989]  The enemy's trying to infiltrate our movement at every level and they literally are.
[00:15:11.029 --> 00:15:12.890]  I could waste the whole show.
[00:15:12.930 --> 00:15:19.495]  Sometimes I think maybe I should just get into all this to explain to people how it works, but then I remember we have all these new listeners who are tuning in for news and information.
[00:15:20.055 --> 00:15:34.525]  The bottom line is InfoWars.com, PrisonPlanet.com have actual hack attacks where we see them get through holes in the servers where they go in and turn servers off with command orders to erase things.
[00:15:34.985 --> 00:15:36.666]  We have to have things triple backed up.
[00:15:37.066 --> 00:15:41.369]  We've had people hack in, bring down sites, post a naked woman on a motorcycle on the page.
[00:15:41.409 --> 00:15:42.490]  I mean actual
[00:15:43.457 --> 00:15:52.263]  Red-handed, hardcore hacks, denial of services, a bunch of other types of attacks that I'm not even going to get into, where they do things in your name.
[00:15:52.784 --> 00:15:59.809]  I mean, it is sustained, it is continual, it saps a lot of our resources, but it's made us stronger overall.
[00:16:00.449 --> 00:16:07.394]  I have to spend a lot of money on backup cripple servers for everything, and content distribution networks now, and frankly, it's made us stronger.
[00:16:07.414 --> 00:16:11.737]  But we're under attack every day, and I don't waste your time talking about it.
[00:16:13.183 --> 00:16:17.905]  So we're under physical internet attack, direct assaults on the servers, okay?
[00:16:18.085 --> 00:16:21.826]  A. B. Every major site is censoring and blackballing us.
[00:16:24.668 --> 00:16:25.488]  And you bet they are.
[00:16:25.608 --> 00:16:31.870]  We go in and point out, hey, former top CIA analyst run the Intel Center and they're posting fake Bin Laden videos.
[00:16:32.110 --> 00:16:33.051]  And we give the evidence.
[00:16:34.291 --> 00:16:38.313]  When the London bombing took place, we wrote articles about it, broke the news about the drills.
[00:16:39.170 --> 00:16:46.797]  Picked up on the chatter, put it up there, became major news, and for months you typed in London bombing, PrisonPlanet.com was number one.
[00:16:49.940 --> 00:16:52.181]  So they're moving against us big time, folks.
[00:16:52.202 --> 00:16:56.926]  You think when they stage the next terror attack, they want you to be able to go out and see PrisonPlanet.com?
[00:16:58.447 --> 00:17:00.869]  You think they want it to be a number one marquee site?
[00:17:01.169 --> 00:17:04.072]  There is no doubt they are suppressing the growth of the site.
[00:17:05.057 --> 00:17:15.264]  There is no doubt that their actions, gatekeeping and blocking us at every major chink in their armor, is having a suppressive effect on us.
[00:17:15.784 --> 00:17:17.545]  We are still growing exponentially.
[00:17:19.046 --> 00:17:20.247]  According to every graph.
[00:17:20.948 --> 00:17:24.430]  Our own internal server data, and of course the major gauges out there.
[00:17:27.232 --> 00:17:33.296]  And the establishment lies, Limbaugh's gone from number 1,000 on the web three years ago to number 18,000 on the web today.
[00:17:34.088 --> 00:17:37.409]  Sean Hannity's gone from number 5,000 on the web to number 40-something thousand.
[00:17:38.010 --> 00:17:41.611]  On Alexa, and you can get the same numbers from other places, similar numbers.
[00:17:42.111 --> 00:17:43.272]  The gauges differ a bit.
[00:17:44.812 --> 00:17:51.415]  And there's a million three hundred thousand plus Indians, Chinese, and others coming on the internet every day.
[00:17:51.815 --> 00:17:59.578]  That's why, in the past, Alexa and other gauges were Euro or Amero-centric, Anglo-file-centric.
[00:18:00.968 --> 00:18:03.234]  Because most of the traffic in the world was coming out of the West.
[00:18:03.354 --> 00:18:09.207]  That's now shifted the last few years, but Prison Planet's been able to stay in the top 10,000, while all the other big sites...
[00:18:10.094 --> 00:18:10.934]  We're good to go.
[00:18:34.227 --> 00:18:38.190]  Plus a million, or 370-something million a year.
[00:18:38.430 --> 00:18:39.591]  That'd be almost 400 million.
[00:18:39.631 --> 00:18:40.791]  No, more than 400 million a year.
[00:18:41.172 --> 00:18:46.975]  That's the type of shift, seismic shift we're seeing, but we're still growing exponentially despite that.
[00:18:47.055 --> 00:18:49.677]  So, I'm just giving you this report.
[00:18:49.757 --> 00:18:51.078]  The enemy is imploding.
[00:18:51.338 --> 00:18:52.579]  They've lost all credibility.
[00:18:52.759 --> 00:18:54.240]  And I want to give the enemy this little note.
[00:18:56.438 --> 00:18:57.919]  You cannot stop the truth.
[00:18:58.019 --> 00:18:59.640]  You will not be able to suppress it.
[00:18:59.740 --> 00:19:06.464]  The evidence is the 10% approval rating in Congress, the all-time record low, breaking the low of 12% a month ago.
[00:19:06.884 --> 00:19:09.025]  You are in free-fall position.
[00:19:09.706 --> 00:19:11.687]  The President is in free-fall position.
[00:19:12.507 --> 00:19:13.228]  You are hated.
[00:19:13.328 --> 00:19:14.429]  You are known to be an enemy.
[00:19:14.709 --> 00:19:16.290]  You are known to be in business with Hillary.
[00:19:16.650 --> 00:19:20.292]  Your whole matrix illusion is beginning to crumble.
[00:19:21.983 --> 00:19:26.967]  The people don't have all the details, but they know you're in cahoots together, and they know you're liars, and they know it's a fraud.
[00:19:27.367 --> 00:19:30.710]  And so I want to just tell CENTCOM and everybody else, it's too late.
[00:19:31.230 --> 00:19:32.511]  You're not going to be able to block us.
[00:19:32.551 --> 00:19:33.752]  You can't stop us all.
[00:19:34.032 --> 00:19:38.616]  No matter how many COINTELPRO disinfo infighters you put out, it's out of the box.
[00:19:39.016 --> 00:19:40.177]  The genie's out of the bottle.
[00:19:40.437 --> 00:19:41.778]  Pandora's box is open.
[00:19:42.018 --> 00:19:43.379]  There's nothing you can do.
[00:19:44.140 --> 00:19:45.821]  You can buy yourself some more time.
[00:19:46.162 --> 00:19:46.642]  That's it.
[00:19:47.423 --> 00:19:48.664]  There's nothing you can do.
[00:19:48.924 --> 00:19:51.686]  The majority now know that the terror is government sponsored.
[00:19:52.998 --> 00:19:55.440]  The majority now know you're a bunch of sick freaks.
[00:19:56.180 --> 00:19:59.342]  We're gonna come back, finish up with this, get in the bush behind Hillary Clinton.
[00:19:59.582 --> 00:20:05.146]  Stay with me.
[00:20:06.827 --> 00:20:07.888]  The War on Terrorism.
[00:20:08.208 --> 00:20:10.990]  Will it be fought overseas, or will it affect us here at home?
[00:20:11.250 --> 00:20:15.413]  If you are like most folks, you want to be prepared, but can't afford an underground shelter.
[00:20:15.833 --> 00:20:16.674]  So what do you do?
[00:20:16.994 --> 00:20:21.557]  Did you know that you can use your home as a shelter against fallout and biological or chemical attacks?
[00:20:22.037 --> 00:20:24.158]  With a little know-how, it's not that difficult.
[00:20:24.638 --> 00:20:25.538]  Sheltering in Place!
[00:20:25.938 --> 00:20:29.659]  Surviving acts of terrorism from biological, chemical, and radioactive fallout.
[00:20:29.979 --> 00:20:39.342]  Developed by Wayne LeBaron, a health physicist who has served as a specialist in environmental health, communicable diseases, and has worked as a nuclear specialist for the U.S.
[00:20:39.382 --> 00:20:39.782]  government.
[00:20:40.002 --> 00:20:46.444]  Gives you easy-to-follow video instructions, and walks you step-by-step through the process of preparing your home as a shelter.
[00:20:46.804 --> 00:20:51.207]  Get this critical video every American needs for only $29 plus shipping.
[00:20:51.647 --> 00:20:53.428]  Order by calling New Millennium today at 888-803-4438.
[00:20:53.448 --> 00:20:53.708]  That's 888-803-4438.
[00:20:53.748 --> 00:20:55.269]  Or order on the web at Berkeywater.com.
[00:21:05.209 --> 00:21:10.516]  Ted Anderson for Midas September 25th 2007 gold 727 20 ounce gold coins can be purchased for $749.90 $369.80 for half $184.90 for quarter that's $749.90 $369.80 and $184.90
[00:21:19.548 --> 00:21:19.588]  J.P.
[00:21:19.608 --> 00:21:21.890]  Morgan's caught in the malaise of mortgage bankruptcies.
[00:21:21.930 --> 00:21:23.711]  The bond market continues to slump.
[00:21:23.891 --> 00:21:24.191]  J.P.
[00:21:24.231 --> 00:21:27.214]  Morgan gets caught in a $10 billion bad deal for Chrysler.
[00:21:27.234 --> 00:21:29.455]  Housing sales fell 6.6%.
[00:21:29.535 --> 00:21:34.419]  Mortgage giant Countrywide showed mortgage payment woes spreading to the middle and upper class.
[00:21:34.479 --> 00:21:36.901]  Investors cast doubt on investment banks.
[00:21:37.021 --> 00:21:41.464]  Credit protection insurance for mortgage lenders are skyrocketing due to the increased risk.
[00:21:41.784 --> 00:21:42.204]  The U.S.
[00:21:42.244 --> 00:21:46.608]  dollar is free-falling against foreign currencies and countries that previously financed the U.S.
[00:21:46.688 --> 00:21:48.469]  are now seeking safer alternatives.
[00:21:48.909 --> 00:21:51.692]  Economist Rhodey Boyd published the report, Bubble Leaking.
[00:21:51.933 --> 00:21:53.134]  Call for the report today, 800-686-2237.
[00:21:53.274 --> 00:21:58.860]  The value of your hard-earned money is being lost in a global game of chess.
[00:21:58.940 --> 00:21:59.181]  Call 800-686-2237.
[00:21:59.201 --> 00:21:59.381]  That's 800-686-2237.
[00:22:04.551 --> 00:22:05.592]  Hey, Jack Blood here.
[00:22:05.832 --> 00:22:11.816]  I think that if we could see the germs potential biohazards all around us in our daily surroundings, we would turn into Howard Hughes.
[00:22:12.117 --> 00:22:16.340]  We try not to think about it primarily because we might think there's nothing we can do about it.
[00:22:16.640 --> 00:22:17.380]  Not so fast.
[00:22:17.460 --> 00:22:18.741]  Now there is a solution.
[00:22:18.921 --> 00:22:23.104]  I'm talking about Hazurid Complete Protection Kit, available now at Hazurid.com.
[00:22:24.185 --> 00:22:32.888]  This is the single solution that is tame enough to safely conquer everyday household and business cleaning chores, yet strong enough to decontaminate biological hazards.
[00:22:33.088 --> 00:22:37.589]  Hazurid fights infectious disease and unsurpassed odor, mold, and allergens.
[00:22:37.689 --> 00:22:42.231]  This is an amazing, state-of-the-art disinfectant with a no-questions-asked guarantee.
[00:22:42.391 --> 00:22:46.272]  Safe for kids and pets, and indispensable for your home, car, or business.
[00:22:46.372 --> 00:22:48.373]  Wherever you go, take Hazurid with you.
[00:22:48.553 --> 00:22:50.434]  Call them now to order 800-675-0323.
[00:22:51.834 --> 00:22:54.495]  That's 800-675-0323.
[00:22:54.836 --> 00:22:59.017]  Or go to the web, www.hazard.com.
[00:22:59.257 --> 00:23:01.978]  H-A-Z-A-R-I-D, hazard.com.
[00:23:02.199 --> 00:23:03.259]  Tell them Jack Blood sent you.
[00:23:03.999 --> 00:23:07.061]  Do you know the secret to reading a thousand percent faster?
[00:23:07.621 --> 00:23:08.261]  That's right.
[00:23:08.441 --> 00:23:12.983]  The secret that could allow you to read ten books in the time it takes others to read just one.
[00:23:13.740 --> 00:23:16.481]  Hi, I'm Jeff Flam, founder of Infinite Mind.
[00:23:16.941 --> 00:23:21.763]  I'd like to send you a free demo of this secret, developed by a leading expert in brain function.
[00:23:22.143 --> 00:23:26.084]  Experience with this free demo the secret to reading a thousand percent faster.
[00:23:26.284 --> 00:23:28.665]  Call now to try this demo absolutely free.
[00:23:28.945 --> 00:23:32.166]  Imagine how reading ten times faster could help your entire family.
[00:23:32.406 --> 00:23:39.515]  Kids do better in school, teens can score higher on their college entrance exams, and busy adults can gain that ever-important edge at work.
[00:23:39.835 --> 00:23:44.441]  This free demo of IQ is only available for a limited time, so call now.
[00:23:44.841 --> 00:23:49.547]  Just think how reading 10 times faster could improve your life and the life of your family.
[00:23:49.887 --> 00:23:52.308]  Call now to try this demo absolutely free!
[00:23:52.328 --> 00:23:52.669]  Dial 1-800-990-1878.
[00:23:52.709 --> 00:23:53.029]  That's 1-800-990-1878.
[00:23:53.049 --> 00:23:53.109]  1-800-990-1878.
[00:24:11.571 --> 00:24:14.093]  Every morning at the mine you could see him arrive.
[00:24:14.133 --> 00:24:16.435]  He stood six foot six and weighed 245.
[00:24:16.535 --> 00:24:19.497]  Kind of broad at the shoulder and narrow at the hip.
[00:24:19.597 --> 00:24:23.260]  And everybody knew he didn't give no lift to Big John.
[00:24:24.962 --> 00:24:26.323]  Big John.
[00:24:27.724 --> 00:24:30.025]  Big John.
[00:24:30.566 --> 00:24:32.167]  Big Bad John.
[00:24:32.287 --> 00:24:34.529]  Big John.
[00:24:36.625 --> 00:24:39.247]  Nobody seemed to know where John called home.
[00:24:39.287 --> 00:24:41.868]  He just drifted into town and stayed all alone.
[00:24:41.908 --> 00:24:46.251]  He didn't say much, kind of quiet and shy, but he just spoke it all.
[00:24:46.431 --> 00:24:48.412]  He just said hi to Big John.
