[00:00:00.710 --> 00:00:03.131]  Best-selling, written six best-sellers.
[00:07:07.456 --> 00:07:17.682]  And they did this just 50 years ago going, oh yeah, you get your tax exempt, just sign this little form, it's a formality, we're all trusting now that you can't say anything about the government, you work for us, by the way.
[00:07:17.742 --> 00:07:18.663]  And that's what's happened.
[00:07:19.082 --> 00:07:20.223]  No, it's just a process.
[00:07:20.243 --> 00:07:21.624]  We're being domesticated.
[00:07:22.305 --> 00:07:30.372]  We are being prepared to become a third world country in which we really have very few rights.
[00:07:31.212 --> 00:07:34.535]  And you see it through the economy, Alex.
[00:07:35.716 --> 00:07:41.421]  We were taught, our generation and the current generation, that is good.
[00:07:42.412 --> 00:07:43.252]  Go into debt.
[00:07:43.693 --> 00:07:48.675]  They push credit cards off on young kids and, you know, home mortgages.
[00:07:49.356 --> 00:07:53.298]  If you own something free and clear in America, it's anti-American.
[00:07:53.798 --> 00:07:55.279]  You should owe money on it.
[00:07:55.299 --> 00:07:59.381]  Also, the property tax is almost impossible to... You don't even really own it anyways.
[00:07:59.701 --> 00:08:00.241]  No, you don't.
[00:08:00.321 --> 00:08:02.542]  They can take it any time that you don't pay that tax.
[00:08:03.543 --> 00:08:12.047]  But we have been slowly dumbed down to accept all of these encroachments in our
[00:08:12.876 --> 00:08:15.257]  Personal freedoms and liberties.
[00:08:15.677 --> 00:08:17.118]  And Congress has done it.
[00:08:17.678 --> 00:08:24.402]  We've gotten the professionals in Congress that will strip our military bases and do whatever it takes.
[00:08:26.503 --> 00:08:28.064]  Like the war right now.
[00:08:28.944 --> 00:08:33.026]  We sent our troops in harm's way while we're cutting VA benefits.
[00:08:33.687 --> 00:08:41.162]  Yeah, and then I talk about how the federal court ruled they're taking all benefits of 65 and older, and people deny it when I'm reading the federal ruling.
[00:08:41.242 --> 00:08:41.743]  Stay there.
[00:08:41.823 --> 00:08:43.386]  I mean, folks, you're going to find out real soon.
[00:08:43.586 --> 00:08:44.388]  We're not making this up.
[00:08:55.407 --> 00:09:01.930]  Thanks for listening to the M2K Talk Archives, and we are listener-supported with the Honors System.
[00:09:02.210 --> 00:09:03.531]  We ask that you wait.
[00:09:03.851 --> 00:09:05.692]  Don't donate a dollar at a time.
[00:09:05.752 --> 00:09:10.835]  PayPal charges a 35-cent surcharge on anything of a dollar or less.
[00:09:11.455 --> 00:09:12.856]  Don't worry.
[00:09:13.256 --> 00:09:15.657]  This show is documented.
[00:09:15.677 --> 00:09:21.240]  Alex Jones, on the GCN Radio Network.
[00:09:21.320 --> 00:09:26.143]  I fell into a burnin' rickshaw fire.
[00:09:26.803 --> 00:09:29.564]  You've read the Globalist Home Plans.
[00:09:29.625 --> 00:09:33.366]  You've seen them do it in hundreds of third world countries.
[00:09:33.847 --> 00:09:37.969]  I mean, is it really any surprise that powerful people want total control?
[00:09:38.529 --> 00:09:40.090]  And more power and more control?
[00:09:41.266 --> 00:09:49.291]  But somehow they've engineered it into the average American's mind or psyche that, oh no, corruption in government doesn't exist, you can't fight it, or oh, that's just the way it is.
[00:09:49.752 --> 00:09:55.315]  Folks, that's a recipe for it to go right to the bottom as quickly as possible, for tyranny to wax greater and greater.
[00:09:56.156 --> 00:10:06.002]  We've got to have a renaissance, or the globalists will take everything you've got, blame it on some foreign enemy, and then have you cheering them as they economically suck you dry.
[00:10:08.200 --> 00:10:10.361]  Michael Hageb, how do we stop this thing?
[00:10:10.401 --> 00:10:11.581]  How do we educate people?
[00:10:12.001 --> 00:10:18.202]  And more importantly, as importantly, who are the globalists and what are their main mechanisms?
[00:10:18.222 --> 00:10:20.963]  We know it's debt, but how does this whole scam work?
[00:10:22.163 --> 00:10:27.224]  Well, the whole scam, Alex, comes through the International Monetary Fund.
[00:10:28.985 --> 00:10:34.046]  And you've got world central bankers that belong to the fund that all create
[00:10:35.860 --> 00:10:37.721]  Wealth based on debt.
[00:10:37.821 --> 00:10:38.782]  And think about it.
[00:10:39.843 --> 00:10:49.268]  If you hawk your home to the bank, you're basically living in something that's owned by someone else.
[00:10:50.208 --> 00:10:50.468]  Right?
[00:10:54.591 --> 00:11:02.675]  We've been taught, and we're being taught worldwide, as globalism continues, in all of these countries,
[00:11:04.251 --> 00:11:08.395]  To take on debt, to get what you want now.
[00:11:09.756 --> 00:11:17.762]  But in the end, it comes back to bite you because by the time you realize you've been had, you're owned.
[00:11:19.483 --> 00:11:20.765]  You have no wiggle room.
[00:11:21.785 --> 00:11:23.086]  They tell you what to do.
[00:11:23.747 --> 00:11:28.691]  They being the powerful money people.
[00:11:29.925 --> 00:11:35.907]  And, you know, you can get into the Rockefellers and go, you know, the Goldmans and... Well, I just know this.
[00:11:35.927 --> 00:11:40.589]  While we're all busy debating Hillary and George Bush, I mean, these are puppets.
[00:11:40.649 --> 00:11:44.930]  The globalists own the economy, own the intelligence agencies, own the universities.
[00:11:45.310 --> 00:11:47.231]  They set up the system, and it's a joke.
[00:11:47.511 --> 00:11:54.293]  While we all debate mindless, petty issues, they're just setting up this new casual society slave pen for us.
[00:11:54.984 --> 00:12:00.851]  They are, and basically we complain about privacy and lack of privacy.
[00:12:01.171 --> 00:12:02.392]  Nothing's private anymore.
[00:12:03.153 --> 00:12:05.736]  If you've got the power, you can find out anything you want.
[00:12:07.017 --> 00:12:10.301]  Power today, information is power.
[00:12:11.682 --> 00:12:15.907]  And the wealthy people control the information, and they disperse it.
[00:12:16.587 --> 00:12:25.913]  through media outlets, you know, like the Today Show and all these sitcoms that we're told what to think.
[00:12:26.334 --> 00:12:27.494]  Yeah, and that's a good point.
[00:12:27.534 --> 00:12:33.919]  The sitcoms, the dramas, we just heard about a Keebler ad with the elf retina scans to get into the tree.
[00:12:34.359 --> 00:12:37.261]  I mean, our kids are being totally brainwashed.
[00:12:37.301 --> 00:12:42.644]  They're setting up this horrible system, laughing at us, and people don't even know they're being propagandized.
[00:12:43.145 --> 00:12:46.307]  We're referred to as Joe and Jane Sixpack.
[00:12:46.927 --> 00:12:50.289]  We have a six-pack of beer and the TV and we're happy.
[00:12:50.529 --> 00:12:55.853]  That's what the wealthy refer to the working class in America as being.
[00:12:57.094 --> 00:13:04.078]  And unfortunately, for the most part, it's true because we're down in the trenches trying to make a living.
[00:13:05.006 --> 00:13:06.546]  Don't see the big picture above us.
[00:13:06.706 --> 00:13:09.727]  And it will incrementally let them tell us what to do.
[00:13:09.747 --> 00:13:11.248]  I mean, it's just going to get worse and worse.
[00:13:11.648 --> 00:13:13.848]  How many kids we can have, where we can live.
[00:13:14.329 --> 00:13:14.589]  Sure.
[00:13:14.629 --> 00:13:17.690]  No more Bill of Rights, because we were never taught what our Bill of Rights was.
[00:13:18.510 --> 00:13:22.791]  Well, we've got to get the guns away from them, though, to finally have the final takeover.
[00:13:23.431 --> 00:13:25.313]  And that's the whole Second Amendment battle.
[00:13:25.713 --> 00:13:28.876]  And I'm sure you heard Bush backs renewing ban on assault weapons.
[00:13:29.036 --> 00:13:29.276]  Oh yeah.
[00:13:29.656 --> 00:13:31.138]  But, but, oh, he's conservative!
[00:13:32.559 --> 00:13:42.547]  Actually, more inroads have been made into the loss of our rights through the conservative parties than the liberal party.
[00:13:42.567 --> 00:13:43.308]  Isn't that amazing?
[00:13:44.128 --> 00:13:49.873]  We always blame the liberals, but that the Republicans, and I've always been a conservative.
[00:13:50.093 --> 00:13:51.274]  I used to be a Republican.
[00:13:51.314 --> 00:13:52.195]  Now I'm independent.
[00:13:53.306 --> 00:13:59.989]  But they actually get through the legislation that takes our right many, many times more often.
[00:14:00.009 --> 00:14:02.870]  But then nothing's said about it, but then, well, it's like Bush.
[00:14:02.910 --> 00:14:05.111]  He took all controls off supercomputers in China.
[00:14:05.411 --> 00:14:06.592]  Ten times what Clinton did.
[00:14:06.932 --> 00:14:07.852]  And it's asked, so what?
[00:14:08.112 --> 00:14:09.613]  Clinton, it's incredible, it's evil.
[00:14:10.093 --> 00:14:13.955]  These neocons, they're really the commies, if you want to use that paradigm term.
[00:14:15.316 --> 00:14:17.498]  But, but, so, so, I mean, take Michael Savage.
[00:14:17.538 --> 00:14:19.421]  I mean, he's an admitted beatnik.
[00:14:20.682 --> 00:14:23.726]  He wants to put people in camps if they criticize the government.
[00:14:23.746 --> 00:14:24.808]  I got him on tape now saying it.
[00:14:25.048 --> 00:14:26.309]  And he calls that conservative.
[00:14:26.530 --> 00:14:26.730]  Yeah.
[00:14:27.771 --> 00:14:31.516]  Yeah, well, that's, unfortunately, if we don't wake up, Alex, that's what's coming.
[00:14:32.558 --> 00:14:34.078]  I mean, we're already in debt.
[00:14:34.258 --> 00:14:35.659]  We're owned right now.
[00:14:35.979 --> 00:14:48.561]  Our country, the wealthiest nation as far as resources in the history of mankind, has been auctioned off to the highest bidders, and that's everybody but Americans.
[00:14:48.581 --> 00:14:50.942]  Alright, when we get back, let's talk about some of the numbers, the P.E.
[00:14:51.102 --> 00:14:55.542]  ratios, the debt, public-private, and real solutions, and then take some calls.
[00:14:55.562 --> 00:14:56.763]  Folks, you want to talk to Michael Hager?
[00:14:56.783 --> 00:14:58.263]  We'll take a lot of calls.
[00:14:59.243 --> 00:15:03.785]  Early in this next segment, 1-800-259-9231.
[00:15:03.905 --> 00:15:04.565]  Stay with me.
[00:15:06.325 --> 00:15:07.226]  We're on the march.
[00:15:07.686 --> 00:15:09.326]  The Empire's on the run.
[00:15:09.426 --> 00:15:13.028]  Alex Jones and the GCN Radio Network.
[00:15:16.109 --> 00:15:26.592]  Nuclear reactors provide... The Genesis Communications Radio Network proudly presents...
[00:15:29.787 --> 00:15:33.750]  There's a war on for your mind.
[00:15:33.850 --> 00:15:38.554]  All right, we're about to go to Fred, Mike, Marie, Casey, and others.
[00:15:38.614 --> 00:15:42.397]  The number to join us on air, talk to Michael Hager, 1-800-259-9231.
[00:15:44.398 --> 00:15:59.530]  Michael, back in March of last year, I interviewed Greg Pallast, big BBC reporter, and he talked about Lord Wakeham, the head of NM Rothschild, who regulates the media over there, trying to stop his reports on this, and he'd gotten calls from Henry Kissinger trying to stop him being able to go on American television.
[00:16:00.894 --> 00:16:03.556]  I mean, you've got the big media guy talking about N.M.
[00:16:03.616 --> 00:16:06.478]  Rothschild hits trying to stop him, and it really is the players.
[00:16:07.258 --> 00:16:20.166]  And in that interview, which Lister transcribed, which subsequently was published in over 400 newspapers, that's what Greg even said here on the air, his best-selling book out, he was shocked because our listeners were so active and emailed that out and got folks involved.
[00:16:20.206 --> 00:16:22.848]  But the point is, the World Bank documents said
[00:16:23.767 --> 00:16:25.748]  And the head of it, the chief economist, quit.
[00:16:25.768 --> 00:16:29.030]  Joseph Sickles said, I'm going to be part of this, that they want to implode economies.
[00:16:29.050 --> 00:16:34.534]  They want to, quote, create riots, then use federalized riot police to crack down instead of a police state.
[00:16:34.894 --> 00:16:38.356]  It's really a recipe for total dehumanization and domination.
[00:16:39.117 --> 00:16:46.121]  And then we have these documents and the average American just has no idea they plan to do that to the American people and have been setting it up.
[00:16:46.481 --> 00:16:49.263]  Number one, did you hear about those World Bank documents?
[00:16:49.283 --> 00:16:52.325]  And number two, what would you do to try to stop this in solutions?
[00:16:53.530 --> 00:16:56.532]  Yeah, I've heard about the World Bank documents, and it's true.
[00:16:56.652 --> 00:16:59.433]  I mean, I can go through a whole history of the Federal Reserve System.
[00:17:00.414 --> 00:17:01.194]  It's not federal.
[00:17:01.654 --> 00:17:02.595]  It has no reserves.
[00:17:02.735 --> 00:17:03.715]  It's a private entity.
[00:17:04.576 --> 00:17:07.738]  It consists of 12 national banks.
[00:17:08.198 --> 00:17:16.942]  Now, this is just the American system, but the only one of any significance is the National Bank in New York, and that's the New York Bank.
[00:17:17.002 --> 00:17:21.865]  It's always been managed by somebody completely congenial to the interests of the international bankers.
[00:17:22.768 --> 00:17:31.193]  But it's important that folks understand in America that the Federal Reserve System is not a bona fide government agency.
[00:17:31.813 --> 00:17:37.376]  Technically, the stock is owned by 12 national banks, which received a dividend of 6% each year.
[00:17:38.137 --> 00:17:41.819]  Any profits from the system are supposed to be turned over to the U.S.
[00:17:41.879 --> 00:17:42.379]  Treasury.
[00:17:43.092 --> 00:17:51.534]  But in fact, the president appoints seven members of the board, of the Federal Reserve Board, for 14-year terms.
[00:17:51.634 --> 00:17:53.195]  Well, the shareholders are private.
[00:17:53.855 --> 00:17:54.195]  Yeah.
[00:17:54.535 --> 00:17:57.076]  So it's the money... It is.
[00:17:57.156 --> 00:18:01.277]  It's the Rothschilds, the Rockefellers, the Warburgs.
[00:18:02.177 --> 00:18:03.718]  You know, the list goes on and on.
[00:18:04.158 --> 00:18:12.100]  And these are the same folks, or the ancestors of the same folks, who had the secret meeting in 1910 on Jekyll Island, and then
[00:18:13.047 --> 00:18:18.176]  Got finally through Congress with the aid of... Oh, who was that, um...
[00:18:18.897 --> 00:18:19.657]  Woodrow Wilson.
[00:18:19.938 --> 00:18:22.419]  Well, Wilson realized at the end he'd been had.
[00:18:22.439 --> 00:18:23.339]  He got killed, yeah.
[00:18:23.499 --> 00:18:25.440]  But it was Senator Aldrich.
[00:18:25.900 --> 00:18:26.841]  Yeah.
[00:18:27.021 --> 00:18:35.205]  But the stage was set, and so in December 22nd, 1913, the Federal Reserve Act was passed by the House of Representatives.
[00:18:35.265 --> 00:18:37.686]  And we got the income tax to pay into the private banks.
[00:18:37.746 --> 00:18:37.966]  Right.
[00:18:38.446 --> 00:18:42.628]  And so we got the tax and spend legislation, we got the control, we got everything.
[00:18:43.129 --> 00:18:47.971]  And Woodrow Wilson, it's amazing when you read his history,
[00:18:48.772 --> 00:18:58.857]  He said, in his memoirs, there's something phony about the smokescreen of opposition.
[00:18:58.877 --> 00:19:01.318]  The bankers appeared to be opposing the Federal Reserve.
[00:19:01.989 --> 00:19:06.551]  But he said, quote, these interviews with bankers led me to an interesting conclusion.
[00:19:07.131 --> 00:19:19.836]  I perceived gradually through the haze and smoke of controversy that the banking world was not really as much opposed to the bill as it pretended to be and in fact wanted it.
[00:19:21.397 --> 00:19:24.979]  See, that's what they're masters of, is Bush acts like, oh, the U.N.
[00:19:24.999 --> 00:19:26.580]  is not for our war, and the U.N.
[00:19:26.660 --> 00:19:29.841]  is going to get all the oil and run it and play the part of the good cop.
[00:19:30.222 --> 00:19:30.962]  It's the same thing.
[00:19:31.022 --> 00:19:32.183]  It's totally staged.
[00:19:32.223 --> 00:19:34.884]  This Republican-Democrat thing is totally staged.
[00:19:35.084 --> 00:19:37.246]  Yeah, there are no Republicans or Democrats.
[00:19:37.946 --> 00:19:39.927]  They're both working for the same cause.
[00:19:39.967 --> 00:19:40.948]  You have to understand that.
[00:19:41.628 --> 00:19:44.850]  And all of these guys in Congress, well, with the exception of a few,
[00:19:46.133 --> 00:19:51.378]  Have sold out, and they sold out because there's so much money behind the scenes.
[00:19:51.919 --> 00:20:04.972]  Imagine, Alex, if you had suddenly access to indescribable wealth, what you would do if you would just simply sell out your people?
[00:20:05.973 --> 00:20:07.755]  Very few people would say no to that.
[00:20:08.294 --> 00:20:13.636]  And see, a lot of them see it as just a good ol' boy network, and oh, that's the way it's always been, might as well go along.
[00:20:13.936 --> 00:20:18.878]  The problem is, the real globalists are a bunch of eugenics, Nazi control freaks.
[00:20:18.898 --> 00:20:20.498]  They really want to dehumanize us.
[00:20:20.538 --> 00:20:22.199]  They say this in their policy papers.
[00:20:22.979 --> 00:20:26.280]  I wish the good ol' boys that are part of this would read what the globalists are really doing.
[00:20:26.320 --> 00:20:29.341]  I mean, it is... Michael Hager, it is scary.
[00:20:29.401 --> 00:20:30.162]  I've really looked at it.
[00:20:30.362 --> 00:20:31.402]  It is dehumanization.
[00:20:31.462 --> 00:20:33.103]  It is technocracy.
[00:20:33.143 --> 00:20:34.163]  It is enslavement.
[00:20:34.823 --> 00:20:35.824]  Well, look at SARS.
[00:20:36.264 --> 00:20:37.104]  Where did it come from?
[00:20:37.825 --> 00:20:41.649]  All of a sudden we have another, quote, virus appearing.
[00:20:41.669 --> 00:20:45.613]  It's like Communist China is the model for the UN and the world government.
[00:20:45.773 --> 00:20:46.033]  Sure.
[00:20:46.053 --> 00:20:54.161]  They have mobile death bans and the globalists give them all the awards and let them into the WTO and give them all the... That's what they want to set up, folks!
[00:20:54.342 --> 00:20:57.044]  In China, if you don't work, you don't eat.
[00:20:58.586 --> 00:21:00.568]  If you don't produce, you don't live.
[00:21:01.357 --> 00:21:02.398]  And that's what's coming.
[00:21:02.798 --> 00:21:10.262]  You know, we're looked upon as useless eaters, or the Chinese look upon their people... Well, Ted Turner called us that.
[00:21:10.602 --> 00:21:10.902]  Yeah.
[00:21:10.982 --> 00:21:20.367]  I mean, he can get away with Hitler quotes, and they call him a liberal, and then he's running this Armageddon show on PBS, and the answer is world government biometrics.
[00:21:20.407 --> 00:21:21.167]  That'll save us.
[00:21:21.227 --> 00:21:22.968]  Lots of police state and we'll be safe.
[00:21:23.208 --> 00:21:26.910]  Yeah, and think about control issues
[00:21:28.144 --> 00:21:34.687]  As the population expands, the globalists know that they have to keep the population in check.
[00:21:35.347 --> 00:21:43.231]  So we're going to be having some big plagues arise all over the world that'll kill off hundreds of millions of people, maybe a couple of billion.
[00:21:43.511 --> 00:21:46.232]  Of course, you'll have a big police state while that happens.
[00:21:46.332 --> 00:21:46.592]  Sure.
[00:21:47.593 --> 00:21:48.973]  Look at our prisons today.
[00:21:49.814 --> 00:21:56.697]  When we were locking people up, especially in the federal system, attached to each federal facility
[00:21:57.689 --> 00:22:18.016]  is a big building that really doesn't have any identifying marks, but inmates, or what they call them, residents now, I believe, they work for 20 cents on the dollar an hour, maybe more, maybe less, but they manufacture things that compete with the private sector.
[00:22:18.036 --> 00:22:19.376]  They get government contracts.
[00:22:20.197 --> 00:22:23.858]  So we're paying to house the residents, the inmates.
[00:22:24.258 --> 00:22:25.639]  And so they can take our jobs.
[00:22:25.779 --> 00:22:26.939]  Yeah, and they're taking our jobs.
[00:22:28.078 --> 00:22:36.948]  So it's crazy, but we, the people, I don't know how you wake people up, Alex.
[00:22:39.190 --> 00:22:46.578]  I know so many people that are still in denial, but I suppose when it happens to you,
[00:22:48.638 --> 00:22:52.360]  Then you understand, but until that point people are just oblivious.
[00:22:53.040 --> 00:22:55.702]  And then by then it's too late because your neighbor's not going to listen either.
[00:22:55.982 --> 00:23:00.124]  Right, and that's what happened in Germany to the Jewish people.
[00:23:02.525 --> 00:23:02.765]  Right?
[00:23:02.985 --> 00:23:04.246]  Even the churches were silent.
[00:23:04.746 --> 00:23:10.429]  Today our churches are silent because they are corporations controlled
[00:23:11.408 --> 00:23:13.469]  By the Taxing Authority.
