[00:00:00.049 --> 00:00:00.449]  The 8.
[00:08:51.064 --> 00:08:55.468]  They all have their houses, cars, credit cards paid for by the FBI, a bunch of public officials.
[00:08:55.508 --> 00:08:57.850]  So they were warned not to fly to New York that day.
[00:08:57.910 --> 00:08:59.972]  San Francisco Chronicle, Times of London reported.
[00:09:00.332 --> 00:09:01.433]  MSNBC's reported.
[00:09:02.513 --> 00:09:04.515]  Insider trading leading back to the CIA.
[00:09:04.616 --> 00:09:04.836]  U.S.
[00:09:04.876 --> 00:09:09.501]  troops massing in Tajikistan and Uzbekistan with launch orders to invade two days before.
[00:09:09.981 --> 00:09:13.485]  Bin Laden, the known CIA asset, meeting with the CIA for 10 days.
[00:09:13.505 --> 00:09:18.851]  8,000 Taliban and Al Qaeda flown out to safety in the middle of the Afghan war.
[00:09:18.871 --> 00:09:20.653]  Then all opposition crumpled.
[00:09:21.474 --> 00:09:26.159]  And our government took, in a few weeks, what it took the Russians 11 years, 10 years to lose.
[00:09:27.079 --> 00:09:35.608]  Then they flew them out to Pakistan, paid them in gold bars, where they report bin Laden sits today with our supposed allies, the Pakistanis.
[00:09:36.348 --> 00:09:46.518]  He sits there doing television reports about how he's going to kill us, and how George Bush is right, he's behind all the terror, and he works with Saddam.
[00:09:48.504 --> 00:09:51.286]  I mean, number one, why hasn't Pakistan gone in and gotten him?
[00:09:52.767 --> 00:09:54.808]  That our governments help give nuclear weapons, by the way.
[00:09:55.249 --> 00:10:00.252]  Number two, uh, why did they fly 8,000 of these guys out and drop them off to safety?
[00:10:01.633 --> 00:10:05.235]  Uh, and it, I mean, the listings just go on and on and on and on.
[00:10:05.295 --> 00:10:09.158]  And then just magically, folks, just magically, just magically.
[00:10:10.019 --> 00:10:13.161]  You talk about suspended disbelief, this is a big production.
[00:10:13.301 --> 00:10:16.203]  Like, like, Private Lynch, they admit, was Jerry Bruckheimer.
[00:10:16.952 --> 00:10:18.373]  That was an admitted production.
[00:10:18.893 --> 00:10:22.095]  Jerry Bruckheimer bragged that he helped write the script on that.
[00:10:22.655 --> 00:10:31.960]  That's why it couldn't be the dead Hispanic veteran who really did fight and kill about 15 Iraqis and was shot repeatedly and fought them to the death and they bayoneted him.
[00:10:32.240 --> 00:10:37.583]  That's why he can't get the awards because he's not a little white girl that America wants to see.
[00:10:37.603 --> 00:10:39.884]  It's theater, people!
[00:10:40.765 --> 00:10:41.345]  All of it!
[00:10:43.586 --> 00:10:44.487]  It's sickening!
[00:10:46.713 --> 00:10:47.513]  You like the theater.
[00:10:47.533 --> 00:10:54.836]  You like the sappiness as the troops die of vaccines in 1,900 times the safe level of depleted uranium all over Baghdad.
[00:10:55.757 --> 00:10:56.797]  It's real funny.
[00:10:59.958 --> 00:11:03.960]  I don't want to spin out of control, but Bin Laden aid buried troops.
[00:11:04.220 --> 00:11:06.961]  Video of Al-Qaeda leader is first in almost two years.
[00:11:08.241 --> 00:11:12.223]  So Bin Laden and his chief lieutenant, al-Zawahiri,
[00:11:13.058 --> 00:11:14.260]  We're good to go.
[00:11:28.979 --> 00:11:32.381]  The tapes were broadcast by Al Jazeera, the CIA front company in Qatar.
[00:11:32.962 --> 00:11:34.362]  I added that CIA front company part.
[00:11:34.683 --> 00:11:40.866]  Satellite TV channel which said the video images were recorded in late April or early May.
[00:11:40.927 --> 00:11:44.769]  There was no information on how the tapes were made or who made them.
[00:11:46.101 --> 00:11:48.983]  So Bush is giving a speech saying, we gotta pass Patriot Act 2.
[00:11:49.263 --> 00:11:50.444]  Bin Laden's still a threat.
[00:11:50.644 --> 00:11:51.525]  He's gonna get ya.
[00:11:51.745 --> 00:11:53.866]  They haven't shown him to us in about a year, you know.
[00:11:54.106 --> 00:11:55.427]  Really, no discussion of Bin Laden.
[00:11:55.447 --> 00:11:58.189]  In fact, the White House even said, quit talking about Bin Laden so much.
[00:11:58.209 --> 00:12:00.650]  And then, magically, Bush says, Bin Laden's back.
[00:12:00.730 --> 00:12:01.491]  He's gonna get ya.
[00:12:01.511 --> 00:12:02.111]  He even said it.
[00:12:02.331 --> 00:12:04.593]  And all of a sudden, an hour later, I'm gonna get you.
[00:12:04.873 --> 00:12:05.854]  I'm gonna get you.
[00:12:05.954 --> 00:12:07.355]  I'm gonna... I mean, come on!
[00:12:11.428 --> 00:12:16.594]  Again, I'll remind you, right before the Gulf War, earlier this year, do you remember?
[00:12:16.755 --> 00:12:18.256]  I know you've got long-term memories.
[00:12:18.637 --> 00:12:21.560]  Colin Powell's before the Joint House and Senate Committee.
[00:12:22.381 --> 00:12:23.783]  He says, we've got to go into Iraq.
[00:12:24.584 --> 00:12:30.672]  I've even been live and saying on Al Jazeera TV right now that we are being, that we are
[00:12:31.883 --> 00:12:40.731]  You know, gotta go into Iraq because he's on TV right now saying that Al-Qaeda is working with Saddam in Iraq right now.
[00:12:40.771 --> 00:12:41.832]  And see, there's our proof!
[00:12:42.052 --> 00:12:42.672]  Bin Laden!
[00:12:42.692 --> 00:12:45.695]  Yeah, Bin Laden giving you just what you need, as usual.
[00:12:46.516 --> 00:12:50.299]  And so they ran around, the reporters ran around, wow, the Secretary of State's saying it's on Al Jazeera.
[00:12:50.319 --> 00:12:50.919]  Well, where is it?
[00:12:51.240 --> 00:12:51.860]  They call Al Jazeera.
[00:12:51.900 --> 00:12:53.702]  Al Jazeera says, we've got no such tape.
[00:12:53.722 --> 00:12:55.183]  What is he talking about?
[00:12:55.203 --> 00:12:57.585]  All of a sudden they go, oh, it just was delivered!
[00:12:58.419 --> 00:13:03.260]  They walk back in an hour later during his testimony and go, Secretary of State, we just got the tapes now airing.
[00:13:03.300 --> 00:13:03.800]  How did you know?
[00:13:03.840 --> 00:13:09.941]  He goes, uh, well, you know, and before that he was telling them, well, if it hadn't aired, it will be airing soon.
[00:13:13.382 --> 00:13:15.162]  I mean, it's just blatant stuff.
[00:13:15.222 --> 00:13:22.083]  It'd be like if I told, you know, called the police and I said, you know that dead body you found out there in the back?
[00:13:22.123 --> 00:13:23.143]  Well, I know who did it.
[00:13:23.923 --> 00:13:26.984]  You know, that, you know, that dead body out behind the old whatever.
[00:13:27.802 --> 00:13:29.663]  And the cops went, well, what do you mean dead body?
[00:13:29.683 --> 00:13:31.344]  And then they went and dug it up and it was there.
[00:13:31.384 --> 00:13:34.066]  And I said, oh, well, I thought you dug it up.
[00:13:34.986 --> 00:13:36.267]  They'd be asking me, well, how'd you?
[00:13:36.287 --> 00:13:37.968]  But no, not in America.
[00:13:37.988 --> 00:13:40.949]  It goes out on national TV and we just go, duh?
[00:13:41.550 --> 00:13:42.030]  Duh?
[00:13:44.051 --> 00:13:48.834]  And that's only one of just thousands of smoking guns and red flags surrounding this.
[00:13:48.894 --> 00:13:51.435]  They go on and on and on.
[00:13:52.576 --> 00:13:54.557]  It's total theater.
[00:13:55.177 --> 00:13:56.458]  It's not real.
[00:13:59.082 --> 00:14:00.423]  It's a fantasy land.
[00:14:02.065 --> 00:14:06.910]  Bin Laden, admittedly, is the CIS that used to fight the Russians.
[00:14:08.112 --> 00:14:09.153]  They brought the Taliban.
[00:14:09.193 --> 00:14:15.079]  They brought Al Qaeda, or the Foundation, in, in the early 1980s.
[00:14:15.299 --> 00:14:18.402]  There's articles from before 9-1-1 reporting on it.
[00:14:18.442 --> 00:14:20.425]  The BBC and Reuters.
[00:14:20.505 --> 00:14:21.546]  I have them in the films.
[00:14:22.890 --> 00:14:28.833]  And then we got this guy on yesterday and he's saying, well, that's just a separate Arab group with the Saudis.
[00:14:28.893 --> 00:14:34.236]  And I go, well, what about the CIA running the drill on 9-1-1 of flying hijacked jets into buildings?
[00:14:34.296 --> 00:14:37.198]  Well, that is true, but I'll have to look into that some more.
[00:14:37.318 --> 00:14:39.179]  I really can't comment on it.
[00:14:39.199 --> 00:14:48.264]  And of course, New York Daily News, MSNBC, went and checked out the, quote, urban legend that the instant messaging service
[00:14:49.149 --> 00:14:54.372]  Employees were all out of the building, told not to go to work, and they called the instant messaging company, and they said, yeah.
[00:14:54.392 --> 00:14:57.214]  They were told not to go to work four hours before.
[00:14:57.234 --> 00:15:03.357]  They were instant messaged, that's how the company communicates, and told not to go to work that day.
[00:15:03.737 --> 00:15:04.498]  There was a danger.
[00:15:05.238 --> 00:15:08.280]  They went into all the public schools surrounding it, and little kids said, yeah.
[00:15:10.501 --> 00:15:12.862]  You know, everybody was told not to come to school.
[00:15:12.982 --> 00:15:14.003]  The schools were half empty.
[00:15:14.023 --> 00:15:17.605]  The week before, little kids stood up and said, that building won't be there next week.
[00:15:18.357 --> 00:15:31.682]  There were hundreds of thousands of calendars printed up with a picture of a 747 flying in the World Trade Center and distributed out there by the government, by the globalists to go, oh look, Arabs prior knowledge.
[00:15:31.722 --> 00:15:33.362]  I mean, it's a joke!
[00:15:34.362 --> 00:15:38.864]  They were running a drill that morning, flying jets into New York and D.C.
[00:15:39.204 --> 00:15:39.904]  skyline.
[00:15:41.985 --> 00:15:43.005]  That is admitted!
[00:15:43.045 --> 00:15:44.766]  You ask, why would the government admit that?
[00:15:45.365 --> 00:15:46.845]  Because that's how they can fall back.
[00:15:46.905 --> 00:15:58.509]  You don't think they had all of NORAD and all of the FAA and all of the CIA and all of the vault at Fort Meade sitting around going, ah yes, fly the planes into the buildings, yes, New World Order, ha ha ha!
[00:15:59.229 --> 00:16:01.389]  No, just a few command trucks, folks.
[00:16:01.970 --> 00:16:05.130]  They got command trucks that can control dozens of drones at one time.
[00:16:05.771 --> 00:16:09.532]  Just a few command trucks right there running the drill that morning.
[00:16:09.892 --> 00:16:10.612]  Stand down!
[00:16:11.012 --> 00:16:11.732]  Stand down!
[00:16:13.033 --> 00:16:14.413]  Just a drill, just a drill.
[00:16:15.091 --> 00:16:17.572]  That's why it stood down, NORAD stood down for over an hour.
[00:16:17.772 --> 00:16:19.172]  That's why jets weren't scrambled.
[00:16:20.513 --> 00:16:26.074]  By the way, it looks like it took longer for the planes to get to their destinations and one of the flights got delayed 20-30 minutes.
[00:16:26.654 --> 00:16:27.595]  Is it 25-30?
[00:16:27.615 --> 00:16:29.975]  We're not sure, but around half an hour.
[00:16:30.736 --> 00:16:33.516]  We know that that's been confirmed, one of the flights there in Boston.
[00:16:34.017 --> 00:16:42.299]  And so that's why Bush had to sit there watching the first building smoke for 15 minutes before he walked out in front of the little kids.
[00:16:44.509 --> 00:16:52.575]  And acted like nothing had happened and sat there and read the little goat story and then Karl Rove walks over and says, Mr. President, another building's been hit.
[00:16:52.895 --> 00:16:59.900]  Mr. President acts all serious and shocked and then goes on reading and then leaves.
[00:17:00.280 --> 00:17:02.381]  You see, he had to be incommunicado.
[00:17:02.421 --> 00:17:07.164]  He had to be, you know, out there in a place where he couldn't be warned or told.
[00:17:07.725 --> 00:17:10.707]  He had to act like he just learned of it there so he couldn't order.
[00:17:11.678 --> 00:17:15.360]  The planes to carry out procedure, which has been procedure for 50 years in this country.
[00:17:18.021 --> 00:17:19.901]  I mean, it's so incredible.
[00:17:19.961 --> 00:17:26.904]  And then the president and the White House official statement said, we've learned of the first and second plane while he was reading the story.
[00:17:27.825 --> 00:17:28.585]  And that was announced.
[00:17:28.605 --> 00:17:39.109]  And then the principal of the school was at a town hall about it, milking the whole thing and said, well, when I was back there in the office with the president watching it on TV, he was very upset.
[00:17:39.149 --> 00:17:40.130]  He's a wonderful man.
[00:17:40.720 --> 00:17:44.703]  The reporter said, excuse us, watching TV before he went out?
[00:17:44.783 --> 00:17:46.224]  And he, why yes!
[00:17:47.405 --> 00:17:48.546]  He is a great man!
[00:17:48.606 --> 00:17:51.548]  And so they went to Karl Rove and said, well what happened?
[00:17:51.568 --> 00:17:53.850]  And Karl Rove told the San Francisco Chronicle.
[00:17:53.890 --> 00:18:03.336]  He said, well, we were, yeah, we were behind there and we saw, well actually in the limo we heard, in the limo we heard what was going on and he was very concerned.
[00:18:03.477 --> 00:18:06.198]  But wait, you said he learned out there with the little goat story.
[00:18:06.259 --> 00:18:09.301]  Well, let's not discuss that anymore.
[00:18:11.736 --> 00:18:16.959]  It goes on and on and on and on and on and on and on for hours!
[00:18:22.001 --> 00:18:26.783]  That's the reality of what happened on September 11th.
[00:18:27.784 --> 00:18:34.567]  And even if the government was loving and good and wouldn't do such a thing despite their official Northwoods plan to carry out just those type of attacks,
[00:18:35.442 --> 00:18:45.808]  Even if they were wonderful and good and totally trustworthy, don't you understand, folks, that they're using it as a pretext to take your liberties, your freedoms, while leaving the border wide open?
[00:18:46.529 --> 00:18:49.030]  I mean, I've got another report here with a bunch of U.S.
[00:18:49.070 --> 00:19:03.799]  attorneys and congressmen and others out of the Scranton Times, Times Shamrock Newspapers, where they are admitting, yeah, we're going to use it for all crimes, drug dealers, misdemeanors, you know, everything.
[00:19:04.645 --> 00:19:06.407]  They've said it in Congress, it's been in the news.
[00:19:07.488 --> 00:19:14.496]  They're using it to destroy America, secret arrest all this, and they got this line about, these are powers we've had in other cases for a long time.
[00:19:14.817 --> 00:19:15.718]  That's not true!
[00:19:16.767 --> 00:19:25.454]  Yeah, with the Asset Forfeiture, they'll grab an old lady's purse, or grab your ranch, no drugs found, there's been thousands of cases, and they've been caught and had to repeal some of that.
[00:19:25.875 --> 00:19:28.297]  So yeah, they've been doing really bad stuff before.
[00:19:28.317 --> 00:19:32.960]  It's like going, well, we've had black slaves for decades, you know, why get rid of slavery now?
[00:19:33.041 --> 00:19:37.124]  Or, well, Hitler's been putting people in camps for years, you know, what's wrong with it?
[00:19:38.553 --> 00:19:40.935]  But his statement about administrative subpoenas being no big deal.
[00:19:40.955 --> 00:19:42.536]  They're rubber stamps for whole regions.
[00:19:42.657 --> 00:19:46.540]  But the FBI just secretly arrests you without a warrant, without anything.
[00:19:46.580 --> 00:19:47.180]  Just does it.
[00:19:50.463 --> 00:19:54.066]  It goes on and on and on and on and on.
[00:19:55.167 --> 00:19:58.190]  And just the wall-to-wall lying is incredible.
[00:19:59.250 --> 00:20:01.672]  Ron Paul's coming up and I'm going to come back and hit some more news.
[00:20:02.833 --> 00:20:04.615]  And yeah, we're going to have open phones as well.
[00:20:04.695 --> 00:20:05.376]  It's September 11th.
[00:20:06.377 --> 00:20:08.938]  As we resist the military industrial complex coup.
[00:20:11.879 --> 00:20:17.821]  Herbal Healer Academy is the global supplier of the finest natural medicine that you may need in these troubled times.
[00:20:18.062 --> 00:20:20.302]  We specialize in keeping you alive and healthy.
[00:20:20.502 --> 00:20:26.845]  We provide outstanding products like ECAC, colloidal silver 500 parts per million, olive leaf extract,
[00:20:27.185 --> 00:20:27.846]  We're good to go.
[00:20:47.418 --> 00:20:49.439]  And a current Herbal Healer newsletter free.
[00:20:49.799 --> 00:20:51.881]  Simply log on to HerbalHealer.com.
[00:20:52.061 --> 00:20:56.483]  Check out our online member testimonials and our hundreds of exceptional products.
[00:20:56.723 --> 00:20:59.805]  We have been working hard since 1988 to save the remnant.
[00:20:59.965 --> 00:21:05.829]  That's HerbalHealer.com, your website for safe, effective natural alternatives and education.
[00:21:09.711 --> 00:21:20.436]  The Berkey Light's unique design combines the age-old process of microporous filtration coupled with modern state-of-the-art technology and the highest quality materials, bringing you the finest water filter available anywhere.
[00:21:20.616 --> 00:21:28.080]  The revolutionary Berkey Light, with its exclusive black Berkey filter elements, remove pathogenic bacteria, cysts, and parasites to non-detectable levels.
[00:21:28.440 --> 00:21:28.740]  Thank you.
[00:21:44.409 --> 00:21:48.312]  The Berkey Light is transparent, so there is no guesswork when refilling the system.
[00:21:48.352 --> 00:21:50.254]  The water level is always visible.
[00:21:50.434 --> 00:21:56.379]  The rechargeable LED lighting system is beautiful as a night light and as necessary in emergency situations.
[00:21:56.599 --> 00:22:00.222]  Get the Berkey Light, the transparent water filter, for only $259 by calling New Millennium at 888-803-4438.
[00:22:00.242 --> 00:22:00.822]  That's toll free, 888-803-4438.
[00:22:11.508 --> 00:22:16.511]  Late summer 2003, mainstream press tells us we're having a stock market recovery.
[00:22:16.912 --> 00:22:19.654]  Late summer 2002, I heard the same thing.
[00:22:20.114 --> 00:22:22.976]  Late summer 2001, you heard the same thing.
[00:22:23.356 --> 00:22:30.501]  The Dow Jones Industrial Average, currently trading in a 93 to 9400 range, is down 7% from two years ago.
[00:22:31.001 --> 00:22:31.902]  That's recovery?
[00:22:32.502 --> 00:22:37.726]  Gold, now trading in the $360 range, is up 31% in that same period.
[00:22:38.106 --> 00:22:39.667]  Where do you want your hard-earned money?
[00:22:40.350 --> 00:22:43.092]  Hi folks, this is Jack Brown with Midas Resources.
[00:22:47.796 --> 00:22:49.377]  I love the sound of real money.
[00:22:49.797 --> 00:22:54.721]  Call your representative today at Midas Resources at 800-686-2237.
[00:22:55.561 --> 00:23:00.145]  Learn how to protect your assets with real wealth, not potentially worthless paper.
[00:23:00.525 --> 00:23:01.346]  Call now, 800-686-2237.
[00:23:01.386 --> 00:23:01.586]  That's 800-686-2237.
[00:23:10.433 --> 00:23:14.335]  Have you found your business isn't quite as profitable as it was before the economy went south?
