[00:00:00.089 --> 00:00:01.070]  Again, I'm Alex Jones.
[00:13:20.076 --> 00:13:25.399]  And they were responsible for getting the Endangered Species Act passed way back during the Nixon administration.
[00:13:25.919 --> 00:13:26.839]  But it was very interesting.
[00:13:26.859 --> 00:13:30.621]  They were talking about, they said this, and I think you'll get the gist of it real quick.
[00:13:31.081 --> 00:13:32.442]  And it goes along with what you said, Alex.
[00:13:33.010 --> 00:13:38.475]  They said, what we must do is fight the fascists who want a new world order.
[00:13:38.855 --> 00:13:54.188]  What we must do is make sure we have a world order with a world food authority, and a world environmental authority, so that we can have global control, but take it out of the hands of the corporations.
[00:13:54.908 --> 00:14:01.614]  Now, at the same time, I noticed in the very magazine that they were interviewed, these guys were interviewed about their book, I read their book too,
[00:14:03.166 --> 00:14:08.657]  In one of the environmental magazines, all of the ads in there were for the Sierra Club, Greenpeace, etc.
[00:14:09.582 --> 00:14:15.248]  And you know, Alex, and I know, every one of these radical left-wing organizations.
[00:14:15.408 --> 00:14:16.969]  Big Fortune 500 sponsors.
[00:14:17.029 --> 00:14:17.510]  That's right.
[00:14:17.670 --> 00:14:23.496]  You know, the Exxon is probably one of the biggest contributors to all of these environmental groups.
[00:14:23.596 --> 00:14:26.719]  Dutch Rochelle and National Geographic.
[00:14:26.739 --> 00:14:28.481]  It's all land-grabbing propaganda.
[00:14:28.501 --> 00:14:32.545]  So this is setting up feudalism, calling it environmentalism.
[00:14:33.135 --> 00:14:33.475]  That's right.
[00:14:33.515 --> 00:14:35.337]  So we have the Hegelian process.
[00:14:36.017 --> 00:14:42.661]  We have one side, the left, supposedly fighting the right for fascist, communist control.
[00:14:43.642 --> 00:14:49.466]  And of course, the synthesis will be that we will have a, as Hitler did.
[00:14:49.486 --> 00:14:53.969]  You know, Hitler, everybody claimed, oh my goodness, he's right wing.
[00:14:54.489 --> 00:14:56.790]  But of course, he called himself National Socialist.
[00:14:57.091 --> 00:14:59.132]  Well, that would seem to be left wing.
[00:15:00.319 --> 00:15:03.762]  And he used his ideas from the Jesuits and the Communists.
[00:15:04.162 --> 00:15:14.589]  In fact, you know, in Hitler's Germany, if you were a former member of the Communist Party, you were given very quick advances if you left that and joined the Nazi Party.
[00:15:14.909 --> 00:15:17.751]  He wanted Communists to become Nazis.
[00:15:17.771 --> 00:15:19.112]  They were the best of the Nazis.
[00:15:20.479 --> 00:15:21.340]  Absolutely.
[00:15:21.360 --> 00:15:23.981]  See, folks, they give you a false choice.
[00:15:24.001 --> 00:15:25.942]  You want fascist or socialist world government.
[00:15:26.482 --> 00:15:28.503]  And the arms go back to the same body.
[00:15:29.044 --> 00:15:30.724]  Open your eyes, get outside the box.
[00:15:31.145 --> 00:15:34.686]  Tex Mars, I want to talk about your new film about concentration camps when we get back.
[00:15:34.987 --> 00:15:35.687]  Stay with us, folks.
[00:15:41.730 --> 00:15:42.250]  Welcome back.
[00:15:42.270 --> 00:15:44.611]  We're talking to my good friend Tex Mars.
[00:15:45.352 --> 00:15:49.314]  Best-selling author, expert on the New World Order, has a very deep understanding of it.
[00:15:50.080 --> 00:15:55.963]  A lot of the right-wing or libertarian or patriotic groups out there only see one angle of the prism.
[00:15:56.003 --> 00:15:59.505]  You've got to look at it from all different angles to really understand what they're doing.
[00:15:59.525 --> 00:16:07.008]  Tex, in my film, The Road to Tyranny and The Masters of Terror, I get into the camps, the FEMA camps, the public admissions, the Senate hearings.
[00:16:07.028 --> 00:16:11.231]  This is not a theory, but people never get the documentation for themselves.
[00:16:12.091 --> 00:16:17.914]  And if people want to get my videos, and they really should get The Masters of Terror and The Road to Tyranny in my book, The Descent into Tyranny,
[00:16:18.562 --> 00:16:20.643]  They can call toll free right now to get them.
[00:16:20.663 --> 00:16:25.084]  If you want to educate folks in your area, it's so important at 1-888-253-3139 or order online at infowars.com or net.
[00:16:25.104 --> 00:16:27.524]  That's 888-253-3139 or just write to me, Alex Jones,
[00:16:39.947 --> 00:16:49.311]  At 3001 South Lamar, L-A-M-A-R, Suite 100, Austin, Texas, 78704.
[00:16:49.371 --> 00:16:52.292]  The films are all over two hours long, $25.95 a piece.
[00:16:52.412 --> 00:16:54.272]  Order three or more, they drop down to $20.
[00:16:54.332 --> 00:16:55.833]  They're great pools.
[00:16:55.873 --> 00:17:00.095]  But Tex, you've written incredible books, and you've made some films.
[00:17:00.135 --> 00:17:08.838]  The new one is about the history, about an hour and a half long, of concentration camps, the new world order, and then what's happening currently
[00:17:09.438 --> 00:17:17.625]  I want to talk about that over the next 30 minutes or so, but tell me about your new film, because I've seen it and it's excellent, but tell the listeners about it.
[00:17:18.166 --> 00:17:20.448]  Well Alex, it's called Gulag, USA.
[00:17:21.168 --> 00:17:23.110]  Concentration Camps in America.
[00:17:24.091 --> 00:17:29.095]  And yes, what we do is, we start off by looking at the history of concentration camps.
[00:17:29.614 --> 00:17:39.303]  Of course, most people very infamously point to the Nazi camps, and I don't have any problem with that, except that they were not the first at all.
[00:17:39.683 --> 00:17:45.489]  But we can go back in history, of course, we can even look at the Civil War of the United States, when both the North and the South
[00:17:46.064 --> 00:17:52.389]  Had POW counts that turned into pretty good precursors of Hitler's death counts.
[00:17:52.709 --> 00:17:53.310]  But there's more.
[00:17:53.330 --> 00:18:00.455]  There's what the British did with some of the colonial counts during the Boer War and such that they had.
[00:18:01.036 --> 00:18:13.225]  And then we had Operation Phoenix, or the Phoenix Program it's called, by the CIA, where we literally set up a program of assassination, torture, and with counts
[00:18:13.826 --> 00:18:17.089]  And innocent people with nothing more than, let's say, nosy neighbors.
[00:18:17.309 --> 00:18:22.873]  They used the zoo there in Southern Vietnam to torture people.
[00:18:23.534 --> 00:18:24.435]  They did, in fact.
[00:18:24.455 --> 00:18:28.898]  It had been closed up, so they just put people in these cages and such.
[00:18:29.299 --> 00:18:33.442]  It sort of makes you think of what's going on there at Guantanamo Bay.
[00:18:33.882 --> 00:18:40.728]  And I believe that already there's no reason for us to have flown these so-called Al-Qaeda terrorists
[00:18:41.309 --> 00:18:41.609]  I think so.
[00:19:02.006 --> 00:19:13.611]  Of secluding and isolating such people as... Did you hear the New York Post, sort of the AP, announced that General Baucus, Brigadier General, the head of the camp, resigned, refused to torture them?
[00:19:13.631 --> 00:19:15.933]  No, I didn't know that.
[00:19:15.953 --> 00:19:19.654]  That happened about three months ago, it was in a few articles, never heard about it on the nightly news.
[00:19:20.195 --> 00:19:31.560]  They're going to, and I think they're already doing this now, they're developing a cadre, they're giving psychological tests to soldiers and such, so that they can get a cadre of men
[00:19:32.598 --> 00:19:34.879]  Uh, who are willing to torture.
[00:19:35.340 --> 00:19:37.001]  It is true, the average U.S.
[00:19:37.501 --> 00:19:59.894]  fighting man, and thank God for people like General Bacchus, will refuse to kill, General Bacchus, will refuse to kill resisters, will refuse to kill their fellow Americans, to torture them, to put them in such camps, and so they're going to have to either bring in foreign troops, and of course they're doing that, and you've documented that very well in your tremendous videos,
[00:20:00.556 --> 00:20:03.597]  And that's why we have so many training camps set up in America.
[00:20:03.857 --> 00:20:08.979]  The newest one called Ground Zero in Alabama by the CIA, FBI, military.
[00:20:09.499 --> 00:20:11.999]  And then of course we have... Uh, Tex, stay there.
[00:20:12.140 --> 00:20:12.460]  Alright.
[00:20:12.540 --> 00:20:13.520]  Third hour coming up.
[00:20:13.560 --> 00:20:14.980]  Tex will be with us for 30 minutes.
[00:20:15.961 --> 00:20:19.802]  And we'll give out his websites, phone numbers, and all that key information.
[00:20:20.542 --> 00:20:23.663]  Or you can just go to conspiracyworld.com.
[00:20:24.203 --> 00:20:25.143]  Powerful website.
[00:20:25.163 --> 00:20:26.964]  We'll be right back with details.
[00:20:30.422 --> 00:20:36.424]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:20:36.444 --> 00:20:40.086]  It's Alex Jones and the GCN Radio Network.
[00:20:48.149 --> 00:20:52.311]  We're talking to best-selling author, Air Force officer veteran,
[00:20:54.600 --> 00:20:56.741]  Professor, pastor, you name it.
[00:20:56.821 --> 00:20:59.263]  Tex Meyers, my good friend, who lives right here in Austin, Texas.
[00:20:59.303 --> 00:21:13.571]  Tex, over a year ago, or right around a year ago, married myself and my wife, and I'm always thankful for that, and he's made a new powerful film, Gulag America, Concentration Camps in America, and we're going over this.
[00:21:13.731 --> 00:21:21.936]  We're going over some of the history of this, back to the Civil War, the Boer War in South Africa, and examples of the Communists, the Nazis, the rest of them, but
[00:21:22.696 --> 00:21:32.402]  You were talking about Camp X-Ray, which is just where they do some of the light-level torture, though the general over that, General Bacchus, did quit about three months ago, refusing to go along with that, according to the Associated Press.
[00:21:32.702 --> 00:21:34.223]  Then you talked about some of the new camps.
[00:21:34.243 --> 00:21:40.667]  Newsmax reported what FEMA put out about six months ago, the order for three one-million-man camps.
[00:21:41.607 --> 00:21:43.408]  And you were talking about one in Alabama.
[00:21:43.448 --> 00:21:43.869]  Go ahead.
[00:21:44.569 --> 00:21:47.991]  Well, of course, that's Ground Zero, where they're training terrorists
[00:21:48.955 --> 00:22:01.401]  Uh, and if there's no doubt, one of the reports came out from Fox News, and it was probably buried, that up to 3,000 former Iraqi soldiers have been trained there, as well as the two snipers.
[00:22:02.428 --> 00:22:09.932]  Uh, and you know, all of that was a setup with Manchurian candidates and Chief Moose being involved in the cover-up as well.
[00:22:10.292 --> 00:22:24.098]  Well, I saw an article about six years ago about an Alabama government training center and the neighbors said, we like them, they come in and buy dinner at the restaurants and there's bombs going off and buses with blacked out windows and lots of Arab men.
[00:22:25.139 --> 00:22:26.079]  These are the terrorists.
[00:22:26.219 --> 00:22:26.599]  Go ahead.
[00:22:27.440 --> 00:22:29.621]  They are the terrorists and we've been bringing these people in.
[00:22:30.437 --> 00:22:37.654]  Uh, and we've also been training, of course, the Iraqis that came to America after the first Persian Gulf War.
[00:22:38.508 --> 00:22:40.589]  And you know, you've exposed these things.
[00:22:41.329 --> 00:22:47.572]  The Foreign Language Institute in California, where the Air Force Colonel said that Mohammed Atta was trained there.
[00:22:48.312 --> 00:22:57.336]  Pensacola Naval Air Station, where at least five of the so-called 9-11 hijacker terrorists were trained to fly.
[00:22:57.416 --> 00:23:05.380]  The flight schools, run evidently by CIA Mossad-type operatives,
[00:23:06.227 --> 00:23:06.747]  I don't know.
[00:23:22.581 --> 00:23:23.521]  I believe this is a setup.
[00:23:23.541 --> 00:23:24.362]  What they're doing is preparing us.
[00:23:24.382 --> 00:23:26.222]  They realize that not every local
[00:23:40.561 --> 00:23:46.965]  A law enforcement agent can be bought off or bullied into going along with this.
[00:23:47.365 --> 00:23:56.371]  There is the great possibility that the Mossad assassination teams will be caught by local police, sheriffs, chiefs of police and such.
[00:23:57.252 --> 00:23:59.493]  And then they cannot control the situation.
[00:24:00.093 --> 00:24:04.376]  And what they're trying to tell America is, okay, we're going to go in and kill some of you Americans.
[00:24:05.057 --> 00:24:08.899]  But when we do, and if we get caught by your local law enforcement,
[00:24:09.418 --> 00:24:11.679]  Meaning that the FBI, of course, would let them go.
[00:24:11.699 --> 00:24:13.040]  They've already legitimized it.
[00:24:13.280 --> 00:24:14.180]  They've legitimized it.
[00:24:14.200 --> 00:24:18.602]  They've said, what we're really doing is killing people that are having terrorism.
[00:24:19.003 --> 00:24:26.166]  And we're doing your government a favor by getting rid of the scum of the earth.
[00:24:26.506 --> 00:24:30.908]  So that the American people, when they see this, they'll say, oh, well, thank God for the Israeli Mossad.
[00:24:31.128 --> 00:24:32.949]  We're glad that they're killing Americans.
[00:24:33.529 --> 00:24:34.750]  This is what is coming up.
[00:24:35.350 --> 00:24:38.372]  And, of course, pretty soon people will be approving.
[00:24:38.412 --> 00:24:38.992]  You will see
[00:24:39.588 --> 00:24:41.049]  Articles in the New York Times.
[00:24:41.069 --> 00:24:48.831]  You know, the same people you're mentioning, uh, the lawyers who are crying out, yes, let us, let us actually legalize torture.
[00:24:49.331 --> 00:24:51.712]  We need to torture suspects to get the money.
[00:24:51.772 --> 00:24:53.072]  Alan Dershowitz.
[00:24:53.092 --> 00:24:53.732]  Yeah, that's exactly.
[00:24:53.752 --> 00:24:55.493]  Of course, he was connected with O.J.
[00:24:55.553 --> 00:24:57.174]  Evidently, he didn't see anything wrong with O.J.
[00:24:57.194 --> 00:25:00.314]  killing, uh, uh, you know, a couple of people there.
[00:25:00.375 --> 00:25:04.996]  So, uh, he doesn't, he's not going to see anything wrong with torturing, uh, people.
[00:25:06.328 --> 00:25:08.070]  But we're going to see this coming up.
[00:25:08.350 --> 00:25:11.512]  But when we come back, maybe we can talk more about even Jim Jones.
[00:25:12.493 --> 00:25:18.357]  Was he, in fact, head of a concentration camp patterned after the CIA's Operation Phoenix?
[00:25:18.657 --> 00:25:21.339]  Stay right there, and we got a bunch of calls here for you.
[00:25:21.359 --> 00:25:23.280]  Text toll-free number to join us on air.
[00:25:23.300 --> 00:25:27.823]  1-800-259-9231 and fullwars.com.
[00:25:28.664 --> 00:25:30.885]  He's the T-Rex of political talk.
[00:25:31.446 --> 00:25:34.248]  Alex Jones on the GCN Radio Network.
[00:25:37.085 --> 00:25:48.294]  We're talking to Tex Mars, joining us from here in Austin, Texas, my good friend, an expert, one of the top experts in the world, not on speculation, but on facts, because it's all hidden in plain view.
