[00:00:00.487 --> 00:00:05.530]  The Genesis Communications Radio Network proudly presents The Alex Jones Show.
[00:03:35.604 --> 00:03:38.805]  Attorney and kept pushing him and pushing him.
[00:03:38.825 --> 00:03:44.566]  Well, here you are, a woman in Florida who's got more courage than these other so-called good cops.
[00:03:44.626 --> 00:03:45.867]  And I'm tired of the cowardice.
[00:03:45.907 --> 00:03:56.169]  I'm tired of women and children and men in our communities having to go out and do all the work when so many so-called good officers stand by and let this stuff happen.
[00:03:56.769 --> 00:04:00.390]  Yes, that's exactly what was happening here in Miami.
[00:04:01.328 --> 00:04:07.870]  You know, the whole department really has become corrupt because I believe in guilt by omission and omission.
[00:04:08.391 --> 00:04:13.913]  If you know it's happening and you don't come forth and say something about it, then you too are guilty as far as I'm concerned.
[00:04:13.933 --> 00:04:15.673]  Well, it's called being compromised.
[00:04:16.294 --> 00:04:16.454]  Right.
[00:04:16.734 --> 00:04:26.757]  That's the first thing corrupt detectives will do is try to get you to take some drugs or stolen jewelry to get you compromised, then they can trust you and move you into the next level.
[00:04:28.038 --> 00:04:29.979]  Now, I want to point out something here to you.
[00:04:31.656 --> 00:04:41.601]  If you research the Constitution and Civil Rights and God-Given Rights, the term Civilian Review Board, since when are police and our elected officials the military?
[00:04:42.321 --> 00:04:48.304]  And that means we're under military law, which is how they're getting the Patriot Act through and all this.
[00:04:48.804 --> 00:05:03.454]  I would ask, I would try to get the name change to Citizen Review Board instead of Civilian Review Board, because last time I checked, the public officials are servants, not military occupation leaders.
[00:05:04.455 --> 00:05:09.899]  Well, we kicked the name around quite a bit in what name we would come up with.
[00:05:09.959 --> 00:05:17.504]  We had several names, and Citizen was one of them, and we ended up with Civilian Review Panel.
[00:05:18.223 --> 00:05:20.997]  Which is to be made up of ordinary citizens.
[00:05:21.881 --> 00:05:23.702]  Within the city of Miami.
[00:05:23.743 --> 00:05:38.153]  But what I'm saying is, you know, inside an occupied city, say in occupied Germany or Japan, they would have citizen review boards about soldiers raping and killing and it was called civilian review boards and this has been suggested by government.
[00:05:38.253 --> 00:05:42.416]  Oh, we'll call it civilian review board and nice people like yourself picked that up.
[00:05:42.456 --> 00:05:45.458]  I would investigate that term and what that means.
[00:05:46.158 --> 00:05:48.660]  You probably heard about how they want to get rid of posse comitatus and
[00:05:48.920 --> 00:05:49.460]  We're good to go.
[00:06:04.567 --> 00:06:06.749]  They're getting ready for it, just for general crimes.
[00:06:06.869 --> 00:06:10.692]  I'd watch out, because down the road, it means big trouble.
[00:06:11.692 --> 00:06:14.194]  Because under military rule, you don't have any rights.
[00:06:14.915 --> 00:06:20.439]  So, in this particular case, with the planting of the guns and the drugs, what happened?
[00:06:20.459 --> 00:06:22.820]  Well, they're getting ready now to go to trial.
[00:06:23.801 --> 00:06:26.603]  They're in the process now of going to trial for all of that.
[00:06:29.945 --> 00:06:31.947]  They're right now selecting a jury.
[00:06:32.580 --> 00:06:36.363]  And then after they get the jury seated, then they're going to go into the actual trial.
[00:06:39.526 --> 00:06:42.909]  But as far as anything happening, nothing has happened so far.
[00:06:43.109 --> 00:06:48.114]  Well, we have officers, and the evidence clearly shows, and the paper comes right out with it.
[00:06:48.714 --> 00:06:55.100]  What are the officers, the two that blew the whistle on the other 11, what are they allegedly, what are they saying allegedly happened?
[00:06:56.081 --> 00:06:57.382]  The ones that blew the whistle?
[00:06:58.102 --> 00:06:58.403]  Yes.
[00:06:59.821 --> 00:07:01.342]  Well, you know, they gave their story.
[00:07:01.362 --> 00:07:03.983]  They're going to be testifying for the government.
[00:07:04.003 --> 00:07:06.824]  They're going to be witnesses for the government.
[00:07:07.704 --> 00:07:17.588]  And, I mean, I've got some detail here in the article, but they're saying that in cases of multiple shootings of unarmed folks, they would plant guns.
[00:07:17.628 --> 00:07:19.029]  Can you give us any more detail on that?
[00:07:20.609 --> 00:07:26.732]  No, not really, because that's basically, you know, that's basically what we know, what we've been told, that
[00:07:27.344 --> 00:07:37.048]  In many of these instances where they have shot people and for whatever reason they shot them, then they go back and plant these rubbers to cover up for themselves.
[00:07:38.348 --> 00:07:40.649]  Certainly they were not in fear of their lives.
[00:07:42.290 --> 00:07:43.671]  Did they shoot the wrong person?
[00:07:43.711 --> 00:07:48.212]  I mean it just for a while it began to seem like just open target practice here in Miami.
[00:07:48.713 --> 00:07:49.753]  We just shoot people.
[00:07:50.113 --> 00:07:51.754]  And of course when you shoot, you shoot to kill.
[00:07:52.621 --> 00:07:58.423]  There have been many innocent people who have gotten shot who had no weapons.
[00:07:58.643 --> 00:08:01.304]  Well, they also like to spray nearby houses.
[00:08:02.284 --> 00:08:12.607]  And with hundreds of rounds in some of the cases in Miami and around the country, I know that they then use the statistics of people shot to death as part of their statistics of the people that have been killed by guns.
[00:08:13.467 --> 00:08:14.488]  It's just amazing.
[00:08:14.508 --> 00:08:16.288]  And a lot of cops kill their own officers.
[00:08:16.328 --> 00:08:17.669]  Have you had any of that in Miami?
[00:08:17.689 --> 00:08:19.029]  Because we've had a lot of that here in Austin.
[00:08:19.389 --> 00:08:19.629]  No.
[00:08:19.989 --> 00:08:21.470]  No, I'm not aware of any of that.
[00:08:22.162 --> 00:08:25.463]  I'm not aware of not even one instance where a cop shot another cop.
[00:08:27.584 --> 00:08:29.984]  It happens on a lot of SWAT team raids.
[00:08:31.065 --> 00:08:40.807]  In the last year, Lubbock, Austin, Houston, Fort Worth, it's been happening in every city really.
[00:08:41.427 --> 00:08:50.590]  Yes, well I'm not aware of that, but I will say this, that it's rather harmonic now that we've got the
[00:08:51.328 --> 00:08:53.949]  Civilian Investigative Panel is about to be seated.
[00:08:53.969 --> 00:09:02.310]  Since we've passed and gotten this into, gotten this panel established, we haven't had these shootings.
[00:09:03.831 --> 00:09:11.452]  So it's a testament to what getting involved, having courage, blowing the whistle, standing up, what it can do.
[00:09:12.332 --> 00:09:12.912]  Exactly.
[00:09:13.072 --> 00:09:14.513]  Because now we haven't had any.
[00:09:15.433 --> 00:09:17.453]  Does your organization have a website?
[00:09:18.354 --> 00:09:18.554]  No.
[00:09:19.554 --> 00:09:20.574]  We don't have a website.
[00:09:21.420 --> 00:09:26.744]  How long has your organization been working to finally put the spotlight on these shootings?
[00:09:28.025 --> 00:09:43.736]  Well, now the organization came into being back in the early 80s, 1981, following a riot that was following what we refer to as the MacDuffett Riot, where an insurance guy was shot and killed by police officers.
[00:09:44.577 --> 00:09:50.261]  And it created a riot, so this organization came into being as a result of that.
[00:09:51.329 --> 00:10:02.918]  And as far as the new oversight board, we began to work on that in May of last year and putting that board together.
[00:10:03.458 --> 00:10:13.085]  Attempts had been made previously back in the early 90s to put in such a board, but we weren't able to get it into being.
[00:10:13.305 --> 00:10:19.129]  Well, I think it's a natural response to riot when somebody who's unarmed gets shot 120-something times in the back.
[00:10:20.979 --> 00:10:22.400]  One of the cases here in the paper.
[00:10:23.061 --> 00:10:28.545]  Yeah, there was one guy who was shot 122 times.
[00:10:28.565 --> 00:10:36.191]  In fact, in L.A., they shot one guy so many times, like 500 times, his body disintegrated.
[00:10:36.211 --> 00:10:37.112]  It was like jello.
[00:10:37.152 --> 00:10:44.177]  I don't mean to get too descriptive, but did you hear about the street teams, the special anti-gang teams in L.A.? ?
[00:10:46.747 --> 00:10:47.608]  I think we lost her.
[00:10:47.628 --> 00:10:48.468]  No, I'm here.
[00:10:48.709 --> 00:10:49.089]  Oh, great.
[00:10:49.509 --> 00:10:51.271]  Must have been somebody calling you.
[00:10:51.651 --> 00:10:59.798]  That ran the cocaine, that ran the heroin, that ran the prostitution, and gave each other awards for shooting innocent people.
[00:10:59.818 --> 00:11:00.578]  Did you hear about that?
[00:11:00.598 --> 00:11:03.201]  I hear about so many.
[00:11:03.221 --> 00:11:06.563]  I probably did, but I just can't pinpoint it right this moment.
[00:11:06.804 --> 00:11:12.668]  Well, this shows premeditation to a level where they're criminal gangs giving each other awards for killing people.
[00:11:12.789 --> 00:11:13.990]  You said this is in L.A.?
[00:11:14.310 --> 00:11:14.610]  Yes.
[00:11:15.211 --> 00:11:15.791]  Oh, my goodness.
[00:11:17.844 --> 00:11:19.905]  They give each other awards for killing somebody?
[00:11:20.185 --> 00:11:23.667]  Yeah, that was three years ago, and by the way, they just dropped all the indictments.
[00:11:23.727 --> 00:11:28.850]  They admit it happened, they admit they did all this, but they just went ahead and dropped all the charges after everybody forgot about it.
[00:11:31.172 --> 00:11:35.094]  I guess that's kind of a tactic, drag out these investigations until no one gets charged.
[00:11:35.134 --> 00:11:36.675]  Yes, that's another thing, too.
[00:11:36.735 --> 00:11:39.737]  It just drags out forever, and then you don't hear about it anymore.
[00:11:40.777 --> 00:11:45.220]  Best Michael Roy, thank you so much for joining us, and thank you for your courage, ma'am.
[00:11:45.240 --> 00:11:45.961]  Thank you.
[00:11:46.301 --> 00:11:46.842]  God bless.
[00:11:46.862 --> 00:11:49.303]  Alright, I'm gonna come back, I'm gonna take some calls.
[00:11:50.424 --> 00:11:58.190]  Then I'm going to hit some other news from around the world, and we got another guest coming on where you go into a bar, haven't even drunk a beer yet, and they arrest you.
