[00:00:12.412 --> 00:00:18.074]  He aligns himself with the truth, and it's time for you to choose a side.
[00:06:07.434 --> 00:06:12.437]  When bacteria infects your gums, it can enter your bloodstream and even contribute to blood clots and heart attacks.
[00:06:12.717 --> 00:06:20.021]  That's why the last Surgeon General's report on oral health warns that your oral health can have a serious impact on your entire body.
[00:06:20.021 --> 00:06:23.202]  Super Blue Fluoride-Free Toothpaste is a groundbreaking new formula.
[00:06:23.202 --> 00:06:27.084]  It's loaded with good halogen iodine instead of the bad halogen fluoride.
[00:06:27.084 --> 00:06:34.247]  Super Blue contains natural oils and ingredients used since biblical times to help wipe out bad bacteria and eliminate bad breath.
[00:06:34.247 --> 00:06:39.630]  Just some of the ingredients in Super Blue chosen by our dental experts include xylitol, peppermint oil,
[00:06:39.910 --> 00:06:40.830]  I don't know.
[00:06:59.710 --> 00:07:10.278]  You're investing in your health and supporting the InfoWar when you visit InfoWarsLife.com and purchase your supply of Survival Shield X2 Nation Iodine and all the great products at InfoWarsLife.com.
[00:07:10.278 --> 00:07:16.182]  As you know, we've talked to pharmacists, chemists, doctors, researchers, scientists, and the answer is clear.
[00:07:16.182 --> 00:07:18.063]  Iodine is key, is paramount.
[00:07:18.063 --> 00:07:18.443]  I don't know.
[00:07:33.134 --> 00:07:36.255]  We also screen our iodine for radiation before bottling.
[00:07:36.255 --> 00:07:39.076]  It is the purest, cleanest, strongest out there.
[00:07:39.076 --> 00:07:52.000]  Quite frankly, I'm flattered that with the launch of Survival Shield nascent iodine, that major brands and major companies have been knocking down our doors to get our formula and that they have been unable to come up with anything even close to what we have.
[00:07:52.000 --> 00:07:58.943]  It is exclusive to Infowarslife.com and the Infowarslife family of incredible products.
[00:08:14.059 --> 00:08:25.766]  If you are receiving this transmission, you are the resistance.
[00:08:25.766 --> 00:08:27.828]  Hollywood, Babylon.
[00:08:27.828 --> 00:08:31.650]  Hollywood, Babylon.
[00:08:31.650 --> 00:08:32.971]  Hollywood, Babylon.
[00:08:34.721 --> 00:08:35.861]  Babylon has fallen.
[00:08:35.861 --> 00:08:40.143]  A lot of big reports coming out, even from Variety and Vanity Fair.
[00:08:40.143 --> 00:08:41.283]  Hollywood is crumbling.
[00:08:41.283 --> 00:08:42.884]  Hollywood is rotting.
[00:08:42.884 --> 00:08:45.265]  Hollywood is falling apart.
[00:08:45.265 --> 00:09:00.690]  And as it crumbles and collapses, it's falling into the arms of the loving, bloodthirsty, ultra-vampiric, international, global, world champions of mass murder, organ harvesting, and baby parts selling.
[00:09:03.078 --> 00:09:12.084]  Imagine I'm here on the collapsing delusional left coast as it falls under communist Chinese dominion.
[00:09:12.084 --> 00:09:17.907]  Well, ladies and gentlemen, there is a lot to break down, a lot to cover today.
[00:09:17.907 --> 00:09:19.308]  Probably really should take this phone call.
[00:09:19.308 --> 00:09:21.129]  Buckley, please take that phone call in the other room.
[00:09:21.129 --> 00:09:22.990]  I can't ignore that person who just called.
[00:09:22.990 --> 00:09:25.352]  Let's close the door there, thanks.
[00:09:25.352 --> 00:09:30.195]  We are here, I have to say, very, very thankful
[00:09:31.988 --> 00:09:41.012]  For the position we're in with Trump fulfilling yet another promise in a royal flush Trump fashion.
[00:09:41.012 --> 00:09:53.437]  Judge Neil Gorsuch is probably even more conservative and strict constructionist when it comes to Constitution than his mentor, his hero, Antonin Scalia.
[00:09:55.538 --> 00:09:57.900]  So this is a big, big deal.
[00:09:57.900 --> 00:10:02.385]  He picked the most conservative constitutionalist of the three.
[00:10:02.385 --> 00:10:06.709]  And the guy's in good shape and is also very young.
[00:10:08.297 --> 00:10:10.698]  So he can definitely stay on the bench 25, 30 years.
[00:10:10.698 --> 00:10:21.244]  This is a devastating victory against tyranny, a huge victory against oppressors that would take our guns, attack our families, and try to overthrow property rights in this country.
[00:10:21.244 --> 00:10:26.306]  This is an absolute victory that really should be celebrated with champagne.
[00:10:26.306 --> 00:10:30.489]  Now, he hasn't gotten confirmed yet, but I gotta say, Trump continues to impress.
[00:10:30.489 --> 00:10:35.992]  This judge was unanimously confirmed to the federal bench more than a decade ago, and
[00:10:37.065 --> 00:10:47.430]  Now the very same Democrats that unanimously confirmed him are running around saying that they're going to try to block him other than Dick Durbin, who says nothing has changed.
[00:10:47.430 --> 00:10:56.474]  Let's play a clip here of who will hopefully be the new Supreme Court Justice to fill the gap for Anthony Scalia, his friend and mentor.
[00:10:56.474 --> 00:10:58.495]  Let's go to President Trump.
[00:10:58.495 --> 00:10:59.636]  Has a nice ring to it, doesn't it?
[00:11:04.321 --> 00:11:08.825]  And 20 has a good ring.
[00:11:08.825 --> 00:11:12.588]  Yes, I've got some announcements on that front soon as well.
[00:11:12.588 --> 00:11:23.498]  But right now, let's go ahead and go to the President.
[00:11:23.498 --> 00:11:25.840]  Oh, it's me making the announcement?
[00:11:25.840 --> 00:11:27.582]  I'm totally confused here.
[00:11:29.161 --> 00:11:29.962]  I know I'm on the road.
[00:11:29.962 --> 00:11:30.462]  It's fine.
[00:11:30.462 --> 00:11:31.283]  I'm on the road.
[00:11:31.283 --> 00:11:34.206]  You guys can just talk to me on air if you'd like.
[00:11:34.206 --> 00:11:44.197]  I have a bunch of clips here on my list, and I wanted to play the clip that Trump announced his new court pick.
[00:11:44.197 --> 00:11:46.259]  So, I'm going to give you guys a time out.
[00:11:46.259 --> 00:11:49.262]  Play one of the special reports from Paul Watson.
[00:11:49.262 --> 00:11:49.703]  Can we do that?
[00:11:50.845 --> 00:11:51.745]  Let's do that.
[00:11:51.745 --> 00:11:59.308]  Given that the left has embraced Islamism to such a degree that they're now basically one and the same thing, I've got a few questions.
[00:11:59.308 --> 00:12:08.212]  If banning people from countries because of their religion is bad, then why do 16 Muslim countries ban Israelis because of their religion?
[00:12:08.212 --> 00:12:14.414]  If Islam is culturally compatible with the West, why do 11 Muslim countries still execute gay people?
[00:12:14.594 --> 00:12:22.837]  If Islam is culturally compatible with the West, why do the majority of Muslims living in the UK think that homosexuality should be criminalised?
[00:12:22.837 --> 00:12:34.701]  If Islam is culturally compatible with the West, why do supposedly modern Muslim countries like the United Arab Emirates detain, harass and threaten transgender people when they try to enter the country?
[00:12:34.901 --> 00:12:47.325]  If Islam is culturally compatible with the West, why do you have something literally called The Rape Game, Tehrash Kameer, and something called Bacha Bazi, where old men have sex with young boys?
[00:12:47.325 --> 00:12:55.267]  Why do you fail to speak out against Islamic terrorism, yet organize mass protests when someone draws a cartoon of Muhammad?
[00:12:55.267 --> 00:12:58.568]  Why do you complain about all Muslims being blamed for radical Islam?
[00:12:58.888 --> 00:13:04.391]  Then shout down and intimidate ex-Muslims who speak out against radical Islam.
[00:13:04.391 --> 00:13:14.495]  Why do you insist that all Muslims shouldn't be collectively blamed for terrorism, but then collectively blame all Westerners for the actions of our governments in Muslim countries?
[00:13:14.495 --> 00:13:21.118]  Why do you insist that Islam is a religion of peace, and then threaten to kill me when I say it isn't?
[00:13:21.118 --> 00:13:24.880]  If Islam is a religion of peace, why does the Quran contain 109 passages
[00:13:26.681 --> 00:13:30.224]  that call for Muslims to wage war against non-believers.
[00:13:30.224 --> 00:13:38.010]  If Islam is a religion of peace, why do police keep finding huge caches of military grade weapons in mosques across Europe?
[00:13:38.010 --> 00:13:43.535]  If Islam is a religion of peace, why do significant numbers of Muslims living in the West
[00:13:43.815 --> 00:13:45.556]  Support suicide bombings.
[00:13:45.556 --> 00:13:50.740]  If Islam is a religion of peace, why is there no popular Muslim peace movement?
[00:13:50.740 --> 00:14:01.246]  If Islam is a religion of peace, why do I routinely receive messages from Muslims who agree with me, but who are afraid to speak out for fear of being killed?
[00:14:01.246 --> 00:14:05.349]  If terrorism is all just a backlash against Western foreign policy,
[00:14:05.709 --> 00:14:09.214]  Why are most victims of terrorism other Muslims?
[00:14:09.214 --> 00:14:19.546]  Why do you constantly invoke the Crusades, a 600-year-old defensive war, to make apologies for modern-day Islamic terrorism?
[00:14:19.546 --> 00:14:20.828]  That's not an argument.
[00:14:20.828 --> 00:14:21.789]  Not an argument.
[00:14:21.789 --> 00:14:22.610]  It's not an argument.
[00:14:22.610 --> 00:14:24.272]  It's not an argument.
[00:14:29.071 --> 00:14:32.616]  Why do you complain about France banning the burkini?
[00:14:32.616 --> 00:14:40.566]  When if Western women visited beaches in Islamic countries wearing what they wanted to wear, they'd be attacked and imprisoned.
[00:14:40.566 --> 00:14:44.430]  Why do you try to shout down criticism of Islam by calling it racist?
[00:14:45.371 --> 00:14:53.376]  When Islam isn't a race, why after every Islamic terror attack is your primary concern a backlash against Muslims?
[00:14:53.376 --> 00:15:00.781]  Like if a far-right troll kills Muslims, should our primary concern be a backlash against far-right trolls?
[00:15:00.781 --> 00:15:10.867]  If the West is so selfish for not taking in enough Syrian refugees, why have the five wealthiest Muslim countries taken in virtually no Syrian refugees?
[00:15:10.867 --> 00:15:11.527]  If the West is so
[00:15:11.587 --> 00:15:14.855]  You're so evil, oppressive, and islamophobic.
[00:15:14.855 --> 00:15:17.301]  Why do 50 million of you live here?
[00:15:25.950 --> 00:15:26.310]  All right.
[00:15:26.310 --> 00:15:27.091]  Great job, crew.
[00:15:27.091 --> 00:15:28.131]  Again, I'm on the road.
[00:15:28.131 --> 00:15:32.915]  They try to go over the video list with me that we compiled together, but a lot of its videos they pull up.
[00:15:32.915 --> 00:15:40.780]  And I thought it was a clip of the president announcing the new pick yesterday and part of that presser that I want to play some of coming up.
[00:15:40.780 --> 00:15:43.241]  Instead, it was me announcing it last night on Facebook.
[00:15:43.241 --> 00:15:44.422]  That's what he's saying.
[00:15:44.422 --> 00:15:44.963]  It's you.
[00:15:44.963 --> 00:15:46.704]  I'm like, go to this clip of the president.
[00:15:46.704 --> 00:15:48.345]  I hear him going, it's you.
[00:15:48.345 --> 00:15:49.065]  I'm like, what?
[00:15:49.065 --> 00:15:49.706]  It's me.
[00:15:49.706 --> 00:15:51.027]  Go to the clip of the president.
[00:15:51.027 --> 00:15:52.888]  So that's what these live shows are.
[00:15:53.388 --> 00:15:55.511]  I hear in sci-fi land where I'm on the road in L.A.
[00:15:55.511 --> 00:15:56.612]  there in Austin.
[00:15:56.612 --> 00:16:01.438]  We're about to have a guest joining us from the East Coast at the start of the next segment with a big announcement.
[00:16:01.438 --> 00:16:05.744]  And let's tweak this out so everybody tunes in to Infowars.com right now.
[00:16:07.844 --> 00:16:17.852]  President Trump is going to be nominated by a very, very important nation and a very, very important leader for a Nobel Prize.
[00:16:17.852 --> 00:16:27.859]  We're going to tell you what specific Nobel Prize that is, breaking here first, coming up at the start of the next segment.
[00:16:27.859 --> 00:16:32.963]  So again, just get ready for more and more exclusives here on air.
[00:16:32.963 --> 00:16:33.964]  There were more than 20.
[00:16:37.123 --> 00:16:39.476]  CNN, ABC News stories, you name it.
[00:16:41.115 --> 00:16:53.084]  Just last night and this morning about our interview with Dr. Jerome Corsi, who's joined InfoWars, freaking out over the fact that we're going to set up a Washington bureau and saying, InfoWars isn't real.
[00:16:53.084 --> 00:16:54.104]  You can't have that.
[00:16:54.104 --> 00:16:55.005]  You can't do that.
[00:16:55.005 --> 00:16:55.866]  Stop them.
[00:16:55.866 --> 00:16:56.886]  Don't compete with us.
[00:16:56.886 --> 00:16:58.828]  Don't get in the boxing ring with us.
[00:16:58.828 --> 00:17:00.029]  Don't get on the field with us.
[00:17:00.029 --> 00:17:01.109]  No, no, no.
[00:17:01.109 --> 00:17:01.590]  No, no, no.
[00:17:01.590 --> 00:17:09.035]  I mean, it reminds me of the 30s and 40s saying, don't let black baseball players on the baseball field.
[00:17:10.401 --> 00:17:12.484]  Because that's basically what this is.
[00:17:12.484 --> 00:17:15.088]  Prepare to be completely dominated.
[00:17:15.088 --> 00:17:16.671]  You know, everybody likes Babe Ruth, okay?
[00:17:16.671 --> 00:17:17.773]  And I grew up liking baseball.
[00:17:17.773 --> 00:17:22.681]  He was a great baseball player, but it's easy to have unbreakable records when he was only playing against white guys.
[00:17:24.966 --> 00:17:27.047]  It's kind of like, that's the allegory.
[00:17:27.047 --> 00:17:30.489]  Get ready for competition in media, okay?
[00:17:30.489 --> 00:17:41.236]  And I've got to say it, you know, InfoWars.com is absolutely aggressive, truth-based, and savage when it comes to really taking action and not rolling over.
[00:17:41.236 --> 00:17:43.057]  And that's what is happening here.
[00:17:43.057 --> 00:17:48.741]  I mean, we have three or four million listeners an hour tuning in if you add up all of our different platforms.
[00:17:49.818 --> 00:17:52.419]  And we're adding new media platforms all the time.
[00:17:52.419 --> 00:18:02.044]  We are destroying the globalists, thanks to our listeners, who aren't just couch potatoes, but who are the coolest, most aggressive, focused activists in the world.
[00:18:02.044 --> 00:18:04.585]  And Trump, again, has pulled another promise.
[00:18:04.585 --> 00:18:06.906]  He's pulling out of the Climate Change Treaty.
[00:18:06.906 --> 00:18:08.466]  He's restoring our coal power plants.
[00:18:08.466 --> 00:18:10.447]  He's building the pipelines.
[00:18:10.447 --> 00:18:13.008]  He's cutting the taxes across the board.
[00:18:13.008 --> 00:18:18.091]  He is just beginning the removal of Obamacare, getting rid of the forced mandate.
[00:18:18.951 --> 00:18:21.972]  The list goes on and on and on.
[00:18:21.972 --> 00:18:30.033]  He's fulfilled so many promises, like investigating vaccines, it makes my head spin, getting rid of regulations.
[00:18:30.033 --> 00:18:38.995]  But now, with this Supreme Court nominee, you know you wouldn't have gotten somebody this good with Bush, or Bush Sr., or even Reagan, quite frankly, though we got Scalia with Reagan.
[00:18:38.995 --> 00:18:42.356]  This is a super hardcore constitutionalist
[00:18:42.876 --> 00:18:46.359]  One of the best choices you could make other than an Andrew Napolitano.
[00:18:46.359 --> 00:18:48.140]  And so that's why I'm so excited.
[00:18:48.140 --> 00:18:56.908]  Let's go out to break here with a clip from Dick Durbin admitting nothing's changed from the confirmation, but adding this is a Supreme Court nomination, so we've got to look closely.
[00:18:56.908 --> 00:19:00.531]  But it's well known that Judge Gorsuch is as clean as a whistle.
[00:19:00.531 --> 00:19:02.032]  Here it is.
[00:19:02.032 --> 00:19:03.453]  Senator Durbin, it's Willie Geist.
[00:19:03.453 --> 00:19:08.978]  Do I have it right that you voted aye in the voice vote in 2006 when Gorsuch was up for the Federal Appeals Court?
[00:19:09.753 --> 00:19:10.933]  Good question, Willie.
[00:19:10.933 --> 00:19:13.054]  And I just don't remember, to be honest with you.
[00:19:13.054 --> 00:19:16.115]  On voice votes, you don't make much of a note on it.
[00:19:16.115 --> 00:19:16.995]  And it's possible.
[00:19:16.995 --> 00:19:19.616]  I don't believe there was a lot of controversy surrounding it.
[00:19:19.616 --> 00:19:23.037]  But let me tell you, he's moving from AAA ball to the big leagues here.
[00:19:23.037 --> 00:19:27.578]  And he's going to be the deciding vote on the future of the court for a long time, it appears.
[00:19:27.578 --> 00:19:28.798]  So this is an important decision.
[00:19:28.798 --> 00:19:30.879]  The congressional record shows you did vote in favor.
[00:19:30.879 --> 00:19:31.939]  It was a unanimous vote.
[00:19:31.939 --> 00:19:37.541]  But has something changed in your view of Gorsuch since 2006, when you did vote aye for him?
[00:19:38.380 --> 00:19:41.882]  No, but, you know, just take a look at what has happened in the past.
[00:19:41.882 --> 00:19:48.766]  When someone moves up to the Supreme Court level, different, important questions are asked and people are much more careful.
[00:19:48.766 --> 00:19:50.847]  That's the way it ought to be.
[00:19:50.847 --> 00:19:52.048]  Well, here's the good news.
[00:19:52.048 --> 00:19:57.811]  Trump has the House, the Senate, so he has the Legislative, he has the Executive, and he has the Judicial.
[00:19:58.848 --> 00:20:00.848]  He has them for at least two years.
[00:20:00.848 --> 00:20:12.531]  Where pistol threat armor is just not enough, KD Armor offers a rifle threat solution as thin as one quarter inch without proprietary armor that conforms to your torso.
[00:20:12.531 --> 00:20:17.012]  This is the only concealable rifle threat armor on the market today.
[00:20:17.012 --> 00:20:18.452]  You can own it starting at $225.
[00:20:18.452 --> 00:20:24.913]  Check out KD Armor on Facebook or at KDArmor.com.
[00:20:24.913 --> 00:20:27.014]  That's KDArmor.com.
[00:20:27.777 --> 00:20:28.829]  Come and take it!
[00:20:29.898 --> 00:20:37.700]  Have you ever wanted a shortcut to getting the underground secrets to making money online and seriously grow your business?
[00:20:37.700 --> 00:20:48.264]  Whether it's a new business, a part-time income, or an existing business, you have this incredible limited offer to get a copy of this Amazon best-selling book on dot-com success for free!
[00:20:48.264 --> 00:20:51.665]  Uncover the success factors to make your business ignite!
[00:20:51.665 --> 00:20:53.785]  Go to secretsignite.com.
[00:20:53.785 --> 00:20:55.726]  That's secretsignite.com.
[00:20:55.726 --> 00:20:57.106]  Get your free copy now.
[00:20:57.106 --> 00:20:58.707]  Go to secretsignite.com.
[00:21:00.382 --> 00:21:01.963]  Hi, my name's John Kunkel.
[00:21:01.963 --> 00:21:03.444]  I'm 63 years of age.
[00:21:03.444 --> 00:21:09.308]  I watched several YouTube videos of Stephen Hewer's and learned what supplements might help me with energy and weight loss.
[00:21:09.308 --> 00:21:15.892]  I've now been on Neandria's Black Cumin Seed Oil, Synergy One, six other products, and Synergistic Nutrition for several weeks now.
[00:21:15.892 --> 00:21:16.653]  I've lost 10 pounds.
[00:21:17.413 --> 00:21:18.014]  Thank you so much.
[00:21:36.809 --> 00:21:42.635]  With Synergistic Nutrition, we help you take the guesswork out of supplementation and help you hit the bullseye of success.
[00:21:42.635 --> 00:21:47.760]  I encourage you to get specific about your health needs because when you do, your body will celebrate with energy and well-being.
[00:21:47.760 --> 00:21:49.902]  Call Synergistic Nutrition today at 888-988-3325 or visit OneWorldWay.com.
[00:21:49.902 --> 00:21:50.763]  That's OneWorld, W-H-E-Y dot com.
[00:21:59.332 --> 00:22:06.096]  Water is the single most important thing your body needs, so you want to be sure it's the best for you and your family.
[00:22:06.096 --> 00:22:10.358]  Since 2005, thousands have depended on Berkey Purified Water.
[00:22:10.358 --> 00:22:14.981]  The Berkey guy provides the lowest price filtration systems in every size.
[00:22:14.981 --> 00:22:20.564]  For incredibly delicious water now and in an emergency, get to GoBerkey.com or call 877-886-3653.
[00:22:20.564 --> 00:22:20.684]  877-886-3653.
[00:22:20.684 --> 00:22:21.025]  GoBerkey.com.
[00:22:29.005 --> 00:22:34.129]  The answer to being in control of your own health care is freedom from insurance.
[00:22:34.129 --> 00:22:39.832]  Become part of a group of self-pay patients that come together to share in each other's medical expenses.
[00:22:39.832 --> 00:22:45.036]  Individual share amounts begin at $107 a month and $347 for families.
[00:22:45.036 --> 00:22:46.977]  Choose from three health sharing programs.
[00:22:46.977 --> 00:22:49.379]  Holistic treatment may be eligible for sharing.
[00:22:49.379 --> 00:22:50.320]  See guidelines.
[00:22:50.320 --> 00:22:53.602]  Discount programs available for dental, vision, and pharmacy.
[00:22:53.602 --> 00:22:55.543]  Go to LibertyOnCall.org.
[00:22:55.543 --> 00:22:57.104]  That's LibertyOnCall.org.
[00:22:59.025 --> 00:23:02.988]  There was a mighty nation, blessed above all of creation.
[00:23:02.988 --> 00:23:05.951]  Charlie Daniels, he's always loved America.
[00:23:05.951 --> 00:23:07.752]  He's always defended the Second Amendment.
[00:23:07.752 --> 00:23:10.594]  Let me just read a little thing here from Agenda 21.
[00:23:10.594 --> 00:23:14.718]  The American system of justice must be changed to conform to the rest of the world.
[00:23:14.718 --> 00:23:15.779]  Individual rights.
[00:23:15.779 --> 00:23:18.681]  We'll have to take a back seat to the collective.
[00:23:18.681 --> 00:23:20.623]  Well, you know what the next move's gonna be, don't you?
[00:23:20.623 --> 00:23:22.204]  It's gonna be coming at you good.
[00:23:22.204 --> 00:23:22.404]  Oh, yeah.
[00:23:22.404 --> 00:23:24.506]  I tell you, it ain't gonna sit well down my way.
[00:23:25.086 --> 00:23:26.027]  At all.
[00:23:26.027 --> 00:23:27.088]  It ain't gonna sit well.
[00:23:27.088 --> 00:23:29.311]  Do you ever wonder what happened to America?
[00:23:29.311 --> 00:23:30.432]  It's time to ride, boys.
[00:23:30.432 --> 00:23:32.394]  We need a thousand hogs and beers.
[00:23:32.394 --> 00:23:38.361]  When I was a boy, it was okay to be proud of the flag, heritage, mom, and apple pie.
[00:23:38.361 --> 00:23:40.283]  Then beef was for supper.
[00:23:41.003 --> 00:23:43.584]  Revelation, dawn of global government.
[00:23:43.584 --> 00:23:45.324]  Theatrical screenings on demand.
[00:23:45.324 --> 00:23:46.944]  DVDs now available.
[00:23:46.944 --> 00:23:51.286]  Starring Alex Jones, Charlie Daniels, Special Ops General Jerry Boykin.
[00:23:51.286 --> 00:23:54.966]  Wanna shed some tears over the red, white, and blue?
[00:23:54.966 --> 00:23:57.267]  Revelation, the movie, dot info.
[00:23:57.267 --> 00:24:01.308]  Let's fix it.
[00:24:01.308 --> 00:24:04.769]  Man thinks, cause he rules the earth.
[00:24:04.769 --> 00:24:08.770]  He can do it as he please.
[00:24:08.770 --> 00:24:09.730]  And if things don't,
[00:24:11.061 --> 00:24:22.772]  Well, I think Bob Dylan in his anti-war song here is perfect as an intro.
[00:24:36.812 --> 00:24:46.880]  Joining us is Dr. Jerome Corsi, three-time number one New York Times best-selling author, an investigative journalist, and also longtime, let's see, friend of Donald Trump.
[00:24:46.880 --> 00:24:49.762]  They, of course, talked some this year at Trump Tower.
[00:24:49.762 --> 00:24:52.424]  I know he's been working with Trump for 40 years, and we're really
