[00:00:18.766 --> 00:00:20.388]  Welcome to NFO Wars Nightly News.
[00:03:23.770 --> 00:03:27.253]  They're setting a very, very dangerous precedent for free speech.
[00:03:27.714 --> 00:03:36.964]  Overturning the idea of fair use and asserting in very legalistic terms what they are demanding from people who cover this interview.
[00:03:37.284 --> 00:03:40.388]  They're saying that excerpts can be no more than three minutes, but here's the key thing.
[00:03:40.888 --> 00:03:43.911]  They're saying that material can no longer be used after February 1st.
[00:03:43.931 --> 00:03:47.734]  In other words, they're going to give people about a week to look at the clips.
[00:03:48.174 --> 00:03:54.219]  You can't air these clips without very specific directions in terms of on-screen credits.
[00:03:54.259 --> 00:03:56.101]  You have to have an audio introduction.
[00:03:56.421 --> 00:03:57.963]  This is totally unprecedented, folks.
[00:03:58.003 --> 00:04:01.285]  This is not anything that anyone has tried to assert before in the press.
[00:04:01.926 --> 00:04:02.906]  And we've seen this coming.
[00:04:02.946 --> 00:04:18.370]  We had just about nine days ago, as the White House was saying, we're going to open up the process to talk radio hosts, we're going to open it up to bloggers, we're going to increase by about a factor of ten the people who are able to cover White House press conferences.
[00:04:18.510 --> 00:04:25.812]  And you had the Trade Guild, essentially, the White House Correspondents Association, say, no, we're not going to have any of that.
[00:04:26.312 --> 00:04:32.115]  We have 49 seats that we're going to allocate amongst 200 journalists that make up the White House Press Corps.
[00:04:32.375 --> 00:04:34.376]  We're going to maintain this position of privilege.
[00:04:34.576 --> 00:04:39.938]  We're not going to allow you to open this up to a larger offering of the press.
[00:04:40.038 --> 00:04:44.200]  And as they push back against the idea that Trump would include other people,
[00:04:45.040 --> 00:04:48.761]  They say that Trump is the one who is trying to suppress free speech.
[00:04:48.901 --> 00:05:01.465]  Understand that when we talk about what the president says, that has always been covered under First Amendment in terms of political use and fair use is what the Supreme Court has determined this to be.
[00:05:01.825 --> 00:05:09.247]  Fair use is commentary on what the president is saying and that is precisely what they're trying to shut down with all these rules.
[00:05:09.307 --> 00:05:12.368]  Essentially what ABC is doing is lawyering up
[00:05:12.788 --> 00:05:17.851]  With detailed rules about what can and cannot be covered and banning the future use of this.
[00:05:17.871 --> 00:05:19.272]  This is a key thing that we have to understand.
[00:05:19.752 --> 00:05:30.938]  And we have to, in the words of Jim Acosta, as he was accosting the President in that press conference, the first press conference that Trump had, he said, Mr. President-elect, this is not appropriate.
[00:05:30.958 --> 00:05:32.920]  Well, ABC, this is not appropriate.
[00:05:32.980 --> 00:05:34.561]  And we understand where they're coming from.
[00:05:35.561 --> 00:05:38.662]  This was something that was going to be a part of the Trans-Pacific Partnership.
[00:05:38.722 --> 00:05:41.563]  It wasn't simply about trade between countries.
[00:05:41.663 --> 00:05:48.205]  It was also about establishing new claims on copyrighted material and penalties associated with that.
[00:05:48.725 --> 00:05:58.668]  You have to understand that the globalists and the monopolists who are controlling our government, our press, they want to make sure that they own everything and then they own it in perpetuity.
[00:05:58.708 --> 00:06:01.509]  That's why they say that they're going to ban any future use of this.
[00:06:01.569 --> 00:06:03.110]  And let's go back four years.
[00:06:03.670 --> 00:06:10.900]  To win Barack Obama won election the second time and then started with his push to get Obamacare and go back to June of 2009.
[00:06:12.081 --> 00:06:18.529]  Here's an article from Fox News ABC News teams up with Obama White House to present the president's health care plan.
[00:06:19.150 --> 00:06:23.915]  And of course, this was going to be an hour-long special that they were going to do from the White House East Room.
[00:06:23.935 --> 00:06:29.081]  And this is in addition to them broadcasting their nightly news every night from the White House.
[00:06:29.541 --> 00:06:40.053]  Now, in response to this, we had the RNC come out and say, in the absence of opposition, I'm concerned this event will become a glorified infomercial to promote the Democrat agenda.
[00:06:40.093 --> 00:06:40.794]  And that's what it did.
[00:06:41.454 --> 00:06:46.596]  If that's the case, they said, this primetime infomercial should be paid for out of the DNC coffers.
[00:06:46.676 --> 00:06:52.258]  President Obama does not hold a monopoly on healthcare reform ideas or on free airtime.
[00:06:52.759 --> 00:06:53.539]  Oh, but yes he did.
[00:06:54.079 --> 00:06:58.521]  He had a monopoly on free airtime because the established media gave that to him.
[00:06:59.321 --> 00:07:09.165]  And at the same time, when the Republican Party said, we would like to have equal access, equal airtime that you're giving the President because you're promoting his ideas exclusively, they said no.
[00:07:09.805 --> 00:07:12.926]  So then the RNC said, fine, we'll buy time on your network.
[00:07:13.386 --> 00:07:14.046]  And they said no.
[00:07:14.666 --> 00:07:16.307]  That's true monopoly power.
[00:07:16.787 --> 00:07:18.408]  And what President Trump needs to do
[00:07:19.542 --> 00:07:19.642]  It's
[00:07:37.634 --> 00:07:50.698]  On Thursday, the day after they did this, they had another ABC anchor, Diane Sawyer, ran the news item that a White House produced video, complete with schmaltzy background music, and of course this is Media Research Center pointing this out.
[00:07:50.738 --> 00:07:55.600]  They said, President Obama ostensibly took a phone call from a cancer patient.
[00:07:55.720 --> 00:07:59.141]  This is the way they marketed Obamacare to the public.
[00:07:59.781 --> 00:08:03.906]  They said, now I'm able to get health insurance thanks to Obamacare.
[00:08:04.166 --> 00:08:06.189]  But as I pointed out, the video wasn't even new.
[00:08:06.629 --> 00:08:13.597]  And she said that it was merely a conversation that took place recently, but today we got to listen in, trying to make it current.
[00:08:14.707 --> 00:08:27.289]  Consider also that ABC News just yesterday had to issue a correction for mischaracterizing and deliberately editing an interview with former White House Press Secretary Ari Fleischer.
[00:08:28.049 --> 00:08:29.310]  This is what they put out.
[00:08:30.090 --> 00:08:34.770]  They had Ari Fleischer that they edited to say, it looks to me as if the ball was dropped on Saturday.
[00:08:35.391 --> 00:08:36.171]  That's what they put out.
[00:08:36.351 --> 00:08:42.892]  But the full quote was, it looks to me as if the ball was dropped on Saturday, Sean recovered it and ran for a first down on Monday.
[00:08:43.959 --> 00:08:59.846]  See, when ABC News does that, when they're blatantly partisan in the way they sell Obamacare, when they try to shut down our ability to run their clips, and yet they, just yesterday, edited this to completely change the meaning of Ari Fleischer, we should be very concerned.
[00:09:00.626 --> 00:09:04.950]  But here's their exclusive report that they have here, and this is a teaser for their interview.
[00:09:05.250 --> 00:09:08.413]  They say, President Trump says construction of the border wall will begin in months.
[00:09:08.493 --> 00:09:16.360]  This is the news that came out of their exclusive interview that they don't want anybody to air unless we pay them or follow their strict rules.
[00:09:16.860 --> 00:09:23.824]  What he said in this interview, he said, all it is, is we'll be reimbursed at a later date for building the wall at whatever transaction we make from Mexico.
[00:09:23.864 --> 00:09:25.405]  I'm just telling you there will be a payment.
[00:09:25.525 --> 00:09:28.286]  It will be in the form, perhaps a complicated form.
[00:09:28.766 --> 00:09:31.288]  Well, what form will this payment for the wall take?
[00:09:31.728 --> 00:09:36.210]  We saw yesterday that Mexico was saying, we're ready to quit NAFTA if the U.S.
[00:09:36.270 --> 00:09:37.011]  talks fail.
[00:09:37.831 --> 00:09:42.695]  And this was reported by AFP, they said Mexico drew red lines on Tuesday that during the U.S.
[00:09:42.775 --> 00:09:54.466]  election campaign, Trump vowed to make Mexico pay for a massive border wall and threatened to finance it by tapping into the $25 billion in remittances that Mexican migrants sent home last year.
[00:09:54.826 --> 00:10:00.110]  Asked whether the Mexican delegation would walk away from the negotiating table if the wall and the remittances were an issue,
[00:10:00.782 --> 00:10:03.484]  The spokesman for Mexico said, absolutely.
[00:10:03.685 --> 00:10:12.913]  Now with NAFTA, 80% of Mexico's exports go to the United States and as they point out in the article, it's a clear indicator of the country's dependence on the U.S.
[00:10:12.973 --> 00:10:14.914]  market for its economic well-being.
[00:10:15.779 --> 00:10:22.745]  But nevertheless, Mexican government officials warned on Tuesday that Mexico is also willing to exit the 23-year-old NAFTA agreement.
[00:10:22.765 --> 00:10:25.167]  In other words, they're going to take the ball and they're going to go home.
[00:10:25.828 --> 00:10:31.713]  But I would say that if they're selling 80% of their exports to the United States, I think the U.S.
[00:10:31.893 --> 00:10:33.595]  owns that football, not Mexico.
[00:10:33.635 --> 00:10:42.623]  When you look at the deficit of payments, regardless of the remittances that were sent home by Mexican migrants who are working here, foreign citizens who are working here illegally,
[00:10:43.604 --> 00:10:50.230]  It's not just the 80% of their trade, and it's not just the billions of dollars that are sent back by Mexican migrants.
[00:10:50.370 --> 00:10:57.317]  It's also the fact that they have a surplus trade with the United States of 60 to 75 billion dollars a year.
[00:10:57.998 --> 00:10:59.379]  Now if we go back 23 years before NAFTA,
[00:11:01.621 --> 00:11:03.422]  There was roughly a trade parity.
[00:11:03.482 --> 00:11:06.223]  Some years they would have a surplus, some years the U.S.
[00:11:06.243 --> 00:11:07.464]  would have a trade surplus.
[00:11:07.584 --> 00:11:12.986]  Immediately after NAFTA, we had a $15 billion trade deficit with them.
[00:11:13.766 --> 00:11:21.389]  About three times bigger than the trade deficits we'd had before, the worst trade deficits we'd had before, and it never got smaller than $15 billion.
[00:11:21.429 --> 00:11:24.611]  It's been about $60 to $75 billion the last several years.
[00:11:25.111 --> 00:11:33.998]  So they're already going to be paying for this in terms of factories that are not going to be moving to Mexico as well as factories that are going to be coming back to the United States.
[00:11:34.579 --> 00:11:35.720]  But what else will they do?
[00:11:35.820 --> 00:11:42.405]  Of course today we saw that Trump has signed orders on the border wall as well as on immigration enforcement.
[00:11:42.445 --> 00:11:50.992]  The Hill points out that President Trump today signed two executive orders on immigration including one that directs federal agencies to begin construction of a wall on the border of Mexico
[00:11:51.773 --> 00:11:55.155]  And that was, of course, the centerpiece of his campaign.
[00:11:55.215 --> 00:11:59.758]  That was what began the Trump train, if we go back and look at the presidential campaign.
[00:12:00.519 --> 00:12:04.141]  Trump repeated again today, a nation without borders is not a nation.
[00:12:04.361 --> 00:12:07.724]  Beginning today, the United States of America gets back control of its borders.
[00:12:07.784 --> 00:12:13.888]  The president said his directive will save thousands of lives, millions of jobs, and billions and billions of dollars.
[00:12:13.928 --> 00:12:18.431]  He called for the construction of, quote, a large physical barrier on the southern border.
[00:12:19.051 --> 00:12:25.656]  The other executive order that he signed today deals with immigration enforcement and ends the catch-and-release program.
[00:12:25.696 --> 00:12:31.020]  Now understand, this is something that was begun not even by Obama, but by George W. Bush.
[00:12:31.380 --> 00:12:35.183]  This is something that the Republican and Democrat establishment have been pushing.
[00:12:35.503 --> 00:12:36.604]  He is now pushing that back.
[00:12:36.624 --> 00:12:40.106]  He said federal agents are going to unapologetically enforce the law.
[00:12:40.326 --> 00:12:44.149]  No ifs, ands, or buts, said Sean Spicer, press secretary.
[00:12:44.409 --> 00:12:47.732]  The immigration actions, as The Hill reports, also seek to withhold visas
[00:12:48.152 --> 00:12:48.712]  We're good to go.
[00:13:16.212 --> 00:13:18.453]  But before we do, I want to go back and take a look.
[00:13:18.553 --> 00:13:22.474]  We're now only, well less than a week into the Trump administration.
[00:13:23.374 --> 00:13:24.554]  He was sworn in on Friday.
[00:13:25.074 --> 00:13:38.638]  Over the weekend there was essentially, he said day one was going to be Monday, but of course things happened even over the weekend and we have seen massive moves and I would say we've seen a lot of promises that were made as promises that have been kept.
[00:13:38.678 --> 00:13:40.518]  And of course the Wall Street Journal is saying the same thing.
[00:13:40.558 --> 00:13:42.239]  They say the new Trump White House website
[00:13:42.739 --> 00:13:45.581]  Sets an agenda that mirrors their campaign pledges.
[00:13:46.002 --> 00:13:49.284]  Well, I would just say it keeps the campaign pledges that we've seen.
[00:13:49.304 --> 00:13:50.645]  So let's take a look at some of these.
[00:13:50.665 --> 00:14:00.893]  Let's go to the WhiteHouse.gov site and let's take a look at some of the memorandums that have come out and press releases from the White House itself pointing out what has happened.
[00:14:00.933 --> 00:14:02.895]  Of course, there's the Trans-Pacific Partnership.
[00:14:02.915 --> 00:14:05.296]  It was one of the first things that Donald Trump shut down.
[00:14:05.316 --> 00:14:06.737]  But I want to read you the language.
[00:14:07.478 --> 00:14:07.998]  We're good to go.
[00:14:24.184 --> 00:14:29.166]  Understand, bilateral trade negotiations, in other words, we're going to set up agreements between the U.S.
[00:14:29.226 --> 00:14:30.686]  and Britain, or between the U.S.
[00:14:30.786 --> 00:14:32.267]  and Germany, or between the U.S.
[00:14:32.367 --> 00:14:42.491]  and Mexico, those are going to be much easier to negotiate than these massive multilateral trade agreements that are going to involve many nations all at once.
[00:14:43.011 --> 00:14:48.473]  It will be fair, it'll be clear what's going to happen, and it isn't going to involve the loss of sovereignty
[00:14:49.173 --> 00:14:51.974]  And the other thing is that they snuck into this trade agreement.
[00:14:52.014 --> 00:15:09.679]  You understand that with the trade, the TPP trade agreement, they were going to create an international trade commission that could amend this agreement, whatever it was that passed, and we weren't allowed to see it for the longest amount of time, and they were going to run it through the Congress without any kind of amendment or debate.
[00:15:10.399 --> 00:15:18.084]  And once it ran through, this small, unelected, unaccountable international commission was going to have the freedom to change it at will.
[00:15:18.524 --> 00:15:21.126]  And they would be able to add countries to it at will as well.
[00:15:21.667 --> 00:15:23.948]  Let's take a look at one of the other things that Donald Trump did.
[00:15:23.968 --> 00:15:29.412]  Minimizing the economic burden of the Affordable Care Act and pending repeal.
[00:15:29.672 --> 00:15:33.474]  Here's another statement, immediate release from the White House.
[00:15:33.494 --> 00:15:33.775]  They said,
[00:15:40.999 --> 00:15:56.610]  In the meantime, pending such repeal, it is imperative to take all actions consistent with law to minimize the unwarranted economic and regulatory burdens of the Act, to prepare to afford the states more flexibility, more control to create a more free and open health care market.
[00:15:57.290 --> 00:16:15.520]  He also said he's going to exercise all authority and discretion available to waive, defer, grant exemptions from, delay the implementation of any provisions or requirement that would impose a fiscal burden on any state or cost, fee, tax, penalty, or regulatory burden on individuals, families, health care providers, health insurers, etc.
[00:16:15.540 --> 00:16:15.800]  etc.
[00:16:15.840 --> 00:16:20.143]  Do you understand the chains that were taken off of the American public
[00:16:21.118 --> 00:16:21.398]  I don't know.
[00:16:40.071 --> 00:16:40.651]  Health Care Act.
[00:16:40.832 --> 00:16:41.192]  Next one.
[00:16:41.572 --> 00:16:44.154]  Memorandum for the Heads of Executive Departments and Agencies.
[00:16:44.194 --> 00:17:02.286]  Subject to any exemptions, like emergency situations or urgent circumstances, you will send no regulation to the Office of the Federal Register until a department or agency head appointed or designated by the President afternoon on January 20th reviews and approves the regulation.
[00:17:03.146 --> 00:17:11.593]  See what's happening, we had midnight regulations by the tens of thousands being run through by Obama as well as other organizations like the EPA.
[00:17:11.693 --> 00:17:14.114]  And what he's saying is, this is going to stop.
[00:17:14.755 --> 00:17:19.238]  And if they have recorded this, but they haven't published this, you're not going to publish it.
[00:17:19.298 --> 00:17:26.344]  We're stopping these regulations right now, and you're going to have to get approval of the heads that have been appointed by Donald Trump.
[00:17:26.744 --> 00:17:41.238]  Then he goes on with a hiring freeze, and then he goes on with expediting infrastructure projects, pointing out that the regulations that the federal government has put in have actually increased pollution, increased expenses to everyone else.
[00:17:41.498 --> 00:17:46.123]  The human cost, the environmental cost, has been exactly the opposite direction.
[00:17:46.323 --> 00:17:46.804]  Stay with us.
[00:17:46.824 --> 00:17:51.168]  When we come back, we're going to talk about the sanctuary city fight that has begun right here in Texas.
[00:17:53.581 --> 00:17:57.063]  The Federal Reserve is a private banking cartel.
[00:17:57.083 --> 00:18:00.524]  The Fed is a sometimes very independent organization.
[00:18:00.584 --> 00:18:05.407]  What should be the proper relationship between the Chairman of the Fed and a President of the United States?
[00:18:05.427 --> 00:18:08.368]  The Federal Reserve is an independent agency.
[00:18:08.448 --> 00:18:14.391]  There is no other agency of government which can overrule actions that we take.
[00:18:14.591 --> 00:18:18.175]  They print our money and then loan it to us at interest.
[00:18:18.616 --> 00:18:21.199]  The IRS is their collection agency.
[00:18:21.299 --> 00:18:29.829]  So long as that is in place and there is no evidence that the administration or the Congress or anybody else
[00:18:30.859 --> 00:18:39.605]  ...is requesting that we do things other than what we think is the appropriate thing, then what the relationships are don't frankly matter.
[00:18:39.725 --> 00:18:44.848]  Jeff Duncan says he saw IRS special agents using semi-automatic rifles at a gun range.
[00:18:45.369 --> 00:18:49.011]  Now he wants answers to why the agency needs that type of firepower.
[00:18:49.131 --> 00:18:51.172]  Is this global governance at last?
[00:18:51.252 --> 00:18:53.654]  Is it one world the central bank was in charge?
[00:18:53.734 --> 00:18:56.116]  Know your history and you will know your enemy.
[00:18:56.436 --> 00:18:57.537]  InfoWars.com
[00:19:01.587 --> 00:19:15.655]  Now what I'm announcing here today is already a custom here in the United States, and that is extending the Christmas holiday up until New Year's Eve and then taking down the Christmas trees and taking down the Christmas lights.
[00:19:15.795 --> 00:19:16.855]  Ooh, I keep saying Christmas.
[00:19:17.516 --> 00:19:18.676]  I'm so politically incorrect.
[00:19:19.136 --> 00:19:22.338]  The day after New Year's Eve or New Year's Day.
[00:19:22.878 --> 00:19:27.161]  And so I've decided right through New Year's Day, we're going to keep
[00:19:27.981 --> 00:19:45.818]  The virtual Christmas tree or an HD video shot of downtown Austin at the capital of the beautiful Christmas tree up just to upset the social justice warriors and all the little snowflakes that want to bully us into banning our culture and banning free speech.
[00:19:46.238 --> 00:19:49.781]  In fact, there's a war going on, not just online, but in the streets.
[00:19:49.841 --> 00:19:56.425]  I've seen it, where people on the hike and bike trails say Merry Christmas, and then folks don't respond and they say Happy Holidays!
[00:19:56.966 --> 00:20:04.932]  Or even family I have, that I send the message of Merry Christmas to, they respond back with Happy Holidays.
[00:20:04.992 --> 00:20:07.454]  It is some distant cousins, but it's going on.
[00:20:08.325 --> 00:20:18.469]  But we're also going to extend the Christmas sale right through until New Year's Eve, until everything sells out at InfoWarsTore.com.
[00:20:18.489 --> 00:20:30.473]  Now, we normally try to budget things to where, in the warehouse, most of the products sell out by year-end, and the new products come in in a few weeks or a month after, because we have to pay taxes on inventory.
[00:20:31.233 --> 00:20:35.934]  And this year, I've decided to extend the sale until everything completely sells out.
[00:20:36.094 --> 00:20:52.257]  So to be clear, almost every one of our best-selling nutraceutical supplements is selling out, and for a good reason, because here are the specials that we're running until they sell out or until the new year comes here in just about four or five days.
[00:20:52.997 --> 00:20:54.058]  Living Defense, 30% off.
[00:20:55.618 --> 00:20:57.319]  Super Mel Vitality, 30% off.
[00:20:57.359 --> 00:20:58.179]  These are huge specials.
[00:20:58.639 --> 00:21:00.320]  Silver Bullet Coil Silver, 50% off.
[00:21:01.581 --> 00:21:03.881]  Brain Force Plus, 33% off.
[00:21:04.222 --> 00:21:06.843]  Winter Sun Vitamin D, 25% off.
[00:21:07.323 --> 00:21:10.104]  And again, a lot of these are selling out as we speak or have sold out.
[00:21:10.384 --> 00:21:12.745]  Survival Shield X2, 30% off.
[00:21:12.805 --> 00:21:15.526]  Bio True Selenium, 30% off.
[00:21:15.626 --> 00:21:18.868]  And then let me finish up with this, the Coup De Grace.
[00:21:19.608 --> 00:21:23.630]  Store-wide free shipping until New Year's Day.
[00:21:23.730 --> 00:21:26.412]  Store-wide at InfoWarsTore.com.
[00:21:26.812 --> 00:21:36.637]  On the non-GMO heirloom seeds, and the Trump is my president shirts, and Hillary for prison 2017 shirts, and deport George Soros the goblin globalist specials.
[00:21:37.217 --> 00:21:38.518]  Store-wide free shipping.
[00:21:39.738 --> 00:21:45.500]  50 to 30 percent off on scores of items and all of these are super high quality products.
[00:21:45.800 --> 00:21:51.501]  They help fund the spearhead in the fight against the globalists and they are game changers.
[00:21:51.861 --> 00:21:54.342]  We couldn't have built this operation without you.
[00:21:54.502 --> 00:21:56.922]  So you're not standing beside us or behind us.
[00:21:57.302 --> 00:21:58.723]  You are standing at the heart
[00:21:59.423 --> 00:21:59.623]  Thank you.
[00:22:16.537 --> 00:22:28.847]  I certainly hope and pray you had a blessed and merry Christmas, and I'm really focusing and working hard to make sure we have a great new year as Americanism, not globalism, accelerates into the future.
[00:22:29.208 --> 00:22:44.921]  So again, I want to encourage you all, take advantage of the biggest sales of 2016 with Christmas sales extended with free shipping store-wide and 50 to 30% off on high-quality supplements and many other items at InfoWarsTore.com
[00:22:45.461 --> 00:22:46.762]  And Infowarslife.com.
[00:22:47.162 --> 00:22:51.325]  I'm Alex Jones signing off from the Central Texas News Center in Austin.
[00:22:51.385 --> 00:22:58.749]  Go to Infowarsstore.com today for 30-50% off specials while supplies last plus free shipping or call 1-888-253-3139
[00:23:06.889 --> 00:23:07.349]  Welcome back.
[00:23:07.409 --> 00:23:14.494]  We were just talking about the promises that Donald Trump made, the promises that we've seen him keep in just really the first three days.
[00:23:14.534 --> 00:23:19.978]  And of course, some of those go back to when he was president-elect, already starting to unravel NAFTA at that point in time.
[00:23:20.598 --> 00:23:33.487]  On Friday, when he was first inaugurated, we saw the White House website change and immediately all the information about climate change, which he didn't agree with and which I don't agree with, that was all taken down.
[00:23:33.527 --> 00:23:36.469]  So we've seen some very positive steps moving very quickly.
[00:23:37.049 --> 00:23:50.794]  But of course there are some concerns that still remain as we see some of his cabinet level picks and we see Steve Mnuchin now who previously said that he didn't think that there were too many IRS agents in spite of the army of IRS agents that were added for Obamacare.
[00:23:50.834 --> 00:23:58.057]  Now he is backing an independent Federal Reserve and signaling that he doesn't think that reform is a priority.
[00:23:58.077 --> 00:23:59.557]  In other words, should we audit the Fed?
[00:24:00.138 --> 00:24:00.778]  Nah, he says.
[00:24:01.358 --> 00:24:13.429]  And as this is reported by Bloomberg, they say the response appears to lean against legislation such as the Fed Oversight Reform and Modernization Act of 2015, introduced by the House of Representatives last year but did not become a bill.
[00:24:13.970 --> 00:24:21.277]  Many people believed and are still hoping, as Donald Trump talked about auditing the Fed, that we have the best chance we've ever had of getting that passed.
[00:24:21.857 --> 00:24:23.298]  And I think as we look at this,
[00:24:24.299 --> 00:24:29.001]  The comments, even that Bloomberg said, was that he doesn't want to make waves at this stage.
[00:24:29.062 --> 00:24:36.865]  So our hope is that this is simply Mnuchin trying to be non-controversial so that he can get in and do the real deal.
[00:24:37.346 --> 00:24:38.886]  But it still is worrying to see that.
[00:24:38.926 --> 00:24:44.429]  Nevertheless, we've seen nothing but positive signs in terms of the actual executive orders that Donald Trump has taken.
[00:24:44.729 --> 00:24:49.912]  And of course, one of those today was the move against Sanctuary City, saying that they were going to not
[00:24:50.712 --> 00:24:53.534]  Send federal funds to cities that are involved in this.
[00:24:53.574 --> 00:25:02.802]  And of course, just the 20 largest, I'm sorry, the 12 largest cities that are involved as sanctuary cities have 20% of illegal immigrants here.
[00:25:02.862 --> 00:25:03.842]  Or let's just put it this way.
[00:25:04.503 --> 00:25:08.306]  Foreign citizens who are here illegally getting services.
[00:25:08.566 --> 00:25:11.749]  Now this is not going to happen in Texas without a fight.
[00:25:12.049 --> 00:25:16.913]  Governor Abbott has thrown down the gauntlet here and the Travis County Sheriff has taken it up.
[00:25:17.333 --> 00:25:22.675]  So we have a fight developing right here in Travis County that is going to have national implications.
[00:25:22.915 --> 00:25:30.738]  As a local station here, KVU, pointed out, Abbott is seeking laws to remove the sheriff after ICE detainer policy announcement.
[00:25:31.078 --> 00:25:38.101]  They say days after the Travis County sheriff, and she was just newly elected, Sally Hernandez, released a video detailing her policy concerning U.S.
[00:25:38.141 --> 00:25:39.922]  Immigration and Customs Enforcement.
[00:25:40.302 --> 00:25:45.064]  Governor Greg Abbott here in Texas said Wednesday he will seek new laws that remove her from office.
[00:25:45.484 --> 00:25:47.128]  Now, what is she saying she would do?
[00:25:47.168 --> 00:25:53.043]  She said she will cooperate with ICE if the people who are here illegally, already breaking that law,
[00:25:54.025 --> 00:25:54.285]  We're good.
[00:26:24.385 --> 00:26:28.989]  Now, what Abbott has said is that, of course, the Texas Legislature only meets every other year.
[00:26:29.029 --> 00:26:29.989]  They're now in session.
[00:26:30.029 --> 00:26:38.516]  He's going to seek legislation that would include civil and criminal penalties for any official that is creating a sanctuary city.
[00:26:39.136 --> 00:26:51.902]  He said that they're working on laws that will, one, ban sanctuary cities and remove from office any officeholder who promotes sanctuary cities and impose criminal penalties as well as financial penalties.
[00:26:51.942 --> 00:26:58.686]  He went on to say it is a dangerous game of political Russian roulette with the lives of Texans at stake.
[00:26:59.471 --> 00:27:03.813]  Now of course, one of the places where sanctuary cities are the most popular is California.
[00:27:03.833 --> 00:27:07.715]  As a matter of fact, we could say California is not a sanctuary city, but a sanctuary state.
[00:27:08.455 --> 00:27:15.038]  And of course there is a growing movement in California of people who would love to secede from the United States.
[00:27:15.459 --> 00:27:18.040]  We've even heard people give it the name Cal Exit.
[00:27:18.960 --> 00:27:21.642]  As to that, I would just say, how can we help you do that?
[00:27:21.762 --> 00:27:28.987]  Now it has jumped up to one-third of the people in the most recent poll from Reuters saying that they would like to secede from the United States.
[00:27:29.087 --> 00:27:36.912]  Now this is a big increase from 2014 when the same poll found 20% of the people would support secession.
[00:27:36.992 --> 00:27:37.933]  Now that's up to 32%.
[00:27:39.654 --> 00:27:44.459]  And they point out that with 39 million residents, it is the sixth largest economy in the world.
[00:27:44.539 --> 00:27:47.442]  So maybe California wants to go it as a nation state.
[00:27:47.482 --> 00:27:50.144]  Maybe they would like to join Mexico.
[00:27:50.825 --> 00:27:52.266]  Maybe they'd be more comfortable doing that.
[00:27:52.326 --> 00:27:56.670]  Wired Magazine points out that if they want to do that, there's a couple of problems.
[00:27:56.851 --> 00:28:03.096]  Even though California is one of the wealthiest of the states, even though they are very large in terms of their economy,
[00:28:03.717 --> 00:28:10.179]  They also are reliant for their massive welfare state on subsidy from the federal government.
[00:28:10.219 --> 00:28:12.860]  They say California has some pretty ambitious laws.
[00:28:13.340 --> 00:28:15.681]  They give undocumented immigrants driver's licenses.
[00:28:16.021 --> 00:28:20.903]  They let them attend public universities at the expense of the state and the taxpayers there.
[00:28:21.143 --> 00:28:22.864]  It provides millions of people with health care.
